ParlaMint-GR_2021-12-15-S1-commons.u1	Ladies and gentlemen, the meeting begins.
ParlaMint-GR_2021-12-15-S1-commons.u214	Next speaker, Mr. Pappas Nikolaos, from SYRIZA.
ParlaMint-GR_2021-12-15-S1-commons.u215	Thank you, Mr President. I think, ladies and gentlemen, that a limit should also be introduced to the attempt to revise modern economic history at the place, because we heard before Mr Staikoura, who described us as a situation in which, if anyone listened to him who did not live in Greece, he would think that the crisis started in 2015. All right, there's a limit to the political debate. Greece between 2010 and 2014 lost a million jobs and 2015 to 2019 won around four hundred and fifty thousand. I do not think we need to repeat this every time we get to the Step. There's a logic. It is not creative for political controversy and Mr Stagioras himself has responsibility as a member of those governments. And I would say that the majority Members must make an effort to get in touch with reality. Do you realize what happened yesterday? The study by Mr Chiorda and Mr Lytras was published. Gifts of Aegeris told you earlier. So what does this study say? This study says non-ATP tubes have 87% more chance of dying. It says practically from the four hundred tubes and from the intensive care unit our system is no longer functional because the possibility of death is exponentially increased. He says something else behind the lines, of course. Be careful, it shows that for the study period six and a half thousand people have died without insulation, either within or outside the ICU. Mr. Hatzidakis and Mr. Amyras, because Mr. Tsiodras, who was from the start of choosing your government, with his partner, said that they have given this study at the highest level, I would like to ask you honestly whether you personally had this study taken into consideration since May, as the researchers said, or if you know whether Mr. Mitsotakis had taken it into consideration, to understand and if he didn't just pay attention, did not meet Chiorda, he did not take it or if he did go up to this Step and he did lie with unscientificly, which are not going anywhere and which is affecting the Greek citizen, who is experiencing the consequences of the pandemic. If you really think that these will stay unanswered, you are making a huge mistake, as you are making a huge mistake that will save you from turning right and left and saying that "METH is luxury" and "what we will do if we develop them when the pandemic is gone", that "it's thrown money" and, of course, if you thought you would not give answers to the key questions that you have put with proof, as we have learned today, before the Ice Authority and the association of workers in public hospitals. I hope you will not blame us or blame them for being partyly involved and receiving orders from Kumbuduru and SYRIZA to do this show no longer in public, but also in the face of justice, with evidence, with proof. At the same time, while you have a budget that has the specific features, the choice of inertia in public transport continues. Citizens are forced to move in an undetermined crowd, they have filled the internet with photos and videos of a push for boarding and disembarking, and what the Ministry of Infrastructure and Transport does is to spend the public money to take "shoes" which they are digging in the climbing up of Chortiatis or even in the block here in the Attica Region and ordering gloves from a float in Serres. This is your state, along with the freezing of all major works and of the BOAK and the Patras - Pyrgos and the metro of Thessaloniki where only claims for the contractor have been made by your policy and the destruction of the shocking monument in Venizelos. You can't even think that this sector could really be a way out for the national economy, which you obviously don't want. The small and medium-sized enterprises have left them out of all the financial instruments both in the first phase and in this phase outside the Recovery Fund. It's not something you missed, it's something you choose. And as I told you before, you need to get in touch with reality. I'm sorry, Mr. Skokakis isn't here, and I'm sorry, because I think he could give a clarification. Mr. Skylakakis said a few days ago that they're making a budget with the working case that pandemic is over at the beginning of 2022. Please open the internet a little bit now and see the publications that have been uploaded an hour ago by announcing today's cases and deaths. What's the worry? That the "Omicon" mutation will dominate Greece as well. What do you have to say about all this? That you're reducing the health budget for 800 million. That's your answer. How do you feel? I would like to address the majority Members. How do you feel? You have the political leadership of the Ministry of Finance by this Stepma says: "We have built a budget with the case of work that pandemic is over." It is not just with the news notes of your leadership to reproduce some arguments here and not to take into account what is going on around. Let me now turn to the issue of surpluses to conclude. It's false that you don't commit to high surpluses. You are committed to the greatest austerity in Europe until 2024. Unfortunately, Greece is a champion. Greece of 25%-28% cumulative recession is a champion in austerity. You are a bad example of Europe's course. You are not taking any initiative in the debate that has been opened for the revision of the Stability Pact, which Romano Prodi prophetically said in 2002 was foolish, like any inflexible rule. And, of course, you contribute to regenerating a path for Europe that has maximised inequalities both within the union and within societies. I conclude with this. This period has two characteristics. The first is that the New Democracy, and with the presence of Mr.Mitsotakis at the ICU, but also with the current budget, proves that it does not have an economic programme that can respond to the great needs of society and the enormous disparities that you create with your inaction in the issues of accuracy, both with your policy and in the insurance and labour and small and medium-sized enterprises. The second important thing, however, I think, is that Mr Mitsotakis is the first Prime Minister in the history of post-population, rather early, who has admitted publicly that from the next poll cannot form a government. That's what he told us at the DEA. We welcome this assumption, the assumption of your isolation policy, which is precisely the central condition that you have covered yourself and we welcome it to emerge from the next call a strong progressive governance that will lay the foundations for a new beginning for the country and the people. Thank you.
ParlaMint-GR_2021-12-15-S1-commons.u216	We shall now give the floor to the Secretary of State for the Environment and Energy, Mr Amyras. Then, as we have said, Mrs Papadimitriou and Mrs Alexopoulou.
ParlaMint-GR_2021-12-15-S1-commons.u217	Thank you, Mr President. Ladies and gentlemen, Mr Pappas has just called on Mr Chiodra to tell us what he said. What's going on, Mr. Pappas, don't you talk to Mr. Polakis? Do you have a different view from Mr. Polakis?
ParlaMint-GR_2021-12-15-S1-commons.u218	..................................................................................................................................................................... (Not heard)
ParlaMint-GR_2021-12-15-S1-commons.u219	Pavlos Paulakis, 5 November 2020 - listening to Mr Tsiodra's scientific communications: 'What are the things we have heard today by Mr Tsiodra? What scientific dolphins are these, my lords and my lords?" So do you invoke Mr. Chiodra when Mr. Paulakis excavated him? So you're not going to tell each other a little bit and have a single line? And if that's not enough for you, this shitty and vulgar style at the expense of Mr. Tsiodra, on October 21st, says again, addressing Mr. Tsiodras Paulakis: "Sotiras also came out to keep a lantern at Mitsotakis with mathematical alchemy of a merciful form. You should be ashamed of yourself," he says. Who should be ashamed, of course, is self-proof.
ParlaMint-GR_2021-12-15-S1-commons.u220	Quiet, please.
ParlaMint-GR_2021-12-15-S1-commons.u221	Ladies and gentlemen, the 2022 budget, the third budget planned and implemented by the Mitsotakis Government, shows that the country has entered a developmental path. SYRIZA's customary from the make news, possibly from the denial of reality. Besides, I remember, Mr. Pappa, you said, before the pandemic broke out, that the year would end with a recession before the pandemic even appeared. Now that the year is going to close with growth of 7%, maybe 8% or even cumulative growth of 11.7% in the 2021-2022 years, what do you have to say?
ParlaMint-GR_2021-12-15-S1-commons.u222	What happened to 2020?
ParlaMint-GR_2021-12-15-S1-commons.u223	Why are you negative of reality? Why are you denying the truth? We need to inoculate you with the vaccine of the truth. Government policy, as clearly appears in the government's budget, is clearly changing the DNA of the economy, society, public health, entrepreneurship, the state. We for the first time, the country I mean is not Europe's Euro pean but is coming forward. And in relation to the environment, the Mitsotakis Government is doing a lot about the issue of protecting the environment and protecting biodiversity. The Prime Minister himself from Glasgow, from the climate summit, COP26, announced a flagship work, inaccurate mountains. We are protecting six large mountainous volumes of the country, where neither new roads or old ones are to be used or opened, nor artificial platforms will be built, so that what Europe has been discussing for many years and has not dared to do so, what the United States of America has taken twenty years to implement, that is, the off-road areas, we are moving forward and doing so first in Europe. Tomorrow I also inform you that the first three specific environmental studies for the NATURA regions are coming out for consultation.
ParlaMint-GR_2021-12-15-S1-commons.u224	Does "TERNA" know?
ParlaMint-GR_2021-12-15-S1-commons.u225	I am talking about the specific environmental studies, which you have certainly kicked them out and kept them hidden under the table. So I would like you, ladies and gentlemen of the SYRIZA, to join the consultation, to participate in the consultation. So tomorrow you will be able, instead of shouting, to tell us what your position is to protect NATURA in Eastern Crete, Evros, Rodopi and the southern Peloponnese. We want to protect these areas, and that is what we are doing. The first step is taken with specific environmental studies leading to the presidential decrees to ensure the protection of NATURA 2000 sites in Eastern Crete directly. That is where we are very much interested in the Vai palm tree, which has one of the two indigenous palm species in Europe. We are interested in protecting the Lassithi plateau, the canyon of Agia Peace, which is of the highest ecological value. We are interested in Evros and Rhodope to protect the forest of Dadia. We are interested in protecting the only population in Europe and colony in black and white. We are interested in protecting Samothrace - and this is what we are doing - with its endemic margarita and with the thousands of four hundred forty-one endemic and acclimatized plants. We are interested - and this is what we are doing - in protecting the Evros Delta, where thousands of birds find shelter and food. I expect to see your own villages in the national consultation, if you disagree with what I say, which are reflected in specific environmental studies, which, as I have said, will lead to the presidential decrees for the absolute protection of these areas. At the same time, in the southern Peloponnese we are interested in the regions of Taygeto, in southern Mani, in the canyon of Nedon, with the unexplored and rare riches of the flora. At the same time, we are in the final straight line of the country, the only one in Europe without forest maps and a tariff, to obtain forest maps. You laugh, of course, because they were laughing at what you had done.
ParlaMint-GR_2021-12-15-S1-commons.u226	Please, be quiet.
ParlaMint-GR_2021-12-15-S1-commons.u227	We have been inherited by forest maps, which have of course been taken down by the Plenary Assembly of the Council of State.
ParlaMint-GR_2021-12-15-S1-commons.u228	He's still there.
ParlaMint-GR_2021-12-15-S1-commons.u229	I would like, Madam President, that you are very happy with these comments you make, to go and tell one of the hundreds of seventy-five thousand citizens who objected to the sloppiness of your forest maps. So what do we do? We're doing reforms. The reforms are that we have first of all taken out the white man from the forest equation with the agreement, the unanimous decision and the opinion of the Technical Forests Council. We solved the major property with the presumption of ownership in favour of the public, where? In eastern and western Mani, which you did not even notice, in Dodecanese, in Ionian, Crete, in the islands of the northern Aegean. Of course these are insignificant for you. The world arrived in the courts, was troubled for twenty years, they were entitled at the end, but for you it rains. So the forest maps of the whole year and the first months, we will have finally arrived to have dominated forest maps for nearly 95% of the land. Another thing I would like to see in the House when we will soon bring the regulations and regulations for the land for the rescued fields, that is, the fields which in 1945, with the aerial photographies and orthophot maps, appeared and were agricultural, cultivationable, and then due to the police, because of the immigration, many of them were abandoned and looted. Do I want to see whether you will vote for this provision by which we are going to restore the designation in the cultivating land? We want young farmers, we want them to have new cultivation methods, to have modern crops of high export value, and I would like to see your vote there. Now you're not laughing? You're not laughing. Let's go down. Transport of forestry services. Forestry services are a great reform, what the Mitsotakis Government does. It's a big reform. When do you ask, my colleague? When? Where were you? Four and a half years, weren't you government? What did you do? You have left the forest services, the decentralized administrations too, to be troubled by the world as well. Will you vote for this reform? Will you vote for it? Well, they come with us vertically, in the Ministry of the Environment, that is, as regional services, to give weight mainly to the prevention of forest fires and the management of the country's forest wealth, to the benefit of ecosystems, habitats and biodiversity in general. We also have the national reafforestation plan, which I hope you will have a consensus on. National reafforestation Plan: Funded by the Recovery Fund with EUR 200 million. We will plant - and I will tell you when - immediately 20 million trees, broad leaves and leaves, we will make mixed zones with trees that are fire-resistant to the fire around the settlements and I hope you will also come with us. So I invite you to come together to the first pilot reafforestation that will take place within the next few days, in Parnitha, in Agia Triada and Buffy, to an extent of thirty-eight acres, with twenty-seven thousand head-olive plants from the public nursery of the Parnitha National Park. In Drasiza, again with 16,000 sixteen thousand headly plants, again in Parnitha, again from the public nursery. In Rhodope, the Singh region, in the Smigada area, in the public forest of Organic, an area of seventy acres to an area of thirty - three thousand six hundred black pine trees. In the Perma of Attica, five hundred eighteen acres burned and burned again and planted nothing. Also in western Macedonia, Siatista, Kozani, Platania. That's just the beginning. It is only the beginning, with Greek scientists, with Greek seeds, who are genetically controlled one by one. To short, one of the greatest reforms in relation to the protection of the natural environment was made by the Hatzidakis Act, with Law No.4685, with the Organisation for the Natural Environment and Climate Change, which, under its cover, takes over the old management bodies of protected areas. Some of these bodies, the eight, Mr President, had only boards and not a single worker, a patent of SYRIZA. The first seven bodies, which are incorporated into the Olympus, are Parnithas, are the rope and the Saronic Gulf, it is Delta Evros, it is Lefkimni, Dadia and Samothrace, it is of northern Pindos. Over the next few days, the former management bodies of Lake Pambotidas in Ioannina, Coronia-Bolbia, the Lake Kerkin and the Thermaikos Gulf are integrated.
ParlaMint-GR_2021-12-15-S1-commons.u230	Mr. Undersecretary, please, finish it!
ParlaMint-GR_2021-12-15-S1-commons.u231	I shall conclude, Mr President. In conclusion, we are soon building a national network with hospitals for wild animals, mainly for the orphanage. NGOs are doing it by themselves now, helpless. We're finally building the network. We found the area, forty-two acres, in the Penteli Rapentossa. There is a wonderful stone-floor building, and instantly, we make it and the NGOs will operate, with our own support and support. The same will be done in Dodoni, Epirus, and the same will be done in Thessaloniki. I conclude, Mr President. At the time when we are talking with the Greek scientists about the action plans for the brown bear, for the rosemary, for the Mediterranean seals, for sands, for endemic plants, for over thirty important species of flora and fauna. Also, at last, after an unrest of many years, the Greek state is finally taking steps for the metachromatic ulcer of the planet. Plates are disappearing, they are also part of the history that we all have to play for the retention of the banks and territories, and we have an action plan through the FYROM that we put into practice. I conclude, Mr President, and thank you very much for your tolerance.
ParlaMint-GR_2021-12-15-S1-commons.u232	But come on! You come up with...
ParlaMint-GR_2021-12-15-S1-commons.u233	I'm done now, Mr. President. Well, we also put forward - and there I would like to see what you will do if you vote for it, if you support it - another ambitious programme of the Ministry of the Environment, the so-called 'thousand virgin beaches'. Thousand beaches throughout Greece where neither electricity nor roads nor betsobara nor anything will be allowed. So the budget tells everyone what it really believes in the natural environment and biodiversity. We will stand, as we do, against the regression that you have brought. We build the new Greece. Thank you very much.
ParlaMint-GR_2021-12-15-S1-commons.u234	Before giving the floor to the next speaker, Mrs Papademiou, Mrs Giannakopoulou, the KINAL Parliamentary spokesman. Is that three minutes enough, my colleague?
ParlaMint-GR_2021-12-15-S1-commons.u235	Thank you very much, Mr President. Two minutes at most simply because it has almost monopolized the positions of both Members of Parliament, but, as the ministers seem, the question of the list of Mr Tsiodra's study with Mr Lytra is on the table. Mr Ministers, ladies and gentlemen, it is true - no one can deny it - that the situation with regard to pandemic has escaped. Yesterday we had a black record, we had a negative record from the beginning of the pandemic, with a hundred thirty dead, and in this way the worst scenarios are confirmed, with which the number of dead will continue to be high, despite a reduction in cases. Why is this done, Ministers? It's because, unfortunately, you've been too late to take action. The measures have come too late, despite the calls of experts, scientists for a long time. And the result is increasing cases and thus creating a suffocating pressure on the National Health System. In this context, therefore, ladies and gentlemen, both Vice-Presidents, but above all, Mr Ministers, the Tsiodra and Lytra report, unfortunately, does not come to surprise us. Why does he say? It tells us what common sense says: The higher the pressure on the ESS, the less the quality of care for the nurses, so, yes, there are more victims. We knew it, Minister. We knew it, we warned you, and we were talking about criticising, and we asked for a real increase in the ESS and for proper staffing of ITH beds with experienced and skilled staff. But once again you're late. That's why we're telling you, yes, they need measures. Even more, even greater, even substantial reinforcement of the National Health System, which is subordinated, which is staffed with staff who have not been able to train properly under these exceptional circumstances or is completely exhausted. Mostly - and I say this, with the whole Delegation - what is needed is for all of us to stand up for the vaccination. This is the number one medicine to treat coronary and pandemic. It is the only way to put an end to the adventure, to send all of us a clear message: 'Get in now'. This is the debt and responsibility of the entire National Representation. Thank you very much.
ParlaMint-GR_2021-12-15-S1-commons.u236	It is now Mrs Anna Mani - Papadimitriou from New Democracy. Mrs Alexopoulou will be followed by the Minister for Labour and Social Affairs, Mr Hatzidakis. You have the floor, Mrs. Papadimitriou.
ParlaMint-GR_2021-12-15-S1-commons.u237	Thank you, Mr President. Mr Ministers, ladies and gentlemen, the major challenges and the uncertainty of the global economic crisis by the New Democracy Government has demonstrated a plan, wisdom and effectiveness, protecting, above all, public health, but also by keeping the economy and society up, by simplifying a protection net for workers and businesses, but also by moving forward with important development reforms. The results of this successful policy are more than optimistic and are reflected in figures that are not in dispute. In particular, growth is constantly upwards and according to EUROSTAT figures, Greece records the highest growth rate throughout the eurozone in the third quarter. Unemployment has declined significantly since 16.5% in September 2020 to 13% in September of this year and is expected to be even further declining. Exports are constantly increasing both over the next two years, the increase will be the largest pan-European. Great investments, the colossal of the global economy now operates in our country, such as "MICROSOFT", "AMAZON", "PFIZER" and today, "DEUTSCHE TELEKOM", after meeting the Prime Minister, announced that more than 3 billion euros were invested in our country. And the most important consequence of all these investments is that our children, ladies and gentlemen of the Officerate, the children of the generation of Brain Drain, who left. This is not a theoretical construction. We all know that. We know that children from the countries of Europe are working at PFIZER in Thessaloniki. The above figures show that our economy is now in a growth path. The 2022 budget, which is based on the priorities of the Government for social justice, for a state of modern and digital, is also served for a productive model of ‘green’ and extroverts. The 2022 budget does not include any new tax, it increases no existing one. On the contrary, it provides for significant tax reductions. I would point out that, first of all, the exemption from the Special Solidarity Contribution, which will benefit private workers, farmers and professionals. Secondly, the reduction in insurance contributions by three units in the private sector. Thirdly, the reduction of the tax rate for legal persons from 24% to 22%. Fourthly, the reduction of the refund amount for the company’s repayable advances. This is some of the measures with a major objective of increasing the income of all Greek households. And, of course, we must not overlook the fact that the economic model of reducing the taxes applied by the government has the strongest deflational impact. A central role, of course, in the great effort of the Government to develop the national economy will be the implementation of the plan for the absorption of resources from the Recovery Fund. The EUR 31 billion that will be invaded by state funds is the result of coordinated actions by the government, but also of a personal success by Prime Minister Kyriakos Mitsotakis, who took the lead among European leaders. Ladies and gentlemen, two of the main pillars of the national economy are tourism and the primary sector, the growth levers and the special country of Pieria. The tourism sector, our heavy industry, which has been tested as few of the pandemic, has been kept up with the support and initiatives of the government that protected the workers, but has also supported financially and tourist businesses. The National Recovery and Resilience Plan provides for interventions to promote thematic tourism, mountain tourism, health tourism and already the bill discussed these days in Parliament is moving in the same direction. Also very important is the extension of the reduced VAT to the tourist package planned for the first half of 2022. Similarly, such support was provided by the Government in the primary sector. It stood by the rural world with tax reductions and insurance contributions. Exclusion from the trade fee, non-additional ENPI and payment of aid to our farmers affected by the consequences of the pandemic. Primary support will continue in 2022, with measures such as a low tax rate of 10% for agricultural cooperatives, a VAT of 6% for animal feed, as well as the return of the Special Tax on oil for young farmers and farmers - members of agricultural cooperatives, which the SYRIZA Government had abolished. Minister, at this point I would like to stress that it is very important for the primary sector to be further supported, mainly because this will bring in valuable funds from abroad, as many agricultural products are exportable. And because my country, Pieria, is a rural area, with quality agricultural products, an area that produces and exports, I am sure our Government will support Greek producers so that they become even more competitive on international markets. And an instrument, Minister, is also a reduction in production costs and of course helps reduce agricultural oil and income taxes. However, because rural activity is the most exposed to uncertain factors, particularly such as the climate crisis and the extreme weather phenomena, we must support our farmers further with brave measures. For example, with the reduction in the cost of agricultural supplies, a measure which will legally reduce the total cost of production and achieve the result of the competitiveness of our producers. In addition to the above, it is necessary to rationalise the resources of the new CAP in products which constitute brand name for Greece. For example, I will mention the ray, a top and dynamic export product of Pierre, with a huge perspective. In conclusion, I firmly believe that support for the primary sector is central. It is a foundation for the national economy, regional development, but also for the prosperity of the whole country. Ladies and gentlemen, I am voting for the 2022 budget, a budget which marks a change in Greece, which is developing, a budget that sets the foundations for a better future. Because as a well-known English poet, “the future is not a gift, it is an achievement.” Thank you.
ParlaMint-GR_2021-12-15-S1-commons.u238	Mrs Anastasia - Catherine Alexopoulou has the floor from the Greek Solution. Mrs Alexopoulou, you have the floor.
ParlaMint-GR_2021-12-15-S1-commons.u239	Ladies and gentlemen, this budget is the second period of pandemic and the twelfth since the first memorandum. In other words, it is another budget for the crisis, which tends to become permanent in our homeland. That is why they are not wrong for those who speak of the lost generation, but also for the death spiral of the Greek economy, with so many years of crisis loaded on the backs of the Greek people. How do you, in the government, claim that the economy is going well and that we are heading for growth, while the accuracy is scoring, wages are squeezing, unemployment remains high? You are talking about a socially fair budget, but from your budget, we see that tax revenues are hitting a ceiling of EUR 50 billion, increased by 3.5 billion compared with last year. They are indirect taxes which, in simple terms, means that people's income is being beaten, citizens' pockets are being emptied and the famous housekeeper's basket is empty. In fact, you haven't heard there in the government that inflation has again made its appearance threatening and it's already getting to 5% and it's beginning. A minister said recently that he can't see prices rising. Looks like we're shopping in different places, Minister. You make your purchases elsewhere. Because all of us going to the supermarkets, we see the rise of prices in all products and the agony of the world as to whether it will get through all these anti-grass measures that you are still taking, while the health crisis is peaking. This whole situation, together with government oligopoly, inevitably works at the expense of vulnerable social groups that remain unprotected. Where is the famous network of protection for disabled people or pensioners or households who are proven to be within the limits of poverty? To show you that all the Greek people really can get through, I'll bring you an example. Keep HNVIA in the real estate and disguise what's left of the Greeks. At EUR 2.5 billion is estimated in the budget for the revenues from HNPH and many say about the northern suburbs of Athens, my region, but do you know there how many people are diagnosed by HNPH with closed operations? This is also true in Philadelphia and Metamorphosis and Galachi and New Ionia. We are talking about people who have been deeply hit by the crisis, people who have lost business and property, but now they also have to pay HISBIA. Where? But how will the national economy be reconstructed when the government beats these people unrelentingly when it does not give any incentive to relaunch our economy? And when these dramatic events occur in the northern suburbs, imagine what is happening to weak social groups, which the government's hard neoliberal policy has essentially been written out from the horizon. How will all these people, gentlemen, live in government, when every day the economy shrinks, when one crisis hits the other, and when you take more and more measures? We have clearly reached the point where many of our fellow humans are considered unnecessary by the elite, a social burden that is slowly exterminated in an indirect way, through all the most brutal economic policies. And you know what I'm saying, it's not just theoretical shapes. They remind a lot of what had happened in Russia in the 1990s in Yeltsin. There was then a twin of hard neoliberal politicians, Andar and Chubai, who under the pretext of supposed reforms, had led their people to the margin, poverty and death. The infamous doctrine of shock, the very poor were wiped out and the sometimes small - mediumd ones became neo-poverts. Finally, this programme was abolished as a total failure, since it did not bring the saving of the economy but rather. Does the New Democracy Government have such standards for our country? Let's talk a little bit with numbers. It is a budget that reduces social benefits by EUR 50 million and the financing of public hospitals by 139 million, as well as by EUR 140 million, the funding of primary health care is also reduced. Yes, health costs are falling, no matter how unbelievable in the middle of a pandemic! How can we then talk about social policy? For the numbers I said, I'm filing the documents in the minutes. Ladies and gentlemen, we in the Greek Solution have pointed out from the start - if you will - that it is another management budget without seeming anywhere to change the failed economic model, which has led us to bankruptcy, and we have warned of the dangers posed to our economy while it moves away from the real source of development that is just one, our primary national wealth. First, minerals, underground. Secondly, marine wealth. Third farms, farms. Fourth, ports, airports, road network. Fifth, spatial planning, crafts or industrial parks. Six, water and electricity. They are nationally necessary goods for the Greek people. That's the only way we're going forward, ladies of the government. Thank you very much.
ParlaMint-GR_2021-12-15-S1-commons.u240	The Minister for Labour and Social Affairs now has the floor, Mr Hatzidakis. And then the Minister will start with the fifth circle of speakers. The first speaker is Mr Dermenzopoulou from New Democracy. Here, Minister, you have the floor.
ParlaMint-GR_2021-12-15-S1-commons.u241	Mr President, ladies and gentlemen, you will be listening to me as well. I'm rushing to say I'm stuck with the kid these days. But I've done enough rapid tests as well as PCR. The last PCR I did it two, three hours before I came here to be okay. Because we all have a responsibility to the others too. Ladies and gentlemen, these days I have listened to the Opposition in particular, a key effort is to degrade the social features of our budget and general social policy. Of course it doesn't surprise me. That's been doing almost business for two and a half years. But this attempt is in clear contrast with reality. For all that I shall say, I shall invoke information which exists within the Ministry of Labour and Social Affairs' own budget. I would stress three basic parameters. Firstly, the significant increase in the funds for social policy despite what the opposition is saying. Secondly, the positive and measurable results we have achieved in this area, which are reflected in the clear reduction in unemployment. And thirdly, a series of changes that will take place in 2022 and which will have a positive reflection on the workers, on the unemployed in the poorest sections of society. I am starting with the significant increase in funds. The planned expenditures of the Ministry of Labour and Social Affairs for 2022 amount to EUR 21.6 billion. Even if we remove the measures for the coronary for 2022, I mean, costs amount to EUR 20.8 billion. If we go now to 2019, in other words to the budget prepared by SYRIZA, the expenditure was then EUR 18.9 billion. It is now almost two billion more than the government was SYRIZA. So where do you see the reduction? We have an increase - if you account for it - of 10%. How do you measure social policy? What you do is good and what we are bad is just because we do it, even if the funds are more. So let us learn to say even the truth. The increase I am speaking about is reflected in all the individual policies of the Ministry of Labour, both in labour market policies and in the policies of insurance funds, welfare and equality. In pensions, for example, there will be an increase in expenditure of EUR 316 million, mainly due to the award of pensions outstanding from previous years. There will be acceleration and it will be recorded in the budget. In OPEKA we will have an increase in the family allowances, the allowances of disabled people, the funds for school meals and the other programmes totalling EUR 58 million, and there will also be a new allocation of EUR 100 million for the payment of housing allowances by the HRKA, as set out in the debt code and a second chance for the borrowers that this government has voted for. The numbers speak for themselves. And that is why it would be good before one has formally spoken from this Step to see instantly what is recorded in the budget and making comparisons. We're not going anywhere. I now go to the second part of my speech to underline that our policy, which you so accustomed to, has already begun to produce clear results in the social sphere. What do I mean? Firstly, with the over EUR 9 billion measures for the coronary for three million workers and unemployed we supported people who have been in great need and have maintained jobs in a time of great crisis. Whoever disputes this may come to prove otherwise. Secondly, by reducing insurance contributions by 3.9 points, which reduced the non-wage costs of enterprises and increased the workers' income. These are measures that are in place and reflect workers beyond business. Thirdly, with the intervention of the Labour Protection Act, in which we followed what is being done in the advanced European countries - and again, let anyone who believes the opposite come to prove it at some point - by combining the objective of strengthening competitiveness with the objective of real protection of workers, by regulating on the one hand, such as strengthening overtime on the European average, increasing the sectors that are allowed to operate on Sundays in accordance with European standards and reducing the administrative burden for businesses by simplifying the 'ERGAN'. All of this serves the objective of competitiveness. On the other hand, with regulations on the digital card, which will accurately and in real time measure workers' working hours, the new greater parental leave which is already a reality on the labour market, the measures against violence and harassment at work, the new rights of self-employed delivers and courier workers, the equilibrium on the payroll of workers with those of employees in the event of redundancies. All these policies, together with the fiscal measures of the Ministry of Finance and increasing the minimum wage, have the effect of strengthening the income available to workers who are paid the minimum wage from EUR 305 to EUR 534 per year. We have presented the evidence and have never been questioned. However, also the government's overall economic policy, tax, licensing, insurance and labour policy have led to the reduction of unemployment from 17.2% received by SYRIZA in July 2019 to 13% last September. The decline in unemployment by four percentage points during this period is, according to EUROSTAT, the highest reduction among the countries of the European Union. So you blame us for our social policy and we answer you with work. We are responding to the increase in the availability of workers, the reduction in unemployment and the increase in social costs, and this year's budget, in relation to the one we received. On the one hand we have great words, and on the other hand, we have social policy in practice. And because it is timely, I cannot bear any attention to what I saw on the Internet yesterday, it is widely circulated anyway: SYRIZA's employees are denounced by SYRIZA as seeking volunteers, but it is recruiting managers at high pace and noting that since 2014, the wages of SYRIZA have been cut by 1/3 and jobs, mainly due to departures, have been reduced by 1/4. I would therefore ask that when you come and act as prosecutors have previously checked what is going on in your home. I am referring to evidence, there is also the relevant statement by the workers. If you want, disprove them.
ParlaMint-GR_2021-12-15-S1-commons.u242	...(Not heard)
