ParlaMint-IS_2016-09-28-159.u1	There's gonna be time for a meeting at the same time. 12,30-115 today.
ParlaMint-IS_2016-09-28-159.u53	Madam President. To answer that question a little bit better, I'll say yes. I am absolutely convinced that the crown can be our independent currency without any restraint, any restrictions. But it will cost certain things, and I'm not sure it's worth it. I'm not sure that's fair. It will cost us a lot of money to keep. We must then have a wealth of state and well-deserved, with rest, and it could also mean that we must maintain a higher interest between Iceland and other countries. While much of this is positive in itself, it can also cost a lot. Perhaps it is more realistic and reasonable to build it on one of these routes and have the national emissary equipment available if necessary. I remember asking that question to the Canadian bank manager about the President's recording of the canadadolla what he said about this. Is it realistic that we can have our coins without any restraint? And he said, Of course. But then you just have to do what it takes to do. [[The president calls.]] The foundation must then be very strong. It will cost you something in this sense. You must maintain such a strong position. Then you can do it. It was the man who is now the bank manager of the Bank of England.
ParlaMint-IS_2016-09-28-159.u54	A respectable president. Thank you. A senator for his excellent speech. The Senator rightly says that this is not an amassing of the oceans, they are being cleared somewhat, but he adds that it is hardly reasonable in the present situation to make room for them as much as is being done here. The question, of course, is, Is it over my head reasonable, as it were only in the answers? I wanted the senator to be able to determine the limitations of these changes into values that he believes would be the most important factor in making room. What are some of the limits we might face, or would it be good to get rid of the remainder of the changes? And perhaps on the other hand, whether the senator is concerned about waxing business. We had a number of experiences with them back then, and it certainly did not work out well. Of course, the late banker has left behind a growing trade that includes them in human society, in moderation if they are good. The senator is concerned about that, even. As a result of the progress and growth process, is it possible for us to reevaluate life as a result of these changes?
ParlaMint-IS_2016-09-28-159.u55	Madam President. I don't know where to bring them down with what should clear more in the next round. However, some would probably think that these 100 million totals a year to number 6 2 mg. a-arms 1. would be a sum of money that could be so much higher. Some would probably say that and others could not buy just one house a year or something like that. There's still stuff in there. But I think the most important provisions are that the products and services trades in general are the ones behind this and the currency of people to travel, and things like that aren't on the limits. It's the space I think most people, on the one hand, and on the other, are going to feel. It's not much more to pick up. The question, then, is whether to raise some of the roofs of these large movements. Regarding my waxing business, I immediately became agitated when they began to scour them back here. I immediately became it in the fall of 2005 when they began, if I recall correctly, rather than 2004. I remember then I got some men from the National Bank Pension Department to see me and talking to me as the president of the Left Green. By then, there were 40 billion who had entered the wax - crumbling trade in the autumn. I found it a lot of money, and I asked, "Don't you worry about it? No, they weren't so worried about it. Wait a minute. Didn't this end up at 7700 billion? In the economy, it had become so fanciful. That's why I'm a spokesman for the fact that people are very quick on the brakes, if that happens. Happily, the force has been lower than any fear because of the foreign inflation, so low, that the Caribbean has not been able to bring up the growth, as it did repeatedly in dress contracts. And he has come with the binding potential, the binding potential, which is designed to block it down. [[The president calls.]] [[The president calls.]] I've considered it to be so or heard that he thinks it's sufficient for now and then that.
ParlaMint-IS_2016-09-28-159.u56	Thank you. The senator's answer and the warning. I think there is good reason to keep your eyes open when it comes to waxing business, such a problem they faced. But because the senator generalized economic developments on the subject, how remarkable it is that we are to finance the exchange of goods with the service equal! When it goes with the fact that we have reached the position of being an Internet possession country abroad, i.e. you have more possessions abroad than you have from a foreign debt, you wonder, " What is the basis for this interest here and in neighboring countries? ' When the service equation gives us positive results and a foreign source has become that way, is it not that in many respects the basis for the high interest in the land, which was to finance a home that is now gone? [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u57	Madam President. A little more about waxing business. We also need to look to the world's situation when we consider ourselves at risk in this regard. It is not for a wealthy garden to pay to achieve good results in short - term financial volumes, as is true of interest in neighboring countries and the economic situation. Therefore, this has been happening here and there, although connected with the euro, they have been better able to find it, the Swiss, New Zealanders, Danir, because they are still buying it as such. We need to be careful. Iceland could suddenly fall in and get into fashion, enough is the interest difference. I think the interest level has been way too high. I must say exactly as it is that, of course, you can be wise afterward, looking in the rearview mirror, but I weep for all the money that has gone into this high growth when it turns out that due to low oil and raw prices, and because of the crown's funding, there has been no inflation pressure. If not, there would have been an increase in housing on the real estate scale. Of course, one might have felt that the interest should have been much lower. [[The president calls.]] It is far better that they are so low if the zebra later feels that he has to raise them, rather than raise them to a much higher position.
ParlaMint-IS_2016-09-28-159.u58	V.E.G. President. I want to thank you. paritaprevir Steingrímur J. Sigfússon for this speech. There was a good understanding of the economic issues and the problems we are always facing in such a small independent economy. Of course, we are always following our tails, always trying to deal with situations. Just as we need to react when the growth differences get too big and there's going to be influx. We need to respond to the rapid growth of tourism here. It's all a problem. This analysis was fine. I'm not quite sure that everyone is as cheap on the economic issues of his own party, but I'm not talking about the former members now in the United States, that they have this understanding of the problems we face. Because of what? A senator asked if we had not been asleep in these dangers, but the answer is no. We're not sleeping over it. We're worried. That's why there's a lot of caution in the bill. We think about a precaution, how to handle it. This emissions e.g. is to respond to a massive influx, that we have the possibility of taking more out to cope with this situation so that the crown's strength will not be further increased. It is quite right that, in my opinion, it is quite a part. We're always dealing with this, and we've already made a device that allows us to do it. Hv. A senator spoke a little about the travel service, that it grew, and that it could be reduced, perhaps with much more to be left behind. I think, and I ask the senator if he agrees, that the crew can be expected to be reduced if tourism investments get pulled together, if tourists shrink. I'm sure it holds to some extent. [[The president calls.]] Does the senator not agree?
ParlaMint-IS_2016-09-28-159.u59	V.E.G. President. Yes, it is true that when there is considerable structure and investments, the temporary balance of goods for the worse can be completely justified if there are good and profitable investments for the future. It is being replaced and purchased quite a few of the productions and transportation equipment. It had become urgent and necessary. They are present, although they are transiently more import than export. I also agree that now emissions or evacuation are in a way similar to the risk of too much influx and overinvigoration of the crown. Of course, it is the ideal situation to take the more risk that there will be some efflux when, in itself, it may be economicly good that it will stop the crown's funding, which I do not back up fully to the highest limit of what is reasonable for us in the long run. I simply think there's a pretty hard place to see if there's something going on, that the exports and competitions will start to lose their energy. All of this, however, is a question of some of the buttons that meet together and that need to work out the best balance. It's good to know that the Economic and Business Committee has tried to cross this. I had no doubt about it, the fine committee has worked it as well as has been given to the Secret Bank and other special people in that regard. I think we should have complete confidence to take these steps. We've been doing pretty well up until now. I'd like to thank the Sustained Bank that he's repeatedly shown that he's been the problem. He's often spoken against, and he's being scolded for too much interest, etc. But my experience with him in these years, since 2009, is that he has been very successful in carrying out the test and yet is not an envyable privilege for one bank of credit to be asked to perform a currency head. [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u60	V.E.G. President. I hear that me and what. A candidate agrees on this in all the main points and agrees that this bill is not just good but even necessary in the present circumstances. I think we'll probably agree on it too, too, that it's a big problem in such a small economy with its own currency to stay stable, not lose control. It takes so little to disrupt it. That is why it is so important that we have resources to respond and respond quickly. Of course, the economic regime is always such that, as I said earlier, we're following a little tail of us, reacting to some situation. Perhaps the biggest problem for us now is that our major European business countries are still in a lamoid rush, which makes it difficult for us to do our business. But we must keep on the watch and have the resources needed to cope. [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u61	Madam President. Yes, there is much harmony with what we are saying. In itself, I don't think there's any serious disagreement about this, unless it's simply about the end point in this, whether it's practical or beneficial for us to have an independent currency or not. We know a difference. One thing is clear, and the experience should teach us long ago, that it is a challenge and requires great responsibility and discipline if we are to try to have an open economy with an independent currency. They require special responsibilities in these matters. I just went over what I think they need. We need a strong deposit, we need a hold on money, a low debt status, etc. A person must not indulge in careless or sleep disorder in that matter. Therefore, it is very important that each step of life be handled carefully and see if we are reasonably safe with what is under it. [[The president calls.]] That is why I have meditated on these matters, perhaps more for myself than for others.
ParlaMint-IS_2016-09-28-159.u62	A respectable president. Speaking of sleeplessness and carelessness, I wonder: it's now more than ten minutes over four, and I'm asking again as if I've asked before and will continue to ask, as if it were a matter of business and probably under these circumstances, whether there's something to know, when we can expect something to know, and if there's no news, it's good to know, too, because it's under these circumstances. I've been through this before, and I'm gonna keep going through this until I'm ready to react. I heard in front of me earlier that some executive said there was some kind of filamentist going on. Here we are using the time to talk about and ask questions that need to be asked. This is where we need to ask. And if they want a solution at the council, they need to talk about what the Senate should be like for the next week or weeks or how it is. Knowing if they are trying to figure out what they're going to contribute to this is the question. [[The president calls.]] I'll join them in a good time. A senator who spoke about this in the hall, it's time to save all the time in that subject.
ParlaMint-IS_2016-09-28-159.u63	The president would like to mention that, as he said before, the same kind of inquiry of which. A senator does not know that there is something being heard about the matter. A senator asks about it and will express it as soon as it changes.
ParlaMint-IS_2016-09-28-159.u64	A respectable president. One has an understanding that it will take the highest. One day the prime minister is picking up the head of the forward party and that it is time for them to negotiate on which issues to be emphasized here. But we at the council can't live with this situation anymore. During noon radio news, the wonderr of the news agency appeared on the scene. The president of the last council simply refused to make a meeting after the work programme was published, unless the government had a priority on the list. I believe that's where we're going now. It is pointless to sit here just to allow this government to give the nation the image that everything is going on here. The government does not cause its project, she cannot decide what subjects she wants to get along with. Then the chairman of the Senate is to defend the council against this kind of harbing, as we may now see from the government and simply do nothing for a meeting. So it is my request to the president that he present it to the presiding committee. It is my keen desire to follow the example set before, that it will not be announced to a council meeting until the top priority is made to the administrative body. [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u65	A respectable president. Contrary to what many may think, members of the council have something else to do than to be in a Senate hall and talk. It's no problem to make good use of your time here. All he needs is to use his head to find out what the rest will be like. In view of what happened. 4th, including We're out of here. mentioned earlier about what? The head of the forward party and the highest. Prime Minister, I wondered, " Is this a question of having two candidates, certainly Honor and Honor, speaking together? ' If that's the question, then you must put it in context with an upcoming Presidency. If that's what's stopping the council, we should just skip this council until it's clear and we can start talking. At least I don't understand why we're doing this here without talking to each other. I really don't understand. I don't understand why men don't just talk to each other. What's so hard about it? What should be so unfair about that requirement?
ParlaMint-IS_2016-09-28-159.u66	A respectable president. This council is becoming the sheepliest. It was interrupted during spring meetings in a rather fine manner and was handled with a number of Senate matters, objectively and well, and arranged to be gathered for a short assembly in the fall and there would be no new assembly at the beginning of September. It was the promise of Bjarni, son of Benediktsson, chairman of the Independence Party. Now the promise has been cheated by extending the old council to the new council that was never to be held. Here, the Senate continues day after day and week after week beyond the work programme, complicated, with no apparent eyes at the council, or to follow up on the issues in this room. [[The president calls.]] The President of the Parliament is supposed to follow a work programme and complete his work tomorrow. [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u67	A respectable president. I simply draw conclusions from a statement made by the prime minister that he is going to speak to the front of the government that he is talking to the head of the forward party because he is not speaking to the presidents of the formal administration parties. As we all know, there is one of the most powerful governments in the country, which is now in possession. paritaprevir Sigmundur Davíð Gunnlaugsson, former prime minister. Then the members of the Independence Party pass through the halls and say: It is only best to postpone this council until next week, because nothing will happen here and no decisions will be made until after the forward party party party party. The government is inactive, the prime minister is afraid to take a stand, and it can't outrun the competition with the former prime minister. Of course, when no one knows what the government really wants, it is no part of the council to continue the Senate. The lack of advice is absolute. Here are one or two members of the board, either if there is a member of the council hall, to be taken over, no less or less, which was to be the major case that the government was to continue on. [[The president calls.]] This is beneath the council. The President must stop attending meetings in this situation until the government brings in a list of priorities. [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u68	V.E.G. President. It is strange to hear the talks of the chairs now that have been proud of the success of the Senate work, the good they have done, and the good they have done. This place is full of big, important interests for the nation. We're supposed to keep talking about them as long as we can. It's not about us, it's about our duty, getting important issues through here that are more and less solid. Very big, very important business. We are not to stand here arguing with the president of the council on the program.
ParlaMint-IS_2016-09-28-159.u69	A respectable president. It must be made a comment to a talk or two. paritaprevir Dozen's Brynjar Níelsson's armor is that, of course, it's about us, the people who work here. The problem is that the declarations that the government office has given over the Senate and in the manner in which the matter was arranged here do not exist. Over and over. It is not the promises made by the directors of the administrations. The dates submitted, the schedules being made. It is this way at the council, as in other human relationships, that it is important for a person's word to stand still and to trust in or put aside the plans and dates in that subject. [[The president calls.]] The President's following it up.
ParlaMint-IS_2016-09-28-159.u70	A respectable president. I have to agree with what. paritaprevir The Brynjar of the son of Níelsson says that there are many national issues, many of the government's priorities, of course, that we need to address in this council hall. But that has been the big question in the past three, four months. Are these cultures and other things? Is there a problem with Minjaus? Or are we talking about surrogacy or sailing laws? Real estate records? What are we talking about? That is exactly what we have been asking for in the last three months; what are these blessed priorities of the government? There are so many things inside. It's almost impossible for the government to announce new issues in every news lesson. It's just a matter of taking a personal courtesy at the U.S. Congress to tell us how to set priorities for our time. I think it's a matter that's being discussed now very important, but maybe a government cruise law is important. [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u71	President. We keep asking questions. The President made it very clear in the television news last night that it was quite clear that tomorrow's Senate cannot be completed as planned. I disagree with him, but I can do nothing but say that I disagree with him. Then I think the next step is that the President of the Parliament will tell us what he thinks will last a long time next week. Are we talking about two or three days of Congress, or are we talking about all week? Are we even talking about a council in mid - October? Is that in the cards?
ParlaMint-IS_2016-09-28-159.u72	The president assumes that the president and the chairman of Congress will soon decide what to do.
ParlaMint-IS_2016-09-28-159.u73	A respectable president. I want to go through this matter a few words when it comes here at 2nd. It is interesting, perhaps a symbol of the lack of judgment and the solution at the council, that is now 2nd. The case that the government was conceived of is that no one is in the hall except the highest. The president and the one standing here. You have to ask yourself, " Is there any government object left in this country? ' In this case, I think it's important at first to look at the prehistoric existence of the currency burglars. Of course, when we now look back, it was important that the currencyors were put back, and they were forced defenses, which were inevitable, I think we can agree now to resort to a crash. It wasn't so when we sat on the council committee, as it were, on dark November evenings and discussed this matter far into the night, and it was settled at five o'clock in the morning after much discussion at the Assembly Hall and on committees. As a result of recent developments, this decision was inevitable. The economic conditions that occurred in the fall of 2008 will, in fact, be regular in Iceland because Iceland is a small country and a young country, and hence a country of borrowing, borrowing more than domestic savings. We borrow a lot when it comes to success, and when risk increases in the international financial system, risk laws increase, loaners want to increase security, and the money comes back out. In Iceland they always have to go through the currency market, and then the currency cools like a rock. This occurred in Iceland in one night of 2008 and in many ways deceived the world's view of collapse because the world's early world experience was that in Iceland there was going to be a completely special event that was basically different and different in principle than the rest of the international financial system. It was later revealed that it was not. Other countries had parallel problems. I specifically mention the borrowing countries on the edge of the European Union, Greece, Spain, Portugal. There, however, money went back to the countries that had borrowed large sums of money, Germany and the Netherlands, but it went through the bond market and caused no collapse in one night, such as here but for long periods of problems in the economy of these countries. Interestingly, it was the World Bank and his experts who recommended the handling of the currency registers. I remember the managers of the labour market parties who were like Tómas, who wanted to feel the nail marks in order to know that it was really that the representatives of the International Bank Fund were speaking for currency heads. But the situation was so difficult that they could see no way of controlling the inflation that we were dealing with other people. It was also inevitable to place the currency capital because of the unskilled government of the Federal Bank at that time. When the bank decided to lower its control height in one night and then had to rise again, as well as when the Sullaban decided to secure the gang's gangs one day. It worked until noon in the same day, and there was a fall from that procession. I don't even mention the Russian loan, I forgot, the famous Russian loan advertised by the Secret Bank as a release on Iceland's currency problem. It was this lack of professionalism that made it even more difficult to deal with a market that was basically broken down because there was no belief in professionalism in the Federal Bank or his ability to handle this matter. What the oceans did was allow us to make room for the economy. Many doubted that we would ever get back from the oceans or that would take a huge amount of time. Once inside, it was difficult to visualize the circumstances in which we could resolve the situation. The problems were huge, as was most evident when we set up a budget for execution in March 2011. At that time, the defamator was assessed for nearly 30% of national production, and there were no parallels in the world's economic history. At that time, the switch was not completed in the swelling camp of the fallen bank, so that the extent of the problem facing the national currency status was not even fully understood. They did not know the scope of foreign property, which, in effect, was added to the leftover peninsula and also had to be released. In March 2012, we dealt with it by legislation, and in an effort to achieve this position, we committed the property of foreign workers to the swelling of banks. When you looked at that time to the possibility of abduction, that was not a lot of optimism, as I say. Of course, this was because our economic base and our sizes in the economy are sensitive. History has characterized the rise of an Icelandic economist, which basically draws the strength of a gang and a blundering business hall that has to be corrected by a gang crash and inflation. This is, in effect, the history of the Icelandic economy from the beginning of the Icelandic crown. In those years, there were indications that we were looking in the same direction. In the spring of 2011, the divorce rate was directed to national incomes by the end of 2012 and the 2013 beginning, in fact, at the very worst time for the then reigns of government. Then, as early as summer, the explosion began in the traveling service that does not provide the end. In effect, additional exports for first the macroil and then, of course, tremendously positive service balance for the 2013 tourism service have completely changed the balance state of the economy, making the potential for a success of the gang then and also seeing that it is possible to take further steps in the disposal of a currency school. The 2013 Inspiration has been so advanced that people now feel that it is over - average success, and thus the ideal situation is now to take steps to further open up the sources of free currency exchange. In 2011, 2012, or 2013, we can totally describe an outflow that we could not predict at that time. The growing difference is also very favorable to us during the years 2011, 2012, and 2013 as a general lack of faith, let us put it, 2010, 2011, and 2012, especially, within both countries and abroad, on our economic inversions. The government's situation made it clear that this place was a bit cold, that economicism and commercial expectation had to be changed completely, and that the future looked bleak. In such a situation, it is very dangerous to dispose of a currency head without sufficient resources, since the danger is that there will be foreigners who take the money out but those who simply do not believe in the place where it is at home. This bill and research warrants of the Federal Bank, which contains it and is to be paid for the application of national economists on the subject, etc., sum up the weaknesses we have with the Icelandic crown. We are in complete uncertainty about future developments. If there is something that has become quite clear since collapse, it is only working if you are ready to head when the flow pressure rises. I think that's the lesson from this whole system. But in this policy, there is also much damage. This means that we can't expect companies who are planning to be in the international work of choosing to have headquarters in this country because no companies that want to be taken seriously in international business are at risk of being in a country where seas can be placed. That's a sacrifice for us. We see it so clearly in new activities in the work of knowledge that a positive trend has greatly diminished since collapse. Before the collapse and from the implementation of the EEA Convention, we had a large international company with Iceland headquarters, and I'm just name Marel, Assur and Actavis that mattered to us. We still have some of these odd jobs here, but Actavis is closing in Hafnarfjörður and there are no new ones so big to be made up in Iceland today. New research centres are much smaller and smaller. There are no hundreds of people at work. This is tragic and profound concern. As a direct result, we live in a currency market, and no one wants to risk having headquarters in a bank ticket country. The other cost of being willing to be on the head is the fact that this makes it easy for us to misuse power overmanagement. We make something called a national receiver, but their bait is important. When do they get sharp? What time is it sharp? Can a proper businessman slip through with his transfer five minutes to four if the obstacles are set at four o'clock? Does he receive a call that these obstacles are imminent or otherwise, just as was the case in the old days when friends of today's board learned of gangfalls before anyone else? They were able to obtain goods on the elderly, but ordinary people had to be caught up in the gangs. It is no coincidence that, at the same time as this government loses its membership in the European Union and shuts down a discussion about a new currency and a new currency environment, we have seen repeated its efforts in the terms of the ultimatum to change the management of the Navy bank and make it more political. This is because if we're going to live with the Icelandic crown where the currency's requirements are that people are always ready to head and where there are obstacles to voluntary business and that can be arranged by a government decision, we'll do the position of the governor of the country's political most desirable job in the country. As a result, we put ourselves in a position to be, not a free market economy, but a political economy. So the damage caused by the crown is enormous. We know that if we were to take full control of the situation, we would have to have a debt without money, we'd have a huge inaccessible currency reserve, and we'd have to have sustained much higher interest than in other countries. All of this is damage to Icelandic professional life. We try to do this to a large extent, and we'll have to do it to a considerable extent, but then we'll also make a national economy. We've already approved in spring influx obstructions where you can place a tie-related on those who bring foreign money into the country into the wax trade and, of course, a variety of efflux obstructions are in the pipes, and as I say, the U.S. will prevent us from becoming an international economy, we're going to be at such a length of half estate. That's why it's happening what I've been telling a lot of stories about collapse that it's impossible to go back without a hand. She'll always have some kind of headies. Men will call it someone else's names, but let us not deceive ourselves by maintaining the threat of laying a head at any time and by using a variety of national ecstatic devices that will offer different individual or specific decisions on who may be and who may not be expected to offer a world of political abuse to the World Bank and economic systems that will be handled in a similar way. I would like to finally, a respectable president, to express my joy that here at the Senate Hall are several members of the government stand. It's interesting that no member of the Cabinet can handle it, but it must certainly be a matter of concern to us as a member of the Parliament, and the Senate allows for us to be present at a discussion that is not wanted on the part of the board to participate. I'm glad we're here. paritaprevir The god - god of Guðlaugur Þór Þórðarson's son in the hall, but it would naturally be best to postpone meetings and continue them when there are any prospects of being spiritually and physically present at the council Hall.
ParlaMint-IS_2016-09-28-159.u74	A respectable president. Thank you. A senator for an interesting talk in advance. Hv. A senator went over the prehistoric to the collapse, and I found it interesting to remember it because even though I was just a civilian then, hopefully respectful, I remember very well how crazy it was. Hv. A senator was only in charge of the Federal Bank. I remember when my ex-fiancée. Prime Minister Davíð, Oddsson, became the bank manager. That's when I fell out. I thought it was so crazy, not because of the person of man, not even because of his political views or what he had done in the politics, but because of the fact that he was the most controversial and influential politician in Iceland probably since the Sturbian World - it could be reasoned all the way. It makes a problem for such a person to be placed at the top of the Secret Bank, at least for a foreign person's suspicion, and it certainly raised a suspicion in those here on the basis of a person's being suitable for controlling a lemon like the Sensitian bank. Later, he became editor of the Morning newspaper, which is not less funny in my opinion for the same reasons. At that time, it was natural. It was crazy how the economy went down here, the idea that in some way we were some kind of extraordinary financial genius. The opposite was true in the day. I wondered, " When I hear talks like this fine talk, why? ' A Congressman: Have we learned something from this? Has Iceland as a community and as a government system learned something? Will this be different in the future? Now that we've got a bunch of tourists, do we have all of this all figured out? Or can we expect that in the future we will make similar mistakes if we do not?
ParlaMint-IS_2016-09-28-159.u75	A respectable president. I'm sure we've learned something, but I'm also sure that we haven't learned enough. This is what we saw on the Senate discussion last week on the international financial watch because there was a great lack of analysis of the underlying dangers that are always for the Icelandic economy on the open market. I'd like to answer that question. A senator would say that I did not feel that we have fully learned from this if we believe that the solution can be a currency that is not a suitable currency and cannot be a work fee for an international competitive enterprise. Then I think the currency and the money problem will remain. It is not high now because inflation is low because of favorable external circumstances, but we know it just as if the night follows the day that it does not last indefinitely. When inflation begins or starts falling, unless it is both, we know exactly what happens in the Icelandic economy. Then people will look again to get a real currency that is as aggressive and weaker as a dollar. I also believe that we lacked understanding, such as in this financial issue, in the economic facts that we are facing. There will always be the influx of money to Iceland. There's always going to be a drop of money from Iceland. But it is very dangerous to create a communicator system, as it is being done with the national economists, which makes it possible that if troubled men get into the front bank, as the government has a great deal of intention to do in this ideal period, there will be tools for discriminate men, to pay favors, and to punish others. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u76	A respectable president. The depression in the answer is what? A senator reminded me of what I thought I had done most of the time here, i.e. the collection of information that we've been through at the National Bank. It is necessary and all of that, but it still has these problems. These are, of course, valuable information, and for more than the Sensian Bank and for more people than Icelanders. Well, there's a problem. I agree with what. Senator. I think we've learned something, something remarkable, but not enough. In particular, I fear that now we are primarily focusing on solutions or subsidies of the economy that can cope with this particular problem, which was due to the 2008 collapse of the bank. If I wonder if we're like that. Ready for a sudden reversal of the tourist stream, for example, that could happen for a million different reasons, it doesn't have to be listed, there's a number of things that can cause it, I don't see how well we would be able to deal with it. Then I'll be afraid, too, if anything like that would happen, and hopefully it won't, at least not quickly, we'll still need more devices like those put in here. These tools are put in place to collect information from the Navy Bank, a very broad source, over and over again, and will continue to be important. And most important, because we have this currency, I think we will always be on the alert somehow to the currency problem, which, of course, are the big swing swings. But there has also been complacency with the Icelandic government and, I'm just going to say so, too, to the public, in terms of possible economic mismanagement, e.g. The banking system, however, is much the same as the tourist industry. I wondered: " If we're going to have this crown forward, which looks like we're going to have the case, how can we make the best of it without ever being in any place? [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u77	A respectable president. The problem with the Icelandic economy is that there's a lot of Mickey Mouse economy. These are small sizes, and it is on the chance of a reasonable amount of material to provide access to money between countries that it can significantly affect key levels in the economy within 24 hours. It is impossible for the nation to feel that we are in a way like rich people's game, that the key sizes in the economy can be set for a handful of people. There will be a problem in the United States, especially after the collapse, because there is no world around you at all, and it is hard to convince people to invest in it. Of course, we're always biting our tail. Now you start investing or marketinging Icelandic bonds in foreign lands, and you have to invest in Icelandic dollars. It is good for us in some ways, the currency market gets deeper, but it is also bad in that sense, as we experienced in the collapse, that when everyone becomes a case at the same time as we are left with a great deal of trouble. I think the best way to live at the crown is to have some kind of head and restraint and a national instrument like us developing, but as I said earlier. They pose a real threat to abuse because the key sizes resulting from the information. A senator was talking about earlier, i.e. The key issues and decisions on who can go out at any given time are really valuable decisions. Those who get to go out can make a lot of money out of those who get to go out an hour later or who may not get to go out. It creates a risk of political involvement in the management of the Federal Bank. That's the big danger I see we're facing right now.
