ParlaMint-IS_2016-09-08-149.u1	To answer, health minister, education and cultural minister, environment and resource minister.
ParlaMint-IS_2016-09-08-149.u59	V.E.G. President. We're discussing something very important. Not only is there a great deal of growth with a report but it would be very important when it was made up for the standard of living in a large number of individuals. The first thing I'd like to stress is that we have to look at this matter, the social security bill, in relation to what happens within the pension fund because the processing table of the labour market parties and the government is also primes at the pension fund in the country. I don't think this can be understood. I agree with the words of Harpa Njáll in an in - depth article published in the Morning Press, where it calls attention to this. Harpa Njáls is an expert on welfare policy. This is the first thing. The second point is that although this matter has been developed for a long time, and I don't doubt that humans have tried hard to work hard there and look for extensive consultations, it is still that some members, the government groups, and the Micronition, are not involved in this bill or support it. This is the second factor I wanted to draw attention to. What I want is the connection between the social security and this bill on the other hand and the pension fund. What's being done here is moving the age line to take a pension from 67 years to 70 years. It will be possible to take a pension earlier than 65 years of age with impairment. I say, there needs to be a connection between the agelines in the general pension system and a pensionary age at the pension fund. In the general pension fund, this limit is 67 years. Incomplete pensions from the government Department of LSR are at 65 years of age. It is now spoken of in the labour market agreement to bring this threshold up, to set the thresholds from 65 years to 67, and according to this as I understand it, the target is set over 70 years because it has to be interconnected, I have a right to an uninvolved pension from public security at the same time as rights of the pension system closes. So we'll see where the guide points. It's talking about moving the dates all over the world up to 70 years. What does that mean? Does this change when people from the public, e.g. Can go to pension? No. People have been in the so-called A Department of Pension Funds since the beginning of 1997 when it was negotiated for the new order of pension on the public market and for the public. Then a rule was created that is set for 65 years by the calculator, the zero point. If you decide to go to a pension earlier than 65 years, then the pension will be reduced by 0.5% per month, being cut by each month. What does it mean for someone who gets 300 grand? K. In a pension fund? That's 1,500 bucks. per month. One person who went to a pension from his 60's lowers his pension by 90 far. K. every month, from 300 you. K. He drops it down to 210 yards. K. However, if he postpones making a pension until he is 65 years old, he increases his pay from the pension fund by 0.75 percent. What does it mean for the person with a count of 300 fars? K.? That means 2,250K. every month, every month he gets more money for his own money. Now we're getting the suggestions to move this formula into. What does that mean by the crowns? That means impairment, this great impairment. That's why I say this bill must be considered in the context of negotiations between a public labour market and public employment market. It is now making some agreements that must be made known. We need to discuss all of this in context. I'm well aware that government employees want insurance at their remuneration, pay deposit. It should be automatically. When I entered a labour market in the late 1980's, this financial insurance was contained in an arrangement that assumed special contracts in which the state and also the rural communities changed the pay of their employees according to experiences in accordance with the pay box on the market of special agreements. Now you're going to create an automatic mechanical connection between them. I have serious doubts about that. The same thing was tried in the '80s. Then they were to sell the rights, disable the rights of public employees, reduce them to a pay raise. In 1990, I think it was, we managed to avoid it. Lucky for you. At that time, the requirement was always to lower, equalize the pension rate, downhill. That was always a requirement. We were able to resist this and improve the pension rates that led to higher rates of pension in a public market. That was the result. Now the pension fund is in 15.5%, then the property savings is on top of it. It's a lot of money, a lot of money. One day a week, you're working for the pension fund. I believe that the whole pension system needs to be taken for surgery. [[The point is, how?]] I've suggested that we rethink our material production and to what extent we should be inside the flow system that I think we should go back to an increased degree. I would have wanted and talked in my last term that we would take a part of a resource fund like the Norwegians do and put it in the social security system. That's where a parking truck would be used for that. That's what I'm saying without having some serious condemnation of this bill. I don't want to do it simply because I haven't done a lot of research. I'm simply saying that we need to be careful, and we need a lot more discussion, including the labor movement and the community in general on this context. What's a little scary about all these contracts is that men are negotiating in a way that they've all guaranteed under their own feet and then negotiated for less terms into the future, feel that they are securing the future of people by raising their salary and creating mechanical screws in the context that I allow to say that I don't believe in. I don't believe they think. So I say, in spite of all the hard work that has been done and I'm not minimizing it at all: let's look at all this context. Let's take a slow walk to the ground. Let's get more articles, more views, more attitudes, because we're talking about our pension rights into the future. We have heard now, not just now for a year or a year before or during the last term and then, as well as the time when the elderly may not be suitable enough for them. Then let us take no steps that make them worse. Let us take care of that. Then we need to continue to take these matters into critical discussions. I think, for example. that it was a good initial step, not in the last government, but in the past, when distinguishing between disability, not putting every invalid under the same hat, those who have been in the labour market, who have received disability from pension funds, and those who have never entered the labour market, and who have to rely entirely on the public pension system. We began to divide the groups. The same applies to the elderly. It also requires that this separation be carried out. There is no need to talk about disability in general and the elderly in general. We need to examine each group's circumstances. It is the natural problem in the social security system that, on the one hand, is called on clear lines, clear laws, clear rules, everything is transparent, and justice is called for, as I am doing, often meaning complex rules because people's lives and standards and ideals are being met in general. So it's hard to do. V.E.G. President. This is what I really wanted to emphasize. It's supposed to be a slow pace. Let's get out of the public market contracts, general employment markets, just ahead of time, we're not supposed to get it done, and we're not supposed to have that kind of thing brought in before the end of the council, so we can't do that. I don't know what's going on up at the Ministry of finance. What's going on there? They're not on the table at the highest. Department of Social Affairs, Department of Health. They're already in the Ministry of finance. I agree with those who say, "This case must be taken into account. They're all under the exact same umbrella. That's how we deal with them.
ParlaMint-IS_2016-09-08-149.u60	A respectable president. Thank you. paritaprevir The count of Jónasson's son for his speech. A lot of interesting things that came out there. In general, it has been very interesting to listen to the discussion on this bill. Commenting on the fact that the case was not made earlier, we began a recent report on the Committee and have been working the bill since then in a group of work where key players are involved. I am absolutely convinced that all members of this committee or other committees who came to work on social security, whether we are talking about the Annual Committee during the last term or the committee discussed here and produced 2009, have really tried to make suggestions. Exactly like what. A senator named them, we have so many individuals who live in so many situations. Then there are these views: Do we want to have a simple system, or do we want to try to meet as many people as possible, which means a measure of communication? I can agree with that too. A senator notes the importance of taking note of the interaction between these of our key systems, the pension system and the social security system. That's the main thought of these changes. However, there are regulations in the bill where we say that changes in the law on the pension fund must be made at the same time to make sure that they reach their goals. What I've been doing during this term is that there are so many other things that are also playing outside the social security laws or social assistance laws. My priority is the housing business. That's what I've been stressing and worrying about most because the figures, the social references as the former government, are what they are. A senator sat in, suggested, showing us that the people who have mentioned their hands in Iceland are the rent - rent people, the people who have a lot of medical expenses. That's exactly what we've put first in the terms of the season, i.e. to change rent markets, increase housing support and establish a real payment system. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u61	V.E.G. President. I want to thank you very much. Ministers for her responses that were fine, and especially against one thing, we agree on the need to look at the overall issues, the social security systems and the changes we make in it, don't talk about age-changes in accordance with what happens in the pensions. That's not where changes are made. We are told in the media that it is being discussed, machines about it, but we do not know exactly what it is but that it is said to be equal. Then I ask and have often asked about it before in this discourse: Which way, up or down? I've been in charge of the declarations of paymen, especially of the European Union of Iceland, that the idea of moving down is to bring the rights of public employees down to the level of what happens in a general labour market. I want to go the other way. I want to move those that are up above. This has been our struggle goal for decades. There I refer to the organization that I have developed from, BSRB, and we have had a lot of success in this work.
ParlaMint-IS_2016-09-08-149.u62	A respectable president. I believe that the welfare committee will well review what has been presented here in 1st. I am very grateful that she has been a meaningful and effective preparation for the committee on the progress of the situation. I also want to say, in view of my experience, that I worked closely with the labor movement on these big housing issues, including the U.S. and now regarding changes in social security and general employment markets, that those who took the lead in the labor movement of public employees have done a great job in my opinion and will certainly care for the interests of their clients.
ParlaMint-IS_2016-09-08-149.u63	V.E.G. President. I have no doubt that men have done well in their work and that they had good intentions. It is natural, though, to respect the fact that all of us are going to have these views. We stand here, and I stand here on the talk chair hired to express my opinion and perspective. Of course I will. If I don't know what my former unions are doing, I'll tell you. It is called a democratic debate. It's always for good, I suppose.
ParlaMint-IS_2016-09-08-149.u64	A respectable president. Thank you. A senator for an interesting talk now as usual. Hv. A senator mentioned in his talk that he had gone into a work market in 1980. Actually, the person standing here is not born yesterday but was born in 1980, so I have not been close to as extensive a knowledge of evolution as this last 36 years or so. Senator. But I already would. A senator began to talk about the difference between 67 years and 70 years, if I understood it correctly. So I'd like to hear a little bit more about it because if I understand correctly, I'm not sure that it is, there's a difference that makes it that some rights of people get affected. I'd like to hear more about this, and I'd like to ask myself, " If I can't have different ages without any such problem? ' I'm not entirely convinced that I understand the problem exactly. Hv. A senator had numbers that I liked to hear. Also, I'd like to hear more about the idea of each one. A senator's reimbursement in the context of the pension fund, that's the way the resource fund works, the idea of teaching children something in elementary school works as a solution to everything. It's a little bit of a treasure that's working like that. I'd like to hear more from what happened. A senator on how he provides for the resource fund to live up to what we are discussing here, but more is involved in this over 67 years and 70 years, the difference between whether this difference caused some degree of impairment. A senator and then what can be done to prevent it. [[The president calls.]] Does this need to be a common legal age? [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u65	V.E.G. President. I believe that the nature of the matter is aimed at it and must become a fixed integration in the agelines set out in the social security system on the other hand and in the pension fund. You must have a right to a non-involved pension on social insurance when your rights in the pensions go out. My criticism is that one thing cannot be resolved with another. I'm warning you then that the move of age in the public funds, which is now zeroed to 65, will translate if these boundaries are added to a substantial failure of a pensioner from there. I mentioned 0.5% per month of each game and 0.75% of it, i.e. This is the benefit after 65 years of age. We're talking about, not just about age, we're talking about a dollar in your pocket after you're in a pension and a considerable amount of money. A person who goes to his pension at 60 years of age will reduce his payment if he has 300 you. K., about 90 ounces. K. every month by leaving earlier. Of course, this date depends on where they are set. Then the other thing is the resource fund and disappearing from that vast treasure generation. I have reasoned that I believe the pension fund is just too big for our economy. In particular, this was dangerous when the currency heads were and had been, locked up, and you get this greedy capital of bait out here on every ground and become too dominant in the Icelandic economy, I think I am. I think there's too much risk in this too. Therefore, my proposal was that we should be like the Norwegians who, to some extent, take the oil reserve into the social insurance and give the resources that would come to pass into public insurance for some of their financing. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u66	A respectable president. I can see that in the future we will have to change these ages very regularly because the nation's age mix is changing, and it's changing towards a larger proportion getting older. That's why I wonder if we don't have to coordinate this age over the whole area, i.e. between the pension system and the pension system, unless this should always be a problem that we especially need to stop every time. Is it not some age that all of us must agree that there should be somewhere in some area, so increasing that age is not a big thing in the way of time? Because one thing that happens over time is that we grow healthier, contrary to what most people think, and that we can work longer. This, of course, has such effects, and there is no evidence that this trend will soon change in the future. So I wondered about future solutions to the problem. Surely we are going to allow it to stop us from changing the system every time it arrives in the next few decades. So I wondered, " How can I solve that problem permanently? ' I can only imagine two things. It's the case, and I'm interested in what you think. A senator's job is to coordinate this age so that it's always discussed all at once automatically, undeniably if we moaned about changing it in one place. The other is to change this somehow with this impairment, which, in fact, I don't see quickly how you could do it without challenging the purpose of the system to begin with, i.e. These impairments either do not occur or are simply mild or what. It's a lot of impairment if people take out too early as a whale. A senator goes over. I can't see the solution there myself. It's just the one thing I can think of, or it's the only thing I can think of having it all worked out. If that explains my question, I hope so. A senator can go in on it a little bit. Or, is this so that every time we have to go all the time, we have to go really slow? [[The president calls.]] Then I realize that the development of this class would be relatively slow as time goes by.
ParlaMint-IS_2016-09-08-149.u67	V.E.G. President. Yeah, I think evolution should be slow because we're dealing with such a huge deal. What's happened with the pension age is that we now have this running in it. We can go to a pension from 60 to 70 years of age, so it's up to us. And it's an insurance calculation of the degree of impairment, the self-sustaining thought behind it, for every month if you go into pensions before 65 and what the benefits are left, 0.5% before, 0.75% to go. Why the difference? That is because as we grow older, our lifestyle decreases. It can pay for the pension fund to keep us working longer. That's what I'm thinking. It's just insurance calculations. What I'm saying is, in fact, we're not discussing when people go to pension because the curve is right there, it's right there. We can totally control it. The question is what the formula is supposed to be about our standard of living. That's the big question. That's what we're dealing with. That's where I'm saying we're not supposed to finish this discussion without getting very good into it. Now I'm told that the agency of public employees is negotiating a change in this system and the condition of getting some pay raise into the contracts I allow me to have certain doubts about. This was tested at the end of the 1980's and left behind. Pension rights were held. We continued to improve them and to improve them for everyone, including the growing general labour market. At that time, the Allied Union, unfortunately, fell against this proper benefit of public employees, there was a disagreement on that, which resulted in the raising of their companions. [[The president calls.]] This is reality. Let's look at him.
ParlaMint-IS_2016-09-08-149.u68	A respectable president. I will speak a little sooner than I would have liked to discuss this discussion, perhaps following a different talk. I would have liked to hear from what. A senator because I find it so interesting as he says it. For this one. I will review what I have considered in this matter. First, I'd like to agree, though it may not be the main thing, which has been told by someone else. Parliamentaries and is that these amounts are too low, i.e. those that happen to users of the system. Surely, there is something that we need to deal with. Although it's not about the nature of this case, it would be normal for me to deal with the problem at the same time, which is not something I simply expect of people, because it's a complicated case, and it mixes with fair reasons for the amount and how the system works. As you can see in this bill, the amount of money changes according to the circumstances of people, as you would expect it to be an important system change. Here's a reminder to simplify the system and change the pension age, make it a little more flexible. I myself believe, as I have considered several times, that the complex phase is the biggest problem with these systems. I find it difficult to discuss the competitiveness without the system being simpler because when users themselves get into trouble, by any means, a dollar to a dollar to a dollar degree, which is blessed with this bill, or interaction so that two systems will have a negative impact on each other or something like it, it is no longer a question of what the law would want to have fair but how the system has actually broken out against the user, without someone having necessarily intended to have it. These are problems that arise when systems are complex, problems people don't know how to solve, no matter how much they want to do. That's why it's so important to simplify our systems. I agree with someone else. A senator who spoke earlier that I think the system needs a complete reexamination. I realize perfectly that it is not easy to do so. It must be measured, and it will take time, and it is a complex project that I do not expect to be one of the highest. Minister on the inside. I think it's a project that has to do much more than give it to one particular politician, even if he has part of the government with him on his side. I think this case is of that nature. The argument is supported by the claim that despite efforts to simplify it, the system is still very complex. I think it's in my eye as soon as it's mentioned. As I said earlier, I rejoice that a dollar in return has been removed from the bill. I hope then it's gone, though I have to admit that I don't know all the smells of these systems well enough to know if there's a similar problem elsewhere. But this is certainly what I've heard most complained about. I believe here is the issue of history, I hope so. Hv. It's probably better with a welfare committee. It is generally difficult to make structural changes so that they will not be harmed. I think it's always so they don't get hurt. Then, too much good is to be seen, and it is preferably possible to deal with the temporary arrangements for a system to catch people who become part of a system change. It's complicated, of course. It's not easy making a safety net around it, either, I figure it out completely. Although I would like to consider other psalms that others have not done, I feel that it is worth mention of social security. This is also a feature that I see very much around the foreign languages and is a characteristic of a system full of handnails. The global insurance system we've decided to set up is designed to help people in need. What, then, must be done? Yes, people need to be kept in need. It is highly fitting that people are not being given money that is not meant to be given. This attitude is bound to be included in the system, and it is also seen by the legislatator and whole society, I would say. The same is true in foreign languages. There are certain conditions that we have set. We're going to give these and this group and the other opportunities or the other rights, and then we need to make sure that the person deserves it in some way. This means that when we engage in the work of deciding who deserves what, we tend to include rather than personal factors, personal factors, such as If you have a mate, something I think with personal things in each person's life. Another factor may not be quite as personal, but it is certainly an opportunity for people to make practical application of situations, and it is whether they live with others. This has been a bit difficult for me to talk about, both in Generals and in general, because it is as if society has decided that it is normal for us to take into account the factors when we define improvements and rights. I want to tempt that ideal, and I'm completely open to objections, but I think they can get in the way and get in the way of how close people have been to such questions over the years. I looked up a calculator for pension money, and it's asked if you have a mate and if you live alone, and I got a little offended because I don't feel that it has anything to do with the system. I feel that it takes some money not to ask their questions, maybe not 50 billion years, but I think it's all right if it's realistic that some money will be taken to break away such a question. There's something that needs to be discussed in a better void, not necessarily on this occasion, but I'd like to throw this out because I don't quite feel like what the Icelandic and Icelandic people would like to go far into people's personal lives in general life. All I need to mention is a national record that could go on shorter than that, especially in the light of technical advances and means of achieving some goals without going so far into people's private lives. But I also consider it worth mention when we discuss social security and a similar system. As stated in the report, by permission of the President: As shown in Table 3, professional pensioners are likely to get worse in almost all cases according to the new rules than according to local rules. It is only the incomeiest and the income - making ones in the range of some 374,0003/4473,000 jars. in a month of employment, which will receive as high or higher pay in a new system as it is in the current system. With the premonition that I don't fully understand this system, there is always this tendency to make sure that we only make sure that there are compensations that we've decided to deserve, and then we put together restrictions that may have unwanted consequences. I'd like to mean that a lot of income connections, especially large but also mere subsidies in their nature, are in a way that discourages them. They are so that when a person with no income and the use of pension or social security or whatever, any system in which he is in the position of reducing his income by earning a job, it is in practice to that user tax, even a lot of tax, depending on the circumstances. It has a discouraging effect. It involves an inevitable waste, a waste I don't think will help anyone, a waste for the individual who is not only a financial one but also in the sense of freedom. I think most people want to do something. Many people haven't figured out what they want to do, but I'm totally convinced that almost all people want to do something. They want to be part of a community. They want to matter. They want to make or participate in something. When the system is designed to deal with people, it discourages them. I don't have a complete solution for it. I would link it to the civil pay discussion, which, in fact, is quite different from all this discussion and, of course, at the very beginning that it can be viewed only for the future. I'm not suggesting we pick up civil pay, I don't think it's time and it's real now, and it's probably not gonna be decades, but it's worth looking ahead on how the situation changes, especially unemployment because of technical progress. But there is another discussion. I'm not going to get very deep into this. The very concept behind civilian pay is that there is an enormous waste in our present systems because of this influence, an effect that no one wants to have there, an effect that no one would want to be there, but still there. These are the side effects of the systems we've built up by being constantly shielding us. The lips are natural, certainly understandable, and even necessary, but they inevitably have these effects. I think we should keep that in mind when it comes to this. I have to agree with that. paritaprevir Jónasson's son's attitude is that it is a little bad how late this matter is discussed at this assembly. It would be nice to have more time to discuss it, especially if it is to be done more. Similarly, I have to say that I find the discussion to be just as useful even if it is now, it is here for the future, and further information will be obtained by the Committee. I think there are some things that are very important. A welfare committee will review thoroughly, including the context of the pension system and the field illustrations for simplicity, and preferably, at least, to see what may be more simple. The authority to take part of my pension is interesting to me. I have to say right now, I have so little time to discuss this, that I don't quite understand exactly how it should work, but like the highest. A minister himself mentioned in his first talk is something that the committee brings to a closer look and hopefully to a good degree. It's an interesting approach, especially if the payoff target is canceled, as I understand it. When I sat here in the hall earlier and was listening, especially to what. Jónasson Ögmundur couldn't help feeling that there was a special assembly to discuss these matters. Then I immediately thought that this was true of many more lawsuits. I don't think we'll ever get a very deep discussion about this group of litigators, and so do many lawsuits, in the councilroom. We usually get an excellent discussion in committees. It also takes time. They are closed, they are not radioized, which means it is harder for the public to get into their conversations. These conversations are often, based on my experience, what sheds the best light on large and complex issues, not necessarily all issues, but certainly big and complex issues, except among those who have taken some special interest in them or who simply have experience in their own personal or professional systems. I'm not going to keep this any further at this time, a respectable president. I still have to decide how I feel about this whole matter, which is the nature of the opinion that the committee needs to consider so that they can come to a better understanding. I think this discussion is important and I expect it to continue very far into the next terms.
ParlaMint-IS_2016-09-08-149.u69	V.E.G. President. I like an interview with what. A senator of some time ago reminding me that the subscription was ▪ Congregation is not the goal of the year. That's where it went. A senator over the various groups that are in a desolate state, listing a group that he called "futures." I've asked you once before. A member of this group, whether this group is growing or decreasing, whether or not it is sexualized, i.e. whether this group contains the same amount of both sexes. I'd also like to go inside. A senator by what he said earlier about people wanting to work but who had not yet found out what they wanted to do. Now it seems so bad that the part of the Commission's proposal for reimbursement of social security that the energy assessment failed to establish, a significant percentage of the opposition of Iceland's Qualified Community, which I actually thought would welcome these reports, but it wasn't. But my main question to what? A candidate is about this group he could handle during the interview from the past and whether he can inform me and the people about the group that this is and how it is made up.
ParlaMint-IS_2016-09-08-149.u70	A respectable president. I remember that reason. A senator asked me this question before, and I have answered it before.
ParlaMint-IS_2016-09-08-149.u71	...not an answer.
ParlaMint-IS_2016-09-08-149.u72	Hv. A senator believes he has not received an answer. Then we'll just try harder. I hope I have a little more time for that right now. It's not true that I said that equalizing was not a goal. I said that in my mind, it wasn't just that everyone really deserves the same thing, it was not necessarily a justice matter, it was a financial matter. I'm just as an agent. I am now a liberal relative, and I have no reason to change my mind even if, of course, I give it a chance over time. But the reasons for this, as I tried to explain in this interview, are primarily economic, not just the rights, although they are also there. I think it's a matter of economic importance that there's an equality in the community. I think it's important that the economy be useful to as many people as possible. It's not true that I said that equalizing was not a goal or that it wasn't important. It's a goal, and it's important, and I believe it and I'm equal, so I hope it's clear. I hope so. At any rate, a senator allows me to have the views I personally have, I hope it will not be hardened any further. My comment, I don't remember exactly how I put it, but I certainly used the word ◯ummurs, were not to specify a group according to my knowledge, so I can't answer the question. A senator about sex or what group it is. What I was referring to is the attitude that many people have that they are prone to social security, unemployment benefits, and a number of such equations give strength to losers, those that other people feel to be losers, not to me. What I was trying to say is, "Yes, you know what, it's okay. It's okay that there's some expense, the cost of it, which goes to a bunch of losers, but I'll answer to the population, because it's not as important as watching it, and that the people who need these devices can get these payments. [[The president calls.]] It was in that context that I used the word, at least to do it. I hope now I have answered the question. A senator will be happy to do so again if this still exists.
ParlaMint-IS_2016-09-08-149.u73	I'm glad to hear it. A senator is provided with an increasing equation. So we are in the same boat because the proposals of the Committee as they are available and the discussion of the Committee went very hard on the possibility that men had an opportunity. I have not yet fully understood the explanation of this particular group that I asked earlier in spite of my words. A senator, but I'm taking it so that he believes that according to a public rumor, there's a group within the host who really isn't a cripple but is such by his own wish and/or personal initiative. I'd like to get this clear from the senator because if it is, I completely disagree with him. I believe that people who now enjoy these benefits, which many people think are considered to be narrow - cut, including me, have passed through food, microenergy evaluations, where experts have determined that they do not have the ability to function. That is why I still want to, away from this undefined group as a dog. A public speaker seems to have launched a public talk, asking him about the attitude I had at the moment, whether he believes that the performance assessment as suggested by the Commission's proposal of social security is more likely to assist these people in becoming more active members of society. Then I am not talking about saving money to the state but of making the individuals able to reimburse more active members of society so that they will have a more full and meaningful life. [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u74	A respectable president. I can't give a final answer now what I think of my ability to work. I've had a quick look at it. But the criticism I heard about it has not completely been able to relate to the ideas I've heard about the ability to work so far. At the moment, I'm in favor of it, hoping it will have the effect of it. A senator mentioned. I can't really answer that question better at this point, not until I've had a chance to learn more about the difference between the quality of life and the current structure. But according to everything I know about it, that's a step forward. As far as this group is concerned, I think, more respected President, at least. A senator tries to be more shocked by these comments than is necessary. That's how it is in a community of hundreds of thousands of people, and we've created a system of tens of thousands of people. Of course, this discussion is always there and has taken place here in the Senate Hall and especially since then. 2.m. Reykv.. s. at a time, which is a candidate, h. paritaprevir Vigdís Hauksdóttir, that there are people who misuse the various systems. Of course, it's always there. Whether it's 0.1% or 1% or 3% or what I don't know. There are others who know better, I have at least one. I didn't hear very large numbers at those committee meetings that I've been looking for. Of course, that group is there. He's probably very small, or at least I think he's very small. But every time we discuss these matters, you become constantly afraid you won't do this or the other because there'll be some group that others call a loser more than they deserve. What I'm saying, for I seem to be more equal than a boy. A senator is that if I understand the critics correctly, I feel that this is an acceptable sacrifice, certainly to some extent, to make sure those who still need them. I think it's the most important thing, far more important than the fact that we're constantly wondering if this or the other one is cheating on a system. It can happen well in all systems. There's no blame for any group. [[The president calls.]] It's just the nature of human society. I'm the one standing here saying, "We're supposed to stop wondering if these people are calling us losers or not. " That's not the main thing. [[The president calls.]] The important thing is that people get what they deserve.
ParlaMint-IS_2016-09-08-149.u75	V.E.G. President. I want to express my satisfaction that this bill is being passed here. It is based on the results of a committee on a review of social security that was initiated by Pétur Blöndal, who was then controlled by his sickness and relief. I need to express my special satisfaction that the main objectives of the committee decision, i.e. The transparency and simplicity of the system should be returned to the bill. It is true that the bill as it is available will not solve any human problem because what it is in general and will deal with general improvements in the laws we have had here in recent decades. These laws have been modified and so complex, such as today, so that there is no man in Iceland who fully understands them. We had a very good member of the Committee who was suspected of being the only man in Iceland who fully understood the social security system. He mentioned it very early in his ministry that it was overeat, he did not. Each of us realizes that when the system becomes so complex that no one can accept the ability to understand it properly, it is time to change it. Before this committee, there may have been four, five such committees at work. I am very grateful that this is probably the first time that the results of such committees go so far that her proposals go into the bill, and they are recommended here at the Great General Assembly. It is a cause for rejoicing. There are also some interesting things in the bill and in terms of improvement, including the offer of a flexible retirement, i.e. that retirement can be from 65 years of age and from 75 years of age and 80 years of age at an early age because we as a nation are getting older and we are feeling better. Also, it is said that we can take half of our pension and do half a job, which prevents the often retiremental isolation of society. In whole, it is a very positive step. The frustration in this case is that the Commission's proposal of professional assessment, which the Minister had prepared in a case that would become a sort of experimental project in order to set up an assessment of performance, will not now be realized because of opposition to Iceland's Environment Association. I'm really sorry. I have previously described that because of a very good position on the Commission on the development of the fundamental report, it is a very bad thing that Iceland's Scaring Community should not want or trust in taking full part in the work of the Committee to the end, thus affecting its content, for the benefit and benefit of its partners. The poor also saw no room for representatives in the work continued by the Ministry on the project of the bills, and I am deeply sorry. I believe that with the arrival of this group to work until the end, the result could have been even better than the one shown here. I think it is extremely urgent that such an organization, such as the Qualified Community, affects the future situation of its members. However, the older citizens' union recognized and participated in the work of the Committee to the end, thus affecting the content of the bill. This is the only major change that has occurred in this system for decades. I'm very proud that I had had a small part in it. There is also another thing to celebrate, i.e. that it is in itself the goal of identifying the resources in Iceland to take a pension. Therefore, the role of social security should be sharpened so that they will seize those who do not have other houses to protect, i.e. that those who have a fund of pension and who are able to stand on their own financial terms do so but that the emphasis is placed on those who have been mentioned. It's clear that, on its own, the bill won't do everybody. It is quite clear in my mind that e.g. The elderly group who have the desired group will need specific measures. Therefore, it is very important to identify the problem of the group in order to take the steps necessary to settle their share. You have the impression that this group is the people who live either in rented houses or in debt to their own homes, and who have high medical and pharmaceutical expenses. I think it's perfectly clear that if we're going to capture the problem of these people -- and it's exactly the same with the desperate population in the most difficult place, it can be said that these are four, five thousand people in each group - I think absolutely necessary that this group's problems are clearly diagnosed and seen how it appears so that they can be handled there. I don't think it's very complicated. If this is going to turn, for example. various changes can be made in drug costs. I remind you that about two and a half years ago there were ideas here to put drugs like that. on lower value tax level. It would immediately reduce the cost. Then there is something that is more thought - provoking than that those who struggle most that there is freedom here to import such things as agricultural products and other things, do not consider drugs and buying to be offered in the international market, and consider major regional failures if they do so. Of course, such economic care is not to be listened to. The cost of medication in this country is naturally to be taken with all the advice we have. We should not allow this to stop us if some special interest groups resent it because there is too much at stake. It is at stake to improve the standard of living and life of a group that is going to be hit very hard. All of us here are under obligation to try to make the best of it. So I'll tell you again, this bill is a very good start, and I sincerely hope that members of the committee at what time. The welfare committee endeavors to do this quickly and effectively so that the compensation here will benefit those to whom they need it.
