ParlaMint-IS_2016-10-06-165.u1	The program suggested at the end of a meeting yesterday has been called again.
ParlaMint-IS_2016-10-06-165.u54	A respectable president. We're gonna go for a second. A senator will agree on this in 100%. After I got a car and got a car test, I've been driving around the country only. There is a difference between areas of land in the way the roads are. I don't think that's fair. If we're talking about 11 billion for maintenance, we could use that amount for maintenance on the West Side alone, on the south side of the Westfjords alone. The roads there are natural - I don't know what to say - just traffic accidents; not to mention the road to the grave. I'd like to ask you what. A senator on the road to Doom, where there is a massive stream of tourists. There are people going in RVs, on giant cars, on small little cars that have nothing to do with this. There's a precipice and nothing to hold or support. Have we come to a place where we need to close the roads for safekeeping, e.g. The road to the graver, i.e. if not getting new funding in there? Are we in a position where we simply cannot keep some roads open, and that pearls like Dooms are too dangerous because the situation is too dangerous? We've neglected this natural bulb and the chance of death. Is it just time to close and say, "Sorry, we have to fix this road? We're just waiting for a terrible disaster to happen. There's buses going around. Should we wait for them to slide down because the road passes? Are we really going to be there? Roads can cause traffic accidents. The prevention of road construction is simply a matter of fixing the roads.
ParlaMint-IS_2016-10-06-165.u55	One of our proposals in the memory of the section is just about to take place in the way discussed, on the road to Death. I hope the government party members, members of the administration parties here, agree to that part of our arrangement. Speaking of keeping the roads and talking about the Westline, it's very memorable to me when I drove from Stykkisolmi to Patrekfjords. When we were driving all over those necks and hopping around these roads - you would have really needed a kidney belt like they have on the machine. My twins were then about six months old, and I thought to myself, " I couldn't imagine driving this way with my children. ' It's a long way, it takes time to drive this. You don't feel so good in the car, in the humper and the turn and the turn. I'm not sure I would trust myself to drive there with young children. It is hard enough to drive a short chapter on dirt roads and farm roads on the way up to the cottage with the children. I take my hat down to young children living on the south side of the West under these circumstances, so that's just what they're saying. I think we need to look into the community that this is about to become the main focus when it comes to settlements, i.e. Transport and communication. We need to stop calling out plans, with projects that all are good, the program of the Kingdom of God. I think we're making a very big mistake in regional affairs by not looking much more at the seminary and putting the big projects in there. Perhaps the understanding of the projects would also increase if we put them in a social context rather than just a conflict between us here, as a result, all too often.
ParlaMint-IS_2016-10-06-165.u56	Mr. President. I thank the senator for his speech. I found her very interesting, as I would like. It is always good to hear of people who have been assigned to serve on the committee and who have had visitors tell us a little about the situation. In fact, I know it too through a financial committee; it's where all the rural administrations, the transportation, the optics, now the triphasic electricity, and it's somehow all up to the bottom. So you pretend to be a little in there, and then you live in an area where things have been done, but there are many things you can't do, as mentioned here. the proposal for this work to be completed, although it is suggested that it be completed. There are also these roads, these bad roads, only on Ring Road 1, which are unalterable, such as the front - office of the Bermuda Worldbed, also in Langanes, and in other places where there is a fear - inspiring situation. I'd like to ask, because there's been a lot of talk about security, how the senator feels about taking up some sort of beach cruise again, not perhaps the way they were here in the past, since the present requires otherwise. But is there something that you might move off the highways and on the coasts again so that we could reduce the pressure? As I said earlier, when I drive only between Akureyri and Olafurland, I'd like to attend a lot of trucks. In fact, they go around certain days a week, and there are more, more cars. It's a huge security issue, too. I wondered if the idea is crazy or if it's possible. I just want to hear from the senator about it.
ParlaMint-IS_2016-10-06-165.u57	Thanks for that. I can't really answer that because I'm just a little technical at times that I just want experts to figure out these things. I think it's part of some practitioner. If we make it our goal that we want to reduce heavy transport on the highways around the rest of the tourists and all that, we're going to get some kind of human beings to figure out what's best for us to do. Maybe it would be better if one of the ideas we want to have the minority opinion viewed and noses revealed, i.e. This would somehow improve if separate lanes were e.g. Right away between Reykjavík and Akureyri, it would be very important. That would be less of a beach cruise. I just don't know anything about these things. I'm willing to sit down and set some goals, and then get some experts to figure this out and find the best results. Sometimes we're too calm about this. We tend to hold on to some means rather than maintain a goal and then be ready to discuss the results. I'd also like to mention, for example, just because we're discussing this separate road policy between Akureyri and Reykjavík, that in all this discussion about train travel, I have the dream of living to see that this is the way of the U.S.A., or something like that in the capital, that we have a train station in the city. I feel somehow that every real city should have a train station, but maybe it's an old-fashioned thought. But I think we should also look at this big route - why not start considering that there may be a train between Akureyri and Reykjavík something coming in the future? [[The president calls.]] You don't know. [[The president calls.]] But I want us to go look over there and wonder if it's a good idea.
ParlaMint-IS_2016-10-06-165.u58	Mr. President. I agree with the senator that it may be utteristic to visualize this, but of course, a double road policy is not peripheral. But to imagine such a train system in between, I'm hoping the climate change won't lead us in that direction, but that's perhaps one of the things you're worried about with all this traffic on the highways of the country. It may not be in the spirit of what we need to consider that we are about to become a considerable city, as the senator mentioned, namely. The jam here in the morning. I wonder at lunch today's dining room that the three years I've spent at the council - I feel a huge change in this autumn just since I got here in 2013. I feel that the weight of traffic is much higher, and this, of course, is in opposition to what we need to do. If we are somehow going to try to meet these goals, we must make adjustments. It is not enough to think of an electrical force and something like that, but we also need to consider proper and real cultures, which, in some way, are stored in some kind of train structure, I think. I just want to think about it, too, because we're both interested women on a tunnel and the study that the senator referred to, which was just so surprising. I live in a rural society that has four or more tunnels and needs one more and the highest. A minister sitting behind me is one of the movers that will be checked along with me and others. Because the talk was called a diamond, Entries are drilling out and south, connecting their settlements, even though they are 75 miles [75 km] apart, so they look not for miles but simply to connect the settlements. Nor do they look to the population. I think that's one of the important things that's really important, and that's the point the Senator entered how much things changed for women. [[The president calls.]] It's important in these perimeters.
ParlaMint-IS_2016-10-06-165.u59	A respectable president. It is possible to be raised in Kópavogi and live in Garden Town, born in Reykjavík, and be interested in a tunnel around the country. I am. This is because I believe this is part of urban development, and I believe that the debate on individual soils sometimes goes into failure because we don't put them in a social context and because we don't associate them with a vision. What are we doing with these tunnels? People who experience this every day will understand very well, but the rest of us may need to see better the large community context. There, we may sometimes hide those who speak to them during the council. I'm also an importer at this suggestion, so that's just said. I feel that somehow we need to get out of these holes when discussing these matters. Then again talking about the capital area, it's so weird that I'm moving in winter, I'm moving out of Kopavog, and I'm moving to the Garden Town. I'm not moving around a long time, but just going to park town and taking from there the city of Reykjavík has increased the time. Between one and two in the day it may be two and a half minutes, but in the morning it's an extra card, twenty minutes, just that butt. There's an overexhaustment in the capital area over a long period of time. It's not just 15 minutes in the morning. This is from the time the clock is eight to nine in the morning, and it is an hour and a half in the afternoon. Only that time has a major impact on the quality of life of the capital population and those living in the capital area and then again as I described before, Southnesin, Acdine, and Seleucos. [[The president calls.]] So whether we live in or outside the capital area, we must also consider this. [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u60	Mr. President. We'll discuss a transport plan here. Transporting is a matter of interest to us in the land of the country. Happily, we are getting more and more members of our group, members of the council here in the capital area. That's a good thing, for there's no use. I'm sorry, though, it's been a long time before, and we've been embarrassed. The independent group and the forward movement have ruled this country for decades and are now in control, and they are shamed at how transportation in this 21st century is far and wide around the country. Now 15 minutes before the election, a campaign driver is pulled out of the Environmental and Transport Committee. All right, we're happy to find that all the roads and transportation work is done at a height above our heads. Of course, I like it. A smaller part of the environment and transport committee improved, and I support his proposals. It's, of course, pretty late in the ass, since this government has had three years to show its will in action and put a little bit of action into place. These changes are now being made in terms of increased transport funds, maintenance roads, regional and crossways, and new projects, referred to the next government and the next budget. Of course, you hope that the government that comes to power after these elections will have the strength to make transport a way out. Of course, the condition of the road system burns upon us and how it is to be crushed. The governor and the head of the Roadmaker complain bitterly that they do not have enough money to care for their minimum duties. No doubt many members of the Parliament know that they have been given phone calls to them, where bad roads are complained. I received a phone call this morning from a young farmer living west, who said that he was giving up on driving four, five miles back and forth every day with his children to school, where the road would be bad because of lack of maintenance, failure of sewers and pelvic gates, poor roads, and no longer had been conventional or had been carried down on the road for a very long time. Of course, it's a story that humans can tell far and wide about the country, those who live on malar road and land road, and that reflects what the situation has become. People who have to take such roads day by day to get to work, to take their children to school, and to attend service to larger places in their territory are giving up living in such transportation. Of course, that is not acceptable in Iceland in the 21st century. Of course, the road looks forward with the changes now available, hoping to begin preparing for the next summer, to have some money to play in order to do her job. Of course, the road is a pity for having to have this role as a service on its shoulders, but it's a treasure. Of course, the government should have done much better than it has done since its first year, but it has been all in a swamp film. We also know that as this growth increases, it has been used more often than not as an excuse for the inability to take action on the side of the State because there is now a filing situation. It may be in areas that are not thin, and the road system is very bad. At that time, the State has held hands and has not financed projects as needed. I'm just hoping that there won't be an excuse for the next term, whoever happens to be in power, that there's so much of it in the capital area that the government must hold on to itself and not want to increase the pressure by putting too much money into maintenance and construction. That argument is not appropriate. Today, people boast about the position of the State Fund. Of course, this situation has been building and growing because the foundation was laid in its time for the last government to work to restore the financial and state of the land. Economic growth began here in 2010. But the country's infrastructure is an image of design, including the road system, fiber - optics, our airports, our ports, and our telecommunications around the country. It would continue to be counted; the development around the largest tourist attractions and the tourist attractions that men want to visit, such as the Doomsfjörður, discussed in a talk earlier. The road there is extremely dangerous, but the number of tourists goes there, for it is, of course, a very remarkable and pleasant place to watch. But we never know when such a serious accident can happen, considering the way the road is. Travel services today provide enormous sums of money into society. Its currency income is well over 200 billion a year, and paying in the form of taxes to the State is about 70 billion. The government has chosen not to nurture the infrastructure and structure of transport, so the next government is going to make a major effort in that category, since there is a growing problem. If I put back up what I said, people will boast about the good standing of a trust fund, but in the Credit column of that book, there will be a growing problem in so many areas of transportation, health, education, and so on. A good status can be shown in your homebook if you never renew anything and build up the maintenance requirements in your home, so you may be able to make your homebook look better for a short time. But the time comes when you will have to contribute money to normal maintenance, which would better have been done progressively, as if this government should have had a reputation in it to make a point of looking for a certain amount of GDP in the building of transport. That rate was about 2.5% 2008, but now it is only 1.1% of GDP when national profits and state funds are growing. It says all that has to be said that humans have not returned what has been due to the infrastructure in the years that this government has been ruling. [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u61	A respectable president. I want to thank you. A senator for the speech. I have to agree now. Senator, we have failed to perform the infrastructure, as would be the case, and the roads are naturally to be part of the infrastructures to be assured of being there. I know why. A senator has a lot to do with the Westfjords and, of course, lives there, as everyone should know. It is prominent in the roads of Western Europe how far behind they are compared to other roads in the country. Yes, there are more than tens of one - build bridges in the South. Yes, there are some pagans in the Northeast that may not be in the best shape, but the situation is not nearly as bad as it has been when I drive south in the West. Yet, I have traveled many times, including Run in Georgia, where preconceived is, where roads were better than roads on the south side of the West. I'd like to ask you which one. A senator knows why it's like this. Why hasn't you had your ass kicked? Why have these roads not been made safe? The ferry Baldur is actually a better option than driving this road. You can also see that all the farms that were there have been desolated. You might ask yourself, " Is this the future of the West if we do not respond to the requirement to update the road system in that area, so that it is only closer to the 21st century than the 19th century, since it seems at best to be some horse - drawn trails that have been placed in a fragmentation order? '
ParlaMint-IS_2016-10-06-165.u62	Mr. President. This is a good question, and as a resident of the West, for over 50 years, I have often asked that question myself. What causes this? In any case, you would now have thought that if you were a member of a transport minister and had something to do with this, your priorities would be to complete a barrier to the land. That would be our priority. However, priorities have not been made just because the people of the country - whether for sea or country - will be bound in their path. Of course, we should be there a long time ago. There is no one talking about double roads on all farms or things like them, but that there are no barriers to people in Iceland in 2016, it is as if these well - known tourist roads are not put in first place during the summer season. However, it is only now that at the high General Assembly, individuals who press more often, not more often, to put various assignments ahead of others have been put to the test by the West. It may not be nice to say that we haven't had enough officials in this council over the years, but they have sometimes come from parts other than the West and pressured tunnels in their own country. Of course, it is not a great ambition not to look at it as at least one way or another. Set your priorities in order to place bound fragments on the land's roads.
ParlaMint-IS_2016-10-06-165.u63	A respectable president. Yeah, I agree with what. A senator says that it is natural to be self - conscious in the 21st century. Now I don't know if it's true, but my friend, a historian and a great Western, told me that the roads we were pushing on cars these days in the West had originally been paths for horses and people. Since then, there have been many natural things, we have got cars, and even heavy transports around these roads. I don't know how many percent of the angles are going on in some countries, even up to 16%, and um-turns that are extremely dangerous, so if you don't mention it by now, you don't know what can happen. I don't think the situation on the south side of the West is open to humans. I understand that Westerners are very thoughtful about the West. I'd like to ask you what. A senator's only on the road to the Candle of Death. Reservation is one of Europe's largest habitats and has a great global position. I understand why one tourist stopped going there and just crying because she was so scared to drive the road. Has it become this way that we need either to close it or to place some limit on how wide cars can drive it? As in the situation today, both buses and RVs go through there, often many cars in a row. It's simply dangerous. The road is too narrow and is made for all other vehicles and for a completely different period of time. It may be time to take more drastic measures to show that much more building is needed to maintain this road. [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u64	Mr. President. Hv. paritaprevir Ásta Helgadóttir Helgavóttir has shown a keen interest in the road to Dorafjörg. It's very good to have an army here from the capital area in that sector, not help. I've sometimes said what. A member of the Parliament that she was ambassador to the scattered and West in the General Assembly. This is not done by having strong advocates in the capital area. We, in the smaller part of the Environment and Transport Committee, suggested that more money be cut off on the Canary, on the Aarnesfjörður and on Forest Beach, on the Domills improvements and initiatives in national and national transport roads throughout the country. These adjustments also speak of a 200 billion putting in place. K. In the lake of Waters, which, of course, is tragic, and we senators have seen pictures on YouTube of the state of the road there. There are many bad conditions. I want this last seconds of my speech to say about flying in the country that there has never been a need but now to get the flight into public transport and to look at the routes that are gone in Scotland, where people in the middle of the market who have a legal home and the capital have a chance to obtain a plane charge at a lower price than the average person does, the public tourist and others who don't live there. We've got to get the flight into public transportation. [[The president calls.]] It's been a long time.
ParlaMint-IS_2016-10-06-165.u65	A respectable president. It may be that the explanation for why the necessary road improvements in the West have been so slowly resolved that there might be a lack of understanding, let us say, of the city's spokesman. This may not be the least because it is always spoken of as if it were about the right people on the West to communicate with the capital. But it too, and we see it through increasing tourist currents, about the potential of the capital to interact with and use access to areas such as the West, e.g. with foreign tourists who need to be kept above them by showing them the beauty of their land. Suddenly, it becomes a matter of vitality to get in touch and get out into the territory. Perhaps it will be the services of the Western environment when the financial interests of tourism and tourism are about to become important and may lead to better transportation. Of course, it is very sad that this is the case. I didn't mean to talk to you about it. A senator. We've talked about some professional priorities for transport projects. Now, as we have seen in the case of geopaths, they have a bit liked to fall in on their own interests, and other areas have been left out. Today, however, a number of years have passed since a land tunnel program seems to have been decommissioned, and it has not been part of it since. [[The president calls.]] Does the senator believe that it has been a step back to the fact that the council does not have any particular land - to - earth strategy that sets priorities in a professional way? [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u66	Mr. President. Yes, I think it's very important to have an effective long-term tunnel program where the nationals combine to set priorities. I also believe that we have come to the place of making a special effort to complete a river - burning funeral. We both know the debate on Eelfjörður Straits, and we're familiar with the Aust meeting of Sundrum tunnels. I believe both of these areas are to be rushed, that we are now taking an effort to do so, and that puts it ahead of many other things, to ensure safe transport where they are dangerous. If we talk only about the Eelphine tunnel, it has been said that it is now good transportation between Iceland and Reykjavík. All right, but are they safe when it comes to better care? How many times is the spray flounder shut down because of avalanche danger, ash, and otherwise about corpses? Although the word is acceptable in the Icefjord, from Reykjavík to Isafjörður, there is an extremely dangerous barrier that exists in both humans who work there and those who go through the slopes, never knowing when the danger will be realized. It's a matter of security and when the accidents happen.
ParlaMint-IS_2016-10-06-165.u67	A respectable president. I couldn't agree more. A senator needs a lot of professional work and methodology in setting priorities in such important transport projects as a tunnel. It should give social views a basis, and it should not be possible to compromise a certain assessment of a need that is faced. It seems that sometimes it doesn't. This may be what needs to be discussed more fully in this context, how to set priorities. The criteria and methods of identifying priorities are all set. But then there are other interests that seem to outweigh the challenges. Hv. A senator is my co-sponsor to suggest a transfer of Eelfjörður to transport and priorities. That's the second motion presented at this council. These tunnels are designed to replace the Slyslísavíð - with 22 defined avalanches; in some weathers, avalanches have fallen all over them, and school cars have to drive this way through the winter months. So the tunnel is a critical safety issue. I'm surprised they're not in line yet, let alone. I guess we'll agree on that, me and what. Senator. But the question is also, Does the senator agree with me that it is basic to complete the transport system before men start doing some quality work here and there in the country? We have to think of the fact that this foundation project has not yet been completed on the West, it has not yet been completed on adequate transportation. [[The president calls.]] In the meantime, they must put their priority ahead of everything else.
ParlaMint-IS_2016-10-06-165.u68	Madam President. We're gonna go for a second. A senator shares such views on transportation, as in so many other matters. If we had had had the opportunity to have this more to say in the past, I think it would be better paid today. [[Let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's ……]] I agree that a strategy that's going to go through must be in place. The current Minister of the Interior has been flirting with private projects. I don't like the fact that this is supposed to be a prenup for future purchases, such as in the medical system. The inhabitants of these areas, Western and other regions around the country, have throughout the country, with their vast fishing resources in the seas, contributed enormously to the national farms, and owned for every cent on the roadside, and have no reason to be ashamed of it. I often think it's like drunks to small and scattered settlements that have come to their feet; that they should stay and see if they don't get out in a calm way. They may not be in control, but they are sad. We are not to be encouraged by such attitudes. Rather, we should attend what is right in our own eyes. Of course, these areas, whether Westerns or other areas in the 21st century, are to be funded for strong ways designed for modern use in the 21st century, so that living conditions are as good as possible. That is a natural requirement and self - determination.
ParlaMint-IS_2016-10-06-165.u69	A respectable president. I'd like to start by thanking the Environment and Transport Committee for a excellent review of this matter after 1st. and some useful adjustments proposed here during the second discussion of the proposal, from the greater part, but also from the smaller parts. I would like to emphasize the importance of changing our habits and not agreeing only to the change options of the majority of the committee but also to the change in the smaller parts because the transport situation is in such a way that it does not, in fact, mean not to take on anything after the inactions that have marked all this ideal period, both in the newest and in maintenance. Therefore, there is a full need to undertake more projects over the next four years than the plan planned and also more than the plan will predict the approval of more than one part's contracts. These are tasks that have already been considered important in the long-term strategy, i.e. The 12-year plan. Hence, it is really just a hurry to work that everyone agrees on, on the contrary, here at the council, that it is important to go. In view of the failure of the three years that this government has had, I think that each person can understand how important it is to take care of something in this four - year program, although it reaches only to two years of age, as strange as it is for a four - year plan. Half this strategy is natural, as has been said in the discussion, a plan of the past, i.e. year behind 2015 and 2016, which are now starting to run its course, and the period of implementation is actually over. Therefore, the main focus is here for the next two years, and it is not particularly in the maintenance where there is a reason to stress that it is important to accept the suggestions of the smaller section; for, of course, no one who takes advantage of the country's highway system has been so long tolerated that the road system is making great noises, damaging roads, but is also creating certain risks in the road that are important to resolve, e.g. the holes seen in the road system and the streets that we see, especially those who serve the ever - increasing stream of travel. This, of course, is another reason why it is important to look forward to making rapid progress in this area that it will not be overlooked that here the tourist stream is actually increasing far beyond the expectations that anyone had just a few years ago. There's nothing left to it. We now see predictions of a third increase in the next year, with comparable increases in traffic over a number of roads used by tourism. It means wearbacks, and it also calls for repairs that have just become so much used that it is no longer prehumanable to have a service level at them as low or as poor as it is now. It is also important to create opportunities for tourism in areas other than currently most attended, i.e. The Golden Triangle and the Snow Valley, perhaps. Most of the tourists are on the move. Therefore, there is reason to rejoice over what was already planned in the program when it arrived at a council that is opening up the possibility of a different route into the Westland, through Uxabourg, by making use of access to areas that can be used to meet these growing tourist flows, such as in the South, access to glaciers, access to different natural bulbs. This duty is one of the suggestions the smaller part gives, and I want to use this opportunity to highlight it specifically, which is the road to the Forest Coast. By implementing its implementation, a new ring - route option will open up on a complex discrepancy that gives significant opportunities for tourism to take place now when we need to look for new solutions for hundreds of thousands of more tourists each year than just in the previous year. There is also evidence to suggest that there is no basis for making special money if it is thought that it is necessary to increase the income of the state's funds in order to meet the urgency of these projects because it is possible to increase the income of the state's budget from those coming here. There are various currency opportunities, and in itself it is only a matter of taking advantage of the opportunities to finance projects that come to meet this growing number of tourists, but it is also progress that will benefit us from Iceland on our journeys through the country and in transport between places. This project is also related to the proposed reduction of the portion that leads to the Doomshold and was discussed here in response to a speech at the end of the year. A senator who spoke before me, but an enormous number of tourists, of course, are visiting the Dooms' home, and, of course, it's time to improve the situation of those who really belong to the past century, as well as any other form of tourism being practiced there today. We are glad that now at the end of the funding of a major enterprise just some 20 years ago, that is, the Half - a - world tunnel. I think it's the right thing to remember that next year, 2017, the payments will be closed, which should make it possible to disappear. At the same time, we need to consider doubleing the tunnel. While this was a successful way to finance this specific project, it cannot be overlooked that this way has been grossly unfair, and since the capital, only a marked taxation has been paid. When we consider further major projects, including The double corridors and the gratifying of doubles in other ways to and from the capital area, and in connection with other major projects, must be looked forward to paying more than the sum of money to finance the roads. I think we're supposed to be pretty soon when it comes to using new technologies for operating in the road system. Of course, it is for a very predictable future, in all the coming years, fairly obvious that there will be absolutely no need to have sheds and people to collect road charges, since all traffic must be monitored and recorded electronically and charged with paying dues. There is nothing in itself that prevents the passing of roads, then just out of use, instead of collecting them through the fuel charge right now. I think that, Icelanders, we live with a very powerful infrastructure when it comes to information technology and the practical use of the option related to it. Although it has been a good thing to finance the Vaults in a way that was done, it is important that we try to be as hard as an equal in taking a course, and we are not taxing certain parts of the country or that there are some urban areas that are exposed to taxation and others in a similar situation, perhaps just because they bombed the payment schedule when it was tried to set up for them, as is currently relevant for urban areas far from Reykjavík. That's what I say because, of course, it's getting a bit urgent to try to get a conclusion on the biggest road that we've been discussing in recent years. Actually, it's not just the past few years, it's decades. I think I'm right to remember that at my first election election meeting in the latter part of the last century C.E. 25 years ago, then, in the leading part of the mayor's election in Reykjavík, there was a hot discussion on the proposed Sunwater Railway, which was then thought to be carried out just around the corner, and in fact, it would be merely laying the final hand on design. I'm afraid, though, that she hasn't had anything to do with it. Yet, there is a tremendous need to be carried out, both to improve the north and west of the city, in order to move traffic from highway 1 out of the formed wastelands, i.e. urban areas in Mosfellstown, in the island of Reykjavík and Kjalarnesi, and take the huge drive from this site on highway 1 through Kollafjordur and there through the Mosfellsville and into Reykjavík, taking it to bridge to the alley, to shorten the road, and to reduce road accidents, which have, unfortunately, been too long on this road, with the tragic consequences of accidents. The national interest in this project has long since been drawn up in calculations of how much good it would be along the way to the investment, since this, of course, takes an enormous amount of traffic and involves a significant amount of money for them. However, there have been a number of main factors involved in this project for a long time. One of them is the transliteration of the city of Ellisovog in Reykjavík, i.e. how to get into the waterway from Grafarvogur and move on into the rest of Reykjavík, so to speak, because that is not an issue of which goes on over the Coralfjord, to Elfs, and to go to Gunnnes and Geldinganes, and to continue into the Grafarvong. But it is the first or last part of the route, depending on the direction of each person coming, who has been controversial, whether to go on fillings into the Canal, which was the cheapest way, and the one that the road was found to be successful, whether to cross the scale, because it is difficult for the bridges to be carried out, since the Samship's situation in the Daffy Sea must not be ruined, and then the ideas of the city authorities have had through a tunnel. The other factor that has caused the failure to achieve sufficient agreements in one way or another is the question of how to finance it and how much it can be used to cover such projects. Reykjavíkurburg has rightly made comments as to the taxation of road transport within the community. Of course, it may also be noted that this work is paid on a premium, but it comes from the funds of the government simply under the pretext. For the next transport program, which is really only after two years of the council, it would be important to see some lines on this long-term strategy, because while it was a good decision after collapse to spend more of the funds that had been planned for the project to promote public transport at that time, the expansion of the Western road and the expansion of the eastern areas and the northern capital area by which it cannot be extended by means of thousands of traffic traffic flows through such large areas as the real evidence. This was about a swimming track, a respectable president. So we are only staying at the capital area and the transport situation here in particular is inevitable except to mention only the airport, especially because there was no opportunity to discuss this with the Minister of Ministers at the beginning of the week in unsupervised queries where a travel minister could not resist. Then we discussed what turns to the airport here in Reykjavík and a so - called emergency highway, which is now rather unfortunate on the runway that was closed several months ago at Reykjavík. So far, nothing has been replaced by an emergency route. It's easy to assume that calling the third runway here at the Reykjavík International Airport is not the right thing to do because people obviously get along without it, at least. for some time. However, it is fully clear that having a runway on the southwestern corner allows the aircraft to land in a flight policy that was served by this circuit is a step toward improving flight security here. There has been a long history of such a course at the Cheflavík Airport. At the end of a vote for the future of the city's Reykjavík airport, the then secretary of transport, Sturla Böðvarsson, offered that such a course could be opened in Chefavík, and closed here if possible, in order to allow the course to stay a little longer. It's a long time to make those promises. It has now been shown that the cost is only 280 million. K. building the path south of Cheflavík, making it light and other equipment so that it can be available. [[The president calls.]] The sale price of the country, which was on the third path here in Reykjavík, was several times higher than that, so the money already exists, and there's nothing to do simply now. [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u70	A respectable president. Thank you. paritaprevir Helgi Hjörvar for a fine talk and a good tour, for merely bringing up the Westfjords, one of my favorite areas, and then going through the Westland. We debate the importance of distributing the tourists in that area too. This morning's talk gives me a moment, and I'd like to say a few words. A senator on the Daffway because I think it's one of the most advanced means of transportation in this part of the country. It combines southwestern, Western, Western, and Northern countries with events. The export of the Sunway is in itself endless. We could discuss the possibility of putting it on the subway list that was discussed earlier today because it is such a problem. A member of the Parliament spoke of the Dizziness Way for a very long time in his discussion, perhaps 25 years or more. At some point, we discussed putting it in a tunnel. I can't remember why that conversation was pushed out of the table, but I think that with that idea, you could solve a few problems involving sealing in Collajörður and other bridges in the pool. Hv. A senator mentioned remuneration. Then I'd like to say that I think it would be very wise to consider the benefits of taking the Sunway on some kind of private project in the cooperation of state, rural society, and private depositers or collections of fees that may be available in a second speech, i.e. what kind of methods a person employs in the collection. I'd like to ask you what. paritaprevir Helgi Hjörvar: Is there any reason to agree with the suggestion of the greater part to push the Sunway over the current transport program? [[The president calls.]] Is there any reason to wait for the next schedule?
ParlaMint-IS_2016-10-06-165.u71	A respectable president. The short answer to that question is simply: No, I don't think there's any reason. It is true that there were ideas of both tunnels and tunnels under the River of Old age to meet Vega's point of view but also of the city's views of the city's city of Reykjavík at that time. It was then considered too costly. It must be thought of why it seems that there has never been a chance of building a tunnel in the capital area where a greater proportion of people live and travel each day. I think we've really looked too little at such solutions, and we're taking down problems because of traffic, such as the problems we're taking on a heavy track with the Lönhjörður, and where the city authorities have been fighting for a long time to get part of the highway that goes against the deck so that it's better on either side of the road. I have never understood why a tunnel can be discussed in any part of the country other than Reykjavík.
ParlaMint-IS_2016-10-06-165.u72	A respectable president. Thank you. A senator for his answer to an answer. I am glad that he agrees with me that we should try to keep the waterway in place on our current schedule. Hv. paritaprevir In his talk this morning, a Birgir of an Ármannsson said that I agree on the importance of the waterway, and that would be the ultimate reason for continuing the matter. For currency, I'd like to say, like a what. paritaprevir In his earlier talk, Hjövar's Hjörvar pointed out some ways to collect tax charges. I'd like to say in the context that I was traveling through South Ruthia this summer. We would have thought that the road system would be better than Iceland, though it is. There's a very good road system in South Romania. There they collect road charges with cell phones. You just send a hit into the cloud and pay your toll because you drive highways south in Romania. Of course, we can do the same. It has sometimes been in humans how to install a system of collects, access e.g. to tourist locations, travel clinics, etc. But we should not let it control the discussion or decide how we will build wood in this country. It's a simple staging point. I agree with what. paritaprevir Helgi Hjörvar said that the capital area remained in the discussion of tunnels. It is a technique that has continued to improve. [[The president calls.]] I think we're supposed to open up a little bit more for the discussion that we're going to put the water in the water...
ParlaMint-IS_2016-10-06-165.u73	A respectable president. I agree with what. A senator in charge of the remuneration, we've been too shy on that subject, and as far as the tourist attractions are concerned. Be all too shy simply to charge a car. I'm giving you special parking fees. There's nothing in my mind against paying for parking parking in parking parking lots at popular tourist locations, just as men pay to park their cars in the city of Reykjavík. It may be a way to earn a reimbursement on the Austrefjörður if a person lacks some income farms to attend, and only if those in that area need to pay for his car where he is, and it comes to the expense of making improvements in the area, rather than to reduce the financial resources we have in a government fund to contribute to health care or other welfare factors for the Icelanders. [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u74	A respectable president. Thank you. A senator for a good tour of transportation. We're gonna go for a second. A senator shares the experience of not only being council members of the city in Reykjavík but I am only a few minutes earlier, and I can tell you that in the early 1990s, the Sunway was in my city council, and they thought that it would be most likely 12 years before it arrived. Then there is a quarter - century period. On the other hand, I'd like to get involved in the Sunday discussion. We share such concerns, and we do not argue about the importance of accomplishing them. She's very urgent. It's not just the capital of the city, it's a very urgent transport situation for the Norwegian, the Westerns and the Westerns, because it's going to be a foundation into this capital. Then comes the question of currency and this idea of making this transport a private project. I feel that there is a certain amount of information available to me that it is possible to do this on a private project and that it will follow a remuneration because if so, these are the Norwegian and the Westerns, or, in other words, the Norwegian-West being given a payment on all transport routes to the capital. Then they begin to raise questions about equations and equality. We need to look for ways to balance the payoff. Or does the senator not agree that it just needs to be, if it's talking about taking the cost of transportation to the second capital, looking for ways to balance it somehow and putting it on all the groundways to and from the capital instead of limiting it to one project? [[The president calls.]]
