ParlaMint-IS_2016-10-12-169.u1	There'll be time for a conference at the same time. That's 1,3β-14 today.
ParlaMint-IS_2016-10-12-169.u81	A respectable president. Although I do not disagree with the objective of this bill, I stopped the extra supplements that are given to individuals who live alone. I think it's a little special to pay attention to people if their spouse is dead, we're talking about old people or pensioners. I understand that it's more expensive to be alone, to keep a home alone, but why isn't it just one flat rise for everyone, why are you raising this one team above others, and then not equal? What is the answer when it comes to doing so? What is the argument behind it? I want to hear it from what I'm talking about. A senator and to learn a little more about this.
ParlaMint-IS_2016-10-12-169.u82	V.E.G. President. I'd like to start by saying thank you. paritaprevir Make an effort to gain the answer to Ásta's Kingdom, the Guðrún - given daughter of Helgadóttir. It is true that the elderly live alone or keep one home receive 280 of you. K. up and up to 300 up. K. On the other hand, we need to realize that the system change for those who keep their homes alone, and of course for those who live together, has a positive influence on the interaction of other resources from pensions, for financial gains, for employment reasons. All individuals will get better out of this new system, or those who don't have any other income that is more than 450,5500 you have. K. every month, so that all individuals get better out of the system than before. These are important steps, one of the biggest steps that have been taken to improve the social security system for a very long time. In this case, a greater proportion of welfare committees have decided to respond to calls from include: The old citizen's national relationship. They have described their joy with these important steps, called for the approval of the Allied Council for the change. Then all you have to do is keep adding to the system at a new assembly. These are important steps, however, and they meet the high cost of single homes.
ParlaMint-IS_2016-10-12-169.u83	A respectable president. That answer simply did not answer my question. My question is simple: What evidence is there that a certain person's home is more suitable than others? What is the argument behind it? It's a very simple question. Because I don't sit in bed. I don't know the discussion that took place. As a result, I feel that it is worth the effort to come up here and ask why. A senator, so that I can better understand the underlying grounds. Of course, I understand that people will come out well of this, but the question is, What is the basis for raising these household chores above others?
ParlaMint-IS_2016-10-12-169.u84	V.E.G. President. Thanks again for the counter-reguage. As figures, articles, and other factors illustrate, a home is far more expensive than being with others. In addition, data show that those who live with others often have a larger income, since often one person with a much higher income from another fund than a person alone has to rely on his own forwards. We felt that it was a vital step to meet the worst in the system and raise their domestic needs, that would be an important first step. Then it is important to continue to contribute to this party, as the present government has done during this terms, and we will do so if we continue to be authorized to do so.
ParlaMint-IS_2016-10-12-169.u85	V.E.G. President. I recommend a board of members with a revised proposal for changes to the social security legislation and other laws on the memory of the share of the welfare committee. It's true that we represent the United States, representing the left movement, a representative of the Bjart's future, as well as an audience of Pirata, who is doing this together. It is important to remember, when discussing social security, that this is an enormously important development system for tens of thousands of Icelanders. Changes in this need to be well taken care of and beyond with a background diagnosis. There has been a lot of work to be done in this system change and, in fact, this system has been revised for less than ten years, and similar suggestions were proposed four years ago. How disappointing it is, then, that these four years have not been able to negotiate with the microenergy donor's stakeholders so that the system change here for the payment of a pensioner is not also in line with microenergy pensioners, and they continue to have 100% share reduction in part of their payments. It is also about this matter to say, even though it was at work or was involved in committees for years, that the bill came very late here in the council. Besides the fact that it didn't reach the disability donor, it adds no advantage to the poor - cut pensioners. That's very reprehensible. The workforce was not initially submitted to any dresser improvements to match the labour market. It does not have to be surprising, for the groups of these committees, four political parties here in memory of a section at the General Assembly, have consistently proposed that social security be paid for disability and older citizens raise according to collective agreements. The majority here at the Parliament, the Independence Party and the Agency, have always rejected these changes of our lives; lastly, they rejected the retrospective financial security system to May 1, 2016, so that the ideal pensioners kept in touch with the ideal workers of the labour market. After the bill was highly critical of the aspect of the case that led to the worst, this was put forward by the majority of the changes in payments and we have in the memory of the suggestions that are much more righteous than the one of the objects, and we presented them at a special press conference yesterday. A greater proportion of these proposals are to comply with the terms of collective agreements at about 280,000 p.m. Minimum pay in 2017 and 300,000 dollars. Minimum payments in 2018, but when you look closely at these promises, the independence party and the forwarding party are pretty drossy. I'm here to review the main difference between our proposals in the smaller part and the greater part. The majority will, in accordance with the premium of budgetary funds, raise the social security spending by 7.1% so that those pensioners who are fully paid social security and who live with others will receive 227,000 dollars. every month instead of $22,000. However, we contribute a 13.4% rise so that those who live with others, both poor and elderly, will receive 241,000 dollars. That's nearly 14,000 bucks. The difference between this increase is that it does not increase the gap between those living alone and those living with others. In our proposals, the pay also goes up to 220,000 k. Next year and then $300,000. In 2018, but this increase includes a 13.4% rise in all classes, so we are not increasing the value of the subsidies that are more severe. It's complicated because it's a complicated system, but in simple terms we suggest that the pensioners get 14,000 bucks. More than a month, we suggest that the increase to 220,000 and 300,000 be achieved by much less. Because home satisfaction as a pensioner is now going to get into a pension if they live alone, about 52.5% because of other incomes. It's a high decline rate, but the majority of the object is going to raise it by changing it to 56.9%. Now I'm here covering numbers and percentages of a complex system. It may be the problem with this complex system that it is easy for those who have not been guided in politics to throw dust into people's eyes by just mentioning numbers but who are not aware of the wrongs involved. That's what I ask people to remember, because it's a bit of deception in the greater part. Here, too, a special family tax is being placed on the pensioners who live with others. I'd like to state that after a great deal of criticism in the offhand market, there is a change in the development of more part at $25,000. Free income markets for all other incomes. We believe this is a step in the right direction and support the adjustment. So here we are in 2. The bill was dealing with increases in pension age, flexible take of pensions, a chance to take half of pension, and a changed age for righting work in the system. These changes occur because the number of older citizens is increasing as a percentage of the population in Iceland, and the health of the country is improving. For an increase to 70 years, there are two things that we in the smaller sections of criticism. On the one hand, it is that to the commission, the increase to 70 of the 67 - year - old age age may be a thoughtless proposal. It was noted that older people are living on a job market, and they need a somewhat relaxed change in their attitude until the number of employees do not end their careers on unemployment, and this increase will encourage them, increase in pensions. It also shows that after 60 years of age, the incidence of disability increases rapidly; according to the nature of the problem, we are more likely to lose our ability to work with age. Here is a fine example of labor workers, workers of various kinds, trademen, certain classes, sailors, and cleaning persons; medical staff are one of the classes that suffer from disability because of hard work and physical stress. It is noted that this change is unpredictable as to the magnitude of the rise in biofuels. The effect of this increase, therefore, is unclear. It is also another problem, which is now a major problem, that Iceland's Common Association points out that a bill of changes in the US Pension Fund, which is based on an agreement for a change in pension rights, will not be paid here at the council. So this situation is very upset, and ASI strongly opposes increasing the difference between a pension age between public employees and public labour market workers, while employees in the general labour market are more inclined to work through social security. In the smaller part of the study, we understand the effort to increase the rate of nursing age, but in view of both the lack of analysis of its impact on work status, as well as the harsh criticism of the largest labor union in the general labour market, we reject the growing age of nursing. Then we come to a flexible retirement. It is certainly meant to give people more freedom of choice, that they can go to old age with permanent loss, or to delay and gain a higher pension when a pensioner begins at the age of 67 or 70. While it is also suggested that half of the rights, half of the pensions, which are not affected by other incomes, there are a number of problems in carrying out that law, and it is unclear how it should be performed and what the cost is and which groups will be most useful. We in the memory feel that such flexibility is desirable and that we should promote the freedom of choice by people who want to be longer or less in a workforce, that they can decide for themselves, but we believe that these changes should be in total agreement with changes in pensional age, and then we reject these changes at present. Then there is another aspect of Article 2. The bill, it all goes away in our suggestions, but it's a period of complete rights. It has the current law of 40 almanac years between the ages of 16 and 67 that the person must have lived here. The bill suggests that the recycling period changes to 18 to 70 years but remains 40 years, but there is no evidence for the rise in this age from 16 to 18 years. We drew information on the committee, and it shows that in most cases, the recycling age in the North countries will begin in 15 to 16 years, and we suggest that this change in law be eliminated. We support the change in my share's proposal to remove 1 1 1. The bill. It was our firm wish in our memory that we would not permanage the rights of pension workers sitting in prisons without the first complete inspection of their systems, for it is very difficult to get information about how prisoners are going to support themselves during the time of retirement. The circumstances of a prisoner vary greatly, and we feel it is unfortunate to reduce the value of a particular group without knowing what will happen to them. We welcome this change and will support it. A group is then expected to implement and establish experimental projects in cooperation with one or more nursing homes for a new arrangement and payment of residents in nursing homes. This is a requirement to respond to indications of changing the legal arrangements for the stay of nursing homes and the dissatisfaction of many with the present arrangement. We in the smaller part support this proposal, but we highlight the safety and security of old-time pensioners regardless of their financial situation. I'd like to state here that the representative of the left movement, the green supply, is warning this Article of the bill, and the adjustment of the section that allows rurals to collect services. The preventative conclusion is that no export has been made about the possible effects of storage due to the husk. The change may cause some nursing residents not to afford important services, as well as the impact of such changes on the management plans of nursing homes. This was the leading representative of the left movement ◯ green supply. We support the bill provided that our laws of change succeed, or we recommend them. Most of our adjustment proposals depend on rejecting the rise in advanced pensions, flexible retirements, at this point, even though we agree with our objective, and the change in age of recycling. There are a few changes that result from this. Then we have a 13.4%, not 7.2%, of a greater proportion, and we reject an increase in domestic damage to pensioners. Under this opinion, write in addition to the information presented here. Councilmen of Steinunn Þóra Árnadóttir, Páll Valur Björnsson, Ólína Þorvarðardóttir, the daughter of the Þorpheons. Pirata's audience on the welfare committee, huh? paritaprevir Halldóra Mogensen is in agreement with this.
ParlaMint-IS_2016-10-12-169.u86	A respectable president. I have a consistent question, and I had it here to see what it was. paritaprevir When it comes to what is called home satisfaction, Arnardóttir Arnardotttir is raised more than any other. I understand the need for improvement, but I don't think it's fair to raise this category above anything else. This is the class that gets the most impaired if I get it right. This is the one that's most likely to be affected first and most. I don't quite understand why they're going that way. I would like to know what the committee discussed: Why is this process gone? I want to know what reasoning is behind it. I'd like to know if there's anything I can do. A senator can explain this. I understand that everything in Iceland is expensive, it's expensive to be both invalid and expensive in Iceland. Old - pensioners may not be likely to have a large fund or working partner or so on the streets. Why isn't the increase just for everyone? Why is this one group taken out of parentheses? Is there a grammatical argument behind that? If so, who are they and they received sufficient publicity on the committee?
ParlaMint-IS_2016-10-12-169.u87	Madam President. The answer to a question why. A senator is easy. The independent group and forwarding party are throwing dust into the eyes of voters and going on the cheapest possible way to reach their target by 280,000 bucks. per month. By thus increasing, they are placing a special family tax on those who live with others because they do not have the same total increase as those who live alone. By specifically increasing the household needs, other income declines are increasing, increasing their declines. It's showtime. So they can say 280,000 bucks. and 300,000 k, and have to pay as little as possible for it out of the treasure: for the poor are so great in this company. That's the way it is. I don't understand that the Specialist Party wanted to accompany this area of Independence, which increases the inequities of Icelandic society and the differences between pensioners.
ParlaMint-IS_2016-10-12-169.u88	A respectable president. I just have to admit that both the answers I received earlier, and this one, here, makes me worried about working on this bill. The decrease rate is about to increase by 4%. Have there been a field-mutation analysis when this is the case? Is it possible to approach those places that follow-up documents in order to become better aware of the actual effects of the bill? As far as I can see, the bill's objective is to simplify the improvement system. It says here: "Education of the improvement system, a change in pension age, and so forth. " That's the name of the bill. Is the system really being simplified when we're raising one category of reforms that will cut out more? I don't know exactly what that is all about. I understand that living on my own costs more, so I don't mind that that the relief team is raising. But don't you think it's wise to take it off? Or does it make it much harder to reach the impairment rate? People need to be on their own. Old age pensioners aren't necessarily a very pick-up group. It was in opposition earlier that they are more likely to have large funds, and so forth, the streets or mates, and I don't know what could possibly help them with their income. But, for example, I don't take less money as a senator because I'm in touch. Why should those who live in poverty and pensions accept less money because they live together? I'm having a hard time understanding this, I just have to admit it.
ParlaMint-IS_2016-10-12-169.u89	V.E.G. President. Yeah, it's a little bit baffling. And domestic work is part of the social assistance laws and is to ensure the forwarding of private pension workers who have a low income. I'm sure I do. Of course, all of us are expected to increase proportionately when the financial insurance system is updating. With regard to stage photos, representatives asked for my share to be in front of stage photos. It was natural to do so much of a buggy. These refinements came in after the Council's work programme was canceled. We wanted stage shots, but they didn't come. It is also so that this government does not have much access to data showing the inequities it is creating by its actions. There's an uplink. Who wants to show a stage for it? Yesterday we received a complaint that there were no reports of the effects of correction on the value of housing loans between different income and property groups. Why would that be? Yes, because it would show that they were the most prosperous during that operation. Since then, this government has dared to decorate itself with feathers of the former government, which increased the equation in the country, using a number from the years that it was adding to an equation in Icelandic society. What a misdemeanor. [[Up front.]] It is spoken of as a general action, the actions of this government; this is only in the spirit of others; it increases here in balance.
ParlaMint-IS_2016-10-12-169.u90	A respectable president. We're finally talking about social security bill here. You don't know if you should be happy or sad when it comes to it. The one standing here on a welfare committee who has participated in discussions about this system. I'll just be happy to admit, though it's not a simple task, that I don't understand or understand in this system. I don't think I'm the only one. There are an amazing number of people who do not understand this system. The more you listen to those who pretend, not to pretend to know, but to know, and to know the most about it, the more confused you get. What I may be happy about is that there is more money being put into this system now. More money is being donated to older citizens and disability. Surely, that is something that we can all be happy about, even though the situation is that not everyone in the community is happy. It doesn't seem to settle for this bill, which is a shame. That's very sorry. As far as I'm concerned, 11 years of work has been done to try to change, simplify, and fix this system. There are about three terms. These terms have been held well for another hundred committees working on the change. Yet, the Corporate Community went out. A respectable president. I don't know how to handle this. The result of driving the Commission when the bill first came in was that the worst in the system is not getting any relief. No one. You ask: What's going on, if that's the result of all this work? The results of the Commission and the rest of the work over the last 11 years are that most people will not be able to recover. [[Flmrh.: This is wrong.]] It's wrong, says the highest. Minister of Social Affairs. [[Flmrh.: You know better.]] No, I don't know any better, it's just the situation. They were not to raise a dollar the worst. [[Flmrh.: Wrong.]] Is that wrong? No, that's not wrong. [[Up front.]] [[The point is, why don't you just come up and say something?]] It's just the experience. I see that older citizens write in magazines and blogs because they don't like it, they don't like it. I don't know. All changes, either 1%, 2%, 10%, or anything in this system, add more billion to it. It's very expensive. I wondered how to handle this and how to handle it. I don't have the answers. Not unless we have to clean up a lot of the system and let everyone pay taxes, for example, and get more money from our resources and things so that we can run a good welfare system, but it must be the goal of a nation like Iceland to make the worst of them live and decent living so that they can live, go to a doctor, find some entertainment. It doesn't seem to be. This is not enough for today's invitation. I'm not going to go into this bill anymore. Hv. paritaprevir Ingadóttir Inggadóttir went over it, changed our proposals, and so on. And what? paritaprevir Lára Arnardóttir, an executive of the case, reviewed their share in this matter. But I think there must be goals, and it's a little strange that we need to go back to it in the next term, to appoint probably committees to work in the social security system. Still, we've been working 11 years on this. But it has to be that the pensions of social security should be based on the Haust assessment, as Björgvin Guðmundsson says, who has been president of the senior society. I don't know him personally, but he cares a lot about these matters and says on his blog this week, with President's permission: ▪ According to Iceland's Habitat Research, singleness uses just as much 321 you. K. per month of expenses (mean spending) That's without taxes. That's equal to 400 of you. K. a month before taxes. That's the same number as 246 you have. K. a month before tax paid by an insurance agency to single older citizens and micropunchers. In other words, the Department of Insurance pays the bills of single older citizens and microchips 154. K. less for tax per month than for the Hausp assessment of the Habitat. It tells me that there is a considerable need for us to be offering people a decent standard of living. I certainly don't know how to do that, but it's clear that we have to do it somehow. We can't offer this to any one of you, and we're talking about 4 of you. The older citizens live with this vote, the worst vote. I have received phone calls from many older people who share their lives because they cannot afford medicine or pay medical expenses. It is not a good witness to a nation like us, that not everyone here can live with dignity out of life. I think it must be our goal, those who intend to continue here at the council and achieve a track crew and those who come in here, to fix this. So that all of us live in decent terms, able to live independent lives, such as disability, have a roof over our heads, and can live in peace and harmony in society. Clearly, more money is being put into this system. We are to rejoice in it. That, though, is a step. This is a faulty chicken step, or henfet, says Ellert Schram, a former senator, who has let this matter matter matter matter become of great concern. He says it's a defective chicken foot. Maybe he's right. But I don't know exactly how a man will vote with this, but I still think and hope that our change will be accepted, and it is clear that this will go through. That's just a good thing. But this is not quite what they first put up with, simplifying the system and enabling everyone to live a decent life in Iceland. That's what all of us are supposed to be headed, both for older citizens and for disability. The poor things people experience while trying to win - one man contacted me and other senators and sent us a letter saying that he was sorry that they were taking the 1,300 off line. K. The number of connections per month. He could have used it to work in the summers, an older citizen, to improve his income. Now it's taken away. I don't know what the explanation is. That's better. It is now aimed at increasing the employment of older citizens, giving them a flexible retirement. There are plenty of seniors in Iceland who can work much longer. But that must be the motivation.
ParlaMint-IS_2016-10-12-169.u91	450 you've got. K. higher.
ParlaMint-IS_2016-10-12-169.u92	Higher?
ParlaMint-IS_2016-10-12-169.u93	Four... or under...
ParlaMint-IS_2016-10-12-169.u94	Okay. Me and what. paritaprevir Lára Arnardóttir is talking here at the Hall of Congress. Maybe you can't do that altogether. But anyway, I don't know if I'm supposed to be happy or sad, unless both are. I'm willing to admit, and I've told you before that I don't quite understand. I'm having a hard time understanding this system. It's so complicated that only the best men can understand it. Somebody said there were two men who understood this in Iceland. I'm not one of them. That's for damn sure. But I hope this may be agreed, and this will be a step, a little step in the right direction, but it is quite clear that we must do much better.
ParlaMint-IS_2016-10-12-169.u95	A respectable president. I just have to admit I don't understand it either. But I haven't been sitting on it either. The welfare committee. I haven't even been in there as an audition agent, which is a bit special. We piranha are so-called "canvas." I've been on most committees anyway. What I don't understand, however, is that after three years of sitting on a social security committee, a committee member of the General Assembly does not receive this information or explanations on the system, e.g. in this change, how it will be affected. Isn't there a broken pot somewhere? I understand that a smaller section of the Committee asked for some field-of-view analysis on this. Is this because the council's situation is not good enough? Is this something that we need to make up for? That's really hard for me when I hear what I'm saying. A senator who has sat on this committee will come and admit that he does not understand to a large extent simply because it is so complicated. The thought behind all the impairments and improvements may not be quite directly involved. I'm having a bit of a hard time understanding this whole thing. I think it's a good thing that you're updating, but you know what I mean? not because of those who are married to each other. I take no less money from living together. I don't know why you're supposed to do that. Is this something new? Has it always been like this? Why are we doing this? How does this really affect society? Doesn't this just cause trouble? What is the purpose of this?
ParlaMint-IS_2016-10-12-169.u96	A respectable president. I appreciate the answer. It may be a bit serious when a member of the committee arrives and admits that he doesn't understand. I'm just honest. I've been on a welfare committee for just one year, so I haven't been all this terms. It's been shown that this bill came in late. I was nominated, but I did not sit in it because the deputy who was then on the welfare committee wanted to sit on it. Maybe it would have been better if she did, i.e. The deputy, would have been here to answer for this. But I have to admit that I think that there are better things to do with education and information about such matters. I know that if I continue to qualify as a senator, it will be one of my first jobs to take a course on this system. I've appealed to both the Bank of Environment and Human Insurance that I think that people who are best qualified for committees are supposed to do so, and now we often choose by committees of our interests and what we want to see happen, e.g. ... ona welfare committee. It's normal for everyone who wants a better welfare. I'm telling you every bit that I'd wanted an education and even a course on the social security system with people who do it all the time. But as noted earlier, this matter was late entering the council. There's more going on than just this, we've been almost in the campaign as long as we're talking about it. There's a lot going on. But that is not an excuse for a member of the committee to say it. But I readily admit it, and I'm not ashamed of it, though it may not be good, that I know this system not well enough, and I find it very difficult to understand it. Why this is such a queer, alimony, a household supplement, a spouse, a decrease, a dollar to a dollar. It's really complicated.
ParlaMint-IS_2016-10-12-169.u97	A respectable president. I really appreciate this honesty that shines. A senator, who has gained a good reputation for being a very honest and trustworthy man. What I then don't understand, I'm just studying this case to the best of my ability here at the Senate Hall, especially in pensioners. We're talking about people who've earned their whole lives and who've earned their rights here on land. Why is this a difference based on marital status? Why are these impairments really there? Have they not won certain rights? Is there a general sense of satisfaction that there is a greater increase in home remuneration at the same time as the decline rate is increasing among the members of the Committee? Now I'm not on this committee. I think it's so special that you're just raising your household needs to cover the gap to the 280 thousand for singles, not for ordinary older citizens who are living together. Not that it's necessarily something more ordinary. I simply don't understand that thought. Why can't all, regardless of their marital status, receive what would be the minimum wage for 2017? Why doesn't everyone just get 28,000? And possibly something on top of it if it's more expensive to live. Why this discrimination? I'm having a hard time understanding this. It has to be acknowledged.
ParlaMint-IS_2016-10-12-169.u98	A respectable president. This is now one of the things I've often wondered about. Why on earth is it so complicated? When people have been working all their lives and paying for a pension fund and into the social security system, why don't they get crazy when they're old? People have already paid their taxes. It's a deposit, and then they have to pay back taxes when they get this paid when they grow old. I've never understood why. It is a natural requirement for the gray military and the company of the senior citizens in Reykjavík to have it intact. Is it freckle? Or is this just? I feel that if people have worked their whole life, they should get what they've earned. I explained earlier that one person had worked for 51 years with the same company and paid for a pension fund all his life. He got between 150 and 200 yards of you. K. a month from a pension fund. After I paid for it for 51 years. What is it? Then he received the compensation from an insurance agency that was needed for a minimum wage. The man then began working as a 69 - year - old bus driver and received a 1,620k. In time. If this bill had penetrated unchanged, he would have paid 38% taxes from this 1,620 k. And a 45% drop in pension. But he got a 277. paid before the moment. It was a woman, an invalid, who sent us a letter saying that she was trying to get $25,000 a month by delivering magazines. It rose, walking an hour a month every day, for 30 days, her salary about 1,000 bucks. 30 hours ago. It's one of those things that's so hard to understand. This discrimination, we are naturally suggesting a change in this with the discrimination of marriage partners and not. I hope it gets through. But, as I said earlier, everything that is done, each percent added, seems to increase the cost of billions. [[The president calls.]] It's an amazing system.
ParlaMint-IS_2016-10-12-169.u99	Madam President. We'll discuss this bill to correct the change in social security law, which is one of the greatest changes ever made in the social security system for decades. I think all members of the council, whatever our number, must be able to say that this is a work being done when older citizens have been tried for years, but not successful. This alone is a special cause for joy, and for this, all members of the Parliament should rejoice. I'm also going to congratulate seniors if the bill succeeds. The bill is based on the work of the Commission at the highest level. In 2013 the social and housing minister was appointed under the leadership of the late Pétur Blöndalur and was primarily responsible for simplifying the system, making it more beneficial, understandable, and more righteous. These changes were to include older citizens and, on the other hand, older citizens' insurance systems, or pension rights. Sadly, it was impossible to put them in harm's way as a result of microchip. That's too bad because I'm convinced that because of this, the economy of disability has not improved in the same way that he would otherwise have done if a solidarity had been achieved to make the changes established by the committee regarding a simple system and the recording of a job assessment. I can understand, however, in part, the need to understand the need to be concerned about the disability and the invalidity of this system change, but it must be the next major task of the Parliamentaters who sit down at the General following election, to work on this system change, to simplify the basic system of micro-organism with the advantage of improving the economy and particularly the interests of those who have subsidied so that we can be proud of the support systems we have built up. Sadly, the present system is unjust, and it punishes microorganisms. Thus, changes and induction of the share-back systems of disability will have to be made, but this will never be any different than in cooperation with those to be enjoyed. It's important. The bill presented here focuses primarily on a system change involving the pension and the affairs of older citizens and social security and is, in fact, in a fine way, a direct result of a government policy. It is often forgotten, however, that the first act of the State Department of Propulsion and Independence Party was to reverse the decline of rights from 2009. It was the first job to care for a pension fund that reduced the basic pensions of old and disability candidates. Since then, there have been slow, sometimes too slow, efforts to improve the quality of both older and desperate citizens. This year, the cost of social security is likely to be about 2,27◯28 billion higher than expected in 2013's last budget of the last government, convergence, and left green. In addition, there is some of the greatest reforms that may be possible over the years in this system change and also in ensuring microsurgents comparable to dressbacks and older citizens of 10 billion or better, so we see an enormous increase in social security expenses. Of course, it is important that we employ money wisely because it is enormous. I want, with permission of the highest. For example, in the September 12 issue of Awake!, the president of the United States, quoted an article that Haukur Ingibergsson wrote in The Morning of September, as he describes the changes we are now about to make. He says, under the permission of a president: ▪ Among those who have decided on the bill is the Council of Elders of Iceland, which says: A Council of Israel celebrates a forward bill of social security change. The bill includes important changes in the increased rights of older people and the self - determination of older people, especially when it comes to retirement. The Council of Elders encourages the General Assembly to work on the bill to end this council, and it becomes a law. There's no debate that what we're doing is simplifying the social insurance pension system and making sure that just older citizens, but then as clearly as members of Congress, understand the system, so we don't have to worry about how it works and what it means to change individual aspects of the system. I understand that it can be difficult to understand, and at times it is even incomprehensible how things are put together and how the least changes are in the interests of an older citizen or an invalid. In our present system, we may feel that injustice is at the helm, where people are punished and punished for the smallest effort to improve their own interests. This is what we're changing when we come to seniors, and this is what we have to do when it comes to micro-piercing. That's very important. However, it must be kept in mind that any changes we make in the social security system, any changes that include simple and more transparency, must never be in violation of the main objectives of the social security laws. Of course, the primary objective is to be firm in the interests of those who fail so that everyone can live a decent life, living with human dignity, as we say in Skavelf. Of course, that's what the senators here are doing after the election must keep in mind when they take the steps to make the changes I think that all of us here must agree on when it comes to microbubbles. This link has helped me to recognize that there is another big issue waiting for the new Council. I'm sorry, but I was devastated. European Parliamentaries do not establish equal rights in national pensions. In September, that's it. The good news was that there was an agreement on a coordinated pension system where all wage people had a comparable pension rights regardless of whether they work in a public labour market or in the public. However, it did not take many days before the contract began to break out, resulting in our failure to achieve some of the greatest justice, which is the equivalent of the national pension rights. The problem, of course, is that in the coming years, the state's budget will have very limited resources to help balance pension rights, as agreed in the agreement, and that the bill before the General Assembly was eliminated. The window to achieve this justice and balance the pension rights is closing. I believe and trust that new members of Parliament will be able to get this justice through the council before a new year begins. [[Let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's ……]] These are the pledges I think all members of Congress should do before they come here to work at the end of the election. Madam President. I'm not gonna have this much further. However, I reiterate that what we're doing here as far as older citizens are concerned is an amazing progress. This is a system modification we've been trying to come on, hasn't succeeded, but it's working now. We can identify individual teams or some amounts of money, but this does not change the extent of the system change and should not be forgotten.
ParlaMint-IS_2016-10-12-169.u100	Mr. President. I'd like to start by saying thank you. paritaprevir Óli Björn Kárason for his speech. We disagree about things in politics, and we often have a different view of how to make things work, but I don't think there's any reason to question them. A senator is very serious when he says that he wants to improve the interests of a pensioner in the country, even though we do not agree on how to do so. I think it's important to start by saying something because of what you're doing. A senator referred to a committee acting on changes in the social security system, far in front of them. former, Pétur Blöndalur's, that is, of course, so when you're making a system change, you don't sign a paper that you think will make the situation worse and that the basic transportation system as a group in a more sensitive position will need to be worse on price. Of course, that's why I and others on this committee were not listed, but we had a special party with the Quantum Coalition. I'd like to ask you what. A senator, who is very determined to establish a work programme, how he argues that the increase in disability, i.e. to achieve their implementation to 280 fars. A. K., if all of us are taken through the special progressives I thought we would all agree that we were very professional. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-10-12-169.u101	Mr. President. I had the privilege of having just an excellent cooperation and enlightenment in the committee directed by Blöndal Berlandal, i.e. Yeah. A senator and I, where I represented the Ministry of finance. The problem, of course. It was the sincere will of the government and of the government to secure microchips, which are the choice we are making for older citizens. The problem faced was that because of the failure of the changes to microorganism, there were few advantages. We can debate whether it should have been done in some other way. Of course, I agree with the fact that the special forwarding is a rather enormous relief category, a cutback of dollars. Now we've eliminated that system from senior citizens, but we're going to take the step to the other group. I hope it works fairly quickly because I'm completely convinced that if you're working hard. paritaprevir Steinunn Þóra's Árnadóttir and others will be exemplary in the type of work that needs to be done, and that will solve in a very successful way.
ParlaMint-IS_2016-10-12-169.u102	V.E.G. President. It's quite clear that I would like to go anywhere other than that. A senator when it comes to improving the interests of disability. Of course, it crystals best when a more large part of a change is made. At the same time, social services committees are reviewed, and adjustments from the lesser part of them are made. On the other hand, the welfare committee. What I don't understand, and it's so hard to figure it out. A senator is serious about wanting to record a job estimate - something I'm not questioning, okay? A senator has spoken that way - don't you think we're getting into a pretty tough position by making the value of a much more special supplementation into the overall poverty payments, expanding the group with special support? Are we not making the next move, if we now decide to make up for it, more difficult if it comes to such a way just to bring a general rise to all the benefits and thus to keep the ratios within the system unchanged? Should that not be the point we have to step aside in order to change our system?
ParlaMint-IS_2016-10-12-169.u103	Mr. President. There's no difference, I think. It will not be adopted, and it is an empty matter to talk about in my mind to record it differently than to jump up the whole system when it comes to disability. That makes us, for example. You know, putting the special supply into the micro-energy pension, it no longer cuts against a dollar, just as we've done when it comes to seniors, etc. Of course, this is a problem. If the increase had been inserted into other subclasses that were certainly considered, it would have been considerably more expensive, it should have been accepted, it would also have created a problem when it comes to the system change. We're in a hurry. Again, the most important thing in my mind is that a new assembly will immediately clean up with this work, and it will be cooperated and cooperated with those who need our help. That's what matters. I am convinced that this goal can be achieved when, during the first part of the coming year, if anything is meant by making the system change, making the system simpler, more understandable, and more righteous without sacrificing the interests of lost ones. I know we what we're doing. A senator agrees on this central point, and I am convinced that a successful solution can be found that all of us can take pride in it.
ParlaMint-IS_2016-10-12-169.u104	Mr. President. Hv. paritaprevir Óli Björn Kárason gave an inspired talk on his joy of the grand changes being made in the social security system. Now I'm going to tell you what. A senator says that I have just returned from visiting a resident in Seljahömund. There I met an 80 - year - old woman who thoroughly knows the system and into it because she had worked in it, so she had calculated what this would mean for her. She did so on the basis of the bill as it originally came in. Yeah, for her, 500 bucks. per month. Then we're gonna have a snooze. A senator speaks of the tremendous success of this system change. Mr. Faithful. Believe it or not. A senator of his own when giving this speech? Second of all, she introduced her name. A member of our congregation for the thinking of theheavenly authorities in order to live with dignity. He said that the change he was fighting for and talking himself over is so that people can live with dignity. Counts 'em out. A senator, then, that a system such as the worst, sometimes no drugs, must deny drugs, even after these changes and other laws have been made here, is it, Mr. President, that men in the province call to live with dignity? No, I know the Thomsons, and they have a completely different view of life than those that show up here. paritaprevir Óli Björn Kárason. I have to ask you what. A senator: Is he serious when he is moved by these enormous achievements of the government, which, unfortunately, have been cut off by what the Independence Party has also spoken about, to make the system a source of employment? He agreed here about one other category of reform that what men are doing to a job party. [[The president calls.]] It says everything on the corner of each other. [[Up front.]] Yes, you can.
