ParlaMint-RS_2002-12-13-0.u25062	I have a proposal based on Article 137 that the debate in particular takes three minutes.
ParlaMint-RS_2002-12-13-0.u25150	Is anyone else applying for a word after this amendment? The word is by MP Branislav Ivkovic, president of the National Socialists Group.
ParlaMint-RS_2002-12-13-0.u25151	Ladies and gentlemen of the People's MPs, Minister Djelic, by coming to the post of finance minister, introduced a more precise review of the division by individual ministries, but many of the positions that were not on the one hand so far, but we must say that he has introduced one great unusuality on the other hand, which is that a huge amount of funds is located in one single position without criteria and priorities on the basis of which these funds are distributed. In particular, in his ministry we saw in the 2001 final account the position of 3 billion dinars for social programs, and unfortunately, although financial discipline has charged all 100% of the funds, only 450 million has been spent, so six times less than it could have been. On the other hand, the position of the NGO appears, without any precise definition of which NGOs are involved. Surely all of us in this room would love to be about cultural art societies, amateur sports collectives, and then each of us would vote to spend these 300 million dinars for these purposes, that youth has something to do. Unfortunately, this position of the NGO is being run through one-six divisions across different ministries and gives us the right for the resolution ministers under the notion of NGOs to observe exactly what MP National Socialists MP Dragan Tomic said, such as Sonja Biserko, Vuco, and not to speak to all those ladies who are very concerned about Serbian citizens as they listen to them via television. Therefore, I would ask MPs to accept the amendment of the National Socialists and to delete the position of the NGO or to require the Government of the Republic of Serbia to define more precisely what purpose it is. If it's for amateur sports, amateur cultural arts societies, if it's for scouts, for everything that youth does on the right track, then congratulations and should be the means. However, this hidden right gives us the right to think that it is the means that will go where a good part of Serbia's citizens would not want. As far as the budget vote itself is concerned, I think we should be honest and tell the citizens of Serbia what is happening in this House. Paraliamentary parliamentary groups whose candidates for the president of the Republic of Serbia have pledged not to appear with this requirement for the government to collapse in this House. Obviously, they have a dictation and perhaps on the side that these moves must not be drawn, but they do not hesitate to say that some others are possible government associates. All in all, it is talking about the budget in this House, to be fair to the citizens of Serbia, who voted in favour of Djindjic's budget, who voted against the vote's budget for Kostunica. What you're doing, be men, come out nicely for this pay phone, ask for a government shift. The Socialist People's Party will support you in this, but immediately there will be extraordinary parliamentary elections.
ParlaMint-RS_2002-12-13-0.u25152	Is there anyone else answering for a word under this amendment? The word has a finance minister, Mr Bozidar Djelic.
ParlaMint-RS_2002-12-13-0.u25153	Once again, NGOs, that term has one meaning in the budget classification of the United Nations. This means everything other than the government very precisely, meaning everything other than what is within the state and what is financed from the budget is to be found here and there, as I have already said several times, there are political organisations, there are cultural artistic societies, there are some associations that have shown their social need and which are already traditionally funded from these funds. Of course, there are no more things here like FONAS or some NGOs that were nothing but the branches of some political parties.
ParlaMint-RS_2002-12-13-0.u25154	There are no more entries for the word after this amendment. To Article 7. The amendment was submitted jointly by MPs Predrag Mijailovic and Dragoljub Vojnovic. The Government, the Finance Committee and the Legislative Committee did not accept this amendment. The word is by MP Predrag Mijailovic.
ParlaMint-RS_2002-12-13-0.u25155	Ladies and gentlemen of the People's Parliament, the Honorable Presidency, we have tabled an amendment to Article 7. Split 24 in position 662 under economic classification 425, under current rights and maintenance, to change the amount of 10 million dinars to 50 million dinars. Gentlemen, the MPs are referring to the work of buildings, sick rooms, setting conditions for a sick man. Is 10 million enough? It's not enough, and it's not enough to take care of the clinic where it is and where our minister came from. I know, and the finance minister must know that a sick man must first lie in a nice and comfortable bed and have a normal sanitary knot. We now have one sanitary node at hospitals and clinics on 8 to 15 patients and 8 to 10 patients in one room. That can't be allowed. This little 40 million-dollar repair is nothing, but still to show he's taking care of a sick man. Position 654 under economic classification 411, is about salaries, allowances and employees' fees, from 87,646.077, is changed to 117 million dinars. Gentlemen of the People's Parliament, I'd like to warn you of something here. Gentlemen of the People, once again I warn you that we here in the Serbian Parliament a year ago had the Health Protection Act, where I warned you that you should adopt an amendment that requires the difference between overtime and rain. We didn't vote with just one vote. That's why many departments, including the pleasure department -- child surgery, ran out of duty. Gentlemen Members of the Parliament, I must say, since the president of the municipality appears, the municipality has singled out, I think it's 60 million, but what about those municipalities they couldn't single out? There's only about 30 million in demand here so we can all have the same protection. Gentlemen of the People's Parliament, we have submitted another part of the amendment to position 644 - Transfer on other levels of government, of 500 million, to change to 600 million. It's for the social protection of refugees and exiled persons. We know that there is social justice in Serbia, and we have provided insurance for these evasive people. That's why the Social Security Fund is worth about four billion dinars. I must tell you that in this part, the minister himself has asked that four billion dinars be granted to him, and he is not given. Still, we need to think about whether we can keep going with this social fund of ours, and they've escaped and exhausted, which we certainly need, but we won't be able to do either. Position 655 - Transfer organisation of mandatory social security. This is where we raised about 210 million. It's for unsecured faces. Here we have to say that it is necessary to leave one item where people have to have a certain amount of medicine, where they cannot and must not interrupt therapy, for example, for polycytostatic therapy. If we do, we better not have started it, and usually that therapy costs between 1,000 and 100,000 dinars or more. (President: People's Parliament, I warn you that you've exceeded allowed time, twice.) I did, but I have to say about this part of health care. I'll say it one more time. He asks the minister why I didn't transfer it from one thread to another. I'll tell you now. Let's say, yesterday we gave it to RTS 2,600,000. Man, the enjoyings don't care when to follow the street in Belgrade, in the morning. Let's just commercialize the RTS, but give us health care. That's where we'll all work together, because our dinars are here too.
ParlaMint-RS_2002-12-13-0.u25156	The word has a finance minister, Mr Bozidar Djelic.
ParlaMint-RS_2002-12-13-0.u25157	Ladies and gentlemen, I took the floor just to comment on this amendment and perhaps only a little bit wider on what's in the health budget. Of course, for two years, not through some floscule, winged, paroles, but through cold figures, this government and this home that voted the first two budgets, hopefully this third one, has proved to be giving the right priority to health care. Why? Look at the doctor's salary. Doctor's salary, if you look at what it was like in January 2001, what it is now, it's still not big, but it's twice as big. It is twice as large and through various changes that existed in specific conditions of work, grooming and coefficients and some supplements, we can say that the material position of healthcare professionals is improved. 2. We've found a very problematic situation in the drug domain. She had the elements of crime. That's what the judicial authorities will keep looking for. Of course, when you see that the former director of RZZO, i.e. the Republic Health Organization, has accounts in Switzerland and that some major drug dealers are investing hundreds of thousands of marks in cash in that account in Switzerland, then we see that it was there, and it was very deep, one of the ugliest crimes in our country. On the other hand, a new system this year, a new information system and a new way of issuing prescriptions for medicines, which initially encountered some resistance, led to, for example, At the Kragujevac centre, those people who worked there were able to reduce by 36% drug consumption and make the supply much better and get the patients what they needed. Finally, about half a billion dinars this year will be spent on what is necessary. I agree with you, Your Honor, the cathode situation is in the equipment of our hospitals, wet knots, and everything that in many cases raises questions about the hygiene conditions in which our fellow citizens are being treated. That's a big problem. That's what we started working on. Dear doctor and colleague, you can not forget that we worked together this year in Uzica and that after 12 years of working together, not only the budgets of the Republic of Serbia, but also the generous people in the region, some entrepreneurs and individuals, opened a few weeks ago, after 12 years, that surgical block that was enjoyed so long. This situation is now being repeated everywhere in our territory. As a result, this budget envisioned as much as 1.5 billion dinars for that equipment, so in many more hospitals, in many more homes of health, we will have much better conditions, much better equipment, much better conditions for patients and much better conditions for healthcare professionals. Finally, you're right when you're looking for funds for refugees. I can say that one of the most important innovations in this budget is that for the first time since these terrible disasters occurred on our premises and since so many hundreds of thousands of our citizens became refugees, 1.6 billion dinars are in this budget for their health insurance. We didn't have it in last year's budget, and it's a great honor, because that way our community shows refugees that they're not second-class citizens, that those who are in trouble today and can't pay the health fund, our community hasn't forgotten them. She predicted this element of solidarity so that, when treated in our hospitals, it was not a single debt accumulated in the health fund and then asked for health care, but something that was legally arranged by some normal mechanism, and implemented. That's why that 1,600,000 means not only more money for our hospitals, but means, I think, and dignity for refugees. Thank you very much.
ParlaMint-RS_2002-12-13-0.u25158	I thank Mr. Secretary. The People's Messenger Vojislav Seselj has the word.
ParlaMint-RS_2002-12-13-0.u25159	Ladies and gentlemen, the MPs, when we first met with statistics textbooks, one of the first axioms we encountered was that statistics can't be trusted at first sight, as statistics can be a means of achieving truth, winning truth, revealing truth, so statistics can be queen of lies. When Minister Djelic says that medical salaries are twice as high, if he thinks about 2001, it is certainly not true, and compared to 2000 they may be three times higher, but they are certainly not more than three times. But the budget is seven times higher. Then the key question is why the medical salaries didn't follow the budget, why they weren't seven times bigger, but 2000. Or, if they can't follow the budget, why didn't the medical salary follow the electricity price? If the current is six times more expensive, why aren't the medical salaries six times bigger? Why aren't they six times bigger in education? Why are all state sector employees' salaries not six times higher if the electricity price is six times higher? Why there's no proportion, it's a key question, and all of this is an empty story. You shoot numbers, those numbers don't mean anything, because the pay is measured by its purchasing power. You can change the consumer basket, as you do, so the cheapest stuff you put in the basket and say, increased purchasing power. There is no consumer basket today that will rule out electricity prices and utility prices. Earlier we had the cheapest electricity price in the world, so the consumer basket could ignore the price of electricity, and today, in every consumer basket, you have to insert the average number of monthly kilowatts spent in each household. Without it, there's no consumer basket. That's what people feel every day, you can't convince people now that their standard of living is better, when it's not. It's not true he's better. No one, except for the supreme government, because only functional salaries followed the cost of living, and of course, mobsters, whose hands are all within reach. Nobody's better today than it was two years ago.
ParlaMint-RS_2002-12-13-0.u25160	The Minister of Finance, Mr Bozidar Djelic, called for the word.
ParlaMint-RS_2002-12-13-0.u25161	Okay, obviously we don't only have problems with budget accounting, but we also have problems with regular numbers. If you take the salary, and it's not statistics, but something a doctor would take home, in dinars, 7.330 dinars in January 2001, in November 2002, 15.074 dinars. It's not statistics, it's money they took away, and it's accounted for every 15 days as pay, and it's taken home. If we look at the price of electricity, one of the most unpopular measures that this government has had to withdraw, around which I get a few dozen letters a day from citizens who say -- I support reforms, I see things going better, they go better, they go to me, but explain to me why you had to raise the price of electricity? This government, unlike those demagogues, who led our country into a abyss, and not only in the foreign policy sense, not only in a safe sense, not only in the economic sense, but also in the financial sense, has to put Serbia on its feet, and the EPS, which at this point represents a difficulty for our industry between 20% and 30%, what industry is, directly or indirectly, which in its supply chain, can employ some 30 to 40,000 people, for ten years the company was an instrument of social peace, bought on religion, "account without innect", when not even 10% of the necessary funds for its remont. And what happened then -- then one plant would take spare parts from others, so when it wasn't possible anymore, then under political pressure suppliers had to work without being paid on the ebud. And what, then, they (there you have the Gossu and the MIN and our large businesses in all parts of our country) were unable to pay their workers, nor were they able to pay their debts. So we inherited great indifference. According to our estimates, even one third of this indifference comes because EPS has not worked on some more normal basis. And not only that, some smart guy remembered to issue bonds to pay for our pensioners, because of course, he didn't have the money for it, and that smart guy didn't provide on the straight side what you see in this budget today, that's money to service those bonds. Now, that smart guy forgot that when one obligation is made, there's got to be money for his service. It's no easier than printing money, but it's money too, those bonds, those bonds are just printing money and a big dubious, which is being inserted into the EPS. And that's why we found this company in a catastrophic state. Look at the budget this year, after not two years, it's standing on its feet, and you see that budget, it's numbers, it's not rhetoric, it's just a few hundred million dinars, so it can continue to function normally. As for the standard of our lives, look at all the polls. Of course, one quarter of our people say they're better, even if they're worse, but three quarters say they're doing the same thing, or the latest polls show that between 30% and 40% say they're doing better. Because the figures are there, not only the minimum consumer basket, but also the consumer loans, which were zero months ago. Now, every month, it's 1.500,000 thousand dinars of consumer credit. There's no city, there's no neighborhood where at least some families aren't in some better shape right now, it's exactly financial, they come up with these consumer loans that they can pay out of their salary. There are fewer and fewer people in our country of social cases, more and more people can live solidly on their salary, more and more Serbia is normalising, more and more Serbia is starting to look like a normal country. We should not be disturbed, why does it bother those who are only affected by the crisis, the cloudy times, and it does not suit them when Serbia is back on its feet, then we will all live normally, some of the budgets, and some of their work in the private sector. Now, that's the Serbia we're all fighting for together. Thank you.
ParlaMint-RS_2002-12-13-0.u25162	Anyone else want a word on this amendment? No, I don't. ) National MP Dragan Rafaelovic, written on December 12, 2002, informs the National Assembly that he is withdrawing the amendment to Article 7. It's a bill of law. The 7th Amendment was submitted by MP Velimir Simonovic. The Government, the Finance Committee and the Legislative Committee did not accept this amendment. Does the applicant of the amendment want a word? He has the word MP Velimir Simonovic.
ParlaMint-RS_2002-12-13-0.u25163	Ladies and gentlemen, my amendment, given what our Rules of Procedure is, there are actually three parts, that would be three amendments, if that were possible under the Rules of Procedure. So I hope I'm not interrupted after three minutes, it'll take me at least five, six minutes, to say about each amendment at least two sentences. The first part of the amendment refers to Serbia's Seismological Institute. It's a small, but significant institution whose budget does not normally exceed 15 million a year. In rebalancing for 2002, they had a 30% budget cut and they couldn't get some equipment they planned even from their own funds, which they themselves earned. I suggest that they increase the item for equipment and machines, because if it is not done now, then they will be able to buy equipment eventually in 2004, if they enter a budget then. However, truth be told, Mr Djelic, and I cannot complain about the co-operation between us as long as it took for this time, he as a minister, and I as an MP, promised that these were small sums that are being dealt with here, that he would solve it in the course of the year. I respect that, of course, I have no doubt that Mr. Secretary will do so. The second part of the amendment, however, is very important, it is about larger numbers, it is about the Commissioner for Refugees. Obligations to refugees only exist for their health care are huge, there is an increase of 220 to 660 million, and there is a debt, because since 1996 there has been no position in the budget for these purposes, for these purposes, so there has been a debt of 1.650,000. It's very important, therefore, that we have health care for refugees. A third and another part of it, the same items for refugees, is about what is required to increase, I'm looking for an increase in the part that relates to building construction facilities. You know, ladies and gentlemen, all very well, that there are still a lot of refugees in those collective accommodations where very poor living is, and we have to do as a state something to get people out of those joints there and at least where they live and we have to provide them with some apartments and some other accommodations, because we have to be aware that most of the refugees or at least a big part of it won't go back to where they came from. For that matter, Mr. Minister has drawn attention to the fact that a loan is expected from a European bank to build apartments for refugees. However, this has been discussed since October 2001, I have had additional information from the Commissioner, that the Vice-President of the Federal Government, Mr Labus, has not yet received experts from the bank to discuss the loan, and why, he is self-sufficient. There's a part of why a loan can't be spent, and that's buying, buying, or renting for several years of peasant estates that are completely free, about 500,000 for a single household. That's where you could settle for refugee families, start living off their jobs, not donations and welfare. I think there's something that needs to be increased, too, because foreign lenders don't give so-called. credits, because they're afraid to change the social, ethnic composition of the population, and that's what they're very worried about, our ethnic composition. The last part of the amendment, the third part refers to Serbia's tourism organisation, is where I look for an increase. You all know how important tourism is an important economic branch, and it is, unfortunately, underestimating itself, but they have some projects, and I think with some increased money, they can do something to improve, so our tourism economy. Thank you very much, please read the careful explanation of this amendment and when there is a vote to support me, for the first part of the less - more, I have Mr. Djelic's reunion.
ParlaMint-RS_2002-12-13-0.u25164	I thank the People's Messenger. Does anyone else sign up for a word? Here you are, Minister of Finance, Mr Bozidar Djelic.
ParlaMint-RS_2002-12-13-0.u25165	Ladies and gentlemen, the answer for Honorable Professor Simonovic, this amendment has three parts. The first part is really small, and I think we're going to do it as planned and settle it, and it's already been, I'd say, one amendment that you had on the budget rebalance for 2002, and that part will be settled at that moment. As for the Serbian Tourist Organisation, I can say that we came to that amount in consultation with them, we had them, they were looking for more, but like any budgetary discussion, they were finally satisfied with that figure. Now we're getting bigger, and maybe more important things, they're refugees. As you yourself have noticed, there have long been no items in the budget, nor for their social security, I would not again, for the first time for their health insurance are, I would not say, entirely adequate sums, but it is already a significant step for them to be shown as citizens of the first order in our country. Another thing is, as you can see, that 222 million dinar figure, it will help buy construction material, that all those refugees who would like to leave the center and who need help in the building material to get to what is necessary to get home. I'd add two more things, one thing concerns one other item if you're looking at that split and it's about donations from international organisations, of 218 million dinars. I would like to say here that the international community is too quick to think that the problem with us is solved because it is not solved. It is slowly resolved, should speed up its solution, but when it is heard from some international circles of UNHCR and others, that Serbia simply comes out of some category of problems that would require significant engagements of the organisation, which should now go to other areas in the world where the crisis is even bigger, we cannot fully agree with them and it is very important to coordinate and to seek additional funding from those UNHCR organisations that should reconcile it. Finally, as regards the loans you were talking about, the negotiations were quite adventurous, especially through the engagement of responsible people from the Commissioner and we from the Ministry of Finance had adequate contacts and Mr. Labus had contacts, however, he couldn't meet one delegation once, but it was about a single debt reprogramme, and we caught it. There is an inability to get several tens of millions of euros, now I would not bid the exact amount, it is the subject of negotiations, specifically for that purpose. The Development Bank at the Council of Europe was specifically created after World War II when the refugee problem was one of the major problems in Europe. So, that's her mandate, that's her first goal, and that's why we expect a lot of these negotiations, but of course, entering the Council of Europe is a prerequisite for this loan being hired, and that's why this house hasn't yet seen what's going to have to be one guarantee or counter-guarantee law, for borrowing that's going to dramatically improve the situation in that domain. These loans are with loans from the World Bank most favourable you can find, they have a large portion of the gifts in them, and I think it's going to be one of the important points that we're going to discuss at some meeting next year. All in all, there should be more resources, but as you can see, there are many more, not enough, and the international community needs more to engage, because today we are a country in Europe that has the largest number of refugees displaced, and that's not what this government has done, that's one tragic situation that we inherited because of the suicide policy that was led here before democratic change. I think through this engagement of the International Community and this loan, the situation will be much better, because I agree with you and you can see that in the strategy adopted by the Serbian government a few months ago, and of course, that a larger number, but by their choice, will remain in Serbia forever. Thank you very much.
ParlaMint-RS_2002-12-13-0.u25166	No more applications under this amendment. Article 11 Amendments to the same text were submitted by the people sent by Tomislav Nikolic, the ethnic MPs Srdjan Petrovic, Dusan Ilic and Dragan Lazic. The government and the Finance Committee have not accepted this amendment, and the Legislative Committee considers the amendment legally possible. Does the applicant of the amendment want a word? Here you go. ) National MP Tomislav Nikolic.
ParlaMint-RS_2002-12-13-0.u25167	Ladies and gentlemen Members of the People, Article 11. The draft budget law for 2003 is foreseen, and I have to read it -- the minister responsible for justice affairs, the commander is an officer in charge of the implementation of expenditure allocated in Section 4 and division 4 in the budget are the judicial authorities. The Minister referred to in Article 1 shall be responsible for taking over and issuing payment orders, for carrying out the tasks referred to in Article 1 and for carrying out the tasks referred to in Article 1, the Ministry of Justice shall report three months to the High Council of Justice. The first part of the amendment refers to Serbia's Seismological Institute. It's a small, but significant institution whose budget does not normally exceed 15 million a year. In rebalancing for 2002, they had a 30% budget cut and they couldn't get some equipment they planned even from their own funds, which they themselves earned. I suggest they increase the item for equipment and machines, because if it is not done now, then they will be able to buy equipment eventually in 2004, if they enter the budget. However, truth be told, Mr Djelic, and I cannot complain about the co-operation between us as long as it took for this time, he as a minister, and I as an MP, promised that these were small sums that are being dealt with here, that he would solve it in the course of the year. I respect that, of course, I have no doubt that Mr. Secretary will do so. The second part of the amendment, however, is very important, it is about larger numbers, it is about the Commissioner for Refugees. Obligations to refugees only exist for their health care are huge, there is an increase of 220 to 660 million, and there is a debt, because since 1996 there has been no position in the budget for these purposes, for these purposes, so there has been a debt of 1.650,000. It's very important, therefore, that we have health care for refugees. Another part of it, the same items for refugees, is that it requires an increase for the part relating to building construction facilities. You know, ladies and gentlemen, all very well, that there are still a lot of refugees in collective housing, where very poor living is, and we have to do as a state something to get people out of those joints there and at least where they stay and we have to provide them with some apartments and some other accommodations, because we have to be aware that most of the refugees or at least a great deal of them won't go back to where they came from. For that matter, Mr. Minister has drawn attention to the fact that a loan is expected from a European bank to build apartments for refugees. However, this has been discussed since October 2001. I have additional information from the Commissioner, that the Vice-President of the Federal Government, Mr Labus, has not yet received experts from that bank to discuss the loan, and why is that, he's self-evident? There's a part of why a loan can't be spent, and that's buying, buying, or renting for several years of peasant estates that are completely free, about 500,000 for a single household. That's where you could settle for refugee families, start living off their jobs, not donations and welfare. I think there's something that needs to be increased, because foreign creditors don't give credit, because they're afraid of changing the ethnic composition of the population that they're worried about. The last part of the amendment, part three, refers to Serbia's tourism organisation, and I'm looking for an increase. You all know how important tourism is an important economic branch, and it is, unfortunately, underestimating itself, but they have some projects and I think that with some increased money they can do something to improve our tourism economy. Thank you very much, please read the careful explanation of this amendment and when there is a vote to support me, for the first part of the less - more, I have Mr. Djelic's reunion.
ParlaMint-RS_2002-12-13-0.u25168	I thank the People's Messenger. Does anyone else sign up for a word? Here you are, Minister of Finance, Mr Bozidar Djelic.
ParlaMint-RS_2002-12-13-0.u25169	Ladies and gentlemen, the answer for Honorable Professor Simonovic, this amendment has three parts. The first part is really small, and I think we're going to do it as planned and settle it, and it's already been, I'd say, one amendment that you had on the budget rebalance for 2002, and that part will be settled at that moment. As for the Serbian Tourist Organisation, I can say that we came to that amount in consultation with them, we had them, they were looking for more, but like any budgetary discussion, they were finally satisfied with that figure. Now we're getting bigger, and maybe more important things, they're refugees. As you yourself have noticed, there have long been no items in the budget, nor for their social security, I would not again, for the first time for their health insurance are, I would not say, entirely adequate sums, but it is already a significant step for them to be shown as citizens of the first order in our country. Another thing is, as you can see, that 222 million dinar figure, it will help buy construction material, that all those refugees who would like to leave the center and who need help in the building material to get to what is necessary to get home. I'd add two more things, one thing concerns one other item if you're looking at that split and it's about donations from international organisations, of 218 million dinars. I would like to say here that the international community is too quick to think that the problem with us is solved because it is not solved. It is slowly resolved, should speed up its solution, but when it is heard from some international circles of UNHCR and others, that Serbia simply comes out of some category of problems that would require significant engagements of the organisation, which should now go to other areas in the world where the crisis is even bigger, we cannot fully agree with them and it is very important to coordinate and to seek additional funding from those UNHCR organisations that should reconcile it. Finally, as regards the loans you were talking about, the negotiations were quite adventurous, especially through the engagement of responsible people from the Commissioner and we from the Ministry of Finance had adequate contacts and Mr. Labus had contacts, however, he couldn't meet one delegation once, but it was about a single debt reprogramme, and we caught it. There is an inability to get several tens of millions of euros, now I would not bid the exact amount, it is the subject of negotiations, specifically for that purpose. The Development Bank at the Council of Europe was specifically created after World War II when the refugee problem was one of the major problems in Europe. So, that's her mandate, that's her first goal, and that's why we expect a lot of these negotiations, but of course, entering the Council of Europe is a prerequisite for this loan being hired, and that's why this house hasn't yet seen what's going to have to be one guarantee or counter-guarantee law, for borrowing that's going to dramatically improve the situation in that domain. These loans are with loans from the World Bank most favourable you can find, they have a large portion of the gifts in them, and I think it's going to be one of the important points that we're going to discuss at some meeting next year. All in all, there should be more resources, but as you can see, there are many more, not enough, and the international community needs more to engage, because today we are a country in Europe that has the largest number of refugees displaced, and that's not what this government has done, that's one tragic situation that we inherited because of the suicide policy that was led here before democratic change. I think through this engagement of the International Community and this loan, the situation will be much better, because I agree with you and you can see that in the strategy adopted by the Serbian government a few months ago, and of course, that a larger number, but by their choice, will remain in Serbia forever. Thank you very much.
ParlaMint-RS_2002-12-13-0.u25170	No more applications under this amendment. Article 11 Amendments to the same text were submitted by the people sent by Tomislav Nikolic, the ethnic MPs Srdjan Petrovic, Dusan Ilic and Dragan Lazic. The government and the Finance Committee have not accepted this amendment, and the Legislative Committee considers the amendment legally possible. Does the applicant of the amendment want a word? Here you go. ) National MP Tomislav Nikolic.
ParlaMint-RS_2002-12-13-0.u25171	Ladies and gentlemen Members of the People, Article 11. The draft budget law for 2003 is foreseen, and I have to read it -- the minister responsible for justice affairs, the commander is an officer in charge of the implementation of expenditure allocated in Section 4 and division 4 in the budget are the judicial authorities. The Minister referred to in Article 1 shall be responsible for taking over and issuing payment orders, for carrying out the tasks referred to in Article 1 and for carrying out the tasks referred to in Article 1, the Ministry of Justice shall report three months to the High Council of Justice. Let me let you know that article 94. The constitution of the Republic of Serbia says the ministries are independent in the exercise of the constitution and the law of certain competences, and that Article 95 says the courts are independent and independent in their work. And how it will be the courts in Serbia who will be independent and independent in their work when the funds for salaries, for costs, for the exercise of basic actions, first determines and then distributes, assigns, the minister of justice. It is interesting that Section 3 relating to the Constitutional Court of Serbia did not enter the jurisdiction of the justice minister and that means that you have a quite sufficient majority there, I would say qualified, and you can freely leave to the Constitutional Court of Serbia that it distributes the money to it, I think it is about 15 million dinars, envisaged by the budget and for all other courts -- the Supreme Court of Serbia to those who deal with the violations, will determine the minister, when, to which extent, the minister of justice. It is your declared struggle for independence of the judiciary, and these are threats to the lustration and the continuing daily threats that arise from the Prime Minister and, through the minister of justice, to courts whenever they dare to rule a verdict or a solution that does not comply with the current political interests of those parties who exercise power in the Republic of Serbia. And until the Serbian judiciary has its own budget and decides not only on budget spending, and the budget to be approved by the National Assembly of the Republic of Serbia, you will not have an independent judiciary. Years back and years ahead, it looks like the government will try to secure a way of commanding courts and judges. It's the easiest money. We have suggested that this member be deleted and the Government of the Republic is obliged after that by the bill, which could be brought here by emergency procedure, to resolve how the courts will be financed in their work. Don't forget the sources of income, since you have enormously increased court fees, in courts, as special funds that arrive and do not go out of the budget, are extremely high. The minister of justice, in particular this justice minister, who has been embroiled against almost all judges and is only waiting for the opportunity to bring some of his judges, who has so many people capable of being judges at once, that he does not deserve to have the budget of the judiciary at all, and that you cannot give it to Vladan Batic in your hands. Half would have gone to a football club.
ParlaMint-RS_2002-12-13-0.u25172	On behalf of the group of MPs who filed the amendment, is there anyone else answering for a word? Here you are, MP Srdjan Petrovic.
ParlaMint-RS_2002-12-13-0.u25173	Dear colleagues, we also asked that article 11 be deleted as a whole. The government of Serbia and the finance ministry have practically implemented the principle of gross budgets or the unity of money funds, which is good compared to the previous period. It's a big and qualitative shift. However, this article kind of gives up the principle because it is excluded from this principle, so that revenues from court fees are linked to expenditures and obligations in the area of justice. The commitment of certain revenues is mostly a weaker solution than the full and uniform coverage of budgetary revenues and expenditure. With our pledge that the Ministry of Justice, which is exceptional, we are not asking the question of the amount of funds identified for this important area, but only we believe that the exceptions are not a good phenomenon in public finances, especially given the importance of the funds. Soon we will have the introduction of a vault at the Ministry of Finance which is tasked with managing the free funds of the budget, so this solution will be provided for in Article. 11th and financially harmful.
ParlaMint-RS_2002-12-13-0.u25174	The word has Minister Bozidar Djelic.
ParlaMint-RS_2002-12-13-0.u25175	Ladies and gentlemen, the judiciary and reform cost and this house voted a few months ago a whole set of judicial laws that introduced a lot of innovation. If we want it to be a reality, it has to be financed. If you look again not at rhetoric, not at paroles, but at figures, you'll notice that this budget in nominal terms, not realistic, increases about 20%, the judiciary budget increases 34%. So that's nine billion dinars and that's the fastest-growing division in the part that could be called the classic part of the budget. Why? Because, firstly, as was the policy of the government of the Republic of Serbia, supported in this home, the judiciary with health care and education is one of three priorities for improving the material position of those working there. Even so, it is not fully achieved for a sufficient purpose and so it would be in the light of where we came from. However, judges now have salaries that go from 25 to 40,000 dinars, those who work with them, especially those with higher professional training, have received a significant increase, which means improving the material position, but what is also important for our citizens, it is that they finally give some means for better conditions and not just courts that are here and a lot of talk about, but also for offenders, as people call them. They often work under unbearable conditions. The example works in Belgrade is that we have judges who can only judge alternately. One week, so three weeks can't judge, because there's just no room. If you look at this budget you will see that significant funds are provided for equipment, there is for the palace of justice, which has not seen any more serious investment than its construction, several decades ago, scheduled to change harmful air conditioning devices and not just that. Appeal courts will be established and financed. The guards must be established, because our judges and prosecutors have no security at any given time, and we know that in some situations very intense passions are manifested and they are without any protection, except for those which the MUP sometimes provides, and this time it will finally be done in a normal way and arranged. We also have the opportunity to finance in this budget what will be the whole justice reform strategy, including the deep work on those sublegal acts that will be necessary for this whole set of laws, which has been voted upon, to be a reality. Finally, as far as spending techniques are concerned, we have not come to this Article 11 but rather a joint work in formulating the content, with those where there is a specific person, who represents a separate defence of the authorities, because if you look at the third position of this Article 11, it is evident that a high council of justice is being introduced. So, not only did we show the division of various courts more precisely this time, but they were under the department of justice, that was two years ago, but we also have a clearly legally regulated role of the High Council of Justice. Members of the High Council of Justice that we met two days ago reaffirmed that this formulation, at this point, is the one that is suitable for them and for establishing judicial independence. That's it. The following year, he will show, watching the Court of Justice, a building in Germany in 9, which in 1998 was to be reduced to one purpose, the prosecution and the judiciary, as well as the Fifth Municipal Court to be transformed into a special court for counter-organised crime, that judicial reform is indeed one of the three priorities of this government. All of this will be seen with a naked eye. Thank you for your attention.
ParlaMint-RS_2002-12-13-0.u25176	The word is made by MP Vojislav Seselj, president of the SRS parliamentary group.
