ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u1	Debates of the European Parliament Mrs Schlitz has converted 27687 into a written question.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u70	Question No 1, by Mr De Pasquale (H-l 28185, 28186, 28187 and 28190 by Mr Vermeulen are converted into written questions. Question No 1, by Mr De Pasquale (H-l 28193 and 28194 by Mr Vanden Burre were postponed. Debates of the European Parliament Mr Kir has been postponed to 28199. Debates of the European Parliament 28204 by Mr Maingain was dealt with under point 7. Debates of the European Parliament Mrs Matz's 28215 was postponed. Debates of the European Parliament Mrs Lanjri's 28223 will be converted into a written question. Debates of the European Parliament Mr Degroote's 28263 will be converted into a written question. Question No 1, by Mr De Pasquale (H-l Mr Vermeulen's 28275 and 28276 are converted into written questions. Debates of the European Parliament Mr Vanden Burre and Mr Thiébaut were postponed. Debates of the European Parliament Mr Van Hecke's 28328 was converted into a written question. Debates of the European Parliament Mr Vermeulen has converted 28341 into a written question. Debates of the European Parliament 28345 by Mrs Matz was postponed. Debates of the European Parliament Debates of the European Parliament Debates of the European Parliament Mr Demon has converted 28348 into a written question. Debates of the European Parliament Mrs Pas 28357 has been postponed. Question No 1, by Mr De Pasquale (H-l 28359 and No 28360 by Mr Frédéric were postponed.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u71	Mr President, I would also like to turn a few questions, No 28376, No 28377 and No 28387.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u72	That will be the case.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u73	Minister, six years ago, the Minister of the Interior was questioned about the numbering of private houses. At the time, the relief services complained of too many people not clearly indicating their street numbers on their homes, which could complicate their work. Indeed, although GPS is now used in the vast majority of cases, they are not infallible and the affixing of 'physical' numbers remains paramount. The mode of housing numbering is a competence of the municipalities. However, the federal authority requests that a series of directives be followed, including that a separate residential number be affixed visibly next to each door or other exit on the highway of any building inhabited or likely to be inhabited, unless it is a second exit, and the first exit is already numbered. In the reply of the then Minister of the Interior, it was confirmed that the emergency services were sometimes hampered by the absence of these numbers, or even by the absence of a plaque indicating the street name. The minister pledged to urge local authorities to improve the situation. Minister, six years later, can you take stock of this issue? To your knowledge, are problems of this type still encountered by some relief areas? Do you believe that further steps could or should be taken to improve the situation? I apologize for the length of the question and thank you for your answers.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u74	Mr President, Mr Flahaux, at present the Internal FPS does not receive any complaints on this subject, but it is not impossible that problems can still arise on an ad hoc basis. Emergency power stations 112 and 101 have updated mapping, which is also accessible to emergency services. The municipalities have been made aware of always alerting the rescue services when a change of street name or housing number is planned. All of these changes are forwarded directly to the mapping provider to be integrated as soon as possible. The Home SPF raises awareness in the section "How to call?" the site www.112.be by asking to explain how to reach the place of intervention. In July 2017, the SPF launched a mobile app, App 112 BE, which allows very precise and efficient geolocation of callers according to their coordinates and not on the basis of an assumed address. In addition, the Inland FPS is continuously involved in projects to improve the tools and mapping available for rescue services. Luckily you did not merge communes!
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u75	Why?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u76	Because there are often duplications (rue du Ménil, rue du Moulin, rue de la Gare, rue Basse, rue Haute, etc.).).
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u77	Minister, you are particularly concerned too! Having said that, we had this work after the merger of the municipalities of 1976. Of course, the precursors who, like you, decide to organize a second merger are again confronted with this situation. That being said, it is important that you are able, through a circular for police areas, to insist on this point. It is also important for the factors, even if they are not within your remit.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u78	Mr. Chairman, Minister, it is our responsibility that an impressive and disturbing number of police officers in the Royal Street building of the Federal Police have contracted illnesses in recent months. They seem to have been taken with high fevers and violent coughs. Diagnoses include Chlamydia pneumonia and Mycoplasma bacterium. In recent days, dozens of new cases have been reported. My question was tabled on January 14, 2019. So it's quite recent. When we know that this building is home to 3,000 people every day, it seems to me important to keep a close eye on the development of this situation. Minister, have you been informed of this? What, according to your information, is the true extent of this phenomenon? Is there any worsening or lulling? Have any measures already been taken? Depending on the changing situation, what opportunities exist to stem this epidemic?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u79	Mr. Chairman, Mr. Flahaux, the situation in the federal police building on Rue Royale, commonly known as the CAR, is closely monitored by various departments and the office of the Commissioner General. In June 2018, various notifications indicate that the diseases mentioned were diagnosed with workers. Later, at the time of publication of the article, no new cases had been reported. Since June 2018, no additional cases have been reported either through occupational medicine or through curative medicine. In order to verify whether the ventilation problems were the cause, measures were taken by an external firm. No diffusion by ventilation of bacteria harmful to health could be established. Chlamydia and Mycoplasma bacteria are transmitted by human contact. Provisions similar to those to be taken in the case of influenza, such as hygienic cough control and hand washing, must be applied.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u80	Minister, thank you for your answer. I would also like to congratulate you on the speed with which you respond to the questions raised. Indeed, some of the ones I introduced that you were prepared to answer today are just January 17. Thank you so much!
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u81	I'm a bit of a part of it, but it's mostly because of my collaborators.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u82	Minister, the difficulty in hiring new police officers is not a new development. Recently, it has come back to us that one of the avenues envisaged to counter this phenomenon was the possibility of performing paid internships. The aim would be to attract young people for the time of an internship, hoping to give them the taste to stay afterwards. In concrete terms, the police, the OCAM and the Crisis Centre will offer such courses and selections will take place next December. Minister, any initiative to make police more attractive and to create new vocations seems timely and welcome. I therefore fully support your initiative. Can you tell me the number of places that will be available during this first selection? Can you also tell me if these internships will all have the same duration? If so, what will it be? In concrete terms, what profiles will be sought? Will they be internships for people who are in or who have completed their studies? Finally, will this internship provide people who have completed it with a simpler access to training than traditional candidates?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u83	Mr President, Mr Flahaux, the future paid internships will be organised under the Rosetta plan, the first job agreement. Their duration will be one year. Only functions of the administrative and logistical framework will be available for this type of training. These functions can be both administrative support and specialized (e.g. ICT). Candidates may not yet have completed their studies, but they may only be recruited on the basis of the highest degree in their possession. In addition, applicants will also be required to meet the conditions of the Rosetta Plan. The remuneration will depend on the common or specific level of the person engaged, linked to the diploma and job description. From a practical point of view, a needs assessment was carried out as part of the organisation of the Level S employment fair on 19 and 20 December 2018, in collaboration with the Vias Institute. At this fair, the federal police selected candidates. In concrete terms, 17 fixed-term contracts are being finalized. At the end of the internship, it will be possible for the candidate to apply for a regular external recruitment, either as a contract or as a statutory candidate, or to present the selection tests for an operational job. However, having been able to work for a year within the police institution gives him a definite advantage: knowledge of the functioning of the organisation, its tasks, etc. This measure will be financed on the basis of federal police personnel credits. The presence of the federal police at the Level S job fair has been the subject of several communications via various channels: Internet, Facebook, Twitter, Instagram and YouTube.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u84	Minister, I find this initiative excellent. I have been president, in my time, of the Haute Senne police zone, and I find that indeed, often, possible candidates have a priori about the work within the police. I'm talking about the police or the administrative and logistical staff. Anything that can help create a link, a bridge, between the police and the citizen, and give the citizen the urge to be a member of the police in the broad sense of the term, is an excellent thing. If this works, we should mention the idea of doing this in other police areas as well. Thank you very much.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u85	Debates of the European Parliament Mr Thiébaut converted 28399 into a written question. Debates of the European Parliament 28401 by Mrs Ben Hamou was postponed. Debates of the European Parliament President. - I call the Group of the European People's Party (Christian-Democratic Group). 28418 and No. 28419 are postponed. Debates of the European Parliament Mr Frédéric's 28426 was postponed.
