ParlaMint-FR_2021-10-25-O1029.u1	The next item is the debate on the second part of the finance bill for 2022 (No. 4482, 4524).
ParlaMint-FR_2021-10-25-O1029.u161	With regard to Amendment No 353, Madam Member, the PLF for 2022 already provides for the creation of posts of prison supervisors to accompany the creation of new institutions and to strengthen the centres for the implementation and monitoring of placements under electronic supervision, amounting to 179 net new posts out of the 599 provided for in the budget. These are 4500 additional recruitments for the prison administration during the quinquennium, obviously considerable effort. Very concretely, the proposal to create 1000 additional posts in 2022 would require an increase in the number of recruitments per competition to approximately 2400 to ensure these creations and fill departures, which would exceed both the pool of potential candidates and the capabilities of ENAP. I therefore express an unfavorable opinion. With regard to Amendment No. 354, the allocation for the reintegration of persons under judicial control is increased by this draft finance law to EUR 108.5 million, an increase of 16.16% over the appropriations voted for 2021. This envelope supports the implementation of several priorities: the development of work in detention to the tune of EUR 44.2 million and the establishment of a status of the inmate worker – a reform to which I am particularly committed – for EUR 10 million; a scheme for the vocational training of detained persons amounting to EUR 17 million; a material and financial support package to combat poverty in detention and facilitate the reintegration of the public in care, amounting to EUR 6.9 million; a policy of preparation for exit and reintegration, amounting to EUR 29 million, and a partnership with national education, amounting to EUR 1.3 million. Your amendment underlines the relevance of criminal policies, which are based in particular on the establishment of a system of accompanying measures to give meaning to the penalty. Of course, I fully agree with you. That is why we have allocated so many funds and planned so many actions for the reintegration of persons in the hands of the judiciary in this PLF. Again the opinion will therefore be unfavourable. Finally, with regard to Amendment No 355 I would like to tell you from the outset, Madam Commissioner, that you will always find me at your side in order to improve the conditions of detention in our country. It is the honour of France, and that is why the prison administration devotes important resources every year to improving the conditions of detention, in particular through the appropriations dedicated to the renovation of the housing stock – 130 million euros since 2018, a doubling of the previous allocation. In Fleury-Mérogis, to quote an example of which little has been said, everything has been renovated, and individual showers have been installed in all the cells: this is the least, but it had to be done. In addition, the 15,000-seat prison building programme, which I have just presented to you, aims to reduce overcrowding in detention centres and to achieve the goal of an 80 per cent rate of individual confinement. I recall that a specific remedy against unworthy conditions of detention was created on the initiative of François-Noël Buffet, Chairman of the Senate Law Committee. This, of course, prompts us to act forcefully, and it commits us to doing so. With a total of more than 632 million euros dedicated to prison real estate, an increase of 62% in two years, the means are up to our ambitions. The Government's opinion would therefore be further unfavourable.
ParlaMint-FR_2021-10-25-O1029.u162	Mr Ugo Bernalicis has the floor.
ParlaMint-FR_2021-10-25-O1029.u163	The more prisons are built, the more prison guards are actually needed: there is no need to be an eagle to reach this conclusion. However, the recruitment of prison guards has been facing great difficulties for years; This can be seen in the establishments in Île-de-France, which welcome intern supervisors, mostly from overseas. I would also like to take this opportunity to alert you about their housing conditions in the hexagon, which are deteriorating, as the conditions of the enhanced leave – designed to allow them to return regularly to their families – have deteriorated, since the reform which abolished the two-month leave rule every three years. This is an additional suffering that explains the large number of defections among students in prison wards. Ensuring quality recruitment in the future is therefore a real challenge. Failure to create additional prison places would result in a failure to recruit additional supervisors, at least not as much as today, and would enable them to do their job properly and be adequately remunerated. For the time being, their salaries are well below the index grid of police officers, for example, when they too are exposed to fairly strong tensions – and this is an understatement. Without denying the interest of these amendments, I therefore do not wish them to be adopted, since I am in favour of prison deflation and therefore criminal deflation, one not going without the other. Finally, as you must know, Minister, since your office is systematically informed of these visits, I recently visited Bonneville Prison, not far from Annecy. They need places there in detention centres to avoid sending convicts to long sentences far away from their families, and you offer additional places in detention centres! So, please, show some common sense, even when you go to prison.
ParlaMint-FR_2021-10-25-O1029.u164	Ah, that arrogance!
ParlaMint-FR_2021-10-25-O1029.u165	What a tone!
ParlaMint-FR_2021-10-25-O1029.u166	We can still talk to people without disrespect!
ParlaMint-FR_2021-10-25-O1029.u167	Mr Ugo Bernalicis has the floor for a point of order.
ParlaMint-FR_2021-10-25-O1029.u168	This reminder is based on Rule 98 on the admissibility of amendments. Two of our amendments have been declared inadmissible, in a rather strange way since they were intended to increase the number of judicial and clerkial posts.
ParlaMint-FR_2021-10-25-O1029.u169	This has nothing to do with it!
ParlaMint-FR_2021-10-25-O1029.u170	This is, to say the least, bad, whereas this is the very subject of the budget discussions and it was tabled under conditions similar to those of last year. We are told that we would not have given sufficient reasons for our amendments under Article 47 of the LOLF.
ParlaMint-FR_2021-10-25-O1029.u171	You don't work enough!
ParlaMint-FR_2021-10-25-O1029.u172	I am sorry, but colleagues' amendments leave something to be desired on this point! I am therefore concerned that we are not allowed to debate the increase in the number of magistrates and clerks. Then the minister will be happy to accuse me of showing nihilism, of never offering anything, bla-bla-bla – we know the music! This inadmissibility is certainly not because of him, but even less because of mine!
ParlaMint-FR_2021-10-25-O1029.u173	I would remind you, Mr Bernalicis, that this decision is made by the Chairman of the Committee on Finance and that it is obviously not up to me at this stage to comment on it. I can only reiterate here my commitment to the right of amendment of parliamentarians.
ParlaMint-FR_2021-10-25-O1029.u174	Amendment No 356 by Mrs Isabelle Santiago is being defended. What is the opinion of the committee?
ParlaMint-FR_2021-10-25-O1029.u175	This amendment has not been discussed in committee, but in my personal capacity I will give an opinion of wisdom. It is true that the employment plan for the judicial protection of young people planned for 2022 has only 251 jobs, while the number of minors and young adults in detention has increased in recent months and is expected to reach levels similar to those known as early as 2019 within a few months. Apart from the need to increase staff, this amendment rightly points to the fact that we are lagging behind, since we were told that five new educational centres would be set up during the quinquennium, which will not be the case. As far as the pledge is concerned, on the other hand, I am rather dubious: the Government can propose an increase in the budget without guaranteeing it. The ball's on his side.
ParlaMint-FR_2021-10-25-O1029.u176	What is the Government's opinion?
ParlaMint-FR_2021-10-25-O1029.u177	The Government was opposed to the amendment, as the number of young people's judicial protections had been increased. The reform of the juvenile criminal justice code which has just entered into force has been anticipated since 2018: 252 new jobs were created during the quinquennium to accompany this reform of juvenile justice, and 110 in the social, integration and educational professions. In addition, the 86 educators recruited in 2021 to increase the number of community justice officers should be added to this figure.
ParlaMint-FR_2021-10-25-O1029.u178	I call Mr Bernalicis to support Amendment No. 398.
ParlaMint-FR_2021-10-25-O1029.u179	This amendment, which has been removed from the filter of the Committee on Finance, tends to increase the resources of the specialised interregional courts, the JIRS, which, as you know, deal with organised crime cases, the most important cases, with many ramifications. However, these cases, which have the highest number of ratings, are managed by approximately 150 judges, judges and prosecutors combined, to which can be added the 18 judges of the National Financial Prosecutor's Office (PNF). It is, of course, too little, given the number of cases, which causes the PNF to be congested, with more than 600 cases to be investigated. The JIRS are just as numerous, a magistrate to investigate 30 cases on average and not any case, I repeat. It is necessary to put the package in the fight against this organised crime, which is the umbrella of other types of trafficking and delinquency. A very distressing article was devoted by a journalist from the World to the treatment of economic and financial crime by the JIRS in Lille – and you know how much this matter matters to me since I have devoted reports here in the National Assembly with my colleague Jacques Maire. It is a matter of justice, social justice, but also tax justice. More resources must be devoted to this if we do not want to give the impression that there is a two- or three-speed justice. Indeed, the weakness of the means devoted to this struggle tends to accredit the thesis of a justice largely at two speeds depending on whether it is a question of fighting crime "in white collar" or against that of the all-coming, which it concentrates all means: the creation of a delegate of the prosecutor, the abolition of the reminder to the law, etc. There it has to go fast and it has to be effective. This amendment is therefore a public health amendment.
ParlaMint-FR_2021-10-25-O1029.u180	What is the opinion of the committee?
ParlaMint-FR_2021-10-25-O1029.u181	These interregional courts, established in 2004, bring together judges experienced in the fight against organised crime and financial crime, in cases of great complexity. You do well to remind us of the need to combat organised crime and financial crime. We said, Pascal Brindeau and I, when we were working on the fight against fraud in social benefits, that we had to fight all forms of fraud and this in particular. Today, the JIRS face a real problem of attractiveness.
ParlaMint-FR_2021-10-25-O1029.u182	Yes!
ParlaMint-FR_2021-10-25-O1029.u183	This was referred back to in committee, particularly when we considered an amendment by Mr Emilie Cariou. This is a real pilotage problem. I am not sure, however, that it is necessary to create a program entirely dedicated to JIRS, as you propose. For this reason, I am obliged to take on board the committee's unfavorable opinion.
ParlaMint-FR_2021-10-25-O1029.u184	What is the Government's opinion?
ParlaMint-FR_2021-10-25-O1029.u185	Unfavorable.
ParlaMint-FR_2021-10-25-O1029.u186	Mr Ugo Bernalicis has the floor.
ParlaMint-FR_2021-10-25-O1029.u187	I am as convinced as you, rapporteur, that there is no need to create a programme dedicated to JIRS. It is for me, in accordance with our rules of discussion, to stress the need to combat economic and financial crime, on which we all agree – except, I can see, by the minister. Since the creation of the national court responsible for combating organised crime, the JUNALCO, and the transfer to this centralised court of cases which so far fall under the jurisdiction of the Paris Public Prosecutor's Office, where they were also being investigated, there are now only thirteen investigating magistrates, compared with twenty before, and seven prosecutors: the number of staff has not increased at all, which is still at least problematic. I am opposed to these advertising and communication policies. They claim to have created I don't know what "things," but they don't give him the means to act. It is not surprising that the JIRS cannot recruit magistrates when they know that of the 30 cases of extreme importance that each will have to investigate, they will actually deal with only four or five. How could such working conditions be satisfied? However, with regard to cases involving the biggest criminals in our country, there would be room to put the package, and I regret the minister's lack of reaction – but we are used to it.
ParlaMint-FR_2021-10-25-O1029.u188	I call Mr Bernalicis to support Amendment No. 395.
ParlaMint-FR_2021-10-25-O1029.u189	The aim of this amendment is to increase the amount of money spent on external placement in the prison administration's budget. Indeed the level of these credits stagnates, after having decreased at the very beginning of this quinquennium. Outside placement is a form of punishment that allows the convicted person to be placed at the end of his detention in an associative structure, whether it is a housing structure or a more comprehensive accompaniment, such as the farm in Moyembie, of which we have talked a lot. In this regard, I would like to pay tribute to the work done by these speakers to accompany the release from prison. Prisoners are accommodated on the farm for six months to one year or more as a transition from detention to reintegration into society. Most often for long sentences, placement outside can also be pronounced ab initio for shorter sentences, instead of detention in prisons. However, since placement outside the country depends almost exclusively on resources and associative capacities, it is not surprising that judges cannot decide on placement outside the country when they are not able to do so. We were told, however, that the goal was to get out of prison and put the package on alternatives to incarceration, autonomous probation sentences. We can see that all this was powder in the eyes and that in reality your only goal is to create more and more prison places. Less prison, more sentences in an open environment, more placements outside: this is what should be done.
ParlaMint-FR_2021-10-25-O1029.u190	We have the right not to agree with you.
ParlaMint-FR_2021-10-25-O1029.u191	What is the opinion of the committee?
ParlaMint-FR_2021-10-25-O1029.u192	Two weeks ago, the director of the prison administration, whom I was hearing in the context of my work as special rapporteur, provided me with information that may surprise you: in terms of probation sentences, of the kind of work of general interest, judicial supervision or citizenship internship, France is the second largest European country, behind England. This is not enough to limit prison overcrowding and it is indeed the plan for the construction of 15,000 prison places that must be the priority. The 2022 finance bill devotes €8.3 million of credit to external investment. You are proposing, Mr Bernalicis, that these appropriations be increased to 33 million, a fivefold increase: it is very ambitious! Of course, it is necessary to be particularly ambitious on this subject, but from there to fivefold these credits! Hence the committee's unfavorable opinion, but I do not dispute that there is a real problem here and that the question of external placement should not be ignored.
ParlaMint-FR_2021-10-25-O1029.u193	What is the Government's opinion?
ParlaMint-FR_2021-10-25-O1029.u194	Unfavorable.
ParlaMint-FR_2021-10-25-O1029.u195	Mr Ugo Bernalicis has the floor.
ParlaMint-FR_2021-10-25-O1029.u196	The amount granted to the outside placement amounts to about 43 euros per day per person hosted in a structure similar to that of the Moyembie farm. By comparison, the average cost of an inmate in a prison is about 120 euros per day, even though the external placement offers a significantly higher rate of prevention of recidivism than that of incarceration – not to mention dry discharges. This method of planning and carrying out the sentence thus enables results to be achieved in a way that meets expectations. I would like to reply to the rapporteur on something that has been provided to him by the prison administration – he is right in a sense and I will explain why. The increase in the number of probation sentences in France – work of general interest, internships, etc. – accompanied by a legislative movement of criminal inflation: we have thus brought more people into the judicial field of persons placed in the hands of justice. It is true that at the present time a substantial proportion of the population – indeed a very marked increase – is dealing with justice without going through the prison box, but these penalties have come to be added and not to substitute, as we thought, for prison sentences. Our political group learns from this: if tomorrow we wanted to make probation a stand-alone sentence, that would not solve the equation of the too many people incarcerated. The Penal Code itself should be amended so that, for certain offences, it is no longer possible to sentence the person to imprisonment but only to probation, in order to promote sentences in an open environment in relation to imprisonment. In the Bonneville prison, which I recently visited, 14% of those detained were on recidivism driving. Of course, this is a crime – I agree on this point – but does incarceration make any sense in this case?
ParlaMint-FR_2021-10-25-O1029.u197	Mrs Mathilde Panot has the floor to support Amendment No. 613.
ParlaMint-FR_2021-10-25-O1029.u198	The purpose of this appeal amendment is to appeal again to the keeper of the seals on the Khadija case. The worst thing that can happen to a complainant is that justice does not recognize her as a victim, by not summoning her to her own trial. That's what happened to him. In 2017, Khadija filed a complaint of rape, torture and barbarism against her spouse. Judicial information is open, and Khadija is a civil party. She goes to all convocations – hearings, confrontation, reconstitution, expertise. At the conclusion of the information, the case is referred back to the Assize Court for trial. However, in September 2020, Khadija learned from the press that the trial had begun without her, as the court had not called her. His ex-spouse was sentenced for domestic violence to eight years in prison and was thus found guilty of extremely serious acts of violence; but he was acquitted of the charges of rape. A serious and manifest judicial dysfunction did not allow this trial to proceed in accordance with the most elementary rules. Khadija was unable to exercise the rights of the civil party: the prosecution and the court were the main witness of the facts. Unfortunately, there is no procedure in French law to correct this irregularity: no recourse is possible. If there is no law to set aside a decision in which the civil party has not been summoned, the victim's most essential right to be present at the hearing is no longer guaranteed. Since then, Khadija has led a course of action not only to ensure that his status as a victim is recognized, but above all to ensure that a new trial takes place. How can a marital rape trial take place without the victim being heard, when she is the only witness to it? Why does French law not provide for a procedure allowing the civil party not summoned to the criminal trial to object to the acquittal order? What have you planned, Mr. Keeper of the Seals, for Khadija and for all the other victims, in order to improve their rights in criminal proceedings?
ParlaMint-FR_2021-10-25-O1029.u199	The Special Rapporteur has the floor.
ParlaMint-FR_2021-10-25-O1029.u200	With regard to an appeal amendment which directly appeals to Mr. Keeper of the Seals, I shall leave the latter to answer. To the extent that this amendment has not been discussed in committee, I personally issue a wisdom opinion.
ParlaMint-FR_2021-10-25-O1029.u201	What is the Government's opinion?
ParlaMint-FR_2021-10-25-O1029.u202	It is a constitutional rule that the Minister of Justice should not intervene in an ongoing case. I do not personally know this matter and I do not see how I could know it as a minister. I hear what you're saying, but I haven't, ever since I was a minister, made any comment on a case in progress. It is called the separation of powers, and it is very well so. The budget for justice includes a "Aid for Victims" component of the Access to Law and Justice programme, which I invite you to consult: EUR 40.3 million is spent on it, an increase of 26% compared to the appropriations voted for this purpose in the initial finance law for 2021. As a result, more than three times more than the average increase in the overall budget of the Justice Mission is being implemented.
ParlaMint-FR_2021-10-25-O1029.u203	Mrs Mathilde Panot has the floor.
ParlaMint-FR_2021-10-25-O1029.u204	We are not unaware of the principle of the separation of powers, but, first, this case has been tried and, second, you should know it personally.
ParlaMint-FR_2021-10-25-O1029.u205	This has nothing to do with our subject!
ParlaMint-FR_2021-10-25-O1029.u206	Why? Because Khadija and her lawyer tried everything: I gave you a letter from the victim herself in this Chamber – she was supported by several parliamentarians on various benches – and sent you a letter from her lawyer, so that she would be received by your ministry. Khadija's lawyer wrote an open letter to that effect, published in the newspaper Libération. The Khadija case is of course a woman's fight, but it is also and above all an illustration of an unacceptable judicial dysfunction that should alert us all and that should shock you, Mr. Keeper of the Seals.
ParlaMint-FR_2021-10-25-O1029.u207	We are not really in the budget debate anymore!
ParlaMint-FR_2021-10-25-O1029.u208	This is about guaranteeing the rights of all citizens, whether they are accused or victims. That is why we would like an answer.
ParlaMint-FR_2021-10-25-O1029.u209	Mrs Panot, we are moving somewhat away from the budget debate, even if your remarks are part of the defence of your amendment. Mrs Albane Gaillot has the floor.
ParlaMint-FR_2021-10-25-O1029.u210	We seem to be moving away from the budget debate, but not so much. When referring to the situation of victims, including domestic violence, there is also talk of the functioning of the justice system and its means. You are making a technical response, while we are waiting for a political response. [[Mrs Mathilde Panot applauds]] The Khadija case is not just a woman's fight, but that of all women who are victims of domestic violence, who struggle to assert their rights. Respecting these women also means recognizing their status as victims. We hoped for an answer from you, Mr. Keeper of the Seals; We will continue, together with Mathilde Panot and all the colleagues involved on these issues, to defend political amendments and positions in order to question you on the subject.
ParlaMint-FR_2021-10-25-O1029.u211	Mr Pascal Brindeau has the floor to support Amendment No. 676.
ParlaMint-FR_2021-10-25-O1029.u212	This amendment by our colleague Philippe Dunoyer concerns the situation of the Nouméa prison, described as extremely worrying: the figures for 2019 indicated a occupancy rate of more than 122% and 130% for the prison. The Comptroller General of Places of Deprivation of Liberty had made several recommendations and, more recently, the Council of State, which had been referred to the International Prison Observatory (OIP), had instructed the prison administration to take a number of measures aimed at improving the conditions of detention in that institution as soon as possible. These improvements, in our view, require an increase in the appropriations of the Prison Service programme, in order to implement an ambitious programme of renovation of Camp East. A similar amendment had been tabled in the previous finance bill and you said that the development of a master plan for the restructuring of Camp East would be entrusted to the Public Agency for Real Estate of Justice before the end of 2020. It appears that the situation has not changed. This is why this amendment aims to transfer 10 million authorisations of commitments and appropriations for payment of action 04 Management of the central administration of the programme 310 Conduct and pilotage of justice towards action 01 Custody and control of persons placed under control of the programme 107 Prison administration. Our colleague Philippe Dunoyer would like to know more about your intentions in this area.
ParlaMint-FR_2021-10-25-O1029.u213	What is the opinion of the committee?
ParlaMint-FR_2021-10-25-O1029.u214	New Caledonia is indeed a typical example of the lack of leadership of the prison plan. The Nouméa Prison is experiencing a situation "which seriously violates the human rights of detained persons", in the words of the warning signal issued by the Comptroller General of Places of Deprivation of Liberty in 2019, that is, more than two years ago. Since then, things have progressed very slowly. If everything goes well, the Koné prison will open in 2022, but it will indeed be very late, given the urgency of the situation. I maintain that this is not a budgetary problem, but a pilotage problem. As this amendment has not been considered by the committee, I am asking personally for withdrawal, even if I hear your call on this issue. It's been a while since you've been alerting about it and not much has happened.
ParlaMint-FR_2021-10-25-O1029.u215	What is the Government's opinion?
ParlaMint-FR_2021-10-25-O1029.u216	I should take your remarks as a compliment: since you have nothing to say about the budget, you are challenging the pilotage.
ParlaMint-FR_2021-10-25-O1029.u217	Yes.
ParlaMint-FR_2021-10-25-O1029.u218	The situation in Nouméa does not date back to my arrival and also concerns you a little, Mr.Brindeau: judicial life did not begin with Emmanuel Macron's quinquennium.
ParlaMint-FR_2021-10-25-O1029.u219	Luckily!
ParlaMint-FR_2021-10-25-O1029.u220	Neither are prison difficulties. I will, however, show you how well this plan is managed and respond to Mr.Brindeau. As of 1 October 2021, you recalled, the Nouméa prison had a occupancy rate of 126%. In order to improve the conditions of detention in this institution on a sustainable basis, as I announced at the end of last year, the Public Agency for the Real Estate of Justice (APIJ) was entrusted with the development of a master plan for restructuring, by deliberation by the Board of Directors on 2 December 2020. I would like to announce that the preliminary studies of this master plan are under way and, as I had committed myself to doing so, I confirm that the APIJ has the funds to carry them out. The resources necessary for the overall restructuring as envisaged will be programmed in the light of the scope of work to be decided upon following these studies. Pending this major renovation, I would like to point out that the construction of a new isolation area and a disciplinary district began in October 2020, amounting to EUR 4.6 million; delivery is scheduled for 2022 – which shows, Mr. Special Rapporteur, that pilotage is not so bad. With regard to the renovation of the walking courses of the men's prison, which had been set up in 2021 for an amount of EUR 0.6 million, the work of court number 2 had been completed and the work of court number 1 would start at the beginning of 2022. The repair of the painting, plumbing and electricity of all the cells of the establishment, estimated at 1.6 million euros, will begin at the beginning of 2022. Finally, studies are under way for the renovation of water and sanitation networks, estimated at €2.7 million. In addition, a 120-seat detention centre is under construction in Koné; it should be delivered in early 2022 and enter operational service in the summer. It will help to relieve the congestion of Nouméa's establishment. For a pilot you think is failing, it's pretty good! By 2022, the conditions of detention in New Caledonia would thus improve decisively. You know my interest in this community; Justice must be humane, dignified and accessible, as everywhere else in the national territory. I am also aware of the commitment of the IDU and independent parliamentarians to New Caledonia. Together with MPs Philippe Gomès and Philippe Dunoyer, as well as Senator Gérard Poadja, I recently created, in the framework of the bill for confidence in the judicial institution, and with the support of the Minister for Overseas Affairs, a council on access to law in New Caledonia, which was terribly lacking. In view of the many actions undertaken and the commitments made, I propose that you withdraw your amendment; Otherwise, my opinion will be unfavorable.
ParlaMint-FR_2021-10-25-O1029.u221	Mr Pascal Brindeau has the floor.
ParlaMint-FR_2021-10-25-O1029.u222	I hear your explanation of the evolution of the real estate programme in New Caledonia. I will pass them on to Philippe Dunoyer, but I would not allow myself to withdraw an amendment of which he is the author.
ParlaMint-FR_2021-10-25-O1029.u223	Mrs Albane Gaillot has the floor to support Amendment No. 643.
ParlaMint-FR_2021-10-25-O1029.u224	[[Mrs Mathilde Panot applauds]] Let me return to the extremely important issue of domestic violence, particularly on the serious danger telephone. This device is essential, but its deployment is still insufficient: with 1716 phones grave danger in 2020 and 2028 in 2021, we are far from meeting the needs, knowing that there are 125,000 victims of domestic violence. Our amendment therefore proposes to increase the number of these telephones to 5000, in accordance with the High Council's opinion on equality between women and men.
ParlaMint-FR_2021-10-25-O1029.u225	What is the opinion of the committee?
ParlaMint-FR_2021-10-25-O1029.u226	In early September, the Government announced that it would deploy as many high-risk telephones as necessary to protect women victims of domestic violence.
ParlaMint-FR_2021-10-25-O1029.u227	There!
ParlaMint-FR_2021-10-25-O1029.u228	The target of 3,000 phones deployed by November will be maintained, said the seal keeper – I will let him confirm it. If needs continued to increase, he added, the number of telephones would continue to increase. Take action, Mr. Keeper of the Seals! Are the current means sufficient to finance your promises? Otherwise, Mrs Gaillot's amendment should be adopted: you must bring the budget into line with your comments.
ParlaMint-FR_2021-10-25-O1029.u229	What is the Government's opinion?
ParlaMint-FR_2021-10-25-O1029.u230	[[Smile on the benches of the commissions]] I almost thought you fully agreed with me, Mr. Special Rapporteur, but we are not far from it! The number of high-risk telephones deployed in the courts increased by 64 per cent, indicating that magistrates have taken full advantage of this tool, which works well – just as they have seized the anti-approximation bracelet. There has certainly been a time of latency, but note that Spain, which is a pioneer in this field, has also not deployed these tools immediately; She needed some time to adapt. [[Applause on a few benches of the LaREM Group and on the panels of the commissions]] I want to reassure you completely: mid-November, we will have more than 3000 phones seriously dangerous; But if it were 4000 or 5000, we would deploy it as much as we need – I make a commitment to national representation. The fight against domestic violence and violence against women is a top priority for us. Your amendment therefore seems to me to be satisfactory. I suggest you remove it; Otherwise, my opinion will be unfavorable. I am aware of the extent to which the whole Government is engaged in my remarks at this moment.
ParlaMint-FR_2021-10-25-O1029.u231	Mrs Albane Gaillot has the floor.
ParlaMint-FR_2021-10-25-O1029.u232	[[Mr. Ugo Bernalicis applauds]] Thank you for your very engaging remarks, Mr. Keeper of the Seals. However, I propose that you take an additional step, by including in the finance bill the necessary budget for the deployment of 5000 serious danger telephones. Perhaps we will have 3000 by mid-November, as you say, but the needs are far greater. It is therefore necessary to include in the law the objective of 5000 telephones.
ParlaMint-FR_2021-10-25-O1029.u233	Who can do the least!
ParlaMint-FR_2021-10-25-O1029.u234	I call Mr Bernalicis to support Amendment No. 394.
ParlaMint-FR_2021-10-25-O1029.u235	It deals with the National Financial Prosecutor's Office, which was established in 2013 after the Cahuzac case. At the time this court was established, in the continuity, in particular, of the Sapin 1 law – on the prevention of corruption and the transparency of economic life and public procedures – the Government's impact assessment provided for the assignment of eight cases to each magistrate. This estimate is correct, as the cases concerned are complex, extend over time and have international ramifications. These are not just any files: their processing requires rigour and time, especially since the opposing party has the means to defend itself and point out the contradictions of an investigation that would be badly linked. Today, however, with six hundred cases currently under way, each PNF magistrate deals with an average of thirty-three cases – note that not all eighteen magistrates in this jurisdiction take charge of cases: the Prosecutor of the Financial Republic and the Secretary-General cannot obviously multiply. There is a shortage of fifty judges in the National Financial Prosecutor's Office to reach the target of eight cases per magistrate. That should be the target. I therefore propose to include in the finance bill a budget line corresponding to the recruitment of an additional fifty judges to the national financial prosecutor's office. I will spare you the argument that such a measure would contribute to social justice and would prevent our fellow citizens from considering that some people benefit from specific justice, which takes all its time, while the rest of the country goes through immediate appearance, criminal mediation, appearance on prior recognition of guilt (CRPC) or any other ultra-fast route provided by the Ministry of Justice in the criminal field. The national financial prosecutor's office is a requirement and an imperative – yet I am far from being a lover of specialized prosecutors' offices. Due to a lack of magistrates, he investigates a very small number of cases – the few legal assistants and the specialist assistant who have been granted him in reinforcement will not allow him to speed up the pace. I will defend a similar amendment in the Security Mission, concerning the investigative services – because, in order to conduct an investigation, it takes both magistrates and investigators.
ParlaMint-FR_2021-10-25-O1029.u236	What is the opinion of the committee?
ParlaMint-FR_2021-10-25-O1029.u237	I am in favour of the abolition of the National Financial Prosecutor's Office, as it has been diverted from its primary task: it has become a specialized court not in complex cases, but increasingly in political matters. His excessive zeal has distilled the poison of suspicion about his impartiality: as a reminder, this court changed the course of the presidential election of 2017 and threatened the professional secrecy of lawyers, not to mention the statements of his former director, who claims to have been pressured by his hierarchy. The National Financial Prosecutor's Office has thus become a political response, rather than a judicial one. If he fulfilled his original mission, perhaps we could discuss his strength, as your amendment suggests. But the national financial prosecutor's office failed; The Commission has also given an unfavourable opinion.
ParlaMint-FR_2021-10-25-O1029.u238	What is the Government's opinion?
ParlaMint-FR_2021-10-25-O1029.u239	I am against this amendment. Here are some figures that explain why the Government cannot follow Mr. Bernalicis'position: at its inception in 2014, the National Financial Prosecutor's Office had 5 judges for 211 cases; Today, for 578 cases, there are 18 magistrates, assisted by 7 specialist assistants and 1 legal assistant. You can therefore calculate the proportion between the number of cases and the number of magistrates – as well as, now, specialized assistants and legal assistants – between 2014 and today. [[Mr. Ugo Bernalicis sesclaffe]] As part of the management dialogue, we are working very closely with the national financial prosecutor; His demands are lower than yours, Congressman. He will be happy to know that you are advocating a much larger allocation than he is asking for from the Judicial Services Directorate!
ParlaMint-FR_2021-10-25-O1029.u240	Mr Ugo Bernalicis has the floor.
ParlaMint-FR_2021-10-25-O1029.u241	The head of the national financial prosecutor's office doesn't want to get mad at everyone! He knows perfectly well that if he asks for fifty magistrates, with your policy, he will not get them; He therefore prefers to ask for only a few additional positions – which he does not get any more, since the PNF's staff continue to stagnate. According to you, the situation has improved since 2013, when the PNF had only five magistrates in 211 cases. However, this ratio was at the very beginning of the jurisdiction. As early as the following months, the number of judges reached twelve or thirteen. You will see that I have taken a very close interest in the history of this prosecutor's office! Furthermore, Mr Special Rapporteur, you believe that the PNF has failed, as it deals with political affairs. The latter, however, constitute the extreme minority of cases, although they feed the extreme majority of articles on the PNF. The media appeal to these cases is powerful. Moreover, political affairs can also be complex – an objective reality that we can all agree to. The National Financial Prosecutor's Office therefore acts within its sphere of competence; It is wrong to say otherwise. Its time frame for the investigation of cases – mainly preliminary investigations – is not appropriate. Our fellow citizens conclude that when a politician is called into question, we will wait three, four or five years to hold a hearing – Mr.Fillon's case, a candidate in the 2017 presidential election, is an exception, but it was not complex. Once again, additional resources must be provided to the national financial prosecutor's office; It is a requirement and a necessity. I regret that these means are stagnating: this is the mark of your lack of political will to tackle economic and financial crime.
ParlaMint-FR_2021-10-25-O1029.u242	I call Mr Bernalicis to support Amendment No. 396.
ParlaMint-FR_2021-10-25-O1029.u243	After my verse on the placement outside the majors, I come to the miners. My amendment is aimed at increasing the resources allocated to open-ended measures in the field of juvenile criminal justice. We propose to reallocate the €4.2 million that are intended to build five new closed educational centres – in short, less confinement and fewer EFCs, but more measures in an open environment! France is the country of Europe, with the United Kingdom, which locks its children most, while minors are no more delinquent at home than elsewhere in Europe. It's the way we take care of them that makes us stand out. As with the majors, the measures in the open environment are the ones that give the best results, provided that the means are put in place; they avoid disintegration of the young people concerned. Even for the purpose of confinement or exclusion, a mission which the closed educational centres can partially fulfil, more suitable structures existed before, including the places of living and reception, which closed one after the other. I will not go back to the shortcomings of the current closed educational centres, or to those centres which are so little filled. This money would be better used by educators of the judicial protection of young people in the context of measures in an open environment, which respect the primacy of education over repression, in accordance with the spirit of the 1945 Ordinance, which you trampled on with your code of juvenile criminal justice.
ParlaMint-FR_2021-10-25-O1029.u244	These words are outrageous!
ParlaMint-FR_2021-10-25-O1029.u245	Cartoon!
ParlaMint-FR_2021-10-25-O1029.u246	What is the opinion of the committee?
ParlaMint-FR_2021-10-25-O1029.u247	You invite us to focus on the open environment rather than on closed educational centres; In reality, a balance must be struck between the two. Unfavorable opinion.
ParlaMint-FR_2021-10-25-O1029.u248	What is the Government's opinion?
