ParlaMint-FR_2021-12-10-O1094.u1	The next item is the debate on the draft finance bill for 2022 (No. 4709, 4787).
ParlaMint-FR_2021-12-10-O1094.u125	The rapporteur-general has the floor to support sub-amendment No. 944 to Amendment No. 501.
ParlaMint-FR_2021-12-10-O1094.u126	It is a sub-amendment of precision: for the parallelism of forms, a reference must be made identical to that made in Article 3 for the criterion of eligibility, apart from the overall offer of services.
ParlaMint-FR_2021-12-10-O1094.u127	What is the Government's opinion?
ParlaMint-FR_2021-12-10-O1094.u128	Opinion in favour of the sub-amendment and the amendment.
ParlaMint-FR_2021-12-10-O1094.u129	Mr Raphaël Schellenberger has the floor.
ParlaMint-FR_2021-12-10-O1094.u130	It's really a sub-amendment to say, "You can't write! »
ParlaMint-FR_2021-12-10-O1094.u131	Oh, there!
ParlaMint-FR_2021-12-10-O1094.u132	[[Murmures on the benches of the LaREM and Dem groups]] When we compare what you refer to and what is already in the amendment, it says exactly the same thing. We have alerted you, President Woerth has done a lot of work on the subject, it is useful services in everyday life that allow, let's say, a saving of public spending, because they are often people who live at home for a long time and who, if they could not benefit from these tele-assistance services, would need to be accommodated in much heavier structures, with significant day costs. From time to time, accept that good ideas are not just from your side! I thought it was on this that you were elected, but you must always remind us that you are the only ones who know how to write. It's getting boring.
ParlaMint-FR_2021-12-10-O1094.u133	Bravo!
ParlaMint-FR_2021-12-10-O1094.u134	Mr Michel Zumkeller has the floor.
ParlaMint-FR_2021-12-10-O1094.u135	I think this is a good solution, and the amendment meets our expectations. It is also a confirmation of what had been said in committee. We will vote on it.
ParlaMint-FR_2021-12-10-O1094.u136	The rapporteur-general has the floor.
ParlaMint-FR_2021-12-10-O1094.u137	We are in our role, we are on our way. Amendments had already been tabled at first reading, we had an answer on the substance. This new reading makes it possible to agree on a trans-partisan political position, and we are drafting it. It's very good and you are, Mr. Schellenberger, completely next to the plate!
ParlaMint-FR_2021-12-10-O1094.u138	Not at all!
ParlaMint-FR_2021-12-10-O1094.u139	[[Mr Raphaël Schellenberger exclaimed]] Either you didn't read or you didn't understand. This is called a sub-amendment of drafting precision. I know you don't often attend debates on the PLF, but you'll see, there will be many more. [[Mr. Alexandre Holroyd applauds]] It is also not a question of political paternity, it is only a question of ensuring that the law is applicable. You will look at this quietly when you have time and you will see that it is President Woerth's amendment that is specified and not the other way around.
ParlaMint-FR_2021-12-10-O1094.u140	The Chairman of the Committee on Finance has the floor.
ParlaMint-FR_2021-12-10-O1094.u141	[[Applause on several benches of the LaREM group]] There's no reason to argue. We have done good collective work, which is exactly what we wanted. The objective has been achieved, we can congratulate those who will benefit from it.
ParlaMint-FR_2021-12-10-O1094.u142	All right!
ParlaMint-FR_2021-12-10-O1094.u143	Mrs Claudia Rouaux has the floor to support Amendment No. 385.
ParlaMint-FR_2021-12-10-O1094.u144	This is to change all personal services tax credits to make a difference between the child care tax credit and the secondary home care tax credit.
ParlaMint-FR_2021-12-10-O1094.u145	Mr Charles de Courson's amendment No. 273 is being defended.
ParlaMint-FR_2021-12-10-O1094.u146	The rapporteur-general has the floor to support Amendment No. 666.
ParlaMint-FR_2021-12-10-O1094.u147	It's a transfer in the first part.
ParlaMint-FR_2021-12-10-O1094.u148	Amendments Nos 670 and 671 of the Committee are drafting.
ParlaMint-FR_2021-12-10-O1094.u149	The Minister-in-Office has the floor to support Amendment No. 717.
ParlaMint-FR_2021-12-10-O1094.u150	This is a transfer in the first part, with the corresponding change of date.
ParlaMint-FR_2021-12-10-O1094.u151	Mr Jean-Paul Mattei has the floor to support Amendment No. 830 as corrected.
ParlaMint-FR_2021-12-10-O1094.u152	It takes up the amendment adopted at first reading concerning the tax reorganisations of civil agricultural companies. It aims to make the amendment operational, even if it slightly reduces the base, which will still affect more than 99% of farms.
ParlaMint-FR_2021-12-10-O1094.u153	The Minister-in-Office has the floor to support Amendment No. 707.
ParlaMint-FR_2021-12-10-O1094.u154	It's a pawnshop.
ParlaMint-FR_2021-12-10-O1094.u155	The committee's amendment No 872 is to be harmonised.
ParlaMint-FR_2021-12-10-O1094.u156	Mrs Claudia Rouaux has the floor to support Amendment No. 435.
ParlaMint-FR_2021-12-10-O1094.u157	This amendment aims to advance the much-needed increase in support for organic farming in line with the Green Deal target of 25% of agricultural land use (AAU) in organic farming by 2030. The development of this agriculture needs to be speeded up. Every year counts for the development of organic farming. Progress in implementing this measure would be a strong signal for agroecology and the 19700 farmers affected by this tax credit.
ParlaMint-FR_2021-12-10-O1094.u158	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u159	Unfavorable. Moving forward with the coming into force date would create an undesirable bounty effect and we therefore maintain 2023.
ParlaMint-FR_2021-12-10-O1094.u160	Amendment No 514 by Mr Michel Zumkeller is being defended.
ParlaMint-FR_2021-12-10-O1094.u161	Mr Raphaël Schellenberger, in support of Amendment No. 44.
ParlaMint-FR_2021-12-10-O1094.u162	This amendment, tabled on the initiative of my colleague Véronique Louwagie, is important because it aims to take account of the consequences of the health crisis in terms of corporate divestitures. Article 5 temporarily relaxes the divestiture period allowing for a total exemption from the surplus value of an individual business or shares of a partnership covered by the IR by increasing the period between retirement and the divestiture from twenty-four to thirty-six months. This measure is intended to apply to contractors who claimed their pension rights between January 1, 2019 and December 31, 2021. In view of the challenge of corporate transfers and their complexity – they are not, unfortunately or fortunately, limited to the period of the health crisis alone, particularly for individual companies – the amendment proposes to extend the period for granting exemption from divestiture to 36 months for any manager claiming retirement rights beyond 31 December 2021.
ParlaMint-FR_2021-12-10-O1094.u163	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u164	This amendment would distort the purpose of the provision in question, which is to encourage the creation of pension capital. While it may be possible to consider increasing the time limit for exemption from surplus value of transfer, this is not the meaning of Article 5. Unfavorable opinion.
ParlaMint-FR_2021-12-10-O1094.u165	Mr Jean-Paul Mattei has the floor to support Amendment No. 827.
ParlaMint-FR_2021-12-10-O1094.u166	This amendment, which I have already defended at first reading, concerns Article 238d of the General Tax Code. Article 5 marks a real step forward, since it allows an exemption from taxation of capital gains in the event of the transmission of an individual undertaking with a value of less than EUR 500000, but its wording is less satisfactory than that of the original text, which excluded stocks from the calculation of the exemption ceiling by referring to the transfer rights applicable in the case of the transfer of commercial funds, i.e. Articles 719, 720 and 724 of the General Tax Code. It therefore seems to me that Article 5 creates legal uncertainty. What will be the value of the company taken into account when it is sold? It is desirable that stocks and circulating assets should be formally excluded from the calculation of the exemption ceiling. This clarification would allow account to be taken of the true value of the enterprise, apart from liquid elements of the assets circulating. I would add that there will be a need for a tax clarification in the bill for independent professional activity on the transformation of a limited-liability individual company into a company. It would be useful for Article 238d of the General Tax Code to also apply in this context.
ParlaMint-FR_2021-12-10-O1094.u167	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u168	You are right to draw our attention to the fact that stocks are involved in the valuation of the company, Mr Mattei, but in fact, do they have an impact on surplus value?
ParlaMint-FR_2021-12-10-O1094.u169	No!
ParlaMint-FR_2021-12-10-O1094.u170	In theory, no, since they are recorded in taxable income year after year.
ParlaMint-FR_2021-12-10-O1094.u171	The question is the threshold!
ParlaMint-FR_2021-12-10-O1094.u172	The new wording of Article 238d of the General Tax Code should therefore not be problematic. Perhaps, on the other hand, the doctrine should be clarified. In any event, I invite you to withdraw your amendment. Otherwise, my opinion will be unfavorable.
ParlaMint-FR_2021-12-10-O1094.u173	What is the Government's opinion?
ParlaMint-FR_2021-12-10-O1094.u174	My opinion is unchanged from the first reading and remains unfavourable. As my advisers have had the opportunity to tell Mr Mattei, however, we will ensure that the doctrine, notably through the Official Bulletin of Public Finance (BOFIP), guarantees, in practice, the proper application of the article.
ParlaMint-FR_2021-12-10-O1094.u175	Amendment No 283 by Mrs Marie-Christine Dalloz is being defended.
ParlaMint-FR_2021-12-10-O1094.u176	I have before me a number of amendments, Nos 45, 279 and 278, which can be discussed jointly. Amendments Nos 45 and 279 are identical. I call Mr Schellenberger to support Amendments Nos 45 and 279.
ParlaMint-FR_2021-12-10-O1094.u177	Amendments Nos 45 and 279 by my colleagues Véronique Louwagie and Marie-Christine Dalloz aim to extend the capital gains allowance scheme provided for in Article 5 by an additional three years in order to give company managers greater visibility. The divestiture of a company requires considerable preparation and implementation time. In line with the previous extension, it is proposed to extend the scheme for five years, not two, as provided for in Article 5.
ParlaMint-FR_2021-12-10-O1094.u178	Amendment No 278 by Mrs Marie-Christine Dalloz is being defended. What is the committee's opinion on these amendments under joint discussion?
ParlaMint-FR_2021-12-10-O1094.u179	Article 5 extends the device until 2024, which I think is sufficient. Unfavorable opinion.
ParlaMint-FR_2021-12-10-O1094.u180	What is the Government's opinion?
ParlaMint-FR_2021-12-10-O1094.u181	Same opinion.
ParlaMint-FR_2021-12-10-O1094.u182	Amendment No 679 by the rapporteur-general is drafting.
ParlaMint-FR_2021-12-10-O1094.u183	Amendment No 360 by the rapporteur-general is drafting.
ParlaMint-FR_2021-12-10-O1094.u184	The rapporteur-general has the floor to support Amendment No. 873, which seeks to delete Rule 5b.
ParlaMint-FR_2021-12-10-O1094.u185	It deletes section 5 ter in order to transfer it to the second part of the finance bill.
ParlaMint-FR_2021-12-10-O1094.u186	The rapporteur-general has the floor to support Amendment No. 874.
ParlaMint-FR_2021-12-10-O1094.u187	We have guaranteed, in all cases, the fiscal neutrality of the operations for the cantonment of illiquid assets of a collective investment undertaking (OPC). This amendment is intended to remedy a lack of coordination of texts.
ParlaMint-FR_2021-12-10-O1094.u188	The rapporteur-general has the floor to support Amendment No. 875, which is intended to delete Article 5d.
ParlaMint-FR_2021-12-10-O1094.u189	This amendment removes section 5d in order to transfer it to the second part of the finance bill for.
ParlaMint-FR_2021-12-10-O1094.u190	I have two identical amendments before me, Nos 49 and 280. Amendment No 49 by Mrs Véronique Louwagie is being defended. I call Mr Schellenberger to support Amendment No. 280.
ParlaMint-FR_2021-12-10-O1094.u191	Section 6 provides, on a temporary basis, for the possibility of admitting the accounting depreciation of commercial funds as a tax deduction. This option would be available for funds acquired between 1 January 2022 and 31 December 2023. The amendment proposes to extend this possibility to the accounting depreciation of liberal funds.
ParlaMint-FR_2021-12-10-O1094.u192	What is the opinion of the committee on these identical amendments?
ParlaMint-FR_2021-12-10-O1094.u193	Liberal funds are not defined in law, but only in a jurisprudential manner. The review of the self-employment bill will give us the opportunity to address this issue, which is not a tax law. Unfavorable opinion.
ParlaMint-FR_2021-12-10-O1094.u194	What is the Government's opinion?
ParlaMint-FR_2021-12-10-O1094.u195	Same opinion.
ParlaMint-FR_2021-12-10-O1094.u196	Mr Raphaël Schellenberger has the floor.
ParlaMint-FR_2021-12-10-O1094.u197	You can give me PLF classes, but I don't need a law class! The definition of liberal funds exists from a jurisprudential point of view and can be fully used in law. Your argument is legally incorrect, rapporteur-general.
ParlaMint-FR_2021-12-10-O1094.u198	Mrs Sylvia Pinel has the floor to support Amendment No. 281.
ParlaMint-FR_2021-12-10-O1094.u199	In its plan for self-employed persons, the Government authorizes, on an exceptional basis, the tax deduction from the accounting depreciation of commercial funds. The aim of the amendment is to ensure that this measure is sustained.
ParlaMint-FR_2021-12-10-O1094.u200	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u201	At first reading, we have already extended the measure for two years, until 2025. I propose that we stay there.
ParlaMint-FR_2021-12-10-O1094.u202	The Minister-in-Office has the floor to support Amendment No. 584 by the Government.
ParlaMint-FR_2021-12-10-O1094.u203	It is intended to extend the deadline for the submission of the report to Parliament to a date that will allow the tax administration to measure the first effects of the provisions of section 6.
ParlaMint-FR_2021-12-10-O1094.u204	Amendment No 676 corrected by the rapporteur-general is drafting.
ParlaMint-FR_2021-12-10-O1094.u205	The Minister-in-Office has the floor to support Amendment No. 860 by the Government.
ParlaMint-FR_2021-12-10-O1094.u206	It aims to restore the initial drafting of the extension of the scope of the fuel system for ships and vessels carrying goods or passengers. We propose to return to the first version of the text, before it is amended at first reading by the National Assembly.
ParlaMint-FR_2021-12-10-O1094.u207	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u208	At first reading, against the Government's opinion, the National Assembly adopted the amendments of Christine Pires Beaune, Jean-Marc Zulesi and Said Ahamada to Article 8. These amendments dealt with an issue which we have been discussing at length since then in committee and which needs to be examined in a comprehensive manner. Because we have increased the rate of over-amortization for auxiliary vellic propulsion and because the measures adopted at first reading raise operational difficulties, I am in favour of the Government's amendment and the reinstatement of the original text.
ParlaMint-FR_2021-12-10-O1094.u209	I have before me a number of amendments, Nos 946, 876, 282, 366, 375 and 829, which can be discussed jointly. Amendments Nos 876, 282, 366, 375 and 829 are identical. The Minister-in-Office has the floor to support Amendment No. 946 by the Government.
ParlaMint-FR_2021-12-10-O1094.u210	I leave it to the authors of the identical amendments to this joint debate to present them. The Government has tabled Amendment No. 946 on a simple procedural issue, so that they can file their own.
ParlaMint-FR_2021-12-10-O1094.u211	I would point out that the Government's amendment is not identical to the other amendments... The rapporteur-general has the floor to support Amendment No 876 by the Committee on Finance.
ParlaMint-FR_2021-12-10-O1094.u212	I suggest Mrs. Sage defend him.
ParlaMint-FR_2021-12-10-O1094.u213	I call Mr Michel Castellani to support Amendment No. 282.
ParlaMint-FR_2021-12-10-O1094.u214	It proposes to grant auxiliary vellic propulsion an over-amortization rate of 105 %, similar to that provided for the use of liquefied natural gas (LNG). The committee discussed this issue at length and adopted the amendment.
ParlaMint-FR_2021-12-10-O1094.u215	Mrs Maina Sage has the floor to support Amendment No. 366.
ParlaMint-FR_2021-12-10-O1094.u216	It aims to promote auxiliary velic propulsion. At first reading, we adopted a green depreciation in favour of decarbonised equipment. This amendment increases the aid originally planned. I thank the Government for listening, but also the rapporteur-general and all our colleagues who participated in the committee's work on this subject, including Jimmy Pahun, Sophie Panonacle and Michel Castellani. The Government's amendment No. 946 is not the same as our amendments, but we are in favour of it because it goes even further. Through its adoption, we can speed up the greening of our fleet and we thank you, Minister Delegate.
ParlaMint-FR_2021-12-10-O1094.u217	Mr Stéphane Claireaux has the floor to support Amendment No. 375.
ParlaMint-FR_2021-12-10-O1094.u218	Like Maina Sage and Jimmy Pahun, my colleague Sophie Panonacle and I want the equipment of ships using auxiliary vellum propulsion to receive a 105% depreciation rate, compared to only 20% today. There is an urgent need to encourage the reduction of the energy needs of ships to decarbonize our modes of transport. The application of a consistent and incentive over-amortization rate will make the system applicable and give visibility to the industry, motorists and equipment manufacturers.
ParlaMint-FR_2021-12-10-O1094.u219	Amendment No 829 by Mr Jimmy Pahun is being defended. What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u220	Positive opinion on the Government's amendment, the adoption of which will bring down the following identical amendments.
ParlaMint-FR_2021-12-10-O1094.u221	What is the Government's opinion on the identical amendments?
ParlaMint-FR_2021-12-10-O1094.u222	Allow me a little correction, Madam President. As Mrs Sage has pointed out, the Government's amendment No. 946 is not identical to the following amendments. It goes a little further and provides for coordination measures to make the scheme fully operational. I therefore call on the House to support it: it will bring down others, but it will satisfy them.
ParlaMint-FR_2021-12-10-O1094.u223	Amendment No 403 by the rapporteur-general is drafting.
ParlaMint-FR_2021-12-10-O1094.u224	Mrs Maina Sage has the floor to support Amendment No. 855.
ParlaMint-FR_2021-12-10-O1094.u225	This is an amendment calling for French and European equipment manufacturers and shipyards. I propose that all green depreciation rates for shipbuilding and decarbonized propulsion equipment be increased by five percentage points when contracts for the acquisition of such equipment or for the construction of ships are concluded for the benefit of equipment manufacturers or yards considered to be economic operators of Member States of the European Union. This amendment covers the entire European market.
ParlaMint-FR_2021-12-10-O1094.u226	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u227	The depreciation rates provided for in Article 8 are already significant and we have just noted that of auxiliary vellic propulsion. I would also point out that we are subject to European state aid rules. Your amendment would put us at risk of litigation with the Commission. Unfavorable opinion.
ParlaMint-FR_2021-12-10-O1094.u228	What is the Government's opinion?
ParlaMint-FR_2021-12-10-O1094.u229	Disadvantaged for the same reasons, unless the amendment is withdrawn. The Government agrees with the rapporteur-general's arguments and I believe that we have taken a step forward in adopting the previous amendments. A further increase in State aid could pose difficulties.
ParlaMint-FR_2021-12-10-O1094.u230	Mrs Maina Sage has the floor.
ParlaMint-FR_2021-12-10-O1094.u231	If you take the time to read what I am proposing, you will realize that it is a matter of advantage to the European market, not the only French market. This is an opportunity for me to ask you a question: is it possible, through state aid, to give priority to the European market, while the French Presidency of the European Union will begin? You know as I do that today shipowners can use this damping device and benefit from it elsewhere than in Europe – they can buy or have boats built outside of European shipyards. I do not think this is in contradiction with Community rules, but I would like to know whether it is possible to favour the European market over the international market.
ParlaMint-FR_2021-12-10-O1094.u232	The Minister-in-Office has the floor to support Amendment No. 708.
ParlaMint-FR_2021-12-10-O1094.u233	It aims to raise the pledge.
ParlaMint-FR_2021-12-10-O1094.u234	The Minister-in-Office has the floor to support Amendment No. 720 as corrected.
ParlaMint-FR_2021-12-10-O1094.u235	It aims to strengthen the current state of the law relating to parking conditions in a Corsican port, but also to ensure the sustainability of the resources allocated to the budgets of the eco-organisation responsible for the management of waste from recreational vessels. Lastly, he said that the register of francized ships would be maintained by the administration designated by the Ministry of the Sea.
ParlaMint-FR_2021-12-10-O1094.u236	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u237	Favourable.
ParlaMint-FR_2021-12-10-O1094.u238	Mr Jean-Félix Acquaviva has the floor.
ParlaMint-FR_2021-12-10-O1094.u239	What about the freedom of the Corsican community to set rates in this context? The amendment is not legible in this respect. Does that mean that this freedom, as provided for in the current statutes, will be put to an end?
ParlaMint-FR_2021-12-10-O1094.u240	The Minister-in-Office has the floor.
ParlaMint-FR_2021-12-10-O1094.u241	The adoption of the amendment will have no consequences in this respect: the current arrangements for setting the rates will remain unchanged.
ParlaMint-FR_2021-12-10-O1094.u242	Amendment No 404 by the rapporteur-general is drafting.
ParlaMint-FR_2021-12-10-O1094.u243	I call Mrs Sabine Rubin to support Amendment No. 438, which deletes Rule 8b.
ParlaMint-FR_2021-12-10-O1094.u244	It is intended to remove the reduction of the domestic tax rate on final electricity consumption for aircraft that would supply electricity on the ground. It seems to us that the least-so-called systematic tax is not a good public policy, especially with regard to ecology.
ParlaMint-FR_2021-12-10-O1094.u245	The Government's amendment No. 577 is drafting. It is the subject of a sub-amendment. The rapporteur-general's sub-amendment No 900 is drafting.
ParlaMint-FR_2021-12-10-O1094.u246	The Government's amendment No. 576 is drafting.
ParlaMint-FR_2021-12-10-O1094.u247	I have before me two amendments, Nos 916 and 877, which can be discussed jointly. The Minister-in-Office has the floor to support Amendment No. 916.
ParlaMint-FR_2021-12-10-O1094.u248	It allows account to be taken of the specific nature of the transactions which led to the taxation of capital gains in relation to the VAT system. We therefore propose to decorate the two schemes and to rewrite the articles concerning the system of tax representation for capital gains and real estate.
ParlaMint-FR_2021-12-10-O1094.u249	The rapporteur-general has the floor to support Amendment No. 877.
ParlaMint-FR_2021-12-10-O1094.u250	I am in favour of the Government's amendment. Its wording is a little different from ours, but it suits us quite well. We therefore withdraw the amendment adopted in committee on my initiative.
ParlaMint-FR_2021-12-10-O1094.u251	Amendments Nos 407, 406 and 405 by the rapporteur-general are drafting.
ParlaMint-FR_2021-12-10-O1094.u252	I have before me four identical amendments, Nos 71, 165, 285 and 516. I call Mr Schellenberger to support Amendment No. 71.
ParlaMint-FR_2021-12-10-O1094.u253	It has no budgetary impact; We can therefore discuss the substance of it. It plans to take a little more account of the cash flow difficulties experienced by a number of TPEs and SMEs as a result of the date on which VAT is payable. Many support measures have already been taken in this area in the past: for example, the deadline for payment of the invoice has been set at the thirtieth day to help companies manage their cash flow. However, there remains a difficulty arising from a judgment of the Administrative Court of Appeal of Nantes in May 2021: this judgment made VAT payable as soon as the first deposit was paid, whereas in reality, for most companies, the receipt is made on or after the date of the invoice. The amendment therefore proposes to mobilise European law, which has not been formally transcribed in French law on this point, in order to allow VAT to be payable when the invoice is issued or at the latest on the date of the operative event, in accordance with the provisions of Community law.
ParlaMint-FR_2021-12-10-O1094.u254	Amendment No 165 by Mrs Lise Magnier is being defended. I call Mr Michel Castellani to support Amendment No. 285.
ParlaMint-FR_2021-12-10-O1094.u255	It is identical to the one just defended. Mr de Courson was the first signatory and proposed amending the existing regime so that VAT would be payable at the time of the issuance of the invoices.
ParlaMint-FR_2021-12-10-O1094.u256	Mr Michel Zumkeller has the floor to support Amendment No. 516.
ParlaMint-FR_2021-12-10-O1094.u257	Mine is the same, too, but I would like to extend what Mr Schellenberger has said. In the rule of law, cash flow difficulties could arise, especially as we are at a time when the supply of raw materials is complicated – the delays between the payment of the deposit and the realization of the order may increase further. It may be appropriate, at least in these difficult times, to take this into account and avoid penalizing the cash flow of certain sectors of activity that are particularly affected.
ParlaMint-FR_2021-12-10-O1094.u258	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u259	It is true that the problem raised by the amendments is not budgetary: it is legal. Their adoption would pose a real problem of compliance with Community law, and in particular with Directive 2006/112/EC on the common system of value added tax, known as the VAT Directive. However, you point to a subject that is extremely important for our SMEs, especially in the aftermath of the crisis: the issue of cash flow. But it seems that the fragility created can be offset, in the context of this article, by the fact that the companies we are talking about will be able to deduct VAT from the payments made to suppliers. So I think the impact on their cash flow can be neutralized. In addition, in the event of difficulties related to the application of the measures in the article, there are financing tools to cover the BFR – working capital requirement. It is therefore impossible to adopt your amendments for reasons related to compliance with Community law. I am also not convinced that the cash flow effects are so important that what you are saying, in particular through the possibility of deducting VAT from advance payments.
ParlaMint-FR_2021-12-10-O1094.u260	What is the Government's opinion?
ParlaMint-FR_2021-12-10-O1094.u261	Same opinion.
ParlaMint-FR_2021-12-10-O1094.u262	Mr Raphaël Schellenberger has the floor.
ParlaMint-FR_2021-12-10-O1094.u263	Your reasoning is certainly correct, Mr rapporteur-general, but it is probably not exhaustive. Yes, when you charge VAT, you have the right to deduct the amount to be paid. But in some situations, such an approach can be complicated. Indeed, the fact that a court decision had been made on the matter showed that in fact the problem had arisen. The amendment is not aimed at extracting itself from Community law: it proposes to transcribe provisions from it that had not been so far. It is in full conformity with our Community law and has been defended from various benches in the Chamber.
ParlaMint-FR_2021-12-10-O1094.u264	Amendments Nos 408, 409 and 410 by the rapporteur-general are drafting.
ParlaMint-FR_2021-12-10-O1094.u265	I have two identical amendments before me, Nos 878 and 590. The rapporteur-general has the floor to support Amendment No. 878.
ParlaMint-FR_2021-12-10-O1094.u266	It aims to extend the application of a reduced VAT rate of 5.5% for equipment for protection against covid-19 for one year.
ParlaMint-FR_2021-12-10-O1094.u267	Amendment No 590 by Mrs Sylvia Pinel is being defended.
ParlaMint-FR_2021-12-10-O1094.u268	Amendment No 411 by the rapporteur-general is drafting.
ParlaMint-FR_2021-12-10-O1094.u269	I have before me two identical amendments, Nos 879 and 286. The rapporteur-general has the floor to support Amendment No 879.
ParlaMint-FR_2021-12-10-O1094.u270	I'm gonna let Mrs. Pinel introduce hers.
ParlaMint-FR_2021-12-10-O1094.u271	Mrs Sylvia Pinel has the floor to support Amendment No. 286.
ParlaMint-FR_2021-12-10-O1094.u272	We have already discussed this at first reading. It aims to improve the VAT system relating to the acquisition and improvement of social rental housing. It is a continuation of the amendment voted on at first reading by making the scheme more operational; Thus, it would also apply where the improvement work to be carried out on an old building, with a view to its conversion into social housing, is carried out not by the acquiring body, but by the seller. I had the opportunity to discuss this with the rapporteur-general and stressed that, despite the adoption at first reading of the amendment referred to above, there were still situations that were not covered, which posed a number of difficulties; Social donors, including the USH – Social Union for Housing – told us.
ParlaMint-FR_2021-12-10-O1094.u273	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u274	Mrs Pinel has very well summarized the debate we have had in committee on this subject. I still have some doubts about the measurement encryption, but we'll see how it works. I therefore give a favourable opinion; We will have the opportunity to discuss this again when we consider Amendment No 828 by François Pupponi, which comes right after.
ParlaMint-FR_2021-12-10-O1094.u275	What is the Government's opinion?
ParlaMint-FR_2021-12-10-O1094.u276	Wisdom.
ParlaMint-FR_2021-12-10-O1094.u277	I call Mr Pupponi to support Amendment No. 828.
ParlaMint-FR_2021-12-10-O1094.u278	It goes in the same direction as those just adopted. It aims to clarify the types of work that would be eligible for 5,5 % VAT, and in particular to cover the case where a building would be returned almost to the new state. I hear the position of the rapporteur-general; The measure will have to be quantified, but it is clear that it is a matter of improving the renovation of housing and building social housing by carrying out acquisition-improvement operations.
ParlaMint-FR_2021-12-10-O1094.u279	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u280	I am convinced by what François Pupponi said: in the interests of consistency, favourable opinion.
ParlaMint-FR_2021-12-10-O1094.u281	What is the Government's opinion?
ParlaMint-FR_2021-12-10-O1094.u282	Wisdom.
ParlaMint-FR_2021-12-10-O1094.u283	Amendment No 412 by the rapporteur-general is drafting.
ParlaMint-FR_2021-12-10-O1094.u284	The Minister-in-Office has the floor to support Amendment No. 899.
ParlaMint-FR_2021-12-10-O1094.u285	It aims to include the measure to relax the social mix clause applicable to reduced VAT rates in the first part of the PLF.
ParlaMint-FR_2021-12-10-O1094.u286	Amendment No 51 by Mrs Véronique Louwagie is being defended.
ParlaMint-FR_2021-12-10-O1094.u287	Amendment No 823 by the rapporteur-general is drafting.
ParlaMint-FR_2021-12-10-O1094.u288	Amendment No 444 by Mrs Véronique Louwagie is being defended.
ParlaMint-FR_2021-12-10-O1094.u289	Amendment No 819 by the rapporteur-general is a co-ordination amendment.
ParlaMint-FR_2021-12-10-O1094.u290	Amendment No 685 by the rapporteur-general is drafting.
ParlaMint-FR_2021-12-10-O1094.u291	The rapporteur-general has the floor to support Amendment No. 880.
ParlaMint-FR_2021-12-10-O1094.u292	This is an amendment by Mrs Petel, which we adopted in the Committee on Finance, and which proposes that at the time of the transfer of securities, the tax advantage granted "at entry" be removed from 2022 in order to calculate the taxable surplus value of solidary land. This mechanism, which was based on the IR-SME – income tax reduction for small and medium-sized enterprises – would therefore no longer be applied to solidary land.
ParlaMint-FR_2021-12-10-O1094.u293	I have before me three amendments, Nos 289, 389 and 265, which may be submitted to a joint debate. Amendments Nos 289 by Mrs Marie-Christine Dalloz and 389 by Mr Joël Aviragnet, identical, are defended. The Minister-in-Office has the floor to support Amendment No. 265.
ParlaMint-FR_2021-12-10-O1094.u294	This is a simple transfer from the DGF to the Natura 2000 biodiversity allocation.
ParlaMint-FR_2021-12-10-O1094.u295	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u296	Opinion against Amendments Nos 289 and 389 and in favour of Amendment No 265.
ParlaMint-FR_2021-12-10-O1094.u297	I have two identical amendments before me, Nos 54 and 390. Mr Raphaël Schellenberger, in support of Amendment No. 54.
ParlaMint-FR_2021-12-10-O1094.u298	It is intended to modify the regional adjustment variables. The DCRTP – compensation for the reform of the business tax – and the DTCE – allocation for the transfer of exemption compensation – were created by the 2010 reform of the business tax; Since then, they have continued to decline, although they have been designed as frozen. A total of EUR 182 million and EUR 83 million were allocated from these allocations to finance measures which do not concern the regions. In 2022, it is still planned to decrease their amount. The new thing is that the regions are the only ones to see their allocations decline, i.e. they are the only territorial authorities to contribute to the national budget. In 2021, the Court of Auditors, in its report on local public finances, stated: "Overall, the operating section of the regions thus appears to be the most affected by the health crisis, whereas this category of communities was not the subject of specific support measures in 2020, unlike municipalities, groupings and departments. » The regions, without receiving aid, have directly contributed to the management of the crisis; They will also be at the heart of the recovery, since it is through them that structural investment projects pass through. It is therefore completely absurd to draw up an additional EUR 50 million this year.
ParlaMint-FR_2021-12-10-O1094.u299	Mrs Claudia Rouaux has the floor to support Amendment No. 390.
