ParlaMint-FR_2021-10-11-O1008.u1	The next item is the debate on the draft finance bill for 2022 (No. 4482, 4524).
ParlaMint-FR_2021-10-11-O1008.u199	Mrs Véronique Louwagie has the floor.
ParlaMint-FR_2021-10-11-O1008.u200	[[Mr. Jean-René Cazeneuve sesclaffe]] This budget 2022 closes a disastrous quinquennium for France's finances I measure the strength of the term "disaster" that I use. It is simple that today we have the highest rates of public expenditure and compulsory levies in the European Union!
ParlaMint-FR_2021-10-11-O1008.u201	Yes!
ParlaMint-FR_2021-10-11-O1008.u202	We have the worst trade deficit in the European Union! Finally, as far as the level of debt is concerned, we are among the worst elements of the European Union, ranking twenty-first out of twenty-seven painfully.
ParlaMint-FR_2021-10-11-O1008.u203	Mr. Cazeneuve leaves when he doesn't like it!
ParlaMint-FR_2021-10-11-O1008.u204	Despite this very poor record, your government and your majority, Minister Delegate, are often quick to give lessons! We've been there right now.
ParlaMint-FR_2021-10-11-O1008.u205	Yes, they're the best!
ParlaMint-FR_2021-10-11-O1008.u206	But the truth is that under Emmanuel Macron's quinquennium, France has not won a ranking in the European rankings with regard to the level of public spending,...
ParlaMint-FR_2021-10-11-O1008.u207	Right!
ParlaMint-FR_2021-10-11-O1008.u208	[[Ms. Cendra Motin exclaimed]] ...the debt ratio, the trade balance or the compulsory levy rate. Not a row won in five years! Worse: the gap between the best managed countries in Europe and France has been widening. Five years ago, you stood up for your serious budget and announced an unprecedented effort to control public accounts. Five years later, on the contrary, we see an unprecedented drift in these same accounts. Current expenditure will have increased by 144 billion euros over the quinquennium and the burden of public expenditure will never have been as high as it is now. It accounts for 56.4% of national wealth, a rate eight points higher than that of Germany and six points higher than the euro area average. The situation of our debt is even more worrying. Ten years ago, the French debt was almost comparable to that of Germany. Today, the gap is dizzying: our debt is forty points higher than that of Germany, rising to more than 116 % of our GDP, and it will soon exceed 3000 billion, or almost 45000 euros of debt per French. At this rate, our level of debt will soon exceed that of Spain. And your balance sheet is even disastrous when we consider our trade deficit of 95 billion, especially since Germany has a surplus of 188 billion at the same time. Contrary to everything you take over from us, you have absolutely not restored the competitiveness of our companies! Even Italy is no longer in a trade deficit.
ParlaMint-FR_2021-10-11-O1008.u209	The election campaign hasn't started yet!
ParlaMint-FR_2021-10-11-O1008.u210	Finally, do not use the crisis as an alibi to mask your own renunciations. The real problem is not the economic management of the crisis itself: we shared your opinion on the imperative nature of the "whatever it costs"...
ParlaMint-FR_2021-10-11-O1008.u211	All right?
ParlaMint-FR_2021-10-11-O1008.u212	... and we voted on each of the emergency PLFRs, as our colleague Gilles Carrez reminded us. Where you failed, it was about the total lack of control over public accounts during the three years of growth that preceded the emergence of the covid: at the time of the crisis, our finances were already much worse than those of our neighbours! The fault, in the end, of your inability to reform the country and a staggering lack of political courage. While in 2019 twenty-three of the twenty-eight countries in the European Union fell behind, France was among the five countries that continued to increase their debt. Let us come to this last budget, that of all excesses, in a flight forward without limits to ever more public spending! In 2017, the candidate Emmanuel Macron, during his presidential campaign, sang for the sound management of public finances. His program was explicit: "There is no policy worth without budgetary responsibility," he said. "That's why we need to reduce our deficits. » Four years later, we wonder where the candidate for serious and fiscal responsibility has gone, because it is the same Emmanuel Macron who now wateres the country with public money and finances his electoral gifts with the checkbook of France! Billions flow with a disconcerting ease but, alas, none of these spending is at this stage financed by anything other than debt. What madness and irresponsibility towards future generations to whom you are going to leave a dizzying bill! This profusion of spending is actually intended to mask the glaring absence of reforms. Ministers, you are not reforming, you are spending! You're not budget ministers, you're spending ministers. Of course, your biggest failure will be to give up pension reform, which is essential! Since the beginning of September, almost every day is the occasion for a new gift and therefore a new expense. These expenses are often justified, but, put to an end, they seriously threaten our future room for manoeuvre! Finally, contrary to the Government's promise, it is often a matter of sustainable spending that is almost irreversible for future governments. The next President of the Republic will therefore be bound feet and fists, forced to honour expenses which he has not approved and obliged to repay a debt which he inherited from his predecessor. The budget you are presenting to us is also truncated, incomplete. It does not take into account the major investment plan announced by the President of the Republic or the commitment income for young people. Several billions of euros of expenditure will therefore have to be added at the last minute by way of amendment, which could further degrade the accuracy of the budget data contained in the draft finance law. It is a new proof, moreover, of your assumed contempt for parliamentary work. Even the High Council for Public Finance, which is used to being very cautious, denounces deadlocks in the presentation of accounts and regrets that the level of expenditure is "probably underestimated". Exceptionally in five years, he believes that he cannot give an informed opinion and calls for "the utmost vigilance" with regard to the situation of our public finances. In reality, you reproduce the same wanderings as in the last socialist budget of 2017, which you criticized very harshly at the time. The crisis has become an alibi to increase opportunistic spending that has nothing to do with it. In three years, ordinary spending has increased by almost EUR 100 billion: EUR 19 billion in 2020, EUR 48 billion in 2021 and EUR 32 billion in 2022. Today, 90 per cent of the government's annual debt is spent on operating expenses. The question of the sustainability of our debt arises more than ever. By letting it derail completely, France is exposed to a dangerous rise in key interest rates – a sword of Damocles. If, on the other hand, we are gratifying the varnish of government communication, we find very quickly that the tax cuts announced must be relativized strongly. Some taxes have actually fallen, but how are these reductions financed? On credit, only with debt blows! Money does not grow in trees. The return of staff will be inevitable: it will take additional taxes to pay the debt. For the rest, taxes remain considerably higher in France than elsewhere. In 2022, French companies will pay 140 billion more taxes, taxes and contributions than their neighbours in the euro area.
ParlaMint-FR_2021-10-11-O1008.u213	In rough!
ParlaMint-FR_2021-10-11-O1008.u214	In addition, the annual collection of income tax on French citizens brought an additional 9 billion to the state in 2022 compared to 2017. Evidence that the source levy served the interests of the Government to the detriment of the French portfolio. Above all, the extension of the CRDS to at least 2033 represents a sharp increase in taxes that the Government seeks to conceal. As you have understood, ladies and gentlemen, this budget is full of holes, not only in expenditure, as I have just indicated, but also in revenue. It's not just insinuating, it's out of step with the concerns of our fellow citizens. Their number one concern this fall is the surge in gas, electricity and gasoline prices, which considerably undermines their purchasing power. In response, the Government had introduced the energy cheque and the tariff shield, but those measures were purely ineffective and perfectly demagogic. They illustrate the politics of the small week of the executive, which, instead of solving problems, only pushes back their resolution by putting the dust under the carpet until the next elections. Price increases are likely to fall in the spring due to a catch-up effect. That is why we will propose, through several amendments, to reduce the energy bill in January 2022 and in a sustainable manner, by abolishing the application of VAT on taxes, i.e. a tax on taxes, and by reducing taxes on electricity and gas whenever prices go up. [[Applause on the benches of the LR group]] For all these reasons, as you will have understood, Members of the Republicans Group will at all events oppose this budget of flight forwards towards ever more debt. It is an irresponsible, lazy, incomplete and, above all, very alarming budget that we will be fighting unambiguously.
ParlaMint-FR_2021-10-11-O1008.u215	Bravo!
ParlaMint-FR_2021-10-11-O1008.u216	Mr Jean-Noël Barrot has the floor.
ParlaMint-FR_2021-10-11-O1008.u217	The review of the 2022 finance bill is an opportunity to look back at the actions of the President of the Republic, the Government and the majority over the past five years and to note that we have put an end to a decade of fiscal hesitation and impotence that has led to the crossing of the divide between the right and the left, as the French are tired of seeing them in turn abandoning their promises and abandoning their commitments. The last budgets of the previous quinquennats illustrate perfectly this practice of fiscal volte-face and tax looping on the part of Presidents of the Republic almost candidates and desperately trying to catch up in the polls. This is how Nicolas Sarkozy, after having lowered the rate of compulsory levies during the first part of his quinquennium, made it increase during the second: introduction of the tax shield in 2007, repeal in 2012; Deductibility of interest on real estate loans in 2007, abolition in 2010; relaxation of donation rights in 2007, tightening three years later. In the face of such renunciations, some will say that it is necessary to adapt to the economic situation and that only the results count, but the figures do not lie: on the day Nicolas Sarkozy left the Elysée, unemployment was 10% and the debt had increased by 20 points of GDP. After replacing him at the Élysée, Françoise Hollande launched a festival of tax increases that ended to stifle the recovery and caused a feeling of fiscal ras-le-bol so strong that the President of the Republic changed radically as the presidential election approached: creation of an additional tranche of income tax in 2013, abolition of the first tranche in 2015 and reduction of 20% in 2017;...
ParlaMint-FR_2021-10-11-O1008.u218	We're doing the story again!
ParlaMint-FR_2021-10-11-O1008.u219	...taxation of overtime in 2013, creation of the Competitiveness and Employment Tax Credit (CICE) as a follow-up; increase in corporate tax in 2013, then decrease in 2017. Of these roller coasters the French will remember above all the high heart that they caused at home upon arrival, with an ever greater debt and an almost unchanged unemployment rate. By different paths, these two quinquennats led to the same idea being installed in the minds: in tax matters, France would be a drunken boat that sails without heading. These two quinquennats also have in common to have never had a government deficit below 3% and to have failed to protect France from the deficit procedure initiated by the European Union in 2009. It took Emmanuel Macron and this government to get France back to its public finances and finally get out of the disgrace. It will also have taken courage to redress public finances before the crisis by resisting opposition on both sides of this House, reducing assisted jobs and reforming the Chambers of Commerce and Industry (CCI), housing policy and the status of the SNCF. It took courage and perseverance to reach the agreement, obtained a few days ago by Mr Le Maire, introducing a minimum corporate tax – a real tax revolution. It took Emmanuel Macron and this government to demonstrate that it is possible to deliver on his commitments from the first to the last day of the quinquennium! We promised to lower the housing tax, labour and corporate taxes: we lowered the housing tax, labour and corporate taxes! And all of this we have done despite the movement of yellow vests and the most serious crisis our country has ever experienced in a century. This government is indeed one of the promises kept and of the conviction that the commitments made to the French are better than the sombresauts de l'actualité et les vertigos sondagies. Unsurprisingly, the results are on the list. Four years after Emmanuel Macron's election, the standard of living rose twice as fast as under the previous two quinquennats. Unemployment has reached its lowest level in 13 years. Business start-ups are another historic record this year. Industrial employment has recovered and it has caught up with the delay it had accumulated for a decade of decline. France became the first most attractive country in Europe for foreign investment in 2019. This government is indeed that of the results, of the results as they obviously make the task difficult for those who aspire to govern in our place and multiply the tax proposals. On the right, when some accuse us of "burning the caisse", others accuse us of not going far enough in spending to counter rising energy prices. On the left, some want to increase the carbon tax quickly and strongly when some want to lower the VAT on fuel. Go understand! This finance bill is part of the exact continuity of the previous...
ParlaMint-FR_2021-10-11-O1008.u220	That's right!
ParlaMint-FR_2021-10-11-O1008.u221	...and the French will be there.
ParlaMint-FR_2021-10-11-O1008.u222	Or not!
ParlaMint-FR_2021-10-11-O1008.u223	In its first part, it lays the first stones of the great plan for the self-employed wanted by the President of the Republic. In the continuation of the PACTE law, defended by Bruno Le Maire, this plan gives new perspectives – dare I say new horizons – to the 3.6 million self-employed workers in our country. [[Applause on the benches of the Dem group and on several benches of the LaREM group]] For all these reasons, Members of the Democratic Movement (MODEM) and related Democrats will vote in favour of the 2022 finance bill.
ParlaMint-FR_2021-10-11-O1008.u224	Bravo!
ParlaMint-FR_2021-10-11-O1008.u225	All right!
ParlaMint-FR_2021-10-11-O1008.u226	Mrs. Christine Pires Beaune has the floor.
ParlaMint-FR_2021-10-11-O1008.u227	The annual review of the finance bill is always a special time, and this year it is more so than another, since it is the last budget of the quinquennium. It therefore provides the appropriate framework for learning, if not lessons learned, from the Government's policy since 2017. The members of the Socialist and related group have never believed in the ultraliberal views of this government, which, for almost five years, has constantly boasted the virtues of runoff, which never came and broke on the wall of reality and crisis. This last budgetary discussion will allow us to balance the accounts of its economic and fiscal policy. It is finally quite simple to understand the budgetary choices that have marked Emmanuel Macron's presidency: it is necessary to alleviate the burden of the richest households and businesses because they will be able to invest in the economy, which will benefit everyone. This theory, which has never been demonstrated, is totally false and, on the contrary, increases inequalities. What are the winners of your policy for five years? When you remove the housing tax, the effect is not the same for all French people. Of the 23 billion revenues that disappeared as a result of this measure, 7 billion were returned to the most affluent 20%, but 15% of households did not get anything because they did not pay this tax because of too low income. Let us take a concrete example. As a Member of Parliament, I won a month of SMIC thanks to your reform. Helen, a home helper, who barely touches the SMIC every month, did not withdraw anything because she did not pay a housing tax. Where's justice? When you remove the ISF on January 1, 2018, the 358,000 households that paid this tax for a total of 5 billion say thank you. The real estate tax (IFI) now applies to only 138,000 taxpayers. According to the Institute of Public Policy (IPP), "the 3 per cent of the most affluent households alone benefit from 70 per cent of the gains from this reform". In concrete terms, the 100 richest households have earned an average of 1.6 million per year. Cost to the State budget? 15 billion on the quinquennium. When you introduce the single lump sum levy, flat tax, annual living standards gains are concentrated on the 5% of the most affluent people, according to the Directorate of Research, Studies, Evaluation and Statistics (DREES) and INSEE. This measure has mainly had an immediate effect on the payment of dividends, with more than 60% of dividends paid to households between 2017 and 2018. Of course, the highest incomes have increased. The amount of the quinquennium gift remains difficult to assess, but it could be much higher than the valuations, according to economist Gabriel Zucman, because very high-income business leaders will arbitrate in favour of dividends and at the expense of wages to pay less taxes and social contributions. I could continue to undertake many other measures – abolition of production taxes, reduction of corporate tax, abolition of the exit tax, abolition of the higher rate of the wage tax... Of course, you communicate about variations in the standard of living by decile and, miraculously, modest households, from the first deciles of income, saw their purchasing power increase by 4% during the quinquennium. Except that 4% of not much, it still doesn't matter much in volume! While 2% of 500,000 euros, this is 10,000 euros, or eight monthly SMICs. Mr. Deputy Minister responsible for Public Accounts, can you provide us with the same balance sheet per percentiles and tenths of a percentiles for the last decile, by percentage and by volume? Let us return to the budget for 2022: it is a budget for ending the health crisis – at least we must hope – but I dare not say a budget for ending the economic and social crisis, because the emergencies are still before us. This finance bill extends that of 2021, to which have been added four amending financial laws, revealing the seriousness of the turbulence that has been taking place in our country over the past few months. It is also a pity that it took a crisis of this magnitude for many, especially on the right, to rediscover the virtues of the welfare state, which protects the most vulnerable and businesses and makes them hope for a better future when times darken. The idea that, strangely, everyone becomes Keynesian again in times of crisis did not take a wrinkle! Members of the Socialist and Related Group supported measures to deal with the crisis. The "no matter what" has resulted in business support of nearly $230 billion over two years, which is essential support. I repeat, I am pleased that many have rediscovered the protective role of the State. However, household support measures have been disparate and far smaller, either at the heart of the crisis or to stimulate the economy by reviving consumption. While the health crisis has blown up budgets and swelled the debt, the course remains the same: no counterpart to state aid, no contribution from the very rich to the national effort; Worse, despite Segur, hospital beds continue to be closed, as the management paradigm persists. The 2022 Finance Bill attests to the continuation of such a course. In substance, the expenditure remains significant, in line with the previous budget, even if the economic and social situation is different – it is happy. But the "whatever it takes" to cope with the crisis has turned into "whatever it takes" to re-elect the President of the Republic. If it is a course of action in your fiscal and fiscal policy, it is that of political opportunism. What did we hear during the first three years of the quinquennium? The only objective was the golden rule of the budget and the return to balance costs at all costs, in order to justify the effort of the most fragile and the measures favourable to the most affluent. The crisis now has its backs: it is used to justify spending without counting on the next election deadlines, without any guidelines. We all remember that Minister Bruno Le Maire endorsed the slogan "5, 3, 1": the debt had to be reduced by 5 points of GDP, the deficit by 3 points and the compulsory levies by 1 point. Finally, only the target for the compulsory levy rate has been achieved. The seriousness of the promised budget will not have kept up, as this is facilitated by the suspension of the European fiscal straitjacket, while the privileges granted at the beginning of the quinquennium, which I mentioned, have not been reversed. Worse still, while support for sectors in difficulty remains important, we regret that this budget does not contain the funds allocated to the France 2030 investment plan. As I speak to you, Parliament has no visibility on the measures it must discuss; The High Council for Public Finance did not err in refusing to assess the credibility of the expenditure component, a first in its history. This budget with holes will necessarily lead to the addition of many billion euros to the dropper by way of an amendment; Indeed, in addition to the France 2030 plan, there is also a lack of expenditure on, for example, the plan for the city of Marseille or the commitment income for young people, if it is created. This is a new sign of contempt for Parliament. Should we recall that he was born precisely so that the people, through the voice of his representatives, would consent to the taxes and expenses of the State? Although the finance bill for 2022 is the last of the quinquennium, it cannot be overturned; The concerns of the French, in economic, fiscal and fiscal matters, are far too numerous for this. The rise in energy prices is one of them and it is very serious; It rightly worries our fellow citizens. We have not forgotten that on November 17, 2018, thousands of French people demonstrated for tax justice and purchasing power, with the follow-up that we know. A few days ago, the French learned that regulated gas tariffs would rise by 12.6% on 1 October – that happened – after several increases since the beginning of the year. By way of illustration, a couple with two children, heated by gas and living in a poorly insulated house of 120 square meters in zone 6 would have their bill increased from 788 to 1468 euros on an annualized basis. It's exponential and untenable! There is an urgent need to act. The purchasing power of the French, in particular the most precarious but also the popular and middle classes, will be severely eroded; They will encounter the greatest difficulties in heating up and moving around. However, the draft budget which had been submitted contained no measures in that regard. The Prime Minister's recent announcements are not satisfactory: they will not allow the French to cope with current and past increases and only delay future increases – by smoothing them – after April 2022. Instead of proposing a tariff shield for the French, Minister Delegate, you are setting up an electoral shield for the President of the Republic! It is also in the area of solidarity that the 2022 finance bill should not be squandered. The flat-rate reduction applied to the income of the spouse of a beneficiary of the AAH does not in any way meet the aspirations for autonomy expressed by our fellow citizens, and you know that. Finally, the Socialist and Related Group would like to highlight the progress of the experiment on the recentralisation of the RSA. We all know this: the departments, especially those which are experiencing a growing precarisation of part of their citizens, and which are further exacerbated by the consequences of the health crisis, are suffering a scissor effect. It is a common sense measure that will make it possible to secure the most fragile as far as possible. [[Claudia Rouaux applauds]] For all these reasons, if the 2022 finance bill continues to omit the concerns of the middle and popular classes, and if no correction is made to the tax policy in favour of the very rich, the Socialist and related groups will vote against it.
ParlaMint-FR_2021-10-11-O1008.u228	Mrs Lise Magnier has the floor.
ParlaMint-FR_2021-10-11-O1008.u229	It is a good moment of democratic debate that we begin this evening by starting the examination of the finance bill for 2022, after eighteen months of crisis. Would the last budget of the quinquennium ring the end of the crisis? From a health point of view, after a start that gave rise to doubt, the success of the vaccination campaign has enabled our country to avoid a fourth dramatic wave for the moment. On the economic side, the finance bill marks at least the end of the "no matter what it costs", while in almost every sector of activity activity is in full swing, so much so that the main difficulty currently facing our productive fabric is the shortage of labour and raw materials, a problem that we did not even dare to dream about a few months ago. While growth is expected to reach 6% this year, the very dynamic recovery in activity is the result of massive public intervention to protect our economy. Partial unemployment, the solidarity fund and the EMPs (government-guaranteed loans) were indispensable tools to preserve jobs and prevent an unprecedented wave of bankruptcies. I believe that we must be proud to have been able to respond agilely and responsively to the needs of our fellow citizens, thanks to the numerous financial laws passed since March 2020. Of course, some economic actors are still experiencing difficulties and we must continue to support them, with the help of appropriate mechanisms. I am thinking in particular of the ultramarine territories, which have experienced a dramatic epidemic resurgence, forcing braking measures that have delayed economic recovery. Does the finance bill sound like a return to normal? There is clearly a need to analyse the unprecedented deterioration of public finances in response to the violence of the crisis. The government deficit is expected to be around 8.4 per cent of GDP this year and to fall to less than 5 per cent next year. As a result, the level of debt, which reached 115.7% of GDP in 2020, is expected to stabilize in 2021 before beginning its decline in 2022 to about 114 %. These estimates depend, of course, on the changing health and economic environment, but also on the additional measures announced by the Government, which could be presented to us by way of an amendment. As you know, the Group of the European People's Party has always argued for the most serious budget. We are convinced that debt is being repaid, that money is not magic and that too large a public debt would endanger our sovereignty over our lenders. A rapid and brutal recovery of public finances would, however, have a counterproductive effect: it would stifle the recovery and cancel the unprecedented efforts made to keep the French economy afloat during the crisis. Back from those who accuse the Government of "burning the caisse" and " campaigning with the checkbook of the French" as well as those who think that it is necessary to cancel the debt and spend hundreds of billions of euros, we believe that the path chosen by the Government is the right one: to continue to strengthen the Government's ministries, to support growth through recovery and investment, but also to put an end to the "no matter what it costs", which is no longer justified. Once the crisis is behind us and the recovery is indeed on the track, the time will come for the restoration of public finances. The objective is clear: to start the debt reduction by bringing the government deficit back below 3% of GDP by 2027. This will require courageous political choices, because we are well aware that it is always easier to open up the budgetary loopholes than to close them. The political choice that is made in this PLF is that of fiscal stability. Let's say: in France, it is a real political choice, as the instability of the tax standard makes our reputation worldwide. After four consecutive years of declining compulsory levies, both for households and for businesses, the PLF you are proposing does not contain a flagship tax measure, and we accommodate it very well. Its first part, which we are starting to examine today, is, however, not without interest: I am thinking in particular of the transposition of the tax component of the plan to support the self-employed, the securing of the tax credit for personal services, the development of the tax system for the greening of ships and the testing of the recentralisation of the RSA. But priority is given to investment and regal policies. All the budgets of the Government ministries are experiencing substantial increases in appropriations: an increase of 8 per cent for the justice budget for the second year in a row, and almost 1.5 billion euros in additional appropriations are allocated to the Ministry of the Interior. The military programming law was once again respected, with an additional 1.7 billion euros for defence in 2022, while the national education budget also increased by 1.7 billion euros. We welcome this priority given to the Regalian, who must be at the forefront of our action. With regard to the recovery, EUR 47 billion of the France Recovery Plan had already been committed at the end of August 2021; 70% of the planned funding will be deployed by the end of the year, and the rest will be deployed by 2022. Some devices are very successful, such as MaPrimeRenov ', for which a record number of files have been filed, thus supporting the purchasing power of households. The investment plan, which should be presented to us without further delay, will also complement the economic mechanism that can build the French economy of tomorrow. Support for investment and growth is the best way to create jobs and repay public debt. The 2022 finance bill is therefore part of the economic policy of the Government and the majority over the past four years. It is a policy that has proved its worth, without dogmatism, and has produced more than encouraging results: reduction of the tax burden, gain of purchasing power, protection of the French during the crisis and solid restart. We will have to be there to respond to the energy shock, which threatens both the purchasing power of the French and the viability of our companies. In the same way, we must face the challenge of training and work, while the market is under stress. [[Patricia Lemoine and Jean-Paul Mattei applaud]] Ladies and gentlemen, the Group of the European People's Party will take its full part in the discussions that we hope will be constructive, so that the 2022 finance bill will definitely mark the end of the crisis and the first step towards new horizons.
ParlaMint-FR_2021-10-11-O1008.u230	Mr Michel Zumkeller has the floor.
ParlaMint-FR_2021-10-11-O1008.u231	Before I begin my remarks, I would like to send a message to you, Minister Delegate, from our colleagues in Caledonia who wish to alert you to the situation in New Caledonia. This territory, which had previously been spared from the health crisis, is now severely affected: the bar of 200 deaths has unfortunately been crossed. My two colleagues, Philippe Dunoyer and Philippe Gomès, would like to welcome the sending of reinforcements from the health reserve to assist local staff, but New Caledonia will certainly seek direct State aid to deal with the situation. As Caledonian companies appear to be severely affected, they may request a relaxation of the terms and conditions for repayment of the EMPs they have benefited from. This is the message they wanted to convey to you; They wanted to thank you, but they also hope – it shouldn't be difficult – that state support will continue. Thanks in advance. As we read the general explanatory statement of the 2022 Finance Bill, we might believe that everything is fine, that finances are getting thinner and that the crisis is behind us. Yet this PLF, the last of the legislature, brings us to the time of the balance sheet. This is a delicate period, between the end of the "whatever it costs", which took the form of massive support for businesses and employees, and the sustained revival of the economy, driven by investment. The fact that we found ourselves during this transition period must lead us to make strong choices, in order to respond to the urgency but also to prepare for the future. But I find it bitter: the drawer text that is presented to us basically ignores this need. A few months from the presidential election and the general elections, this PLF naturally takes on a political tone. It certainly ends the period of "whatever it costs", without breaking with a high level of public spending. If we take a little height, we notice that the PLF for 2020 was that of the emergency and the PLF for 2021 that of the recovery; Unfortunately, Minister, the PLF for 2022 is neither investment nor standardization: it is a PLF of public expenditure. Public expenditure is expected to account for 56.4% of GDP in 2022, bringing it to a level that is 8 percentage points higher than the euro area average. So-called "ordinary" expenditures continue to increase significantly. The growth rate of public expenditure in volume, excluding tax credits, support and recovery, is expected to rise to 0.8% next year; In value terms, the increase will be 2.3%, corresponding to €32 billion in additional expenditure. What endangers our future, therefore, is our structural spending and our inability to get out of the over-government that characterizes us. I regret that this budget division is marked by many false notes. It is not easy for a conductor to define tempo, especially when a few notes are missing from his scores. Your budget is an unfinished symphony. After a week of work in the Finance Committee, and when we start our work in the Chamber, we still have no data on your investment plan – France 2030 – or on the commitment income for young people. We mention at the bottom 30 to 32 billion euros. Of two things one: either you are not able to present your projects to us, and it is dramatic; either you have deliberately excluded data from your budget, and this is an offence against Parliament, the French and the French. We are not fooled: in addition to expressing blatant contempt for Parliament, this ingenious technique makes it possible to circumvent the opinion of the Council of State by tabling last-minute amendments to the considerable amounts without having an impact assessment, while avoiding the collapse of economic figures. This complex sizing is quite simple, it consists of combining sustainable and structural measures with ad hoc electoral measures. You defend the principle of fiscal stability to give visibility to households and businesses, when it is already difficult to measure the harmony of this budget. Yesterday morning, returning home after a constituency commemoration, I heard Mr. Castaner, president of the majority group, at the Grand Jury RTL - Le Monde. It was perfectly normal for the President of the Republic to have prepared, decided and announced the major investment plan, and for Parliament not to be associated with it. It is shocking, our role is to work on such topics and it is also a chance for the majority. It is by gathering all of us around a table that we will achieve a result. This is a sign of Parliament's contempt, which accredits above all the idea that parliamentarians are useless and fuel populism. Given the times we live in, if we continue in this direction, we will all have to pay for it. It is not new that important amendments are tabled by the Government, but it is not because the others did that that must be done! If we follow the tempo of the President-candidate's announcements, the numbers may be gone again. And if the macroeconomic scenario were to be changed, to take these measures into account, a new referral by the Government to the High Council for Public Finance would be necessary, which would lead to quite a cacophony. For the first time in this Parliament, the High Council regretted "conditions of referral that do not allow it to give a fully informed opinion on the public finance forecasts for 2022 for Parliament and citizens, in accordance with its mandate. He therefore declared himself unable to assess the plausibility of the public deficit announced in 2022. Despite this continuation of spending, the deficit and public debt would begin to decline very slightly. The deficit would fall to 4.8% of GDP after peaking at 8.4% in 2021. Debt would return to 114 per cent of GDP in 2022 after reaching 115.6 per cent in 2021. Of course, France will stabilize its debt issues to finance itself. Agence France Trésor, responsible for placing the government's debt on the market, plans again to issue €260 billion of medium- and long-term bonds in 2022, as in 2021. This operation, in addition to a short-term debt issue of 5 billion and a withdrawal of 22 billion from the public treasury account, will enable it to meet its need for financing of 292.7 billion euros next year. On the other hand, we welcome the creation of the budget programme 369 Amortization of the State's debt linked to the covid-19, but one question remains: how to repay the debt linked to the covid? After two years of debt crunching due to the opening of the budget valves to support the economy in the face of the coronavirus, you commit yourself to amortising the state's debt linked to the crisis – estimated at 165 billion euros – over 20 years, until 2042, by allocating about 6% of the revenue surplus each year compared to 2020. In 2022, this amount will be EUR 1.9 billion, hoping that a tax increase will not be the only solution in the long term. Beyond this, France's public debt will therefore exceed EUR 3 billion by 2022. At this rate, we will still be there in more than a hundred years! In this budgetary context, how can we not mention the inexorable rise in energy prices? Whether it is to move, heat up or simply for daily life, the cost of energy occupies a prominent place in the household budget. The measures announced by the Government, while appreciative, do not appear to have been taken into account. It is not a question of repelling the problem after the presidential elections, but of initiating essential reforms. On behalf of my IDU and independent group, I indicated in the questions to the Government last week that we are proposing a common-sense solution: to abolish VAT on local taxes or to reduce VAT on small energy taxes from 20% to 5.5%. Mr Minister, I repeat my question: why don't you permanently abolish the VAT applied to ecological taxation? It's just a tax on the tax. To govern is to anticipate, but it is above all to anticipate and prepare for the future. We also believe that the €2 billion that EDF will receive from the French State offers a unique opportunity. Why not allocate 50% to the energy renovation of buildings and energy saving measures, mainly for the middle classes, who are the forgotten of your proposals? I have heard from the rapporteur-general that all this is the result of a European directive and that we cannot help it. Once again, if this Parliament is of no use, we have a real problem. The European directive can be debated again, and France will be in a good position from January onwards to do so. Energy increases are a real question; I come from a department where it's cold in the winter and when it's less than ten or less fifteen degrees, energy is not incidental. When families have an extra 700 or 800 euros of gas bills and, unfortunately, they are out of the criteria to benefit from the energy check, there is a real problem. We must share it, because we are only at the beginning of the increase in the cost of energy. We will have to provide for sustainable measures, and that is what we are doing, rather than simply proposing to push things back after the presidential election. On the occasion of this last budget of the legislature, we wish to reiterate our commitment to the implementation of structural reforms. For the past four years, our group has always been part of a constructive attitude. Unfortunately, the majority has been characterized by its lack of openness, and we regret it. When it comes to working for the future of the French and France, there are no opposing groups, but the need to enrich each other's proposals. It is in this will that we start these budgetary discussions. We hope that at the end of this unprecedented health crisis, our country will return to the path of growth. We are convinced that it is essential to include our public policies in substantive reforms. The bureaucracy crushes the spirit of undertaking our small and medium-sized businesses, as well as our communities and our health care system. Since we are on the way – it is happy – to emerge from this terrible crisis of the covid -19 which has shaken our hospital system, I will quote a figure: our per capita budget for the hospital is about the same as that of Germany, but while the administrative costs are 25 per cent, they are 34 per cent in France.
ParlaMint-FR_2021-10-11-O1008.u232	That's right!
ParlaMint-FR_2021-10-11-O1008.u233	If we can solve this problem, we can hire nurses and pay them properly. Your budget does not include reforms in this direction.
ParlaMint-FR_2021-10-11-O1008.u234	There you go!
ParlaMint-FR_2021-10-11-O1008.u235	The burden of debt is a danger to our children's future. At the very least, as Pierre Moscovici, the first President of the Court of Auditors, asks, we hope that the growth supplements will be devoted to the repayment of the debt. In conclusion, let me quote a courageous politician, the great Winston Churchill: "We should never turn our backs on a danger to try to flee him. If you do, you'll double it. But if you confront him quickly and without escaping, you'll cut him by half. Mr. Minister Delegate, at the beginning of the review of this PLF, we want you not to steal from it, it is about the future of our children.
ParlaMint-FR_2021-10-11-O1008.u236	Mr Eric Coquerel has the floor.
ParlaMint-FR_2021-10-11-O1008.u237	Bravo!
