ParlaMint-FR_2021-02-05-O1153.u1	The next item is the final reading of the bill extending the state of health emergency (No. 3836).
ParlaMint-FR_2021-02-05-O1153.u173	The Deputy Minister for Citizenship has the floor.
ParlaMint-FR_2021-02-05-O1153.u174	Much has been said about associations governed by the 1901 Act; I, for my part, would like to commend their deep commitment. Whether or not they are subsidized, many of them do not simply respect republican principles; They move forward, act to defend them, very often by relying on the commitment of volunteers who give their time. As we legislate on republican principles, the associations provide a tremendous illustration of them, including the principles of fraternity, self-giving, giving to each other and giving his time – it seemed to me important to remind him. Secondly, to hear the interventions of each other, I have the feeling that we share the same objective: to strengthen associations in their fundamental role, but also to protect ourselves against any risk of deviating associations under the 1901 law that would convey separatist ideologies. Not a euro of public money must finance the enemies of the Republic; That's the raison d'être of the Republican engagement contract. It should be recalled that this contract has been the subject of a broad, long and dense consultation with many stakeholders. The Minister of the Interior and I have received a large number of representatives from elected organizations and associations; Similarly, with my colleague Sarah El Haïry, responsible for youth and community engagement, I have received representatives of the community movement and many associations. That is why I remain cautious when I hear that "associations" think this or that – and I have the same reaction when I hear what "feminists" think. The associative movement is dense and plural. Of course, the concerns mentioned here exist, but I also note that major associations such as the International League against Racism and Anti-Semitism – LICRA – and many others...
ParlaMint-FR_2021-02-05-O1153.u175	Which ones?
ParlaMint-FR_2021-02-05-O1153.u176	... published texts and fora and took a position in favour of the contract of engagement. The bill was substantially amended during the consultations and subsequent work of the special commission. In committee, Members expressed concerns and proposed improvements, sometimes simplifications. The text that came out of this work is different from the original bill and I welcome the commitment of the special commission: progress shows that its work has not been in vain. The Government has not sought to impose a binding text, on the contrary; The consultations have made it possible to improve it, and the debate is continuing. Why this contract of engagement? It will, of course, be used by the State – whether it be the central government or the prefectures – to decide on the allocation of subsidies. In particular, it will be a tool for local elected officials. In this respect, I am surprised to hear in the Chamber statements that are sometimes very different from those heard by elected officials on the ground, regardless of their party. The elected officials tell us they need the contract of engagement...
ParlaMint-FR_2021-02-05-O1153.u177	What elected ones? Present them to us!
ParlaMint-FR_2021-02-05-O1153.u178	... because the charters they are trying to pass are contested or even attacked in court. This is the case of the president of the department of Val-d'Oise – an elected member of the Republican party – who, in December, wanted to create a charter of secularism and values of the Republic, but also of Michaël Delafosse, socialist mayor of Montpellier, who again declared this week, on a national radio channel, how much the Republican contract of engagement is necessary for him – because he is under legal attack for wanting to establish a similar charter. Similarly, in Île-de-France, Valérie Pécresse proposed a charter that was immediately challenged because, like the others, it has no legal value. It is therefore in order to provide local elected officials with the tools they need that we propose the Republican contract of engagement, which, in turn, will have legal value. Émilie Chalas described the operation very well, recalling how fundamental it is, whether it is to support courageous local elected officials or to grant public subsidies. Let us not oppose the political world to the associative world. You know better than anyone how much one and the other are connected. In this respect, Yves Blein's illuminating intervention has shown that certain developments can support the associations – I am thinking of the proposal made by several Members to repute signatories to the contract of engagement the approved associations, proposed by Fabienne Colboc and the implementation of which has been explained by Marie Guévenoux. You fear, Mrs. Genevard, that this text will cause disruption. Precisely, we demand it! We want not only to disrupt a state of affairs, but to put an end to it. The creation of the Republican contract of engagement is not intended to disturb nothing, to leave everything in the state. On the contrary, it is used to remove the dust that is under the carpet and to put an end to the subsidies granted to associations that support Islamist ideology. We assume it perfectly and you yourself, of which everyone knows the commitment to the fight against radical Islamism, will no doubt be able to support this contract – the examples cited by Pierre-Yves Bournazel go in this direction. Mr Lagarde proposed to amplify the fight against radicalisation within the framework of the CLSPDs: this is a good proposal. It is in this spirit that the national strategy for the prevention of crime, which the Prime Minister issued in December, provides for the obligation to add the R of radicalisation to the acronym of the CLSPDs, so that they become the communal bodies for the fight and prevention not only of delinquency, but also of radicalisation. I hear your concerns about the world of associations, Mr Vallaud, and we know your commitment to it. I also heard the concerns of some associations at the beginning of the consultation process, but you will have found that many of them were convinced by the text enriched by the work of the special committee. Many associations expressed support for the Republican contract of engagement, believing that it would be part of their communication to their members. Ms Buffet referred with conviction to the charters already in place; We share the purpose of the report and do not question the usefulness of it, but I would like to point out, as the rapporteur-general and the chairman of the special committee did, that none of them has the force of law. They therefore do not constitute a sufficient basis for obtaining reimbursement of subsidies unduly paid. Again, several local elected officials have expressed their concerns after granting grants to associations that they have just found to be preaching separatist ideologies; However, they cannot obtain the repayment of the sums paid, as shown by the concrete example given by the mayor of Grenoble. Guillaume Vuilletet explained well that the Republican contract of engagement will allow precisely to recover this public money. As the President of the Republic has said in his wishes to the representatives of the cults, how can we explain to the French that their taxes are used to finance separatist activities? None of us can endorse him. This is the subject of the Republican contract of engagement. [[Applause on several benches of the LaREM group]] Finally, I would like to point out that the associations covered by the 1901 Act offer an area of freedom and action. They are, of course, a pillar of social cohesion and of defence and respect for republican principles. The contract of engagement strengthens the bond of trust between the state and the communities on the one hand and the associations on the other, in order to better protect citizens.
ParlaMint-FR_2021-02-05-O1153.u179	On what basis and on what subject do you wish to make a point of order, Mr El Guerrab?
ParlaMint-FR_2021-02-05-O1153.u180	On the basis of Rule 55 and on the subject – which we are talking about behind the scenes – of the speaking time allocated to groups in the context of the scheduled legislative time procedure. Democracy, to which I like everyone here, is Parliament. Parliamentarians must be able to express themselves and support their positions. [[Exclaims on the banks of the LaREM Group]] [["Oh! On several benches of the LaREM group. – Mrs Emmanuelle Ménard applauds]] No one will be able to say that my positions closely or far resemble those of Mrs Ménard, for whom I also have the greatest respect and which everyone will agree that she is doing a titanic job. We have a substantive debate on republican principles and secularism, which forces us to question ourselves. Is it right that our colleague Ménard has only a second to speak on the 1500 or so amendments that we still have to consider? For my part, I find it abnormal. If such practices were to take place in an African country, it would be called a banana republic.
ParlaMint-FR_2021-02-05-O1153.u181	You are familiar with the Assembly's Rules of Procedure and the rules relating to scheduled legislative time, Mr El Guerrab. You are also aware of the allocation of speaking time as decided by the Conference of Presidents. I hear your inquiry, which is legitimate, but the rules are what they are. One can always think about their evolution; In the meantime, they apply and have not been ignored. I would add that, in total, the time available to each non-attached Member exceeds the average time allocated to each Member of the majority group. In any event, the Regulation has been correctly applied; I thank you, however, for highlighting this point.
ParlaMint-FR_2021-02-05-O1153.u182	I have before me several identical amendments, Nos 380, 499, 587, 651, 690, 992, 1581, 2019 and 2465, aimed at deleting the article. Mr Xavier Breton has the floor to support Amendment No. 380.
ParlaMint-FR_2021-02-05-O1153.u183	This deletion amendment is based on several arguments. First of all, you cannot say that it took place, Madam Deputy Minister. During the hearings which preceded the debates of the special commission, all the actors of the voluntary movement regretted the lack of consultation and made it clear!
ParlaMint-FR_2021-02-05-O1153.u184	That's not true!
ParlaMint-FR_2021-02-05-O1153.u185	The High Council for Associative Life said the same thing in its opinion. Perhaps you are now in search of lost time in concertation, but the Republican contract of engagement has been imposed in the text and has not been the subject of any consultation. Next, one may wonder about the effectiveness of this article, which, like many others, is the wrong target. Associations that have not asked for anything – like families and cults that have not asked for anything – will be bothered, while associations that pose a problem are not targeted. Do you think that associations that are real enemies of the Republic file applications for public subsidies?
ParlaMint-FR_2021-02-05-O1153.u186	Yes!
ParlaMint-FR_2021-02-05-O1153.u187	If so, give examples and tell us what follow-up you have given – because if the associations in question are really enemies of the Republic and their activities are illegal, I am worried that nothing has been done!
ParlaMint-FR_2021-02-05-O1153.u188	Yes!
ParlaMint-FR_2021-02-05-O1153.u189	There are two things: either the laws as they exist are not enforced because of lack of political will, or the associations concerned do not ask for subsidies. Thirdly, there are concerns about the risk of arbitrary decisions, for example if the regime does not one day become more authoritarian than it is now.
ParlaMint-FR_2021-02-05-O1153.u190	He's already authoritarian!
ParlaMint-FR_2021-02-05-O1153.u191	Even today, we can already question ourselves. Finally, we have substantive differences on two points. The concept of associative freedom, in the first place: at the time of their creation, associations do not have to produce a patent of republican respectability. It is through the republican act of forming an association that citizens already manifest their republicanism; It is not necessary to add to it and to create a suspicion, a mistrust, very badly felt by the community.
ParlaMint-FR_2021-02-05-O1153.u192	Many associations will be happy to reaffirm republican values.
ParlaMint-FR_2021-02-05-O1153.u193	Attachment to the Republic is in the genes of associations. To force them to sign a Republican contract of engagement is a sign of mistrust. Our second difference concerns the conception of the Republic. Membership of the Republic is not affirmed by signing at the bottom right of a document. It is only in the event of failure that an authoritarian regime imposes from above republican principles whose definition is difficult to define. No, the Republic, it lives, it is shared. There is no need to ask each association – and one day, perhaps, every citizen – to sign a document attesting that it is republican. I even hear expressions like "the children of the Republic": what does that mean?
ParlaMint-FR_2021-02-05-O1153.u194	We are all children of the Republic!
ParlaMint-FR_2021-02-05-O1153.u195	Children are not from the Republic; These are children, people, who live in a family and, of course, who are part of the Republic. Sanctioning those who oppose the laws is one thing; However, to impose a priori the signature of a republican patent seems to me to be a very dangerous concept which appears in Article 6, but which essentially inspires the whole text. It is an authoritarian and vertical conception of the Republic that we are fighting.
ParlaMint-FR_2021-02-05-O1153.u196	I call Mr Patrick Hetzel to support Amendment No. 499.
ParlaMint-FR_2021-02-05-O1153.u197	At this stage of the debate, it is important that we indicate why we want Article 6 to be deleted. First of all, there is a paradox, quite incredible indeed: when we read closely the draft contract of engagement – which we received only very late: fortunately, the press communicated it before you passed it on to the parliamentarians, Madam Deputy Minister! – we realize that this is in fact a profession of republican faith, whereas the very principle of a profession of faith runs counter to the fight you are leading. Should we have only the faith of the Republic? In addition, there is a great deal of distrust of associations. And contrary to what you're making sure, they feel it: many community leaders have told us about it. As several speakers have already had the opportunity to say, this article will totally miss its target. Indeed, associations that feed a form of separatism will often advance under the radars that you intend to set up. On the contrary, the article will have a counterproductive effect, because you are going to bother associations that pose absolutely no problems.
ParlaMint-FR_2021-02-05-O1153.u198	No!
ParlaMint-FR_2021-02-05-O1153.u199	This is a real cause for concern, especially since the Republican contract of engagement also threatens the advocacy and action capacity of the associations concerned by making the payment of public subsidies conditional on what you call "safeguarding public order". It is a very vague legal formulation, which raises concerns that the challenge of certain public policies by a particular association may be judged by the decision-makers as opposing the granting of financial assistance, since it challenges an order established by the Government. This risk is particularly evident with regard to certain forms of engagement that can easily be reclassified as offences, as is the case, for example, with regard to the exclusion or reception of foreigners – I think you have heard the CIMADE's plea in this regard. Mr de Rugy, you tell us that the associations have nothing to fear. But let's take the example of the Anticor association: while she was asking the chancellery, regardless of the debate on this bill, a renewal of her accreditation,...
ParlaMint-FR_2021-02-05-O1153.u200	It's something else, it has nothing to do with it!
ParlaMint-FR_2021-02-05-O1153.u201	...she asked her, in fact, unlawfully,...
ParlaMint-FR_2021-02-05-O1153.u202	That's right!
ParlaMint-FR_2021-02-05-O1153.u203	... a number of documents. Do you really want to go to this field? You will see for yourself that a number of things are happening...
ParlaMint-FR_2021-02-05-O1153.u204	What does this have to do with the contract of engagement?
ParlaMint-FR_2021-02-05-O1153.u205	The report? Anticor is an association that respects the established order. And yet you're causing him problems! It will also be necessary to clarify to us, because this is a point on which you are not heard, how you intend to expressly guarantee to the associations that they will retain the freedom to express the foundations of their actions. Some associations are indeed of confessional inspiration: what are you going to do for the Catholic Relief, the Salvation Army, the Scouting Associations, the CIMADE, which clearly defend projects of general interest, but whose foundations undeniably have Christian roots? You can't ignore them!
ParlaMint-FR_2021-02-05-O1153.u206	We had the debate in a special committee! Ask Mrs Genevard, she has withdrawn her amendment!
ParlaMint-FR_2021-02-05-O1153.u207	Let me also stress a historical aspect. Let us go back a little further: seventy-seven years ago, from the end of the Pétain government, the various associations, movements and bodies resumed their activities, within the framework of the 1901 law and, for Alsace and Moselle, of the 1908 law. Many associations, like other older ones, defended the secular and republican values and ideals of the Resistance. This development of the associative world, which had been desired by the National Council of the Resistance, clearly and unequivocally acquiesced the rupture with Vichy; It has been built by the recognition of its autonomy and the suppression of any guardianship prior to its operation, in respect of democratic values, the cornerstone of our republican pact. If we wear iron, it is because you tell us that the Republican contract of engagement will help to reaffirm the Republican pact,...
ParlaMint-FR_2021-02-05-O1153.u208	It's an argumentary torture!
ParlaMint-FR_2021-02-05-O1153.u209	... when we think on the contrary that you will fundamentally weaken it. You're attacking the very roots of the community! Legally demonstrate how the situation will be better if we adopt the text! All you're going to do is bother associations that there's no reason to bother.
ParlaMint-FR_2021-02-05-O1153.u210	Everything and anything!
ParlaMint-FR_2021-02-05-O1153.u211	Mr President, I wish to speak!
ParlaMint-FR_2021-02-05-O1153.u212	[[Smile]] Mr Minister, you know the rules of the parliamentary debate, I do not teach you: we will hear the presentation of all the deletion amendments, and the Government will then give its opinion – which we can already anticipate. Amendment No 587 by Mrs Emmanuelle Ménard is being defended. I call Mr Le Fur to support Amendment No. 651.
ParlaMint-FR_2021-02-05-O1153.u213	We find in this article the real difficulty of this text: since you do not target radical and political Islamism, you touch everyone. The collateral effects are multiple, as we saw yesterday again during the debate on religions – you touch lots of people who have nothing to do with all this! What is the problem with Protestants, Orthodox? There aren't any! However, they are targeted by your text! After yesterday attacking the 1905 law, you are attacking the 1901 law and you are targeting all associations instead of punishing, penalizing and prosecuting really Islamist associations. The laws of 1905 and 1901 are part of our constitutional block, ladies and gentlemen! I am convinced that the Constitutional Council will not allow such provisions to pass, and I would like to say so even before further consideration is given to them.
ParlaMint-FR_2021-02-05-O1153.u214	That's not what the Council of State says!
ParlaMint-FR_2021-02-05-O1153.u215	Besides, this case will affect all associations, and in a ridiculous way. When such a request arrives at the association of the bakers, they will laugh at it, it is not serious. But can you imagine how the obligation to sign a certificate of republicanism will be perceived by an association of veterans?
ParlaMint-FR_2021-02-05-O1153.u216	They'll be proud to sign it!
ParlaMint-FR_2021-02-05-O1153.u217	They fought for us, and they should also certify that they're Republicans? Who the hell are you laughing at? Moreover, this provision will not be effective at all, because the real thugs will sign the contract! If you ask them, they will even take an oath! They'll hide their intentions, and you'll miss the target you claim you want to achieve. I would like to mention a remarkable person, the President of the Côtes d'Armor Education League, who recently wrote to me. The Ligue de l'enseignement is a secular association, and although I do not share their political sensitivity, it brings together very respectable people. Their president, Yves Le Sidaner, was for a long time the president of the lay Amicale de Saint-Brieuc, this association installed in a huge building opposite the station which, over the years, has accompanied thousands of young people. She has done a huge job, like the Briochin Olympic Club, which, for her part, came from the patronage. Each in its own logic, they have accompanied lots of young people.
ParlaMint-FR_2021-02-05-O1153.u218	Let's draw up a list of all the Côtes-d'Armor associations!
ParlaMint-FR_2021-02-05-O1153.u219	Yves Le Sidaner, president of the Ligue de l'enseignement – which, in terms of political sensitivity, is close to many of you – wrote to me: "The Ligue de l'enseignement, federation of associations, regrets that certain articles of the bill cast suspicion on all associations, while the aim is to control only some of them, which hijack the 1901 law for cultural, separatist or community purposes. As a whole, associative life constitutes an essential bulwark against separatism, is the place where the rules of life are lived and practiced in society, the place where commons are made. He is the President of the Education League,...
ParlaMint-FR_2021-02-05-O1153.u220	Cotes d'Armor!
ParlaMint-FR_2021-02-05-O1153.u221	... a structure we can no longer lay, which says so.
ParlaMint-FR_2021-02-05-O1153.u222	It's polemic! There's nothing left of it!
ParlaMint-FR_2021-02-05-O1153.u223	I am convinced that all the education leagues and all the associations they represent will tell you the same thing.
ParlaMint-FR_2021-02-05-O1153.u224	I know a lot of associations who will be proud to sign the contract of engagement!
ParlaMint-FR_2021-02-05-O1153.u225	Except there, things become concrete! I continue my reading: "At the time of the consideration of this bill, which reinforces respect for the principles of the Republic, we wish, together with the community movement, that this text be that of strengthening associations, whose actions actually reinforce these principles. This text must not be that of distrust, but must reflect trust between the State, local and regional authorities and associations. »
ParlaMint-FR_2021-02-05-O1153.u226	[[Smile]] It's a long letter!
ParlaMint-FR_2021-02-05-O1153.u227	"The measures currently provided for in this text carry with them a high risk of weakening associative life in what it has most essential, namely its ability to sustain the debate, including within it, to question, to be a source of citizen mobilization. »
ParlaMint-FR_2021-02-05-O1153.u228	He's not talking about Article 6!
ParlaMint-FR_2021-02-05-O1153.u229	[[Applause on the benches of the LR group]] It is for these reasons that he invites us not to adopt this article – and others. These are the things that come to us: take them into account and respect freedom! The 1901 Act is one of the pillars of the Republic.
ParlaMint-FR_2021-02-05-O1153.u230	Long live the lay friendly!
ParlaMint-FR_2021-02-05-O1153.u231	I call Mr Charles de Courson to support Amendment No. 690.
ParlaMint-FR_2021-02-05-O1153.u232	Ladies and gentlemen, if we have tabled this deletion amendment, we are asking ourselves a very simple question: is the idea of a Republican contract of engagement a good idea?
ParlaMint-FR_2021-02-05-O1153.u233	Yes!
ParlaMint-FR_2021-02-05-O1153.u234	The answer is no, and I'll explain why. First of all, it is not a contract in the proper sense of the term. In fact, it is not I who say it, but the Council of State which, in its opinion, stated: "Firstly, the Council of State proposes to use the terms "republican engagement" instead of "republican engagement contract", since the latter does not have the nature of a real contract. So let's stop talking about "republican engagement contract." I will not have the cruelty to recall the remarks made by the Minister of the Interior during his hearing before the special committee, who said: "The term contract is probably inappropriate".
ParlaMint-FR_2021-02-05-O1153.u235	That's right.
ParlaMint-FR_2021-02-05-O1153.u236	Indeed, a contract is a synallagmatic agreement between two parties.
ParlaMint-FR_2021-02-05-O1153.u237	Not necessarily!
ParlaMint-FR_2021-02-05-O1153.u238	If there is no negotiation, it is a unilateral act: it is then called a contract of accession, and it is quite different. You yourself acknowledged, Minister, that this was "an almost unilateral act." If it's a unilateral act, let's not talk about a contract.
ParlaMint-FR_2021-02-05-O1153.u239	No, no, no, no, no, no, no, It's optional!
ParlaMint-FR_2021-02-05-O1153.u240	It is not I who say it, minister, you have declared it in committee – and you have been right to do it! Then, does this pseudo-contract come under the decree provided for in Article 6 – a surprising fact, by the way? Of course, many of us, Madam Minister Delegate, have asked you what would be included in the Order-in-Council. Back then, we didn't know exactly. Since then, we have received this document, which I hardly dare to show: it holds in one page, of which I will read you some excerpts. The draft contract contains seven commitments. The first, entitled "Freedom of conscience" – who could be against it? – first of all requires respect for the freedom of conscience of members and third parties. But wait for the rest...
ParlaMint-FR_2021-02-05-O1153.u241	I know the rest!
ParlaMint-FR_2021-02-05-O1153.u242	Wait, Madam Deputy Minister. I didn't interrupt you earlier!
ParlaMint-FR_2021-02-05-O1153.u243	But...
ParlaMint-FR_2021-02-05-O1153.u244	[[Laughs on various benches. – Mr. Patrick Hetzel applauds]] Madam Deputy Minister, I have not given you the floor! [[Smile]] [[Applause on the benches of the FI group]] What is sublime is that the second sub-commitment of commitment 1 specifies – fasten your belts – that one must "abstain from abusive proselytism". But that's not right! Even if you could take out this decree, assuming that Article 6 is not deleted by Parliament or censored by the Constitutional Council, I can tell you that you are going to spend 15 minutes in front of the Council of State! Frankly, what does it mean, "to refrain from abusive proselytism"? In this case, we can see that you're tied up! Take the example of the Israelite Scouts, of which we have already spoken: is there not proselytism within the Israelite Scouting? [[Rise and applause on the benches of the LR and FI groups]] So you prohibit "abuse proselytism": proselytism, yes, but abusive, no! Are you really going to control the abuse of proselytism? This is an example, but I could quote others. One, in particular, is tasty: the commitment "women-men equality". What does it mean for a women's association? Common sense colleagues pointed out that women were free to organize themselves. You can see, through these examples, that your thing doesn't stand up! In reality, as you yourself have recalled, the diversity of the community world is such that it is not possible to have a unique contract of engagement – finally, a pseudo-contract. On the other hand, the principle of secularism, contained in article 1 of the Constitution, is not part of your contract of republican engagement, and for reasons: there are movements of a philosophical, political, religious, absolutely legitimate nature – it is freedom, it is the very expression of democracy. Your pseudo-contract doesn't stand; We shall come back to that when we consider subsequent amendments. Worse still, a number of associations will not fail to make your concept a contrario reading: those who do not seek public subsidies, or refuse them, have the right not to respect the principles of the Republic.
ParlaMint-FR_2021-02-05-O1153.u245	Yes!
ParlaMint-FR_2021-02-05-O1153.u246	That's totally wrong!
ParlaMint-FR_2021-02-05-O1153.u247	That's great! You say everyone has to respect them. I do not claim anything else: the principles of the Republic, those which the French people have given themselves by its Constitution, are not negotiable.
ParlaMint-FR_2021-02-05-O1153.u248	That's right!
ParlaMint-FR_2021-02-05-O1153.u249	That is precisely why the Republican contract of engagement is a crazy idea. The good idea in this area, Madam Minister Delegate, was very simple:...
ParlaMint-FR_2021-02-05-O1153.u250	Ah!
ParlaMint-FR_2021-02-05-O1153.u251	...to bring the charter of reciprocal commitments to the legislative level.
ParlaMint-FR_2021-02-05-O1153.u252	There is an amendment that proposes it!
ParlaMint-FR_2021-02-05-O1153.u253	The opportunity was missed, alas,...
ParlaMint-FR_2021-02-05-O1153.u254	Yes!
ParlaMint-FR_2021-02-05-O1153.u255	... since this is not mentioned in the decree of 28 December 2016 specifying the characteristics of the single grant application form for associations. So I had fun making a comparison...
ParlaMint-FR_2021-02-05-O1153.u256	Oh, there!
ParlaMint-FR_2021-02-05-O1153.u257	...between your preliminary draft of a pseudo-republican engagement contract and this charter, which has been negotiated by the voluntary movement with the state and local authorities.
ParlaMint-FR_2021-02-05-O1153.u258	Absolutely!
ParlaMint-FR_2021-02-05-O1153.u259	This is a real agreement: why not erect it at the legislative level rather than mix the brushes with these pseudo-contracts? In addition, I would like to tell you one or two more things, Madam Minister Delegate.
ParlaMint-FR_2021-02-05-O1153.u260	I thought the principles of the Republic were not being negotiated!
ParlaMint-FR_2021-02-05-O1153.u261	In the event that, unfortunately, Article 6 would be adopted, was there any question as to whether the offices of the associations within the prefectures would be able to control tens of thousands of associations?
ParlaMint-FR_2021-02-05-O1153.u262	It's the work of local authorities and local elected officials! They know their associations!
ParlaMint-FR_2021-02-05-O1153.u263	[[Claims on several banks of the LaREM Group]] I know a little bit about the office of the associations in my department: Mr.Minister of the Interior, since it concerns you, is that where we find the best officials? When there's a sick man, it's in the association office!
ParlaMint-FR_2021-02-05-O1153.u264	It's not nice for officials!
ParlaMint-FR_2021-02-05-O1153.u265	You're attacking our officials!
ParlaMint-FR_2021-02-05-O1153.u266	The servants of the State!
ParlaMint-FR_2021-02-05-O1153.u267	I assure you, that's true!
ParlaMint-FR_2021-02-05-O1153.u268	That's unworthy!
ParlaMint-FR_2021-02-05-O1153.u269	It is not your decision, minister: it is human resources management within your department, and that was the case long before you held this position! Have you visited these offices? Do you know that many associations don't even send their accounts, without anyone telling them anything? This debate is typical of the French discussion: no one wonders whether, once adopted, it will be possible to control its application. In this case, this would not be the case at all. [[Applause on several benches in the LR group]] Why Article 6? To make you believe, as usual, that you're doing something. If, together with several members of my group, I have tabled this deletion amendment, it is because once again you have had a bad idea, which will result in exactly the opposite of what we are looking for. It is not with this article that you will effectively fight against separatism and Islamic fundamentalism.
ParlaMint-FR_2021-02-05-O1153.u270	I call Mr Boris Vallaud to support Amendment No. 992.
ParlaMint-FR_2021-02-05-O1153.u271	It will be difficult to be more convincing than Mr. de Courson. I will not go back to the spirit of this text, to the executive's perception of the psyche of the country. For my part, I believe it deeply republican: this is our strength in the face of separatism, which must lead us to block against all the enemies of the Republic. The main issue of doubt is the effectiveness and necessity of this measure. You're saying we can't get a grant back. This is not true: consistent case law shows that if the conditions for granting a grant are not met, it is open to any authority which has paid it to take it back.
ParlaMint-FR_2021-02-05-O1153.u272	That's what we do!
ParlaMint-FR_2021-02-05-O1153.u273	Look, for example, at a 2010 Council of State decision. What you want to do is already the right, the positive right. Free to reinvent the powder! From the point of view of necessity, your measure does not contribute anything to the positive order. As far as its effectiveness is concerned, I believe, unlike Mr de Courson, that there are good officials in the offices of the associations: I know that for leading prefectures. On the other hand, are there enough of them? Certainly not. Today, and I am sorry for this, a prefecture of department cannot afford to do its job properly, especially as it is increasingly entrusted with it; I say it with all the nostalgia of the prefectural body that is mine.
ParlaMint-FR_2021-02-05-O1153.u274	It's split!
ParlaMint-FR_2021-02-05-O1153.u275	There are also a number of difficulties mentioned earlier with regard to this point of non-use and effectiveness. The concept of respect for public order has fortunately been replaced in a special commission with that of safeguarding public order; However, the explanatory memorandum did not differ from the original wording. This poses a risk to a number of associations, some of which have been cited, including those that advocate for the right to housing, against insecurity, or come to the rescue of migrant populations. They are concerned; They must be reassured by the drafting of the text. Moreover, you could have given legal and legislative value to the charter of reciprocal commitments, negotiated in 2014, fiercely, methodically, by devoting the necessary time, with associations and local authorities. We will defend an amendment to that effect, in particular with a view to making it effective against third parties. This would solve a lot of problems, dispel many of the concerns of the community world, and thus serve the objective that, despite everything, we share.
ParlaMint-FR_2021-02-05-O1153.u276	The next speaker is the Minister for the Interior.
ParlaMint-FR_2021-02-05-O1153.u277	Excellent presidency!
ParlaMint-FR_2021-02-05-O1153.u278	Mr President, I do not wish to derogate from anything, but only that the Rules of Procedure of the National Assembly, on which it seems to me that the Constitution prevails, should also be applied to the members of the Government. As a parliamentarian and observer for parliamentary debates, you will have found that parliamentarians have the right to intervene when they want to.
ParlaMint-FR_2021-02-05-O1153.u279	That is why you have the floor, Minister.
ParlaMint-FR_2021-02-05-O1153.u280	It is therefore no exception that you make: the representative of the Government takes the floor whenever he wishes. It has a duty to be at the disposal of Parliament, but also of the rights within the Chamber; This is called streamlined parliamentarism.
ParlaMint-FR_2021-02-05-O1153.u281	It is a little inappropriate to criticize the presidency!
ParlaMint-FR_2021-02-05-O1153.u282	We should agree on this, Mr Le Fur, since it is the invention of General de Gaulle. She would be grateful if the Government could give its opinion on the amendments under discussion. I will try to be brief so as not to slow down the debate, but it seemed to me important to intervene at the time when Mr Vallaud was defending his amendment, so that the distinction is clear: the deletion amendments already supported are probably not entirely motivated by the same reasons as Mr Mélenchon's, for example. [[Applause on the benches of the LaREM group]] First of all, I would like to say to Mr de Courson that good officials can be found outside the Court of Auditors. These attacks on prefectures' agents, which are considered to be second zone civil servants, are absolutely scandalous.
ParlaMint-FR_2021-02-05-O1153.u283	Exactly!
ParlaMint-FR_2021-02-05-O1153.u284	[[Applause on several benches of the LaREM group]] I tell you, Monsieur de Courson: everyone has a share of the truth; You don't have it all. There are in the prefecture of your department, in all the prefectures of France, in the office of associations, people who cannot answer you; There are good and bad, as everywhere; Some of them are great officials. This sentimental way of dealing with public officials is objectively inappropriate! In addition, I have heard you during the three-year budgetary debates calling for a further reduction in public employment. Wouldn't there be enough in the prefectures from now on? It's a bit of coffee! It is not I who, at the time of the reform of the territorial administration of the state – REATE – and of the general review of public policies – RGPP –, in the era of the reform of the territorial administration of the state – REATE – and of the general revision of public policies – RGPP –, never more so! I was the first of the ministers of action and public accounts, and I am proud to be, in seventeen years, the Prime Minister of the Interior, who has not abolished a single position of public servant in the departments.
ParlaMint-FR_2021-02-05-O1153.u285	That's not true!
ParlaMint-FR_2021-02-05-O1153.u286	[[Applause on several benches of the LaREM and Dem groups]] As for the lessons on the number and capacity of civil servants, you would be nice to make your own self-criticism! [[Mr Charles de Courson protested]] Having said that, I would like to underline the inconsistency of the speakers we have just heard. They are not the same as in the special committee – with the exception of Mr Breton, whose consistency I have already had the opportunity to welcome. Mr de Courson, I am referring to the first three speakers: I have not noticed that you are the centre of parliamentary debates. Your attitude towards the Deputy Minister was particularly inappropriate; allow me to answer you in the same tone.
ParlaMint-FR_2021-02-05-O1153.u287	That's enough!
ParlaMint-FR_2021-02-05-O1153.u288	[[Exclaims on the benches of the LR group]] You don't have to point a finger at me, Congressman. You're attacking officials: again, let their boss answer you.
ParlaMint-FR_2021-02-05-O1153.u289	Mr. President, this is not tolerable!
ParlaMint-FR_2021-02-05-O1153.u290	On the background,...
ParlaMint-FR_2021-02-05-O1153.u291	We're in the back!
ParlaMint-FR_2021-02-05-O1153.u292	[[So what? » on the benches of the LR group]] In substance, Mrs Le Grip, I can read Mr Ciotti's amendments: they are aimed at further tightening the association contract, Mr Hetzel! According to Mr. Le Fur, it is insulting associations to ask them for a Republican contract of engagement. So, what an insult to the officials to make them take the oath!
ParlaMint-FR_2021-02-05-O1153.u293	He's right!
ParlaMint-FR_2021-02-05-O1153.u294	[[Long protests on the benches of the LR group]] You have, however, adopted an amendment by Mr Diard, an amendment for which we voted. If you assume that someone is being offended by asking him for something, why this measure? Don't you trust the officials? Still inconsistency, Mr.Le Fur, towards the local authorities: Mrs.Pécresse, the mayor of Orléans, the president of the departmental council would therefore offend the associations?
ParlaMint-FR_2021-02-05-O1153.u295	It's called free administration!
