ParlaMint-BG_2015-07-21.u1	There is a quorum, I am opening the plenary session. A procedural proposal please, Mr. Kazak.
ParlaMint-BG_2015-07-21.u140	A line? I won't. According to the order of raising your hands, Mr. Zablyanov follows. Stanilov, Yanaki Stoilov, Belemezov. You're giving up, Mr. Zablyanov. I'm going to alternate groups, coworkers, there's a lot of enlisters. Here you go, Mr. Stoilov.
ParlaMint-BG_2015-07-21.u141	Mr. Chairman, ladies and gentlemen of the House! Let us first, before I formulate my proposal, make a clarification on how we are going to proceed. As far as I understand from the importers of the proposal made, which is supported by the Commission, they want to withdraw it. In view of both their will and the procedure, we should be voting for the drop of the paragraph, but my proposal..................... is.......................................................................... 2 to c. 5 and let's vote separately for t. 1. Because t. 1 reproduces what we were discussing a short time ago the unaccepted proposal to establish 40% participation by citizens with electoral rights as a condition for the validity of the referendum. We continue to maintain this position of ours and insist that the assessment of the validity of the referendum be made on its own, not in view of whether it is held together with one election or another, or only a referendum is held. For this reason, if you keep t. 1 of the Commission's proposal, in which I propose to drop the initial part of the sentence, which is when the referendum was not produced at the same time as elections and to remain the text: The proposal covered by the referendum is adopted if the vote took place no less than 40 percent of the voters' citizens and with the "da" have claimed more than half of the voters involved in the referendum. I will not make further arguments, they have already been given. I think the importers of the proposal have also realized how inappropriate what they are proposing, especially in para. 4. Simply put, if we have to add five apples and three pears and divide them in half, these three pears are enough to say that the final result satisfies us. You see, I think that this argument is no longer necessary for us to collect votes for councillors with votes for a referendum from abroad. More conjunctural proposals can hardly be invented. I do not know whether the initiator of the referendum has really suggested these ideas or they are in his service, but I believe that, although lately, the Commission realises, I would say, the ridiculousness of such an approach. We will therefore support the dropping of these proposals. It makes no sense, especially when it is not about parliamentary and European elections, that those involved in these elections serve as a base along with any other supplements or subtractions to determine the required number of voters. Graduating, Madam President...
ParlaMint-BG_2015-07-21.u142	You are making proposals for a separate vote on...
ParlaMint-BG_2015-07-21.u143	Yeah, on t. 1.
ParlaMint-BG_2015-07-21.u144	On the paragraphs of point...
ParlaMint-BG_2015-07-21.u145	Yeah, t. 1 which refers to para. 1 with that partial drop at the beginning of the text, and we support the removal of the rest of the paragraph. Thank you.
ParlaMint-BG_2015-07-21.u146	Thank you, Mr. Stoilov. - What's the line? I won't.
ParlaMint-BG_2015-07-21.u147	Procedure, may I?
ParlaMint-BG_2015-07-21.u148	Procedure!
ParlaMint-BG_2015-07-21.u149	Madam President, honourable Members! I suggest that you end the debate on this proposal, moreover, it has been explicitly stated by the importers that it has been withdrawn. There's no point in having a debate about a withdrawn proposal because...
ParlaMint-BG_2015-07-21.u150	It has been partially withdrawn in general.
ParlaMint-BG_2015-07-21.u151	Yes, it is not supported by the will of an importer. To the extent that we have a Commission decision on legal matters, yes, it is logical that this decision of the Commission should be voted on as it was. I request an end to the debate.
ParlaMint-BG_2015-07-21.u152	Inverse opinion Mr. Slavov.
ParlaMint-BG_2015-07-21.u153	Thank you, Madam President. Colleagues, I'm making a reverse offer. At least there are several colleagues who have signed up, and so far we have only heard one statement. Much longer and irrigation were discussed this morning far less important texts. I would like to draw your attention to the fact that, given these proposals that have stood so far and were not expected to be withdrawn, we have, in practice, not adopted any proposal to reduce the threshold of validity. If we reject this too, it will remain the status quo, which is what it is right now, what it seems to me that no one in this room wants, and the people outside this room don't want at all. That is why I am making this reverse proposal and I am paying attention, Madam President, to your opinion here, too, as far as I am concerned, which amends these proposals, it is permissible without my consent to withdraw it without voting. I didn't give consent.
ParlaMint-BG_2015-07-21.u154	I have announced, Mr. Slavov, that since your proposal is reproduced in a Commission proposal and we have a Commission proposal anyway, I will put it to the vote.
ParlaMint-BG_2015-07-21.u155	It's an editorial proposal.
ParlaMint-BG_2015-07-21.u156	I shall put to the vote the motion to end the debate under Paragraph 8... we shall vote on the procedure. They voted 145 MPs: 101, against 32, abstention 12. The motion is accepted. The debates are closed.
ParlaMint-BG_2015-07-21.u157	Revoting!
ParlaMint-BG_2015-07-21.u158	Here you go, Mr. Popov.
ParlaMint-BG_2015-07-21.u159	Thank you, Madam President. I'm doing a re-voting procedure. The debates had not actually started yet, and this proposal by the President of the Committee on Legal Affairs has ended. In fact, we are now going to adopt some texts, practically a wooden iron. Either there's representation or there isn't. With the proposals on which we ended the debate, we are binding a national issue on a national referendum...
ParlaMint-BG_2015-07-21.u160	You have heard, Mr Popov, that these proposals have been withdrawn, and I hope that, in the vote in plenary, my fellow Members will comply with the fact that they have been withdrawn and there are virtually no such proposals. It's all about the importers all § 8 have withdrawn.
ParlaMint-BG_2015-07-21.u161	Thank you.
ParlaMint-BG_2015-07-21.u162	We are now going to vote on the Commission's version. Mr. Yanaki Stoilov proposed a separate vote on point 1 of the other points on the Commission text for § 8. I shall put this proposal to the vote. Vote 160 MPs: 58, against 80, abstention 22. The offer is not accepted. Come in for a re-vote.
ParlaMint-BG_2015-07-21.u163	Colleagues, I asked for a re-vote because I myself wanted to make such a proposal for a split vote. Now I pay attention to you that if we reject everything, the thresholds will remain the way they are now in the Law. At least 40% to reduce the threshold, as they expect, I would say, a huge part of the Bulgarian citizens, I think a lot of people in this room too. This is at least what we can do after colleagues from GERB have withdrawn the other proposal and will obviously not be accepted.
ParlaMint-BG_2015-07-21.u164	Revoting, coworkers. Vote 162 MPs: 55 against 91, abstention 16. The offer is not accepted. I am now voting on the version of § 8 of the Commission report. The proposal has been withdrawn, but I am obliged to put it to the vote, as this is an amendment of the Commission. We are voting on the Commission's proposal. They voted 163 MPs: 23, against 65, abstentioned 75. The offer is not accepted. Mr. Kirilov, we're listening. Give me some dynamics, Mr. Kirilov. [[Laughter, excitement, single applause.]]
ParlaMint-BG_2015-07-21.u165	Mrs. Chairman, I've taken a reprimand from you. Proposal from the National Representative Georgi Kadiev: A new § 5h is being created: ssssssssssssssssssssssssssssss. In Article 4 (1) (b), point (c) is replaced by the following: 26 the following amendments shall be 1. In para. 2 is created t. 4. "4." concerning the rights of Bulgarian citizens. 2. The creation of para. 5. A local referendum may not reject or contradict laws or decisions of the National Assembly, as well as decisions of the Council of Ministers on matters of national importance. The Commission does not support the proposal.
ParlaMint-BG_2015-07-21.u166	Please come in for a procedure.
ParlaMint-BG_2015-07-21.u167	Procedure. Mr. Chairman, I suggest we put an end to the debate on this text. I am not proposing that we terminate them until the end of the bill, because it is already very much pointless. We have made changes to the Law on the direct participation of citizens in government and local self-government, which do not change anything, except that they allow Bulgarian citizens outside the country to vote in a referendum. I will not comment on the effect of this proposal and the costs for it, so this most important part has been made. There are no other changes to the substance. Here is a proposal from colleagues who offer relief in terms of the conditions for initiating a local referendum, which the Commission has supported, to support it, and to end it more quickly for another five to ten minutes, with this bill. Thank you. I am proposing to end the speeches on this text.
ParlaMint-BG_2015-07-21.u168	Mr. Stoilov, your proposal is premature because the debate on this text has not yet been opened. When we find the debate and there is at least one statement, then, Mr. Stoilov, I will put your proposal to the vote. Colleagues, any comments on Mr. Kadiev's proposal? I won't. I put to the vote Mr. Kadiev's proposal to create a new § 5h, which the Commission does not support. They voted 134 MPs: 21, against 53, abstention 60. The offer is not accepted.
ParlaMint-BG_2015-07-21.u169	Proposal from the National Representative Georgi Kadiev: A new § 5i is being created: § 5i. In Article 4 (1) (b), point (c) is replaced by the following: 27 the following amendments shall be made: 1. In para. 1, t. 1 and the expression "one-five' is replaced by "one-six-six'. 2. In para. 1 t. 3 is amended as follows: "3." An initiative committee with the signatures of not less than one 40th of the citizens with electoral rights who have a permanent address on the territory of the municipality, region or town hall concerned at the time of the entry of the proposal in the register, but not more than 15 000 signatures. 3. Alinea 2 is amended as follows: The Municipal Council shall adopt a decision to produce a local referendum where it is requested by an initiative committee with a signature containing the signatures of not less than one twenty of the citizens with electoral rights in the municipality, region or town hall concerned, but not more than 30 000 signatures, and shall not be contrary to the restriction under art. 26, para. 2, 4. 4. Paragraph 3 is amended as follows: If, within two months of a decision of the municipal council, an initiative committee with a signature containing the signatures of not less than one thirty of the citizens with electoral rights of the municipality concerned, but not more than 20 000 signatures, requested a referendum to be produced to approve the decision, the mayor of the municipality shall set the date of the referendum. The referendum must be produced within two months of the receipt of the request. When elections are expected or another referendum is scheduled within one year of the decision of the Municipal Council, the referendum and the upcoming elections are produced on the same date. The Commission does not support the proposal. A proposal from the National Representative Maya Manolova, made in accordance with the order of art. 80, para. 4 t. 2 of the Rules of Procedure: The Commission supports the proposal. The Commission proposes to establish § 9: ..................................................... In Article 4 (1) (b), point (c) is replaced by the following: 27 the "1." In para. 1, t. 3 the words "one twentyth" shall be replaced by "one thirtyth." 2. In para. 2 the words "one tenth" shall be replaced by "one twentyth."
ParlaMint-BG_2015-07-21.u170	Statements? Since Mr. Kadiev's proposal, which is not supported by the Commission, has there been any who wish to make speeches on it? I won't. I put to the vote Mr. Kadiev's proposals, not supported by the Commission. They voted 119 MPs: 1 against 57, abstention 61. The offer is not accepted. Now a debate on Mrs. Manolova's proposal, which the Commission supports and the rapporteur Mr. Kirilov offered us a specific version. You want the floor, Mrs. Manolova? Here you go.
ParlaMint-BG_2015-07-21.u171	Honourable Members, Madam President! The proposal that I have made and which my colleagues from the Legal Committee supported is to reduce the number of signatures for holding a local referendum on a optional one, which depends on the assessment of the Municipal Council and the compulsory one. I believe that it would be consistent behaviour of the National Assembly if, after reducing the required number of signatures to initiate a national referendum, we also do so in relation to the local referendum. Moreover, people's problems, especially on the ground, in the particular municipality, are of such a nature, that it would be good if they were involved in solving any issue at issue. I think this will stimulate local referendums, this will make the local authorities even closer to the people, that it will work in their interests. And I would be grateful if you would support this proposal of mine. After all, it is in the interests of the citizens of your municipalities. Thus, after we have completed the long examination of this law, there will be at least three things that we have done in reality: one is to vote Bulgarians abroad for national referendums; the second reduction in the number of signatures to initiate a national referendum so that we can say that we have made this relief for people who will want to hold local referendums. Thank you. I have made these explanations to explain that they are consensual and that it is nothing that could possibly be in the interests of one political force or another but is in the interests of the citizens.
ParlaMint-BG_2015-07-21.u172	- What's the line? We are voting § 9 in its version on the Commission report. They voted 115 MPs: 40, against 11, abstention 64. The offer is not accepted. Revoting Mr. Stoilov.
ParlaMint-BG_2015-07-21.u173	Madam President, ladies and gentlemen of the House! We're proposing a re-vote. To remind you that the threshold for organising a national referendum has been lowered from 500 to 400 thousand. It is logical to reduce this threshold for the initiative to hold a local referendum. You haven't changed the terms of validity. This will not happen for local referendums either. It is logical in one direction to develop these anyway, as I have already had the opportunity to say, minimalized proposals that do not create any special conditions for the development of direct democracy, but still not to underestimate the little that has been made and which can be achieved through this proposal. It's a re-vote.
ParlaMint-BG_2015-07-21.u174	It's a re-vote. They voted 114 MPs: 40 against 35, abstention 39. The offer is not accepted. Mr. Kirilov, report the two proposals to Mr. Kadiev.
ParlaMint-BG_2015-07-21.u175	Proposal from the National Representative Georgi Kadiev: A new § 5j is being created: sssssssssssssssssssssssssssssssssss. In Article 4 (1) (b), point (c) is replaced by the following: 30, para. 4 A sentence is created second: "When, within one year of the decision of the Municipal Council, elections are expected or another referendum is scheduled, the referendum and the upcoming elections are produced on the same date." The Commission does not support the proposal. Proposal of the National Representative Georgi Kadiev: A new § 5k is being created: sssssssssssssssssssssssssssssssssss. Article 31 is amended as follows: Art. 31. (1) The municipal council may edit, in consultation with the importers under art. 27, without altering the meaning of the proposal to produce a local referendum issue or questions, as well as their order. If the Standing Committees of the Municipal Council and the importers do not agree on the text and order of the questions within the time limit laid down in art. 30 para. 2, a final decision shall be taken by the relevant administrative court. (2) If the Municipal Council finds that the issue is unlawful, by a reasoned decision it shall refuse the production of a local referendum. (3) The municipal council may, by a reasoned decision, not accept the proposal to produce a referendum, except for the cases under art. 27, para. 2, provided that the requirements of art. 26, para. 2 and para. 5. The Commission does not support the proposal.
ParlaMint-BG_2015-07-21.u176	Statements? I won't. Anblok, we are voting on Mr. Kadiev's proposals for the creation of new paragraphs 5j and 5k, unsupported by the Commission, reminds me of Mr. Tsochev. We vote. They voted 109 MPs: for 4, against 45, abstention 60. The proposals have not been accepted. I'm calling a 30-minute recess. (After the break.)
ParlaMint-BG_2015-07-21.u177	Please allow Members of the National Assembly to enter the Chamber. Please, the Quaestors, invite the parliamentary groups. I expect Mr. Kirilov as rapporteur or someone else to continue on the report.
ParlaMint-BG_2015-07-21.u178	The Commission shall, in principle, support the text of the importer and propose the following version of § 6, which shall become § 10: ..................................................... In Article 4 (1) (b), point (c) is replaced by the following: 34, para. 3 A new sentence is created third: In support of the issue or questions of the referendum and of the alternative position parties, coalitions and committee initiatives can be registered, and the previous sentence third becomes a fourth sentence.
ParlaMint-BG_2015-07-21.u179	Statements? I won't. I shall put to the vote § 10 in its version on the Commission report. Cancel the vote. I'm asking for the roll call list. Aidoan Mutalib Ali - here Ayhan Ahmed Etem - absent Alexander Rumenov Nenkov - here Alexander Hristov Metodiev - absent Aliosman Ibraim Imamov - here Altimir Emilov Adamov - here Ana Georgieva Barakova - here Angel Petrov Naydenov - here Anna Vasileva Alexandrova - absent Anton Angelov Dolapchiev - absent Antony Antonyev Trenchev - absent Atanas Zafirov Zafirov - here Atanas Ivanov Tashkov - here Atanas Petrov Atanasov - here Atanas Slavchev Stoyanov - here Atanas Todorov Merdjanov - absent Ahmed Recepov Ahmedov - here Boyka Grozeva Marinska - here Boris Borisov Stanimirov - here Boris Yankov Yachev - here Borislav Lyubenov Velikov - here Borislav Mihailov Borisov - absent Borislav Raychov Milanov - here Borislav Sabinov Iglev - absent Bunyamin Hussein Hassan - absent Valentin Alexiev Nikolov - here Valentin Ivanov Radev - here Valentin Kirilov Kasabov - here Valentin Lubenov Pavlov - absent Valentin Nikolov Ivanov - absent Valentin Stefanov Vasilev - here Valeri Mirchev Zablyanov - absent Valeri Simeonov Simeonov - absent Vasil Milanov Antonov - absent Velizar Penkov Enchev - here Ventsislav Yordanov Kaimakanov - absent Vili Mladenov Lilkov - here Vladimir Tsvetanov Toshev - here Vladislav Toshkov Nikolov - here Volen Nikolov Siderov - absent Vyara Mikhailova Tzerovska - here Galya Eneva Zaharieva - here Galya Simeonova Georgieva - here Georg Danielov Georgiev - here Georgi Alexandrov Kovachev - here Georgi Ivanov Andonov - here Georgi Nedkov Kuchukov - here Georgi Nikolov Nedev - here Georgi Stoyanov Kadiev - here Georgi Stratilov Svilenski - here Georgi Todorov Bozhinov - here Georgi Chavdarov Anastasov - absent Georgi Chenkov Turnovaliski - here Georgi Yanchev Gokov - here Grozdan Spasov Karadzhov - here Gunay Hewesmen Hughesmen - here Daniel Dimitrov Kirilov - here Daniela Anastasova Daritkova-Prodanova - here Daniela Vladimirova Saveklieva - here Darin Ivanov Dimitrov - here Delyan Alexandrov Dobrev - absent Delyan Slavchev Peevski - absent Desislaw Slavov Chukolov - absent Desislava Valcheva Atanasova - here Desislava Yordanova Kostadinova-Gusheva - here Jevdet Ibrayam Chakarov - here Jayhan Hasanov Ibryamov - here Gemma Marinova Grozdanova - here Diana Ivanova Yordanova - here Dimitar Angelov Gorov - absent Dimitar Andreev Delchev - here Dimitar Boychev Petrov - here Dimitar Borisov Glauchev - here Dimitar Grigorov Shishkov - absent Dimitar Ivanov Gechev - here Dimitar Kirilov Bajraktarov - here Dimitar Krumov Tanev - here Dimitar Nikolov Lazarov - here Dimitar Spasov Dimitrov - absent Dimitar Stoyanov Dubov - absent Dimitar Tanev Tanev - here Dimitar Hristov Zhelev - here Dobrin Nenov Danev - here Dobromir Prodanov Prodanov - absent Doncho Spasov Baxanov - here Dora Ilieva Yankova - here Dragomir Velkov Stoynev - absent Durhan Mehmed Mustafa - here Evgeni Dimitrov Stoev - here Evgenia Biserova Alexieva - here Evgenia Danielova Angelova - here Emil Dimitrov Raynov - here Emil Dimitrov Simeonov - here Erjan Sebytin Ebatin - absent Erdingh Ismail Hajrula - here Zhelyo Ivanov Boychev - here Zhivko Ivanov Martinov - here Zdravko Dimitrov - absent Ivan Valentinov Ivanov - here Ivan Kirilov Ivanov - here Ivan Kostadinov Stankov - here Ivan Penkov Ivanov - here Ivan Slavov Ivanov - here Ivan Stefanov Valkov - absent Ivan Stoev Cholakov - here Ivan Todorov Dimitrov - absent Ilian Sashov Todorov - absent Iliya Yankov Iliev - absent Irena Ivanova Kotseva - here Honest Vasilev Veselinov - here Yordan Kirilov Tsonev - here Kalina Petrova Balabanova - absent Kamen Kostov Kostadinov - absent Katya Nikolaeva Popova - here Kiril Andonov Kotev - here Kiril Boyanov Kalfin - here Kiril Dobrev Dobrev - here Kiril Nikolaev Dobrev - absent Kiril Petrov Tsochev - here Kircho Georgiev Karagyov - here Claudia Georgieva Grigorova-Gancheva - here Korman Yakubov Ismailov - here Cornelia Dobreva Marinova - here Cornelia Petrova Ninova - here Kostadin Ivanov Markov - absent Krasen Georgiev Krastev - here Krasimir Donchev Karakachanov - here Krasimir Iliev Bogdanov - here Krasimir Lubomirov Velchev - here Krasimir Petrov Petrov - absent Krasimir Hristov Yankov - here Krasimira Arangelova Kovachka - here Krasimira Peneva Anastasova - here Christian Ivanov Vigenin - here Kancho Yanev Filipov - here Lachezar Bogomilov Ivanov - here Lachezar Stamenov Nikiforov - here Lyubomir Vladimirov Vladimirov - absent Lyubomir Dimitrov Hristov - here Lutvi Ahmed Mestan - here Magdalena Lambova Tasheva - here Manol Trifonov Genov - here Mariana Vasileva Georgieva-Bancheva - here Mariana Georgieva Todorova - absent Mariana Radeva Boyadjieva - here Maria Shtereva Belova - here Martin Dimitrov Dimitrov - here Martin Stoyanov Ivanov - absent Maya Bozhidarova Manolova - here Menda Kirilova Stoyanova - here Method Borisov Andreev - here Mehmed Umer Ataman - absent Miglena Doykova Alexandrova - absent Milen Vassilev Mihov - here Milena Tsvetanova Damyanova - here Mithat Sabri Metin - absent Mikhail Raykov Mikov - here Miho Dimitrov Mihov - here Musa Cemal Palev - here Mustafa Sally Karadaye - absent Mustafa Fahri Ahmed - here Nayden Marinov Zelenogorski - here Nastimir Ananiev Ananiev - here Nevin Halil Hassan - absent Nelly Ruskova Petrova - here Neno Hristov Vlaikov - absent Nikola Peichev Hadzhiyski - absent Nikolay Veselinov Alexandrov - here Pavel Alexeyev Hristov - here Petar Vladislavov Slavov - here Petar Georgiev Kadiev - here Petar Georgiev Kanev - here Petar Ivanov Petrov - absent Petar Kostadinov Petrov - here Petar Pandushev Chobanov - absent Peter Hristov Bekov - here Peter Hristov Petrov - here Petya Tsvetanova Avramova - here Plamen Veselinov Yordanov - here... There's a quorum. In addition they have entered: Anton Dolapchiev, Ayhan Etem, Anna Alexandrova, Anton Trenchev, Atanas Merdjanov, Valentin Nikolov, Ventzeslav Kaymakanov, Dobromir Prodanov. I shall put to the vote § 10 in its version on the Commission report. Vote 127 MPs: 96, against 26, abstention 5. The motion is accepted.
ParlaMint-BG_2015-07-21.u180	There was a proposal from the MP Borislav Borisov and a group of MPs. The Commission supports it in principle. There has been a proposal from the National Representative Georgi Kadiev to create a new § 6: 6a. Article 41 is amended as follows: Art. 41. (1) The municipal committee for the referendums summarizes the data of the referendum produced and announces the results of the vote. (2) The proposal which is the subject of the referendum is adopted if no less than 25 percent of the citizens with electoral rights have participated in the vote and if more than half of the voters who participated in the referendum have voted in the vote. (3) If the proposal subject to the referendum is not accepted, a local referendum on the same issue may be initiated no earlier than two years from the date of its production. (4) Where less than 25 per cent of the citizens with electoral rights have participated in the vote, but more than 15 per cent of the citizens with electoral rights, and if more than half of those who participated in the referendum have voted in the vote, the referendum proposal shall be submitted to the Municipal Council, which shall, within two months, rule on the matter of the referendum. The municipal council may reject the decision of the referendum by a qualified majority of two thirds of all MPs. The Commission does not support the proposal. There was a proposal from the MPs Anna Alexandrova and Svilen Ivanov to create § 6a. The Commission supports the proposal in principle. A proposal has been made by the National Representative Maya Manolova, made in accordance with art. 80, para. 4 t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission proposes to establish § 11: ..................................................... In Article 4 (1) (b), point (c) is replaced by the following: 41 the following amendments and additions are made: 1. Alinea 2 is amended as follows: The proposal, subject to the referendum, is adopted if no less than 40 per cent of the citizens with electoral rights in the municipality concerned and with the municipality concerned have claimed more than half of the voters who participated in the referendum. 2. A new para is being created. 3: When the referendum was produced at the same time as general elections for municipal councillors and mayors, the proposal under the referendum was adopted if more than half of the real votes cast in the municipality in the municipal councillors' elections were accepted. 3. So far, the Al. 3 becomes para. 4.
ParlaMint-BG_2015-07-21.u181	Statements? I won't. Let's move on to the vote. First of all, I'm voting on Mr. Kadyev's proposal. The Commission does not support it. They voted 126 MPs: 11 against 46, abstention 69. The offer is not accepted. We are now voting on the Commission's proposal for the revision of § 11. Vote 128 MPs: 113, against 12, abstention 3. The motion is accepted.
ParlaMint-BG_2015-07-21.u182	'Concluding provision'. The Commission shall support the text of the importer on the name of the subdivision. The Commission shall support the text of the importer for § 7, which shall become § 12.
ParlaMint-BG_2015-07-21.u183	Are there any speeches, colleagues? Anblock, we vote on the name of the division and § 7 by importer, which is supported by the Commission with a new numbering of § 12. They voted 135 MPs: 104, against 12, abstention 19. The motion is accepted.
ParlaMint-BG_2015-07-21.u184	Proposal from the National Representative Georgi Kadiev: "C § 7' shall be added at the end, with the exception of paragraphs 5a, 5b, 5c, 5d, 5e, 5f, which shall enter into force from 1 June 2016. The Commission does not support the proposal. Proposal by the National Representative Georgi Kadiev for the creation of § 8: ................................................................................... A new § 6: ........................................................... The Central Election Commission shall, by 1 June 2016, adopt the procedures for conducting electronic voting in national referendums and referendums and shall establish an electronic voting system which: - ensure easy and understandable access to electronic voting mechanisms and ways, including easy access for voters with specific physical needs; - offers the voters instructions for the necessary actions in carrying out the electronic vote; - ensure continuous service connection to the electronic voting register; - ensure that only those actively selective and duly registered voters can vote; - ensure that voters who vote remotely will not have additional costs outside the usual internet or digital telephone communication costs; - ensure reliable and rapid identification of the identity of voters; - provides the same volume and quality information for each of the decisions put in a referendum; - ensure the secret of the vote and, respectively, the free volition of voters; - prevent the purchase and manipulation of votes, as well as any other uncontrolled influence on the electoral process; - enables easy navigation of user software; - does not require special skills from the voter other than those necessary for the use of the Internet; - allows the use of standard browsers when voting through internet terminals; - provides the possibility of electronic voice submission for no more than three minutes; - ensure that each voter casts only one vote for each type of choice, and that each vote is stored and counted exactly one time; - conforms to the highest class of standards of quality and sustainability of the equipment and software used; - ensure maximum reliability against external interference and unauthorised access, including against hacking; - in the event of an interruption of the electoral process due to the occurrence of insurmountable external obstacles preserves the voting data and allows its continuation after removal of the obstacles; - enables the summary of the results and their sending in electronic form to regional electoral committees and to the Central Election Commission as soon as the vote is concluded; - ensures the integrity and secrecy of the transferred information through encryption of the data and protection of communication links; - maintain an electronic diary of the electoral process with an indication of all peculiarities and deviations from the intended regime; - ensure easy maintenance of the apparatus and quick removal of the resulting technical malfunctions; - allows monitoring of the electoral process by independent authorised authorities; - allows audit and verification by authorised authorities. The Commission does not support the proposal.
ParlaMint-BG_2015-07-21.u185	Statements? I won't. Anblok, I put to the vote Mr. Kadiev's proposals to create paragraphs 7 and 8, which are not supported by the Commission. They voted 133 MPs: 16 against 61, abstention 56. The proposals have not been accepted. Moving on to the next point: FIRST VOICE OF THE LAW FOR CHANGE AND COMPLIANCE OF THE LAW FOR BANK NON-CONSTITUTION. Mrs. Stoyanova, we're listening to your report.
ParlaMint-BG_2015-07-21.u186	Thank you, Madam President. ♪ I can't believe of the Committee on Budget and Finance on a bill amending and supplementing the Bankruptcy Act, No 554-01-135, submitted by Menda Stoyanova and a group of MPs on 15 July 2015. At a meeting held on 16 July 2015, the Budget and Finance Committee examined the bill mentioned. The meeting was attended by Lazar Iliev and Rosen Angelchev Syndicates of Corporate Commercial Bank (in bankruptcy), Tsvetelina Georgieva The bill was presented by Mrs. Menda Stoyanova. The existing Bankruptcy Act has been in force since 2002. Compared to the banking system nowadays, banks have at that time carried out their activities with a significantly smaller asset and liability and with a smaller number of clients, both investors and borrowers. The development of lending and payment services has led to a significant development of the banks themselves and to an increase in the number of their customers. The time limits and procedures in force for the execution of the powers of the trade union aimed at the fair satisfaction of creditors do not take into account the large number of depositors and other creditors whose rights and legitimate interests should be protected in the opening of insolvency proceedings of a bank. In this sense, the proposed changes are aimed at the use of modern technologies and, in particular, the functioning system of the Commercial Register to create a mechanism for faster informing the depositors and other creditors of a bank in insolvency proceedings of the circumstances relating to the exercise of their rights as creditors of the bank. The current law contains a complex and clumsy procedure for examining creditors' objections to accepted and/or unpaid claims. The procedure implies a personal notification to the opposing creditor and the creditors concerned of the opposition, the holding of an open meeting with the participation of the trade union and a new notification to interested parties of the decision of the trade union. The proposed changes aim at setting up a new procedure for the disclosure of the lists of creditors of a bank in insolvency proceedings and, accordingly, a procedure for the examination of creditors' objections to inclusion or non-appliance of claims on the list to take account of the problems arising from the large number of creditors in the insolvency proceedings of a bank. With the entry into force of 1 January 2007, the Commercial Register Act allowed for public announcement of acts, communications, etc. concerning each of the traders, including the opening of liquidation or insolvency proceedings for the same. The replacement of the current quasi-judicial proceedings before the trade union is envisaged to examine objections to the list of accepted claims in closed session without calling on the parties. The change will not lead to a breach of the rights of the interested parties as the decisions of the trade union are subject to a dispute before the insolvency court. At the same time, the change makes it possible to shorten the time that would normally be necessary for the individual notification of a large number of creditors and in this way to achieve a real acceleration of production. The proposed amendments to the Independent Financial Audit Act introduce a clear vote when deciding to revoke the right to carry out an independent financial audit and to waive the right to carry out audit activities. It is envisaged that the rules, procedures and plans to control the quality of the activity of registered auditors are developed jointly by the Commission for Public Supervision of the Registered Auditors and the Management Board of the Institute of Graduated Accountants, thus aiming to fully implement the relevant supervisory powers of both bodies in accordance with their competences. For non-compliance with obligations under the Independent Financial Audit Act, it is envisaged the introduction of stricter sanctions aimed at achieving a preventive effect on registered auditors to comply with the law, as well as to sanction them in the case of administrative infringements. After a discussion of the bill, a vote was held which ended with the following results:................................ 15 MPs.................................................................................................................................................................................................................... On the basis of the above, the Committee on Budget and Finance proposes to the National Assembly to adopt a bill amending and supplementing the Bankruptcy Act, No 554-01-135, submitted by Menda Stoyanova and a group of MPs on 15 July.
ParlaMint-BG_2015-07-21.u187	Thank you, Mrs. Stoyanova. On behalf of the group of importers, you are in charge. Would anyone like to argue with the report? I won't. Thank you. My fellow Members, I am opening a debate on the proposed bill at first reading. Anyone who wants to make a statement? I won't. I'm closing the debate. First vote on the Draft Law amending and supplementing the Bankruptcy Act, No 554-01-135, submitted by Menda Stoyanova and a group of MPs on 15 July 2015. Voting mode. They voted 123 MPs: for 123, against and abstention there is no. The motion is accepted. Here you go, Mrs. Stoyanova.
ParlaMint-BG_2015-07-21.u188	Thank you, Mr. Chairman. Please put to the vote the period between first and second readings of the bill adopted at first reading is three days.
ParlaMint-BG_2015-07-21.u189	Thank you. A reverse opinion? I won't. We are voting on the procedural proposal. Vote 112 MPs: for 103, against 7, abstention 2. The procedural proposal has been accepted. the following point: PROJECT FOR THE DECISION TO CHANGE THE DECISION OF THE PEOPLE'S COLLECTION OF 29 APRIL 2015 TO ADVANTAGE THE COURT OF AUDITORS TO THE AUDIT OF APPLICATION: EFFICIENCY AND EFFICIENCY OF THE BANKS OF THE BULGARIAN PEOPLE'S BANK FOR THE PERIOD 1 JANUARY 2012 TO 31 DECEMBER 2014 We have a report from the Budget and Finance Committee. Mrs. Stoyanova, you have the floor.
