ParlaMint-BG_2015-09-30.u1	Hey, guys. Good afternoon. Please register. Abort registration. Second attempt.09.10 a.m. (09.11)
ParlaMint-BG_2015-09-30.u114	Revoting, coworkers! The debate is over. Now without emotion, we have to vote. They voted 91 MPs: 23, against 23, abstention 45. The offer is not accepted. Since the proposal is not accepted, I cannot put to the vote an addition to it, and these are the additions of Mr. Yanaki Stoilov and Mr. Velizar Enchev. I put to the vote the proposal of Mr Lutvi Mestan and a group of MPs, which the Commission does not support. They voted 98 MPs: for 7, against 66, abstention 25. The offer is not accepted. I put to the vote the proposal of Mr. Miho Mihov and a group of MPs, not supported by the Commission. Vote 81 MPs: 11 against 4, abstention 66. The offer is not accepted. I put to the vote the proposal of Mr. Zablyanov and a group of MPs, not supported by the Commission. They voted 91 MPs: 13, against 60, abstention 18. The offer is not accepted. We are voting § 1 in its version on the Commission report. Vote 95 MPs: 79 against 1, abstention 15. The motion is accepted. Paragraph 2.
ParlaMint-BG_2015-09-30.u115	Paragraph 2? a proposal from the National Representative Irena Kotseva and a group of MPs. The Commission supports the proposal. Proposal by the National Representative Valeri Jablyanov and a group of MPs. The Commission does not support the proposal The Commission shall, in principle, support the text of the importer and propose the following version of § 2: ..................................................... (1) The provisions of this Law shall apply to evening schools in accordance with the specifics and organisation of training in them. (2) The provisions of Chapter 14 shall not apply to spiritual schools, evening schools, schools to prisons, special schools under art. 44, para. 1, t. 2 and 3 as well as private kindergartens and private schools which do not receive funds from the state budget.
ParlaMint-BG_2015-09-30.u116	Statements? I won't. We are voting on the proposal of Mr. Zablyanov and a group of MPs. The Commission does not support it. Vote 79 MPs: 13 against 55, abstention 11. The offer is not accepted. We are voting § 2 in the version of the Commission report. Vote 81 MPs: 71 against 8, abstention 2. The motion is accepted.
ParlaMint-BG_2015-09-30.u117	Proposal from the National Representative Irena Kotseva. The Commission supports the proposal in principle. Proposal of the National Representative Krasimira Anastasova, made according to the order of art. 80, para 4, item 2 of the Rules of Organization and Activity of the National Assembly. The Commission supports the proposal. The Commission proposes to create a new § 3: .................................................. Professional high schools under art. 38, para. 4 do not include professional high schools financed by the Ministry of Agriculture and Food, and these professional high schools are municipal. The Commission shall support the text of the importer for § 3, which shall become § 4. Proposal by the MP Willi Lilkov and a group of MPs. The Commission supports the proposal in principle. Proposal of the National Representative Snezana Dukova, made in accordance with Art. 80, para 4, item 2 of the Rules of Organization and Activity of the National Assembly. The Commission supports the proposal. The Commission proposes to create a new § 5: .................................................................................. (1) Children's gardens and schools established and conducting training in the Republic of Bulgaria in accordance with the requirements of a foreign country for the purposes of this law shall be aligned to kindergartens and schools operating in the territory of the foreign country concerned. (2) For the results of the training in kindergartens and schools under para. 1 The provisions of Chapter Eight shall apply.
ParlaMint-BG_2015-09-30.u118	Statements? Here you are, Mrs. Bachvarova.
ParlaMint-BG_2015-09-30.u119	Honourable Mr. Chairman, honourable Members. All of a sudden, in the Law, in the Additional Provisions, it is proposed that professional high schools, which are in the composition of the Ministry of Agriculture and Food, become all the Anblok municipal. There has been no discussion or financial analysis. This is also evidenced by the response of the Minister of Agriculture, who answered my question at the beginning of the year that a serious analysis of the activities of professional schools will be carried out. They are 76 in number, at the Ministry of Agriculture and Food, and are in 12 scientific directions in the field of plant farming, livestock farming, forestry, food industry. The aim of the Ministry is to improve their financial situation by increasing delegated budgets and enabling these same professional high schools to improve their base with participation in the Rural Development Programme and the technical assistance for which these schools can be supported. All of a sudden, you're saying they're becoming municipal. My objections are in four directions. Firstly, municipalities cannot provide funding for these schools. They cannot, because their budget in any form cannot be sufficient for their functioning. The experience from 2007 to 2010, when there was a desire of the municipalities themselves to manage such professional high schools, shows that they cannot handle it. There are three or four cases in which with a decision of the Municipal Council the high school was transferred to the municipality and after one or two years it quit because it cannot provide this support which is necessary for the support of these unique, I would say, for Bulgaria educational centers. They're, first of all, in small settlements. Secondly, professionally train future farmers, farmers, conduct training courses, have a very good material base to carry out their activities. All this, transferred to municipalities, creates prerequisites for these schools to disappear and practically Bulgaria to remain one of the countries in which we do not have professionally prepared average personnel to support agriculture. Business has always insisted on developing and supporting these educational centers. But transferring them to the municipalities would, in my opinion, be an extremely gross mistake. In addition, professional high schools are scheduled in the Rural Development Programme with support. When they go to the municipalities, it just won't happen. One resource of the order of 25-30 million, which can go for technical improvement, will fail due to the fact that you will not have a beneficiary who can take advantage of this activity. Further on in the "Transitional and final provisions" I will make my proposal, but it is said that we are transferring the assets of the high schools into the municipalities. However, there is a lack of the concept of agricultural land, because these high schools...
ParlaMint-BG_2015-09-30.u120	When we come, Mrs. Bachvarova, the transversal and final provisions.................................................................................................... we are Please!
ParlaMint-BG_2015-09-30.u121	My suggestion is that you reconsider this. There will be an extremely rude mistake. In most European countries, including France, these high schools are to the respective ministry with the preparation of programmes, with access to European funding. This proposal, made without discussion, by the way, which I say I have an answer from the Minister of Agriculture on these issues, will, in my opinion, really lead to their closure and liquidation. Thank you.
ParlaMint-BG_2015-09-30.u122	Thank you, Mrs. Bachvarova. - What's the line? I won't. Statements? Here you are, Mr. Yanaki Stoilov.
ParlaMint-BG_2015-09-30.u123	Mr. Chairman, Mr. Minister, ladies and gentlemen of the House! After dealing with the reconstruction of history, we now come to the real problems of what are the consequences of adopting a number of texts of this Law, the consequences of which we have constantly warned over the past few weeks. Once again, some will be affected by calling this policy a somewhat liquidation policy in education. Mr. Minister, Mrs. Deputy Minister and all who are authors supporting this Law! A liquidation policy was held in Bulgarian agriculture in the early 1990s under the slogan for democratization and return of ownership, but there is no link between the restoration of ownership and the destruction of structures. Because you say, "We do not remove these schools." You formally do not remove them, but by transferring them entirely to the municipalities, you say that the state will no longer conduct an educational policy in the field of vocational education in the field of agriculture. This is the result of this text. Because one community might think that such a school would be appropriate for her, another would say that she didn't need it. As a result, a gradual majority of these schools will probably be converted into general education, some of them will probably be merged with some other technician, e.g. in clothing and shoes and agriculture, and a third part will be closed. I do not claim that all existing, tens of them, agricultural schools must be state schools, but the state needs several of them, to call them schools of national importance, which are regionally located, which specialize in agriculture, veterinary matters, other activities. We are talking that agriculture should be one of the main priorities of the economy, and the state does not deal with this activity. The Directorate dealing with these issues was closed in the Ministry of Agriculture within the framework of this mandate. Now we see that this carelessness continues and the Ministry is completely no longer interested in the issue. Because here, along with the Minister of Education, it had to be a true Minister of Agriculture to defend this policy and to say: "We will propose, as has been said, another strategy in which to say how many, what schools of state support and government in the field of agriculture will be preserved. The rest of us transfer them to the municipalities and they can decide whether to continue maintaining them as such professional high schools. That's why my proposal is for § 3 to be dropped. Furthermore, § 10 only settles the consequences, but if § 3 fails here, the content of § 10 can be corrected and it can be reflected exactly what I am talking about, the state education policy to cover major sectors. As there is in culture, it is necessary in agriculture, perhaps in another sector.. It should be continued and not like the activities of municipalities, because even the largest municipality is not obliged to be responsible for public policy. It should train people that it believes it needs, and in many cases these activities go beyond the purely local meaning. There come children from different districts, from different municipalities and these schools have a rich material base. One of the consequences, you will see, will be for taking.. Whether you initially toss them the lands they enjoy, because there are great appetites for them by tenants and other people who want to earn subsidies with the development of production and not to be used for training and practice of the children who are in them. Therefore, if you really are reasonable, in this case I think it is a little easier, because it is not so much ideology, but politics, to reject § 3 of the Additional Provisions. Thank you.
ParlaMint-BG_2015-09-30.u124	First line? I won't. Any other speeches? I won't. Mr. Yanaki Stoilov's proposal is not editorial, but I will suggest... [[Reply by National Representative Yanaki Stoilov.]] Relax, Mr. Stoilov. I will propose that we vote on the Commission's proposal to create a new § 3 and then paragraphs 4 and 5 as read to you by the President of the Commission for Education.
ParlaMint-BG_2015-09-30.u125	The motion is to drop out.
ParlaMint-BG_2015-09-30.u126	You have no right to do now...
ParlaMint-BG_2015-09-30.u127	It can be done at any moment.
ParlaMint-BG_2015-09-30.u128	I shall put to the vote the Commission's proposal for § 3. [[BSP LB.]] We are voting § 3, a newly created paragraph. If rejected, this is your proposal. [[Reply by National Representative Yanaki Stoilov.]] Yours is not an editorial motion to drop out. [[Reply by National Representative Yanaki Stoilov.]] You did it on the committee. You have... [[Noise and lines from BSP LB.]] Colleagues, Mr. Stoilov, my proposal is: we are voting to create a new § 3, if it is rejected, this is your proposal, which is accepted, it is quite clear. Even colleagues, if you wish, Mr. Yanaki Stoilov to fall under § 3 unsupported by the Commission. Voting mode. [[Noise and lines.]] Paragraph 3 new to make a proposal by Yanaki Stoilov. [[Heckling]] I said, "Janaki Stoilov's proposal from the stands will be dropped." [[Noise and lines.]] The proposal of the National Representative Yanaki Stoilov, made by the stands to be dismissed......................................................................................... Then we will vote if this is not accepted, the Commission's proposal for a new § 3. Isn't that right, Mr. Stoilov? That's what you wanted. [[Reply by National Representative Yanaki Stoilov.]] Yes, thank you. Vote 67 MPs: 8 against 48, abstention 11. The offer is not accepted. We are now voting on the Commission's proposal to create a new § 3. Abort the vote. [[Noise and lines.]] There are more colleagues who... [[Noise and lines.]] Abort the vote, you'll ask for a re-vote. Take it easy, guys. [[Loud noise and lines.]] Vote 71 MPs: 64 against 7, no abstentions. The motion is accepted. [[Loud noise. Replies: "Not accepted. "]] Under the quorum, yes. That's not acceptable. Here you go.
ParlaMint-BG_2015-09-30.u129	Dear Mr. Chairman, honourable Members! I want a re-vote because our colleagues could not vote. Thank you.
ParlaMint-BG_2015-09-30.u130	Revoting regime, fellow Members, a new § 3 under the Commission. I ask the Quaestors to invite the MPs. Are there any colleagues who didn't vote? [[Noise and lines.]] I won't. Abort the vote. Vote 76 MPs: 66, against 10, no abstentions. The motion is accepted. Please be quiet in the hall. [[Loud noise and lines.]] Mr. Stoilov, if you please, a little peace of mind. My request is that there be no movement in this room, colleagues. We are voting on the Commission proposal for § 4 and § 5. Paragraph 3, which becomes § 4, and a new § 5. The Commission's voting regime. Vote 84 MPs: 76 against 7, abstention 1. The motion is accepted.
ParlaMint-BG_2015-09-30.u131	"Transitional and final provisions." The Commission shall support the text of the importer on the name of the subdivision. The Commission shall support the text of the importer for § 4, which shall become § 6. The Commission shall support the text of the importer for § 5, which shall become § 7.
ParlaMint-BG_2015-09-30.u132	Statements? I won't. We are voting on the Anblok "Transitional and final provisions" - the name of the division, § 6 and § 7 under the Commission. Vote 84 MPs: 74 against 6, abstention 4. The motion is accepted.
ParlaMint-BG_2015-09-30.u133	According to § 6 there is a proposal from the MP Milen Mihov and a group. The motion has been withdrawn. A proposal from the MP Irena Kotseva and a group of MPs. The Commission supports the proposal. Proposal by the National Representative Valeri Jablyanov and group. The Commission does not support the proposal: In § 6 of para. 3 the words "not later than 31 May 2016' shall be replaced by the words "not later than 16 May 2020'. In § 6, para. 4 is deleted; In § 6, para. 5 words in the 2016-2017 school year are replaced by the words until the 2019-2020 school year. Proposal by the National Representative Milena Damyanova, made according to the order of art. 80, para. 4 t. 2 of the Rules of Procedure. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 6, which shall become § 8: ................................................................................... (1) The secondary schools, secondary schools, secondary schools and vocational schools under art. 26, para. 1, t. 2, 4, 6 and 8 of the repealed Law on People's Education continue to operate under this law, respectively as primary schools, profiled schools, secondary schools and vocational schools. (2) The schools of healing which have entered into force at the time of the entry into force of the law shall continue to carry out their activities as secondary schools. (3) Proposals for transformation of the welded to the entry into force of the Law municipal primary schools under art. 26, para. 1, t. 3 of the repealed Law on People's Education in schools under art. 38, para. 1, t. 1 of this law may be imported year-round, no later than 31 May 2017. After that period, the proposals for conversion shall be submitted subject to Chapter eighteen. (4) The primary schools under art. 26, para. 1, t. 3 of the repealed Law on People's Education can be converted into unified schools under art. 38, para. 1, t. 4 of this law after analysis and opinion of the Regional Management of Education and decision of the respective municipal council. (5) The proposals for the conversion of the schools under art. 26, para. 1, t. 5 of the repealed Law on People's Education with a profile Natural Mathematical and Humanitaren, which carry out admission in V grade, in schools under art. 38, para. 1, t. 5 of this law shall be imported at the request of the school and under the conditions of para. 3. (6) The primary and secondary schools who entered into force of the Law shall have the right to conduct training in the VIIIth grade in the academic year 2016-2017 and to issue a certificate of primary education. (7) The schools under art. 26, para. 1, t. 5 of the repealed Law on People's Education with a profile of the Natural Mathematical or Humanitaren and with a admission in the V class have the right to continue teaching in V, VI and VII classes of students who were adopted before the entry into force of the law. (8) The employment relations of the employees from the transformed schools under para. 1 shall be settled according to art. 123 of the Labour Code.
ParlaMint-BG_2015-09-30.u134	Statements? I won't. First, we vote on the proposal of the MP Valeri Zablyanov and a group of MPs, not supported by the Commission. 90 MPs voted: 12, against 67, abstention 11. The offer is not accepted. We are now voting § 6 which becomes § 8 on the Commission. Vote 85 MPs: 78 against 6, abstention 1. The motion is accepted.
ParlaMint-BG_2015-09-30.u135	According to § 7 there is a proposal from the National Representative Valeri Zablyanov and a group. The Commission does not support the proposal: The words "Mathematics schools" shall be added after the words "in the arts." Proposal of the National Representative Milena Damyanova, made according to the order of art. 80, para. 4 t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 7, which shall become § 9: ..................................................... (1) The state and municipal professional high schools which have been entered into force by the Law continue to carry out their activities as state schools, respectively as municipal schools under art. 38, para. 2, p. 2. (2) By 1 November 2016, the Council of Ministers shall, on a proposal from the Minister of Education and Science by decision, announce the state and municipal schools under art. 26, para. 1, t. 1-7 of the repealed Law on People's Education, which are of national importance within the meaning of art. 38, para. 9 of this law. The decision shall be published in the Official Journal of the European Union. (3) With the decision under para. 2 municipal schools are declared state schools. (4) With effect from 1 January 2017, the public schools, with the exception of the public schools under para. 1 and 2, auxiliary schools, schools of art. 43, schools of arts, schools of culture and public sports schools, become municipal schools and are financed by the budgets of the respective municipalities. (5) The working relationships of the employees in the schools under para. 2 and 4 shall be settled in accordance with art. 123 of the Labor Code. (6) Provided before the entry into force of the Law of the Schools under para. 4 properties of public state property, from the date of entry into force of the Law, are transferred to the property of the municipality, in the territory of which they are located, and become public municipal property, and the property of the State property becomes the property of the municipality financing the school. (7) The properties and belongings under para. 6 are provided for the management of the school which managed them until the entry into force of the Law and are used only for the purposes of the educational process, without changing their purpose. (8) When the headquarters of the school managing the properties under para. 6 at the entry into force of the Law, is outside the territory of the municipality, which acquires them after its entry into force, the municipality's acquirer provides the properties for the management of schools financed by it.
ParlaMint-BG_2015-09-30.u136	Thank you, Mrs. Damyanova. Statements? I won't. We are voting unsupported by the Commission a proposal by Valeri Zablyanov and a group of MPs. Vote 81 MPs: 8 against 61 abstentions 12. The offer is not accepted. We are voting for the version of § 7 on the Commission, which becomes § 9. They voted 83 MPs: 76, none, abstention 7. The motion is accepted.
ParlaMint-BG_2015-09-30.u137	Proposal of the National Representative Krasimira Anastasova, made according to the order of art. 80, para. 4 t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission proposes to create a new §10: ..................................................... (1) The professional high schools financed by the Ministry of Agriculture and Food became municipal until the entry into force of the law. (2) Provided until the entry into force of the law of the professional schools under para. 1 properties and belongings continue to be used to secure their activities under this law. The Commission shall, in principle, support the text of the importer and propose the following version of § 8, which shall become § 11: ..................................................... The Bulgarian kindergartens and schools with foreign participation shall continue to carry out their activities as state kindergartens or schools within the meaning of art. 35 para. 2, p. Art. 2 and Art. 2 43. c. 4.
ParlaMint-BG_2015-09-30.u138	Thank you. Statements? Here you are, Mrs. Bachvarova.
ParlaMint-BG_2015-09-30.u139	Dear Mr. Chairman, honourable Members! After eliminating 76 professional high schools, where 28,000 students are taught, you continue with this text, giving prerequisites for them to be liquidated in the first year. Because the recording in the text shows that they're being transferred to the municipalities, notice, properties. But these high schools do their work on agricultural land. They are trained on agricultural land along with the equipment and building fund they have. The transfer of the building fund alone will not create any opportunities for vocational training, including in municipalities that will be willing to continue the work of these schools accordingly. [[Reply from rapporteur Milena Damyanova.]] My particular proposal for the editing of § 10 is in para. 2 after the words "al." 1 "Include agricultural land, real estate. If you do not do this, the main question remains for me that these high schools are being liquidated because of agricultural land. It is a third or fourth attempt that the land given by order of the Minister of Professional High Schools should be taken away and given to those who have the greatest interest in processing the land.
ParlaMint-BG_2015-09-30.u140	One more time in which paragraph?
ParlaMint-BG_2015-09-30.u141	In the new § 10, para. 2, after the words................................................................................................ 1 "To add the land of agriculture and then continue the text: the land of agricultural land of agricultural land of agricultural land of agricultural land of agricultural land of agricultural land of There are over 35,000 acres of land in the same professional high schools. Believe me, what you're doing...
ParlaMint-BG_2015-09-30.u142	They're real estate.
ParlaMint-BG_2015-09-30.u143	No, it's not real estate. It's the Minister's orders. This isn't high school property. This is by order of the Minister of State Land Fund, provided for the implementation of the activity free of charge. If you don't turn it on, it means that that 35,000 acres of land will not be granted to professional high schools in any form. This means closing in the first year of the training activity. Do you understand? You are mistaken about your property is property, with the agricultural land ordered by the minister by order. My proposal is that you have a professional high school or a school that has five thousand acres of land. These five thousand acres are automatically transferred to the respective municipality and professional high school. The other means absolutely lobbying text, absolutely! Because behind this land, really, the interest is enormous. I've been Deputy Minister for four years, and I know what efforts were made to take the land away from professional high schools. Everyone in their districts has a school like this.
ParlaMint-BG_2015-09-30.u144	Thank you. First line? I won't. Any other speeches? Here you go, Mr. Stoilov. Colleagues, please be quiet in the hall.
ParlaMint-BG_2015-09-30.u145	Mr. Chairman, Mr. Minister, ladies and gentlemen of the House! By § 10, we continue the discussion of § 3. I want to tell you why this paragraph is contrary even to what you have adopted in § 9. Because in § 9 you have allowed the possibility to have state professional schools. Such exist at the moment, except in arts and sports, to which you have additional attention. I ask: why is it that, since the state does not completely refuse to maintain state vocational schools, only in the sector of.................... she says that there can be no state education policy, and all this should go to municipalities? I see neither management nor formal logic in such an approach. In order to avoid this discrepancy, Mr. President, I propose an amendment which could be perceived as admissible and the text of § 10 2 in para. 1 read as follows: The professional high schools financed by the Ministry of Agriculture and Food, under the list of the Minister of Agriculture and Food, remain state schools until the entry into force of the Law. From this text, if it is adopted, it follows that the Minister of Agriculture can review all the existing professional high schools, to consider that some of them are not necessary. 2, which preserves their property and land they use, and in a more limited number of these vocational schools, as well as other sectors, will be able to continue to exist as an element of state education policy in the field of agriculture. Consider once again this is the last opportunity to avoid a big and difficult error in time. This is my addition, which, through this editing, changes the meaning of the text with post-food inclusions and the list of the Minister of Agriculture and Food remains state-owned.
ParlaMint-BG_2015-09-30.u146	Thank you. Third line? I can't see. Any other speeches? I won't. First, we are voting on the proposal for an amendment to the new § 10 proposed by the Commission in para. 2, after the second row: 1 "Agricultural land" is added and follows: "Moments and belongings." Isn't that right, Mrs. Bachvarova?
ParlaMint-BG_2015-09-30.u147	Yeah.
ParlaMint-BG_2015-09-30.u148	That is, we add the agricultural land and then follow the properties and belongings. We vote on Mrs Bachvarova's proposal in this text. Vote 84 MPs: 80, none, abstention 4. The motion is accepted. I put to the vote the proposal of the MP Yanaki Stoilov, which he proposed in the proposal of the Commission § 10, para. 1............................................................................................... This is the proposal of the MP Yanaki Stoilov. Isn't that right, Mr. Stoilov?
ParlaMint-BG_2015-09-30.u149	Yeah.
ParlaMint-BG_2015-09-30.u150	Voting regime, fellow Members. They voted 85 MPs: 20, against 47, abstention 18. The offer is not accepted. Mr. Stoilov is proposing a re-voting procedure.
ParlaMint-BG_2015-09-30.u151	Dear Members of Parliament, I do not underestimate that you know what we are voting for. I'm using the revoting procedure to rethink your vote. Often, some are angry that strong words are used in this room. What words should we use when you return us further back than the first half of the 20th century in which the Bulgarian state had such schools? Where are you going in the 19th century and what words should we use, Mr. Atanasov? I'm asking for a re-election procedure.
ParlaMint-BG_2015-09-30.u152	Dear colleagues, re-voting regime. I will repeat: we are voting on a proposal by the National Representative Yanaki Stoilov in § 10, para. 1 after the countries to be added by the list of the Minister of Agriculture and Food, remain state-owned. Dear colleagues, re-voting regime. Vote 87 MPs: 20, against 54, abstention 13. The offer is not accepted. We are now voting on the Commission's proposal to create a new § 10 with the proposal adopted in the Chamber by the MP Svetla Bachvarova: after para. 1...................................................................................... 2 of § 10 to be added to the agricultural land. We are voting on § 10, proposed by the Commission, with the supplement voted on in this House - agricultural land. Vote 88 MPs: 80 against 6, abstention 2. The motion is accepted. Honourable Members, we are now voting on the Commission's proposal for § 8, which becomes § 11.
ParlaMint-BG_2015-09-30.u153	90 MPs voted: for 89, against none, abstention 1. The motion is accepted.
ParlaMint-BG_2015-09-30.u154	Under § 9 there is a proposal from the MP Irena Kotseva and a group of MPs. The motion has been withdrawn. Proposal by the National Representative Valeri Jablyanov and a group of MPs. The Commission is not in favour of the proposal......................................................................................................... Proposal by the National Representative Galya Zaharieva, made in accordance with art. 80, para. 4 t. 2 of the Rules of Procedure. There's a technical pass here. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 9, which shall become § 12: ................................................................................... (1) Hospital schools entered into force of the law shall be closed as from 1 January 2017 or converted into personal development support centres by order of the mayor of the municipality after a decision of the municipal council. (2) By the order under para. 1 shall be defined as the activity referred to in Article 1. 49, the headquarters and the management address of the centre concerned. (3) The working relationships of the employees from the transformed centres under para. 1 shall be governed by art. 123 of the Labor Code. (4) Students from closed hospital schools during the period of treatment shall continue their training under the conditions and under the procedure of art. 111 or 112. (5) The property and property provided for the management of hospital schools shall be owned by the Ministry of Education and Science, respectively in the management of the municipality in whose territory they are located. (6) The compulsory documentation of closed hospital schools shall be kept in the relevant regional management of education or at a school specified by the head of regional management of education.
ParlaMint-BG_2015-09-30.u155	Statements? Here you go, Mr. Mirchev.
ParlaMint-BG_2015-09-30.u156	Dear Madam President, dear Minister, honourable colleagues! Our proposal is this. We're against the eradication of hospital schools. As you can see, this Law has been a wholeheartedly liquidating schools one after the other. Here's my personal request...
ParlaMint-BG_2015-09-30.u157	An imprecise statement, Mr. Mirchev.
ParlaMint-BG_2015-09-30.u158	My personal request to Minister Tanev is to give at least an opinion that one after another the different types of schools are being liquidated. Thank you.
ParlaMint-BG_2015-09-30.u159	Tell me how many there are and who there are!
ParlaMint-BG_2015-09-30.u160	- What's the line? Here you go.
ParlaMint-BG_2015-09-30.u161	Dear Madam Chairman, Mr Minister, colleagues! I'm against the word used by my colleague. Each text of our Final Provisions says that we close and convert, we find as another type of institution, because there is no terminology for there to be no closure in order to find the other structure. So please stop fooling around with the fact that we're shutting down schools.
ParlaMint-BG_2015-09-30.u162	- What's the line? I won't. The debate is closed. I put to the vote the proposal of Mr. Jablyanov and a group of MPs. The Commission does not support it. Vote 85 MPs: 12, against 59, abstention 14. The offer is not accepted. We are voting § 12 in the version of the Commission Report. Vote 82 MPs: for 73, against 5, abstention 4. The motion is accepted.
ParlaMint-BG_2015-09-30.u163	According to § 10, there is a proposal from the MP Stanislav Stanilov. The Commission does not support the proposal s § 10 is hereby repealed. A proposal from the MP Boyka Marinska and a group of MPs. The motion has been withdrawn. A proposal from the MP Borislav Velikov and a group of MPs. The motion has been withdrawn. A proposal from the MP Svetla Bachvarova and a group of MPs. The Commission does not support the proposal. It is identical with the proposal of the MP Stanislav Stanilov: The following changes shall be made in the transitional and final provisions: 1. Paragraph 10 is out. 2. Paragraphs 11 to the end shall change their numbering accordingly. A proposal from the MP Milen Mihov and a group of MPs. The motion has been withdrawn. A proposal from the MP Irena Kotseva and a group of MPs. The Commission supports the proposal in principle. Proposal by the National Representative Valeri Jablyanov and a group of MPs. The Commission is not in favour of the proposal........................................................................................................ Proposal of the National Representative Galya Zaharieva, made in accordance with art. 80, para. 4 t. 2 of the Rules of Procedure. The Commission supports the proposal. The Commission does not support the text of the importer and proposes the following version of § 10, which becomes § 13: ...... 13............................ 13. (1) Within one year of the entry into force of the Act, the auxiliary schools shall be converted into state and municipal centers for special education support, by order of the Minister of Education and Science, issued under the terms and conditions of Chapter eighteenth, Section I. (2) By the order under para. 1 shall be defined as the activity referred to in Article 1. 49, the headquarters and the management address of the centre concerned. (3) The working relationships of the employees from the transformed centres under para. 1 shall be governed by art. 123 of the Labour Code.
ParlaMint-BG_2015-09-30.u164	Statements? Here you go, Mr. Stoilov.
ParlaMint-BG_2015-09-30.u165	Madam President, Mr Minister, ladies and gentlemen of the House! We are already going to the final chords of this Law, which, I'm afraid, instead of solving the problems of education, will deepen them. In this paragraph, as you want to be precise, you are not shutting down certain educational structures, but transforming them, only that they are no longer schools, but they are becoming ancillary forms which must, in part, continue to solve the problems of children with disabilities in this case. This is our difference?? Should some of these schools continue to create an appropriate environment for children for as long as possible from the day where they are trained, cared for and receive additional support for their personal development, expressed in modern, correct political language? But here you are saying that within one year from the entry into force of the Act, the auxiliary schools are converted into state and municipal centers for special education and that is, there will be no more auxiliary schools. Yeah, and that confession has to sound. Even I had some hope with what you voted in § 9, para. 4 I do not know whether it is conscious or a mistake, but there you have excluded the auxiliary schools from closing, which goes with the state specialized schools, because you say they will stay. That is to say, this is the only place that continues to contain the term "help school'. I hope that for this straw some of the people who work in the field of specialists, pedagogists, rehabilitators, parents, and until the deadlines for the implementation of the Law are met, the liquidation that has begun will not be fully carried out. We are opposed to what is written in § 13, because it seems that pό consistently expresses your intention, which is also contained in other provisions of the Law. These are the reasons for our concern. And we try, as you can see, to the last moment to correct the provisions so that the problems in Bulgarian education do not deepen. It remains in these final texts for you to decide whether today the joy of completing the Law will be satisfactory enough for you, or whether you will think about the consequences after the Law enters into force. Thank you.
ParlaMint-BG_2015-09-30.u166	- What's the line? I won't. Any other MPs? I won't. The debate is closed. I put to the vote the motion to reject § 10 from the MP Stanislav Stanilov, from Svetla Bachvarova and a group of MPs, and from Valeri Zablyanov and a group of MPs... The Commission does not support the rejection of this paragraph. Vote 87 MPs: 12, against 60, abstention 15. The offer is not accepted. We are voting § 13 in the version of the Commission report. Vote 84 MPs: 74 against 7, abstention 3. The motion is accepted.
ParlaMint-BG_2015-09-30.u167	The Commission shall support the text of the importer for § 11, which shall become § 14. Paragraph 12 "A proposal from the National Representative Valeri Zablyanov and a group of MPs. The Commission does not support the proposal: In § 12, the words "until the school year 2016' are replaced by the words "until the school year 2017'. The Commission shall support the text of the importer for § 12, which shall become § 15.
ParlaMint-BG_2015-09-30.u168	Statements? I won't. I put to the vote the proposal of Mr. Zablyanov and a group of MPs for the revision of § 12 which the Commission does not support. They voted 83 MPs: for 7, against 61, abstention 15. The offer is not accepted. We vote on paragraphs 14 and 15 on the Commission report. Vote 85 MPs: 80 against 4, abstention 1. The motion is accepted.
ParlaMint-BG_2015-09-30.u169	Proposal by the National Representative Valeri Jablyanov and a group of MPs. The Commission does not support the proposal: ..created § 12a: 12a. The full-time organization of the school day under art. 101 is introduced in the 2015 school year for students in the VI class and started in the following classes in each subsequent school year.
ParlaMint-BG_2015-09-30.u170	Statements? I won't. We are voting on the proposal of Mr. Zablyanov and a group of MPs, not supported by the Commission. Vote 81 MPs: 8 against 57 abstentions 16. The offer is not accepted.
