ParlaMint-NO_1998-12-15-2.ana.ud360e26	We will continue in the debate on the 3th Framework Ministry of Culture.
ParlaMint-NO_1998-12-15-2.ana.ud360e864	It is true that the opposition likes to promote the areas we disagree with, and argues for their own view, rather in the face of criticism from the other party. That is the way it should be in a democracy. Any government and any Council of State shall have a corrective action. However, from time to time it may be appropriate to say something positive about each other, not just because it is soon Christmas. I would like to highlight the positive aspects of the debate by the fact that the museum sector has been protected from the cutting knife and actually receives a real increase in appropriations. 9 pst. increase will be good in a cultural area where the tasks are large and numerous. The Minister for Culture deserves praise for this priority. Among the museums, Stortinget has repeatedly paid special attention to the technical-industrial cultural memories, as well as this time. A unanimous committee refers to these cultural memories and assumes that they too will receive an increase in the allocation of 9 pst. and there will be earmarked funds as before. I take it as a matter of course that the department follows the committee. I would also ask the Minister of Culture to consider whether these museums should now be accommodated with their own publicity and their own place in the budget. They deserve the fires that have stood behind and ensured that today we have at all such valuable cultural memories as this is about. They each represent in their own way a part of our story that we are neither allowed nor able to afford to go in the forgetbook. After just a short period of time in the cultural committee, I would like to stress the importance of the announced museum message being as thorough as possible. Among other things, the status of the various museums must be carefully assessed. It is important that the message draws up a museum policy that we can live with for a few years, and that the thousands of fires around the country can deal with. Because there is not a small municipality in this country with respect for itself that has not at least three-four museums within its borders, and very many of them naturally want a place on the state budget. There's at all a tremendous creativity in this area across the whole country. In my view, the Ministry faces a very difficult, but nevertheless important, sorting task in the preparation of the notification. I would like to point out the importance of the Ministry addressing the issue of empowerment in this sector as well. I also think it's a lot to get through a conscious cooperation between the many similar museums, where you can draw on each other's experience and competence. There is every reason to wish the ministry good luck with the work. Work is urgent, but the quality of work is most important. We don't have any work done in the hurry. Forgive me that I also make a comment on a matter from my own county, namely the one dealing with the establishment of a music theatre in Bodø. The Committee minus the Progress Party requests that it: ‘estimated whether this project may be included in the future operating model for the distribution of opera’. It will undoubtedly help to consolidate the understanding of opera as an only start in this part of the country. I hope the department will take a good look at this and follow it up.
ParlaMint-NO_1998-12-15-2.ana.ud360e884	I noticed that the representative Oddbjørg Ausdal Starrfelt was not happy that there was nothing more going on at the Rogaland Theatre. I then assume that the representative Starrfelt has not read what is in the comments, and therefore has not noticed that there is no world's things more from the Labour Party than it says from a collective committee. We are well aware that the situation is very poor there, including the working environment, not least. a 1919 workshop, which is now to occupy three scenes instead of one, and is from a time when environmental requirements are quite different. We know that it has been working on this for many years, and that there is work going on to improve this. At the same time, expenditure has increased from 22 million. kr to more than fifty-five mills. kr. One must be in control of this. In the supplementary proposal, one will see that one will come back to this spring 1999, and a joint committee suggests that the Government will return to the construction business when managing next year's government budget. Then I think it's quite strange that one comes here with criticism, when one doesn't have any better suggestions himself. I think you have to start reading what's written, if you're going to criticize. I hope this will work out next year. I know that Rogaland Theatre understands this and is content with it in the situation that it is now.
ParlaMint-NO_1998-12-15-2.ana.ud360e895	I feel the need to make a clarification following the statements made by the representative, Bekkelem Orheim. Based on something that has stood in the Sunnmørspost today, it would be like that I have stood up and called the Sunnmøringen both greedy and “Greek”. I find nothing in the article that indicates that the undersigned has said something like this or similar. I have a long way from the "Greek" sunmers, but it may be that I have suggested that they are a little bad to swim – the one who understands what's in it! In the case of the Youth Centre, it is a bit polite that those who were initially opposed, among other things. The representative, Bekkemelm Orheim, has now signed up for the fight to be at the forefront of the Youth Centre. The reason why we are opposed to proposal No. 20, we see that our majority comments cover the interests of the Youth Centre. Funding has also been made available to the Youth Centre for 1999. What we want to clarify more is the question of funding. There was something vague in the last meeting we had, and we would have a better explanation of that. And as stated in the majority remarks, we want it to be in place when the 2000 budget is to be examined. Nor have I been given any clarification in relation to the majority proposal on press support. The undersigned also sees that in the joint comments we cover what is referred to in the proposal. I would recommend the representative Lånke to draw up the proposal, if it does not come to a better conclusion as to what is the intention of the proposal. I have asked both the representative Lånke and the Council of State what they put in ‘political governance of the media’. I haven't been given any clarification about it, and I'm terribly afraid, from the last Council of State said here, that there are some newspapers that are now to be pointed out. This is not in the interest of the Progress Party, for there is too much political governance.
ParlaMint-NO_1998-12-15-2.ana.ud360e904	I had actually asked for the word just to give a brief explanation of vote on what is left of proposals. But since the representative Sandberg challenges me, I want to repeat what I have said, that on our part it is primarily to do to maintain support for newspapers to ensure diversity, freedom of expression and the consumption of newspapers. I can't see that's the same thing as driving political governance. I mentioned the word objective criteria, and that is what we are together with the Progress Party and the Right, in the joint comments of the Government, which are to be used as the basis for the device on the press stand in the future after the cut. I do not intend to draw the proposal that I have made on behalf of the four parties. It was a bit sudden, but I would like to urge the representative Sandberg to take it positively when I say that it is not a desire to run the political control of the newspapers. As an explanation of vote on this proposal, I would just like to refer to what I myself said earlier today, and to the comments that we are together on in the vote, as well as our minority comments, which we had the understanding that we could put next to the majority remarks in the chapter under the press support. Otherwise just cards to two other suggestions, which we have not given notice of. It concerns proposal No. 21, from Grethe Fossum on behalf of the Workers' Party, which I would also ask the representative Fossum to convert into a transmission proposal. If not, we will have to vote against it. The reason is, in particular, that there is a ramification of several states, and we have difficulty in proving all that is in this proposal, while it is also unnecessary for us to instruct the Government at this point. As regards the last proposal, paragraph: 22 I will advise the representatives of the Christian People's Party to vote against that proposal.
ParlaMint-NO_1998-12-15-2.ana.ud360e920	The representative, Bekkelem Orheim, was shocked by today's look-up at the Sunnmørsposten. After reading carefully what I myself am quoting, I have no problem standing in for what is written there. But I expect the representative Orheim to be out to confirm that the Right still supports the establishment of a youth centre. There's no doubt about it. We have written a note on this that says clearly that the government must come back with this project at the next year's government budget. What happened to the meeting we had with the Youth Centre was that they presented their plans, plans that we had already been presented for. We did not get any further clarification of the funding, and we received a very clear recommendation that either it had to be granted 6-8-9 million. kr, otherwise it could be the same. We're doing a lot of different things in the cultural committee, but we haven't started the trunking yet. It was impossible to get those funds this year. I think the Labour Party also sees that, because they haven't been able to find room for it either. But to the Youth Centre, I would like to say that it is a very positive project that I hope can be realised, but then it is probably also necessary for the Government to go into the project and get it into the state budget. Otherwise, there are a lot of other good projects that you could of course also mention. As a small explanation of vote on the two cultural proposals from the Workers' Party, I would like to say that I support what Mr Lånke has said. We're asking for a transmission. If not, we must unfortunately vote against it, although of course it pains me greatly, as a representative from Buskerud, to say that we will not vote for Busherud to be given special priority among other states. But in this context, I can mention that Buskerud has various projects in progress. We have a project in Drammen called Regional Cultural Workshop, which is developing positively. We have a museum project at Labro in Kongsberg that has an absolute potential, and is about to put in place a number of plans that are positive and that are already in the state budget with project funds. This project at Labro we also hope to be able to come back to next year, and I expect that the Workers' Party, which has now so well mentioned Buskerud several times, will be able to pull the load when we are going to deal with this until next year.
ParlaMint-NO_1998-12-15-2.ana.ud360e930	I have received a number of questions that I will try to answer. First to the representative Sandberg, that there should be political control of the cut on the press support. Let me make it clear that there are three categories of newspapers that get press support. It's the nationwide opinion papers, no. The 2 newspapers and the local newspapers. Of course, amendments to regulations that we will look at until January-February will also be directed towards groups of newspapers and not individual newspapers. Otherwise, I would like to say that in the case of the Financial Newspaper, there has been a case that we have won in the Law of Law, and that the Royal Highness Committee has now rejected. So to Alstad and his articles about rock. That post is not quite clear to me. But let me make it clear that the State Consultant has not proposed to reduce the number of grant schemes in a way other than that they propose to merge all the schemes and add them to the Rikskoncerts. We have not agreed to merge them, because they are different, have different target groups, and this is also in my opinion to follow up the Storting intention. It is not Norway’s network that is strengthened if one is to follow up on the note. There is essentially one actor, namely GramArt, who will receive a reinforcement after this. However, I understood the representative Alstad that the intention was to improve the arrangements. What we've seen now is that the reactions to the comments are quite strong in the environment. But I believe that we can work on this from the department to get good arrangements, both for the entire Norwegian rock community and also for the composition of a distribution committee, to take account of the practitioners. But I can't imagine anyone thinking that all the practitioners should be represented in a distribution committee. It will be a rather hopeless matter to make decisions, I think. It's important to build on the good experience that we also have. But I would like to come back to the majority who are behind this committee comment to see if we can figure out what was actually meant by it, and how we can make arrangements that are satisfactory. As for Grete Knudsen's posts on the press, the importance of language, democratic development and questions related to TV2, I would say that TV2 has asked for negotiations on extended concession, and of course we will answer that in the new year. As regards dialogue with the press, I can inform you that after the big cut became known, we immediately contacted the two organisations and have had conversations with them. I agree with the importance and the need to have more stability and long-termity in the framework conditions. Otherwise I have to ask again to answer two other questions.
ParlaMint-NO_1998-12-15-2.ana.ud360e947	The President has noted that.
ParlaMint-NO_1998-12-15-2.ana.ud360e950	I have to take the floor to clear up a misunderstanding that Per Sandberg was guilty of in his previous post. The representative Per Sandberg has clearly misunderstood my commitment and position with regard to the Youth Centre. I have never opposed the establishment of a youth centre in Ålesund. What I haven't done is go strongly on the track and guarantee millions to such a center. I have instead tried to work constructively within my own party to get funds and to get the majority in place. One cannot magic, says the representative Trond Helleland, and it does not expect the Workers' Party either. But the issue of the Youth Centre is a demonstration of the difference between life and learning from the centre, the Progress Party and the Right. One thing was to campaign in opposition. Something else is now that economic reality has finally become more common in this room.
ParlaMint-NO_1998-12-15-2.ana.ud360e957	I have another question that I hope the Council of State can answer in the next round. As far as I've understood it in the media, the Council of State has stated that she wants to shield the meaningful newspapers and locals from squabbling. Is that so to understand that no. The two newspapers out in the country are the ones that are going to take the whole cut? There must be an important message for them to get. Then to the representative of Unn Aarrestad. I've read the budget. I know that the frame is reduced relative to what was the government's proposal. In addition, there is a reduced pressure support of 35 million. kr. That is, in the Labour Party, we were also unable to find room for more money for Rogaland Theatre. But I am pleased that we have agreed that something has to happen, and that the Council of State has previously, in reply to a written question, expressed its satisfaction and positive opinion that something has to be done for Rogaland Theatre, because there is a pain limit going on.
ParlaMint-NO_1998-12-15-2.ana.ud360e964	Let me answer the last one first. I have not said that you should protect meaningful newspapers and local newspapers. On the contrary, I have said that this is a problematic cut, and that everyone will notice it. But we have to look at the distribution and go through the regulations. We will do that in such a way that it is clear in January-February. When it comes to Rogaland Theatre, I'm impressed with this theater, and I see an absolute need to do something there. But it's also a construction thing that has a somewhat striking history, and that I see the need to go deeper into, and that I've promised to come back to Stortinget with it for spring. As far as the Youth Centre is concerned, it has been said enough about it. We will also continue to work on that. I have to say that I do not understand the wording that was about me in the Sunnmørspost on that matter. I didn't grab in at all and stopped it, but just specified what were the actual conditions. To Grete Fossli, who asked about Spillum and Neptune, I would like to say in a letter from me to the Committee dated 19 November that six of the eight technical-industrial cultural memories in 1997 and 1998 have been given an increase in the public operating grant that demonstrates local-regional willingness to follow up the state initiative. The exceptions here are Spielum and Neptune. It will be clarified in 1999 in the letters of award that the county councils concerned will have to follow up on this with appropriations from their side as well. Otherwise, because this may be my last post, I will conclude with something I am very happy about, namely the agreement we have reached on the Oslo New Theatre and a transfer of the Oslo New Theatre with the Central Theatre and the Doll Theatre in the Frogner Park to the Municipality of Oslo, and similarly that the Torshov Theatre via the National Theatre becomes state responsibility. I'm very happy that we've got it done. I think it'll be more tidy and better for everyone.
ParlaMint-NO_1998-12-15-2.ana.ud360e977	Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 1301]]
ParlaMint-NO_1998-12-15-2.ana.ud360e991	No one has asked for the floor. [[Footing, see page 1330]]
ParlaMint-NO_1998-12-15-2.ana.ud360e1005	I will be brief and just promote the proposal of the Progress Party that is in the position. I hope to get a little more excitement than what's real, based on the debate we had today, and the concerns for the children's and youth organisations, especially the Workers' Party and SV.
ParlaMint-NO_1998-12-15-2.ana.ud360e1010	Per Sandberg has taken up the suggestion he referred to. [[Footing, see page 1331]]
ParlaMint-NO_1998-12-15-2.ana.ud360e1024	No one has asked for the floor. [[Footing, see page 1333]]
ParlaMint-NO_1998-12-15-2.ana.ud360e1038	No one has asked for the floor. [[Footing, see page 1333]]
ParlaMint-NO_1998-12-15-2.ana.ud360e1052	No one has asked for the floor. [[Fotation, see page 1334]]
ParlaMint-NO_1998-12-15-2.ana.ud360e1069	No one has asked for the floor. [[Fotation, see page 1334]]
ParlaMint-NO_1998-12-15-2.ana.ud360e1083	The debate on the main issues in the 1999 government budget was held in Stortinget on 30 November and on the basis of which the budget is based. S. No Then 6, be added. Therefore, there are only a few areas I want to mention in this article. First, I'm going to point out the central and right sections of the section dealing with GIEK. It is important that when the draft authorisation is proposed to be withdrawn, it must not result in a system that is unnecessarily cumbersome to administer. The same can be said of the simplifications made under the SUS/Baltic arrangement. GIEK also manages offer guarantee schemes, which have much to say for small export companies. I would like to ask the State Councils of the Ministry of Finance and the Ministry of Economic Affairs to assess the way in which such a system can be maintained. The other area I want to mention, relates to cap. 5605 Interest on the treasury's cash receipts and other receivables. In the comments from the center section, an incurrency statement indicates that we are proposing a percentage of mortgage loans to state sponsors. This is not correct. We're not proposing a percentage. The percentage is determined by the Ministry in accordance with the main tariff agreement between the acceding countries. I also refer to the debate earlier today in the management of the Ministry of Labour and Administration budget, where this was the subject. As case spokesman for the action. In this context, I would like to briefly point out to the State Petroleum Fund that there is a broad political consensus that it is important for the development of our society that the state budget can be made the most possible irrespective of the revenue from the petroleum industry. The oil price has recently been very low, and although there is no basis for changing the state budget for 1999, I think it is important that the Government and the Ministry of Finance follow developments and, if necessary, come back to the Storting if necessary. With this I will recommend the setting.
ParlaMint-NO_1998-12-15-2.ana.ud360e1100	The reorganisations in the customs tariff have so far been successful. New organisational structures have been introduced in all districts. These reorganisations have led to a reduction in the number of managers by about 50 people. Control tasks have been strengthened. In a brief explanation, the Ministry now aimed at bringing together Eastfold customs districts with Hedmark and Oppland. Here, on questions from the Committee, we have become aware that Fredrikstad would become the new common customs office. On the other side of Oslofjord, the question of joining the Buskerud customs district with Vestold and Telemark was raised again. In previous proposals Drammen was provided to become the new common customs office there. Now it is not concluded on that side of the fjord. Further assessments of the need for structural changes shall also be carried out there. Similarly, the majority of the Committee assumes that the merger of Eastfold, Hedmark and Uppland customs territories is carried out. It's especially the distances in this boundary area that it's focused on. In all the districts concerned, there is uncertainty about the appropriateness of further structural changes. For this reason, it will be essential to consult all relevant interest groups in relation to the tasks of customs administrations, i.e. not only the internal organisations and the management of the departments, but also the stakeholder organisations of the user groups, such as the NHO and the LO, and the relevant municipalities and county municipalities. There is therefore a need for a thorough review as a background to the challenges that many feel that new mergers, structural changes, will bring. Then we're going to have to wait for the conclusions that this investigation will lead to. If these investigations were to lead to that being necessary, I would assume that the matter would be on the Stortinges agenda on a later occasion.
ParlaMint-NO_1998-12-15-2.ana.ud360e1113	As a result of the examination of the budget's framework areas, which were adopted with the subsidiary support of the Progress Party and the Right, the main proposals of the Progress Party also fell within the framework of the areas we are dealing with tonight. Therefore, the Progress Party will subsidize proposals for the allocation of Framework Areas 21, 22, 90 and the State Petroleum Fund, although we had different primary proposals for individual chapters and items. A robust number of committees asks the Ministry to reconsider whether merging Eastfold customs districts with Hedmark and Uppland customs districts will bring the desired economic and efficiency gains. The Advance Party assumes that the Government will return to Stortinget with this matter. The Progress Party has proposed to evaluate the Housing Loan Scheme for State Employees, and wishes the Government to promote this as a matter of its own before considering the State budget for the year 2000. Unfortunately, we are all alone in this proposal. Furthermore, we have proposed to evaluate the Husbank and its role as government loan intermediary. We have no support for this either. On the other hand, we are pleased that there is a majority in place to convert the Municipal Bank into a limited liability company. I bring this up with the proposals of the Progress Party.
ParlaMint-NO_1998-12-15-2.ana.ud360e1126	Per Erik Monsen has taken up the suggestions he himself referred to.
ParlaMint-NO_1998-12-15-2.ana.ud360e1129	I would like to address the suggestions that SV has made in the setting. The proposals are essentially about how to spend our wealth, i.e. money on books, not on more use of money, but what it's tricked and right to save, and what it's tricked and right to invest in. We are pointing to the environment and energy sector. It will be central, both because, of course, we have an environmental responsibility as a rich nation and as a major consumer of resources, and because it would be very smart of Norway as a nation to secure a ticket to some of the most forward-looking industries, namely what goes on in renewable energy sources and environmental technologies. We have therefore put forward proposals for strengthening different schemes, and we are also promoting those proposals today. We also have a proposal that goes to the House Bank. We want the House Bank to be further strengthened in relation to what has been the case now, especially on the loan side. You can look at the promise that your mother-in-law has received this year. That's good, but that's not enough. There's definitely a lot more to be done. We now probably have the cheapest housing policy in Western Europe, but we must not allow it to be too cheap. The market cannot solve all tasks in the housing sector. Housing is a well-being that everyone is entitled to, and it takes a long time to build it up, so that it can stand a little stronger both for the needs of society, and not least for the individual, so that they are not so strongly affected by the market fluctuations that we now see, with high interest rates and very high prices. That is why the state must strengthen the Husbank. And the House Bank must be strengthened as a general bank and not as a selective loan bank, not as a so-called first-home bank. This is important, because more and more people are having trouble getting a place to live. There are many people who don't even have a place to live, and that's why we want to add funds here. Later this year, the majority will deal with several issues, including: a large-scale report on housing for young and disadvantaged people, in which case it is very important that the House Bank has a framework to follow up on this important area, including: develop a non-profit rental sector to solve the problems on this side. We have also put forward proposals for the transfer of funds into the SND from the low-risk scheme and into the risk-loan scheme. We do that because there is the greatest shortage of risk capital, and it is more important to contribute to this than to offer the low-risk scheme. It has a greater role to play when the offer of ordinary loan capital is small. It's not now, except in some areas of the country. And if the low-risk scheme was going to be used there, as an important scheme where there was no loan offer, or as an important competitive element where there were few other financial institutions, this must have been a district-based scheme. It's not. This is a nationwide arrangement. This is why we would rather strengthen the mechanisms that have been put in place both to take greater risks – businesses need them – and are the most district-oriented. Finally, I should like to give an example of the fact that this government has a high profile of district policy and also of coordination, perhaps not fully integrated into the Ministry of Finance and Customs. The representative Dalheim from the Workers' Party was involved in the same matter in place. It is a proposal for the centralisation of posts and mergers of customs districts. If you're going to have a policy to keep jobs outside the press areas, you're going to have to have a job no. 1 is to make sure that the state's own offices do not centralize without a very good reason. The government has wanted to have a high profile on such matters, and they have, among other things, submitted another proposition, St.prp. No 1 Appendix No 6 on the coordination and partial delocalisation of the central management of agricultural policy instruments. We're going to support this, but you're going to spend several hundred million dollars moving jobs out of central areas. We believe that the Ministry of Finance needs to be able to justify centralisation decisions in its own establishments much better than they have now. I want to refer to what the Government's seas say in this proposition: ‘Member States must take the lead in decentralising their activities. ... Public activities have contributed to the creation of creative environments and the introduction of competences that have contributed to the positive development of economically poor regions of the country. Information technology has helped to reduce remote interference and create new opportunities for decentralisation of State activities.’» This is in the middle of the flash for what is happening to the customs office, and it should be a very good argument for the Minister of Finance when he goes back to the Ministry of Finance and takes up this matter. I expect this matter to go a little way past the district policy new areas in which the government took up, and I ask that we look again at the important coordination tasks that I understand the government has seen needed, but which may not have completely reached all the departments, that we take a new revolution on this and get the agencies to put such assessments into all matters, because it helps little to pursue district policy with one hand if the other hand centralises. I am pleased that the committee has taken up the matter and sent it back. If the Ministry finds that they will request that the changes be implemented, I would like to ask that the matter be referred to the Stortinget on behalf of the SV.
ParlaMint-NO_1998-12-15-2.ana.ud360e1149	Karin Andersen has taken up the suggestions she herself referred to.
ParlaMint-NO_1998-12-15-2.ana.ud360e1152	In the case of the Municipal Bank, the Government of the National Budget writes that they are working on finding out more alternatives to the future organisation of the Municipal Bank. We in the Workers' Party think that's good. We understand that. We think it is necessary to look at the form of organisation that serves the future of the Municipal Bank. We ourselves have been open to discuss this, and I myself have suggested looking at possible organisational solutions between the Kommunalbanken and the Postbank. We therefore agree with the Government, but we note that it is not the central parties in the Stortinget, because while we had the budget for consideration in the committee, there was a proposal from the central parties that one should turn the Municipal Bank into a limited company – before the Government has completed its assessments. And when we ask the reason for that, how can they suddenly think about it, before the government, which has said that they need to figure this out, can come up with anything, is essentially the only answer we get that they need the 250 million. kr for which they are now to drain the basic fund. There is reason to note that this proposal was presented as the adjusted budget lines of the central parties, i.e. before any conciliation was concluded with the Right and the Labour Party. And for the sake of order: it was also before the Workers' Party had its national meeting, so in this case they can't use the Workers' Party's national meeting as a reason for a new line, as has been done in the various budget debates that we've had in the last few days. It was an invention from the center – obviously to free in the direction of the Right and the Advance Party. When we ask the Minister of Finance whether such a company should have a share capital, it is confirmed that it is correct. They're going to have $660 million. kr in share capital, but we do not receive a response from the Ministry of Finance about where the money is to be taken from. No, we get an answer that there are movements below the 90s, so that the money they can get from draining the fund in the Municipal Bank, is going to be used to balance the budget, without any investigation, without the proposals that are necessary to realize that transformation. This is reflected in the series of strange budgetary processes that have been carried out by the government parties, such as: is composed of a dividend rate of 866, in some companies under the Ministry of Agriculture, it is 5 million. NOK 3 million in profit. kr, it merges into the sequence of cuts at the cross post without any reason why you can do it, and it merges into the sequence of cut suggestions from the center parties where it comes with a text that says that there can be too little money here – and if it gets too little, you get to discuss it and fill it up later this year. It's said a lot strange about this government, and there's a lot to say about this government, but at least no one's going to say that they're thorough in the preparations they're making.
ParlaMint-NO_1998-12-15-2.ana.ud360e1165	Several have not asked for the floor on case No. Eight. [[Fotation, see page 1334]]
ParlaMint-NO_1998-12-15-2.ana.ud360e1173	Then we're ready for voting.
ParlaMint-NO_1998-12-15-2.ana.ud360e1179	A total of 25 proposals have been put forward during the debate. It's: the proposals No 1, 8, 12 and 13, by Grethe G. Fossum, on behalf of the Workers' Party and the Socialist Left Party, 2, 4 and 18-25, by Grethe G. Fossum, on behalf of the Workers' Party, 3, 5-7, 9-11 and 14-16, by Mr Ågot Valle, on behalf of the Socialist Left, proposal No. 17, from Ola T. Loan on behalf of the Advance Party, Christian People's Party, Right and Center Party The President noted that proposal No. 20 has been amended and the last sentence is deleted. The floor has been asked for explanations of vote.
ParlaMint-NO_1998-12-15-2.ana.ud360e1199	Proposal No. 17 I recommend the members of the Workers' Party to vote against. Then there have been heartfelt calls for various of the Workers' Party's proposals to be turned into transmission proposals. Proposal No. 18 we want to vote over. Proposal No. 19 we are asking for a transmission proposal. As regards Proposal No: 20, we have been urged to turn this into a transmission proposal, without any assurance that we will work actively for what we are proposing here, so we just don't want to turn that into a transmission proposal. The same applies to proposal No. 21st Last@item: inlistbox Proposal No. 22 we are asked to be turned into a transmission proposal. The same applies to proposal No. 23rd Last@item: inlistbox Proposals Nos. 24 and 25 we ask that it be voted over.
ParlaMint-NO_1998-12-15-2.ana.ud360e1206	First to our vote on the various budgetary frameworks. In the case of Frame 1, we stand with the Workers' Party. In the case of Framework 2, we just want to vote in favour of our own proposal for a framework and against the other two. When our proposal for Framework 3 – probably, unfortunately – has fallen – we will vote in favour of the Labour Party's proposal. With regard to the other proposals outside the framework, I would like to make it clear that proposal No. 8 is a joint proposal from the Workers' Party and SV. I would, of course, like the group to vote in favour of this. Like the Labour Party, we will vote against proposal No. 17 and for the other proposals of the Workers' Party. I would have liked that proposal no. 24 were sent, because we see the need to see the investment in Youth vs Violence in connection with the other applications for the big city funds – for that is where this comes from – and in connection with the fact that Youth vs. Violence has also received 1 million. kr on the budget of the Ministry of Justice. If the Labour Party insists that it vote on it, we will have to vote against that proposal in this context. But I would like to make it clear that in our remarks we have asked for increased support for Youth Against Violence.
ParlaMint-NO_1998-12-15-2.ana.ud360e1213	Several have not asked for the floor for an explanation of vote. The majority proposals are the first to be voted on, with the exception of the proposals Nos. 1 and 4, and then over the setting, where the remaining minority proposals will be addressed for alternative voting. We start with the proposals from SV. That is the proposal No. 3, 5, 6, 7, 9, 10, 11, 14, 15 and 16. Is there anyone who wants us to split up these proposals? - It's not. We shall then vote on these proposals together. Proposal No. 3 sounds:
ParlaMint-NO_1998-12-15-2.ana.ud360e3553	The proposals are then put to the vote. 8 and 12, from the Labour Party and the Socialist Left Party. Proposal No. 8 sounds: ‘A public body is set up to coordinate the collection of knowledge and to make violence against women visible. The Committee shall propose measures to combat violence against women and improve the protection of victims. The Secretariat shall be added to the Equality Competence Centre.’.» Proposal No. 12 sounds: ‘The Government asks the Government to amend the scheme for the decoration of state buildings by incorporating the current category 3 into category 4 where 1 pst. of the construction costs shall be used for decoration.»
ParlaMint-NO_1998-12-15-2.ana.ud360e3574	We have then come to the proposals of the Workers' Party. The President will first address the proposals. 19, 22, and 23. In the course of the debate, these proposals have been proposed for transmission. Proposal No. 19 shall then be worded as follows: ‘It is recommended that the Government return to Stortinget with a review of the foster home situation.’ Proposal No. 22 shall be worded as follows: ‘It is recommended that the Government take seriously the extended concept of culture and reintroduce it. 341 Purposes of sport, in its budget proposal, so that sport is once again part of the cultural debate of the Stortinge.’.» Proposal No. 23 shall be worded as follows: ‘The Government is advised to start development work and research in order to gain new ideas and knowledge about actions that can be put into action against violence in the child and youth environments.’ The President proposes that these proposals be forwarded to the Government without any rebuttal. – It shall be deemed to have been adopted. The President then takes up the remaining proposals from the Workers' Party. The President has understood that SV wants to vote against proposal No. 24, but by the way. That is when proposals Nos 1 and 2 are voted on. 2, 18, 20, 21 and 25. Proposal No. 2 sounds:
ParlaMint-NO_1998-12-15-2.ana.ud360e4465	We shall then vote on proposal No. 24, from the Workers' Party. The proposal reads as follows: ‘The Government asks the Government to restore the project support to Youth against Violence to operating aid’. Here the Socialist Left Party has announced that they will vote against it.
ParlaMint-NO_1998-12-15-2.ana.ud360e4483	We are now discussing proposal No. 13 by the Labour Party and the Socialist Left, and proposal No. 17, from the Party of Advancement, the Christian People's Party, the Right Party and the Center Party. These are alternative proposals and therefore alternative voting will be carried out between these two proposals. Proposal No. 13, from the Workers' Party and the Socialist Left Party, says: ‘A wide-ranging range is being set up to review the media policy instruments and the framework conditions for the press so that policy objectives can be achieved.’ Proposal No. 17, from the Party of Advancement, Christian People's Party, Right and Center Party, says: ‘The Government is asking for a public sample to be set up to review the press support. This work should cover all components constituting the framework conditions of the press and where the press support is also seen in a comprehensive media policy context.»
ParlaMint-NO_1998-12-15-2.ana.ud360e4504	So we're going to vote over the setting. Alternatively, between the vote on the proposal for a decision on framework 1 and proposal No. 1, from the Workers' Party and the Socialist Left Party.
ParlaMint-NO_1998-12-15-2.ana.ud360e6120	The proposal of the Labour Party and the Socialist Left Party reads:
ParlaMint-NO_1998-12-15-2.ana.ud360e8717	Here the Socialist Left Party has announced that they will vote against it.
ParlaMint-NO_1998-12-15-2.ana.ud360e8726	So we've come to area three. Alternatively, between the setting and proposal No. Four, from the Workers' Party.
ParlaMint-NO_1998-12-15-2.ana.ud360e10114	The President makes it clear that the proposal for a decision makes a mistake that needs to be corrected. Under II, Act of Commitment, para. 1 shall be SEK 41,8 million. kr and not 25,8 mill. kr, as it says. The proposal from the Workers' Party is as follows:
ParlaMint-NO_1998-12-15-2.ana.ud360e11913	During the debate Per Sandberg put forward a proposal on behalf of the Progress Party. The proposal reads as follows: ‘Chap. 854Actions in the field of child protection71Research, development and information, etc., reduced by DKK1 095 000 Cape. 856Barnehager64Adjectives to other kindergartens are reduced by NOK 355000’»
ParlaMint-NO_1998-12-15-2.ana.ud360e12746	There is a vote on the Per Sandberg proposal on behalf of the Progress Party submitted by the Odelstinget meeting on 24 November 1998: ‘The government asks the Government to come back with proposals for legislative changes that provide equal benefits to young children’s parents at birth and adoption, irrespective of income and occupational activity.’
ParlaMint-NO_1998-12-15-2.ana.ud360e12763	In the course of the debate, seven proposals have been put forward. It's: - the proposals No. 1 and 2, from Per Erik Monsen on behalf of the Progress Party. - the proposals No. 3-7, by Karin Andersen on behalf of the Socialist Left Party The vote is first on the minority proposals, then on the setting. There is a vote on the proposals Nos. 3, 4, 5, 6 and 7 from the Socialist Left Party Proposal No. 3 sounds: ‘Chap. 2412 The Norwegian State House Bank90The loan to the House Bank is increased by NOK 1 000 000 and is granted by NOK 9 597 000’» Proposal No. 4 sounds: ‘Chap. 2420 State Enterprise and Regional Development Fund (ERDF)91Loans to the Risk Loan Facility increased by DKK 800000 and granted by NOK 6 300000000’» Proposal No. 5 sounds: ‘Chap. 2420 State Enterprise and Regional Development Fund94Loans to the low-risk loan scheme, reduced by DKK 1 000 000 000 and granted by DKK 1 750 000 000 ’ Proposal No. 6 sounds: ‘Chap. 2422 State Environment Fund 90Loans, increased by NOK 220 000 000 and granted by NOK 450 000 000 ’ Proposal No. 7 sounds: ‘Chap. 2422 State Environment Fund Loans, energy research, amounting to DKK 1 000 000 000 » [[New]]
