ParlaMint-NO_1998-12-17.ana.ud456e36	The representative Anneliese Dørum, who has been licensed, has again taken the seat.
ParlaMint-NO_1998-12-17.ana.ud456e710	Like the representative of Langeland, I am convinced that the Norwegian people, not only the majority, but almost everyone, are concerned with food security, and very many are also concerned with animal health. What becomes more technical is the way in which this can be done in a proper and satisfactory way. It is therefore of the opinion of the Left that this is properly and satisfactorily ensured by the arrangements set out by the Government in respect of the follow-up to the control options provided by the contract. This is an important basis for the second issue, namely that of fish. I have, at least for a while, the same experience as the representative of Langeland in terms of the yield of fishing trips. I understand that the representative of Langeland feels that he has been on a fishing trip here today, in an attempt to get caught or caught fish on the question of what problems fishing exports will actually face, and a question about documentation of these. It is my opinion that this has been explained on the one hand through the hearings of opinions, not least from the industry itself, and also from the Minister for Fisheries, on the other hand, in the comments of the majority in the vote. I'm referring to it like this in the first place. But then, when it comes to the question of documentation, it's just the problem that we're dealing with the future here. The point is that we have not had these problems until today. The question is, what will happen in the future if we do not agree? And then I see that there is a significant risk of some significant problems in relation to border crossing. And finally, in relation to the WTO Agreement and the EEA Agreement, the very point is that Norway will in practice change its status if we do not adopt this agreement, from being perceived as having accepted the agreement to become a third country. And then we have to assess in relation to other third countries.
ParlaMint-NO_1998-12-17.ana.ud456e721	So the chord change is over.
ParlaMint-NO_1998-12-17.ana.ud456e724	Those opposed to the new veterinary Annex to the EEA Agreement have claimed that there are no good arguments as to why the amendments to Annex I are so important to Norway. I would argue that for Norwegian fish exports, the agreement is very important. The agreement is not important just because of fish, but for the fishing industry it is equally very important. Fish are Norway’s largest export industry for oil. The figures for 1997 show that Norway exported 957,000 tonnes of fish to the EU at a value of DKK 14.5 billion. So far, Norway has had agreements with the EU that have satisfactorily safeguarded our interests in border crossings. However, it is a fact that from 1 January 1997 the EU has harmonised its border control legislation. As a result, if Norway rejects the amendments to Annex I to the EEA Agreement, we will be considered a third country vis-à-vis the EU. In this case, the control frequency and scope of control of fish from Norway to the EU will be significantly increased. As a result of a special EU regime, Norway has until now released this adjusted frequency of controls pending Norwegian approval of Annex I to the amended EEA Agreement. Despite this special scheme, however, Norwegian fishing industry has experienced problems with the new control measures at some border crossings. This has already hit the Nordic fishing industry in border crossings, especially in the northern part of Finland. But we don't just get an extension of the control frequency, we also get an extension of the control range. As Per Mjelva of the Land Association of Fisheries and Aquaculture said in the open hearings: ‘It’s not just the frequency, it’s also the volume. In the document check we have an identity check, but we get a physical check." The concept of ‘physical control’ is clarified by a separate EU Directive. In the case of physical checks, the temperature, weight, packaging and marking shall always be checked. In addition, a certain number of packages must be sampled from different places in the consignment. The samples must be examined for odour, colour, consistency, taste, etc. and by thawing and boiling. Samples shall also be sent for laboratory testing. In addition, a number of measures can be taken. In addition to the time allocated to the border control itself, there will also be more time to cross the border at the right place, i.e. at the new border inspection posts. These don't always have to be along the best driving route. It has been particularly important for the fishing industry to highlight the risks posed by this new border control in terms of lost time. Deliveries of fresh fishery products are highly dependent on being made in accordance with agreed time to the different customers on the market. Of course, it is difficult, not to say impossible, to say exactly how much impact all this will have on Norwegian fish exports. It is difficult to say exactly how often there will be delays. However, it is clear that the whole Norwegian fishing industry is unique in its recommendation: Norway must accept the amendments to Annex I to the EEA Agreement. A no will have significant negative effects. I think that the one who has summed this up in the best way is the Minister for Fisheries, when he said the following at the open hearings – I know this is mentioned earlier in the debate, but a good thing cannot be said too often, and I therefore quote again: ‘I would like to clarify that it is the potential of the new border control for delays that are significant. At my discretion, this is indisputable. So I find it hard to understand that someone stubbornly denies such a reality. The fact that other considerations are given greater weight after a well-thought-out, I respect, but not that the fishing arguments are swept under the carpet as non-existent.’ Better can't be said!
ParlaMint-NO_1998-12-17.ana.ud456e775	I think I have to take part in the debate on the extended veterinary agreement. It is a question that I have asked myself many times: who has asked for the extended veterinary agreement? Why did it get on the map? I remember when it started. There were problems with border control in Kiruna when the tracks were going over with salmon. As I know it became a system, there should be another way to do it. And it's worked so far. Checks are currently carried out on 50 pst. of what at least goes over Svinesund, according to what I have been informed. Of course you can ask the question, Is it going to be bad, or isn't it going to be bad? Is it going to be a problem if we do not accept this extended agreement here today? It is a mistake when it is claimed that the fishing industry is clearly in favour of this agreement. That's not right. But it is clear that those who do large-scale fresh fishing are very concerned about it, but those who export salt fish, dry fish and frozen fish are not very concerned about this. So the industry doesn't go into this expansion unambiguously. I think it has been done too little to clarify what kind of rights we have under the EEA Agreement, both with regard to Article 11 and Protocol 10. Article 11 reads: ‘Where a Contracting Party intends to introduce a new control or formality, it shall inform the other Contracting Parties accordingly. The Contracting Party concerned shall ensure that measures taken to simplify border crossings are not rendered ineffective by the application of such new controls or formalities.’;» Furthermore, we have both the GATT Agreement and the WTO Agreement to deal with. I asked questions to the Minister for Foreign Affairs just a few days ago, which I received yesterday's answer. My question was whether the arrangements we have today are a transitional arrangement that is about to be phased out, because we have free trade in fish for the EFTA countries. The EFTA countries Denmark and Sweden are now a well-known member of the EU. And the 1947 GATT Agreement under Article 5a states: ‘In the case of a customs union..., the customs duties and other trade regulations imposed upon it by the establishment of such a customs union... shall in general not be higher or more burdensome for trade with Contracting Parties which are not parties to such a Union... than they were on average in the participating territories before... the establishment of the customs union...’;» These included: what I pointed out to the Minister for Foreign Affairs. And then I get the answer that before GATT and the WTO there is no general free trade for fish. Therefore, individual Member States ‘have — to varying degrees — maintained customs protection of their respective markets against imports of fish and fishery products. By comparison, there is today free trade and thus free trade in fish within EFTA». Today we have free trade in fish in EFTA countries. That's what the Foreign Minister said in his reply to me, which I got yesterday. And then the answer goes on: ‘All countries have the right to define their own veterinary security needs, provided that the measures do not discriminate between third countries and are not more barrier to trade than is necessary to ensure the level of protection sought. This principle is enshrined in the WTO Agreement on Sanitary and Phytosanitary Conditions [[SPS Agreement]] After all, we are in agreement with both the WTO and GATT, and then the European Union is. And an agreement doesn't just apply to one party? Is this investigated enough? Is this prepared enough? Has the Storting got the information it needs to make a decision? I don't think so. So a little bit about food safety: Belgian blue is not likely to enter Norway. But Polet could not do anything about it either. The Pole is in the process of falling during the EU debate. As for this with safe food, I'm going to tell a little story: Otto von Bismarck, who was a sensible man, came into dispute with his doctor, and ordered a duel. The doctor said, "We go into a room, we take two pieces of bottled meat -- close to the eyes -- one bottled piece is full of Trichinella." There was no duel. So finally, it does not appear in the Constitution: the Great Thing exercises legislative power on behalf of the people. But it says in § 49: ‘The people exercise legislative power at Storthinget...’ We're going to do what the people want. We're not the ones who have to control people.
ParlaMint-NO_1998-12-17.ana.ud456e815	I don't want to go into Bastisen's different comments on my answer right now. He has received an answer to the question, so he may get back to it in a reply. I want to start with St.prp. No 6 for 1998-99, in which the Government asked for agreement to the so-called veterinary agreement, and in this context I will deal with two matters, which I, as Minister of Foreign Affairs, would like to draw up in particular. One is the negotiation process and the reasons and choices the government has faced. And the second is the relationship between the negotiating result and the necessary national measures. Annex I to the EEA Agreement, as it entered into force on 1 January 1994, covered a large number of EU veterinary legislation. However, the regulated one is not a veterinary border check. The agreement refers to the review by the contracting parties during 1995 of the areas where EU rules do not apply. This review was carried out in discussions between the EFTA/EEA and the EU side during the period 1995-96. Thus, it was an agreed commitment that was the basis for the discussions and subsequent negotiations on the remaining parts of EU veterinary legislation. In the negotiations, Norway was interested in limiting the revision of Annex I to fish and fish products only, thereby limiting or eliminating veterinary checks only for these types of products. This was not possible. An important aspect of the urgency of the negotiations was the EU's decision to harmonise physical checks at border crossing into the EU from 1 January 1997. EU harmonisation increased control over third countries. The average control frequency was increased, as we've heard before, from 3-5 pst. for 20-50 pst. With the EU as the second largest market for Norwegian fish, stepping up border controls would create problems for the fishing industry. The negotiations ended in December 1996. The current Minister for Agriculture presented the draft agreement in the United Kingdom in January 1997. Proposals from current government parties to request the Government to continue existing veterinary checks in international trade in live animals and animal products were not accepted. In the treatment of St.prp. No 70 for 1996-97 on the Agreement on Agriculture asked the majority to see the Ministry of Agriculture continue to work on an extension of the EEA Agreement, Annex I. So this was the status when the Bondevik government took over in October 1997. Since then there have been only technical adjustments to the draft contract. In the light of the Declaration of Adults, the Government took the initiative towards the EU for possible negotiations following prior consultations with the bodies of the Storting. I myself raised the question with EEA Commissioner Hans van den Broek in Brussels in November 1997. The EU did not agree to reopen negotiations on parts of the negotiated solution. Therefore, insisting on renegotiation would be the same as rejecting the present draft agreement. This could be unfortunate to the EU and so doubt Norway’s willingness to comply with the obligations of the EEA Agreement. The impact on the fishing industry would be very unfortunate. The Government therefore decided to accept the draft agreement as it existed and consulted the bodies of the Storting on that position. When this decision was taken by the Government, it was not because the parties had changed their views on the draft agreement itself, but on the basis of the expressed support of the majority of the population for the agreement and the Government’s own willingness to assess further national control measures if this was considered necessary. As indicated in the proposal, the Government’s recommendation is based on the fact that the EEA Decision itself has to be assessed together with the national measures proposed. The government's preconditions for recommending the consent of the Storting to the decision of the EEA Committee of July 1998 include a comprehensive approach based on the following elements: Adequate resources are allocated to the effective implementation of the necessary national control measures. The safeguard clause shall be applied actively if public and animal health is endangered. National control measures are evaluated on an ongoing basis. By the end of 2001, the Government will present to the European Council an overall assessment of the new legislation and the infectiveness situation, together with proposals for changes that may be necessary. As stated in the proposition, the Government’s assessment is that the whole of this scheme will contribute to ensuring good Norwegian public and animal health. It has been – and is – the basic objective of the Government in this matter.
ParlaMint-NO_1998-12-17.ana.ud456e858	It's going to be line change.
ParlaMint-NO_1998-12-17.ana.ud456e861	Minister for Foreign Affairs Vollebæk is responsible for St. prp. No 6, where the Government recommends amending Annex I to the EEA Agreement as well as comprehensive control measures for animal and public health – in many ways improving existing measures and in line with proposals also proposed by the Jagland Government. Foreign Minister Vollebæk's party trap, Steensnæs, showed in his speech earlier today that the government was now coming to the Stortinget with St.prp. No 6th@item: The same claim came in a slightly crazier version two days ago from the same pulpit, from the representative Unn Aarrestad of the Senterpartiet. But that is what the Minister for Foreign Affairs has just explained, that after the decision to raise the issue to several places, the Government tried to renegotiate the agreement and found that Norwegian interests were put at risk by renegotiations, and it therefore returned to the Storting to the appropriate bodies and explained this. The Minister of Agriculture, Mr Gjønnes, said to the Nations on 5 November 1997 that he did not wish to ‘do anything that could jeopardise market access for Norwegian fish to the EU’ in this case. And in the post now, Minister of Foreign Affairs Vollebæk said it would be unfortunate for the EU to doubt the obligations of the EEA Agreement if a agreed agreement was rejected. These are quite eye-catching statements, which I should have liked to have been further justified, because it illustrates with all possible clarity that the Government recommends this agreement and comes to Stortinget with St. prp. No 6 on an independent basis and take responsibility for it, including: from the Norwegian interests related to the EEA Agreement and to fish exports.
ParlaMint-NO_1998-12-17.ana.ud456e874	If the representative, Marit Nybakk, thinks I'm coming up with some thought-provoking statements in my post today, it's relatively eye-catching, because I haven't said anything other than what I've said before, among other things. in the meeting of the enlarged Foreign Affairs Committee – where the representative Nybakk is a prominent and very active member – last November, and later in different contexts. I have also not said that we tried to renegotiate the agreement. It was one of the things we were concerned about, that we were going to explore the possibilities precisely because there was no doubt about our overall position on the EEA Agreement. But the representative Nybakk will also be familiar with, as stated in St.prp. No 6, that the government Bondevik took over in a situation where the Stortinget had made a clear decision, so that we had to deal partially with decisions that the Stortinget had made, and we also had to deal with what we knew was the bulk of the population. And what we did, as I've explained, was that we were looking at the possibilities, trying to look at parts of the agreement, because we wanted to assess whether it was possible to change it for an improvement. It didn't turn out to be possible. What we did then, and I briefed the bodies of the Storting, was that the Minister of Agriculture and I went in together to look at a totality in this. Here, national measures were to be added. This overall package is what the Government has presented to the Stortinget.
ParlaMint-NO_1998-12-17.ana.ud456e882	In 1992, Stortinget concluded an assessment of the Norwegian border control which said that it was ‘critical for the maintenance of our favourable animal health’. In 1997, the main speaker of the Christian People's Party said about the impending workers' party government: ‘It is, in my opinion, an allusion to history when the Government now enters in order to remove veterinary border controls against EU countries.’ And the Christian People's Party, together with SV, supports a proposal from the Center Party to suspend the negotiations on the veterinary agreement. Today, the Minister of Foreign Affairs and the Christian People's Party recommends the same agreement as they said it was historyless to support. This is going to be big conversions in a short time. There must even be a powerful diet for the Christian People's Party when such great things happen in two years. I'm wondering what this is expression for. In any case, I am sure that it will increase political disdain when one can set himself as lewdly as the Christian People's Party does. So, in relation to Denmark, the Christian People's Party has simply tried to do something about the veterinary system in the EU, but they can't do anything. When they had a major outbreak of the antibiotic-resistant salmonella variant DT 104, the Christian People's Party raised the question whether they could do anything to stop food imports and thus do something about that problem. But then the answer from the Minister of Agriculture was that they could not have a special Danish control at the border – cork with swine fever or with DT 104. Does the Minister for Foreign Affairs think that it is gratifying to introduce a system that the Christian People's Party in Denmark really wants to abolish because they want national control?
ParlaMint-NO_1998-12-17.ana.ud456e900	With regard to the statements of the Danish Christian People's Party, I must honestly admit that I do not know them, so I may have to allow them to study more closely. When it comes to the issue of conversion, the Stortinget will have Christmas in a little while, and then there will probably be a better opportunity for the representative of Langeland and me to discuss what we mean and understand by conversion. At least my understanding is not that the Christian People's Party has changed its view in any way that might be called a reversal in this matter. I tried to explain that in my post, and the representative Steensnæs has also explained that. What's important, and I've been trying to say, is we're looking at what we're now putting forward as a whole package. We put forward a veterinary agreement that I explained, we evaluated and explored the possibilities of renegotiation when we took over the government power, but that did not prove possible. Then we discussed what we can do to compensate for the shortcomings we believe the agreement contains, both within the Government and with the agencies of Storting. This compensation has been found through national measures, in addition to the other control mechanisms that lie there through evaluation and through the safeguard clause, and it is this overall package presented by the Government to the Government in the staging proposition we are discussing today, as recommended by the Government.
ParlaMint-NO_1998-12-17.ana.ud456e909	As indicated in the proposal, the Government has based four assumptions on its recommendation of this agreement. I want to return to one of these prerequisites, which I was also concerned about during the hearings, where I don't think I got any particularly good response from the Minister for Foreign Affairs. This is the case with the use of the safeguard clause. One of the prerequisites is that ‘the safeguard clause shall be applied actively in the event of risk to public or animal health’. What I'm asking is, does it mean a line shift in relation to the way the safeguard clause has been applied until today? We were informed during the hearing that the safeguard clause had been used three times. When the Government now states that ‘the safeguard clause is to be used actively’ as a clear precondition for its recommendation, does it change politically from the way it is used today? At the same time, I wonder what the burden of proof will be on Norway when we consider using the safeguard clause, and to what extent we can risk countermeasures on the part of the European Union if it is considered that Norway's reasons for using the safeguard clause may not be good enough. I would like to ask the Minister for Foreign Affairs to explain this a little more concretely, and it is completely unnecessary to go about everything that needs to be done with routines, warning systems, etc. – If we didn’t know it before, it also appeared from the hearings, what needs to be done.
ParlaMint-NO_1998-12-17.ana.ud456e918	I'm not sure I can satisfy the representative Frost Sterri completely, if she was so dissatisfied with what I said in the hearing. I am also not sure whether we can avoid saying anything about routines, because if we are now to use this safeguard clause actively, we must have certain procedures. The safeguard clause, as represented by Frost Sterri, is a national provision that we can use in serious situations. It's true, as she says, that we've used it three times: in foot-and-mouth disease in Greece, in what's called Newcastle disease in Sweden and in the enslavement of England. It was such a serious situation that no one thought of countermeasures by anyone for the measures we took on these occasions, nor has there been any problem with the burden of proof. What I think is important, not least in this matter, is that the government, through what you have presented, shows that you will follow closely. That is what we have said about evaluation. This means that in this process we will also be able to use the safeguard clause if we believe that animal and public health is at risk. So this is a clause that is there, which is recognised and which is not something special for us, but which, in the government's opinion, provides an additional guarantee that the entire package we are presenting is good enough.
ParlaMint-NO_1998-12-17.ana.ud456e925	I have to be allowed to follow up a bit of what Nybakk's representative took up instead, because the arguments that the government is so far forced by the bulk of the population to make an agreement are a little confusing. The Declaration of Adults states that an attempt will be made to renegotiate the agreement. The Consulting in Stortinget I don't think imposed anything special on the government. The store was briefed and wanted the government to be happy with the negotiations. For its part, the Minister for Foreign Affairs has been very clear and has, of course, made it clear that the agreement is something that the Government wants and that the Government recommends. Otherwise, as he said in the open hearing, it would simply not be presented to the Stortinget. On the radio today, in Political Quarter, Secretary of State Haga of the Minister’s own department said that this agreement could be in addition, but that the bulk of the population wanted it. I ask the Minister of Foreign Affairs to explain, as clearly as he usually does, the actual position of the Government. In addition, if the Minister has time to respond to it, after the attempts to renegotiate the proposal proved unsuccessful, they created some compensation schemes, designed national measures. What national measures, in addition to the zoonoses unit, has this government brought forward in addition to what the previous government had made clear?
ParlaMint-NO_1998-12-17.ana.ud456e934	With regard to the last question from the representative, I would suggest that he perhaps put it to the Minister of Agriculture, who is responsible for the national measures, and who can more naturally go in and explain to them in a more accurate way than I think I can. With regard to Secretary of State Haga's statements on the radio today, I must admit that they did not hear me. I was concerned with other foreign policy issues. But I'm pretty sure Secretary of State Haga agrees with my view, she tends to be, and we've had a dialogue with other representatives here in the Chamber earlier and found out that there's a great deal of consensus in the Ministry of Foreign Affairs. As I get it presented, there's nothing special that she's said. If that's what the representative said, she has stated that you were not entirely satisfied with the agreement when you took over the government power. It is true, as the representative says, that we did not get any special instructions from the bodies of Storting – but the government took over in a situation where there was a clear majority for this. We tried, as I said, to look at the possibility of renegotiation. We didn't get that done. And then we made a whole package, which we've now presented to the Stortinget. And that's this whole package with which the government goes to the Stortinget, and which makes us, as I said in the hearing, of course recommend what we're proposing – otherwise we wouldn't stand here today.
ParlaMint-NO_1998-12-17.ana.ud456e941	State Secretary Haga gave this morning, among others: expression that this veterinary agreement is harmful to the country and that it has been submitted to the Stortinget and is now dealt with in the Stortinget solely because it is requested by the majority of the population. In view of the fact that it is becoming quite alarming – perhaps to be strongly involved – that the Minister of Foreign Affairs of this interlocutor today is so clear that Norwegian interests, both Norwegian fishing exports and consideration for the EEA Agreement, were and are essential for the Government to submit this agreement to the Stortinget for approval. Then I have a question for the Minister for Foreign Affairs: in view of the fact that the negotiations were to be resumed in this area during 1995, is it such that one could not start these negotiations? And how interesting is the decision about the size of that relationship?
ParlaMint-NO_1998-12-17.ana.ud456e948	To start again with the end, it's interesting what the then government has put forward and got the support of the majority of the population, because it also has to be a new government. So this is interesting. We took note of it the way we started it. We weren't quite satisfied with that, wanted to look at the possibilities to do something about it, but didn't get it done. That is why we came up with national measures. I understand that this is politics. I also understand that there is a need to shoot at the Government – and I accept it. As I said, I did not hear State Secretary Haga on the radio today, but because you are in this room so real that you warn your political opponents about what you are going to say – and I appreciate it – I have been able to check out what she should have said. My understanding is not that she said this agreement was harmful to the country. There is a difference between saying that you are not satisfied with anything, and saying that something is harmful to the country. What I at least know is that Secretary of State Haga agrees with me is that the overall arrangement with which the Government is now going to the Stortinget is satisfactory, that is something we can put forward, and that I, as Minister of Foreign Affairs, am behind.
ParlaMint-NO_1998-12-17.ana.ud456e955	So the chord change is over.
ParlaMint-NO_1998-12-17.ana.ud456e958	Let me first underline that I have no need to blame the Government for my or the Workers' Party's position on this agreement. But it is essential to know to what extent the government is behind what has now been presented to the Storting, or whether it is said that there is something that has been put forward solely because of the bulk of the population. Otherwise I thought to say a little about food safety and consumer awareness. In Norway and other European countries, consumer awareness is increasing, with requirements for purity and quality in foodstuffs. It is important for us to ensure that the food we buy is based on a healthy, environmentally sound and ethically acceptable production, goods that do not harm our health. We want to eat what we want, without thinking about the risk of infection or disease. That's why we're concerned that we have a control system that ensures that samples are taken at all stages from ground to table. Good control is becoming particularly important at a time of increased international trade in food and animals, and with increased international travel activities. It is also important for the control regime for food. As we now extend the EEA Agreement to the veterinary field, enhanced controls have just been important to ensure in the process. That was our Minister of Agriculture's concern, and that has been the concern of the current government in its proposals. The Minister for Health said during the hearings, among others: the requirement to register importers and to alert the Food Safety Authority 24 hours before the arrival of the goods gives us the opportunity to continue to be equally strict – and I will add: if not more stringent – in relation to the control of food. It also gives time to check before the food reaches the store shelves, and I think the consumers are concerned about that. Of course, the laws and regulations that we have currently attached to food are not altered by the veterinary agreement, as the Minister of Health also stressed in the hearings. In other words, it will still be prohibited to sell goods that are considered to be a danger to human health. In the public debate, Norwegian veterinarians have raised doubts about the competence of their colleagues in EU countries – they have raised doubts about the competence of health professionals in Norway too, but I have to leave that to them. So we're talking about countries like Germany, France and Sweden, just to take some. It's some kind of self-righteousness that I think we're going to be careful with. I believe, and have also been informed, that veterinary checks in the EU are of a very high standard. In fact, equally important is the debate and processes taking place within the EU on food safety. The Commission presented in April 1997 a Green Paper on food policy, and the EU Summit in Luxembourg one year ago, the European Council, called for changes to Community legislation in this area based on public health and safety. The Commission also recently presented the main political priorities for 1999 and among the main issues are public health, veterinary control and food quality, consumer safety and rights. The Commission has recently adopted 35 programmes for the eradication of 14 animal diseases. It is also interesting in view of the fact that international travel activities and increased trade just lead to cross-border movements of animal products. As a result of today’s Annex I to the EEA Agreement, the Norwegian food industry has already undergone substantial investments to adapt, for example: EU hygiene requirements. Food produced in the EU is therefore subject to very strict hygiene and internal control rules, and it may be good for Norwegian consumers to know exactly that. There is a figure that has been mentioned before in this debate, but I will repeat it, and that is that official imports of meat from the EU into Norway amount to 700,000 tonnes, while what enters the country in carrier bags, as the representative of the UK said, is 130 000 tonnes. International cooperation on food, nutrition and health is therefore becoming increasingly important.
ParlaMint-NO_1998-12-17.ana.ud456e981	Norwegian consumers, as well as consumers in other European countries, are very concerned that what is in the refrigerators and freezers is of high quality. Consumers shall know that the contents of the disk are subject to control systems which are optimal for keeping the goods to an absolute top quality. For this reason, it is important that we maintain strict requirements for food quality and international trade. This requires a very strict and effective control of animals and food production. The way I understand St.prp. No 6 for 1998-99, the Government has achieved three very important things: a reinforced control and follow-up of imports of live animals and animal products to prevent a more extensive veterinary border check on exports of Norwegian fish and fishery products to strengthen cooperation between the Norwegian veterinary authorities and the veterinary authorities in the other EEA region; Together with the negotiated agreement, more frequent and extensive national control and surveillance programmes are compensated for the loss of border control. In a number of areas, controls are even strengthened. The hearings that were carried out, I feel strengthened just such a statement. Our fish exports have encountered significant problems because the provisions on veterinary border controls were not included in the EEA Agreement. Although Norway undertook to comply with the same health and hygiene requirements, fish were stopped for control when entering EU markets. Norway exports fish at a value of DKK 15-16 billion to the EU area, i.e. approx. 60 pst. of all Norwegian fishing exports. In view of these problems, efforts were made by the then EFTA countries to find a solution to the border control issue in 1992-93. Since then, Sweden and Finland have joined the EU. In addition, EU countries have harmonised their provisions relating to animals and animal products within the EU and strengthened their border controls on imports from third countries. From an average control frequency in the case of exported fish lots of 3-5 pst. So it's going to be added up to a check of 20-50 pst. of the lots. However, in the light of the negotiations that have taken place between the EU and EFTA countries, the EU has used the same frequency as in the past for goods from Norway and Iceland. Should the Storting say no to this agreement today, grace is over and Norway will be treated as a third country. The impact on the fishing industry is becoming dramatic. At my discretion, what this debate is about is to ensure that we have a control system that ensures animal health and food imports at least as well as what we have today. As far as I can see from the proposition, it is proved to be absolutely satisfactory. Evidence has been requested in relation to the impact on the fishing industry. Let me say that just living with the risk that the EU would take on the basis of such a comprehensive detailed control of temperature, weight, packaging, even the basis for testing the batch of products by boiling, is something that it is clear that the fishing industry on death and life will try to avoid. When, on the one hand, we are faced with such a risk, and on the other hand, we are a control system that fully compensates for even more than the loss of border control, I cannot, with my best sense, see it differently than the reason that we should do this. And when, in addition, a no-regiering is based on parties that were previously opposed to this whole scheme, who have provided this, it does not exactly weaken the confidence in the result that exists. When there is a demonstration in Eidsvoll's place today, and there are no more demonstrators than there are journalists, it may show that the Center Party has reached the top in understanding what will happen to this country if we go into something like this. I think the key to the fishing industry is ‘uncertainty’. And when the government has documented in such an excellent way what control system we get instead, there's no reason why we're postponing Norwegian fish exports for the risk it's that Norwegian trailers can stay at the border for hours. I would like to repeat what I said in relation to the Enoxen's argument that this was an element in the Norwegian fishing industry – I heard that Bastisen also mentioned it in his statement – that these claims at least did not reach the committee.
ParlaMint-NO_1998-12-17.ana.ud456e1010	Most of the EU provisions in the veterinary field are covered by the current EEA Agreement. The new elements included in the current revision include: the control rules for cross-border trade including imports from third countries conditions for imports from third countries the labelling provisions for bovine animals, small ruminants and pigs the conditions for trade in live small ruminants, aquaculture animals and various other less central species; The control provisions for cross-border trade are likely to be those which have dealt most with the debate that has taken place prior to this deliberation. As everyone in this room is now aware, with this revision Norway will abolish the traditional veterinary border control for trade in the EEA territory. The veterinary border controls will be replaced by a network of measures to help ensure Norwegian public and animal welfare. The difference between the new and the old system can be described as going from a border check where all resources are deployed at one point to a check where the first measures are taken outside the manufacturer's abroad with evidence that the product satisfies the conditions, and further with a code of importer registers, acceptance checks, random checks, advance notifications, etc. to a retailer in Norway. Animal products and live animals coming from outside the EEA must, as before, pass a border inspection post where a traditional veterinary border inspection will continue to be carried out. Conditions for imports from third countries are also covered by this review. In the past, Norway has had a general ban on imports and has granted exemptions from the ban under certain conditions. As a result of the WTO agreement to which the Storting has acceded, a country can no longer prohibit imports without further delay. Furthermore, the volume of imported goods is largely determined by customs-based import protection. It can therefore be said that several elements of the current audit are not only the result of an EEA Agreement but also the result of the WTO Agreement. Following this revised agreement, Norway will have common legislation with the EU on procedures for the control of food of animal origin and live animals coming from outside the EEA territory. The requirements for the products to be imported, together with the new control regime, will, in sum, result in increased conditions compared to those applied at the time of entry today. Labelling provisions for cattle, small ruminants and pigs are included in the EEA Agreement. The labelling provisions will make it possible to follow the animal from birth until it reaches the slaughterhouse. The information generated by the labelling provisions can and should be used actively for the benefit of consumers. Animal welfare is also a subject that has been included in the debate on this revision and where the revision leads to changes in Norwegian legislation. The new legislation is based mainly on the recommendations adopted under the various Conventions of the Council of Europe to which Norway has already acceded. Most of the legislation contains minimum provisions, so that it is up to each country to have stricter national provisions. We can therefore largely continue the level we have established in the field of animal protection. Animal health conditions for trade in live fish have also been included in this current review. As a result of the conversion of the control regimes for the introduction of live animals and animal products, the supervisory authorities in Norway will face new major challenges. In view of this, the Government will propose a significant strengthening of the supervisory system. I would like to highlight in particular the proposal to set up a separate zoonoses unit. In my opinion, it is important that we now focus attention on implementing the reinforcement in an effective and targeted way. The State Animal Health Authority and the State Food Safety Authority are faced with major tasks in the implementation of national surveillance and control programmes for live animals, surveillance programmes for aliens and infectious agents in food, the implementation of internal control systems and labelling schemes for live animals. On the part of the authorities, we have to take responsibility for this demanding task. But we are and will always depend on active and constructive cooperation with all companies and organisations throughout the food chain from producer to consumer. I believe that Norwegian agriculture’s long-term interest depends on us now concentrating on cooperating on this in the future. Finally, I would like to refer to the opinions of the State Health Authority and the State Food Authority, as well as the evaluations announced by the Government. By doing so, I believe that public and animal health considerations should be safeguarded in a safe way, including through the new approach.
ParlaMint-NO_1998-12-17.ana.ud456e1047	It's going to be line change.
ParlaMint-NO_1998-12-17.ana.ud456e1050	The Minister of Agriculture had a good defence speech for this agreement we are about to adopt today. According to this, the representative Steensnæs's statement earlier today comes in a slightly strange light. Stone-cutting saw the following: ‘The reason for the negotiated agreement amending Annex I to the EEA Agreement – the veterinary agreement – which we are currently examining is the wish of the majority of the population for such a revision.’ Firstly, this is actually wrong because Annex I was supposed to renegotiate in any case, and secondly, it is because the government has brought the matter forward with a positive recommendation. And I must admit that I am becoming more and more amazed as this debate has gone on, first this quote from the representative Steensnæs and then the Foreign Minister's attempt to create the impression that this agreement is not wanted by the Government and the Government Party, it is the Storting that forces the Government to submit the agreement. Now the Government must decide: Is this an agreement Government and Christian People's Party stand behind, or not? I expect a clear answer from the Minister for Agriculture. If you don't get a clear answer, the government has to do this because they still want to sit in the government building.
