ParlaMint-NO_1998-10-28.ana.ud1702e27	: The called alternate of the Rogaland County, Helge Solum Larsen, has taken the seat.
ParlaMint-NO_1998-10-28.ana.ud1702e955	I would like to ask a question to the Minister for Foreign Affairs: "The former Chilean dictator Augusto Pinochet is arrested in London. Spain has asked him to be handed over, to hold him responsible for the misdemeanours for which he is responsible. The U.S.-supported coup led to the death of many and the disappearance of thousands. Many had to flee the country in order to save their lives, and some of them had to take refuge in Norway. Will the Minister of Foreign Affairs support the Spanish requirement, or will Norway bring an action against the dictator at the International Court of Human Rights in The Hague?’
ParlaMint-NO_1998-10-28.ana.ud1702e964	Norway clearly condemns Pinochet’s bloody coup in 1973 and has had a clear view of the subsequent terrorist regime that cost several thousand lives and health. As you will know, Norway was at the forefront of protecting those who were persecuted politically. The arrest of former dictator Augusto Pinochet shows that persons accused of violating international rules on crimes against humanity, genocide, etc. can no longer feel secure against being held responsible for their actions. The Spanish prosecution authority has requested the arrest of Pinochet for extradition purposes in order to challenge precisely such charges before its courts on the grounds that several dozen Spanish citizens were killed or disappeared in Chile under Pinochet’s dictatorship. There can be no doubt that there is Norwegian involvement in criminal prosecution of persons committing such crimes. This includes, inter alia: the background to the strong Norwegian involvement in the establishment of the new permanent international criminal court at the last summer of the Roma Conference and in the establishment of the two tribunals of the former Yugoslavia and of Rwanda. The Spanish Government has not expressed any particular attitude in relation to extradition requests. It has also not expressed a wish for support from other countries. The requirement has been promoted by the Spanish prosecution authority and will be dealt with in accordance with the Council of Europe Convention on Extradition. It will be for the UK courts to decide whether the legal conditions for extradition are in place, and then for the UK authorities to decide whether to comply with the extradition request. With regard to the issue of Norway, I can inform the representative that this is a court that only judges disputes between states. Neither can the European Court of Human Rights in Strasbourg bring an action against individuals, only against States. Persecution of the type of crime charged by Pinochet is only possible in the national courts or tribunals of Rwanda and the former Yugoslavia after the current international legislation. On the other hand, when the new permanent International Criminal Court enters into force, access to criminal proceedings against persons charged with genocide and crimes against humanity and serious war crimes will be considerably extended. Norway will work actively to ensure that this court comes into operation as soon as possible.
ParlaMint-NO_1998-10-28.ana.ud1702e979	I thank the Foreign Minister for the answer. I think it seems that we are agreed on, but it seems that the Foreign Minister has a somewhat low pace. I want to challenge him on a couple of points: We know that in Norway there are many Chilean Northmen who were tortured by Pinochet's regime in its time. They may also want strong reactions from the Norwegian Government. Will the Minister of Foreign Affairs take some initiative in relation to international reactions, for example: in the form of a Nordic reaction, a reaction in relation to the EU – working together to increase the pressure for something to happen? It's the one. What time does the Minister for Foreign Affairs think this international new criminal court will be operational, and what will the Norwegian government do to make this happen as quickly as possible?
ParlaMint-NO_1998-10-28.ana.ud1702e988	To take the last part of the question first, I said in my first answer to the representative Langeland that we will work actively to ensure that this court comes into operation as soon as possible. I can't say how fast it can happen, because this has to be ratified by a certain number of countries – how many, I'm not sure. But we saw that in connection with the Antimine Convention, this went faster than we thought, and we want to work to make this happen as quickly as possible. When it comes to taking the initiative, I think you should remember what I tried to say in my first answer, that it is the prosecution authority in Spain that raised this case, and this is a matter that is now before the courts of the United Kingdom. It would not be right for the Norwegian government to intervene in this, but if Norwegian citizens of Chilean origin want to raise this matter, it would be natural to do so in the way of the prosecution. To repeat myself, of course, there is no doubt about the Government's condemnation of Pinochet and his regime, and that we believe that that kind of person should be brought to justice.
ParlaMint-NO_1998-10-28.ana.ud1702e995	Very briefly, I would like the Foreign Minister to make it clear that it is actually possible if, together with Nordic foreign ministers or with EU foreign ministers, he actively says that we will do something about this. I would like to challenge the Minister for Foreign Affairs: will he take an initiative to increase the pressure to make progress in this matter?
ParlaMint-NO_1998-10-28.ana.ud1702e1000	If I understand the representative of Langeland correctly now, the question concerns initiative to advance the International Criminal Court, and then the answer is yes. We have already taken the initiative and will take new initiatives and follow that case up, so that the criminal court can become operational as quickly as possible.
ParlaMint-NO_1998-10-28.ana.ud1702e1008	I shall be allowed to ask a question to the Minister for Fisheries: ‘The founder Bodvar Vetrhus in Selje has developed a proprietary machine that can revolutionise line fishing for the smallest chess fleet. When Vetrohus applied to the Directorate of Fisheries for permission to test the machine, he was refused. The reason is that Vetrhus has not received State aid and that the machine can be a commercial success. Is the rejection in line with the intention of the Government's recent action plan for small enterprises and will the Council of State otherwise ensure that testing permits are granted?’
ParlaMint-NO_1998-10-28.ana.ud1702e1017	The question referred to a specific case that the Ministry of Fisheries has not yet received and got involved in as a complaint. I will therefore not comment on this matter in more detail. On a general basis, however, I would like to say the following: Fisheries authorities receive a number of applications for such testing of fishing gear and equipment representing major or minor developments in relation to current equipment. There is steady technological development, including in this area. However, it has been a long practice to refer in such cases to the practical testing of newly developed equipment by using vessels already registered in the fishing vessel’s Make Register and with quota rights. If the sea concerned does not have such a vessel and is allowed to participate in the relevant fishing activity, it is possible to seek cooperation with fishermen on practical trials. The last paragraph of Section 2 of the Saltwater Fishing Act, which is invoked in these cases, states that ‘The Directorate of Fisheries may allow scientific studies and practical fishing trials to be carried out without regard to the provisions of or in accordance with this Act’, aims to provide the basis for the public's own studies and trials or experiments in cooperation between public institutions and private parties. The public carries out extensive work both for the purpose of resource studies and tool development. However, no own quotas have been allocated to research. The aim is not, of course, to limit the individual's initiative or the ability to make money even in this part of the fishing industry, nor to prevent private enterprises or creative individuals from testing new technical solutions in the fisheries sector. However, such testing should be carried out within the framework of the concession arrangements, participant limitations and quota regulations applicable to the fishing industry in general, by carrying out tests on a vessel already in the fishery. It will also make the experiment better and more realistic that people who actually fish in this way are involved in the development work.
ParlaMint-NO_1998-10-28.ana.ud1702e1028	This answer kind of reminds me of the introduction to the American series X-Files – you don't think so until you see it. That it may be possible! Now I understand that the Directorate of Fisheries has a completely different reason than that of Angelsen, because he started talking about that there were no quotas for them, about participant restrictions, etc. This is a small company that has a boat of 25-26-27 feet, which has to install this machine for testing, which they have spent millions of dollars on, without the help of the public. So Angelsen refers in his reply to the fact that this legal home is intended to apply where the public carries this out, or where it happens in cooperation with private people. So here it's an initiative-rich Westerner who has neither cared about being in cooperation with others nor let the public do this. Is it not possible to allow a small enterprise to do this because of the quota system we have? Then, in fact, a person has to consider devoting a quota to people who use their own forces and their own resources to further develop this society.
ParlaMint-NO_1998-10-28.ana.ud1702e1035	Let me just stress that it is not the intention of the department to try to prevent the development of equipment for the fishing fleet. Such development of both equipment and tools has been continuous throughout all years, and in cooperation between fishermen and producers. The Norwegian fishing industry is technologically leading the world in the development of equipment and tools. As I said, we have not been dealt with this matter in the department, and unfortunately I cannot answer specifically the questions raised here regarding this matter. We'll get back to that. But let me just say it so that there is nothing to prevent the use of its own vessel sea unless it is registered in the Merchant Register, but it is then within the rules laid down by the law on recreational fishing, so that the company in question is not completely prevented from using its own ship.
ParlaMint-NO_1998-10-28.ana.ud1702e1042	I'm getting more and more surprised. In addition to Bastesen, the undersigned and the Minister for Fisheries have messed up fishing — at least in a certain way. And it has to be known that when you're going to run line fishing, saltwater fishing, and based on the recreational fishing regulations, you can't have any more bait. The ilestone has not even come to the bottom before one has to put the other ilestone – so few hooks are you allowed to fish with. This applies to an enterprise that will develop a product that will enable its fleet to participate in line fishing. Today, there are mostly large vessels involved in autoline systems, etc. Here you have a small machine that is suitable for the fleet's own part of the country. I choose to interpret it in such a way that the plan presented by the Minister of Industry for making things easier for small businesses, even in some way, needs to be implemented in the underlying and co-ordinated departments and directorates. And then my question is, will the Council of State take an initiative towards the Directorate of Fisheries, so that they are more in the real world?
ParlaMint-NO_1998-10-28.ana.ud1702e1049	As I initially said, we cannot go to the handling of this matter until it is available in the department. And I think that the Directorate of Fisheries is in the real world, but they have to deal with the legislation and the law that is laid down by the Department and the Magnificence. I've understood it so that there's quotas that this is a question of, among other things. of cod. Now we have too little total quotas in the country, both of cod, hay, siev and herring, so there is a significant reduction in the ability of each fisherman to fish. All allowances, each kilogram, have been allocated to the fishing industry and thus the Directorate has no allowances to allocate in addition to that allocated at the beginning of the year. If we look at some additional allowances for development measures in the future, perhaps for the coming years will be assessed in the light of this case.
ParlaMint-NO_1998-10-28.ana.ud1702e1059	I will be allowed to ask the following questions to the Minister for Fisheries: ‘Gilde dish Test station A/S has two R & D concessions in operation. [[GIFAS]] The Directorate for Fisheries has rejected the application for renewal of one concession, inter alia, with a background in the composition of the owner. After conversion and new owners in place, GIFAS is now in a positive development. However, the Fisheries Directorate's decision threatens the whole future of GIFAS and Gildeskaal as R & D centres. Can we now expect the Council of State to take the initiative and secure the future of GIFAS?’
ParlaMint-NO_1998-10-28.ana.ud1702e1068	Validity dish Test station AS has applied for the approval of the ownership structure and extension of the R & D concession for six years linked to the R & D regulations. The application was rejected by the Directorate-General for Fisheries in the first place, and the complaint is now pending in the Directorate for Fisheries. In the context of the appeal, the Directorate has found it necessary to provide further information on the Gildeskaal Experimental Station and still has to be provided with parts of it. The case is given a high priority, but it is not possible to say anything about it when it is completed in the directorate. The test station has applied for a temporary extension pending a decision in the appeal case. The Directorate has rejected the application and the complaint against the decision has recently been sent to the Ministry of Fisheries for examination. However, I can promise that this matter will be dealt with quickly in the department. The Ministry of Fisheries is essentially the Board of Appeal and will be dealt with if the Directorate of Fisheries maintains its decision. I therefore do not want to take initiative or position on this matter until all the facts are available and the Directorate for Fisheries has closed its proceedings.
ParlaMint-NO_1998-10-28.ana.ud1702e1077	I would like so much to thank the Council of State for a partly positive response in the sense that he will pursue this matter further and ensure that the department re-examines it with a thorough procedure. I just want to stress that the farming industry is a competence-based industry, and we are not going back so many years in time before our recognised research communities said that it was not possible to grow north of Trändelag. Today, Northern Norway is the second largest farming group and is becoming Norway’s largest, among others. as a result of part of the work of GIFAS and Nordic research. We are now facing new challenges, with new opportunities within new farming species. I hope that the Council of State in further work will add to the goodwill and seek to exploit the possibilities that the Ministry has, so that the experimental and development work at the Gildeskall Experimental Station will be allowed to continue for the benefit of the farming industry not only in Northern Ireland but also in the rest of the country.
ParlaMint-NO_1998-10-28.ana.ud1702e1086	I agree with the representative that research is very important, and that it is the research that has primarily contributed to bringing Norwegian salmon breeding to the top of the world. In fact, the government has prioritised marine research in the budget under consideration, precisely because of the value creation potential inherent in the development of marine products and the farming industry in particular. At the same time, it is important that the research and development activities carried out have the necessary confidence, and there have therefore been strict requirements for the award of R & D concessions. The R & D Regulation specifies who may apply for a concession for experimental and research purposes. Such concessions have been primarily reserved for research institutions at university level but may be granted to others under special conditions. The R & D Regulation is currently under review, and in this context we will also consider opening up other relevant development projects to meet industry’s future needs.
ParlaMint-NO_1998-10-28.ana.ud1702e1096	I allow myself to ask the following questions to the Minister for Fisheries: ‘The sea conditions in the municipality of Reinfjord in Kvänangen have been greatly deteriorated following the failure of the coastal works to build a molo. In its Decision of 19 August 1998, the Women’s Presidencies have referred to these disadvantages, and at the same time they have mentioned that the proposed new wave damper appears to have too small a dimension. Is the department now in dialogue with the municipality of Kvänangen on the improvement and plans for the construction of new wave dumps in Reinfjord port?»
ParlaMint-NO_1998-10-28.ana.ud1702e1105	The Molo plant in Reinfjord was listed as a new plant and mentioned in the State budget for 1984, and the final plan was presented in the budget for 1987. Due to difficult ground conditions, work was stopped in 1988. Work has been done to date for approx. Five million. kr in Reinfjord, but these investments have not provided any benefit. Getting a minimum solution for a molo project, as originally planned, will require at least 20-22 million. In addition, kr. The Ministry of Fisheries held a meeting on 13 November 1997 with the municipality of Kvänande on port conditions in Reinfjord. The municipality's wish for some form of molo in the Badder was also presented at that meeting. The Coastal Station was then commissioned to investigate the previously submitted proposal for airtemolo both for Reinfjord and for the Badderen. In cooperation with SINTEF, analyses have now been made of the utility, measured in the number of days of use, which can be expected from a floating structure with a width of 3 m and a depth of 0,6 m for both locations. The Coastal Directorate's assessment is that it is unrealistic to build a fixed molo, and that a liquid wave absorber will also not provide an adequate solution for neither Reinfjord nor the Badderen. The Ministry of Fisheries adheres to the assessment of the Coastal Directorate. In a letter to the Municipality of Kvänangen of 15 July 1998, we drew attention to the fact that, on this basis, and with particular emphasis on the safety aspects, the State could not be the builder and owner of such a facility. However, if the municipality would have such a solution, the State could contribute to its financing as a cross-cutting grant project. 1064, heading 60. It has been suggested to the Municipality of Kvänan that the State will be able to contribute up to 75 pst. grants for one of those installations. The price estimate for such a airtemolo is 4-6 million. kr. In its decision of 19 August this year, the female chairmanship has shown that the proposed damper appears to have too small a dimension. In this context, however, it must be pointed out, as has also been done in our letter of 15 July of this year, that a wave damper of larger dimensions will not significantly improve conditions. Therefore, it does not seem appropriate to reconsider the construction of a major wave damper, as requested by the Presidency of Kvänangen. The Ministry will, of course, follow up the case further with a view to reaching a solution that is best suited to the Female within a sound financial framework.
ParlaMint-NO_1998-10-28.ana.ud1702e1118	I thank the Council of State for the answer. The reason why I found it necessary to ask this question is the signals contained in the decision in the Kvänangen Presidency to which the Council of State referred, where it is, among other things. on the part of the municipality is threatened with legal proceedings against the State. It tells me that the dialogue is not good between the department and the municipality, and it makes me worried, really, on behalf of both parties. All experience with such projects requires listening to the local population. In particular, the seafarers are to be consulted locally, as they are usually best aware of all the circumstances surrounding such decisions. I do not feel well with the answer I received from the Council of State. I think it weakens the possibility of this district to continue developing as a fishing area. I would therefore ask the Council of State to respond to what kind of progress he sees in this cooperation with the municipality.
ParlaMint-NO_1998-10-28.ana.ud1702e1127	As I said in my first answer, the construction of a molo in Reinfjord was stopped already in 1988 because it was then found that it was completely impossible to build a molo in that area. On that basis, a so-called wave reduction solution was then assessed in collaboration with the municipality. As I have explained, it turned out that a wave damper solution would not be satisfactory. And all the factors associated with it make it difficult for the state to be responsible for it, but we will fully support the municipality with the construction of such if the municipality takes responsibility. The Ministry has also put in place measures, which are appropriations in the budget for this year, to clean up, as requested by the municipality, after the construction stopped in 1988. And there is already a contract with a private contractor to do that work on behalf of the state, and it will be implemented on an ongoing basis. Of course, when it comes to continuing dialogue with the municipality, the department is open to it, but we need to get a formal response to our offer to the municipality. Whether there will be legal proceedings – it is, of course, free for anyone to bring a case against the State, including the municipality of Kvänangen.
ParlaMint-NO_1998-10-28.ana.ud1702e1139	I would like to ask the Minister of Finance the following questions: ‘High interest rates, currency turmoil, less domestic activity, more paperwork and longer processing time under the new provisions of the Planning and Building Act create uncertainty and lack of performance in the wood loading industry. The uncertainty about the impact of the short-term charge works in the same direction. How will the Council of State restore confidence in the industry, so that one of our main export industries may feel that they are working under foreseeable conditions?’
ParlaMint-NO_1998-10-28.ana.ud1702e1148	In line with the Stortingen decision in the context of the review of the revised national budget in 1998, the Government proposes that a business cycle tax of 5 pst. investment in new buildings and structures is regulated. The fee will be assessed on an ongoing basis in the light of the economic situation. In recent months, the crown has been subject to significant pressures on the foreign exchange market. This must include, inter alia: are seen in the context of the low oil price and economic problems in Asia, Latin America and Russia, which have weakened important export markets. In order to counteract the fall in the exchange rate, Norway’s Bank has increased the short-term interest rate. The Norwegian three-month money market rate was 7.7 p.m. on 27 October. There were about 3 percentage points above the ECU rate. Until the middle of May this year, the Norwegian money market rate was slightly lower than the ecu rate. Since the middle of October, the crown has strengthened by about 5 pst. against the ecu index. The government has put forward proposals for a tight government budget for 1999, as the situation requires. A tight budget reduces the uncertainty associated with the development of the Norwegian economy and facilitates a normalisation of the krone price and a lower interest rate. I trust that the Storting will adopt a budget that is sufficiently tight, so that interest rates can fall again. It will benefit both the wood and other parts of the economy.
ParlaMint-NO_1998-10-28.ana.ud1702e1159	We have two large, almost eternal, resources to exploit in Norway, namely the fish in the sea and the trees growing in the forest. It always turns out that in the case of fish and fishing industry, the interest in Stortinget is very high, but in the case of forestry, it is significantly less interesting. We can see that, for example. purely numerical in today’s Questionnaire as well. The Council of State gives a vague response to the wishes now expressed by the whole forestry industry, including the timber industry, to regain confidence so that they can know what conditions they are working in the longer term. At least indirectly, the economic cycle charge also affects the wood industry. The same is true of low national demand, which is particularly affected by the fear of a new cyclical charge. I would like to ask the Council to consider once again: can he not now send out a signal to a needy industry that the cyclical tax will at least be assessed aside?
ParlaMint-NO_1998-10-28.ana.ud1702e1166	It is in the name of the business cycle fee that it is a fee that should work when you have the business cycle that you have had. But as we have both written in the national budget and as I have signaled, among other things. when I presented the state budget three weeks ago, this fee will be continuously assessed according to the economic situation. Everything suggests that lower investments will be made next year, but there is uncertainty about how much lower they will be. But as I said, the fee will be assessed. Regarding domestic demand, I would like to point out that the Government is proposing, for example: to increase the House Bank's framework from DKK 8 billion this year to NOK 9 billion next year. The Government assumes that the activity on the housing market will be slightly larger than it has been with the framework in force in 1998.
ParlaMint-NO_1998-10-28.ana.ud1702e1173	The council almost talks as if he is not aware that the time from a business cycle fee starts and until it has effects in such long-term industries as the timber industry and the construction industry, at least for a year, is probably longer. So if you're going to evaluate the situation on an ongoing basis, so that the disaster or the downturn has taken place before the Council of State is willing to consider whether to do something about the short-term cost, yes, it's too late. That's when the disaster has already happened. That is why, once again, I would strongly urge the Government to give a signal that it will disregard the cyclical charge to stimulate domestic demand. So just cards to the question of a tight budget. It is once again one of the uncertainties created because the Government is not willing to signal which side it will choose in economic policy. I can assure the Council of State that if the Government has now decided to cooperate with the Right, there will be no problem with a tight government budget.
ParlaMint-NO_1998-10-28.ana.ud1702e1180	At least so far, the biggest problem in the Norwegian economy is that there is too much pressure on the labour market in particular. As I said in my previous answer, we assume that within parts of the economy, e.g. in the case of investment, the pressure will probably decrease, but it's uncertain how much. I would also like to remind you that the short-term tax that the Government is now proposing is a follow-up to the decision of the majority of the population in our – where the Right was also part of the majority – to oblige the Government to impose such a charge. I cannot say more than what I have said, and hope that it will be understood correctly when I say that we will evaluate this business cycle fee continuously. If you get such a sudden fall as the biggest pessimists might imagine when it comes to investment, of course, the possibility of getting something done with the fee will be greater. But for the time being, it will be introduced in line with the large number of orders to the Government.
ParlaMint-NO_1998-10-28.ana.ud1702e1191	I would like to ask the Minister of Justice: «The daily newspaper of 21 October 1998 states in an article that two Peruvian women have received a work permit despite the lack of legal support for such a permit. Is this correct, and what was the reason for granting such an authorisation?’
ParlaMint-NO_1998-10-28.ana.ud1702e1200	It is true that the Ministry of Justice has granted work permits to two Peruvian women. The background is that last year the Stortinget sent a proposal from Højres Arild Lund, where the Ministry of Justice was asked to assess whether current practice was too strict in terms of temporary work permits to workers coming from outside the EEA territory. The previous government responded negatively to this enquiry. However, this government wants to look at the question again, because we are interested in an embellishment of today's legislation. The need for such an embellishment is also underlined by the NHO, among others. in meeting with me. Thus, the follow-up work was on the Ministry’s agenda when the application from the two Peruvian children’s peaks was examined. There were several good reasons which spoke to grant the applications, although the decoration of the legislation has not yet been implemented. I state that the decoration in this area will of course apply to all similar applications, not just the two applications in question now. The decision must be seen in this context in the context of the reassessment of a rigid regulatory framework – as part of the Government’s work to bring about a softer foreign policy in the spirit of the Adultåsen Declaration.
ParlaMint-NO_1998-10-28.ana.ud1702e1207	I thank you for your answer. It is correct that the Stortinget asked for an assessment of the legislation in the previous period, but Stortinget did not say that it would soften. This is a debate that is now taking place in several parties, but where the conclusions have not been drawn. I have to say that the procedure is quite extraordinary and turned down when you pick out a single case and make a decision contrary to the legislation, and then you go into the legislation afterwards in order to possibly get a warrant for what you have actually done. When the Foreign Affairs Act was passed – as well as I do – the Council of State went from a great margin of discretion when it came to work permits, to having clear rights-oriented criteria. The size said that there had to be as clear and specific criteria as possible in the regulations. It is today, and that means that there is no authority within the framework of the law or in the regulations for such a decision. I wonder, when will the changes in the regulations take place, and will you continue to make the same kind of decisions in individual cases without permission?
ParlaMint-NO_1998-10-28.ana.ud1702e1217	What it would have been most natural to deal with this application after, was the rules of au pair. It proved not to be useful for these applications. The application concerned two persons who, through several stays abroad, had been responsible for the children of the family and to whom the children and the family were linked. There was an important cultural point here. The applicant was familiar with Peruvian language and culture, and this would help to ensure the children's cross-cultural and bilingual education, which the family considered very important. In this case, the work permit was granted under the second paragraph of Section 8 of the Foreign Affairs Act, and thus not without permission. As far as Stortinget's wish for a less stringent regulation is concerned, we have also received very strong signals from both staging representatives and others that a certain embellishment in relation to the four-sided rules that came was desirable, and we are about to implement this work, and that will of course apply to all applicants.
ParlaMint-NO_1998-10-28.ana.ud1702e1224	Here I have to say that the Council of State is moving on very thin ice when she refers to the second paragraph of Section 8 of the Foreign Act, where it says that «strong human interests» can provide exceptions. That paragraph has never been used for ordinary work permits, it has been about giving protection to people, nor has it ever been used in this type of case. It is encouraging to hear that the Council confirms that similar cases will receive the same treatment. Then I just want to ask, what does that mean? Does that mean that everyone else who wants babysitting from another culture will get it? Does this apply to household assistants? Does this mean that enterprises will be able to obtain the same type of approval? What general change has been made to this specific decision? I also hope that the Council of State can confirm that in this case, friendship and knowledge have not had anything to say in relation to the decision, that it is completely irrelevant who is your neighbor, who are your friends, what central politicians get involved in the matter, that there are only factual and relevant assessments that lie behind, so that you can ensure equal treatment.
ParlaMint-NO_1998-10-28.ana.ud1702e1233	First, the issue of non-discrimination. This was a rather special case, and after working on this kind of question for some years, it's my impression that this with the connection to a culture and the fact that a family is bicultural and bilingual, it's becoming increasingly important in a multicultural society. With regard to the second paragraph of Section 8, I do not know how it has been used before, but what I know, and what I have supported, is that this is a rule of judgement that the Council of State can use in cases where it is considered right to do so, and that is what was the background to this context. There are some legislation on foreign legislation that almost does not allow for the exercise of discretion. Then we have the opportunity in some contexts, and then it's the Council's assessments that have impact. Of course, friendship and knowledge mean nothing. For myself, I can say that there are no such things at all, but we have had enquiries from a number of teams both in this and similar matters, which we have considered also from a principle point of view.
ParlaMint-NO_1998-10-28.ana.ud1702e1245	I allow myself to ask the following questions to the Minister of Justice: ‘On 2 October 1998, the Government merged the Länsmann Offices in Arna and Åsane and Ulset Police Station. The merger in practice means that the Arna Länsmannskontoret is closed down as an operating office. Does the Council of State consider this to be in line with the view of the Storting on changes in the Senate and the Minister of Justice's own opinions that such aggregation should only take place on a voluntary basis?’
ParlaMint-NO_1998-10-28.ana.ud1702e1254	The overall objective of Phase 2 of the reorganisation of the police and officers seat, which includes border controls at holding level, has been to improve police preparedness and service by improving the efficiency of the administrative structure in order to release resources for more outbound service. There is a need to take into account the requirements and opportunities arising from developments in population structure, communication, municipal administration and crime, which underpin any merger decision. In kilograms. Res. No 23 for 1998, which includes the merger of the LEN offices in Arna and Åsane and Ulset Police Station, there is a clear premise that a police unit in Arna should continue to be maintained. The merger will facilitate a more flexible service system that will benefit the public in terms of better police preparedness and service. It is misleading to claim that the Länsmannskontoret will be closed as an operating office after the merger. Police preparedness in Arna is being reinforced on the contrary by the fact that at all times of the day it will be officials who are ready to call, either from the place of duty or from the patrol car. The public in Arna is given increased access to the police and officers services that require presence in the office by extending the opening time of the unit in Arna. The local hearing body in such cases is the City Council. The Presidency took a decision on the matter in September 1995 and requested that Arna retain a unit. In the merger is embedded that Arna retains a position and actually gets a better police coverage than before. Arna was formerly a municipality of land which, after it was incorporated into the municipality of Bergen in 1972, has become increasingly urbanized. A big city like Bergen needs an overall police response, which is achieved by coordinating the services of Arna, Åsane and Ulset.
ParlaMint-NO_1998-10-28.ana.ud1702e1263	My question to the Council of State was whether she thought that the reorganisation was in line with the leaders of the Storting and her own statements on volunteering, that no aggregation would happen if it did not happen voluntarily. I find that the Council of State did not answer the question that was asked by me in today's Question Time. The size has clear leads for what's going to happen. The emphasis has been placed on the near-police model, with a good overview and a good knowledge of the local environment, so there is a need for local officials. It is according to the model that you want to build up both the loner's and the police's business in the future. At that time, when these offices are merged into such a unity that even Kristiansund, the hometown of the Council of State, becomes small, the local knowledge that exists today is lost. When you're in Arna, you're in active police service until noon. 22 o'clock in the evening and until 7 o'clock in the morning. 02 at night from Saturday to Sunday, I think it's strange to say that this is going to be a better choice of police services for the people of Arna. My question is, how does this aggregation of such a large unit relate to the leadership of the Stortinge in the area of near-police and local knowledge?
ParlaMint-NO_1998-10-28.ana.ud1702e1272	As I tried to underline in my first answer, the starting point here is that the unit in Arna is going to pass as a position of office, but not as a county office of its own. What remains is that we maintain a near-police model. There will be people with good local skills serving the site, and it will provide increased accessibility for the local population. So we can't see anything else but that all of the assumptions that were put in are taken care of here. When it comes to volunteering, I would say that for example. The city council, which is our consultative board, has said that this is a good way to do it. So I have the greatest expectations in terms of the population getting good police services with the near-police model that we're in favour of, and that's based on Storting's assumptions.
ParlaMint-NO_1998-10-28.ana.ud1702e1279	The question to the Council of State will then be: does what she now says, that those who are going to serve the district of Arna become the same all the time, that there will be no exchange of personnel, between Åsane and Ulset and the Arna area, but that there will be the necessary local knowledge among the police? In that case, I think the police officer in Bergen doesn't have the same thoughts about how to use his crew effectively. But I also asked another question. The Council of State has made a clear statement on the question of volunteering, in fact in Arna. In June, the Council of State was in Arna and said that one will not make mergers where there is no voluntary action. So now in Bergen in 1995, it was thought to be a police unit in Arna. Will the Council of State wait to carry out these mergers to the municipality, city council and county councillors have been allowed to make their own statements? Will she wait to make the merger until it is proven whether this is a voluntary merger or not?
ParlaMint-NO_1998-10-28.ana.ud1702e1286	I remind you again that what is the Police and Justice Department Hearing Body in such cases is the City Council – or the Presidency if it has been delegated to you – and this is what we believe is taken care of in this matter. As far as guaranteeing good local knowledge and the same staff is concerned, the situation today is that even within the police, people and new people are going to stop — and guarantee that you get ‘born’ at any police or county office, I may not be able to give, either there or elsewhere. But we want to build on this with close-up police and good local knowledge. Then I expect that you can acquire such knowledge as you serve in different places – even if it is within the same municipalities.
ParlaMint-NO_1998-10-28.ana.ud1702e1296	I will ask the Minister of Justice the following questions: ‘The majority in Stortinget decided in 1997 that Norway should conclude a cooperation agreement with the Schengen countries. The Government is now negotiating a new appointment. In order to stimulate the debate on the Schengen case, it is crucial with maximum transparency. Will the Council of State regularly publish the list of cases from the meeting of the Executive Committee of the Schengen Cooperation from the previous meeting, as the Danish Government does to the Folketing?’
ParlaMint-NO_1998-10-28.ana.ud1702e1305	I agree with Mr Aarrestad that it is important to stimulate the debate on the Schengen issue. The Government emphasises the need to exercise transparency and transparency in Schengen matters. Then it is just to add that the agenda of the meetings of the Executive Committee is usually reported in the department and is open to transparency.
ParlaMint-NO_1998-10-28.ana.ud1702e1317	I would like to thank you for the answer, that someone is now going to publish the agenda. In Denmark, Danish summary and briefing are also published, and it can often be as interesting as the case lists. The maximum transparency in these documents is known as decisive to be able to participate in this debate. Will the Council of State also contribute to the publication and sending of the report and summary, e.g. by the Foreign Affairs Committee?
ParlaMint-NO_1998-10-28.ana.ud1702e1322	As my first answer showed, the Government wants transparency on these questions, and current practice – which I thus explained – should be reassuring in that context. Of course, when it comes to media transparency issues, we have to make an assessment of each document, because, as you know, issues relating to negotiation and international agreements, in particular, have to assess whether publication can take place. When reference is made to Danish practice, I would like to say that we are also aware that the agenda for the Executive Committee meetings is forwarded to the relevant Danish Parliamentary Committee, and of course the Government has nothing against similar practice if this is desired by the Grand Committee.
ParlaMint-NO_1998-10-28.ana.ud1702e1331	Thank you for that answer. I expect it will be done in the future. Three weeks ago, it was announced that a person had been denied access to Schengen documents to some extent as far as the previous government was concerned. We want as much publicity as possible about such matters. So I ask again: will the Council of State in the future practise more publicity in Schengen than what was done before?
ParlaMint-NO_1998-10-28.ana.ud1702e1338	I have no problem answering the last question with yes, but I have to make it clear that when it comes to negotiating to ensure Norwegian interests in the best possible way, there must be an element that you should not give up all the negotiating cards until you can use them. This I ask for respect for, and this is also some of the reasons why the rejections are so frequent. We record absolutely all things, and then there must be something that is not public.
ParlaMint-NO_1998-10-28.ana.ud1702e1346	In my question, at least there should not be the underlying and fundamental mistrust of the Government that was in the previous question, so I will be able to put the following questions to the Minister of Justice: ‘The Ministry of Justice has rejected a complaint from Triangle Consult AS concerning the conversion of decisions on the subordination of scrap weight. In this case, questions should be asked about the willingness of the administration to carry out a genuine review procedure and not just to proceed with a decision at a lower level of administration. The civil officer's incriminating criticism of the proceedings was ignored. Can the Council of State defend such a procedure in its department?’
