ParlaMint-NO_1998-11-18.ana.ud1731e27	The called alternate of the Troms County, Ruth Stenersen, has taken the seat.
ParlaMint-NO_1998-11-18.ana.ud1731e991	With regard to the use of gills, Russia has also incorporated into its fisheries rules the use of gills for trawl fishing. But there is also an exception both in our and in the Russian regulations that the rice can be removed from the trawl when it is fished in very bad weather, and especially for the smallest trawls. Unfortunately, accidents on board which have damaged persons have been found to occur, for the toast is a heavy aluminium structure attached to the trawl bag and which in seagoing and bad weather is difficult to handle on the deck. That's the background. So there are enough cases where it has been fished without gills, but this does not mean that the vessels have been exempted from the other provisions on mesh size, which are also on silling out the small fish and leaving fields where there are too many small fish. As I mentioned in my first post, this has been a topic in fisheries negotiations with Russia this year as well as in previous years, and many measures have been taken in recent years to improve the situation.
ParlaMint-NO_1998-11-18.ana.ud1731e999	I have the following questions for our Minister for Fisheries: ‘Self population in Oslofjorden has increased sharply in a few years with a decrease in fish stocks during the same period. Last year, 15 cells along the Eastfold coast were allowed to be killed. Inner Oslofjord Fischerlag now makes a stock register and estimates the total cell stock in this area to 2000 animals. Would you like to take account of the increase in cell stock and recommend a significant increase in the set-aside rate for next year?’»
ParlaMint-NO_1998-11-18.ana.ud1731e1008	I would first like to point out that in 1996 the Ministry of Fisheries laid down a new regulation on the management of sales on the Norwegian coast. The purpose of the management of seals on the coast is to ensure viable cell populations. Within this framework, cell populations can be taxed as a renewable resource and stocks are regulated according to ecological and social considerations. Under that provision, a general prohibition on the capture of seals of all species on the Norwegian coast has been imposed. However, it is possible to authorise sales hunting in areas where stocks are considered to be huntable. Coastal hunting is allowed to take place in the counties for one year at a time. For the current year, the Ministry of Fisheries established a specific number of housing cells in the different counties based solely on biological considerations. This implies that the allowances have been determined on the basis of scientific recommendations. In view of the fact that sales have created special problems for fishing and industrial activities in the provinces of Finnmark, Troms and Nordland, it was decided in the summer to increase coastal quota by 30 pst. in each of the three counties. The Ministry of Fisheries shall, within a short period of time, fix quotas for the catch of cod for 1999. The total quota will be established on the basis of scientific recommendations. The population in Eastfold is per year. today estimated to consist of 300 stone copper. There are no recommendations suggesting that there is room to increase the Eastfold County quota compared to the year when a 15-animal quota was set. However, the new stock estimates from Inner Oslofjord Fischerlag will be further assessed before the quota for 1999. Fisheries authorities will also assess whether there is a social need to establish a higher exclusion than the biological basis alone. This would be the case for areas where one has knowledge that the seller is harming fishing gears and farms as well as where one has recorded problems with spreading parasites from the seller to the fish. I would like to draw attention to the fact that exceptional provisions have been laid down for cases where the seller damages fishing gears and farms in the sea. The owner, user or other person supervising the equipment or installation may kill the seller. However, before killing, other measures to avert damage shall be tried to a reasonable extent. Any killing of a cell shall be reported on the established form.
ParlaMint-NO_1998-11-18.ana.ud1731e1021	I thank the Council of State for the answer. The population of the Oslofjord area has doubled in a few years. This cannot be questioned through observations and records, although it is, of course, difficult to calculate the increase by an exact number. I am therefore very pleased that the Council of State will take a closer look at stock estimates based on the censuses carried out by Inner Oslofjord Fischerlag before establishing the new cutting quotas. So that's a positive answer. Only around Heia in the Outer Oslofjord has a supervisor registered 270 cells, while the number in the entire area – the Koster archipelago included – is estimated at the time. It is in line with the estimates made earlier by Inner Oslofjord Fischerlag. So this is about a killing permit, like it's been given for the current year, at a few tenths of a percent or per million -- if these numbers prove to be right. Does not the Council of State consider that realistic assessments need to be made by granting a higher level of permission for killing whose stock registration so warrants?
ParlaMint-NO_1998-11-18.ana.ud1731e1030	What I can say is that in the Ministry of Fisheries we are of course obliged to maintain the diversity of species of marine wildlife along the coast. But we'd like to admit that it's very difficult to get a complete overview of the size of local cell populations along the coast. It will be both costly and time-consuming to get such a complete overview. Of course, we will now take into account the reports coming from the individual parts of the coast and include them in the assessments when determining the management of selenium along the coast for next year. I can also say that we in the Ministry of Fisheries will look at whether we are going to change the administrative regimes we have for selenium, so that, in the way and within the resources that we have, we can make a better stock assessment.
ParlaMint-NO_1998-11-18.ana.ud1731e1037	I thank the Council of State for the additional response. The current year only seven seals of a total quota of 15 animals have been set aside. The reason, according to the hunters, is that each one just gets one sale to fall. If there is to be efficiency in killing, individuals must have a greater number of animals to trap. Would it be possible to open up to give larger allowances per. hunts, so that the hunt can get up?
ParlaMint-NO_1998-11-18.ana.ud1731e1044	I must admit that the Council of State was not familiar with that problem until it was raised here. But I think it is very important that we include in this context all the issues related to both taxation and the management of sales. I can therefore promise the representative Hedstrøm that it will be included in the assessment we are going to make in the harvest.
ParlaMint-NO_1998-11-18.ana.ud1731e1059	This question falls away. Question 10 will be answered in front of question 21.
ParlaMint-NO_1998-11-18.ana.ud1731e1067	I would like to ask the Minister of Justice the following questions: ‘2. In November 1998, a 90-year-old man in the ski was attacked and severely abused by a drunken 24-year-old. On Tuesday 3 November 1998, he was presented for questioning and saw free because, as has been said, there should be no risk of repetition. People's reactions are very strong. What will the Council of State do to bring case-law more into line with people's justice in this area?'
ParlaMint-NO_1998-11-18.ana.ud1731e1076	The terms of custody are set out in the Criminal Procedures Act. One condition is that imprisonment is deemed necessary in order to prevent him from committing another criminal offence which could result in a higher sentence than six months in prison. It is the right of inquiry that assesses and determines whether the conditions for custody are present. As the representative of Godal is sure to know, I cannot, as Minister of Justice, intervene in the activities of the courts, which are independent of the political authorities in dealing with individual cases. I am also cut off from commenting on individual decisions made by the court. In such cases, reference is made to the legal remedy system on which our legal order is based. However, I have also noticed people's strong reactions to release in this matter and in other matters that have been strongly promoted in the media lately. I don't have any trouble getting involved in people's reactions. A more effective management of violence so that the time between the seizure and the criminal response can be reduced is an important measure, and I consider this a priority task for the Government. Improvements have already been achieved in several districts, partly through the introduction of new resources and partly through improvements in routines. I can also inform you that the prosecution authority will seek to prioritise the further follow-up to the case mentioned in the question, so that a final decision can be made within a reasonable time.
ParlaMint-NO_1998-11-18.ana.ud1731e1087	I thank you for the answer, which I interpret positively. It is clear that the Council of State cannot go into individual cases, but it is the Council of State and the Stortinget's responsibility to ensure that we have a legal regime that is consistent with the legal system of the Norwegian people. I think I'm going to have to do some radical things now. Crime is developing in an unacceptable way. In this way, we will have to follow up with preventive measures. And one of the things that I think is absolutely necessary is that we get a much faster reaction from the truth done and until the trial comes to justice. I would like to ask the Council of State if it can think of a system in which particularly serious acts of violence were taken out of line, so that one gets a reaction in the judiciary immediately.
ParlaMint-NO_1998-11-18.ana.ud1731e1096	I agree with the representative of Godal that we must try to find ways to reduce the time between the crime and the reaction. But I'm initially very questionable if what was outlined as a solution, that one should be taken out of line in the event of serious violent crimes, will lead to something positive. Because we're painfully aware that we're going to be able to stop these crimes that happen, maybe by young people who don't have a long criminal career behind them, and try to get them into a new track, it's also very important that we get quick reactions there. Therefore, the difficult balances that obviously require quite thorough investigation.
ParlaMint-NO_1998-11-18.ana.ud1731e1101	I totally agree with the Council of State that it is important that young lawbreakers face a reaction quickly. But I also think it is very important that people who commit serious acts of violence, such as in the case that is the starting point for my question, do not become free for a long time before they are faced with a reaction. When people do crazy things, in my opinion, they should be put in pretty fast.
ParlaMint-NO_1998-11-18.ana.ud1731e1106	I would like to point out that the system we have with care is used where it is considered necessary to prevent new crime and to obtain the best possible lighting of the case. But here we have the Council of Europe's torture monitoring committee, which has given us credit for the improvements made in Norway in relation to long-term care, so that's not the way to go either. I therefore agree with the representative of Godal that here we must try, not least by improving efficiency and by assessing whether we can run matters faster through the judiciary, to improve what is our common concern: to show to society that crime cannot be accepted, and that criminals should not go free.
ParlaMint-NO_1998-11-18.ana.ud1731e1114	I have this question to the Minister of Justice: ‘Through the media, one has become aware of the fact that a guarded killer, subject to psychiatric treatment at Rogaland Psychiatric Hospital, has been granted several leave without police briefing. There seems to be some uncertainty about the division of responsibilities and authority between police and health services in such cases. What will the Council of State do to clarify the question of which responsibilities apply to psychiatric patients who have committed serious acts of violence?’
ParlaMint-NO_1998-11-18.ana.ud1731e1123	A person in custody is under the responsibility and control of the police. After examining the case with Rogaland police district, I have been informed that in this case the prisoner was subject to psychiatric treatment and admitted to Rogaland Psychiatric Hospital during the custody period. The hospital has, after a professional assessment, granted the permit, without the police's knowledge and without informing the police. During the leave, the prison member has always been the result of staff from the institution. The general rule is that a person who is in custody cannot be released without being ordered either by the court of inquiry or by the prosecution authority. If the prisoner needs to come to a doctor or similar or has other well-being reasons for temporarily withdrawing from custody, this is done by being produced by the police. In other words, he is under police supervision all the time. If the prisoner is undergoing psychiatric treatment during the period of custody, we must accept that treatment grounds may indicate that another form of supervision is being exercised over the prisoner. In 1992, the Ministry of Justice and the Ministry of Social Affairs and Health developed guidelines for the protection of health or criminal convictions under the protection of mental health. It will lead too far to get into these guidelines, but I can briefly mention that they, among other things. decide that responsible consultations shall seek the advice of the prosecution and prison authorities if longer leave or longer leave is available for persons convicted of serious violent or moral crimes. The guidelines are also assumed to apply during custody. In my opinion, there should be no doubt as to which rules apply. I understand that the institution, as part of the treatment, must have some leeway in terms of its ability to expand. However, if the prisoner is granted access to leave outside the institution, the police should be alerted. Although in these cases he is under the supervision of a professional, I understand that there may be reactions when he is observed out in society. As I have been informed, there has been contact between the management of Rogaland Police District and Rogaland Psychiatric Hospitals with a view to clarifying the rules applicable to Psychiatric Prisons in Psychiatric Institutions. I look seriously at this matter, as in recent years we have experienced several tragic and serious acts committed by psychiatric patients. In my view, it is likely that the aim should be to establish a mechanism in which contact is established between the prosecution authority and the institution in relation to transfers to the institution. Contact persons should be appointed at the same time and provision should be made for leave outside the institution to be provided without the opinion of the prosecution authority. Therefore, in consultation with the Minister of Health, I would like to address the question of how psychiatric institutions should be informed about their responsibilities and powers when they receive custody of patients and whether there is a need for change.
ParlaMint-NO_1998-11-18.ana.ud1731e1140	I thank the Minister of Justice for the answer, and I note that the Minister of Justice shares the concern that many of us have for the situation of psychiatric patients, which in given situations can become very dangerous. It seems a little pointless that the police and the court should use time and resources to get a confirmation of an extension of a custody sentence pending proper legal proceedings, if a psychiatric institution can in the meantime take the person in question – I do not want to call it a criminal, but a patient – who can then be granted leave without the conditions for leave being laid down in guidelines, and without the conditions for leave being based on judgments. It is precisely for the court to have the opportunity to premise also for leave that one has a security case and not a criminal case against sick people. Will the Minister of Justice take an initiative to ensure that the responsibilities between the police and the psychiatry are legalised to meet the needs of both the mentally ill and the public's need for protection?
ParlaMint-NO_1998-11-18.ana.ud1731e1149	As I said in my first answer, I expect that this should really be clear enough. But I have said that I want to take an initiative towards the Minister of Health with a view to clarifying these responsibilities. In this case, there was a custody prison in a psychiatric hospital, and for custody prisoners, the term ‘permit’ does not really exist. There are medical reasons why custody prisoners admitted to psychiatric institutions are given the opportunity to leave the hospital and it must be considered appropriate that the prisoner has a certain mobility authority under the supervision of medical professionals. The prosecution authority may not oppose this if it deems it necessary for the purposes of the proceedings. The problem is to be solved, and I can't say here that there is a need to change the legal situation, but the clarification is obviously necessary.
ParlaMint-NO_1998-11-18.ana.ud1731e1159	I have a question for the Minister of Justice: ‘6. In November 1998, a man accused in the Western Isle of Honor of trying to catch ots with mink traps. The case has been investigated by the Lofoten and the Vesteraal Police Chamber since 8 April 1997, i.e. over 1 year. Any expert on traps, as well as catchers and laymen, knows that it's almost impossible to catch ots in mink traps. The trial resulted in the accomplice making the claim of full acquittal. Does the Minister of Justice consider this to be a proper use of resources by police and prosecution authorities?’
ParlaMint-NO_1998-11-18.ana.ud1731e1168	It is the police chief who is responsible for how the work is prioritised in a police district. The Advocate General has a general professional responsibility for the prosecution tasks. The case-handling time in the current case was long because the lenman's office concerned for a period of approx. one year lowered the case due to other urgent tasks. The action in that case concerned three different items, and there was a conviction in the other two items. It was the evidence of the court that led the actor to claim the acquittal of the prosecution the representative Bastesen refers to in his question. I also draw attention to the fact that the judgment is not yet enforceable.
ParlaMint-NO_1998-11-18.ana.ud1731e1177	I thank the Council of State for the answer. There is agreement that the judgment is not enforceable, it is not even written, but it should be done that the judge writes something different than what is claimed by the actor when the defenders and the actor agree – enough about it. In the context of what we have seen here in the Oslo area of violence and madness, it becomes absolutely incredible for the district population to experience such a resource use and unreasonableness in such a process. The oilman could have solved the whole problem by calling the Directorate of Nature Management. They had then received a reasonable answer, and then the case had been dismissed. Isn't it time for the Minister of Justice to send a circular in which the police are required to use reason in such cases?
ParlaMint-NO_1998-11-18.ana.ud1731e1186	The President will remind the representative of Bastesen that the speech should be addressed to the President.
ParlaMint-NO_1998-11-18.ana.ud1731e1189	The Minister of Justice considers the fight against crime to be a reasonable priority in each police district has been delegated to the chief of police, who is responsible for making his own assessments on the basis of local circumstances. Both the Minister of Justice and the State Attorney General, in each of their fields, say what a judgment should be like or how the police chief should dispose of, but not in detail. Then I have been informed by the Foundation for Natural Research and Cultural Memory that the «submitted trap can catch oter». Time doesn't allow me to go into it more closely, but when this assessment was made by the chief of police, I respect that. We may also be able to gain visible evidence that there is something to be gained both by having a good governance dialogue with the various police officers, and by making other assessments of police forces around.
ParlaMint-NO_1998-11-18.ana.ud1731e1196	I thank you again for the answer. I know the report that was written at NINA. It's just that the scientist at NINA doesn't research for traps, and she doesn't know how to trap traps, that's not what's her specialty. Nevertheless, the views of this researcher are at the heart of police treatment. It would have been better if the mariner had called the Directorate of Nature Management, who, after all, has the necessary knowledge of catch and all the other catches. Furthermore, I note that the Minister of Justice does not want the gentlemen to use reason.
ParlaMint-NO_1998-11-18.ana.ud1731e1205	The Minister of Justice does not want to answer that observation.
ParlaMint-NO_1998-11-18.ana.ud1731e1211	I will be asked the following questions by the Minister of Labour and Administration: ‘In Hamar Arbeiderblad on 19 October 1998, we read that more and more businesses are looking for younger and younger people when new jobs are to be filled. Many job advertisements are targeted at people under 35 years of age. It is positive that young people are attracted to the labour market, but it is worrying that many employers, according to the newspaper, do not see the value of the fact that people over 35 years of age also have something to contribute to the labour market. What does the Council of State think about this development, and what can be done to change it?’
ParlaMint-NO_1998-11-18.ana.ud1731e1220	I share the concern of the representative Brustad if it is right that many employers do not see the value of older people having anything to do with the work. We need older because they're a resource. They have experience and competence that young people have not acquired. In addition, demographic trends indicate that the recruitment of younger people to the labour market will slow down in the years to come. We therefore need older workers to meet the demand for labour in society. However, I believe that there is no reason for great concern about the job prospects for those who have recently passed 35 years. Those I feel that there is cause for concern are the elderly, especially those who become unemployed from the mid-50s or later. Unemployment rates show that older people have more difficulties in returning to work than others. 25 pst. of the unemployed aged 30-49 years were long-term unemployed at the end of September 1998 compared with 41 p.m. in the 50-59 age group and a total of 64 pst. for jobseekers aged between 60 and 64. The government takes these problems seriously. Concern about the position of older workers in the labour market is the reason why, in cooperation with the social partners, we have developed an information booklet to focus on the resources that are older in the labour market. This presents research-based knowledge that underpins the importance of older people in working life. In order to keep older people in the workforce, it is essential that they have the skills required by the labour market. This underlines the need for a reform of competence for lifelong learning. There is also a sample in work, the so-called Early Pensions Committee, which looks at these issues. The selection shall consider measures that can help people to stay longer in work, either in full or part-time. This work will provide a basis for a more detailed assessment of whether new measures should be put in place for the group of older workers.
ParlaMint-NO_1998-11-18.ana.ud1731e1235	I thank the Council of State for the answer and, of course, I agree that this is the most cause for concern for the older workers and those who are long-term unemployed. But I also have to say that there is a frightening development when more companies in my own county are looking for people who are even under 35 years of age. At the same time, we see in an Oslo newspaper today that there are becoming tougher and tougher in the labour market, that one should be healthy and so-called successful and work all the time in order to be able to participate in the labour market. It's a development that scares. I think it is nice to look at the situation of older workers in particular. But I have to say that this is a little strange in the light of the budget presented by the Government. I would therefore like to ask: does the Council of State think that the Government's proposal on almost halving the labour market measures for next year is a good contribution to helping long-term unemployed and older workers?
ParlaMint-NO_1998-11-18.ana.ud1731e1242	Now the question got a slightly different character than the original question. I want to say, before I respond to the latest, that the state as an employer is actively working with senior policy. This does not mean working for older people to leave their working life as early as possible, but it does mean that they should have opportunities for development even at the end of their working life. With regard to the 1999 labour market measures, which we are sure to get back to in the budget debate, they have been put at a level based on an assessment of the labour market situation as we see it now. At the same time, we say that this is a point where we want to have full attention to development. And if that is needed, we will of course come back later with other figures on the level of intervention. At the same time, we must now use the opportunity we have, to get long-term unemployed into work, through shorter AMO courses aimed at the market. We see that it is useful for groups other than ordinary workers to enter the labour market in the economic cycle we now have.
ParlaMint-NO_1998-11-18.ana.ud1731e1254	I have a question for the Minister for Transport: ‘By unanimous decision of 28 April 1997, the Stortinget Government asked for the establishment of interdisciplinary accident analysis teams to investigate traffic accidents in different parts of the country. Despite a regrettable increase in accident rates, the decision has not been followed up by the systematic establishment of such groups. Where does this matter stand, and what progress plan does the Ministry have for further work?’
ParlaMint-NO_1998-11-18.ana.ud1731e1263	I would like to start by stressing that I welcome the creation of accident analysis teams as one of several tools for getting better knowledge of the causes of accidents, and thereby the basis for taking the most effective measures to reduce the number of accidents. The work of accident analysis teams is intended as in-depth analyses of a limited number of accidents. A more fundamental analysis of the situation provides a deeper understanding of accident-related conditions. This work will be in addition to the extensive work on accident data that has been carried out for many years, and can provide us with additional information that is not possible to obtain from the traditional work based on police accident reports. For a long time there has been activity in this field under the direction of road offices in some counties, such as the United Kingdom. Vestfold, Rogaland, Süd-Trøndelag, Nord-Trøndelag and Finnmark. In order to harmonise and improve this work, the Directorate of Roads, following on from the Storting initiative last year, has drawn up a proposal for guidelines for further work on accident analysis groups. This proposal is now being considered in the departments concerned. Further work will also involve contact with road offices, so that those who are to participate in the scheme follow as closely as possible the arrangements drawn up. The aim is that already this winter accident analysis teams should be established to work according to these guidelines. Based on a professional assessment, there is no need to undergo all serious accidents throughout the country in order to obtain the knowledge that such analyses can provide. It is therefore initially aimed at setting up accident analysis teams in nine counties to study different types of serious accidents.
ParlaMint-NO_1998-11-18.ana.ud1731e1274	I thank the Council of State for the answer, which I am very pleased with. This with the establishment of accident analysis teams is now imminent, and it has been done in the light of the time since the Storting decision. The number of accidents involving vehicle combinations is increasing. 365 persons were killed or injured in such accidents last year. Cargo drivers want an investigation of the accidents to find the causes, and so they also believe that the accident figures can be reduced. I have noticed that the Transport Economics Institute in a 1996 investigation pointed out that driving a heavy-duty vehicle is so different from driving other vehicles that any investigation teams should also have a representative for drivers of such vehicles, i.e. a professional specialist. There was also an important point in the debate in Stortinget in advance of the decision to set up multidisciplinary accident analysis teams. Is this taken into account in the guidelines under preparation?
ParlaMint-NO_1998-11-18.ana.ud1731e1281	The guidelines currently being developed aim to have expertise on cars, on technical issues and on roads, as well as medical expertise and contact with the police. Furthermore, the guidelines make it clear that it may be appropriate for road offices to involve other groups in the work. For example, in studies involving heavy-duty vehicles: be relevant to the involvement of a representative of the Norwegian Transport Workers’ Association or the Norwegian Freight Car Association, and it may also be relevant for other road users’ groups, depending on the type of accident being investigated.
ParlaMint-NO_1998-11-18.ana.ud1731e1286	I thank the Council of State for the additional response, which I am also pleased with. He specifically replied that it might also be appropriate to involve representatives of the truck industry, specialists in this field, but that flexibility should be demonstrated in this system and assessed according to the need – so the answer is fully satisfactory.
ParlaMint-NO_1998-11-18.ana.ud1731e1294	I will ask the following questions to Minister for Transport Odd Einar Dørum: «The Post Office has proposed adjustments to postal code numbers from 1 March 1999. There will continue to be very many of Bergen's inhabitants who do not get Bergen specified in their postal code, despite their having an address in the city. The chairmanship in Bergen has several times addressed the Post Office that Bergen is used as a postal address, but without results. Will the Council of State do anything to comply with the requirements of the municipality of Bergen, so that Bergen is specified in all postal addresses in Bergen?’»
ParlaMint-NO_1998-11-18.ana.ud1731e1303	The entry Norge BA, through the new postal code system, suggested that all persons with a mailbox address should use ‘Bergen’ in their address, approx. 10,000 customers. Such an introduction of the «Bergen» postal address will meet the needs of industry and public enterprises to a large extent. Today, approx. 26000 households «Bergen» in the postal address. With the new system that the Post is now introducing, approx. 85000 households could use ‘Bergen’ as an postal address. I have been informed by Posten that the original proposal from the municipality of Bergen was that the site name should also be used in addition to the “Bergen”. This is not in accordance with the standard built up in relation to addresses dealing with name, street/road, postal code and place name. Due to the technical assumptions made in the sorting machines of the Post Office for proper sorting, sorting will be carried out at a higher quality level if there is one reference point in the address in addition to the postal code. In addition, it is important that such a reference point represents only a limited number of postal recipients. This increase, if any, could have negative consequences in terms of quality, reliability and delivery time in terms of postal services.
ParlaMint-NO_1998-11-18.ana.ud1731e1310	I thank the Council of State for the answer, but it is in the nature of the matter that I am not quite satisfied with it. This postal code adjustment for Bergen, on which the Council of State was in, is going to include almost 100,000 people. I've seen numbers like 85,000 people, but I've also seen used numbers like 90,000 and 95,000. These approx. 100000 people will receive the ‘Bergen’ in all postal codes. Then why is it so hard to get this for the other half of the population of this city? I find it strange that the Post Office, which the Council of State had in mind, stated the quality, reliability and cost level as a basis for not being able to use the name of the ‘Bergen’ as an address. This despite the fact that other Norwegian cities, and not least many foreign cities, are doing so in an excellent way. Not least, I find it strange, as the Council of State confirmed, that everyone with a mailbox address in the municipality can use "Bergen" in their address.
ParlaMint-NO_1998-11-18.ana.ud1731e1319	It is such that after the reorganization of the Post that has taken place, government councils do not closely supervise the Post Office’s activities. I am responsible for ensuring that the Post meets quality objectives, and the quality objectives imposed by Stortinget go, among other things. on the availability and efficiency of money. There are also lots in this room that think you should spend less money than for example. the government's intention is to use in so-called unprofitable postal services. The item has been subjected to a very significant conversion pressure and is responsible for it. In the light of this, it proposes to have the best possible sorting systems and to keep the lead times. The question asked concerns households in Bergen, and 85 000 households mean – in normal Norwegian – that more people are involved. I'm not going to try to guess, but I find out from the pulpit, as I said in my answer, that it's about 85 000 households. That means you've come very far with this. Getting beyond this, has the constraints that I've explained in the previous answer. Of course, I will take the representative's wonder to see if it can be drilled more in it, but I have no other answer to give than what I have already given.
ParlaMint-NO_1998-11-18.ana.ud1731e1326	The last council said, I could look at it as a little handshake. However, I have to say that, according to them, Bergen Postgebiet has argued in a very heavy and extensive dialogue with the central units of the Post Office for the provision of postal code zones and for the use of ‘Bergen’ as an address for all postal addresses both for postal address and street/road address mail, as the chairmanship of the Bergen wants. Then my last question becomes to the Council of State: Why does the central management of the Post not follow up this desire of the local postal administration in Bergen instead of adopting this somewhat arrogant attitude that is here expressed by the monopoly company Postverket by saying no?
ParlaMint-NO_1998-11-18.ana.ud1731e1333	Councillor Lilletun. I'm sorry, it was the Dørum Council. There's a big difference between these state councils, both in speech and more.
ParlaMint-NO_1998-11-18.ana.ud1731e1336	But at the spiritual level, the difference is far less than anyone should know.
ParlaMint-NO_1998-11-18.ana.ud1731e1341	Good!
ParlaMint-NO_1998-11-18.ana.ud1731e1344	To that question and the comment I received, it is not that the Post, as the representative says, is just a monopoly company. In fact, it competes in the market beyond the exclusive jurisdiction, following a mission from Stortinget. In this competition, the Post has made sure that it is effective, has a service objective and at the same time does not spend more money than the Stortinge grant, in order to ensure the services. At this point of intersection, the central management of the Post has, within guidelines drawn up by the Storting, the right and obligation to achieve the best possible of the quality objectives, but at the same time make it the cheapest possible money. It's Storting's expectation. On that basis, there may well be a debate within the Post Office, but there is a debate going on there, and the management is ultimately in favour. My duty as a representative of Norwegian citizens is to keep up a service and quality goal, and it is, among other things, a matter of action. on the timely arrival of the post office. There may be changes, changes that are not as you were aware of when it came to the post office in the old days, to express it that way, but changes to maintain postal services. Especially in a situation where the number of transactions within banks decreases, I think we have to accept conversions. But critical questions are always received, and I registered such a critical question instead.
ParlaMint-NO_1998-11-18.ana.ud1731e1352	I would like to ask the Minister for Church, Education and Research the following questions: ‘Safety of future recruitment to research positions is a priority task for higher education institutions. Recruitment takes place mainly through doctoral degrees and post-doc. scholarships. The amount of the scholarship cannot compete with the conditions that many potential scholarship holders may receive as remuneration elsewhere. It is therefore necessary to introduce different incentives. Will the Council of State take the initiative to reintroduce the system that the interest rate in the State Debt Education Fund does not run during the grant period?’.»
ParlaMint-NO_1998-11-18.ana.ud1731e1361	First of all, I would like to agree with the interpellant that a good recruitment for research positions is very important. Access to support from the State Loan Fund for doctoral studies in Norway fell from the autumn of 1995 following a decision on the basis of the treatment of St.meld. No 14 for 1993-94. The exemption from interest is linked to the right to support during education and therefore fell away at the same time. It was a collective committee as in Innst. S. No 101 for 1993-94 joined the department's recommendations for no longer providing support for doctoral studies in Norway, while retaining the possibility of support for doctoral education abroad. This decision was based on a proposal from the Magistrates Committee which was then supported by the hearing bodies throughout the period. The Ministry now considers that the basic research institutions and the Norwegian Research Council should have overall responsibility for the training of researchers in Norway and also for the public funding of the training of researchers. The Ministry, for its part, has contributed to the creation of a new scholarship position with the possibility of high pay placement — up to 50 levels of pay, better pay placement for the usual scholarship position and high pay placement for postdoctoral positions. So I want to focus on improving the pay conditions for doctoral students, and will not consider reintroducing the right to a doctoral degree in Norway and thus a right to an exemption from interest during education. Nor is it reasonable for doctoral students to be eligible for an exemption from interest after the completion of the Bachelor’s degree, while others in paid employment should not have this possibility. The payroll in the ordinary position of scholarships is on the level of other positions in the State for academics at the main level. With the new position of scholarship, which is higher placed on a pay basis, institutions should also be able to compete better in desirable disciplines where they have to compete with the private sector for the labour force.
ParlaMint-NO_1998-11-18.ana.ud1731e1370	I thank you for your answer. And it was also reasonably clear that the Council of State would not use such an instrument to try to stimulate people to choose a scholarship to enter into research positions. I am well aware of the background to the change that was made in 1995. But things have changed since 1995, and we know that, in many cases, the level of pay in private business is significantly higher than a fellow can receive as a scholarship. It is important that we take care of those who want to enter research positions, that we do manage to stimulate them, and then we have to use different tools to do so. I'm also aware that you can use the paycheck in a different way than before, but we know that it's at the expense of the institutions. It will make it more difficult for institutions to perform other important tasks. So I'm going to ask the question again: won't the Council of State when he's going to present the research report in not too many months, discuss the exemption of interest during education as an instrument to stimulate research positions?
ParlaMint-NO_1998-11-18.ana.ud1731e1379	In my view, the option now provided for flexible wage fixing is more targeted than the previous general rate exemption. There is no doubt that the debate over the last few years has led to the creation of many new post-doc options, which unfortunately took longer to get started due to negotiations, and likeins will also be able to give a better result to what has now happened in the budget, where a remedy could also lead to an improvement. But at the same time, I will be at the end of the meeting of the representative, whether we want to talk about this in the research message, do a discussion and explain why I have the position I have. In such a discussion, both sides of these points of view will obviously have to appear.
ParlaMint-NO_1998-11-18.ana.ud1731e1384	I do not disagree with the Council of State that the instruments we now have using the pay bracket can be more targeted. However, the problem is that institutions have so limited wages and salaries that they do not use wages and salaries to encourage people to enter scholarship positions. There will be a fight between different interests, and there will often lose the scholarship. I think we have to be willing to use alternative incentives to get people to choose a research education, choose to go a research path. Because it's a big challenge to get more people to choose this as a way, in the conflict that's between maybe making a lot of money in private business, and choosing scholarships, which aren't always very high. I thank you for your answer. I thank you for this being discussed in the message, and I hope one will also discuss in general everything that has to do with research recruitment.
ParlaMint-NO_1998-11-18.ana.ud1731e1391	What was my point was that instead of using a scheme as general, and that actually costs a lot of money when it's used in general, I think it's better to find a more accurate way, to align it to the priority area in another way. And it's possible both from the Research Council's side and from the institutions' side. Of course, it has to do with the total budget, and it'll be tight. But the issues raised by the representative, Mr Requam, will be included, as I said before, in the research message, and in any case we will of course come up with what the representative, Mr Requam, said, to look at the recruitment process, to look at what has been done, and to analyse it. Then we will also give reasoning around the representative that Reikvam brought up. But per year. the date I feel secure on the position I have taken here, which is in accordance with the previous decision of Storting. But it is always possible to do new analyses and see if they still hold water.
ParlaMint-NO_1998-11-18.ana.ud1731e1401	I will ask the Council of State the following questions: ‘According to the Fädrelandsvenn, the headmaster of the Agder High School says that the school as an institution does not support the report prepared by a group of professionals at HiA on health surveillance information on youth life and sexuality. [[HiA]] Nor will the dean of humanities at HiA take the professional responsibility for the report, and she believes that such a report should have been prepared by several professionals from a wider professional environment. Does the Council of State consider that the report is drawn up by a wider professional environment than that used by the Health Authority?’
