ParlaMint-ES-GA_2019-06-26-DSPG122.u1	Good morning. Change in agenda development
ParlaMint-ES-GA_2019-06-26-DSPG122.u252	Thank you, Mrs. Burgo. Reply by the Councillor for Culture and Tourism.
ParlaMint-ES-GA_2019-06-26-DSPG122.u253	Thank you very much, Mr. President. Ladies and gentlemen. I also welcome the representatives of the Galician Actors and Actresses Association. Well, the truth is, ladies and gentlemen, when the Socialist Party talks about autonomy and it talks about independence, the truth is that there is a lot of contradiction and there is a lot of confusion. In fact, to me it was very difficult for me to really grasp what you are suggesting: knowing whether they are betting on greater control of the Galician Agency of Cultural Industries and, in this case, greater control of the Dramatic Center or whether they are betting on greater independence. I perceived a huge contradiction both in his words and — by the way — in the written part of his initiative. Because, on the one hand, they want an independent Drama Center — so they say — but on the other hand, they also want more control over the works that occur and the activity that takes place in the center itself. I say one thing or another. I understand that in the political sphere on the left there is a certain dispute over a certain political control of art, in general. The truth is, from the German Government and from our political formation there we are quite different. We believe in a society and a Dramatic Center that is absolutely open, plural and free and that has real autonomy, that is, it can continue to work freely, producing freely and according to laws, just as it has done in recent years. I am sure, Your Honor, that you — just like me — and your formation — just like mine — do not believe or believe in cultural inquisition; I am absolutely sure it is. But it's also true — and here comes the contradiction — that you pose a dilemma between independence, autonomy and control. What do you mean when you talk about independence or autonomy? What are you talking about? I'm going to tell you how the Galego Dramatic Center works: first, this center has its own budget — greater or smaller, but own — that it manages and manages with total autonomy; secondly, it has its own competence and ability to distribute its own productions without any interference or political interference, and thirdly, its director — or director, as is now the case — has full competences to decide on activity and theatrical production, both on own production and on co-production. What do you understand about autonomy? What do you understand by controlling? I would like you to clarify it, because I am also sure, Your Honor, that you — like me — understand that autonomy cannot be controlled or contracted by professionals without open and competitive processes. I'm sure you agree with me on this, that the professionals who hire the Drama Center cannot be hired — if I may say so — to finger. A public company — and the Drama Centre is a public company, in this case of theatre — has to ensure conditions of recruitment in equality, transparency and non-discrimination and it has to offer the same opportunities to all aspirants; it is no longer by moral principle, it is the law that directs it. In addition, as you know, different tables of dialogue with the sector have been called for in recent years to try to seek or break this intended churidian node that arises between the recruitment of actors and the claims to make a greater — in this case — freedom of choice without the procedures — we call it administrative — which marks and sets the Public Procurement Act. At these tables there were representatives of companies, actors, dramatists, programmers, and the truth is there was at the time a unanimous agreement, in such a way that the recruitment price should be made by promoting competition and that it was not a unilateral decision of each director, noting precisely that this was one of the main missions of a public company. By the way, Madam, this agreement was reached just before certain participants got up from the table and left the dialogue in this case; a dialogue that, even ahead of it, we remain ready to resume without any problems. Indeed, Mrs Burgo, the Galego Drama Center has been operating for thirty-five years. It is the reference center, without a doubt, of the Greek scene; it has been since its foundation, many years ago, in 1984, until today. It is also true that in the last three decades, in the last thirty years, many things have changed. Obviously, Galician society has evolved, cultural and theatrical activity has also evolved, and it has also evolved the way to access and enjoy culture; everything has been transformed. Today in Galicia we have a wide range of offers: we have private companies that are able to represent any type of assembly, and that is the great success of the Galician theatre, that there are companies that are able to represent any type of assembly; and we have high quality cultural equipment scattered throughout the entire Galician geography, in any part of Galicia we have access to an infrastructure and a cultural equipment of the highest level. And obviously the goals or mission of the Drama Center thirty years ago cannot be the same as today. In fact, thirty years ago there was more self-programming, there was more self-production, because the sector was much weaker. Today there must be production itself, but co-production must basically be fostered. Why? Because there are high-quality professional companies that can do it very well, by the way. However, Mrs. Burgo, the reality of the theatrical scene that you bring us here, to this chamber, is certainly not how you paint it. Now, very recently, the Galician Council of Culture has edited and published a diagnosis made by the Galician Council of Culture, where it tells us that indicators of private consumption of culture and attendance at shows have shown a great deal of good behavior in recent years. You told me about the budgets: you should know — I am sure you know, what happens is that you do not say — that in the last five years the budgets of the Board devoted to the performing arts grew progressively, overcoming — I insist — the investment of the years prior to the crisis, where the management of these production centers was of the PSOE-Bloque Bipartite. And so, in recent years, there has been a very remarkable increase in the shows scheduled: from 718 theatrical shows in 2013 to 1,326 in 2018. In addition, the number of spectators has grown markedly in recent years: you have seen that in 2009 there were one hundred and forty thousand spectators on Agadic cultural networks — one hundred and forty thousand in 2009 — and today there are over two hundred and twenty thousand. It means that we don't create public, that the theater is being smashed, that everything is being destroyed -- yet there's a very remarkable increase in the audience, right? One hundred and forty thousand to two hundred thousand. You were also talking about the fact that there is no rotation of your own productions: man! Divine words were the ten Town Councils, among them, Madrid. You were talking about going to big cities: because look, some cities have never been because they never asked for it; some of the big cities — for example, Lugo — never asked for it. [[Murmurs.]] And it went to municipalities like Vigo, like Rianxo, like O Barco, like Ourense, like Cangas, etc. He says there are no co-productions; man! last year there were four: Paths—of Butaca Zero—, Arnoia, Arnoia, Elisa and Marcela and Anarchisms. The truth is, it's very easy to override the serial arguments that aren't really supported and not based on the data. You were talking about a meeting of INAEM: we actually know that meeting, we know it happened, and we also know that in seven months since the first meeting we've had no results or proposals on the table. I wish you'd come out and wish you those conclusions or those proposals were of interest, but in the last seven months, the truth is we haven't met them. In any case, ladies and gentlemen, everything is likely to improve, but we must continue to work and respect and guarantee the independence of the artistic fact, the transparency and plurality of public procurement processes and the freedom and autonomy of professionals in the sector. And it's over, ladies and gentlemen. You brought here the name of a person we respect a lot and with whom we collaborate a lot, and here you're saying that you seem to have resigned because you were in disagreement, that you felt badly treated or that you didn't like it at the Galego Dramatic Center. You know how I — I'm sure — this person is going to leave us — and we deeply regret it — because he's going to take on a very remarkable professional improvement, of which we very much welcome. But at no time is the fact that leaving the Galego Drama Center is a negative fact for the Galego Drama Center; on the contrary, it is a positive fact, because it is called to greater responsibilities in the Spanish scene world. [[Applause]] With which, thank you very much, ladies and gentlemen, let us hope that next you can bring more rigour. Thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u254	Thank you, Counselor. Replica, Mrs. Burgo.
ParlaMint-ES-GA_2019-06-26-DSPG122.u255	Thank you very much, Mr. President. Counselor, the subconscious makes him see things and, above all, listen to things that don't exist. I never once said the word "control," and you actually gave it to me, I don't know why. I'd like you to listen to me, because even if you listen to me and, above all, even if you listen to the sector, you better understand things, look. Because you won't understand me, but I'm saying the same thing as the professional sector of interpreters and scene management. [[Applause]] She meets with them and I'm sure they can explain things to her much better than I do. What do we want and what did I say? Well, maybe I didn't say it, but I'm going to repeat it, see if we understand each other this time. Agadic's creation law is not developed, and the second transitional provision says that production centres are registered with Agadic "while a specific entity is not created for the management and coordination of cultural production centres of public ownership". Do you want to create this entity or do you want to create it? Because what the sector is asking for — and here we are transmitting, and we are in agreement with the sector — is that we need to provide the Galego Dramatic Centre with a proper legal entity with sufficient autonomy and budgeting, the revision of the co-production and residence system and the reformulation of distribution mechanisms in search of selection procedures that combine all elements, creation and equal opportunities. Let's see, Counsellor, aren't you surprised that you're just using this public selection system, that we can't find any other production centers using the same system? What's the matter, what are you smarter than all of Spain? Well, maybe it's better to look at what's being done out here, compare the different systems and achieve a system that makes situations easier. As I figured out perfectly, you didn't answer the other problems in the center. Budgets when they grow? Because that's not enough. And from the relationship with private companies, look: a co-production at all is to leave production own in the hands of a private company through... No, that's not co-production. [[Mr. Rodríguez González utters words that are not perceived.]] If you want, you meet with the sector, which will explain better to you than me that it is a co-production. No, that's outsourcing a service and saying that there's a production itself, that it's not, but that's not a co-production either. [[Mr. Rodríguez González utters words that are not perceived.]] On the other hand, you're with which Lugo doesn't call the Galego Dramatic Center: it's that I personally called him as a cultural conceler! So maybe you need to check the data you have, because it's in front of the Galego Drama Center. Look, the Galician Council of Culture: read, please, well the diagnosis of the Galician Council of Culture. I don't know if you remember — but I remember you — that the Galician Council of Culture made a report in 2014 that advocated and said that it was absolutely necessary what the sector is asking for and all the opposition from the beginning: a plan of scenic arts, what is needed is a plan of scenic arts. And I don't say it here, without more; say it — if you like it better — the Council of Galician Culture. Just like it's necessary to make a law of performing arts. Where is he? It had already been done by the previous Government, and also the sector sent one. They don't want to do it, so that's what you see, and that's what's really necessary to boost the sector. I'm very concerned about this idea that the whole theater ecosystem in Galicia has changed a lot and that there are many private companies that can do any kind of assembly. It's true, of course it's true. But does that mean that the Galego Dramatic Center is becoming more and more unnecessary? You say it, because, with your political acts and your politics, you are saying it, without production, without budgets, increasingly poorer, with less activity. What does that mean? And, please, Counselor, don't put words in my mouth that I didn't say. Whenever you want, we talk about the control of culture; when you want, we talk about the ways in which you try to control culture -- that we all know it -- and, when you want, I explain how it does and what happens when culture has it on the right. Thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u256	Thank you, Mrs. Burgo. Close the interrogation by the Culture and Tourism Councillor.
ParlaMint-ES-GA_2019-06-26-DSPG122.u257	Very well, Mrs. Burgo, you and I have been no longer conciliators for many years; you in Lugo and I in Lalin, in my village. But I'm just telling you, and you can't beat me up, that in recent years the city of Lugo hasn't been, and always ruled the Socialist Party, that can't be bounced. The truth is, Mrs. Burgo, I'm listening to her. And I'm glad to hear it. But, above all, I read it. And I'm happy to read it too. And in his initiative he literally speaks of "control." I literally read: "Loving the Agadic the control of the work." But he escaped here too. You also mentioned here clearly how we're going to leave a co-production of a public company in the hands of a private company. That's why I'm talking about a contradiction in his speech. Because, on the one hand, it seeks or presents the need for greater autonomy, but on the other hand, it tells us of greater control. That's why it's very hard to know what we're saying, because it's in favour of autonomy or control. And we've already told him that the Drama Center has full autonomy of operation and no political control. We told him and I told him on the previous initiative. And, of course, you keep saying and throwing data. He's talking about a few budgets. There could be more, obviously. But there's more than in 2009, there's more than in their budget, when Galicia, in 2009, was full of resources and money. There is more budget in the field of performing and musical arts today than in its time in 2009. It's also true that there have been very difficult years, it's also very true. But, fortunately, in the last five years we've been witnessing a progressive increase every year in the budget devoted to performing and musical arts. You say this is abandonment. I gave him the data: we went from 718 functions in 2013 to 1,326 last year. I know it's a purely quantitative data, but it's a data that measures the health of the sector, because there's more theatrical activity in the country as a whole. And another fact that's also difficult to question: you say they haven't been created or they're not betting on public creation. We passed — as I said — from 140,907 — in particular in 2009 — to 202,866 in 2018, in the previous year. I mean, there's a remarkable increase in the number of the Greeks and the Greeks who attend theater shows. It's data that I don't question, it's absolutely objective data. And obviously you put us in a dead end. We're asked if we're smarter than the others. We're not smarter than the others, we just have rigour and we have the data on the table. And in the field of public procurement, we comply with the law, simply and simply comply with the law. And, of course, continue to deny, continue to question, continue to put on trial the support of a sector of great importance to the culture of Galicia, as are the performing arts, when on the one hand budgets are increased, on the other hand the number of shows increases, on the other hand the number of spectators increases and on the other hand we have a greater number of companies with greater capacity and with greater possibility of performing shows across the country, is simply denying the evidence. And I've already told you before, and I repeat it at this, that with regard to the meeting that concerns you so much about Inaem, some of the issues that were discussed here, or that were talked about there, so some colleagues said, these are issues that we fortunately have been doing and developing with remarkable success in Galicia for a long time. Because one thing, gentlemen, is to say that it's going to be done, and another thing is to do. Because since the first meeting—it seems so bad to you that there was no representative of the board—there have been seven months, eh! seven months! And in seven months, as you know, there was practically no progress. In any case, we have a strategy for the cultural sector, we have a strategy for the scenic arts sector. We have no doubt that we have to seek a great deal of agreement to guarantee the future of the Galego Dramatic Center, we have to seek a consensus to address social challenges, social changes in cultural behaviors, in the way we consume culture, in the ways of offering the culture that exists and that are not the same as those of thirty years ago. And we have to keep working with the agents involved and also look for legal formulas. But from there to drawing, to pose, a scenario as black as what you're suggesting there's just an abyss. Nothing more and thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u258	Thank you, Counselor. Interpellation by Da Paula Quinteiro Araújo and D. Marcos Cal Ogango, of the G.P. of In Marea, on the policy of the Greek Government on equal treatment and non-discrimination of lesbians, gays, transsexuals, bisexuals and intersexuals
ParlaMint-ES-GA_2019-06-26-DSPG122.u259	Mrs. Quinteiro has the floor to make an inquiry.
ParlaMint-ES-GA_2019-06-26-DSPG122.u260	Thank you, President. Good afternoon and welcome, Counselor. Today we came to ask you about the law passed in 2014 of equality and non-discrimination of LGTBI people, because, unfortunately, despite the fact that the People's Party was one of the groups that approved this legislation—after that, yes, to make it largely out of content— five years later we see how this legislation turned into a completely wet role for the Government party. They didn't move forward with the effective measures nor did the legislation itself. It's been five years and we have to say that the balance is totally negative, totally dramatic. Because the worst of all, as I said, is that most articles containing this legislation are systematically violated. As I say, although it is insufficient, we consider this legislative framework at that time a very important step forward for the rights of LGTBI people. Speaking of some specific articles, it took a long time, longer than the legislation itself took itself into its additional provision, to render accounts to this Parliament. And when they did so with that report, we have to say that it was a totally sound report, almost a simple description of legislation and a couple of concepts or meanings associated with this issue, but not a report, as it should be, of evaluation, of compliance with law and measures. They even took measures that you didn't do yourself to form in that report. This is one of the articles of the law that don't comply. The same is true when we talk about the study that collects Article 12 in relation to the work area of LGTBI people. We would like to ask you — rather than that report, and we do not know it — what concrete measures they have taken to avoid, as you know, this very high percentage of unemployment and so high percentage of social exclusion in the collective. They also don't guarantee that people aren't pathologized, just the opposite. The unit that was sold here as a non-patological unit is quite the opposite. And even today we were talking to the collectives and associations, and the people directly affected themselves, and the families that accompany the people who go to this unit, say it's like a kind of ghetto. People have to move from their Town Hall to Santiago de Compostela, and still above all they don't have the resources they're demanding in this reference unit, just the same as ever: an absolutely limited, absolutely pathological look, which is exclusively speaking from the mental health field. As far as education is concerned, they also suspended because they made a protocol. And another of our questions goes about how they spread this educational protocol, that's the first part. But, above all, what measures have been taken to assess how this protocol is being implemented in schools. Because the protocol is fine, but if you're not spreading it, if you don't know all the professionals, and especially if you don't put it into practice as you should, it's obviously not enough. We therefore believe that this repeated failure to comply with most of the articles that make up this law is evidenced that it is not a political priority for the People's Party at all. And I think we've seen a change of speech in recent times. It's true that, fortunately, we don't have to hear homophobic comments as they did not so long ago, because apples and pears weren't that long ago, and the bond with drug addiction wasn't that long ago either. And they were people directly linked to the People's Party. I believe that, even though they changed their speech, that they removed these homophobic phrases that directly attacked the collective, they still have the same retrograde mindset, because that is evidenced by this repeated non-compliance with the articles of legislation. And they also give evidence of very specific issues. They voted against a gender identity law that was essential, that was urgent for our country. The people, the collectives, demanded it as an urgent, very important need, and you voted against it. And you don't have to look back a couple years ago. Even today, in the morning, they refused a proposal not of minimum law. It was an initiative that should be fully assumed. Most of the points called for compliance with the legislation that you yourself passed. That's why we believe that, despite the speeches they make, they haven't internalized this as a political priority. They don't respect people's freedom, and that's why it's so important that when they vote in this plenary session, when they refuse such fundamental initiatives for people's lives, when they vote for fundamental initiatives for people's lives, they think about a moment when they feel these people feel when they get to the doctor, and they have to listen often to comments that bring nothing at all, that they are treated as if they were sick when they are not sick, when it's not a disorder. They don't have to listen to totally unnecessary questions about who they were playing with, who they didn't play with; they don't have to hear that because they have genitals or others they're one person or another. Because they know exactly what I am. What they don't need is guardianship or segregation or anything at all. I would also like you to think of the constant questioning these people suffer, that they have thought of what it means not to recognize themselves in their own identification document, and of the implications that you have to hear names that sound alien to you and not even recognize you when they call you. So that's what people have to live in our country because you refuse to legislate specifically on the trans issue. As I say, they only ask for freedom, to be people with decision-making ability without anyone coming to tell them what to do, what to do. They know perfectly well, they're people who know perfectly what they are. You don't have any psychiatrist to come and analyze if that person really can be said to be a woman. Above all, as I say, with those questions. It would be good if they did these tests, for surely many women with female genitals, as you understand, wouldn't even pass those tests and vice versa. That is why I understand that health is fundamental — in fact, it is one of the central parts of our initiative — because it is one of the worst roads these people have to live. Because violence continues to exist, oppression continues to exist, constant explanations continue to exist and constant questioning of people who do not adapt to normative parameters. And the figures are terrible, they're dramatic, because all of this reality means that around half the trans people thought at some point in their lives they took their lives. There's a number of suicides in the very high trans-persons. These suicides are a failure of the system; they are murders, we could say. Because the system failed, they didn't give him the resources. If you feel all the time questioned, all the time guarded, all the time without the ability to say what it is... because it's just as simple issues as what you think you are, what you are. And above all, we understand that there are no speeches — because we've been listening to speeches for a long time — it's worth making. And, as I say, the fact storytelling of recent times is not at all positive. Many initiatives have been rejected—they have now rejected one, not the first time—, they have rejected that law so worked by the rights of trans people without any argument. Because they can't give it, because if they said the real arguments behind that rejection, they would be very bad in public opinion. Because there's a feeling already against homophobic speeches. But when such issues are accepted, violence is also legitimized. That's right, it's becoming legitimate, because all these people suffer and live with aggression and violence throughout their lives. And today what happens is that it absolutely depends on good luck. There's a very high level of discretion. You can have a lot of family, social support, or you can have none. You can be very lucky and have a doctor or a doctor who cares for you in a great way, of course there are them with a lot of sensitivity; you can have an educational center that leaves you, that respects you and supports you throughout the process. But it can also be the opposite side, you can feel completely alone. And the Administration has to respond to all these situations as well. It can't be that anyone else wants to take his life for feeling alone, for feeling a strange self, because there's no kind of reason. And by the way, in recent times we have seen a retreat. I hope it will not be consolidated, but in recent times the speeches by its partners are demolition. People who return to something as past as saying that homosexuality is a disease, with which they are constantly instilling hatred. And with those people, who are the same people who deny male violence, there should be no pact, absolutely no pact, because it's people who are constantly generating violence. And I'm done. Being diverse is a pride, so it should be for the whole set of people that we are in this House, it's a pride. But as long as legislation is not amended, as long as 100 percent of all articles that are already in approved legislation and progress are not being complied with, we're not going to be able to say that we live in a free society and in a society that defends people's freedom. Because just that we're talking about today, about freedom and rights, don't forget what we're talking about. Thank you.
ParlaMint-ES-GA_2019-06-26-DSPG122.u261	Thank you, Mrs. Quinteiro. Response from the Vice-President and President's Adviser, Public Administrations and Justice.
ParlaMint-ES-GA_2019-06-26-DSPG122.u262	Thank you, Mr. President. Ladies and gentlemen. Mrs. Quinteiro, you said that our group was the only one who didn't recognize it in that respect, because then in everything else you're the huge defender of everything that has to do with the LGTBI collective, with the gender identity. And the rest, especially the People's Party, we have no right to talk about it. For I am here in the name of the Government; if not, you would think we have no right to speak. He said it was one of the groups that passed the law in 2014. No, no, tell the things as they are. You, your predecessors — AGE, at that time — were the only ones who didn't pass the law, the only ones. Both PSOE and BNG also approved that law — pioneers, by the way, in the state —. You no longer wanted to approve it at that time, surely because you would think they were the only ones — I was the impression you gave me here today — with the right to talk about it, defend it, and say that you are aware of what there is a lot to do, that you've done a lot, but there's still a lot to do, and of course. And, of course, we're talking about homophobia here, we're talking about retrogrades, that the balance is dramatic, non-existent. Even so, we were talking about rejecting a BNG GNP. In fact, we call for a point of order. There were a lot of spaces for the deal, there were a lot of amendments that we thought about, and we kept thinking they'd improve the deal so it could be effective and so they could keep doing things. Of course, maybe it's not exactly interesting to reach agreements with the People's Party on this subject, because then all that hypothesis that you are the only ones and that the rest of us don't feel this or we have a right if we see that it's an absolute lie, an absolute lie! [[Applause]] I'm very glad: you said -- it seems to me that it was Mrs. Solla in 2014 -- that this, the law, was a mere propaganda, that it wasn't worth anything. He was not going to have any effectiveness, and all that was there was wet paper, that his application would not suppose any effectiveness. Today you come here asking us to apply the law because, in your opinion, it's not being applied properly. So it turns out that the law was good, the law could be effective. Of course I understand everything you say, and ask me how we're applying it. Indeed, at that moment they probably made a mistake and — I insist — the only group in the House that did not approve it. It's much more useful than just headlines for the press, as they said at the time, five years ago. Ask me about specific law enforcement issues. And that's what I'm going to try to answer. Interpellation has broad grounds and specific questions. And I, as always I have to come here fulfilling my obligation, what I try is to answer what the Government is doing to specific questions. Out of there, I know -- and I think it's important to highlight it because this ultimately is a dialogue between two -- you, with the things you said, part of the basis that, since we have no interest in this subject and we're absolutely opposite, we wouldn't have the right or apply the means. But we're applying them. We're a government that pushed this law, and, with most to approve it at that time, in 2014, it picked up an initiative and pushed it because we had most of it. I know you've upset them a lot with the People's Party, but it was the People's Party that, with most of it, allowed it to be approved. And we're very proud to develop it from that moment on. [[Applause]] Ask me about the medical field. Look, the law is clear. Article 20: "Health care will be guaranteed, according to the need and clinical criteria, practices and therapies related to transsexuality." Article 19: "The competent health counsellor shall ensure that information on homosexuality, bisexuality and transsexuality is collected by the World Health Organization to all people working in the field of health, both in the public and in private or concerted, so as to ensure that these professionals know" — and, of course, apply — "that information". Therefore, given all this, taking into account also a personal conviction and compliance with the law, the professionals of the Galician Health Service respect transsexual persons, their different gender identities and, of course, depatologist their application and therefore all the treatment they give them. You come here and say no, that's all the opposite. People arrive there, to a reference service, indeed, that has already attended to more than eighty patients in Galicia who attend these services, and their families. They have it in Santiago, with magnificent professionals to care for minors, in the CHUS, reference unit in Galicia. And he works in a multidisciplinary way — endocrinology, mental health and surgery. You say no, you say you don't care. Well, at last he speaks ill of these professionals, and I come here to speak well because they do it well, believe in his work and apply them very effectively. [[Applause]] He says they have to get out of their municipalities — I think it's perfectly understandable — to be attended to in the reference unit, it's well equipped. Any minor transgender who lives in Galicia can be cared for in this unit. I mean, it's been 80 patients since it was created. And, of course, we continue to conduct training courses for health professionals — still testing HIV prevention, 285,000, almost 300,000 — dedicated to testing this group in 2019. In 2018 thousands of preventive ITS packages directed specifically to this collective were distributed. Therefore, health professionals apply the law, and apply it effectively and with conviction. Tell me about the centers I love you. You say they don't do anything at all, this is a recurring thing. They have said since 2009 that the centers I love you were going to be removed. And it wasn't that but the opposite, they do more and more functions. And a lot of young people come to them who weren't there before. Well, they systematically attack every plot they're dedicated to. They're also dedicated to this, Mrs Quinteiro, they're still performing rapid HIV detection tests in these centres that you say are dismantled. On the contrary, they do more functions and more varied; 6,000 young men and women went to these centers to formulate some doubts or queries. I say that something we'll be doing right, and I say -- you might think otherwise -- that thanks there don't go, but all the trouble. The same can be said of the attention to the LGTBI collective of women's information centres. You are absolutely against — today we were talking about this in the morning — that they are benchmarks to address these groups. We believe that their distribution in the territory, their knowledge, the magnificent professionals — almost all women — who work there, make them suitable centers to attend to this collective as well — of course the necessary training, which is being given as well. You've decided that no, that these professionals don't know, and therefore they're not prepared, that they have no right and they have no capacity to attend to this collective. We think it's all the opposite, and I think it's us who are right. Of course, with reinforcements; of course, with training and, of course, with guarantees. Ask me also about employment situations. There's a lot left to do, no doubt. We know the statistics just like you. Hey! but things have been done, just like in other ways, since the law came into force. This year 2019 — not to go any further — the help of the Galicia Programme employs, as you know, to facilitate the training and recruitment of the most difficult groups to find a job — and this is without doubt — including an important novelty: the increase in 25% of the basic accounts, dedicated to encouraging transsexual people to find employment, in addition to the specific demands of this collective. In addition, this increase applies for the first time to the self-employment promotion programme and to the social economy programme this year 2019. And there's another important thing. A specific protocol was agreed with the Labour and Social Security Inspectorate to manage in a specific way and in a preference the complaints that anyone in the LGTBI group makes about discrimination at work and even discrimination at the time of access to that work. And I also hope it's of special interest, now that it's put into operation, the Observatory against Sexual Orientation Discrimination and Gender Identity, and I want to think that it's not a coincidence that you're presenting this interpellation. Listen, if it's an action-reaction movement, I'm very glad that we're still doing things for you to react. It's actually running this observatory and we expect a lot of things. Then in the reply I suppose it will give me time to talk more specifically about the start of this observatory and the things that we hope will be done with everyone's collaboration. Education — for as long as I'm left — In 2016 we presented an educational protocol to ensure equality, non-discrimination and freedom of gender. To what end? To advance in the attention of the diversity of the student, and of course also to meet specifically the needs, demands and discriminatory situations that could be given in the student LGTBI. Shall we spread it? Of course, and in many ways. First in the professor himself. It's already advanced, and it's known to more than 300 educational guides and guides from all over Galicia, one of the favorite groups that we want them to meet, treat and manage in the first place. We sent in 2019, to facilitate your consultation and use — I say because you asked for your dissemination — a folder to all the Greek educational centers with all these protocols, which are also available on the website of the Education Council. In 2016 we will present the first Action Plan for Equality in the Education Centres of Galicia, 2016-2020, with a very large activity and dissemination about all that has to do with harassment, non-discrimination and equality, specific objectives that are of great interest to the LGTBI school collective. We have, and we have also been pioneers here, a matter of free self-sustainment, gender equality -- already in the 2016-2017 course -- a first-level educational tool. I think it's important, I think it's brave, and I already say that there was no other autonomous community. Now there's a higher FP formative cycle, promotion of gender equality, which also touches all of these issues. Finally, Mrs. Quinteiro, we're doing a lot of things. The law now fulfills five years of vigil, has a lot of field unfolded, a lot of fields to develop, and we can do it among all of us. Of course, if you think you're the only ones who believe all this, the only ones who can speak and the only ones who have the right because the others can't talk about it, we probably do very little progress and, above all, we don't do any favors to the people we address and that we have to pay particular attention, which is the LGTBI collective. Thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u263	Thank you, Vice President. Replica, Mrs. Quinteiro.
ParlaMint-ES-GA_2019-06-26-DSPG122.u264	Thank you. Well, we're glad you're talking about this. In fact, they could talk more than they're talking about. Because you say we register this initiative with the observatory. If you want, you can make an inspection and evaluate how many initiatives there are of our parliamentary group and how many of them there are of the People's Party, how many times our parliamentary group has brought this issue to the full and to the committees and how many times the People's Party. I wish they'd talked more about it, but I wish they'd talked about it, too, from respect. Because yes, I repeat that they have often made many retrograde comments. And the hemerotheque is very good, you can take a look at it and see all the comments of people directly linked to the People's Party that offended this collective directly. That's right, obviously. We abstained when it was the law of 2014. And I'm telling you again that this legislation has brought about progress, but it has been totally insufficient. And we would do absolutely the same thing again, because it was totally insufficient. It's more, five years later we can check in an obvious way how this law has served nothing but propaganda, so they advertise every time they come up to this forum talking about the law of 2014. Because today, most of the articles you've signed are systematically not done. Let's talk about the issues. In health, the theme of unity. It's just that we don't criticize unity, it's that people who attend it directly to the unit. It's just that the families are doing it. You should listen to people who know what the deficiencies in that unit are. And it's absolutely nothing against the professionals of unity. It would also be good for them to clarify clearly — because there were a lot of changes — who directed that unity. This unit is conceived uniquely and exclusively from the scope of mental health, as an obligatory framework for people who already know what they are, who don't need a psychiatrist to tell them: Yes, I give you permission to be a woman. People know that. All they want is freedom. And obviously, if you want access to a certain type of treatment, to a certain type of operation, you have to have a unit, but conceived from that perspective, and not pathologize and force all people to feel they're sick. Because they're not sick, they don't have a disorder. And that unit is what it does. Besides, he does exactly as he did in the rest of primary care, but now in Compostela. They didn't create a unit that serves to form professionals, they didn't create a unit that serves to access the treatments that people freely decide, absolutely for nothing of it. It's just for someone, a psychiatrist, to tell you whether or not you can tell me you're what you are. The theme of the CIS is amazing. You're going to ask the CIM workers to see what they think of their decree, to see what they think. Do they have resources and they have the CIM professionals to meet, in addition, LGTBI people? No, and we don't. All the people who work at the CIM, who aren't even conceived for it. There must be specific resources. The Kerote+ centers have been dismantled, that's evidence. We can also compare the number of people who worked at the Kerote+ centers when they started, the number of people who are today and those who have closed. It's a very simple matter. And so you're the only one who's done with the CIM decree was to add a collection, but they've given absolutely no more one euro for people to do the job they have to do — if they want to, Mrs Prado could come to answer this initiative too, because she should be clear how women's information centres work. On the subject of employment they should know they're breaking the law. Nor did he tell me whether they're going to study, whether they've already done it, or whether they're going to do absolutely nothing to comply with this article of legislation. They've been using the law of 2014 for a long time as the argument that applies to everything, as the law that has already come to change everything at all. I say it's a breakthrough, but it's totally insufficient. The gender identity law was indispensable, it was an urgent necessity, and the whole of society supported that claim. Because it was the LGTBI collectives who did a huge job of getting support, socializing the law so that it would not just remain on the walls of this Parliament. And they refused it without giving any argument, there was no reason for it to be rejected. The only argument was that there was already the 2014 Law when you know that in the 2014 Law only the subject of transsexuality is collected as a minor article.
