ParlaMint-FR_2019-11-28-O1087.u1	As the Government was not represented, the meeting was suspended.
ParlaMint-FR_2019-11-28-O1087.u117	In my view, the issue of State public land must be considered with greater attention. When looking for land, for example to create areas of great passage, it happens that public land that was not known to local authorities is identified! The devolutions of assets have not always been made. I am thinking in particular of SEITA – a national company for the industrial exploitation of tobacco and matches – which was a state authority: in the course of land transfers, notarial acts did not always reveal the state as owner. The tax administration should therefore carry out a long process of updating the inventory of the State's land assets. If I have listened to you, minister, you are committed to this challenge; That is, I believe, what Dominique Potier legitimately asks of you.
ParlaMint-FR_2019-11-28-O1087.u118	Mr Dominique Potier has the floor.
ParlaMint-FR_2019-11-28-O1087.u119	It is an appeal amendment, minister: I am really willing, along with others, such as Mr Bazin, to open a dialogue with you and your services on these matters. The army, for example, is withdrawing more and more from our territories. However, calls for projects or expressions of interest in the production of photovoltaic energy are mentioned, we speak of foster land, we speak of complex housing operations... but we also sometimes see the state behave as a seller of opportunistic goods, without taking into consideration the projects of the local authorities and the FTEs – public land institutions. We see administrations unable to talk to each other to form a common island and meet the expectations of the communities. In short, for each parcel of land to be useful in meeting the challenges of tomorrow, we need an inventory, a strategic design; In particular, when it comes to clean-up, we must be able to take the initiative of looking for polluters to make them payers. This mapping would be a real piloting tool. The state cannot give community planning lessons if it does not deliver its own property, which, moreover, often constitutes a burden for it – the army must maintain important land for reasons that sometimes date back to the 19th century. There would be a nice process of re-consolidating state property, local authority property and private property to be carried out at the national level.
ParlaMint-FR_2019-11-28-O1087.u120	The Minister has the floor.
ParlaMint-FR_2019-11-28-O1087.u121	The Construction and Housing Code already provides for the existence of such databases for state property, and the Law of 27 January 2017 on Equality and Citizenship provides that they must be made available to local and regional authorities. It is therefore a matter of putting into practice an existing law: let us work on the subject with the State services, the prefectures... to move forward faster.
ParlaMint-FR_2019-11-28-O1087.u122	I have before me two amendments, Nos 66 and 14, which may be submitted to a joint debate. The Minister has the floor to support Amendment No. 66.
ParlaMint-FR_2019-11-28-O1087.u123	This amendment is linked to others that we will discuss later. As the draft law currently stands, the obligation to set up housing and land observatories no later than two years after the local housing programme – PLH – or the local inter-municipal urban planning plan of PLH – PLUI-H – has been made enforceable is restricted to EPCIs located in a tense area. We propose, with this amendment, to generalize this obligation.
ParlaMint-FR_2019-11-28-O1087.u124	I call Mr Potier to support Amendment No. 14.
ParlaMint-FR_2019-11-28-O1087.u125	In the same spirit as that of the debate on auctions in tense or non-stressed areas, we believe that these observatories should be set up throughout the territory, and at the scale of each scheme of territorial coherence – SCOT. We therefore propose to extend the obligation to set up housing and land observatories, with a logic of simplification; SCOTs must be tools for cooperation, planning and programming. This device should not be reserved for tense areas with an HPL. Mr Minister, with regard to the previous discussion, we were only inspired by a recommendation from the Court of Auditors on optimising the management of state land. This work is essential.
ParlaMint-FR_2019-11-28-O1087.u126	What is the Committee's opinion on the amendments under joint discussion?
ParlaMint-FR_2019-11-28-O1087.u127	She supported the Government's amendment and opposed Amendment No. 14. Mr Potier, I understand the spirit of your proposal. You mentioned the SCOTs, but your amendment obviously also concerns Corsica's sustainable development and development plan – PADDUC – a particular territory that you rightly defend. We decided in committee to link the land observatories to the PLHs, so that they would be established as close as possible to the territories. In our view, SCOT is not the right scale.
ParlaMint-FR_2019-11-28-O1087.u128	Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-11-28-O1087.u129	I will not call the Rules of Procedure, because our rapporteur is courteous and seeks consensus; But it cannot be said that the Commission is in favour of the Government's amendment: on the contrary, it has voted on its own initiative to restrict the obligation to set up these observatories to tense areas.
ParlaMint-FR_2019-11-28-O1087.u130	Thought is progressing!
ParlaMint-FR_2019-11-28-O1087.u131	That they are mandatory in tense areas, why not? But let us not extend this obligation to those communities that, in a non-stressed area, chose to set up HLPs when they were not obliged to do so. Some have chosen to set up such an observatory. But let us not load the boat: there are no land problems everywhere; An intelligent partnership with the local public property establishment can sometimes lead to studies. Extending the obligation to the entire territory, and more so to already enforceable HLPs, would be a very bad signal to the communities, in a tense budgetary context.
ParlaMint-FR_2019-11-28-O1087.u132	Mrs Pascale Boyer has the floor to support Amendment No. 56.
ParlaMint-FR_2019-11-28-O1087.u133	This amendment aims in particular at strengthening the tasks of the land observatories, by adding a mission to analyse the situation of land and real estate markets. In particular, this measured proposal will allow them to address the challenges of controlling land costs and limiting urban sprawl.
ParlaMint-FR_2019-11-28-O1087.u134	What is the opinion of the committee?
ParlaMint-FR_2019-11-28-O1087.u135	I thank Mrs Boyer for this proposal, which is in line with the mission report I presented to the minister a few weeks ago and the discussions we had in committee. Positive opinion, therefore.
ParlaMint-FR_2019-11-28-O1087.u136	What is the Government's opinion?
ParlaMint-FR_2019-11-28-O1087.u137	Same opinion.
ParlaMint-FR_2019-11-28-O1087.u138	Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-11-28-O1087.u139	I understand your intention, Ms. Boyer, when you ask the observatories to analyse the conditions in the land and real estate markets. But for having participated, like many of us, in the development of HLP, I know that the habitat observatories created by these plans are already carrying out such a mission. So your proposal is a little redundant. I will vote in favour of the amendment, but I am not sure that it brings something.
ParlaMint-FR_2019-11-28-O1087.u140	Mr Jean-Luc Lagleize has the floor to support Amendment No. 47.
ParlaMint-FR_2019-11-28-O1087.u141	It specifies the scope of intervention of land observatories. Some communities, together with promoters, define charters for the sale of social housing, intermediate housing and social housing. For such data to be available, the Land Observatory should monitor and publish it. I take this opportunity to reassure Mr Bazin about the land observatories: their establishment will be compulsory in the tense areas and in the EPCIs, where at least one of the member communes is in a tense area, but optional elsewhere.
ParlaMint-FR_2019-11-28-O1087.u142	What is the Government's opinion?
ParlaMint-FR_2019-11-28-O1087.u143	The tasks assigned to land observatories are already numerous, and we must be careful that the publication of information on the sale price of social, intermediate and social housing is not too much. That is why I rely on the wisdom of the House.
ParlaMint-FR_2019-11-28-O1087.u144	Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-11-28-O1087.u145	I understand, Mr rapporteur, that you are introducing this amendment in your personal capacity – it has not been discussed in committee. I wonder, however, that your amendment refers to the selling prices of social housing, whereas these are normally for rent.
ParlaMint-FR_2019-11-28-O1087.u146	These are dwellings sold to social donors.
ParlaMint-FR_2019-11-28-O1087.u147	The amendment should then be corrected by specifying that it relates to sales price data for "social housing for sale".
ParlaMint-FR_2019-11-28-O1087.u148	We're talking about VEFA, selling in the future state of completion.
ParlaMint-FR_2019-11-28-O1087.u149	But the price of VEFA is that of the sale of turnkey housing. Some contractors have sufficient in-house resources to start operations, but others prefer to go through VEFA if they are too complex, or if they want to accelerate the production of assisted housing. In order for the publication by the observatory of data on the VEFA to be relevant, and for the analysis to be complete, the cost of the construction of these dwellings should be added.
ParlaMint-FR_2019-11-28-O1087.u150	Mr Stéphane Little has the floor.
ParlaMint-FR_2019-11-28-O1087.u151	Once I'm not used to it, I don't quite agree with Comrade Bazin... It seems to me important to extend the powers of the observatories in order to publish information on the prices of VEFA. Perhaps you remember, we addressed the subject at the time of the review of the ELAN law: VEFAs give rise to incredible abuses, the price of the same social housing, in the same place, can vary by 30% or 40%. But they are financed by public money. A framework is therefore needed, and observatories are there to ensure it.
ParlaMint-FR_2019-11-28-O1087.u152	Mrs Sylvia Pinel has the floor to support Amendment No. 50.
ParlaMint-FR_2019-11-28-O1087.u153	As I said in the general discussion, it aims to strengthen the role of housing and land observatories and to give greater legal value to their interventions by submitting their creation for approval, following the model of rent observatories. It was based on the excellent report submitted to the Government by Mr. Lagleize, which called for improving the transparency of the land market by relying on much more reliable elements and following a rigorous methodology.
ParlaMint-FR_2019-11-28-O1087.u154	What is the opinion of the committee?
ParlaMint-FR_2019-11-28-O1087.u155	You are right, Mrs Pinel: the land observatories should, in the long run, be sufficiently impartial to be considered as real arbiters in terms of housing and land prices. Nevertheless, we have decided in committee to link them to the HLPs, at least initially, which has the effect of making them observational bodies rather than arbitration. In the long run, it will probably be necessary to label, or perhaps to assign, a status similar to that of rent observatories. This will enable us to accept Mr. Little's proposal to introduce a right of preemption in the event of a clearly exaggerated price, which is not possible today. But I propose to refer the matter to our successors; Let the observatories first settle and work. I therefore ask you to withdraw the amendment: we must go along the lines it indicates, but not immediately.
ParlaMint-FR_2019-11-28-O1087.u156	What is the Government's opinion?
ParlaMint-FR_2019-11-28-O1087.u157	Same withdrawal request, for the same reasons.
ParlaMint-FR_2019-11-28-O1087.u158	Mrs Sylvia Pinel has the floor.
ParlaMint-FR_2019-11-28-O1087.u159	[[Smile]] I would like to be able to trust our successors, in more than one way, in fact, but experience has shown me that, from one legislature to another, the orientations can vary.
ParlaMint-FR_2019-11-28-O1087.u160	Come on!
ParlaMint-FR_2019-11-28-O1087.u161	Perfectly, dear colleague. On zero-rate lending, for example, I think we both agree, but a little less so with the minister. That being said, I understand that my proposal is not feasible today. I therefore withdraw the amendment. I wanted the debate to take place because I believe that in order for this bill, which is likely to be passed, to be effectively implemented throughout our territories, the impartiality of the observatories must be guaranteed. We have the example of rent observatories, which have not only improved transparency, but also provide references that, in many territories, have an effect on the demands of some owners. Similarly, if housing and land observatories apply a methodology of quasi-scientific rigour and are approved as such, their action will also have an effect on real estate transactions. I see this as a long-term goal, but – as I say to the minister – we must not lose sight of it if we are to achieve results that will benefit our citizens.
ParlaMint-FR_2019-11-28-O1087.u162	Amendment No 32 corrected by Mr Jean-Luc Lagleize is editorial.
ParlaMint-FR_2019-11-28-O1087.u163	The same is true of Amendment No 4, as corrected by the same author. Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-11-28-O1087.u164	When creating observatories, the biggest challenge is to collect reliable data. In fact, the system is often based solely on statements from promoters and transaction editors. As Stéphane Peu put it, we sometimes see abuses, capital mobilizations, including by some donors, on land where it is frankly surprising that the price of land reaches such a level. However, it is the State that has the tax land data. So he has to commit himself. The approval requested by Ms. Pinel is also intended to ensure that the State transmits this data. Although the Regional Directorates for Environment, Planning and Housing – DREAL – have very competent services, the data available to them are often limited to volumes. Bercy's services should therefore complement them with information on price levels. If you are forcing communities to set up land observatories, the State must commit itself to providing the qualitative data at its disposal in a timely manner.
ParlaMint-FR_2019-11-28-O1087.u165	[[Mrs. and Mr. Members of Parliament and the Minister for City and Housing rise and applaud]] I welcome, ladies and gentlemen, the presence in the gallery of the Prime Minister of the Central African Republic, Mr Firmin Ngrebada.
ParlaMint-FR_2019-11-28-O1087.u166	We resume the discussion of the articles of the bill aimed at reducing the cost of land and increasing the supply of housing accessible to the French.
ParlaMint-FR_2019-11-28-O1087.u167	I have before me an amendment No 57 which is the subject of a sub-amendment No 63. Mrs Pascale Boyer has the floor to support the amendment.
ParlaMint-FR_2019-11-28-O1087.u168	It aims to determine the scope of the land observatory's activities. This must be the entire territory of the EPCI, even if some of its communes are not in a tense area, the aim being to preserve the coherence of local housing policy.
ParlaMint-FR_2019-11-28-O1087.u169	I call Mr Thibault Bazin to support sub-amendment No. 63.
ParlaMint-FR_2019-11-28-O1087.u170	Amendment No 27 would fall if No 57 were adopted. This sub-amendment therefore reproduces its content and aims to amend the deadlines set out in the amendment so as not to impose new burdens on the communities that have just spent a significant part of their budget on the financing of studies required for HPLs and LRPs, especially when these communities are not in a tense area and do not normally have to comply with the obligations attached to them.
ParlaMint-FR_2019-11-28-O1087.u171	What is the committee's opinion on this amendment and this sub-amendment?
ParlaMint-FR_2019-11-28-O1087.u172	Mrs Boyer's amendment faithfully reflects the work of the committee: it specifies the places to which the obligation to set up a land observatory applies, i.e. all tense areas and all EPCIs with at least one municipality in a tense area. The committee having debated it, its opinion is entirely in favour. Mr Bazin wishes to exclude from this obligation all municipalities that have already adopted a HPL. This restriction would not go at all in the sense of the mechanics we wish to create. This sub-amendment has not been discussed by the committee, but I am against it in my personal capacity.
ParlaMint-FR_2019-11-28-O1087.u173	What is the Government's opinion?
ParlaMint-FR_2019-11-28-O1087.u174	Same opinion, for the same reasons.
ParlaMint-FR_2019-11-28-O1087.u175	I have before me two amendments, Nos 16 and 15, which can be presented together. Mr Dominique Potier has the floor to support them.
ParlaMint-FR_2019-11-28-O1087.u176	The first amendment seeks to affirm that state-owned public land institutions are the programming tool for territorial coherence schemes. The second objective is to establish a regional pooling of land management, with the participation of, inter alia, FTEs and SAFERs. Without being brought together within a public authority, the relevant agencies would thus optimize their relationships in the service of a holistic view of land, a vision that is terribly lacking in the communities, as has been shown by previous arguments.
ParlaMint-FR_2019-11-28-O1087.u177	What is the committee's opinion on these two amendments?
ParlaMint-FR_2019-11-28-O1087.u178	These amendments aim to make FTEs strategic tools, whereas they are only tools for implementing strategies. This would impose on them tasks that they do not know how to perform or at least are not equipped to perform. Mr Potier, your amendments do not seem to me to be quite perfect: we will be able to work on them if you want. In the meantime, I propose to remove them; If not, the opinion of the committee will be unfavourable.
ParlaMint-FR_2019-11-28-O1087.u179	What is the Government's opinion?
ParlaMint-FR_2019-11-28-O1087.u180	These amendments follow on from the discussion we had earlier. EPFs participate in SCOTs; the question is whether they should become the local actor par excellence in their programming. I share your point: the FTEs must become actors in the development and are more closely linked to the SAFER, but also to the policies of industrial development and, of course, the control of land. They can also play a major role in the environmental preservation of our territories. For the past year, to tell you everything, I've tightened the animation of the EPF. I regularly see their Directors General in order to give them clear roadmaps. It would be useful to continue this work in order to reconcile the transitions in housing, but also in industry, agriculture and the environment, as well as to strengthen the role of FTEs in pairs with EPAs, public development institutions, and in relation to other actors such as SAFER. I therefore ask for these amendments to be withdrawn, but I hope to be able to work on them.
ParlaMint-FR_2019-11-28-O1087.u181	Mr Dominique Potier has the floor.
ParlaMint-FR_2019-11-28-O1087.u182	Mr. Rapporteur, Mr. Minister, I hear your arguments; But with regard to reforms, I am astonished at the relative tiedness of a Government that does not go with the back of the spoon on other subjects. Simplification is needed if we are to have a proper land authority in this country, a just and strong public authority. Nothing worse than justice without strength; As for the power without justice, you know what it is. The time has not yet come to discuss a land authority that would replace FPS and SAFER: another text may provide us with an opportunity. But considering that FTEs are de facto related to FTEs, it would create a planning forum in the same space, the same governance, with operational implementation at the same level. We would greatly benefit from that. Whenever there is confusion within the public power, it is weakened, which promotes commodification and benefits speculators. We propose a logic of efficiency, of effectiveness, to take a word dear to the President of the Republic. You hesitate to follow her: I therefore hope that the dialogue will continue and, in the meantime, I maintain my amendments.
ParlaMint-FR_2019-11-28-O1087.u183	The next speaker is Mr Aleksandre Freschi, in support of Amendment No 49.
ParlaMint-FR_2019-11-28-O1087.u184	As my initial amendment has been declared inadmissible under Article 40 of the Constitution, I propose an amendment of withdrawal. It aims to apply in part and on an experimental basis the proposal No 8 of Mr Lagleize's excellent report on the control of land costs in construction operations. The aim of the proposal was to facilitate access to efficient and coherent planning documents, by enhancing the dematerialization and transparency of data. It therefore suggested launching a pre-figuration mission to build a single database for public housing and real estate policies. This measure seems to me important, if not essential, for the good information of our local elected representatives.
ParlaMint-FR_2019-11-28-O1087.u185	What is the opinion of the committee?
ParlaMint-FR_2019-11-28-O1087.u186	Mr Freschi, your idea is in the right direction, but the departmental level is not necessarily appropriate for the creation of this unique database. This will have to be done, as there are now seventy-two databases in the field of land. The Minister will tell us what the Government intends to do in favour of this harmonization. On the other hand, at the moment we are talking, everything is not ripe to set up the database that you are proposing to us: it could be totally inefficient. The committee did not consider this amendment. I ask you to withdraw it; If not, the opinion of the committee will be unfavourable.
ParlaMint-FR_2019-11-28-O1087.u187	What is the Government's opinion?
ParlaMint-FR_2019-11-28-O1087.u188	There is already a database, from the tax bases, which lists cadastral parcels and real estate throughout the country; but it is not available in open data. This raises both the question of a departmental base and the question of its dissemination to local authorities. Many things are already under way, and we will continue this work with you. However, I do not think it is necessary to amend the bill. I request the withdrawal of this amendment; Otherwise, the Government's opinion would be unfavourable.
ParlaMint-FR_2019-11-28-O1087.u189	I have before me two identical amendments, Nos 37 and 42, to delete Article 4. The Minister has the floor to support Amendment No. 37.
ParlaMint-FR_2019-11-28-O1087.u190	It proposes the deletion of this article, the purpose of which is the creation of a fund for the clean-up of wasteland. The Government, in conjunction with the presidential majority, has been working hard and for a long time on the subject of wasteland, which is a huge issue of land-use planning. It is our whole policy of revitalization and renovation: I cannot go back to it. It has always been known that the major obstacle to the development of wastelands lies in the cost of their clean-up, which can compromise the financial balance and even the viability of the operation. Should a fund be created to support and finance clean-up? This raises other questions: how would the polluter-pays principle apply? It's not neutral. Who would feed that fund? The proposal for a law provides for this to be done by the Housing Action Group, which is often mentioned in this House. Since I was a minister, I have signed a five-year agreement of EUR 15 billion with Housing Action and a voluntary investment plan of EUR 9 billion. This is a total of EUR 24 billion in support of measures such as the construction of social housing or the conversion of 200000 baths into showers, which I have already had the opportunity to talk to you about.
ParlaMint-FR_2019-11-28-O1087.u191	That's a very good thing!
ParlaMint-FR_2019-11-28-O1087.u192	Thank you, Congressman. In any event, it is not objectively the Housing Action mission to finance clean-up operations. In addition, we have set up working groups to combat the artificialisation of soils and to find solutions in particular for the management of wasteland. Let us take an example that echoes your point, Mr Potier: one of the themes that I put on the agenda of our roadmap for FTEs and EPAs is the fate of the vast parking areas that are in many wasteland. We all know that they have the infernal property – it is the water and forest engineer who talks to you – to lead massively to the floods that we see here and there. This work is under way; Once again, I commit myself to pursue them with the method that is mine; But they are not yet finished. The creation by legislation of a fund for the clean-up of wastelands financed by Housing Action would therefore be premature, especially since attention should be paid to the application of the polluter-pays principle. That is why I am presenting this amendment.
ParlaMint-FR_2019-11-28-O1087.u193	I call Mrs Nadia Hai to support Amendment No. 42.
ParlaMint-FR_2019-11-28-O1087.u194	I am not going to go back to the words of the minister, to whom I agree, but only to the fact that Housing Action does not seem to me to be the right tool for financing wasteland clean-up operations. It is better to go through ADEME, the Agency for the Environment and Energy Management, which, in memory, has launched a call for projects in this field.
ParlaMint-FR_2019-11-28-O1087.u195	What is the opinion of the committee on these identical amendments?
ParlaMint-FR_2019-11-28-O1087.u196	The committee felt last week that it would be happy to accept these deletion amendments if the issue of clean-up of downtown wasteland for housing construction – whether industrial, commercial, administrative or otherwise – was also addressed, particularly in the working groups of Mrs Emmanuelle Wargon. We will therefore consent to the deletion of section 4 if the Minister undertakes to ensure that the subject matter is truly taken into consideration. I did not really hear it in your answer, Mr Minister, but you will probably explain it, so that we can vote unanimously and wholeheartedly in favour of these amendments.
ParlaMint-FR_2019-11-28-O1087.u197	Mr Dominique Potier has the floor.
ParlaMint-FR_2019-11-28-O1087.u198	I wish to reaffirm here, constructively, the position of the Socialist and related group on this bill. We support all measures to combat speculation, provided that they are universal and not restricted to certain areas. We are also in favour of simplifying planning and programming tools, because, once again, the lack of a holistic view of land is felt terribly – in this area, we are talking about experience. I am therefore very embarrassed by these amendments. We share the view that Housing Action is not the right instrument to finance a clean-up fund. In this regard, we had submitted two more relevant proposals than Mrs Hai's – without wishing to offend her – which the legistic game prevented from seeing. One concerned TGAP, the general tax on polluting activities; the other on taxes designed to combat speculation, that it would have been enough to increase by a few points to feed this fund to save the soil. I remember seeing the SCOT du Sud Meurthe-et-Moselle, one of the largest in France, divide by two its urban areas – industrial and housing – and at the same time return 50 hectares to the natural and agricultural areas, thanks to the EPF, thanks to a recovery plan which had led to derogations, at the time, from Matignon. We can testify that this virtuous movement makes it possible to associate the two phenomena. It is not a question of giving up the need to make polluters pay, but of anticipating and avoiding attacks on agricultural land where we can do otherwise. For this, there are alternatives to Housing Action. Nevertheless, we will refrain from taking a decision on these amendments, because neither the Government's renunciation nor the solution proposed by the rapporteur are satisfactory.
ParlaMint-FR_2019-11-28-O1087.u199	Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-11-28-O1087.u200	Clean-up of wasteland is an essential topic. It undermines a number of territories, which wait for a new use to be found at last. The wasteland is of two kinds. On the one hand, there are those for which solutions are achieved, sometimes even integrated into a private budget thanks to the polluter-pays principle; sometimes also FTEs, which have expertise in this field, manage to reduce the land price of the cost of clean-up, thanks to declarations of public utility. All this is going well. On the other hand, there are problematic cases where the total cost of the clean-up exceeds the value of the land, so that the balance of the operation is negative; State support can then be considered. To deal with these cases, Housing Action does not seem to me the right tool. We must remain fair and not be responsible for polluters. We have many challenges in this area, particularly the dismantling of wind turbines. Given the dimensions of their concrete base, it is not by requiring operators a simple deposit of 50000 euros that we can guarantee this dismantling! Especially since the blades are not recyclable, they are now buried in the ground! So the problem is real. We must adapt the polluter pays principle to current realities in order to avoid creating new industrial wasteland in the future.
ParlaMint-FR_2019-11-28-O1087.u201	Mr. Patrick Mignola has the floor.
ParlaMint-FR_2019-11-28-O1087.u202	Let us not lack ambition for such an important text. Of course, one can understand the reasons for limiting only the tense areas of the ban on the use of auctions for the sale of goods in the public domain. However, I have directed enough local authorities to know that the border is sometimes tenuous between tense and relaxed areas: because of the extension of the urban spot, efforts to limit land inflation within the former may have the effect of delaying it towards the latter. On this subject, therefore, we were already entitled to make some reservations. And now we are being offered another way of undressing the bill by renouncing the fund for the clean-up of wasteland. If we are to finally contain land prices, we must certainly fight land inflation, but also cause a massive influx of land into the market, regardless of its destination. In this regard, wastelands are therefore a central topic, especially since they have the advantage of already being impermeabilised. The situation of local communities, to which I call the attention of the Government, is another element to be taken into account. There is an urgent need for action because many public institutions for inter-communal cooperation and public land holdings have for many years been suffering from the presence of wasteland on their territory and no one is prepared to finance clean-up in order to put it back on the market. As a result, brownfields represent a heavy burden for local communities, which could invest more effectively elsewhere in the cost of their maintenance and are deprived of land they would prefer to exploit. In the absence of clean-up, they must also impermeabilize other soils in order to develop. [[Applause on the benches of the MODEM and LT groups]] The problem is therefore serious and urgent. But no one is ready to finance the solutions: neither the DREAL, nor the ADEME, nor Housing Action. However, this responsibility cannot be left to the communities alone! On the other hand, I understand, Mr.Minister, the value of applying the polluter pays principle, but most of the time, the land we are talking about was occupied by liquidated companies. In the end, therefore, the original person responsible for the pollution cannot be charged.
ParlaMint-FR_2019-11-28-O1087.u203	Please close.
ParlaMint-FR_2019-11-28-O1087.u204	I repeat, the urgency is absolute. Housing action may not be the best solution, but pending further action by the Government, it remains the only way to finance clean-up actions. According to the explanatory memorandum of the Government's amendment, concrete proposals must be made by the end of the year. However, in this case, we do not understand why funding has not been provided for this purpose in the Finance Bill for 2020. [[Applause on the benches of the MODEM and LT groups]] This article should not be deleted. Housing action will thus be able to take charge of these operations in 2020 before being relayed by the State in 2021.
ParlaMint-FR_2019-11-28-O1087.u205	The Minister has the floor.
ParlaMint-FR_2019-11-28-O1087.u206	Mr. Mignola, the Government has taken note of the problem: it has been working on this issue for two and a half years. I refer, for example, to the experiment that we are conducting with the EPF of Île-de-France and the bank of the territories in order, in particular, to respond to the situations mentioned by Mr Bazin, that of the wasteland which has long been abandoned by the industrial polluter or that of the wasteland which cannot be rehabilitated according to the classical economic equation. Should the financing of clean-up measures be limited to 15 or 20 years? Why not consider, after having extended the duration of loans for social housing for 80 years, that the duration of financing of the clean-up measures must extend to that of the investments which will succeed on the site, rather than concern only the undertaking taking over from those which have polluted? In fact, pollution is often caused not only by the last operator but by all those who have taken over the site. By allocating the cost of clean-up over a large number of years, we could allow projects to emerge when, without that, they would not see the light of day for lack of funding. This article is a problem for me because the solution it is proposing, that of a fund financed by Action logement, is not the right one. On the other hand, I do not want the Government's amendment to delete it to be taken as a sign of indifference to an issue that we have made a priority for two and a half years. Working groups have been set up to move forward with pragmatism. These are not the groups of Emmanuelle Wargon, but those of the Government. I took part in the first one; I strongly encourage you to do the same. I fear that the prospect of the clean-up actions being taken over by Housing Action will have the effect of depriving many actors of responsibility. That being said, you are right, there is an urgent need to act and we have not yet found the right solution. I have explained to you the reasons for my proposal, but I am well aware of its limitations. Let the working groups work; I pledge that they will reach conclusions very quickly, even if, in the event of failure, they will fall back on the solutions which will be judged the least bad.
ParlaMint-FR_2019-11-28-O1087.u207	I have before me an amendment No 59 which has been corrected and which is the subject of several sub-amendments. The minister has the floor to support the amendment.
ParlaMint-FR_2019-11-28-O1087.u208	Article 5 of the proposed law provides for competition between the State Real Estate Directorate and private experts in order to carry out the State valuation required by law before the transfer of property by a territorial authority or its acquisition where the amount of the property exceeds EUR 180000. While some evaluations may have been challenged by communities, the Minister of Action and Public Accounts has, over the past two years, undertaken several actions to improve the functioning of the domain department and the training of evaluators. These efforts will continue, in particular to harmonize practices between evaluation services. The Government intends to seize the opportunity offered by these discussions to accelerate this momentum throughout the country. It is the meaning of this amendment which, first of all, tends to devote to the legislative level the information provided in the opinions issued by the fields so that the communities are systematically aware of all the facts and methods adopted by the evaluator. These opinions will have to be in accordance with the charter of evaluation in force, drafted with the Association des maires de France to supervise the work of the evaluators and the content of which will be updated regularly. In addition, this amendment seeks to create a review mechanism for both divestitures and acquisitions, allowing a community that challenges a notice to obtain a new state evaluation. It is also foreseen that small municipalities and small public institutions for inter-municipal cooperation will now be able to seize, without threshold conditions, the domain service, both for divestitures and acquisitions. Finally, the amendment provides for the submission by the Government of a report detailing, for the benefit of Parliament, all available data on evaluation and comparing the practices of evaluators in the territories in order to inform the national representation of the activity and the results achieved by the departments of the Domain. In accordance with the position taken by the Government, and thus reverting to the initial provisions of article 5, paragraph 3, the new wording proposed to you maintains the obligation for the communities to seize the fields, since the latter retain the right to consult a private expert for further advice.
ParlaMint-FR_2019-11-28-O1087.u209	I call Mr Thibault Bazin to support sub-amendment No 65.
ParlaMint-FR_2019-11-28-O1087.u210	Like Mrs Battistel, we had to table sub-amendments to the Government's amendment because its adoption would bring down ours. This amendment, which I would call for – as the majority will act as it sees fit – proposes that the services of real estate experts should be used by the courts of appeal only in the event of a failure by the competent State service to respond. Otherwise, you might as well say things clearly and remove the service of the Domaine without further delay! It is true that the area service could improve the quality of its evaluations and work faster. But the alternative solution proposed would cost local and regional authorities, their groups and their public institutions. We cannot thus relieve the State of its responsibilities to the communities. That is why the content of the article seems dangerous to me and I call for caution. I would prefer that we work together to improve the activities of the services of the Domain.
ParlaMint-FR_2019-11-28-O1087.u211	Mr Dominique Potier has the floor to support sub-amendment No 58.
ParlaMint-FR_2019-11-28-O1087.u212	We too have been forced to table a sub-amendment. The solution proposed by the Government is not ours. We would prefer to modernise the areas. The situation is as ubiquitous as that which leads to the SAFRS being asked not to overbid in situations where the price of land results from the action of speculators freed from public control. I was rather in favour of modernising the calculation methods which took more account of the general interest than of the market price. Such a reform, more systemic, would have been preferable to the institutional DIY measures that you submit to us. However, since another solution has been chosen, we propose that you amend the Government's amendment so that, in order to combat corruption and conflicts of interest, the approved real estate expert conducting the supplementary evaluation cannot be involved in the real estate project to which the property concerned belongs. It's obvious, but it's better to include it in the law.
ParlaMint-FR_2019-11-28-O1087.u213	What is the opinion of the committee?
ParlaMint-FR_2019-11-28-O1087.u214	The Government's proposal is interesting in that it demonstrates the capacity of the domain service to reform when forced to do so. The article adopted in committee provided for alternative recourse to the fields by using the services of a private expert who had been approved by the Court of Appeal. The Government's amendment seeks to ensure that this remedy is no longer available as a substitute but only as a complement. The committee gave it a favourable opinion this morning, even if it does not correspond to the spirit of the scheme originally adopted last week. I welcome the ability of the areas to make amends and their commitment to retain only one method of assessment for the entire territory. It is also commendable that the services of the fields, in addition to the price at which they result, transmit the method of evaluation and the way in which they have applied it. That's very good and we can just ask ourselves why they haven't worked that way in 20 years. We also welcome the introduction of an appeal procedure – the hierarchical remedy, in administrative law. I therefore agree: the text adopted last week in committee, by a large majority, corresponded to 100% of the content of the report; Today we are asked to go back, while proposing to improve the service of the domains. Personally, I express my wisdom in calling for the goodwill of parliamentarians. Mr Bazin's sub-amendment goes in a way contrary to what the committee had planned last week. The opinion is therefore unfavourable. Finally, although the committee has delivered an opinion against Mrs Battistel's sub-amendment, it seems to me to be in the right direction. In my personal capacity, I will vote in favour.
ParlaMint-FR_2019-11-28-O1087.u215	Excellent subamendment!
ParlaMint-FR_2019-11-28-O1087.u216	What is the Government's opinion?
ParlaMint-FR_2019-11-28-O1087.u217	Opinion against both sub-amendments.
