ParlaMint-FR_2019-02-11-O1143.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-11-O1143.u188	What is the Government's opinion?
ParlaMint-FR_2019-02-11-O1143.u189	Same opinion.
ParlaMint-FR_2019-02-11-O1143.u190	I have before me two amendments, Nos 694 and 15, which may be submitted to a joint debate. I call Mrs Pau-Langevin to support Amendment No. 694.
ParlaMint-FR_2019-02-11-O1143.u191	Through this amendment, we intend to develop the idea of a school of trust. I agree with the rapporteur on the dignity of the teaching profession. As students, we have all had to deal with teachers who have enabled us to understand the world in which we live, and who have opened our minds. On these benches there are not those who know teachers and those who do not know them. We all have memories of teachers whom we respect and are all aware of their role in society. [[Michel Larive and Sylvie Tolmont applaud]] But if once teachers felt unanimously respected and could rely on the trust of their fellow citizens, today they have more states of soul. We must convince them of the nation's respect for them. To do this, you have to revalue their work. By providing them with a satisfactory standard of living and the conditions for the exercise of their profession improved, it may no longer be necessary to write in the texts that their profession is important. If we want more teachers, let's tackle their salaries. Let us open this debate to which the ministry is in a position to respond.
ParlaMint-FR_2019-02-11-O1143.u192	I call Mr Patrick Hetzel to support Amendment No. 15.
ParlaMint-FR_2019-02-11-O1143.u193	In order for the commitment of the teachers you regularly refer to to to be full and complete, it is necessary to improve the attractiveness and improve the teaching profession. With this in mind, the amendment aims to take into account certain tasks carried out, other than education. In committee, Minister, you argued that a project on this subject was under way. We would like to know more about your intentions with regard to upgrading, otherwise the school of trust would be nothing but vain words. There is a real expectation in this matter. Red pens have been carrying legitimate claims for several weeks.
ParlaMint-FR_2019-02-11-O1143.u194	What is the committee's opinion on these amendments?
ParlaMint-FR_2019-02-11-O1143.u195	Mr President, I agree with you that revalorisation is a legitimate claim. I believe, however, that this is not part of the education code, which is why I express an unfavorable opinion.
ParlaMint-FR_2019-02-11-O1143.u196	What is the Government's opinion?
ParlaMint-FR_2019-02-11-O1143.u197	On the substance, we can agree: upgrading as well as taking into account the time of teachers outside the class are subjects that deserve our attention. However, they are not the subject of this law, and they do not fall within the legislative sphere. They are part of our social agenda and will be dealt with in this framework, not in this law. Unfavorable opinion.
ParlaMint-FR_2019-02-11-O1143.u198	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-11-O1143.u199	This amendment is the only tool available to us to open the debate and discuss with the Government – that is what is commonly referred to as appeal amendments. We would be prepared to withdraw such an amendment if the Minister specified his intentions and made a commitment on behalf of the Government to upgrade the teaching profession and ensure its attractiveness. [[Applause on the benches of the LR group]] You ask us to trust you, but we want proof that we can grant it to you. I maintain this amendment because, obviously, we do not receive one.
ParlaMint-FR_2019-02-11-O1143.u200	What is the Government's opinion?
ParlaMint-FR_2019-02-11-O1143.u201	I am replying to you, Mr President, so as not to give you the impression that I am being stolen, but I repeat, this law does not purport to solve all the problems of national education. Thousands of topics could be addressed in our discussions. You cannot blame me for not doing so because, on the one hand, it is impossible and, on the other hand, it would turn us away from the path of this law. The question is not awkward, but to take up the register of one of your colleagues, it is out of the question. A social dialogue between the Directorate of Human Resources and the trade union organisations has been under way since April. The issues you raise are addressed in this context. The discussions allow us to clarify what we mean by the management of local human resources, which for me represents one of the very important developments in national education in the time to come. I have had the opportunity to say this in committee, which is through departmentalization, i.e. by entrusting more skills to the academic directors of the national education services – the DASEN – and even to achieve a sub-departmental vision. The objective is to achieve a more personalised human resources management, more attentive to the specificity of each individual and offering a vision of the career. Yes, this paves the way for greater recognition of all the actions of a teacher over the course of a week – the duty of service is, in fact, far more than the only hours of instruction. Yes, a reflection, the consequences of which will be of a regulatory nature, is under way on this point. It is transparent – it gives rise to regular news releases from the specialised press. Yes, 2019 will be an important year for progress in this area.
ParlaMint-FR_2019-02-11-O1143.u202	I call Mr Aleksandr Freschi to support Amendment No. 923.
ParlaMint-FR_2019-02-11-O1143.u203	I hope that it will be voted on on all sides of the House. It tends to introduce a reference to "mutual respect among members of the educational community". It is important to ensure the coordination of all members of the educational community in schools: pupils, teachers, school staff and institutions, accompanying pupils with disabilities, parents of pupils, local authorities, institutional, economic and social actors associated with the public service of education. The amendment thus aims at anchoring in the law the reciprocity of the ties that unite the members of the educational community. The school of trust depends on mutual respect and on the obligations shared by all the actors concerned. By insisting on the notion of mutual respect, we would value each of them, regardless of their profession, place in the school or their situation.
ParlaMint-FR_2019-02-11-O1143.u204	What is the opinion of the committee?
ParlaMint-FR_2019-02-11-O1143.u205	Favourable opinion.
ParlaMint-FR_2019-02-11-O1143.u206	What is the Government's opinion?
ParlaMint-FR_2019-02-11-O1143.u207	It seems to me that your amendment makes matters clear, Mr Freschi. What you have just said corresponds to what we want to do with this bill. Indeed, to set in motion the virtuous circle of trust is to set in motion the virtuous circle of mutual respect. This is what we mean by the expression "reading, writing, counting, and respecting others." It must be very clear that everyone must respect everyone, that everyone must respect everyone. This must be, in a way, the golden rule of the educational community. If your amendment makes it even clearer, so much the better. I therefore, in turn, express a favourable opinion.
ParlaMint-FR_2019-02-11-O1143.u208	Mr Jean-Paul Lecoq has the floor.
ParlaMint-FR_2019-02-11-O1143.u209	I understand that the amendment provides a clarification. However, what is meant by the term "respect" should also be clarified, Mr. Minister. Sometimes people feel assaulted while they are being talked to with respect. Right now, minister, I'm talking to you with respect, and you don't feel assaulted, do you? But there are people who feel assaulted when I speak to them in this way; They say I'm disrespectful of them. Sometimes some say that I don't trust them and that I'm disrespectful simply because I addressed them. I therefore invite you to clarify the concept of respect. Since this is a law, it must be clear. In my view, this should not be included in the law, but should be part of teacher training and citizenship education – you are responsible for education, Minister. Since you want to put this in the law, you need to give the judge, in this case the administrative judge, keys to determine whether there has been respect or disrespect. Moreover, I am also sensitive to the idea of benevolence...
ParlaMint-FR_2019-02-11-O1143.u210	Mrs Beatrice Descamps has the floor.
ParlaMint-FR_2019-02-11-O1143.u211	[[Ms. Frédérique Dumas applauds]] Let me go back to the terms "mutual trust" that I proposed earlier. I would like an explanation: why "mutual respect" and not "mutual trust"? Can't both expressions be included in the text? In a law for trust, it is important to introduce the concept of mutual trust.
ParlaMint-FR_2019-02-11-O1143.u212	Mrs Marie Tamarelle-Verhaeghe has the floor.
ParlaMint-FR_2019-02-11-O1143.u213	I would like to review one point with Mr Freschi and the other signatories to the amendment: the references and those accompanying children with disabilities, who are health professionals – I am thinking in particular of school doctors – are not mentioned in the amendment.
ParlaMint-FR_2019-02-11-O1143.u214	They are part of the educational community!
ParlaMint-FR_2019-02-11-O1143.u215	Of course, but the text specifically mentions a number of actors, including parents. I would like to draw attention to the mission of the professionals I have mentioned to children with disabilities.
ParlaMint-FR_2019-02-11-O1143.u216	On Article 1, I am seized by the Socialist and Related Group, the Unsolicited France Group and the Democratic and Republican Left Group of a request for a public vote. The vote is announced in the National Assembly. I call Mr Sebastien Leclerc to support Amendment No. 1.
ParlaMint-FR_2019-02-11-O1143.u217	This is again a clear amendment, which you will be happy to accept, Minister. It is intended to clarify that the bond of trust implies respect for students and their families not only with regard to the school institution and all of its staff, but also with regard to all of its buildings. On several occasions in recent years, schools have been ransacked or even burned by children who were there or had been schooled there. Although resentful and criminally and civilly punished, these acts of disrespect towards the buildings of the school institution justify, in our view, that the notion of respect due to the places where education is provided should be added to the obvious need to respect the staff.
ParlaMint-FR_2019-02-11-O1143.u218	What is the opinion of the committee?
ParlaMint-FR_2019-02-11-O1143.u219	I am quite reluctant to place staff and buildings on the same level, even if it is appropriate to protect each other. Your amendment also seems to me to be satisfied with the expression "respect for the school institution". My opinion is therefore unfavorable.
ParlaMint-FR_2019-02-11-O1143.u220	What is the Government's opinion?
ParlaMint-FR_2019-02-11-O1143.u221	In substance, one can only agree with the principle of respect for buildings; Of course, you have to keep it in mind. However, in its present state, the law makes it quite possible to affirm this respect. In addition, there will soon be developments in this area, on a regulatory basis, since the measures we will take to ensure safety at school will most certainly have an impact on the remedy given to the damage you have mentioned. We agree on the objective, but, as we have just indicated, The rapporteur, it is not appropriate to place on the same level the respect due to people and the respect due to buildings. I therefore express an unfavorable opinion.
ParlaMint-FR_2019-02-11-O1143.u222	I put to the vote Rule 1, as amended.
ParlaMint-FR_2019-02-11-O1143.u223	The result of the vote is as follows: Number of voters 84 Number of votes cast 66 Absolute majority 34 For adoption 52 Against 14
ParlaMint-FR_2019-02-11-O1143.u224	I have before me a number of amendments on the additional article after Article 1. Amendments Nos 105, 104 and 211 may be subject to joint discussion. On Amendments Nos 105 and 104, I have a request from the Group of the European People's Party for a public vote. Votes are announced in the National Assembly. I call Mr Ciotti to support Amendment No. 105.
ParlaMint-FR_2019-02-11-O1143.u225	With these amendments, Minister, we want to offer you the opportunity to bring your actions into line with your words. We often agree – for my part, in any case – with the diagnosis you are delivering and with the right words you speak, but we expect equally fair and strong answers and actions. These amendments concern two subjects that you have raised in a relevant way: violence in schools and school absenteeism. Here we propose solutions that have proved their worth. You are better placed than anyone to know, since you were responsible for school education at the time when the law of 28 September 2010 to combat school absenteeism, which bears my name, was applied. This evening, we propose that you put the content of this law at the heart of our preventive and accountability mechanisms, as you have rightly mentioned in the press. The aim of Amendment No 105 is to tackle violence, a scourge which unfortunately continues to spread. In order to avoid the rise of violence, it tends to re-establish a balanced system that reminds each of the actors of their rights and duties, in particular the essential notion of parental authority, enshrined in our civil code. This arrangement, known as the "contract of parental responsibility", had proved its worth before the law of 28 September 2010 was repealed. As the name indicates, this contract reminded parents of their duties and rights. The scheme allowed for situations of difficulty to be taken care of, by providing parents with balanced, appropriate and proportionate support, while ensuring that they respected the essential principle of parental authority. In the department that I chaired for nine years, we had put in place more than 500 parenting contracts at the time. This had been very effective; We had achieved very good results. The socialists, in their blind dogmatism, had my law repealed. It was Mrs Pau Langevin who then sat on the bench of ministers.
ParlaMint-FR_2019-02-11-O1143.u226	I haven't changed my mind!
ParlaMint-FR_2019-02-11-O1143.u227	At the same time as the scheme encouraging parents to assume their responsibility, it has removed the accompanying scheme, so that today there is no longer any notion of contract or of balance. Listening to you, minister, I think you agree with what we are proposing. Maybe you're going tonight to listen to the opposition. It is time to tackle effectively, concretely and pragmatically two scourges that you know well and whose symptoms you have described. Violence and absenteeism must no longer be allowed to flourish in our education system.
ParlaMint-FR_2019-02-11-O1143.u228	I consider that you have also defended Amendment No 104, Mr Ciotti.
ParlaMint-FR_2019-02-11-O1143.u229	No!
ParlaMint-FR_2019-02-11-O1143.u230	You have greatly exceeded your speaking time. You will be able to speak again once the committee and the Government have given their opinion on the amendments. On Amendment No 211, I have a request from the Group of the European People's Party for a public vote. The vote is announced in the National Assembly. Mr Maxime Minot has the floor to support it.
ParlaMint-FR_2019-02-11-O1143.u231	"I do not change my opinion on the subject: I am rather in favour of this practice"; "Students, who have been able to express some reluctance, [...] are now unanimous and even proud of their uniform. These are the words you spoke in committee, minister. Let me go back to the burden, because I am convinced by this measure, like many of my colleagues in the Republican Group, and I have felt a certain interest, if not a certain interest, in you. Far from proposing a common outfit for all the establishments, I propose to let them... Oh, my God, I'm sorry, that's not the amendment that's called!
ParlaMint-FR_2019-02-11-O1143.u232	No, he's the one!
ParlaMint-FR_2019-02-11-O1143.u233	[[Smile]] You really wanted to talk about it!
ParlaMint-FR_2019-02-11-O1143.u234	[[Smile]] I was actually very impatient... But we will come to it, minister, and I will have you! [[Mr. Dino Cinieri and Ms. Marie-France Lorho applaud]] Absenteeism is a scourge and a huge challenge for the school of the Republic, which we must look at in the face, without misconception or dogmatism. Unfortunately, the previous majority did exactly the opposite: it made the renunciation and the policy of excuse work to the full by repealing the law of 28 September 2010, as Éric Ciotti just recalled. I believe, on the other hand, in parental authority. I think parents always have a role to play. They must be involved in cases of drop-out or violence at school. That is why I propose to re-establish the parental responsibility contract.
ParlaMint-FR_2019-02-11-O1143.u235	What is the committee's opinion on these three amendments under joint discussion?
ParlaMint-FR_2019-02-11-O1143.u236	With these amendments, you propose to reinstate the parental liability contract in the event of disrespectful behaviour towards the values of the Republic, and the possibility of suspending the payment of family allowances in the event of recidivism. As you know, a report was given to our colleague Stéphane Testé, as well as to Mrs Agnès Le Brun, Mayor of Morlaix, and to Mrs Béatrice Gille, rectrator of the Occitanie academic region, on the protection of the school. Their conclusions and recommendations will cover all aspects of school violence, which no one underestimates, as well as the penalties to be imposed on students. [[Exclaims on the benches of the LR group]] That is why, while proposing that you postpone the debate after the report has been submitted, I express an unfavorable opinion on the three amendments.
ParlaMint-FR_2019-02-11-O1143.u237	What is the Government's opinion?
ParlaMint-FR_2019-02-11-O1143.u238	On all the benches of this assembly, I think, at least, the diagnosis is shared: we must fight both absenteeism and school violence. We must look at these problems, which are very real. They must also be distinguished, because absenteeism and violence are two different subjects that we will have to deal with differently. However, as the rapporteur pointed out, the process of responding is already under way. The events of the beginning of November, which sparked the No Wave movement, caused a well-understood emotion throughout the country: this aggression shocked the whole of France. Even before the attack, we had begun to take action to combat violence in schools, based on the census of reports. By taking the various cases of violence mentioned, the ministry is working on the answers to be provided. From the beginning of December, I took the first steps. They tend to provide every case of violence with a systematic response and equally systematic support to the teachers concerned. A scale of appropriate sanctions has also been drawn up which must be varied and proportionate in order to be educational and effective. We have therefore begun to act on the regulatory front. As the rapporteur pointed out, we have also commissioned a report from Mr Stéphane Testé here, to Ms Béatrice Gille and Mrs Agnès Le Brun, Mayor of Morlaix and Vice-President of the Association of Mayors of France. They should give us their conclusions later this month, which will allow us to take action before the end of February. It is true that the submission of the report has been rejected: the subject is complex. For example, in the area of violence, it involves addressing both institutional safety, family responsibility and support for parenting, and the difficult issue of creating specific structures for students with very violent behaviours – polyexcluded. Each of these three topics is very technical. With regard to the attitude we should adopt towards families, I refuse to anticipate the conclusions of a report which has not yet been submitted to us and, of course, to prejudge decisions which will be the subject of inter-ministerial discussions, since several ministries are involved. Nevertheless, we have stated from the beginning that the measures we will take will have a twofold dimension: support for parenting and punishment, simply because the philosophy that drives us is pragmatism. Each case should be considered as a particular case. We know very well that some families must not be punished but well accompanied in their parenting, while others who, despite many warnings, make no effort to get out of their situation, deserve to be punished. What sanctions? It is still too early to say so, especially since this is not the subject of this text, even though I readily acknowledge with you that it exists. You can be sure we won't erase it. The response will consist of several components, which are currently being developed. The measures will follow the general philosophy I have outlined. I assure you that we will go into their detail in the coming weeks. Opinion against the three amendments.
ParlaMint-FR_2019-02-11-O1143.u239	Mrs. George Pau-Langevin has the floor.
ParlaMint-FR_2019-02-11-O1143.u240	On this subject, our group will never agree with Mr Ciotti's proposal. We are aware that, in many cases, a strong reaction from the authority, i.e. the public authorities, is necessary, in the face of young people who are unbearable, even violent, and who do not fulfil their obligations. [[Applause on the benches of the SOC group and on several benches of the LaREM group. – Mr Michel Larive also applauds]] However, why should the sanction be applied primarily to people who are poor? The elimination of family allowances has the effect of making those who are already in need of family allowances even poorer.
ParlaMint-FR_2019-02-11-O1143.u241	It's a matter of rights and duties!
ParlaMint-FR_2019-02-11-O1143.u242	Justice is the same for all!
ParlaMint-FR_2019-02-11-O1143.u243	Rich people, for whom allocations are not an important budgetary issue, can also be poor educators. They also need the community to take care of them. To punish exclusively those who need family allowances to live does not seem to me to be a good method.
ParlaMint-FR_2019-02-11-O1143.u244	Bravo!
ParlaMint-FR_2019-02-11-O1143.u245	The departmental council must take care of these children and families to get them back on track. [[Applause on the benches of the SOC and FI groups as well as on several benches of the LaREM group]] My group will never accept this sanction because it is not in relation to the help that should be given in the upbringing of children.
ParlaMint-FR_2019-02-11-O1143.u246	Mr Eric Ciotti has the floor.
ParlaMint-FR_2019-02-11-O1143.u247	This debate would probably deserve more time. You have pointed out, Mr Minister, that I have raised two issues, and that is why I have tabled two amendments: one on school violence – a major scourge, you have rightly pointed out – and the other on school absenteeism, which is the first indicator of a young person's dropping out. He is then subject, not to the law of the school, but to the law of the street, with all the drifts that this submission entails. Minister, I am disappointed by your answer. I was full of hope after listening to your statements. But some voices of the majority have been heard, a majority which, to be diverse, is nonetheless very marked, alas! by the ideology that Mrs Pau Langevin has expressed at the moment. However, you had shown interest in a balanced provision which, I know, you measure the relevance of it, as it allows for a better affirmation of both parental authority and responsibility. It consists of entering, not on the path of sanction – that is where the socialists were wrong – but on the path of both greater accountability and deeper, more systematic and permanent support for families. This is the case with the contract of parental responsibility, the mechanism of which is in the hands of the departments for the protection of children. It's an accompanying mechanism, a protective mechanism. But it has been removed in a stupid way. I understand that we do not want to go on the path of suspension of family allowances, which could, in an ideological sense, be treated as a sanction, even if this is not the case. On the other hand, even if one admits by the absurd this reasoning, having removed, as the 2013 law did, the aid scheme is completely illogical. That is why we are asking you tonight to put in place at least the accompanying mechanism. With regard to the effects of the law to combat school absenteeism, you are well aware, Minister, that from September 2011 to April 2012, which was the period of alternation, the academy inspectors made 79,000 reports for barely 600 suspensions of family allowances. This means that 78,000 children have returned on their way to school. This law was therefore effective, not displeased by those who adopt a dogmatic or ideological vision. What matters to us is not to leave this double scourge of violence and absenteeism without a concrete and pragmatic response. I know that, while agreeing with us, minister, you are being held prisoner by certain votes of the majority. [[Applause on the benches of the LR group. – Exclaims on several benches of the LaREM Group]] Tonight, do not take refuge behind reports that are only made to bury problems and leave them unsolved. Tonight, have the courage to act!
ParlaMint-FR_2019-02-11-O1143.u248	Mr Pierre Dharréville has the floor.
ParlaMint-FR_2019-02-11-O1143.u249	[[Applause on the benches of the GDR group and on several benches of the LaRem and MODEM groups]] Apart from the fact that these measures seem not only ineffective but, moreover, revolting, I would like to stress that I have heard several times, on the Republican benches, defend, rightly, the universality of family allowances. Why, then, do you want to give, on the occasion of these measures, a blow to this universality?
ParlaMint-FR_2019-02-11-O1143.u250	Mrs Nadia Essayan has the floor.
ParlaMint-FR_2019-02-11-O1143.u251	I have been the administrator of the Family Allowance Fund and this subject, because of its seriousness, has often returned to the table. It is because we are deprived of the drop-out and even the violence of some young people. The answers are not easy to provide, even if they may seem obvious from an ideological point of view. [[Applause on the benches of the MODEM and LaRem groups as well as on a few benches of the SOC group]] The encounter with families and the knowledge of the relationship difficulties of young people make it clear, on the contrary, that the arrangements to be adopted on the ground can only be complex: the abolition of allowances will therefore not solve the problems. Accompaniment is required. The educational cities will be good answers, because they will establish relationships between the school, the college, the high school and all the associations working on the ground, which will be able to surround the families and help them to be closer to their young people, with a view to countering this type of situation.
ParlaMint-FR_2019-02-11-O1143.u252	What an ideology!
ParlaMint-FR_2019-02-11-O1143.u253	Mrs Brigitte Kuster has the floor.
ParlaMint-FR_2019-02-11-O1143.u254	Minister, how do you, in the light of your experience and the statements you made before you became a minister, come to speak in the Chamber today? While your experience was in line with the parents' responsibility, mentioned by Mr Eric Ciotti, you are now falling behind the arrival of a report. This is not the first time: when we looked at the bill for a truly inclusive school, you also assured us that you were waiting for a report. I therefore wonder about the timetable. Why are we looking at this bill today for a school of trust? Especially since the topics mentioned by Mr Ciotti are far from being anodized in the life of schools, in particular violence, the phenomenon of which is known and increasingly frequent. How do you manage, on this subject, to this dichotomy between the one you were and the one you became? How do you agree to fall behind ongoing reports which, moreover, do not go in the direction of the general interest? Could we get a precise answer on your change of attitude?
ParlaMint-FR_2019-02-11-O1143.u255	All right!
ParlaMint-FR_2019-02-11-O1143.u256	Mr Maxime Minot has the floor.
ParlaMint-FR_2019-02-11-O1143.u257	Minister, you have been Director General of School Education since 2009; The law in question is that of 2010. Did you approve him back then? If so, why did you change your mind today?
ParlaMint-FR_2019-02-11-O1143.u258	Mrs Michèle Victory has the floor.
ParlaMint-FR_2019-02-11-O1143.u259	Once it is not customary, I agree with the minister: violence and absenteeism are two different phenomena, and treatment must be dissociated. With regard to absenteeism, we need to ask ourselves about those children who are phobic in school – there are many – or who are simply very unhappy there. How can the school prove to them, show them that it is also there for them and that it can help them hang on to a horizon, to a goal? That is also a matter of trust, and there is a lot of work to be done in this area. I still have a teenager at home who knows this problem, and I can assure you that there is no point in making parents feel guilty. The aim must be to ensure that these children find a place in school.
ParlaMint-FR_2019-02-11-O1143.u260	It's not about making parents feel guilty!
ParlaMint-FR_2019-02-11-O1143.u261	A little, though!
ParlaMint-FR_2019-02-11-O1143.u262	Mrs Emmanuelle Ménard has the floor.
ParlaMint-FR_2019-02-11-O1143.u263	I also want to ask the minister a question. The President of the Republic, Emmanuel Macron, sent a letter a few weeks ago to the French in which he explained that, in the context of the great national debate, we were going to discuss a number of topics until mid-March. Among these topics, he cited the organization of the State, which includes the organization of the courts and the organization of national education. However, we have recently passed a bill on justice in this House, and we are in the process of discussing the school.
ParlaMint-FR_2019-02-11-O1143.u264	What does that have to do with it?
ParlaMint-FR_2019-02-11-O1143.u265	[[Claims on several banks of the LaREM Group]] What does that have to do with it? We are debating in this House and are adopting bills that are supposed to be discussed, in the framework of the great national debate, by all the French!
ParlaMint-FR_2019-02-11-O1143.u266	Absolutely!
ParlaMint-FR_2019-02-11-O1143.u267	[[Applause on a few benches in the LR Group and among non-attached Members]] Tonight, it is understood that violence in schools is not dealt with in this bill, on the grounds that a report will be expected in a few days' time. Why don't we wait for this report to look at the bill? And why don't we wait for the end of the great national debate to discuss all these topics calmly?
ParlaMint-FR_2019-02-11-O1143.u268	Everyone knows that the great national debate will be of no use!
ParlaMint-FR_2019-02-11-O1143.u269	The Minister has the floor.
ParlaMint-FR_2019-02-11-O1143.u270	The debate has gone in different directions, so I have to answer many questions at the same time. [[Applause on a few benches of the LaREM group]] I will begin with the end by reacting to Mrs Ménard's comments. The President of the Republic never said that during the great national debate there would be no more activity in Parliament. If that had been the case, I think you would have been married. Moreover, as you yourself have noticed, education is not one of the four axes of this great debate. On the other hand, I have already been led to say publicly that the latter would most likely have consequences for education. This is an additional reason to limit our debate to the scope of the bill. It is our natural slope, however, to want to add new subjects to those we had to discuss initially. I'm here to discuss it very openly. There is therefore no contradiction. Earlier, Mrs. Kuster, you seemed to say that I was stealing. I'll prove you're not. First of all, if I did not, I would not be in front of you today facing the oppositions of the left and the right on all subjects.
ParlaMint-FR_2019-02-11-O1143.u271	It's still your job!
ParlaMint-FR_2019-02-11-O1143.u272	If I were still, if I refused to face all these oppositions, I wouldn't be in front of you tonight! [[Smile]] [[New smiles and applause on a few benches of the LaREM group]] You also asked me if I had changed. This question may remind us of a song, and I will, by the way, give you the same answer as in the song. By the way, let me remind you of some of the rules applicable to the senior public service, because I think there are serious abuses. I am no doubt one of the former senior public servants most accused of being a senior public servant under a particular government. This reproach was, moreover, underlying in some of your questions. However, when I was Director General of School Education, I was not a Minister of National Education.
ParlaMint-FR_2019-02-11-O1143.u273	Exactly!
ParlaMint-FR_2019-02-11-O1143.u274	There was then a secretary general of the Ministry of National Education, who held at least as important a position as the director general of school education: he became cabinet director of Mr. Peillon, with whom Ms. Pau-Langevin worked. Was he accused of being Secretary-General under the chairmanship of Mr Sarkozy or under a majority supported by Mr Ciotti?
ParlaMint-FR_2019-02-11-O1143.u275	We've sometimes blamed Mr. Vallaud for that kind of thing!
ParlaMint-FR_2019-02-11-O1143.u276	[[Applause on the benches of the LaREM and MODEM groups]] My predecessor in the position of Director General of School Education became Socialist Vice-President of the New Aquitaine Region. Is he accused of being Director-General of School Education under the chairmanship of Mr Sarkozy? I have another idea of what the senior public service is, and I am not asking for the political opinions of my Director General of School Education. I do not have to report on any decisions that have been made. I was proud to do my job...
ParlaMint-FR_2019-02-11-O1143.u277	That's not the point!
ParlaMint-FR_2019-02-11-O1143.u278	... with loyalty to the government in place, as I continued to do for a few months after the alternation. It's a philosophy of the senior public service that I'm proud of...
ParlaMint-FR_2019-02-11-O1143.u279	All right!
ParlaMint-FR_2019-02-11-O1143.u280	... and which reminds us of some of the elements of the previous debate. I certainly do not have to account for my political opinions at that time. I obviously have a conscience...
ParlaMint-FR_2019-02-11-O1143.u281	I didn't talk about your opinions, but about your commitments!
ParlaMint-FR_2019-02-11-O1143.u282	This reproach was underlying in different words...
ParlaMint-FR_2019-02-11-O1143.u283	Not in mine!
ParlaMint-FR_2019-02-11-O1143.u284	...and there is no reason to be. There's nothing aggressive about my words, Mrs. Kuster.
ParlaMint-FR_2019-02-11-O1143.u285	You don't know where you live anymore!
ParlaMint-FR_2019-02-11-O1143.u286	You accuse me, moreover, of stealing from me, of hiding behind a report, and you refer to the famous dialogue on disability, which ended today – it falls well! This morning, therefore, I announced measures on disability at school as has not been the case for a very long time. These measures will probably have a legislative and regulatory translation that we will have the opportunity to discuss at a later stage. I've already quoted The hare and the turtle: I've shown you that we're tracking a straight path and we're doing things at the right pace, that is, without haste. There are very sensitive, very important issues, and I very much agree that this is the case with the problem of violence and absenteeism, as I said to Mr Ciotti. It is precisely because these subjects are very real and important that we do things without haste, in consultation, by analysing and comparing different elements to achieve the right decisions. Of course, we must analyse the advantages and disadvantages of the schemes adopted in the past, whether they are the laws mentioned by Mr Ciotti or the accountability contract. The expected report will tell us what to think about it. Therefore, we will follow the philosophy that I have already outlined to you, which is based on a pragmatic approach. We will take effective action against violence and absenteeism, but this is not the purpose of this bill. I make this commitment to national representation: yes, there will be measures against violence and absenteeism. Yes, they will be pragmatic in that they will be personalized. Yes, we will respond to the issues of accountability and support for families – this is perhaps a point that will suit all the benches of this assembly. It is very important to know how to involve families in the future in the fight against absenteeism and violence. That, in fact, is what we said tonight. I explained earlier that the two success factors of an education system were teacher training and the relationship between parents and teachers, or more broadly, the school institution. The concept of co-education is essential. We must be able to fully empower families, possibly to provide support for parenting, to provide the necessary training, to decide on the need for sanctions. All these subjects are on the table, and the report will allow us to explain them. [[Smiles and applause on the benches of the LaREM and MODEM groups]] Talking about a report is not a way of kicking. On disability, this is far from the case; I'm referring you to what I said publicly this morning. No, we won't touch it. Let me conclude as follows: no, I have not changed.
ParlaMint-FR_2019-02-11-O1143.u287	[[Smile]] "No, you haven't changed either..."
ParlaMint-FR_2019-02-11-O1143.u288	I put to the vote Amendment No. 105.
ParlaMint-FR_2019-02-11-O1143.u289	The result of the vote is as follows: Number of voters 90 Number of votes cast 86 Absolute majority 44 For adoption 17 Against 69
ParlaMint-FR_2019-02-11-O1143.u290	I put to the vote Amendment No 104.
ParlaMint-FR_2019-02-11-O1143.u291	The result of the vote is as follows: Number of voters 90 Number of votes cast 86 Absolute majority 44 For adoption 17 Against 69
ParlaMint-FR_2019-02-11-O1143.u292	I put to the vote Amendment No. 211.
ParlaMint-FR_2019-02-11-O1143.u293	The result of the vote is as follows: Number of voters 90 Number of votes cast 87 Absolute majority 44 For adoption 17 Against 70
ParlaMint-FR_2019-02-11-O1143.u294	I call Mr Tolmont to support Amendment No. 695.
ParlaMint-FR_2019-02-11-O1143.u295	Socially mixed schools achieve better success from their students. Building and sustaining this social mix must be a major focus of public policies, as it helps to combat school inequalities. Amendment No 695 is intended to make the objective of social diversity, which is now the responsibility of public institutions, compulsory for private institutions. We believe it is necessary for private education to be fully involved in achieving this objective. The obligation to attend school at the age of three is one way to develop this mix, including in private schools.
ParlaMint-FR_2019-02-11-O1143.u296	What is the opinion of the committee?
ParlaMint-FR_2019-02-11-O1143.u297	Thank you, dear colleague, for raising the issue of school mix through your amendment. This is indeed an essential issue, which is increasingly prevalent in a number of academies – including the Paris Academy, of which I am elected – and in the public debate. Personally, I do believe that fostering school and social mix in schools is an issue of social cohesion, that we must avoid as much as possible all that is of the order of the self and promote through the school, social and cultural mix the discovery of otherness, difference and mutual assistance – all the values to which we are attached and which we are trying to promote within the school system. Fostering mix is actually refusing house arrest. This goal is important to us. However, the experiments carried out in various parts of the territory over the past few years have enabled us to draw a number of lessons. On this extremely sensitive subject, nothing can be imposed from above. If we have not taken the time to convince and reach the widest possible consensus on the social composition of schools and the school map, we cannot achieve our objectives.
ParlaMint-FR_2019-02-11-O1143.u298	We'll never do it!
