ParlaMint-FR_2019-03-05-O1164.u1	Like all Vice-Presidents, I preside over the meetings of our Assembly every week.
ParlaMint-FR_2019-03-05-O1164.u301	Very good idea!
ParlaMint-FR_2019-03-05-O1164.u302	These reflections are part of a more general approach to industrial policy, which also covers research and development, trade policy and digitisation. The Commission has already made a positive change in the control of State aid. On 18 February a Franco-German manifesto for a European industrial policy was signed. The world is changing and industrial policy is no longer a taboo word, neither in Berlin nor in Brussels. We are determined to seize this opportunity.
ParlaMint-FR_2019-03-05-O1164.u303	Mrs Danièle Obono has the floor.
ParlaMint-FR_2019-03-05-O1164.u304	Employment and climate change are two of the main topics on the agenda of the European Council on 21 and 22 March. One of the central challenges in employment and adaptation to climate change is the urgent and radical transformation of the current European agricultural model. Agriculture, which provides the bulk of our food, is a vital economic sector for the survival of humanity and the preservation of the ecosystem, but it has also become, because of the present system of production, a vector of its own danger. It is indeed the source of nearly a quarter of the greenhouse gases involved in global warming, which in turn has negative consequences for agriculture and threatens food production in the short term. Farmers and farmers are also members of the most suicide-ridden occupational category. This is due to the productivist pressure, and their working and survival conditions. There is therefore a vital, social and environmental emergency to radically change the model, especially since the European Union is the world's largest agricultural power, and France is the first European agricultural power. The European Union could and should be the vanguard of the agricultural, ecological and solidarity revolution that would meet the environmental and social challenges of the period, but, conversely, the common agricultural policy favours intensive agriculture and in particular complicates access to aid for the most virtuous and virtuous farmers. For example, when large farms or productive farms receive subsidies directly from the same source, which account for 70% of the aid, subsidies for small and medium-sized farms, which are often more environmentally sustainable, are crumbled between the European Union, the State and local and regional authorities, thus increasing the risk of non-payment. [[Applause on the benches of the FI group. – Mr. Jean-Paul Lecoq also applauds]] As a result, 25 % of the state's planned aid for organic farming in 2016, 50 % of those for 2017 and 100 % of those for 2018 have not yet been paid, to the point that the National Federation of Organic Agriculture, after having referred the case to the Defender of Rights last October, is now accompanying a number of farmers and farmers who are suing the State to ensure that the aid due to them is finally paid. The Government should therefore eventually pay those organic farmers. But will he defend at the level of the European Council a drastic change in the rules for granting aid for the CAP post-2022 or will he continue to pursue this policy of giving up which he gave an example on the glyphosate issue?
ParlaMint-FR_2019-03-05-O1164.u305	The minister has the floor.
ParlaMint-FR_2019-03-05-O1164.u306	Madam Member, you are right to say that the transformation of European agriculture, particularly French agriculture, is a priority. France is the first agricultural power in Europe, the latter being, as you recalled, the first in the world, and we owe it all to the common agricultural policy. It was the first integrated policy of the European Union. For example, €9 billion is paid annually by the European Union to French farmers. But you are also right to point out the delays and difficulties faced by farmers with regard to the use of useful instruments and proof of the development of the common agricultural policy, be it aid for the installation of young farmers, aid for organic farming or compensation for natural handicaps. Yes, this government found, upon its arrival, a considerable delay. It is not the responsibility of the European Union, but of an obsolete French computer system, which has put farmers in difficulty.
ParlaMint-FR_2019-03-05-O1164.u307	It is also due to the complexity of the aid!
ParlaMint-FR_2019-03-05-O1164.u308	As I speak to you, these delays are being caught up, as confirmed by farmers last week, in the regions and at the agricultural fair. We must now, above all, learn from these delays for the future. As for the transformation of the CAP, I repeat that it is an objective of the Government. More broadly, we want 40% of the European budget to be devoted to environmental concerns – primarily by the CAP but not only – and we are obviously committed to modernising this policy, because the first to be aware of climate change and to wish to be able to mitigate it and adapt to it are our farmers.
ParlaMint-FR_2019-03-05-O1164.u309	Mr André Chassaigne has the floor.
ParlaMint-FR_2019-03-05-O1164.u310	With the single market in the agricultural and food sector, we touch at the heart of the contradictions that undermine any renewal of the European political project: on the one hand, the display, the pretty words in favour of a Europe that is committed to the agro-ecological transition, protecting its 10 million agricultural assets and its 510 million consumers; On the other hand, the reality is that of a European Commission and of Heads of State and Government who are committed to the opening up of markets, impulsing free trade agreements where agriculture serves as a simple adjustment variable, with threats to the environment and to the health and taste quality of European food, and favouring dumping at the exclusive service of major food and distribution groups. We are at a time of choice to reshape Europe. But these choices presuppose a prerequisite: to emerge as quickly as possible from the fanaticism of the all-market, whether extra or sub-Community, because the all-market is in any case the policy of all-coming without control, without guarantee and without efficiency for Europeans! On behalf of the GDR Group, I am therefore asking you about three points, Madam Minister. Is France ready to protect the European food sector by excluding it from free trade agreements, which implies the recognition of an agricultural exception? Is France ready to defend in practice, within the framework of the single market, the requirement of strict respect for the principles of reciprocity and equality in the field of health, environmental and social standards, even though they are both violated today? [[Applause on the benches of the GDR and FI groups]] Is France really prepared to defend the guarantee of traceability of production on the European market, which means that the country of origin must be labelled for all agricultural products, whether raw or processed?
ParlaMint-FR_2019-03-05-O1164.u311	The minister has the floor.
ParlaMint-FR_2019-03-05-O1164.u312	Mr President, I know that you are passionate about this subject and you are passionate about it, which I thank you for. With regard to the agricultural sector in the free trade agreements, I would like to go against an idea that agriculture would be a systematic victim, because it is also capable of winning. I will quote an example that will surprise those who opposed it: the agreement with Canada, that is, the CETA. It has entered into force on a provisional basis for more than a year, which already makes it possible to draw up an initial assessment of the ensuing developments in trade. We see fewer imports of Canadian beef into the European Union than before.
ParlaMint-FR_2019-03-05-O1164.u313	For now!
ParlaMint-FR_2019-03-05-O1164.u314	The reason is simple: Canada must meet health standards, including veterinary, European standards, which are not allowed by its agricultural model.
ParlaMint-FR_2019-03-05-O1164.u315	It's a protection!
ParlaMint-FR_2019-03-05-O1164.u316	On the other hand, the protection of French geographical indications allows our wine and spirits producers, as well as our dairy producers, including cheese, to export much more to Canada. They are therefore the winners of the implementation of CETA. The same can be said of the signing of the agreement with Japan: the arguments of reciprocity, which are rightly dear to you, are fully taken into account in the agreement.
ParlaMint-FR_2019-03-05-O1164.u317	It didn't start!
ParlaMint-FR_2019-03-05-O1164.u318	You are also rightly concerned about the conditions of distortion of competition in the agricultural sector, either within the European Union or with third countries. This sector is not the only one exposed to it, but it is, of course, particularly so. Thanks to the European Union, we are fortunate to be in an area where there are many common rules. Let's imagine what would happen if we dismantled it tomorrow: would we ban imports of foreign products? I do not believe that, but we would be sure that their producers do not apply the same standards to them as we do to our own. France must, of course, move towards even more harmonisation – harmonisation upwards. I have already mentioned, for example, the question of glyphosate: the Government has obtained that the marketing authorisation is not maintained at fifteen years, as originally envisaged, or even at ten years, but at five years. And the Government will never put our farmers in trouble because of distortions of competition. We have the safest and healthier agricultural space in the world. And we must preserve it.
ParlaMint-FR_2019-03-05-O1164.u319	Mr Paul Molac has the floor.
ParlaMint-FR_2019-03-05-O1164.u320	Twelve people, including political leaders democratically elected by the people, have been imprisoned since October 2017. These facts do not occur in a region of the world with dictatorships, but in our democratic Europe, at the gates of France. Since 12 February last, Spain has judged six members of the government of the Generalitat de Catalunya, the president of the Catalan parliament as well as the presidents of associations. All counts are more disproportionate to each other: rebellion, sedition, disobedience, embezzlement and even criminal conspiracy. Their alleged crime was the holding of a referendum, on 1 October 2017, on the self-determination of their political entity, namely their country: Catalonia. However, the election took place without any form of violence on the part of voters or organizers. The observers present were able to see that the violence was carried out by the civil guardia itself, that is, by the Spanish police. In the face of a situation of blockade and crisis, the answer cannot be judicial: it can only be political. The accused political leaders only carried out the mandate for which they had been elected in the fall of 2016, following regional elections that were legitimate, democratic and recognized as such. Therefore, judging the action of the Catalan leaders is tantamount to judging the Catalan people themselves. The question here is not whether we are for the independence of Catalonia or for the defence of Spanish unity: if we call ourselves a democrat, we must of course react. The European Union must therefore do so. At the time of the rise of populism and reactionary parties, at the time of the accession to power in Europe of authoritarian heads of state flouting freedom of expression, the European Union could no longer close its eyes to this human rights attack. The Catalan people have at least one right: to choose their future. And, of course, human rights legitimize its self-determination if it wishes to exercise this right. The Liberties and Territories Group believes that the European Council would be in the best interests of dealing with this issue. I note that the Catalan people have so far shown a pacifism that fills me with pride for them, because I think that in many other countries a dictatorship would have been achieved, as in Serbia. It would be better to put all interested parties around the table to discuss a negotiated political solution.
ParlaMint-FR_2019-03-05-O1164.u321	The minister has the floor.
ParlaMint-FR_2019-03-05-O1164.u322	A positive momentum had begun in June 2018 through the constitution of a Catalan government with no leading figures at large or in prison. The President of the Spanish government, Pedro Sánchez, took steps to calm down: he said he was ready to discuss a new status for Catalonia, which would then be submitted to a regional referendum; At a council of ministers relocated to Barcelona on 21 December, he promised increased investments in Catalan infrastructure and announced symbolic measures, namely the condemnation of the French war council which had pronounced the death penalty against the former Catalan president Lluís Companies or the decision to give the Barcelona airport the name of the Catalan leader in exile during Francoism, Josep Tarradellas. However, the progress made in December by Mr Sánchez and Catalan President Quim Torra, underpinned by the idea of re-establishing the bodies for consultation between the State and the region, remained dead letter, as did the idea of Madrid appointing a rapporteur to the Catalan parliament to facilitate dialogue. The regional executive continues to call for self-determination and on 13 February, the Catalan nationalists defeated the vote on the 2019 budget proposed by Pedro Sánchez, leading to the convening of early general elections for 28 April. The Catalan question will certainly be at the heart of the campaign that is opening. It should also be recalled that, in the face of the policy of the tense hand of the socialist government, the right-wing and far-right opposition, which organized an important demonstration on 10 February, is calling for a further suspension of regional autonomy as long as the Catalan authorities continue to demand self-determination. The trial of those responsible for the secessionist attempt in October 2017 began on 12 February and is expected to last for at least four months. Twelve independent leaders, nine of whom have been in pre-trial detention for more than a year on the grounds of a risk of escape, must be held accountable for charges of disobedience, misappropriation of public funds, sedition or even rebellion. Last October, the Spanish Government advocated limiting the scope of the latter's particularly serious charge. France continues to advocate for a resumption of dialogue, within the strict Spanish legal and constitutional framework, as it always advocates everywhere for respect for the rule of law, including, of course, in Europe.
ParlaMint-FR_2019-03-05-O1164.u323	Mrs Emmanuelle Ménard has the floor.
ParlaMint-FR_2019-03-05-O1164.u324	The European Council may, depending on the current situation, address foreign policy issues other than those set out in its agenda. I would therefore like to add to her agenda, Madam Minister, that of the situation in Algeria and its consequences in terms of immigration, which could prove catastrophic. I would like to quote Emmanuel Macron, who has just published a forum in several European press outlets: "Based on internal reconciliation, the European Union has forgotten to look at the realities of the world. However, no community creates a sense of belonging if it does not have limits that it protects. The border is freedom in security. » In 2015, according to figures from the Algerian army, 1500 people were arrested while trying to leave Algerian territory by sea. In 2017, there were 5000 such figures, which are constantly increasing. Given current events, this trend can only be reinforced. The situation is tragic: an invisible president, a phantom president, who has failed to agree on the name of his successor and who is again introduced to the election. The popular uprising that followed the announcement of this candidacy could have direct repercussions in both France and Europe. Let us recall some figures: 900000 binationals and nearly 3 million descendants of Algerians live in France. In addition, more than 10 million Algerians have a close or distant relative in France, and 40% of Africans, of all nationalities, wish to emigrate to France. Minister, what are you going to propose to the next European Council to protect our borders? The President of the Republic called for the establishment of a common border police and a European asylum office. Two European organisations already exist in these areas, Frontex and the European Asylum Support Office: in the face of an explosive Algerian situation, how effective are they? It is time to take these questions with the body: what are you going to propose in this matter, Madam Minister?
ParlaMint-FR_2019-03-05-O1164.u325	The minister has the floor.
ParlaMint-FR_2019-03-05-O1164.u326	Madam Member, when we talk about Algeria and we are in France, there are two principles that we must always think about and stand by: we cannot be in interference or in indifference.
ParlaMint-FR_2019-03-05-O1164.u327	All right!
ParlaMint-FR_2019-03-05-O1164.u328	We cannot be in interference with Algeria – as with many other countries, but in particular with Algeria, to which we have a long, rich but also troubled history – nor in indifference, because, as you said, there are many people in France who hold Algerian personality. We cannot be, too, because Algeria, like the Maghreb as a whole, is an important partner of both the European Union and France. Today, elections are taking place in Algeria, and we are paying attention to the situation in that country. It is not up to us, and to us less than anyone else, to tell the Algerians what to do and to choose their destiny in their place. It seems to me that we should all agree with this statement on these benches.
ParlaMint-FR_2019-03-05-O1164.u329	That's right!
ParlaMint-FR_2019-03-05-O1164.u330	However, we keep a friendly and vigilant look at what is happening in Algeria, and we hope that the aspirations of the Algerian people can be heard. You have asked a question about migration policy, Madam Commissioner: your concern in this area, which I am not surprised at, is to stir up fears.
ParlaMint-FR_2019-03-05-O1164.u331	No!
ParlaMint-FR_2019-03-05-O1164.u332	Today, what do we see in the European Union? The number of arrivals in the Union was divided by ten between 2015 and 2018. There must therefore be an effective European migration policy somewhere. However, I share one observation: the migration challenge is probably ahead of us, and we must therefore strengthen the effectiveness of our migration policy. It must protect both our values and our borders: this is what the President of the Republic wrote in the rostrum that was published this morning. Protecting our borders means establishing a genuine European border police. You say Frontex already exists: do you know what the staff of this agency is as we speak? It's 600 men. Do you really believe that the external borders of the European Union can be protected with 600 men? As regards the European Asylum Support Office, it supports Member States experiencing difficulties in implementing their national asylum policy. There are now 28 different asylum policies in the European Union. That is what we must go against: we must harmonise our asylum criteria and adopt procedures that are similar within the Union. We must of course, especially when a migration crisis occurs, help countries in difficulty. So much remains to be done: that is what we are proposing.
ParlaMint-FR_2019-03-05-O1164.u333	Madam Minister, ladies and gentlemen, I should like to thank you for this important and exciting debate which was held in preparation for the next European Council. It is now closed.
ParlaMint-FR_2019-03-05-O1164.u334	The meeting was suspended.
ParlaMint-FR_2019-03-05-O1164.u335	The meeting was resumed.
ParlaMint-FR_2019-03-05-O1164.u336	The next item is questions on family policy. I would remind you that the Conference of Presidents has set a maximum of two minutes for each question and each answer, without the right to reply. Mrs Laure de La Raudière has the floor.
ParlaMint-FR_2019-03-05-O1164.u337	For years, French family policy was considered an ideal model that was envied by many countries. We could then be proud of France's birth rate, as it is – by allowing it to prepare its future – an essential criterion for a country's dynamism. This is no longer the case: between 2011 and 2017, the number of births fell by 7%: this is a very worrying signal, both for the renewal of generations and for the future of France. It is time to ask the question: what are the reasons for such a drop-out in our country? This is the subject of this debate, which the IUD, Action and Independent Group wanted to put on today's agenda. In recent years, family policy has in fact been refocused: it has become a policy aimed primarily at the most vulnerable families, and almost all family benefits have been gradually placed under resource conditions. It is a fact that the Court of Auditors found in a report published in 2017. The system has become perverse: the more poor you are and the more children you have, the more help you get and the less interest women have in returning to work after maternity leave. It is not surprising, moreover, that during the first weeks of the yellow vest movement, young women have repeatedly called the attention of the public authorities to the fact that they had a greater interest in staying at home with their children than in going to work. In this case, they have to manage an expensive way of guarding, juggling with varying times and putting gasoline in their cars to get to their workplace. It is therefore not by personal choice that they raise their children by staying at home, but by economic choice.
ParlaMint-FR_2019-03-05-O1164.u338	That's right!
ParlaMint-FR_2019-03-05-O1164.u339	You know, like me, how bad this situation is for these women. Are you prepared, Madam Secretary of State to the Minister of Solidarity and Health, to make childcare much cheaper for all women, regardless of their level of resources? No woman should calculate what is more profitable: staying at home or going to work. Why is the duration of parental leave three years? Shouldn't we reduce it to a year, and better pay it, as in Sweden? Finally, is there an objective reason today for the maternity leave for the third child to last six months, instead of three and a half months for the first two? If women want to stop longer, they can take parental leave. Does this six-month leave not explain in part the difficulties in accessing women who choose to be mothers in decision-making positions?
ParlaMint-FR_2019-03-05-O1164.u340	The Secretary of State to the Minister for Solidarity and Health has the floor.
ParlaMint-FR_2019-03-05-O1164.u341	Madam Member, at the opening of this debate, allow me to answer in general terms the questions: what is family policy? What do we want to go to and what do we want to go to? The tasks entrusted to me by Agnes Buzyn lead me to take care of those who are experiencing acute difficulties, such as those in poverty. I am also responsible for family policies, i.e. what refers a priori to positive prospects. Children symbolize the future that is being prepared. However, there is a strong obligation on us: to adapt our family policy to changes in society and to combat the poverty of families and children, so that today's poor children do not become the poor adults of tomorrow. Our family policy aims to be at the service of all families, but at the same time pays particular attention to the most modest families, in order to reduce inequalities. The family policy we defend is not limited to a monetary approach based solely on benefits: it is also a policy of service and support for families on a daily basis. The priorities I currently see are three: the first is the reconciliation of family and working life with the development of collective or individual childcare solutions. Particular emphasis will be placed on the access of disadvantaged persons to community care, including day care centres, which benefit only 5 per cent of children from disadvantaged families, while 22 per cent of children from disadvantaged families benefit. The adaptation of our arrangements to reconcile work with the arrival of a child – the second priority – is also a key issue: I am thinking of maternity leave, paternity leave and parental leave. The objectives are to advance equality between women and men, to accompany parenting, even in families that could be described as happy, and finally to prevent – third priority – situations of breakdown and accidents of life that can destabilize families. Such situations justify the need for aid to be able to cope with them. This can be the case momentarily, when parents are separated or when a difficult situation such as disability, illness or mourning begins.
ParlaMint-FR_2019-03-05-O1164.u342	Mr Stéphane Demilly has the floor.
ParlaMint-FR_2019-03-05-O1164.u343	Madam Secretary of State, according to a study by the Ministry of Labour, almost 44% of employees, i.e. just over 10 million people, work at least once a month in so-called atypical hours. As a result, 35% – more than 8 million people – work on Saturdays, 19% on Sundays, 23% in the evenings, between 20:00 and midnight, and 9% at night, between midnight and five in the morning. In these circumstances, when both parents have the same professional constraints, it is of course impossible for them to drive and pick up their children themselves at school, or to keep them with them when the school is closed. They must therefore use nursery assistants or leisure centres, for example. However, these forms of custody have a cost of up to 400 euros per month, depending on each individual situation. While many childcare schemes already exist in our country, they almost all disappear when the child reaches the age of 6. That's the problem. I am thinking, for example, of the supplement of free choice of the mode of custody paid by the family allowance funds – CAF – or of the tax credit of 50% of the expenses incurred. In this context, Madam Secretary of State, why not extend the duration of these aids and grant them, for example, to the child's 8 years or 10 years of age, according to the conclusions of a more precise utility study which could be carried out? This would facilitate the lives of working parents and help give activity to child care workers. So it would be a win-win.
ParlaMint-FR_2019-03-05-O1164.u344	The Secretary of State has the floor.
ParlaMint-FR_2019-03-05-O1164.u345	Childcare assistance is a central focus of our family policy. The family branch of social security provides support to all families, regardless of their income and whatever form of care is taken. For individual care, families benefit from the free choice of the child's mode of care up to the child's 6th birthday, as well as from a tax credit, as you mentioned. It is very important that such support be provided to all parents of young children, so that they can as much as possible reconcile family and working life. You have raised the problem of non-standard working hours, which is real and raises questions about the custody of children over the age of six. However, subsidies already exist, even if they are not paid by the family branch. In the case of home care, parents are entitled to a tax credit for the employment of an employee at home. However, this assistance may be considered insufficient for some families, to the extent that it may be a hindrance to parental activity. The exchanges that I have had in the context of the great national debate have shown me that the difficulties associated with the care of children over the age of 6 are real, especially for single-parent families, who often do not benefit from any relay if necessary. I therefore share your concerns. We are just in the process of evaluating this subject, which is important but not so simple! The aim is to identify the needs of families and to design solutions that are as suitable and effective as possible.
ParlaMint-FR_2019-03-05-O1164.u346	Mrs Lise Magnier has the floor.
ParlaMint-FR_2019-03-05-O1164.u347	My question is about family allowances and their allocation. Established in 1938, family allowances were paid from the first child until 1939; Since then, they have been paid from the second child in order to boost the French birth. They are the first pillar of our family policy, which is known to be particularly difficult to reform, and the most important position in terms of social benefits. Affected by families with two or more children, since 2015 they have experienced a degressivity based on parents' incomes. In 2017, family allowances were paid to 5 million households, amounting to €12 billion, or 16% of all social benefits paid by the CAF. Today, as you know, French families no longer have three or four children, but one or two. The logic of the allocation of family allowances from the second child, in which it is considered that the first child has no economic impact on the life of the home, must therefore be questioned. In addition, the multiplication of single-parent households due to family recompositions causes many difficulties for these parents who find themselves alone in raising their children. At present, 85 per cent of single-parent families are women, most often without a diploma or qualification, seeking work and social recognition that are difficult to find when their financial situation is difficult. In the light of these findings, it would not be interesting to consider the possibility of paying family allowances upon the arrival of the first child in order to improve the standard of living of families, particularly single-parent families. Madam Secretary of State, has your ministry ever had the opportunity to study this issue, and possibly the financing of such a measure, which is estimated to cost €3 or €4 billion? Does the Government intend to reform the allocation of family allowances to pay them from the first child? Finally, 23 different family allowances currently exist. Would it not be time to simplify the system to make it more readable, understandable and effective?
ParlaMint-FR_2019-03-05-O1164.u348	Very good question!
ParlaMint-FR_2019-03-05-O1164.u349	The Secretary of State has the floor.
ParlaMint-FR_2019-03-05-O1164.u350	Madam Member, in addition to your question on the payment of family allowances from the first child, you have raised the question of the universality of these allowances. This is not a new subject: it has already been discussed in this Assembly, especially in 2015, when family allowances have been adjusted according to resources.
ParlaMint-FR_2019-03-05-O1164.u351	What a mistake!
ParlaMint-FR_2019-03-05-O1164.u352	It is true that some people are now wondering how an allocation of 30 euros is useful to a couple of senior executives. However, this also allows parts of the population who receive little benefit and who contribute a great deal to the financing of the system to feel part of the social pact. It is important to remind him.
ParlaMint-FR_2019-03-05-O1164.u353	All right!
ParlaMint-FR_2019-03-05-O1164.u354	We agree!
ParlaMint-FR_2019-03-05-O1164.u355	It is equally important to maintain the redistribution system. If the issue emerges in the context of the great national debate, we will have to study it. It's all about priority! What do we want to spend public funds on? Who do we want to help first, without others feeling excluded from the social pact? These are great social issues. However, I would like to point out that the universality of family policy is not limited to family allowances. I am thinking in particular of child care aids, which involve the financing of nurseries and the payment of the supplement of free choice of mode of care, which helps all parents, regardless of their resources and regardless of the mode of care chosen. Families with only one child were also not abandoned. I am thinking in particular of modest families, for which other benefits are dedicated, such as the basic allowance for the young child's care benefit – PAJE – up to the child's 3 years of age, the birth premium, the school start-up allowance, the supplement of free choice of mode of care, parental leave and the family support allowance for single parents. In short, single-child families also receive real state support.
ParlaMint-FR_2019-03-05-O1164.u356	You say: "Move, there's nothing to see! You can't just do that!
ParlaMint-FR_2019-03-05-O1164.u357	You can't just read your cards!
ParlaMint-FR_2019-03-05-O1164.u358	Mr Joachim Son-Forget has the floor.
ParlaMint-FR_2019-03-05-O1164.u359	Before I present my thoughts, I would like to recall the definition that the Larousse dictionary gives of the word "family": "set of people formed by the father, mother and children, or by one of the two, father or mother". This last phrase has been added in the most recent editions in order to take account of the important and sometimes unfortunate developments in society that we are seeing and debating today. While our social model allows for a drastic division of inequalities in living standards, inequality of opportunity persists. The invisible hand of social organization nourishes frustrations and bitterness, which are sometimes expressed by violence; It nourishes the hereditary character of the dominant classes and their inter-self. The news unfortunately proves this every Saturday. The edifying decline in the attendance of nurseries and cultural and sports practices in universities and large schools has terrible consequences: destinies traced and ruined, violence, social determinism, rise of extremes. I may be wrong, Madam Secretary of State, but I sometimes feel that the Government is trying to reverse the gains made in previous legislatures. I am thinking, for example, of reducing the amount of the EYAP and the number of beneficiaries of it. I admit, however, that you are trying to pursue a targeted policy in favour of the poorest families and single-parent families, within the framework laid down by the Social Security Financing Act for 2018. I dream that this debate will not be used to hide Bercy's planks, in search of the lost billions. Family policy, while relatively well-equipped, could yield better results. Let us decide that it is not a policy of the number, but a policy of the development of each child, able to nourish the hope that the destiny of the child will not be determined by his birth. Social cohesion, "living well together" and even security are at this cost. This requires the creation of a large public early childhood service. Are you ready, Madam Secretary of State?
ParlaMint-FR_2019-03-05-O1164.u360	The Secretary of State has the floor.
ParlaMint-FR_2019-03-05-O1164.u361	In short, honourable Member, you are asking me how family policy contributes to the fight against poverty. Single-parent families and large families are the most affected by poverty. Let me give you a few figures: people living in these families make up 22.7% of the total population but 44.5% of the poor population. Family benefits contribute to the fight against poverty.
ParlaMint-FR_2019-03-05-O1164.u362	No!
ParlaMint-FR_2019-03-05-O1164.u363	This is all at stake in the national strategy for the prevention and fight against poverty announced by the President of the Republic on 13 September – a matter that I am carrying politically and personally. In concrete terms, we want to enable the most modest families to have access to a form of care, whether collective or individual, from the earliest age of the child. With regard to collective childcare, we will create an additional 30,000 nursery places and label 400 nurseries for vocational integration by 2022. In addition, 1000 full-time equivalents will be hired as part of the maternal assistant relays to foster the link between child-care workers and future employer parents. For these same kindergarten assistants, we will also implement the third paying from the second half of 2019.
ParlaMint-FR_2019-03-05-O1164.u364	That's good!
ParlaMint-FR_2019-03-05-O1164.u365	All these measures will enable the most modest families to have access to a form of care, whether collective or individual, that they can choose freely. The National Strategy for the Prevention and Combating of Poverty also provides support for these families to gain access to employment. Under a contract between the State and the departments, each beneficiary of the RSA will be able to benefit from support, i.e. strong measures such as training and integration through economic activity. In this way, everyone will be able to live in paid employment without being hindered by childcare problems.
ParlaMint-FR_2019-03-05-O1164.u366	It must also be through family allowances!
ParlaMint-FR_2019-03-05-O1164.u367	The process of creating the 30 000 additional nursery places is under way: the first places are already available, and more than 10 000 places are being created by the family allowance funds in connection with the local authorities. The first crèches for vocational integration are labeled. Of the 400 that will be, we already have 150 requests. We must enable everyone to get out of poverty.
ParlaMint-FR_2019-03-05-O1164.u368	We come to the questions of the Group of the European People's Party. Mr Bastien Lachaud has the floor.
ParlaMint-FR_2019-03-05-O1164.u369	In the area of family policy, there are urgent measures to be taken. Some legal discrimination has persisted for too long, and the 2013 law has not changed anything. Of course, I am referring to medically assisted procreation, the LDC. Today, only heterosexual women can benefit, and not the others. Why? Because the current majority – like the previous one, in fact – is afraid of the reactionary and homophobic lobby that is mobilizing. We learn from the press a softly denied information by the Government: after having been postponed to the end of 2018, then after the European elections, the review of the bioethics bill, which was to allow this debate, would finally take place in 2020. At each postponement, at each delay, women exceed the age at which they can no longer bear a child, regardless of whether or not the child was conceived within the framework of an LDC. Parenthood projects are abandoned, not for lack of love, but because of the unfathomable cowardice of political decision-makers. Only women who can afford it or who are willing to take risks can use the LDC. With each postponement, reactionaries stir up fears and are strengthened in their grotesque and selfish desire to deprive others of their rights. This debate had nothing to do with an ethical discussion. From the moment these techniques are allowed, opening them to all those who could benefit from them is simply a matter of equal rights.
ParlaMint-FR_2019-03-05-O1164.u370	No!
ParlaMint-FR_2019-03-05-O1164.u371	[[Applause on the benches of the FI group]] My question, therefore, is simple: when will the Government finally assume its responsibilities? When will he keep candidate Macron's promise? When will it open up to all transsexual women and men the techniques of reproductive medical assistance? When will he finally put an end to this legal discrimination?
ParlaMint-FR_2019-03-05-O1164.u372	The Secretary of State has the floor.
ParlaMint-FR_2019-03-05-O1164.u373	The expansion of the LDC is a commitment that the President of the Republic made during the presidential campaign that will be held. Thus, the bioethics bill will be presented to the Council of Ministers before the summer, and the Speaker of the National Assembly, Mr. Richard Ferrand, confirmed this morning that it will be considered by Parliament. The expansion of the LDC is a measure that will be included in this text. On this issue, we have put in place seminars, in connection with Minister Agnès Buzyn, in which all parliamentarians, whether senators or MPs, can participate. [[Ms. Stella Dupont applauds]] The debate must take place. It must make it possible to clarify the wishes of each other, both in this Chamber and in the Senate. I repeat, this text will be presented to the Council of Ministers before the summer and discussed in the National Assembly by the end of 2019.
ParlaMint-FR_2019-03-05-O1164.u374	Mrs Caroline Fiat has the floor.
ParlaMint-FR_2019-03-05-O1164.u375	Madam Secretary of State, to ask you a question about your family policy, I have the embarrassment of choice. Since 1 January 2019, all family allowances and retirement pensions are no longer indexed to inflation, as was the case until then, every year. These include family allowances, re-entry allowance, birth grant, supplementation of free choice of mode of care and retirement pensions, as well as work premium, minimum old age and allowance for disabled adults, as well as disability pensions, occupational accident and sickness pensions and housing subsidies. These benefits will only increase by 0.3% while the average price increase for 2018 is estimated at 1.6% by INSEE – National Institute of Statistics and Economic Studies. What question should you ask yourself? Will you finally stop taking the French for pigeons? The decline in aid is also due to its increasingly disadvantageous method of calculation. Let us go back to one of these aids, which is very topical. At the end of 2018, you promised an increase in the activity premium for workers at the SMIC. However, because of the way in which this premium is calculated, many people who might claim it do not receive it. These include those with very low incomes, but for whom the spouse's income is taken into account. It is well known and clear that women will be the first to be affected by this situation, since they account for 80% of low wages. [[Applause on the benches of the FI group]] So my question is simple: when calculating the activity premium, do you intend to go back to taking into account the spouse's income and maintenance – which, I would remind you, are paid for the children, and certainly not for the parent who has custody of the child?
ParlaMint-FR_2019-03-05-O1164.u376	The Secretary of State has the floor.
ParlaMint-FR_2019-03-05-O1164.u377	Madam Member, you are referring to the underindexing of benefits. Let me recall the priority that has been given to the increase, in particular, of the AAH – allowance for adults with disabilities.
ParlaMint-FR_2019-03-05-O1164.u378	No! That's not true!
ParlaMint-FR_2019-03-05-O1164.u379	By changing the calculation mode!
ParlaMint-FR_2019-03-05-O1164.u380	It is 900 euros at the end of the month, Mrs Fiat: to increase this benefit by 100 euros for people who cannot go to work, it is still an important development! We have also increased the minimum old age, which ensures a minimum amount and guarantees income to people who have worked, but unfortunately have not contributed enough. As far as the activity premium is concerned, we have made and fully assume the choice of this measure, which allows it to be adapted to the needs of the family unit, the income of the couple and the composition of the family. When the spouse earns 4000 euros, is it normal for the other spouse to benefit from this increase of 100 euros?
ParlaMint-FR_2019-03-05-O1164.u381	Yes, if he's at SMIC. That's a promise!
ParlaMint-FR_2019-03-05-O1164.u382	We chose to take into account the family unit. We have the right not to agree,...
ParlaMint-FR_2019-03-05-O1164.u383	Happy again!
