ParlaMint-FR_2019-02-11-O1142.u1	The next item is the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-11-O1142.u104	It's cosmetic!
ParlaMint-FR_2019-02-11-O1142.u105	Again, Mr Minister, we have not been convinced, alas, by your explanations in committee. We are even more concerned about the introduction of a "training framework" agreed by the ministers responsible for national education and higher education. While the training of future professors is fundamental and is the cornerstone of the reform, all the measures planned on this subject are of a regulatory nature. The current wording of Article 10 does not clearly distinguish between initial teacher training and continuing training. We would like to be reassured about this order. Will he make it clear that what is expected of teachers is the mastery of fundamentals and their transmission? Admit it's quite paradoxical! You claim that these provisions are of a regulatory nature while the measures relating to the use of the mobile phone were, in your opinion, of a legislative nature!
ParlaMint-FR_2019-02-11-O1142.u106	That's right!
ParlaMint-FR_2019-02-11-O1142.u107	[[Applause on several benches in the LR group]] Double standards for the current majority! You have tried to reassure us of section 17, which provides for a territorial redistribution of academic constituencies. I have already had the opportunity to point out the many problems that would arise from the merger of rectorates and the reduction of the number of rectors in order to make the administrative organization of national education coincide with the new major regions resulting from the NOTRE law – concerning the new territorial organization of the Republic. Following a number of comments and questions that I have put to you in committee, you have announced that you will step back on the rectorate mergers and maintain the current number of rectors. This is obviously very good news, since these guidelines ran counter to a national education administration close to the ground and concerned with rural areas. However, I remain very careful because the devil comes to hide in the details. We need to be reassured on several points, and you have not given us any details in committee. Can you tell us if it is the thirteen regional rectors or all the rectors who will participate in the important meetings held in your department? If academic rectors are excluded, it is the entire education system that will lose out on this decision-making reconcentration. [[Applause on several benches in the LR group]] There is another crucial question which, unfortunately, you have not answered before the national representation. Today, the thirty rectors all have the status of operational budget manager, under the terms of the LOLF: each decides how it affects the human and financial resources in the academic territory for which it has responsibility. The question is whether this aspect, which is one of the important levers of a rector's current power, will be maintained or not. If the minister kept the rectorates and the rectors but concentrated the decision in one place per large region, that is, in the hands of thirteen rectors out of thirty, then this announcement, which some already call a victory, would be nothing more than a victory at the Pyrrhus, because the seventeen rectors not responsible for operational budgets would then have lost the most important and strategic part of their decision-making power. You'd reduce them to a potash. You can see where it would lead! In short, if you were to go in this direction, you would do a real devitalization of the function of rector, which you did brilliantly exercise. A rector who is not at the head of an academic region would be largely dispossessed of his levers for action. They are State tasks which deserve specific treatment of the administrative organisation. We believe that this is the case for education. It is essential that the rectors stay as close as possible to the ground while maintaining the human and budgetary means to act. Minister, can you reassure us on these points? Finally, I would like to point out that it is a real mistrust of Parliament to proceed by means of orders, as you intend to do with several articles.
ParlaMint-FR_2019-02-11-O1142.u108	Absolutely!
ParlaMint-FR_2019-02-11-O1142.u109	[[Applause on several benches in the LR group]] The urgency is not such that you can deprive us of a genuine debate on key and strategic issues. I am thinking in particular of territorial redistributions – you know how much we pay attention to this. In any case, it is not by defying Parliament that confidence is built. We therefore ask you for real proof of confidence, which, it must be said, is not present at this stage. I have raised several questions which, to date, remain unanswered by the Government...
ParlaMint-FR_2019-02-11-O1142.u110	Yes!
ParlaMint-FR_2019-02-11-O1142.u111	[[Applause on the benches of the LR group. – Mr. Régis Juanico also applauds]] ... while they would amply deserve further debate in committee. That is why the Group of the Republicans is asking for a referral to the committee of the bill, which is inabouti, incomplete and dangerous.
ParlaMint-FR_2019-02-11-O1142.u112	On the motion for referral to committee, a request for a public vote is before the Republicans. The vote is announced in the National Assembly. The Minister has the floor.
ParlaMint-FR_2019-02-11-O1142.u113	I shall reply at the same time to Mr Hetzel's speech and to Mrs Rubin's, even if she is no longer present in the Chamber. Mr Hetzel, I found a lot of differences between your speech and that of Mr Minot, who spoke earlier about "coherence" and "consistency". When I heard your colleague, I thought that he was in the mood that we all wanted and that he was able to distinguish between the measures that you may like and those that you do not like. Then, when you hear your speech, you first have the impression that this distinction has disappeared in favour of a one-sided and ultimately quite caricatural view of the bill. And you may sometimes be surprised at your lack of consistency. You have often referred to your political family. However, the candidate you supported considered compulsory education at the age of five.
ParlaMint-FR_2019-02-11-O1142.u114	That's right.
ParlaMint-FR_2019-02-11-O1142.u115	Is there an ideological barrier between 5 and 3 years?
ParlaMint-FR_2019-02-11-O1142.u116	Yes!
ParlaMint-FR_2019-02-11-O1142.u117	We'll have to explain why.
ParlaMint-FR_2019-02-11-O1142.u118	The age of 5 corresponds to the large nursery section!
ParlaMint-FR_2019-02-11-O1142.u119	You have sometimes used words that are a little excessive. In particular, you called the text "liberticide". I don't know what word you'll use when France is really threatened with violations of freedoms! If compulsory education at the age of three is liberticide, it will have to be said, for example, to this teacher of the Orne who told me about the children, living in deep rural areas, victims, when they enter school only at the CP, of irremediable learning delays.
ParlaMint-FR_2019-02-11-O1142.u120	All right!
ParlaMint-FR_2019-02-11-O1142.u121	Is that enough to include this measure in the law?
ParlaMint-FR_2019-02-11-O1142.u122	[[Applause on several benches of the LaREM and MODEM groups]] It should also be discussed with these associations that work in the suburbs and refer to the case of girls who do not attend school because of their parents' religion. It will have to be told to all the overseas social workers, who tell me about children between the ages of 3 and 6 who are not going to school, who do not represent the thickness of the line, but often more than 20% of their age class, as in Guyana and Mayotte. There are words that you should know how to use with discernment, especially since the issues of freedom sometimes overlap with the issues of education.
ParlaMint-FR_2019-02-11-O1142.u123	We're not your students!
ParlaMint-FR_2019-02-11-O1142.u124	The statements made by Mrs Rubin and Mr Hetzel are an entry point which could discourage us, but I want to point out a few points which could allow you to grasp the hand I have extended to all the political groups. This hand has already been seized by some, but not by all; The Republicans seized it at times but ignored it to others.
ParlaMint-FR_2019-02-11-O1142.u125	That's what makes democracy!
ParlaMint-FR_2019-02-11-O1142.u126	"At the same time"!
ParlaMint-FR_2019-02-11-O1142.u127	In your speech, Mr Hetzel, a first thing surprised me: when we do not accept your amendments, you accuse us of not playing the game of parliamentary democracy, but when we accept them, you say that we finally find the common sense that was initially lacking. This does not encourage us to take account of parliamentary amendments!
ParlaMint-FR_2019-02-11-O1142.u128	You can't buy us!
ParlaMint-FR_2019-02-11-O1142.u129	[[Applause on a few benches of the LaREM group]] As I said earlier in the rostrum, we have come with open hands: we are not closed to any further amendments to refine this text, which is necessarily imperfect. However, if every amendment we accept is considered to be a form of concession to your common sense, of which we would be deprived, admit that it is not very incentiveful. I hope that's not the case. The same applies to Mrs Rubin's speech. "Everything that is excessive is insignificant," as one of you said very well.
ParlaMint-FR_2019-02-11-O1142.u130	Talleyrand is not necessarily an example to follow...
ParlaMint-FR_2019-02-11-O1142.u131	When we want to place ideological elements on a text, we come to caricature it.
ParlaMint-FR_2019-02-11-O1142.u132	To hear you, we are all caricatural! It's gonna be a long week!
ParlaMint-FR_2019-02-11-O1142.u133	We speak in front of the French people. I therefore invite everyone to look at the speeches that have been made and to assess the good faith of the criticisms that we have heard. Compulsory education at age 3 was in Mr. Mélenchon's program.
ParlaMint-FR_2019-02-11-O1142.u134	And we will vote in favour!
ParlaMint-FR_2019-02-11-O1142.u135	[[Applause on a few benches of the LaREM group]] It is a bit surprising to hear Mrs Rubin accuse me of wanting a two-speed school to finish her speech by regretting that a measure taken by the Government, namely the duplication of classes, is not being applied perfectly in the department she represents! It's paradoxical, though. Of two things one: if we set up a two-speed school at the expense of disadvantaged populations, do not complain about the possible non-extension of a measure that we have taken! Consistency and consistency are therefore the principles that must guide our action. However, I will note some positive points in your speeches, as I would like you to find them in mine. In everything you've said, I've managed to find points of union around the school, and I'll take a few examples. We know the attachment of Mr Mélenchon and the La France group to maritime issues. Mrs Rubin, I don't know if you'll be able to make a left-right cleavage on this...
ParlaMint-FR_2019-02-11-O1142.u136	[[Smile]] If you ask us...
ParlaMint-FR_2019-02-11-O1142.u137	Indeed, it is extremely desirable for France to develop its professional skills in the maritime field, both in research and in education. That is what I have proposed, particularly for the ultramarine territories, by ensuring that they all have an extremely developed sea school. Whether or not this falls within the legislative sphere, there are magnificent projects to be carried out. Again, I'm not sure the sea is left or right. [[Exclaims on several benches in the FI group]] [[Long exclamations on the benches of the FI and GDR groups]] Yes, of course, the subject of the school is political, in the noble sense of the word. I never said otherwise, Mrs Rubin. I said that the school can unite us – in politics, it is sometimes possible to unite, and that remains politics. In my view, the view that politics is synonymous with division is deeply false. In fact, Mrs Faucillon sent me back to George Orwell, probably thinking about 1984. I will answer him by referring to La Ferme des animaux, a work that is probably more consistent with his political family.
ParlaMint-FR_2019-02-11-O1142.u138	Thank you! It's always a pleasure!
ParlaMint-FR_2019-02-11-O1142.u139	Either one is able to search for the elements of unity whenever they appear, or one seeks to leave unnecessary polemics on the subject of the school.
ParlaMint-FR_2019-02-11-O1142.u140	[[Applause on the benches of the LR group]] Either we agree with you or we're useless!
ParlaMint-FR_2019-02-11-O1142.u141	Mr. Mélenchon, please!
ParlaMint-FR_2019-02-11-O1142.u142	There are also elements of difference, which must be looked at in detail, and not in a single way, as we have heard all too often this afternoon, because this attitude has had the effect of caricature the text by accusing it either of being liberticide or of aiming to create a two-speed school. While we have divided by two the numbers of classes of preparatory courses and EC1 in the most disadvantaged territories, for the benefit of 300,000 children, such a charge defies common sense. Ideology is not on our side, it's on your side. [[Applause on the benches of the LaREM and MODEM groups]] However, I remain hopeful. I have taken the example of the maritime territories, and I can also take the example of the speech given by Mr.Minot: it is possible, with discernment, to agree on several points. The Government and, I think, the majority will show this by adopting amendments. This possibility is open, especially since several subjects, which I mentioned in my speech, are suitable. This is my mindset: to make it possible to enrich the text, from the moment when the criticisms formulated have a constructive dimension – I do not seek unanimity – aimed at advancing the school.
ParlaMint-FR_2019-02-11-O1142.u143	In the explanations of vote on the motion for referral to committee, Mr Maxime Minot has the floor.
ParlaMint-FR_2019-02-11-O1142.u144	"What is well-conceived is clearly stated," said Boileau. Well, we have the proof again with the motion to refer Mr Patrick Hetzel to committee, which details, point by point, the shortcomings of a text that needs to be improved, in particular in response to the worrying drop-out of the school of the Republic in international rankings. [[Claims on the banks of the LaREM and MODEM groups]] Among the arguments that have been put forward, one has drawn my attention in particular: the constant need for the majority to resort to orders. I can understand the urgency in which we find ourselves and the expectations of the French. However, minister, don't you have enough skills in your hands without having to go through the parliamentary box to get even more? Do you claim that your own majority, whose base is flickering?
ParlaMint-FR_2019-02-11-O1142.u145	No, no, no, no, no, no, no,
ParlaMint-FR_2019-02-11-O1142.u146	It's going so well with you!
ParlaMint-FR_2019-02-11-O1142.u147	[[Applause on the benches of the LR group]] Is this all the credit you give to Parliament's work? Colleagues, is it the heart of our mission to make the law or to defeat the executive power by giving it the power to do it in our place? This is not, in any case, the mandate I have received. That is why the Republican Group will vote on this motion of common sense, in order to give us time to really take our responsibilities before the French people.
ParlaMint-FR_2019-02-11-O1142.u148	Mrs Maud Petit has the floor.
ParlaMint-FR_2019-02-11-O1142.u149	[[Exclaims on the benches of the LR group]] Ladies and gentlemen, you have tabled a motion for referral against compulsory schooling at the age of three.
ParlaMint-FR_2019-02-11-O1142.u150	That's not the only reason!
ParlaMint-FR_2019-02-11-O1142.u151	The MODEM group considers, on the contrary, that it is a text of social justice, capable of reducing inequalities and raising the level of pupils. Many of the measures contained therein are in this direction, such as the strengthening of training, experimentation or the creation of new international institutions. The debates in committee have obviously made it possible to identify the different positions of the groups, criticisms have been made, and that is quite normal. It is now important to continue the discussions in order to remove the remaining doubts and allow the planned arrangements to apply. [[Applause on the banks of the MODEM group and on some benches of the LaREM group]] Parliamentary debates in the Assembly and then in the Senate will play their part, which is to improve the text, since it probably remains perfectable. That is why the MODEM Group will not vote on the motion for referral to committee.
ParlaMint-FR_2019-02-11-O1142.u152	Mr Régis Juanico has the floor.
ParlaMint-FR_2019-02-11-O1142.u153	Trust in the school is not decreed, minister, much less in a bill characterized by its verticality. Like the Red Pens movement, many teachers and national education staff were waiting not for an umpteenth reform in your hand, but for a law of recognition and budgetary programming, providing for human resources and additional purchasing power, in order to improve in practice their working conditions and those of pupils. They waited for a law of recognition for their investment in this beautiful teaching profession, which some liked to caricature by evoking between fifteen and twenty-five hours of work per week and sixteen weeks of vacation.
ParlaMint-FR_2019-02-11-O1142.u154	Who said that?
ParlaMint-FR_2019-02-11-O1142.u155	What is your response to this request for recognition? The abolition of 3,500 second degree posts and the freezing of remuneration. In the first degree, teachers in schools are among the least well paid in Europe: in baccalaureate plus 5, 1800 euros net after ten years of seniority.
ParlaMint-FR_2019-02-11-O1142.u156	Yes! It's not terrible!
ParlaMint-FR_2019-02-11-O1142.u157	Mr Minister, our colleague Patrick Hetzel is right in calling for referral back to committee because many provisions are too vague and others have been adopted in haste, after having been the subject of insufficient consultation. Article 1 was seen as a desire to set the educational community at a standstill in its ability to exercise its freedom of expression: silence in the ranks! It must be completely rewritten or even deleted, in accordance with the opinion of the Council of State. Article 4 also deserves to be reworked. We have asked in vain for a precise estimate of the additional cost for the finances of the State and local authorities of the compensation of the maternity allowance to private education resulting from the requirement of education at three years: an amount of 150 million euros is mentioned, that is not nothing. As for CNESCO, which was created only five years ago in the school's re-foundation law, it will be replaced by the school's assessment board, a ministerial body, which will not offer the same guarantees of independence or a thorough prior assessment. The future of CNESCO remains unclear. Finally, too many provisions of the bill entrust the Government with the task of writing the law in place of Parliament by means of the ordinances – this is the case with the new organization of the academies or departmental councils of national education – not to mention twenty-two implementing decrees provided for in the twenty-five articles of the bill. [[Applause on several SOC benches]] For all these reasons, the Socialist and Related Group will vote in favour of the motion for referral to committee.
ParlaMint-FR_2019-02-11-O1142.u158	Mrs Beatrice Descamps has the floor.
ParlaMint-FR_2019-02-11-O1142.u159	We understand some of the arguments put forward by Patrick Hetzel and are disappointed, for example, that the obligation to train between the ages of 16 and 18 years or the generalisation of the localized inclusive accompaniment poles have not been debated in committee. However, the IUD, Act and Independent Group will vote against the motion for referral because we are confident that we will have a real constructive debate throughout the week to formulate our questions – there are some – and our concerns, and get answers that will strengthen us in our hope of being heard.
ParlaMint-FR_2019-02-11-O1142.u160	Mr Alexis Corbière has the floor.
ParlaMint-FR_2019-02-11-O1142.u161	Many arguments have already been developed; I won't come back. It is up to me to explain why the group of La France insoumée will vote in favour of the motion for referral back to committee, while clearly taking its distance from the argument put forward by our colleague Mr Minot: the so-called "liberticide" character of the schooling of children from the age of three.
ParlaMint-FR_2019-02-11-O1142.u162	Bravo, Mr. Corbière!
ParlaMint-FR_2019-02-11-O1142.u163	[[Applause on the benches of the FI and GDR groups]] I do not share this argument, completely contrary to the formidable lever of emancipation that was the republican school: its compulsory, free and secular character has made its strength and created the confidence of popular circles and the countryside. It is to these principles that we must come back to.
ParlaMint-FR_2019-02-11-O1142.u164	We agree! From 3 years old!
ParlaMint-FR_2019-02-11-O1142.u165	Yeah, from 3 years. However, Minister, behind the announcement effect, I blame your text for not going further, in 2019, towards free, notably by making the canteen free, whose cost strikes many budgets, subject that the text does not even address!
ParlaMint-FR_2019-02-11-O1142.u166	Become mayor and do it!
ParlaMint-FR_2019-02-11-O1142.u167	[[Exclaims on the banks of the LaREM, LR and MODEM groups]] [[Same movements]] It would also be appropriate to go further in the mandatory nature by making the canteen compulsory. You consider the cost of the measure impossible, as it is close to the cost of removing the ISF! If you had maintained that tax, we could take it! It's all about political will!
ParlaMint-FR_2019-02-11-O1142.u168	Only Mr Corbière has the floor!
ParlaMint-FR_2019-02-11-O1142.u169	[[Applause on the benches of the FI group]] There is, however, a worm in the fruit of children's schooling from the age of three: it is not certain that public schools will have the capacity to accommodate all newcomers, which will have a boon effect for private schools, especially since they will benefit from at least 150 million euros of public money! On this point, we do not agree. It is necessary to return to the principle of our elders, who have made the beauty of the school and which I repeat: free, obligation and secularism! But the text does not commit the public school to win over too many children who go to the private sector, the deterioration of the public school leading the parents to no longer trust it!
ParlaMint-FR_2019-02-11-O1142.u170	How many children attend private schools, even at home?
ParlaMint-FR_2019-02-11-O1142.u171	Mrs Elsa Faucillon has the floor.
ParlaMint-FR_2019-02-11-O1142.u172	[[Applause on a few benches of the SOC and FI groups]] I do not go back to the minister's insult to my political family, who have learned very important lessons from the past. On the other hand, the Government seems to be forgetting, at the present time, the historical dimension of fundamental values, particularly with regard to respect for freedom. [[Smile on the benches of the LR group]] It is natural that the Republicans consider that the former director general of school education under Sarkozy does not go far enough in the bill for a school of trust.
ParlaMint-FR_2019-02-11-O1142.u173	Oh, my God!
ParlaMint-FR_2019-02-11-O1142.u174	As I have already pointed out in explanation of the vote in favour of the Group of the Democratic and Republican Left on the motion for a preliminary rejection, we wish to reject many aspects of the text, while others remain very vague – so is the pre-recruitment of teachers, whose future workings we do not know. Mention should also be made of the many gaps in the text, which are now being targeted by our fellow citizens, particularly those who are doing national education. In addition to inclusive schools and school violence, it is also necessary to mention the degraded working conditions of teachers. [[Applause on a few benches of the FI group]] These are the reasons why we will vote in favour of the motion for referral to committee.
ParlaMint-FR_2019-02-11-O1142.u175	Mr Bertrand Pancher has the floor.
ParlaMint-FR_2019-02-11-O1142.u176	The ambitions defended by the Government through the bill, namely, the raising of the general level and social justice, seem perfectly legitimate to us. We share all these objectives: the school of the Republic must be a school of trust, offering all an effective equal opportunity and the opportunity to prepare for its future in society. The lowering of the age of compulsory education, first of all – this is not a symbolic measure – the more refocused training of teachers and the strengthening of the link between the college and primary school: we will come back to all the objectives in the context of the examination of the text. There are still questions that need to be addressed: we need to focus on them. I am thinking of the financial compensation for the communes or of the duty to exemplify the teachers, which seems useless or even provocative. The issue of public institutions of basic knowledge is an important issue, warranting further discussion. The inclusion of students with disabilities also deserves more time. Finally, you propose to carry out by order the territorial redistribution of academic constituencies, while the answers you have given us lack clarity. [[Smile. – Applause on several benches of the LaREM group]] These central issues have already been raised in committee. We now find it useful to discuss it quickly in the sitting. That is why the Libertés et Territoires Group sees no interest in referring the text back to committee, even though I very much like to hear Patrick Hetzel quote the Defender of Rights abundantly. Let us hope that the recommendations of the latter will inspire our colleagues LR more regularly...
ParlaMint-FR_2019-02-11-O1142.u177	Mrs Jacqueline Dubois has the floor.
ParlaMint-FR_2019-02-11-O1142.u178	Given the ambitions set out in this bill, we need to identify concrete challenges, including territorial ones, to reform. As a corollary, trust has equal opportunities: all students must have the same opportunity to succeed. This text promotes our ambition to raise the general level of students by strengthening social justice. Thus, 26,000 children, often from disadvantaged backgrounds, will benefit from the same conditions of success as all their comrades throughout France. This formidable leverage will particularly benefit the departments of Mayotte and Guyana. Teacher, teacher of schools, teacher in kindergarten, I know how much kindergarten contributes to the development and development of children, when they are in school from 3 years old.
ParlaMint-FR_2019-02-11-O1142.u179	That's right.
ParlaMint-FR_2019-02-11-O1142.u180	I would like to stress that the text does not detract from the right to education within families, which is and remains a freedom. The necessary assessment will take into account the child's cognitive abilities and the progressivity of learning. The use of experimentation in the fields of pedagogy, international exchanges, the development of digital technology, scheduling arrangements, cooperation with partners in the education system will also guarantee confidence in the improvement of the school. Second, trust will translate into the quality, that of the institutions, through better evaluation, provided by the school's assessment board, but also that of teacher training, since we will put an end to the inequalities of training according to the territories and allow the pre-recruitment. This text also incorporates advances in the schooling of pupils with disabilities, which we voted on a few days ago in this House unanimously. These measures are very much expected...
ParlaMint-FR_2019-02-11-O1142.u181	That's right!
ParlaMint-FR_2019-02-11-O1142.u182	It's about time!
ParlaMint-FR_2019-02-11-O1142.u183	Expectations are already disappointed!
ParlaMint-FR_2019-02-11-O1142.u184	...by families and individuals who contribute to making the school inclusive. [[Applause on the benches of the LaREM group and on some benches of the MODEM group]] This text has been enriched throughout the debates in committee and will still be enriched by your work, ladies and gentlemen. It provides solutions adapted to the needs and progress of education and to the realities of our territories. The La République group on the move will vote against the motion for referral to committee.
ParlaMint-FR_2019-02-11-O1142.u185	I put to the vote the motion for referral to committee.
ParlaMint-FR_2019-02-11-O1142.u186	The result of the vote is as follows: Number of voters 74 Number of votes cast 74 Absolute majority 38 For adoption 20 Against 54
ParlaMint-FR_2019-02-11-O1142.u187	In the general debate, Mr Frédéric Reiss spoke.
ParlaMint-FR_2019-02-11-O1142.u188	With the bill for a school of trust, France will be Europe's champion of school precocity.
ParlaMint-FR_2019-02-11-O1142.u189	And that's very good!
ParlaMint-FR_2019-02-11-O1142.u190	This law introduces compulsory schooling from the age of 3 years, in accordance with the presidential announcement made during the assizes of kindergarten. The opportunity was too good, minister: there will be a Blanquer law, contrary to what you said in May 2017 at the PEEP congress. It is true that with regard to school rhythms or learning to read in small groups in priority areas of education, the Blanquer method has rather seduced.
ParlaMint-FR_2019-02-11-O1142.u191	And successful!
ParlaMint-FR_2019-02-11-O1142.u192	Pragmatic, it has consisted of trusting the actors in the field, teachers, parents of pupils and communities, with the aim of offering students the advantages that will enable them to succeed in their education first, their occupational integration then, their integration into society finally. The Republicans Group appreciated the introduction of flexibility measures, which reduce territorial inequalities and increase the chances of school success. Let me remind you that the great laws of guidance for the school were intended to apply for about fifteen years, the time of the journey of a cohort of students from kindergarten to baccalaureate. This was the case with the Jospin Act of 1989, which completed the democratisation of the school. This was also to be the case with the Fillon Act of 2005, the first law on policy and programming in this area, which established the common foundation of knowledge and skills. However, in 2012, the left wanted its law on the school and hastened to have the law of re-foundation passed – of which I greet the rapporteur, Yves Durand, present in the stands. It has consolidated the common foundation of knowledge, skills and culture while focusing on teacher training in ESPE and on the evaluation of the school system, two major areas that we will discuss. All this to emphasize that time is accelerating: an eight-year period had elapsed before the Peillon law; There will only have been six years before the Blanquer law. In the Internet age, we could understand this, but have we given sufficient thought to the impact of digital in the daily practices of school? Of course, we debated it last Wednesday, but perhaps we should go further. The Berthoin Act of 1959 extended compulsory education from 14 to 16 years; The purpose of this text is to move it forward from the beginning to 3 years. What does that mean? Does our kindergarten, which some consider the best in the world, no longer meet the needs of families? Would the State not be able to offer a coherent and ambitious early childhood policy for the youngest? Would families be unable to educate their children by allowing them to adapt gradually to school? These are as many questions as possible, knowing that 97.6 per cent of children aged 3 and almost 100 per cent of those aged 4 and 5 are already in school. Is the measure not going to cause problems of attendance for the little ones?
ParlaMint-FR_2019-02-11-O1142.u193	That's for sure!
ParlaMint-FR_2019-02-11-O1142.u194	The vast majority of Republican MPs cannot resolve to impose compulsory schooling at 3 years. Rather, we are inclined to propose an ambitious pre-school policy, trusting families, who remain the first educators of their children. Precocity in compulsory education is not synonymous with success. We can also question the meaning of this decision, taken without any consultation. Compulsory schooling from the age of 3 could disrupt the plans of parents who learn to read, write and count to their children. This choice offered to families is perfectly legal, with the education of children being controlled from CP. From now on, control will begin at kindergarten. So, detectives will come to the house, but to do what? We can ask ourselves. What are the motivations of parents who choose to start family education? Are all 3-year-olds ready for regular hours? How many of the 26000 students affected suffer from a disability or difficulty that imposes a choice other than school at the age of 3? Would parents who use freedom of education to gradually get used to the school's fixed timetables be wrong? From my point of view, the initial freedom left to them does not in any way impede schooling. The new article 4 bis, adopted in committee, is revealing: it opens up the possibility for kindergartens to take care of children under compulsory education at the age of three. It alone bears witness to the fact that early childhood care facilities can very well care for young children without their compulsory enrolment in school.
ParlaMint-FR_2019-02-11-O1142.u195	It's a transient device!
ParlaMint-FR_2019-02-11-O1142.u196	I fear that "French avant-gardeism", to use your words, Minister, will make little emules in Europe. Several OECD countries, mentioned earlier by Patrick Hetzel, have achieved excellent results in international tests such as those of PISA, thanks to a dynamic early childhood policy in preschool. While the focus on nursery school is interesting, it should not simply lead to a lowering of the age of compulsory education. It must also lead to dedicated staff training and a higher level of supervision. The aim is to facilitate the transition between the cycle of initial learning and that of basic learning. I agree with the progress made under Article 6 on EPLEI, as I am in favour of the establishment of public institutions of basic knowledge, EPLEI. I had once called for the establishment of the schools of the base; These can be sustained through FSPs, particularly in priority education areas. On the other hand, I have again tabled an amendment on school groups, in the spirit of my bill at the end of last year. I am convinced that by consolidating the RPIs, the intercommunal educational groups, we will come to more satisfactory situations, especially in rural areas. I hope that this amendment will have a better fate in public than in committee. Since you took office, Minister, you have been promoting the duplication of CP and CE1 classes in priority education areas. The "more teachers than classes" scheme would give school groups a new dynamic and would help to combat the divide between the territories, which would not be negligible in the current situation. I have always thought that it is necessary to better evaluate our education system in order to make progress. During the review of the re-foundation bill, I did not, I admit, spontaneously join the creation of CNESCO, the National School System Assessment Board. With hindsight, after working on it, I affirm that it fulfils a triple role of producing, synthesizing and promoting evaluations, from an international perspective of methodological expertise, for education professionals and the general public. For the Republican Group, it is essential that the school system be independently evaluated; This is the sine qua non of its improvement. This evaluation must be carried out by a scientific authority with its own resources and led by members whose appointment ensures independence, with the involvement of Parliament. With regard to the new school assessment board, we are in no way reassured by the majority that CNESCO will not disappear and that its missions will be transferred to a university chair. There is no doubt that there is a real strategy for ministerial communication. This is not the case, on the other hand, with the independent evaluation of the school. At the moment, we are concerned about this, and we are not the only ones, since the parents' federations of students, the PEEP and the FCPE, the SNPDEN – National Union of Management Staff of National Education – as well as a significant number of reformist unions have sent you a letter on this subject, Minister. I do not know what response has been reserved for them, but it would be good if, by the time Article 9 is examined, you proposed a clear mechanism for the further independent evaluation of the school system; It's a major issue. The transformation of ESPE into INSPE is an anecdote. Of course, we all share the desire to train teachers well, not only at the beginning of their careers, but also in the context of continuing training, especially when they are confronted with new difficulties in the exercise of their profession. During the examination of Article 17 in committee, we felt a real inflection of your desire to harmonize, by order, the academic constituencies with the major regions. We have seen a retro-pedaling on this subject, following strong media pressure from the ground. It is indeed essential to keep nearby rectoral services. But then, why a regional rector and sub-rectors in today's academies? In Strasbourg, in view of the creation of the European Community of Alsace, the presence of a full rector, with decision-making and management powers, seems indispensable to me for the implementation of a proactive policy on bilingualism. Overall, the important articles of this text have been subject to only minor amendments, some of which are even in line with a talkable law. The example of taking disability into account in schools is quite revealing, given the fate reserved for the relevant bills, that of the Republicans group first, that of the Socialists and related groups then. While amendments by the majority have been adopted to add the word "inclusive" in several articles of the Education Code, the inclusive school is not decreed. The school needs to evolve through concrete measures relating to the reception, training and status of HSEAs. We have noted your willingness to change the perspective on the difference, Minister, and we will take our full part in the development of the "public service of disability" that you mentioned. [[Applause on the benches of the LR group. – Mr Bertrand Pancher also applauds]] In conclusion, on key issues such as early childhood care, teacher training, assessment of the school system or the need for proximity, the text provides inadequate, incomplete or even contradictory answers. The Republicans Group will not sign a blank cheque to the Government in such an important area as education.
ParlaMint-FR_2019-02-11-O1142.u197	All right!
ParlaMint-FR_2019-02-11-O1142.u198	Mrs Nadia Essayan has the floor.
