ParlaMint-FR_2019-10-14-O1022.u1	The next item is the continuation of the discussion of the finance bill (No. 2272, 2301).
ParlaMint-FR_2019-10-14-O1022.u251	... without taking into account their policy, while some of these groups make the choice to relocate. And they would benefit from this tax cut and all public aid! You know that the automotive sector is suffering particularly, in the context of the transition it will have to make in the years to come. And some of them also decide to relocate to low-cost countries: the Peugeot 2008 will leave Mulhouse to be produced in Spain, the Peugeot 208 will be manufactured in Morocco, the Renault Clio will leave Flins to go to Slovenia – I could multiply examples of this type, in different industrial sectors. We believe, for our part, not only that taxes should be progressive, but also that public aid should be allocated according to industrial choices. Public aid cannot be paid to large groups and tax cuts can be made if they relocate their activities abroad, whereas they should invest in France: if companies receive public aid, it is good to invest in France and maintain jobs and know-how in our country. [[Applause on the benches of the GDR group]] Finally, you say that we must align ourselves with the countries of the European Union, in the name of this competition which is pulling us down, as my colleague Eric Coquerel said right now. On the contrary, we believe that all public aid granted to these groups – CICE, research and other tax credits – must be taken into account. Once all these elements are considered, our big groups are not so bad – let alone the tax optimization they regularly practice.
ParlaMint-FR_2019-10-14-O1022.u252	What is the committee's opinion on the two amendments under joint discussion?
ParlaMint-FR_2019-10-14-O1022.u253	You propose to return to the rate of 33.3%. You will understand that you are in perfect contradiction with the 2018 Finance Act, which, I would remind you, set this rate at 25% in 2022. In fact, you do not abrogate the article in question, which means that your amendment would not, no matter what, call into question the 25% rate in 2022. I would therefore like to point out that your amendment is not working.
ParlaMint-FR_2019-10-14-O1022.u254	Yes, I do!
ParlaMint-FR_2019-10-14-O1022.u255	In addition, remember, however, that many SMEs would be affected by the measure you are proposing, because progressivity does not regulate everything. Some growing SMEs would be affected by the system of progressivity that you want to introduce and would be penalized: you would thus achieve the opposite of the aim sought. You are also in contradiction with the trajectory of 2018, but also with the trajectory voted during the previous term. The opinion is unfavourable.
ParlaMint-FR_2019-10-14-O1022.u256	No answer to my question about 2.5 billion...
ParlaMint-FR_2019-10-14-O1022.u257	What is the Government's opinion?
ParlaMint-FR_2019-10-14-O1022.u258	I also express an unfavorable opinion. The bell sound is different from that heard about the previous amendments... The Government's and the majority's line remains constant.
ParlaMint-FR_2019-10-14-O1022.u259	It's not an ecological line, anyway!
ParlaMint-FR_2019-10-14-O1022.u260	We assume that it is a good thing to support businesses in creating jobs, taking into account their size and asking for a special effort from companies with more than EUR 250 million in turnover. I want to reassure President Woerth on this point: we obviously believe that it is businesses that create jobs, and that supporting businesses is supporting activity in the territories and creating jobs. President Renson reminded us that we had a short period of time, so I will not take stock of all the measures we have taken in favour of companies: removal of all the charges at SMIC level, abolition of the 20% tax on self-employment, reduction of the corporate tax to 25% in 2022, transformation of the CICE into a definitive relief of burdens, regulatory measures taken under the CAPTE law, action plan for business growth and transformation in order to lighten the rules on SMEs – simplification of the thresholds, five years in the event of crossing the threshold. All this makes a policy resolutely favourable to entrepreneurs, so that they create jobs in our territories. Mr Roussel raises, as is often the case, a fundamental question when he refers to relocations. How can we respond and avoid what we have actually seen over the last ten years – admit it – namely 1 million industrial jobs that have been abolished, 100 factories that close every year, situations like Michelin's in La Roche-sur-Yon, which are tearing for everyone, especially for employees, or fighting like the one I'm currently leading with General Electric on the Belfort site? First, we need to know where we stand. I have a deep conviction: the only position valid for French industry, which will keep factories and jobs in France, is the high-end, which involves investment in technologies. It is in this segment that corporate taxes must be reduced, because it restores the profitability of businesses and allows them to invest. The best news recorded in France on this front over the last three years is that business investment has never been so high in ten years. They can then invest, innovate, and position themselves on ranges where we are competitive. Those who don't do it have no chance of getting away with it, we all know that.
ParlaMint-FR_2019-10-14-O1022.u261	We do not agree on that!
ParlaMint-FR_2019-10-14-O1022.u262	We should all be pursuing this policy of providing financial resources for companies, so that they can invest, innovate and position themselves on high technologies, but that will not be enough. We must also continue to reduce taxes on businesses – I am thinking of production taxes – so that we are competitive with our big European neighbours. And that's not even enough yet!
ParlaMint-FR_2019-10-14-O1022.u263	Let's go...
ParlaMint-FR_2019-10-14-O1022.u264	I'll add a third element. In view of the bleed of industrial jobs in France...
ParlaMint-FR_2019-10-14-O1022.u265	Especially in the North!
ParlaMint-FR_2019-10-14-O1022.u266	... – you know this reality very well, Mr Roussel, as I know her in my constituency, of which I have been elected for more than twelve years – it is a set of measures that will bring answers, not a magic wand: we must also play with the regulatory weapon. Michelin, for example, is faced with competition from Asian tires – Chinese, to be more precise – that have taken 30% of the market and are 4 to 8% cheaper than French tires, especially for heavy goods vehicles.
ParlaMint-FR_2019-10-14-O1022.u267	And they're very carbonized, because they come from far away!
ParlaMint-FR_2019-10-14-O1022.u268	However, the standards defined at European level concern new tyres. This compares the quality of Chinese new tyres to Michelin's new ones. I'd like to know what's going on six months later: are Chinese tires as efficient as French tires? Do they have the same degree of wear and tear and the same environmental impact? I have asked the Directorate-General for Competition, Consumption and Fraud Prevention to investigate this matter, so that we can compare the quality of the tyres, not with the purchase, but six months later. It will be better for the environment, for the consumer and for our industrialists.
ParlaMint-FR_2019-10-14-O1022.u269	You have to tax the borders!
ParlaMint-FR_2019-10-14-O1022.u270	Put a carbon tax on everything that comes from afar!
ParlaMint-FR_2019-10-14-O1022.u271	If this study shows that, as I believe, after six months, our tyres remain more efficient and less worn while being more environmentally friendly than others, imported from Asia, I would like the European Union to take the consequences and adopt regulations that favour our industrial products.
ParlaMint-FR_2019-10-14-O1022.u272	No need to wait! France can do it!
ParlaMint-FR_2019-10-14-O1022.u273	I have before me four amendments, Nos 236, 845, 1440 and 237, which can be discussed jointly. Amendments Nos 236, 845 and 1440 are identical. Mrs Emilie Bonnivard has the floor to support Amendment No. 236.
ParlaMint-FR_2019-10-14-O1022.u274	Mr President, if I may, I will also defend Amendment No 237.
ParlaMint-FR_2019-10-14-O1022.u275	Please.
ParlaMint-FR_2019-10-14-O1022.u276	Your decision to reverse the planned decline in IS in 2018, which allows the Government to save 700 million euros on the backs of companies, bothers me. The companies concerned are primarily our industries. You think, Mr Minister, that with more than EUR 250 million in turnover, an industry would need such a reduction less than other companies, but I will give you a concrete example that shows the opposite. The industrial firm Ferromem, which produces silicon in Savoie, Gard, Isère, Ain and the Pyrenees, has a turnover of 413 million euros, which corresponds to its very structure, since this industry is positioned on the world market. On the other hand, this turnover does not say anything about the very competitive global context in which it operates, nor about its imperative need to see its costs drop compared to those of its competitors, be they Asian, as in the case you mentioned, or even European. Nor does he say anything about the global industrial context, which is currently very fragile for our industries, and which do not fight with the same weapons as their Chinese competitors. The failure to respect the decline of the IS for our industries and the maintenance of the rate of this tax at 31% instead of 28% is very bad news, as the drop in rates would have actually allowed Ferromem to go through a difficult period in terms of cash flow. My two amendments are therefore intended to reduce the IS rate for companies of this type to 29% and 30%, allowing you to move closer to the path you have committed to supporting companies. [[Applause on the benches of the LR group]] Finally, ladies and gentlemen, a "yours" is better than two "you will have it": I can certainly rejoice at what will happen in 2022, but it is still that in 2020, we are not respecting the commitment of 2018.
ParlaMint-FR_2019-10-14-O1022.u277	Mrs Véronique Louwagie has the floor to support Amendment No. 845.
ParlaMint-FR_2019-10-14-O1022.u278	This is a fallback amendment. In Article 11, you propose to increase the corporate tax rate, for which you had retained 28% in the 2018 Finance Act, to 31% for companies with a turnover of more than 250 million euros and a profit of more than 500,000 euros. Furthermore, I regret that the Government is not more active with regard to production taxes; You've told us a lot about it, but there's not much going on and the heaviness of this taxation remains very worrying. I would point out that in France, production taxes exceed the European average by 2.4 percentage points, which represents more than EUR 56 billion on the French production apparatus and undermines the profitability and competitiveness of companies. And now you're kicking them again by not doing the tax reduction you've been considering. And since you mentioned a decrease in costs for businesses, I also recall the increase in 2018 of the ICTPE – the domestic consumption tax on energy products – which weighed on businesses. As for the proposal to remove the non-road diesel exemption, which you also retain in the finance bill, it will represent an additional burden for businesses.
ParlaMint-FR_2019-10-14-O1022.u279	I call Mrs Emmanuelle Ménard to support Amendment No. 1440.
ParlaMint-FR_2019-10-14-O1022.u280	In paragraph 2, the Government reverted to what had been planned, because of a budgetary return requirement, and maintained a tax rate of 31 per cent. As I have already said, the tax burden on French companies is higher than that applied in most European countries, which tends to create unfair competition for our companies. If you do not think it is possible to achieve a corporate tax rate of 28 per cent, this fallback amendment is intended to ensure a reduction that would bring this rate to 29 per cent.
ParlaMint-FR_2019-10-14-O1022.u281	Amendment No 237 by Mrs Emilie Bonnivard was defended. What is the committee's opinion on these four amendments?
ParlaMint-FR_2019-10-14-O1022.u282	I will not repeat the argument I have already made with regard to the deletion amendment with regard to these back-up amendments: the opinion is unfavourable.
ParlaMint-FR_2019-10-14-O1022.u283	What is the Government's opinion?
ParlaMint-FR_2019-10-14-O1022.u284	Same opinion.
ParlaMint-FR_2019-10-14-O1022.u285	Mrs Emilie Cariou has the floor.
ParlaMint-FR_2019-10-14-O1022.u286	I would like to take stock of the measures we are taking with regard to corporate tax. At the beginning of the quinquennium, we adopted a reduction in this tax to reduce its rate to 25%. Let us not forget that this rate had been 33% for decades, and that it was even higher, since in 1995 the Juppé government introduced an additional contribution to the IS, under Article 235 ter ZA of the General Tax Code, after which came Articles 235 ter ZB and 235 ter ZC, and we dragged these additional contributions until 2017!
ParlaMint-FR_2019-10-14-O1022.u287	We were about 50%.
ParlaMint-FR_2019-10-14-O1022.u288	You have to tell Aurore Bergé!
ParlaMint-FR_2019-10-14-O1022.u289	[[Exclaims on the benches of the LR group]] All the accountants and tax officers in this House remember that very well. We will lower the IS next year, and the vast majority of companies will follow the curve we have drawn. It is true that at the beginning of the year, when we passed the law providing for a digital services tax, we presented you with a slowing down of rates for very large companies, but next year we will begin to apply this reduction to these very large companies, which are a minority but have big results. Whatever you say, this is a drop in IS, which will affect all businesses next year. Finally, I can no longer hear the effect of the CICE. When it was introduced, the companies complained that there were no decreases in direct charges, which would be included in the operating income. If we have now turned the CICE into a drop in costs, it is not for companies to make reserves, Mrs Louwagie,...
ParlaMint-FR_2019-10-14-O1022.u290	I didn't use the word "reserves"!
ParlaMint-FR_2019-10-14-O1022.u291	[[Applause on several benches of the LaREM group]] ...but for them to invest. Be aware that the investment results in a depreciation charge and that the result does not increase mechanically in proportion to the decrease in charges. So either the company creates a depreciation burden, or it hires, or it increases its employees – it may indeed be interesting to have a somewhat dynamic wage policy in companies.
ParlaMint-FR_2019-10-14-O1022.u292	Absolutely!
ParlaMint-FR_2019-10-14-O1022.u293	[[Applause on the benches of the LaREM and MODEM groups]] The drop in expenses in our businesses are competitive gains to invest and hire, not to make reserves and increase corporate taxes.
ParlaMint-FR_2019-10-14-O1022.u294	What about the dividends?
ParlaMint-FR_2019-10-14-O1022.u295	Mr Marc Le Fur has the floor.
ParlaMint-FR_2019-10-14-O1022.u296	[[Rites and exclamations on the banks of the LaREM and MODEM groups]] Let us not hide the reality: you increase corporate tax for some of the companies; It's an objective data, you can turn around the pot forever, but that's the reality. [[Laughs]] One of the reasons you are putting forward for this increase is that at the end, the tax will have fallen for all businesses. However, we are not at the end of the quinquennium, but at the middle of the quinquennium, and we see this increase! Minister, one of your arguments in support of this increase is that, in your opinion, production taxes will fall. However, I am very much asked by the companies in my constituency about a production tax that will not decrease: the transportation payment. In fact, no company is talking to me about the C3S, the social solidarity contribution of the companies, but they are talking to me about this transport payment, which amounts to 7 billion euros from the companies and which, calculated on the payroll, is therefore very directly a tax that penalises employment. If you do us the honor, minister, to come to my constituency,...
ParlaMint-FR_2019-10-14-O1022.u297	With great pleasure! I know her well, I've been there many times!
ParlaMint-FR_2019-10-14-O1022.u298	I know that. We will see companies which employ 200, 250 or 300 employees, none of which use public transport but which nevertheless pay the transport payment. And if employees do not use public transport, it is because this transport is failing and because these companies do the two-eight or three-eight, which by definition corresponds to schedules where public transport is not efficient. I ask you to take into account this concern of the companies regarding the payment of transport, the heaviest production tax imposed on our companies. This would be an effective measure, particularly for the world of industry.
ParlaMint-FR_2019-10-14-O1022.u299	Mr Laurent Saint-Martin has the floor.
ParlaMint-FR_2019-10-14-O1022.u300	We cannot allow the discussion of this series of amendments to end with a totally wrong speech, which would suggest that corporate tax is increasing – because that is what you said, dear colleague Le Fur.
ParlaMint-FR_2019-10-14-O1022.u301	Yes, I do! It's a reality!
ParlaMint-FR_2019-10-14-O1022.u302	[[Laurent Saint-Martin brandishes a paper]] [[Applause on the benches of the LaREM group]] Here is a curve: the rate of this tax starts at 33.3%, goes through 28% and then 26.5%, to fall to 25% at the end of the quinquennium. If you see a rise in that curve, explain to me where it is.
ParlaMint-FR_2019-10-14-O1022.u303	I have before me three identical amendments, Nos 238, 436 and 1441. Amendment No 238 by Mrs Emilie Bonnivard is being defended. I call Mr Damien Abad to support Amendment No. 436.
ParlaMint-FR_2019-10-14-O1022.u304	Let's be clear:...
ParlaMint-FR_2019-10-14-O1022.u305	Finally!
ParlaMint-FR_2019-10-14-O1022.u306	...go to the end.
ParlaMint-FR_2019-10-14-O1022.u307	Don't say it's going up again!
ParlaMint-FR_2019-10-14-O1022.u308	[["Ah! » on the benches of the LaREM group]] We do not question the reduction in corporate tax – so far, everything is fine. What we are contesting is the change of course you are taking with the finance bill and, more importantly, the fact that this is the third trajectory you are deciding. [[Applause on a few benches of the LR group. – Exclaims on several benches of the LaREM Group]] Amendment No 436 is a withdrawal amendment. Can you assure us this evening that this is the last change in corporate tax path until 2022? Is this the last time you've slowed down this tax? It is important that we have this concrete commitment this evening to reassure French companies.
ParlaMint-FR_2019-10-14-O1022.u309	Answer the question, minister!
ParlaMint-FR_2019-10-14-O1022.u310	Amendment No 1441 by Mrs Emmanuelle Ménard is being defended.
ParlaMint-FR_2019-10-14-O1022.u311	We won't get the answer!
ParlaMint-FR_2019-10-14-O1022.u312	The rapporteur-general has the floor to support Amendment No. 2904.
ParlaMint-FR_2019-10-14-O1022.u313	This is a clarification and coordination amendment, which was previously placed in Article 12 and which, relating to corporate tax, was repatriated to Article 11.
ParlaMint-FR_2019-10-14-O1022.u314	Mrs Valérie Rabault has the floor to support Amendment No. 1372.
ParlaMint-FR_2019-10-14-O1022.u315	If you will, Mr President, I shall at the same time defend Amendments Nos 1373 and 1374.
ParlaMint-FR_2019-10-14-O1022.u316	Please, dear colleague. On Amendment No 1374, I have a request from the Socialist and Related Group for a public vote. The vote is announced in the National Assembly.
ParlaMint-FR_2019-10-14-O1022.u317	It is true, Mr rapporteur-general, that these three amendments have already been tabled. They aim to underline the specific nature of corporate tax for SMEs. Indeed, the latter are subject to the same tax rate as all companies, with one exception: of the first 38120 euros of net income they earn, if their turnover is less than 7.6 million euros, they pay a corporation tax at the rate of 15%, instead of the normal rate. The first of my amendments – knowing that the other two are in decline – aims to increase the net income below which the reduced tax rate would apply from €38120 to €100,000, which would allow, for example, a company operating in Canada or the United States to benefit from that rate of the first $100,000 it would earn. This would be a real incentive for SMEs and would benefit them over large groups. Amendment No 1373 seeks, without affecting the fraction of taxable profit, to raise the threshold of turnover from EUR 7.6 million – equivalent to the 50 million francs of the past – to EUR 50 million, which corresponds to the European definition of SMEs. Amendment No 1372 is indeed the most expensive, because it proposes cheese and dessert: it aims to raise the turnover threshold from EUR 7.6 million to EUR 50 million and to increase the fraction of taxable profit from EUR 38120 to EUR 100,000. Amendment No 1374, on which I have asked for a public vote, is the one that costs the least, and by raising the fraction of taxable profit to EUR 100 000, SMEs are offered a real incentive. It is often said that SMEs must grow but that this growth is difficult in France, contrary to what is happening in Germany with the Mittelstand model – well known to the minister. It would therefore be important to give them a real signal by acting on the corporate tax rate.
ParlaMint-FR_2019-10-14-O1022.u318	What is the opinion of the committee?
ParlaMint-FR_2019-10-14-O1022.u319	As President Rabault recalled, these amendments have already been rejected several times, in 2017, 2018 and 2019. I will not accept the argument of the cost – although it still amounts to EUR 200 million – raised in connection with Amendment No 1374, because it is for this amendment that you have asked for a public vote. I would remind you, however, that the new trajectory, which follows that of the BIA – the original finance law – for 2018, is more advantageous for SMEs than the one resulting from the 2017 BIA, which included the increase in the turnover ceiling. In addition, your amendment would allow a company that pays a few hundred thousand or even 1 million euros to earn 4000 euros, which I think is very marginal. Is the game worth it? These will be the main arguments that I will take up today – I have already often developed others over the last three years.
ParlaMint-FR_2019-10-14-O1022.u320	It's not much. It's shy.
ParlaMint-FR_2019-10-14-O1022.u321	The opinion is therefore unfavourable.
ParlaMint-FR_2019-10-14-O1022.u322	What is the Government's opinion?
ParlaMint-FR_2019-10-14-O1022.u323	It is unfavourable for two reasons. The first is the budgetary cost. Then you reintroduce thresholds which the Council of Compulsory Taxes – very sceptical about them – considers to favour strategies of avoidance and circumvention of corporate taxes by companies; I don't think it's a good idea to go back to those threshold levels.
ParlaMint-FR_2019-10-14-O1022.u324	They don't like SMEs!
ParlaMint-FR_2019-10-14-O1022.u325	I had not answered Mr Abad earlier about the trajectory itself. Of course, to the full extent of my power, which is not unlimited, this trajectory has no vocation to change. I hope that it will be preserved until 2022 so that the tax rate for all businesses will be 25%. I finally want to tell Mr. The Fur that it's always a pleasure to go to his riding.
ParlaMint-FR_2019-10-14-O1022.u326	Thank you! We'll go see the companies!
ParlaMint-FR_2019-10-14-O1022.u327	Mrs Valérie Rabault has the floor.
ParlaMint-FR_2019-10-14-O1022.u328	I hear your arguments, minister. But it bothers me a lot that, as part of an economic policy, no signal is given to SMEs. They face more difficulties than major groups in recruiting. They find it more difficult to obtain financing – less for their investments than for their cash flow. At the time of recovery, they sometimes find it more difficult to find investors. [[Marie-Noëlle Battistel applauds]] I want to say that thresholds are not the best way – I am ready to think about another solution. But I would like to be able to send a positive signal to SMEs rather than to wonder all day about the reasons for their weak growth in France in relation to the German situation. This difference between the two countries also applies to both the tax and legal aspects: in Germany, the law is much more protective for SMEs, especially when they are at risk of being bought by large groups. I find that there is insufficient support for SMEs, which on many issues are less well treated than the large groups.
ParlaMint-FR_2019-10-14-O1022.u329	Mr Jean-Paul Mattei has the floor.
ParlaMint-FR_2019-10-14-O1022.u330	We had this discussion last year. I will not support this amendment.
ParlaMint-FR_2019-10-14-O1022.u331	Oh!
ParlaMint-FR_2019-10-14-O1022.u332	Too bad!
ParlaMint-FR_2019-10-14-O1022.u333	If we do the calculation, with a tax rate of 25% – this will certainly not be the case until 2022 – the economy amounts to 6188 euros. It seems to me that other measures would make it possible to move in the right direction. Some have already been adopted, in particular in the PACTE law referred to earlier by the Minister, for example the raising of the thresholds for the compulsory appointment of an auditor. But we're not going to do the story again. This amendment is interesting but also, forgive me, a little demagogic in terms of its effectiveness on the ground.
ParlaMint-FR_2019-10-14-O1022.u334	Now the word "demagogic"! Because you never show demagogy?
ParlaMint-FR_2019-10-14-O1022.u335	I put to the vote Amendment No. 1374.
ParlaMint-FR_2019-10-14-O1022.u336	The result of the vote is as follows: Number of voters 68 Number of votes cast 66 Absolute majority 34 For adoption 15 Against 51
ParlaMint-FR_2019-10-14-O1022.u337	I call Mr Charles de Courson to support Amendment No. 1233.
ParlaMint-FR_2019-10-14-O1022.u338	Our group has tabled this amendment for the following reason: it does not make sense to reduce the so-called normal rates by gradually reducing them from 33 % to 25 % without touching the rate of 15 %, which applies within the limit of 38,000 euros, as has just been pointed out. There is a problem of coordination with regard to rate policy that applies beyond EUR 38,000. This rate should be reduced from 15 to 12 per cent in order to respect a certain parallelism. This approach differs from that of the previous three amendments, which consisted of playing on thresholds. It seems fairer to me to establish a parallelism of rates.
ParlaMint-FR_2019-10-14-O1022.u339	He's very generous, Mr. de Courson!
ParlaMint-FR_2019-10-14-O1022.u340	What is the opinion of the committee?
ParlaMint-FR_2019-10-14-O1022.u341	I do not entirely agree with the parallelism of the forms you refer to. The path of the SI's normal rate has never been to change the reduced rates, which aim to mitigate the impact of excessive taxation. When the normal rate is lowered, the reduced rates should not be so low, especially since they are often recognised as elements of tax optimisation, including and especially for SMEs. The opinion is therefore unfavourable on this amendment, which, by the way, would cost half a billion euros.
ParlaMint-FR_2019-10-14-O1022.u342	The Minister has the floor to support Amendment No. 2978, introducing an additional Rule after Rule 11.
ParlaMint-FR_2019-10-14-O1022.u343	This is an amendment to coordinate with the PACTE law: it aims to set 1 January 2020 for all SMEs the trigger of the five-year period during which they will not have to comply with the tax and social thresholds. This amendment therefore responds to a need for consistency.
ParlaMint-FR_2019-10-14-O1022.u344	Mrs Lise Magnier has the floor.
ParlaMint-FR_2019-10-14-O1022.u345	Article 16 aims to remove the tax niche on the GNR – non-road diesel – to align the GNR's tariff with that of road diesel in three years. The elimination trajectory of this niche foresees 900 million euros of additional revenue. I remember the debates here on article 19 of the PLF for 2019, where we were alerting you about the consequences of the brutal removal of this niche for the benefit of companies. We had not been heard, but the French managed to make you understand that punitive ecological taxation is never the right solution. We may therefore be pleased that the Government has taken these criticisms into account in proposing what we were simply asking for last year: a whistle release, in several years, accompanied by several transitional measures, such as over-amortization. At present, however, in several sectors of activity affected by this tax increase, no non-road machinery operating with a greener engine, with energy other than diesel, is available, and there is no assurance that such machinery will exist within three years. This increase in taxation weakens our businesses, many of which are subject to very strong European competition. But in the transport sector, for example, these same competitors will continue to use our roads; The carbon balance of this measure therefore seems to us to be very uncertain. That is why, like other colleagues, whether or not they belong to the majority, we will propose sectoral amendments to limit the economic impact on areas of activity already in high tension. [[Applause on the benches of the UDI-Agir group]] As I said in the general discussion, it seems to us necessary to act pragmatically and to accompany the transition to cleaner vehicles. That is why we will also propose to soften the alignment of GNR taxation on road diesel by 2026.
ParlaMint-FR_2019-10-14-O1022.u346	Mr Laurent Saint-Martin has the floor.
ParlaMint-FR_2019-10-14-O1022.u347	Article 16 effectively enshrines the gradual abolition, in three years, of the reduced rates of ICTPE for so-called non-road diesel fuels. What we must remember, first of all, on the bottom, is that we do what we said: we look, treat, revise and then remove an so-called anti-ecological niche. That is also what the great national debate of last spring resulted in. Addressing tax niches is difficult because, we are aware, there are sectors of activity, sectors behind them. But with regard to some niches, we also need to know how to turn the page, for example in the name of the ecological transition. On the other hand, it should be stressed, on the form, that this work has been carried out with great concern for consultation with the sectors. The minister did a great job of getting many representatives from industries and businesses who might feel concerned about the elimination of the reduced tariff for ICTPE, often because they could see this as problematic and disadvantageous. The agricultural sector, as we know, is not affected by this abolition, which has also led to the creation of special arrangements, for example for sectors exposed to international competition. We will detail them in the discussion, and the rapporteur-general will also propose amendments to this effect. Finally, the counterpart, which we discussed last year, is the issue of over-amortization, with two mechanisms to support investments, on the one hand, in substitutes – a very important issue – and, on the other hand, in storage facilities or handling and distribution equipment for SMEs that offer exclusively this type of fuel. The contract review clause, in order to mention the new tariff, is also included in the article, as is the extension of work eligible for the VATF – VAT compensation fund – for local authorities. [[Marie-Christine Verdier-Jouclas applauds]] In conclusion, article 16 is necessary in the name of the ecological transition, but it is also a concerted article, developed with patience and collective intelligence.
ParlaMint-FR_2019-10-14-O1022.u348	Mr Jean Lassalle has the floor.
ParlaMint-FR_2019-10-14-O1022.u349	The GNR is used mainly in agriculture and in the mountains. In the mountains, it takes more than anywhere else. With Jeanine Dubie in particular, we will therefore defend the acquis. When we know that a very large number of small businesses and farmers do not close their budget to a few cents of euros, it is very important. [[Laughs]] The congress of the elected representatives of the mountain, to which you are all invited, will take place in Saint-Jean-Pied-de-Port and Ispore, in the Basque Country, Thursday and Friday. Mr President, we would be very happy to see you because this year there are fewer ministers than usual; So you could very usefully replace them. But perhaps Mr Le Maire could also come – there are his habits and everyone knows and likes him there, even if, unlike other ministers, he does not aspire to become mayor of a large city on the Basque coast... [[Applause on the benches of the LR and LT groups]] In short, I've been listening from the beginning – I've been listening for months or even years – but the more we talk about reviving the company and creating new ones, and the more I see it shut down. I have heard the explanations of Mr Le Maire, always inspired, but it must be said that we are here. I maintain that, as young people say, there is a lack of "thumn" in the public space to revive artisans and small businesses.
ParlaMint-FR_2019-10-14-O1022.u350	Mr Jean-Louis Bricout has the floor.
ParlaMint-FR_2019-10-14-O1022.u351	Article 16 aims at phasing out the reduced internal consumption tax tariffs on energy products, the TICEP, on fuels used for the operation of engines and not for the propulsion of vehicles on roads, referred to as "fuels under conditions of use". With this deletion, you want "to release additional resources for the state budget while removing an environmentally non-virtuous tax expenditure." We do not fully share the slope you take to achieve your goals: you could have started more slowly and taken more time. In addition, we propose to increase the excess depreciation you introduce. Finally, you could have created a complementary financing mechanism for the bioethanol sector to support the ecological transition, increase the purchasing power of the French – the litre of the SP95 petrol, I would remind you, is at €0.69 – and create jobs in our campaigns. At a time when sugar prices are at the lowest and it is necessary to promote beet cultivation with molasses bioethanol, it would be good to encourage tax incentives for the use of this fuel.
ParlaMint-FR_2019-10-14-O1022.u352	Mr Jean-Paul Dufrègne has the floor.
ParlaMint-FR_2019-10-14-O1022.u353	The examination of Article 16 gives us the opportunity to review the modalities for the resumption of the carbon tax trajectory, to which we are invited by the Council of Compulsory Taxation and other institutions, associations and trade unions. The yellow vest movement highlighted the need to bring social and environmental measures together by building a socially fair ecological tax system and accompaniment to it. Accompaniment must be the key word: in terms of industrial policy, agricultural policy, transport policy and housing renewal policy, we will not succeed in the ecological transition without investing and accompanying the affected economic actors. This has a cost, and that is why we are constantly calling on you to loosen the stranglehold of budgetary orthodoxy, which is the main obstacle to the conduct of an ambitious policy. The work of the think tank Institut de l'économie pour le climat emphasises that France should invest 10 billion to 30 billion more each year than today if it wants to be in line with its climate commitments, and 55 billion to 80 billion if it wants to catch up with the delay since 2015. Environmental taxation, whatever it may be, will not be enough, especially since we must exercise some caution in this area. The abrupt abolition of the reduced tax rate on the use of non-road diesel, as provided for in the 2019 Finance Act, is replaced by a more gradual measure, which raises legitimate concerns among SMEs and EMTs in the sectors concerned, since the compensatory provisions are not sufficient. That is why we are proposing an amendment aimed at protecting TPEs and SMEs from the BTP pending a satisfactory solution, drawn up in the dialogue with those concerned – knowing that, for the moment, there is no cleaner solution.
ParlaMint-FR_2019-10-14-O1022.u354	Mrs Annie Genevard has the floor.
ParlaMint-FR_2019-10-14-O1022.u355	[[Applause on the benches of the LR and LT groups, on a few benches of the SOC group and among non-attached Members. – The rapporteur-general also applauds]] Before examining Article 16, I should like, after Jean Lassalle, to speak on behalf of the mountain territories, where the gradual abolition of the tariff for non-road diesel is a matter of great concern. In fact, mountain municipalities are subject to special charges linked to climatic conditions. Snow removal thus represents a considerable burden: in the commune of Morteau, populated by only 7,000 inhabitants – this is something already – of which I was the mayor for a few years, in winter, it is a charge of 5000 euros a day, or a very high amount. That is why everything that adds to this burden can only cause concern. In the ski resorts, there is also the question of grooming the slopes. Any increase in fuel has a very significant impact on these specific loads; Before we discuss the amendments that we will be defending, I wanted to stress this in the name of territorial fairness. As the President of the Republic seeks to promote the concept of territorial differentiation, we give you the opportunity, Minister, to implement it.
ParlaMint-FR_2019-10-14-O1022.u356	Absolutely!
ParlaMint-FR_2019-10-14-O1022.u357	Mr Charles de Courson has the floor.
ParlaMint-FR_2019-10-14-O1022.u358	In addressing article 16, I would like to point out that last year an article bearing the same issue went wrong for the Government, since it was rejected by Parliament, which considered the proposed measures too brutal. Minister, if this article is voted on, do you think this will lead to a reduction in emissions?
ParlaMint-FR_2019-10-14-O1022.u359	Yes!
ParlaMint-FR_2019-10-14-O1022.u360	For that is the question. Officials in the public works sector – the main one affected by this measure – told me that in case of higher tariffs, they would find it difficult to adapt their equipment to reduce their consumption. One of the colleagues mentioned the electric bulldozers in Switzerland, but the use of these machines – which, for the moment, we do not find in France – in isolated places is not obvious. The problem is therefore technological: if taxes are to be increased, it is the reaction of the economic actors that counts. I have always thought that it would be better to organise sectoral negotiations to determine how to create more efficient mechanisms to reduce greenhouse gas emissions. The second problem, Minister – we discussed it last year, and you then gave me an answer that I would call "approximative" – is the impact on multi-year contracts. Since these are protected by the Constitution in the name of property rights, how can we ensure that the application of article 16 on 1 January does not result in a loss of margins for companies that have signed such contracts?
ParlaMint-FR_2019-10-14-O1022.u361	I have before me a long and identical series of amendments. Mrs Valérie Bazin-Malgras has the floor in support of Amendment No 22.
