ParlaMint-FR_2019-10-28-O1044.u1	The next item is the debate on the second part of the finance bill for 2020 (No. 2272, 2301).
ParlaMint-FR_2019-10-28-O1044.u84	What is the Government's opinion?
ParlaMint-FR_2019-10-28-O1044.u85	Madam Member, I see your amendment as an additional way to appeal to the Government and to investigate the trial of Parcoursup and the student plan, but without making any argument. You accuse the Government of not having increased the number of seats: that's not true! We created 38,000 additional places, including 16,000 in 2019 alone. We also abolished the drawing of lots at the entrance to the university, created 3000 places in IUT, 6478 in STAPS, 4767 in law, 4422 in economics-management, 2385 in psychology and 2464 in PACES. These are concrete data! You also say that Parcoursup prevents the democratisation of access to higher education: this seems a little short to me. If only by considering Île-de-France as a single academy, we have given each Franciscan high school student the opportunity to ask for all the trainings he wishes in Paris, Versailles or Créteil. Here again, the results are concrete: the number of high school students in Créteil who had a proposal for training in a Parisian institution increased by 6.7%, and this figure rises to as much as 11% for high school students in Versailles; More Parisian high school students have also received training proposals in Créteil or Versailles.
ParlaMint-FR_2019-10-28-O1044.u86	Exactly!
ParlaMint-FR_2019-10-28-O1044.u87	[[Applause on the benches of the LaREM group]] In order to measure the concrete effects of the Pathup on access to higher education, it is very important to rely on the figures produced by the Information Systems and Statistical Studies Branch – SIES – which are available to everyone.
ParlaMint-FR_2019-10-28-O1044.u88	All right! Bravo!
ParlaMint-FR_2019-10-28-O1044.u89	Mrs Muriel Ressiguier has the floor.
ParlaMint-FR_2019-10-28-O1044.u90	On this subject, we have an ideological disagreement that we will not resolve today. For us, Parcoursup is obviously a form of selection.
ParlaMint-FR_2019-10-28-O1044.u91	No, not at all!
ParlaMint-FR_2019-10-28-O1044.u92	We saw it at the end of the first phase, in July: about 58,000 students were still waiting for a place – some abandoned, which explains why we did not find them again in the system. In addition, Parcoursup accentuates social determinism. However, it would certainly take several hours of debate to have a chance to agree on the subject!
ParlaMint-FR_2019-10-28-O1044.u93	We can't do it!
ParlaMint-FR_2019-10-28-O1044.u94	Mrs Cécile Rilhac has the floor.
ParlaMint-FR_2019-10-28-O1044.u95	Since we are talking about equal opportunities, here is a very concrete fact: in my home, in Val-d'Oise, there are many technological establishments. Two years ago, students in health and social science and technology – ST2S – had very little chance of accessing nursing studies. When Parcoursup was put in place, I received many teachers whose attitude was similar to yours: they were afraid that their students, because of a technological baccalaureate or a pro ST2S baccalaureate, would have even more difficulty accessing higher education. At the beginning of the year, I saw these same teachers: they said that the results were incredible, that the share of their students – especially girls leaving ST2S – admitted to nursing school had increased by 25%. [[Vif applause on the benches of the LaREM group]] This example therefore goes against your point: thanks to Parcoursup, which puts forward the results of pupils and treats different courses equally, students from vocational or technological fields have access to studies to which they could not claim before.
ParlaMint-FR_2019-10-28-O1044.u96	Excellent!
ParlaMint-FR_2019-10-28-O1044.u97	Mr Alain David has the floor to support Amendment No. 437.
ParlaMint-FR_2019-10-28-O1044.u98	It aims to propose the increase of credits for the most vulnerable French and foreign students, in order to reduce their enrolment fees to acceptable levels in the light of the Constitutional Council's decision of 11 October 2019 on free higher education.
ParlaMint-FR_2019-10-28-O1044.u99	What is the opinion of the committee?
ParlaMint-FR_2019-10-28-O1044.u100	Your amendment combines two things: firstly, it assumes that the increase in tuition fees for extra-Community foreign students is applied in all universities, and secondly, all the conclusions of the Constitutional Council's decision of 11 October last, which established the principle of free public higher education from our constitutional block, have already been drawn. For these two reasons, you feel that additional appropriations should be mobilised to finance the recurrent expenses of universities: this is not the case! Firstly, to date, only seven to ten universities have decided to apply the increase in tuition fees for non-Community students: these additional resources do not constitute long-term and general resources for the whole of public higher education, so there is nothing to compensate for. Secondly, in its decision, the Constitutional Council recalled that modest registration fees could be levied taking into account the financial capacity of students. It will therefore be up to the Council of State to give its opinion and to determine precisely the concept of a small amount, as well as the financial capacity to be taken into account. Secondly, your amendment aims to raise funds for the regional centres for academic and academic works, the CROUS, to finance grants to foreign students. Some EUR 10 million is already foreseen under the "Bienvenue en France" strategy to finance policies on reception, language preparation, follow-up of foreign students, both at undergraduate level and at master and doctoral levels. I therefore express an unfavorable opinion on this amendment.
ParlaMint-FR_2019-10-28-O1044.u101	What is the Government's opinion?
ParlaMint-FR_2019-10-28-O1044.u102	The Government is also opposed to this amendment. I would like to recall what has been said in this regard by the Constitutional Council, which was seized of a priority issue of constitutionality. It confirmed the conformity with the Constitution of the third paragraph of article 48 of Act No. 51-598 of 24 May 1951 on finance for the financial year 1951, which establishes the differentiation of the registration fees for non-Community students. In addition to the statement of conformity, it is now the responsibility of the Council of State, which is seized of the merits, to clarify the exact scope in the coming months. All universities may take into account the special circumstances of non-Community students and grant exemptions in the light of the individual circumstances of the students or the strategic orientations of the institution. The CROUS are already providing assistance to all extra-community students who need it. An amount of EUR 68.78 million is included in the draft finance law for 2020, under these specific aids which extra-Community students do not fail to appeal for if necessary. All students may, in fact, be entitled to this ad hoc assistance in order to respond to new situations. Finally, I would like to point out that there has been a threefold increase in scholarships awarded to non-community students because of the family situation of these students or the strategy of the institutions.
ParlaMint-FR_2019-10-28-O1044.u103	Several amendments relate to Bpifrance's appropriations. I propose that the authors present them successively before the commission and then the Government give their views on each of them. I call Mr Tolmont to support Amendment No. 395.
ParlaMint-FR_2019-10-28-O1044.u104	We propose to increase the appropriations allocated to Bpifrance by EUR 60 million. Bpifrance is responsible for supporting and advising small and medium-sized enterprises and medium-sized enterprises, SMEs and ITEs, in their technological and industrial innovation projects. However, since the beginning of the quinquennium, the Government has been reducing its appropriations: the allocation has increased from 160 million euros in 2017 to 140 million euros in 2018 and to 120 million euros in 2019. In total, the appropriations dedicated to Bpifrance have decreased by 60 million euros since 2017. In response to this decline, a report on aid for innovation, published in March 2018 by the General Inspectorate of Finance, recommended that the aid should remain at least EUR 140 million. How can support for innovation and technology transfer be seen as essential in preparing our economy for future challenges and in supporting businesses, as outlined in the annex to the report to the Finance Bill for 2020, without providing the agencies responsible for assisting these companies with the means to support them?
ParlaMint-FR_2019-10-28-O1044.u105	I call Mr Fabien Roussel to support Amendment No. 333.
ParlaMint-FR_2019-10-28-O1044.u106	Several amendments, both from the right and from the left, are actually aimed at defending the budget line for innovation support provided by Bpifrance. We have all seen that these loans have melted in recent years, while the funds provided by Bpifrance have a leverage effect on businesses: EUR 1.2 billion has been mobilised for SMEs in support of innovation through aid from Bpifrance, the regions and the European Union. As my colleague Sylvie Tolmont said, the appropriations for Program 192 have been declining for several years. The Communist Group's amendment tends to increase these appropriations by EUR 40 million and to give Bpifrance back resources to support innovation in all SMEs – not just in the beneficiaries of the IIF, the Innovation and Industry Fund – through direct financial support and advice.
ParlaMint-FR_2019-10-28-O1044.u107	Mr Julien Dive has the floor to support Amendment No. 89.
ParlaMint-FR_2019-10-28-O1044.u108	Minister, it is clear that this is a sensitive issue: Members of Parliament from all walks of life are mobilizing for the Bpifrance-led business innovation aid programme. To be precise, the amount of the dedicated fund has been divided by 2.5 since 2013, which shows a real erosion. All the amendments aim to raise the level of appropriations for this fund, the amount of which is set at EUR 100 million in this draft finance law for 2020. I'm taking an informed step. Before being a member of parliament, I was a project leader in the automotive industry in the Hauts-de-France region. I accompanied SMEs and TPEs in the development of their innovation projects. You cannot know the number of companies for which this aid was actually used as a lever for innovation. Our territories – whether in the city or in more rural areas – have a lot of small nuggets with real skills. The leader is multi-cassette, and sometimes himself a researcher. Thanks to this Bpifrance-led system, they can develop and enhance their skills, implement their projects, win markets, develop and create jobs. This dynamic is very positive. I think we could make an effort to support those of our companies, TPE and start-ups, which are really dynamic.
ParlaMint-FR_2019-10-28-O1044.u109	What is the committee's opinion on these amendments?
ParlaMint-FR_2019-10-28-O1044.u110	While this is a sensitive issue for all of the Assembly's benches, it is also a sensitive issue for the Special Rapporteur before you. I have also had the opportunity to hear from the person in charge of the programme who is of concern to you because of the evolution of this line of appropriations. It is true that it has been declining for several years. I will explain the reasons for this development. The first reason is the increase in the number of innovation support schemes. I am thinking in particular of the future investment programme, the IAP, as well as the Innovation and Industry Fund, which was created more recently and which provides an additional EUR 250 million each year. In this context, Bpifrance will receive an additional €70 million from next year under the so-called deep tech plan, designed to promote the emergence and development of companies investing in break-up technologies. These EUR 70 million cannot be frozen or redeployed as they are part of the financing of the IIF. Second reason: given the ceiling on the payment to social security organisations of the compensation of the scheme for innovative start-ups – JEI – we will be able to secure the appropriation line for innovation aid. In 2019, the level of implementation of these had been quite low, which is not normal: we had voted for EUR 100 million, but EUR 15 million had been raised as compensation for social security organisations. For 2020, the ceiling for this payment will ensure that payment appropriations will actually be EUR 100 million, without further redeployment. A total of EUR 85 million will therefore be made available: the additional EUR 70 million, to which must be added the EUR 15 million due to better implementation of the budget. Even though I share the concerns expressed on all the benches, I therefore propose that you withdraw these amendments. Otherwise, the committee's opinion would be unfavourable – but I imagine that the minister will give us her own insight.
ParlaMint-FR_2019-10-28-O1044.u111	What is the Government's opinion?
ParlaMint-FR_2019-10-28-O1044.u112	We believe it is important to allow Bpifrance to ensure a good level of investment for innovation. This is why EUR 100 million is included in the draft finance law for 2020, EUR 120 million per year will be allocated to it for three years from 2021 and EUR 70 million from the IIF will be entrusted to Bpifrance. On the basis of these financings, Bpifrance provides €1.4 billion in innovation aid, thus ensuring a remarkable leverage effect, which we will continue to support. Some EUR 170 million is available from this year, plus an additional EUR 20 million from 2021 under the three-year budget. Since the beginning of this discussion, several interventions have shown the importance of extrabudgetary funding. This is the sum of the budgetary and extrabudgetary appropriations that must be mobilised in a coordinated way to be effective. I call for the withdrawal of these amendments; Otherwise, the Government's opinion would be unfavourable.
ParlaMint-FR_2019-10-28-O1044.u113	Mr Julien Dive has the floor.
ParlaMint-FR_2019-10-28-O1044.u114	I will not withdraw the amendment. Mr Special Rapporteur, not all SMEs are eligible for the IAP, since there are floor thresholds that sometimes exceed the amount of the company's project. Bpifrance ensures a good network of the territory and its advisors are present as close as possible to SMEs, TPEs and start-ups that they can support in financing their projects. Hence the relevance of a device like this. I have the feeling that the state is gradually withdrawing from part of the support of companies in research and innovation, as shown by the decline in allocations to the competitiveness poles. The State discharges itself to the regions. We see the same approach with regard to Bpifrance. It is still unpleasant in relation to the small structures, which would deserve to be accompanied.
ParlaMint-FR_2019-10-28-O1044.u115	Of course!
ParlaMint-FR_2019-10-28-O1044.u116	Mr President, the Committee on Finance, the General Economy and Budgetary Control has the floor.
ParlaMint-FR_2019-10-28-O1044.u117	The subject deserves to be stopped. The Bpifrance system works because it is very close to the ground. The IAP systems are complex and have evolved since their inception. As for the fund that Bercy wants to create from sums raised from the "privatisation" of ADP and French gaming, it remains to be determined. A priori, this fund will target larger companies. The usefulness of these credits should therefore be reconsidered, as they allow for a rather fine irrigation of the fabric of SMEs.
ParlaMint-FR_2019-10-28-O1044.u118	Mrs Laure de La Raudière has the floor.
ParlaMint-FR_2019-10-28-O1044.u119	I support these amendments, which are in line with the one I will shortly be defending. The IAP and IIF do not fund at all the same type of activities as Program 192.
ParlaMint-FR_2019-10-28-O1044.u120	That's right!
ParlaMint-FR_2019-10-28-O1044.u121	The IAP co-finances with private actors the development of a company in the amount of several hundred thousand euros or several million euros. The same is true with the financing of break-up innovation: we will not finance break-up technologies with only 20,000 or 30,000 euros! With the 192 programme, it is a question of financing the start-up of a start-up or an innovation project within an SME. Therefore, as you have done, Madam Minister, we cannot add up the EUR 100 million allocated for Action 02 with the EUR 70 million to come. However, due to the contraction of funding for Program 192, the start-up pipeline will not be adequately fed. It is therefore a pity not to add EUR 20 million or EUR 40 million to the 192 programme. Secondly, Mr Special Rapporteur, I thought that, in considering the draft law on the financing of social security for 2020, the amendment providing for the ceiling on the payment to social security agencies of the compensation of the scheme in favour of the JEIs had not been adopted.
ParlaMint-FR_2019-10-28-O1044.u122	That's right!
ParlaMint-FR_2019-10-28-O1044.u123	[[Applause on the benches of the LR and MODEM groups, as well as on several benches of the LaREM group]] If it has not been adopted, you cannot say that this ceiling is foreseen! I would like you to clarify this, because if there is no ceiling, next year there will be a risk of 15 million to 20 million euros on the 192 programme again!
ParlaMint-FR_2019-10-28-O1044.u124	The minister has the floor.
ParlaMint-FR_2019-10-28-O1044.u125	I was not talking about the PIA, I was talking about the FII, MP.
ParlaMint-FR_2019-10-28-O1044.u126	It's the same!
ParlaMint-FR_2019-10-28-O1044.u127	No – I know it all the better as I co-chair the IIF with Bruno Le Maire. Of the €70 million planned for Bpifrance, €10 million will be spent on grants and start-ups under French Tech, €15 million on i-Lab – this is also the creation of start-ups – and $45 million on individual grants and support for SMEs and start-ups. This €70 million is therefore specifically allocated to support start-ups and SMEs, which has nothing to do with the purpose of the IAP – which, I repeat, I did not mention. This sum, within the framework of the IIF, is entrusted to Bpifrance for the missions that I have just recalled.
ParlaMint-FR_2019-10-28-O1044.u128	Mr Fabien Roussel has the floor.
ParlaMint-FR_2019-10-28-O1044.u129	Allow me to insist, Madam Minister. The 192 programme makes it possible to finance SMEs directly, upstream, which is not entirely the case with the IIF, and in particular with the deep tech plan – a new mission for Bpifrance, without new human resources – whose aim is, over the next four years, to double the number of companies supported. The deep tech fund works with research laboratories and universities; It will be the start-ups of deep technology that will be helped in this context, whereas only programme 192, I repeat, can at present directly assist SMEs in their financing project and in consulting on innovation.
ParlaMint-FR_2019-10-28-O1044.u130	Mrs Olivia Gregoire has the floor.
ParlaMint-FR_2019-10-28-O1044.u131	Forgive me for insisting too, Madam Minister – I am doing it as politely as our colleague Roussel – but the question is important. I will repeat what Laure de La Raudière said, because I too find it difficult to understand – believe that I am sorry. Unless I am mistaken, the ceiling on the payment to social security bodies of compensation under the scheme for innovative start-ups was rejected in the consideration of the draft law on the financing of social security for 2020. I would therefore like to see additional aid provided, Mr Special Rapporteur, but I do not see how this is possible – again, perhaps I have been misinformed and, if that were to be the case, I apologize for it. Secondly, I welcome the intervention of our colleague Roussel, who is used to supporting employees more than companies: it is indeed true that 42% of Bpifrance's aid is devoted to the TPE-SME of the territories – and it is a Member of Parliament from Paris who says so. Finally, I am Special Rapporteur for Program 134 and I have the honour to sit on the General Secretariat for Investment, the IPS – and I make it clear, Minister, that I am not confusing with the third part of the IAP. I am obliged, after President Woerth, to stress this French trait: we have something that works very well, which is called Bpifrance; in the territories, the companies understood how it worked; Laure de La Raudière stressed it, at the start, when the boxes have nothing, when the banker refuses his help, it is often Bpifrance who is there; In spite of this, aid is becoming increasingly dispersed. I do not understand, philosophically, if I may say, that we want to add to a device that has been almost identified and which has been operating for ten years, funds with the most varied acronyms, which, of course, are useful to us politically, but which, from a practical point of view, for entrepreneurs, are a maze, or even a hell. Why don't we try to rationalise these innovation aids rather than scatter them? [[Applause on the benches of MODEM, LR, UDI-Agir, FI, GDR and on several benches of the LaREM group]] I do not know if it is Mrs Vidal that we will then have the pleasure of seeing at the bench of the Government, but the discussion will continue on Bpifrance with programme 134. But when we add what is provided for in the 192 programme for Bpifrance to what is provided for in the 134 programme for the same Bpifrance, we are entitled to be concerned about the functioning of this organisation – and, as Special Rapporteur, I am concerned... On the one hand, in programme 192, I see only aid for innovation falling, and, on the other, in programme 134, I see that we want to abolish a budget line again this year. So what is the Government's will regarding Bpifrance?
ParlaMint-FR_2019-10-28-O1044.u132	All right!
ParlaMint-FR_2019-10-28-O1044.u133	The minister has the floor.
ParlaMint-FR_2019-10-28-O1044.u134	I can only repeat that an additional EUR 250 million per year will be devoted to support and innovation, of which EUR 70 million will be entrusted to Bpifrance to support the creation of start-ups, TPEs etc. on their start-up, when they leave university laboratories, but not only, because it is also a question of helping doctoral students who have signed industrial training agreements through research – CIFRE. So that the EUR 100 million of programme 192 allocated to Bpifrance will continue to feed all other tasks of the bank. It is therefore an additional €70 million from this year that will allow Bpifrance to raise €1.4 billion – this figure comes from the bank itself. In addition, from the three-year budget of 2021-2023, the budget line of programme 192 for Bpifrance will go up to EUR 120 million, plus the IIF's EUR 70 million.
ParlaMint-FR_2019-10-28-O1044.u135	The next speaker is Mr. Francis Chouat, Special Rapporteur.
ParlaMint-FR_2019-10-28-O1044.u136	I am not used to speaking after the minister, but I would like to see as little confusion as possible, dear colleague Gregoire. First of all, you blame us for undoing Bpifrance's end mesh with the regions and other actors. Not at all! It is absolutely not a question of harming Bpifrance's strike force. Secondly, to be as factual as possible, it seemed to me, to a greater extent, that article 17 of the draft law on the financing of social security for 2020 provided for the capping of compensation due by the State under the exemption in favour of JEIs. The question is therefore – and it is up to the minister to tell us – how to ensure that the EUR 100 million planned for Bpifrance in the draft finance law for 2020, and the EUR 120 million planned for 2021, do not experience the same unpleasant plank that brought this amount down to EUR 85 million in the context of the budget implementation for 2019. Finally, I can only abound in the direction of the minister: we are not in the process, dear Olivia Gregoire, of making financing more complex, we are trying to strengthen Bpifrance so that it is at the heart of a ramification strategy which, with the funding of the State, the IIF, the European Union – let us not forget – and the rise in power of the regions, which reinforces the territorial character of the scheme, will give a strike force of 1.5 billion euros for supporting innovation. One thing is to guarantee the amount of EUR 100 million, another is to portray this budget for 2020 as a step backwards from the efforts that the majority, the government and innovation actors are making towards innovation and business support.
ParlaMint-FR_2019-10-28-O1044.u137	I have before me three identical amendments, Nos 108, 207 and 471. I call Mr Eric Bothorel to support Amendment No. 108.
ParlaMint-FR_2019-10-28-O1044.u138	As Olivia Gregoire said, we hear a little tune of "Viva la start-up nation! on all benches – and this is rare enough to be underlined. This amendment is of the same nature as those previously advocated, but aims, as far as it is concerned, to increase the allocation for Action 02 of Programme 192 to EUR 120 million. I'm sorry to come back, but I understand that with the deep tech fund, it's more about semiconductors, quantum, artificial intelligence... It is therefore far from programme-type 192 programmes that tend to irrigate the territories. Olivia Gregoire recalled: 42% of Bpifrance's aid is devoted to companies outside the metropolis. I understand that you are announcing for 2021 the change in appropriations for individual aid for innovation to EUR 120 million; Well, I propose that you take this step now and thus avoid the wandering of the freezing – or the freezing – of credits, which would reduce their amount to a level far away from the one to which one can claim to feed a train of companies, which, perhaps tomorrow, will change scale and become ETIs, or even the twenty-five unicorns that the President of the Republic calls for his wishes for 2025. If we do not align the figures, we could recall the EUR 5 billion announced by the Head of State and consider that we no longer need the EUR 100 million we are talking about here...
ParlaMint-FR_2019-10-28-O1044.u139	I call Mr Lioger, draftsman of the opinion of the Committee on Economic Affairs, to support Amendment No. 207.
ParlaMint-FR_2019-10-28-O1044.u140	This amendment by the Committee on Economic Affairs was adopted against my opinion. It aims to increase the allocation of action 02 under programme 192 to EUR 120 million for the financing of technological and industrial innovation projects led by Bpifrance.
ParlaMint-FR_2019-10-28-O1044.u141	Mrs Laure de La Raudière has the floor to support Amendment No. 471.
ParlaMint-FR_2019-10-28-O1044.u142	I would like to point out, ladies and gentlemen, the specific nature of programme 192. No other program funds individual seeding aids. It is the 20,000 or 30,000 euros that allow an innovative company to be created in our territories. The deep tech fund is very different: the financing of innovation is in this case linked to laboratory techniques and technologies; we are far from the start-up or innovation project of an SME. I strongly urge that the additional €20 million be used to consolidate the 192 programme so that it continues to irrigate grants and repayable advances to SMEs and start-ups in all regions.
ParlaMint-FR_2019-10-28-O1044.u143	Mr Roussel, would you like to support Amendment No 496 so that the Special Rapporteur and the Minister can give an overall opinion on these amendments?
ParlaMint-FR_2019-10-28-O1044.u144	With pleasure, Madam President, since this amendment, which I tabled with my colleague Sébastien Jumel and the members of the Communist Group, is in line with the previous ones. This is a fallback amendment, which aims to transfer EUR 10 million to Action 02 of Programme 192. [[Marie-George Buffet and Sylvie Tolmont applaud]] It is wise that we should adopt Amendment No 207, since it was adopted by the Committee on Economic Affairs. In any case, that is what we call you to do. If it were adopted, we would obviously withdraw our amendment. [[Marie-George Buffet and Grégory Besson-Moreau applaud]] Madam Minister, you are telling us that this budget line is already sufficiently equipped. However, last year, the proportion of freezes was incredibly high, and it continues to grow for programme 192: the allocation actually allocated to Bpifrance, i.e. 85 million euros, was only 71% of that which had been voted. The budgetary freeze is a reality which strikes hard on the appropriations voted for Bpifrance.
ParlaMint-FR_2019-10-28-O1044.u145	What is the opinion of the committee?
ParlaMint-FR_2019-10-28-O1044.u146	Let me make two points. First of all, when I hear you, I feel that when the choice is made, for example by Bpifrance, to support particularly the so-called break-up innovation, any other innovation is abandoned. But in breaking innovation, there is initiation.
ParlaMint-FR_2019-10-28-O1044.u147	It's more for the research labs!
ParlaMint-FR_2019-10-28-O1044.u148	Dear colleague, here I have the documents on the link between Bpifrance's interventions in support of innovation: it is clear that breaking innovation is not only about companies that are already at the threshold of growth. Secondly, as Special Rapporteur on the research budget, I need a guarantee that this time there will be no EUR 15 million plank. The scheme had a single motivation, not to reduce intervention, but to meet the obligation to compensate for exemptions from social contributions. Article 17 of the draft law on the financing of social security does not provide for a cap on these exemptions, we must have the guarantee that the EUR 100 million of appropriations will be properly implemented and that there will be no freeze. However, ladies and gentlemen, on the one hand we do not have EUR 70 million for wealthy companies and, on the other hand, EUR several million less for poor companies. A total of €1.5 billion is mobilized for innovation through Bpifrance, and €70 million goes to the most innovative sector. The challenge is to guarantee EUR 100 million in 2020 and EUR 120 million in 2021 for other companies in the innovation sector. I therefore call for the amendments to be withdrawn. Otherwise, the opinion of the committee will be unfavourable.
ParlaMint-FR_2019-10-28-O1044.u149	What is the Government's opinion?
ParlaMint-FR_2019-10-28-O1044.u150	Same opinion.
ParlaMint-FR_2019-10-28-O1044.u151	Mr Grégory Besson-Moreau has the floor.
ParlaMint-FR_2019-10-28-O1044.u152	I fully agree with these amendments, particularly with Amendment No 207 of the Committee on Economic and Monetary Affairs. They all seem to me to be perfectly in line with the philosophy of the President of the Republic in this area. He absolutely wants to emerge from the French " unicorns" – but, before becoming a river, the Seine began a small stream. Perhaps my experience is interesting? I set up multiple companies, which had nothing to do with deep tech. Without Bpifrance's help, without the lovemoney she brings, I could never have done it, and I couldn't have created jobs. It is therefore essential to support young start-ups in all territories, so that they can grow, grow, create jobs and become unicorns. It is important that all start-ups have access to these financings; they should not be classified in categories, as we want to do by evoking deep tech or designating very specific products. I will vote in favour of the same amendments.
ParlaMint-FR_2019-10-28-O1044.u153	The minister has the floor.
ParlaMint-FR_2019-10-28-O1044.u154	Ladies and gentlemen, it is important to understand what the Government is doing, at the request of the President of the Republic.
ParlaMint-FR_2019-10-28-O1044.u155	[[Smile]] Ah! Call to order!
ParlaMint-FR_2019-10-28-O1044.u156	First, we need to create a link and a partnership between the academic world and the business world to support breaking innovation. We are no longer in a world in which incremental innovation will allow us to create twenty-five unicorns. We really need breaking innovation. As a result, Madame de La Raudière, it is true: the start-ups we support come from academic research laboratories. Why not? It's like this all over the world! On the other hand, we must be very clear, it is not a question of funding academic research. Since an additional €70 million is spent on deep technology, this is no longer the case for the €100 million programme, which can be entirely directed towards support for TPEs and SMEs outside the Deeptech sector. We have to look at the budget as a whole. On the one hand, there is EUR 100 million outside deeptech, and on the other hand, there is a further EUR 70 million under deeptech, of which EUR 45 million is earmarked for individual aid to enable all small companies to start up. You have to have this in mind. There is simply more money for Bpifrance to support innovation and business creation.
ParlaMint-FR_2019-10-28-O1044.u157	Mr Julien Dive has the floor.
ParlaMint-FR_2019-10-28-O1044.u158	The Republican Group will support these amendments, which are in line with those we have tabled. Madam Minister, I believe that members of the majority can very well understand on their own the will of the Government...
ParlaMint-FR_2019-10-28-O1044.u159	Thank you!
ParlaMint-FR_2019-10-28-O1044.u160	Several of them have defended these amendments with the same arguments as we have, and one of the amendments has been adopted by the Committee on Economic Affairs. It is clear that we touch on this at a sensitive point: the accompaniment in our territories. Half-worded, you accept these arguments, announcing that you will raise this direct aid to EUR 120 million in subsequent years. In other words, you agree with the amendments – which we could therefore adopt perfectly.
ParlaMint-FR_2019-10-28-O1044.u161	Absolutely!
ParlaMint-FR_2019-10-28-O1044.u162	[[Applause on the benches of the LR group]] The words will fly away, but the writings will remain. It would be better to include these EUR 120 million in the budget for 2020 now.
ParlaMint-FR_2019-10-28-O1044.u163	Mr Roussel, do you maintain your amendment?
ParlaMint-FR_2019-10-28-O1044.u164	I have the floor: I withdraw it since the identical amendments have been adopted.
ParlaMint-FR_2019-10-28-O1044.u165	I call Mrs Lemoine to support Amendment No. 473.
ParlaMint-FR_2019-10-28-O1044.u166	This is an appeal amendment which tends to underline the significant delay we have taken in the construction of housing for students. In 2018, the Government had announced the construction of 600,000 student housing units, but a recent article in Le Monde reported that only 30,000 housing units had been built by 2022, just half of what was planned. As we know, housing is the first item of expenditure for a student, with an average cost ranging from 430 euros to 872 euros per month – the highest rents being raised in Paris. It is therefore important to bridge the gap in housing construction. We have tabled this amendment in order to know the intentions of the Government in this regard.
ParlaMint-FR_2019-10-28-O1044.u167	What is the opinion of the committee?
ParlaMint-FR_2019-10-28-O1044.u168	I understand that this was an appeal amendment based on the fact that the 60000 student housing plan had fallen behind. Nevertheless, the trajectory is respected. The success of the plan requires social partners to regain visibility. It would seem, as we shall see in the review of housing credits, that the change in their economic model is becoming more and more integrated. In addition, there is a need for land opportunities, which are sometimes lacking, and for closer cooperation with universities. It is one more partner to include in the loop, and whose real estate skills are new and must rise in power. The creation of the mobility lease should, however, facilitate access to rental for students and trainees in need of short-term accommodation. The State guarantees itself to them by means of the Visale guarantee. In the first quarter of 2019 alone, more than 30300 Visale bonds were distributed to students. This is a very powerful mechanism in their favour. I therefore ask for the amendment to be withdrawn – but I believe that was your intention, Mrs Lemoine.
ParlaMint-FR_2019-10-28-O1044.u169	What is the Government's opinion?
ParlaMint-FR_2019-10-28-O1044.u170	Same opinion.
ParlaMint-FR_2019-10-28-O1044.u171	Mrs Patricia Lemoine has the floor.
ParlaMint-FR_2019-10-28-O1044.u172	The information that has just been given to us by the rapporteur is such as to reassure us, but we will remain very vigilant in the coming months with regard to the objective to be achieved. On this basis, I withdraw the amendment.
ParlaMint-FR_2019-10-28-O1044.u173	The following amendments, Nos 41, 404, 43, 405 and 493, all deal with a single theme: cancer. I propose that their authors present them successively before the Special Rapporteur and then the Minister give their opinion. Mrs Laurence Trastour-Isnart has the floor in support of Amendment No 41.
ParlaMint-FR_2019-10-28-O1044.u174	Every year in France, 500 children die of cancer, and more than 2500 new cases of paediatric cancer are diagnosed. Cancer is the leading cause of death by disease in children. However, research against child cancer is not funded to match the challenges. Specialists, practitioners, doctors are absolutely convinced that with higher financial resources, public research in this sector could achieve better results. In view of this, last year, during the examination of the 2019 finance law, our assembly made the choice of a joint action, beyond partisan differences. We asked for an additional EUR 18 million for research against child cancer. Finally, an additional EUR 5 million renewable over several years was made available unanimously for research on paediatric cancer. It was, and certainly remains, a concrete and salutary first step forward. There is also a need for greater transparency in the implementation of research against child cancer. We are convinced that we can do more and better. Funding is not up to the stakes: France has the human resources, thanks to its leading researchers, to make significant progress in this field. In the United States, since 2014, there has been a research program, Gabriella Miller Kids, created by a law that has introduced, in addition to existing resources, a fund dedicated to research on the fatal cancer of children, worth $126 million over ten years. This law, Gabriella Miller Kids First ResearchAct, has largely proved its worth. We too can become a leading country in paediatric oncology research; We too can find powerful solutions to improve the living conditions and treatment of children with cancer. That is why, in the continuity of what we did last year, we propose to increase the appropriations for research in paediatric oncology by EUR 13 million per year.
ParlaMint-FR_2019-10-28-O1044.u175	Mr Eric Diard has the floor to support Amendment No. 404.
ParlaMint-FR_2019-10-28-O1044.u176	I recalled earlier, Madam Minister, how pleased we were last year, on all benches, to have obtained, at a very early hour, an additional EUR 5 million for paediatric cancers. We were proud to have obtained this dart against the government's – I insist on this point – opinion! We started by proposing an amount of EUR 18 million, but we were told that it was not possible: research could not receive too much money in the same year, it was said. I have reviewed the Government's explanations and that is what has been said! I believe, for my part, that we must continue to increase the funds allocated to paediatric cancers: firstly, because the researchers rightly complain about the lack of financial resources; Secondly, because associations are the first funders of paediatric cancer research. [[Applause on the benches of the LR group]] I therefore propose to redirect an additional €7 million from space research, already heavily funded by Europe, to research on paediatric cancers.
ParlaMint-FR_2019-10-28-O1044.u177	Mrs Laurence Trastour-Isnart has the floor in support of Amendment No 43.
