ParlaMint-FR_2019-02-15-O1153.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-15-O1153.u233	I thank you very much for your explanations, Minister, because I think it was late hours that made me confuse educational advice with the standing committee. Your explanations are very clear and have confirmed that this is the bond of trust that institutions need. I experienced this reality when I was working in a college in Seine-Saint-Denis: the delegation to the Standing Committee of the points you mentioned allows the board of directors to have much more serene deliberations then. I have no further doubts about this amendment.
ParlaMint-FR_2019-02-15-O1153.u234	Wonderful! Great!
ParlaMint-FR_2019-02-15-O1153.u235	Yes!
ParlaMint-FR_2019-02-15-O1153.u236	[[Smile]] This is the Presidency!
ParlaMint-FR_2019-02-15-O1153.u237	Mrs Michèle Victory has the floor to support Amendment No. 740.
ParlaMint-FR_2019-02-15-O1153.u238	He's forbidden.
ParlaMint-FR_2019-02-15-O1153.u239	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-15-O1153.u240	I had tabled an amendment to correct an oversight of the law of 5 September 2018 for the freedom to choose one's professional future. Like EPLE, a number of private institutions associated with the State by contract can provide apprenticeship training. This possibility must be specified in the law, as is the case for EPLE in the public sector, in order to promote the mix of the public that everyone agrees is beneficial for pupils and apprentices. As chair of the study group on private education, I have frequently met with officials from these institutions who have told me about this problem. I had therefore tabled an amendment to that effect which was deemed inadmissible. Inadmissibility is one thing, but I would like to point out to the Minister that there is a real problem on this point that has clearly escaped the sagacity of the Government.
ParlaMint-FR_2019-02-15-O1153.u241	I have before me two identical amendments, Nos 53 and 619. I call Mr Patrick Hetzel to support Amendment No. 53.
ParlaMint-FR_2019-02-15-O1153.u242	Paragraph 3 of section 23 removes a reference to a paragraph that will be deleted by this bill. However, the reference to this paragraph in article L. 442-20 is not unnecessary, to the extent that it provided an equivalent possibility for the reception of children under the age of 3 in private schools associated with the State by contract. In order not to make such acceptance impossible, it is appropriate, by parallelism of forms, not to delete any reference to Article L. 113-1 but to quote the correct paragraph, in this case the second paragraph, in Article L. 442-20. This is the subject of this amendment.
ParlaMint-FR_2019-02-15-O1153.u243	I call Mr Reiss to support Amendment No. 619.
ParlaMint-FR_2019-02-15-O1153.u244	He's forbidden.
ParlaMint-FR_2019-02-15-O1153.u245	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1153.u246	Unfavorable.
ParlaMint-FR_2019-02-15-O1153.u247	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1153.u248	Same opinion.
ParlaMint-FR_2019-02-15-O1153.u249	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-15-O1153.u250	We would like to know why these negative views were given.
ParlaMint-FR_2019-02-15-O1153.u251	The rapporteur has the floor.
ParlaMint-FR_2019-02-15-O1153.u252	My opinion is unfavourable for the same reasons as those given in committee. These amendments have a drafting problem. Article 3 deletes the first two paragraphs of Article L. 113.1. Reference should therefore be made to the first subparagraph, since the third had become the first.
ParlaMint-FR_2019-02-15-O1153.u253	We come to the amendments on the additional article after Article 24. I call Mrs Cécile Rilhac to support Amendment No. 1024.
ParlaMint-FR_2019-02-15-O1153.u254	He's forbidden.
ParlaMint-FR_2019-02-15-O1153.u255	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1153.u256	Unfavorable.
ParlaMint-FR_2019-02-15-O1153.u257	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1153.u258	Same opinion.
ParlaMint-FR_2019-02-15-O1153.u259	Withdrawn!
ParlaMint-FR_2019-02-15-O1153.u260	I call Mr Maxime Minot to support Amendment No. 197.
ParlaMint-FR_2019-02-15-O1153.u261	As you know, blood donation is very inadequate in France. In order to reinforce the French model, it seems necessary to develop this practice. The amendment is therefore intended to make students aware of this cause, particularly during their schooling, in order to retain them when they are of age to give their blood. Particular attention should therefore be paid to high school students who, if the bill to consolidate the French model of blood donation is adopted by the Senate, will be able to give their blood from the age of 17.
ParlaMint-FR_2019-02-15-O1153.u262	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1153.u263	The amendment is satisfied. I ask you to withdraw your amendment; Otherwise, I'd send an unfavorable opinion.
ParlaMint-FR_2019-02-15-O1153.u264	He's not removed.
ParlaMint-FR_2019-02-15-O1153.u265	I call Mr Maxime Minot to support Amendment No. 659.
ParlaMint-FR_2019-02-15-O1153.u266	He's forbidden.
ParlaMint-FR_2019-02-15-O1153.u267	I have before me three amendments, Nos 571, 836 and 837, which can be discussed jointly. I call Mr Bastien Lachaud to support Amendment No. 571.
ParlaMint-FR_2019-02-15-O1153.u268	Digital tools play an increasingly important role in everyday life, as in the professional life or administrative relations of French and French people. Their mastery has become indispensable; more and more services require the possession of an email address. In addition, national education, in technology courses or through materials made available to students in schools, whether in classrooms or in documentation and information centres, contributes to this digital learning. However, this is often done on hardware with private software. The important contract between national education and Microsoft bears witness to this. But such a takeover by private companies, including GAFAMs – Google, Apple, Facebook, Amazon and Microsoft – is dangerous for France's independence and sovereignty. Indeed, children learn very young to use these software and only those. As a result, in their adult lives, they tend to buy hardware with the software they already know and know how to use. Private companies thus ensure an almost captive customer base. It is important that national education does not promote one business rather than another, thus fulfilling its functions as a public service and as a neutral education without any publicity. This is why the amendment seeks to clarify that school education is based on open source software, whether it is operating systems, search engines or word and data processing software. This software, which can also be free of charge, would make it possible to save money for national education and to raise funds for other projects.
ParlaMint-FR_2019-02-15-O1153.u269	Mrs Elsa Faucillon has the floor to support Amendment No. 836.
ParlaMint-FR_2019-02-15-O1153.u270	There seems to be a consensus on the use of free software in administration or education, but it is too little translated into ambitious actions and deployment plans. I would add to Mr Lachaud's arguments that the use of free software and open formats has important advantages that private software execution does not have, such as the fact that such software can be adapted and enriched. With this amendment, we propose to move from a culture of the possibility of using free software to a culture of the priority given to free software. Madam rapporteur, you told my colleague Stéphane Peu that the committee could be open to amendments on this subject: here is one.
ParlaMint-FR_2019-02-15-O1153.u271	Madam Member, can we take the view that Amendment No 837 has been supported?
ParlaMint-FR_2019-02-15-O1153.u272	Yes. It is an amendment of withdrawal.
ParlaMint-FR_2019-02-15-O1153.u273	Amendment No 837 is the subject of a sub-amendment No 1174. The rapporteur, Mrs Fannette Charvier, has the floor to support him and give the committee's opinion on the amendments under discussion.
ParlaMint-FR_2019-02-15-O1153.u274	There are already provisions in the Education Code that encourage the use of free software in public education. In the public service of educational education and digital education, article L. 131-2 already provides that the choice of resources used takes into account the offer of free software and documents in open formats, if it exists – it is the result of the 2013 School Refoundation Act. The Digital Republic Act 2016 also introduced provisions that encourage the use of open source software and open formats in administrations. By imposing a systematic use of free software, the provision proposed in Amendment No 571 is too general to be applicable and will pose difficulties depending on the available offer. On the other hand, in higher education, article L. 123-4-1 provides that, in the public service of higher education, free software is used as a priority. Again, this is a provision resulting from the 2013 School Refoundation Act. Therefore, I will issue an unfavorable opinion on Amendments Nos 571 and 836 and a favourable opinion on Amendment No 837 subject to the adoption of my sub-amendment to clarify that the priority for free software is equivalent. Of course, if free software does not offer the same services as its equivalent and these are necessary for teaching, it will not have to be chosen.
ParlaMint-FR_2019-02-15-O1153.u275	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1153.u276	The subject of free software is very interesting and I say here publicly that we must encourage them. That is what we are already doing. However, the legal requirement to use free software is quite different and may prove to be quite counterproductive. I will not repeat the arguments of the rapporteur, who, on the amendments which have received an unfavourable opinion from her, are very correct. For my part, I am also against the last amendment. I am sorry, Madam rapporteur, that the sub-amendment aggravates it, because introducing provisions in the education code that might be contrary to the public procurement code would put us at legal risk. This writing has something adventurous. Without disagreeing with the spirit of this proposal, I therefore find it inoperative. That is why I express an unfavorable opinion on these amendments.
ParlaMint-FR_2019-02-15-O1153.u277	Mrs Elsa Faucillon has the floor.
ParlaMint-FR_2019-02-15-O1153.u278	Although I very much want my amendment to be adopted, I confirm that the sub-amendment is a problem. To participate in bidding commissions, I can assure you that what you are proposing is impossible, at least in the context of contracts. Indeed, you speak of priority and equivalent offer, without defining what this is. We must first set ourselves an objective. You have also indicated that what our amendment proposes is already in the higher education and research section of the Code. Therefore, why not include it, in an identical form, in the general principles of the Education Code? It could also create a standard within the framework of public procurement – I admit that I do not know if such a standard exists – which, in the same spirit as environmental and CSR clauses, would be part of a free software clause. There is consensus and will. Now, there is a need to accelerate the movement towards free software, especially in the educational field, where they offer students and teachers much more rewarding opportunities than private software.
ParlaMint-FR_2019-02-15-O1153.u279	Madam rapporteur, is the sub-amendment retained?
ParlaMint-FR_2019-02-15-O1153.u280	I withdraw it, but in this case I will give an unfavorable opinion on the whole.
ParlaMint-FR_2019-02-15-O1153.u281	Mrs Danièle Obono has the floor to support Amendment No. 372.
ParlaMint-FR_2019-02-15-O1153.u282	Through this amendment, we call for the police to be prevented from entering the premises of a school unless there is a need for an investigation or for a serious and immediate situation which endangers students and staff and requires intervention. Schools are places of education where rules of procedure and disciplinary procedures apply in cases of non-compliance. Students are placed under the responsibility of the head of the school and the educational community. In a school of trust, when disciplinary problems arise, it is therefore up to the educational community to put in place the necessary sanction and mediation procedures. From our point of view, the law enforcement agencies are not intended to intervene on a recurring basis. Their intervention must be limited to very exceptional cases, for if some or some students have committed acts that might justify it, it must only be done upon leaving the school. If we are to promote a school of trust, it seems to us that the school must be preserved from a police presence as well as from any security intervention, except in cases of extreme urgency and under very clearly circumscribed conditions.
ParlaMint-FR_2019-02-15-O1153.u283	I have before me two amendments, Nos 1088 and 1089, which can be presented together. Mrs Josette Manin has the floor to support them.
ParlaMint-FR_2019-02-15-O1153.u284	Amendment No 1088 aims to encourage exchanges and school projects in the Caribbean basin, by providing for the signing, under the aegis of the Rectorate, of framework agreements between ultramarine schools and schools in their regional environment. I would point out that cooperation agreements already exist between the territories concerned. Amendment No 1089, quite different, is a call to remedy the deficiencies in the artistic and cultural education of ultramarine students. There are very few scheduled classrooms in both elementary and ultramarine schools. In addition, Martinique, Guadeloupe and Mayotte are the only departments and regions in France that do not have a conservatory with regional or departmental reach, so that neither music nor dance nor the dramatic arts are taught at an academic level. However, it is important to ensure a stronger and more ambitious artistic and cultural education for our children.
ParlaMint-FR_2019-02-15-O1153.u285	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1153.u286	He's unfavorable.
ParlaMint-FR_2019-02-15-O1153.u287	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1153.u288	Your proposal, without a doubt, is really interesting in substance, Madam Member. It also relies on existing arrangements, since overseas rectorates are already parties to international agreements with their immediate environment. This is obviously to be encouraged without it being necessary to include it in the law – this is our analysis. We will, of course, continue to encourage such agreements, because we must go in that direction. The Government's opinion was unfavourable on both amendments.
ParlaMint-FR_2019-02-15-O1153.u289	I call Mr Bastien Lachaud to support Amendment No. 564.
ParlaMint-FR_2019-02-15-O1153.u290	By this amendment, we intend to ensure that general quality education is provided to students in vocational and technological fields. We are alerting the Government to the trajectory of these training courses, which seem to be increasingly intended to provide a base of technical knowledge, to the detriment of intellectual learning. Such a development runs counter to the upgrading of the occupational sectors, which successive governments have been struggling to implement for the last fifteen years. It also reflects the contempt of experts for these young people. We believe that it is the duty of the school, not only to train future professionals, but also to teach them the essential knowledge that enables them to become citizens in their own right.
ParlaMint-FR_2019-02-15-O1153.u291	I call Mr Yannick Favennec Becot to support Amendment No. 846.
ParlaMint-FR_2019-02-15-O1153.u292	Through this amendment, our colleague M'jid El Guerrab would like detailed information on the beneficiaries of the scholarships provided by the Agency for French Education Abroad, AEFE, to be made available. The aim is also to put in perspective the costs of enrollment in the French schools of the AEFE network with the purchasing power of the families. In the context of the great national debate, our colleague has regularly been questioned, in the ninth constituency of the French abroad he represents, about the difficulties of families in facing the costs involved in registering their children in our schools. There is an urgent need to address these perfectly legitimate concerns.
ParlaMint-FR_2019-02-15-O1153.u293	I call Mrs Sabine Rubin to support Amendment No. 541.
ParlaMint-FR_2019-02-15-O1153.u294	Let me dwell on a subject that I would like to take the time to talk about: high school democracy. I am going to do so by supporting the eight amendments that relate to them at once, simply pointing out that they are defended when they are called on. So far, speaking of the school of trust, we have mostly talked about the trust that must be made of you, Minister – and even in the management of schools, since you are now also registrating the boards of directors and standing committees. In my view, trust must also be the one that is given to students. We must not only trust them blindly, but also teach them democracy, which has great virtues. High school must be the place to learn about tomorrow's democracy. Democracy, we must not get rid of it with consultation – we know what consultations are. It must be practiced through genuine dialogue, because democracy is truly, and above all, dialogue. Dialogue has this virtuous that it teaches young people to argue and justify, that is to say, to integrate everything we try to do here. You see that learning it in high school would have many virtues. I would like to have your opinion on this subject, but not just a consideration of its connection to the regulatory field – the mobile phone was of a regulatory nature and it passed into the law! It seems to me that, in some of its aspects, this topic could just as well go into the law. These aspects, I'll give them to you in a row. I had already mentioned the possibility of setting up co-chairs: at the level of the council of high school life – CVL –, co-chairing between an elected high school student and the principal; at the academic level, co-presidency between an elected high school student and the rector to deal with other matters, including pre-examination of bills or reforms that the Government would consider implementing – which would require the elected student to carry out all investigative work with all his or her elected colleagues; at the national level, co-chair of the National Council of High School Life between an elected high school student and the minister – in this case, you, Minister.
ParlaMint-FR_2019-02-15-O1153.u295	The high school elected are trade unionists!
ParlaMint-FR_2019-02-15-O1153.u296	No, high school officials are not unionized – not necessarily. Finally, they probably are, but there are other ways to organize themselves to find elected officials. Another tool of high school democracy, less known: the houses of high school students, which are associative spaces in which young people can engage on subjects of society, such as ecology or discrimination, and organize operations and actions themselves. As a first step, we propose to give legal existence to these associations in the Education Code, in order to ensure their sustainability, promotion and development, which is still insufficient. I am not saying that we must force them to be developed, since these are initiatives taken by young people, but perhaps that incorporating them into the law, giving them a legal existence, would encourage their development. The possibility of holding a meeting is another aspect of high school democracy. You know it's the principal who authorizes these famous meetings. Besides, lately, he doesn't always allow them. The idea would be that the famous standing committee could go back to a refusal by the principal in this matter.
ParlaMint-FR_2019-02-15-O1153.u297	Thank you, dear colleague.
ParlaMint-FR_2019-02-15-O1153.u298	I have decided to defend eight amendments, Mr President.
ParlaMint-FR_2019-02-15-O1153.u299	[[Exclaims on FI banks]] That is why I have given you twice the time to speak, but I cannot go up to sixteen minutes; We would have to change the rules for that.
ParlaMint-FR_2019-02-15-O1153.u300	We can also present them one by one!
ParlaMint-FR_2019-02-15-O1153.u301	You may be able to propose such a development, but this is not provided for in our Rules of Procedure.
ParlaMint-FR_2019-02-15-O1153.u302	Bravo! Thank you! All right!
ParlaMint-FR_2019-02-15-O1153.u303	I'm asking you to close.
ParlaMint-FR_2019-02-15-O1153.u304	The Standing Committee, therefore, could issue an opinion on the decision of the principal who, in any event, will, for reasons of responsibility, have the last word. However, the principal would be encouraged to argue a possible refusal rather than to oppose it arbitrarily.
ParlaMint-FR_2019-02-15-O1153.u305	Goodbye!
ParlaMint-FR_2019-02-15-O1153.u306	I would also like to address the funding of high school unions, which fluctuates according to the host of the ministry. A report on this subject would seem to us to be very interesting. [[Movements of impatience on several benches of the groups LaREM, MODEM, UDI-Agir and LR]] Last point: the right to display. The principal must often give his or her opinion a priori. I am talking about democracy and the learning of democracy: it starts badly!
ParlaMint-FR_2019-02-15-O1153.u307	If our colleague defends his amendments one by one, it will take even longer.
ParlaMint-FR_2019-02-15-O1153.u308	If we do not already respect the word or the speaking time here, how can we teach it to the younger ones?
ParlaMint-FR_2019-02-15-O1153.u309	As far as speaking time is concerned, you are breaking records, Mrs Rubin.
ParlaMint-FR_2019-02-15-O1153.u310	We ask that the principal's monitoring of the display be carried out a posteriori rather than a priori.
ParlaMint-FR_2019-02-15-O1153.u311	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1153.u312	Dear colleague, you are absolutely right, high school is indeed a privileged place for learning democracy. There are a number of instances and organs, and you've swept them all away. My opinion on your amendments will be unfavorable: I do not think it appropriate to go further in this regard. With regard to the confidence shown to high school students, we have adopted an amendment that allows the CVL to be involved in the self-assessment of schools.
ParlaMint-FR_2019-02-15-O1153.u313	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1153.u314	Madam Member, thank you for your intervention. This is obviously a very interesting subject, and we agree on the main principles that you have mentioned. Your comments are also consistent with what has been said here on several occasions during our debates, particularly when we have talked about the school of the basement. In particular, we agreed that we had to reason in the idea of a first part of life, which takes place at primary school and then at secondary school, and a second part which starts with high school and continues beyond the middle. This second stage corresponds, in a way, to the life of a pre-adult, that of a citizen in training, even though primary school and college also provide elements of training in the exercise of citizenship. High school is the place where, among other learnings, participation and commitment in democratic debate develop. This will be done in a way that is all the more successful as the basic knowledge will have been acquired at school and college. Hence, for example, the challenge of the oral examination at the baccalaureate and all that we will put in place to develop the ability to argue, listen to others, and simply to develop reasoning. That's why I use the terms "logical" and "culture" a lot when I talk about the school of the basement. As far as the rights of high school students are concerned, what is very important – and this is reflected in a certain way in your speech – is to make live the existing rights, which correspond to what you ask: the right of participation, the right of display, the right of expression are enshrined in the code of education. I consulted him while listening to you: many of the things you call your vows are included. Without reading it in order not to take too much time, I refer you to articles 511-6 et seq. as well as to certain other previous articles. My main approach is to ensure that these existing rights are lived. This is what we are doing now: when there were discussions at the end of the year about the issues of the bachelor's degree, I have, as you know, brought together the CNVL. I also advertised the latter in the public debate, because some seemed to have forgotten its existence. We must rejoice to have, in France today, high school delegates in each high school, who themselves elect delegates at the academic level, themselves electing delegates at the national level: it is a process of great vitality. These delegates are always extremely serious, constructive, committed, in a wide variety of approaches. We have to say hello to him. As a minister, I am working to make this process work. For example, I speak with these delegates by videoconference at least once a month to discuss the issues involved in implementing the B.A. reform. It is extremely useful to have these returns. To the extent that they also discuss with their high school comrades, it is a real network of the high school commitment that we have today. I therefore believe that the key issue will be the implementation of the existing one, which corresponds to three quarters of what you have mentioned. We may have differences between you and me about the remaining quarter. I don't think we should put a high school student next to every decision maker. It seemed to me that you were going – but perhaps I was wrong about this – until I imagined putting one next to the Rector. Anyway, I'm not sure it's the right approach. I believe that the learning of decision-making takes place gradually and that the principal should be given the opportunity to make decisions for the institution. Nevertheless, I thank you for raising this issue, which is extremely important. I think you can look at things with a certain optimism: the framework exists, and the high school students have already shown us that they knew how to make it live – I could also have mentioned the houses of the high school students, but I can't talk about everything. It is this vitality, including in the field of associations, that we are encouraging.
ParlaMint-FR_2019-02-15-O1153.u315	Amendment No 543 has already been defended by Mrs Sabine Rubin.
ParlaMint-FR_2019-02-15-O1153.u316	Mrs Cathy Racon-Bouzon has the floor to support Amendment No. 291.
ParlaMint-FR_2019-02-15-O1153.u317	An agent for thirty children in kindergarten, sixty in elementary: this is the average supervision rate in schools in Marseilles, at the meridian break, when everything goes well. This is twice as much as recommended by AFNOR standards, the Association française de normalisation, which, unfortunately, is not respected by several cities in France. In order to ensure the safety of children and to provide acceptable working conditions for staff, I ask, through this amendment, that the Council of State fix by decree a minimum rate of supervision.
ParlaMint-FR_2019-02-15-O1153.u318	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1153.u319	This amendment refers to a decree in the Conseil d'État which refers to the minimum number of personnel supervising and facilitating extra-curricular activities, in particular in order to ensure the proper functioning of the school catering service. Regulations already provide for a minimum level of supervision for the care of children, which is a function of the age of the children and the type of care. The amendment is therefore satisfied. Request for withdrawal; Failing that, adverse notice.
ParlaMint-FR_2019-02-15-O1153.u320	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1153.u321	I would like to speak on this important subject. I have already had the opportunity to do so once, when it comes to Marseilles. My opinion on the amendment will be unfavourable, in particular because I do not want specific rules to be laid down for part of the national territory. However, I can see what you are focusing on, Madam Member; In fact, we shall be discussing it again on the occasion of amendments which will be discussed at a later stage. The state is not disinterested in the difficulties that Marseilles is currently experiencing. We will do so while respecting the skills of the communities and in a spirit of cooperation with them, but it is clear that we will support the indispensable progress that we are all aware that Marseille needs.
ParlaMint-FR_2019-02-15-O1153.u322	Mr Alain Ramadier has the floor to support Amendment No. 125.
ParlaMint-FR_2019-02-15-O1153.u323	This amendment incorporates a proposal by the students of the CM2 elementary school La Pinède de Cagnes-sur-mer. These young people want school menus to have the full name of each proposed food, not its only generic name, as is often the case today. School catering must be exemplary, because it is intended to train the eating habits of young people. But reading the menu is one of their daily activities. Therefore, it is proposed that the school menus specify the geographic origin and full name of each food.
ParlaMint-FR_2019-02-15-O1153.u324	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1153.u325	Unfavorable.
ParlaMint-FR_2019-02-15-O1153.u326	Why?
ParlaMint-FR_2019-02-15-O1153.u327	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1153.u328	Unfavorable.
ParlaMint-FR_2019-02-15-O1153.u329	Too bad for these young people!
ParlaMint-FR_2019-02-15-O1153.u330	Mr Bastien Lachaud has the floor.
ParlaMint-FR_2019-02-15-O1153.u331	I do not understand the unfavorable opinion of both the reporter and the minister.
ParlaMint-FR_2019-02-15-O1153.u332	The reporter?
ParlaMint-FR_2019-02-15-O1153.u333	This is an amendment of common sense. Students must be able to know where the food they eat comes from in the canteen,...
ParlaMint-FR_2019-02-15-O1153.u334	It is not yet certain that they know what a Burgundian beef is.
ParlaMint-FR_2019-02-15-O1153.u335	... and their parents themselves must be informed. Such transparency would be able to establish a relationship of trust between students, parents and the canteen.
ParlaMint-FR_2019-02-15-O1153.u336	Make a move, Minister!
ParlaMint-FR_2019-02-15-O1153.u337	The Minister has the floor.
ParlaMint-FR_2019-02-15-O1153.u338	Mr Ramadier, I would dream of doing this, especially since we can only consider with sympathy a proposal from a class, but you would have reason to complain if we accepted such an amendment. First, we would impinge on the skills of local communities without having consulted them before. Secondly, this would be unfeasible, because not all manufacturers today have to indicate the origin of the food. In addition, as part of the enforcement of the law for the balance of trade relations in the agricultural sector and a healthy and sustainable diet – EGALIM – an experiment is under way to make mandatory the display of the origin of the food in the places concerned. So you can tell the students of Cagnes-sur-mer, that I salute – this is for the coup a democratic experience well before high school, and that is a very good thing! – first, that the National Assembly has discussed their proposal, second, that they are avant-garde, i.e. that they propose something that, no doubt, is feasible in the medium term, but that is not possible immediately. However, the idea should be retained and included in the follow-up to the EQUALIM Act.
ParlaMint-FR_2019-02-15-O1153.u339	I call Mr Bastien Lachaud to support Amendment No. 669.
ParlaMint-FR_2019-02-15-O1153.u340	We remain in the field of agriculture. With this amendment, we want to ensure that the head or head of the agricultural vocational education institution is appointed to the chair of the board of directors of the institution. Many abuses have been noted by trade unions, which have already seen chambers of agriculture chairing such establishments. This poses problems of lobbying, while the head of the institution is fully able to chair his board of directors. It would be legitimate for him to do so, rather than an outside body for national education.
ParlaMint-FR_2019-02-15-O1153.u341	Amendment No 544 has already been defended by Mrs Sabine Rubin.
ParlaMint-FR_2019-02-15-O1153.u342	I call Mr Patrick Hetzel to support Amendment No. 32.
ParlaMint-FR_2019-02-15-O1153.u343	He's forbidden.
ParlaMint-FR_2019-02-15-O1153.u344	Amendments Nos 546, 547, 548, 552, 553 and 554 have already been defended by Mrs Sabine Rubin.
ParlaMint-FR_2019-02-15-O1153.u345	Mrs Danièle Obono has the floor to support Amendment No. 607.
ParlaMint-FR_2019-02-15-O1153.u346	It's about school doctors. It seems to us that this is an important issue, and we believe that the Government needs to address it. In her 2017 report, the Ombudsman for National Education and Higher Education drew the alarm, pointing out that "A good reception of pupils requires a sufficient number of doctors of national education". In particular, it recommended strengthening the attractiveness of the duties of a school doctor, for example by allowing them to intervene with medical students to present their profession and inspire vocations. Currently, the number of school doctors is 1,000 per 12,000 students, which is largely insufficient. In addition, the mediator recommended that the map of local units for school inclusion – ULIS – be updated and allow for reflection on territorial disparities between departments. In 2018, the mediator asked the Directorate-General for School Education to refine her diagnosis and to engage in "a proactive policy within the framework of the management dialogue with the academies to ensure a balanced distribution of resources". That is why we believe that the Government should submit a report on this matter to Parliament. The issue of school medicine and health is fundamental, both for the health and well-being of students and for them to develop hygiene habits. In view of all that is lacking, we believe that specific work on this subject would fill the gaps and, above all, adapt the current policy to meet these basic needs.
ParlaMint-FR_2019-02-15-O1153.u347	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1153.u348	You are absolutely right, Mrs Obono, the subject is of importance and the situation of school medicine is worrying – no one can deny it. However, this topic has already given rise to many reports: the Economic, Social and Environmental Council published one in March 2018 on school health, and the National Academy of Medicine another on school medicine in September 2017. The Court of Auditors has also worked on the subject, as has the National Assembly and the Senate. I do not think that an additional report would bring anything new. I am therefore against this amendment.
ParlaMint-FR_2019-02-15-O1153.u349	I call Mr Patrick Hetzel to support Amendment No. 61.
ParlaMint-FR_2019-02-15-O1153.u350	He's forbidden.
ParlaMint-FR_2019-02-15-O1153.u351	Mr Xavier Breton has the floor to support Amendment No. 165.
ParlaMint-FR_2019-02-15-O1153.u352	Defendant!
ParlaMint-FR_2019-02-15-O1153.u353	I call Mr Bastien Lachaud to support Amendment No. 587.
ParlaMint-FR_2019-02-15-O1153.u354	This is a request for a report on the state of national education buildings. A number of them are almost unsanitary, as their management has been transferred to local authorities and transfers of funding have not followed. Schools and high schools suffering from water infiltration are legion. It would be necessary to take stock of the situation and map it in order to remedy it as soon as possible. It is quite inconceivable that our country will allow its young people to study under such conditions.
ParlaMint-FR_2019-02-15-O1153.u355	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1153.u356	I will allow myself, Mr President, to give the committee's opinion both on this amendment and on the next one, because they have little or no of the same object, namely the state of the school building in Marseilles. Indeed, this is a matter of concern, as various press surveys have shown. Last November, after a collapse of buildings that killed eight, the minister expressed his willingness to conduct an audit of the situation of Marseille elementary schools, in collaboration with the municipal authorities. Both requests for reports echo this proposal. However, I will issue a wisdom opinion rather than the following, yours, Mr Lachaud, not specifying, except in the explanatory memorandum, that it is Marseille that it is. Unfavorable opinion on Amendment No 587 and wisdom on Amendment No 308.
ParlaMint-FR_2019-02-15-O1153.u357	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1153.u358	Same opinion.
ParlaMint-FR_2019-02-15-O1153.u359	Mrs Cathy Racon-Bouzon has the floor in support of Amendment No 308.
ParlaMint-FR_2019-02-15-O1153.u360	In 2016, a national newspaper called "La Honte de la République" about the schools in Marseille. Three years later, not much has changed. The disrepair of school buildings in Marseilles continues to pose a risk to the safety and health of children and teachers. At the very least, they create difficult working conditions for teachers, difficult learning conditions for students and create legitimate indignation for parents. It seems essential to me, Minister, to take stock of the buildings of the schools in Marseilles. The State, which guarantees educational success and equal opportunities, must restore the confidence of the Marseillais in the school of the Republic. This is the subject of this amendment.
ParlaMint-FR_2019-02-15-O1153.u361	I would remind you that the committee has issued an opinion of wisdom. What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1153.u362	In the logical follow-up to the intervention I made earlier, I will deliver a favourable opinion on this amendment, because the situation justifies it. I would like to point out that the Ministry of National Education will create a unit on the school building, so that it will have expertise to support communities when they need it, whether for building issues or for problems such as those raised in the defence of the previous amendment. Of course, we cannot go so far as to replace local authorities. On the other hand, to play an advisory role and, in some extreme cases, to be able to write the report you are asking for in order to bring about solutions, we have to do so, in order to guarantee good living conditions in school – and we will do so. Positive opinion, therefore.
ParlaMint-FR_2019-02-15-O1153.u363	Mr Bastien Lachaud has the floor.
ParlaMint-FR_2019-02-15-O1153.u364	We are, of course, delighted with this future report on the state of school buildings in Marseille, but unfortunately Marseille is not the only commune where there are major problems in this area. It is therefore regrettable that we did not adopt the idea of a comprehensive report, because on the day when we see the same problems as in Marseilles, it will be too late. I therefore do not understand why we have not been able to obtain a comprehensive report, even if, I repeat, this document will be very welcome for Marseille, where the situation is indeed particularly dramatic.
ParlaMint-FR_2019-02-15-O1153.u365	Mrs Elsa Faucillon has the floor.
ParlaMint-FR_2019-02-15-O1153.u366	What is the status of the Ministry's work on asbestos in schools? In a question to the Government asked a few months ago, Minister, you told me that a commission would be set up to work on it. What's the status of this job?
ParlaMint-FR_2019-02-15-O1153.u367	Mrs Emmanuelle Ménard has the floor.
