ParlaMint-FR_2019-11-13-O1066.u1	The next item is the discussion of the draft amending finance law for 2019 (No. 2400, 2404).
ParlaMint-FR_2019-11-13-O1066.u322	I call Mr Pupponi to support Amendment No. 27 to delete the Rule.
ParlaMint-FR_2019-11-13-O1066.u323	Our objective is to avoid, as last year, the Ministry of Armed Forces assuming the extra cost of external operations, or OPEX, and internal missions, the MISSINTs, including Operation Sentinel – an invoice of nearly 1.4 billion euros.
ParlaMint-FR_2019-11-13-O1066.u324	What is the opinion of the committee?
ParlaMint-FR_2019-11-13-O1066.u325	Unfavorable opinion: the deletion of the article proposed by the authors of the amendment is unconstitutional, since the article is required by the LOLF – but I imagine it is an appeal amendment. I will therefore allow the Minister to reply.
ParlaMint-FR_2019-11-13-O1066.u326	What is the Government's opinion?
ParlaMint-FR_2019-11-13-O1066.u327	I will begin by responding to Mrs. Dalloz. The difference of EUR 14 billion is due to the very low interest rates we currently have. In addition, there is another set of writings, on which a representative of the Agence France Trésor, the Minister for the Economy and Finance, or myself – I am sure the Chairman of the Finance Committee is working on it at the moment – will be able to testify before you: the auctions which the Agency makes every month allow not only to negotiate the loans very well and to obtain the premium of the issue, since the interest is very low, but also to refinance loans which had not been contracted at the same rate. So there is no wolf behind this EUR 14 billion difference. We do not borrow at a negative rate, which we would not be entitled to, in order to earn money in debt. Moreover, I agree that these are very large amounts, since we borrow EUR 200 billion each year from the financial markets, and that these explanations could probably be discussed for a longer time. Amendment No 27, which is of appeal, concerns the energization of the provision of the OPEX, in accordance with the military programming law, the LPM. I do not go back to the unconstitutionality argument put forward by the rapporteur-general, but I would add that, according to the latest figures, the extra cost of OPEX amounts to EUR 1.4 billion in 2019, as in 2018. As we speak, no slippage has been observed, which is good news. The rest to be financed, beyond the provisions, amounts to 400 million euros, a decrease of 200 million compared to last year, which the parliamentary majority can only welcome. Thanks to the increase in the provisions that we have decided, taking into account the EUR 400 million covered by margins on missions and the EUR 214 million in appropriations – as you will have seen in this PLFR – the amount of the provisions is approaching EUR 1.1 billion for 2020. I recall that in 2017, when we came to the responsibilities, it amounted to 450 million euros. So we're simmering the OPEXs, as the LPM provides and, I repeat, without seeing any slipping in these OPEXs. The credit goes to our military, to their managers and to the minister of armies.
ParlaMint-FR_2019-11-13-O1066.u328	I put to the vote the whole of the first part of the 2019 amending finance bill.
ParlaMint-FR_2019-11-13-O1066.u329	We are addressing the consideration of the second part of the 2019 amending finance bill. On Amendment No 60, as corrected, which will be called in a moment, I have a request for a public vote before the Socialist and Related Group. The vote is announced in the National Assembly.
ParlaMint-FR_2019-11-13-O1066.u330	Mrs Catherine Osson, who is on the agenda, has the floor.
ParlaMint-FR_2019-11-13-O1066.u331	Again this year – as you recalled, Minister, in your introductory remarks – the Government did not need to resort to advance decrees, a sign of good needs assessment and sound budgetary management. However, on the appropriations of the "School education" mission, the requirement to earmark funds at the end of the year to ensure payment of teachers' pay by December sends a negative signal. Of course, the trend is towards solving this problem. Appropriation amounts to EUR 145 million this year, compared to EUR 644 million in 2016, and these 145 million represent barely 0.3% of the Mission's appropriations, i.e. only one payday for all teachers. Nevertheless, the initial assessment of budgetary needs could be improved. The forecast management documents assume that the reserve will be frozen at the end of the year, which is never guaranteed. A sudden rise in interest rates or a significant commitment by our troops abroad and inter-ministerial solidarity would force these credits to be mobilized. It is inconceivable, however, to tell our teachers, if one day this is to happen, that their pay slips will be reduced by several days' pay due to an overly optimistic anticipation of the thawing of the reserve and the opening of credits in LFR. What means has the Ministry implemented in the preparation of the budget for the "School Education" mission for 2020, in particular to anticipate recruitment needs, the evolution of the GVT, technological old age, and the PPCR, career paths, careers and remuneration, in order to ensure that no appropriations will be needed at the end of 2020?
ParlaMint-FR_2019-11-13-O1066.u332	Mrs Valérie Rabault has the floor to support Amendment No 60, as corrected.
ParlaMint-FR_2019-11-13-O1066.u333	This amendment deals with an issue that we had the opportunity to address in the review of the PLF for 2020. We hope that the Government will enable our fellow citizens to be informed about and to exercise constitutional rights in good conditions. This is the right to vote in the joint initiative referendum, which was launched in June.
ParlaMint-FR_2019-11-13-O1066.u334	And that's not a success...
ParlaMint-FR_2019-11-13-O1066.u335	[["Well, let's see! » on the benches of the LaREM group]] According to the Minister of the Interior, which we have met on several occasions, the budget does not include any budget line for informing our citizens about this matter. We therefore propose to enter 5 million euros... Colleagues, you may not approve this referendum, but we are talking about a constitutional right. When the President of the Republic decided to launch the big debate, he spent 12 million euros that were not included in any finance law! In this case, the aim is to enable every citizen to be fully informed of the possibility of exercising a right provided for in article 11 of the Constitution.
ParlaMint-FR_2019-11-13-O1066.u336	What is the opinion of the committee?
ParlaMint-FR_2019-11-13-O1066.u337	Unfavorable opinion: it is not up to the State, in particular programme 216 of the mission "General and Territorial Administration of the State", to fund a campaign on the referendum of shared initiative, the FIR. In addition, it seems curious to me to speak of the defence of a "constitutional right". The current practice is in full conformity with the law, which does not provide for a campaign to be financed from public funds. Finally, the IPR has received very wide media coverage, to which the amendment contributes. I have seen more articles on this subject than others in general public information.
ParlaMint-FR_2019-11-13-O1066.u338	What is the Government's opinion?
ParlaMint-FR_2019-11-13-O1066.u339	Unfavorable opinion. Mrs. Rabault, you're talking about a constitutional right. In its decision No. 2019-1-2 of 15 October 2019, the Constitutional Council wrote: "The principle of pluralism of the currents of ideas and opinions does not, by itself, imply that measures are necessarily taken, in particular by the Government, to ensure that voters are informed of the existence, modalities and stakes of an operation to collect support for a bill under the third paragraph of Article 11 of the Constitution or to organize the audiovisual communication of opinions in favour of or against this support. » Without going back to the excellent arguments put forward by the rapporteur-general, I consider that there are no constitutional grounds for adopting the amendment.
ParlaMint-FR_2019-11-13-O1066.u340	Mr Fabien Roussel has the floor.
ParlaMint-FR_2019-11-13-O1066.u341	The amendment, which I support, seeks not to obtain a budget line in order to campaign against the privatisation of ADP, but to inform our citizens that, for the first time, a referendum of shared initiative is being set up by the Government, at the request of 248 parliamentarians.
ParlaMint-FR_2019-11-13-O1066.u342	They know!
ParlaMint-FR_2019-11-13-O1066.u343	Let us offer everyone, even those who would be hostile to the organisation of the referendum, the opportunity to express themselves! Citizens must be made aware of the existence of this system, which has run for a year in the greatest silence. The press or the media cannot be relieved of the task of informing citizens of this procedure.
ParlaMint-FR_2019-11-13-O1066.u344	It's a civic duty!
ParlaMint-FR_2019-11-13-O1066.u345	This task is the responsibility of the State, and therefore of our missions.
ParlaMint-FR_2019-11-13-O1066.u346	Mrs Olivia Gregoire has the floor.
ParlaMint-FR_2019-11-13-O1066.u347	I am surprised at what I have just heard: if the role of the press is not to inform our fellow citizens, I wonder what it is. The Minister recalled that the only guarantor of the proper conduct of this election is the Constitutional Council. Moreover, the Ministry of the Interior has made efforts in favour of the FIR. Thanks to its services, every elector who comes to town halls in France or abroad in consulates has access to a computer station, which allows him to decide for the organisation of the referendum. He may also request the electronic registration of a paper application by an officer of the municipality or consulate. The department has provided the means to ensure that the launch of the FIR takes place in the best possible way, taking into account those who do not have a computer or network, or who do not wish to vote online. So I think Mrs Rabault's request is a little...
ParlaMint-FR_2019-11-13-O1066.u348	Rock and roll?
ParlaMint-FR_2019-11-13-O1066.u349	I'd rather not qualify her.
ParlaMint-FR_2019-11-13-O1066.u350	Mr Eric Coquerel has the floor.
ParlaMint-FR_2019-11-13-O1066.u351	I don't hesitate to call your answers cynical. You keep repeating that social mobilizations are illegal,...
ParlaMint-FR_2019-11-13-O1066.u352	Not at all!
ParlaMint-FR_2019-11-13-O1066.u353	...the only democratic outcome is the ballot box. But on the day you find yourself facing a referendum bill, which would make it possible to put out by the vote a real block – since the whole opposition denounces a privatisation to which, one after the other, polls show that two thirds of the French are opposed –,...
ParlaMint-FR_2019-11-13-O1066.u354	Well, let them vote!
ParlaMint-FR_2019-11-13-O1066.u355	... you are a cynical reply to us that there is no constitutional obligation on the part of the Government to organize information on the subject. Was there any constitutional obligation to organize the advertising spots that the Government devoted to the privatization of La Française des jeux...
ParlaMint-FR_2019-11-13-O1066.u356	You're mixing everything!
ParlaMint-FR_2019-11-13-O1066.u357	... or at this great debate that we've had...
ParlaMint-FR_2019-11-13-O1066.u358	That's not very nice to the French!
ParlaMint-FR_2019-11-13-O1066.u359	... and who occupied hours of broadcasts broadcast on television channels, which belong to 80% to nine billionaires, all friends of the President of the Republic? In these media, I don't see much of the pluralism that democratic life demands! You do not understand this, but it would be necessary for democracy and the respect of your fellow citizens to provide at least information spots on how they can come forward to ask for the organisation of the referendum and to tell them how long it is possible to do so.
ParlaMint-FR_2019-11-13-O1066.u360	Mr Vallaud did it very well!
ParlaMint-FR_2019-11-13-O1066.u361	You'd honor yourself by doing this, but I think you're too afraid of the result!
ParlaMint-FR_2019-11-13-O1066.u362	Mrs Valérie Rabault has the floor.
ParlaMint-FR_2019-11-13-O1066.u363	Minister, I have before me the decision of the Constitutional Council of 15 October, which you mentioned. This body responsible for enforcing the Constitution recalled the terms of the Organic Law. However, it turns out that this referendum of shared initiative is a first. We wipe the plasters. That is why the Ministry of the Interior has had to reactivate a website. I suggest that my colleagues in the majority accompany me to the field, if they so wish. They will see that many French people are unaware of the existence of this referendum procedure.
ParlaMint-FR_2019-11-13-O1066.u364	That's right!
ParlaMint-FR_2019-11-13-O1066.u365	Thanks to tablets, I have allowed voters to speak about him. Some French people who support you and support the President of the Republic are opposed to the privatization of ADP. The National Assembly would grow by deciding that everyone should have access to information, regardless of their opinion on privatization. [[Exclaims on the banks of the LaREM Group]] A constitutional process has been initiated. The Constitutional Council decided on the conformity of the proposal with the Constitution. As for us, we are here to make the law: so we propose, through this amendment, to allocate five million euros in order to inform our fellow citizens – and not to defend a point of view. Allocating EUR 12 million to the big debate did not bother you, ladies and gentlemen!
ParlaMint-FR_2019-11-13-O1066.u366	You're mixing everything!
ParlaMint-FR_2019-11-13-O1066.u367	I don't mix everything!
ParlaMint-FR_2019-11-13-O1066.u368	[["So what? » on the benches of the SOC, LR and FI groups]] Yes, you mix everything: it was about explaining government policy.
ParlaMint-FR_2019-11-13-O1066.u369	We knew long ago that the members of the majority were great democrats...
ParlaMint-FR_2019-11-13-O1066.u370	And then they claim that the credits are missing to finance the big debate on pensions!
ParlaMint-FR_2019-11-13-O1066.u371	[[Exclaims on the banks of the LaREM Group]] I do not mix everything, Mrs Gregoire, since funding for the big debate was not provided for in the budget either.
ParlaMint-FR_2019-11-13-O1066.u372	We must conclude, dear colleague.
ParlaMint-FR_2019-11-13-O1066.u373	We therefore propose to inform our fellow citizens that they can, if they wish, express themselves on this referendum procedure.
ParlaMint-FR_2019-11-13-O1066.u374	Those who are against privatization already know that this referendum procedure exists!
ParlaMint-FR_2019-11-13-O1066.u375	[[Exclaims on the SOC benches]] Their problem is that they can't get the number of supports they need...
ParlaMint-FR_2019-11-13-O1066.u376	Mr Jean-Paul Mattei has the floor.
ParlaMint-FR_2019-11-13-O1066.u377	[[Exchanges continue from benches to benches]] Of course, we will not vote in favour of the amendment.
ParlaMint-FR_2019-11-13-O1066.u378	A little calm, please, ladies and gentlemen.
ParlaMint-FR_2019-11-13-O1066.u379	Mrs. Rabault, you recalled that our mission is to make the law. In fact, we have made a law, the law on business growth and transformation, known as the PACTE law, which provides for the privatisation of Paris airports. I voted in favour. [[Applause on the benches of the LaREM group. – Exclaims on the benches of the LR, SOC and GDR groups]] I was embarrassed by the decision of the Constitutional Council, which said, in essence, "Move, there's nothing to do with it! A few weeks after our vote, we are told that it is not valid: it bothers me, as a parliamentarian. For this reason, I will not support this amendment.
ParlaMint-FR_2019-11-13-O1066.u380	Mrs Véronique Louwagie has the floor.
ParlaMint-FR_2019-11-13-O1066.u381	The President of the Republic, in launching the big debate, had suggested that he wanted to debate with the French and listen to them. As far as funding is concerned, there was no question of the questions that you are asking today, ladies and gentlemen. Your answer, minister, suggests that all this was just a facade. As long as the consequences of a device escape you, you do not want to communicate about it.
ParlaMint-FR_2019-11-13-O1066.u382	All right!
ParlaMint-FR_2019-11-13-O1066.u383	We know very well that such a device will not be used, if it is not accompanied by any communication.
ParlaMint-FR_2019-11-13-O1066.u384	Yes! You're against democracy! You're just manipulators!
ParlaMint-FR_2019-11-13-O1066.u385	You do not want to promote the referendum on a shared initiative, while a communication campaign on this mechanism unknown to our citizens is necessary. To refuse it is to refuse to involve them in democratic life. [[Applause on the benches of the LR group. – Exclaims on the banks of the LaREM Group]] You should learn from the social movement that was born a year ago – but you don't want to see reality in the face.
ParlaMint-FR_2019-11-13-O1066.u386	What a glubi-boulga!
ParlaMint-FR_2019-11-13-O1066.u387	This session is far too agitated, ladies and gentlemen! Please regain some serenity. I put to the vote Amendment No 60, as corrected.
ParlaMint-FR_2019-11-13-O1066.u388	The result of the vote is as follows: Number of voters 82 Number of votes cast 81 Absolute majority 41 For adoption 23 Against 58
ParlaMint-FR_2019-11-13-O1066.u389	I call Mr Eric Coquerel to support Amendment No. 65.
ParlaMint-FR_2019-11-13-O1066.u390	This amendment tends to change the amount of commitment authorisations and payment appropriations for the Official Development Assistance mission, in order to go back to cancellations of appropriations which we believe are problematic. The Head of State – or was it the Prime Minister? – recently recalled the importance of France's progress in implementing the 1970 commitment to allocate 0.7 per cent of gross national income to official development assistance. For the time being, we are far from it. It is therefore paradoxical and, to say the least, unbearable that funds allocated to this mission should be cancelled: for example, EUR 12.2 million for the European Union's facility for refugees in Turkey, or EUR 0.5 million for exceptional aid to the Amazon – especially when we know the problems facing this region: we have also discussed, as well as Mr Bolsonaro's absurd policy, with the representatives of the indigenous people whom I met earlier – or EUR 31.6 million for aid to the Syrian population. It seems inappropriate to cancel these various credits when they meet obvious needs. This amendment is necessary not only from a quantitative point of view, but also from a qualitative point of view. Indeed, the current tendency to make official development assistance conditional on respect for a particular migration policy by the country of departure is unbearable. On the contrary, we should work towards the development of these countries, without worrying about such arroguties – indeed without any connection to the issue of development.
ParlaMint-FR_2019-11-13-O1066.u391	What is the opinion of the committee?
ParlaMint-FR_2019-11-13-O1066.u392	Mr Coquerel, the majority of the cancellations of appropriations for this mission are due to the decrease in the need for subsidies on loans from the Agence Française de Développement, due to the low interest rates. Other cancellations relate, as in other missions, to reserve appropriations. I would also like to point out an inaccuracy in your remarks. Exceptional aid to the Amazon and aid to the Syrian population has not been cancelled. On the contrary, the precautionary reserve has been partially thawed in order to meet the relevant needs. In addition, the appropriations available for 2019 remain 30% higher for commitment authorisations and 12% higher for payment appropriations to appropriations consumed in 2018. Unfavorable opinion.
ParlaMint-FR_2019-11-13-O1066.u393	What is the Government's opinion?
ParlaMint-FR_2019-11-13-O1066.u394	Same opinion.
ParlaMint-FR_2019-11-13-O1066.u395	Mr Bertrand Pancher has the floor.
ParlaMint-FR_2019-11-13-O1066.u396	There are always excellent reasons for the lack of an increase in development aid. Last year, the Mission's budget had been increased by EUR 100 million, but a few months later, EUR 85 million of appropriations were frozen. For the past three years, the budget has not increased. A few weeks ago, the Prime Minister argued that debt cancellations should not be forgotten – but finally, did they allow for the construction of wells and health boxes, or for the launching of reforestation programmes? Of course not! In fact, I repeat, for the past three years the amount of direct development aid has not increased. The budget for 2019 is symptomatic: after deciding to increase the budget by 100 million euros, you cancel for 85 million euros of credits.
ParlaMint-FR_2019-11-13-O1066.u397	I call Mrs Emmanuelle Ménard to support Amendment No. 63.
ParlaMint-FR_2019-11-13-O1066.u398	In early October, you launched a big thing called "Citizens' Climate Convention". The idea is not bad in itself, since it is a matter of making concrete proposals for the environment emerge. On the other hand, the means used are more than doubtful. Some 150 Frenchmen were drawn to attend conferences. Not just any one: they have been carefully chosen by a governance committee whose independence leaves something to be desired. The majority of the committee is composed of members of the Government or relatives of the President of the Republic. What will be the purpose of this civic convention, since, in essence, it is the Government that will lead the organization? Its establishment also raises the question of the usefulness of the ministry responsible for the matter. The 150 Frenchmen chosen will be the turkeys of the farce. The president of the convention explained that citizens would be asked not to produce knowledge or expertise, but to make judgments on situations and proposals made by great witnesses. Édouard Philippe himself opened the convention by announcing: "I cannot promise you that all your proposals will be implemented; I would lie to you if I told you that." What constitutes a masquerade is also very expensive – that is the root of the problem. The Economic, Social and Environmental Council, already with a budget of €40 million in 2019, while its usefulness is clearly questioned, will benefit from the budget extension allowing the financing of the Convention. The French will pay an additional €4.2 million for a rather demagogic convention. Admit that all of this is a question.
ParlaMint-FR_2019-11-13-O1066.u399	What is the opinion of the committee?
ParlaMint-FR_2019-11-13-O1066.u400	Madam Member, if you yourself recognise the interest of the convention, you are challenging the terms of the convention. Let's look at them. The members of the convention shall be appointed according to the model applicable to the sitting jury, by drawing lots. They receive the same compensation as members of the sitting boards; In addition, there is a child care allowance. It seems to me that it is virtuous to allow participants in a public agreement to benefit from such reimbursements. Unfavorable opinion.
ParlaMint-FR_2019-11-13-O1066.u401	What is the Government's opinion?
ParlaMint-FR_2019-11-13-O1066.u402	Same opinion.
ParlaMint-FR_2019-11-13-O1066.u403	Mr Bertrand Pancher has the floor.
ParlaMint-FR_2019-11-13-O1066.u404	Mrs Ménard, the citizens' convention for the climate is anything but a masquerade! There is always concern about the usefulness and sincerity of the Convention's work, and there is always hope that its members will master the entire decision-making process. However, the choice of participants was not made according to political criteria. Electors from your political party are most likely represented. Let us hope that the convention is useful. In any case, it seems aberrant to me to question its existence, while it represents a profound innovation for our democratic process.
ParlaMint-FR_2019-11-13-O1066.u405	I call Mr Eric Coquerel to support Amendment No. 73.
ParlaMint-FR_2019-11-13-O1066.u406	To justify the various credit cancellations, you say that there was less need for money for a particular action. I reply that this is an opportunity to redeploy the necessary funds elsewhere. This is the case with the "Risk Prevention" program, which I spoke about earlier in the gallery. As soon as the number of inspectors has decreased and the budgets of the Directorate-General and the operators, in particular the National Institute for the Industrial Environment and Risks, INERIS, are reduced, provided that appropriations are cancelled on the grounds that they have not been used, funds are made available. The purpose of this amendment is therefore to increase the subsidy to INERIS. Very often, you don't give any explanation for credit cancellations, and when the minister gives them, they are inaccurate. So you justified the cancellation of EUR 19 million of appropriations by the non-consumption of the budget allocated to the compensation of the co-owners of the building "Le Signal" in Soulac-sur-Mer; However, it amounts to only EUR 7 million, leaving EUR 12 million worth of cancellations to be justified. These funds could usefully feed into some budgets.
ParlaMint-FR_2019-11-13-O1066.u407	What is the opinion of the committee?
ParlaMint-FR_2019-11-13-O1066.u408	I am sensitive to the issue of risk prevention. However, I see an under-implementation of the programme: it is a reality. The appropriations that remain available for the end of the year, amounting to EUR 845 million, are at a much higher level than the appropriations consumed last year – which amounted to EUR 793 million. I can therefore only give an unfavorable opinion on this amendment.
ParlaMint-FR_2019-11-13-O1066.u409	What is the Government's opinion?
ParlaMint-FR_2019-11-13-O1066.u410	I can only repeat what I have already told you, Mr. Coquerel. The facts are that the credits for the compensation of co-owners of the "Le Signal" building were not consumed.
ParlaMint-FR_2019-11-13-O1066.u411	It's only 7 million!
ParlaMint-FR_2019-11-13-O1066.u412	On the other hand, the appropriations set aside and cancelled do not concern the payroll: it is wrong to say that they were allocated to the remuneration of inspectors and other agents of the Ministry of the Ecological and Solidarity Transition who could have foreseen certain difficulties that had occurred in the territories. We have had the discussion several times since the beginning of the quinquennium: the freezing of credits does not concern the payroll. As the rapporteur-general said very well, the cancellations relate either to appropriations put in reserve – this is the case for those intended for the compensation of the co-owners of the building "Le Signal" – or to appropriations which have not been consumed, but they do not correspond in any way to savings on the functioning of the ministry of the ecological and solidarity transition.
ParlaMint-FR_2019-11-13-O1066.u413	Mr Eric Coquerel has the floor.
ParlaMint-FR_2019-11-13-O1066.u414	The minister, since he does not reply to me, admits that the 19 million euros of appropriations cancelled do not concern only the compensation of the co-owners of the building "Le Signal", which represented only 7 million euros – of which act. For the rest, I don't share his vision. Since we have adopted a budget and not all appropriations are being used, while there are also stark shortcomings, the ecological challenge is forcing them to be mobilised. You mention a decrease in the number of full-time equivalents at INERIS, for example, but it is often operating budgets or even investment budgets that are also affected. I don't know what you're canceling those credits for. I think this is a very bad policy.
ParlaMint-FR_2019-11-13-O1066.u415	I call Mr Eric Coquerel to support Amendment No. 71.
ParlaMint-FR_2019-11-13-O1066.u416	This amendment of the same order concerns the reserve linked to the "Landscapes, water and biodiversity" programme, which, instead of being abolished, could very well fund actions by the Agence française pour la biodiversité, the Office national de la chasse et de la faunies wildes and national parks. I recall that we have had the pains of the world to pass an amendment to preserve certain positions in the staff of the new park, but we are far from it. Again, these appropriations, which have been adopted, could be reused intelligently.
ParlaMint-FR_2019-11-13-O1066.u417	What is the opinion of the committee?
ParlaMint-FR_2019-11-13-O1066.u418	These are not things of the same nature: you are talking about an increase or a decrease in the number of full-time equivalents in the parks, but in this case they are only credits that will simply not be committed before the end of the year. Even though this cancellation would disturb, the credits for 2019 remain 24% higher in commitment authorities and 20% higher in payment appropriations than the credits consumed in 2018. Unfavorable opinion.
ParlaMint-FR_2019-11-13-O1066.u419	Mr Eric Coquerel has the floor to support Amendment No. 72.
ParlaMint-FR_2019-11-13-O1066.u420	The aim of this amendment is to return to the reserve of funds under the programme "Expertise, économie sociale et solidaire, information géologique et métoire" with a view to moving them towards the subsidies for public service charges of CEREMA, the Centre d'études et d'expertise sur les risques, l'environnement, la mobility et l'aménagement – to which, as I recall, the State pays less than its wage bill – as well as Météo-France and the National Geographical Institute.
ParlaMint-FR_2019-11-13-O1066.u421	What is the opinion of the committee?
ParlaMint-FR_2019-11-13-O1066.u422	All of the cancelled credits were put in reserve and the available payment credits are higher than those that were consumed in 2018. Unfavorable opinion.
ParlaMint-FR_2019-11-13-O1066.u423	On Amendment No 59, I have a request from the Socialist and Related Group for a public vote. The vote is announced in the National Assembly. Mr Jean-Louis Bricout has the floor to support this amendment.
ParlaMint-FR_2019-11-13-O1066.u424	This amendment, which is favourable to the people of the North and to rural areas, aims to increase the appropriations for the energy cheque by EUR 50 million and to modulate its amount according to two components linked to household expenditure. The first concerns transport, an important item in the household budget; we propose to modulate the amount of the energy check according to the presence of public transport or not. The second concerns heating: we propose modulation according to the climate zone. Indeed, the purpose of the energy check is to improve the rest to live after payment of energy bills. Old social tariffs were linked to household consumption: those who consumed the most because their needs were higher received higher aid. The energy check, on the other hand, is no longer linked to the level of consumption. The fact is clear: it is colder in the North than in the South and the difference in energy consumption is around 500 euros per month. In other words, the rest to live after paying bills is lower in the North than in the South. That is why the amendment aims to modulate the amount of the energy cheque according to the climate zone. The climate zones in question already exist: they are defined by the thermal regulations of 2005 and 2012. In the Hauts-de-France, for example, the climate factor amounts to 1.3, which means that with this amendment, the energy cheque would increase from 200 to 260 euros. Clearly, it is a matter of differentiating the measures according to the territories in order to ensure justice and solidarity in the face of the climate.
ParlaMint-FR_2019-11-13-O1066.u425	What is the opinion of the committee?
ParlaMint-FR_2019-11-13-O1066.u426	I would remind you that the PLF for 2020 is opening up EUR 800 million in payment appropriations for the energy cheque. In 2018, the year of the latter's generalisation, the related expenditure amounted to EUR 424 million. This amendment would in no way have the effect of introducing a fuel component of the energy cheque or of increasing the amount for the territories subject to adverse weather conditions, since it is an amendment of appropriations. As far as climate differentiation is concerned, in my view we would find it difficult to draw borders: I live in a region of the South where most municipalities have already experienced a month of frost since the beginning of autumn! Unfavorable opinion.
ParlaMint-FR_2019-11-13-O1066.u427	What is the Government's opinion?
ParlaMint-FR_2019-11-13-O1066.u428	Same opinion.
ParlaMint-FR_2019-11-13-O1066.u429	Mr Jean-Louis Bricout has the floor.
ParlaMint-FR_2019-11-13-O1066.u430	You are unaware of the thermal regulations, Mr. Rapporteur-General. Housing insulation specialists know that it is more complicated to isolate housing in the North than in the South. In addition, the amendment provides that the altitude should be taken into account by combining with each municipality a climatic coefficient already in force in the thermal regulation. The calculation is therefore quite simple: it is only a matter of increasing the energy cheque in order to improve the rest of the living of those who consume more and to differentiate territories by adapting the measure to the difficulties of each of them.
ParlaMint-FR_2019-11-13-O1066.u431	Excellent amendment!
ParlaMint-FR_2019-11-13-O1066.u432	I put to the vote Amendment No. 59.
ParlaMint-FR_2019-11-13-O1066.u433	The result of the vote is as follows: Number of voters 71 Number of votes cast 68 Absolute majority 35 For adoption 18 Against 50
ParlaMint-FR_2019-11-13-O1066.u434	I call Mrs Emmanuelle Ménard to support Amendment No. 64.
ParlaMint-FR_2019-11-13-O1066.u435	[[Exclaims on the banks of the LaREM Group]] I will once again tell you about the high-speed line between Montpellier, Béziers and Perpignan, whose project has been stopped for two years by decision of the President of the Republic – it is not I who say it, it is the president of the Occitan region. All elected officials and decision-makers in this great region are convinced of the priority and urgency of the realization of this line. Since last month's bad weather, rail users have been paying for a rail transport policy that is carried out in spite of common sense: the service is interrupted between Montpellier, Perpignan and Spain and between Montpellier and Toulouse until the end of November – in the best case. However, the stakes are numerous and considerable and the local actors have been lawyers for a long time. These issues are primarily economic, but also, of course, environmental; They concern spatial planning and the equality of the inhabitants with regard to mobility. In France, in 2019, an economy is blocked: three car repair companies installed between Béziers and Narbonne will probably be forced to place 200 employees with technical unemployment. In short, this new line must be a priority for the Government. In a constrained budgetary context, the urgency of climate change forces us to finally speed up the construction of the missing section of the Mediterranean rail corridor.
ParlaMint-FR_2019-11-13-O1066.u436	What is the opinion of the committee?
ParlaMint-FR_2019-11-13-O1066.u437	I do not see what this amendment is doing in the amending finance bill, unless it is a local appeal amendment, in which case it is not up to me to respond. I too would like SNCF Réseau to complete the repair of the tracks faster, but it seems difficult to obtain it in France. In any event, I would ask for the amendment to be withdrawn; Otherwise, the Commission's opinion would be unfavourable.
ParlaMint-FR_2019-11-13-O1066.u438	Mrs Marie-Noëlle Battistel has the floor to support Amendment No. 53.
ParlaMint-FR_2019-11-13-O1066.u439	The aim of this amendment is to reverse the cancellation of the appropriations set aside under programme 181, "Risk prevention". The fire at the Lubrizol plant has shown that it is more than necessary to increase the appropriations for this programme, which concerns the implementation of policies to reduce industrial and mining risks as well as natural risks – floods and the safety of hydraulic structures – that of waste prevention and management policies, that of health risk assessment policies and, finally, the financing of ADEME, the Environment and Energy Management Agency. That is why the amendment aims to restore the appropriations of the programme in question to the amount of EUR 23.5 million in commitment authorisations and EUR 19.3 million in payment appropriations. In view of the incidents which unfortunately can occur at any time, it is important to preserve these appropriations.
ParlaMint-FR_2019-11-13-O1066.u440	What is the opinion of the committee?
ParlaMint-FR_2019-11-13-O1066.u441	Again, this cancellation relates to under-executions and reserve appropriations. I would like to point out, in order for each measure to be taken, that the appropriations in question correspond to 2 per cent of the total appropriations, a very small share. I also note that the remaining payment appropriations in 2019 are significantly higher than the 2018 appropriations. Unfavorable opinion.
ParlaMint-FR_2019-11-13-O1066.u442	I call Mrs Emmanuelle Ménard to support Amendment No. 38.
ParlaMint-FR_2019-11-13-O1066.u443	The "Immigration, Asylum and Integration" mission was again under-budgeted in 2019, again because of the government's over-optimistic – even naive and even disconnected – predictions. In 2018, 123625 people applied for asylum in France, an increase of 22.7% compared to the previous year. In 2019, the number of asylum seekers is still increasing. This increase can be questioned in France, while the number of asylum seekers has declined anywhere else or, in any case, in a majority of European countries, with a decline of 61 per cent in Italy, 49 per cent in Austria, 19 per cent in Sweden and 18 per cent in Germany. At EU level, the number of protections granted to asylum seekers by countries has been reduced to 333,400, a decrease of 40% in one year. The steady increase in reception in France is not without consequence. The cost of this immigration, which they did not choose, continues to be borne by the French. It is time to do something other than announcemental effects in this area.
ParlaMint-FR_2019-11-13-O1066.u444	What is the opinion of the committee?
ParlaMint-FR_2019-11-13-O1066.u445	The allowance granted to asylum seekers is entitled when the conditions are met. I do not imagine for a moment that you wish by this amendment that the allowance in question should not be paid in December, given the precarious nature of its beneficiaries. I would remind you that it amounts to 204 euros per person per month. Unfavorable opinion.
ParlaMint-FR_2019-11-13-O1066.u446	What is the Government's opinion?
ParlaMint-FR_2019-11-13-O1066.u447	Same opinion.
ParlaMint-FR_2019-11-13-O1066.u448	Mrs Emmanuelle Ménard has the floor.
