ParlaMint-NO_2014-11-12.ana.ud646e26	The representative, Mr Vegar Solhjell, will present a proposal for a representative.
ParlaMint-NO_2014-11-12.ana.ud646e801	As I say, Innovation Norway will be the instrument of the state and county municipalities. The objective of Innovation Norway has not changed and the regional anchoring has not changed. We are very dependent on the fact that Innovation Norway acts as our main tool player across the country. Let there be no doubt about it. Today’s structure is demanding for local offices. They spend a lot of resources on them. I think that those resources could be better used on the customers. And in many ways today's structure invites the Oslo office to become specialists, while the regional offices become more branches because we've determined in detail how the structure should be. I trust that the Board of Directors and the Administration of Innovation Norway can set up the organisation so that it becomes the most effective instrument operator possible. That's what we're very dependent on if we're going to boost innovation and competitiveness across the country.
ParlaMint-NO_2014-11-12.ana.ud646e810	In fact, I don't think I got an answer to what was my question. The Minister of Economic Affairs says that the anchoring between Innovation Norway and the county councils is important, but it is clearly removed if the county councils are both to be removed as owners and, in addition, to remove the regional governments. There has also been uncertainty about the future of local offices. A very important part of our active industrial policy and Innovation Norway’s success is that it has local knowledge, proximity to businesses, and that Innovation Norway’s instruments can be combined with the instruments that private banks and public operators around the country possess, not least the tools that counties have currently employed. The government will also slow down the regional instruments, which have been evaluated and proved to have a good impact. Then I would like to repeat the question: does the government have a knowledge-based approach to the proposals it has now made, or does this only stem from ideological opposition to the regionally elected level and belief in business neutrality?
ParlaMint-NO_2014-11-12.ana.ud646e819	So this is about making the organisation that is our most important actor in the whole country more effective. With 130 members – 15 governing members plus one – it is easy to imagine that there could be a basis for a review. That's the base of the review we're now doing. So the purpose is the same, the importance of cooperation with the county councils is the same, but we're not dependent on 15 regional governments that we get feedback that we don't have decision-making powers. I think there's other ways to make this more effective, and that's the background for the review. We also carry out a review of the instruments, because when we got to the government offices, we asked what effect the instruments have. It's hard to answer. We are now implementing a thorough research project to find the innovation impact of the instruments, precisely to be able to strengthen those who work and change those who do not.
ParlaMint-NO_2014-11-12.ana.ud646e837	This issue has been postponed until the next Question Time, when the Minister for Municipal Affairs and Modernisation has left.
ParlaMint-NO_2014-11-12.ana.ud646e844	I allow myself to ask the Minister for Transport the following questions: ‘In an area south of Oslo near Gjersrud-Stensrud, Bjørndal, Sofiemyr and Tårnåsen, it is planned to accommodate 20,000 dwellings. This is the largest residential potential in Oslo. However, the project is in crisis because solutions for public transport are lacking. During the construction of Follobanen, which passes this area, a large mountain hall must be blasted out in Åland. Will the Council of State investigate whether this mountain hall can be extended to an Åland station where trains to pick up passengers use sidings, while the others can run straight through without losing time?’
ParlaMint-NO_2014-11-12.ana.ud646e853	I thank you for the question. The idea that was taken up from Bohemia is offensive, but it is far from new. It was actually assessed under the previous government, by the then Minister of Transport Magnhild Meltveit Kleppa. The previous government thought that this was not a good solution, considering all, because there is a project that would in that case delay the entire Folloban project for many years and cost it with billions of dollars. For me, it is important that we complete the Follobane project and use the money effectively, so that we reach a much larger audience in Akershus and Østfold and bind them closer to Oslo. We also have to look at the possibilities of expanding larger residential areas around Oslo, but in the municipal sub-plan we see that this area is going to be connected to the T-Bahn. There are also bus opportunities, and then you also have to look at the solutions you work with locally and not just imagine that you need to link even more things to Follobanen – to the enormous costs and delays that will result. The previous government assessed this in the same way, and it is interesting when the representative Bøhler in another case starts to counter the decisions his own party made while they sat and ruled the country. Folloban is the largest railway project in Norway in recent times. A 22 km long tunnel will be built, which is dimensioned for speeds up to 250 km/h. Adding a stop inside a hall is easier said than done, for the area is not regulated for railway station today. That means we must have started those processes again. You won't just be able to put a platform there and let everything else stay the same. The tunnel had to be built between 5 and 6 km further in order to provide room for stopping trains there. It goes without saying that when the speed of the trains is initially 250 km/h, you lose a lot of time to slow down, start up and by train standing there. That's why you have to make sure that the local areas around Oslo are served with what's local collective traffic there, and that's a mix of bus, tram and T-Bahn. And then you have to make sure that what's a little bit more remote, which is the point of intercity betting, comes to Oslo faster, and so you connect the living and working regions better. I feel that in the Municipality of Oslo, the potential for expanding more areas is seen, and that this is a good cooperation with Akershus, but that the solutions that are best taken from the local averages are also chosen, instead of destroying the Follobane project. The cost framework for this has been laid down. The size has already adopted this solution, which was also presented by the previous government. I do not intend to start a rematch on this, but I fully agree with what is the purpose of the question: When you build new residential areas in and around Oslo, you have to make sure that public transport is also in place, so that people can travel to and from and from and do not become dependent on a car.
ParlaMint-NO_2014-11-12.ana.ud646e872	Thanks for the answer. I would like to say that I was somewhat disappointed by the approach, because State Secretary Hoksrud of the Ministry of Transport said to the Evening Post this summer, when he was asked about the same thing – namely, about the Åland station and the possibility of admitting it to a station, as well as blasting out a mountain hall there – that this sounds quite right and very exciting. He also said that everyone who wants to live in the Oslo area should have more and more people living in the city. "We can't do anything about the kilometers, but travel time can be reduced by collective solutions," said Hoksrud. He also said, "I see that there are challenges here, but if it turns out that this is such a good idea as it immediately sounds, then we can't let it stop us from looking at this." One thing that the Progress Party has often said is that one will let reason take precedence over bureaucracy and various leaderships laid down. I have respected that earlier, and therefore I am disappointed that you are not willing to look into how the project of using this mountain hall can be used further.
ParlaMint-NO_2014-11-12.ana.ud646e886	Bård Hoksrud was quite right that this is an exciting arrangement that we have to look at – that is why we have done it. We want to develop better collective solutions, and therefore this government has done what the previous government didn't do: we have said that the state should contribute 50 pst. on the major public infrastructure lifts in the four largest cities. There was something with which the previous government and the previous government parties have been a bit behind in the national transport plan, but which this government is now implementing. That's why we were in the planning page on Fornebubanen, and that's why we're working actively on the bus, road, city track and the like in the other cities. And we think it's exciting to look at the Ahus track when one also mentions it from Oslo as one of the potentials. But I record that we are now being challenged by those who said no to these projects when they themselves crashed, and who suddenly are disappointed that their no remains in this particular matter. It's because when we look at the costs and delays it would mean for the intercity project, we think it makes more sense to look beyond T-track solutions than to destroy the Folloban project.
ParlaMint-NO_2014-11-12.ana.ud646e893	I want to focus on the matter now instead of discussing the past, since I only have one minute. T-railway development is much more expensive and much slower – an estimated 50 minutes in travel time from there to Oslo, while the train can take 7, 8 or 9 minutes. And the T-Bahn expansion will be much further ahead in time. In any case, a mountain hall with life-saving routes and life-saver platforms, with the possibility of getting out of Åland in case of accidents or fires occurring in the tunnel, has the chance to make a runway solution into Oslo for three times as many as it lives in Ski – which is the station to which you are going to travel, i.e. 20,000 dwellings and 60,000 people – and you have the chance to park several thousand cars that are currently waiting in line for Oslo from about that area. Then I think it's strange – if you're going to follow up the Storting's demand that all the growth in passenger transport towards the big cities should be taken collectively – that you can't be more open to going into such a solution, rather than just making estimates in many years, etc.
ParlaMint-NO_2014-11-12.ana.ud646e902	These are facts that were known under the previous government. Jan Boehler was part of the foundation of the previous government. The decisions taken by the Stortinget have suggested that you should not have a stop there – simply because it would degrade and exacerbate the Follobane project. It is possible – and it is going to happen – to develop other collective services, just to cover this area. That's the sum of this, how to offer the best possible collective offer to Oslo, Akershus and the whole of the East in relation to the Great Oslo region, which is the most important. I think this is a little strange: once you have planned Follobanen, and we inherit years of planning, it means to reverse this by delaying the whole progress. Then it is not unreasonable to point out that when the Workers' Party has been laying the foundations for this project, you can not just say that you should not look at history – if something the Workers' Party has actually laid the foundation for. We're going to do the best possible intercity bet for all the parties, and then we're going to stimulate community development locally, through the urban environment agreements.
ParlaMint-NO_2014-11-12.ana.ud646e917	‘On the websites of the Ministry of Climate and Environment, it is stated that genetically modified maize types T25 and NK603 have been ‘in practice approved for placing on the market in Norway for several years’, because they are approved in the EU. Are there several of the genetically modified plants that are managed in the Environment Directorate, the government considers ‘in practice acceptable’, and which GMOs are involved?’
ParlaMint-NO_2014-11-12.ana.ud646e924	This case is about two issues. One is what kind of policy we want to pursue in the GMO field. The second is of a more technical nature and is concerned with the understanding of the provisions of the genetic engineering law following a legal interpretation. Today, we have a strict law to ensure that the use of genetically modified organisms is carried out in an ethically and socially sound manner, in accordance with the principle of sustainable development and without adverse health and environmental impacts. I understand that the representative, Mr Solhjell, and I agree that this is a good and important law, which should continue to underpin our policy. What I have done is to explain how, after our best legal interpretation, we believe that the law of genetic engineering must be understood. It follows from the Genetics Act that no authorisation is required in Norway for the placing on the market of GMOs authorised in another EEA State under the so-called Postponement Directive. However, the Norwegian authorities may prohibit or restrict the placing on the market if they consider that it presents a risk to health or the environment or otherwise is contrary to the purpose of the law. It is best assessed by the Ministry of Climate and Environment that if Norway does not adopt a ban on the placing on the market of a GMO after the product has been authorised in the EU under the Post-release Directive, Norway is bound by EU decisions. I can also inform you in this context that this understanding is not completely new. It is also far on the road of kgl. Res. of 14 December 2012, promoted by the then Minister for the Environment, Mr Solhell. Here's what it says: ‘No authorisation is required in Norway for the deliberate release of GMOs authorised in another EEA State under Directive 2001/18/EC. However, the Norwegian authorities may prohibit or restrict the placing on the market if they consider that it presents a risk to health or the environment or otherwise is contrary to the purpose of the law.’;» There are currently 11 GMOs authorised under this Directive. These are obtained from the GMO register of the European Commission. Of these, a decision was taken on the Norwegian ban for one GMO, namely the rape line GT73. The prohibition is provided for in the Regulation on the prohibition of genetically modified products. The Ministry is working on clarifying the legal status of the other GMOs authorised in the EU. We would like, among other things: look at GMOs that have been authorised in the EU under different legislation. For some GMOs, new approval decisions have been adopted in accordance with another legislation, while the original authorisation decisions following the Postponement Directive have been repealed. The legal status of each GMO must therefore be carefully assessed. This applies, for example: maize line T25, which has now been re-approved in the EU in accordance with another legislation not incorporated into the EEA Agreement and which is therefore currently not directly applicable in Norway. It is therefore important to clarify the actual legal situation.
ParlaMint-NO_2014-11-12.ana.ud646e946	One can get tired of less! But at least let's just do two things: the one thing is that it's very good that we have a good gene technology law in Norway, which is going to last. The second is that I have had a happy review of the last time with the Royal Resolution of 14 December 2012, and it was quite correctly quoted from it – which otherwise was about rape and not corn. However, the essence of the debate is not whether it is automatic for a GMO to be approved in Norway, but what is the legal status while it is being assessed. Because there is no doubt about it, as I understand, that we have a right to say no to them, as we have done. My best understanding is that while a GMO is being evaluated by the government and the trade unions, it cannot be introduced. So it's not like there's a yes then, and then you're going to consider the question. That is what I would like the Minister for Climate Change and the Environment to see, whether she can understand, whether she thinks they are acceptable, even if they are now being assessed.
ParlaMint-NO_2014-11-12.ana.ud646e958	There is an impression that we have actively approved GMOs. It's wrong, we haven't approved any GMOs. Then we might agree on that, and we have a common responsibility to clarify it. So it's also: how long is'reasonable time'? Taking into account the adaptation text of the EEA Agreement and the purpose of the review competence under the Genetic Technology Act, it may be stated that Norway must be able to rely on a certain period of procedure before the EU decision is legally binding in Norway. However, as long as the cases are under consideration, it can therefore be argued that GMOs are not allowed to be placed on the market. But how long will it be for? The issues we are also talking about here are approved in 1998 and 2001, and I wonder why the previous government did not take such a ban within ‘reasonable time’. We believe that as long as this is not done, it is to be regarded as valid.
ParlaMint-NO_2014-11-12.ana.ud646e965	I also think that 15 years is a long time in politics. But what is extremely important to clarify is whether it is such that a case is automatically approved because it is approved in an EU country. This is not how I understand it, and now I understand that the Minister for Climate and Environment does not understand it this way either, but that she agrees that when a case is considered, it is a time when the case is not automatically approved. This is very important, because there is a part of such a product for evaluation now, and it is important that it is a real possibility to make that decision – without being pre-approved. So I have noticed that both the Food Authority and other agencies have understood this so that the corn line in question was not approved because she was being assessed. But the most important thing in my view is that the Minister for Climate and Environment can now confirm, which I hope she can, that the matters that are now under assessment – and which have not been for the same time – are actually not acceptable, but that the government has a real possibility... [[The President clubs.]]
ParlaMint-NO_2014-11-12.ana.ud646e974	I hope we can agree on that, that we now have to clean this up, and that we get a sense of it. We're now working on getting an overview as soon as possible. I have a good hope that it will not last too long until this is done, and then we will also pass on that overview to the Food Authority and other departments, in accordance with the law, as soon as it is ready. And I hope we now get cleaned up in this which has become too many a rather unbridled debate over the past few weeks, in line with what is'reasonable time' and what we have interpreted the legislation after. But I sincerely believe that we have a common responsibility to clean this up, and I will take my share of the responsibility for that.
ParlaMint-NO_2014-11-12.ana.ud646e985	This question, from the representative Trygve Schlagsvold Vedum to the Minister for Climate and Environment, will be raised by the representative Geir Pollestad.
ParlaMint-NO_2014-11-12.ana.ud646e988	‘Do the Council of State consider that the production of maize with genetically modified maize lines T25 and NK603 has positive societal benefits and contributes to sustainable development, as required by the Law on Genetics for their marketing in Norway?’
ParlaMint-NO_2014-11-12.ana.ud646e993	As demonstrated by my reply to the representative, Solhjell, the Genetic Technology Act does not require authorisation in Norway for the placing on the market of GMOs authorised in another EEA State under the so-called Postponement Directive. However, the Norwegian authorities may prohibit or restrict the placing on the market if they consider that it presents a risk to health or the environment or otherwise is contrary to the purpose of the law. In this assessment, ethics, social benefits and sustainable development are factors to be taken into account in addition to health and environmental considerations. However, in my view, the law cannot be understood to require that EU-approved GMOs have a positive social benefit and contribute to sustainable development in order to be traded in Norway. The current Directorate for Nature Management, now the Environment Directorate, gave its final assessments for the T25 and NK603 maize lines in 2008. Following an overall assessment, based on the opinions of several agencies, the Directorate considered that there was no special health or environmental risk by using the maize lines in Norway. The Directorate recommended that they be allowed in Norway. At the same time, the Directorate assessed that there was no information on societal benefits, ethics or the contribution of products to sustainable development that should be given decisive importance by a final Norwegian decision. However, the Ministry of the Environment considered that the applicants had not provided sufficient information to adequately elucidate sustainability, societal benefits and ethics. The Ministry therefore asked the manufacturers Monsanto and Bayer CropScience for additional information in 2009 but has so far not received the relevant information. There have now been 13 and 16 years since the acceptance of the maize varieties in the EU, without any bans under the genetic engineering law. It is, then, the Ministry's best estimate that the genetic engineering law is such that GMOs must be regarded as authorised in Norway. The Directorate-General for the Environment and Food Safety have found that there is little or no increased risk to health and the environment of products, nor have they been requested on the market. I can therefore not see that there is now no immediate need to review the recommendation from the Environment Directorate. I also refer to my previous response, where I informed that maize line T25 is no longer approved under the EU Postponement Directive. However, we will follow up the matter with a new assessment by the Department, including the following: the criteria for ethics, social benefits and sustainable development will be included. If the department finds that the products are problematic under the genetic engineering law, a ban must be considered.
ParlaMint-NO_2014-11-12.ana.ud646e1005	I thank you for your answer. There has been a demanding process, and it is quite special that in such a political issue as the use of GMOs, the legal conditions lie as a well-kept secret among bureaucrats in the Ministry of the Environment. That legal situation is also controversial. But to the content of the matter, which I think is more relevant to discuss now: the question is whether a wanted GMO maize in Norway. Is there a desirable development to have? This is, of course, corn made to tolerate more spraying. In a time when we're busy with clean and safe food, it's the wrong direction to go. My question is: does the Council of State think that we need genetically modified maize in Norway?
ParlaMint-NO_2014-11-12.ana.ud646e1010	The debate in the last few weeks has been more legal than political, whether we need GMOs or not. It has also created the impression that we have approved GMOs. We don't. We have not approved anyone, we have only told how we have interpreted the genetic engineering law and the EEA agreement. Now I think the most important thing is to create clarity in what has been a false security for too many years. I also realize that many people are confused by what has happened, and that's why we're now working on getting good overviews in place. We have not taken a decision on the policy in what has now been asked about here, but we are currently looking at the issues and also assessing the legal status of each case.
ParlaMint-NO_2014-11-12.ana.ud646e1015	I am glad that someone will decide again on the content of the matter. However, I find that the Council of State in this notice in the Official Journal of Bergen, where this case and the legal situation first arose, went a long way in deciding, by pointing out that genetically modified maize did not involve an «unacceptable risk». That is to say, there is a risk here, but the risk has been assessed as acceptable. For the centre party, it is important in these issues that the precautionary principle weighs very heavily. We need to look at the needs we have for these products in Norway. My question is then: will the Council of State emphasise the precautionary principle in this matter and ensure that we still have a GMO-free Norway?
ParlaMint-NO_2014-11-12.ana.ud646e1024	I understand that there has been a lot of confusion about this matter over the past few weeks. What I meant to say was how we had interpreted the genetic engineering law, and how the EEA agreement is to be understood. I also referred to what the Environment Directorate recommended to the previous government, without the previous government doing anything about the matter. We are now working to get an overview as quickly as possible, to clean this up, and also to communicate that overview to the Food Authority and others, in accordance with the law. We are doing a good job of looking at these matters. So here I think, as I also said to the representative, Solhjell, that we now have a responsibility to clean up what's legal in this, and what's policy. This government has not taken any active position for the use of GMOs. Now we are clearing up this, also because of the debate that has taken place, where representatives of the previous government have not exactly contributed to clearing up the facts about this – so we have some joint responsibility on the matter.
ParlaMint-NO_2014-11-12.ana.ud646e1037	‘The hospital can be closed before Christmas, according to a notice in Varden on 4 November 2014. The Minister of Health and Health has approved the Development Plan for the Hospital Telemark HF, which states that the operations in the medical department at Rjukan will continue until June 2015. In addition, the Minister of Health and Health has requested that a new and up-to-date pre-hospital emergency plan be submitted in good time prior to the resolution of the medical emergency response. Is such a plan approved, and will the Council of State permit the hospital of Rjukan to be laid down before Christmas?’
ParlaMint-NO_2014-11-12.ana.ud646e1044	The Hospital Telemark is converting operations to Rjukan. They state that challenges may arise against the completion of the hospital emergency function and bedlinen on 20 June 2015, as some employees are now applying for new jobs. It is positive if employees get new jobs in their community. The same applies to conversions ensuring new outpatient activity and day-time activity at Rjukan hospital. The disappearance of competence from the hospital may mean that it may be necessary to use the Notodden hospital more gradually by June 2015. However, I have noticed that the rapporteur in Tinn has said that they do not want to drain the hospital for resources until tasks are moved from the hospital, and will take this into account in their recruitment processes. That's good, and I'm assuming that the Hospital Telemark and Tinn municipality will have a cooperation here that ensures an appropriate transfer of competence. I have been informed that from 1 October, the Notodden hospital has been equipped with emergency facilities and beds in order to be able to repair Rjukan hospitals in the event of operational challenges, and the ambulance emergency services in the municipality of Tinn have been strengthened. I am informed that the Hospital Telemark has updated the emergency response and prehospital services plan. The Management Board approved this October 29th, but at the same time asked for the plan to be updated and renewed as necessary. The hospital Telemark will continue to offer a specialist healthcare service at Rjukan. However, I believe it is positive if employees get other jobs, especially if this is in the local health service in Tin and surrounding municipalities. I would like to stress that the Hospital Telemark is responsible for ensuring that the service offer in Rjukan Hospital is safe and sound at all times, and that the hospital takes care to prioritize tasks agreed with the municipality until the municipality can take over. The Hospital Telemark informs that the clinic management, in cooperation with its professionally responsible superior at Rjukan Hospital, evaluates the situation daily and before each weekend, i.e. see if the necessary competence is available on Rjukan so that patients can be accepted on that day – or not, so that patients may have to be sent to the Notodden. If the situation with regard to doctors and nurses does not meet the minimum requirements adopted by the Hospital Telemark, patients will be redirected to the Notodden Hospital. The hospital in Notodden has been rigged from 1 October this year to receive patients from the municipality of Tinn and the neighbouring municipalities of Vinje and Tokke. From the same date, the emergency response has also been increased according to the development plan. At the same time, I assume that the Hospital Telemark does what is possible to maintain the offer until 20 June 2015, so that the conversion takes place in line with the timetables set out in the development plan.
ParlaMint-NO_2014-11-12.ana.ud646e1055	Thanks for the answer. The Minister for Health said in the debate on 17 June: ‘I also hope that this decision will start again and strengthen cooperation between the Hospital Telemark and the Municipality of Tinn [[...]] Now the experience shows that this has not happened. Tinn Municipality has read in the newspapers that the Hospital Telemark provided hospital space for rent. They had to read in the newspapers after what I found out that the hospital could risk being laid down before Christmas. A closure that has been advanced is not just about adding them, but about the people having a decision that they can comply with, that the emergency response will be there by June. Does the Minister of Health agree that this is a very unfortunate process?
ParlaMint-NO_2014-11-12.ana.ud646e1066	I think it's quite obvious that a municipality that cooperates with a hospital should not need to read the paper to follow up on what's going on. But I also believe that representatives of big business involved in this matter should perhaps base the information on a broader basis than on some representatives or on what is in the newspapers. There are regular meetings with the municipality and the hospital Telemark, where one helps keep the municipality up to date on changes. A new meeting has been agreed with the municipality of Tinn and the hospital Telemark on 27 November 2014, and there are also good meetings with the head of the municipality and the head of the clinic. The Hospital Telemark informs both the local and regional authorities about changes that affect patient logistics and patient services, and Health South-East has also taken responsibility for contributing to the dialogue between the municipality and the Hospital Telemark.
ParlaMint-NO_2014-11-12.ana.ud646e1073	Thanks for the answer. 14 days ago I mentioned that the municipality of Tinn had to read in the newspapers or on Doffin that the hospital area was rented out. At least then the government council Anundsen said he was sorry for what had happened – that it was a mistake, and that was not supposed to happen. I thought that was good. I had expected a little more humility from the Minister of Health, too, because if you talk to people – including those in the municipality – they say that what has happened here is not good. If it is stated that the municipality was informed in good time that the hospital was to be laid down before Christmas, why does the councilman go out in the newspapers and call it a breach of promises? So I want to ask the Minister of Health: can Tinn municipality from now on expect the rest of what is in the development plan, among other things. if decentralised services will be followed up?
ParlaMint-NO_2014-11-12.ana.ud646e1084	If it was the incident related to equipment and the premises – which the representative has addressed in a previous question – that was the background to the previous question, you have received an answer to the previous question. It is clear that the way it was handled was not acceptable. There was also the Minister of Justice – on my behalf – in Stortinget. I understand that this has been cleared up, that a person now has a good dialogue, that there is going to be a new meeting on 27 November, that the management of Health South-East is also contributing to the good dialogue between the Hospital Telemark and the Municipality of Tinn, and that one also explores the possibility of having activities in the premises of Rjukan hospitals that become vacant – whether they are extended municipal activities, or for example. are private actors entering there with activities. We're positive about this, and it also contributes to Health South-East.
ParlaMint-NO_2014-11-12.ana.ud646e1095	At least we don't have needy problems in the main hall today. The question is: ‘Today, pigs are routinely castrated in the pig industry, despite the animal welfare law’s ban on amputation. I mean, budget-inner. S. No 8 asked the Government to ‘come back to the Storting as soon as possible with an assessment of whether the ban on pig castration should be imposed when an authorised vaccine is available which could prevent the development of the odour of pigs’. [[2007-2008]] Now the vaccine Improvac is approved by the Swedish Medical Products Agency and the experience is good. Are state councils now assessing the prohibition of surgical castration?’
ParlaMint-NO_2014-11-12.ana.ud646e1104	I would like to point out that, after the budgetary position from which the representative refers, a new law on animal welfare has been adopted. In Ot.prp. No 15 for 2008-2009, About the Animal Welfare Act, the issue of pig castration was discussed. The Ministry stated in the proposal that it was an objective to avoid routine surgical castration of piglets. However, castration was considered necessary until satisfactory alternatives were available to limit the smell and taste of the robbery. The Economic and Social Committee did not comment on the assessments made by the Ministry in examining this proposition. I am not aware that any country has imposed a ban on surgical castration of pigs. In this context, I would also like to point out that Norway, probably as the only country in the world, has a requirement for the use of both necessary pain relief and stunning during castration and a requirement for the intervention to be carried out by a veterinarian. These requirements are made to ensure animal welfare. State Medicines Agency authorised in August 2009 the medicinal product Improvac. This means that the natural production of sex hormones, and thus also the development of the smell of robbery, is hampered. The authorisation of the medicinal product means that it meets safety and quality requirements. Today, in many countries, including Norway, most male pigs are castrated surgically to avoid the smell of the meat. In some countries castration of pigs is less common, either because the pigs are slaughtered before they mature or because consumers have greater acceptance of the smell of sex. Improvac is currently being used to a very limited extent, both in Norway and in other European countries. Testing of the anti-harvesting medicinal product in this country has shown that there are still challenges related to routine use. In order to ensure good effectiveness, good practices, good cooperation with veterinarians and a good overview of animals and pools are assumed. There are currently insufficient control methods to identify animals that have not been treated according to the recommendations. As a result, the meat industry continues to face a challenge in ensuring that meat with a odor of robbery does not enter the market. According to the meat industry, the medicinal product Improvac is used for castration of only approx. 0.65 pst. of the slaughter piglets in Norway. I have met with the meat industry on 10 November to challenge the industry to test out this medicinal product to a greater extent in order to gain a wider knowledge of the benefits and disadvantages of this form of castration. In meeting with the meat industry, we also agreed to set up a working group with participants from the department and industry to develop a plan to reduce the extent of surgical castration. The Group shall submit its proposals by 1 February 2015. I would also like to strengthen research efforts, both related to the use of the Improvac medicinal product and to see if other measures, such as breeding, can help to eliminate the need for surgical castration. The goal, as stated in the Proposition on the Animal Welfare Act, must be that we can phase out routine surgical castration.
ParlaMint-NO_2014-11-12.ana.ud646e1130	Surgical castration — or physical castration — of 800,000 piglets every year is an animal welfare problem, and it is entirely contrary to the spirit and letter of the Animal Welfare Act. Anyone who has heard a piglets being castrated has heard the essence of the sound of screaming like a stung pig and will be absolutely convinced that anesthetic etc. is not enough to prevent a very painful and traumatic experience for a piglets. And so this is not necessary. In a number of other contexts, the Council of State has shown considerable scope for action in order to implement what is a political priority for her and the government. I therefore look with some amazement at the eagerness in this case to put down a sample that might perhaps solve a problem that has already been solved. So I encourage the Council of State once again to answer: if you want to do something more than drop a sample that you hope will come to a pleasant conclusion, and for example. use political effort immediately?
ParlaMint-NO_2014-11-12.ana.ud646e1137	I am concerned to phase this into a proper way and know that we will get the best results. In this case, there are several motives. One has first of all a pharmaceutical company called Orion Pharma, which will make quite a lot of money out of banning surgical castration. One also has producers who depend on the market, who depend on the quality of the meat sold, so that we consumers continue to eat it. We have consumers, who are dependent on getting good goods, and we have the requirement of animal welfare, where we already have the strictest rules for the surgical castration of piglets. As I said in my post, I'm concerned that we're going to get there that we're going to end the surgical castration of piglets, but we have to take this step by step and make sure that what we're doing is for the best for all parties interested in the matter.
ParlaMint-NO_2014-11-12.ana.ud646e1142	Then I find that in the case of animal welfare for piglets, the actioniveness of the government and the Council of State is significantly behind the actioniveness of building up food soils, and other significant issues. I hope, at least, that the government will take this along and assess whether faster and more effective measures will not be put in place to improve animal welfare for 800,000 piglets when it is in fact in line with the government’s own wish and – as far as I know – the policy of the State Council’s own party.
ParlaMint-NO_2014-11-12.ana.ud646e1147	I have the same goal as the representative Rasmus Hansson, but I think we have to do this in a responsible way. Everything we do is to build on the fact that we're going to do it in a responsible way, and here I think there's a need for more research, there needs to be a greater degree of experimentation. Once we've just tried this on 0.65 pst. Of the pigs, it's a pretty small number. That's why I have taken the initiative to get the number up and do research and work to get to where we agree that we should, that we can phase out surgical castration of pigs.
ParlaMint-NO_2014-11-12.ana.ud646e1156	‘The government proposes to cut 22.7 million. crowns in the appropriations for 2015 public schools, as they say, are to be taken from the short-term activities. Last week, the Minister of Knowledge, in the magazine of Rome, asserted that this is a cut in the «support for the short-term courses of the rich». Can the Council of State elaborate on what he means by this, and does he really believe that it is the rich who use the offer of public high schools?’
ParlaMint-NO_2014-11-12.ana.ud646e1163	The government has great respect for the work done at the national higher education institutions. It is a school team that has a 150-year tradition in Norway and is an important complement to the regular education system. Universities have, among other things: – yes, not exactly delivered a wife to me, but at least contributed to making my wife who she is. It was a fine contribution, too, private. Universities are unbounded by the curriculum, and they're unqualified. On the long-term courses, which are at the heart of the activities of higher education institutions, students live at boarding school. It is often the first year of students outside the childhood home and becomes too many a year of maturity. It is the long-term courses that are the main activities of the higher education institutions, and in the draft budget we propose to continue the allocation for that purpose through a total of around 750 million. kr to higher education institutions. Short courses are different and the government proposes to reduce the allocation of this type of course. This proposal is justified on a professional basis. In this context, I point out that the credit card courses are not part of the historical mission of the national colleges. Short courses are also a small part of the total activity of higher education institutions — in 2013 students on short courses accounted for 7.4 pst. of the seniors. A number of short-term courses have leisure topics, and the main emphasis of those participating in short-term courses is within the 40-70 age group. This is a continuous resource-intensive group, which should be able to pay a slightly higher proportion of its own than today. The representative, Flakne, refers to my comment that the government is proposing to cut the allocation to the «short-term courses for the rich». I have also seen that some national colleges believe that the government's proposed reduction will lead to the national colleges becoming 'only for the rich'. I guess that's the corresponding upresis language usage. That we're spending 750 million. in the higher education institutions, as well as providing support for the stay there of the students, should ensure that the higher education institutions are an opportunity for the many, not just for the few. My opinion is aimed precisely at the fact that the main weight of those affected by the cut proposal is good adults who should be able to pay something more to participate in the short course. I again stress that the government will ensure a wide range of higher education courses, and that no reduction is proposed in the allocation of what is the core task of the school team, namely the long-term courses.
ParlaMint-NO_2014-11-12.ana.ud646e1176	I thank the Minister of Knowledge for the answer. If the cut proposed by the government is implemented that way, it does not only hit the most expensive groups in society; no, the cut hits all the short-term students the same amount. Let me explain with some examples. The grant for the summer course for mentally retarded workers at Hurdal Works is halved. Other short courses that are included are céliaki courses for young people and their families, course on the prevention of sexual abuse, course on eating disorders, writing courses and many, many more courses — yes, up to several hundred. I didn't feel that the Council of State gave me some answer to the previous question, so then I ask this question again: is it these groups of state councils think they're rich?
ParlaMint-NO_2014-11-12.ana.ud646e1187	I answered the representative's questions by pointing out that the short courses mainly have users aged between 40 and 70. In a country like Norway, where most people have relatively good advice — and most of those who have relatively good advice are in this group — I believe it is just right. If you look in the budget section, the government specifies that it wants to screen some of the offers for, for example. mentally retarded, so as to be protected. But it's not that you have to stop short courses even if the state support to them is reduced. That just means that the proportion gets a little bit higher. This is primarily a source of income for higher education institutions — they will continue to have — but our task when we give priority must be to support the core of the activities of higher education institutions, and that is the long-term courses. That's what the national colleges are known for and will continue to be known for the next 150 years as well.
