ParlaMint-NO_2014-04-09.ana.ud2193e26	The representative of Pál Farstad will present a proposal for a representative.
ParlaMint-NO_2014-04-09.ana.ud2193e855	First of all, I would like to say that I have answered questions about exactly these two ports in the past, both in the storeroom and in written questions. With regard to the port strategy, we believe it is important to stimulate increased transport of goods by sea. This applies both to the fishery product and to much of the other goods in containers or in bulk. Then we think it is important that one looks at the port structure as a whole, and that one does not say that some ports should only be seen as fishing ports, while others should be transport ports. We think it is possible to increase the transport capacity in some places that are now considered only as fishing, while elsewhere it would be natural that fishing is the main activity. But once we've said that we want a round of this, it's natural that we see the whole thing in it. Many governments have said for a long time that a person wants to get more goods on the cold and much more goods on the rail because he wants to reduce traffic on the roads, both for wear and tear and for road safety reasons. One has reached its targets to a small extent. So you've seen that the share of goods at sea is kind of constant. On the railroad it goes down. This means that the tools you have used so far have not worked well enough. Then we think it's natural that we spend some time creating a proper picture of what the situation is like before we go on. For this reason, we have said that for some of those ports, we are holding back the money, simply because we have to know that we are investing properly before we trigger the investment. In this context, we want what we call listening meetings or recording meetings with the industry. Already this week, we're gonna have to have it. Yesterday I was at the KS Company's large port collection on Fornebu. We're talking to the fishing industry, and we're talking to a lot of different actors to get the best possible picture of this. We must also look at the responsibilities of the municipalities. Should we allow the municipalities to participate more actively in the fisheries port policy or not? Should they be more active on the ownership side? How do we better deal with private actors so that when we call out investments, we also have a fishing industry that wants to commit itself to staying in an area, and that doesn't, as we sometimes get the impression, shop around and like that society has invested in infrastructure, doesn't have that much value anyway. Let me also make it clear that this is not part of the way we are going to restructure the fisheries policy. When we look at the ports, it must follow the developments of the fisheries, not the other way around. It is not the infrastructure through the port to define how the fisheries policy should be in the future. That is why it is also important that we coordinate this with the strategy put forward by the Minister for Fisheries. I am very sure that we will both get a better transport solution overall and take care of our fishing industry in a very good way through the investments we are making, both in transport ports and in fishing ports.
ParlaMint-NO_2014-04-09.ana.ud2193e872	Thank you very much for your answer. It's true that it's been specifically asked about these two ports at several times, but I think the Council of State answered in more detail now, especially lately, that fishing has a value in itself. And we would just like to stress that this isn't about building for gorges, it's more in-depth boats and boats of larger length, and they need more space within the Kaifront itself. This is very important. That is why I ask the question again, because I am looking to get a hold of it. What time can we get a clear signal to start finishing Napp and Sommarøy?
ParlaMint-NO_2014-04-09.ana.ud2193e879	I'm sorry I didn't mention it – during 2014, that's our goal. That is why we are working hard on this. So we've started all the rounds we've had in the industry and the transport industry as well as in the more clean fishing industry, in order to make good sense and to make the choices as to whether it makes sense to have two different types of ports, or whether it makes sense to connect them more easily. We see that in some major agglomerations around the world fishing ports and industrial ports have become more and more intertwined, because one is talking about ships – fishing boats – which have become much larger. But at the same time, there are also many areas of the country where freight in and out to the local population is not very large, where the places of destination are too small, but where the fishing activity is very large and requires you to have good ports. So we're adding up to trying to finish this work in 2014. It's important that we make good progress on it, because it's important to have it done where you're going to invest.
ParlaMint-NO_2014-04-09.ana.ud2193e888	This seemed to me pretty good, because in the financial debate, the Council of State reiterated this question that one had to fit so that one did not raise money out of the window. That's a correct expression. And you don't have to raise money at sea either. But now I understand that here's a concrete thing going on and I'm going to start with this. I thought that was very good. So a little back to the short sea shipping strategy itself and the big effort to get more goods across by sea. There I have understood that the government will follow up on NTP, which made a big effort in this, by one, among other things. would use 3 billion. on measures to stimulate the use of seas and port cooperation, etc. But until now, there's a lot of work going on. My question is, how will the Council of State now proceed to follow up the NTP within this field?
ParlaMint-NO_2014-04-09.ana.ud2193e895	This was a theme that I had great pleasure and interest in discussing with many different port actors at the KS Company's port collection yesterday. We want to strengthen NTP beyond what has been adopted. In this, maritime transport has an important part, and that is why we have also moved port responsibility into the Ministry of Transport – to get a more comprehensive approach to it. Getting more goods across the sea means something about wear on roads, which means something about the need for capacity on the roads. And all that's important. With regard to the use of the instrument here, we note that there were planned aid schemes for the restructuring of ports to both owners of goods and shipping companies. We are now discussing this with the industry to see if they agree that it is still the best use of the drug – which may need to be reinforced, and which can be deflected to have the best possible effect. So it's not to go away from the purposes of the NTP, but simply to make sure that the instruments are set up to get the best possible result.
ParlaMint-NO_2014-04-09.ana.ud2193e908	«The inhabitants of Tromsø have waited a long time for a new and safer E8. The previous government decided to use a government plan to start construction according to the existing plans. This was transformed by the Minister of Transport. There is now uncertainty about the planning process, possible start-up time and funding. What will the government do to ensure that the important route to Tromsø is built as quickly as possible and not further delayed, and how long does the Council of State consider it acceptable to use before the construction of a new E8 to Tromsø?’
ParlaMint-NO_2014-04-09.ana.ud2193e915	I believe that repairing the E8 to Tromsø is very important. It is the main entryway of the city, and both the Right Party and the Advance Party locally have fought for a long time to get it in place quickly. Unfortunately, the E8 has become more a generational perspective – not with regard to its utility, but with the planning horizon – and I find that very regrettable. It also shows that we do not necessarily plan and project the road in the right way in Norway. It often takes ten years to plan a new path. It's too long. The steps taken by the government, on the other hand, are not to postpone the project. Let me remind you that in the national transport plan from the previous government, there were funds for the E8 at the earliest in 2018. I see that the media locally say that with the progress we can now get, a few start-ups can be made in 2017. So that means that in that case, someone is accelerating the project and not postponing it. We aim to get it in place as soon as possible. But yes, it takes time to plan ahead – we haven't reformed the system so far that you can jump over it. I think it makes sense that we know the basics and all of this before you get started. But the municipality of Tromsø, by the bourgeois majority, has already started work on the municipal plan. I think some decisions have been made over the past few weeks as well. Then there are some objections that need to be addressed. It's important that it is done in a proper way. I know that the municipality of Tromsø there has already entered into dialogue with those who have promoted the objections. They've also asked the County to get involved in the summer, if there's no agreement, to get a mediation. All of this is to get good progress and make decisions, so that you can put the spade in the ground. The decision that the previous government made quite right before it went off – so this is not a government plan that has been lying and paying off for many, many years, it is a decision that took place before the government change – is therefore not a postponement. But what's important about it is that one makes a decision where local politicians are heard more. Government plan is important if many municipalities do not agree on trasé choices, where some municipalities train, and others do not. But when you see that this is a project that affects one municipality, and where a majority has a very different view than a minority – and that was the minority that then put in government nationally and trumped through the state level – we think it's natural that we allow the municipalities to rule again. As long as they have good progress, I have full confidence that this will happen in a good way. So this is both local democracy in practice, and it's actually an acceleration of the project. I think we also end up with a much better project than it was just a few months ago.
ParlaMint-NO_2014-04-09.ana.ud2193e932	The Minister of Transport says he wants to get the road in place quickly and ensure good progress. That is positive, and everyone fully agrees. So this is the most important route in North Norway to the largest city in North Norway. It has to be safer. But when the Council of State says "rapidly in place", and when he also has a reading in the North Light with the title Faster planning, faster expansion, I think it is quite easy to say that the content is not in the style of rhetoric. The rhetoric is not in line with politics. The situation for this road was that there was a plan that was ready to be implemented – the spade was actually ready to be put in the ground. But what the Minister of Transport and the government has done is scrap the state plan, of which they are really to spend more – just not this way. So there's going to be a postponement on the road, it'll take longer to get it done. I do not understand how the Council of State then believes that the E8 should be put in place quickly by postponing the launch for a further number of years. It's unfortunate.
ParlaMint-NO_2014-04-09.ana.ud2193e941	I have already responded to this in the previous article. The previous government offered to donate money in 2018 at the earliest. It's four years from now. If this spade was already purchased, it is a little strange that the previous government did not care that they would grant money to use it – and even the government had been sitting there for eight years, without using a spade that was there. That means they've had influence for 12 years without wanting to put the spade in the ground. So in four months we've been going into the matter, making the necessary decisions, giving power back to local democracy, so that they're more of a driving force to realize this, unlike the way we experienced it when the government overrun them. That is why this is not a delay, it is an acceleration in that case. I am very confident that the Right Party, the Left Party in the city will keep pace with this. They've got the solution they want. They want the way – they want to find solutions. They have the government with them, rather than as an obvious opponent, as we saw in the previous period. Then this is about that we have to resolve the objections. That is why one has asked for the County to be involved. They've done everything that far. I'm looking forward to the continuation.
ParlaMint-NO_2014-04-09.ana.ud2193e950	What's special now is first of all the Minister of Transport's attempt to rewrite history. Government plan was a tool to get work started. The plans were complete, and the money would come. These were clear statements from the previous government, and you didn't have to wait until 2018 to get the shovel in the ground. It's clear. The option that is ready and ready to be built is what the government is now throwing overboard, so it will figure out the ninth option for new E8 in Ramfjord. On the 14th of March, when the Minister of Transport came to Tromsø to tell me news about the E8, he could not promise that the road was toll-free, could not alert faster start-up and could not realize a trajectory as quickly as the line that had already been planned. What he said was that the government would stop the use of the state plan. Then there is no link between the rhetoric about enforcement and policy which means postponement for this important road. That is why I want to ask the Minister for Transport what his definition of implementing power is, because that is not what the government has shown in this matter, it is delaying.
ParlaMint-NO_2014-04-09.ana.ud2193e961	I'm just repeating this, because it's obviously a little bit of Helga Pedersen's swordsmanship you use here. In the NTP, red-green had planned money at the earliest in 2018. In the 2014 budget, there was not one penny for this project. In addition, road appropriations in the budget signalled that one was not achieving the targets one had entered into the NTP for the four-year period. Then I have little faith that the red-green suddenly would conjure up money for Tromsø. I know that this is the picture an attempt to describe, but all the facts and all the documents after the previous government indicate that it would not have happened. In terms of implementation, I can mention that the E18 in Westfold was accelerated. The red-green wouldn't do that, we did it so it's ready for the summer break. We accelerated the design of the E16 Vang-Bjørgo so that there was one project instead of two. We make sure that E6 can be realized faster through Åkersvika in Hedmark, because one avoids many years in the bureaucracy that the red-greens provided. We make sure that the E6 in Helgeland gets rid of a toll station and reduces the debt by two. There are a lot of projects where we've made decisions, and where the red-greens haven't done it – the last time the freight terminal in Trondheim, which one has spent 30 years. The red-greens didn't plan anything for the next big period. The decision has already been taken by today's government.
ParlaMint-NO_2014-04-09.ana.ud2193e974	This question, from Bård Vegar Solhjell to the Minister for Transport, will be raised by the representative Heikki Eidsvoll Holmås.
ParlaMint-NO_2014-04-09.ana.ud2193e977	«The road system of the Member States implements the KVU for possible new Oslofjord link. Now you look at four concepts. These conflict to a different extent with outdoors and the natural environment, for example. in Jeleiah, and in the west. In written reply to me on 24 February, and in Moss Avis on 17 March, the Council of State is open to put the line in such an area. These areas are very important, and such a trajectory may also create conflict and prolong the process. How will the Council of State protect nature and outdoor life and limit conflict in this matter?’.»
ParlaMint-NO_2014-04-09.ana.ud2193e984	In this case, there have been two approaches to answers. One is that we want to focus on the environment, outdoor life, local conditions and local environment in a very good way in these trasé choices, as we do in all trasé choices. It is important that we listen to what the local population wants – what the local authorities want – when making decisions. What this matter is really about is that the previous government ordered a draft selection inquiry on fjord crossing. I would think that parties who have been in government understand that when you order a draft selection investigation, you ask the trade unions to explore a variety of alternatives. Asking a new government council to go in and reorder one's own government itself is a little special. The red-green government asked that this be one of the things to be investigated, and now they are suddenly strongly opposed to it when they have come into opposition. It will be to short-term professional work if we are to enter and political rule what is to be investigated or not – it is given in the mandate sent out by the previous Minister for Transport. That does not mean that I agree with all the assessments contained in that mandate. That doesn't mean I agree with all the lines. For me today to go something special out against that trail because I personally don't like it, would be pointless. But I have a very clear view of what I think is important to emphasize. The government will discuss this, and it is also important to get a signal from Stortinget. For a party that has been in attendance and ordered this investigation, in opposition, suddenly to go against parts of the investigation they have ordered, I really think it is a bit alarming. Unfortunately, it's more about political games than actually being concerned about the issue.
ParlaMint-NO_2014-04-09.ana.ud2193e993	I thank you for the answer, and I think the first part of the answer was a lot more sympathetic than the second part. Therefore, I would like to say that I am pleased that the Council of State says he will focus on nature and outdoors and listen carefully to the decisions and processes that go locally. I could imagine asking the Council of State if he also admits – or sees – that where you have a good process with local environments, outdoor interests and natural interests, you often get a shorter process than if you choose to outrun the local authorities. Therefore, I just want him to confirm that in the processes that are now going to go, he is going to listen to the local interests regarding nature and the environment. I would also like to ask the question whether such a round of natural and environmental interests can be crucial if one is to choose not to go there.
ParlaMint-NO_2014-04-09.ana.ud2193e1002	Yes, of course we will listen to local interests, but on all the fjord crossing options investigated, people have reactions for bridge or tunnel connections where they are planned to land, and people have reactions to the same thing – a little depending on what they care about. Here it is important that we listen to both sides, and that we listen to what the majority of the related local governments consider. There is also an assessment of the value of paving the way in the various places in terms of living and working areas and their costs. I believe it would be unfortunate if I went in early and said that this and that option should be stopped. Then you start taking political action in professional processes. I want all professional vision. I think you should quickly peel away some things, just as when you decided to build the intercity triangle under the previous government. They had also identified a bus alternative as one of the concepts, but it was quick to choose away.
ParlaMint-NO_2014-04-09.ana.ud2193e1009	I thank you again for the answer. It is good that the processes that are going to go have a clear objective of drawing on local considerations. It's right, as the Council of State says, that different trajectory choices affect different areas. That's the way it's going to be. If I can, I'd like to ask two follow-up questions. One thing is if the Minister of Transport is now convinced that we need a new fjord crossing – almost costing what it will – in such a sentence? Is he convinced that by today's date? The second question concerns the objective of the climate agreement of ensuring that the path is sufficiently well established. How will he view an alternative to fjord crossings that do not also have railway links?
ParlaMint-NO_2014-04-09.ana.ud2193e1018	As a careful scarf, I'm never positive to anything "cost what it costs". There should always be a balance between what you spend time doing and what you get back. At the same time, I believe that most people will quickly see that the party and the government I represent are many more positive in building a road in Norway than the representative's party is. It will also affect the way we view the utility. I think it's important that we look at the infrastructure in the Oslo region as more than just building a motorway through Oslo. It is important to see how it can relieve Oslo Centre – Sandvika also for that matter – by getting bypasses. Looking at an Oslofjord connection that makes sure that several of those who are not going to Oslo choose to drive around are important. Similarly, in the long term, we should see how to get more of those going northwards to drive north of Oslo instead of through the Oslo Centre. I believe that is important for the environment in this city. I also think it is important from an environmental and climate perspective that cars have a steady speed, that they do not stop up in a region.
ParlaMint-NO_2014-04-09.ana.ud2193e1036	This question has been postponed to the next Question Time.
ParlaMint-NO_2014-04-09.ana.ud2193e1043	This question, from Ingrid Heggø to the Minister of Industry, will be raised by the representative of Ingvild Kjerkol.
ParlaMint-NO_2014-04-09.ana.ud2193e1046	‘The Ministry of Economic Affairs and Fisheries has warned that they will not, however, contribute to the reorganization of travel life, as the Stoltenberg Government provided. A letter from the Ministry on 10 March 2014 states that the industry itself must promote the process of establishing a new structure for travel destinations. The actors are shown to search the public tools through county municipalities and municipalities for funding, but there it is also cut in the budget. The reorganization process is now stopping. How can the Council of State defend this?’
ParlaMint-NO_2014-04-09.ana.ud2193e1053	The previous government presented its travel strategy Destination Norway in April 2012. The framework for restructuring travel destination companies in Norway was provided in this strategy. As I also answered in a question in the Question Time on 2 April, it appeared that the then Ministry of Economic Affairs and Trade was going to run a process aimed at establishing a new structure for the travel destination companies. It is clear from the Sundvolden Declaration that the current government also wants to ensure more targeted market work by pooling resources in larger travel destination companies. But our government has a different approach to how such concentration should be made. It should not be forced through the ministry; we believe it is the industry itself who must want to drive forward the process of establishing a new structure. It must also be borne in mind that the owners of the new companies take responsibility for the operation of their own business. This also includes financing it. The role of the Ministry vis-à-vis the travel destination companies is to facilitate and stimulate the establishment of a new structure. The Ministry maintains the incentive scheme. Support is provided for the implementation of reorganisation processes. During the previous government, it seemed that someone had come back with the impression that public basic funding could be expected from the travel destination companies. This was neither a basis nor a basis for this. However, I believe that all current private and public actors will still be able to contribute, including county councils and municipalities, if they themselves find the basis for this. That's exactly how it is today. I also communicated this at a meeting with the National Structural Committee when I met them on 24 February this year. At the meeting, I made it clear that the work of pooling resources in larger travel destinations continues with these adjusted frameworks. So it's not like the process of reorganization has stopped. It's moving on. But now the framework is clear. It's also my impression that travel businesses are continuing the process of a great commitment. The Ministry of Economic Affairs and Fisheries continues its support for the implementation of the changes, including financially. It's set at 30 million. kr for the purpose – 15 mill. kroner last year and SEK 15 million. kr in year.
ParlaMint-NO_2014-04-09.ana.ud2193e1068	I am pleased that the Council of State so clearly corrects what could be suitable for misunderstanding, among other things. in a debate in News of the Day 18 yesterday afternoon, where it was said that this money was not in the budget. It is good that the Council of State has spent the night and night making sense. It is also such that there has been a great deal of agreement on the goal of such an incentive scheme that I now perceive that the Council of State determines that you are continuing to work with it. Here the government parties have also agreed and said that this is an important bet, and in one of the first interviews I heard with the government council after she joined, she said that she was prepared to continue almost 90 pst. by the bets of its predecessor. So my question to the Council of State is: are you still on the travel strategy that has been worked out by the actors themselves, in liaison with the Department, and do you want to meet the measures outlined in that strategy?
ParlaMint-NO_2014-04-09.ana.ud2193e1077	So the interview referred to here was about the questions about the work on trade agreements. In that context, I replied that we were almost 90 pst. agree with the previous government. As far as restructuring is concerned, we support it. We support the work, but it has been understood that it is the Ministry that has drawn the map, that it is the Ministry's model to be implemented, and that those that are not included fall outside. We don't want to have it like that. We want a good dialogue with the industry. The industry itself must want to work out the best solutions. I think it has to be remembered that with regard to the travel destination structure, it is very different in Norway, from very small companies to large ones, and Norway is also quite different. We continue to work on this, and I did not say anything else in the New Year 18 yesterday. What was claimed there was that the basic funding, which some could have promised from the previous government, was in the budget. That money doesn't exist. Funds are available for structural projects. They've been continued by this government, in addition to the 245 million. The Ministry uses through Innovation Norway.
ParlaMint-NO_2014-04-09.ana.ud2193e1086	I don't think the Council of State and I agree exactly who pointed to which sums in yesterday's interview. We're not going to spend time on that either. What's my experience from experience in the districts is that the actors are working well on this. One wants the Ministry to be clear about following the strategy and that the processes are well under way. My question is: is the change in policy described by the Council of State related to focusing on tax incentives, or will the more active measures be followed through Innovation Norway and the other institutions for which the Council of State of its Department is responsible, in order to follow up all the points defined by this strategy on travel life?
ParlaMint-NO_2014-04-09.ana.ud2193e1093	The difference between the previous government and this in terms of the instrumentation is that we want a review of that device. We want the arrangements to work and hit. We are not sure of that at all. This also applies to the travel destination industry. That means we're going to review all the arrangements now, and then we're going to come back and tell us what arrangements we want to use, and how we're going to do it. So the structural work goes on, we're facilitating, we're helping with the restructuring that's going on, but we also recognise that different parts of the country can do things in different ways.
ParlaMint-NO_2014-04-09.ana.ud2193e1105	‘Telenor has notified that, as part of the restructuring process, they will dismantle their departments in Finnsnes and Bodø. This applies to approx. 50 jobs in Finnsnes and approx. 35 in Bodø. The positions shall not be removed; they shall be outsourced to an external supplier and most likely delivered from countries in Asia. The employees affected call it social dumping. Is the Council of State concerned about the loss of these jobs, and how will the Council of State work to ensure that Telenor still has employees throughout the country?’
ParlaMint-NO_2014-04-09.ana.ud2193e1112	Like all other companies, Telenor must constantly adapt its activities to ensure that the company is competitive. Work on adapting the level of costs in Norway has been ongoing for many years. In the past, too, this has involved downskilling processes, and for the company this is a necessary measure to maintain competitiveness. Decisions concerning the organisation of the business, including staffing, are business decisions of the board of directors and the administration of a company. This also applies to Telenor. The management and management of the company shall perform the duties and responsibilities assigned to them by the applicable law and which also result from agreed principles of sound ownership. Therefore, I as owner should not go into individual decisions like this. But I expect every company in which the state owns is responsible for carrying out this kind of conversion process. In particular, this means that the dialogue with employees is conducted in the right way. In some contexts, it may also be natural for dialogue to be conducted with the communities concerned, and in some cases it also follows as a legal obligation. I also assume that the company normally follows up those affected, so that the employees' rights are protected in a good way. This government is committed to establishing framework conditions that help to maintain and create new jobs across the country. Good adaptability has been crucial for the development of Norwegian industry. Competence, R & D and stimulation of innovation are therefore key elements of business policy. In the State budget for 2014, we proposed several measures for a more forward-looking industrial policy. We have strengthened, among other things: research in industry, improved the TaxFUNN and BIA scheme and extended cluster programmes with a new programme, the Global Centres of Expertise. I am concerned that we are working closely with the business community to create good framework conditions and instruments that stimulate increased value creation, innovation and good adaptability in the Norwegian economy.
ParlaMint-NO_2014-04-09.ana.ud2193e1125	I'll be grateful to the Council of State for the answer. There are many aspects and considerations that I can share. But if we start from that situation in Bodø, there is a place between 40 and 50 Competence Jobs at Telenor Global Shared Services that is at risk of being moved from North Norway – most likely to Asia, possibly to Fornebu. Centralisation of Telenor’s current-scale activity challenges both Telenor’s market position and credibility as a large Norwegian public-owned company. This has also led to reactions, among others. from the county of Nordland, which has demanded that the company also have to look at opportunities to further develop its environment of competence, because it has been used as an argument that there is insufficient competence in Bodø. At the University of Bodø there is one of the major economic education environments in the country, and is it that the Council of State does not share the view that it is important that large Norwegian companies also try to develop competence elsewhere than at Fornebu?
ParlaMint-NO_2014-04-09.ana.ud2193e1134	I absolutely share that belief that it is right, but at the same time it is at the bottom of our ownership that we do not go into individual decisions that companies make. Since 1963 the Norwegian State has not been in the company’s administration. We have pointed out board members that we expect to manage our ownership in a professional and good way. This means that individual decisions in e.g.: Telenor is not something I comment on or go in and believe anything about. But in general, we have to keep being competitive and constantly improving, because we know that the ones we compete with, on a general basis are not only cheaper than us, but also getting better. It is a great responsibility, and therefore our commitment to research, education and school is so enormously important.
ParlaMint-NO_2014-04-09.ana.ud2193e1141	It could have been tempting to challenge the Council of State whether the accounting functions in Bodø are also of strategic interest to the company to have in the country and not to flag out to Asia. But I want to challenge the Council of State on something else, and it's about that centralization: a few years ago, Telenor put down several departments in the districts, among others. in Bardu, Troms. Those who were eloquent there were offered a job in the department at Finnsnes. Now the department of Finnsnes is to be closed, and some of the employees are offered to work in Harstad. It would be natural to assume in 2014 that a company in the telecommunications industry would be able to offer decentralised jobs. Is the Council of State comfortable with the centralisation that is taking place? And can we expect the Council of State to accept that Telenor's objective is to move as much of the workplace as possible to Fornebu in the municipality of Bærum?
ParlaMint-NO_2014-04-09.ana.ud2193e1150	The inquirer invites me all the time to go into business decisions that the company has made. I'm not going to do that. Neither did the previous government. I can mention a number of companies that have been conducting restructuring in the last eight years: DNB, Mesta – and almost all of the state companies. We don't go into individual decisions. We point out board members to make the best decisions for the company.
ParlaMint-NO_2014-04-09.ana.ud2193e1164	This question has been withdrawn.
ParlaMint-NO_2014-04-09.ana.ud2193e1171	‘The Health Director pointed out in a letter to the Ministry of Health and Welfare that there are no clear rules on foetal reduction in abortion laws or regulations. However, the Health Director argues that abortion is a debt for foetal reduction based on an opinion from the Ministry of Justice in 2001. The Medical Council and the Health Directorate point out at the same time that selective abortion raises several difficult ethical and medical issues to which Stortinget does not take a position. Will the Council of State ensure a wide review of the law on foetal reduction?’
ParlaMint-NO_2014-04-09.ana.ud2193e1178	The Ministry of Health decided in 2001 that the abortion law would allow for foetal reduction if one of the foetuses had a serious disease or injury. The question of how the abortion law is to be understood at this point was submitted to the Ministry of Justice. The law department then found that it is not reasonable to understand the law so that the woman must choose to interrupt the entire pregnancy so that a healthy foetus is also aborted, where the conditions for abortion are fulfilled for one of the foetuses. The legal position of the foetus and mother must be the same in multiple pregnancy as in pregnancy where there is only one foetus. In 2009, the Health Directorate was asked whether abortion law also opens the way for foetal reduction of healthy foetuses. There may be a desire to reduce the number of foetuses in order to reduce the risk of mortality in the remaining foetuses, or there may be a desire to reduce the number of foetuses for social reasons. If the law allows for foetal reduction of healthy foetuses, there will also be a question of whether the woman is entitled to self-determination if the reduction of the foetus can be carried out before the end of the 12th week of pregnancy. The government has inherited this matter from our predecessors. The previous government had this question to deal with for almost three years without it being able to make a decision. The question of interpretation is important because of the ethical challenges of this type of intervention. I am therefore surprised that the previous government did not clarify this during these years. Following a mission from the Ministry of Health, the Directorate of Health has obtained assessments from the professional community on the medical conditions of such interventions. The risk of spontaneous abortion of the remaining foetus due to the intervention is approximately. 15 pst. Both morbidity and mortality among the children born are significantly reduced by a reduction in the number of foetuses from three or more to two. However, no significant medical benefit has been demonstrated by reducing from twin to single pregnancy. The Health Directorate states that foetal reduction is very limited in Norway. Most such interventions are due to serious illness or harm to one foetus. I would like to ask the Law Department to assess whether the abortion law has to be interpreted in such a way that it also allows for foetal reduction of healthy foetuses. When the assessment is available, I will decide on the follow-up. I see that the matter raises ethical questions that there may be good reason why the Storting should be given the opportunity to discuss.
ParlaMint-NO_2014-04-09.ana.ud2193e1193	I would like to thank you for your answer. The Council of State itself has said that this is a demanding question because of the ethical challenges of such interventions. I found it positive that the new government had taken hold of this and sent a letter to the Health Directorate. What makes me ask is that I see that the question of the Health Directorate is purely medical — what is the risk of spontaneous abortion, what is the risk to mother, what is the risk of multiple pregnancy like that — but the ethical aspects of this, such as the risk of multiple pregnancy, have not been addressed.: If a select one, can it open for selection by gender? What about delays for both children and mother, etc.? Will the Council of State take a stronger step to clarify the ethical consequences of such interventions?
ParlaMint-NO_2014-04-09.ana.ud2193e1202	When I became aware of this matter and that there were different assessments in the different professional environments in Norway, I thought it was important first to ask the Health Directorate to gather the professional environments to get an overview of the medical conditions related to this issue. It is the medical conditions that in the next round trigger the ethical and legal issues. That's why I was busy getting the medical conditions on the table, and then considering the next step. The legal assessment underlying the Health Directorate’s response is based on the assessment made in 2001, when one had questions about the risk to one of the foetuses’ lives and health. Therefore, I believe that it is now necessary to take the next step, namely to get the legal clearance, by transmitting this issue to the Legal Department.
ParlaMint-NO_2014-04-09.ana.ud2193e1209	The situation today is that we don't have any specific rules for foetal reduction in abortion laws or regulations, because this wasn't a problem when it was promised. I could have wished that the Council of State was more clear that he would make this part of the evaluation to be carried out by the Biotechnology Act, that the Stortinget should have an opportunity to take a thorough debate on the ethical aspects of this after the legal review has been carried out. I understand that one has to figure out the medical and legal aspects, but both the Health Directorate and the Medical Council have said that the ethical issue has to be discussed. Will this come into a matter for Stortinget?
ParlaMint-NO_2014-04-09.ana.ud2193e1216	Once I have clarified the medical conditions, it is also important to have an assessment of what the status is, based on what is today's law. As I said in my original answer, I believe that this is about a number of issues that make it also natural to consider whether this should be raised for the Storting in an appropriate way. I see that there has been a desire from several parties for this issue to be raised in the context of the evaluation of the Biotechnology Act and a big deal about it. It is a proposal that I shall certainly take with me in this work. But because this case is now being sent to a legal clarification, I also have some time to think through what is the best and most natural way to deal with this further, because initially, the Biotechnology topic and a big message about this relate to the biotechnology law itself and not to the abortion law, to which this issue is linked.
ParlaMint-NO_2014-04-09.ana.ud2193e1227	I would like to ask the Minister of Health and Health the following questions: ‘A few years ago, it was decided that Oslo University Hospital, in cooperation with the Municipality of Oslo, would set up a new metropolitan guard. However, construction has always been postponed for various reasons, and it seems unclear at present when it may be possible to do so. Meanwhile, Oslo’s medical guard’s building in Storgata is increasingly affected by decay, and the operating rooms in Aker Hospital have now been used for a longer period of time. Can the Council of State explain when a new high-level guard will be set up and is it relevant to use Aker for the purpose?’
ParlaMint-NO_2014-04-09.ana.ud2193e1236	The municipality of Oslo is responsible for the plans for a new city hospital guard. Oslo University Hospitals are tenants in Storgata and are likely also to rent land in the new metropolitan guard. There are no current plans to restore emergency functions at Aker. Given Oslo City Council's decision on the co-location of the city hospital guard with existing emergency functions, it's my assumption that Aker is not the most natural location. The premises of Aker Hospital are being used and are to be used more in the future. A number of measures are being taken to increase capacity in the capital area, and as I have said before: If it makes sense to take more advantage of the capacity of Aker Hospital, I have absolutely no counter-conceptions against it. A few weeks ago, I opened the new emergency room at Ullevål. Regardless of the long-term plans for the development of the metropolitan area, there will be an operational and large emergency reception on Ullevål for a long time to come. I have also noticed that the City Council in Oslo says that the new emergency reception at Ullevål makes it possible to obtain the final impact assessment of a major urban hospital guard located there. It allows for a forced start of construction, if any. At the same time, Oslo Municipality is doing improvements to the premises in Storgata 40, and Oslo University Hospital will move activity back there when these premises are ready. In view of this, it may seem that everything is in place to make good progress in the plans to establish a metropolitan guard in Oslo, and then Ullevål could be a natural place for such a location.
ParlaMint-NO_2014-04-09.ana.ud2193e1253	Thank you very much for your answer. There is one point I have to say a little about: the council says that the municipality of Oslo is responsible for a new city hospital guard. The point is that when Oslo University Hospital was created, one of the main projects in that process was a new metropolitan guard, which was to be a collaboration between the new Oslo University Hospital and the Municipality of Oslo. There was a joint investigation of the new high-school guard, who came in 2009 or 2010, and was called the future big-time caretaker in Oslo. It created a close interaction between services from Oslo University Hospital and the Municipality of Oslo in a joint arrangement. On 27 October 2010, the Municipality of Oslo adopted its part of the case, namely that it wanted to go further with a project at Ullevål about a city hospital guard there. There was also a space regulated there for the purpose. Since it has been waiting for a clarification from Oslo University Hospital if they take a step further, before you can get back to it in the City Council of Oslo.
ParlaMint-NO_2014-04-09.ana.ud2193e1262	Some of the issues that the representative of Bohemia is now addressing are, respectively, issues that I expect are often discussed in Oslo City Council, and that I am not going to interfere with, and some questions that were raised under the previous political leadership, which I cannot answer either. My clear signal is that we have recently opened one of the country's finest and largest emergency receptions at Ullevål. It's also a traumatized reception for the entire eastern region. There is no reason to believe that there will not be a large operational emergency reception on Ullevål for a long time to come. Gitt Oslo City Council demands the location of a city hospital guard in connection with an emergency reception, Ullevål will be a current location.
