ParlaMint-NO_2014-03-26.ana.ud2183e26	The called alternate of the Vestfold County, Steinar Gullvåg, has taken the seat.
ParlaMint-NO_2014-03-26.ana.ud2183e917	I have also answered that question. We are now going through and seeing what opportunities we have within the State aid regulation that the European Union has adopted. It must be up to any government, and we are also obliged to the companies concerned, not to jeopardize their competitive situation by granting aid which we do not have under the rules. But I referred in my reply to the fact that under the previous regime there was de minimis support in the situation where shipbuilding was not part of the differentiated employer's fee. We will assess whether we can continue with the new legislation that is now in place. We will also consider other measures, because we are concerned about growth and development throughout Norway. We must then have good framework conditions for businesses, industries and regions so that we can secure them.
ParlaMint-NO_2014-03-26.ana.ud2183e926	So let's go to question 6.
ParlaMint-NO_2014-03-26.ana.ud2183e933	«We set the clock twice a year to either normal or summer time. The policy is regulated in an EU Directive. Research shows that there are health consequences for some when sleep rhythm is disrupted. Statistically, more heart attacks occur than usual in the days after one has set the clock in the spring, and more car crashes occur. In addition, it is to the detriment of those who have to take medication at fixed times for chronic and serious diseases. Will the Council of State work to wind up the scheme?’
ParlaMint-NO_2014-03-26.ana.ud2183e940	Summertime was first introduced in Norway in 1916. Now Norway has had summer time every year since 1980. Most European countries now switch to summer time at the same time. In 1980, all EU countries had summer time, but at different start and end times. In order to clear up the confusion that this could create, the EU introduced its first summer time regulation in 1981. EU Directive 2000/84 sets out the start and end times of summer time. Norway follows the same practice as the rest of Europe on these issues. The use of summer time is regulated by Regulation of 14 December 2007 No. 1420 in summer time. The regulation on summer time implements the EU directive on summer time. This Directive does not open to national adaptations. However, Iceland has the same time in summer as in winter, because the current EU/EEA provision does not apply to Iceland. The reason that Iceland has the same time in summer as in winter is primarily historical, but is also justified in Iceland’s geographical location. Iceland has had the current system long before the entry into force of the EEA Agreement. As far as I know, it has never been considered relevant for Iceland to change this. Norway is part of an international society characterised by extensive cross-border trade and a high level of travel activity between countries. We who live in Europe are becoming ever more closely woven together. This trend is likely to continue in the years to come. That is why it is important, both for business and for citizens, that we have the same system as the countries we have a lot to do with. Then we avoid confusion with different times. I have been informed by the National Institute for Public Health that from a public health perspective, the consequences of the adjustment of the clock after season are small in disease, and for the vast majority of patients taking their medications at fixed times, one hour to or from will have no significance. In the department there have been few enquiries over the years that we have made about 2 o'clock a year. I take that as a sign that the arrangement we have works well for most of us. Therefore, I see no strong reason to change this arrangement today.
ParlaMint-NO_2014-03-26.ana.ud2183e959	Thanks for the answer. What I'm busy about is reducing bureaucracy – that's to the extent that both I myself and not least the government are busy with. The message of simplification and renewal was strong in the election campaign, and I hope he will be strong in the future as well. Unnecessary tasks must, to the extent possible, be removed – as far as we are all concerned – but setting the clock is something that everyone has to do twice a year, both businesses and individuals. Together, these are quite a number of unnecessary tasks, and it will be a simple act for Norway – in cooperation with the EU, if one can find an agreement on this – to end this, i.e. simplification and renewal in practice. Does the Council of State think that having the same time all year could be a good simplification step?
ParlaMint-NO_2014-03-26.ana.ud2183e968	No, I can't see that turning the clock on twice a year provides something special bureaucracy. On the contrary, I do not actually receive any enquiries from business about this. I think the positive consequences, by getting more light and more sun, are very much greater than the negative consequences of having to turn on the clock twice a year. I think we're doing fine.
ParlaMint-NO_2014-03-26.ana.ud2183e975	The council actually came up with the main point of what I was going to ask about, this because we get more light summer time. Summertime we still have a lot of light in Norway, but if there's one thing we don't have in winter, it's light. If one had had summer time throughout the year, it would have given one an hour more in the afternoon when one could have been out for school and work, that it would be easier for people to get out than it is today. This clearly reveals health benefits. What I then wonder about is if the council believes it is irrelevant that one could get an hour more light winter time. For my part, it's open-minded. I think it is quite special that the Council of State stands and uses the argument that there will be more light summer time, as an argument for not having the same time throughout the year – precisely because one could then get light winter time as well. Does the Council of State think this is irrelevant?
ParlaMint-NO_2014-03-26.ana.ud2183e982	I will not call any questions or debates in Stortinget irrelevant. All debates in the United Kingdom are relevant, as is this. But I also believe that the benefits of this system, which we do with the countries to which we relate most, are greater than the disadvantages. We don't experience any major problems with this, we don't experience any bureaucracy, and we don't experience any public health problems related to this – on the contrary.
ParlaMint-NO_2014-03-26.ana.ud2183e991	‘There are demanding processes in many health establishments for hospital mergers. In Buskerud, this could lead to the closure of Kongsberg hospitals. Would the Council of State be able to recommend and approve this without having been treated by the Stortinget as part of a national health and hospital plan?’
ParlaMint-NO_2014-03-26.ana.ud2183e998	The government is now working on a national health and hospital plan that will provide the Storting with a description of the status and challenges of specialist health services. The plan will enable the Storting to take a stronger part in the decisions on how to develop the specialist healthcare service in order to meet the future needs of patients. The plan will provide guidance and principles for the development of the specialist healthcare service, so that the Storting can provide a politically anchored development of healthcare. The Government will present the National Health and Sickness Plan to the Stortinget in autumn 2015. At the same time, there are several processes involved in developing and improving healthcare around the country, including plans for new, larger hospital investments. I am concerned that these processes and plans are not stopped until a national health and hospital plan has been submitted. Business development, hospital building planning and upgrading of existing hospitals are extensive and time-consuming processes. A stop to further development and planning until the autumn of 2015 would prevent completely necessary changes and upgrade needs in Norwegian hospitals, which would be completely irresponsible both for the population and for employees to create good health services. It is the responsibility of hospitals and health regions to develop healthcare locally in their area. With regard to the Western Viking process, it is assumed that Kongsberg hospitals will pass. However, the scope and dimensioning of the specialist health services to be developed at Kongsberg hospitals shall be further investigated in the planning process. Health services are constantly changing, both as a result of changes in technology, patient expectations and demographic developments. Such changes must be captured both by hospitals operating in permanent premises and where new buildings are planned. The Ministry will ensure that change and development are in line with given leadership, and I follow the ongoing processes closely. I will also, of course, intervene if any of these processes go against government policy.
ParlaMint-NO_2014-03-26.ana.ud2183e1015	I would like to thank you for your answer. I want to make it clear first that my question was not about stopping the processes that are happening out there. My question as to whether the Council of State will ensure that the Grand Duchy will decide whether there will be significant changes in the run-up to it. In particular, the question concerned Kongsberg Hospital, where the distribution work suggested – as I assess the content – that the hospital should be converted to a local medical centre, or whether it should be continued with appropriate emergency functions, as today. According to company law, this is classified as a ‘substantial’ change, i.e. changes in acute function and food supply. I thought the council was concerned about strengthening the Storting's power and influence, so I ask again: will he ensure that such decisions come to the Storing?
ParlaMint-NO_2014-03-26.ana.ud2183e1020	The government’s platform says that closures of emergency and food services that are not justified by patient safety and quality will not be accepted until a national health and hospital plan has been addressed, and these are questions that a person must consider when there is a current issue. As I see Hospital-Norway now, I do not see that there are any concrete decisions to stop any emergency or food supply that are now in need of intervention. One is now in a planning process where one has different options that are further explored, and it is precisely the type of processes that provide the basis for, for example: assessing whether proposals for this type of major and important change are justified by patient safety and quality.
ParlaMint-NO_2014-03-26.ana.ud2183e1027	Thanks for the answer. I have a simple question about the changes that are taking place and the plans that are going on in the West Viken, and especially against Kongsberg Hospital: Are they finally taking decisions in the Stortinget through a national health and hospital plan – whether Kongsberg Hospital is going to continue without emergency facilities, or whether Kongsberg Hospital is going to continue as a fully-fledged local hospital? Will the Storting have this adopted in connection with a national health and hospital plan?
ParlaMint-NO_2014-03-26.ana.ud2183e1032	In my first answer, I explained what a national health and hospital plan should be. This should not be such that the Stortinget should be involved in any change that happens in Hospital-Norway, and I think that also the representative Toppe looks would be completely impossible. Here is a government that has a separate responsibility for, among other things. patient safety and quality. The government's wish with a national health and hospital plan is to involve the Storting in drawing up some principles and frameworks for development, and then it will be the responsibility of the state council – which owns – to ensure that the developments that take place in healthcare are within the framework of which the Storing has drawn up. In contrast to the previous government, this government has the policy of not making any significant changes in emergency and food services that are not based on patient safety and quality until the notification has been processed. I'm going to follow up on that.
ParlaMint-NO_2014-03-26.ana.ud2183e1043	‘The West Viken HF Board of Directors adopted on 16 December 2013 the following: ‘In line with the Idea Phase Report, the Board of Directors shall base its further planning on the construction of a new hospital as soon as practicable to address current emergency functions in the Drammen and Kongsberg hospitals.’ The Idea Phase Report recommends that three alternative solutions be assessed as equivalent. Can the board only recommend a solution without the alternative ideas from the idea phase being explored in detail in the concept phase, including the zero option?’
ParlaMint-NO_2014-03-26.ana.ud2183e1050	The planning of a new hospital in Buskerud has taken a very long time – yes, many say too long. The board of directors of Vestre Viken decided at the board meeting on 16 December 2013 to send the Idea Phase Report with a board decision at the hearing. The administration has subsequently developed additional studies on localisation, transport, social analysis and economic analysis. The Board of Directors of the Vestre Viken has submitted for the first reading of the hearing opinions on 31 March, with a view to deciding on the Idea phase on 28 April. In this meeting, the Vestre Viken has also provided the basis for a decision on the location and site options. The representative Lundtigen asks whether the board can recommend only one solution, without the alternative proposals from the idea phase – including the zero option – being examined in detail in the concept phase. To this end, I would like to stress that when the State's early-stage counsellor in hospital projects assumes that at least two alternatives, as well as the zero option, are to be explored in the concept phase, then there are not alternative plots to which reference is made, but conceptual solutions. The early-stage supervisor for hospital projects applies to all types of investment decisions, including where land and location are determined in advance. Therefore, in the conceptual phase investigation, the Vestre Viken, irrespective of the locational choice, will investigate the recommended alternatives from the Idea phase. This also includes the zero option and further development at Kongsberg Hospital.
ParlaMint-NO_2014-03-26.ana.ud2183e1061	I would like to thank you for an informative and good answer. What has now happened in the various stages is that the administration's recommendation to the forthcoming board meeting in West Viken on 31 March is that one continues the functions at Kongsberg Hospital as today. And then the nucleus: what should be the future Kongsberg hospital? The Council of State said that he would intervene in the process if there were a conflict with government policy. As far as I have understood, changes in emergency functions and food supply are to be treated as part of a national hospital plan. My question then is: can the emergency services in medicine, surgery and food be removed from Kongsberg Hospital without this being dealt with in Stortinget?
ParlaMint-NO_2014-03-26.ana.ud2183e1068	The National Health and Hospital Plan does not suggest that the Stortinget will deal with and decide on specific food and emergency services at individual hospitals in Norway. One of these points is that the Stortinget, through its national health and hospital plan, is discussing and providing guidance on how this offer should look. A very concrete and good example of this is Stortingen’s treatment of the birthmark. Through that big message, Stortinget gave guidance on how food supplies in Norway were to develop, without anyone going in and taking over the responsibilities of the directors and managers at the hospitals. They have a separate responsibility for the quality and supply of their activities, but this shall take place within the framework drawn up. This means that, through national health and hospital plans, Stortinget has a completely different influence on the development of specialist healthcare in Norway over the years ahead than has been the case in the years in which it has been responsible for the specialist healthcare service. But if this service is to be able to evolve, we also need to ensure that we are constantly getting good decision-making. The central party’s response to this, namely to stop all processes until you get a decision in Stortinget on this – perhaps for up to two years – would put the Norwegian specialist health service back strongly.
ParlaMint-NO_2014-03-26.ana.ud2183e1075	I want to make it clear that the Center Party has never – I never underline – said that one should stop all processes. The Council of State knows that, and I hope it won't be passed on, because that's not our opinion. What we are discussing here are issues that are about to be addressed in the context of national health and hospital plans and that are about to change significantly. And ‘substantial’ changes are, in our opinion, both emergency services and food supplies, because this is perceived as absolutely essential points in the business of any hospital. What this long investigation from the Council of State has to get into is, based on my question, what is the content of a hospital? The medical association has a clear definition. State councils have not yet tried to define the content of a hospital. So my question is, The Medical Association defines a hospital as an acute medical offer 24 hours a day, with anaesthesia, with laboratories and with x-rays. Does the Council agree with such a definition of a hospital, and in this case Kongsberg Hospital?
ParlaMint-NO_2014-03-26.ana.ud2183e1087	I have a lot of respect for the Medical Association, but I think there are other professional environments that also have interesting and important ideas and views on what should be the definition of different types of hospitals. Therefore, I would not recommend assigning that kind of question to one trade union. I would recommend leaving that kind of question to Stortinget after a careful discussion. I will also invite the Stortinget through a national health and hospital plan. I would also recommend Lundtigen to read my excellent article on this topic that elaborates on it, and that was printed recently in Today's Business, because we need a discussion on what should be the requirements of the different types of hospitals that we have in Norway. It's been a long time since the Center Party and the Right have agreed. Now we've started that work, but I hope that Lundtigen also respects that it's not a job that we can present now, but that actually takes some time.
ParlaMint-NO_2014-03-26.ana.ud2183e1098	‘The health sector has a high level of sensitive personal data. Therefore, good data protection in the health sector is essential, in particular with regard to health records. Can the Council of State assure the Government that a legislative proposal will not weaken the requirement for information security and privacy in proposals for new health records, both by legislating requirements for landfill treatment for new national health records and by legislating what pseudonymous health information entails?’
ParlaMint-NO_2014-03-26.ana.ud2183e1105	In a short time, I want to make a proposal to the Stortinget about new patient records and health records. I can assure the representative, Mr Kjeseth, that privacy and information security will be an important part of this proposal. It is essential for good health care that correct and up-to-date health information is available to the right person in a timely manner. At the same time, it is important that the information does not flow to unauthorised persons. The proper protection of individuals' privacy is also important for everyone to have confidence in the health sector, and trust is central to our obtaining even better services. It's just those who need it, who'll see and use the information. All processing of health data shall comply with strict confidentiality and data protection requirements. Modern infrastructure and information security allow better protection of information. This requires risk assessments, e-IDs, activity logging, access management and other security solutions. It is essential that this is well-managed in the sector. The laws that I want to present to the Storting will set a framework and make demands for this. The representative Kjeseth's question goes into two essential details, but which are nevertheless the details of this bill, and I have to ask for respect for the fact that I cannot answer it in concrete terms until I present the proposition for treatment in Stortinget.
ParlaMint-NO_2014-03-26.ana.ud2183e1118	I thank you for your answer. It was actually that way that we can expect a proposition in Stortinget. The bill provides for the easier establishment of health records by regulation and concession with personal identification without consent or reservation. Speaking of reservation rights: why should the Council of State consider it more important for doctors to have the opportunity to reserve themselves against referring to abortion than for patients to be given the opportunity to consent to the registration of sensitive personal data and to reserve themselves against the use of patient information for different purposes that the State might find too good?
ParlaMint-NO_2014-03-26.ana.ud2183e1127	There are probably two different questions, but if I'm going to deal with what was a topic now, namely the issue of health records and medical records, there are two types of participation there. Both of them were used in the question from Kjeseth. There is both the possibility of reservation and the possibility of consent. There are two very different levels of those requirements. It is also true that in the draft consultation which was sent from the previous government, some changes were proposed in respect of decisions relating to the establishment of the different types of registers. These are questions that have been put to the hearing, and there have been different hearings. I aim to present what is the current government's policy in this area, in a proposition to the Stortinget and look forward to good cooperation, among other things. with the Left, to draw the final conclusion.
ParlaMint-NO_2014-03-26.ana.ud2183e1136	Thanks for the answer. An additional question related to the role of the Storting, because it becomes interesting: Snowden's revelations of how much information is collected about us, and how they are used and may not be used, were a bit like a democratic aha experience, and in the bill that was out on the hearing, the Stortinge is deprived of the authority to determine which new records are to be created. The question really is whether the Council of State is comfortable with – based on a democratic mindset – that the Grand Council should not have the power to participate and adopt which new records are to be created about us.
ParlaMint-NO_2014-03-26.ana.ud2183e1147	This is one of the questions that we're going to get back to. There is a balance between the types of registers that are so extensive and important that it is natural for the Storting to discuss them and the types of registers that are more limited. It is also important for a sheep to establish them quickly and in a flexible way, including: for patient safety and quality reasons. That kind of balances are made in the proposition, and there we come up with recommendations for the Storting. It is important for me to stress that when registers are created in the regulation of a government, it is not an undemocratic act – on the contrary. Any government — not least a minority government — will depend on having support in the Storting for what one does, and the Storing can, of course, intervene at any time. What is decided by a government is democratically anchored in Norway.
ParlaMint-NO_2014-03-26.ana.ud2183e1159	I allow myself to ask the Minister of Justice and Security the following questions: ‘A working group working on new weapons instructions delivered a call on 13 September 2013 proposing how to ensure good and rapid access to weapons by the police when needed. However, in a transmission from the Police Directorate on 19 February 2014 by a letter from the Ministry of Justice of 18 February 2014, the police districts were asked to describe the ‘administrative and police implications of a general weapon’. Does this mean that instead of implementing the actions of the Working Group, the Council of State will implement general armaments, and how will this be presented to the Stortinget?’
ParlaMint-NO_2014-03-26.ana.ud2183e1168	I would like to thank Mr Bøhler for his question. The Government Declaration is a recipe-list of policy implementation during this major period, and, as the Government Declaration states, the government wants to open up general arms in the police districts where the police themselves believe it is the best solution. It is my job, as Minister of Justice and Preparedness, to translate the point of the Government Declaration into practical action. The assessment of how a new Police Armaments Instructions should be anchored and the order in which the Government Declaration is implemented is part of the ongoing work. Regardless of this, it is important to get an updated weapons instruction and work on it, based on the setting of the working group, is in progress.
ParlaMint-NO_2014-03-26.ana.ud2183e1179	When we look at the cooperation agreement between the government and the Left and Christian People's Party, which was concluded before the Sundvolden declaration between the two government parties, there is nothing about general armaments or the wording used by the Right and the Advance Party in the Sundvolden Declaration. When you say that you want to open up general arms where the police themselves think it's the best solution, does the Council of State think that he has the authority to move on with it and send it out to the police districts in a form where it can be seen as if you'd be able to implement this without a treatment on the Stortinget? Or do you want to suggest that the Storting must give permission if you are to put in place a general weapon scheme where the police themselves think it is the best solution?
ParlaMint-NO_2014-03-26.ana.ud2183e1186	That question is too early to answer. We're also working on the government statement on this point, and we're working on how to implement this in practice. If the Storting is to be involved, the Storting will be involved, but it is simply too early to answer what the process will be like until its final result.
ParlaMint-NO_2014-03-26.ana.ud2183e1191	Yeah, it'll be exciting to hear when the government finds out. It is difficult for me to see that in the case of general armaments – which is very controversial, and where it seems that there is only one party that has been clearly positive, namely the Advance Party, and then the Right more hesitant, but that otherwise there are no other parties on the Storting for – there is a majority for that. Then you have to be careful about how to approach Stortinget in such a question. I really think it should be clear that you can't put in place a warrant for general armaments for the police without being inside the Storting. But what does the Council of State add to the term ‘police’? If, as the Council of State says, a general weapon could be put in place for the police, where the police think it is necessary, what does the term ‘police’ mean? What level do you think it is? Because when this case is being consulted, there is a question that is being raised around. What does the police mean? Who is the decision maker?
ParlaMint-NO_2014-03-26.ana.ud2183e1198	As I said, this is a work that we have in the process, so it is difficult to answer concrete questions until we have completed that process. After all, the starting point for the police districts themselves to assess this must be that it is the police master’s authority that can be a current authority holder in order to implement this. Otherwise, I represent a minority government, a minority government that is very conscious of what kind of relationship you are dependent on having to the Storing, and that is the basis of all the work the government is doing.
ParlaMint-NO_2014-03-26.ana.ud2183e1207	I'm glad the Minister of Knowledge came in time for the hour. My question is about the cultural sphere. ‘It is in these days 10 years since the red-green parties launched the Cultural Promise where the cultural schools were a priority area. One measure was incentives for the development of cultural schools. One of the conclusions of the evaluation of the scheme shows that cultural schools rely on incentives to develop new projects and that the funds have led to a greater diversity of activities. What are the ambitions and measures of the Government for the continued development of cultural schools, so that more children and young people can take part in this offer?’
ParlaMint-NO_2014-03-26.ana.ud2183e1216	Let me first just say that my relative delay was simply due to the fact that the Storting had my old phone number, so I'm sorry, but now it went fine. The government is concerned that Norway must have a professional cultural life that holds an international standard, and this starts already in kindergarten and in school with the offer of children and young sheep. We want to ensure that children and young people have good cultural experiences, and that young talents are given the opportunity to deepen and develop independently of social and economic backgrounds. That's why the cultural schools are important. They represent a school of their own, which is required by law for the municipalities, but an offer for the students. The cultural schools are responsible for both depression and latitudes. We haven't changed this, and this government has no plans to change it either. This government chose to remove the cultural school hour in the SFO and redispatch the funds allocated to it. However, there is still room for local action to find good forms of cooperation between the school, the SFO and the cultural school. The government trusts that municipalities will find good solutions to this without state interference. That being said, the government grants 17.9 million. SEK for the operation of Norwegian Schools of Culture and Cultural Schools (Cultural Schools) which implement projects to develop the cultural school offer in the municipalities. I expect municipalities to adapt supply and level of ambition to local resources and needs. The Ministry of Culture and the Ministry of Knowledge have in cooperation established an expert group on art and culture in the training to deliver their report at the end of April 2014. The aim is to strengthen the overall effort in this area and the expert group shall provide advice to help improve resource use, coordination and quality assurance of the activities now being undertaken for the benefit of children and young people. I will, in cooperation with the Minister of Culture, come back to follow-up here later this year.
ParlaMint-NO_2014-03-26.ana.ud2183e1227	I thank you for your answer. What the Center Party is busy about is that the municipalities are dependent on development tools to develop their cultural spheres. I am aware that in the framework transfers today there are investments on the cultural sphere. Culture teacher Bjørn Morten Kjærnes at Kontra Music School in Ski has sent a letter to the Minister of Knowledge and the Minister of Culture addressing ten different issues or challenges, including: the use of music and culture for learning. He draws out PISA studies, including: that countries that score well in PISA studies have a lot of instrument education. Does the Minister of Knowledge see here the possibility of running a project or of trying out further education in that direction to strengthen the learning of our schools?
ParlaMint-NO_2014-03-26.ana.ud2183e1236	I've seen the letter I got from the cultural school principal in Ski, and he's going to get answers. We'll take care of that. It's exciting to look at how aesthetic subjects, for example. Music, can stimulate development in other subjects, but I also think it is important to say that aesthetic competence is an important part of the school itself. The reason why we have aesthetic subjects in school, or because we have cultural schools, is not that we're going to be better in mathematics and Norwegian, but that aesthetic subjects are important in themselves. I would also like to stress that with the government’s great teacher’s promise, which is now being rolled out with opportunities for continuing training – a great deal of extra funding for it – the rate of further training in aesthetic subjects has also been increased. I think that's important. I'm also generally positive for trials, so if someone has interesting and exciting experiments in this area, I like to look at them.
ParlaMint-NO_2014-03-26.ana.ud2183e1245	I absolutely share the insight and the devices taken by the Minister of Knowledge, but it is also being drawn out, among other things. when it comes to the pursuit of music against language and understanding, this means that an easier way of acquiring other subjects, a teacher by thinking about music. I also record that the Minister of Knowledge himself has taken part in education in the field of culture. What kind of effect this has on us as a human being in learning processes is the next moment. I note that the Minister of Knowledge could be a little more clear if one could think that this was being tried even more strongly in interaction with other subjects.
ParlaMint-NO_2014-03-26.ana.ud2183e1252	I think absolutely there are a lot of exciting opportunities there, and I have also seen studies that show that, for example. aesthetic subjects may be involved in stimulating the learning outcomes of other subjects. I believe that in the aesthetic subjects at school, in order to use that collective term, we have some of the same challenges that we have in many other disciplines. From the latest available data we have for teachers' competence, we can see, for example: that many lack depression. It's not like aesthetics are less important in school than other subjects. Competence, the possibility of further education, is just as important here as in other subjects, with a small exception, and that's that we've given extra incentives for further education in real life. I don't think the ministry is going to go through and orchestrate projects in each school, but I'm very positive to schools that want to try it.
ParlaMint-NO_2014-03-26.ana.ud2183e1263	This question, from the representative Sonja Mandt to the Minister of Knowledge, is raised by the representative Rigmor Aasrud.
ParlaMint-NO_2014-03-26.ana.ud2183e1266	My question to the Minister of Knowledge is: ‘The Right-Fremskritsparte government has ensured that private kindergartens are allocated an additional 69 million. kr over the State budget from 1 August 2014. This is justified on a non-discriminatory basis. From individual municipalities as well as from KS and Telemark research, questions are now being asked about the basis for this non-discrimination. In view of this, will the Council of State take the initiative to review the non-discrimination regulation?’
ParlaMint-NO_2014-03-26.ana.ud2183e1275	I thank you for an important and interesting question. I just want to remind you a little bit about the history. Former Minister of Knowledge Kristin Halvorsen said that she wanted equal treatment in the financing of private and public kindergartens, and that it would be put in place by 2014. When the red-green government went off, there was no money for this. In other words, there is still discrimination. In 2013, the Directorate of Education was commissioned to carry out an overall review of the equivalent treatment rule for the award of government grants to non-municipal kindergartens. This work was initiated by the previous government and continued by this government. We are therefore in the process of reviewing the financing scheme for private kindergartens, with the aim of fulfilling what is on the platform, namely to have transparent and stable funding for kindergartens. The representative points out that Telemark research poses questions about the basis for non-discrimination between municipal and private kindergartens. Telemark research has commissioned the Directorate of Education to produce a report that discusses how pension costs and capital costs should be addressed in the calculation of grants. The report shows that private kindergartens have lower pension expenditure than municipal kindergartens and therefore receive more in grants than they need to cover pension expenditure. The report also shows that the capital grant does not cover the real cost of capital in private kindergartens. In the light of the report from Telemarksforschung, the Education Directorate has proposed to introduce a template supplement for pensions and an age-differentiated capital grant for private kindergartens. The proposals are intended to provide a more accurate grant. What we're going to do on the part of the government is to evaluate these proposals and other input we've received about the funding mechanism. We do this in close dialogue with the local community sector and, of course, the nursery sector. The government wants to ensure real equal treatment for all kindergartens. We have also said that we want to escalate the grant of equal treatment to 100 pst. of what municipal kindergartens receive in public support, and we want to design a funding scheme to ensure that private kindergartens are not systematically over- or under-compensated. But the results of the rather large and complicated review are not available right now.
ParlaMint-NO_2014-03-26.ana.ud2183e1286	I thank the Council of State for the answer. I am pleased that the Council of State has gone into the report that Telemark's research submitted to the Directorate of Education. It shows, as the Council of State says, that it's 15 pst. lower costs in private kindergartens than in public kindergartens. 7 pst. This is because there are more children with special needs in public kindergartens than in private kindergartens, and 8 pst. because pension costs are lower. Only pension costs are considered to be 700 million. kr. That means that the private kindergartens get 700 million. kr more in grants than they actually have. Now the new government is increasing that grant by 69 million. kr. It's almost 170 million. kr on an annual basis, and we're up in a difference of almost 1 billion. kr, for which private kindergartens are provided, for which they are not charged. Does the Council of State think that this is a good way to spend public money?
ParlaMint-NO_2014-03-26.ana.ud2183e1293	Firstly, this government is fulfilling what the previous government promised, but broke a promise in the state budget for 2014. Anyone can find the statements of Kristin Halvorsen, where she said the goal is equal treatment between private and public kindergartens. I haven't heard anyone from the red-green parties say that that promise doesn't stand by until the representative Aasrud says it today. Secondly, I think you should think a little bit about what the consequences are. If the Labour Party's policy now is that there should be total equal treatment based on the calculation of the pension costs of the kindergarten sector in the municipalities, it must mean that about 1 billion. kr, if we are to rely on Telemark research, are to be withdrawn from the kindergarten sector. It's a pretty dramatic cut in grants. When we also know that crewing, educators and adult density are related to the appropriations that you get, I think we should think quite carefully about it before we subtract 1 billion. kr of the private kindergartens.
ParlaMint-NO_2014-03-26.ana.ud2183e1300	I thank you again for the answer, but the Red Isaac does not respond to what I ask him. That's almost 1 billion. do not go to increased staff, do not go to better working conditions, better basic staff, to ensure that the employees of the private kindergartens have the rights of public sector employees. We don't see that money in the accounts of the private kindergartens as an expense, because they have lower costs. Then I just want to repeat my question: Does the Red Isaac mean that it makes sense that almost 1 billion. kr is granted for kindergarten purposes and not used for kindergarten purposes?
ParlaMint-NO_2014-03-26.ana.ud2183e1305	I do not agree with the problem description. Just to say it: there comes a case that concerns Halden municipality, if I don't remember completely wrong – or was it Sarpsborg municipality? – where they tried to have a different way of calculating their pension costs. The legal conclusion – not the political conclusion – is that it is not within the current legislation. Today's legislation is exactly the same as the red-green ones had. So I'm asking for some understanding that if you're going to have a complete review of the legislation, which can ultimately lead to a drawing of 1 billion. Now, out of the sector, you need a little bit of time. But these are completely new notes from the Workers' Party. This was also a problem in the past – the same legislation, the same issues – but the previous government chose to push this ahead and postpone it, which means that we now have to look at it, and we will.
ParlaMint-NO_2014-03-26.ana.ud2183e1320	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
