ParlaMint-NO_2014-03-19.ana.ud835e26	The representative, Mr Ketil Kjeseth, will present a proposal for a representative.
ParlaMint-NO_2014-03-19.ana.ud835e877	It's important that the Storting took note of what the Council of State is bringing here. For Uppland's part, the situation is dramatic, with great loss rates in the last year. But I also record that in region 7, north, where one has a yew quota of 23 animals, it's only taken out six animals. Licensing should be used as a stock regulation measure. Does the Council of State think that it is cost-effective that the 2014 grazing season comes without one having regulated herds of yews?
ParlaMint-NO_2014-03-19.ana.ud835e884	As I explained in my initial answer, the robberies deal has to be read in context in order to give an overall understanding. It also implies that the assessment of the individual points of the predatory game agreement must be carried out within the framework of the legislation we have, international commitments and the two-part objective of achieving as close as possible to the stock targets. It is an intention in the predatory game agreement that a person wants to reduce the proportion of your hi-takes and – as far as possible – take out yours before the breeding period. At the same time, the agreement on predators also opens up to the Environment Directorate itself to assess what is most appropriate in each individual case. That is why I am confident that it will be assessed here as well.
ParlaMint-NO_2014-03-19.ana.ud835e893	There are just the different types of corrections that the predators will use to evaluate the license penalty that will be set in the fall. When the predators set their quotas, they are based on the stock records they have made. Does the Minister for Climate and Environment think that these assessments from the predatory wildlife subjects should be reviewed again at the end of the licensing period?
ParlaMint-NO_2014-03-19.ana.ud835e900	It is important that we have a good interaction with regional predators in order to achieve the national targets here. We see that the withdrawal through the ordinary license agreement has so far not produced the desired result. We now also see that after several years the stock of youves has been significantly above the stock target of 39 annual young coals, and therefore we are now quite close to the national stock target. As has been said, the Environment Directorate has, through exceptional withdrawals, taken out more than 120 yorks in the period from the adoption of the Robbery Agreement until the end of 2013. The inventory shows that the Directorate-General for the Environment has been successful in the level of precision of the evaluations carried out in the context of exceptional withdrawals of your material. As the representative of Odnes knows, we will also have a meeting early in June with the regional predators, because it is important that we get that cooperation to work in a good way. But we have to be close to the national stock targets.
ParlaMint-NO_2014-03-19.ana.ud835e915	«Forests in which it grows and the soil in which it grows may bind large amounts of carbon. Forests therefore play an important role in climate policy. What does the Council of State think is the best way to manage forests from a climate perspective?’
ParlaMint-NO_2014-03-19.ana.ud835e922	The forest is important in the climate context. The Norwegian forest takes up over 60 pst. of our total greenhouse gas emissions. Forests store carbon from the atmosphere and help reduce emissions by replacing fossil energy by bioenergy and by replacing wood with other emission-intensive materials. In our government platform, we say that the government will place greater emphasis on climate policy objectives in the management of Norwegian forests. There are several measures that may be relevant to optimise the uptake of CO2 in the forest. The climate agreement includes: the planting of forests on new areas, increased plant density and enhanced forest protection as potential measures. Increased plant density may result in higher carbon uptake per area. Among other things, because the plant level was particularly high after the war, today we have a high carbon capture in the Norwegian forests. However, the recording will fall over time if we do not take action. The government is following up the forest measures that stand in the climate agreement. The Ministry of Climate and Environment and the Ministry of Agriculture and Food have, among others: delivered a mandate to the Environment Directorate, the State Agriculture Administration and the Norwegian Institute of Forest and Landscape to assess forest protection as climate action and under what conditions this should be done. We are also waiting for background material on forest fertilisation as climate action, from the same disciplines. Fertilizers can increase plant growth and thus increase carbon uptake in the forest. At the same time, we are creating a strategy for planting forests on new areas such as climate action. In addition to the importance of forests for food and climate, forests have many other important environmental values. Half of our endangered and nearly endangered species live in forests. Forests are also important for outdoors and nature experiences for a large number of people. We therefore have a specific responsibility to manage forest resources in a holistic way and to sustainably operate forests. Norwegian forest owners have good traditions for long-term management of forest resources. In the development of good climate policy forest management, good interaction with business interests and environmental interests is crucial. I believe that, through good cooperation, based on thorough, professional assessments, we will be able to get good measures that will enable the forest to contribute to climate change far ahead.
ParlaMint-NO_2014-03-19.ana.ud835e949	The forest binds most of the CO2 when it is growing – that is when it captures the most. At adult age, it's less growth, so it binds less CO2. There have been differing views on protection versus active use and what is the most effective climate action. Some say that protecting the forest is best. I believe that biology suggests that it is wrong, and that the best use is an active use of the forest resource; that we take resources and plants again. What is the overall assessment of this by the Council of State?
ParlaMint-NO_2014-03-19.ana.ud835e964	I think it's important to deal with the facts and the existing knowledge base we have. We have now asked for a background report on the protection of forests such as climate action by the Environment Directorate, the State Agriculture Administration and the Norwegian Institute of Forests and Landscapes. That report comes to the fall. Then I hope that there too we get more facts about the problem that the representative raises. I think the most important thing is to optimize the areas. Some areas may be better suited to carbon stocks and protection and others better suited to production. This is where the professionals fight. That's why getting a slightly better factual basis for those assessments in our interest, and we hope that the report we get for the autumn will help us to make a better assessment.
ParlaMint-NO_2014-03-19.ana.ud835e973	In the response of the Council of State, the words ‘carbon stock’ and ‘protection’ are now used as a contrast to active forestry and carbon capture. I am not sure if it was intended, but at least it can be perceived as such. The opinion of the centre party is that some of the best carbon storage we can have in forestry is just that we are actively using the forest, for example. Now, if we bind CO2 in this building that we're now in, and that the best way to bind CO2 is to put the forest into action. Does the Council agree with such an assessment? One last question: in the first budget of the new government, the three-based innovation programme, which was about the new use of wood for new products, was cut. clothing and cutting of the energy fission system. What is the Council of State's assessment of how the two cuts affect the active use of the forest and how to obtain new products that bind CO2 in the future?
ParlaMint-NO_2014-03-19.ana.ud835e993	I'm saying that the most important thing is to optimise the areas, and it's a professional assessment of which areas are the most suitable. Some areas are best suited for carbon storage and protection, and other areas are better suited for production. One doesn't exclude the other, but we want more facts to take a proper assessment of it. On the question of whether it is within the budget, I cooperate with the Minister of Agriculture and Food on the follow-up to the Climate Change Agreement on Forests. With regard to budgetary appropriations more specifically, we need to get back to them in the ordinary budgetary process. But improving the competitiveness of the woodworking industry, through its opportunities for products and technology development, is important to us, so we will return to this in the 2015 budget.
ParlaMint-NO_2014-03-19.ana.ud835e1004	It might have been tempting to join in the previous conversation here, but we need to move on to another important topic. ‘Last year, 1,004 rhinos and tens of thousands of elephants were killed by snipers. Animals such as tigers and black rhinos are threatened by illegal hunting. This brutal environmental crime is financing terrorism, drugs and weapons. Proposals have been made for a UN Special Envoy and a GA Resolution on the subject. The United Kingdom has granted 10 million. pounds to combat environmental crime. How will the government increase the appropriations and strengthen its efforts to combat environmental crime, and will it work for a resolution and specialisation against illegal hunting in the UN?’
ParlaMint-NO_2014-03-19.ana.ud835e1015	The number of rhinoceros killed in South Africa alone in 2013 was almost twice as many as in 2012. At a meeting held in December last year under the Convention on Trade in Endangered Species – CITES, it was established that Africa can lose up to one fifth of its entire elephant population within 10 years if the level of illegal hunting is not reduced. Trade in timber is also an important cause of deforestation. I have been working to put the issue on the agenda at the first meeting of the United Nations Environment Assembly under the United Nations Environment Programme in June this year. Here the Environment Ministers will be able to focus on the problem and support further efforts to combat illegal hunting. The problem of illegal hunting of animals should also be seen in the context of other environmental crime. Here are links to organised crime and terrorist activities. Capacity building in developing countries is therefore important. In this context, the government’s climate and forest projects have also supported the UN and Interpol in the fight against organised crime in the forest sector in developing countries, in particular illegal logging and trafficking in illegal timber and timber products. The capacity-building efforts in the projects also contribute to the fight against other environmental crime, such as crawling and illegal trafficking in endangered species. Police and prosecution authorities participate in training and training programmes. The laws of the authorities to combat corruption, tax fraud and money laundering are being restated. Projects have produced concrete results in the form of seizures and arrests. Last August, rainforest trees corresponding to 20,000 trucks were seized by the police in Venezuela and Costa Rica. The climate and forest project now looks at the possibility of scaling up these efforts, with particular emphasis on intergovernmental cooperation and port control. East Africa, which is also struggling with the creeping of elephants, will be relevant in this respect. Any increased government appropriations to combat environmental crime must normally be assessed in budgetary procedures. The Ministry of Climate and Environment, in consultation with other departments concerned, will consider the issue of a UN resolution and a separate special issue when formally addressed to the UN General Assembly in New York.
ParlaMint-NO_2014-03-19.ana.ud835e1032	I thought it was very positive in that answer, and I don't think there's any doubt that the Environment Minister and I are quite a few about the seriousness of this problem. It can be quite a dramatic situation for a number of animal species, but also for some of those that are most familiar. It made a big impression on me when South Africa's Environment Minister, when she was visiting last year, told me that they have as much as 90 pst. by all black rhinoceros in the world, and that these animals – at the pace of the day – could be eradicated in 2025. It's almost impossible to understand. But that is precisely why I am concerned about the measures taken to tackle this, and I am well aware that the climate and forest project can have a slightly greater potential – within a year – to spend extra money if there is a good deal of action. I could imagine repeating the question. Will the Council of State be a driver for us to contribute extra funds in this international work?
ParlaMint-NO_2014-03-19.ana.ud835e1039	As I said in my first answer, I will use the UN Environment Assembly in June to send a clear political signal that this is an important issue that has environmental implications, but also consequences for economic and social development in countries, especially in developing countries. I think it's a good idea that we're working with the United Kingdom, which has already done a good job on this, to bring it up to the United Nations Environment Assembly.
ParlaMint-NO_2014-03-19.ana.ud835e1044	It's positive that it's being recorded there, so I just think I repeat that my call is to constantly look at the possibilities to contribute in different ways, and then I also hope that a serious person will evaluate the proposals that have been made in the United Nations, which I know have some support internationally. I ask for permission to add an additional question, because serious environmental crime is a major problem in our own country as well. Research carried out on this subject suggests that as much as half of all wolves killed in Norway and Sweden are likely to be killed by illegal hunting. It's gross environmental crime, and because the population is threatened, it's very important to do something about it. I could imagine asking the Minister for Climate and Environment: What can she think of doing more to combat illegal hunting for wolves?
ParlaMint-NO_2014-03-19.ana.ud835e1053	It was a little bit on the side of the original question, but here we have a common interest in combating illegal hunting for wolves, which is serious environmental crime, and when we have a broad deal in the Great Britain about stockpiles on wolves, we have to use the tools we have to do this in a good way. I think some of the challenge with this environmental crime is also that we don't have a good enough zone management of predatory policies, so we see that having an active predatory policy is also a good tool to combat environmental crime, which is a serious problem.
ParlaMint-NO_2014-03-19.ana.ud835e1058	Then we are hoped that both the wolf and the rhinoceros will meet safer times. The next question is from the representative Ivar Odnes to the Minister for Climate and Environment. Odnes has had a question before, so the president assumes that one of these is a superior from the previous question hour.
ParlaMint-NO_2014-03-19.ana.ud835e1067	That's right, that's right, and I'm happy to continue the discussion with the Minister for the Environment, but on other topics, and it's about cultural memory protection and peaceful buildings. ‘In Norway there are approximately 3 700 permanently housed buildings in private ownership. These represent an important part of our common cultural heritage. In addition to the challenge of securing the building heritage against fire and other destruction, owners of peaceful buildings experience being rejected by insurance companies. This despite the fact that the Riksantikvar covers the extra costs of fire. What will the Council of State do to ensure that the owners of this cultural heritage are insured and to achieve price competition in this area?’
ParlaMint-NO_2014-03-19.ana.ud835e1076	Good and comprehensive insurance schemes are primarily the responsibility of insurance companies, but on the basis of the fact that owners have been rejected by insurance companies, the Riksantikvaret has taken initiatives against the insurance industry to ensure owners of peaceful buildings as well as owners of non-protected houses. This government is committed to ensuring good framework conditions for the owners of peaceful and protective buildings. I therefore believe that the Riksantikvaren initiative towards the insurance companies is important. Peaceful buildings make up a small proportion of the total building stock and, fortunately, there are very few protected buildings damaged by fire. I feel that the owners have great awareness of fire and safety as the values are irreplaceable. There are, therefore, few examples of fire damage in peaceful and protective buildings that have triggered replacements in addition to normal. When the accident occurs and the building burns down, the Riksantikware will only exceptionally require reconstruction. If so, the Riksantikvar will go in and cover the extra costs of rebuilding according to antique requirements. The same applies in the case of minor damage. I therefore believe that the risk to the companies is small. However, if the owners of rescued buildings are offered poor conditions, they should consider submitting a complaint to the Finansklagennmaden.
ParlaMint-NO_2014-03-19.ana.ud835e1087	I thank you for your answer. I have registered that the Riksantikvaren has had an active involvement with the insurance company in letter form in 2012 and also now in 2014. I still record that the owners have difficulty in securing their property, and that they also have to pay a more expensive insurance sum, so I had hoped that perhaps the Council of State could have taken an even more offensive approach to the insurance company when this is the case. But what kind of role does the Minister for Climate and Environment want to take? If we are to reduce the number of peaceful buildings that go out of history, this is also part of the basis for the owner – to have the economy to take care of the building.
ParlaMint-NO_2014-03-19.ana.ud835e1092	It is important to maintain the principle of good and comprehensive insurance arrangements. It is primarily the responsibility of the insurance companies. But that's why the Riksantikvarn wants to follow up on this, because I think it's a little wrong, and the insurance companies think there's a greater risk than it really is, as long as the Riksantikvarn says that one has to pay the extra cost if there's any peace. So I think it is important, if necessary, to get some of the specific cases and complain to the Financial Complaint Board to see if the insurance companies are still up to this, and believe that there is an additional cost. We are very concerned that owners of peaceful buildings should not have greater challenges than they need – and continue that work – but it is an important principle that it is the responsibility of insurance companies. We cannot go in and assume that responsibility from the insurance companies.
ParlaMint-NO_2014-03-19.ana.ud835e1099	It's important objects. There is one reason why these are protected by law, and that this should be taken care of. In the history of Lærdal and the great fire that was there, which also threatened objects that were peaceful and protective, one part was about the piece of insurance, but it is also about being able to give the owner the economy to prevent fire and secure its objects – it is also part of our task. Does the Minister for Climate and Environment work to bring fire safety measures into the peace, protective construction also?
ParlaMint-NO_2014-03-19.ana.ud835e1104	Here it's also important to be aware of the order. Point one: It is the owners who have the primary responsibility. Fortunately, the owners of peaceful buildings are very conscious of that responsibility, because there are values that are irreplaceable. Then the municipalities are responsible for securing their special three-storey buildings. Then we can come in and use our competence at the Riksantikvarn to get this done. But we're busy placing the responsibility where it should be. But we will, in close cooperation with the owners and municipalities, make sure that we have a good fire safety in this country, because we have 180 tree-house environments that are important to our common cultural heritage and that can be irreplaceable.
ParlaMint-NO_2014-03-19.ana.ud835e1113	This question, from the representative Jenny Ellaug Følling to the Minister for Economic Affairs, is answered by the Minister for Health and Welfare on behalf of the Minister for Industry.
ParlaMint-NO_2014-03-19.ana.ud835e1116	‘The government’s cut-off in regional development funds means that county municipalities and their partners, Innovation Norway, are getting less to start-ups and new innovative activities. Many companies would not have done well through the ‘bloodbathing phase’ if they had not received birth help through Innovation Norway. How will the Council of State help founders, and what means will replace the strong cuts in regional development/company law instruments in District Norway?’
ParlaMint-NO_2014-03-19.ana.ud835e1123	Work on promoting business development and innovation across the country is very important for the government, and improving the conditions for entrepreneurs and start-ups is an important part of this. The Government Platform says that government will give priority to instruments that can boost innovation and re-establishment in all parts of the country, with emphasis on entrepreneurs and entrepreneurs. Economic policy is far wider than that often associated with industrial policy instruments. It is the sum of the framework conditions that affect business that are important to our future ability to value. Transport, research and framework conditions for business are just some of the areas where the government has already implemented measures to create jobs, and not least to strengthen growth across Norway. The main mechanisms for triggering innovation and industrial development in Norway are the nationwide public sector instruments. These schemes are also available in the districts. The main share of the funds allocated through Innovation Norway and the other public sector actors is nationwide and shall support the best projects, irrespective of whether they are located in Halden or in Hammerfest. An example of such a scheme is Innovation Norway’s set-up grant scheme, which will help to bring together more good entrepreneurs across the country. In addition to the funds available in the nationwide schemes, nearly 1.2 billion has been allocated. kr in regional development funds in 2014. These funds shall allow county councils to focus their efforts on innovation and innovation. As I said, entrepreneurs are important to the government. The government platform says, among other things: that programmes for the commercialisation of research results should be strengthened and that funds for the seed funds should be increased in order to further develop new businesses and innovations. The 2014 budget provides funds for the creation of two new seed funds. The funds shall make initial investments in the seed and start-up phase of new and innovative and internationally competitive enterprises throughout the country. In order to stimulate increased investment in research and innovation in business, the User-led Innovation Arena, BIA, in the Norwegian Research Council was reinforced by 80 million. kr in the 2014 budget, compared to the draft budget of the previous government. Similarly, the annual tax deductions for own R & D were increased from 5.5 million by the SkattenFUNN scheme. NOK 8 million. kr. Thus, several will be subject to the scheme and firms with increasing research activity can make more use of the scheme. In addition to their strengthening, the government has also strengthened the business environment in many other areas in order to gain a more competitive business. Among other things, we have reduced the total taxes and taxes by a total of 7.3 billion. kr in 2014.
ParlaMint-NO_2014-03-19.ana.ud835e1138	The Council of State does not respond to what I am actually asking. I'm asking about the large cuts in regional development funds of 430 million. kr which is expected to also lead to a reduction to Innovation Norway. County being cut by between 30 and 60 million. kr, it is not possible to maintain the rights of Innovation Norway, and it is precisely companies that are about to start up and come through the “bloodbath phase”, this framework. It's a founding enemy game. So my question is, how will the government follow up entrepreneurs?
ParlaMint-NO_2014-03-19.ana.ud835e1143	The ability of the founders to establish themselves is, fortunately, dependent on much more than the regional development funds of the county councils. But even after the reduction in the 2014 budget, the county councils get about 1.2 billion. to continue to contribute to this work. But the government has, among other things, through its tax reliefs of more than 7 billion. kr, such as may be used by private individuals to invest in new activities. Bringing in billions of dollars and then handing out small amounts back is not the best business policy.
ParlaMint-NO_2014-03-19.ana.ud835e1150	One must actually start to raise money and pay taxes if the tax instrument is to work. And what is added to this is the differentiated employer charge – which is based on the general measures such as transport and energy, and which affects travel life in the districts – that comes, in total, up to these powerful cuts in the district works. The Prime Minister said that she believes that politics works, and I believe this also works on district companies. How does the Council of State believe that this in total will affect new start-ups?
ParlaMint-NO_2014-03-19.ana.ud835e1155	This government pursues a more offensive industrial policy than the previous government, including: by improving the framework conditions for competitive business. We do that in a lot of ways. We do that by focusing more on research and development. We do that by making sure that we don't withdraw private investment capital, but leave it in the districts, where people live. The policy of the previous government, which was about withdrawing billions and distributing small sums afterwards, may appear to be an active enterprise policy, but is, in reality, a policy that hampers private investment capital in Norway. Therefore, it is an objective of this government to reduce the tax on Norwegian ownership. If we are to ensure that the companies remain in Norway, that the board meetings are still held at Evje, in Halden and in Hammerfest and not in Shanghai, in Houston and Singapore, we must reduce the special tax on Norwegian local ownership.
ParlaMint-NO_2014-03-19.ana.ud835e1168	This question, from the representative Sverre Myrli to the Minister for Children, Gender Equality and Inclusion, will be raised by the representative Mani Hussaini.
ParlaMint-NO_2014-03-19.ana.ud835e1171	‘The government cut the grant by 20 pst. to municipalities that live as asylum-seekers. At the same time, it is an objective to be able to live more quickly than 900 children waiting for asylum. Several municipalities now say that the settlement of lone minor asylum seekers is becoming more difficult. The councils have stated that she wants to settle more quickly, especially by children. If the Council of State really believes it, why is it cut into funds to help children who are alone in reception can become residents and become part of Norwegian society?’
ParlaMint-NO_2014-03-19.ana.ud835e1178	At the end of February this year, 945 children were expected to settle. Of these, 434 have become municipal seats and move to a municipality in a short time. This government has increased the integration grant for children in order to have this group settled more quickly. The reimbursement scheme for municipal expenditure on child protection measures, to which the representative here refers, applies only to lone minors. 142 of those now waiting are lone minor refugees. Until 2013, the State refunded 100 pst. expenditure by municipalities on child-restraint measures relating to lone minor asylum seekers and refugees in addition to a municipal proportion. The Government of Stoltenberg II proposed in its budget for 2014 to reduce the reimbursement from 100 p.m. to 90 pst. This proposal represented an estimated savings of 120 million. kr. We agreed with the Stoltenberg government that the development towards the need for child protection for all lone minor refugees is not the right way to go. The Government therefore proposed to reduce the reimbursement to 80 pst, corresponding to a further 120 million. kr. In addition, the government agreed with the Christian People's Party and the Left to strengthen the special grant by the settlement of single minor refugees of 120 million. kr. We have redeployed funds between two schemes that are both aimed at single minor refugees. The ordinary grant for the residence of lone minor refugees has increased in parallel with the reduction in the reimbursement scheme. The government wants to turn the financing of actions for single minors into the special grant paid to all municipalities for each single minor refugee they settle. Children shall receive the follow-up that each individual needs. But not all children need a child protection measure in the municipality. By transferring funds from the reimbursement scheme to the special grant, we give municipalities greater freedom to find for themselves the solutions they think are best for the individual child. Municipalities are now free to use the special grant for the services that the municipalities themselves believe are best for the children. The increase in 2014 in the integration grant and the special grant together represent a greater transfer to municipalities than the reduction in the reimbursement scheme for child protection services. Overall, municipalities appear better in 2014 than in 2013. So far, the municipalities have increased the settlement by 24 pst. in relation to the same time last year. That's not enough, but it's going in the right direction. We have a cooperation agreement with the KS, with clear objectives of resettlement of refugees. The agreement obliges the municipalities and the state. I have great expectations that the municipalities will also in future join in and settle those who need it.
ParlaMint-NO_2014-03-19.ana.ud835e1204	According to the party colleague and rapporteur of the Council of State in the municipality of Håler, the government’s policy ‘will lead to a weakening of integration’. He says that the government with this proposal punishes the municipalities that have been nice to settle. This will cost the municipality of Håler 6-7 million. kr, and it forces him to stop the settlement of new asylum children. So the blue-blue government is punishing municipalities that have cost-effectively built up good child protection measures, but even worse: the children who are in reception and who have fled and put their lives on hold have to wait even longer for a municipality to live in. Does the Council of State think that the rapporteur in the city of Håler is wrong when he says that the cuts to the government will lead to poorer integration? How will the Council of State ensure that municipalities such as Hyler do not feel compelled to stop the settlement of new asylum children?
ParlaMint-NO_2014-03-19.ana.ud835e1213	I will record what the representative has to say. I think it is a pity if there are some municipalities that are unable to settle, as they have promised. We have an agreement with KS and the municipalities, which will be able to settle. What we have now done, introduced a prop, I believe is the right way to go. Overall, municipalities will receive more money for their work on housing and integration than they had in 2013. The children who need help will get it. But not all children need child protection measures in the municipalities. By increasing the special grant to go to lone minor refugees and by increasing the integration grant, municipalities will have a better economy to live both adults and children in their municipality.
ParlaMint-NO_2014-03-19.ana.ud835e1222	The council said that the Workers' Party proposed a cut of 10 pst. That's absolutely right. But the essential thing here – which the Council of State did not mention – is that the Workers' Party quickly reversed this, because we listened to what the municipalities and KS were saying, that this would prevent the settlement. The working party chose to listen and to reverse. So it's a little strange that the Council of State chooses to cut by 20 pst. and at the same time talking about a national livelihood. I like the word "dugnad", but what characterizes a virtue is that there are many who contribute. The government's contribution to this effort is therefore not so much to boast of. Will the Council of State listen to the relevant municipalities and KS and reverse this cut, so that more asylum-seekers are settled?
ParlaMint-NO_2014-03-19.ana.ud835e1231	As I said in my previous answer, the municipalities together have achieved a better economy in 2014 than they had in 2013 in terms of integration grants. What this government has done is that we have redistributed funds. There is an excess of child protection measures – now we are talking about child protection measures, and all children do not need child protection measures in the municipality – and we have increased the special grant to settle single minor asylum seekers, while at the same time we have equal rates for children. So the ability of municipalities to settle minor refugees and asylum seekers is as good in 2014 as it was in 2013 – actually better.
ParlaMint-NO_2014-03-19.ana.ud835e1242	‘Sleep apnea is a fatal disease. Calculations suggest that hundreds of thousands of Norwegians suffer from sleep apnoea, but the few are diagnosed. According to the Free Hospital Selection website, there are long waiting lists for the investigation and treatment of this disease. The risk of stroke, myocardial infarction, diabetes and depression is increasing for each breath stop beyond normal. Untreated sleep apnea increases the risk of accidents at work and traffic. What will the Council of State do to cut the long waiting lists for a sleep investigation?’
ParlaMint-NO_2014-03-19.ana.ud835e1249	Nearly one in six adults in the population have some form of obstructive sleep apnea. The disorder affects both sexes and all age groups — but is most common among men, overweight, smokers, elderly, people with cardiovascular diseases and those with type 2 diabetes. Most people have a mild form without plague, but around 8 pst. the population has sleep apnoea that can be characterised from moderate to severe. It is estimated that one in five persons with the condition have been diagnosed. The diagnosis of sleep apnea is based on the measurement of the breathing pattern at night. The studies are costly and require hospitalisation. There are studies that can be done at home, but they are not equally reliable. There is a wide variation in recording equipment and specific competence is required to interpret the results. The treatment of moderate to severe sleep apnea is mainly the use of a mask that prevents breathing. The mask needs to be adapted to each patient, and most people need to change the mask annually. Some patients may get rid of the disease or reduce the burden by changing their lifestyle and getting advice on it. General practitioners with special competence in sleep apnea are likely to participate more than at present in research and treatment. General practitioners and specialists in and outside hospitals should cooperate more closely on this patient group. If more investigation can be carried out outside the hospitals, either by a specialist or a general practitioner, but to ensure that the patient is adequately and properly qualified, more could be investigated outside the hospital and the waiting time reduced. Although more hospitals have longer waiting time than desired, there are hospitals with waiting time of two to three weeks for investigation. Patients should consider whether to seek treatment at the hospital with the shortest waiting time. In addition, regional health establishments that have an agreement with private sleep investigation should use the agreements to a greater extent so that patients do not have to wait unnecessarily for the investigation. As demonstrated by the government’s political platform, this government wants to introduce free treatment choices and increase the purchase of private health services to reduce health cows.
ParlaMint-NO_2014-03-19.ana.ud835e1264	I thank the Council of State for the answer. I have also been informed that there is a method to determine whether a person may have sleep apnea or exclude it. This method, as the Council of State said, can be used by the permanent physician after short training and does not require hospitalisation. By using this method more widely, patients who do not have sleep apnoea can be hatched and thus removed from the waiting lists for hospital sleep investigation and shortened waiting lists. This method is only used by a few general practitioners because there are no reimbursement arrangements or tariffs for this diagnosis. Will the Council of State facilitate the application of tariffs for this work, so that more permanent practitioners will apply this method of diagnosis?
ParlaMint-NO_2014-03-19.ana.ud835e1271	As mentioned in my reply, each method of investigation is generally applicable and can also be carried out by the prescriber. Diagnosis is, of course, one of the main tasks of decision-makers and part of their core activities. It is a provision for the reimbursement of costs of examination and treatment by doctors who regulate what may be required by the decision-maker in reimbursement and in proportion. At present, a doctor may require a consultation tariff and, where appropriate, a time tariff if the consultation lasts beyond 20 minutes, which may be the tariff to be used in these cases.
ParlaMint-NO_2014-03-19.ana.ud835e1276	I thank the Council of State for the answer and do not have any further questions. Thank you.
ParlaMint-NO_2014-03-19.ana.ud835e1286	‘Development plan 2030 has been consulted with proposals for only one hospital in the South. This has caused strong reactions, and 5,000 participated in torch trains to maintain the emergency and food supply at Flekkefjord Hospital. The government announced a new national health and hospital plan during 2015, and according to the Council of State, it becomes so detailed that regional health businesses will become redundant. Will the Council of State ask Health South-East to wait for further consideration of the 2030 Development Plan until national health plan has been submitted?’
ParlaMint-NO_2014-03-19.ana.ud835e1293	The current management system implies that all regions are developing strategies and that health businesses are making development plans before the planning of major investment measures can be started. These must also be seen in the light of the more social assessments. Southern hospitals have a development plan up to 2030 in consultation now, and it describes several different models of future hospital structure. The Southern Hospital has stated in a separate letter, which was sent together with the hearing, that the hospital board has not taken a decision on which of these models should be selected. I assume that the hearing that is now taking place is a real hearing, and I point out that investment decisions are only taken at a significant later date. I would also like to show that Health South-East has informed that investments in Vestre Viken, Oslo University Hospital, the Hospital Inland as well as several smaller investments will take place before investments at Sørlanden Hospital. Health South-East does not take a position on the development plan for Sørlanden Hospital, nor on the planning of a specific investment measure, until the Sørlanden hospital has finally dealt with the matter. The Southern Hospital has set the consultation deadline of 1 September and plans to examine the project report in the Management Board in January 2015. As you know, I will present the National Health and Hospital Plan in the autumn of 2015. This will provide guidance on how to develop the specialist health service in the future. At the same time, business development and planning of new hospital buildings, or major upgrades of existing hospitals, are extensive and time-consuming processes. Therefore, I have generally been concerned that development and planning work should not be put on hold until the National Health and Hospital Plan has been submitted. There are generally great needs and plans in Hospital-Norway, and we cannot have an investment vacuum until the next autumn. Southern hospitals have stated that they will coordinate the development plan with the Health and Sickness Plan. Therefore, a final decision on the development plan in the Sørlande hospital is not expected until the end of 2015/beginning of 2016. New investment measures in the South-East Hospital, regardless of the option chosen, are outside the long-term budget period of Health South-East, which runs until 2017. As I see it, the hospital structure in South Africa is unlikely to change in the foreseeable future. At the same time, I am aware that Sørlanden Hospital is planning new construction for the psychiatry in Kristiansand. Health South-East has assumed that this investment can be started within the current long-term planning period.
ParlaMint-NO_2014-03-19.ana.ud835e1310	I thank you for the answer, but I had hoped that the answer would have been different from the frustration created locally about this. It has been raised beyond doubt that the local hospital with its emergency response in Flekkefjord has saved many lives. The Government Platform reads as follows: ‘The Sickness Plan must also address local hospitals and the important role they have in ensuring preparedness for life and health throughout the country.’ Can the Council of State elaborate on what the government is putting into those formulations? From the main question, will it mean that the new hospital plan will define the contents of Flekkefjord Hospital and determine whether the hospital will lose its emergency and food supply?
ParlaMint-NO_2014-03-19.ana.ud835e1322	I would think that my answer would help to reduce the unrest of the representative Odd Omland, because I described a time phase that shows how early in the discussion you are now, linked to many different alternatives to how Southland Hospitals should develop and how the structures should be. Now there is a development plan on consultation. After the development plan, there will be an idea phase planning. After Idea Phase Planning, there will be a concept phase, where there will be an assessment of at least three options, one of which will be the zero option, which is the structure of the day. Then you start approaching indirect decisions about what should actually be the structure. Then one goes into a pre-project phase, and then the matter ends up about a construction project on my table.
ParlaMint-NO_2014-03-19.ana.ud835e1329	There is no doubt that there is uncertainty, and I hope that the Council of State has got along now, with 5,000 in a torch train in Flekkefjord. In the Fädrelandsvenn on 14 March this year, the Health and Social Director of Kristiansand also warns the municipalities against the new development plan, given that many tasks have been proposed in the plan transferred from the hospital to the municipalities without any transfer of resources. Flekkefjord Hospital is one of the most well-driving countries in terms of both economy and quality. The hospital has managed to obtain skilled doctors and skilled staff through many years of extensive investment mainly in Germany. These constitute an important support. In view of the proposed closure of the emergency and food supply in the hearing, there is now a fear of recruitment and loss of staff. And the question is, does the Council of State worry that by not waiting for the national health plan, there may be problems in recruiting and losing staff? And on the other hand... [[The President clubs.]]
