ParlaMint-NO_2014-12-02.ana.ud559e88	The representative, Karin Andersen, will present a proposal for a representative.
ParlaMint-NO_2014-12-02.ana.ud559e1711	It is a paradox that we have a system where we sell the three goods that require the most in terms of health challenges – what the Health Committee is now debating: sugar, smoke and alcohol – with less taxes than plastics. It's a paradox, Christian People's Party. When the Christian People's Party fences around the wine monopoly, it's because we have a story. This hall – I believe it was in 1919 – decided to ban the sale of alcohol. But we didn't live alone on this globe, so the French reacted and said, "If you don't buy alcohol from us, we don't buy a single piece of rockfish from you." This meant that the Storting had to take action to get control of the sale and purchase of alcohol, and they formed the Vinmonopole as such. It was an incredibly good way to regulate alcohol consumption and alcohol sales. When the Christian People's Party and the Centre now propose that the Vinmonopolet should take over the tax-free system, it's precisely because we want to fence around the position of the Vinmonopolet, because we're about to undermine that position. We want the monopoly of wine to have a social role, and we want to have this tool to prevent alcohol-related damage and problems. The wine monopoly is still under pressure. For example, the figures from the Wine Monopoly show: that from the duty-free quotas were amended in July 2014 and until November which was, 30 000 litres of less alcohol were sold in the wine monopoly sales in the South-East. Then someone might ask, Does the Christian People's Party worry about it? It is clear that the sale had gone down, overall, it would have been a pleasure for all of us, but the problem is that the sales in the tax-free system at the same time have gone up – and significantly. That means that we're actually shifting the sale from the Vinmonopole to the tax-free sale. It can also increase alcohol consumption, not least because we are weakening the economy of the wine monopoly. We're undermining the Vinmonopolet as an actor and as a system. Then it will be that the challenge for the Vinmonopoly, with its economy, is that you can't bet on small sales from the Vinmonopoly in the districts because you don't have the economy for it. Then the yellow has been laid, and then we want to undermine the Vinmonopole as such. So the Christian People's Party – and I think that the Center Party too – knows that there are agreements with those who operate the tax-free system today, and we know that these are very long agreements, even strangely long agreements. If we talk about agreements in connection with other types of activities, such as child protection, etc., only one- and two-year contracts apply, but here they can suddenly apply for both 10, 15 and 18 years. It's a long deal, and that's why the Christian People's Party wants us to see if these are agreements that stand by if we look at them more closely. These are contracts made with public institutions. Why does it apply to someone and not to others? The Christian People's Party wants to see if it is possible to conclude this contract, because we want the Wine Monopoly to take over. In fact, we want to see at the same time whether it is possible for airports to have an agreement with Avinor to ensure that airports in the districts are safe. The Christian People's Party is prepared to have an investigation on the matter – whether it is possible legally, and what consequences this has. That is why the Christian People's Party is pleased that there is a majority decision today with a desire to have the Wine Monopoly take over, and look at what alcohol consumption means in a social policy perspective. And since the Workers' Party withdrew from proposal No. 2, I would like to clarify what is in proposal No. 2, from the Christian People's Party, the Center Party and the SV, and as I thereby take up: ‘The Government asks the Government to propose that the Vinmonopolet take over the duty-free sale at Norwegian airports.’
ParlaMint-NO_2014-12-02.ana.ud559e1729	The representative of Olaug V. Bollestad has taken up the proposal she referred to.
ParlaMint-NO_2014-12-02.ana.ud559e1733	The wine monopoly has an important societal role in sales and marketing control, and there is extensive evidence that the wine monopoly system is an effective means of preventing alcohol-related damage and problems. Then we know that the monopoly on wine is under constant pressure, among other things. from the tax-free market, which is increasing and constitutes an increasing proportion of total consumption. The Central Party and the Christian People's Party are in this case some to suggest that the Vinmonopolet take over the tax-free hall and get a review of the tax-free regime in Norway. Today, Avinor's revenue from the tax-free sales is about the same as the traffic revenue, and our commitment to the proposal is that in order to drive the tax-free sales, the wine monopoly has to settle with Avinor on the same terms as today's tenants. The center party has program party that we will have the Vinmonopole take over the tax-free hall. So to the representative Ketil Kjeseth: he shouldn't worry that we don't know what we're doing. This has been adopted by the Central Party’s national meeting, followed by active policies in the Stortinge. Part of it is called for to terminate the entire tax-free arrangement. I think it is a good thing that this debate has come up, because it seems a little illogical that we are giving air travelers a premium with cheap sugar, tobacco and alcohol — all three significant factors for public health. But what the centre party is proposing today is not to wind up the tax-free system, but we suggest that the wine monopoly should take over the operation. More people are worried about financing the small airports. Yes, that's legitimate, and that's good, but the premise in our proposal is that they shouldn't do that, precisely by the fact that the monopoly on wine will take over the sale on the same terms as today's tenants. So the Central Party actually thinks we should build the country with political will. We're not going to build the country with alcohol. In the debate, it is problematic that Avinor has entered into a new agreement with Travel Retail Norway until 2022, and that this raises some legal, practical and economic issues. Yes, it does. But then there is also reason to remember that the proposal of the Christian People's Party and the Central Party does not contain a deadline. Our proposal I see as a principle decision on the Storting actually wants the Vinmonopole to operate the tax-free hall. I feel that in the United Kingdom today, the country’s leading health policy-makers are debating as transport policy-makers without debating the real issue – what is being proposed. There will be a debate about an agreement. We don't debate the issues themselves, and I think that's very regrettable. The representative Nesvik is quite free, I thought, when he made the deal a big deal in himself and asked if we have a bad conscience in the Center Party. We don't have that. The centre party also believes that the contract that had been concluded must be looked at and evaluated. Nor do we see the logic of such long contracts, and one must look at the circumstances around when that contract was concluded. But as I said, we have a principle decision today to have the Vinmonopolet take over the tax-free regime, and I don't see that the government party argues against such a principle decision. I'm glad we're getting multiples for that one proposal to get the tax-free arrangement out of Norway. So until the proposal that the Labour Party is subtracting. I want to signal that the central party is behind the proposal in the setting. We believe that the Labour Party proposal is a leaching, and also unnecessary, based on the meaning that was told as the reason for changing the wording. The central party is behind the proposal, which is also led by the Christian People's Party.
ParlaMint-NO_2014-12-02.ana.ud559e1752	Taxfree is really a strange construction. We have set up an international system for people — not everyone, but those who travel — to avoid paying taxes on which most countries think is so harmful that it should be subject to taxes, whether in the case of alcohol, tobacco or sugar. It is a system that leads to a rather unsocial distribution of the tax burden that we impose on the population, where those who travel a lot can in practice get their entire consumption of alcohol — or other consumption, of sugar or tobacco — covered without charge, while those who travel a little, as is usually the ones who have at least before in our society, have to pay a fee each time they buy a bottle of wine or a pack of smoke. On top of that, we in Norway have set up a system where the revenue from the tax-free sale subsidizes parts of aviation traffic and our network of airports, which also gives some strange environmental policy distortions when we see what kind of different financing system we have for airports versus, for example, railway, which is dependent on being granted a crown for initial investments from the State budget. In addition, when we see contracts with commercial operators in this area being concluded with a duration which, as the representative Bollestad pointed out, is quite beyond the scope of other agreements with actors to provide important community services, such as in the area of child protection or drug care, I think that the time really is ripe for the overall investigation that the majority is going to be asking for today. It will give us an opportunity to discuss whether we should have a tax-free system, how it should be set up in that case, whether it is such that other countries' tax-free systems make us have to have our own, or whether we have a freedom of action we can use. That debate is coming. Then this is a debate on how we organise the tax-free system we actually have. In this case, SV’s clear view is that these revenues should be attributed to the Vinmonopolet. It is the wine monopoly that has been the tool of growth and government that has pointed out to pursue an active alcohol policy and provide alcoholic beverages for those of us in Norway who want it. Then we also realize that there are clear limitations to the agreement that have been concluded, but I cannot see that it stands in the way that Stortinget expresses its view on how the organisation should be in the future. That's why I'm a little surprised that the government parties are more concerned with quivering around that agreement than actually clarifying how they think this ideally should be organised. I will finally give a brief review of the SV's vote. There has been an error in the setting that we have to put on our own jacket. Proposal No. 3 from SV I'm not taking up. It is not promoted and should not be weighed over. SV shall agree with the Workers' Party, the Christian People's Party, the Centre Party and the Left for Proposal No. 1st@item: inlistbox That would give a majority in favour of that proposal. In addition, I understand the reason why the Labour Party has proposed a new proposal, proposal No. 4th@item: inlistbox It is a desire to stress exactly what I said, that we have no choice but to recognise that there are legally binding and valid agreements that have been concluded. However, we shall vote in favour of proposal No. 2 and against proposal No. 4, but it is that we have always realized that the intention behind proposal No. 2 is saying something in principle about how we want the organization to be, and notifying the government that that is what we want as soon as possible. With this explanation of our vote, we will vote in favour of proposal No. 1 and proposal No. 2 and against proposal No. 4th@item: inlistbox
ParlaMint-NO_2014-12-02.ana.ud559e1773	The Green Party has long made it clear that the sale of free alcohol at airports is an illogical and inconsistent system that we oppose. The Green Party has therefore today made proposals to the government to wind up the current tax-free system for alcohol at Norwegian airports, so that the scheme no longer includes alcoholic beverages. The reason for this is simply that we believe that tax-free sales of alcohol are an incomprehensible undermining of an otherwise comprehensive alcohol policy, and the purpose of the scheme is therefore to encourage air travel and finance aerodrome development. As you know, air travel is a major and increasing climate problem. It's an activity that's growing violently, and it's already 50 pst. the average northerly greenhouse gas emissions of the average northerly man. If there is any activity and sector in the Norwegian community that absolutely does not need the aid of state-subsidized alcohol, it is the aviation sector. Furthermore, the scheme is unfair. It's just those who both drink and fly, who benefit from that arrangement. There are many parties in this big business that have spent the last few days discussing social justice, and if this system was socially fair, tax deductions should be given for air travel to everyone. It is not for the Greens. It is estimated that the phasing-out of the duty-free alcohol scheme from 1 January 2015 will result in an accrued revenue increase of around 1,2 billion. kr in 2015. The Ministry of Finance, of course, stresses that this estimate is uncertain, because part of the sale that is currently being made at airports will be taken abroad instead. But it is certain that this is money that could have been spent more sensibly on other measures above the State budget. Therefore, the proposal is also that the Vinmonopole should take over the tax-free sale, a stomach patch – between birds and fish. There's still a tax-free sale, and we 'green' at Stortinget will point out that adopting another investigation of a system that we know more than well enough from before is completely unnecessary. This is a principle and a political question; it is not a technocratic issue, although we recognize the need to check the contractual relationships associated with such an action. But it has to be possible to take a principal position on this before a contractual relationship can be managed. This is a question of whether alcohol subsidies for air travel are a good or bad scheme, given Norwegian social policy and given Norwegian climate objectives. According to Avinor, the contract with Travel Retail Norway does not contain a right of cancellation for the parties, with the exception of a political decision to amend or wind up the entire tax-free arrangement. The agreement means that it is unlikely to be realistic that the Vinmonopole can operate tax-free sales before maybe nine years, unless the Storting decides on a real termination of the tax-free system at aerodromes for all goods or selected items taken out of the tax-free system. It is this proposal for a public decision promoted by the Greens today by the Greens. Avinor can then choose for the next round whether to continue to have alcohol sales at airports — but chargeable as normal and operated by the Vinmonopolet as normal — or not. We leave that to Avinor and the Wine Monopoly to negotiate. There is no doubt that alcohol has a negative impact on people’s health. Although it is a legal product, we are aware that there is a product that contributes to a lot of social distress, and the turnover of it is we agree to limit. The Green Party therefore considers it striking that the entire Health and Welfare Committee agrees that alcohol policy should become more comprehensive and sound, and is also critical of the current system in which Travel Retail Norway operates the tax-free sales, but does not, however, propose to stop the system of alcohol sales at aerodromes. I would therefore like to address the proposal that the Greens have made by the Greens.
ParlaMint-NO_2014-12-02.ana.ud559e1794	The representative Rasmus Hansson has taken up the proposal he referred to.
ParlaMint-NO_2014-12-02.ana.ud559e1797	Alcohol is a legal product, but it is not a general product. It is a product that causes damage and problems. Alcoholic beverages affect not only the user himself, but also family, friends and other third parties and society in general. There is therefore a broad consensus that we need to use more instruments to reduce alcohol consumption and reduce the harm and problems caused by alcohol use. I think it is important to ensure a comprehensive and balanced alcohol policy. The wine monopoly system is one of the most important alcohol policy instruments. The main lines of the alcohol policy, including the monopoly system, must be defined. The exclusive right of the monopoly to retail sale of stronger alcoholic beverages ensures control, controlled availability of alcoholic beverages, and limits the marketing of alcohol. In order to maintain an effective alcohol policy in the long term, there is a need for legitimacy and acceptance in the population. I believe that the tax-free system is part of the overall alcohol policy package and can be said to have contributed to the acceptance of the other alcohol policy instruments, among others. relatively high taxes on alcohol and the monopoly. The duty-free sales at airports are currently operated by operators who have agreements to handle this operation. These have recently, under the previous government, extended their agreement with Avinor until 31 December 2022. The proposal proposes that the Vinmonopolet should take over the duty-free sales at Norwegian airports. In my view, it is not appropriate to decide that the Vinmonopole should take over the tax-free sale at airports now. I believe that there is currently no sufficient basis to make such a significant change to the tax-free system and not least to the tasks of the Vinmonopolet. Such a solution raises a number of legal, economic and practical questions. In any case, I do not think it would be appropriate to decide that the wine monopoly should take over the tax-free sale without all the aspects and consequences of such a solution being further explored. A transfer of the duty-free sale to the Vinmonopole will be a significant change in the tasks of the Vinmonopole, which is currently limited to offering taxed alcoholic beverages above 4.7 % vol. in Norway. An investigation of this issue also needs to be carried out. state whether such a transfer of tasks threatens the basis of the Vinmonopole. Finally, I would like to conclude that it is important to ensure the proper design of the tax-free shops, which provides a natural opportunity to go beyond the tax-free shops on arrival and departure. I am therefore very pleased that concrete changes are now being made, and I expect the roads outside the shops to be made clear and easily accessible. And we now see that changes have been made, among other things. on the Gardermo, so that now it feels completely different than before. I would like to stress that it is also important that the tax-free shops, both in the design of the shops and in their current business, ensure that the ban on alcohol advertising and the other requirements of the alcohol law that apply to tax-free sales are complied with.
ParlaMint-NO_2014-12-02.ana.ud559e1816	It's going to be line change.
ParlaMint-NO_2014-12-02.ana.ud559e1819	In this respect, the Minister for Health, with the Vinmonopolet, considered that the tax-free scheme was part of the overall alcohol policy design. After a year at Stortinget as a health politician, I have gone back and read a little about the recordings from the Vinmonopolet. They have been worried for a long time. In particular, they note — from the point of view of the monopoly on wine — that when such a large part of the turnover is made either through tax-free trade or through cross-border trade, the whole system of the monopoly on wine and the legitimacy of the monopoly on wine in the population is undermining. Minister of Health, as the Council of State and responsible for the Vinmonopolet: Where is the limit for maintaining the Vinmonopolet, seen from your point of view?
ParlaMint-NO_2014-12-02.ana.ud559e1828	I think it's important to have a wine monopoly, and I think it's important to have a well-available wine monopoly. We have that in Norway. We have that in Sweden. Tax-free sales and duty-free sales in Norway are, of course, not only at airports, but also tax-free sales on the boats. If boats in foreign traffic had not had the opportunity to have tax-free sales, I think some boat routes had disappeared. There is also free trade across borders. I note that Sweden still has a wine monopoly regime, but they have completely different import quotas than what we have in Norway.
ParlaMint-NO_2014-12-02.ana.ud559e1837	The question concerned the care of the Vinmonopolet and the signals that you, as a health minister, have received from the Vinmonopolet – about how worried they are about developments since the summer and in the third quarter, where sales have increased by over 30 pst. There are starting to be red numbers for the Vinmonopole — both in the South and elsewhere. You as the expert council and responsible for the Vinmonopolet: What is your message to maintain the wine monopoly system?
ParlaMint-NO_2014-12-02.ana.ud559e1842	The President will note that all enquiries must be made via the President.
ParlaMint-NO_2014-12-02.ana.ud559e1845	I'm sorry!
ParlaMint-NO_2014-12-02.ana.ud559e1851	Councillor Bent Höie, please.
ParlaMint-NO_2014-12-02.ana.ud559e1854	Alcohol policy in Norway is adopted in the Stortinget – it is not the wine monopoly that develops alcohol policy. Then it is up to the administration of the Vinmonopoly to operate the Vinmonopoly within the laws and regulations adopted by the Storting, on the basis of the economic balance requirements of the Vinmonopoly regime.
ParlaMint-NO_2014-12-02.ana.ud559e1861	The Council of State has just said that the alcohol policy is being adopted in the Grand Duchy, and today the Grand Duchy will adopt a proposal where: ‘provide the government with a comprehensive investigation into the tax-free regime during the current wholesale period, including a review of the social policy perspectives’. In the letter of reply to the Committee on this matter, the Council of State itself strongly argues against such a proposal: it sees no reason to use resources ‘on a special review of the tax-free system’. Now it's like a government council has to bend to what a big one decides. So I want to listen a little bit to the Council of State how he then sees himself following up on the intention of what it's now going to become a multiple on the Storting.
ParlaMint-NO_2014-12-02.ana.ud559e1871	I have listened carefully to the debate and the recordings of those behind this majority proposal. If it is adopted later today, of course I will follow up that proposal.
ParlaMint-NO_2014-12-02.ana.ud559e1876	A little bit in the extension of what Mr. Grung asked about, and which the Council of State had to say, it was important to have a comprehensive alcohol policy: I wonder if the Council of State feels that there is a majority behind the overall alcohol policy in the Storting, with the last revolution that happened, with possibly switching the tobacco quota, the smoking quota, with an extra alcohol quota. Is this part of the overall alcohol policy that strengthens the wine monopoly?
ParlaMint-NO_2014-12-02.ana.ud559e1881	That amendment was adopted by the Stortinget in the context of the revised national budget. If you're talking about the main lines of the alcohol policy as part of the cooperation agreement between the Christian People's Party, the Left and the Government, I see that it consists of four very central elements: maintaining the monopoly of wine, maintaining the ban on advertising, maintaining a high level of fees and keeping regulated sales and donations.
ParlaMint-NO_2014-12-02.ana.ud559e1886	So the chord change is over. The speakers who have the floor hereafter shall have a speaking time of three minutes.
ParlaMint-NO_2014-12-02.ana.ud559e1891	I want to respond a little to the challenges raised by the Right and the Advance Party in their speeches, and to clarify that the background to the Workers' Party now wants to assess the possibility that the Vinmonopoly should take over the tax-free sale, is precisely the clear signals we have received from the Wine Monopoly, that we are on the way to undermining the social mandate they have, and the legitimacy they have in the population. The Workers' Party is a knowledge-seeking party, and that's why we want to find out if it's possible for the Wine Monopoly to take over, whether there's a way for us to enter into the agreement before the end of 2022, and not least to look at arrangements for further financing of the infrastructure and small aerodromes. Then I would just like to remind you that the EU has removed the tax-free system ten years ago. There is not so much use of tax-free in-house in the EU. Norway is slightly different from other countries.
ParlaMint-NO_2014-12-02.ana.ud559e1900	A good old saying is, ‘Why change a winning team’, or in a slightly different way: why change something that works well? Today's tax-free system actually works well – it actually works twice as well. Firstly, it contributes to the trading of a small share of alcohol at an acceptable price by good Nordics, and secondly, it contributes to airports around Norway, which in turn is essential to ensure the efficient and adequate development of our airports without having to bypass the state budget and national transport plans. Now it's going on, for example. a massive expansion of Gardermoen Airport, and it is an example of investments that can be decided quickly and efficiently on the Board of Directors of Avinor without having to go through treatments in national political processes and policy plans, but also without burdening Norwegian taxpayers. The result is happy traveling, and cork and chaos are avoided, as for example. are on the road network. I have major problems seeing weaknesses in this system. Rather than trying to water it, it should be strengthened and expanded. I note that the proposers have a kind of desire to continue the concept of the scheme by subsidising the taxi-free sales to airports. What, then, are you going to try to achieve by letting the wine monopoly take over the alcohol sale? Firstly, do you have to cancel favourable agreements with the negative economic consequences that will result, and secondly, is there not any logic that there would be any less alcohol to be sold if the wine monopoly takes over? The only possible reason I can see is that there is a kind of moral or ethical argument that the wine monopoly is going to have some sort of control over most of the alcohol sales in Norway. I do not find such an argument that is so crucial that it is worth supporting, so I recommend as much as possible to vote against the proposal. A recent comment on the closure of the tax-free scheme in the EU. Compared with the EU, prices are a little different from those in Norway. Price levels are at least half that of alcohol, and in addition they are much easier to obtain than in Norway. So it's going to be comparing two very different things.
ParlaMint-NO_2014-12-02.ana.ud559e1911	We have a little different motivation to get a majority for the investigation proposal that we are dealing with here today. On the left, we are having a debate about abolishing the entire tax-free regime similar to what the EU has done, and there will be a different debate from that of Kjersti Toppe and Olaug Bollestad: maintaining a free movement of alcohol in Norway. I have a little difficulty seeing the principal health policy version of that debate, that we are going to have a system of selling free alcohol in Norway. There are some fundamental questions as to whether the wine monopoly is to manage both types of sales, both taxable and free of charge. That is now part of the debate. But from a health policy point of view, one should not go in order to have lower taxes on alcohol sales. So to the administrative part of this debate. After eight years with the Minister of Transport and after concluding these long-term agreements with Travel Retail Norway, it is a challenge when, at least, the Central Party has overall political responsibility, that we see an ever-increasing sectoralisation and governmentisation of Norwegian policies without the involvement of the Stortinge. When it has such economic consequences as 30 billion. Dr over a few years, which then goes beyond political priorities, raises an important debate — including administrative ones. Here it is made visible and put at the forefront of an open landscape debate between the Vinmonopolet and Avinor, as two state actors. I don't think it looks very good in public that we are standing here in this situation. We've also seen the Vinmonopolet argue that they're not going to take the consequences of this transport policy, but that they're going to have a reduced tax burden on alcohol in general. Then we're going into a completely different debate. The health policy element challenges us very much in terms of the future level of alcohol taxation in Norway. I would assume that this debate is not in line with today's proposal to investigate, but for the Left, it is therefore a complete investigation we want, and then to decide whether to proceed with tax-free sales, whether to wind up the whole scheme, and whether to get the transport policy part of this – with cross-subsidy – into the public and into the Stortingen to decide on this. There are many debates here in the debate.
ParlaMint-NO_2014-12-02.ana.ud559e1924	We can see that the last word has not been said about tax-free in this Chamber in this period, and we now know that there will be an investigation, even if we vote against it. It's a debate we want to participate in. Then I will come back more to what we mean, when I was challenged on it by the representative Lysbakken. But first of all, I will give tribute to Rasmus Hansson, who has the most principal approach in the matter and draws the consequences of some of the arguments that others promote. I want him to take credit for that, even if I don't agree with him. There are some parties that have moved something in this case. Among other things, there was a central member of the Left who said just before the election: ‘Today there is no desire in the Left to remove the duty-free sale. It's a system that many people obviously appreciate. The gain by removing it is probably much less than the experience of disadvantages». The Christian People's Party, on the other hand, took the floor before the elections to look at the organisation of tax-free, which they are following up today. In the case of the red-greens, this case is much more interesting. SV was the party that was in government and increased the wine quota and made for too much of the sales growth in tax-free we have seen in recent years. They are now skeptical of the whole scheme, and will let the Vinmonopole take over the sale. The Marianne Marthinsen of the Workers' Party stated in the evening post just before the elections last year that the Workers' Party is satisfied with today's system: ‘Tax-free sales are an important source of revenue for airports and a very well-established concept.’ For the Workers' Party, the alcohol aspect was not important. It was the need for airport financing that was the argument. But they were clear: the tax-free system must be fixed. The centre party, together with its red-green friends, chooses to complain that in 2012 Avinor extended the agreement with TRN from 2022. They themselves directed the Ministry of Transport in 2012. The Committee setting suggests in a note that the authorities are trying to ‘hidden’ the will of the large community to maintain small airports through free alcohol sales. So they're suggesting that this is something that happens in the hidden. In that case, there's a deck operation the Center didn't get an eye on when they ran the Ministry of Transport for eight years. I have all the respect that parties follow up their party line in this case, but I wonder a little bit about the reverse operation this case represents for the red-green parties. It is in any case interesting to see how critical the red-green parties are obviously to the policy they themselves led in government. For the time being, we can see that the tax-free system continues as before, but with the necessary adaptations in today's legislation to ensure that air passengers do not balance between alcohol bottles on the way to and from the aeroplane. These are changes SV, the Center Party and the Workers' Party could be implemented as they themselves sat at the rudder. Then we were challenged by the Light Bin on how we imagine this in the future. Our policy is to continue today's arrangement, with the adjustments that have already been made by allowing people to go to the plane outside the tax-free store.
ParlaMint-NO_2014-12-02.ana.ud559e1957	I have to be allowed to answer some of the challenges that lie here. The Christian People's Party, together with the Center Party, has made two proposals. One was that the Vinmonopole should take over the tax-free scheme, because we think we're going to support the Vinmonopole. But it's a proposal number two. It's that we want a review of the tax-free system. Since the Christian People's Party is not allowed to choose from the top shelf – we don't think there's a majority in this room to shut down the tax-free regime – then we'll be on the same thing as the Left, to look at that possibility. It's not on our side that we don't want it. The Christian People's Party is committed to securing the Vinmonopole as point one, and as point two to look at the possibility of going through the entire tax-free system as such. That was my answer to that.
ParlaMint-NO_2014-12-02.ana.ud559e1964	There were some articles at the end that I wanted to comment on. To the representative Tor André Johnsen: I thought he had a very honest post that said what the Progress Party means about the tax-free arrangement and that they are not so concerned about strengthening the Vinmonopolet position. I understand that, because they're not for having a wine monopoly at all. To the representative Ketil Kjenseth: It is a fundamental health policy debate whether we want to strengthen the Vinmonopolet's position or whether we want to undermine the Vinmonopolet's position by increasing the tax-free hall. I think it's interesting that the Left now discusses to wind up the entire tax-free hall, but I think it's a little winged, when they in the revised national budget last year were the party that gave multiple numbers to the government to increase the alcohol quotas for wine by 50 pst. But when that's said, I'm very pleased that the Left and the representative Kjeseth are voting for a holistic review. Finally, to the representative Sveinung Stensland: He is now also talking very well about the other party's arguments and counter-arguments, but I lack a little of what Right actually argues for itself in this matter. He came back to the agreement that Avinor has made, and the extension of the lease. I answer as I have done before today: this is what Avinor did without any political treatment, but now it is fortunate that this agreement is going to become a matter in the Storting, in the Control and Constitutional Committee, and I think it is very good.
ParlaMint-NO_2014-12-02.ana.ud559e1973	Now the representative Kjersti Topped himself to the great heights of this pulpit, and she called the Left Wing in this matter. So it comes from the party that had the State Council in 2012, when this agreement was signed, which ensured – without a tender – that this company was renewed for 10 new years. In addition, the representative Toppe also indicates that in the revised increase in the tax-free quota, if you were to take cigarettes, you could swap them into two extra bottles of wine. The representative once again uses the concept of raising the tax-free rate by 50 pst. The percentage is probably not Kjersti Toppe's strongest side, all the time she then forgets that in addition to these bottles of wine you can actually bring with you other products. Taxfree is also other products. It was also the same lot that helped to ensure that the wine quota was increased from two to four bottles. Wasn't it an attack on the Vinmonopoly, as the representative sees it? It was the representative Lysbakken who asked what the representatives from the different parties thought about today's tax-free system. We in the Progress Party believe that the tax-free system, as it is today, works, but we would very much like it to be tendered when this agreement, which is now here, expires. The monopoly of wine may also be allowed to participate in the tendering process. It's okay. The most important thing is to get this up here in the open, and not to take decisions – which the representative Toppe had in mind – without political governance. It may seem that the central party council that directed the department that had the ownership of Avinor at the time, at all, had no control, neither on the board that a self-appointed, nor itself as a general assembly. That's interesting, but it's nice that the representative admits it.
ParlaMint-NO_2014-12-02.ana.ud559e1982	I note that the red-green parties debate and reflect on their own policies. I think it's important that all parties do, and that one discusses and reflects when there are also changes. I am very pleased that we are not static in our approach to neither health policy nor other important areas of society. I think that's absolutely necessary. If not, we can easily do crazy things and become very conservative in our approach to important areas of society. These are difficult discussions. This is about health policy, to the highest degree. It's also about income for Avinor. It's about a cross-subsidisation system. The Labour Party has not said what we are going to end up on, but we must, of course, finance a grid in Norway. We must take care of the health of people, we must have an overall approach to alcohol policy. Then it is not useful to do as representatives from the Right and Advance Party: put your head deep into the sand and hope that things will go over when you see that the position of the wine monopoly has weakened in the last few months. In that case, you actually need to discuss what you can do to maintain and further develop a good and comprehensive alcohol policy. So I'm not ashamed, and I don't regret that we always reflect on our own policies and practices. I think it's very important for all parties to do that.
ParlaMint-NO_2014-12-02.ana.ud559e1991	The representative Kjersti Toppe has had the word twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2014-12-02.ana.ud559e1994	It's not so often I get to swing to the big heights, so I take it almost as a compliment that I managed to do it. I was criticized by the representative Nesvik again, and the worst thing is that I am owed for not being able to make a percentage – I thought I was quite good at math. But it's like when an increase in the number of bottles one gets from tax-free, from four to six, I think there's a 50 pst. increased. But we can take a seminar on that afterwards. Finally, I would like to say that I think it is rather sad that the Stortinget is unable to discuss health policy, that it is just acting as a transport policy, and that there is a great deal of discussion about agreements. It doesn't matter, because it's too important for it.
ParlaMint-NO_2014-12-02.ana.ud559e2003	The representative, Harald T. Nesvik, has spoken twice earlier in the debate and is given the floor to a brief comment, limited to 1 minute.
ParlaMint-NO_2014-12-02.ana.ud559e2006	I think I'm going to help the representative Top with the percentage right away, so we don't have to take it afterwards. If the representative Toppe had talked about the wine quota, there would be something quite different, but the representative Toppe was just talking about the tax-free quota. And with the tax-free quota, you can also bring with you six bottles of wine, and you can bring with you a given number of boxes of beer -- you can bring that with you on the same quota. So it's part of the tax-free rate, and then it's just going to be 50 pst. longer.
ParlaMint-NO_2014-12-02.ana.ud559e2011	The President thanks for such clarification. Several have not asked for the floor on case No. Eight. The President will propose that matters be referred to the Committee on Legal Affairs and Citizens' Rights. 9-11 is treated as a whole. – It shall be deemed to have been adopted.
ParlaMint-NO_2014-12-02.ana.ud559e2054	These cases relate to the second processing of legal acts. No one has asked for the floor.
ParlaMint-NO_2014-12-02.ana.ud559e2062	Before we go to voting, the President has taken the view that Mr Grung wants an explanation of vote on case No. 5th@item: inlistbox
ParlaMint-NO_2014-12-02.ana.ud559e2065	There is an amendment to proposal No. 1, from the Labour Party and the Socialist Left Party, in Case No. 5, on changes in the alcohol law. The working party draws the last point, which concerns the third paragraph of § 3-7.
ParlaMint-NO_2014-12-02.ana.ud559e2070	Then it's drawn. The size is ready to go to voting on the matters on today's map.
ParlaMint-NO_2014-12-02.ana.ud559e2103	In Case No. No voting theme is available.
ParlaMint-NO_2014-12-02.ana.ud559e2158	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2014-12-02.ana.ud559e2168	The legislative decision will be set up for second treatment at a later meeting in Stortinget.
ParlaMint-NO_2014-12-02.ana.ud559e2176	Two proposals have been put forward during the debate. It's proposal No 1, by Ruth Grung on behalf of the Labour Party and the Socialist Left 2, from Oluk V. Bollestad on behalf of the Christian People's Party and the Center Party First of all, there is a vote on proposal No. 2, from the Christian People's Party and the Center Party. The proposal reads as follows: ‘The Government is asking for the purpose of ensuring the alcohol law and proposing that the wine monopoly cannot keep its shops open for Christmas, New Year’s Eve, Easter and Pentecost, and that the sale of alcoholic beverages from the Vinmonopolet and grocery stores cannot take place on election days and days for referendums.’ The Greens have announced that they will vote in favour of the proposal.
ParlaMint-NO_2014-12-02.ana.ud559e2202	The President recalls that before Stortinget went to voting, § 3-7 third paragraph of proposal No. 1, drawn from the Workers' Party and the Socialist Left Party.
ParlaMint-NO_2014-12-02.ana.ud559e2235	Alternatively, between the Committee's position and proposal No. 1, from the Workers' Party and the Socialist Left – with the exception of the third paragraph of § 3-7. The proposal reads as follows: ‘In Act No. 2 June 1989 No. 27 on the marketing of alcoholic beverages n.e.c. It shall be amended as follows:
ParlaMint-NO_2014-12-02.ana.ud559e2280	The working party has notified us that they will vote in favour of this setting. The Christian People’s Party and the Center Party have announced that they will vote against it.
ParlaMint-NO_2014-12-02.ana.ud559e2293	It is voted on by law and law in its entirety.
