ParlaMint-NO_2014-12-01.ana.ud1735e28	The representative Tom E. B. Holthe, who has been licensed, has once again taken the seat.
ParlaMint-NO_2014-12-01.ana.ud1735e2801	The discussion of taxation as an instrument can not only be about how to cut taxes. It has to be about something more: how do we use the tax system to facilitate growth, and how do we use the revenue from the split layer to build society at the bottom? As a representative of the mercenary from the 1970s I can report that we learned early that to build a pyramid, one had to build solid from the ground, preferably a little extra thick walls at the bottom. It took patience, and it took a plan. Those who, if necessary, tried to empty the legoclosses on the board and called their legohawk a pyramid, revealed to themselves and to others a construction that was not very impressive, and that they themselves had very little to do with the result. Norway and the future are too important for us to be able to rely on the chance of development. That's why there's going to be too random the question that tax cuts are the solution no matter what the question is. If we're going to have ambitions to build something a little bit more sophisticated than a pyramid, or for that matter a bunch, we need a plan. That's why the Workers' Party and the Red-Greens also put down the Scheel Committee. We needed a plan based on good facts, a plan for how we could collect enough blocks to build something really spectacular. It hasn't been enough for us to let it randomly enter blocks or not know at what rate we can build. When I hear the Progress Party or the Right talk about tax, it might seem that they define whether the tax is good, depending on whether the tax is taxed, like it or not. It can be a challenging approach. The tax base can quickly become very thin, and it is our ambition for work, education, transport and health that pays the price. When the Workers' Party wanted to have advice on how to improve the tax system, because we wanted to strengthen Norwegian competitiveness while continuing to build a welfare state, it was for a reason. But it wasn't because Siv Jensen was going to be able to take it as an invitation to introduce a tax system that would give her a poster on the wall in a future Margaret Thatcher Memorial. An example of how to build at the bottom is the Workers' Party's investment in its alternative budget for the skilled worker and a decent working life. If a small country that Norway survives in competition in the world, we must bet on everyone, not just cut taxes. Norway’s leading competitive advantage is a highly educated population. Professionals who are self-employed and take responsibility and decisions at work contribute to high productivity and create an exciting working day for the individual. When we equate apprenticeship places with places of study by spending the same amount of money on the apprentice's education as on the student preparing, we're just doing this. Our tax arrangement allows for the prioritisation of professionalism and apprentices far stronger than that of the government or the conciliation. In the Workers' Party, we do not believe that the accumulated wealth of a family over generations is a measure of how much the individuals of that family can contribute for themselves and others. Community where everyone meets in the same school contributes to small differences and that we respect each other, that all good ideas are listened to, that no one is depreciated because they do not have the right background or really work on the floor. Tomorrow we'll get some recommendations from the Scheel Committee. It is then important that we stick to two objectives: competitiveness and well-being. The two are linked. There are some parties that claim that one requires the other, but I think that if one weakens, the other weakens. The contributions that have been here earlier today with extended hands and hopes for a broad basis, a good deal, are also supported by the Workers' Party. It will be exciting to see what tomorrow's comments will be like. I hope, like many others, that by this crossroads too, we are able to put the big things first, and that we are able to find a settlement that will provide a good room for growth and prosperity in Norway in the coming years.
ParlaMint-NO_2014-12-01.ana.ud1735e2822	Norway is a good country to live in. There is no doubt, and according to the United Nations Development Fund, which ranks living conditions in the world, Norway is the best country to live in. The United Nations report shows a trend where the number of poor people is falling, but still 1.2 billion people make up for 1.25 dollars or less a day. In Norway, we have very good welfare arrangements. We have a high employment rate and a high population outnumbered. Looking around us in the world, there are major humanitarian crises, poverty and global climate and environmental problems. But in our 2015 state budget, there are many good measures and large resources set aside for these very purposes. What is the biggest challenge for us in Norway? We who are born in Norway or who have received Norwegian citizenship are basically born with a silver spoon in hand. Oil has made us rich – and the world's best country to live in. But we know that oil will end once, and that in the long term it is the growth of the mainland economy that will determine the welfare development in Norway. At that time, it is important to take action to create a strong and competitive Norwegian business. It involves working for a good framework for Norwegian business, better infrastructure, a competent workforce and access to capital. In Europe, in the autumn report, we see that the European Commission's track of weak economic growth both in the euro zone and in the EU in its health for 2015. Unemployment is still high in the EU countries with an average of 10.1 p.p., but with large differences between countries — from Spain at 24 p.p. to Germany at 5 pst. In addition, we have the situation around Ukraine and the Middle East, which create great uncertainty. Fortunately, in the United States, the world's leading economy, we see a greater optimism and a strong belief in growth in the future. It was predicted that Black Friday, which was on Friday, would be the biggest shopping party since 2008. The unemployment rate is falling in the United States. It's just 5.2 pst. by Americans who attend Christmas meetings without a job. It shows that there is reason for optimism in the United States. What about us here in the country? What are the North's thoughts about the future? In the previous week, Finans Norway's quarterly forecast survey survey asked about the expectations of its own economy and how they believe the economic situation of Norway as a whole will develop. The study shows that optimism is still good on its own behalf, but not to the Norwegian economy. People have brought with them falling oil prices, downsizing in oil-related industries and insecurity that is thus created. But unemployment in Norway is still low. The last published figures from the Statistical Central Bureau show an unemployment rate of 3.7 pst., which is a slight increase from the previous measurement. Make sure to have a job to go to is alpha and omega, tell a lot. Having a job has an impact on the economy and the social. In short, it is health-promoting to be at work. As Svein Flötten said in his article earlier today: The biggest inequality in society is having a job or not. Yes, it is a high priority task for this government to create several safe Norwegian jobs, which will also help to strengthen the financing of our welfare systems. The high level of wage and cost and low interest rates have contributed to an increase in household income and liabilities over the last few years. Household debt is growing faster than income, and the ratio of debt to income is historically high. It is clear that the high household debt makes the Norwegian economy vulnerable to events that may be difficult to predict in advance. It is therefore decisive that we are able to create safe jobs, and we have a government that prioritises measures that promote value creation and increase productivity in the Norwegian economy. We have a government that conducts a tax policy that will have a good impact on value creation and income over time. Yes, we have a budget for 2015 that is well adapted to today's situation, and I refer to the cooperation agreement between the Right, the Progress Party, the Christian People's Party and the Left, which says: «The Parties shall base their policy on the creation of values before they can be shared. The value creation shall be stimulated throughout the country. Norway’s infrastructure needs to be strongly upgraded, more road and rail infrastructure needs to be developed, and innovation, research and development needs to be pursued. The cooperation parties will strengthen a comprehensive and broad Norwegian business life and facilitate private ownership.’ This budget provides a very good response to this point.
ParlaMint-NO_2014-12-01.ana.ud1735e2850	Today, the important climate conference of the United Nations Climate Change Conference in Lima began, a crucial step forward towards the absolutely necessary agreement that we need in Paris in 2015. I am pleased that there is a broad consensus in Norway about the Norwegian initiative on climate action internationally. There is a broad consensus on the investment in the rainforest, and we support it under the job that the government is doing in the negotiations that are going on. Here we need an international agreement that has the necessary level of ambition. Then it's good that the equation brings with it 200 miles. kr extra, i.e. a doubling of the support, into the green fund – the green fund that needs to be built up towards Paris in 2015 – so that we can get a basis for a new agreement. But it is equally important that, at the beginning of next year, we have to present our own level of ambition for climate change towards 2030. The EU has set its ambition level of 40 pst. reduction. And for the Left, it is absolutely essential that Norway should have at least one target that is similar to that in the EU. It requires extensive migration over the next 15 years. Although the measures and climate action in this budget are not sufficient to achieve the Norwegian climate targets by 2020, it is taking a large step after eight years of standstill, and that is good. It is particularly in the transport sector that we see major changes being made. One thing is the investment on the railroad with over 500 million. kr, which means that we reach a level where the maintenance run is reduced and is the basis for a bet in the future, but we also get the bet of 325 million. kr in the reward scheme, towards the major cities, which are sufficient for cities like Oslo to be able to avoid all traffic growth by foot, bicycle and public transport also in 2015. But the biggest change here comes from car charges and from the grip of the four batches, to make alternative cars and alternative fuels competitive with petrol and diesel. We have a long-term policy within electric cars, because now we have an exemption, we took another step last year to leave the electric cars that are leased, also get exemptions from VAT – but now it is the chargeable hybrids that become cheaper and more competitive than the traditional cars, and that is also a change in relation to biofuels. Increased mandatory placing on the market is important. It itself — given the same amount of fuel to next year — is a reduction of 200000 tonnes each year. Then you have the removal of the user fee for biodiesel. There we re-establish a measure that fell away under the red-green government, and bioethanol also gets better conditions. In addition, biogas is also made competitive. We're imposing a fee on air travel. Ferry offers: eco-friendly ferries and zero emissions requirements shall be required when the technology is available, as well as further action to reduce greenhouse gas emissions in other areas. Enova is getting its budgets strengthened, it is investing in research, and the environmental technology system is being reinforced by 100 million. kr. Achieving the national climate targets requires many measures that move in the same direction. It requires action from the Stortinget, it requires implementation from the business community, and it also requires implementation from local authorities. And you have to take a big step every year. What the four parties have done in this budget is a significant step in the right direction after eight years of near standstill. The left is pleased with the consensus we now have, and is also looking forward to the cooperation we will have in the years to come in order to achieve the goals that we have set ourselves, both in 2020 and those that we will set ourselves in 2030.
ParlaMint-NO_2014-12-01.ana.ud1735e2865	The Government has submitted a draft budget in the field of the Ministry of Justice and Defence, which is a major effort. The budgetary agreement with the Christian People's Party and the Left has helped to secure the bet that the government had proposed, but also helped to make it even better. This means that there is a satisfied minister of justice and preparedness who can say that security in everyday life is more than a gleam for this government and for the majority of this House – because it is an important foundation in a rule of law. When the government has as one of its main objectives to build up under the security of its citizens, it is a great deal of instruments that need to be used. In the justice sector, it is important that these instruments are seen in the context. For many years we have listened to politicians from previous government parties who have talked about this context in the criminal chain. Now we have a practical budget proposal and compromise, which strengthens the whole chain of criminal proceedings – not only with words but also with resources. What we do on the prevention side has direct implications for what we have to do or not do on the police side and the investigation side, which in turn affects the working conditions and scope of the prosecution authorities in the courts and, finally, the need for places in the criminal justice system. I am therefore very proud that the government in the draft government budget for 2015 has given priority to all these areas of activity, and that budgetary reconciliation strengthens and takes care of this effort. Ensuring that the police are net assigned 350 PB1 positions, posts for newly educated people, is an important and necessary boost on the road to achieving the target of a police coverage of two police officers per thousand by 2020. It is also important to ensure that the police are better able to handle their tasks, where prevention is a fundamental and horizontal pre-requisite in all the work the police are doing. In addition, the bet will improve preparedness. Then we have seen that the quality of research over time has been subject to criticism. There are a number of improvements that the police are now working to implement to ensure that quality is improved. At the same time, however, we need to facilitate and ensure that the police have the necessary competence and framework conditions for faster and better investigation and prosecution work. Therefore, it is a significant strengthening when approx. 50 new police lawyers can join the police in 2015. At the same time, strengthening higher prosecution authorities with twelve state attorneys, which allow the higher prosecution authority to ensure the quality and follow-up of police investigations in police districts, is also crucial. In 2014, the government proposed to suspend the suspension of employment in the courts. It was the first year in a long time when new judges were appointed. For 2015, the budgetary agreement continued this effort, this time with seven new Judges, eleven new hearings or case-handling positions and three auditors in the Supreme Court. Crime prevention represents an unusual challenge. Capacity is too low, in particular the number of closed prisons is a challenge. There are limited possibilities to increase capacity in the short term, but the government has proposed – and has, together with the cooperation parties on the Stortinget – to increase the number of closed locations by 41 in 2015. In addition, we are still working on the possibility of renting prisons abroad, where prisoners can zone all or part of the sentence in other countries. Before Christmas, the government will present a criminal health report to the Stortinget, which will give the Stortinget the opportunity to look at challenges and solutions in a long-term perspective. In addition, this government delivers a long-term demand for four youth places in the eastern region, with its own youth unit. In order to adapt the Norwegian police to a more demanding and different everyday life, the government will also present a case to the Stortinget on the police reform. The plan is that the matter is presented just before or shortly after Christmas. The purpose of the reform is to have a police officer present and coming where they are needed. At the same time, the reform must ensure more robust professional environments, for example for the investigation of issues of violence and abuse against children and violence in close relationships, as well as major and comprehensive other issues, such as: organised profit-based crime. It's proposed 150 million. kr to that reform in 2015.
ParlaMint-NO_2014-12-01.ana.ud1735e2886	It's going to be line change.
ParlaMint-NO_2014-12-01.ana.ud1735e2889	The Minister of Justice is making his budget as good as possible, and that is in some areas. However, there are also serious concerns from large parts of the sector about the cuts in the budget also included. Yes, even from the exclaimed winner, the police, there is feedback that the cuts have greater consequences than the additions. Staff members of criminal services have been clear all along: the cuts go beyond the rehabilitation and security of employees and prisoners. They are also not satisfied with what is called the temporary solution, as the duplication is. Having a well-rehabilitating content is an effective prevention measure that increases social security. The prison director’s figures show that the proportion of employees is quite stable, but the proportion of prisoners has increased between 4 and 5 pst. Now it's closer to 100 pst. occupations in prisons. My question to the minister is: Is he concerned with the content of prisons, and what will he do to make those who come out of prison less criminal than those who go into prison?
ParlaMint-NO_2014-12-01.ana.ud1735e2894	I am pleased that the Labour Party's representative boasts of the government's draft budget. I've noted that in the margin, so I'm going to bring it with me. So in terms of efficiency, it's 50 centimeters. It is a transition and an efficiency that is relatively modest in the broad context. I believe that the vast majority of state, public agencies are able to have a 50- centurion conversion and efficiencies – or what has now become 60 centurion – in one year, without dramatic consequences anywhere. I can only understand that the Workers' Party must also be quite satisfied with the reduction in efficiency, because in their alternative budget it is not suggested that it should be reversed. So the Labour Party is behind the proposal that the government has made in this area. To the question of content: I am concerned about content, but I believe that in order to ensure better content in Norwegian prisons, there is also a need to have a capacity that is satisfactory.
ParlaMint-NO_2014-12-01.ana.ud1735e2901	I want to commend the Council of State for a good report and I want to commend him on the initiatives taken, and also proudly sign a lot of what we have done together in the Justice Budget, both the strengthening of the police and, as the Council of State is also concerned, that we have with the whole criminal chain. It's important. Then there is also an important element on the part of the Christian People's Party, for which we have had the advantage in the negotiations, to strengthen the fight against trafficking in human beings, and I know that the government has had a desire to lift that field. The action plan against trafficking in human beings is going out this year, and as one in the Government Declaration warns that action against trafficking in human beings should be stepped up, I want to know what the Council of State thinks about the next action plan and, if necessary, how to follow up to strengthen the fight against trafficking in human beings, as well as the proposals we have now received in the conciliation.
ParlaMint-NO_2014-12-01.ana.ud1735e2908	The proposal in the conciliation is a welcome strengthening of the ability of the police to organise themselves in a slightly different way from what one has done so far, to ensure that one has competence and robustness in some of the environments that already exist today. As far as the action plan is concerned, it is important that we continue to follow it up in the future with regard to ensuring the way we are now working with action plans in the government, so that there are not action plans that have no concrete content but are investigating, evaluating and coming back to them. The work on a new action plan on trafficking in human beings is well under way, but it is important that there should be an action plan that should be concrete, with concrete action points and that is followed up not only in the police track but in a number of other tracks. So there's something we have to do more across than just do what's in the justice sector.
ParlaMint-NO_2014-12-01.ana.ud1735e2913	It is the management of the police that is exercised in the situation, for example in the event of a terrorist attack or an accident, that is crucial to the outcome. We learned that from July 22th. Since 1995, the defence has developed and introduced a decentralised management philosophy, known as operational management, to ensure initiative, creativity, ownership of work, sense of responsibility and thus collective commitment. Combined with this management philosophy, we need to have a close-up police force that can provide a shorter response time for the police across the country – that is, the opposite of centralisation. Police must come as quickly as the municipal fire and rescue services. That's why the Senter Party has a 200-million bet on the local police. kr in the budget. Unfortunately, it does not have a majority, but my question is as follows: Is the Council of State agreeing with the philosophy of management of operation-based police management, and will the Council of State work towards a reduction in response time, so that the police are in place as quickly as the fire and rescue facilities?
ParlaMint-NO_2014-12-01.ana.ud1735e2922	I think this is a very good kick-off for a good discussion about management. I'll answer as quickly as I can in one minute. I think it's a very crucial perspective that management should take place at all levels of the police. I actually tend to turn the pyramid around and say that the management of the police is from below and up in the first row, precisely because it's as surgical as it should be. This is a focus that now also the police through several rounds have been very clear about following up downwards. As far as response time is concerned, I fully agree with the representative, Lundtegen, that response time is crucial for the police to be at the scene in time. But I'm not sure we'll let the local fire service set the norm for that response time. The reason for this is that approx. 70 pst. by Norwegian firefighters are on voluntary service, and if one is to compare response time in the fire service with police response time, one will quickly find himself in a situation where officials are simply not available enough to achieve such a goal. But we need an ambitious response time target, and we need clear demands and expectations for the police response time in the future.
ParlaMint-NO_2014-12-01.ana.ud1735e2931	I understand that the Council of State is pleased with the agreement, because the husband of a petty and unsolidarous cut, which we find in the budget of the Council of State, is to be looked for a long time. This applies, for example: the service centre of the au pairs, which are the most vulnerable workers, and which may be exposed to just trafficking in human beings, which the Council of State was currently engaged in. It is also a matter of removing the money that could have allowed young people who have spent several years of their lives — their infancy — to go to kindergarten at the reception. I actually thought that we agreed, and that everyone knew, that going to kindergarten is very important – especially for immigrant kids to learn Norwegian. There have been many reports — last 14 days ago — that show that it is essential that children go to kindergarten to learn Norwegian. Then my question becomes: why does the Council of State think it is good that children who live at reception for years, where most of them are going to live in Norway, do not start learning Norwegian early?
ParlaMint-NO_2014-12-01.ana.ud1735e2940	I don't think it's good that children live on asylum reception for years at all. I think that in itself is a big problem. It is therefore essential for this government to ensure that asylum applications are processed quickly and that we have a new reception structure, which distinguishes between those who are not allowed to stay and those who are to be returned and who are to stay and who are to be in the country. I am absolutely convinced that having an effective asylum procedure means that asylum seekers can quickly clarify their situation and know if they should be returned, and that either all efforts are made to ensure that they are actually returned, or – if they are to be – make every effort to integrate them, is the best. This applies not only to the integration through kindergartens or language training, but also to the integration that allows a rapid settlement in a community. I am absolutely convinced that when this government's policy on asylum has its full effect, and we have the right time to deal with it, we are no longer in the situation that there are children who live for many, many years on asylum recipients.
ParlaMint-NO_2014-12-01.ana.ud1735e2950	The cord shift is over.
ParlaMint-NO_2014-12-01.ana.ud1735e2953	Norway will face many and major challenges in the coming years. Strong population growth, older people, growing cities, other parts of the country that need new growth, immigration, climate change — it is key to some of the societal changes that Norwegian society needs to face. The Labour Party believes that these societal changes are the best that we can meet together. And we're doing it by equipping the country's municipalities to give our kids a good start in kindergarten and at school, by expanding good local health services and by building up enough capacity and recruiting enough people, so that we can provide them with more and more older good and custom-made services. A good local economy is the prerequisite for doing this. The working party will spend the big money on the big problems. That's why the school and the municipal welfare services are the main priorities for the Workers' Party in our alternative budget for 2015, where we put in a total of about 3.4 billion. kr more to the municipalities than is the government's draft budget for the next year. When the government, together with the Christian People's Party and the Left, has tax cuts as its main contribution to the 2015 budget, the majority leave the difficult priorities to the local politicians of the country. The last municipal barometer, which was carried out in October this year, after the state budget was presented, shows that two thirds of the councillors and rapporteurs surveyed respond to the fact that they will have a lower economic space for action until next year. Last week, KS’ chief economist pointed out that when retirement and demography are withdrawn, the municipalities may only be left with about 1.4 billion. kr to next year. He also points out that many municipalities will have to use the free revenues next year to cover the tax failure of the year, for which the government categorically refuses to compensate, even though it has done so for the last two times it has been tax failure in the municipalities, respectively by the Bondevik II Government and the Advance Party in 2004 and by the Red-Green Government in 2009. The government's lack of willingness to bet on the municipalities is evident when the local government around the country in these days makes its budget for the next year. Here in the capital, city government politicians must cut for 327 million. kr. At the other end of the country, in Alta, run by the Right and the Advance Party, it is set up to ensure that teachers have to cover up for sick colleagues, that kindergarten workers have to do double jobs when others are ill, and that health workers have to put up with extra efforts for colleagues. In Porsangs, not so far away, the Right-Rapporteur says that the cuts will all notice in the municipality. In a line change earlier today, the parliamentary leader of the Progress Party said that we should not interfere with the priorities of the municipalities. I agree, of course, that we should respect local democracy and local priorities, but at the same time, the Stortinget has very high expectations of what municipalities should do in schools and care for the elderly and very many other areas. In that case, local politicians must also be able to expect the Stortinget to provide a financial framework for those who are in line with the demands we are making. That lack of coherence in the municipal structure that the majority of the population will adopt tonight for 2015. Prior to the 2013 elections, the choice between well-being and tax cuts was a very central issue. The answer from the Right and Advance Party was that you did not have to choose. In Bergen and Stavanger, the local people elected by the government parties experience a somewhat different reality than the Right and Advance Party are prejudiced here on the Stortinget. They introduce and increase property taxes, respectively, in order to avoid painful cuts in welfare and school. For the Progress Party and the Right, which has prejudiced the excellence of growth-promoting tax cuts, it must be a paradox that tax cuts are at the expense of the local economy in a way that forces the growth of taxes in cities run by the government parties. Norway has good finances and opportunities to invest in the future, and unlike many other countries, we do not need to cut welfare services, kindergarten and school. We can choose where we want to bet, and I believe that the majority of people abuse this possibility by prioritising tax cuts that will both lead to greater differences and force many municipalities to cut off what they don't want.
ParlaMint-NO_2014-12-01.ana.ud1735e2970	The State budget will provide real solutions to real challenges for real people, but it will also equip Norway for the future. Therefore, the government's main action is to invest in the education of our children, on the road and rail, in health and justice, and not least a strong boost to climate and environmental technologies. The government also prioritises those who need our common help most: stronger commitment to drug treatment and psychiatry, the right to user-driven personal assistant, lower child care prices for those with the lowest income, the proposal that parents on social assistance should not be less paid if their youth work alongside school, grant schemes for families with poor finances, so that they can travel on vacation or have access to leisure equipment, the biggest tax relief for those who have the least from before, through increased deductions – all these are examples of government prioritising welfare measures that mean far too many in everyday life. At the same time, we need to equip Norway for a future where the oil economy is becoming less important and the older wave is increasing. If we're to maintain the welfare we all appreciate, it has to be created more, not taxed more. At the same time, we must start the transition to a low-carbon economy. Norway has technology, competence and capital to demonstrate that it is possible to combine high living standards with low emissions. Environmental and climate challenges are global challenges that require both national and international action. Norway shall be a driver of an ambitious international climate agreement in Paris in 2015. We only have one globe. It must help Norway to save. We cannot do the job alone, but we can show way in important areas, help to develop and implement new technologies and make a difference in important areas internationally. The social contract we live under is not just a contract between citizens and state, the social contract is just as much a contract between those who lived before us, us who live today and those who come after us. Therefore, the precautionary principle, the generational perspective and the administrative responsibility lie at the heart of the Right’s policy, and therefore the Right believes that climate policy must be integrated in all policy areas. We're on the threshold of a green shift. Renewable energy is becoming increasingly competitive compared to fossil alternatives. Battery and storage technologies are being researched more than ever before. Industry, construction and car manufacturers are getting more and more out of it. An important recognition begins to sink: the future belongs to those who dare to lie ahead. There is a good economy in producing efficient and environmentally friendly. In short, thinking green is now starting to give black numbers. This allows the market to be used in the service of the environment. We politicians are not going to run after, we're going to set up so that as many as possible see the attraction of leading, developing and implementing new technologies. One of the most important things we can do is to contribute to making environmentally friendly choices, industry and business have good support mechanisms for developing pilots and demonstration facilities, it is attractive to realise new renewable energy in Norway, that the public sector contributes by asking for environmentally friendly goods and services, and that new technologies are both developed and put into use. This is how emissions can be reduced, and so we can create new green jobs across the country. Governments and cooperative parties propose a number of measures to facilitate the transition to a low-carbon society: better depreciation rules for wind energy, higher entry point for rent taxes, increased efforts to promote climate and environmental technologies under both Enova and Innovation Norway, the continuation of the tax advantages for electric cars, cheaper hybrids, higher turnover of biofuels, the removal of biodiesel, the reduction of the bioethanol levy, better framework conditions for biogas for transport, faster phasing out of fossil oil firing in State-building buildings, new guidelines for environmental urban and urban development, stronger rail and public transport investment – to mention something. The list is long, I could still have, but I'm going to save you for this. There can be no doubt that the state budget is the greenest that has ever been presented in Norway, as the representative of Elvesuen was also involved. The fact that the petrol and diesel taxes are not restated does not change this. The budgetary agreement with the Christian People's Party and the Left further reinforces the green profile in the budget, which all four parties are pleased with. In total, the measures in 2015 represent a completely necessary shift in the pace of environmental and climate policy and are in stark contrast to the red-green efforts in this area over the last eight years. Many seem to believe that climate challenges can be addressed by reducing the extraction of coal, oil and gas. It is true that the combustion of these fossil resources accounts for 80 pst. of greenhouse gas emissions. However, energy needs do not disappear if one country voluntarily leaves resources on the ground, especially in a situation where more and more people are to be lifted out of poverty in the coming years. Therefore, it is more important that we contribute to the development and deployment of competitive alternatives to coal, oil and gas, whether in the transport sector, industry or the power sector, than it is that we leave fossil resources in the country at the highest CO2 taxes in the world. Managing the oil sector in Norway will not save the climate, but it will make our ability to maintain well-being and contribute to a green shift, outdoors and at home, much less. We don't get much greener, but we get considerably poorer.
ParlaMint-NO_2014-12-01.ana.ud1735e2990	Health was one of the areas for the Advance Party in previous elections. We would have new solutions, shorter waiting time, higher quality and more freedom of choice. The Progress Party is fulfilling its commitments with this budget. This budget provides inter alia: on the retention of the rights of user-controlled personal assistant, which the red-greens trained for eight years, and facilitates a higher rate of growth in patient treatment than the red-greens were adopted throughout their reign. We're going to create the patient's healthcare. All shall have access to equivalent quality health services through increased appropriations, clear priorities and new solutions, funded by the public. During 2015, the government will launch a series of actions and improvements that the Progress Party has fought for over many years, such as the introduction of free treatment options. This is a very important reform for the Progress Party because freedom of choice is high for us. Free treatment options start first for those who need it the most, namely for those who struggle with addiction and mental disorders. Lack of co-determination and tailor-made offers have prevented the treatment being given from actually working. Therefore, the introduction of free treatment options is very important. I regret that many for ideological reasons, or for self-interest, do not support this work. 200 lucky days places within long-term treatment have now been purchased across the country, and this continues in 2015. A lot of people now have a new opportunity. At the same time, it is essential that municipalities follow up with post-protection. Therefore, in line with the policies of the Progress Party, we strengthen teams and organisations as well as earmark funds for the work on drugs and for the recruitment of several community psychologists. The 180-million-dollar strength. kr to health centres and school health services in the current year have given many new health sisters across the country. This appropriation is continued and increased by an additional 270 million. kr. The Progress Party has made a number of proposals for a national health and hospital plan. Now we finally get this. After several years of closure of local hospitals, long queues and many Corridor Asians, we will get a proper overview of the capacity, quality, deficiencies and challenges. Furthermore, for the first time, a notice on primary health services and a long-term extension of the escalation plan for the drug field shall be provided. It's the patient who's going to be at the center of all the changes that are being made. We want to strengthen patients' rights. Now we do what we've always said: we put the patient in front of the system. The Progress Party is pleased that we are now using all the good forces and introducing a new course in the view of interaction and cooperation between public and private and non-profit actors. Diversity contributes to freedom of choice, innovation and efficiency. Much is good in Norwegian healthcare. In a number of areas, research and analysis show that we are achieving good results. Skilled employees do an invaluable job and provide good quality throughout the day. At the same time, the Progress Party has pointed to important areas where changes and improvements are needed. Too much variation in quality between hospitals, municipalities and services testifies to the potential for improvement. We need to take care of what is good and improve what can be improved. We are strengthening cancer care in several areas. In 2015, standardised packaging processes for cancer treatment and multidisciplinary diagnostic centres are introduced in all regions. This too has been a driving force for several years. Patients must have rapid access to new and innovative medicinal products. It is therefore gratifying that the de minimis threshold for reimbursement of medicinal products is increased from 5 to 25 million. kr, after having remained silent for many years. A statutory right to the care and care of the lucky day shall be first investigated for introduction. Through the first two budgets of the government, the state has already taken a greater financial responsibility, which is now being expanded to something that we in the Progress Party have always been left alone, namely a pilot scheme with State funding for the care of the elderly. It is a pleasure that the interests of the municipalities around this have been very strong, despite the fact that the scheme has not yet been announced.
ParlaMint-NO_2014-12-01.ana.ud1735e3011	A representative of the Progress Party wrote in an explanatory note following the budget proposal that the State budget ‘takes Norway in the right direction’. Among other things, he pointed. on: ‘The budget for the livestock sector is increasing by almost 20 per cent. Norway has 350 new police officers and 69 police lawyers. More than 10 000 criminal foreigners and non-residents are sent out in 2015. It is noted that FrP now has a hand on the steering wheel of the State budget.’ My comment is: Yes, it's noticed. The State budget takes Norway in a new direction, and the issues that the representative wrote about show which. This is the first budget of this government, and the reactions have been massive – not positive, but negative. It's the unsocial profile that people respond to. The cuts in the wealth tax are the main priority – not surprising. What provokes people is that the Right Party and the Advance Party talk like this is cut that primarily benefits most people and ordinary people, while the reality is that more than half of the tax cuts are cut in the wealth tax, that is. essentially cut off the taxes of those who have the most of them. The Ministry of Finance's own survey shows that a person with a income of around NOK 300000 gets about 800 kroner less in taxes per year, while one who makes $2 million. NOK and above, will receive approximately NOK 40000 in tax cuts per year. That's the actual profile. We like to present Norway as a country with small differences, which is highlighted by many as an advantage. Small differences were the policy of the red-green government. Good distribution is about justice, but also means a lot to economic development, growth and stability in a society. That's part of the core of the Nordic model. The reality of this government's policy is that they give priority to the part of the population that already has the most, in their budget, which will increase the differences between people. Some countries have believed that it is possible to have welfare services at the level of the Nordics, but at the level of the US. I can't. It's clearly shown us over the last few years. The welfare community is a sprawl layer through, among others. taxes and taxes that we pay. When tax revenues are reduced, welfare services need to be cut or even more oil money used. The Workers' Party does not support the tax cuts, but will instead spend the money on welfare services in 2015. The right criticised the red-green government for spending too much oil money in its budget proposals and demanded proposals from the Stoltenberg government to reduce the tax bill for our children. Prime Minister Erna Solberg said in the election campaign that the Right would make Norway less oil dependent. It's time to ask Right what they're thinking now, with record oil spending next year. The Labour Party will not go into this oil industry in next year's budget; we will spend 2 billion. kr less. Finally, some comments on the profile in the budget of the Right and Advance Party: there are not so many traces after the election promises of new ideas and better solutions. The government itself created great expectations for this budget, but has not fulfilled it. I respect that not everything can be resolved in one budget. Nevertheless, I would like to point out that the profile shows one focus, namely tax cuts and the use of more oil money, and this profile is also retained after the conciliation. The Right and Advance Party promised that road and rail would be planned and built in the mid-term. There was going to be more money going on without a bomb, for the development of the railway, for the elderly and school. These promises are already broken. Instead of removing the booms, the Progress Party shall now demand the tolls smarter and set up more. The budget will lead to cuts in important municipal and county services, the main services for most people, such as health, care for the elderly, schools and kindergartens. It was not the great teacher lift, and the railway and road projects are not provided, but are carried out as the red-green government put it in the NTP. In this budget, the Progress Party and the Right have not been able to address the challenges we face in the future, in relation to the fact that oil revenues will fall, and that there is a need for the transformation and organisation of new jobs, in relation to the fact that we have an increasing number of older people, and in relation to the need to convert to the low-carbon society and create the jobs of the future. The government's announced comprehensive review of car charges and green tax change do not look at the budget. On the contrary, it is outsourced and – as so much as possible – will be investigated by a sample. The budget has improved, however, through the negotiations with the Christian People's Party and the Left, but there is a need for greater efforts here. The working party will continue the conversion of the car charges we were in the process of stimulating a more environmentally friendly car park. We will stimulate households through increased transfer to Enova and stimulate industrial and business conversion by expanding the environmental technology system. The Labour Party has a recognisable profile, where we focus on knowledge, health, climate and well-being in our budget, and where we will invest in solutions and actions in the future and see sectors in the context.
