ParlaMint-NO_2014-10-22.ana.ud143e26	The representative, Dag Terje Andersen, will put forward a proposal for a representative.
ParlaMint-NO_2014-10-22.ana.ud143e835	‘By virtue of the permissions of the EEA funds, Norway has concluded financial support agreements for many different EU countries, including Hungary. Does the State Council know what will happen to the money that was supposed to go to Hungary, as Norway has warned that further payments of EEA funds to the country will be stopped?’
ParlaMint-NO_2014-10-22.ana.ud143e847	Payments of EEA funds to Hungary have been suspended due to breaches by the Hungarian authorities of agreements on the management of funds. This means that it cannot be completely excluded that payments can be resumed if Hungary shows that the agreements it has concluded will be respected. Payments of EEA funds are made in advance, at the request of the recipient countries, three times a year. Due to the suspension of payments to Hungary, no funds are transferred there. The final date for the approval of expenditure during the current period of the EEA financial resources is 30 April 2016. If we stop paying, the total transfers from the Ministry of Foreign Affairs will be reduced accordingly.
ParlaMint-NO_2014-10-22.ana.ud143e856	I thank you for your answer. While the government has stopped funds to the right government in Hungary, a choice has been made to continue the transfer of funds channelled through the Ecofin Foundation to independent and voluntary organisations. The Council of State has expressed great hope that the EU will not respond more critically to developments in Hungary, including: about the commitment to press freedom and harassment of voluntary organisations, which did not seem to decrease. Has the Council of State been given a new signal from the EU and will it be a topic in the current negotiations on the EEA quota, which in that case could result in a permanent reduction of the economic framework for Hungary?
ParlaMint-NO_2014-10-22.ana.ud143e865	It is quite right, as Mr Navarsete says, that I am disappointed that the European Union is not more strongly attached to the fundamental values on which European cooperation is based. There are values and principles Norway shares with the EU, and it is important that countries that become members of the EU on the basis of specific criteria also govern on the basis of those criteria, and that there is no authoritarian development in EU Member States. It is also the basis that once we have suspended the funds, we address this with the EU, although this is a bilateral relationship with Hungary. We are in dialogue with the EU on the issue. We'll deal with it where we can, but there's so far no topic in the negotiations on EEA funds for the next period. There's also no reason that it should be.
ParlaMint-NO_2014-10-22.ana.ud143e872	I thank you for your answer again. The government is known in negotiations with the EU on new Norwegian payments through EEA funds. It has also emerged that the government is considering providing funds to non-EU countries. Has any other use of EEA funds been part of the negotiations between the EU and Norway on a formal basis, and how far will the government go in relation to requirements to build up under more bilateral relations between the EU and individual countries that are not currently connected to the EU?
ParlaMint-NO_2014-10-22.ana.ud143e879	I am pleased with this opportunity to point out that, in investigations or negotiations with the EU, we have not discussed or launched thoughts about using EEA funds outside the EU area, but we have explored the possibility of seeing our contribution to a broader European integration process in the context of EEA cooperation. This is because it is a broader and deeper European integration process, but it is therefore not a matter of using EEA funds outside the geographical scope relevant to EEA funds.
ParlaMint-NO_2014-10-22.ana.ud143e888	‘The Government has announced that it will extend the toll collection period at E18 in Westfold by 5 years. TV 2 has demonstrated through several surveys that this could increase the toll bill on business and drivers in total by 1.4 billion. kronor through increased financing and collection costs. How does this correspond to the promise that more tolls will go to road construction and less to the financing and collection of tolls?’»
ParlaMint-NO_2014-10-22.ana.ud143e895	Over the last few years, tolls in Norwegian bombers have increased sharply. Only in the last four years, while Geir Pollestad himself was State Secretary in the Ministry of Transport, the toll debt was doubled. This means that drivers pay more and more in administrative costs and interest costs to get on Norwegian roads, rather than funding roads through taxes and taxes. This government has announced a toll reform. That means we want to change the way to organise the toll sector. In some places it means we're removing the toll stations – we've already done that on seven sections. In other places it will result in lower rates, etc. The drivers will get out of this. That's the whole point. We want to collect the loan debt and get lower real interest rates, and we want to bring together the administration and thus get lower administrative costs. That means that we can either reduce the rate or reduce the payoff time, or have a combination of both. This has not yet been decided in the Storting. But to give a taste of what it can be, and to solve local challenges on E18, we have put in a transitional arrangement where, among other things, The E18 in Westfold is now allowed to reduce the fare. So the calculation to satisfy the guarantees the county has already given, has done that one here has not reduced the borrowing costs of interest and administration, but that we have shown a calculation of longer payoff time. It's just a temporary calculation because the reform hasn't come into force, and because it would be pointless a lot of work to start changing a loan guarantee and then changing it again when the reform comes into force. The calculation referenced from TV 2, TV 2 itself, has been informed that it is not a very relevant comparison. The letter from the Ministry of Transport states that taking into account all the elements of this reform, borrowing costs will not rise. Ergo wouldn't be right to say it was 1.4 billion. kr more expensive. What we achieve, on the other hand, is what the Central Party in Westfold itself took the initiative already in 2007, to get lower rates on this route, so that one avoids over 25 pst. of the cars on this route would drive on local roads instead of on the motorway. Here there are schools and kindergartens along the road that the Center Party in Westfold sees that it would be very unfortunate if many thousands of cars were to start driving by, because the fares were so high on the highway, on the E18. This is why we have met the approach of Westfold — as a single Westfold county — to reduce tariffs. Here it means that one will actually get many more to drive on the highway that one has built, instead of taking the side roads because of high fares. It also means that more people are involved and pay the bill, which means that you can have a lower rate without actually ending with a longer down payment period. That's how everyone wins. The drivers get it cheaper. Those who live along the side roads get it cheaper. And at the same time you've got a good path in place. That's what I think is a win-win for everyone, without it costing anything more.
ParlaMint-NO_2014-10-22.ana.ud143e912	I thank you for your answer. There is absolutely no doubt that this toll reform has been announced – it has been notified in large letters and repeated times. Unfortunately, we do not see any trace of it, nor in the state budget. In any case, the fact of the transitional arrangement is that when we extend the amortisation period from 15 to 20 years, the cost increases. So in other words, there's also going to be some new items, where someone else is going to take this bill. But I understand that the principle of 20 years' collection should also be underpinned, even if it is the state that takes over the bill. However, the drivers have expectations of the Progress Party in this regard, and when the State Council writes on its blog that ‘ergo is going to be the lending rate of the drivers almost 0 %’, my question is: When can the drivers expect the state to take the borrowing rate, so that the borrowing rate paid by the drivers will be nearly 0 pst. ?
ParlaMint-NO_2014-10-22.ana.ud143e921	When I get such offensive questions, I guess it also means that the Center Party is more than happy to support that reform – since you are asking how fast it can get in place. It would have been nice to confirm. It is also true that the drivers have great expectations that the Progress Party as part of the Right-Fremskritsparte government will contribute to a reduction in toll costs. We've gone to the elections on that. They didn't have that expectation for the red-green government, which was constantly increasing toll tariffs and costs. It is also wrong to say that this reform is not tenacious in the draft budget for 2015. It is mentioned on pages 76 and 77 of the budget proposal from the Ministry of Transport, and there you can read about it. But it is such an important reform that it is not natural to include a lot of decisions in the budget. We got the decisions we needed in the revised budget this summer. The reform itself is so extensive that it needs to be presented as a separate proposition, and the aim is to bring it into effect during 2015 – precisely because it is important that the drivers get benefits from lower toll costs by reforming the scheme.
ParlaMint-NO_2014-10-22.ana.ud143e930	Now it may be common for the representative to ask, but I got a question, so I would remind you that both for the state budget last year, for the effrontery and for the revised budget, the Storting has actually allocated more money to transport than the Right Party government has proposed. So it's going to be something artificial to owe to Stortinget when it's about appropriations. It is also the case that the government has been given an impact and support in Stortingen for the cancellation of the toll debt that has been proposed. That's the point of the toll reform on an interest rate of approximately 0 pst. Which is the central one. One thing is to write it on a blog, something else is to say it in Stortinget. Then my question is: can the Council of State guarantee that in the toll reform that will come in 2015, it will be added that the state will cover the entire interest rate in toll projects, so that the borrowing rate is approximated to 0 pst. ?
ParlaMint-NO_2014-10-22.ana.ud143e937	The representative Pollestad mentions the objective very clearly: that the interest rate should be approximately 0 pst. It doesn't necessarily mean all the interest, but a lot of the interest. That is what is contained in the word ‘approached’. But there are many wrong premises in the question here. Firstly, the 2015 budget proposes an increase of 18,1 pst. to road appropriations in addition to the red-green proposal in 2014. In the additionalproposal of the Right-Fremskritslot-government last autumn, proposed road appropriations were in fact higher than the final decision of the Size. So the size of the store negotiated the road allocations. However, with the support of the Left and Christian People's Party, road appropriations were significantly higher than proposed by the government of Pollestad. So it's not right that we got exactly what it was added up from the previous government. It is a significant increase, because there is a significant change of pace in this. But again: I think it is good that the representative Pollestad is concerned with lower toll tariffs. This testifies to a new course compared to when he himself sat as State Secretary in the government. It bears witness to good times.
ParlaMint-NO_2014-10-22.ana.ud143e946	So we go to question 13.
ParlaMint-NO_2014-10-22.ana.ud143e953	This question, from the representative of Kirsti Bergstø to the Minister for Defence, will be raised by the representative of Ingunn Gjerstad.
ParlaMint-NO_2014-10-22.ana.ud143e956	So my question is to the Minister of Defence: ‘The Ministry of Defence has decided that the cleaning of the defence's buildings shall be put to tender. How have employees and their organisations been involved, what will happen to those currently employed, and how will this affect their pay and pension conditions when compared with usual private sector pension schemes?»
ParlaMint-NO_2014-10-22.ana.ud143e965	Let me start by putting the answer into a context. Overall, the defence sector spends more than 300 million dollars. kr per year on a clean basis, and Defence Building is the monopoly supplier of this service to the Defence. A working group led by the Ministry of Defence reviewed the management model for property, construction in 2013. The working group gave its recommendation to the political leadership at that time on 22 May 2013. The report shows, among other things: that, in principle, there should be no obstacle to the freedom of the defence to choose who is to provide cleaning services to the Defence. The defence has also expressed in the process a clear desire for increased freedom of choice in the choice of service provider. Missions to the agencies to investigate and/or implement concrete improvement actions in the context of the above report, including for cleaning services, were sent from then political leadership on 20 August 2013. With this in mind, the Ministry of Defence commissioned the Ministry of Defence to provide the Department with an inquiry into this matter, in cooperation with other departments in the sector. The Ministry of Defence gave instructions that employees should be involved in this investigation according to the guidelines in force, and that a working group was set up, inter alia. representatives of the board of trustees; In February 2014, the Working Party of the Ministry of Defence delivered a final report to the Ministry of Defence on the possibility of purchasing cleaning services directly from suppliers other than Defence Buildings. Through this investigation, employee organisations have been given the opportunity to make a thorough contribution to the case. The decision will have a human resources impact on those who are currently working on clean-up in Defence Buildings. Defence Construction and Defence shall submit by 1 December 2014 a agreed plan for the execution of the mission by the Ministry of Defence. Furthermore, the establishment shall implement the necessary processes and investigations to enable the mission to be completed as soon as possible and by 1 August 2015 at the latest. In the process, the human resources impact shall be fully elucidated by the departments concerned and a competitive basis shall be established to safeguard the interests of the defence sector in the best possible way. It is therefore too early to say what the consequences will be for those currently employed in Defence Buildings and performing cleaning services, as well as for pay and pension conditions. The Ministry of Defence has in the whole process – and I will repeat it now – underlined that the rights of employees should be properly respected and in accordance with the applicable legal and contractual work.
ParlaMint-NO_2014-10-22.ana.ud143e978	I thank you for your answer. Currently, security clearance has become an increasingly topical issue in this country, and our defence has a major and important mission to defend countries and people. My question is therefore: what is the Minister's strategy to ensure that safety-cleared cleaners are obtained from the private companies that might clean up the defence's small and large locations?
ParlaMint-NO_2014-10-22.ana.ud143e987	The representative points to a very important point, and the requirement for security clearance will continue to apply in the future regardless of who is performing the clean-up service. It is an important part of the planning work now being carried out by Defence Building and Defence, to find appropriate solutions to this, and it must take care of the special needs of the representative, quite rightly, that the defence sector has. The requirement for security clearance has existed until now and will continue to apply in a new system.
ParlaMint-NO_2014-10-22.ana.ud143e992	I want to know a little more specifically how the Minister of Defense will talk to the many people who are affected by such a decision. So we have 364 cleaners today that are directly affected by the decision, of which 150 are over 55. Most of them are women without much formal education. We talk a lot in this room about preventing people from falling out of work, so the real question is, how will the minister deal with these people?
ParlaMint-NO_2014-10-22.ana.ud143e999	As I have explained, both contact with trustees and not least how to handle employees through the existing legal and contractual works is a significant point here. For this reason, trustees through their representatives have been involved in the investigation, they have been given thorough consultation and they represent the employees in these processes. I have also been very concerned about stressing that when we now go into the concrete and formalisation of this, the consequences for the personnel should be thoroughly highlighted. Then I would like to stress – and I think it is important to look at this in this context – that when we reach the Defence Council, in all the levels and anywhere else in all the departments, we look at opportunities to carry out core tasks in the best possible way, we also need to look at opportunities to release resources to do so. This means that when we do this, it will be able to be traded for several hours of sailing, flying, exercising and training that carry out the main mission and core activities of the Defence in the best possible way, namely the operational ability and defence of the country.
ParlaMint-NO_2014-10-22.ana.ud143e1006	So we go back to the questions 5 and 6. However, these questions need to be postponed.
ParlaMint-NO_2014-10-22.ana.ud143e1031	As I said, these questions are postponed, as the Minister for Foreign Affairs has gone away.
ParlaMint-NO_2014-10-22.ana.ud143e1038	This question, from the representative Jan Bøhler to the Minister for Foreign Affairs, is answered by the Minister of State at the Office of the Prime Minister for the Coordination of EEA Affairs and relations with the EU on behalf of the Minister for Foreign Affairs.
ParlaMint-NO_2014-10-22.ana.ud143e1041	I just want to say that I am aware that there has been a new development in the matter since the question was delivered within the deadline of Thursday, but I still think it is of interest to address the question here and go into it further. It's like: ‘In northern Syria at the border with Turkey, including in the city of Kobanê, the Kurdish population is at the forefront and makes the biggest victims in the fight against the bestial terrorist organisation IS. Kurds have difficulties in obtaining reinforcements, ammunition and supplies, partly because they are under the control of IS and partly because, according to many sources, the Turks do not allow this. What can and will the government do to influence Turkey to facilitate Kurds to bring in supplies, reinforcements, etc. via their land area?’
ParlaMint-NO_2014-10-22.ana.ud143e1050	The brutal terrorist organisation ISIL must be combated. Action against ISIL must be taken along several lines, political, economic and military. Humanitarian action is essential to help the civilian population affected by the conflicts in both countries. I fully share the concern of the representative, Mr Bøhler, about the consequences of ISIL's behaviour and the enormous suffering that the group causes to the civilian population in Syria and Iraq. This is high on the agenda for the government's talks with colleagues inside and outside the region, last in the meeting between Minister of Foreign Affairs Brende and Germany's Minister of Foreign Affairs Steinmeier on 17 October. Norway is in dialogue with Turkey, both bilaterally and in multilateral forums, on how to resolve the conflict and on how to combat the progress of ISIL. I myself discussed the conflict with Deputy Prime Minister Babacan and EU Minister Bozkir in Istanbul on 29 September. The situation in North Syria, including in Kobanê, is part of this dialogue. Turkey has a key role to play. In a recent talks with Foreign Minister Brende, Turkey’s Foreign Minister, the latter confirmed that Turkey will actively contribute to the fight against ISIL. Turkey also makes significant humanitarian efforts by accepting a large number of Syrian refugees, including from the Kurdish territories. Kurdish forces are now fighting a hard fight against ISIL in Kobanê. In recent days, American aircraft have been dropping air supplies with weapons, ammunition and medical equipment supplied by Kurdish self-government authorities in Iraq. As the representative of Bohemia has been involved, there has been a development in the last few days. The Foreign Minister of Turkey informed on 20 October that Ankara will allow Kurdish forces from the autonomous areas of northern Iraq to cross Turkish territory on their way to northern Syria. In this way, the forces fighting ISIL in Kobanê can get some of the assistance that has been requested. The Norwegian response to the crises in Syria and Iraq is largely humanitarian, and we are one of the foremost humanitarian contributors. Because humanitarian needs are rising sharply in areas where the Kurdish population is dominant, parts of Norwegian-funded projects will be directed to these areas and to support Syrian-Kurdish refugees in Turkey. In total, the government has granted about 1 billion. kr in humanitarian and other assistance to Syria and Iraq in 2014.
ParlaMint-NO_2014-10-22.ana.ud143e1067	Thank you very much for a positive answer. I just want to add that as late as Sunday I saw a TV clip with President Erdo­an in Turkey, who characterized the Kurds who fought in Kobanê, as terrorists, and that you wouldn't open up to send reinforcements in there. Fortunately, there has now been a change of attitude – which at least was announced on Monday. What I would like to ask about, in addition, is whether Norway is assessing what more can be contributed to the area. It is that this fight is far from settled or decided, and there may be many things Norway can do, for example. in connection with the economic war against IS. They are, of course, financed, among other things. by dumping oil on world markets – they dump oil via different channels. I would like to ask if Norway is assessing other contributions, including: in order to implement an effective economic boycott of IS – if Norwegian competence can be deployed in that work internationally.
ParlaMint-NO_2014-10-22.ana.ud143e1078	As mentioned above, efforts against ISIL must be broad-spectrumed, and it must address both political, economic, military and humanitarian elements. It is also important that there is a coordinated international effort. The efforts to eradicate sources of terrorist financing are very important and must also be made in a multilateral and international context. We have so far concentrated our efforts on humanitarian issues, where we are one of the foremost contributors. We have also made an effort by Norwegian officers in the US Central Command, which helps to plan the international military effort. We are assessing further military efforts, but have not yet taken a decision on concrete military contributions.
ParlaMint-NO_2014-10-22.ana.ud143e1089	Thank you again for your answer. It's like the Kurds are the only strong local force in these areas that stands for democratic values, and that has taken a leading role in the fight against IS, so developing cooperation with them I agree is becoming very crucial. There are also several measures that can be expected. In order to provide political support, Norway could establish a consulate in the Kurdish region of Northern Iraq – Hewlêr is called the city where the other countries have consulates – which could contribute, among other things. to coordinate relief work and humanitarian work. One thing Norway did in the war in Iraq was to contribute to the training of forces. We were well trained by some Iraqi forces, among others. in the Stavanger area. I know that the Kurds most need training of their forces, which are in front of IS. So I would like to ask whether the government considers some of these measures, which may be wide-ranging, in order to strengthen the role of the Kurds.
ParlaMint-NO_2014-10-22.ana.ud143e1102	We are in close dialogue with the US authorities on possible contributions to the international coalition, and we are in close dialogue with other friends and allies on such efforts. We place great emphasis on the region’s contribution in a number of ways, but it should not keep us from making relevant and important Norwegian contributions. We are assessing contributions within capacity building with a view to prompt treatment by the government of this. It is also important to stress that all Kurdish groups – and there are many different groups here – regardless of their geographical location are subject to human rights, are subject to applicable international law and are entitled to protection and to unfold accordingly. As far as Iraqi Kurdistan is concerned, we are dealing with them in accordance with the Constitution of Iraq. It grants extensive autonomy to the region. This applies to the Kurds in this region and not, for example, to the Kurds. The Kurds of Syria, Iran and Turkey.
ParlaMint-NO_2014-10-22.ana.ud143e1119	This question, from the representative of Odd Omland to the Minister for Fisheries, is answered by the Minister for Industry on behalf of the Minister for Fisheries, who has left.
ParlaMint-NO_2014-10-22.ana.ud143e1122	I allow myself to ask the following questions: ‘In the Question Time of 15 October 2014, I asked the Council of State whether a sample has been set up to assess how municipalities will receive a long-term and stable share of the value creation related to aquaculture, as expressed by a majority of the Economic and Social Committee in its budget setting last year. The Council of State replied that an analysis was now being made of whether to introduce a land tax and that responses will be provided in the notified notification of growth in the aquaculture industry. In this context, is a sample reduced as intended by the size of the sample?’»
ParlaMint-NO_2014-10-22.ana.ud143e1131	As the Minister for Fisheries said in oral Question Time on 15 October 2014, the government is concerned that municipalities should be compensated for being good local authorities for the aquaculture industry. If the industry is to grow further, access to land is an important prerequisite. Municipalities making land available to the industry should experience greater positive effects from the activity. In a recent consultation proposal on capacity growth in existing salmon concessions, the Ministry of Industry and Fisheries has proposed that 50 pst. the remuneration of the concessions shall be paid to the municipalities. In the award of the so-called green salmon concessions currently in force, 40 pst goes. of the remuneration of the municipalities. It is estimated to be about 480 million. kr. Land tax was investigated by the Stoltenberg Government in 2008. At that time the investigation was carried out by an inter-ministerial working group chaired by the Ministry of Finance. A land tax was not introduced, but at the same time the possibility to charge property taxes on marine farms was introduced. No separate sample has been reduced to assess the issue of an area charge. The government will now charge an area charge to the aquaculture industry and return to the Storting in an appropriate way.
ParlaMint-NO_2014-10-22.ana.ud143e1140	Thanks for the answer. This is more or less the same answer as that found in the October 15 issue, and the Council of State again refers to that analysis. I would just like to quote from the comments: ‘The majority are of the opinion that such an investigation must be targeted and concentrate on how municipalities will get a long-term and stable share of the value creation related to aquaculture. All stakeholders including the organisation Network fjord and coastal municipalities should be represented in the sample work.’;» [[NFKK]] Will the Council of State at least in this analysis involve the parties to whom the majority of the Committee was concerned?
ParlaMint-NO_2014-10-22.ana.ud143e1152	It is such that the analysis and work is now being carried out by the Ministry of Finance. We aim to endorse this issue in the notification of the forecasting and environmentally sustainable growth of the salmon and trout farming industry. To that end, it is fully possible to make representations from all parties to the work done in the future.
ParlaMint-NO_2014-10-22.ana.ud143e1157	Thank you again for your answer. What surprises me a little bit is that the majority of the majority in this House have come to know through a majority comment on how we want this to be implemented. Then my question is: don't the majority remarks from the Storting count anything to the Council of State, as she relates to them?
ParlaMint-NO_2014-10-22.ana.ud143e1164	We are now doing a job, as the Storting has asked. Then an interministerial working group has been set up. Now we're doing an analysis, and then we're going to sign out the question in a big message. Then it is possible for all parties to make good representations.
ParlaMint-NO_2014-10-22.ana.ud143e1169	Then we go back to question 2.
ParlaMint-NO_2014-10-22.ana.ud143e1176	This question, from the representative of Marianne Aasen to the Minister of State at the Office of the Prime Minister for the Coordination of EEA Affairs and Relations with the EU, has been transferred to the Minister of Industry, which is responsible for this matter.
ParlaMint-NO_2014-10-22.ana.ud143e1179	I would like to ask the Minister for Industry the following questions: ‘The Government has now announced that Norway will not participate in the Copernicus space programme. How can the Council of States defend that we are now weakening our position as a strong and competitive player in space technology in Europe?’
ParlaMint-NO_2014-10-22.ana.ud143e1188	Norway participates with large amounts in a wide range of EU research and development activities. In 2015, we propose to grant over 2 billion. EUR 224.4 million for participation in EU Framework Programmes. to participate in the EU satellite navigation programmes EGNOS and Galileo. Plus 505.6 million. in the various programmes of the European Space Agency (ESA). The decision not to participate in Copernicus in the 2015 budget has not been easy. It is now that policy – and not least the State budget – is a priority. There are several good purposes that have not found their place in this year's budget. That's the way it is, and it's always been. However, the allocation to space activities in the State budget for 2015 amounts to a total of 857.2 million. kr. Participation in Copernicus would have resulted in an additional allocation need of 167 million. SEK in 2015 and a total of SEK 1,14 billion. kr for the entire programming period until 2020. The government makes clear priorities in the State budget. We have said that we need to improve the framework conditions for business – and we do. We have significantly increased appropriations for transport, for growth-promoting tax havens and for increased efforts on knowledge, innovation, research and industrial R & D. It means – as I said – that not all good purposes can be given priority. As a result, participation in Copernicus did not reach the 2015 budget.
ParlaMint-NO_2014-10-22.ana.ud143e1199	I would like to thank the Council of State for an honest answer. I still want to drill a little bit more in this. The information to which the environment has access is very significant in terms of environmental and climate policies, marine monitoring, research and social security. It's an important program. There's cross-political agreement on that. It's a big surprise in the environments that we're not in on it. The problem is that it affects how the priorities of the data on the satellites that we have out there are captured. This means that areas around Norway, for example: will not be monitored, which is very unfortunate. The industry itself is talking about a potential loss of between 80 and 100 million. the euro because of this. One dollar in it means six to seven dollars back in industry. My question is: does this mean that the government is weakening space research in Norway?
ParlaMint-NO_2014-10-22.ana.ud143e1208	As I explained, we have a significant investment in space research. It's not like something's going to be cut when we don't participate in Copernicus. So there were questions about participating in a new, quite expensive program, and I've been clear that it didn't come about in a difficult priority of many good things. It's hard to say how Copernicus' device becomes. The consequences are divided into two parts for Norwegian business. One is that we can't be on that device, the other is that you can't participate on the business side in contracts related to the program. But we get the data that comes out of Copernicus -- they're open to everyone, including our businesses.
ParlaMint-NO_2014-10-22.ana.ud143e1215	The challenge when you're not on that type of program is that you lose network capabilities and contact surfaces. This significantly weakens the potential of the research to which the Council of State refers that we are already granting money. We are now weakening good research environments in areas where we are very competitive, and we are removing ourselves from the networks, such as: affects whether we are getting better results in Horizon 2020. We're losing partnership, we're losing contact. We don't join the next generation on the development page in collecting the huge amounts of data that can eventually be derived from that type of satellite surveillance. In addition, the programme is moved from ESA to the EU, which further weakens our European relationship, since we are not a member of the EU but are a member of ESA. My question is whether the Council of State sees any other possibility of getting on these networks when this program is cut.
ParlaMint-NO_2014-10-22.ana.ud143e1222	I agree that not participating has consequences. Then we're probably in disagreement about the extent of the consequences, because, as I said, we're proposing for 2015 to grant over 2 billion. to participate in EU programmes. We have a network, and we are working very actively with EU programmes. For the space sector, we allocate 857.2 million. kr. So we're active in the networks, but we don't want to participate in Copernicus.
ParlaMint-NO_2014-10-22.ana.ud143e1227	Then we go to question 9.
ParlaMint-NO_2014-10-22.ana.ud143e1235	The question is: ‘The Council of State wishes to sell the State’s shares in Mesta, which has been authorised by the majority of the Stortinget. In the Bergens newspaper in November 2013, the Council of State is quoting that she believes that a best possible industrial solution for Mesta can be achieved by selling it to a buyer with knowledge of the industry. Can the Council of State assure the Government that a long-term industrial solution will be prioritised when the sales process is under way?’
ParlaMint-NO_2014-10-22.ana.ud143e1244	As the representative Botten points out, the Ministry of Economic Affairs and Fisheries, on the basis of a mandate from Stortinget, has initiated a process for the sale of State shares in Mesta AS. It appears from a press release sent by the Ministry on 9 July this year. I am generally concerned that changes in the country's ownership positions are carried out in a way that is professionally and commercially sound and that safeguards the values of the country. Of course, this also applies in the process of selling the state's shares in Mesta. It is therefore an overall objective of the State to implement a sale to the best possible economic conditions from the perspective of the State. That consideration indicates that we are open to different types of buyer. Having said that, I would like to be concerned that potential buyers act responsibly, and that they have the necessary prerequisites to further develop the company. I see it, among other things. as a natural fact that purchasers are aware of industry and other relevant conditions. This also applies to any so-called financial actors who may be interested in buying Mesta. We do not have any urgency in this matter. We will work for good solutions for the company, for the employees and for the state as owner. The Ministry has, among other things: a good dialogue with Mesta's board on the matter. We have also met and received views on the matter from the Norwegian Arbeitsmandsförbund, which represents many of the employees. Now this process is still at an early stage, but when the time comes for it to become a reality, the Department will normally make an overall assessment, where the consideration of the company's development, of the employees and of the State that owns is taken into account.
ParlaMint-NO_2014-10-22.ana.ud143e1259	The Council of State started by arguing that it was important in this sale to get the best possible economic conditions. I have to ask the Council of State again whether that is what is necessary, that the state should have the best possible conditions when selling this, or whether it is the competence environment that is important for the operation and maintenance of our roads, and that one should have an industrial actor who knows this well, when one is going to go into a process further.
ParlaMint-NO_2014-10-22.ana.ud143e1264	I believe in itself that I have answered that question. I concluded by saying that we should make an overall assessment, where consideration is given to the development of the company, to the employees and to the State that owns it. We're going to make a total assessment, just as I guess the red-green government did when last summer it sold Eves to two private equity companies outside Norway, one in Sweden and one in America, probably based on what was best for maximizing state values, but also for what they thought was best for the company.
ParlaMint-NO_2014-10-22.ana.ud143e1269	Then it might be interesting to get information about how the Council of State, which has the authority to sell Mesta fully, wants to look at that overall assessment. What's the most important thing? Is it also the case that you think about the ownership structure further in that company, so that you can be an owner, or are you going to sell out completely? Is this the main assessment? And, if so, are there many small owners you want to have in the company you are going to sell in the future, or are you concerned about getting a large owner, who has competence, who can run this safely and have a long-term focus?
ParlaMint-NO_2014-10-22.ana.ud143e1274	We have come too short in the process to be able to answer the questions asked by the representative. We're going to answer them when we've spent time on a professional assessment of how we're going to handle a sales process in Mesta, similar to what we've done with Entra. I really enjoyed being with a lot of employees in Entra last Friday. Two thirds of them have bought shares in their own company. We're going to do this in a good, professional way, which ensures the company, secures the employees and secures the values of the state.
ParlaMint-NO_2014-10-22.ana.ud143e1283	‘Kay Rune from Arendal was hit at the age of 25 by a virus that left him paralyzed from the neck down. [[42]] He experiences a municipal system that is more concerned with acuteness than finding good holistic solutions that help him in his everyday life. This issue has been duly addressed, among others. through several reports in the Agderpost, without it looking to help. What will the Council of State do to enable him and others in his situation to live a dignified life without having to fight against bureaucracy and rigid rules?"
ParlaMint-NO_2014-10-22.ana.ud143e1290	I am, in the same way as the questioner, concerned that our healthcare, whether it is government or municipal, should meet the user in a good way and not least involve the user in the decision on the services to be provided. My message to the service is that as a patient a patient will experience that no decisions will be made about me without me. It follows from Section 3-1 of the Health and Care Services Act that the municipality must ensure that persons staying in the municipality receive the necessary health and care services. The concept of "necessary health and care services" means proper treatment at the right time and in sufficient quantity. This is underlined by the law by a specific requirement in Section 4-1 that the services provided by the municipality should be sound. Municipalities are independent legal entities. Of course, they are legally responsible for the services they provide to the population. As the Council of State, I cannot intervene and review a municipality without the law. Disabled persons must be able to live a good life without having to fight against bureaucracy and rigid rules. One of the first things I did as a health and care minister was to ensure the right to organise services as user-led personal assistance, BPA. User-controlled personal assistance is intended for persons with extensive disabilities and shall contribute to the user’s ability to live an active and as independent life as possible. As the supervisor, the user can decide for himself which tasks the assistant is to perform, and when – within the framework of the decision and the rules of the labour market. Studies show that BPA is a system that largely meets users’ expectations and requirements. I believe it is of great importance that people who have a great need for assistance also have the opportunity to be the boss of their own lives. The government’s guarantee of rights, as decided by the Storting, will facilitate the achievement of its objectives in life by people with disabilities and a high need for assistance, and will be able to manage the allocated service resources as he or she deems desirable and appropriate. It is important that municipalities are aware that they have a responsibility to meet the requirements of the law and not least are in dialogue with users, and together with them find out what are the best solutions for the services that are not organised as user-led personal assistance.
ParlaMint-NO_2014-10-22.ana.ud143e1307	I didn't expect the Council of State to go in and manage individual municipalities, but I think it's nice that there are clear signals coming out to the primary municipalities, because I think that's what is needed in many cases – even in this case – and that the user should be active in the design of the services. Unfortunately, this has not happened in this case. There has been a lot of focus on the matter, and it went so far that the user himself had to go to the step of looking up the media, where one among others. I can read that he has to search to pick up his glasses. Worst care, says part of those who work in the sector. Kay Rune himself says that the municipality takes away all dignity from him. Perhaps the Council of State can answer the following: How does the Council of State think that public aid should meet people like Kay Rune and others, who have a great need for help?
ParlaMint-NO_2014-10-22.ana.ud143e1314	Of course, I cannot go into the specific matter, but as I said, I believe that the municipalities should meet their employees, not least the users of municipal care services and other services, in a way that involves the users in the decisions taken – not with a top-down attitude, not with reference to rigid rules or paragraphs, but in dialogue with the users. It is also the case that the Storting has established a patient and user ombudsman system, and I am very concerned that instead of always referring residents to complain to the County State, which is a rather demanding process, there are many who have good experience in contacting patients and user representatives, and use them to get help to get a better dialogue, for example. with a municipality or, in some cases, with specialist health services.
