ParlaMint-NO_2014-12-03.ana.ud105e26	The representative, Mr Andersen Eide, will put forward a proposal for a representative.
ParlaMint-NO_2014-12-03.ana.ud105e812	I would like to thank you for this wonderful question and allow me to answer the following: It is important for me to point out that questions that I answer in the Questionnaire are answered by the Council of State on behalf of the government. The government is concerned that Norway is complying with its human rights obligations in general, of course also in criminal matters. The question raised by the representative on the standard reduction to ‘foreign standards, where human rights do not have the same place’, I find it difficult to comment, because the standard in foreign prisons varies greatly from country to country, and human rights have different places in different systems of countries. Nor is it clear from the question what the questioner is really thinking about. The standard in Norwegian prisons is also very different, but it is of course such that human rights should be properly respected. As the representative is familiar with, a separate unit was established at the Civil Ombudsman’s office for, among others. follow-up to the treatment of persons deprived of freedom following the ratification by Norway of the Additional Protocol to the United Nations Convention on Torture, OPCAT. This is a very important task, as an independent follow-up to the management and treatment of persons in a potentially vulnerable situation. A visit was carried out by this unit at Tromsø Prison in the 10th–12th century. September, and a safety cell-use practice was identified after the visit, which they consider to be unfortunate. The report of this visit is for treatment in criminal justice. The government is committed to securing citizens against crime and has made a clear commitment in the 2015 draft budget to the whole chain of criminal proceedings. In addition, prevention is a high priority. Persons who are imprisoned after the sentence have, under human rights – and under Norwegian law – rights to be protected under acquittal. Of course, this also applies to people who are mentally ill. I work closely with the Minister of Health and Welfare to ensure that the offers made to prisoners who are suffering from mental illness or drug dependence are more than currently to be seen in the context after an end of their term of office, in order to improve the link between the offer of compensation and the offer of compensation. There has been a year-long discussion between the two departments, something the Minister of Health and I are now finding solutions to. The government is very concerned about ensuring the victims of crime better than today. This is why we are working on several measures to strengthen victim care and the provision of victims of crime. Among other things, we consider a new compensation scheme, we are going to investigate a separate competence centre for victims and relatives, and we are better coordinating resource use between municipalities and the police and ensuring better follow-up of victims through criminal proceedings – to mention something.
ParlaMint-NO_2014-12-03.ana.ud105e829	I thank you for your answer. I am very pleased that the Minister of Justice is so clear. If he's wondering about my questions, it might be just as important to reflect a little bit on the points of the Progress Party's policy, because this case has two implications. One is the content, the other is the crack in the Progress Party. Is the Progress Party a big progress party and a government promotion party? Back to the contents. Tybring-Gjedde is not the only one who has commented on the policy of the Advance Party in this field. Per Sandberg, Vice President, pronounced in 2013: ‘From the criminal to the offender shall be transferred for compensation in the home Member State, the person shall zone in a separate foreign prison with reduced standards. Of course, no daily allowance, and with a minimum of social benefits.’ The progress party Ulf Leirstein, a judicial spokesman, said the same thing on Twitter in January: reduced offers, reduced content and removed daily allowances. The Minister of Justice is now planning to establish his own prison abroad. Can the Minister of Justice guarantee that this will not be a sneaking-in of reduced standards and that the content and rights of Norwegian judges will not be reduced?
ParlaMint-NO_2014-12-03.ana.ud105e845	For foreign prisons, there is a foreign prison in Norway today, where there is a completely different offer to prisoners than in other prisons. It works very well. The government is considering further developing this scheme. We have looked at different ways to assess day-to-day arrangements and practical arrangements in this respect. But it is also important here that one is bound by the principles of non-discrimination of human rights. In the case of a possible prison in the Netherlands, there is a scheme in which Dutch prisons are to act as a department under a Norwegian prison, where the Norwegian Penal Code will apply to the same extent as if there was a prison located in Norway.
ParlaMint-NO_2014-12-03.ana.ud105e852	It was joyous. Then I can record that the Progress Party at Stortinget has not been able to get through to the Minister to reduce prison content. The second question I have, as a follow-up to this, is that our government was convicted of human rights violations when it came to the use of smooth cells. The majority dealt with a matter on this in June, promoted by the Left. A joint judicial committee expressed concerns about the situation and called for improvements. The Labour Party and the Centre would have taken immediate action, the majority as soon as possible. The budget for 2015 would be the natural place to talk about this and show what the Minister of Justice would actually do. That's not what the minister used. It is almost not mentioned in the budget. Implementation seems to be reaching only to order another plan. 50 million. kr extra is reserved for maintenance. Some of the criticism is about the challenge itself. Has the Minister given instructions that some of these funds should be used to repair the smooth cells, and can he guarantee that the number of fractures will have decreased by the end of the year?
ParlaMint-NO_2014-12-03.ana.ud105e861	First of all, I have to say that the Progress Party's fraction has thus been implemented in order to ensure that there is a different content in the offer to prisoners as foreign prison zones than to prisoners who are not foreign prison zones. The prisoners of the foreign prison are those who are to be returned after imprisonment, and it is natural that they have different contents in the prison from those of other prisoners. When it comes to the issue of maintenance, it's 50 million. kr the representative Henriksen refers to exceptional maintenance. In addition, it's 80 million. kr for regular maintenance. That means we're betting on exceptional maintenance where we intend to make sure that we don't put down spaces. Because the previous government did not prioritize maintenance of Norwegian prisons, we have a maintenance kit that is gigantic. If we hadn't used this 50 million. kr, we had to reduce the capacity of prisons in 2015. That's what this money is meant to be used for. In the case of smooth cells, at least I can say that the Riksadvokat has created new guidelines for the use of smooth cells, which hopefully makes the situation better now than it was.
ParlaMint-NO_2014-12-03.ana.ud105e874	«The NRK recently conducted an interview with a young couple from Kåfjord in Troms who have established themselves as goat farmers with a new house and modern operating building. New geological surveys have shown that the mountains around the farm are rhazardous and that the family must thus move. According to NVE, 80 pst. compensation for the costs of moving the dwelling, but nothing for moving the poultry. Will the Council of State amend the legislation so that the work of the family and the home of the goats are also covered by the migration aid scheme?’
ParlaMint-NO_2014-12-03.ana.ud105e881	The NVE assistance scheme for flood and step protection basically includes physical protection measures against natural damage such as flooding and slippage. The framework for the aid scheme is laid down in the annual budgetary procedures of the Stortinget. In line with the flood and gliding news, which was presented by the Red-Green Government in the previous period, it is necessary to rank and prioritize between the projects. Security measures must have greater socio-economic benefits than the costs of their implementation. Then you take the measures that are most useful, first. It is a principle that has had a very broad uprising, a unanimous uprising, well, in Stortinget – both when today's government parties were in opposition, and now, I have the impression of. This means that NVEs make priorities in relation to these means, and there are cases of high risk of damage of high values and, in particular, of risk to life and health that are prioritised. The NVE may not have the resources or the capacity to meet all the needs for action, but I believe – and so it has had broad support in the Stortinget in the past – that today's system represents what can be called a reasonable regulatory framework. Demolition and relocation of hazardous dwellings may receive funding from the NVE in exceptional cases. This would be disproportionately costly when implementing other security measures compared to the removal of dwellings, or when floods and strides present a special risk of loss of human life. This is – fortunately, I think we get to say – only in a few cases in Norway. There have been a few cases as long as the scheme has existed, and the NVE may have to continue to work on developing this scheme, based on their experience. In the case of the case in Kåfjord, on which the representative is based, the NVE first has to deal with the complaint submitted, and it can then come to the Ministry of Oil and Energy for final decision. Therefore, it is not natural that I comment on this matter now, I must be able to decide at a later stage on the content of the matter.
ParlaMint-NO_2014-12-03.ana.ud105e892	I thank you for your answer. Now it's like the NVE has blacked both this young couple and the five others with floorhouses to move, it's just one operating building. We've seen earlier this year a farm with an operational building located below Mount Man in Rauma, which will probably also come under such arrangements. The NVE has replied that it will not pay for any additional security measures that will allow residents to live there. They recommend moving and believe that it will be the only right thing. The NVE has also said that you can see that the bunkhouses are to be supported, but the subsidy schemes do not cover operating buildings. I believe that they have done so before, even after the flood and escape notification was submitted. So I wonder, have there been any signs from the ministry that operating buildings should not be covered by the grant schemes?
ParlaMint-NO_2014-12-03.ana.ud105e899	What the Storting has unanimously agreed to is the principle that matters where the risk of damage to high values or – and of course above all – life and health are the most important are the issues to be given priority. Although the extent of the apartment building, or dwelling house more generally, which is in such a situation that there is a high risk of life and health in floods and strides, is limited, the overall extent of the delay in securing floods and escapes is large. I therefore believe that what the Stortinget has agreed to, namely, prioritizing life and health first and foremost, but also great material values, is a right priority, and that is what the administration has been dealing with after the Stortinget dealt with the matter.
ParlaMint-NO_2014-12-03.ana.ud105e904	Thanks for the answer again. I think that in this case and in other cases the place of residence of a large livestock, which is also life, is part of the priorities that have to be taken in. After all, it would be pointless for farmers to move the house and not the poultry, because then you simply won't be able to maintain your work. It would also be dangerous to live in a poultry that is in the rhinoceros region. As you know, farmers are many hours per day 365 days per year in this poultry. I hope the Council of State can see that getting support for the relocation of operational buildings is actually also about life and health.
ParlaMint-NO_2014-12-03.ana.ud105e909	Let me show that I have a great understanding that it is a great advantage that the apartment building and the operating building are in some reasonable proximity to each other. Then I want to say that it is the NVE that has to make these kinds of priorities, but I am fully behind the way of prioritizing as the Stortinget has intended that one should base one on the work of the NVE, namely that it is to protect great material values and, above all, life and health that must be prioritised. It is a principle that has had a broad disintegration in Stortinget, and which I believe is a reason to maintain.
ParlaMint-NO_2014-12-03.ana.ud105e918	The question is: ‘The extraction of petroleum in Lofoten, Vestreålen and Senja could start around 2040 if the area is opened after the 2017 elections. According to a report presented at the November conference in Narvik, prepared for Norwegian oil and gas by Rystad Energy. With today's emission level, the world will already have used up large parts of the remaining carbon budget in 2040. Should not the Council of State already state that oil and gas extraction in these areas is not relevant?’
ParlaMint-NO_2014-12-03.ana.ud105e927	Oil and gas will continue to cover a central part of the world's energy use for decades to come, including in 2040. Energy use will grow significantly in the period up to 2040, among others. due to population growth and a desired development of wealth. This applies in all the scenarios drawn up by the International Energy Agency, the IEA, also for the two-degree scenario. So in these projections, the world will have a significant demand for petroleum resources, so I believe that the starting point for the representative Hansson does not necessarily represent a correct picture. The major problem for the climate is the strong growth in coal that is burned without CO2 management. Replacing coal use with gas is a rapid and effective measure to limit fossil energy emissions. Otherwise, I also believe that the premise of the question is wrong. The launch of the opening process for the sea areas outside the Lofoten, the Vestralen and Senja will enable production to start much earlier than the Hansson representative’s question. It took, for example, only 13 years from the opening of deep water areas in the Norwegian Sea until the production of Worm Lange. I believe that this time horizon is highly relevant also to the sea areas outside the Western Sea, Senja and Lofoten. So regardless of when production starts, the maritime activity associated with oil and gas exploration will give significant ring-effects in this region already many years before the activity and production actually start up, which we, for example, are. already sees in the Churches in connection with the resources in the Barents Sea south-east, which have not yet been produced and will not do so for many years. Then I want to give the representative Hansson right at one point: the decisions taken today, or not taken, will affect the activity on the base in 5 years, 10 years and 50 years. That's why it's important, as the government does, to pursue an active oil policy to facilitate that we can continue to produce oil and gas in the decades ahead. So it's important to remember when discussing these kinds of questions, that it's not that new resources will necessarily increase oil production. On the contrary, today we produce less than half as much oil as we did in the record year 2001. Even with the new expansions that are now underway, it will be about preventing a fall in energy production on Norwegian soil. It is not about increasing the production of oil and gas on a Norwegian base.
ParlaMint-NO_2014-12-03.ana.ud105e945	I would like to remind the Council of State that it is the total emissions over time that play a role in the development of the climate, so it is a poor comfort that oil production will not be increased for years to come. The problem is that it is passed on, from a climate perspective. But it is also true that one of the most important pieces of Norwegian environmental management is the overall marine management plans, and the Norwegian Sea plan, including the areas around Jan Mayen, was last updated in 2009. According to established practice, it was to be updated again earlier this year. The central part of this is, among other things, the question of the edge of the ice. There is a short month left in 2014, and the update has not arrived. Nevertheless, the government has announced that 23rd concession rounds will be completed just over the new year. Can the Council of State today assure the Government that the finalisation of the 23rd concession round is suspended until the management plan is up to date, as it should, in order to ensure that the decision on the areas to be opened is taken on an up-to-date, professional basis?
ParlaMint-NO_2014-12-03.ana.ud105e952	I can confirm that the world needs a lot of energy. I remind the representative Hansson – as we are both familiar with – that coal cultivation is increasing every year that goes on. The extent of carbon capture and storage is minimal, which is something I have the impression that we have a common interest in working for it to become more widespread. As for the 23rd concession round, which is my constitutional responsibility, there are mainly resources in the Barents Sea south-east, areas mentioned in the Barents Sea Management Plan, not in the Norwegian Sea. As for the areas outside of Jan Mayen, I think the representative Hansson is fully aware that in the agreement between the government parties and the Left and Christian People's Party, our cooperation parties, it is clearly stated that there will not be any activity going on outside of Jan Mayen during the current growing-up period. But Jan Mayen is in the Norwegian Sea, and the Barents Sea is south-east, for natural reasons, as the name suggests, in the Barents Sea.
ParlaMint-NO_2014-12-03.ana.ud105e961	In this context, the follow-up question of the leadership of the State Council sees that the management plan for the Barents Sea will have to be completed by the 23rd concession round, giving rise to the need for new knowledge in a situation where environmental conditions change very rapidly in the north due to climate change.
ParlaMint-NO_2014-12-03.ana.ud105e966	I think it's worth remembering that the overall picture of activity in general in the Barents Sea is that the Barents Sea is a robust sea area, and that there has been significant commercial activity there for over 100 years. It is true that during the previous period the Storting dealt with both the management plan for the Barents Sea and the Barents Sea opening message south-east. Of course, the frames the Storting has laid for this type of activity will be followed up by the government.
ParlaMint-NO_2014-12-03.ana.ud105e973	Then there's case no. 2 has been completed.
ParlaMint-NO_2014-12-03.ana.ud105e986	There is no record. As a result, the cases on today's map have been completed. Does anyone ask for a word before meeting? - The meeting's been cancelled.
