ParlaMint-GB_2021-11-17-lords.u1	That the Bill be now read a third time.
ParlaMint-GB_2021-11-17-lords.u190	These are good amendments that the noble Lord, Lord Paddick, has tabled because, as he said, they deal with what happens after an SVRO is given. The various amendments raise various questions that the Minister will need to answer. I want to highlight a specific point which, in terms of proportionality, I would like the Minister to consider. A Section 60—stop and search without suspicion—is normally given for 24 hours and, if extended beyond that, is very limited. As the noble Lord pointed out, and did so in the previous debate, this can be six months or up to two years. It can then be added to again; there is no time limit to end it. We need some clarity on that. In Committee, that is the sort of detail we want to go into More generally, so much of this—again, as in much legislation—will be by regulation. New Section 342B on the meaning of a serious violence reduction order includes subsection (1)(b), which says that the requirements and prohibitions will be done by order—admittedly, to be fair to the Government, by affirmative order in this case. But it is quite an ask of Parliament to pass an Act which gives the Secretary of State the ability to have these serious violence reduction orders with all sorts of requirements and prohibitions in them without us really knowing what they would be. I looked on the website and tried to find a draft, skeleton or suggested possibility of what they might look like, but I could not see one—unless I missed it. Often, with respect to legislation, you get draft regulations or a draft idea. It would have been extremely helpful for the Committee if some idea of the sorts of things that might be considered had been given to us New Section 342C(1) states: “A serious violence reduction order may impose on the offender any requirement or prohibition specified in regulations made by the Secretary of State” Again, to be fair, that will be subject to the affirmative procedure, but these are the sorts of details which mean that we are passing this legislation almost blind in terms of some of these things. These will be really severe restrictions on the liberty of the individual. Even if they are regarded as a good thing in terms of reducing knife crime—which is what we all want to achieve—we are giving the Government the power to legislate and make all sorts of regulations and prohibitions to be included as part of a serious violence reduction order without knowing what they may be New Section 342B(7) says that these regulations will be made only after the pilots have taken place. I do not expect this to be done by Report, but could we ask the Government to consider giving us an idea of what these regulations and prohibitions might be as those pilot projects proceed, so that we get some idea of them as the pilots go on? We would then have some way of understanding what they might be when we come back to them The noble Lord, Lord Paddick, is quite right to have raised many of these issues, which seek to press the Government more so we can try to understand what they mean by some of the proposals they have listed. I ask whether more information could be given as to what prohibitions and regulations we might expect to be included in any serious violence reduction order.
ParlaMint-GB_2021-11-17-lords.u191	My Lords, I propose to deal with just one amendment, Amendment 233, which is concerned with the defence of reasonable excuse. I concentrate on that because my noble friend Lord Paddick has covered the ground in this group. But it seems to me—and I agree with what my noble friend and the noble Lord, Lord Coaker, have said—that this group offends against principles of our criminal law and rides roughshod over them, because the overall purpose of the Bill seems to have taken precedence over any degree of thought being given to the detail of what is actually being done Amendment 233 in the names of my noble friend Lord Paddick, the noble Lord, Lord Moylan, and the noble Baroness, Lady Meacher, would permit a reasonable excuse defence to an offence committed where an offender subject to an SVRO tells a constable that they are not subject to such an order. The Liberty briefing, for which we are all very grateful, points out that an offender may have committed the proposed offence of telling the police constable falsely that they are not subject to an order even where they honestly and even reasonably believe that the order—the SVRO—is no longer in force, or where they do not understand the question because English is not their first language, or for any other reason Looking at the proposed offences under new Section 342G(1), the reasonable excuse defence is presently available only in respect of offences under (a) or (b) of that subsection. The first is if the offender “fails without reasonable excuse to do anything the offender is required to do by the order. ” The second is where the offender “does anything the offender is prohibited from doing by the order. ” But there is no reasonable excuse defence available for any of the other three offences. Under (c), I think “notifies the police” means providing to the police, “in purported compliance with the order, any information which the offender knows to be false”, while (d) covers denying the order which is the subject of Amendment 233m which I have addressed, and (e) is where the offender “intentionally obstructs a constable in the exercise of any power conferred by” the legislation. None of the last three has a reasonable excuse defence available In thinking about this proposed section, one is reminded that reasonable excuses may arise in odd and unpredictable ways. Legislation ought to avoid criminalising any behaviour for which the citizen has a reasonable excuse, because criminalising behaviour in these circumstances brings the law into disrepute. If there is no reasonable excuse, the offence is committed and conviction will follow—but if there is a reasonable excuse, there ought to be no conviction We have only to remind ourselves that there may be a reasonable excuse for disobeying police officers’ requirements. Tragically, Sarah Everard was persuaded to enter Wayne Couzens’s car, with awful results, because he purported to have the right to require her to do so. We should be open to the view that automatic obedience to the requirements of a police officer is not always sensible, and that offenders, even though subject to SVROs, might well have reasonable excuses for non-compliance with police officers’ requirements I suggest that the Minister and her colleagues ought to think about whether reasonable excuse should not be a defence to all these offences. Initially, they might consider that there would not be many cases where a citizen would have a reasonable excuse for non-compliance. But they might also wish to reflect that that does not mean that, in those cases where citizens do have a reasonable excuse, they should be found guilty of a criminal offence. This is an important lacuna in the proposals made here—that reasonable excuse will be no answer to conviction.
ParlaMint-GB_2021-11-17-lords.u192	My Lords, as the noble Lord, Lord Paddick, has explained, this group of amendments deals with further aspects of the new serious violence reduction order. Amendments 231A and 231B would remove the requirement for an offender subject to an SVRO to notify the police of their home address; any changes to their home address; the address of any other premises at which the offender regularly resides or stays; or the address of any place they decide to live in for a period of one month or more We included notification requirements in the legislation in order to help officers to identify those subject to an order in their area. It is a common feature of other offender management regimes, including in relation to sex and terrorism offenders, so we are not breaking any new ground here. We stated in the draft statutory guidance that the police should use the notification stage to engage with the offender and clarify the effects of an SVRO: that is, to explain to the offender in ordinary language the requirements and effects of an SVRO and what offences may be committed if they breach the order. This, along with an up-to-date description, could be used to assist with future identification when conducting a stop and search. It is therefore important that we keep the notification requirement as currently drafted to ensure that officers are able properly to identify those subject to an order Amendment 233 would create a defence so that an offender can tell an officer that they are not subject to an SVRO if they have a reasonable excuse to do so. I do not see any circumstances where it would be reasonable for an offender not to tell an officer that they are subject to an SVRO if they are asked. It may be that the noble Lord wants to cover circumstances where an offender subject to an SVRO has a reasonable excuse for carrying a knife. In such circumstances, it would be for the police, and ultimately the courts, to decide whether the reasonable excuse defence was made out in the event that the offender was arrested and then charged with an offence in relation to the possession of a bladed article or offensive weapon.
ParlaMint-GB_2021-11-17-lords.u193	My Lords, I am again grateful to the noble Lord, Lord Coaker, for his support on the duration of SVROs, about which I did not hear an explanation from the Minister. I presume that the Committee can assume that we are right that SVROs can be renewed indefinitely and that there is no legal restriction on that. That is clearly unacceptable, and we will return to it on Report The noble Lord, Lord Coaker, also made an important point about the blank cheque nature of the prohibitions that can be imposed when somebody is subject to an SVRO. They will be decided only by regulation, which on all accounts the House will not see until after the Bill has received Royal Assent I also thank my noble friend Lord Marks of Henley-on-Thames for covering my omission in not talking about the reasonable excuse defence amendment The Minister said that we are not breaking any new ground. With respect, allowing the police to stop and search somebody purely on the basis of previous conduct without any reason to suspect that they have something on them at the time of the stop and search is breaking new ground. Therefore, different rules should apply I understand the provisions in the Bill about various chief constables in various parts of the country being given the power to vary or extend these orders, but, again, the Minister did not answer the question why the chief constable in that area cannot simply ask the chief constable where the original order was made to vary, revoke or extend The Minister seems to place a lot of reliance on the pilot schemes. I am reminded of my lengthy service in the Metropolitan Police, where I was told that there was no such thing as an unsuccessful pilot. It was rather telling that the Minister said that account would be taken of what happens during the pilots before the SVROs are rolled out to the whole of England and Wales, but not “if” the pilots prove to be effective, they will be rolled out to the rest of England and Wales However, we will return to this on Report. I beg leave to withdraw the amendment.
ParlaMint-GB_2021-11-17-lords.u194	My Lords, the noble Baroness, Lady Brinton, will be taking part remotely in debate on the following amendment Amendment 240A
ParlaMint-GB_2021-11-17-lords.u195	My Lords, Amendments 240A and 259C in my name and that of my noble friend Lord German, who has had to leave, call for the establishment of a women’s justice board. It has been pointed out in Committee that these are very long amendments. I understood from the noble Viscount, Lord Hailsham, that the second of them may be the longest in what is still, on day 9, an extremely full Marshalled List, but the drafting is modelled on the drafting of the legislation establishing the Youth Justice Board for England and Wales in the Crime and Disorder Act 1998. I do not propose to spend any time considering its detail However, it is widely acknowledged that the Youth Justice Board for England and Wales has been a great success. It has benefited from the effect of concentrating effort, research, learning and resources on youth justice. It has focused on recognising and addressing the difficulties of young offenders in the criminal justice system and on helping children to achieve their potential while aiming to minimise the harms that follow from young people’s contact with the system Perhaps most significantly, it has had the outcome of the number of children entering the youth justice system reducing year on year. Between March 2006 and 2020, the population of under-18s in custody in England and Wales fell from 2,832 to an average of 780 in the year 2019-20. Of course, the remaining cohort represent the most intractable cases and present the most difficulties. Nevertheless, that success in reducing youth offending has been remarkable. It is the aim of these amendments to establish a women’s justice board that can produce similar successes Much has been attributable to the success of the Youth Justice Board in attracting extremely effective and committed leadership. On these Benches, we are very proud of the work that has been undertaken by my noble friend Lord McNally, but the leadership of successive chairs, such as Frances Done and Charlie Taylor, as well as the current chair, Keith Fraser, has been a major factor in the board’s success. Establishing a women’s justice board on similar lines would also be likely to attract effective leaders, who would bring immeasurable benefit to women in the criminal justice system.
ParlaMint-GB_2021-11-17-lords.u196	My Lords, I will speak briefly in support of Amendment 240A and to agree with everything my noble friend Lord Marks said. In particular, I echo his support for the work of the Youth Justice Board over the years Amendments earlier today have discussed the problems with the regime of youth offenders, and the Youth Justice Board has proved that this particular expertise is vital in a holistic approach to youth offending. A key element of that is the specialist training for all staff in contact with young people in the criminal justice system. The Youth Justice Board has very successfully reduced the number of young people in custody Many of the amendments to the Bill are about women, whether around violence against women and girls or the specific difficulties that women and girls face in the criminal justice system. Time and again, we have heard that different parts of the criminal justice system—police, courts, the Prison Service and probation —do not understand the particular problems that these women face. It is very important to note that the majority of female offenders have committed non-violent offences, and that a large proportion have suffered domestic and sexual violence or coercive control, usually at the hands of their partners The creation of a women’s justice board would mirror the principles behind the Youth Justice Board. It would oversee the key issues relating to prevention, custody and rehabilitation, and ensure that everyone in the justice system—not just the criminal justice system but also the family courts system—would receive specialist training One important area to consider is alternatives to custody. These should be consistently used, where appropriate, because evidence suggests that they work much better. There are benefits for the welfare of children; this should be considered when sentencing mothers and carers, to prevent the lives of their children being more disrupted. There is also evidence that this will reduce the chances of their children having problems at school and entering the criminal justice system themselves. The wider benefits of maintaining family and community links mean that female offenders’ rehabilitation will be more successful I know that the number of women offenders with custodial sentences has reduced, but this Government have placed the protection of women, especially those at risk from violence, at the heart of the Bill. The creation of a women’s justice board would be a key pillar in ensuring that women are given the support that they need to prevent them committing offences and to take into account their family responsibilities in considering custody and rehabilitation.
ParlaMint-GB_2021-11-17-lords.u197	My Lords, I support Amendments 240A and 259C, so comprehensively introduced by the noble Lord, Lord Marks of Henley-on-Thames. Ever since the formation of the Youth Justice Board, I have been keen on the idea of a women’s justice board, with the accompanying offender management teams, particularly if it was matched by a Prison Service appointment of a director of women’s prisons—a change to the operational management structure of the Prison Service that the MoJ should consider, as I advocated to the Minister when debating an earlier amendment The Minister for Prisons and Probation could chair an executive board, consisting of the directors-general of the prison and probation services and the chairmen of the Youth Justice Board and the women’s justice board, obviating any need for Her Majesty’s Prison and Probation Service, which merely inserts a layer of bureaucracy into the executive board—in other words, between the Secretary of State for Justice and individual prison governors.
ParlaMint-GB_2021-11-17-lords.u198	My Lords, I absolutely love this amendment—that is probably the kiss of death for it, so I am sorry about that. The noble Lord, Lord Marks of Henley-on-Thames, has a superb idea in seeking to establishing a women’s justice board. Importantly, it would not just look at prisons, courts and policing but would advise on the steps that should be taken to prevent offending by women in the first place. That is crucial. Obviously, the women’s prison population is very different from the men’s: far fewer are convicted of violence, sex offences and drugs offences, with the majority being sentenced for low-level offences such as theft, and trivial things such as non-payment of the TV licence or council tax debt. As has been said, women in prison are also very likely to be victims as well as offenders, with more than half of women reporting suffering domestic violence and more than half reporting childhood trauma I know the Government have a whole thing about being tough on crime, but actually, you have to be fair as well. At the moment, the Government are being totally unfair to all kinds of groups and populations within our society: this would be a good way to start rebalancing.
ParlaMint-GB_2021-11-17-lords.u199	My Lords, although we have equality—quite rightly—there is no doubt that women need to be dealt with differently from men in their situations of going to prison and in prisons. There is no reason not to be tough on crime, but there is every reason to follow these two admirable amendments from the noble Lord, Lord Marks of Henley-on-Thames. It is time that women’s very special situations were recognised, partly as the mothers of children—we have had some appalling stories of women in prison who are pregnant—but partly, as the noble Baroness, Lady Jones, just said, to stop them offending and to find the best way to deal with them. It may well be that prison is necessary for some of them, but it may well not be necessary for some of those who actually do go to prison if this new board were in place and could provide some of the services that are so admirable in the youth justice system. So I strongly support these two amendments.
ParlaMint-GB_2021-11-17-lords.u200	My Lords, I add my support to these amendments. Will the Minister, when he comes to reply, agree that the application of the justice system to women poses especial challenges for everyone involved in the justice system, from the Secretary of State downwards? Does he agree that, at the moment, regrettably, there is a crisis of confidence as to how the criminal justice system in particular, but also the civil justice system, addresses the needs of women? Does he therefore accept, as has been suggested by previous speakers, that the creation of a women’s justice board would focus much-needed attention on these important topics?
ParlaMint-GB_2021-11-17-lords.u201	My Lords, my role as a loyal government Back-Bencher is to help my noble friend the Minister, and I think I can do that best by strongly supporting these amendments.
ParlaMint-GB_2021-11-17-lords.u202	We on this side of the Committee strongly support these excellent amendments. The Youth Justice Board was set up in 1998. Its first chair—a Member of this House, the noble Lord, Lord Warner—gave it a really good start. The whole point is that it gives real drive, not as part of government but within the state, to make changes, because everybody recognises that children and young people have different needs, both to divert them from the criminal justice system and when they are there. Similarly, in respect of women, this is a real opportunity; give it drive.
ParlaMint-GB_2021-11-17-lords.u203	My Lords, as the amendments’ explanatory statements make clear, and as the noble Lord, Lord Marks of Henley-on-Thames, identified, the intention is to provide for the establishment of a women’s justice board for England and Wales which mirrors the rather lengthy provisions setting up the Youth Justice Board. I am grateful to the noble Lord for his kind words. I can assure him that I gave his amendment very careful thought, and my approach to it has not been adversely affected by the support given to it by the noble Baroness, Lady Jones of Moulsecoomb. I also heard what my noble friend Lord Attlee said about his role being to help me: with noble friends being so helpful—well, I will leave that one there.
ParlaMint-GB_2021-11-17-lords.u204	My Lords, I am very grateful for the support of noble Lords from around the House for the proposal to establish a women’s justice board. I pick on two points made by the noble and learned Baroness, Lady Butler-Sloss, and the noble Lord, Lord Pannick, arguing that women have very special needs. Those are sufficient justification for considering the establishment of a women’s justice board I then move to what the noble and learned Lord, Lord Falconer, said about the establishment of the Youth Justice Board. He talked about how it gave “drive” to the consideration of the needs of young offenders and the assistance and help given to them; I should have mentioned the work of the noble Lord, Lord Warner, as the board’s first chair because it was extremely important. It provides some answer to the point made by the Minister, who picked up on the issue of time. The Youth Justice Board was established in 1998. Under the chairmanship of the noble Lord, Lord Warner, it started work in that year. It is 23 years since then, and every one of those years has been a success. That is extremely important. In the view of those who spoke in favour of this amendment, we could get equivalent drive and movement in catering for the special needs of women through the establishment of a women’s justice board. It is entirely artificial to draw a distinction between youth justice, where there is certainly a separate structure, and women’s justice, where there is no separate structure and women offenders are treated as part of the adult population The noble and learned Baroness, Lady Butler-Sloss, and my noble friend Lady Brinton drew attention to the family needs of women and the devastation produced for women and their children by contact with the criminal justice system. When it is acknowledged that women in the system have very particular needs, as the Minister did fairly, it is enough for me to say that the distinction he drew is artificial. I also accept my noble friend Lady Brinton’s point that the women’s justice board would deal with family court issues as well as criminal court issues. Although I have talked about the criminal justice system, the wider justice system and its help for women are also seriously in need of the extra drive of which the noble and learned Lord, Lord Falconer, spoke Saying that, I detected some flexibility in the Minister’s speech. I hope that, in discussions with him between now and Report, we may find some room for movement. On that basis, even if he does not admit that flexibility now, I beg leave to withdraw the amendment.
ParlaMint-GB_2021-11-17-lords.u205	My Lords, I have already sent a detailed paper to most noble Lords. I would like to make it clear that I will not seek the opinion of the Committee or the House at any point. When we debated short sentences and Amendments 212 and 213, I think that most of the Committee was sure that the current prison system was largely ineffective at preventing reoffending. After looking closely at our penal system during 2018 and 2019, I would say that the current system is not able, or even designed, to secure an improvement in education, training and conduct. Without improvements in these areas, reoffending is inevitable. Noble Lords frequently berate Ministers for the poor state and ineffectiveness of our prisons. Rather fewer noble Lords have been prepared to suggest significant reforms and how we could do very much better Internationally, we need to be an exemplar rather than a laggard in prison reform. Although there are many areas of potential improvement in our prison system, none is as pressing or potentially beneficial as the management of prolific minor offenders, or PMOs. I am sure that the Committee will accept that it is almost impossible for a functionally illiterate or innumerate young person to secure legitimate employment. At YOI Feltham, I have seen high-quality, well-motivated teachers with good facilities struggle to get illiterate offenders even to sit down in a classroom, let alone learn. I am not convinced that a conventional classroom environment is the right one for these youngsters. Furthermore, they need exceptionally strong incentives to improve their standard of education as well as their conduct. Unfortunately, there can be cultural issues pulling in the opposite direction Several factors militate against securing an improvement in their education, training and conduct. Most significantly, within conventional prisons, there is a drug and gang culture with a huge illicit economy, coupled with an illegitimate hierarchy. All this is facilitated by illegal mobile phones. In recent years, I have come to hugely admire prison officers and governors for their work. They do their very best, but it is the regime we ask them to operate that is a problem With my Amendment 241, I propose a new sentence for PMOs, and that is detention for training at Her Majesty’s pleasure, or DFT. Release would be dependent upon achieving the required, objectively measured improvements in education, training and conduct, and the level of improvement required would be set by the courts. If the offender fails to make reasonable efforts to comply, the court would be able to require the whole of the rest of the sentence to be served in the conventional secure estate. That is a very strong incentive I would like to be clear that this is not a rehash of “short, sharp shock”, a scheme that was designed to be beastly to offenders in order to deter them from reoffending; nor is it a boot camp. With the former, little was done to improve offenders’ skills, so it was not surprising that they continued to reoffend The training would be undertaken in remote rural locations in order to sever connection with local gangs, drugs and illegal mobile phones. The remoteness would provide the security rather than the secure estate, with its forbidding stone walls. The training would be undertaken as part of small, multiregionally composed teams, and being a leading light in the Peckham Warriors would not cut much ice. Since the training would be demanding and fulfilling, at the end of the day the trainees would be more interested in sleep than drugs or getting up to mischief. I will not weary the Committee with too much detail, as it is set out in my amendment, mainly on page 14 and 19 of the Ninth Marshalled List, as well as in my paper. However: the first component is what I call “Basic Compliance Training”, which is designed to instil hope, pride and discipline. Hope is extremely important, because we currently have a suicide rate in the prison system of at least one per week. The purpose of BCT is to allow greater risks to be taken at later stages of the training. One of these could include the use of ROTL, if appropriate, to comply with the recommendations of the noble Lord, Lord Farmer, with respect to contact with families The employability training phase is self-explanatory. The point is that trainees need to be given some useful qualifications to make them employable. Take construction work: you cannot just put on a pair of safety boots and walk on to a construction site as a labourer. You need to have a basic construction skills certificate to be safe and competent. DFT would provide the necessary training and testing. This is just an example. Why are we not already providing PMOs with that training—universally and not just in one or two lucky cases At the risk of enraging the Daily Mail, I can assure the Committee that there would be elements of fun in the training. This could be especially so in exercises which might be held in an international aid scenario. In my experience, fun is essential to motivate trainees within a disciplined organisation The final stage is “Gradual and Safe Release”, which is essentially a glide path to full release rather than what we talked about at Amendment 210, which is a binary “in or out” situation and often doomed to failure. The Committee has already discussed UC and accommodation problems associated with release. There is also provision for a mentor to prevent a variety of adverse outcomes and help the trainee deal with bureaucracy on release.
ParlaMint-GB_2021-11-17-lords.u206	My Lords, I like many elements of the proposal from the noble Earl, Lord Attlee. We all know that the youth justice system, in theory if not in practice, is focused on diverting young people from criminal justice towards a better life. At 18 years of age, however, this sort of falls off a cliff as young adults get dropped into the mainstream criminal justice system and are left to fend for themselves. This leaves a huge population of young adults stuck in the adult prison system and missing out on essential learning and the foundations for developing work, family and social lives. These young people are also often illiterate Those important years of young adulthood—when one is no longer a child but lacks experience and wisdom—are lost in prison, and can never be retrieved. I like the aspect of this amendment, therefore, that would create a structured system of personal development and rehabilitation for those too old for young offender institutions but too young to be written off by society as lifelong criminals. There are issues about the tuition they would be given, because many of them might have problems such as autism or dyspraxia: they would need specialist help. That they would, however, be leaving better informed and educated than they went in is a positive for them as individuals and for society.
ParlaMint-GB_2021-11-17-lords.u207	My Lords, I have some sympathy for the noble Earl’s amendment because of two experiences of mine. First, I had to undergo 10 weeks of basic compliance training when I did my National Service. It had many of the elements listed here. Hope for the future was there. Certainly, a lot of attention was paid to dress and bearing, teamwork, first aid training, conduct and anger management, fieldcraft and so on. I underwent that for 10 weeks as a recruit. Later in my national service, having become a commissioned officer, I was responsible for training recruits, and I noticed a remarkable difference in their behaviour and appearance between the beginning and the end of the 10 weeks. That impressed on me the value of the training that the Army was then able to provide At a later stage in my life, when I was prosecuting criminals, usually in Glasgow High Court, a lot of those who were being prosecuted I could see in my mind’s eye as people who might have been among my platoons of people undergoing training. My great regret was that we had not been able to get hold of them before the gang fights took place that led them to being prosecuted and ultimately going to prison. There is a lot of force in what the noble Earl has suggested. In those days—I am talking about my national service days—there was an enormous force available within the Army to conduct all these procedures. This is not easily managed. You are required to train the trainers and you must have the facilities. However, the philosophy and thinking behind the noble Earl’s amendment has a great deal to recommend it. He is talking about people who have already been convicted, but it would be lovely if one could intercept them before they got into the criminal system in the beginning. We cannot do that but, at least if they have been convicted, we can do something to prevent reoffending, which is what I think his amendment is driving at.
ParlaMint-GB_2021-11-17-lords.u208	My Lords, perhaps I may respond to what noble Lords have said. The noble Baroness, Lady Jones of Moulsecoomb, mentioned young offender institutions. When I was getting educated by Frances Crook, I asked her, “How often do inmates at a YOI get taken out on camp? ” She said to me, “John, you should ask how often they are taken out of their cells. ” In response to the noble and learned Lord, Lord Hope of Craighead, I am not proposing conscription or a national service-type solution. However, the points that he makes are absolutely what is informing my thinking. He made a valid point about the need for instructors and I am not proposing the use of the military to provide that function. Prison officers ought to be taking up that role and I envisage, among other things, youngsters who trained as Outward Bound instructors who cannot necessarily get particularly well-paid employment then training as prison officers and being double-hatted. There are a lot of things that we could do if we wanted to do them.
ParlaMint-GB_2021-11-17-lords.u209	My Lords, I will not address the detail of the noble Earl’s amendment, but I agree with the noble Baroness, Lady Jones, and the noble and learned Lord, Lord Hope of Craighead, that there is a great deal of merit in the call for more and better training within the penal system. We have long taken the view that training within prisons in particular is inadequate, poorly arranged and often unavailable. We therefore commend the noble Earl for the thrust of his amendment and certainly commend him for the care and dedication that he has given to setting it out in detail and in the briefing that he circulated We are not convinced of the need for a new sentence of detention for training at Her Majesty’s pleasure but we agree with the heart of the amendment, which is the focus on skills to train for future employment, for which there is a great need. The classroom-style of training does not always work. What is needed is training for skills on the job and for soft skills because, as the noble Baroness, Lady Jones, pointed out, not everyone is suitable for the basic training that perhaps the noble Earl has in mind. There should be a combination of practical, soft and technological skills. We are all for better training. However, we seek the Government’s work to be directed towards the provision of that sort of training—better training and more of it—within the criminal justice system and overcoming the barriers to prisoners being work-ready by the time they finish their terms of imprisonment because, at the moment, there is a serious deficiency in that area.
ParlaMint-GB_2021-11-17-lords.u210	My Lords, I join noble Lords in commending the noble Earl for the effort and work that he has put into this and the fact that he has thought it through. I also commend what the noble and learned Lord, Lord Hope of Craighead, said. It was obviously not a detention for training centre that he was passed to, but his experience was successful in diverting him from the criminal justice system. That is an indication that it worked, even if he ended up in the criminal justice system as the Lord President of the Court of Session and a member of the Supreme Court I very much agree with what the noble and learned Lord, Lord Hope, the noble Lord, Lord Marks, and the noble Baroness, Lady Jones, said. There are parts of this that we would all agree with. However, we on this side would not support this as a separate sentence. If one looks at the detail, it requires the setting up of a number of rural detention centres. The right thing is for the Government to look at the elements aimed at trying to rehabilitate those in the criminal justice system and use them in the existing system, rather than setting up a whole new network. We admire the noble Earl’s work but think that this is not the appropriate way forward.
ParlaMint-GB_2021-11-17-lords.u211	My Lords, the amendment from my noble friend Lord Attlee would seek to introduce a new sentence of detention for training at Her Majesty’s pleasure. It is aimed at offenders who are at least 18 and under 27. The key principle is that release would be gradual and dependent on the offender reaching the required performance levels in conduct, education and training. It would be served in training sites in remote rural areas I thank my noble friend sincerely for presenting his genuinely interesting idea—I was going to say “novel”, but we have all watched “Yes Minister”. He has done what he said others have not by thinking positively and constructively about what we can do in the future, rather than just criticising what we do now. I think that we all share his desire to reduce the reoffending rate for young adults. Training and education can enable people to turn their lives around and stop reoffending. I reassure my noble friend and the Committee that the Government are already taking action that addresses those issues My noble friend is right to be concerned that offenders leave prison illiterate and innumerate and is right to say that that significantly increases the prospects that they will reoffend. We all share those concerns. I can reassure the Committee that many offenders already achieve accredited qualifications in the fundamental basic subjects of English and maths while in prison. We recently published data that shows that, between April 2019 and March 2020, over 30,000 prisoners started English and maths courses and over half of this number completed the courses and received accreditations. Over and above that, many more will also have undertaken vocational training. However, we are not sitting on our laurels. We recognise that there is more to do. We welcome external scrutiny by the Education Select Committee, which has launched an inquiry into prison education, and Ofsted, which recently announced that it will be conducting a review of reading in prisons On employment, we want to make sure that the prison education and skills offer for prisoners is aligned with what employers want and need. We know that there is a correlation between getting a job when you come out of prison and not reoffending. We want to prepare prisoners for employment and the Deputy Prime Minister has made that a clear priority. We want to have partnerships with more businesses and build on the work that we already do with companies such as Halfords, Timpson and Willmott Dixon. We are also making sure that the Civil Service plays its part. In the beating crime plan, we have committed to recruiting 1,000 prison leavers into the Civil Service by 2023 Over and above that, we want to make sure that we have effective community supervision. Not only will that keep the public safer by providing early intervention, it will deflect offenders away from future offending as well. We set out in our sentencing White Paper an agenda of reform for not only punishing but, importantly, rehabilitating low-level offenders. We have set out a number of measures in this Bill as well: problem-solving courts, suspended sentence orders and extending the use of electronic monitoring. I believe that those measures will support offenders to change their lifestyles for good. In that, of course, I share the aims set out by the noble Lord, Lord Marks of Henley-on-Thames, and the noble and learned Lord, Lord Falconer of Thoroton.
ParlaMint-GB_2021-11-17-lords.u212	My Lords, I am very grateful for the response of all noble Lords in this short debate. I would tease my noble friend the Minister and invite him at some stage to read a recent report to the Chief Inspector of Prisons that stimulated some of my thinking The noble Lord, Lord Marks, mentioned soft skills, which are extremely important. I know that anger management training is done within the prison system, but one thing I envisage is on exercises: the trainees have to practise anger management scenarios where they are faced with someone being stroppy and have to respond in the right way, and you can really only do that in an exercise outside the ghastly prison environment That takes me on to the point made by the noble and learned Lord, Lord Falconer, about isolation. The inside of a prison is absolutely ghastly. If you have youngsters who are already mentally fragile, having had a ghastly upbringing, which everyone in this Committee knows about, and then stick them in a conventional prison, it is the worst possible environment. That is why I am proposing that, to try to rebuild these youngsters, we need to do it in the beautiful countryside, not inside a ghastly prison. But I am extremely grateful for the response of the Committee and I beg leave to withdraw my amendment.
ParlaMint-GB_2021-11-17-lords.u213	My Lords, picking up on what the Minister said about rehabilitation, this is a probing amendment; I have no intention of taking it further. However, there are a very considerable number of people who arrived in prison with drink and drug addiction. All too many of them pick up addiction—perhaps not drink but drug addiction—in prison. The trouble is that, when they leave prison, they almost certainly will not have had very much, if any, help. There are a few systems—but very few—and they are almost certain to reoffend because, once you are addicted to drugs or to drink, you are going to reoffend because you need the money There is a cycle of offences by vulnerable people who have taken up drink and drugs who may be committing drug offences but are equally likely to be committing offences of burglary, theft and other similar crimes. So I am suggesting that the Government put in place at least one residential unit as a pilot project. I know Governments like pilot projects; the great problem is to get them beyond the pilot. In this case, I would like them to get to first base, to a pilot project where a drug or drink addict—generally a repeat offender—should be sent to that residential unit as a probation order, with a requirement to stay there. If they do not want to go or do not stay the course, of course they have a sentence of imprisonment and go back to prison It really might help a considerable number of people. With any luck, it might reduce some of the prison population. So, although the up-front cost of such a residential unit would no doubt be expensive, I suspect it would become cost-effective in the long term. I am not certain that this is really appropriate for primary legislation, but I have put it here to nudge the Government into trying to do something. I beg to move.
