ParlaMint-GB_2021-11-04-commons.u1	1. What progress he has made on establishing a national headquarters for Great British Railways.
ParlaMint-GB_2021-11-04-commons.u202	I congratulate the right hon. Member for Bournemouth East (Mr Ellwood), the Chair of the Defence Committee, on securing the debate, and commend him for the leadership he has shown in the weeks and months since the withdrawal was undertaken It would perhaps seem strange if we did not acknowledge the acres of empty Benches around us. Less than three months ago, this House was recalled from its summer recess to discuss the very issue we are discussing now, and today we have started the wind-up speeches only minutes after the Chair of the Select Committee got to his feet. That worries me and speaks to the reason why we need the inquiry that he has come here to ask the Government to instigate—a case he prosecuted forensically The SNP supports the right hon. Gentleman’s call for an inquiry. I think he is right that it is important to those who served. It is important to their families. In particular, it is important for those who went to Afghanistan and paid with their lives, whether they were UK armed forces or those who served alongside them. It was fashionable at the time of the initial withdrawal not to acknowledge the international coalition, but I think we should. Above all, we owe it to the people of Afghanistan, not just those who have lost their lives or been maimed or injured over the course of the west’s time there, but those who now face the long dark night of Taliban rule that stretches out before them. Yes, that includes in particular women and girls, minority groups, journalists and academics, but also all who tasted freedom over the past few years and have now had it rather abruptly snatched away It is notable that although there have been some other inquiries in different coalition countries, it is only the Norwegians who have set up a fully independent inquiry. That is something we need to do here. Yes, inquiries are expensive, necessarily so. Inquiries are slow, necessarily so. We have not had that many of them, necessarily so. But if the Government will not bring forward an inquiry on Afghanistan, then goodness knows what they will ever bring forward an inquiry on in future. They need to look at the long stretch of the mission, the motivation for why we went there in the first place, and the chaotic withdrawal, which we were recalled for less than three months ago I would like to put on record—the Minister and I exchanged on this last night—that I had actually thought this was a Ministry of Defence debate. As my party’s defence spokesperson, I wanted to put on record my thanks to the Defence Secretary for his conduct in the aftermath of the withdrawal. I do not think he and the Government got everything right, and the Foreign Secretary certainly did not, but I do not want to rehearse that this afternoon. It is important to acknowledge that the Defence Secretary seemed to be the only Minister who grasped the issue’s importance at the time—I will rephrase that: the only Cabinet Minister, because I do not want to be unfair on the Minister before us The right hon. Member for Bournemouth East touched on a broader point about political will and assessing exactly where we are with the implementation of our values. The Minister and I will disagree on much about defence and foreign policy, but fundamentally, our agreements are underwritten with the same kinds of values—on openness, tolerance and solving big issues in alliances with other countries I am a committed internationalist. Multilateral fora such as NATO and the European Union are, by a country mile, the best parts of the international architecture for advancing values of tolerance, liberal democracy and openness. If they did not exist, we would want to create them, and I would want Scotland to be in them and all the countries around us to be part of them. They are by the far the greatest vehicles for the kinds of values that we in this House all share. However, we must all reflect, and NATO at large must reflect, on this defeat—there is no other word for it. If there is a failure to do so and to have the kind of inquiry that the Chairman of the Defence Committee is asking the Government to initiate, those who want to overturn our values, as he mentioned, will take heart from that. Within hours, China was talking about the weakening of the west. Russia was in Kabul barely days after it had fallen, while we, in concert with others, were desperately scrambling—and failing in too many cases—to get people out quickly and alive Alongside an inquiry, the challenge is this: we must have a political discussion with other capitals that we are allied with about how we renew and reinvigorate the international architecture that underpins and drives the order that we have all benefited from and want to see us continue to benefit from. If we do not do that, who will benefit? It will be those who stand in opposition to our values. So the question is: what does Afghanistan and that withdrawal become? Does it become a low point for the liberal international order that we all believe in, or does it mark the point of no return? The Minister will have to answer that when he gets to his feet. If we do not have a full, independent inquiry, properly funded and properly prosecuted by a judge, with full powers of subpoena and all the rest of it, I fear that this will be a point of return, and I am sure that nobody in this House wants that The right hon. Gentleman has the full backing of my party for his proposal for an inquiry. Let us not shrug this off this afternoon. The debate will now, necessarily, be depressingly short; perhaps the acres of empty green Benches scream out that we need the inquiry that he asks for.
ParlaMint-GB_2021-11-04-commons.u203	I am grateful for the hon. Gentleman’s support. Is it worth his clarifying this point, which I did not? We have in our mind, as a yardstick, that an inquiry looks like Chilcot. Nobody is asking for Chilcot, but we are asking for something that I believe should be the norm: after every long-term military engagement, there is an assessment of what happened so that we can learn for the better. However, it does not need to take the legal approach that Chilcot was all about. That had a very different, complicated requirement.
ParlaMint-GB_2021-11-04-commons.u204	The right hon. Gentleman is absolutely right. I believe that the Defence Committee has started its investigation, and we on the Foreign Affairs Committee have started ours. Parliament has a role to play in doing its job and scrutinising what Government have and have not done, and making recommendations for the future. That is right and proper, but he rightly asks for something above that that can do the necessary job. I get entirely why Chilcot provides a rather unhelpful shadow over this discussion, but it cannot be used as an excuse to shrug off what the right hon. Gentleman asks us to do. This is up to the Government and up to us all. What we have shown through the lack of hon. Members’ presence in this debate is that Parliament cannot be left as the only institution to scrutinise the matter.
ParlaMint-GB_2021-11-04-commons.u205	The hon. Member is making a most excellent speech. The point made by the right hon. Member for Bournemouth East (Mr Ellwood) was that, whatever the rights and wrongs, this place will sadly, from time to time, have to commit people to defend or fight, and the whole of the decision making from the Government or this place will be compromised and corroded unless we have a full inquiry that gets everything out in the open and that we learn from. I hope that this is a low point from which we rise again one day.
ParlaMint-GB_2021-11-04-commons.u206	Indeed. Can the hon. Gentleman imagine what a slap in the face it will be to those who put on the uniform so bravely—for whom we wear the poppy at this time of year—if we do not take the time to learn lessons, as the right hon. Member for Bournemouth East (Mr Ellwood) said we would be expected to after such an enormous military campaign? Is this a low point or a point of no return? I hope that the Minister will tell us this afternoon that it is a low point from which we will learn—
ParlaMint-GB_2021-11-04-commons.u207	A turning point.
ParlaMint-GB_2021-11-04-commons.u208	And turn—and even if the hon. Gentleman suggests that we rise again, I suggest that this should perhaps be something from which we learn and get to what we really need, which is the reinvigoration and assessment of what the liberal international order is actually for and how it will lead to change, as it is being contested and challenged like never before.
ParlaMint-GB_2021-11-04-commons.u209	I thank the right hon. Member for Bournemouth East (Mr Ellwood) for securing this important debate and for his commitment and leadership as Chair of the Defence Committee. I also thank right hon. and hon. Members and their staff across the House for the hard work and professionalism that they have shown, given the tremendous difficulties that they have faced in getting their constituents, family members and other vulnerable people out of Afghanistan over the past few months. Parliamentarians and caseworkers alike can be enormously proud of their efforts, which have shown the House at its best Of course, the real heroes of Operation Pitting are the British and American servicemen and women, and those from other allied countries, who worked around the clock in unimaginably difficult circumstances to stand up for the values that we as a nation hold dear by evacuating British nationals, along with the brave Afghans who have supported UK operations in Afghanistan and who have stood up and campaigned for the values that we cherish and hold dear. We all saw the harrowing images from Kabul. It is clear that our country, and particularly our Government, owe those members of our armed services and our diplomatic corps a tremendous debt of gratitude for the work of not just the past few months, but the past 20 years The right hon. Gentleman made an eloquent case for the need for a wide-ranging inquiry into Britain’s role in Afghanistan. We agree with the principle of the need for an inquiry, but it is our firm view that the failures that need investigating are primarily those of political leadership that started with the Trump-Taliban Doha agreement. Let me set out why First, there is broad agreement that the decision for Britain to join the NATO-led and US-led invasion of Afghanistan was utterly just and right as a response to the most devastating and brutal terrorist attacks on liberal democracy in modern times. Those attacks killed 2,977 innocent civilians, including 67 British citizens, and we were right to defend our national security We must never underestimate the pivotal role that our armed forces played in ridding Afghanistan of al-Qaeda, in removing the Taliban from power and in succeeding in the hunt for Osama bin Laden. It can never be said enough that while there was a British presence in Afghanistan, there was not a single terrorist attack on the west from Afghan soil. That is a fine collective achievement of which we should be truly proud What our servicemen and women did kept the rest of us safe—it is as simple as that. They also gave Afghan women and girls a level of freedom, education and empowerment that they would never previously have imagined. Let it never be said by anyone that those British soldiers died in vain. We must be absolutely clear on their achievements and their contribution Secondly, reports by the Select Committee on Defence already cover in detail the events on the ground in Afghanistan prior to the Trump-Taliban Doha agreement; its fourth report, “Operations in Afghanistan”, has proved particularly valuable to gaining insight and learning lessons. Of course, the armed forces may wish to undertake their own investigation into events to learn lessons from a military, operational and tactical perspective, but I believe that this House has a duty to focus on the political leadership and decision making that took place in the run-up to the Trump-Taliban Doha deal and afterwards, up to the present day Thirdly, the time and scale of an inquiry spanning 20 years would be almost unmanageable. I know that the right hon. Member for Bournemouth East said that we cannot use Chilcot as a yardstick, but the reality is that we are not clear on what other yardstick we would use, which is why Labour proposes a very defined scope, based on the milestone of the Trump-Taliban deal. The Chilcot inquiry into Iraq covered eight years of UK activity, beginning in the run-up to the invasion of Iraq; it took seven years to complete. If a similar model were applied to Afghanistan, an inquiry could take up to two decades to complete We cannot wait for two decades. Justice delayed is justice denied, so we must prioritise and use the time as effectively as possible. We know that removing the Taliban and defeating al-Qaeda was the right thing to do, but we know that the Doha agreement and events since have been utterly catastrophic, so let us focus on that important and in some ways deeply regrettable chapter in our history. We know that the Taliban are the root cause of the death and destruction that, unfortunately, has come to define Afghanistan since the 1990s, but we need to understand why they were able to defeat the Afghan army at such a shattering scale and pace What should the inquiry into the period from February 2020 onwards focus on specifically? Labour proposes the following. First, it must concentrate on learning the lessons from the Doha agreement up to 31 August. Why was there such a failure of diplomacy and of political leadership? Perhaps, on that point, the Minister can help me with a few of the questions that should certainly form part of the inquiry. We know that the Defence Secretary welcomed the Doha agreement between the Taliban and Donald Trump, but what did the UK Government know about that agreement ahead of time? The then Foreign Secretary said that “we are following the negotiations”—[Official Report, 4 March 2021; Vol. 690, c. 415], so clearly the UK Government were not at the table, but were Ministers even consulted on what was being discussed in Doha Despite our Prime Minister doing everything he could to cosy up to Donald Trump, it seems that our Government were left out in the cold. What does that say about the Prime Minister’s ability to build and maintain relationships with our key strategic defence and security partners Why were the Afghan Government not only locked out of the negotiating chamber, but completely blindsided by the result of the negotiations? Imagine an Afghan soldier on the ground in Afghanistan seeing the US sidelining their democratically elected Government to do a dirty deal with a misogynistic and murderous bunch of tyrants. No wonder morale collapsed in the Afghan army from that time onwards Did the UK Government challenge President Trump on his decision to fatally undermine the Afghan Government and military? We need to know what communications the UK had in the months before the 31 August withdrawal date and what concerns it expressed about the risks that UK and US forces faced On 20 April, Labour’s shadow Defence Secretary, my right hon. Friend the Member for Wentworth and Dearne (John Healey), told this House: “Now, with the full withdrawal of NATO troops, it is hard to see a future without bloodier conflict, wider Taliban control, and greater jeopardy for those Afghanis who worked with the west and…women”. —[Official Report, 20 April 2021; Vol. 692, c. 853. ] Why were Ministers not listening to our shadow Defence Secretary? On 8 July, the Prime Minister said: “I do not believe that the Taliban are guaranteed the kind of victory that we sometimes read about. ” —[Official Report, 8 July 2021; Vol. 698, c. 1107. ] Complacency was rife. Naivety was rife. The consequences were tragic Why did the then Foreign Secretary ignore messages from the UK ambassador to Afghanistan, the courageous Laurie Bristow, that made it clear that the Taliban advance was imminent? Warnings began in early July, but the message of most significance came on 2 August, when the ambassador wrote: “The gloves are off. We are entering a new, dangerous phase of the conflict. ” Previously, on 22 July, the principal risk report by the then Foreign Secretary’s own Department had warned of rapid Taliban advances. Why did he feel that the most appropriate response to those messages was to go on holiday and refuse to make vital calls to his counterparts in other countries Secondly, the inquiry should focus on the immediate aftermath of the withdrawal—the months that we are living through right now. Why have so many colleagues failed to get adequate responses from the Foreign Office and Home Office helplines on behalf of their constituents? How many more vulnerable Afghans do the Government have on their list of people who need to be supported to leave the country? Why is the Afghan citizens resettlement scheme still not open for applications? Is it because the Government actually have no intention of ever opening it for applications? Are they in effect pursuing an operation of tapping on the shoulder, rather than opening the scheme up for applications, because the response would be so overwhelming? If so, the Minister should inform the House. Transparency is vital in this matter—lives are at stake Have the Government done enough to engage regional powers such as Pakistan to secure safe passage for those who are attempting to flee? How can we ensure that we direct financial and humanitarian support directly to Afghan services such as hospitals and schools, so that we can bypass the illegitimate Taliban regime? What leverage do we have as a result of the frozen £10 billion of reserves that the Afghan Government would have had in the west? What should we be demanding from the Taliban? What conditions should we be insisting they fulfil in return for the unfreezing of those funds Finally, the inquiry must focus on understanding the full implications of the Afghanistan withdrawal for Britain’s place in the world, and how it might affect our defence, foreign policy and national security. The British Government’s actions over the past 18 months have not been befitting of a country that has always been an influential voice at the top table of global affairs and that rightly prides itself on being one of the world’s major military powers. We therefore need to know the impact of the Taliban takeover and of the resurgence and insurgence of ISIS-K on the security of the British people What strategy are the Government putting in place to deal with terrorist threats from abroad, in Afghanistan and beyond? We need a laser-like focus on countering terrorism if we are to avoid a return to the days before 9/11 What impact have the Conservative Government’s actions had on the reputation of Britain internationally, and the levels of trust between the UK and its allies, and how can we rebuild our reputation as an alliance maker rather than an alliance breaker? Are we still a country that is genuinely committed to defending the international rules-based order? Are we happy to see the world descend into anarchy? Will the UK be trusted to stand up for places such as Taiwan as China seeks to further its authoritarian influence Britain can still look forward to being a proud internationalist country with a proud internationalist future, but this isolationist Conservative Government appear to be intent on diminishing our great nation and diminishing the alliances that are so important to the status and the voice that we have. We therefore commend the right hon. Member for Bournemouth East for his call for an inquiry, while urging him to look at the possibility of narrowing its scope in terms of the specific timeframe that we are discussing, because we believe that that is the best way to hold accountable those who should be held to account, and to ensure that we use all our resources as effectively as possible, because justice delayed is justice denied.
ParlaMint-GB_2021-11-04-commons.u210	I am grateful to my right hon. and gallant Friend the Member for Bournemouth East (Mr Ellwood) for securing the debate, and I pay tribute to his long-standing commitment to Afghanistan, including what he has done in his current role as Chair of the Defence Committee. I am also grateful for the thoughtful contributions from other Members, including the hon. Members for Caithness, Sutherland and Easter Ross (Jamie Stone) and for Glasgow South (Stewart Malcolm McDonald) and, indeed, the shadow Minister, the hon. Member for Aberavon (Stephen Kinnock). It is my pleasure to respond on behalf of the Government Before I do so, however, I want to record my thanks to all British service personnel who were deployed to Afghanistan over the course of our commitment there, and also to the countless diplomats, development experts and others who served there out of uniform. I want to thank our allies, and I very much want to thank the brave Afghans who worked shoulder to shoulder with us all over the last 20 years As a result of our collective efforts and those of our international and Afghan allies—as the hon. Member for Aberavon pointed out—no major terrorist attacks against the UK or, indeed, any NATO country have emanated from Afghanistan over the last 20 years, and that is something for which we should rightly be grateful. As a result of our efforts and those of our allies, secondary school enrolment rose from 13% of children to almost 60%. Over 8 million more children, including 3.6 million girls, were attending school than in 2001. Basic health services reached 85% of the population, and the proportion of people with access to clean water and sanitation doubled. As a result of our efforts and those of our allies, life expectancy rose by an incredible eight years. Over those 20 years, maternal mortality nearly halved, and infant mortality decreased faster than in any other low-income country. In short, our efforts over 20 years made the UK safer, and gave Afghans health, education and a degree of hope. Those achievements should be a matter of great pride to us all, and our focus now is on protecting them My right hon. and gallant Friend focused very much on the NATO mission. NATO allies went into Afghanistan together, and they left together. The 11 September attacks were the only occasion in NATO’s history on which it has invoked article 5, its collective “self-defence clause”. The UK played an active role in NATO collective decision making throughout the mission, and that includes the collective NATO ministerial decision on 14 April this year that NATO troops could not stay without American forces Since mid-August, we face a new situation, but we have enduring interests, and a continuing commitment to the Afghan people. Today, we have four major objectives. They are, first, to preserve the counter-terrorism gains that we have achieved, and ensure that Afghanistan does not again become a source of threats to the region or beyond, including here in the UK; secondly, to provide humanitarian support for the Afghan people, who are facing extreme hardship—42% of the population, more than 18 million people, are suffering crisis or emergency levels of severe acute malnutrition; thirdly, to press for inclusive politics and respect for human rights, especially the full and equal rights of girls to go to school and women to go to work; and finally, to ensure that the events in Afghanistan do not destabilise the region, for example, through uncontrolled outflows of refugees or the export of narcotics Through our presidency of the G7, our role in the Security Council and the G20, and our partnerships with countries in the region, we have helped to build global support for those four goals, and—just as important—we will continue to assist British nationals and eligible Afghans who are trying to relocate from that country. To pursue those goals, we need to have pragmatic engagement with the Taliban. Officials have had a number of meetings with the Taliban leadership since August, for instance, during a visit to Kabul by Sir Simon Gass, the Prime Minister’s High Representative, and meetings with the Taliban hosted in Doha. Thanks to those exchanges, the Taliban are clear about the fact that the eyes of the world are upon them and we are watching their actions closely. They know what they must do if we are to co-operate. That includes allowing girls to go back to secondary school and women to go back to their jobs, and preventing the movement of foreign terrorist fighters We are also offering practical support to Afghans, without benefiting the Taliban. The Prime Minister has said that we will double humanitarian and development assistance for Afghanistan this year, to £286 million. On 31 October, he announced the allocation of £50 million of that to fund emergency humanitarian support. The money will help to provide 2.5 million people with life-saving healthcare, food security, and shelter. We are working with other donors and the World Bank to continue the provision of basic services for the Afghan people, through non-state-run channels. Strong primary healthcare is vital if we are to protect Afghan women and children My right hon. and gallant Friend has argued that we must learn lessons from the NATO mission, from our broader campaign and from the way that it ended. He is, of course, right. We must, and we will. Our main focus right now is on ensuring safe passage for anyone remaining in Afghanistan who needs to leave, supporting the thousands of new arrivals in the UK, and continuing to provide assistance for the Afghan people who remain in Afghanistan—but, of course, we are always learning lessons: learning lessons from Afghanistan has been a continuous process. That is why, after the conclusion of Operation Herrick in 2014, the Army conducted a thorough internal review. We also incorporated lessons from that in the integrated review that we published earlier this year. Departments are undertaking their own Afghanistan lessons learnt exercises in their areas of expertise and contributing to NATO’s lessons learnt exercise, all of which will inform our defence strategy and future UK military operations In addition, the Government welcome the inquiries of this House’s Foreign Affairs Committee and of my right hon. Friend’s own Defence Committee. We welcome the debates in the House and the interest of the Intelligence Security Committee, the International Development Committee, the Home Affairs Committee and the Joint Committee on National Security Strategy, among others.
ParlaMint-GB_2021-11-04-commons.u211	As a member of the Foreign Affairs Committee, I can tell the House that we are proceeding with our inquiry on this. However, I submitted a number of written questions to the Minister’s Department when the previous Foreign Secretary was still in post. I do not want this to come across as personalised, but it is important for Parliament to understand what Ministers were and were not doing during the month of August. There has been a lot of public debate, particularly about the Foreign Secretary’s movements and actions. I submitted a whole series of questions asking for ministerial engagements on each of the days on which the Taliban were advancing across more and more of the country. The Foreign Office will not give me answers to those questions, so how is Parliament supposed to have any confidence that the Government take Parliament’s inquiry seriously when we cannot even get basic things such as call logs to tell us who Ministers were talking to as the Taliban were getting Kabul ever closer in their sights?
ParlaMint-GB_2021-11-04-commons.u212	The Foreign, Commonwealth and Development Office takes very seriously the inquiries from Members from every part of the House, and we seek to answer them in a way that informs Members without compromising security or, sometimes, the discreet work that the Department has to do The simple fact is that multiple inquiries are being conducted by the Committees of the House into the functions of the Government. Indeed, my right hon. Friend the Member for Bournemouth East is leading the inquiry by the Defence Committee that will cover what happened after the US agreement with the Taliban in February 2020—the exact period of time that the hon. Member for Glasgow South mentions. It will also cover the planning and execution of the withdrawal of UK forces and the evacuation of UK nationals and Afghanistan nationals who worked with the British armed forces The Government’s view is that these initiatives offer ample scope to address the most important questions. The hon. Member for Aberavon, who knows that I have a huge degree of respect for him, has suggested a more limited inquiry—one that would be limited to a timescale that would prevent it from looking at the role his party might have played when it was in government. While the final stages of the deployment are important, if his proposal were to be taken forward, I think that people might see it as partisan and cynical. As the Prime Minister told the House on 8 July, we do not think an inquiry in addition to those multiple other inquiries is the right way forward.
ParlaMint-GB_2021-11-04-commons.u213	I thank the Minister for giving way; he is being very generous. Just to be clear, what I said in my remarks was that there had already been multiple inquiries into the Afghan intervention preceding 2010—some by the Defence Committee. He himself is commending the work of the Defence Committee in making inquiries. We are saying that it is important to prioritise and that we need something that does not take a massive amount of time, as Chilcot did. We are saying this in a genuine spirit of bipartisanship; I am certainly not attempting to be cynical or party political in any way.
ParlaMint-GB_2021-11-04-commons.u214	I will take the hon. Gentleman at his word. Being an honourable Member is not just some loose title; he is genuinely an honourable gentleman and I take him at his word The Government welcome the close interest in these events that the House has taken. We will study recommendations of the inquiries by the Foreign Affairs Committee, the Defence Committee and others with great care. The military campaign in Afghanistan over the past 20 years claimed the lives of 457 British service personnel, but we must never forget that it saved the lives of countless others. We can be proud of what we achieved, in step with our NATO allies, and today we are doing everything we can with our partners to protect those gains, to ensure the UK’s security and to help the Afghan people in their time of greatest need.
ParlaMint-GB_2021-11-04-commons.u215	I call Tobias Ellwood to wind up the debate.
ParlaMint-GB_2021-11-04-commons.u216	I am grateful for all the contributions that have been made today on this important issue. I am also grateful to the Minister, who has worn the uniform and who I know takes these matters very seriously indeed. However, we have raised more questions than we have had answers to, which is exactly why we need an inquiry. I believe that there should be a default position that whenever this country goes to war or is involved in a long-term conflict, there should be some form of formal wash-up provided by the Government. If I had a private Member’s Bill opportunity, I would put one forward, but I would be worried that the Government would whip against it and that it would not get through. That is another matter, however. The Minister talked about terrorist attacks from Afghanistan, and he was absolutely right, but we are no longer there so that threat is now very much back on the cards. The humanitarian assistance was significant, but it has been diminished because we have decided to depart. On NATO, he was right to say that there was an all in, all out approach, but that did not anticipate Donald Trump coming very close to taking the United States out of NATO. That was not the way forward that anybody imagined.
ParlaMint-GB_2021-11-04-commons.u217	Will the right hon. Gentleman give way?
ParlaMint-GB_2021-11-04-commons.u218	I am not sure. With the indulgence of the Deputy Speaker, I would be happy to give way. I seek her guidance.
ParlaMint-GB_2021-11-04-commons.u219	The right hon. Gentleman is winding up the debate.
ParlaMint-GB_2021-11-04-commons.u220	Okay, I will continue. I will conclude the debate, because I know another one is following this one I would argue that if there were a free vote on whether we should have an inquiry, many Members of this House—particularly Conservatives, but also Members from all parts of the House—would support it. It is the right thing to do. There is work to be done on the special relationship, and we need to show that we understand the world and that we can offer alternative points of view. We will be asked to do something similar in the future, potentially in Mali, Yemen, Lebanon or Afghanistan. A Kurdistan area could develop north of the Hindu Kush, because the Taliban are not in control of the whole country. The music has not stopped there, and resistance will build up in the next couple of years. We need to understand how we can do things better and understand the political decision making that went on My final words are to the brave people who served and to the bereaved who still miss the loved ones who did not return. They are scratching their heads—we know that because we have talked to them—and wondering what on earth it was all for. I spoke to the Taliban in Doha, and they know that the societal change that we introduced over 20 years is too much for them to reverse. The country has moved on, and it is too large. It is demanding too many new, modernised things for the Taliban to turn back. If there is a modicum of justice there, it is that we have advanced the country a long way forward. It has been handed over to the Taliban, but the spirit of what is now there in Afghanistan will be bigger than anything the Taliban can do to undo it and turn it back to what we saw in the 1990s. We can say thank you to our troops for achieving that Question put and agreed to. Resolved, That this House has considered the proposal for an inquiry into the UK’s involvement in the NATO-led mission to Afghanistan.
ParlaMint-GB_2021-11-04-commons.u221	I beg to move, That this House has considered the matter of the use of medical cannabis for the alleviation of health conditions I would like to start by paying tribute to the mums and dads, brothers and sisters, grandparents, guardians, extended families and friends who have campaigned diligently, respectfully and passionately to bring about the reform in access to medical cannabis that they so desperately desire. Many are full-time carers, with all the pressure and time constraints that that entails, yet they have found the time and the commitment to energise a campaign—a campaign that far too many politicians and medical professionals have turned a blind eye to I would like to thank the Backbench Business Committee for supporting me in bringing this debate forward today. I would also like to thank those Members who have reorganised their diaries and travelling arrangements to be here today. There are a number of MPs who would normally be here today to debate a subject that is close to their hearts, but for a variety of reasons, not least COP26, they are not. I guarantee they would all support any move by this Government to make it easier to access or research medical cannabis. I have never heard any MP argue against those objectives. There is confusion about drugs in general, which tempers some people’s desire to speak out, but the provision of medicine to sick people is not an issue.
ParlaMint-GB_2021-11-04-commons.u222	I congratulate the hon. Gentleman on securing cross-party support for this debate. On research, does he agree it is encouraging to see the potential curative effects of various elements of this drug, as we call it, in treating very serious forms of epilepsy?
ParlaMint-GB_2021-11-04-commons.u223	It is great to see that research has now been undertaken, and I have a list of five or six projects looking at medical cannabis across a range of different medical conditions, but there is still the issue that many academic organisations cannot get access to the cannabis or hemp plants they require because they are graded as category 2, which keeps the plants out of their hands. The paperwork and processes they have to go through to access the raw product are prohibitive, and recategorisation from category 2 to category 4 would aid the research of a host of academic establishments Why are we not making it easier for people to access medical cannabis? Why are people who would benefit from medicine derived from the hemp plant being denied that opportunity? Why can some medicines be purchased on private prescription only? Why are we not making medicines that are widely available in other countries available in the United Kingdom?
ParlaMint-GB_2021-11-04-commons.u224	I congratulate the hon. Gentleman on securing this debate. He is making some important points. One of my constituents lives with progressive myelopathy of uncertain cause that affects his mobility and causes him to suffer brain fog, exhaustion and almost constant pain, which he has described as feeling like “hot wires” being pulled through muscles and skin. Does the hon. Gentleman agree there is real urgency to this issue because of people like my constituent who are suffering on a daily basis?
ParlaMint-GB_2021-11-04-commons.u225	Of course I agree, and I understand the difficulty in which the Government find themselves, particularly the Under-Secretary of State for Health and Social Care, the hon. Member for Lewes (Maria Caulfield), who is new in post. We need solid research that proves the efficacy of medicines, but behind that we have people who are living with these extreme conditions, day in, day out, for an awfully long time. We have been slow to get to this stage, so there is every reason why the Government should accelerate the research in such cases Over the last week or so I have met representatives from the Multiple Sclerosis Society and End Our Pain, and over the years I have heard representations from a much wider range of organisations and individuals that see medical cannabis as at least part of the solution to their or other people’s health issues. There are two licensed cannabis medicines, Epidiolex and Sativex, which are both made by GW Pharmaceuticals. There is nothing wrong with these medicines, but they are isolates, or very nearly, and isolates simply do not work as well as full spectrum products, and they have more side effects A full spectrum cannabis product contains all the different cannabinoids and terpenes found in that strain, whereas an isolate product contains only one chemical, such as cannabidiol in Epidiolex. There is published evidence that the full spectrum products are twice as good as the licensed Epidiolex in the treatment of seizures Then there are the unlicensed cannabis products that account for virtually all privately prescribed products. Unlicensed products are not routinely prescribed by NHS clinicians, but they can be prescribed by a specialist doctor on the General Medical Council’s specialist register. There are now about 10,000 private prescriptions, 60% for pain, 30% for anxiety and similar conditions such as post-traumatic stress disorder, and 10% for other conditions including neurological conditions, such as epilepsy and MS, and some cancer and gastrointestinal disorders such as Crohn’s. It is clear that medical cannabis can aid a wide range of conditions All imported products are imported because the Home Office has been slow in granting cultivation licences for high-THC plants in the United Kingdom, and matters are made worse by the cumbersome import process. Three years and three months after the current Secretary of State for Health and Social Care, while he was Home Secretary, changed the law to allow prescriptions for medical cannabis, we still have only three NHS prescriptions As I mentioned in yesterday’s Westminster Hall debate, and it is worth repeating, Hannah Deacon, whose son Alfie is in receipt of one of those NHS prescriptions, has written to the Health Secretary three times to ask him to help, as he promised her he would in writing when he was Home Secretary, but all three letters have been ignored. Why, three years and three months later, are there so few NHS prescriptions Basically, doctors are not trained in cannabis medicine, although several teaching programmes are now available. However, the main barrier is the rather unhelpful guidance produced by the National Institute for Health and Care Excellence, which has looked at cannabis as if it were a pharmaceutical product, but it is not. We need better guidance written by people who understand the plant, not by those who understand only pharmaceutical medicine We also need acceptance of the validity of real-world evidence. The British Paediatric Neurology Association recently reviewed its guidance on prescribing medical cannabis in cases of intractable epilepsy, about which I have a number of serious concerns. If a family go ahead with a private prescription for medical cannabis, the guidance appears to say that the NHS paediatric consultant should insist that the private paediatric consultant takes on 24/7 care I am extremely concerned that this is a further attempt to make private prescribing so burdensome as to deter private prescribers. No private prescriber will have the infrastructure to provide this level of wraparound care. My concerns are further increased as this appears to have happened to one family already, and I have a letter supporting my concerns. I am pretty sure that washing their hands of patients in this way is not legal. Will the Minister immediately examine this issue and seek clarification from the BPNA that this is not the interpretation, and will she insist that the guidance is removed or changed Many barriers would be broken if general practitioners were allowed to prescribe, and a recent survey shows that a quarter of GPs would be happy to do so. That would require a simple change of the necessary statutory instrument under the Misuse of Drugs Regulations 2001 and would not require parliamentary time. I notice that, as of today, a leading UK insurer is now offering insurance cover at rates not dissimilar to normal cover for doctors prescribing medical cannabis To make this easier, there should be a focus on where the evidence lies for prescribing indication-specific, medicalised, pharmaceutical-grade cannabis. We must build on the legitimacy and efficacy of these medicines through the implementation of structured approaches to prescribing, which would help the UK healthcare system to be more inclined to prescribe cannabis sensibly In our debates in this place on refusing access to immigrants, health and safety in the workplace, poverty and welfare, I have heard the question many times: “Does somebody have to die before we take action? ” Well, people are dying and people are living in unnecessary pain and discomfort I have four questions for the Minister. Will the Government recognise the value of real-world evidence, such as the research of Drug Science—including Project Twenty21—as proof of the efficacy of medical cannabis and stop insisting on randomised controlled trials, which are particularly unsuitable for rare forms of epilepsy in children? Do the Government have any plans to conduct a health economics analysis to investigate the cost-effectiveness of medical cannabis? Will the Government meet the costs of prescriptions for children requiring Bedrocan’s Bedrolite or similar products? And if a child was suffering from an epileptic seizure and the Minister had the medicine in her hands, would she administer it? I am sure the answer to the last question is yes, so will she please help to put that medicine into the hands of those who care for these children Finally, access to medical cannabis will someday be the norm. We need to confront the obstacles that exist today and clear the path for better access tomorrow.
