ParlaMint-GB_2021-09-23-commons.u1	I congratulate the new Minister on his appointment, and call Alistair Carmichael.
ParlaMint-GB_2021-09-23-commons.u333	I thank the Leader of the House for the Business statement We come now to the Backbench Business debates, the first of which is on Baby Loss Awareness Week. As colleagues will see, the two debates are well subscribed. I hope that they will bear that in mind when considering how long they will speak for.
ParlaMint-GB_2021-09-23-commons.u334	I beg to move, That this House has considered the matter of Baby Loss Awareness Week Ahead of Baby Loss Awareness Week 2021, which falls in recess this year, between 9 and 15 October, it was important to bring this debate to the House to highlight the fantastic strides that are being made in this area, to underline where more needs to be achieved, and for Members to reflect not only on their own personal experiences, but on those of our constituents Considering that one in 14 babies dies before, during or soon after birth, Baby Loss Awareness Week continues to be an essential focal point for bereaved families. I thank hon. and right hon. Members across the House—those who are here today and those who are unable to be here—for their solid and unwavering support for this most difficult of issues. I am grateful to those who have spared the time to speak and I pay particular thanks to the Backbench Business Committee for enabling this consideration to return to the Chamber, illustrating to bereaved families across the country how important their experiences are to representatives in this place On the run-up to this debate, I have been struck by the number of colleagues from all parts of the House who have spoken to me privately about their losses. Many are still simply unable to speak in public about their own experience, as it is still too difficult, even after many years As co-chair of the all-party group on baby loss, I have received wonderful support from: my co-chair, my right hon. Friend the Member for South West Surrey (Jeremy Hunt), who has utilised his knowledge and expertise to advance the cause; the many bereavement charities; and Ministers from the Department of Health and Social Care, particularly my right hon. Friend the Member for Mid Bedfordshire (Ms Dorries), who, as Minister, totally comprehended the issues and championed much progress in this area In that vein, I warmly welcome the Under-Secretary of State for Health and Social Care, my hon. Friend the Member for Lewes (Maria Caulfield), to her place and look forward to continuing the excellent work already begun. In addition, I know that my hon. Friend the Member for Meriden (Saqib Bhatti) would have been here to speak had he not been promoted to the Health and Social Care Front-Bench team. He was marshalling the Balsall Common Fun Run and, on his behalf, I pay tribute to the Lily Mae Foundation for organising nearly 1,000 runners Last year was my first such experience in this role. I told the story of my loss—the diagnosis of severe spina bifida at the 20-week scan, and the choice, which is actually no choice at all, to terminate. I talked about the termination itself, the delivery, the cuddles and the kisses for my tiny daughter, Lily, and, finally, letting her go—you never really let them go, though, do you? I talked about how difficult it was to leave the hospital without my baby, about how it physically aches, and about how a part of my heart and soul had been left behind. I wish to put on record my thanks again to the wonderful bereavement midwifery team at the Royal Cornwall Hospital in Truro. The kindness and compassion that they showed us in our darkest hours will never be forgotten. My work in this place, on this very subject, has given me a focus to channel my energy, but I will not lie that it is difficult at times. My grieving is now done quietly at home in stolen moments with her photograph—
ParlaMint-GB_2021-09-23-commons.u335	Does my hon. Friend agree that it is an amazing achievement for her to bring this debate today and that she will get cross-party support from all of us?
ParlaMint-GB_2021-09-23-commons.u336	rose—
ParlaMint-GB_2021-09-23-commons.u337	If the hon. Lady wants to take a break, we can take another speaker and come back to her if that is what she would like.
ParlaMint-GB_2021-09-23-commons.u338	Thank you, Madam Deputy Speaker, for your words and my hon. Friend the Member for Cities of London and Westminster (Nickie Aiken) for intervening Today, I wish to extend my sincere condolences to anyone who has experienced the loss of a baby. To anyone to whom this has happened, despite what they may see, I say that the sun will shine again. It does not feel like it now, but one day it just does. For me, the dark clouds of shock, anger, guilt and dreadful, dreadful sadness do eventually dissipate—
ParlaMint-GB_2021-09-23-commons.u339	I pay huge tribute to my hon. Friend for her courage in coming to this place to share her views. I know that she is speaking for so many people who have such a tough time, whether through miscarriage or stillbirth. This was her terrible experience of a child who was not going to make it, but all of us here have her back. We all agree with her, and there are so many people here who would like nothing more than to see much more done in that critical period of maternity. All our thanks go to her for her bravery today.
ParlaMint-GB_2021-09-23-commons.u340	I thank my right hon. Friend for her intervention and kind words I entered Parliament and suddenly had the opportunity to speak with many people who had experienced the loss of a baby. Unlike me, many have no idea why their baby had died. As well as prevention of baby loss, which I will come to later, my focus in this place is on the care for bereaved families. The all-party group was instrumental in the creation of the Government-backed national bereavement care pathway, which seeks to improve the quality and consistency of bereavement care received by parents in NHS trusts in England after pregnancy or baby loss There are different experiences from place to place. While the Department of Health and Social Care strongly urges the trusts to take part in the pathway, mandating it and its nine standards would lead to greater time, funding and resources being made available to healthcare professionals to deliver this. Poor bereavement care, from the moment of diagnosis and the breaking of bad news, exacerbates the profound pain felt by parents. Although approaches to bereavement care in the UK have greatly improved in recent years, inconsistency still remains, often resulting in a postcode lottery for parents As of last month, all NHS trusts in England have either expressed interest in, or formally committed to, implementing the pathway within their hospitals and their services. Trusts require additional funding, however, to fully implement the standards, especially to ensure that every hospital has an appropriate bereavement suite, specialist staff and training As I mentioned earlier, the care that we received in Cornwall on the weekend that we lost Lily was second to none. However, while I was able to access bereavement counselling through my work, my husband has never been offered anything. It is my opinion that supporting partners and the wider family are not being looked after in the way that we would hope. Because the mother births the child, dads and supporting partners often feel the need to be “strong”—to be there for them. People often ask how mum is, but may not ask how dad is. That is not healthy. What about the wider family? Grandparents are grieving for their lost grandchild and wondering how best to support. Siblings are wondering what has happened My daughter was only four when we lost Lily. She knew I was pregnant and we tried to explain what had happened in an age-appropriate way. She seemed to accept this as children do and did not mention it again—until a couple of weeks ago. Completely out of the blue and without warning, she said, “Mummy, when I was four, you were going to have a baby but then didn’t. ” Crikey! Wham! What do you do? On the hoof, I needed to explain calmly to my now almost seven-year-old what had happened. I do not know whether I explained it in the right way, but she knows now that, if there are questions, we are always here. I do not want it to be a spectre on her childhood to wonder what happened to her mystery sister. It reminded me that a child’s mind can often make up what they do not know, and we need to make sure that siblings and the wider bereaved family are cared for long after the event.
ParlaMint-GB_2021-09-23-commons.u341	I commend the hon. Member for her bravery in speaking about such a personal and intimate matter. She speaks about partners and the wider family. There has never been a more important point about ensuring that both affected parents are able to take leave. Does she support my Miscarriage Leave Bill, which will ensure that both parents can take paid leave during this traumatic time?
ParlaMint-GB_2021-09-23-commons.u342	The hon. Member and I have spoken about this issue. Since that conversation, I have taken her Bill to the Employment Minister, so I hope that we will hear more about it later in the year Despite our making good progress, more needs to be done if the Government’s ambition to halve baby deaths by 2025 is to be met. If the current trajectory of reducing stillbirths is maintained, England may be off meeting that 2025 ambition. The Health and Social Care Committee report noted: “The improvements in rates of stillbirths and neonatal deaths are good but are not shared equally among all women and babies. Babies from minority ethnic or socioeconomically deprived backgrounds continue to be at significantly greater risk of perinatal death than their white or less deprived peers. ” Babies should not be at higher risk simply because of their parents’ postcode, ethnicity or income. I will let my APPG co-chair and Chair of the Select Committee speak to the findings of the report. However, it appears that health inequalities in maternity outcomes have been known about for more than 70 years, yet there are still no evidence-based interventions taking place to reduce the risks Continuity of carer could significantly improve outcomes for women from ethnic minorities and those living in deprived areas. Way back in 2010, the Marmot review proposed a strategy to address the social determinants of health through six policy objectives, with the highest priority objective being to give every child the best start in life. Marmot noted that in utero environments affect adult health. Maternal health—including stress, diet, drug and alcohol abuse, and tobacco use during pregnancy—has a significant influence on foetal and early brain development. Midwives have a key role in promoting public health. Individual needs and concerns can be better addressed when midwives know the woman and her family, and continuity of carer is a key enabler of that. This public health work is of most benefit to vulnerable and at-risk families, who may require more time and tailored resources. Additional work is required to address the needs of these groups, because they are simply more at risk As well as improving clinical outcomes for mothers and babies, continuity of carer models can also result in cost savings compared with traditional models of care, because there are fewer premature babies, so fewer neonatal cot days are required; the incremental cost per pre-term child surviving to 18 years compared with a term survivor is estimated at nearly £23,000, and most of the additional costs are likely to occur in the early years of a child’s life; there are fewer obstetric interventions, with women 10% less likely to have an instrumental birth; and there are fewer epidurals and so on.
ParlaMint-GB_2021-09-23-commons.u343	Does the hon. Member share a concern that has been raised with me by midwives—that the term “continuity of carer” has been misinterpreted by some trusts, with multiple midwives seeing people in their early appointments to increase the chance that that person will see the same midwife in hospital?
ParlaMint-GB_2021-09-23-commons.u344	Although it would be fantastic to have just one midwife, continuity of carer is actually more likely to mean two midwives or a very small team of midwives. The idea is that the patient can trust that small team, open up to them more and work with them for their own health and the health of their baby A continuity of carer model can assist with outside issues affecting a pregnancy, including by picking up on signs of domestic abuse. Sands, the bereavement charity, is calling for an additional Government-funded confidential inquiry into tackling inequalities in this area. Confidential inquiries have been crucial in driving down maternal and perinatal death rates in some groups. These in-depth reviews of all case notes conclude within a finite period and with solid recommendations. Previous confidential inquiries—for example, into term stillbirths and deaths in labour—have transformed our understanding of the changes needed to make care safer, and have contributed significantly to reducing deaths in some groups. The additional risks faced by women from black and minority ethnic groups have been exacerbated by covid, and this highlights the urgent need to improve equity in maternity. The UK Obstetric Surveillance System study found that more than half of pregnant women admitted to hospital during the pandemic with a covid infection in pregnancy were from an ethnic background In June 2020, the chief midwifery officer, Jacqueline Dunkley-Bent, wrote to all NHS midwifery services highlighting the impact of covid-19, and the additional risks faced by women and babies from ethnic minorities. The letter called on the services to take four specific actions to minimise this additional risk: increase support of at-risk pregnant women, including by ensuring that clinicians have a lower threshold to review, admit and consider women from ethnic backgrounds; reach out and reassure women from ethnic backgrounds, with tailored communications; ensure that hospitals discuss vitamin supplements and nutrition in pregnancy, particularly vitamin D; and ensure that all providers record on maternity information systems the ethnicity of every woman, as well as other risk factors, such as living in a deprived postcode area, co-morbidities and so on The national maternity review’s 2016 report “Better Births” highlighted the increased risk of twins and multiple births. Tamba—now known as the Twins Trust—and the National Childbirth Trust told the report that there needs to be greater recognition of high-risk groups, such as those who have multiple births. Some 10% to 15% of such babies have an unexpected admission to a neonatal unit. The Multiple Births Foundation has said that risks and complications associated with multiple births are still poorly understood by the public and are underestimated by professionals. Multiple births have gone up and the mortality rate is higher among people who have those pregnancies. Again, more research is needed to understand better the risks posed by multiple births. Owing to the increase in fertility treatment and the increased maternal age, twins and multiple births are on the increase, so we must do better to ensure better outcomes I again thank colleagues who are here today, and those who have worked so hard in this sector to ensure that babies and their families have the very best outcomes. There is a lot of work still to do. I look forward to my engagement with the new Minister, the Under-Secretary of State for Health and Social Care, my hon. Friend the Member for Lewes (Maria Caulfield), who I know will share our passion and use her vast experience to advance these causes We approach this year’s Baby Loss Awareness Week with events being held around the country and reflection in our hearts. The annual wave of light gives those of us who have suffered a loss the opportunity to light a candle in memory of our babies at the same time. It is a powerful signal, with thousands of people sharing messages and photos of their candles, showing just how many families are suffering with their own grief. This issue matters to every single Member of Parliament; it affects us all Let us use this opportunity to speak openly about our children, and to ensure that fewer and fewer families have to suffer this experience in the future. I am proud to lead a debate in this place that shows Parliament and parliamentarians at their very best. This important issue rises above party divisions, and, as we have seen today, the compassion of Members towards one another shines through.
ParlaMint-GB_2021-09-23-commons.u345	I did not expect to be called to speak so early in the debate; thank you, Madam Deputy Speaker I again thank my friend, the hon. Member for Truro and Falmouth (Cherilyn Mackrory), for her bravery and for sharing her experience on the Floor of the House. It matters to the people at home to know that we politicians are also human beings, and that we also feel grief and loss Whether a pregnancy was planned or a surprise, that moment of seeing two lines on a pregnancy test stick will stay with many parents for a lifetime. Equally, for many who are trying to conceive, a faint one line or “not pregnant” will stay with them also, each and every time they receive it. Pregnancy can be a joyous, happy celebration for many. Perhaps that is why we often choose not to speak of the sadness and heartbreak when a pregnancy loss happens. Tragically, one in four pregnancies will end in miscarriage. The experience of miscarriage, along with the grief and loss associated with the miscarriage or stillbirth, will resonate for one too many parents. Every pregnancy loss is different, and there is no right or wrong way to feel about it. Sadly, many patients feel stigma. They feel a sense of shame or a failure that they could not conceive or, even when they can, that the pregnancy does not result in a happy birth.
ParlaMint-GB_2021-09-23-commons.u346	My hon. Friend is making an excellent speech that resonates with so many of us who have suffered baby loss. Will she commend, with me, the campaign run by my constituent Louise Caldwell? She is campaigning for a dedicated miscarriage unit after having to give birth to her child who was sadly lost, not in a miscarriage way, and suffering real compounded trauma from having to be in the maternity wing of the hospital while other parents were celebrating and she was bereaved and her whole family were devastated? Will she also congratulate the Scottish Government on taking forward an initiative to have dedicated miscarriage wings?
ParlaMint-GB_2021-09-23-commons.u347	I thank my hon. Friend for raising that very valid point. I commend Louise for her bravery and for making sure that the Scottish Government will adopt a new policy to prevent people in future from having to undergo that experience of happiness in among the sadness at that very tragic moment Many partners will blame themselves and often feel helpless in this situation. Thanks to the work of my hon. Friends the Members for North Ayrshire and Arran (Patricia Gibson) and for Glasgow East (David Linden), only last year bereavement legislation was introduced that entitles parents who lose a baby after 24 weeks to two weeks’ paid bereavement leave. However, there is currently no provision in place for parents who lose a baby before 24 weeks. Too many parents—mothers, fathers, partners and any parents who are facing this tragic incident—are forced to take sick leave or unpaid leave. Understandably, many do not wish to disclose these private and intimate details to their employer, especially in the early stages of pregnancy. Grief is not an illness. In and of itself, it is a process that parents must go through. There is simply no timeline for grief. Every parent, regardless of whether the loss happens after 24 weeks or before, should be given the time to grieve that loss without a financial penalty. That is why I have introduced a private Member’s Bill that would allow parents who experience a miscarriage before 24 weeks to seek a minimum of three days’ paid leave. Some companies have already gone further, offering leave for seven to 14 days—an example that I hope many more employers will replicate and that I absolutely welcome. This compassion and recognition of the loss and the grief that comes with a miscarriage, whether in policy or in statute, would allow parents to approach their employer and seek a legal right to paid leave This traumatic life event will inevitably affect both parents differently. There is a cost associated with such a loss, as many parents opt to take unpaid or sick leave, so there is already a financial penalty for people up and down the country. Often an employer has no idea what the nature of their employee’s sickness is, or the ramifications for their business. Therefore, having a policy on this issue, or the right to take paid leave in statute, should not add any further burden to them. Rather, it would allow the conversation to take place where both employee and employer can understand the situation and hopefully seek to support their employee in the best way that they can. Many parents have spoken of feeling isolated and alone, without the opportunity to share their loss with colleagues for fear of the shame and stigma that have been associated with such a loss. Introducing a minimum of three days’ paid leave would not only give parents a chance to grieve and process their loss but show everyone that miscarriage is no one’s fault and help to break that stigma.
ParlaMint-GB_2021-09-23-commons.u348	It really is an honour to follow two such extremely powerful and persuasive speeches. I particularly thank my hon. Friend the Member for Truro and Falmouth (Cherilyn Mackrory) for her courage in bringing Lily’s story to this House. It is actually a rather wonderful thing that she is giving such meaning to Lily’s life by talking about what happened so openly. The grief that she expressed so eloquently is shared by 1,700 families in our country every single year, so she is speaking for a lot of families up and down the country. Her words will resonate, so I thank her. It was not easy to do. But like many families who are bereaved, she has taken the decision to relive that grief over and over again to try to stop that tragedy being repeated, and I think we all salute her courage in doing so My hon. Friend said something that resonated particularly with me when she talked about the grief of fathers. I cannot claim to have experienced anything like the grief that she and her husband have experienced, but my father did, because my sister Sarah died when she was just six months old. I was there at the time. I was only two so I had no memory of it. During my father’s entire life—he died eight years ago—my mother used to tell us never to mention Sarah because he found it so hard. That reflects the comment of the hon. Member for Lanark and Hamilton East (Angela Crawley) that there is no timeline for grief.
ParlaMint-GB_2021-09-23-commons.u349	Does the right hon. Gentleman believe, as I do, that fathers, like mothers and like any parent, have the right to have a grieving process and should have the right to paid leave in order to do so?
ParlaMint-GB_2021-09-23-commons.u350	I thank the hon. Lady for giving me a moment to recover. She makes a very powerful argument. Without committing to supporting her proposal, I would hope that all employers would listen to her speech and offer that leave voluntarily on compassionate grounds, because that is the responsible and kind thing to do I want, in my brief comments, to talk about another group of people less often talked about who also feel this grief—the doctors, nurses and midwives responsible for a child’s care. Some people have used the phrase “second victim” to describe the agonising sadness people feel when they are responsible for a child’s care and that child dies. When I was Health Secretary, many times I asked people working in hospitals what the biggest tragedy and professional shock they had ever had was, and they would often say that it related to the death of a child. Even more acute is when that death was caused by an error. Those doctors, nurses, midwives and frontline professionals, who go into their profession with the highest and noblest of motives, have to live with the fact that perhaps because of an ordinary human mistake—the kind of mistake that all of us can make—something really terrible happened We as politicians, and those in nearly every other profession, make mistakes the whole time—a media appearance goes wrong, a speech goes down badly, we lose an election, or whatever it is—but the consequence is not someone dying. Frontline health professionals have the courage to go into a profession where they are taking that risk every day. When those tragedies happen, those frontline professionals want nothing more than to be completely open, transparent and honest about what happened so that we can learn from the mistake and put in place processes and systems so that it never happens again. But, in truth, we make it practically impossible for them to do that. They are terrified about losing their job, about the Care Quality Commission, about being struck off the medical or nursing register, about the reputation of their unit, about the reputation of their hospital, and about lawyers, who get involved very quickly When I was Health Secretary—I do not think this has changed even now—every week I signed off a multimillion-pound payment to a family whose child was disabled for life because of medical error that the NHS accepted. Most weeks it happened twice. Overall, the cost of that compensation for medical error in the NHS is £2.4 billion a year. Just under half of that relates to maternity. We have got to the obscene situation where we pay more in compensation to families when something has gone wrong than on the entire cost of every doctor and every nurse working in maternity units up and down the country. Why is that? It is because of a simple problem that the Health and Social Care Committee—I am delighted to see members of the Committee in their places on both sides of the House—is urgently asking the Government to address If, because of a mistake, a child is born disabled, the parents quite understandably want financial support to deal with the unexpected costs that the family will face for the whole of that child’s life. However, under the law, the only way to get that compensation is if a court agrees that there was clinical negligence. Quite understandably, parents will fight to get that compensation and, also understandably, the doctors, nurses and midwives become defensive if they are accused of clinical negligence. It does not have to be that way. We need a system where people are entitled to compensation as soon as it is accepted that a mistake was made without the necessity to prove clinical negligence The country with the highest safety standards and the lowest number of baby deaths in Europe is Sweden, which has about half our level of baby deaths. In Sweden, compensation is given more quickly just on the basis of a mistake being made, with the result not that they pay more but that they pay massively less, because they have half the number of tragedies that we have. Surely those of us who are passionate about patient safety will support that, and those who are—as we all are—worried about baby deaths will support that. Even people in the Treasury should understand that the way to reduce the obscene compensation bill is to make it easier for families in those terrible situations to claim compensation. If we had the same maternity safety levels as Sweden, 1,000 more babies would survive every single year. Just think of the heartache and the transformation in the lives of families up and down the country were we to do that I turn briefly to the other recommendations in the Select Committee’s report, published in July. One of the most important recommendations relates to staffing. When it comes to medical error, if there are not enough staff on a ward, the likelihood of mistakes will self-evidently be higher. Eight out of 10 midwives say that there are not enough midwives on their shifts, and Health Education England—the Government’s own body—says that there is a shortage of just over 1,900 midwives across the system. NHS Providers thinks that there is a shortage of about 500 doctors in maternity units and the Royal College of Anaesthetists says that there is a shortage across the system of about 1,000 anaesthetists. The cost of putting that right is between £200 million and £350 million a year. That is a significant amount. The Government deserve credit for already agreeing to put in £95 million a year, but that additional cost is as nothing compared to the £2.4 billion that we are paying in compensation every year. I hope that the Government will agree to put right that staffing shortfall. They have said this week that they are considering that Training is another vital issue. It is so important for doctors, nurses and midwives to have the time to learn from things that go wrong and to improve systems, but they can do that only if there is protected time for training in their busy schedules. I commend Baby Lifeline for the fantastic, proven training that it does, which has saved many lives. It is led by the inspirational Judy Ledger, who was inspired to do what she does by her tragedies. The report also talks about more screening and health inequalities, both of which were mentioned by my hon. Friend the Member for Truro and Falmouth I finish with two brief points. First, it would be wrong to say that this is an NHS problem. It is a tragedy that happens in all countries all over the world, and this year the World Health Organisation has made maternal and newborn loss the theme of World Patient Safety Day. The WHO says that, every day across the world, 7,000 babies die and the majority of those deaths are preventable Finally, we should remember the tremendous progress that has been made. In the last decade, the number of neonatal deaths is down by 25% and the number of stillbirths is down 30%. I commend Jacqueline Dunkley-Bent and Matthew Jolly in NHS England, who are leading the maternity safety transformation programme, and the many doctors, nurses and midwives who are supporting them. I also commend charities such as Sands and the Lullaby Trust as well as many others. Most of all, I commend the families who have campaigned through thick and thin, including James Titcombe, remembering his son Joshua; Derek Richford, remembering his grandson Harry; Carl Hendrickson, remembering his son Chester and his wife Nittaya; and Richard Stanton and Rhiannon Davies, remembering their daughter Kate. There are many others. Five babies die every single day. This is our moment to put it right.
ParlaMint-GB_2021-09-23-commons.u351	It is a privilege to speak in the debate and to follow the incredibly moving and personal contributions of so many hon. Members. I thank in particular the hon. Member for Truro and Falmouth (Cherilyn Mackrory) for her bravery and strength. By speaking out and helping to remove the stigma around these conversations, she will have helped thousands of families in all our constituencies. That is Lily’s legacy I have previously spoken in this place about the loss that I felt not having a child because of infertility. There was the pain that I felt whenever I saw a woman pushing a pram, the guilt of jealousy at every celebratory pregnancy announcement on social media, and my declining every baby shower invite I received. There was the shame of knowing that my body had failed me, but I also know how incredibly privileged I am because I did get my happy ending My husband and I always knew that the road to pregnancy would be difficult. After a miracle round of privately funded IVF—we were denied NHS funding because I was a stepmum—we were delighted to be pregnant with our first child. I was, hand on heart, absolutely ecstatic about the prospect of motherhood. I always knew that I was desperate to be a mother and, despite our difficulties, I loved every moment of being pregnant. However, as is often the case, life was more than ready to cause chaos When my son arrived two weeks early after an emergency caesarean, he stopped breathing. My beautiful child, my longed-for child, was whisked away to a neonatal intensive care unit where he spent two weeks fighting for survival while my husband and I were utterly beside ourselves with anxiety. Both of us were completely broken at the thought of losing our little one. I know that feeling is shared by so many parents across the country. Indeed, it is a common interest shared by members of the all-party parliamentary group on premature and sick babies, of which I am a proud vice-chair. I encourage colleagues speaking in the debate to sign up. We are a small group led by my friend the hon. Member for Glasgow East (David Linden), with a focused interest in how to support parents of babies who pass away or who are born premature or sick. With that in mind, I must thank the many charities who support families such as ours who have been campaigning to change things for the better for many years. Bliss and the Baby Loss Awareness Week Alliance are just two of the fantastic groups doing brilliant work. I am grateful for their support in preparing for the debate.
ParlaMint-GB_2021-09-23-commons.u352	I very much welcome my hon. Friend’s speech. Will she join me in congratulating baby loss charity Forever Stars, based in Nottinghamshire, which successfully fundraised to provide improved facilities to support bereaved parents at both Nottingham’s hospitals, supports families with emotional support and practical advice and information, and this summer opened a remembrance garden at Highfields park?
ParlaMint-GB_2021-09-23-commons.u353	I congratulate my hon. Friend’s local charity on its fantastic work Research from Bliss suggests that every year more than 100,000 babies in this country are born needing neonatal care. Many of them will be like mine and will spend many weeks—even months—in neonatal care. As we all know, some will sadly never go home at all. Shockingly, the statistics are particularly bad for women who live in deprived areas: such cases have an 80% higher risk of stillbirth and neonatal death compared with women living in the least deprived areas. That is a devastating figure, made worse by not having significantly reduced between 2016 and 2018. We should be making progress, but instead, parents are still faced with little support when going through what can only be described as one of the most difficult experiences that a human can ever face Of course, we all recognise that, sadly, the coronavirus pandemic has only made this situation even bleaker for bereaved parents. Neonatal units across the country have been impacted, and pandemic restrictions that see parents and babies even more separated than usual are still in place, sadly, in many units. Indeed, Bliss’s recent report from May this year showed that only 30% of NHS trusts that took part in its study were allowing full access for both parents to ensure they could be with their baby together whenever they wanted, sometimes in the final moments of their short lives. The picture has slightly improved since then, in that only about 10% of neonatal units now do not offer parents full access. But some parents are still routinely locked out of their baby’s care, and for those who do not make it, the current system is utterly failing them I would like to say that the situation is better for those whose babies do survive, but, sadly, that is not the case either. When my own child was fighting for his life, I was still recovering from an emergency C-section, and I really had to rely on my husband in every way possible. This was only possible because my husband had a flexible employer, who allowed him to pool his annual leave to secure more paid time off work. It should not be this way. While I was pleased to see the Government recently announce plans to introduce neonatal leave that will cover up to 12 weeks when a baby is receiving neonatal care, this policy simply does not go far enough. The changes are unlikely to come into force until 2023 at the earliest, leaving about 300,000 families with babies who will be spending time in neonatal care alone in the next three years forgotten about once again. I will say, however, that I raise these points not to be political—I know that is a rarity in this place—but instead because these barriers are ones that really do impact people across the country. We are all here today to raise awareness of baby loss, and awareness is important, but what is more important is action. While I recognise that health is an issue devolved to our Welsh Labour Government, it is fair to say that the UK Government need to lead the way in introducing a statutory leave entitlement for those impacted by premature births, infant loss and infertility To conclude, I urge the Minister to work with her colleagues across Government Departments and the devolved nations to take bold action to support future generations and tomorrow’s parents. I look forward to hearing from her an update on what steps the Government are taking to support parents across the UK who experience the unimaginable loss of losing their baby.
ParlaMint-GB_2021-09-23-commons.u354	I thank my dear friend, my hon. Friend the Member for Truro and Falmouth (Cherilyn Mackrory), for having the bravery we have seen here today, but also for how, throughout her time in this place, she has fought and campaigned very bravely for those who have experienced the loss that she has experienced. I think we see this place at its very best when we come together, put politics aside and discuss the issues that are so important and affect so many thousands of families across our country. I also pay tribute to the former Minister for patient safety, suicide prevention and mental health, my right hon. Friend the Member for Mid Bedfordshire (Ms Dorries), who has certainly put campaigning for women’s health at the front of her Government’s priorities I, too, have experienced baby loss, and I remember it as if it was yesterday. It was my first pregnancy with my husband and, sadly, at eight weeks it did not continue. It is something that stays with me even today; this is the first time I have actually spoken about it publicly. However, I was very fortunate in that, within five months, I was pregnant again and I had my rainbow baby. Until Mrs Johnson, the Prime Minister’s wife, used that term I had never heard of a rainbow baby, but it is a fantastic term because it is about the positiveness that can come after the dreadful experience of losing a baby. My rainbow baby is now 17 years of age, in her last year of school and about to begin her life adventure It was not until I had my miscarriage that I realised that one in four pregnancies can be lost in this country, usually early—before 12 weeks. More than this, estimates from St Mary’s Hospital in Paddington in my constituency suggest that there are about a quarter of a million miscarriages every year in the UK, and about 11,000 emergency admissions for ectopic pregnancies, which always, sadly, result in pregnancy loss I think the theme of wellbeing for the forthcoming Baby Loss Awareness Week this year is so important. On this, I am very proud to highlight the work of the brilliant maternity wards at St Mary’s Hospital, which were the first in London to receive an outstanding rating from the Care Quality Commission. I invite the Minister to join me on a future visit to see their work at first hand, with, I hope, my hon. Friend the Member for Truro and Falmouth. I note that patients from St Mary’s, which is part of the Imperial College Healthcare NHS Trust, have been taking part in a new study showing that one in six women experience long-term post-traumatic stress following baby loss.
ParlaMint-GB_2021-09-23-commons.u355	I congratulate the hon. Member on having a rainbow baby, as I do myself. We know that the road to pregnancy is not always smooth, and the numbers she has just highlighted show how frequently this happens. Is it not now time that we reviewed the cruel requirement for three miscarriages or baby losses before medical intervention is offered to families?
ParlaMint-GB_2021-09-23-commons.u356	I thank the hon. Member for her intervention, and I think it is clear from the debate today that there needs to be more support for women and their partners when they experience miscarriage. I will never forget, when I became pregnant with my daughter, how terrified I was of going for the 12-week scan, because my first experience had been one of baby loss and I had been told at that scan that the baby was not viable. I think I would have benefited from some counselling and some support when I was going for that scan for the second baby.
ParlaMint-GB_2021-09-23-commons.u357	I thank the hon. Lady for the very powerful speech is making. I appreciate the very personal nature of what she is sharing, and it brings so much to this House that everyone is doing that. Would she join me in commending local organisations, such as Held In Our Hearts in my Livingston constituency, which has been operating for 40 years, that provide support with counselling services for those who have experienced baby loss, and does she agree that they are absolutely vital in supporting those who have suffered such loss?
