ParlaMint-GB_2021-07-07-commons.u1	What steps the Government are taking to support victims of conversion therapy.
ParlaMint-GB_2021-07-07-commons.u253	On a point of order, Mr Deputy Speaker. Could you advise me on how we can correct the record, because the hon. Member for Kirkcaldy and Cowdenbeath (Neale Hanvey) has distorted what I said only a few minutes ago? Never once did I express any glee at the record number of cases on the SNP’s hands in Scotland. I expressed my concern at what was happening in Scotland. He should withdraw that comment.
ParlaMint-GB_2021-07-07-commons.u254	The hon. Gentleman has put it on the record.
ParlaMint-GB_2021-07-07-commons.u255	The Prime Minister demonstrated today a complete lack of comprehension of the fundamental principles of infection management. Kate Bingham’s achievement in bringing vaccines to market I have rightly celebrated in this place and Westminster Hall, but it is not the only game in town. The Prime Minister has bet the farm on vaccines, but the control and suppression of this virus relies on robust surveillance, treatment and control measures. All of that is at risk of being undone, with £3 billion wasted on tests that are absolutely unreliable. The Innova lateral flow device scandal presents a significant concern across three specific domains: public health, the impact on the domestic diagnostic sector, and a lack of contracting transparency and mounting concerns about chicanery On Monday 21 June, at the Dispatch Box, the Under-Secretary of State for International Trade, the hon. Member for North East Hampshire (Mr Jayawardena), boasted that the Government were “unleashing the potential” of the constituent countries of the UK “by backing British industry”. During that contribution, he derided China for “trade-distorting practices”. The experience of the domestic diagnostic industry differs significantly from that rhetoric. During a covid briefing on 29 June hosted by the Minister for Prevention, Public Health and Primary Care, it was asserted that the Government’s position on the United States Food and Drug Administration’s class 1 recall of dangerous and deadly Innova tests was attributed to the FDA’s over-reliance on the manufacturer’s data. Furthermore, it was asserted that the UK Government are utilising public resources at Porton Down in efforts to disprove the Chinese manufacturer’s own data, which suggests that these tests are unsuitable for asymptomatic screening and have been ever thus, and are not endorsed as sensitive to the prevailing delta variant. On 15 March, in a tweet to UK firms Omega Diagnostics and Mologic, Lord Bethell, the Minister for innovation and public health, promised 2 million daily lateral flow—
ParlaMint-GB_2021-07-07-commons.u256	Order. We must now come to the wind-ups. I call Stephen Flynn.
ParlaMint-GB_2021-07-07-commons.u257	I was sitting on the Back Benches earlier listening to a lot of the debate and deciding on how I would open my remarks on this most important of topics, and then my hon. Friend the Member for Airdrie and Shotts (Anum Qaisar- Javed) got to her feet and rightly highlighted the Nolan principles—the seven principles of public life—with which we should all be familiar. I am sure some Conservative Members are not overly familiar with them, given their record. It made me think about what the public expect from their politicians, and the key to that is of course trust. In Scotland, in my lifetime, trust has changed in politics and politicians. The Labour party was once the panacea of politics in Scotland; it was where we all wanted to be, but of course it then took us into an illegal war in Iraq and that trust was eroded. The Liberal Democrats had much support in Scotland and had the trust of a lot of younger people, but that trust was eroded when the coalition Government U-turned on tuition fees, something they gleefully supported The question of trust in the Conservatives in Scotland in my lifetime is a difficult one, because they have not won an election in Scotland since 1955. There is a particular reason for that, and it goes to the heart of the debate here today: the people of Scotland simply do not trust them, and the situation in relation to covid contracts is a perfect example of why the people of Scotland do not trust them We heard from my right hon. Friend the Member for Ross, Skye and Lochaber (Ian Blackford) about the endless list of contracts awarded by the Government that have gone to their friends, family, donors and pub landlords, who have all managed to make a quick buck out of this pandemic—incidentally, I should add that that is taxpayers’ money, before Conservative Members forget. We must not break the trust that people should have in us, but Conservatives simply do not care As my hon. and learned Friend the Member for Edinburgh South West (Joanna Cherry) said earlier when she eviscerated the Government in relation to their record on covid contracts, it is not just that these contracts have been handed out from a dodgy perspective—it is not just that they have gone to people with no expertise or to companies made up on the hoof—but that two of them have now been found to have been awarded unlawfully, and one of them in particular There was a particular moment in this debate when we were told that none of this was to do with Scottish independence and we should not be talking about that, but one of those contracts was awarded on the basis of polling the views of the people of Scotland and their attitudes to the constitution. Shame on Conservative Members, because that is not how public money should have been used during this pandemic. Imagine the indignation, the anger, the rightful fury of the people of Scotland if it had been the Scottish Government who had done just that. It is an appalling use of public money, and Conservative Members should be ashamed of having done that.
ParlaMint-GB_2021-07-07-commons.u258	My hon. Friend is making a very powerful speech, but it is even worse than he has outlined. We know this spending took place—it was admitted in court by an official from the Cabinet Office—yet last week in this House the Government sought to continue to deny that it happened, and we have not had one word of contrition or an acceptance that this happened; now is the opportunity for the Government to do so.
ParlaMint-GB_2021-07-07-commons.u259	My right hon. Friend makes an important point, because there have been opportunities, not just last week but throughout our debate today, for Conservative Members to stand up and clarify exactly why it happened, but they have failed to do so. It is incumbent upon the Minister to do so when she follows me in this debate But if the Conservatives are unwilling to do that, they should be willing to do one other thing: finally agree that a public inquiry must take place. [Interruption. ] The hon. Member for Macclesfield (David Rutley) says that it is. When is it happening? Is it happening now? It should happen now. Some Conservative Members argue that it is not happening now because we are still in the middle of the pandemic, but one of them said today that the emergency is over. So if not now, then when? The hon. Member for Macclesfield is wearing his mask; in two weeks, he will not have to. We will be told that the pandemic is almost over at that point. Yet the Government will not start a public inquiry because they are afraid of accountability, transparency and the consequences for them in the polls Ultimately, the people are watching—in particular, the people of Scotland. We will be at a crossroads once again in the not-too-distant future in relation to the constitutional settlement on these islands. The people of Scotland will have the opportunity to decide their future once again. Is this incompetent, sleazy and corrupt Government the limit of their ambitions? Absolutely not, and when they have the opportunity to decide, they will choose to take a different path. The hon. Member for Montgomeryshire (Craig Williams) shakes his head. If he is not in agreement, he can get his Prime Minister to go to the polls any day, any time, and the people of Scotland will show him an alternative way It is not just about the cronyism; it is also about the handling of the pandemic. I have been appalled by some of the remarks from Government Members in relation to the situation in Scotland at the moment. We even had a Member at the back blaming it on Scotland fans going to the football. Of course, the only people who were not allowed to travel in the UK were football fans. I find the remarks that we have heard appalling.
ParlaMint-GB_2021-07-07-commons.u260	rose—
ParlaMint-GB_2021-07-07-commons.u261	The hon. Member had the opportunity to say what he said earlier, and he can reflect upon it. The truth of the matter is that the situation in Scotland is as it is because Government Members let the Johnson variant in. They brought the delta variant to our shores. They could have closed the door, and they chose not to.
ParlaMint-GB_2021-07-07-commons.u262	On a point of order, Mr Deputy Speaker. Could you advise me, as you did my hon. Friend the Member for West Aberdeenshire and Kincardine (Andrew Bowie), how I correct the record? I did not at all blame Scottish fans. I said that personally I was happy for them to travel and to celebrate. The point I made, sir, was that SNP Members were saying that it was our fault that Scotland now has the highest rate of covid in Europe, but had they wanted to do something they could have stopped fans travelling.
ParlaMint-GB_2021-07-07-commons.u263	That is not a point of order for the Chair, and I hope that this device will not be abused.
ParlaMint-GB_2021-07-07-commons.u264	The record is clear, and the hon. Member should reflect on his remarks. When the Scottish people look at it in totality—the cronyism, the corruption, the mishandling of the pandemic, and the bringing of the Johnson variant to our shores—they will say that they have had enough. The people of Scotland will vote for independence.
ParlaMint-GB_2021-07-07-commons.u265	I thank all Members who have spoken in the debate and I associate myself with the remarks and the tributes that have been paid to all those who have lost their lives, and the incredible work that so many have done to help in the pandemic. I was particularly moved by the story of the twin brother of my hon. Friend the Member for Bury South (Christian Wakeford). My twin brother started the pandemic as cabin crew for Virgin Atlantic, and in fact still works for it, but he volunteered at the Nightingale Hospital London and then retrained as a phlebotomist to help with the blood plasma work and antibody work for the NHS. I am incredibly proud of him, of all my constituents and of everyone across the country who has done such an amazing job in the pandemic At the heart of all the speeches have been core questions of those in public life—that we should take responsibility, fulfil our duty and act in the public interest. This debate is the latest in a long line of debates and urgent questions on this topic. The Minister for Prevention, Public Health and Primary Care, my hon. Friend the Member for Bury St Edmunds (Jo Churchill), set out yet again the facts and figures, but I remind the House that we are talking about goods and services that included 32 billion items of personal protective equipment and 15,000 ventilators with enormous numbers of component parts. It was a massive and highly complex procurement at a time when the rest of the world was doing the same. Against that backdrop, less than 1% of that PPE was not fit for purpose. I pay tribute to all those who made that happen We were focused on getting the right spec in the right volumes to the right people in the right timeframe. We followed up thousands of offers of help and the same processes were applied to all expressions of interest. Although SNP Members have collective amnesia, they were on the daily calls and fully know the nature of the hotlines that we set up. All this information is in the public domain and subject to scrutiny. Procurement rules were not suspended. The efforts made and the motivation behind them were recognised by many public bodies that hold us to account. They were recognised by the National Audit Office in its November report and even in the judgment in respect of Public First. Are there lessons that could be learned? Yes. Could we have been better prepared? Yes. Were we late with our paperwork? Yes—but as a procurement officer at the Cabinet Office said, “I’d rather be late with my paperwork than a nurse go without PPE. ” We have been subject to an enormous amount of scrutiny: two PACAC reports; 15 Public Accounts Committee reports; one Treasury report; one report from the independent auditor; three Boardman reports; one review from the Committee on Standards in Public Life; one review from the Parliamentary Commissioner for Standards; one review from the House of Lords Commissioner for Standards; two reports from the Information Commissioner’s Office; and one joint inquiry from the Health and Social Care Committee and the Science and Technology Committee. All those, as well as the inquiry that the Prime Minister has announced. We are also accountable before the law; it is ironic that I cannot talk about many of the contracts people would be interested in because they are subject to legal proceedings I always take pleasure in taking part in SNP debates; I have done a few and am beginning to notice a pattern. I have been called here previously to defend the UK’s position on jobs, while the SNP has dismissed the 545,000 Scottish jobs that are reliant on Scotland’s being part of the UK; I have been called here to discuss the importance of hypothetical EU funding mechanisms, while the SNP dismisses the very real United Kingdom dividend to the taxpayers of Scotland of £2,000 per person; and in another debate the SNP sought to be the champions of democracy while they ignored the result of two referendums. Although it might be a surprise to some that, in a week when we have had more revelations about the Scottish Government’s own lack of financial propriety and literacy, the SNP has called a debate on such schemes, it is not a surprise to me: I think it shows admirable consistency, as well as a complete lack of self-awareness with a large helping of assumed piety In addition to the many things we have done in government to improve transparency and procurement, let me tell the SNP and the House what we have not done. We did not hire to run our testing service, at the cost of £10 million, a firm that promptly furloughed its staff; the SNP did. We did not ignore firms that offered PPE to NHS Scotland; the SNP did. We did not provide guarantees to a company to the tune of £5 million per job to be secured—yes, £5 million per job—and then fail to secure those jobs; the SNP did. We did not secure loans without due diligence; the SNP did. Our National Audit Office did not say that we had no framework for working with private companies and, indeed, needed urgently to establish one; Audit Scotland did say that of the Scottish Government. We are not having to face replacing lost public funds from capital budgets—money earmarked to build schools and hospitals; the SNP is We did not ignore recommendations made by our auditing body, unlike the SNP, which has been criticised for ignoring Audit Scotland’s reports for the past three years; and we did not ignore inward investors who wanted to put their own money into Scotland and instead give preference to another firm that could do so only with public funds, as the media report this week If SNP Members want to start to gain some credibility on these matters, I suggest two things. First, they should implement the recommendations of their own scrutiny bodies and place information on deals, guarantees and dealings with private companies—including in respect of the Gupta Family Group—in the public domain Secondly, I want SNP Members to think about the context in which we are having this debate. This week, we learned that Scotland contains six of the 10 places with the highest infection rates in Europe. On average, Scotland’s schoolchildren have missed 119 days of schooling in this pandemic, and those from deprived backgrounds even more so. A massive 216,000 operations have not taken place in NHS Scotland. We have a huge catch-up job to do, and we must ensure that we can keep a vaccine programme on track We all face these issues and challenges, and we will meet them better if we meet them together. For our part, the Chancellor of the Duchy of Lancaster will continue to engage with Scottish colleagues. Our four-nation NHS will continue to work together, as will our chief medical officers. My fellow Ministers and I—all comprehensive school educated, by the way—will come to this House to be held to account, and we will continue to reject the distracting, delusional and divisive debate from the SNP. We will do the responsible thing. We know our duty to the Scottish people, and we will always be guided by what is in their interest. I hope that, one day, the SNP will do the same.
ParlaMint-GB_2021-07-07-commons.u266	Please observe covid regulations when voting Question put.
ParlaMint-GB_2021-07-07-commons.u267	We are now seamlessly moving on to the next debate, the second Opposition day motion on the EU settlement scheme. I inform the House that Mr Speaker has not selected amendment (a) in the name of Wendy Chamberlain. I call Stuart C. McDonald to move the motion.
ParlaMint-GB_2021-07-07-commons.u268	I beg to move, That this House regrets the end of Freedom of Movement following the UK’s exit from the European Union; notes the enormous contribution EU nationals make to the UK economy and society, including in response to the ongoing covid-19 pandemic; regrets that the Government did not grant automatic right to remain to EU nationals despite assurances made during the EU referendum campaign; welcomes the fact there have been over six million successful applications to the EU Settlement Scheme; but further notes with concern that inevitably, many thousands of EU nationals have not applied; regrets that provision in relation to late applications will not prevent injustices and the loss of rights of many thousands of EU citizens; calls on the Government to recognise that the ongoing health emergency has also impacted on outreach work and the ability of EU nationals to apply, and to respond to this either by automatically granting Settled Status or by scrapping or extending the 30 June deadline; and further calls on the Government to introduce physical proof of Settled and Pre-Settled Status and to work with the Scottish Government on agreeing a transfer of immigration powers to allow the Scottish Government to create a Scottish visa or Scottish migration system I am grateful for opportunity to introduce this debate on the EU settlement scheme and I am very grateful to hon. Members across the House for taking part, especially as some minds may be starting to drift towards Euros of a different sort just a few miles away in north-west London The starting point, and I hope a matter of unanimity across the House, is what our motion says in relation to the enormous contribution that our EU nationals have made to every part of the UK: to our economy, our public services and culturally. I hope we also all agree that we want these EU citizens to stay. That is why we selected this topic for debate: to allow us to press the Government on whether their settlement scheme really reflects those goals as well as it could, and what we feel are the obstacles making it harder for some to stay than it should be. It gives us the opportunity to ask what happens now that the EU settlement scheme deadline has passed and what can be done to protect those who, as things stand, have lost their rights In a moment, I will get into the nuts and bolts of the rather messy situation we find ourselves in, but it is important to start by making clear what happened last week and why. Last Thursday morning, at the stroke of midnight, thanks to policy choices made by successive Conservative Governments, tens and almost certainly hundreds of thousands of people to all intents and purposes lost their rights to live, work, study and enjoy family life here in this country. It does not matter how long they have been here or whether they really have any home elsewhere, the clock struck midnight and these people became subject to the full force of the hostile environment. The first question for the Minister is whether he will tell the House what estimate the Home Office has made of the number of those who have failed to apply prior to the deadline. If we are to have a proper discussion about the scheme, surely that is the least of the information the Government must provide?
ParlaMint-GB_2021-07-07-commons.u269	The difficulty for the SNP in this sort of debate is that while they are quite right to talk about some teething problems relating to our leaving the EU, will those problems not be compounded a thousand times more if the United Kingdom was broken up? For centuries Scots have settled here. Would it not be absurd if, Scotland having left the United Kingdom and joined the EU, Scots had to apply for settled status here or we had to apply for settled status in Scotland? What is the answer?
ParlaMint-GB_2021-07-07-commons.u270	The answer, quite simply, is that there is a country that the right hon. Gentleman may be aware of called Ireland, which is part of the common travel area and enjoys full blown free movement of people from the rest of the EU. There is absolutely no question of people having to apply for visas to get across borders and so on. It is perfectly possible and there would be absolutely no need for any such thing.
ParlaMint-GB_2021-07-07-commons.u271	I thought the hon. Gentleman would make that answer. That settlement was made in 1921. The difficulty for the SNP is that it would have to reapply as a new state to join the EU. It is very unlikely that the EU would bend all its rules, as happened in 1921 in Ireland, so it would be in grave difficulty. I am afraid the SNP has to answer that point. If breaking up the EU is so bad, breaking up the UK is even more difficult.
ParlaMint-GB_2021-07-07-commons.u272	I am not going to go down the rabbit hole the right hon. Gentleman is trying to take me down. All the indications we have had from people involved in the European Union and from other member states is that they would be perfectly happy to welcome an independent Scotland into the EU and I very much look forward to the day that that happens, but I want to get back to the subject of this debate, which is the status of EU citizens who are here today.
ParlaMint-GB_2021-07-07-commons.u273	I know the SNP wants to present this image of a hostile environment and how the settled status scheme is not working. However, the experience of actual people is completely the opposite. Only this morning I had an email from a constituent who missed the deadline for a technical reason, and my office helped get her application in. This morning she received an email from the Home Office confirming that all her rights are protected while her application is processed. The scheme is working well, and the picture the hon. Gentleman paints just is not true.
ParlaMint-GB_2021-07-07-commons.u274	I will come back to that, and I acknowledge there has been significant success with more than 6 million people applying for the scheme, but yesterday I met the3million which, of all organisations, is the one that knows exactly what is happening on the ground and its implications. I will come to all sorts of problems that still exist in the scheme, and the whole purpose of this debate is to try to iron out those problems and to see what we can do to fix them. The point I was making is that tens of thousands, if not hundreds of thousands, of people are in a pretty difficult situation because of the fundamental design of this system. Whether it is tens of thousands or hundreds of thousands, it is an extraordinary, painful and awful moment On Thursday morning, in contrast to the hon. Gentleman, I received my first email on this subject from somebody who applied late: “My mother is quite distressed, as she needed to apply for settled status by 30 June but did not think it applied to her, maybe in denial. She needed someone to help fill out the online forms and upload the documents. The OTP”—one-time PIN—“code did not arrive on her very old phone and, as well as tech issues, she has recently applied to renew her Italian passport. My dad thinks her Italian ID card will be sufficient. I just cannot believe that someone who has been here for 50 years and is married to a UK citizen has to go through this process. Also she is very worried that her cancer drug will be withdrawn. ” I am hopeful that the situation will be resolved, in exactly the way the hon. Gentleman was able to resolve it for his constituent, but what cannot be undone is the stress, anxiety and hurt that this whole process is causing people. That is just one of hundreds of such cases that we can all expect to see in the weeks, months and even years ahead. The vast majority of people will find it appalling, because it is unnecessary.
ParlaMint-GB_2021-07-07-commons.u275	An Italian constituent has written to me and is very concerned about the lack of physical evidence, which they think will be problematic for future mortgage applications, banking, work and the rest of it. Does my hon. Friend agree that the Government need to look at this and make sure that people have physical evidence of their settled status?
ParlaMint-GB_2021-07-07-commons.u276	That is a good point, and it is not something I will speak too much about today, although I have spoken about it previously. I know other hon. Members will make that case, and they have my full support The scheme did not need to operate like this. There were different options available to the Government that would have prevented this disastrous cliff edge, or at least alleviated its worst impacts, and for which hon. Members on both sides of the House have advocated. My party passionately supported continued free movement. Alternatively, along with many Members on both sides of the House, we advocated a declaratory system in which an Act of Parliament would simply have declared that EU citizens resident at the required date retained the same rights as before, which would have provided far greater security and peace of mind. That, of course, is essentially what was promised during the EU referendum The now Prime Minister, Home Secretary and Chancellor of the Duchy of Lancaster all signed a pledge: “There will be no change for EU citizens already lawfully resident in the UK. These EU citizens will automatically be granted indefinite leave to remain in the UK and will be treated no less favourably than they are at present. ” Tell that to my constituent and the many others currently without their rights. That promise was simply reneged upon, despite its three authors occupying all the roles in Government required to deliver it. One of them should be at the Dispatch Box to explain exactly why the promise was not kept.
ParlaMint-GB_2021-07-07-commons.u277	May I ask the hon. Gentleman to reflect on his point about causing stress to constituents across the United Kingdom, which he made rather than welcoming the 6 million people who have applied and the 5 million who have settled status, which is the proportionate response? Will he inform my constituents and his that they are very likely to get settled status, rather than scaremongering as he currently is?
ParlaMint-GB_2021-07-07-commons.u278	I am absolutely not scaremongering. I spoke for about two hours yesterday to the3million, which I have repeatedly asked the Minister to meet, and I do not think he has yet. The organisation receives reports from EU nationals across the country who are encountering difficulties, some of which I will set out. I have already welcomed the fact that more than 6 million people have applied, and I will say a little more about that in a moment. I am not scaremongering; I am passing on what EU nationals are telling the3million and me On the other hand, the Government are saying that we should shout about and celebrate the success of the EU settlement scheme. As I have said, I praise the civil servants who have worked hard to ensure that more than 6 million applications have been processed and granted. The reason why tens of thousands, if not hundreds of thousands, of people have fallen through the gap is not down to the civil servants, albeit that there have inevitably been rough edges and problems because of the fundamental flaws in the decisions made by the Home Secretary and her predecessors. In essence, they opened a horrible big trapdoor and they now want us to thank them for the fact that only tens or hundreds of thousands of people have fallen through it—potentially into the hostile environment.
ParlaMint-GB_2021-07-07-commons.u279	I am particularly concerned about the status of children, many of whom have grown up in the UK: their status is unclear and it is even unclear whether they are British citizens. There is also a big loophole when it comes to pregnant EU citizens who have applied to the scheme. The status of their yet-to-be-born children is really unclear. The situation is full of loopholes and flaws.
ParlaMint-GB_2021-07-07-commons.u280	Lots of questions and loopholes have been identified. The fact that the Home Office had to issue hundreds of pages of guidance, even in the two or three weeks prior to the end of the transition period, shows that the issue has been difficult for it to address I come to what this debate should be about, which is looking forward to what can be done. We absolutely maintain that even now a declaratory scheme would be far preferable—people would still apply to the settlement scheme to prove their status, but at the very least the huge uncertainty would be removed and security would be delivered for them. Short of that, surely to goodness the transition period should be extended. There are a million reasons why that would be sensible—not least covid. Outreach work has been curtailed and embassies and scanning centres have been closed. People are not ready. It is important to remember that this is not just a question of EU nationals being ready, but of employers, the Driver and Vehicle Licensing Agency, Department for Work and Pensions staff, landlords, local authority staff and bank staff having to be ready and NHS staff having to understand. As I said, the Home Office itself was still pumping out hundreds of pages of guidance in June and making tweaks to the system. I do not think the Home Office was ready for the end of the transition, and I do not think it can expect all those other organisations to be ready either. As I will mention, there is also an enormous backlog of cases Alternatively, the Government could at least remove the requirement for a reasonable excuse and keep the scheme open for the duration. It has to be open anyway, both for late applications and for people with pre-settled status who then go on to try to secure settled status. Why not simply allow people to come forward as it becomes necessary to secure their rights To be absolutely fair, the guidance on the reasonable excuse provision is reasonably generous, and more generous than it could have been, so I thank the Minister for that. But the very existence of that test plants huge seeds of doubt in people’s minds—if I have any doubt about whether my excuse will be accepted, am I putting myself at risk of enforcement action? I say that we should continue to encourage people to come forward, not discourage them That last proposal would be better than nothing, but it would not protect people from the impacts of the hostile environment in the meantime. That hostile environment is supposed to be undergoing an end-to-end review in the light of Wendy Williams’s Windrush report. The fact that the review has not yet been completed should be another ground for extending the grace period. More fundamentally, the hostile environment should be entirely suspended until the review takes place and its findings are implemented. All these are real, sensible, constructive options, open to the Government, that would ease the pain of the process. I hope the Government listen I turn now to a tiny number of examples of how difficult, technical and confusing the process has become. I am highlighting what groups such as the Joint Council for the Welfare of Immigrants and the3million are telling me. I do that to press the Minister for a response and to underline the case that there has at least to be an extension to the transition period First, I turn to the question of those who applied before the deadline but are still waiting for a decision. How on earth is it that, as I understand it, the backlog has risen to 570,000 cases? Back in October 2019, the resolution centre was able to conclude just over 400,000 cases, but in each of the three months up to the deadline, as I understand it, fewer than half that number were concluded each month, despite additional staff having been drawn in from the Post Office and elsewhere. Is that backlog not enough in itself to justify an extension Can the Minister tell us how many applications received in June were dealt with in the five-day target? According to EU settlement scheme statistics, applications from children comprise 15% of the total, with decisions on 25% of applications still pending; they also comprise around a quarter of applications pending for over three months. Why is that? In theory, the full rights of people with outstanding in-time applications are protected while they wait—and that, of course, is welcome. But what is the reality on the ground? Already, all sorts of reports are coming in to representative groups about employers and landlords—and also the Home Office’s own Border Force staff—getting the checks wrong. That does not surprise me, because the situation is messy Some people with outstanding in-time applications will provide their prospective employer or landlord with a certificate of application to show that they have made the application. Some will provide a physical certificate, printed off, that leads to the employer contacting the employer checking service or the landlord checking with the landlord checking service. Others still will not have a certificate of approval but just an acknowledgement email; that, too, should lead to the checking service being consulted But in the last few days, the Home Office has started sending digital certificates of application to avoid the need for anyone to use the checking services, which can take a couple of days. The applicant will provide a code to the prospective employer or landlord, and when that is input into the system it should confirm that an application is outstanding. I hope hon. Members followed that, because all of us in this House are employers, but given that the guidance was issued only a couple of weeks before the deadline, I suspect that there are huge swathes of employers and landlords out there who do not have the first clue what somebody means when they approach them for a new tenancy or a new job and say, “Here’s my digital code. This should tell you that I have an application outstanding. ”
ParlaMint-GB_2021-07-07-commons.u281	I am absolutely delighted to hear this speech, because the hon. Gentleman is explaining the complexities of leaving a Union that we were part of for about 40 years, yet somehow he seems to assume that leaving this Union is really hard but that leaving one that includes the military, finance, pensions, homes and everything else is going to be incredibly easy. I am not quite sure whether he will explain that disconnect.
ParlaMint-GB_2021-07-07-commons.u282	The point, as I have said, is that the Government could have made this process a hell of a lot easier. Government decisions have made this difficult, not anything else We know from research that discrimination is widespread when private actors have to undertake even basic checks, such as passport and visa checks, and it is blindingly obvious that the half a million people who are in the queue are going to face discrimination on stilts if they have to explain these processes. Other than telling employers and landlords to follow guidance, what more is being done to clamp down on and prevent this discrimination? What monitoring, even, is being done In theory, public bodies should find this easier, yet we hear of cases of universities not being prepared to confirm that students are eligible for home fee status, or the Student Loans Company not confirming eligibility for student finance until their status is decided. Just an hour ago, I learned of a universal credit case being turned down because, even though the national insurance number and date of birth all matched up, the Department for Work and Pensions could not verify the digital share code. What is the Home Office doing to identify and accelerate these cases to ensure that no one is denied the educational opportunities that they are entitled to? How will people be compensated when they have been wrongly refused entry to the UK, work or housing, or been charged for NHS treatment or incorrectly denied home fees or student finance because of a failure to apply the law correctly Another huge problem is that use of the checking service provides a landlord or employer with only a six-month guarantee of protection from prosecution, but why would an employer or landlord take on someone when they can have a guarantee of only six months’ rent or six months’ work? That is why it was wrong to end the transition while over 500,000 people were in this perilous position. A freedom of information request in May showed that 100,000 people had been waiting for over three months for a decision. That is a hell of a long time to be in this semi-legal limbo Finally on this particular topic, I understand that there are also significant numbers of cases where people have completed parts of the application process online but not the whole process—for example, even just the final “submit” stage. Is the Home Office taking steps to identify and reach out to those people as well Turning to people who apply late, or have applied late and are waiting for a decision, it is welcome that they can continue to access healthcare and that, if I understand it correctly, they can continue to exercise rights that they are currently exercising, such as keeping an existing job or social security benefit if they apply with 28 days’ notice. However, the huge gap here is that there is no right to take on a new job or new accommodation in England, or to claim a new social security benefit or use other services, so an important first question is why the Home Office thinks this is consistent with the withdrawal agreement, which states that pending a decision on any application, all rights will be deemed to apply to the applicant It is easy for the Government to say, “Well the process is quick and therefore these issues should not be widespread. Get the application in and then get on with your job hunt or social security application”, but, in practice, it is not that simple. We know that over 100,000 people had been waiting for more than three months in May, and remember, too, that, as we know from Windrush, it is precisely when people are making new job applications or applying for social security or a tenancy that they suddenly realise that they have not applied and should have done. Waiting for three months at these moments of crisis could destroy lives, with employment, accommodation and financial support all missed out on The Home Office has mentioned a process for accelerating certain cases, which is welcome, but how does that work? How can we ask on behalf of our constituents that their case is accelerated for these very good reasons? What will the criteria be for accelerating cases, what will the timescales be, and what does that mean for other cases and how long they will take Finally, on late applications, I previously asked the Minister what would happen if someone incurred health charges because they had failed to apply for the settlement scheme, but, having realised their error, they then went on to apply late and successfully showed that they had a reasonable excuse. If I recall correctly, the Minister suggested at the Home Affairs Committee that it would be ridiculous to then insist on those charges being paid. After all, they had had a reasonable excuse for a late application, but, as I understand it—I would love to be corrected—that is exactly what will now happen in England. How can that be justified? Why is it that someone who is considered to have reasonable grounds to apply late can still be held liable for healthcare charges incurred before submission of their justifiably late application? It seems an incredibly strange situation What about those who have not applied at all? I want everyone to apply, though late—I am sure we all do—so what is the Government’s strategy here? Is there not a danger that the reasonable excuse test is going to put people off, especially if, as suggested in the guidance, it has to be more strictly interpreted the more time goes on? Why is that advice there? Those who encounter border enforcement, whether the Home Office version or delegated private actors such as employers, are going to have 28 days’ notice to apply, but what has been done to make sure that some of the people most likely to have missed a deadline—vulnerable and marginalised groups, and maybe those with health issues or with poor English—understand what that notice means and what exactly is required of them? For example, is it going be available in different languages, will they be signposted for advice and what happens if that 28-day deadline is missed It is much more likely that people who have not applied will become aware of the problem only through an encounter not with Border Force, but with an employer, the DWP, a landlord or somebody else, so what work has been done to ensure that, rather than just saying no, they signpost and, in the case of Government Departments, assist them in ensuring that an application can be submitted. The Government are committed to funding grant-funded organisations supporting EU citizens with late applications until September. Why is it only to September? Can we have funding for beyond that as well Finally, I turn to the issue for those who actually get settled or pre-settled status. Even if somebody is successful, that is not the end of their problems, and others, as I have said, will speak about the lack of a physical proof of status. There are more than 2 million people with pre-settled status, and many of them will struggle to prove the five-year residence required for settled status. What support will be available to help them with equally vital applications, and what happens to those who fail to apply at the time when their pre-settled status expires The settlement scheme may have been designed to be straightforward, but its interplay with our complicated immigration system means that it just cannot be. I struggle to follow its implications, and I suspect many hon. Members will have struggled to follow them as well, yet guidance for employers and landlords was issued just a couple of weeks back. This has, I am afraid, at the end of the day, ended up being a rush job. Even if all our other ideas are rejected, at the very least we need a longer transition period, and for the umpteenth time, I do ask that the Minister meets the3million campaign group In closing, during the referendum the now Chancellor of the Duchy of Lancaster also promised that, after Brexit, Scotland would have immigration powers. That seems to have gone the same way as his promise to EU nationals. We have debated the devolution of immigration or at least some immigration powers before, and it is on these occasions that the normally very measured Minister tends to start engaging in tub-thumping rhetoric rather than the arguments in the discussion. I am not going to repeat all those arguments today, but report after report from the Scottish Government, academics, thinktanks and immigration lawyers offer myriad reasons why this should be done, and templates for how this could be done.
ParlaMint-GB_2021-07-07-commons.u283	I have been lobbied quite strongly by businesses in my constituency, where there is a big shortage of HGV drivers, for instance. Analysis indicates that there are up to 76,000 vacancies in the sector, which hits logistics and construction. Would not one reform that would help with the economic problems we face in Wales and Scotland be for the British Government to allow the Welsh and Scottish Governments to put sectors of the economy where there are skills shortages on the shortage occupations list?
