ParlaMint-GB_2021-10-19-commons.u1	1. What recent steps his Department has taken to increase NHS capacity.
ParlaMint-GB_2021-10-19-commons.u266	A lot of us feel that this legislation should now just lapse, because there has been a material improvement in the situation. There are other powers should things go wrong, and this House could grant powers in the space of a few hours if there were a new and unpleasant crisis. Why do we have to have these powers hanging over our head when there does not seem to be a need to use them?
ParlaMint-GB_2021-10-19-commons.u267	What I can tell my right hon. Friend is that there are provisions that we hope to keep in the Act, subject to the House’s will today, which are still necessary. For example, there are provisions that protect NHS capacity with respect to temporary registration of nurses and other healthcare professionals. There are similar provisions for the care sector; there are also provisions that provide support packages for those whose jobs may have been hit or who have to take time off work to meet the self-isolation requirements. There are provisions in the Act that I think are still necessary; I will speak about some of them in just a moment.
ParlaMint-GB_2021-10-19-commons.u268	Does my right hon. Friend recognise that by leaving the Act intact, albeit with certain restrictions, he is leaving the opportunity for extreme measures to be taken relatively simply and with limited reference to this House, as the hon. Member for Brent Central (Dawn Butler) mentioned? A lot relates to pressures on the NHS; those could come because every winter the NHS is under pressure or because catching up on services puts it under pressure. I am interested to know how on earth my right hon. Friend will work through the next few months to understand what is an undue amount of pressure on the NHS that might require him to take the actions in plan A or plan B, or potentially even further actions.
ParlaMint-GB_2021-10-19-commons.u269	In our response to the pandemic, we have set out clearly our plan for the autumn and winter; I have certainly done so in the House. We certainly expect more pressure as we head into winter. We have been very open about that; it is why the covid vaccination booster programme and the flu vaccination programme both remain important. However, there are provisions in the Act that I believe are still necessary and proportionate to help with the pressure that my hon. Friend refers to, such as the registration of healthcare and social care workers and the power to discontinue healthcare assessments for people being discharged from the NHS. I think that it is wise—especially as we head into the winter, when we do not know just how significant the pressures will be—to have that flexibility.
ParlaMint-GB_2021-10-19-commons.u270	Would my right hon. Friend go a little further? As a medical support worker, I can tell him that there has been very little effort to follow through on a programme begun last year to encourage people to return to being patient-facing. They need to remain engaged; the Act is a good start in that process, but it does not appear to have been developed in any way. I agree absolutely that my right hon. Friend needs to keep those provisions in the Act, but he needs to develop them more than has been done so far—particularly because if we face a bad winter and possibly the resurgence of this or another virus, we will need those people. They need to remain engaged.
ParlaMint-GB_2021-10-19-commons.u271	My right hon. Friend is right to draw attention to that point. We need to keep working on it, but it might be helpful to know that under section 2 of the Act, the Nursing and Midwifery Council has been able to register temporarily some 14,000 nurses, midwives and nursing associates in England, and the Health and Care Professions Council has been able to register more than 21,000 temporary paramedics, operating department practitioners, radiographers and other professionals. That has certainly helped the NHS and the care system We have already allowed 13 of the 40 temporary non-devolved provisions in the Coronavirus Act to expire, and at the most recent six-month review we deemed a further seven provisions and part of an eighth suitable for expiry. Last month, as we published our autumn and winter plan, I came to the House to set those out Some of the provisions that we are recommending for expiry are some of the most stringent aspects of the Coronavirus Act. They include section 51, which relates to potentially infectious persons and which has been used only 10 times and not since October 2020; section 52, which gave powers to issue directions relating to events, gatherings and premises, and which has never been used; section 23, which relates to time limits for urgent warrants under the Investigatory Powers Act 2016 and which is no longer proportionate to this stage of the pandemic; and section 37, which allowed for the disruption of education for children and young people with special educational needs and disabilities, and which continues to be unused. [Official Report, 22 October 2021, Vol. 701, c. 8MC. ]
ParlaMint-GB_2021-10-19-commons.u272	The Secretary of State has been extolling the virtues of parliamentary scrutiny, which, as many right hon. and hon. Members have stated, has been sadly lacking of this Act and in its renewal debates. Will he give us a cast-iron guarantee that should he decide to bring forward vaccine passports, we will get not just a full parliamentary debate, but a vote on any such measures?
ParlaMint-GB_2021-10-19-commons.u273	I think that the Government have already been clear that should we try to bring forward what the hon. Lady calls vaccine passports, it would be a decision for the House and it would be a vote. If that happened, we would have to justify it to the House In addition, we are expiring sections 56, 77 and 78. Taken together with the 13 out of 40 temporary non-devolved provisions in the Act that have already expired, that will mean that half of the original 40 temporary non-devolved powers in the Act will expire early.
ParlaMint-GB_2021-10-19-commons.u274	I welcome the lifting of the more draconian measures in the Coronavirus Act, including section 52 and schedule 22, which gave significant and unprecedented powers to the police relating to events, gatherings and premises, with no protections for the safeguarding of freedom of expression. Most of those powers are mirrored in the Police, Crime, Sentencing and Courts Bill. Will the Secretary of State go back to his Government and secure an agreement to remove the more draconian elements of that Bill before its next stage?
ParlaMint-GB_2021-10-19-commons.u275	I thank the hon. Lady for what she has said, but I think the Government have already set out clearly the provisions that they intend to expire or suspend, subject to the will of the House today, and explained why they have focused on those provisions. I can also inform the House that we recommend the suspension of the remaining unsuspended parts of schedule 28 and section 58 I am sure the whole House will welcome this news—the latest steps that we are taking towards a more normal way of life—but the winter just around the comer is a cause for caution, with the twin threats of covid-19 and flu still uncertain. In line with our autumn and winter plan, we intend to retain the temporary provisions that remain essential to our ongoing pandemic work, including sections 2, 6, 14, 38, 45, 50 and 75, which cover vital aspects such as supporting the NHS to help it to retain emergency staff and enabling statutory sick pay to be provided for people who are self-isolating. We will review this legislation again in the spring.
ParlaMint-GB_2021-10-19-commons.u276	Will my right hon. Friend explain in detail which of the measures that the Government seek to retain could not be implemented alternatively by means of the Civil Contingencies Act or the Public Health (Control of Disease) Act 1984?
ParlaMint-GB_2021-10-19-commons.u277	My hon. Friend will know that there are numerous measures that the Government are planning to retain. To do proper justice to his question, I would have to go through them one by one and try to link them with every single Act, but I should be happy to meet him or write to him giving him the proper detail, because I think it was a very fair question.
ParlaMint-GB_2021-10-19-commons.u278	rose—
ParlaMint-GB_2021-10-19-commons.u279	I think I have given the hon. Lady enough opportunities to intervene We have come so far and achieved so much as a country because of the sacrifices of the British people and the dedication of our fantastic public servants. We are learning to live with the virus, so we can face the winter ahead with an ever greater degree of confidence. There is no doubt that we will continue to experience bumps on the road—covid-19 has not, of course, gone away, and flu remains an ever present danger—but I am confident that the steps that the Government have set out today strike the right balance, removing unnecessary stringent measures while retaining the tools to fight infection wherever it might arise.
ParlaMint-GB_2021-10-19-commons.u280	We do not oppose the renewal of the Act and we will not oppose its renewal in the Division Lobby, but I do have huge sympathy with the Members who have raised concerns about the way in which the Act is scrutinised and asked questions about whether there are alternative means of putting this legislation on the statute book. The main reason we will not oppose the Act is the provision of statutory sick pay from day one and not day four, which was the case before the Act received Royal Assent. Given that we have a Chancellor who has been very keen to cut back universal credit, I am not convinced that if the Act fell today the Chancellor would carry on paying statutory sick pay from day one, and would find time to introduce an appropriate Bill. However, I urge Ministers to try to find a better way for the Act to be scrutinised Let us think back to March 2020—and I remember it well. A deathly silence was falling upon our streets, as we knew that a deadly pandemic was set to spread with ferocity. We knew that the House had to act with urgency and haste. Indeed, I, as shadow Health Secretary, was invited to Downing Street to meet the Prime Minister, to meet Dominic Cummings and to meet various officials, to discuss in principle agreeing to this Act on a cross-party basis. The then Health Secretary invited me to the Department of Health and Social Care on numerous occasions to sit down with him and his officials to discuss the content of the Act. We proceeded on a cross-party basis because we understood the gravity of the crisis that we were facing Measures were put in the Act that we had asked for, such as the provision of statutory sick pay from day one, but other measures were put in the Act that we had not asked for, although in the circumstances we were prepared to go along with them. One of the things that we asked of the Government, working with the right hon. Member for Haltemprice and Howden (Mr Davis) and other Members, was a renewal of the Act every six months, on a regular basis. From memory, I think we may have asked for a renewal every three months, but we will have to double-check with Hansard on that front. We also asked for the ability for various aspects of the Act to be expired Perhaps I am naive, but I did not anticipate that 18 months later the Act would be renewed again on the basis of a 90-minute debate not allowing Members to scrutinise this properly—and given the way in which the House has decided to debate it, Members cannot even table amendments and have their point of view expressed on the Order Paper. I strongly encourage the Government —the Executive who control the business of the House—to try to find a more satisfactory way in which the Act can be properly scrutinised, particularly if the Government are minded to renew it again in six months’ time rather than expire it, as was originally intended.
ParlaMint-GB_2021-10-19-commons.u281	The right hon. Gentleman is making a powerful argument. Given what he has said, would it not be a good idea for the Opposition to vote against the motion and perhaps defeat the Government, so that the correct procedures could be in place tomorrow?
ParlaMint-GB_2021-10-19-commons.u282	The hon. Gentleman tempts me. I can understand that if the Act fell, there would be time for alternative provisions to be put in place, but I am afraid I do not have confidence in the continuation of this particular Treasury, which is keen to find savings in the public finances, to provide statutory sick pay from day one. Voting down the Act today would be voting down statutory sick pay from day one, and I do not want to see the Government revert to providing it from day four. That is why, although I have sympathy with the hon. Gentleman’s point, I am not prepared to vote down the Act.
ParlaMint-GB_2021-10-19-commons.u283	I always listen to the right hon. Gentleman’s comments with the greatest of interest. He is concerned that there is not sufficient scrutiny. Will he compare and contrast the attendance in this short debate on the Government Benches with that on the Labour Benches? I count three of his Back-Bench colleagues at the moment.
ParlaMint-GB_2021-10-19-commons.u284	The right hon. Gentleman is better than that, with respect. He is very experienced, and he knows full well that right hon. and hon. Members have various responsibilities as Members of Parliament. Come on! That was akin to those ridiculous tweets that we sometimes see going around, saying that an important issue is being debated in Parliament and asking why the Benches are empty and so on, when it is an evening Adjournment debate.
ParlaMint-GB_2021-10-19-commons.u285	I have a great deal of sympathy with what the right hon. Gentleman has just said, but there is an underlying point. On many occasions since March 2020, the Opposition have absented themselves from providing effective voting opposition to measures that the Government have proposed, often affecting the rights and liberties of individuals. If the right hon. Gentleman is saying that he is balancing all the issues involved in the restrictions that result from the continuation of the Act with the single purpose of continuing statutory sick pay for three days, and that because he is not prepared to test the willingness on the Government Benches to support him in any measure he would turn down this whole measure, I think that what he is handing us is giving him a little bit short of what he might expect.
ParlaMint-GB_2021-10-19-commons.u286	The hon. Gentleman knows full well that if the Government wanted to bring forward a separate Bill to pay statutory sick pay from day one—and to increase the level of statutory sick pay, which is not currently at a satisfactory level—that would of course have our support. However, that would have to come from the Executive. It is unlikely to come from Back Benchers, although I am confident that, should such an opportunity present itself, the hon. Gentleman would find himself in the same Lobby as me on the question of paying enhanced statutory sick pay A number of provisions have been taken out of the Act that restricted liberties and freedoms. We raised concerns about those provisions six months ago and 12 months ago, and we are pleased that they have been lifted from the Act, particularly those sections that gave the power to detain potentially infectious persons, which have been used for a number of prosecutions, every one of which was found to be unlawful by the Crown Prosecution Service. Hon. Members from both sides of the House made that point in the six-month debate and in the original debate 12 months ago, so we are pleased that the Government have listened to those Members and to the Joint Committee on Human Rights, which said that those powers ought to be repealed. They have now been removed from the Act. There are some sections whose removal from the Act we would question. A lot of my local government colleagues have asked why the powers that enable local authorities to meet remotely have been removed from the Act. Would it not be better to allow local authorities to come to their own decisions on whether they want to continue to hold online meetings in the next few months? I am not quite sure why we need to remove that provision from the Act Of course we would not want to lose statutory sick pay from day one, but the Secretary of State also referred to the emergency legislation covering healthcare workers. This is important because it means that we can get recently retired workers back on their licences and back onto the frontline. We would not want to lose that from the Act. The Act continues to allow remote participation in court proceedings to take place, which we believe is needed in the current circumstances The Act was not the legislation that brought in the lockdowns, including the local lockdowns for my home city of Leicester and areas such as Burnley, Bolton and Calderdale, which, sadly, were put into localised lockdown in the past year or so. None of us wants to see those lockdowns ever again. Nobody wants to see a national lockdown, and nobody wants to see local lockdowns. I understand that the Government have quite rightly ruled out further lockdowns, but the public health crisis is not over. That is why we still need some of the provisions in the Act. Covid has not gone away. We can learn to live with the virus, but that is not the same as pretending the virus no longer exists. Yesterday, we recorded close to 50,000 infections, more than 7,000 people were in hospital—with nearly 800 in ICU—and every day on average 100 of our fellow citizens sadly die from this disease. A decision on vaccination in schools by the appropriate committee was delayed, but record numbers of children are now infected. In the past three weeks, we have seen an average of 10,000 new covid infections every day in schools and thousands are missing school as a consequence The ongoing pandemic is making existing inequalities worse and worse, so we need some of these provisions to stay on the statute book. However, we need to go further as well. As I have said, I never want to see another lockdown again, either locally in my home city of Leicester or nationally. There are a couple of things that I hope the Government will consider in order to avoid further lockdowns and to avoid needing some of the most draconian measures in the Act to return First, we need to fund public health properly in the spending review. The virus thrives on health inequalities. The Secretary of State rightly referred to health disparities and stalling life expectancy in Blackpool, but his Government have presided over public health cuts of £43 per person per year across Blackpool, which are some of the largest in the country. Secondly, we need substantial investment in ventilation support for businesses, public spaces and schools. Better ventilation has been proven, time and again, to reduce the transmission of covid. In addition, it brings other health benefits We know that vaccination is waning and that parts of the programme are stalling. The wall of defence is crumbling, so we need to encourage those retired clinicians who helped with the initial vaccination programme to help again. We also need to encourage those retired clinicians who did not help out last time to consider playing their part. That is why the clauses in the Act on the emergency registration of healthcare workers need to remain on the statute book We also need to fix the booster programme. As of Friday, only half of eligible over-80s had received their booster jab. Charities including Blood Cancer UK and Kidney Care UK are warning that the third-dose programme for the immunosuppressed has been a “chaotic failure”, with between 55% and 60% yet to be invited to get a third dose, as of Friday. What are the Government going to do to scale up third jabs and boosters? Will the Government consider pop-up clinics, for example? They were successful in the previous round of vaccinations Our case rates are concentrated among the young, but only around 30% of children have been vaccinated. One problem in getting vaccinations out to children is that there are not enough staff, which is another reason why we need the emergency registration provisions to stay on the statute book to try to encourage more retired clinicians to join the children’s vaccination programme The Secretary of State is now allowing children to book a vaccination in a walk-in centre for half-term, but it is half-term this week in some parts of the country, including in Leicester, so can that part of the programme start today rather than waiting for next week There are still parts of the country, including Leicester and many London boroughs such as Brent, Lambeth and Tower Hamlets, as well as parts of the country that were in lockdown last time such as Blackburn and Pendle, where second-dose rates are still below the national average. What will we do to drive up vaccination rates in those parts of the country that were in lockdown last time and where vaccination rates are still too low? Will the Secretary of State consider guaranteeing mandated paid time off for vaccination and mandated sick pay for people who need to take a couple of days off due to side effects or due to feeling unwell, as people sometimes do following a vaccination We will support the Government in renewing this Act, although we want them to find a better way of scrutinising its provisions. We are concerned about the infection rates we are seeing. The embers are burning bright again and, because we were world leading on vaccination, we could be world leading again on the waning of vaccination. We need a plan to drive up boosters, to drive up third doses and to drive up second doses for those who have not had them. This disease remains lethal, especially to the frail, to those with underlying health conditions and, obviously, to those who are unvaccinated Let us strengthen the vaccination programme, let us pay proper sick pay, let us ensure fresh, clean air in public buildings and let us properly fund public health. Remember that the Select Committee reported last week that the Government’s handling was one of the worst public health failures in British history. This is no time for complacency, and I hope Ministers act now.
ParlaMint-GB_2021-10-19-commons.u287	There is a limited amount of time for this debate, which needs to finish at 4.31 pm, and I want to give the Minister 10 minutes to respond. There are more people standing than indicated to the Speaker’s Office that they wanted to speak, which means there is even more pressure on time. I ask hon. and right hon. Members to confine their speeches to five minutes.
ParlaMint-GB_2021-10-19-commons.u288	Thank you, Madam Deputy Speaker. I will, of course, obey your strictures on time I welcome what the Secretary of State has done in not continuing with some of the most offensive and egregious provisions in the Act, particularly the one enabling almost indefinite detention. I have looked very carefully at the provisions that are being continued, and all the very unwelcome powers are not being continued. Although there remain some unwelcome powers with which I might quibble and although, as my right hon. Friend the Member for Haltemprice and Howden (Mr Davis) said, there are other ways of delivering some of them, the most offensive ones have been removed, which I welcome. I therefore will not seek to divide the House. If others were to do so, I will not oppose the renewal of these provisions It is worth saying, because many people outside the House do not understand this point, that it is not the Coronavirus Act 2020 but the Public Health (Control of Disease) Act 1984 that has been used to deliver the lockdown measures and the other measures that people have found so very difficult. The 1984 Act remains in place and gives Ministers all the powers they would want to be able to lock down the country again—I hope that is never needed, but they have the powers if they need them. I do not think that Act comes with sufficient scrutiny, which is why I strongly support the campaign of my hon. Friend the Member for Wycombe (Mr Baker) to reform it by better combining the necessary powers with the necessary parliamentary scrutiny On parliamentary scrutiny, I welcome what I detected was an improvement in the tone from the Opposition. I welcome what the shadow Secretary of State said; there was an increasing recognition that scrutiny and challenge to government is necessary. When some of my colleagues and I were challenging and opposing some of the Government measures that predate my right hon. Friend’s accession to the post of Secretary of State for Health and Social Care, it felt like a lonely occupation. We were not joined by the shadow Secretary of State or by many of his colleagues, so I am pleased that he is becoming more enamoured of the concept of scrutiny, which is very welcome for the Opposition.
ParlaMint-GB_2021-10-19-commons.u289	May I ask my right hon. Friend to hesitate in his laudatory comments about the Opposition Front Benchers? One problem we have is that we cannot amend the provisions. The deal they did not strike back on 23 March 2020, and that they should have, was that this should have been an amendable measure. We could then have put everything right.
ParlaMint-GB_2021-10-19-commons.u290	That is exactly right. It is for that reason that if there were a Division I would not be voting for this legislation, because I do not think it comes with enough parliamentary scrutiny—the sort of scrutiny that there is if we use the Civil Contingencies Act 2004.
ParlaMint-GB_2021-10-19-commons.u291	Would it not also help the Government’s case if they gave us more detail on which of these measures actually worked and did some good? We need more post-result audits so that we can have more confidence in some of these measures.
ParlaMint-GB_2021-10-19-commons.u292	My right hon. Friend makes a good point, which would be worth following up Conscious of your strictures, Madam Deputy Speaker, let me make a couple of final points. On the issue raised by the hon. Member for Twickenham (Munira Wilson) on vaccine passports, the Secretary of State gave half of the right answer, which was that the Government would have to persuade the House to introduce vaccine passports, and he confirmed that the House would have to vote on it. The final piece to come in his wind-up remarks is that that vote will come ahead of any decision to introduce vaccine passports, rather than there being only a retrospective vote after their introduction. If he confirmed that, he would do the House a powerful service The final point is to reinforce what the shadow Secretary of State was saying, and what I said in my intervention, about speeding up second doses and third doses for those who are immunosuppressed and, to release the pressure on the NHS, focusing on improvements in social care this winter. My local NHS trust—I have raised this issue with the Secretary of State privately—has made the point that some of the pressures are because it cannot get the people who have received all the hospital treatment they need out into the community, because of a lack of either residential social care or domiciliary social care. For it to deliver on clearing the backlogs of healthcare and to stop accident and emergency backing up, it must be able to get people out of the “back door” of the hospital into social care or back home. It is social care that will put the NHS under critical pressure this winter, in the next few weeks, so I urge my right hon. Friend to focus on the social care aspect of NHS pressure, not just on NHS pressure. With that, Madam Deputy Speaker, I will broadly obey your strictures and sit down.
ParlaMint-GB_2021-10-19-commons.u293	I had a profound sense of déjà vu in preparing for today’s debate, although it is hard to believe it is six months since we last considered this and 18 months since our nations went into lockdown, during which period I have probably said everything on this subject before. Let me recap by saying that the Scottish Government support the four-nations approach to tackling coronavirus as far as is possible, while respecting differences of approach. Thankfully, the direction of travel is that we are all emerging from the pandemic and, gradually, more of our old freedoms are being restored. As I did last time, let me pay tribute to everyone for everything they have done to support us and the NHS during this unprecedented period. My thoughts and prayers are with everyone who has lost loved ones to covid throughout this period, and too many have—there have been more than 161,000 deaths and, sadly, the number is still rising When we last debated the temporary provisions, I was looking forward to receiving my first vaccination; like so many, I am now fully vaccinated. Vaccination really is a game-changer and I encourage everyone who is offered a vaccine to take up that offer. If anyone has not yet done so, will they please reconsider?
ParlaMint-GB_2021-10-19-commons.u294	When the hon. Gentleman says vaccination, I hope he also means vaccination against seasonal flu, which is currently at the front of my mind as this morning I had my jab in the Attlee Room in Portcullis House. Seasonal flu will potentially cause more of a problem this winter than covid. It is important to get that message across. Does the hon. Gentleman share my concern that we are currently not where we really ought to be in vaccinating people against flu?
ParlaMint-GB_2021-10-19-commons.u295	I thank the right hon. Gentleman for his comments, and I do indeed agree. I wonder whether he has seen an advance copy of my notes, because I was coming to that very point. We are still witnessing too many infections and I worry that, when they are combined with flu, we could yet have a very difficult winter ahead for our health services—a “twindemic”, if you like. The successful roll-out of vaccinations and the protection of the most vulnerable remain essential, so I thank the right hon. Gentleman for that point As I have said, the SNP welcomes the four-nations approach to tackling the coronavirus pandemic. However, the UK Government would do well to match Scotland’s science and public health-first approach for the remainder of the pandemic. The Scottish Government have followed the science and done what they can within their power, which is why Scotland retains stronger rules on face masks, for example. As we head into what will likely be a difficult winter, the UK Government must be willing to follow the examples set by the devolved nations and be prepared to introduce measures such as face masks in shops and on transport, to protect people from both coronavirus and flu this winter.
ParlaMint-GB_2021-10-19-commons.u296	Scotland and Wales have national ID cards, and if plan B is triggered in England, there is a possibility that we will have an ID card in England, too. Does the hon. Gentleman feel it would have been better to have a whole-United Kingdom covid ID card, so that each nation is in sync, or does he think it is better for each nation to have individual ID cards?
ParlaMint-GB_2021-10-19-commons.u297	I should point that they are not ID cards but vaccine certificates. As I have said, we respect the differences, and although we welcome a four-nations approach we will move differently if things move at different paces.
ParlaMint-GB_2021-10-19-commons.u298	On the hon. Gentleman’s stricture about the mask mandate— the requirement on which he wishes us to follow Scotland—the wearing of masks does not seem to have reduced the rate of infection in Scotland, which is somewhat higher than it is in England, does it?
ParlaMint-GB_2021-10-19-commons.u299	I am an enthusiastic mask wearer for one simple reason that I think helps us all: it sends a very strong message to people that the virus has not gone away. I therefore encourage people to wear a mask, which also has benefits in the reduction of transmission The UK Government must be prepared to support people financially should greater restrictions need to be reintroduced this winter if conditions deteriorate. Failing that, they must provide the powers to the devolved Governments to do so themselves. We in the SNP continue to have serious concerns about the lack of parliamentary scrutiny of the powers in the UK Government’s Coronavirus Act 2020, and we have raised those concerns on several occasions from Second Reading onwards. It is important that Parliament has its say, especially now, as the pressure of the pandemic is easing. As I have said in previous debates, the reviews of the temporary provisions must not be rubber-stamping exercises; they must provide meaningful scrutiny, protect human rights and promote public health It is important that Parliament has its say on the regulations in place to tackle the biggest health emergency of our lifetimes. The Government are under huge pressure, but their decisions need the insight and legitimacy of Parliament. By giving Parliament the ability to scrutinise the schedules and measures individually, we could have gone a long way towards that aim. It is unacceptable that Parliament does not have that ability. For example, the SNP supports the repeal of schedule 21, which contains broad police detention powers. Scottish police have not used schedule 21 powers in Scotland and alternative laws could be used in lieu of the schedule We are not out of the pandemic yet; it will be with us for some time to come and the global threats of new variants will be with us until the world is vaccinated. We have to get this right. When I last spoke on the temporary provisions six months ago, I stated that “more needs to be done to restore public trust in the handling of issues such as covid contracts and in the security of powers contained in the Act. ” —[Official Report, 25 March 2021; Vol. 691, c. 1125. ] I fear very much that the Government are not learning lessons fast enough, particularly in respect of contracts and vaccinations The case of Valneva in West Lothian is a clear example. Yesterday, that vaccine company which is developing the only inactivated covid-19 vaccine in clinical development in Europe, and manufacturing that vaccine in Scotland, published positive data from its phase 3 clinical trial. I welcome the fact that the Health and Social Care Secretary has changed his views since incorrectly telling the House that Valneva’s vaccine would not get approval from the Medicines and Healthcare products Regulatory Agency. We know that, if approved, Valneva will be the only inactivated, adjuvanted whole virus vaccine against covid-19 in the UK—a fantastic innovation, particularly for those who have been waiting for an inactivated vaccine. I want to know when it might be available for our constituents. I hope the Secretary of State will join me in welcoming this news, made possible by support from the Department of Health and Social Care and the National Institute for Health Research, and recognise that it paves the way towards initial approval from the MHRA Finally, while maintaining health policies for the remainder of the pandemic is sensible, this must be done with the scrutiny of Parliament and the confidence of the public.
ParlaMint-GB_2021-10-19-commons.u300	In order to be helpful, I will impose a five-minute limit. If colleagues take less than that, we will definitely get everybody in.
ParlaMint-GB_2021-10-19-commons.u301	We are in a profoundly different place from where we were 19 months ago when we entered the pandemic and went through a series of lockdowns. The medicines that doctors use and prescribe and the procedures that are in place are all profoundly improved. The vaccination programme has been a revelation thanks to the quality, the range and the roll-out of the vaccines. We must recognise that, today, we are in a profoundly different situation from where we were right at the beginning. We just have to look at the third wave that we are going through at the moment and at the connection between infections, hospitalisations and deaths. Those rates are fundamentally different from those in the first and second waves, so we should be taking a profoundly different approach to dealing with this virus All variants of concern are defeated by our vaccines at the moment, and we have every expectation that that will continue to be the case into the future. By maintaining the Coronavirus Act 2020, but with perhaps a limited number of provisions, we maintain the fundamental approach to dealing with this virus. Society as a whole and the civil service more narrowly are still looking at this challenge in the same way, and there is not, in that sense, a change of mindset We are approaching what will be a tough winter. No matter what happens, we will have a very difficult winter. That may be due to the coronavirus itself or to influenza, but it will also be due to the very significant build-up in waiting lists and in conditions that should have been investigated 18 months ago. We know that these cases are building up and that it will create a huge amount of pressure on the national health service I want to focus today on the care sector. Some 18 or 19 months ago, we would have had cross-party consensus on the fact that the care sector needed fundamental reform. That is far more true today than it was back then. It is clear that the care sector needs far more resources today than it needed then. There is a shortfall of about 100,000 carers. With the compulsory vaccination approach that has been taken in the care sector, the Government are expecting another 40,000 carers to leave. That will create huge problems not only for the carers, but for the residents themselves In my constituency, the care sector is already under tremendous pressure. Some people are leaving because of the pressure that they are under, and some because they choose not to be vaccinated. Some of them are finding employment in the national health service. They are leaving the care sector and going into the national health service to provide care there, but at some point we may be imposing vaccinations in the national health service as well. We do not know how many will leave the NHS at that stage, but if vaccinations in the NHS stand at about 90%, we could be looking at a loss of more than 100,000 people We have concerns about people being transferred out of care in the national health service and into the care sector. We know that the situation is going to get substantially worse as we go through the winter and more carers leave the care sector, but we do not yet know when the same approach will be imposed on the national health service. I therefore ask the Minister: what is the Department’s thinking at the moment? When will we impose compulsory vaccination on the NHS, just as has been imposed on the care sector, and what impact will that have We need a fundamental reset in our approach to dealing with the coronavirus. The circumstances are fundamentally different now, because of medical advances and so many other things. We have the opportunity to reverse the decision on the care sector. We want to keep carers caring where they want to be caring. We ought not to be imposing this decision now, because in a couple of weeks it is going to be too late. I am concerned about plan B and the possibility of ID cards or covid passes—
ParlaMint-GB_2021-10-19-commons.u302	Order. We need to move on.
ParlaMint-GB_2021-10-19-commons.u303	Today really feels like groundhog day. The Government are again pushing through the Coronavirus Act with no scrutiny from Parliament. I do not know what it is about this authoritarian Act that the Government love to push through. Some 18 months ago, the Bill was nodded through—understandably, in a way, but it was never, ever proportionate. As the Secretary of State said, it was fast-tracked legislation. It contained really draconian powers, including the powers to postpone elections, close borders, detain people not suspected of a crime, ban gatherings and remove safeguards for disabled people. This is the mother of all Parliaments and we should always have the opportunity to scrutinise Government legislation. That is what we are elected to do. This all-or-nothing approach does not wash; it is wrong As a parliamentarian, I want to get my control back. I want to get back my powers to scrutinise the Government. The Government should not be the sole decider of legislation. We live in a democracy, not an autocracy. The Government should not be making all the rules themselves. That said, I am pleased that some of the most draconian parts of the Act have now been expired. I had a meeting with the Minister and am pleased that she listened to my concerns. Section 51 and schedule 21 —the powers relating to potentially infectious persons—have now been removed. As has been said, every single charge under schedule 21 was wrongful. Those 292 charges were incorrect, and that meant 292 distressed people who were already distressed during the pandemic We have to make sure that the Bill is fit for purpose, and ultimately it is not. It therefore needs to be scrapped and there needs to be a new Bill. I am already the sponsor of a Bill that has been presented to the House: the Coronavirus (No. 2) Bill. If we were to vote down this Act today, we would have 21 days to bring forward a new Bill. There is already one that is ready—oven-ready, some might say. [Interruption. ] You liked that, did you? My Bill is properly ready to go This Government have proved time and again that they cannot be trusted. It is one rule for them and one for us. The latest person that we found had broken the rules was the Prime Minister himself, as his wife’s best friend went around to theirs for Christmas dinner, while other people dined alone throughout Christmas. As I have said, if we voted down this Act, we would have 21 days to bring a new Bill to the Floor of the House. We can do that and we can do it quickly I congratulate the Secretary of State on his new role and I appeal to him to consider one more vital change. I urge the Government to review every fixed-penalty notice issued under the coronavirus and public health regulations, and to establish an appeals mechanism, because people cannot appeal at the moment. Between March 2020 and June 2021, the police processed 117,213 fines. Let us not forget that we had no chance to scrutinise provisions when the Government raised fines from £960 to £10,000. The Guardian revealed that people of colour were 54% more likely to be fined than white people. I say to colleagues in all parts of the House that we should never be forced into an all-or-nothing approach when it comes to legislation. That is not our job. We are parliamentarians and we need to scrutinise legislation. Twenty-one days is enough time to consider better legislation. As we have the Coronavirus (No. 2) Bill, based on Liberty’s “Protect Everyone Bill”, I say to every single Member of this House that we can do that I am clear that we need to repeal and replace the Coronavirus Act not just because it is dangerous with regard to our rights and our liberties, or because it served the purpose that it was meant to 18 months ago, but because we must do better. We must learn the lessons. I am part of the Science and Technology Committee and there is a joint report that says that this Government have failed on so many occasions. This is an opportunity where we can do better and where this Government can do better. Let us do better, not just for us but for the country.
ParlaMint-GB_2021-10-19-commons.u304	I am going to reduce the limit to four minutes but it should stay at four minutes if I do it now.
