ParlaMint-GB_2021-07-13-commons.u1	When he plans to bring forward proposals on social care reform.
ParlaMint-GB_2021-07-13-commons.u246	On a point of order, Mr Speaker. I recognise the passion and conviction with which Members who voted both for and against the Government’s motion spoke in favour of the 0.7% target. To me, that is the salient point. While not every Member felt able to vote for the Government’s compromise, the substantive matter of whether we remain committed to the 0.7% target not just now but for decades to come is clearly one of significant unity in this House. Today’s vote has made that commitment more secure for the long term while helping the Government to fix the problems with our public finances and continue to deliver for our constituents I commit to the House that I, the Prime Minister and the Foreign Secretary will continue to work with all hon. Members on how we can continue to be a global leader in helping the world’s poorest and on how we can improve our aid spending, targeting it most effectively and ensuring that it gets to those who need it most. Having now provided the House with an effective vote on this matter, the Government will move forward with the planned approach.
ParlaMint-GB_2021-07-13-commons.u247	I now suspend the House for two minutes to enable the necessary arrangements to be made for the next business.
ParlaMint-GB_2021-07-13-commons.u248	On a point of order, Madam Deputy Speaker. I hope you can help us. In the debate after the next one, we are discussing the regulations that the Government have brought forward that will deprive thousands of people who work in our care homes of the right to work and not give them any compensation. The Government said on 22 June that alongside the statutory instrument they were laying an explanatory memorandum together with an impact assessment. The impact assessment has not been laid. Yesterday I raised this issue and referred to the fact that the Department of Health and Social Care had written to the Library to say, “The impact assessment has not been laid yet. We will be laying it at the earliest opportunity. ” That was at midday yesterday. I have recently spoken to people in the Vote Office and they say that they have now been informed by the Department that this impact assessment will not be laid before the debate. So either it does not exist and there was a fault when it was asserted that it did, or it has been suppressed because it does not fit in with the Government’s agenda. In any event, is it open to you to put pressure on the Government to withdraw that item of business until we have an impact assessment?
ParlaMint-GB_2021-07-13-commons.u249	I thank the hon. Gentleman for his point of order and for giving me advance notice of it. No, I cannot ask the Government to withdraw the motion and the business statement that has been agreed to, but I do share his disappointment that the document has not been made available before the debate after next. I hope that it will be fed back from those on the Treasury Bench that the Minister should address the issue in her opening remarks in the debate.
ParlaMint-GB_2021-07-13-commons.u250	Further to that point of order, Madam Deputy Speaker. I have recently been on a four-colleague call with the Care Minister where she confirmed to us that the said impact assessment would not be made available until after the debate. That strikes me as a rather back-to-front approach. I just provide that clarity to the House.
ParlaMint-GB_2021-07-13-commons.u251	I am grateful to the hon. Member for that clarity. It is what we rather suspected, and what I was trying to hint at, in that it was not going to be ready but the Minister would address that in her remarks when she opens the debate.
ParlaMint-GB_2021-07-13-commons.u252	Further to that point of order, Madam Deputy Speaker. Given what my hon. Friend has said, it is available and it could be made available immediately, but the Government are choosing not to make it available until after the event.
ParlaMint-GB_2021-07-13-commons.u253	The hon. Gentleman has reinforced his point that if it is available it could be made available before the debate. We understand that it is not going to be, but, as I say, we will pass back the very strong feeling that the Minister should address why that is the case in her opening remarks Armed Forces Bill (Programme) (No. 3) Motion made, and Question put forthwith (Standing Order No. 83A(7)), That the Order of 23 June 2021 (Armed Forces Bill: Programme (No. 2)) be varied as follows: (1) Paragraphs 5 and 6 of the Order shall be omitted (2) Proceedings on Consideration shall (so far as not previously concluded) be brought to a conclusion two hours after the commencement of proceedings on the Motion for this Order (3) Proceedings on Third Reading shall (so far as not previously concluded) be brought to a conclusion three hours after the commencement of proceedings on the Motion for this Order. —(David T. C. Davies. ) Question agreed to.
ParlaMint-GB_2021-07-13-commons.u254	I beg to move, That the clause be read a Second time.
ParlaMint-GB_2021-07-13-commons.u255	With this it will be convenient to discuss the following: New clause 2—Report on dismissals and forced resignations for reasons of sexual orientation or gender identity— ‘(1) The Secretary of State must lay before Parliament a report on the number of people who have been dismissed or forced to resign from the Armed Forces due to their sexual orientation or gender identity (2) The report under subsection (1) must include cases where— (a) there is formal documentation citing sexuality as the reason for their dismissal; or (b) there is evidence of sexuality or gender identity being a reason for their dismissal, though another reason is cited in formal documentation (3) The report under subsection (1) must include recommendations of the sort of compensation which may be appropriate, including but not limited to— (a) the restoration of ranks, (b) pensions, and (c) other forms of financial compensation (4) The report must include a review of the cases of those service personnel who as a result of their sexuality have criminal convictions for sex offences and/or who are on the Sex Offenders register (5) The report must include discharges and forced resignations back to at least 1955 (6) The first report under subsection (1) must be laid no later than 6 months after the day on which this Act is passed (7) The Secretary of State may make further reports under subsection (1) from time to time (8) In this section, “sexuality or gender identity” includes perceived or self-identified sexuality or gender identity. ” This new clause requires the government to conduct a comprehensive review of the number of people who were dismissed or forced to resign from the Armed Forces due to their sexuality and to make recommendations on appropriate forms of compensation. New clause 3—Armed Forces Federation— ‘(1) The Armed Forces Act 2006 is amended as follows (2) After section 333, insert the following new clauses— “333A Armed Forces Federation (1) There shall be an Armed Forces Federation for the United Kingdom for the purpose of representing members of the Armed Forces in the United Kingdom in all matters affecting their welfare, remuneration and efficiency, except for— (a) questions of promotion affecting individuals, and (b) (subject to subsection (2)) questions of discipline affecting individuals (2) The Armed Forces Federation may represent a member of the armed forces at any proceedings or on an appeal from any such proceedings (3) The Armed Forces Federation shall act through local and central representative bodies. (4) This section applies to reservists of the Armed Forces as it applies to members of the Armed Forces, and references to the Armed Forces shall be construed accordingly 333B Regulations for the Armed Forces Federation (1) The Secretary of State may by regulations— (a) prescribe the constitution and proceedings of the Armed Forces Federation, or (b) authorise the Federation to make rules concerning such matters relating to their constitution and proceedings as may be specified in the regulations (2) Without prejudice to the generality of subsection (1), regulations under this section may make provision— (a) with respect to the membership of the Federation; (b) with respect to the raising of funds by the Federation by voluntary subscription and the use and management of funds derived from such subscriptions; (c) with respect to the manner in which representations may be made by committees or bodies of the Federation to officers of the Armed Forces and the Secretary of State; and (d) for the payment by the Secretary of State of expenses incurred in connection with the Federation and for the use by the Federation of premises provided by local Armed Forces bodies for Armed Forces purposes (3) Regulations under this section may contain such supplementary and transitional provisions as appear to the Secretary of State to be appropriate, including provisions adapting references in any enactment (including this Act) to committees or other bodies of the Federation (4) A statutory instrument containing regulations under this section shall be subject to annulment in pursuance of a resolution of either House of Parliament (5) This section applies to reservists of the Armed Forces as it applies to members of the Armed Forces. ”” This new clause would create a representative body for the Armed Forces, akin to the Police Federation, which would represent their members in matters such as welfare, pay and efficiency. New clause 4—Armed Forces Mental Health Care review— ‘(1) The Secretary of State must publish a report containing a review of the mental health treatment provided to Armed Forces personnel through the— (a) Defence Medical Services, (b) Departments of Community Mental Health and the Veterans Mental Health and Wellbeing Service, and (c) Reserves Mental Health Programme (2) The report under subsection (1) must be laid before Parliament within three months of the date on which this Act is passed. ” This new clause would require the government to conduct a formal review of the standards of mental health care available for serving personnel. Amendment 1, page 4, line 27, clause 7, at end insert— “guidance under subsection (3) (a) must provide for charges of murder, manslaughter, domestic violence, child abuse and rape to require specific consent by the Attorney General to be tried in court martial when the offences are alleged to have been committed in the United Kingdom, and (b) if the Attorney General has not granted such consent, guidance under (3)(a) shall provide that charges as set out in section 4A(a) to be tried in civilian court only. ” This amendment would ensure that the most serious crimes – murder, manslaughter, domestic violence, child abuse and rape - are tried in the civilian courts when committed in the UK unless the Attorney General has specifically consented for such crimes to be tried under courts martial. Amendment 7, page 16, line 1, clause 8, leave out subsection 5 This amendment would require the Secretary of State to obtain the consent of Ministers in the devolved legislatures before issuing or revising any guidance under section 343AE relating to the duties imposed by sections 343AB(1), 343AC(1), and 343AD(1). Amendment 8, page 17, line 34, clause 8, leave out “consult” and insert “obtain consent from” This amendment would require the Secretary of State to obtain the consent of Ministers in the devolved legislatures before widening the scope of the duties in sections 343AA(1), 343AB(1), 343AC(1) and 343AD(1) when exercising this power in devolved contexts. Amendment 2, page 18, line 28, clause 8, at end insert— “343AG Section 343AF: report ‘(1) The Secretary of State must lay a report before each House of Parliament no later than three months after the day on which this Act is passed, and thereafter must make a report at least once in every calendar year (2) The report in subsection (1) shall set out how the powers in section 343F (Sections 343AA to 343AD: power to add bodies and functions) will work in practice (3) Any report published under subsection (1) after the initial report made 3 months after this Act is passed must include— (a) a statement detailing how the powers granted through section 343F (Sections 343AA to 343AD: power to add bodies and functions) have been used since the last report was issued, (b) a review of the relevance of the listed bodies and functions in section 343F (Sections 343AA to 343AD: power to add bodies and functions) in relation to the Armed Forces Covenant Annual Report under section 343A of AFA 2006, and (c) the outcome of a consultation conducted by the Secretary of State with the Armed Forces Covenant Reference Group on the bodies and functions listed in section 343F (Sections 343AA to 343AD: power to add bodies and functions) in regard to their appropriateness and relevance as part of the Armed Forces Covenant Annual Report. ” This amendment would require the Secretary of State to set out how powers in the Bill could be used to widen its scope to address all matters of potential disadvantage for service personnel under the Armed Forces Covenant including employment, pensions, compensation, social care, criminal justice and immigration.
ParlaMint-GB_2021-07-13-commons.u256	Labour stands firmly behind our armed forces and our brave service personnel who serve our country. It is a privilege to be speaking on behalf of Her Majesty’s Opposition on this important legislation. From their work across the country on the frontline of the pandemic to operations around the world, Britain’s armed forces deserve our admiration and gratitude. My granddad, who would have been 100 this year, served with the RAF during the second world war. Nearly all of us will have loved ones whose service we look back on with pride, and I am sure that we would all hope they were given the support they needed and deserved during their service and afterwards Labour supports our armed forces and the principles behind the Bill. It presents a once-in-a-Parliament opportunity to bring about meaningful improvements to the lives of our service personnel and veterans and their families, and I want to take this opportunity to thank all the organisations—local authorities, service charities and voluntary organisations—that have contributed to this legislation. It is the duty of any and every Government to look after their people, and there are welcome steps in the Bill, which we support—the creation of a legal duty to the principles of the covenant, and the implementation of key elements of the Lyons review—but we believe the Government can and should go further. Our forces communities cannot afford for this Bill to become a missed opportunity, and that is why Labour has put forward our amendments in good faith to strengthen the Bill and offer the support and protection that are needed by many of our service personnel Turning first to amendment 1, currently serious crimes, including murder, manslaughter, domestic violence, child abuse and rape cases that are committed in the UK by service personnel are prosecuted in the service justice system, the SJS, not the civilian courts. Victims and their families often do not get the justice they deserve, and quite often sexual abuse cases are tried as “disgraceful conduct” and other service offences, meaning those who commit the offences are not put on the sex offender register.
ParlaMint-GB_2021-07-13-commons.u257	I greatly welcome the shadow Minister’s commitment to the rule of law in amendment 1. Almost 50 years ago 14 unarmed civil rights marchers were murdered on the streets of Derry by the Parachute Regiment. Five of those victims were shot by David Cleary, otherwise known as soldier F. For 50 years he has been granted anonymity; now the Government want to give him an amnesty. Does the shadow Minister agree that nobody—none of the perpetrators involved in murder during our troubles—should be granted an amnesty?
ParlaMint-GB_2021-07-13-commons.u258	The Labour party is committed to the Stormont House agreement and the leader of the Labour party, my right hon. and learned Friend the Member for Holborn and St Pancras (Keir Starmer), made it clear in Northern Ireland last week that the rule of law must be central to our approach to legacy in Northern Ireland Returning to amendment 1, last week I met with the charity Salute Her at Forward Assist, who shared with me statistics showing that up to six out of 10 women serving in the military have experienced some form of sexual harassment or abuse. This is an issue that disproportionately affects women of lower ranks; it is a harrowing issue, and these women deserve real justice. This amendment would ensure the Armed Forces Bill provides appropriate support, protection and access to justice for our forces. Serious crimes will be tried in civilian courts when committed in the UK unless the Attorney General has consented for such crimes to be tried under courts martial Moving on to amendment 2, a significant part of this Bill relates to the armed forces covenant and the introduction of a legal duty for public bodies to have regard to its principles. I am proud that my local authority, Barnsley Council, is not only one of the leading signatories of the covenant but has achieved the gold award in the defence employer recognition scheme. More needs to be done to end the postcode lottery of support and introducing a legal duty in this Bill is a welcome step, but we believe it can go further not only in the duties themselves—currently limited to healthcare, housing and education—but in who they apply to as well. While the Bill creates new responsibilities for a wide range of public bodies, from school governors to local authorities, central Government are not included. The Government are notable by their omission from these legal responsibilities; they should show leadership in at least holding themselves to the same standard they are asking others to follow. Our amendment would place the same legal responsibilities for the armed forces covenant on central Government as their current drafting requires of local authorities. Twelve of the UK’s leading military charities wrote an open letter to MPs last week sharing their concern that the new legal duties in the Bill do not cover the “full range of issues” currently affecting our armed forces community. They are urging the Government to widen the Bill’s scope to make sure that greater protections are given in areas such as employment, pensions, social care and immigration. I hope that the Government will today listen to those charities and support our amendment.
ParlaMint-GB_2021-07-13-commons.u259	It is a great pleasure to follow the hon. Member for Barnsley East (Stephanie Peacock), the new shadow Minister, and I wish her well in her new role. I also empathise with much of what she said this afternoon, but of course the Government position is quite different, and I will explain why As Chair of the Select Committee on the Armed Forces Bill, I am probably more familiar with this Bill than most, and it is a good Bill. As before, with the armed forces covenant, I welcome the fact that it pays due regard to the placeholder, recognises rightful outcomes, and accurately reflects the unique sacrifices and obligations on HM forces, and that it places a legal obligation on the delivery of health, accommodation and local support from councils. It provides examples of good practice and pragmatic guidelines on how this is to be provided I note, with the Minister in his place, that prescriptive performance targets are still absent from the statutory guidance, but it may just be impossible to apply any meaningful metrics and tools to this area. I just do not believe that councils are in any doubt about what is expected of them after 10 years, but it may be that guidance is still needed on how they will be held to account if they do not meet their obligations, so I await that with interest I want to talk to just a handful of the amendments, if I may. New clause 1, as mentioned, is on the duty of care. It would require the Secretary of State to “establish a duty of care standard in relation to legal, pastoral and mental health support provided to service personnel involved in investigations or litigation arising from overseas operations” While this duty of care is one of the most important aspects of the Bill, and of the armed forces of course, applying a one-size-fits-all approach could lead to difficulties in the future. Tailored welfare and mental support for those who have served is already very effective and is already offered to all personnel New clause 2, on dismissal for sexuality, requires the Government to conduct a comprehensive review of the number of people who are dismissed or forced to resign from the armed forces because of their sexuality or perceived sexuality, and to make recommendations on appropriate forms of compensation. As before, while there is no validation of this practice and the Government do see it as an absolute wrong, the Government have resisted this clause at this point in time, as indeed they did in Committee, owing to its complicating the MOD’s efforts to address at pace this injustice. However, for the record, this does need to be done in due course, and I believe that the Government will do it New clause 3, on a representative armed forces body, would create a representative body for the armed forces, akin to the Police Federation, that would represent their members in matters such as welfare, pay and efficiency. But, once again, the Government have not been persuaded that there is a requirement or a groundswell of support for a federation along the lines that have been suggested. The interests of armed forces personnel, of which I was one, are already ably represented through a range of mechanisms, not least the chain of command. Furthermore, the Service Complaints Ombudsman provides independent and impartial scrutiny of all service complaints I would talk to some more amendments, but actually my opinion of all of them is the same as it is of the new clauses: while they are laudable on their own, there are good reasons why the Government are resisting every one—reasons outlined at length in Committee, and indeed during the Select Committee stage. In the interests of time, let me just say that this Bill has been subject to repeated scrutiny at various stages. It is a good Bill, it remains fit for purpose in terms of what can be achieved now, and I will be voting it through tonight.
ParlaMint-GB_2021-07-13-commons.u260	I start by paying tribute to members of the armed forces both for the work they do in ordinary times and for the work they have done over the last 15 or 16 months with their support for services during the pandemic. I also want to pay tribute to the organisations that have taken time to engage with Members during the passage of this Bill to ensure that we are fully informed about as many areas and as wide a range of issues as possible The Bill started its passage with Members on all sides keen to see real change for personnel in the armed forces. From that start with the very best of intentions, we have ended up with a disappointing conclusion, with non-controversial amendments being rejected without, I believe, any real attempt to make meaningful progress. We therefore find ourselves at this stage with a Bill that will make very little, if any, practical difference to those who serve. Of course, I do hope that I am proved wrong about this, but I have my suspicions that if, in a year’s time, we were to ask personnel whether they knew of any difference this has made, the answer unfortunately would be negative As I have made clear throughout the passage of the Bill, it lacks the punch required. The Bill’s commitment to the armed forces covenant falls far short of what it ought to be. Many stakeholders, including the Royal British Legion, have argued that the Bill should go further in strengthening the covenant in law, but many other areas have been missed out, such as visas for Commonwealth personnel, pay, Department for Work and Pensions issues, and proper representation for serving personnel For veterans who have suffered humiliation, dismissal and loss of pensions because of their sexuality, the Bill simply does not deliver. The Armed Forces Minister has previously spoken of his intention to make real progress in this area, so I look forward to working with him to deliver a just outcome for those individuals who have been affected in that way. This is an example of an issue that the Bill fails to address, and the SNP will be supporting Labour’s new clause 2 on that The Armed Forces Minister has previously given us assurances on service accommodation, but accommodation issues are raised year on year by serving personnel. The recent National Audit Office report on single living accommodation describes a litany of neglect. Accommodation for families also falls far short of the standards we expect. It is therefore disappointing that the Bill as it stands will not strengthen the accommodation offer. The SNP’s series of modest amendments, Nos. 3 to 6, asks that service accommodation match the standards set for civilian housing. This should be a matter of straightforward agreement across the House. We should not be asking service personnel, or indeed their families, to put up with accommodation that would be deemed unacceptable to non-military families. If we are talking about non-detriment, basic housing standards would be a good place to start. I am not expecting the Government to accept the SNP amendments on that today, but I hope this issue can be properly considered in the weeks and months ahead The SNP has for a long time advocated a far more comprehensive way of representing the interests of the armed forces. We look at the examples of many of our NATO allies, which benefit from armed forces representative bodies. We are used to hearing arguments from Members on the Government Benches about how it could not possibly work, because it could undermine the chain of command or encourage strike action. However, an armed forces representative body would be a federation like the Police Federation. It would not allow strikes and it would not impact on the chain of command, but it would give a voice to our personnel that, at the moment, is sadly lacking. I am therefore pleased to see Labour bringing an amendment forward again. If we are looking to ensure that the covenant is properly fulfilled, such an organisation would substantively carry out that role. It could advocate on housing, pay, terms and conditions and so on. However, I think the real reason for the Government’s resistance is that it would actually give our armed forces and veterans a voice The time and effort spent on the Bill should have been an opportunity to significantly improve our offerings to the armed forces, but I am doubtful. Without the ability to enforce—without the teeth the Bill needs—the Bill will sadly fall short. If this is a once-in-a-Parliament opportunity, many of us will be disappointed, but the SNP will continue to engage with the Government and the Armed Forces Minister in the hope that we can make a real change for those who are serving.
ParlaMint-GB_2021-07-13-commons.u261	The substance of the Bill before the House today is access to justice and welfare and our wider responsibilities in the context of the military covenant. In supporting this Bill, I would like to draw the House’s attention to the excellent work of some local authorities in relation to our service personnel and veterans, including the many who reside in Ruislip, Northwood and Pinner as a consequence of the numerous nearby military bases, including HMS Northwood, RAF Northolt and some of the historic ones in the area .
ParlaMint-GB_2021-07-13-commons.u262	I join other Members in thanking the Committee Clerks who have supported this Armed Forces Bill and in paying tribute to all the Members who have taken part in it, as we are now on the final stage. I was also going to pay tribute to the Minister’s predecessor, the hon. Member for Plymouth, Moor View (Johnny Mercer), but I do not think that I can because he is absent again today. He has taken such an interest in this Bill and in standing up for veterans that he cannot even be bothered to get off his beach in Devon to come to speak on their behalf when he has the opportunity to do so, but we will leave that there for now, Madam Deputy Speaker I rise to support Labour’s new clauses. As I think I have said on a previous occasion, I have been on every single Armed Forces Bill for the past 20 years either as a Minister or a Back Bencher. As has just been said by the hon. Member for Glasgow North West (Carol Monaghan), these Bills come round every five years. The Department does not deal with much legislation, so it is very important that, when we do have these five-yearly Bills, we ensure that we try to address all the issues that we can. Sadly, I do not think that we have done so with this Bill. As I have said before, that has partly been down to the intransigence and attitude of the previous armed forces Minister. The new Minister for Defence People and Veterans has been left to pick up the pieces at the end. One issue that has been left unresolved—I was tempted to table an amendment today, but I decided against it—was around investigations. It is outside the scope not only of this Bill, but of the Overseas Operations (Service Personnel and Veterans) Act 2021. If, as I understand it, the review is complete later this summer, when will those amendments and changes be put in place, because I do not think that we can wait another five years for the next Armed Forces Bill. As I have said before, this is a missed opportunity. Such changes would have improved this Bill and certainly vastly improved the 2021 Act, which is a disappointment to say the least in terms of promising a lot, and delivering very little. It actually takes away rights from veterans, which is disappointing I wish to speak to some of the amendments before us, beginning with new clause 2. One great thing about the way proceedings on Armed Forces Bills are constructed is that we can take evidence from a wide range of individuals. I pay tribute to the people from Fighting With Pride for their evidence to the Select Committee on the Bill. They shone a light on something that has not been highlighted: the effect on those individuals who were dismissed from service because of their sexuality. Many of us thought that because the ban was overturned, that was somehow the end of the issue and things had moved on, but what shocked me and, I think, many Members on the Committee was the fact that those individuals who served their country with dignity and bravery but were then dismissed because of their sexuality still suffer the legacy of that. We heard evidence about an individual who, because it was classed as a sexual offence, is on the sex offenders register, and today, 20 years afterwards, that still affects his ability to get a job as, for example, a school caretaker. That urgently needs to be addressed I do not doubt that the Minister is committed to looking at the issue, but without new clause 2 the Ministry of Defence will go into its usual mode of thinking, “We don’t need to bother about this and how we’re going to do it for the next few years. ” A study of the effects clearly needs to be done and the issue of criminal records needs to be addressed straight away. There is no justification for these individuals having a criminal record when if they had “committed the same acts” in civilian life they would not have a criminal record. That cannot be right I note the change from the Government in terms of asking about medals and making sure that people can apply for the medals that were stripped from them when they were dismissed from service, but we need clear guidance. People have to apply; some people have asked why the MOD cannot take a proactive stance and offer the medals out. For some unknown reason the data is not there, which makes me wonder whether a hard-enough effort has been made to find out about these individuals and address the situation. All three services must have records on the individuals who were dismissed. It is important that those medals are reported. As I say, I do not question the Minister’s commitment, but I think that without the new clause he will come up against what we all do—as you know, Madam Speaker—in terms of the civil service system: the issue will just get pushed back and back. We have to make sure that that does not happen, and the only way we can do that is through the new clause New clause 3 would establish an armed forces federation. This idea always sets off end-of-the-world notions in some in the military and some on the Conservative Back Benches, as though somehow if we had an armed forces federation, the world would stop. If it is good enough for our main allies—the United States, Australia and many European countries—it is good enough for me. People ask whether we are arguing for a trade union; the hon. Member for Glasgow North West was correct to say that it is not about having a trade union for the armed forces. I understand the conservative—with a small c—nature of the military, but we are reaching the point where a federation is going to have to come in sooner rather than later Along with other members of the Select Committee on Defence, I have just undertaken an inquiry, ably chaired by the hon. Member for Wrexham (Sarah Atherton), into women in the armed forces. I will not say what is in our report, but when it is published, which I think will be next week, I think that people will be utterly shocked at the evidence and at what we have found A key point that comes out loud and clear is people’s reluctance to come forward and make complaints, and the chain of command’s reluctance to address the issues. We are not talking about employment disputes; in some cases we are talking about serious sexual assault and other issues that are just not being addressed. It is like a pressure cooker—we need something to let the steam out, but there is no system there at the moment, so all it does is build up. In some cases, that is because people in the chain of command are ignoring the issues There is still a cultural issue, particularly in the Army, that means that people’s issues are not being addressed, and I do not see any way of changing it other than what would seem a radical change. I would not support any sort of federation that could affect the operational effectiveness of our armed forces in terms of strikes—I would not go there—but what the ordinary man and woman in our armed forces need is a voice, and frankly I do not think they have one. People ought to read the Committee’s report; it saddened me that after all the changes in wider society, some of the old attitudes are still there. It will come round to such a change—whether it will be in the next Armed Forces Act, I am not sure—because those people need representation New clause 4 is about the provision of mental health. Has a lot of progress been made in the area? Quite clearly it has, but the same thing is happening now that came up when I was dealing with the matter in the Ministry of Defence: the transition and the disconnect between the Ministry of Defence and the Department of Health. I know that the present Government have tried, as I certainly did, to ensure a joined-up, seamless service, but it is still not working. Veterans are still falling through the gaps in provision, and the only way we can address that is to ensure a seamless, joined-up service. It has to be patient-led, and it has to be about the individuals. To reiterate something that the Minister has said on numerous occasions, I do not want to portray the average veteran as a victim, because they are not. Most of them are very active, constructive members of society who have no problems whatsoever, but we have a duty to care for individuals who do not have that positive life post service. How do we break down the barriers for them? Without a joined-up service, we will not have the proper system that I think we all want, across the House, and which is best for our veterans I turn to amendment 1. Hon. Members will have seen The Times this morning; the figures on rape and serious sexual assault are not pretty. Is that an issue with lack of commitment or resources? Possibly, but having worked on the Defence Committee’s recent report, what saddens me is that some of it is down to cultural attitudes that have no place in a modern society and that need radical change The other issue addressed by amendment 1 relates to my earlier comments about investigations. With matters such as serious sexual assault and domestic violence, we cannot expect the military police to have the level of expertise that most forces would have because of their volume of cases. If someone is dealing with one case a year, their level of expertise in terms of being able to make it a priority, to gather the evidence and to make sure they have the strongest case possible is not going to be there. I am sorry, but this has to be taken out of the military justice system.
ParlaMint-GB_2021-07-13-commons.u263	I find myself making a mental note to be fairly worried if the right hon. Member for North Durham (Mr Jones) praises me, but we will gloss over that. I, too, would like to extend my thanks to the Minister. I was delighted to receive a telephone call from him to discuss this Bill a few days ago. I would have been much more surprised had I received a telephone call from his predecessor I will give credit where it is due. In our conversation, we discussed the fact that I would be very pleased, forgetting political boundaries, if the Minister or one of his colleagues would care to come to witness NATO’s Exercise Joint Warrior, which takes place off the north-west of my constituency and in other parts of Scotland. It would be a tremendous shot in the arm for our military personnel to see a ministerial presence. I do not think we have actually seen a Government Minister there—certainly not in the lifetime of this Government. I cannot speak for previous Governments; I was not here. It would also be churlish of me not to express my thanks to all the organisations that have been in touch with me during the whole process of this Bill We are rather short of time, so I will keep my comments very brief. I want to talk about two things. The first is to say that my party will be supporting amendments 1 and 2. Further to the remarks of the right hon. Member for North Durham on amendment 1, the general public do not really understand why, if a member of the armed forces commits a truly terrible crime—murder or rape—they should be tried and dealt with differently from how someone not in uniform would be dealt with, in a civil court. As an MP, if I were to commit a crime, I would not have the right to be tried by my peers in this House. I would be up in court, in the dock, the same as any other citizen of this country. There seems to be an impeccable logic in amendment 1 The right hon. Member for North Durham is correct, in that the military police do not have the resources to investigate in the depth that would get to the bottom of some of the most serious allegations that can be made in this land Finally on amendment 1, let me turn it around. If the Government cannot support the amendment, are they saying that, in fact, the civil courts are in some way inferior to military courts? Why would they not trust the civil courts and the civil police to get it right Secondly, I do not want to weary the Chamber on this, but it is a point I have made a number of times and, for the sake of the record, I repeat it. I have talked at some length about my concern that reducing the size of the Army will lead to the Army, and possibly the other armed services, being seen as not a terribly desirable career option for young people We have a massive recruitment problem. Going around the highlands of Scotland, going to the Black Isle show, the Dornoch show and my local Tain highland games, in years gone by there would be a stall set up by the Army, the Navy or the Air Force, or perhaps two or three of them. The stalls were very popular, an attraction to the general public. They were one of the many reasons why people would go to these events, because people like to see the weapons on display and meet the armed forces personnel. Those events were excellent for recruitment I leave Members with a final thought. My thanks again to the Ministry of Defence, as I and others, including the hon. Member for Barnsley East (Stephanie Peacock), went to the Ministry to be briefed on what we have been doing with the United Nations in Mali. It was a most interesting briefing. One message came out. When a young person in my constituency says they are thinking of joining the Scots Guards, the Royal Regiment of Scotland, the Royal Air Force or the Royal Navy, if I can say, “If you opt for that career, you might get yourself involved in something like the peacekeeping effort in Mali,” I guarantee it will be a tremendous attraction. It is very different from doing an ordinary job—I do not want to do down ordinary jobs—a non-services job. That is one way of augmenting recruitment All of us in this place, regardless of our political persuasion—if we care about the defence of the realm, if we care about our armed forces, which I am sure everyone here does—have a duty, as Members of Parliament, to do everything we can to encourage recruitment by talking to our constituents and talking to what we call modern studies students in Scottish schools, to say, “Here is a career option you might like to think about. ”
