ParlaMint-GB_2021-04-13-commons.u1	What progress his Department has made on improving the health service capital estate.
ParlaMint-GB_2021-04-13-commons.u316	It is a great pleasure to speak in this debate and to follow the hon. Member for Glasgow Central (Alison Thewliss), principally because I can say how wonderful it is that the Scottish people have enjoyed the benefits of this great British vaccine success. It has been enjoyed by the entire United Kingdom, and funded by our deep commitment to UK life science, which comes from the United Kingdom Government. The great Scottish cluster benefits from that hugely. I was surprised not to hear the hon. Lady accept and regret the fact that, had the Scottish Nationalist party succeeded in persuading the people of Scotland to leave, they would not now be enjoying the vaccine security that they currently are. It is a wonderful thing. We are stronger together in health as we are in economics As my right hon. Friend the Financial Secretary put it so eloquently at the start of this debate, covid has been not just a health catastrophe, a global pandemic on a scale that none of us in this generation has seen before, but an economic catastrophe. It has been an economic shock to this country and to the global growth engine, which is not yet over. It is a sign of the generosity of the Treasury’s support that it will be only when the furlough programme, which has been rightly extended, ends in the autumn that the beginnings of the full reveal of the economic damage will strike us all. It is for that reason that the measures in the Finance Bill and in the wider relief that the Government have put in place are to be so welcomed and are so important I will, if I may, start by echoing the comments of others and by thanking the Chancellor and his teams—both his ministerial and official teams. It is not that common to praise Her Majesty’s Treasury in this Chamber, and particularly not for moving with speed, compassion and an instinctive desire to spend money on behalf of the health of the British people. This happened both in the economic crisis in the crash, when the Treasury moved at pace over one weekend to put in place a phenomenal package to prevent the meltdown of the City of London, and in this crisis. Indeed, it is barely possible to think that, a year ago, the Chancellor stood here and took the nation by surprise with the pace, compassion and speed with which he announced his package. The fact that more than 1 million jobs have been furloughed and protected and £800 billion has been spent in immediate relief is an absolute cornerstone of the fact that the economic recovery that we are now beginning to see is so strong.
ParlaMint-GB_2021-04-13-commons.u317	The hon. Gentleman makes a comparison between the Treasury’s response to the covid crisis and the Treasury’s response to the last financial crisis. I wonder, therefore, whether we ought to be blaming the enormous deficit and debt now on Conservative profligacy or whether we will finally accept that, in 2007-08, as now, the Treasury did exactly the right thing to prevent the economic situation being even worse than it would otherwise have been.
ParlaMint-GB_2021-04-13-commons.u318	The hon. Member makes an interesting point that I relish responding to. My praise was for the Treasury in moving at pace to solve and sort a crisis incubated by the last Labour Government in leaving this country deeply vulnerable as a result of a whole series of measures put in place during the Blair and Brown years, not least the smash-and-grab raid on our pensions and the foolish and reckless deregulation. The Treasury moved quickly to solve a crisis, but I am not claiming, at the same time, that the Government of the day were not responsible for incubating that crisis. They are different points.
ParlaMint-GB_2021-04-13-commons.u319	May I remind my hon. Friend of a fact that he will know well? The leverage ratio of the British banking system was 20 times equity for 40 years until the year 2000, after which it went up from 20 times to 50 times in seven years under a Labour Government.
ParlaMint-GB_2021-04-13-commons.u320	I thank the Financial Secretary for pointing that out. I am tempted to remind everyone that the former Chancellor of the Exchequer and then Prime Minister sold the gold at a record low and various other things, but I shall not be distracted—I simply record that—and focus on this Budget. I will not list all the measures in it, but I want to highlight one or two that the people of Mid Norfolk and I particularly welcome and then highlight three points that we need to think about as we seek to drive a powerful recovery I particularly welcome the measures in the Budget for the self-employed, who, in the first part of covid last year, were hit hard. Many of them were living at risk, hand to mouth and on each month’s proceeds, without the stability of a company behind them There is also the support for apprenticeships and traineeships. In Norfolk, when the furlough ends, we are expecting to see between 30,000 and 50,000 unemployed. The Government have rightly moved quickly to make sure that a very powerful skills and training pathway package is in place, so that people who have left old jobs that have not survived this accelerated crisis—it has accelerated much of the challenge on the high street—can quickly find jobs in the new economy that we are creating I want to highlight the £700 million package for the arts, culture and sport. In particular, we need to support the artists and creative people at the heart of those industries, not just the buildings. It is that genius—that creativity—which is so key to the British instinctive creative spirit, that we need to support. Rather too many of our great artists are working in all sorts of jobs and seeing their artistic careers disappear. We need to make sure that we keep them busy and get them back to work On levelling up, I highlight the Government’s phenomenal package of support, rightly making the crisis not just a moment to prop up the pre-covid economy but to drive growth out. The 45 town deals and the eight freeports are genuinely transformational for places such as Teesside that have been left behind by successive Labour Governments, who ought to have been representing them better. There is the move of the UK infrastructure bank to Leeds, the levelling-up fund, the community renewal fund, the Help to Grow for SMEs, the future fund and the substantial commitment to net zero and the green infrastructure that we need for a proper recovery. This was a Budget not just to repair the damage of covid, but to lay the foundations for a more sustainable and sustained economic recovery, creating jobs and opportunities for generations to come. I welcome it particularly for that reason That financial package is allied with the extraordinary success of the UK life sciences community, and perhaps at this point I could, as a former life sciences Minister, pay tribute to its extraordinary work. In particular, there are the scientists at Oxford and AstraZeneca, to whom we owe so much, and in Norfolk, there is the work of the Norwich Research Park and the Quadram Institute, which has done pioneering work in some of the genetic sequencing. At the same time, I welcome the work of the vaccine taskforce, led by the redoubtable Kate Bingham, with whom I know the Financial Secretary has a strong working relationship. I am tempted to channel my inner William Hague and remember the time when he commended Yorkshire for having more gold medals in the 2012 Olympics than France. In fact, he went further, saying that Mrs Brownlee had won more gold medals than France in those Olympics, and I do not think any couple has done more for the UK health economy than the Financial Secretary and the head of the vaccine taskforce. I genuinely believe that this package is responsible, responsive and lays the foundations for a resilient set of public finances. The challenge now is to get the growth that we need from the private sector to build a really sustainable recovery, and I want to turn to that and make three key points. First, if we are really to escape debt—the debt legacy from the crash in 2007-08 and the debt legacy from covid—and to build a clean, green, smart economy, we need not just to get back to ticking over with 2% to 3% growth; to get to 4%, 5% or 6% growth, we will have to be able to host, or incubate, economies growing at 100% a year. That is the key to growth in this economy. We cannot escape debt by building over the whole of the south of England or building over any last rural area around Cambridge. To support growth, we have to make sure that we grow the economies that will grow our economy, building back better one local economy at a time and one sectoral economy at a time. To avoid the boom and bust of the City, housing and retail cycles that have left us in this state, the Treasury is absolutely right to commit to the deep infrastructure investment for tomorrow’s growth sectors. I am delighted that after my short period in the wilderness, the Prime Minister has asked me back to lead his taskforce on innovation, growth and regulatory reform to look at where, as we come out of covid and seek to lay the foundations for this recovery, free from the European Union’s regulatory frameworks but still able to trade with its market, we may be able to strike a blow for bold innovation and regulation for innovation I want to highlight some sectors that are growing spectacularly and that, if we were to invest strategically, would help to grow our national economy in the same way. The broader bioscience sector includes not just pharmaceuticals but the bioeconomy sector of food, medicine and energy, and, in particular, areas where those three support each other. In Norfolk I recently sat in a Lotus built at Hethel Engineering Centre that was powered by a Formula 1 low-carbon biofuel made by genetically modified bugs breaking down agricultural waste. That is what I mean by bioscience and the bioeconomy. In this century, it is biology and bioscience that will drive growth globally, just as physics did in the last century and chemistry in the one before. We are a phenomenal powerhouse in the biosciences, and if we invest in that, support it and commercialise it better, we will grow the industries of tomorrow Similarly, in nutraceuticals, where pharmaceuticals meet food and nutrition, there is a whole range of new crops that support growth and crops that are drought resistant and disease resistant, such as crops we export to Africa to help drive sustainable development. In biosecurity, and plant, animal and human health, we share much of the genomic sequence with most of the animals that we rely on in our agricultural system. There are huge opportunities for us to breed out susceptibility to disease and traits that will lead to huge suffering. There is a huge opportunity to harness genomics for the benefit of animal welfare, as well as progressive agriculture, in artificial intelligence, in immunotherapy, in space, in biofuels, in carbon capture and storage, and in biodiversity investment. These are huge sectors that this country is poised to grow into substantial industries, creating jobs and opportunities for tomorrow. If we get the regulatory regime for this right, which Brexit gives us an opportunity to do, and, as the Treasury is doing, we invest in the deep infrastructure and create the right commercial environment, I genuinely think that this is a moment when we could unleash a new cycle of growth, so that we look back at this, yes, as a crisis, but also as an opportunity, such that future generations will thank us for getting us off the boom and bust cycle of over-reliance on short-termism, the City, housing and retail booms, and laying the foundations for serious global growth based on technology transfer Secondly, from the perspective of rural Mid Norfolk—not 40 miles from Cambridge but at times feeling like 100 miles, or 100 years, from it—the small towns are fundamental. That is why I welcome so much the 45 town deals in the Budget. I hugely welcome all of them and the work that is being done. However, it is vital that as the Treasury launches these funds, we also think about how we can make it easier for the places and communities that have often been left behind because they do not have the resources of a metro Mayor or the big capacity to access multiple Government funds. Somewhere in the mix is a role for what I might call local regeneration corporations—small, fleet of foot, locally place-based public-private partnerships with powers to access money for multiple funds and deploy them over a five or 10-year plan to drive transformational local change and to pull in private finance alongside public. They would have the powers to do some compulsory purchase, to move in quickly and regenerate land left fallow after covid, to embrace some of the opportunities of land value capture and tax increment financing, and to raise infrastructure bonds and finance. Many investors around the world would love to contribute to and have a stake in this British recovery. Many places around our country will not be able to access on their own sufficient finance from the Treasury. We need to make it easy for them to drive local engines of growth that will go on in decades to come, in a similar way to the successes of the London Docklands Development Corporation, the Tyne and Wear Development Corporation and the County Durham development corporation in the ’80s and ’90s, which were so transformational.
ParlaMint-GB_2021-04-13-commons.u321	My hon. Friend makes a very good point about regional economies. On engines for growth, does he think that regional mutual banks might be part of the solution? They are very effective in places such as Germany and the US, focusing on regions, making sure that SMEs get lending into the productive parts of our economy. Would he look at that as part of his remit on regulatory reform?
ParlaMint-GB_2021-04-13-commons.u322	With pleasure, and I can go further. My hon. Friend is typically astute and on the money—absolutely. It is true that in the pension funds of this country, we invest remarkably little in equities, remarkably little in small company finance and remarkably little in our own infrastructure. I am not for a minute suggesting that Norfolk County Council should put all of its money into the Cambridge to Norwich railway, although I think it would be quite a good investment, but it would be an awful lot better than finding it had quite a lot in the Iceland bank during the crash, where we lost a lot of money. There needs to be a reasonable balance. I think a lot of people in this country would quite enjoy having a stake in their own infrastructure People have season tickets. What about also having a share in the mutual railway company and a share in infrastructure that they are helping to fund and that they rely on? That is part of the revolution of place-based capitalism—one might even call it stakeholder capitalism, if one were on the Opposition Benches. We can call it what we want, but it is about giving people a stake in their own economic destiny The third area that I wanted to highlight is the importance of global markets. If we are really going to become an innovation nation, home to these incredibly exciting technologies that will drive tomorrow’s growth, we need to make sure we are better connected to those emerging markets around the world, which are growing at 10% or 20%. As the Foresight report highlighted, global population growth means that by 2050, we are going to have to double food production globally on the same land area, with half as much water and energy. That is a phenomenal global grand challenge, but it is one that this country is well positioned to respond to, with our historic strengths in agricultural science and technology and the biosciences I have talked about The real trick is how to link our leadership and innovation and commercialisation in the City to global markets. I suggest that our liberation through Brexit from the European trading structure, challenging though it is in many ways, does create an opportunity for us to embrace variable tariffs. Imagine if you will for a moment saying to countries in Africa, “Look, we are not going to charge you 40% on food tariffs, like the European Union—that is immoral. We will reduce it to 5% or 10%, but 0% is only for those who are growing and producing at the most responsible and progressive standards—the very highest standards of animal welfare and food quality. We will help you to do that by exporting the technologies that we have developed here using our aid budget. ” With those commitments to growth and local places, and to globalisation, this is an opportunity, given what the Treasury has done, to make this crisis a genuine moment to unlock a new cycle of growth for the benefit of this country and generations to come.
ParlaMint-GB_2021-04-13-commons.u323	Budgets and their associated Finance Bills give practical meaning to the political aims of Governments. Manifestos and the rhetoric of party-leading Members and eventually the Queen’s Speech are the mechanisms used to describe the society that the governing party aims to construct, but it is its Budgets and its Finance Bills that are the tools by which the foundations of that society are laid. What we can discern from this Finance Bill is that, despite all the rhetoric from the Prime Minister, and all the personalised, personally signed social media promotions by the Chancellor, the society they want to build back to and to return us to is, in essence, the same pre-covid society of insecurity and inequality that left us so vulnerable to the pandemic I have heard the Prime Minister and the Chancellor claim that we have only been able to meet the demands of a pandemic because of the so-called strength of the pre-covid economy, so it is worth reminding ourselves what the pre-covid economy was like. Some 4.2 million of our children were living in poverty—30% of children in this country. Rough sleeping had more than doubled. Food banks were handing out 1.5 million food parcels a year. Nearly a million people were working on zero-hours contracts. Going into this pandemic, the NHS had suffered the longest funding squeeze in its history and there were 100,000 vacancies, including 40,000 nurse vacancies. Social care was even worse, with £8 billion taken out of social care budgets since 2010 and, according to Age UK, 1.5 million of our older people not getting the care they needed. The existential threat of climate change was effectively ignored, with the Government hopelessly off target to secure even the modest goal of net zero emissions by 2050 We cannot stand by and let this Government return us to all that. If this Finance Bill is to have any relevance whatsoever, it must address those issues, but also the impacts and challenges presented by the pandemic, which has exacerbated many of those issues of the pre-covid economy Unemployment is forecast to hit 6.5% this year. Introducing the furlough scheme without conditions enabled fire-and-rehire employers to cut wages and conditions of employment. Low wages and inadequate sick pay have resulted in around 750,000 households being behind on their rent or their mortgage, and millions more are behind on basic household bills. With the eviction ban ending on 31 May and, realistically, no action on debt from the Government, we risk a surge in evictions leading to more homelessness Public services remain stretched, in many areas to near breaking point, getting through only by the commitment and dedication of often underpaid and still undervalued staff. Half of all care workers earn less than the living wage—the real living wage. As my hon. Friend the Member for Ealing North (James Murray) said from the Front Bench, the Government clapped for our key workers, yet now they are rewarding millions of them with a pay freeze or an insulting 1% rise. Inequality was rising before the pandemic, and the pandemic has only widened it The Government’s response, contained in this Finance Bill, has nothing to do with building back better. Some have suggested that, because the Government have been forced by the pandemic into large-scale spending and borrowing and corporation tax rises are now mooted, the Chancellor is implementing the policies advocated by Labour in its 2019 manifesto. Nothing could be further from the truth. It is not the rhetoric that is important; it is the substance. Without structural change in our economy that fundamentally shifts the balance of power and wealth in favour of working people, our society will simply replicate the inequality and injustices of the past This Finance Bill demonstrates that it is largely the same old Tories and the same old Tory policies taking us back—building back, but not better for the many. If we look at the evidence from the Budget and in this Bill, far from addressing the mounting poverty in our society, the Government are not only cutting universal credit but freezing the tax thresholds of the low paid and doing nothing for those who do not even earn enough to reach the threshold On low pay, the Government have already failed to meet George Osborne’s much-heralded target of a minimum wage of £9 an hour by 2020, and they are imposing a pay freeze on many of the very people who have helped to see us through the pandemic. To compound that disregard for people struggling to get by on poverty pay, there is also nothing in the Bill that discourages employers from using brutal fire-and-rehire tactics to force through permanent wage cuts The timings of the Bill’s tax proposals betray the reality of the Government’s attitude to inequality. The Bill pushes through a tax threshold freeze for low and middle earners but delays corporation tax increases, which there is already speculation could be dropped in a pre-election giveaway to business at some stage in the future. Plus, the Bill contains no action to fulfil the much-publicised proposals to equalise the rate of capital gains tax with income tax. The Government have talked about levelling up, but Tax Justice UK’s analysis demonstrates that 1,600 of the wealthiest Londoners made more in capital gains than the entire north of England. Instead, the Bill proposes super deductions tax reliefs—a huge giveaway of £25 billion to large corporations As we have debated in this Chamber, tax reliefs have a long history of corporate abuse and failure to meet their stated objectives. I remind Members of the cross-party debates we have had on the issues around the entrepreneurs allowance, the patent box and the tonnage tax, to name just a few of the allowances that have failed to deliver and been open to abuse. Unless legislative protections are put in place, there will be huge opportunities for tax abuse and waste, and a level of corporate looting that could make the billions at stake in the crony contracts and the Greensill scandal look like chicken feed in comparison Similarly, previous track records demonstrate that the Bill’s proposals for freeports will, unless strictly regulated, open up a vista of tax abuse, wage undercutting and the drainage of investment from surrounding regions. It cannot be right that the Government’s freeports will be in place before the Office for Budget Responsibility has done any assessment of their merits. As Tax Justice UK has pointed out, the Treasury does not even have confirmed costs for this policy, despite the Government already announcing the eight freeport sites Also, nothing exposes the vacuity of the Bill more than its real failure to address the existential threat of climate change with firm action. There is nothing in the Bill that dictates this priority and the scale of investment and action needed to address the crisis of climate catastrophe that we now face. If there is one thing that people have maybe begun to learn in recent months, it is that the promises of the Prime Minister and the policies of the Chancellor do not generally coincide either with reality or, as some have alleged, with the truth This Finance Bill evidences starkly the level of corporate capture of this Government. This is a Finance Bill for the corporations, not the people. Before the much-heralded corporation tax rises ever happen, corporations will be compensated with huge tax reliefs, including the massive £25 billion tax giveaway to corporations paid for by tax rises on working people. At the same time, £15 billion of cuts each year in departmental budgets will continue the austerity that has undermined our public services over the last decade. So, far from building back better, this Finance Bill lays the foundations for widening inequality and continuing a low-pay, insecure work economy, complemented by huge potential for tax abuse and with crony capitalism virtually embedded in our economy. The test of the Government’s purpose in the Bill will be their attitude to the amendments that will be inevitably be tabled to protect the lowest paid from the stealth tax increases of threshold freezes; to ensure that tax reliefs are not used as methods of tax abuse; to make unearned wealth taxed at the same rate as income from work, as was proposed by the Government; and to prevent ministerial interference, tackle low pay and exploitation and ensure that responsibilities to tackle climate change are upheld. From their attitude to those amendments, we will see whether this Government are a Government for the people or, as I suspect, a Government for the corporations.
ParlaMint-GB_2021-04-13-commons.u324	I welcome the Bill. It is worth trying to get under the skin of Budgets, because it is so difficult. There are so many documents, there is a huge build-up, and large parts of it are incomprehensible to anybody other than the Financial Secretary. As Members of Parliament, we have to try to get under the skin of what, fundamentally, is going on here—what are the Government trying to do with the key measures In my view, the Chancellor is fundamentally trying to deal with one big thing that has not got enough attention in the House: our productivity problem. He is dealing with some of our deep-seated, deep-rooted economic productivity problems in two principal ways. The flashier one—and there has been some discussion of it today—is the super deduction, but I will not linger on that. In particular, I want to talk about the Help to Grow scheme, which is fundamental, transformative and can make a big difference to businesses across my constituency, Hertfordshire and, indeed, the whole United Kingdom On the super deduction, from listening to some of the criticism from Opposition Members, I do not think they really understand the nature of what is going on. One of the biggest economic problems that we have had for a very long time is a lack of private sector investment compared with our neighbours. That private sector investment has been further damaged by the covid pandemic for obvious reasons, as everybody appreciates. The super deduction is an inventive, creative, clever new way of turbocharging and increasing private sector investment and moving it forward so that we can help build back better during this very difficult phase that we are trying to come out of The hon. Member for Ealing North (James Murray) kept going on about tech companies. Well, I am afraid that he obviously has not read the detail. The super deduction is about plant and equipment. Plant and equipment tends to impact manufacturing businesses. I know that the Labour party is going through all sorts of internal difficulty and transformation at the moment, but it is a sad day when the Labour party cannot welcome measures that will benefit manufacturing businesses up and down this country.
ParlaMint-GB_2021-04-13-commons.u325	Furthermore, had the hon. Member for Ealing North read the detail of the Bill, he would know that the super deduction is on new capital equipment, not on second-hand capital equipment. So even the manufacturing of equipment, provided it is made here in the United Kingdom, will generate jobs and income for firms here in the United Kingdom, which will then, as the hon. Member for Hitchin and Harpenden (Bim Afolami) pointed out, increase productivity in the firms that invest in the machinery.
ParlaMint-GB_2021-04-13-commons.u326	I welcome that intervention. Opposition Members have also been saying, “This is only going to benefit the big companies, and the poor small companies won’t benefit. ” First, it does benefit all companies if they qualify. The smaller companies already have the annual investment allowance, which is continuing and has been welcomed by everybody, including by them. And—whisper it—big companies are important for our productivity too! Big companies employ lots of people, so it would be negligent of the Government to say, “We are not going to bring forward a measure that will help our economy because it might benefit big employers that employ thousands of our constituents. ”
ParlaMint-GB_2021-04-13-commons.u327	May I add another point to my hon. Friend’s list of positives? Lots of the money spent because of the super deduction will be spent in the supply chain, thereby helping SMEs.
ParlaMint-GB_2021-04-13-commons.u328	Indeed. I am having too much fun on the super deduction—I will talk about the Help to Grow scheme in a moment—so I shall finish on it. The super deduction is not something that the Chancellor just thought up as something that it might be a good idea to try; it is backed by fundamental economic analysis by people as eminent as Andy Haldane, the chief economist of the Bank of England, who I saw today has been appointed chief executive of the Royal Society of Arts. He is an incredibly able guy who has done a huge amount of work and thinking on this issue and is one of the many economists who have talked about investment being a key problem for our economy That brings me to the second key thing that the Budget will do for productivity: the Help to Grow scheme. So much of what we talk about in this place is the big numbers—the massive infrastructure projects, the huge budgets for the public services and all of that, which is all very important—but specific measures for small and medium-sized businesses often do not reach the Floor of the House. They are either hyper-localised in one’s constituency or they appear to be too big and too macro. The Help to Grow scheme could be really important, because it does two things that will directly help small and medium-sized businesses such as the family business that my wife runs, which employs five people, and hundreds of thousands of other companies like that First, the Help to Grow scheme helps to deal with our economic difficulty—pointed out by Andy Haldane, among others—which is that in most areas of the economy and of the country, we have an incredibly well-performing top 10% of highly innovative, successful companies, and we have our poorest-performing companies, and the gap between those two groups is greater than it is among all our competitors. That gap is around 80% larger in the United Kingdom compared with France and Germany. That is a significant economic difficulty for us. The question is: why is that the case The Bank of England’s analysis points out two key things among lots of different things. The first is technology adoption. In effect, the most successful, innovative companies adopt the newest technology and use it well, and the companies at the bottom end do not. The Government are trying to address that diffusing of knowledge throughout the economy and throughout different regions with the Help to Grow scheme. How? The Government are providing grants and assistance for productivity-enhancing software for companies in every single sector and the ability for them to get online help and advice on what technology to adopt. That could make a huge difference to hundreds of thousands of businesses all around the country and should be welcomed by everybody in this House The second aspect of our productivity difficulty is management and our utilisation of human capital—that is, the people who work in businesses up and down the country. How are we dealing with that? The Chancellor has an MBA from one of the best MBA schools—if not the best—in the world, Stamford, and went on to have a very successful career in finance. Not everybody will be able to do that or has the time and ability to do that, but everybody—right down to the small companies in each of our constituencies—can get huge benefit from access to high-quality management training provided by the very good local business schools up and down the country. The Help to Grow scheme gives the individual managers and owners of SMEs the ability to access that sort of knowledge, which is the sort of knowledge that most people running SMEs do not get If we combine that improved management capability—by the way, the Bank of England has identified that management capability is poorer in this country than it is in our competitors—with the adoption of technology, we have a ready-made mix of policies directly targeted to improve the most difficult aspects of our productivity problem. I do not know whether Help to Grow will deal with everything—I suspect it will not—but it will make a big difference, and it is a shame that so few Opposition Members have managed to understand and see the depth of seriousness of the Chancellor’s approach in that regard. That really needs to be brought out I shall finish—[Interruption. ] Yes, I know I should finish. Hanging over us today is not just as an unusually cold April but the spectre of inflation potentially coming back in the next year, two, three or four years. There are many people warning about this from all over the world. If inflation does come back to whatever degree, interest rates may need to go up in future. If interest rates do go up, lest the House forgets, the need for fiscal responsibility will not have gone away. Small rises in interest rates do not just affect households trying to get mortgages or businesses trying to expand or to get debt; they also affect the Government hugely. Underpinning the Chancellor’s approach across everything I have said and lots of other things that have been talked about is a core understanding that fiscal responsibility matters. This Finance Bill helps to keep that in check, reminds the House of that, puts us on the right course and deals with our productivity problems, and I welcome its Second Reading.
ParlaMint-GB_2021-04-13-commons.u329	I support the reasoned amendment in the names of my hon. and right hon. Friends. I hope to make a brief contribution, given the scope of the debate—I do not want to fall foul of your legendary patience and tolerance levels, Madam Deputy Speaker—but it goes to the heart of the concerns on the Opposition Benches that the Government are failing to address the many challenges faced by a whole variety of sectors across the country, especially in the light of covid I want to use one example in due course of the lacuna—not addressed substantively in the Bill—that may affect the finances of families and the broader health of the economy, which in turn impact on revenue raising. It is a proxy for the wider malaise that the Bill does not address I appreciate that the Bill is about raising revenue and not necessarily the spending of that revenue. In this regard, my call for spending on palliative care—the care that enables people to live life as fully as possible and enjoy precious time with loved ones before the end of life—is vital, but is not necessarily about revenue raising. However, I recognise that the Government have to some degree recognised how important the independent hospice sector is to our health and social care and the benefit it brings to the economy. The Government have recently used revenue from previous Finance Bills or borrowing to support the sector and enabled it to survive. Crucially, that eases the financial pressures on the families of those affected who need palliative care, but that is a proxy for the Government in this Bill not addressing the real needs of the economy The economy has been under stress and will continue to be so for a considerable period of time. We all have our experiences of families who are affected in one fashion or another, and palliative care and the support of people in that situation are part of that. It is time for the Government to recognise that they have to look after those in most need and use the benefit of the Finance Bill to raise revenue to support them The hon. Member for Hitchin and Harpenden (Bim Afolami) talked about productivity. Yes, we are one of the worst nations in the G7 for productivity. We are about 30% less productive than the Germans, about 20% less productive than the French, about 9% less productive than the Italians, and similarly 30% less productive than the Americans. There is nothing at all in this Bill in substance that deals with productivity issues. As much as the hon. Gentleman likes to say it, the Bill does not deal with that. It does not deal with job insecurity, low pay and low skills. It does not deal with inequality in education, social care and health. It talks about levelling up, but when, where and how? They are just phrases. There is absolutely no action and no route for the action that the Government wish to take over the years My example in relation to the health sector, and in particular the palliative care sector, is a proxy to say, “We should be investing our resources in supporting people in need, whether that is on job security or the hospice sector, because if we do not, it impacts on the economy in one fashion or another. ” I do not want to go on too much, so I will finish on this point. I would like to put on record my disappointment that the Government are continuing with the no amendment of the law provision. As the Hansard Society notes, if there is no amendment of the law resolution, then “no amendment”— to the Finance Bill— “may be moved unless the relief proposed is covered by one of the Ways and Means resolutions…Nor may an amendment…exceed any figure prescribed in the relevant resolution. ” In doing this year after year since about 2017, outwith elections, the Government are breaking a 90-year-old protocol. They are freezing Parliament out. Regrettably, this is yet again more chipping away at the powers of the House by the Executive’s sequestration programme, supported by obtuse Members on the Benches opposite. That is all I have to say on that matter.
ParlaMint-GB_2021-04-13-commons.u330	It is a pleasure to follow the hon. Member for Bootle (Peter Dowd) In considering the provisions in the Budget presented by my right hon. Friend the Chancellor of the Exchequer on 3 March and the ensuing Finance Bill, it must be borne in mind that they are being delivered against a backdrop of wholly unprecedented economic circumstances. The global economy has suffered a shock that has not been seen for almost 100 years. Set in that context, my right hon. Friend has generally struck the right balance in supporting people and businesses through the crisis, beginning the task of fixing the public finances and laying the foundation for an investment-led green recovery There are some very welcome initiatives: the extension of furlough to the end of September; two further grants for the self-employed, with an additional 600,000 people eligible; the restart grants; extending the VAT cut to 5% for a further six months, before tapering for another six; the extension of the business rates holiday for three months, before tapering for nine; the increase in corporation tax, but with a small profits rate retained at the existing level; the super deduction on capital investment; and the steps to promote pension fund investment in infrastructure From a Suffolk and Waveney perspective, the headlines in the Budget and the Bill are the Felixstowe freeport and the Lowestoft towns fund deal. These can be a catalyst for private sector investment. For the latter, where I sit on the place board, it is estimated that the £24.9 million of public funding will leverage in £350 million-worth of private sector investment. Previously, I was doubtful about freeports, concerned that they move business around, displacing projects rather than attracting additional investment. However, taking into account the unprecedented challenges of covid and the opportunities of Brexit, it is necessary to pursue policies that can help to attract footloose global investment, although, as we heard, the provisions of the policy will need to be looked at very closely A concern I do have is that the focus on freeports could lead to the abandoning of enterprise zones, introduced very successfully by my right hon. Friend the Member for Tunbridge Wells (Greg Clark) in 2012. The Lowestoft and Great Yarmouth enterprise zone has worked very well. Its provisions need some changes, so that it is properly aligned with the exciting opportunities emerging in the maritime and port sectors. It is important that that and other enterprise zones continue The Finance Bill paves the way for the levelling-up fund and the UK community renewal fund. There are elements in the small print that cause me concern. With the former, the Lowestoft and Waveney area, where there are significant areas of poverty, is in the priority 2 category, while with the latter there are no priority places in Suffolk, yet there are in the surrounding very similar counties of Norfolk, Essex and Cambridgeshire. This appears illogical and not properly thought through. I am writing to the Secretary of State for Housing, Communities and Local Government seeking clarification of the selection criteria Covid has hit hard the poorest in society. It was thus right that a year ago the Government moved quickly to introduce the £20 uplift to universal credit and to provide unprecedented levels of funding to local government for welfare support. I welcome the extension of the universal credit uplift to the end of September and the one-off payment of £500 to those receiving working tax credit. However, I am concerned that the impact of covid on the most disadvantaged will extend beyond the end of the summer and could well be heightened at the time that furloughing is scheduled to end The Government have put in place some very good initiatives, such as the kickstart scheme, the restart scheme and the lifetime skills guarantee, but there needs to be a strategic approach to providing people with a pathway out of poverty and there is a worry that some important stepping stones are missing. I urge my right hon. Friend the Chief Secretary to the Treasury to work closely with his Cabinet colleague and my constituency neighbour, the Secretary of State for Work and Pensions, my right hon. Friend the Member for Suffolk Coastal (Dr Coffey), to ensure that we have a welfare support system that is fit for the task ahead. This should incorporate proper long-term funding for local welfare assistance and synchronisation with the implementation of the national food strategy, and it should ensure that those on legacy benefits are not left behind In conclusion, the Bill provides the framework for meeting the biggest economic challenge in our lifetime, but there is a need to look more closely at some of the detail, whether the criteria for bidding to economic regeneration funds or the need for a strategic approach to welfare support. I hope that the Government will do that in the weeks ahead.
