ParlaMint-NO_2000-05-10.ana.ud84e27	The representative, Siv Jensen, will make a private proposal.
ParlaMint-NO_2000-05-10.ana.ud84e1023	I thank you for your answer. I am aware that offers have been evaluated for a long time, precisely because users in the most popular region in North Norway are not satisfied with the route offer. I am also aware that the department has claimed, among other things. in reply to the municipality of Harstad as late as April this year, that the transport offer is good enough, despite a request from the rapporteurs in Harstad, Alstahaug, Stjørdal, Brønnøy and Hammerfest. Many nationwide institutions do not have the opportunity and are subject to extremely high costs due to too poor an offer. So I'm going to be allowed to ask the supplementary question: Don't make this impression on the Council of State?
ParlaMint-NO_2000-05-10.ana.ud84e1032	Of course, in assessing whether it is appropriate to enter and purchase air route services, the Ministry provides information from the municipalities, county municipalities and user groups concerned. Of course, we always receive signals from users, but we have to make an overall assessment of whether it is appropriate to go in and buy air route services and then go away from operations on a commercial basis. It is this overall assessment that has provisionally concluded that it is not appropriate to enter and purchase air route services on those routes.
ParlaMint-NO_2000-05-10.ana.ud84e1037	I then have to ask what assessments are needed to ensure that from Stokmarknes to Bodø there are six daily trips/returns. From the Westphalia, there are routes across Evenes to Narvik, which from its small aerodrome have three daily journeys/return routes. What is it that allows these routes to enter the FOT system, but that Evens as the base aerodrome can't get an equally good offer?
ParlaMint-NO_2000-05-10.ana.ud84e1042	The representative of Østberg mentions examples of other offers in the region, and this is, as the representative of Østberg says, offers that have been established under the FOT scheme. It is, as I say, a total assessment that underlies whether to go in and buy services, and in this context I just have to repeat that we have not yet seen reason to go in and buy services in relation to Harstad/Evenes despite having purchased services on the routes to which the representative of Østberg refers.
ParlaMint-NO_2000-05-10.ana.ud84e1050	I allow myself to ask the Minister for Transport the following questions: «During the treatment of St.prp. No 64 provided for the majority of the Committee on Transport that the State's contribution to the construction of a new road to the Tjeldbergodden would follow the rules for grants to large district road projects at that time. [[1997-98]] The majority did not consider it reasonable that the grant should be covered by the national régime of the county, cf. Inner. [[1997-98]] S. No 229 Can the Council of State confirm that the Ministry will follow up the clear assumption of the Storting in the case in the proposal for the 2001 government budget?’.»
ParlaMint-NO_2000-05-10.ana.ud84e1059	State grants for road construction of the Tent Goods are provided for during the period 1998-2001. This is apparent from the Ministry of Transport's letter of 18 November 1997 to the municipalities of More and Romesdal and South-Trøndelag, and is in line with the majority opinion of the Committee on Transport at the time of the examination of the Norwegian Road and Road Transport Plan 1998-2007. Storing assumptions for the treatment of St.prp. No 64 for 1997-98 was used as a basis for allocating funds to the project in both 1999 and 2000. I assume that the assumptions of the Storting will also be followed up in the draft budget for 2001.
ParlaMint-NO_2000-05-10.ana.ud84e1068	I thank you for the answer – a positive response, and also an expected response from the Storting’s previous handling of the case. Based on that treatment, the question should really be unnecessary to travel today, because I take it as a matter of course that clear leaders from Stortinget are followed up by the department and the government. I understand that around the counties there is an ongoing consultation on proposals for the 2001 budget for transport, and, according to the County rapporteur in More and Romesdal, the opinion is that the directorate is still of the opinion that the reimbursement to Møre and Romesdal for the advance of the road to the Tent Goods should be covered by the national charts of the county, despite the fact that the issue was clarified in Stortinget. But now I perceive that Storting's intentions are being followed up and all doubts are cleared out of the way.
ParlaMint-NO_2000-05-10.ana.ud84e1078	I allow myself to ask the following questions to the Minister for Fisheries: ‘Oslo City Council has decided to implement the Fjordbyen project, which will contribute to promoting human-water contact, an urban development plan whereby large parts of port activities will be moved to other ports outside the city. How will the Council of State contribute to the State's ability to become an active driver in order to implement what Oslo City Council has adopted?'
ParlaMint-NO_2000-05-10.ana.ud84e1087	Oslo port is Norway’s largest port of transhipment of parcels and is of great importance for the transport of goods to and from all of Norway. For the treatment of St.meld. No 46 for 1996-97, Ports and infrastructure for maritime transport, cf. Inner. S. No 254 for 1996-97, Stortinget concluded that Oslo port, together with seven other ports, was to be classified as national ports in view of their importance for transport. My responsibility as the Minister responsible for port policy is to help the national ports fulfil the important role they have in a national transport context, while at the same time ensuring that the municipal wishes are properly served within the framework of the Port and Water Law. Therefore, the wish of the municipalities of Oslo to use port areas for purposes other than port activities cannot be seen independently of the port and transport situation in the region as a whole. The Ministry of Fisheries appointed on 24 April 1998 a sample to assess future port structure and port cooperation in the Oslo region. The committee’s position is printed as NOU 1999:24, Port structure in the Oslofjord region. The sample found that there should still be container handling in Oslo port, but that part of it can be met by improving the efficiency of the land use in the port and laying a roof on the development. The sample concluded that the growth of port activities should be distributed among the ports in the region, thereby reducing the environmental problems in each of the ports concerned for the management of container traffic. Future port developments should take place within the framework of inter-municipal port cooperation. In the municipal government decision of 19 January 2000, the municipality of Oslo assumes that it wishes to free up a maximum part of the port areas for urban development, and the municipality states, among other things. the desire to enter into cooperation with the State, county and relevant municipalities in order to arrive at regional port solutions. The implementation of the decisions of the City Council of Oslo under the provisions of the Port and Water Waters Act on the use of the funds of the port fund for port purposes is primarily the responsibility of the Municipality of Oslo. However, the Ministry of Fisheries has taken note of the municipality’s opinion on cooperation in this matter. In this context, I would like to point out that inter-municipal port cooperation is established elsewhere in the country and that some of these cooperations have been extended recently. Intermunicipal port cooperation opens up the possibility of establishing regional port solutions supporting the use of maritime transport as an environmentally friendly mode of transport. I would therefore like to follow up the invitation from the Municipality of Oslo for a dialogue, and have great faith that we can jointly find a solution that takes care of port activities and urban development.
ParlaMint-NO_2000-05-10.ana.ud84e1105	I thank the Council of State for the answer – but one of the core issues is that it is difficult to combine full container operations and urban development. The vision of opening the country's capital to fjord is a vision for the future. It is fully in line with the trend we are now seeing across Europe and in other parts of the world. It implies the realization of one of the main ideas of the Oslo Urban Government Urban Ecology Programme, namely to promote human-water contact. And Fjordbyen opens up great opportunities in that way. Once we have completed the medieval town and a new opera building, we will be able to have a whole new town with a full opening to the fjord, with docks and boating grounds, a guest harbour with its facilities, restaurants and cafes, commercial buildings and shops. You also have to bear in mind that Oslo is the gateway for hundreds of thousands of tourists. State Secretary Bergli has said that she sees it as a goal to go against the city council. Does the Council of State agree with its Secretary of State?
ParlaMint-NO_2000-05-10.ana.ud84e1114	I do not believe that Secretary of State Bergli has stated that there is a desire to go against the Municipality of Oslo, but the State Secretary has explained the restrictions on the use of the port funds. Of course, I agree with these statements. Otherwise, I will repeat what I said in my main reply: it is actually a national task to ensure that coastal transport and port activities can also be carried out in Oslo, as in other cities. But I firmly believe that constructive cooperation between the fisheries authorities, in this case, and the Municipality of Oslo, can help to find solutions that are to live with for all parties.
ParlaMint-NO_2000-05-10.ana.ud84e1121	There is nothing to suggest that you have to have container traffic in the Oslo centre, but it would be a great advantage if you could get the container business out of the center. There's competition all over Oslo Earth to get this traffic. Larvik, Grenland, Drammen, Moss and Fredrikstad have, among other things, said they were interested. Everyone has space and capacity, and the transhipment of containers on trailers in Oslo port before shipping to Alnabru is very expensive. I have been informed that the price of sending a container from New York to Alnabru is actually 30 pst. higher if it goes via Oslo port than if it goes e.g. via Larvik port and from there by railway to Alnabru. There is nothing to suggest that we should have this container traffic in Oslo port. I would like to receive a confirmation from the Council of State that the state will now be a driver to implement what Minister of State Sylvia Brustad says is important, namely local autonomy and local decision-making.
ParlaMint-NO_2000-05-10.ana.ud84e1128	Of course, the state will always be a driving force for local democracy to be as living as possible, but it is actually so that some disciplines are of national importance. I think it is exciting that more ports in the area around Oslo want to cooperate with more activity added to these ports. I want to repeat what I said in my main reply: I think it should be possible to find practical solutions to both transport needs and port needs while at the same time the vision of the future in Oslo port can be realized.
ParlaMint-NO_2000-05-10.ana.ud84e1139	This question, from Svein Ludvigsen to the Minister for Fisheries, will be answered by the Minister for Social Affairs who is directing him.
ParlaMint-NO_2000-05-10.ana.ud84e1142	I have a question to put to him – to me it is not so important whether it is the Minister for Fisheries or the Minister for Social Affairs, just the answer is positive. My question is: «Fischers who become pregnant before the age of 60 or during the period between the age of 60 and 67 shall not be paid a fisherman's pension to which they have paid an additional premium because of the coordination provisions with the right of citizens' rights. Fishermen who are not disabled receive the fishing allowance and are able to maintain professional activity. This gives the fisherman’s pension a distorted social profile that affects a relatively small group of fishermen. Will the Council of State ensure that the fishing allowance, which is intended to be a retirement pension, does not discriminate against workers rather than workers?’
ParlaMint-NO_2000-05-10.ana.ud84e1151	As other pension schemes in our public social security system, the fishing pension has been coordinated with the pensions of the people since 1967, and before that with the former disability benefit. All our regulated supplementary pension schemes, the pension scheme for fishermen, forest workers and seafarers, as well as the contractual pension scheme, are fully coordinated with the disability pension of the people. On several occasions, the Norwegian Fisheries Team has raised questions about the abolition of the coordination of fishing pensions with the disability pension of the population, including: in a meeting with me on 4 April this year. The issue was most recently assessed by the Stortinget in 1993, when some changes were made to the fishing pension, including: the retirement age was reduced from 62 to 60 years and benefits were increased. The size agreed at the time that it would be difficult to ease the coordination provisions especially for fishing pensions. The pension scheme for fishermen was adapted to the population’s fears in 1967. The aim of the fishing pension is to meet the pension needs of older fishermen aged between 60 and 67 who are not covered by the age and disability pension of the population. The fishing profession is demanding, and there is therefore an understanding that most fishermen need early retirement before age 67, so that older fishermen have the opportunity to step down. The fishing pension is a collective and cooperative pension scheme with significant co-financing through the turnover tax on fish. In the past, the scheme was also partly financed by the export charge on fish, and the current pension fund is largely built up by the export charge. In the past, the Member’s premium was a relatively small part of the funding. However, the membership fee has increased markedly since the closure of the 1993 export tax and the improvements in the 1994 system. In 1994 the Member’s premium increased from DKK 970 in 1993 to DKK 1500 in 1994, currently amounting to DKK 2880. The pension payment is significantly greater than the individual’s contributions to the scheme. The pension currently amounts to SEK 75 120 per year. According to the Fisheries Guarantee Fund, there are currently 65 fishermen who have earned entitlements in the premium for fishermen but who do not receive a fishing pension because of coordination with the disability pension of the population. In addition, 142 persons receive a reduced fishing allowance because they receive a classified disability pension. A total of nearly 1,800 fishermen receive a fishing pension and in 1999 pension expenditure was well over 90 million. kr. Without coordination with the disability pension, expenditure would increase by 7 million. kr. These are the costs that fishermen's pension can bear. The problem is the need for equality in relation to other state-guaranteed pension schemes that are coordinated in the same way. In addition, the fishing pension has a special access point to the maritime pension, and there are certain advantages in bringing together vesting time in the two schemes. The issue of abolishing the coordination of fishing pensions cannot therefore be assessed in isolation, but must be seen in conjunction with our overall social security system. In this context, it will be difficult to abolish the coordination provisions for the fishing pension. I can therefore give no promise about this.
ParlaMint-NO_2000-05-10.ana.ud84e1174	I am very disappointed that the Council of State is so negative to reconsider this, because, as the Council of State was also involved, this system is such that it discriminates against the weakest, namely those who become destitute. There is a relatively small group in question, but for that reason one should not be negative. It's not right, as the Council of State says, that the arrangement is solidarity. It is directly unsolvable. I'm going to give the Council of State and the President an example of this: a fisherman who is 60 years old, but who is so fresh and agitated that he can almost make a full annual income, maybe $200,000-300,000, will get his fisherman's pension of 1.6 G paid from 60 to 67 years, while a fisherman who gets sick and who has to pay attention to disability pension, maybe $100,000 a year, won't get any of what he's paid. Then we can't talk about the arrangement being solidarity. Then we have to realize that this is discriminatory. I ask the Council of State once again: does not the Council of State consider this scheme to be discriminatory and unsolvable?
ParlaMint-NO_2000-05-10.ana.ud84e1183	In a joint arrangement, I add that everyone is involved in paying into it, and then those who need it get paid pensions. Now this is a system of descent, as has been pointed out here, so for those who are dissatisfied from the past, it will not apply because they have already stepped down.
ParlaMint-NO_2000-05-10.ana.ud84e1188	I hear what the Council of State says, and I can only assert that the Council of State and I have a different view of what is solidarity, and what is stepping down. I'm noticing that what we're seeing now is that the weakest groups -- the few, and it's referred to 65 people, it's talking about seven million. kr – no payments are made, while the person who can be in more or less full employment can be paid 1,6 G, 100 000 kr per. years. The Council of State must realize that this is directly unsolvable. And when we talk about so few people and so little financial framework, I ask that the Council of State be willing to reconsider this, preferably in consultation with the Minister of Fisheries, so that this group can get a little more solidarity – and then I put my reference to solidarity to the foundation rather than to the Council of State.
ParlaMint-NO_2000-05-10.ana.ud84e1195	The complexity of this is not the extra 7 million that it would have led to if we had followed the proposal of the representative Ludvigsen, which is that all the other pension schemes are also coordinated. And if we are to relax on one, it will have a significant effect on many other schemes. Therefore, it is difficult to grasp this.
ParlaMint-NO_2000-05-10.ana.ud84e1203	‘There is considerable pressure on the coastal zone and a political priority task to ensure better access to it by the public. The Coastal Directorate has several attractive open-air areas that are no longer used for their original purpose. The adopted disposal instructions should provide a good basis for the free transfer of properties for outdoor purposes. This work seems to have stopped. Will the Council of State contribute to the progress of transfer work and the safeguarding of valuable open-air areas?’
ParlaMint-NO_2000-05-10.ana.ud84e1210	The Coastal Agency is currently responsible for the management of a number of coastal land properties, most of which are related to the fireworks service. The disposal of the properties of the Coastal Works shall in principle be carried out in accordance with the instructions of the State on the disposal of real estate. In this respect, it is stated that, as a general rule, disposal shall be effected after publication and on the basis of market prices. Thus, proposals for selling at a sub-price or disposal as a gift are to be submitted to the Stortinget. Structural changes within the fireworks service have resulted in some properties no longer having any value for use in the Coastal Works, and the Government has in St.meld. No 33 for 1996-97, the assessment of the closure of the lighthouse watch, laid down the following procedure and conditions for the disposal of lighthouses: 1st@item: inlistbox Fees will be collected.2. Current state, county or municipal institutions are contacted for possible transfer, preferably at tariff.3. If these are not interested, contacting non-profit associations and ultimately consider sales to private persons.4. Any transfer of first instalments will require maintenance. In the examination of that forecast, Stortinget ended up doing so at the Innst. S. No 186 for 1996-97. For information, it may be mentioned that the last few years have been disposed of for the first seven years. In addition, it is decided that the Filtvet guy will be sold in 2000. The rate of this guy is set at 3.5 million. NOK, but Hurum Municipality will take over the station for NOK 350000. The reason for this is that the municipality should establish a maritime cultural centre on the lighthouse, and also make the area around the installation available to local and local residents. In connection with the sale of the Filtvet Firstment to Hurum Municipality, the Ministry of Fisheries will introduce a materialised clause on use for non-profit purposes. Otherwise, it is announced in St. Prp. No 1 for 1999-2000 for the Ministry of Fisheries that during 2000 there will be a large-scale notification of the fireworks service. In addition to addressing areas such as manning, security, maintenance and administrative responsibilities, the notification will address issues related to the transfer and disposal of different lighthouses. Of course, an important element of the assessments to be made is to facilitate public access to the properties where this is of interest and is feasible. The government will therefore come back to Stortinget with a detailed assessment of the issue raised by the representative of Storing Kvassheim.
ParlaMint-NO_2000-05-10.ana.ud84e1236	It is positive that the Storting will be given a statement, as the Council of State now promises. I guess I'm familiar with St.meld. No 33 for 1996-97 and the criteria outlined for the disposal of properties, but there is also a 1997 disposal instruction stating that when there is to be a transition from one State operator to another, this should be possible free of charge. It is an experience for those working in open-air areas that, while cooperation between the Defence and the Directorate for Nature Management is working well, there are a number of delays between this Directorate and the Coastal Directorate. My follow-up question will be about it in the follow-up that we are promised, as well as a review of how this works between the Coastal Directorate and the Directorate for Nature Management, in conjunction with how other states, for example. The defence has practised the policy on the disposal of open-air property.
ParlaMint-NO_2000-05-10.ana.ud84e1245	Of course, the issue of the transfer of first instalments to other public institutions will be part of the communication promoted by the Storting. I want to underline one more thing, and that is that in addition to disposing of properties, transferring them to other agencies, private or public, we place special emphasis on these, which, after all, are cultural monuments, have a maintenance obligation on them.
ParlaMint-NO_2000-05-10.ana.ud84e1252	Government responses have been largely concentrated on quay properties, and it is such that a substantial part of the properties that the directorate has are related to fire. But these are also other properties, and there have been isolated cases where it has been a question of transferring these properties to the Ministry of the Environment of the Directorate for Nature Management, so that they could be used for outdoor purposes in general. I just want to make sure that one in the review that is announced here, does not narrow this down to just first-times, but takes along the total property portfolio that one has, and that may be of interest to the purposes in which I have been engaged.
ParlaMint-NO_2000-05-10.ana.ud84e1259	The message that will be provided will mainly relate to the lighthouse service. But I assume that a reasonable approach to this is that the conclusions drawn there are also used to address similar issues for other properties of the Coastal Plant where this is natural, if no other considerations would indicate that conditions are too different.
ParlaMint-NO_2000-05-10.ana.ud84e1267	I have the following questions for the Minister for Fisheries: «The herd of king crabs has largely destroyed Varangerfjord for fishing with yarn, as the fish get the yarns full of crabs with damaged yarns as a result. Today, only very limited research is carried out by royal crabs. In the fisheries negotiations with Russia last year, researchers in the Russian delegation proposed a catch quota of 300,000 crabs, which the Norwegian delegation did not accept. Why was the Russian proposal not followed up, and will Norway in future listen to Russian quota proposals?’
ParlaMint-NO_2000-05-10.ana.ud84e1276	The royal crab population is currently managed by Norway and Russia through the Norwegian-Russian Joint Fisheries Commission. The previous Murmansk Commission meeting in November 1999 discussed the issue of quota for royal crabs and agreed to set a quota of 75 000 crabs for 2000. I have been informed that last autumn Russian scientists went out to Norwegian fishing press in advance of the Murmansk meeting and signalled a desire for quota levels for royal crabs in the order of magnitude mentioned by the representative Bastisen in his question. However, I would like to make it clear that this was not an official Russian proposal to the Norwegian authorities. On the contrary, in the Commission meeting Norway proposed an increase in the quota, to which the Russians at that time were absolutely negative. Furthermore, it is important to be clear that in the negotiations between Norway and Russia, it is the negotiators who, through their mandates, have the power to discuss the level of allowances and negotiate a total quota for royal crabs, not the researchers. Of course, I cannot explain here what the parties to such bilateral negotiations have discussed. However, I can answer what I consider to be the real question of the representative of Bastisen, namely whether the Norwegian authorities want to increase the quota for royal crabs. I can then inform you that we have actually addressed this through a formal request to the Russian authorities in February this year. The issue will be addressed by the Norwegian-Russian Joint Fisheries Commission, which aims at an extraordinary meeting already in June. I can also inform you that the Ministry of Fisheries will send out an invitation to meet with interested parties to discuss all relevant issues in relation to the administration of royal crabs. The meeting shall be part of the process leading to a scheme for future Norwegian administration of royal crabs. The discussion at this meeting will be a new input as a background for the extraordinary meeting of the Commission in June.
ParlaMint-NO_2000-05-10.ana.ud84e1289	I thank the Council of State for the answer. I must admit that my question could have been a little different, but we got to the point. And that's what it's all about: Is it willing to increase the extraction of royal crabs? I have an additional question, and it goes on that the Russians in the 1960s put out crabs in the White Sea. Was there, then, a request from Russia? Was it accepted by Norway as a neighbouring country that they should put out this crab, which does not belong in the Barents Sea, and which has now spread down the Norwegian coast, has destroyed Varangerfjord totally for net fishing and spreads further down the coast? This is a problem. My question is, as I said, was this accepted by Norway? Is there any agreement that we accepted this alien element in Norwegian waters?
ParlaMint-NO_2000-05-10.ana.ud84e1298	I'm not aware that you had previous discussions with Norway until you put out royal crabs 30 years ago. However, what I have said in previous answers in the Question Time is that this is the situation, and as we today assess biodiversity, we would never have allowed this kind of alien organism in the type of biotopes that the Barents Sea is. On the question from the representative Bastesen about the willingness to increase the quotas, I answer yes from the Norwegian side. We see that this has created a significant problem, and we see that this crab is moving west at a rate that is very alarming.
ParlaMint-NO_2000-05-10.ana.ud84e1305	I thank the Council of State for the answer. It was like I was afraid. I do not understand the subjection that we are constantly going to show to Russia, which has introduced a new element in the Barents Sea that destroys fjords after fjords and takes the nutrient base away from the coastal fishermen. And then we're not going to reap from this. It can be converted from a nuisance to a resource. People can live well by fishing king crabs. The Ministry of the Environment has made a proposal to eradicate crabs, which is probably unrealistic. If you're going to do something like this, you have to start a big fish. The reason why the Ministry of the Environment proposed this is that the crab has a parasite that can attack codfish, for example. How does the Council of State address such a question? It is obvious that Norway has a special position here when the crabs are exposed to Norwegian interests, and in worst cases can be characterised as environmental crime.
ParlaMint-NO_2000-05-10.ana.ud84e1316	I can assure the representative Bastesen that Norway does not feel any subservience within the Norwegian-Russian Fisheries Commission. We're two equal parties. But we have come to an agreement on a certain extraction of crab, and we intend to stick to what we have agreed with the Russians, until something else is agreed. It would be very unfortunate if one of the parties to the agreement would open up a practice where the content of the agreement was not followed. I agree with the concern expressed by the Bastisen regarding the spread of this population. I've said that in the past. I think, like him, that it's not going to be eradicated, but we're going to do what we can to make sure that this isn't going to be a bigger biological experiment than it appears today.
ParlaMint-NO_2000-05-10.ana.ud84e1326	I have a new question for the Minister for Fisheries: ‘The newspaper Fiskeren, 28 April 2000, states that the spawning stock of Norwegian-Arctic cod has been reduced by 70 pst. last year. This is apparent from a note received by the Ministry of Fisheries from the Institute of Marine Research. Today, the tax pattern is largely concentrated on juvenile fish and must be characterised as unwise. Does this situation concern the Council of State, and what measures are planned to reverse developments?’
ParlaMint-NO_2000-05-10.ana.ud84e1335	Of course, Norwegian fishing authorities are very concerned about the cod stock in the Barents Sea. The latest figures from the Marine Research Institute show that there is reason to believe that spawning populations will increase until 2002 and 2003. The worrying thing is that the recruitment of the population has failed in the last two years. Should recruitment fail this year too, we have a very serious situation, in which the relatively good year classes from 1994 and 1996 must last three years longer than under normal conditions. The high level of taxation and the pattern of taxation, which now appears to target cod three and four years old, are not beneficial to the population. In addition, we may be in danger of approaching a colder period in the Arctic seas. In June of this year, Norway and Russia shall hold an extraordinary meeting of the Joint Norwegian-Russian Fisheries Commission. For this meeting, new stock assessments and advice from the International Council for the Exploration of the Sea, ICES, will be available for Norwegian-Arctic cod and hay. At the Commission’s last year’s meeting, a level of cod quota of 390,000 tonnes was agreed for 2000. According to the stock projections underlying the 2000 counselling, this means that during the course of 2000 the spawning population will increase from 275 000 to approx. 350000 tonnes. This is still below the recommended level of 500000 tonnes. There is also agreement to build up the spawning population to over 500000 tonnes and to further reduce fish mortality over the next few years. The Permanent Committee on Management and Control under the Joint Norwegian-Russian Fisheries Commission has been entrusted with preparing, in advance of the next Commission meeting, a proposal for a framework for the coordination of various regulatory technical measures to improve the pattern of taxation. I would also like to remind you that since 1997, there have been strong reductions in the total quota for Norwegian-Arctic cod. In total, reductions of 460000 tonnes have been made over the last three years. The last key results indicate that further cuts in the quota may be required. Otherwise, it is not as it is said here, that the spawning stock of Norwegian Arctic cod is reduced by 70 pst. last year. On the other hand, an index for this file is observed which is 70 pst. lower. This means that the absolute levels of spawning stock cannot be read directly from these indices. Here I would like to refer to the meeting that is going on in the Arctic Fisheries Working Group, under the International Council for the Exploration of the Sea. The work here will form the basis for the stock analysis and the revised advice that will be available at the beginning of June.
ParlaMint-NO_2000-05-10.ana.ud84e1352	I thank the Council of State for the answer. I have to say with Petter Dass: «Should the cod fail us, what did we have»? That's the big problem. If the cod population in the Barents Sea is reduced so that it goes beyond the coastal settlement, we're out to drive. We have growing populations of seals, we have growing populations of whales, and we have strongly overfished – I would call it – on small fish in the Barents Sea. It must be obvious that an attack must be carried out where it is possible to attack. The reduction in small fish fishing is, of course, the making of a power cap, as well as a reduction in marine mammals, because if we fish down the cod stock at a low level and continue to maintain the same growth in the marine mammals, we are facing a disaster in line with what happened in Newfoundland.
ParlaMint-NO_2000-05-10.ana.ud84e1366	I agree with both Petter Dass and the representative of Bastesen that we depend on the cod population. That's how it has been, and that's how it's going to be in the future. I also agree with what is said that we should attack where it is possible to attack. It is clearly in the Norwegian interest to have an improved tax pattern on this important population. But at the same time, the tax pattern depends on several things. Among other things, the pattern of taxation depends on the strength of the different classes of the year. When we have two strong annual classes of juvenile fish in the stock available for fishing, we will inevitably get an increased pressure on these stocks. But I want to repeat what I said in my main answer: this should be reviewed at the next meeting of the Commission.
ParlaMint-NO_2000-05-10.ana.ud84e1375	The previous Minister for Fisheries reduced a sample to evaluate the situation already in sight. That Commission has – to say the least – boiled in the cabbage. There could probably have been recommendations if the work had been followed up. Central researchers who have done a good job in the whales were put on the clearing job, and it was an evaluation of what is really going on in the research community — and at all stock assessment. Will the Minister for Fisheries possibly blow the lives of the group that was disabled, and perhaps get to do the job that was started, which I so rudely said boiled out in the cabbage?
ParlaMint-NO_2000-05-10.ana.ud84e1382	As I mentioned in my main response, the International Council for the Exploration of the Sea will review the data on cod stocks as well as the new data that you have. I have full confidence that this environment has the necessary competence to ensure that we get the best possible scientific advice. Otherwise, I will always be prepared to discuss possible improvements in methodology with the researchers who are responsible for having this implemented today. And I'm sure that the same environment will have great benefit and interest in discussing this with anyone who has competence and insight in this area.
ParlaMint-NO_2000-05-10.ana.ud84e1389	Questions 18, 19 and 20, from the representatives of Brother Yngve Rahm, Lisbet Rughvedt and Per Roar Bredvold respectively to the Minister for the Environment, will be answered by the Minister of Justice on behalf of the Minister for the Environment, who has been removed.
ParlaMint-NO_2000-05-10.ana.ud84e1395	I would like to ask the Minister of Justice, on behalf of the Minister for the Environment, to answer the following questions: ‘The Kyoto Protocol provides for flexible implementation of each country’s emission obligations. Both the Kyoto Protocol and the Storting have established that these should be complementary to national measures. What strategy and what national measures has the Government put in place to meet our emissions obligations?’
ParlaMint-NO_2000-05-10.ana.ud84e1404	The government proposes that Norway should actively use the so-called Kyoto mechanisms, but we understand that their use should be a complement to national measures. The operation of the word ‘addition’ is one of the themes of the international negotiations. Like the Bondevik government, we do not want a numerical requirement for the use of the Kyoto mechanisms to be imposed. The government is working to further develop national climate action in order to achieve more cost-effective measures at home, in addition to those already realised by existing instruments. In particular, we're busy putting in place a national quota system. The length of time allowed for the quota committee to set up 10 days ago. The Government will follow up the timing in the light of the signals given by the Storting’s processing of the Energy Communication, the views expressed through the consultation process and the development of the EEA territory. We aim to return to Stortinget with this matter early next year. The Kyoto mechanism regulatory framework will be important for the design of the allowance system. This will be negotiated for decisions at the Sixth Conference of the Parties to the UNFCCC to be held in The Hague in November. It may therefore be appropriate to await its outcome, as the EU Commission also proposes in its work on the allowance system. Using the existing instruments in the field of climate change, such as the CO2 tax, the final treatment tax on waste, direct regulation – especially in the waste sector – and the agreement with the aluminium industry, we have already achieved reductions in emissions compared to what would have been achieved without these instruments. The State Pollution Control Action Analysis, presented in February, shows that there is room for significant national emission reductions to moderate costs. We expect that Norwegian business with a rational quota system will want to realise cheap measures at home, and that it will show great creativity and come up with solutions that we do not see today. The Government will further initiate the creation of a new programme for the development of gas power plants clean-up technologies and intensified renewable energy deployment.
ParlaMint-NO_2000-05-10.ana.ud84e1419	I would like to thank the Council of State for the answer. It wasn't that much new. During the debate we had in Stortingen on gas power, the centre parties called for a concrete definition of the areas in which we had to expect to take the national measures. When the Workers' Party then – I hope that the Council of State has modified this somewhat after the Workers' Party came into government, it seems this way – added that Norway should be able to compensate approximately 100 pst. for emissions, inter alia: with reference to the construction of gas power stations, there are many industries, industries, etc. which are concerned about the possible increased burden that they must bear as a result of the release of others. Does the Council have any signals to industries or industries in Norway about where these extra compensations need to be taken if we are to meet our emission requirements?
ParlaMint-NO_2000-05-10.ana.ud84e1426	I do not think I have any new information in addition to what emerged from my reply. I might refer in particular to the State Pollution Control Action Analysis, which is currently going through opportunities for significant national emission reductions to moderate costs.
ParlaMint-NO_2000-05-10.ana.ud84e1431	Once again, I thank the Council of State for the answer. She said in her first response that there was a process in progress to define what lies in flexible implementation mechanisms and also national measures. But it is well beyond doubt that when we talk about ‘addition’, it really means that the main measures to meet our Kyoto commitments must be taken using national instruments. Have the Council of State considered the time aspect here, because it was not very uplifting in view of the progress of that process when we are actually going to be able to document the results of action taken in Norway in 2005? Does the Council have any views as to whether this timetable will hold? And when will you come back to concrete new measures, which are clearly needed?
ParlaMint-NO_2000-05-10.ana.ud84e1438	As far as instruments other than those included in a national quota system are concerned, it is of course the case that when the Government finds that it is able to propose instruments that can promote climate change, it is proposed to do so on the basis of an overall assessment. Of course, as far as the timetable is concerned, you will work as quickly as possible. But the most important thing must be to put in place a system that will work, and then one must in a way balance the use of time against being able to get to the system. I am sure that the representative is aware that establishing such a national system, and also adapted to a possible international system, is a demanding task.
ParlaMint-NO_2000-05-10.ana.ud84e1448	: I allow myself to ask the following questions: ‘Oslo Racing Festival is planning a car race in Oslo from 30 June to 2 July 2000 in the area from Oslo S to Gamlebyen. The Old Oslo Urban Committee has been strongly opposed to the event because of the associated noise problems. In 1999, the Riksantikvar was very negative about similar plans. Does the Council of State consider that the Old Town with medieval ruins and dwellings is suitable for driving?’
