ParlaMint-NO_2000-05-30.ana.ud944e69	The representative of Ingvald Godal, who has been licensed, has again taken the seat.
ParlaMint-NO_2000-05-30.ana.ud944e1061	That being the case, it is no. 6 ready-to-use.
ParlaMint-NO_2000-05-30.ana.ud944e1075	I've been tempted for the past few weeks to think that it must be difficult for some workers' party representatives to have two thoughts in their heads at once, at least to get them linked together in the practical policy. The new Labour Party government seems to have major problems in seeing the relationship between different parts of the policy, at least as far as the signals they send out are concerned. Both the country's Municipal Councillor and the country's prime minister, we really have to expect to have two thoughts in our head at once and to see the relationship between the work done by the Minister of Finance and the leadership of the Councils on the policies and choices of the municipalities. In the case of property taxes, it doesn't seem to be a fact. In the context of the Municipal Council of the CEECs, the Council of State signalled that the municipalities that did not have property taxes should now introduce it. At least they must not complain about the local economy until they have introduced property taxes. This was repeated by the Council of State at the time of the submission of the Community economic proposal. From the county meeting of the year a few days ago, it is reported that the prime minister sent the same signals on property taxes as the municipal minister has done. The government seems to have a crusade to impose property taxes throughout the country. It's a paradox when the property tax is one of the few remaining parts of local self-government. So this is the municipality's own decision-making room, the only decision-making space that they have left for tax, and that's the decision-making space that the government is now invading in a much more active and pressing way than the former governments have done. The people think the signals are clear. They shall focus on what is called the ‘will’ to generate own income — translated into practical policy: the introduction of property taxes in the allocation of discretionary means and the treatment of municipal budgets in the years to come. Most statesmen take up these relationships with the municipalities these days, with a few honourable exceptions. I have registered that the County of Westfold believes that this is an area of local self-government that they should not interfere with. I have also previously registered that the County Council in West Agder has the same position, and that he has therefore not wanted to enter into this relationship directly in conversation with the municipalities. But what's a bigger problem with what's going on right now is that municipalities are treated differently. There are no common guidelines. There is no legal basis for what you're doing, and it's still probably the case that this country is governed by law, and then it's the law, the law, the law isn't leading in budget notes or other places. The local People's Government is currently being tried by officials who are based on government signals. Another paradox is that the municipalities that are now under the most severe pressure of the Council of State are municipalities that have experienced that in recent years collapse decisions have deprived them of large income, first through the removal of company taxes, and then the same municipalities are pushed towards the introduction of property taxes. And the paradox is that the business community in these municipalities, which has already contributed heavily through their share of corporate tax to the municipality's economy, feels that because what they already pay into taxes has been deducted from the municipality, the municipality must introduce taxes on works and uses, i.e. the business sector, which in turn leads to an increase in the burden on business. There is a significant need to clarify what the home really is. There is a need to ensure that this is done in relation to a discussion of property taxes in a legal context. Thus, when the municipalities are to be imposed, this must be done through treatment in Stortinget, not through signals given only through government governance documents via the county officials. And it is important to ensure equal treatment in this area. In the context of the presentation of the municipal economic proposition, Professor Rattsø was out and raised expectations of high incomes towards the municipality. It was about 20 billion in income that municipalities could include in connection with property taxes. Well, it's good to know that the 20 billion in that case would be paid by someone. But even more important is knowing that it might not be like that at all. In fact, we have made decisions in this room, which means that in the years to come the municipalities cannot expect to get very much property tax, especially on the housing tax. The paradox is that while this pressure is going on from the Government, no one knows what the property tax will give the municipalities in the future, because the entire tax system relating to properties and housing and property tax are changing. Since the spring of 1997, the Ministry of Finance has been working on this. And that's where I find it hard to see that you can have two thoughts in your head that you can coordinate, before you speak from the Government. The core element of what has been put in place as the leadership of the new housing tax system is a settlement that was concluded between the Workers' Party and the Centre Party, a settlement on which the central government laid the foundations for the work they were going to do, a settlement I assume that – and I have seen signals from the Minister of Finance – the further work on the tariff system will form the basis. This agreement will result in much less income for municipalities, if what was promised before the 1997 elections is correct. Then there is also the pressure that is going on very unfairly. The agreement is based on the rapporteur's, the hobby architect and the survey manager Per Olaf Lundtigen's own assessment system, where it was initially said that under his accounting rules a standard dwelling of 150 m2 would be exempt from various taxes on housing in the years to come. There should be tax exemptions in terms of value added tax, property taxes and property taxes, and this housing tax system should form the basis for all three types of taxation. Part of us said that it's too good to be true, at least when the Workers' Party was in the deal – we don't believe it until we see it. This may be why the State Councils of the Labour Party do not have problems not taking this into account, they do not intend to implement it as it was said. But if they are to be believed in the agreement they have entered into, this in practice means that much of the municipality's income from property taxes will disappear. At the same time, it would be entirely illogical for a municipality to know that a new tariff system can be introduced within a period of one to three years, today to initiate tariffing according to the law under which they can apply the one-off tax law. The money they want to spend today on taxiing will be money out through the window, if there's now a new charging system. In any case, I have registered that the Minister of Finance of Dagbladet, in connection with the presentation of the revised national budget, says that he is planning to present this during the autumn. In that case, we are in a situation where the municipalities are forced to implement decisions that they do not know the financial consequences of in the future. They are also forced to take decisions on, and possibly start-ups, charging for a system in which the taxation rules will change, and a national tax system instead of a tax system, such as today, with a high degree of voluntaryity attached to the individual municipality, but where the framework for it is provided for in the Single Market Tax Act. Therefore, the Right believes that the Minister of State should give the reverse signal to the statesmen today, namely that municipalities that do not have property taxes and will therefore incur costs related to the introduction of property taxes through taxing, should stop that work until the Storting has been dealt with with the premises for property taxes and for the entire housing tax. The design of this on the basis of the agreement based on Lundtigen's model was such that the property tax to the municipalities was primarily to be based on so-called large dwellings, but should be socially thought about. The question, of course, is how much credibility this agreement will gradually have. But if that is the case, it will mean that the majority of the municipalities of the country probably have no more than a handful of dwellings that will be taxed, or will have a basis for property tax. In practice, the implementation of the new tax system will result in the likely cost of taxing more than the income that the municipality will receive in the future. The paradox is that while one has argued to remove e.g. corporate tax due to a disproportionate distribution effect, property tax will in the future have a disproportionate distribution effect with such a tax system because it will only be those municipalities that have extra rich people with large dwellings who receive some special income from this property tax. And although many believe that there are many kingdoms in Norway, there are still relatively few. It's possible the gain goes up in the spin. I think the Council of State should comment on these matters and give a clearer signal to the statesmen, and give a clear signal to the Stortinget about where the road goes in relation to property taxes for the municipalities, and not least to provide a better basis for imposing property taxes on the municipalities than is currently the case, as homes are not given in the form of laws.
ParlaMint-NO_2000-05-30.ana.ud944e1109	Municipalities may levy property taxes in accordance with the rules of the Property Tax Act. In 1999, half of the municipalities in the country used this possibility to collect property taxes. Municipalities may issue property taxes on properties in built-up districts and on works and uses. This means that there are some municipalities that cannot levy property taxes. Other municipalities may do so but choose not to avail themselves of this possibility of income. Property tax is a voluntary municipal tax, by which local politicians can decide their own use. However, I find it necessary to stress that poor-economy municipalities and inadequate welfare services have to take on seriously the economic potential of using property taxes. In the interpellation, the representative Erna Solberg stated that the property tax should not be deducted from the assessment of state transfers to the municipalities. This ratio was assessed by Stortinget in the context of the treatment of the municipal economicproposition for 2000. In the proposition, this is referred to as follows: «The income-balancing subsidy in the income system covers only taxes on income and wealth of municipalities. Taxes on ownership, concessional income and ownership income are among those income which, for that reason, is not included in the basis of the income-balancing grant. The guidelines state that this does not prevent the judges from taking such revenues into account in an overall assessment of the finances of municipalities.’;» In its attitude to this proposition, a Joint Municipal Committee states that it has taken note of the statement made by the Government on the criteria for the award of discretionary grants. In the setting, a minority, from the Advance Party and the Right, opposes the effect of the level of taxes and property taxes on the award of the discretionary grant. I interpret this in such a way that the majority of the Committee supports current practice, where property taxes as a voluntary tax are not included in the basis of the income-balancing grant in the income system; however, when allocating discretionary means, property taxes may be included in an overall assessment. I am committed to distributing the state transfers to the municipalities in the fairest possible way. This includes, inter alia: that all municipalities are entitled to be treated equally in the discretionary awards, regardless of whether they charge property taxes or not. A municipality with a property tax may retain its discretionary assets even if it has a better local economy or a better service offer than non-property tax municipalities. Similarly, a municipality without property tax cannot expect the State to enter into increased transfers to cover the income to which it has declined by not having property tax. The Ministry of Local Affairs receives from municipalities from time to time requests for increased state transfers because the municipality has financial problems. The general rule is that discretionary means can be allocated only on the basis of circumstances over which the municipality itself does not have control. Exceptionally, however, additional discretionary means may be given to a municipality asking for help to come out of a difficult economic situation for which it is responsible. In such a situation, I see it as reasonable whether the State assesses whether the municipality exploits its own income base before increasing transfers are made. The municipality's income from property taxes includes, inter alia: depending on the tax base, i.e.: the valuation value of the property. In the interpellation, the representative of Solberg claims that municipalities that are now charging will risk spending on taxiing being wasted. The interpellation refers to the fact that the entire tax system on property taxes on dwellings is undergoing change. This, of course, is the entire government aware of. The Ministry of Finance is working on following up the 1996 decision of the Swedish Property Tax Committee on a new law on property taxes. The committee proposed, inter alia: that the Equation values should also be used as a basis for the issuing of property taxes, but provided that a revision of the tariff base for different types of properties has to be carried out. In the follow-up work, there is a need to see the property tax in conjunction with the other parts of the tax system. The rules for charging, inter alia: residential and recreational property will also be of central importance in the design of new rules. It has therefore been considered appropriate to await the detailed design of new property tax laws until these issues are resolved. No decision has been taken as to when proposals for new property tax laws will be promoted for Stortinget. However, the aim is to propose a new tax system for housing and leisure properties to the Storting during this year. It will be assumed that the new tax system will also be the starting point for the issuing of property taxes, cf. the assumptions of the majority of the financial committee's position in 1997 on housing taxing and housing tax principles. As can be seen, uncertainties relate to the length of time that the applicable tax rules will have as a basis for taxing property of different types of property. It has to be assumed that the applicable rules will continue to be applied beyond the property tax year 2001. It must also be taken into account that the new tax system will cover only residential and leisure property. For other properties there will still be a need for tariffs set on a different basis than what I have now mentioned. The tax collection also examined the properties to be included in the property tax. The selection was of the opinion that the property tax should initially cover all real estate in a municipality and not be limited to properties in built-up premises and works and uses. The government will assess this question target in the further follow-up to the decision of the Property Tax Committee, as we see that the current legislation can be problematic today. That's why there's a lot of talk that you should change it at this point. In the interview, the representative Solberg asked the question whether I would now like to take an initiative to stop the efforts of the county councillors to introduce property taxes in new municipalities before the adoption and establishment of a new tariff system. I do not see this as a current issue, as it appears that the applicable tax rules will continue to be used in more years to come. However, I am concerned that all municipalities should be treated equally with regard to the issue of discretionary means and property tax. For this reason, it may be necessary to clarify to the county councillors how to address this issue in the 2001 discretionary award process. Finally, it is not difficult for the Government to have two thoughts in its head at once, as the representative Solberg claims. When the representative claims it, it may be related to the fact that the right does not like the answers they receive.
ParlaMint-NO_2000-05-30.ana.ud944e1146	The state councils are quite right that we don't always like the answers she gives. That's not why we believe that the government has trouble having two thoughts in its head at once. The problem is that we don't see what you're doing on the one hand, actually have consequences for how you deal with the municipalities. And I think it's weird that you just because you expect to have the same tax system in 2001, you actually think that there's enough ground to start taxing. I remember when Bergen in my time as a municipal politician had to retrace the homes in the municipality of Bergen. Then it only cost the reparation a place between NOK 100 000 and NOK 200000, so it was just a matter of repatriating the part that went on complaints and changes in part of the city. There's quite a lot of money there's going to be to tax homes. In principle, today's property tax law means that one actually goes and sets the rate of each dwelling. There's no easy way to calculate this, you just have to do that inspection and have people do it. And if there is a completely new tax system in 2002 or 2003, it means that most municipalities that adopt principle decisions to introduce property tax in autumn 2000 will have to do so in 2001, in order to base the tax rate on 2002. I do not know about a single municipality that has managed to collect money in the same year that they have decided to impose property taxes, because the taxiing takes so long. There are clear deadlines in the law on complaint handling, for example: the tariff for which the tariff is set. This means that it is quite unnatural for some municipalities to apply property taxes at this stage, when the entire tax system is under review. In addition, it is difficult, if one is to base the local economy in the years to come on a much higher income on the basis of the property tax law of today, when it is clear that the commitments made in the Central Party/Worker Party conciliation were to have much less house tax and that it will also have an impact on the amount of property tax. I think there are so many things in the air at the moment related to this that the Council of State should reconsider its position and rather say that although the Labour Party is basically for more property tax, at least you should not push the municipalities to throw money out through the windows, which is what you are doing, because in some municipalities you are afraid that you, for example, are. not to approve their borrowing next year, or because you are afraid that you need to show good will in order to be given discretionary means that you should actually get. Then I also think that the Council of State is drawing a great deal of distance. There is a difference between having guidelines that say that there is nothing to prevent the judges from taking income into account, about instructing the statesmen to take such considerations into account.
ParlaMint-NO_2000-05-30.ana.ud944e1161	First of all, it is not right that the government base the municipal economy on the fact that municipalities are now being pushed to collect property taxes, which are wasted on money. I'll take a distance from that. What the government and I have done during the presentation of the municipal economic proposition is that we have pointed out a potential that is in some municipalities using property taxes. We reserve the right to do that. And to re-use as an example the city we are now in, which actually does not get any particular discretionary means, and which will not be affected by any discretionary awards, there is no doubt that there is a potential – if the majority of this city wants to take money from property taxes – at a value of between 500 million. and 650 million. kr. Now it's possible that the majority of the city doesn't think it's necessary to use this on other things in this city. But I reserve the right to believe that it is a potential, which we will actually make the municipalities aware of. Then I perceive that there is a majority in the Storting that is behind the practice we have today in regard to the discretionary awards – right minus the Right and the Advance Party, who have expressed it during several discussions, also the last time it was discussed in the Municipal Committee in the Stortinget. But the rest of the political parties have said that they agree to that practice. It is important to stress that the usual transfers to the municipalities are, of course, independent of whether the property tax should be counted or not. In the case of discretionary awards, it is said, as is currently the practice, that it can be taken into account in a complete and comprehensive assessment. It's important to clarify. But I'm aware that some statesmen practice a little differently, so I see the need to be able to clarify to all the country's statesmen how this is to be understood by the 2001 discretionary award.
ParlaMint-NO_2000-05-30.ana.ud944e1172	I just want to follow up a little bit of what the council said. I attended a big - city conference here in Oslo, where the interpellant, Erna Solberg, was present. We got presented with the problems that the big cities have. There was not much disagreement at that conference on the problems of cities, mainly major drug problems, psychiatric problems – in Oslo in particular – and other things. Therefore, it is very surprising that when we in Norway's second largest city, Bergen, take in 300 million. kr in property taxes and trying to create some money themselves, they're making the opposite of it in this city, and they're taking away 600 million. kr. They're not helping to create their own resources. At the same time, the municipal economic proposition, which is actually supported by the state councils, has a capital add-on of 330 million. kr. I'm not quite excited about that supplement – we're going to assess it, so we'll see about the treatment of the local economy. But it is almost thoughtful that the state should go in with funds to a municipality that does not want to create its own funds – which we have the opportunity to do – in a range of 600 million. kr. The staggering arguments of Erna Solberg about the retakation in Bergen to NOK 200,000 do not really fit in with what Bergen takes in. I think it's a combination of a number of things, both taxing and property taxes. The starting point is that the representative Erna Solberg does not want any tax at all. But then she has to tell us in the big cities that have a problem, and in particular this city, how they should be able to participate and create values, which they have the opportunity to create through, for example. taxes on property.
ParlaMint-NO_2000-05-30.ana.ud944e1179	In Ot.prp. No 44 for 1974-75, About the Law on Property Tax to Municipalities, it is clearly stated that municipalities should be relatively free when it comes to the introduction of property tax. But the freedom referred to here can hardly be said to be particularly real any longer, as long as there is today a clear pressure from several local authorities to make maximum use of their income base before considering the allocation of any discretionary means. The extent to which property taxes could be taken into account, or must be introduced, before any discretionary award was last mentioned in St.prp. No 69 for 1998-99, Om kommunekonomien 2000 m.v. In this proposition, it states that: ‘this does not prevent the discretionary members from taking such income into account’ — the implicit property tax — ‘in a total assessment of the finances of municipalities’. This means that in practice the political majority has not considered it at all that municipalities should be relatively free to impose property taxes, as expressed in Ot.prp. No 44. Thus, the majority of the Committee, with the exception of the Advance Party and the Right, has stated here that the County is now in practice free to set the property tax as a criterion for the allocation of discretionary resources. It is, in my view, a great deal of regret that the property tax has actually become mandatory in certain situations. The party to the progress was therefore consistently opposed to the fact that the level of fees and any property tax could affect the allocation of discretionary funds from the county. However, there seems to be a current practice today where property taxes are included in an overall assessment of the allocation of discretionary assets, even if the property tax is therefore not part of the income system and is not included in the income-balancing grant. As a result, current practices are very unfortunate, both in relation to local self-determination and in relation to the past developments in the introduction of property taxes. In my view, this should have been taken more strongly as a result of the Council of State. The conclusion must therefore be that the municipalities are pressured to introduce this extremely unpopular property tax, even though – as I see it – it was originally not meant. The main point of the inter-pellant, that the Council of State should take initiatives to stop the country's further efforts to introduce property taxes in new municipalities before the adoption and establishment of a new tariff system, is widely understood in the Progress Party.
ParlaMint-NO_2000-05-30.ana.ud944e1195	It's a fundamentally important, but quite difficult question the interpellant takes up. Because when a municipality becomes poor enough, when care for the elderly and schooling is lir, and when the municipal register is sloppy enough, many municipalities have introduced property taxes, even though it has been very important for municipalities to depend to a certain extent on the competitive model that the absence of property taxes must be for a municipality. We can therefore easily conclude that municipalities with no property tax are not as scratched as most people who have seen fit to introduce such a tax. I think the problem is that the municipalities that have introduced property taxes see that some municipalities that have not done so are in a better situation than they are in. We in the Christian People's Party agree with the interpellant that the property tax should be a voluntary municipal tax. The municipalities must have an economy that gives them a minimum of freedom of action, and therefore the Christian People's Party and Center are so concerned with improving the municipal economy, because at the end of the day this is what it is all about. I think it's the main tool for the municipalities to have the freedom that we say they should have. The Christian People's Party is pleased that the municipal minister will clarify to the statesmen – as I understand it was said here – that the common features of the municipalities are and become independent of whether or not ownership taxes are imposed. I want to appreciate that this is done in such a way that it is not hollowed out by others, superior norms.
ParlaMint-NO_2000-05-30.ana.ud944e1204	Interpellant asks the Minister of State to stop the efforts of the county councillors to introduce property taxes in new municipalities before the adoption and establishment of a new tariff system. She believes it is unfortunate to put pressure on the municipalities as long as the fare system is changing. I suspect the representative Erna Solberg to sail under a false flag. She simply does not want to tax property. But I am pleased that the Right has registered that more and more municipalities are reminded by the County Council that the introduction of property taxes is an approach to ensuring budgetary balance. Then you can ask yourself, ‘Is it the county that is responsible for the state’s transfers to the municipalities, and so on, whether it is the Right or the State that has strongly contributed to the introduction of property taxes in more and more municipalities? Erna Solberg challenges the council to have two thoughts in your head at the same time. It seems to me that in the Right there is a need to coordinate what two thoughts it is appropriate to have in your head at the same time. I find it quite legitimate that the county council should draw attention to the fact that the municipalities that choose not to introduce property taxes cannot expect to be distributed when it comes to the allocation of discretionary funds. It is a sought-after idea that the municipalities governed by politicians who, on a more or less principle basis, are taxing property should be compensated for by discretionary means. SV believes that property is a natural tax item. Tariffs on property will represent a relatively constant size and are therefore predictable and well suited for municipal taxation. Property taxes also have a social profile. SV also believes that the establishment of a new tariff system must be speeded up, not only because the tariff system, as it is today, is both inadequate and incomplete, but also because it is unfair. However, it is even more unfair that many do not have the opportunity to pay property taxes, and it is not only because many are waiting for clarification in terms of the tariff system itself, there are unfortunately also major problems in interpreting the law, so that a few can determine which properties can be included in a property tax decision. Our message to the Council of State therefore is that changes must be made to the property tax law of the municipalities as soon as possible so that no property is excluded from the right and the obligation to provide to the community.
ParlaMint-NO_2000-05-30.ana.ud944e1219	I really didn't intend to participate in this interpellation change, but the post from the representative Leif Lund with the smoothing between the country's two largest cities was too tempting. I have a certain relationship with both of these cities. The representative Lund presented it as particularly commendable that the populace in Bergen have imposed as high a charge on the inhabitants as possible, and he even referred to this activity as value creation. I think that's a language that in general economic theory will be considered relatively separate. I also perceived the representative Lund there that it would be particularly useful that the elected representatives in the country's capital did not – as he said – make full use of the income potential. Yes, it is of course a possible reality that the normal thing for elected representatives should be to impose as many and as high taxes and taxes as possible on citizens. It's a reality that I for my part don't share. Citizens are not primarily taxpayers of the elected people, it is against the elected people who are servants of the citizens. However, if it is serious that we want to maintain local self-government in this country – and most people say that they do – it is very often said in practice that what is said about municipal self-government ceases to be valid at the moment when municipalities choose different solutions – and if municipal self-government has to have some meaning, municipalities must have access to choose different solutions, both on the income side and on the expenditure side of their budget. I understand that there is a general perception that we have gone far too far in overarching the municipalities, that we are ringing too much and that the freedom of choice for the elected people is therefore far too small. It is then difficult to understand that it may be a task for the Government through the statesmen to try further to narrow the freedom of action for each municipality. Fairness does not necessarily mean that everyone should go to the highest possible level of taxation. If we want to have an element of local autonomy, a city council must also have access to do with good conscience what the city council in Oslo has done.
ParlaMint-NO_2000-05-30.ana.ud944e1232	Property tax is a voluntary tax based on political decisions in each municipality. The centre party has as its starting point that when this is the case, it should not only be a theory, it should also be a practice. Then there is reason to ask questions about why it is that more and more municipalities consider property taxes. It does not primarily have to do with joy by printing new taxes, it has to do with the overall framework of the local government sector. There is currently no match between the tasks that the municipalities have, and the resources that are put at their disposal, whether we talk about school, health, care or culture. It's a situation that we're going to come back to in the context of the community economic proposition, but the reactions so far in relation to the proposition that is now being made are with and underline the need for an increased framework. What about the municipalities that with scarce frames say no to property taxes and ask the state for extra compensation? Recently, the Stortinget Oslo debated as a capital with its special problems, and it must be allowed to wonder that Oslo did well to say no to property taxes when they know that they could afford the funds any longer, not least for their most difficult-minded. Today, municipalities have several possibilities to draw up incomes, whether we talk about taxes, property, contracts with private companies or property taxes. At the same time, those who say no to property taxes say yes to a responsibility for solving some of the tasks themselves, and after the view of the Centre, one should not get in both the bag and the bag. But let me stress: we don't want to accept a sneaking-up of property taxes through direct calls from the statesmen. Our starting point is that we now need to focus on the frameworks, I should also like Right was and did so that we tend to have greater consistency between tasks and means. And we're behind the comment that we've been making, in a total context, and it's something other than for the individual states to challenge the municipalities.
ParlaMint-NO_2000-05-30.ana.ud944e1242	Governments have in many ways responded thoroughly enough to the challenges posed by the representative Erna Solberg in the interpellation. However, when I choose to take the floor, it is based on the interesting contributions of both the representative of Meltveit Kleppa and not least the representative of Wage. When the representative Meltveit Kleppa refers to the basic framework that causes municipalities to choose to use property taxes, it is good enough. But I think it's getting a little weird when, after a little over a month in the opposition, she focuses so much on the tight frameworks under which the local government sector is subject. The central federation of municipalities has stated on several occasions that the economy of the municipal sector has never been more difficult than today, after nearly three years with the Central Party of the State Council of the Ministry of Local Affairs. I've said that before, so we have a clearing job in front of us, and we're going to do that. The representative was indignant about Leif Lund's posts. I might have expected that the pay, with its excellent background, had a greater understanding of the challenges that the representative Lund pointed out. It is precisely in this city, where, because of the weak economy of the municipality, most of the groups that fall outside society have chosen not to take priority over the tax revenue that is available through the system we already have today. So it's a very large number of low-resource groups that fall outside of the system. The municipality cannot afford the services it would like to provide for too many of these groups. I understand that Oslo has major challenges and problems that need to be solved in a specific way, challenges related to the fact that the city is a capital, and that it is, I had almost said, the only big city we have here in the country – when we look away from Bergen, who has its challenges. But it should emphasize even more that those responsible in this municipality are looking at and using what kind of income opportunities they have. The one thing that must therefore have been a wish towards the Council of State is that, when you continue to work on the problem of property taxation, you look at the basis of this tax, which the representative of the SV was also involved in, and clarify which properties should be subject to taxation, thereby stimulating fair arrangements relating to this type of taxation.
ParlaMint-NO_2000-05-30.ana.ud944e1257	I record a strong desire from very many representatives in this Chamber to actually be local politicians here in Oslo, as they believe that they have so many good solutions to all the problems here, which is therefore the responsibility of local self-government. I think that the debate on Oslo in a way becomes a little absurd when you forget to say that the same representatives have participated in depriving the city of NOK 1 billion in income in a year – NOK 1 billion in tax revenue that the municipality had in the past and that is distributed to others. It's also the case that we have problems defining the objective criteria. I believe that the basis for the capital grant should be based to a greater extent on objective criteria than just being a compensation scheme for other things that have been excluded. I believe that the voters in Oslo get the vote on the parties that want to introduce property taxes. It should not be the mountains, those who vote for Leif Lund in Bergen, who will decide that the citizens of Oslo will pay more taxes! Perhaps the Oslo people should be allowed to decide for themselves, rather than perhaps the mountains represented by Leif Lund, to decide that choice for them. I think there's been some interesting backgames here. I have noticed that the Center Party believes it should not be a pressure. I perceived it so that even the Christian People's Party really meant it. I believe that in the context of the treatment of the municipal economic proposition, there is an opportunity to give some guidance for the premise of the county councillors on the issue. It is clear that there is an obvious pressure when both Prime Minister and Minister repeatedly mention the same issues. It does in many ways that the action space is perceived as very little for some municipal politicians. So to the question of a new tariff system, which is really a different topic, and which was the main theme of my interpellation. At the moment, there are so many changes that this is at least the wrong timing compared to putting a pressure in place. In fact, the right believes that the property tax is entirely voluntary. There are right-wing municipalities that have introduced property taxes and that believe it is important to carry out certain tasks, while others do not. In a way, we do not have any national policy on the issue of property taxes, except that there is a voluntary tax, and of course it is quite unreasonable that the state should push it in a situation where all the framework conditions are there. I think it's strange that the Center Party, since it's originally their system that is now the basis for further work, did not mention the fact that we were accused of, namely that we have a non-opposition as to whether or not to have property taxes. We were actually in favour of more property taxes for the municipalities than the Senterpartiet did, because Lundtigen's model would give so much tax relief. I think there is so much that flows in this matter, that the Council of State should think about it. At least the size should think about before we deal with the municipal economic proposition.
ParlaMint-NO_2000-05-30.ana.ud944e1274	When the representative Torbjørn Andersen claims that the Prime Minister and I have said that the property tax is a potential for more revenue, it means that it has become mandatory, it is wrong. What I've said is that property tax is still a voluntary municipal tax. But it can, as the previous government also practiced, take into account when allocating discretionary funds in an overall assessment of the overall economic situation in each municipality. There is nothing new about what has been the practice up to now. The representatives Meltveit Kleppa and Apelthun Seele were involved in the municipal economy in a broader perspective. I'll get back to that soon, and we'll have plenty of opportunity to discuss it then. Then the representatives Helge Bjørnsen and Odd Eriksen raised the question of the property tax should apply throughout the municipality. It's the government's intention to go through carefully and come back to as soon as possible. I see clearly that there may be a need to make that change, but we'll get back to that. With regard to the issue of the new tariff system, the Government will come back to the Storting with a proposal to do so during the year. So to the representative, who uses the word «justice» in the sense that Oslo and others must have the freedom to decide for themselves whether to use property taxes or not. Yeah, there's one way to think about it. Oslo can decide for themselves what they want to use the property tax for. But it must be allowed to point out, when we know that in this city we are now in, some of Norway's richest people and some of Norway's poorest people live, that there are also some who pay the bill that Oslo Municipality and the majority here do not use the income potential that is actually in being able to use property taxes. We have e.g. More than 7 000 homeless people in this country, and many of them belong to this city here. They are at least in this city. I must also say that we want local autonomy from the Government. We believe that we have facilitated it through several changes, both in the income system and through earmarked grants, which are now being treated. We'll have to come back to that and discuss it more. Then I record that the parties that were previously behind the comment on today's practice in relation to discretionary assets and property taxes that have been conducted are still behind the practice of voluntary taxation, but that it is also not contrary to the fact that it must also be taken into account in an overall assessment of the overall economic situation. So finally, a little bit more in relation to Oslo: The government has taken into account Oslo's special challenges in the proposal for changes in the income system by actually suggesting that the Municipality of Oslo is essentially compensated for what they lose, through the capital supplement, as opposed to having lost in isolation. But because there are special challenges in Oslo, we choose to give Oslo more than they really should have had.
ParlaMint-NO_2000-05-30.ana.ud944e1293	That being the case, it is no. 7 finished.
ParlaMint-NO_2000-05-30.ana.ud944e1299	Let's go to voting.
ParlaMint-NO_2000-05-30.ana.ud944e1306	During the debate Per Sandberg has presented eight proposals on behalf of the Progress Party. Proposal No. 1 sounds: ‘The Government asks the Government to propose a legal provision to grant the right to family reunification by marriage only when both spouses prove that the marriage has been made on a voluntary basis and not by forced or arranged marriage.’ Proposal No. 2 sounds: ‘The Government requests the introduction of procedures for the control of visa applications in the event of family reunification on grounds of marriage and, if there are indications of involuntaryness from one of the parties, reject them.’ Proposal No. 3 sounds: ‘The Government asks the Government to propose a legal provision requiring that the spouses originally residing in Norway be a Norwegian national.’ Proposal No. 4 sounds: ‘The Government requests the Government to propose a legal provision requiring that, in the event of family reunification between non-parents and children, both parties be over 25 years of age.’ Proposal No. 5 sounds: ‘The Government asks the Government to propose a legal provision requiring family reunification to require the person in Norway to dispose of a reasonable size dwelling and to have sufficient income to bear the burden of living for more than himself.’ Proposal No. 6 sounds: ‘The Government asks the Government to introduce teaching in Norwegian and social knowledge for persons receiving a permanent residence permit in Norway once they have been granted permanent residence.’ Proposal No. 7 sounds: ‘The Government asks the Government to implement information measures on forced marriage aimed at immigrant youth in school and against immigrant organisations.’ Proposal No. 8 sounds: ‘The Government asks the Government to submit proposals for legislation prohibiting the marriage of cousins and cousins.’
