ParlaMint-NO_2000-05-03.ana.ud1122e27	The former alternate of the Rogaland County, Bent Höie, has a teke seat as a representative.
ParlaMint-NO_2000-05-03.ana.ud1122e1228	I allow myself to ask the Minister for Transport the following questions: ‘Kongswinger District has many day commuters to Oslo who want to use NSB. Unfortunately, the NSB’s offer is marked by different prices for the use of bus or train, and the flexibility between the choice of train or bus must be paid at a higher ticket price. The commuters want the same price for a train/bus and the option to choose an alternative train or bus when buying a ticket without having to charge extra. Does the Council of State see this possibility at the best of commuters?’
ParlaMint-NO_2000-05-03.ana.ud1122e1237	As the representative of Bredvold clearly knows, there is an offer for a monthly ticket that gives the requested freedom of choice between train and bus. Train passengers who want this flexibility pay an additional NOK 100 on the monthly ticket, which is therefore also valid for buses on the route and the city bus in Kongsvinger. The NSB considers this to be a good offer and that this flexibility has added value to the travellers for whom there is a willingness to pay. There is a higher price for the train than on a bus on the Oslo-Kongswinger route. The commuters want the same price for trains and buses, which means that ticket prices on trains will have to be reduced. The consequences of any tariff reduction in order to obtain the same ticket price on trains and buses will require increased government budget appropriations for the purchase of passenger transport services to compensate for NSB’s loss of revenue. I do not want to propose such a priority within the transport budget now. In this context, I believe that the NSB has established a scheme for travellers in the Kongsvinger district who should be able to satisfy the commuter's desire to alternate between trains and buses.
ParlaMint-NO_2000-05-03.ana.ud1122e1246	I thank the Council of State for the answer. The councils are pleased with the offers of commuters and other travelers in the Kongsvinger district. That this offer is to live with is probably right, but the goal for us politicians in this case must be to make the most of the collective offer. For some travelers it is the train, while for others it is the bus, depending on where you live along the travel route. Does not the Council of State think that it should cost as little to travel with one as the other transport service from to A to B, regardless of whether there is a railway station nearby?
ParlaMint-NO_2000-05-03.ana.ud1122e1255	I fully agree with the representative, Bredvold, that it is a goal to get as much as possible to travel collectively on this route as well as on other routes, and the fact that here one has managed to make a combination solution, at a slightly higher price, gives such an opportunity. I did not express my satisfaction with the commuting situation. On the other hand, I said that I felt that there was an acceptable offer here for the commuters. I understand that in some contexts you can react differently, but it is probably a situation that in itself relatively many people have to live with in relation to which offers are closest to their home. I repeat, if we're going to do something about this, that means we have to make larger statements about the government budget for the purchase of services. As mentioned, I am not prepared to do this now, but of course we will come back to this issue in future negotiations.
ParlaMint-NO_2000-05-03.ana.ud1122e1262	I thank the Council of State for the answer. So to clarify the freedom of choice when buying a ticket – to choose between buses or trains as appropriate each day. I believe that such flexibility, but without costing anything extra, will lead to more people being able to use the collective offer. Do the councils share these thoughts?
ParlaMint-NO_2000-05-03.ana.ud1122e1269	I am sure that price is determining how attractive the collective offer is, as well as flexibility and capacity are. It's just to find this balance that's important for us to get people to use collective means of transport. And as I said in my supplementary reply, we want this with us in the future negotiations, but immediately I see no possibility of correcting this inequality between train and bus.
ParlaMint-NO_2000-05-03.ana.ud1122e1277	I will ask the Minister for Transport the following questions: ‘The Railway Authority of the Member States decided on 14 March 2000 to immediately stop the traffic of Swedish panorama vehicles on Ofotbanen. NSB BA has required the repeal of the Decision in breach of international legislation. Traffic is now under way while the code is being interpreted. If the decision of the State Railway Authority had been taken, the consequences would include, inter alia, that most of the freight in and out of Norway would have to end. Will the Council of State ensure that the Railway Authority is aware of the legislation?’
ParlaMint-NO_2000-05-03.ana.ud1122e1286	The first paragraph of Section 5 of the Railway Act states that rolling stock must be approved by the Ministry before being put into service on the road, unless otherwise provided for by international agreements or regulations laid down by the Ministry. Regulation of 10 July 1997 on the authorisation of railway undertakings authorises the approval of the material delegated by the Ministry of the State Railway Authority. In the specific case referred to by the representative Stenzach, there has been a lack of clarity as to how the international legislation should be understood and handled in relation to the national legislation in this area. In any case, it is entrusted to the State Railway Authority as a competent authority to verify the existence of evidence of acceptance of the material, including in accordance with international legislation. The supervision had not received the necessary evidence that the panorama wagons at Ofotbanen had been approved under the international regulations before the material was put into service. However, the supervision was given in connection with the start of traffic, a letter from the NSB, which demonstrated that the NSB had carried out the necessary risk and safety assessments of the material. On this basis, the train could start operating on the route. As regards the claim that the decision of the State Railway Authority, inter alia: As a consequence, most of the freight in and out of Norway had to stop, I would like to make it clear that the Railway Agency has taken decisions on a limited case, i.e.: on the driving of panoramic wagons on the Ofot track. This applies to a type of vehicle which has not previously been used in Norway. This case therefore has no consequences for freight traffic.
ParlaMint-NO_2000-05-03.ana.ud1122e1302	I thank the Council of State for the answer. I hope that the Council of State will also help to open up greater competition on the rail network, for which the legislation now provides opportunities. Will the Council of State facilitate access for railway operators to the railway system’s rail system?
ParlaMint-NO_2000-05-03.ana.ud1122e1309	With regard to whether to allow rail competition, there is a question that is to be assessed in the Ministry and to which the Government will come back in connection with the submission of the national transport plan. But I will probably already be able to give signals that at least on the passenger traffic side there will be no great embellishment. On the other hand, with regard to the freight transport sector, we will assess how different forms of competition can have a positive effect.
ParlaMint-NO_2000-05-03.ana.ud1122e1314	Once again, I thank the Council of State for the answer, and I appreciate the fact that it is now considered to be an embellishment for getting other actors on the road, both in terms of freight and passenger transport. And even though you're a little bit more reserved lately, at least you're on the right track. When it comes to the first answer, it's very good. But will the Council of State try to achieve an embellishment between the Norwegian and foreign regulations in terms of trains as a whole, so that there are more international rules in this field instead of each country having its own special legislation?
ParlaMint-NO_2000-05-03.ana.ud1122e1321	A comprehensive international legislation is already in place to ensure the possibility of cross-border use of material between the railway undertakings of the various countries. With regard to the ambiguity of the interpretation of the rules, it is primarily linked to the fact that we have now established the state railway company, and that the international rules must be seen here in relation to the structure we now have. Finally, let me add that no matter how we organise authorisation schemes here, it will be the safety of travellers and those who are otherwise exposed to railway traffic, which will be the primary concern.
ParlaMint-NO_2000-05-03.ana.ud1122e1333	I will be allowed to ask the Minister for Transport the following questions: ‘20. On December 1999, the Stortinget decided to exempt incubators, call-out vehicles and disabled persons with a PRM parking certificate from paying a fee for the use of heavy-duty tyres. This simple regulatory change will not be finalised in the Ministry of Transport until May 2000, 5 months after, and then sent out for consultation for 6 weeks. Does the Council of State consider the use of resources to be appropriate for a full seven-month period for such a simple regulatory change?’
ParlaMint-NO_2000-05-03.ana.ud1122e1342	As a result of the Storting’s request decision of 20 December 1999, the Ministry of Transport has started to amend the regulations in accordance with the wishes of Storting. However, all legislative and regulatory amendments are subject to procedural requirements under both the Administrative Act and the Investigation Instructions. These requirements, such as the examination of the consequences, consultation and publication of the changes, also provide clear lower restrictions on time use. Therefore, it was early clear that a derogation could not be established for the winter season 1999/2000. In the big debate on 20 December 1999, the former Council of State, Færvoll Stortinget, also pointed out that the exemption could only be applied from the next winter season. The central thing for me has therefore been to put in place an exemption before the next winter season comes. I can therefore not see that there is criticism of the use of resources in this case.
ParlaMint-NO_2000-05-03.ana.ud1122e1351	I thank you for your answer. I am fully aware that there are demands for treatment here, but I think this is starting to take a long legal period. The Council of State of Færvoll was also concerned that, in the case of persons with reduced mobility, the exemption could possibly be arranged this winter. That hasn't worked out. In the newspapers it has been noted that since 1980 the number of employees in the public sector here in Norway has increased by 50 pst., while in Sweden it has actually been possible to reduce the number of employees by 7 pst. Is it the case that the consequences of several employees are that it takes longer to carry out proceedings? Is it, in other words, put in a system that paper is sent around for several months to obtain paperwork in public? And does the Council of State have any forward-looking ideas about how he will reduce this bureaucracy?
ParlaMint-NO_2000-05-03.ana.ud1122e1358	In the case itself, it was found relatively quickly that it was almost impossible to distinguish between PRM and other groups for which the Storting decided that an exemption should be granted. In relation to the relationship between the number of public servants and the procedure, I would say that the growth in the number of public servants has been primarily in the service sectors, not least in the health and care sectors, and not in the central administration. And I would also like to say it in that way that not least has the Stortinget, but also this government was concerned that we should have a responsible treatment in regulatory and legal matters. Of course, it must be combined with efficient resource use, and that is the challenge for the Government, which we of course constantly address. But I think it is unreasonable to use the relationship between the number of public employees and the length of proceedings in regulatory matters in this way.
ParlaMint-NO_2000-05-03.ana.ud1122e1368	I must be allowed to ask another question to the Minister for Transport: ‘The Gjøvik track is only 12 km long, but the short distance is administratively below both NSB Proximity and NSB Midway. Does the Council of State consider this to be an efficient and forward-looking operation of such a short route?’
ParlaMint-NO_2000-05-03.ana.ud1122e1377	The NSB BA is organised as a separate company and the management and management of the company is responsible for facilitating the most appropriate and rational operation of trains. In this context, it is also necessary for the NSB to have the freedom to assess and develop forward-looking internal forms of organisation capable of meeting market requirements. The NSB is continuously developing the company in line with the demand of the travellers. An important tool in this work has been for the NSB to develop new brands that provide customers with a modern offering of good quality. This is also an adaptation to the substantial investment in new material that will be put into service by 2002. The NSB Short Range shall mainly cover trips of up to 45 minutes around the major cities, while the NSB Intermediate Distance adapts the offer to customers on distances from 45 minutes to three hours. These customer groups have clearly different needs in relation to such matters as: travel speed, comfort, frequency and station facilities. The NSB continuously assesses which organisation is most appropriate in relation to market developments and the desire for the most efficient operation.
ParlaMint-NO_2000-05-03.ana.ud1122e1384	I thank you for your answer. I am aware that the NSB has been given a good deal of freedom to decide different things, and that they are now betting on new trainsets and under new brand names. But after all, this short distance of 12 miles is divided between two units. NSB Midrange, which has Gjøvik terminal, wants to take off the track from Jaren to Gjøvik and replace this route by bus. So on the short distance of 12 miles, you first have to drive the bus half of the distance, and then you have to go on the year and go over to what you call the new bet, which is NSB Near traffic, and then take it on to Oslo. Is that what the Council of State thinks is forward-looking and is going to take on new market shares? – I would like to mention that the market shares are just going down on the Gjøvik track.
ParlaMint-NO_2000-05-03.ana.ud1122e1391	As I answered a question here in Stortinget a short time ago about Gjøvikbanen, I am aware that the NSB assesses different options in relation to future passenger transport services on this route. One of the options considered for further train operation on Gjøvikbanen is to merge regional and local train operations, reporting to the NSB. I look forward to getting an assessment of how we can get the best possible offer on this route. That is what is most important, more important than whether this is shared between two parts of the NSB — possibly entering the local part. When these different options are available, an overall assessment will have to be carried out for the benefit of passengers on the route.
ParlaMint-NO_2000-05-03.ana.ud1122e1398	I am pleased that the Council of State will have the best possible offer on this route, because we all do. But I guess that's not exactly what the NSB is doing with the Gjøvik track – that's where you go clearly in the opposite direction. In Sweden, private individuals have taken over many sections, and today they have well over half of the passenger traffic in Sweden. Is there any possibility that Gjøvikbanen can be offered and that other operators can operate this path according to the same system as the Swedes have done? Is there not a more forward-looking way when the NSB obviously does not intend to operate this path properly?
ParlaMint-NO_2000-05-03.ana.ud1122e1405	I assume that the NSB wants and will provide the best possible offer to the travellers on this route within the framework that has been drawn up. I take it for granted that it is at the bottom of any assessment. With regard to the issue of other operators, there is little time to consider now. We need to look at developments on the ground, assess the alternatives emerging, and draw the necessary conclusions when negotiating the purchase of new passenger services for 2001-2002.
ParlaMint-NO_2000-05-03.ana.ud1122e1415	I have a question for the Minister for Transport: «Møjster and Lilakalsøj are two islands to the sea in the municipality of Austevoll, which is entirely dependent on the boat. HSD has now removed the island population from the catamaran that is currently operating on the islands and replaced it with a smaller one-hull boat with much lower standards that provide insecurity. There will be no availability for wheelchair users. Baby carriages must be carried outside from landing to lounge door. In addition, school students get an insecure school route. What will the Council of State do to restore the boat offer and thereby restore the safety of the islanders?’
ParlaMint-NO_2000-05-03.ana.ud1122e1424	The question concerns changes to the standard of a local boat route in Hordaland by the fact that the route is now operated on a vessel other than before. I assume that the detained vessel complies with the requirements imposed by the Administrations to travel in the waters concerned. In Norway, county municipalities are responsible for local public transport, including local boat routes. I therefore assume that the changes to which it refers have occurred in understanding with Hordaland County. On this basis, I do not think it is right for me to bring the leadership to the county council with regard to local priorities in this area.
ParlaMint-NO_2000-05-03.ana.ud1122e1429	I thank the Council of State for the answer, but cannot say I am satisfied with it. It is possible that the county municipality has followed the procedures by taking a boat that is equivalent to what you can expect technically, but you are not satisfied locally. The new boat only takes 58 passengers, while the catamaran «Westcruise», which has been in use since 1993, took 98. A smaller vessel has been selected, and the route has actually also been reduced by two days a week. The new boat went yesterday's first trip in the connection, and had to reject 15-20 high school students. The school bus had to be held back, while the boat picked up the rest of the students. In the boat you have to pass a high threshold and then down a staircase with two steps, and narrow conditions made it almost inaccessible to wheelchairs. It also turned out that there is room for only one baby carriage or wheelchair, and yesterday this meant that the baby carriage number two had to be folded together and put on the deck. Does the government council of the islanders for the time being feel that it has to be eaten off with such ghastly conditions?
ParlaMint-NO_2000-05-03.ana.ud1122e1438	Of course, based on the description given by the representative Knudsen, it is not difficult to understand that there is a dissatisfaction. However, once we have placed this responsibility on the county councils, it must also be the responsibility of the county council to get into the situation, possibly to take the consequences of the dissatisfaction and the conditions that lie there, including those of the people with reduced mobility.
ParlaMint-NO_2000-05-03.ana.ud1122e1443	The main reason for the county council to change the boat has been economic. What you owe is an increase in diesel taxes and a general increase in diesel prices. I have to add: it's very hard on this route, and sometimes the students have been very hard on their way home in days of heavy wind. And what you now fear with a one-hull boat is that you get worse relationships. It is also not clear to the traders, the dealers, whether the new boat has room to bring fresh food, such as milk, bread, fruit and vegetables, which are needed twice a week. Since the Saturday boat is cut, there will be no medicine on Saturday for Lilakalsøy, where there are the most elderly people living. It was also claimed locally that when choosing a boat, some of the tenderers received additional oral information after the deadline for submitting a tender. Won't the Council of State now make sure you get this right now, and better offer than to reduce it?
ParlaMint-NO_2000-05-03.ana.ud1122e1452	We are well aware of the cost growth that has also been seen in local boat traffic as a result of increased oil prices and charges, and there are assessments that will be taken into account in relation to the revised national budget. With regard to the other aspects of this boat alternative, I assume that the necessary signals are sent to the county, including in terms of business conditions, and then it will be up to the county council to assess any consequences of them.
ParlaMint-NO_2000-05-03.ana.ud1122e1462	I will ask the following questions to our Minister for Transport: ‘Norwegian business has much higher transport costs than its foreign competitors. For example, the transport of timber is 35 pst. higher in Norway than in Sweden and Finland. In our neighbouring country, the maximum permissible laden weight is 60 tonnes for vehicle trains, while in Norway it is 50 tonnes. At the same time, the maximum authorised wagon length is 25,25 metres in these countries, compared to 22 metres in Norway. [[for timber transport]] What is the Government doing to harmonise the framework conditions in these areas?’
ParlaMint-NO_2000-05-03.ana.ud1122e1471	The framework conditions for Norwegian business are influenced by a number of factors, including: the representative of Andersen addresses his question. An important transport policy starting point for determining fuel taxes is the cost of transport activities to society. These are costs related to road wear, accidents and air pollution. Recent investigations do not suggest that diesel taxes are over-estimated in relation to these costs. In general, the government attaches great importance to improving the competitiveness of Norwegian industry. Against this background, the Government of the revised national budget will make an overall assessment of fuel taxes. I cannot therefore comment on this further now. With regard to the issue of increased maximum permissible laden weight and length of vehicles to 60 tonnes and 25,25 metres respectively, there is a proposal from the Directorate of Road. The Ministry of Transport has asked for a more detailed assessment of the environmental and road safety impacts and for investments in and maintenance of the road network before the Directorate of Road could submit its proposal to the hearing. According to the Directorate of Roads, the case can be sent to the hearing in the autumn of 2000.
ParlaMint-NO_2000-05-03.ana.ud1122e1478	I thank the Council of State for the answer. First, I would like to say that if Norway introduces the same vehicle regulations as Sweden and Finland, this alone could, for example, reduce transport costs only in timber by 200 million. kr per year, corresponding to approx. NOK 25 per year. cubic metres of timber. In addition, we know that Norwegian car trains have over NOK 100 000 more in annual expenditure than Swedish and Finnish car trains only because of higher Norwegian charges. The diesel price is $3.30 more affordable in Finland, and you can ask yourself why it has become that way around the world. In this area, we see that trade in timber, for example. move ever freer across borders, from Russia, from the Baltic. In such a situation, Norwegian hauliers lose, and the districts lose – and this is primarily about Norwegian districts. There needs to be a better framework for this industry.
ParlaMint-NO_2000-05-03.ana.ud1122e1485	I will not comment further on the question of charges and refer to my main answer. With regard to the issue of wagon length and permissible laden weight, it is obvious that a change to these provisions will give business benefits. At the same time, however, there will be road safety consequences, there will be environmental consequences and there will be consequences for our road network, which, for a large part, is not dimensioned for such instruments. It is based on an overall assessment of the cost pages of business and the other elements I have now referred to, we will have to draw a conclusion after a hearing on what should be allowed in the future.
ParlaMint-NO_2000-05-03.ana.ud1122e1492	This issue has both important aspects of culture and enterprise policy, as well as aspects of district policy, which the Government should take seriously and address as quickly as possible. The framework conditions of the Norwegian transport industry are not just a limited problem for the transport industry itself. We all know that the extra costs imposed on the transport industry by the Norwegians – or we should say special Norwegians – are being passed on to the rest of the economy, which is once again weakening its competitiveness in an increasingly international market where free cross-border competition is the most prominent. The framework conditions for Norwegian timber transport are a good example in this way, as there is no doubt that both the districts, the forest industry and Norwegian jobs will lose when, for example. Norwegian vehicle regulations, special tax policy, create a low level of competitiveness for the transport industry. This should not continue, and something should be done quickly, within five or ten years.
ParlaMint-NO_2000-05-03.ana.ud1122e1497	The government is very concerned about strengthening the conditions for Norwegian business, and I agree that transport issues are central to this. However, with regard to the question of extending the wagon length and the total weight, there are many elements for which we need to have a proper treatment. We will take care of that, and make a decision at a time when the material is good enough to balance all aspects of such a case.
ParlaMint-NO_2000-05-03.ana.ud1122e1505	I allow myself to ask this question to the Minister for Fisheries: ‘By-development in Bjørvika is widely accepted as important. There has been a time of conflict about the right to dispose of parts of the area between the Municipality of Oslo and Oslo Portevesen. Will initiatives be taken to resolve the conflict, so that the municipality can completely dispose of the areas of the port services in order to achieve urban development in the area, and through property development have a financial contribution to the sub-financing of the sink tunnel at E18?’»
ParlaMint-NO_2000-05-03.ana.ud1122e1514	Oslo Portevesen is a municipal enterprise owned by the Municipality of Oslo. The Oslo port service is therefore not an independent landowner. The land Oslo port is owned by the Municipality of Oslo for port purposes. This also applies to the harbour areas of Bjørvika. This does not mean, however, that the municipality is free to dispose of these areas. By the termination of the ports as independent legal entities and instead became municipal offices when the current port and water law of 1984 entered into force on 1 January 1985, the municipalities also acquired the ownership of the areas previously owned by the ports themselves. The aim of this acquisition was that municipalities should use these areas to operate their port activities. For the purpose of precisely ensuring port operations, the old Port Act of 1933 provided that the assets of the port fund could only be used for port purposes, continued under the Port and Water Law of 1984. If the areas of the port cash office are used for other than port purposes, the provision requires that the port cash office be compensated for at market prices for the areas in question. For the treatment of St. Announcement. No 46 for 1996-97, Ports and infrastructure for maritime transport, the Transport Committee in Innst. S. No 254 for 1996-97 on page 15, first column, that this rule must also apply in the future. The size joined this. The majority has agreed that Oslo port should be a national port, and therefore the State has an interest in how the Municipality of Oslo manages its port areas and operates its port activities. The port activities that have to give way to urban development in Bjørvika have to be moved to other places, and there is a reference to the possibilities available for reprocessing replacement areas elsewhere in the port. In addition, the conflict between the urban development interests and the port interests in Bjørvika is an internal municipal matter which the Municipality of Oslo itself must resolve within the limits of the law. If port traffic is to be moved, there is in principle nothing in the way that the properties in Bjørvika belonging to the Municipality of Oslo can be disposed of for urban development purposes. In this case, however, the law requires that the port fund of Oslo Municipality be allocated to the market value of these properties. Therefore, the amount of any sale of these properties may not be used to finance the sink tunnel. These funds must be transferred to the port register in accordance with the provisions of the Law on Ports and Waters.
ParlaMint-NO_2000-05-03.ana.ud1122e1527	I'm familiar with the logic that was now carried out by the Council of State at all points. The reason for my question was that the government of Jagland and the government of Bondevik wanted development in Bjørvika based on fissure and hard work. The majority of the population established an opera in Bjørvika, and the two governments I mentioned said that the infrastructure in the area had to be cooperated on. Everyone agrees that the state agency cannot finance the infrastructure alone, there must be money from Oslo City Council that you are willing to give and prioritize in the bombing of Oslo. Once I've raised the question, it's because the possibility of developing the area is a whole property development where both the state and the municipality are at the same time actors. If the state and the municipality can't coordinate their interests, you don't get to an overall development, you don't get a solution. And when I give the challenge to the Minister of Fisheries, it's because as a member of the Government he can help secure the spirit of virtue that the government of Jagland and Bondevik tried to get through fissure and hard work, and get the infrastructure financed in this area and avoid burdening the transport budget elsewhere. So I repeat the question of whether initiatives will be taken to resolve this conflict.
ParlaMint-NO_2000-05-03.ana.ud1122e1536	As I said in my main response, it is my opinion that within the powers that apply, and the laws in force, there is no reason for what has been proposed in terms of using the funds of the port fund for purposes that are not related to the operation of the port. In this context, I would like to draw attention to the fact that ports are largely financed by the charges of port users, and what happens if such measures are proposed is that cross-subsidies are provided from one sector to another – from one group of users to other purposes in the same area where these users operate.
ParlaMint-NO_2000-05-03.ana.ud1122e1541	I note that while former fisheries minister Lars Peder Breck in a written reply to the representative Foss was willing, on a general basis, to engage in dialogue on the so-called Fjordbyen, the current fisheries minister is holding on to a law. I'm going to go to the reasoning. Property development at Oslo port is partly of course a result of port, but part of the property value results from an urban development that prices it in such a way that the value is greater than that it has been a port alone. So somehow you have to find a solution. And as long as you don't contribute to the solution, but let the ball go back from the council to the municipality, which has now been the line for many years, you end up getting an opera in a crossroads without anyone contributing. I think with respect to report it's a little creative and it's a bad spirit, and I would have waited better from the new government's side.
ParlaMint-NO_2000-05-03.ana.ud1122e1548	Of course, the government is set to have an active dialogue with the users of the Oslo port. However, in addition to the problems that arise in connection with the Dørum representative, it is also true that the needs of the ports have not been met within the possibilities that have been able to be looked at now. It is still the case that there are formal restrictions in the law on what these means are to be used for, and that is what we must choose to deal with until further notice.
ParlaMint-NO_2000-05-03.ana.ud1122e1558	I will be allowed to ask the following questions to the Minister for Fisheries: ‘The self-catching shots that are now coming back after fishing in the Baltic Sea report huge quantities of seals. This means that the fish stocks on which it can be caught are reduced as a result of the selenium eating a significant number of kilograms of fish per day. What will the Council of State do now to reduce the stock of sales significantly in the coming years?’
ParlaMint-NO_2000-05-03.ana.ud1122e1567	Norway operates today and has traditionally driven self-anxiety in two different areas. We're catching claws and green soles in the West ice, and we're catching Greenland soles in the East ice. In the eastern ice, the most recent estimates for the population show that there are about 2.2 million animals, while the number of animals in the western ice is estimated at 590,000 animals. Calculations carried out by Fisheries Research show that the total number of seal and whale populations we have in an average year eats about. 1.9 million tonnes of commercial fishing in the Barents Sea. It's about as much as we fish out of the same populations. The problem that the representative of Harald T. Nesvik wants to answer is linked to the population of Greenland-Self in the Baltic Sea. This stock is Russian administrative responsibility. Allowances are set for the withdrawal of stocks according to international administrative principles through the processing and advice of the International Council for the Exploration of the Sea, ICES. In view of, inter alia: high juvenile mortality in the population has recommended a quota of 31 600 adult animals in 2000. Through negotiations with Russia in the Joint Norwegian-Russian Fisheries Commission, Norway has been allocated this year a quota of 5000 adult animals. Norwegian self-anxiety, therefore, has little impact on the population development of Greenland's islands, in view of the current framework conditions. Norway has this year taken its quota in the Baltic Sea. Measures will also be put in place in the coming years to ensure that the quotas in the Baltic Sea are taken, either by Norwegian fishing, by Russian fishing or by a combination of Norwegian and Russian fishing, as is currently the case. Fisheries authorities have two objectives for self-greeding: increased profitability and increased catch from a multi-hazard perspective. In order to contribute to these objectives, the authorities have put in place different types of instruments. Since 1991, we have provided operating support for the ships that have driven self-anxiety and for the reception facilities for seals. Furthermore, we support various information projects with a view to increasing knowledge of Norwegian principles for multi-stock management. Substantial support is also provided for projects aimed at product development and the marketing of cell products. The long-term aim is to make the cell stocks a valuable resource that can contribute to the significant value creation that is currently taking place in the fishing industry.
ParlaMint-NO_2000-05-03.ana.ud1122e1588	I thank the Council of State for the answer, but I have to say that it bears witness that the Government is taking a very passive line on this issue. You're talking about a multi-drug, you're talking about what international scientists are doing, and what they're doing. What's the reason for my question, of course, is that when it comes to a quota of 31,000 animals of a population of 2.2 million animals only in the Baltic Sea, it goes without saying that this is a problem that we at least cannot solve within the quotas that are currently being set. My question to the Council of State is: what will this government do in connection with negotiations with Russia? Will pressure be put on Russia to increase the number of animals in the Baltic Sea? How do you want to tackle this? For I believe that the Minister of Fisheries also sees the high stock of seals as a significant problem for the Norwegian fishing industry.
ParlaMint-NO_2000-05-03.ana.ud1122e1597	I agree with Mr Nesvik that the large stock of seals is a significant problem for the Norwegian fishing industry. But also this is a question that we have to solve within the framework of the international rules that apply. It is in our interest both in the short and long term that we contribute to international agreements, international cooperation, being the framework for cooperation on resource management. We do not lead a passive line in this matter. We've met annually in the Norwegian-Russian Commission, we're going to have an extra meeting this summer, and it's clear that the new information we're getting about the development of this stock will be the theme of this meeting.
ParlaMint-NO_2000-05-03.ana.ud1122e1604	It's that you have to pay so much attention to what the international scientists say, which makes me very worried. This has been done in connection with the whale, and I have hardly heard a scientist in these areas who accepts increased taxation of these animals. I have to say that I hope at least that this government puts more emphasis on reducing the population than the previous governments have done, because now this problem is beginning to be enormous. I don't think it takes a long time with the stock we have now, until the harness starts coming in through the Finnland coast and going down the coast, and then we're really going to hear the crunches again, both in terms of disease, damaged yarn links and other. My question to the Minister for Fisheries is: Will the Minister for Fisheries come back to Stortinget with a message about Norwegian self-anxiety and prospects for it in the future, so that we can now really get a give in the work to get rid of as many of these animals as possible?
ParlaMint-NO_2000-05-03.ana.ud1122e1613	In my opinion, there is no reason for the representative of Nesvik to be concerned about making recommendations from international researchers. The international researchers find that you are dealing with very high populations. However, the problem with the development of this industry is that it has been difficult to obtain a market for these products, because there has been virtually political opposition to their marketing in the market. At least it's a problem for us in the West. Every year we address the question of how we will develop this catch further, and this will of course be duly reported to the Stortinget.
ParlaMint-NO_2000-05-03.ana.ud1122e1623	I have the following questions for the Minister for Fisheries: ‘In recent years, we have seen that the beam concessions are concentrated on fewer and fewer hands. We also see a tendency for concessions to disappear from North Norway, and this problem is further reinforced by non-compliance with universal service obligations. Does the Council of State see this as a problem, and what action does he envisage to halt this development?’
ParlaMint-NO_2000-05-03.ana.ud1122e1632	The reason for the question lies in three premises: irradiation concessions are concentrated on fewer hands, concessions disappear from North Norway, and delivery obligations are not met. I'm not going to stand here and now to see if these premises are correct in relation to the entire trawl. Based on the question, I assume that it is primarily aimed at the situation of the freshwater trawler fleet. For this group, there has been a tendency to concentrate ownership on larger groupings and that the real ownership and overall management of the activity have been located elsewhere than before, even if the vessels have remained registered at the same location. However, ‘other’ has not necessarily been outside North Norway. Initially, I think it would be unfortunate if a single or a few operators could gain control of too many fishing vessels. I want a fishing industry that contributes to viable coastal communities through a comprehensive and varied structure, both on land and at sea. I think that, among other things, is achieved through a differentiated fleet structure, both in terms of location and ownership. I am therefore in principle in favour of the ceiling set by the previous government regarding the concentration of ownership in the fishing fleet. On the other hand, the fresh fish trawl concessions were distributed in order to achieve a very special purpose. The aim was that concessions should help create stable jobs, employment, on land. The concessions should contribute to regional welfare. However, this means that the need to secure jobs, such as: now in Hammerfest, must be central to assessing a matter such as the issue between Norway Seafoods and Findus. Therefore, these are difficult issues, and the situation of this trawler group is probably different from that of the other fleet. This must also be taken into account when applying general ownership restrictions to different categories of vessels. In the case of industrial delivery obligations, a number of the freshwater trawls have such obligations. There has been a lot of talk about these not being respected, and in order to clarify this, we are now carrying out a study in the countries concerned on the extent to which the commitments were fulfilled in 1999. As far as the results are clear, we can see that there are considerable variations between vessels. Let it be clear: these concessions were not distributed in order for the individual vessel owner to obtain its own profits through fishing, but to support the industry. I would be willing to discuss how the conditions are to be understood and practised in different situations where the land industry has other sources of raw material. On the other hand, I would not be willing to discuss the principle – it is not a matter of disregarding the terms of delivery. This will be communicated to each company, in clear text, once the review has been completed. I am not going to finish the individual case here and now. The shipowners shall be given the opportunity to comment on the investigation and explain the background to the fact that it has been delivered as it is. However, the aim is that as much as possible of the raw material from these trawls should benefit the industry and form the basis for activity in the region.
ParlaMint-NO_2000-05-03.ana.ud1122e1651	I thank the Council of State for the answer, which was clarifying in that way that he shared my view of a differentiated fleet group. Nevertheless, today we see that expropriation of the participant law with exemptions gives an undesirable concentration of rights on few hands. In the case of extended exemptions, we don't know the word until the trawlers are on the stock exchange, and if that happens, then we're bad out to drive. However, my main concern is what is happening within the coastal fleet, and the rights that have been granted to boats that are also concentrated on fewer when circumventing legislation. What's the Council of State going to do with that?
ParlaMint-NO_2000-05-03.ana.ud1122e1658	It was good to hear that the representative Bastesen and I share the same view of the need for a differentiated fishing fleet. I don't think we're going to experience it as a problem if the ownership of the trawlers or the industrial companies changes. The point is that the conditions under which concessions are granted, the assumptions that have been the basis for granting them, do not change. These concessions shall be used to ensure employment on land. Of course, with regard to the risk of concentration of ownership in the coastal fleet, you have to follow and ensure that the law of participants is practised according to your letter. I have no plans to propose changes to the participant law. The fishing fleet shall, in principle and in practice, be owned by active fishermen. If that's not the case, it has to be taken care of.
