ParlaMint-NO_2000-03-29.ana.ud585e27	The representative Fridtjof Frank Gundersen, who has been on leave, has once again taken his seat.
ParlaMint-NO_2000-03-29.ana.ud585e1040	I thank the Minister of Health for the answer, which I am pleased with. If our medical clinics around the country had had a permanent routine that all medical enquiries from patients or relatives were to be answered by a central janitor, of course, non-health professionals could be allowed to operate the phone. Unfortunately, the procedures seem to be the very opposite, namely that the doctor should always be saved for enquiries, and the severity of the enquiries should be assessed by the personnel receiving the phone. If you have these centers manned with non-health personnel, this could have disastrous consequences, which I actually personally experienced for a short time back. Will the Minister of Health ensure that all exemptions granted from the requirement to staff the medical wards with health professionals are withdrawn, or that a short period is allowed for the recruitment of health professionals?
ParlaMint-NO_2000-03-29.ana.ud585e1049	I have so far not considered any immediate withdrawal of the granted exemptions. However, as I said, I would like to ask the Health Inspectorate to review the exemptions that have been granted and to assess the problems that may result from these exemptions, and to assess what measures might be implemented.
ParlaMint-NO_2000-03-29.ana.ud585e1054	I thank you again for the answer. I am aware that several municipalities have put in place a system in connection with their medical services, which is that the doctor will no longer go out and visit the patients, but that the patients are required to come to the medical department. It may in some cases be sensible, but in other cases it may be fatal. Will the Minister of Health ensure that, when the legislation on the medical care system is finally adopted in the fixed medical system, the doctors, where necessary, are instructed to move out to the patient’s home at the strong request of the patient himself or the patient’s relative?
ParlaMint-NO_2000-03-29.ana.ud585e1063	Without predicting what the conclusion will be of such an assessment, I can assure you that the issues raised here by the representative Alvheim will be assessed in the context of the preparation of regulations for the fixed medical system.
ParlaMint-NO_2000-03-29.ana.ud585e1071	I will ask the Minister for Health the following questions: ‘According to studies conducted by the World Health Organisation, Norwegian youth are getting worse and worse health. Among other things, it is pointed out that many young girls especially do not eat lunch or breakfast. What measures can the Council of State take to improve this alarming situation?’
ParlaMint-NO_2000-03-29.ana.ud585e1080	I assume that the studies to which the representative of Tingelstad refers are primarily the study ‘Health habits among school students. A WHO survey in several countries’, abbreviated HEVAS. This survey was published in February–March this year and the latest figures were collected in 1997. The study covers, inter alia: changes in the way of life and health of young people from 1985 to 1997. The Norwegian results are compared with results from Sweden, Wales and Hungary. HEVAS shows that the proportion of Norwegian 15-year-olds who experience a health disorder once a week or more often has increased by about a quarter. 12 pst. since the mid 1980s. One possible explanation may be that norms in Norwegian society have changed towards an increased understanding and acceptance of mental problems. Thus, it is possible that it has become more acceptable to express such problems now than before, which may lead to such problems being under-reported to a lesser extent than before. In any case, it is worth noting that the proportion of Norwegian youth with such plagues is significantly lower than in all three other countries. This applies to both boys and girls. So the picture might not be as negative as some media lookups have given the impression. On the other hand, Norway is approaching the level in other countries in areas where we have had a better situation in the past. This applies in particular to the areas referred to by the representative Tingelstad. As part of the reversing of negative developments, advisers responsible for coordinating prevention and health promotion efforts at all county medical offices are now employed. Youth will be one of the main target groups for their work. So the question of the evolution of youth lunch and lunch habits. As the representative of Tingelstad points out, the HEVAS study shows that among girls at the age of 15 it was about 20 years old. 9 pst. fewer people who usually ate lunch and 5 pst. fewer who ate morning food in 1997 than it was in the 1980s. But still, according to the study, it's 73 pst. of the girls in this age group who ate breakfast four to seven days a week, and 71 pst. who ate lunch four to seven days a week. For peers, the numbers are 84 pst, respectively. and 83 pst. As far as measures by the authorities are concerned, I would like to stress that the school is a main venue for promoting health-friendly eating among children and young people. Government Board for Nutrition and Physical Activity directs its work to school authorities, teachers, students and parents. This is enshrined in the regulations on environmental health protection in schools and kindergartens, where Section 11 refers to the SEF guidelines for food in school. In childhood, work is specifically aimed at ensuring sufficient time for the lunch break and that the smallest pupils are to be supervised while they are eating. In secondary and secondary schools, work is being done to establish food stalls/canteens. In addition, improved provision of food through the ‘Fruit and green at school’ scheme is a subscription scheme for fruit and vegetables in line with the school milk scheme. The scheme is currently in place in eight counties and the aim is for all counties to have such an offer by 2001. Furthermore, in recent years, the SEF has given increasing attention to strengthening home knowledge education. In 1991, the National Nutrition and Physical Activity Council carried out a nationwide survey of the school meal that showed that only 7 p.p. of the schools had such an offer. Against this background, action was put in place to establish food stalls/canteens in several schools. In 1997, a follow-up study showed that the proportion of schools with food/canteen increased to 19 p.p.
ParlaMint-NO_2000-03-29.ana.ud585e1102	I thank the Council of State for the full answer. I also noticed that he went into the transparency of mental disorders as a possible reason that the numbers have increased. It'll be on behalf of the Council of State. I noticed with pleasure that advisers should be added to each county municipality, if I understood correctly. It's an interesting measure. I realize that this is both a personal responsibility and a authority responsibility. But I think it's serious when we know from the study that 15-year-old girls smoke more and experiment more with alcohol than before, and in some areas it's even worse for the boys. Researchers say that there are serious concerns about the future occurrence of cardiovascular diseases and cancer. I think that's very serious. I would like to hear the State Council's comment on these serious statements.
ParlaMint-NO_2000-03-29.ana.ud585e1113	What I meant to say was that some of the explanations of the reported increases over the 12 years covered by the study are that there have been things in the Norwegian community about transparency about mental distress that might lead to believe that what was previously mentioned as a significant under-reporting of the type of plague, perhaps now is less under-reported, and that consideration should be given to that kind of possibility as one goes closer to this number material, and so do we in the future. It is a recent study that has been made known, and we need to work more on it in the future. Moreover, I can only agree that the trends that the representative of Tingelstad refers to in relation to youth health are serious, and that is all the reason for us in all our preventive work to take this into account in the future.
ParlaMint-NO_2000-03-29.ana.ud585e1120	I thank you again for the answer. The most important thing for us politicians is to facilitate prevention – I am sure the Council of State agrees with me. And then I'll refer to the investigation again, where a scientist says, ‘Tobacco, effervescent and cola drinks, fast-food meals and TV entertainment are easily accessible to young people today. As long as this is seen to be positive, we will never be able to cope with the negative development." Researcher Oddrun Samdal at the University of Bergen believes it is important to make healthy food more accessible and attractive, as well as to build bicycle paths, ballrooms and sports halls. All these are good prevention measures, and she believes it is far more important than awareness campaigns. I would like to hear the views of the Council of State on this which then comes from a professional team. So the state council said the school is important. Yes, it is absolutely. After all, the school has been able to repair everything that society has not been able to provide. I'm a schoolman myself, so I have insight into it. And I had an interpellation about about the same theme two years ago. When the Council of State says that home-knowledge education is strengthened, it's actually a truth of modification, because the hours have fallen.
ParlaMint-NO_2000-03-29.ana.ud585e1134	I think we will continue to pay great attention to the positive results of the active measures already implemented, and I repeat this by saying that the availability of good food and healthy food through canteens and food stalls in schools has shown good results, and there is reason to continue working on it. As far as homework is concerned, I'm going to be careful to address purely school policy issues. I just referred to the fact that the Council for Nutrition and Physical Activity of the State has placed great emphasis on strengthening home knowledge education.
ParlaMint-NO_2000-03-29.ana.ud585e1144	I would like to ask the Minister of Health a question: ‘A new survey carried out by Norsk Nursing Association Vestfold shows that only every four nurses, or only 24 pst, work in a full-time position. In Vestfold today there are 341 available nurse positions. Converted to full positions, this represents 103 annual works. This is very worrying about the need. The responsibility lies with the county and municipalities. Will the Council of State take an initiative towards those responsible for this correction?’
ParlaMint-NO_2000-03-29.ana.ud585e1153	As I understand the representative Width's question, this concerns both the use of part-time jobs and the availability of nursing positions. The Ministry has developed a Health and Social Staff Action Plan for the period 1998-2001. The plan has its own chapter on mobilising labour reserves, recruiting and retaining staff. Here, the questions asked by Mr Width's travel representative will be dealt with in depth. It is pointed out that it is the responsibility of employers to make the best use of the available personnel and to facilitate the provision of full employment as much as possible. As regards the general lack of nurses, I would like to point out that figures from the local government pay and personnel registers show an increase in annual health and social work of more than 3 100 years except for Oslo from 1998 to 1999, and that it is carried out approximately. 1 300 more nurses in municipalities and counties in 1999 than in 1998. In the case of Vestfold, the same prints show that 143 more annual works were carried out by higher education staff in 1999 than in 1998, i.e. more than 6 pst., which is above the country average. Of the new year’s works, 86 were nurses. When the new annual works are not always carried out in full-day positions, they may have several reasons. The use of part-time positions implies flexibility which, overall, could lead to more nurses' assistants than one would have had without the possibility of reducing job breaks. Many workers do not want a full job, and many employers make plans so that the employees do not receive an offer of as much employment as they want. I agree with the representative, Width, that it is the responsibility of municipalities and counties as employers to take advantage of the free labour force resulting from the part-time work of nurses. A prerequisite for continuity in patient treatment is that a sufficient number of nurses work in a full-time position. Recruiting and retaining qualified personnel to the extent necessary for the provision of good quality health services to the public is a central challenge for health authorities and employers in county and local authorities. I will closely monitor the development and results of the actions of the Action Plan for Health and Social Staff.
ParlaMint-NO_2000-03-29.ana.ud585e1168	I thank the Council of State for the answer. I am pleased and happy to hear that there is now a working plan that is in progress, and that will hopefully affect these things and deal with the problems that this poses. There's a significant number of positions we're talking about. And when we know the need in nursing care, these are the resources that lie there, and we should try to make use of in every way possible. These are resource-intensive people, highly educated people. We're aware that after some time they've grown up to belong to so-called families with children. Some of the keywords around this might be pay, there's another question that we can't raise here right now. But this by facilitating nurses and children's families with kindergartens, flexible arrangements, etc. I hope this work plan involves, and I would like to know if the Council of State can say anything about it.
ParlaMint-NO_2000-03-29.ana.ud585e1175	It is true, of course, that pay is also important, but again I want to repeat something I said in a previous answer, that I do not intend to address the issues related to pay and wage negotiations between the social partners. Otherwise, I think the key to the representative's other questions is just flexibility. There are large resources that are often at risk of not being used well enough because of the lack of flexibility, and I think that precisely providing for greater flexibility in the exploitation of that type of labour is one of the main tools we have to improve the situation in the health sector.
ParlaMint-NO_2000-03-29.ana.ud585e1182	I thank you again for the answer. There's another issue I want to address around this. This shows, in my opinion, that neither the municipalities nor the county authorities are able to deal with this problem properly. They are unable to deal with this and are unable to facilitate flexibility, as we talked about. It brings in another question, namely the eligibility of the county. That's what I hope the Council of State can bring into this mindset. After all, we have now received a government statement that is just talking about improving the efficiency of the public sector. There is probably another state council present that could probably say more about it, but I would like the Minister of Health to take this up with the appropriate government council and his department and see if any of the problem can lie within this.
ParlaMint-NO_2000-03-29.ana.ud585e1189	I think most people will agree that the Minister of Health has more than enough work to do with the tasks assigned to him as the top head of the health sector. It is true that this involves a number of cooperation relations between state, county and local authorities, and I limit myself to saying that we should have a great deal of attention to the issues that relate to the organisation across the administrative boundaries.
ParlaMint-NO_2000-03-29.ana.ud585e1197	I have a question for our Minister of Health: «The health authorities of the Member States consider that the law on dental care of 1983 is to be amended in such a way that children from 0 to 18 years of age will no longer have the first right to dental treatment in the public dentistry. Many odontologists have responded strongly to the health - care proposal because they fear that children’s dentures can dramatically increase in the years to come. What is the rationale for the down-priority, and will it be followed up by a change in the law?’
ParlaMint-NO_2000-03-29.ana.ud585e1206	Law on dental services states that county municipalities are obliged to organise prevention measures for the whole population. It follows from § 1-3 of the Act that a regular and outreach offer is to be made to some groups of the population. The priority groups are: children and young people from birth up to and including the year they reach 18 years of age with mental retardation in and outside the institution groups of elderly, long-term ill and disabled persons in institutions and home care, young people aged 19 or 20 in the year of treatment, where appropriate, other groups to which the county decides to have such an offer; This priority has proved appropriate and has led to a very positive development in the dental health of the paediatric population in Norway. The provision of the law also states that: ‘The groups are listed in order of priority. If the resources are not sufficient for offering to all groups, this priority shall be followed.’;» This last wording was incorporated into the law as a transitional provision because not all municipalities had sufficient resources or capacity to provide all the priority groups with a fully developed offer from the date of entry into force of the Act, which was 1 January 1984. In 1992 the then Directorate for Health sent the study «Tannnesdienst i Norway: description, assessment and perspectives towards 2015». In its transmission, the Health Directorate proposed inter alia: that a recommendation to remove the internal priority between the groups in the Dental Services Act was sent to the hearing. So far, proposals for changes have not been at consultation. I interpret the Health Directorate's recommendation of 1992 as not recommending a depriority of children and young people in public dentistry. What they propose is an equal priority for all the groups mentioned in the law. This, of course, requires the individual county council to assess resource use internally in relation to the needs of the individual groups. In this context, I mention that the Department has developed a circular that clarifies the dental service law in relation to the very representative Hedstrøm's question. The circular shall be issued in a short time. In terms of dental development, data from county authorities in 1999 show that dental health in most groups of children and young people is steadily improving. I consider the priorities of certain groups of the population to be an important health policy instrument, and children and young people will continue to be a priority group of public dental services in line with the other priority groups.
ParlaMint-NO_2000-03-29.ana.ud585e1239	I thank the Council of State for the answer. He said equal priority. In practice, there must be equal priority, for what is now happening is that public dental provision is being reduced around county municipalities. This applies both to children and to the other priority groups. I don't think that's worth the richest society in the world. It is not true that there is a strong improvement among all groups of children. We are now receiving annual reports from a number of county councils that show that the number of children without leave has fallen, so there is a worrying development. The Dental Association stated no later than today to the TV 2 news that they do not want any re-priority. They want the group 0 to 18 years of age to be the top priority. Does not the Council of State agree with this — the older and the older — and that the foundation must be laid in the youth in order to give proper priority?
ParlaMint-NO_2000-03-29.ana.ud585e1246	So, first of all, with the same priority, I mean the same priority, whether you think it's high or low or too high or too low. So it's up to each other in this priority group that there's a recommendation on equal priority. What I also meant to say about it is that it does not imply a depriority of children aged 0 to 18 compared to the previous one. Moreover, I fully agree that it is in that group that the basis for dental health is laid, and that the priority there is therefore unusually important.
ParlaMint-NO_2000-03-29.ana.ud585e1253	I thank the Council of State for the additional response. What we now see, which is unacceptable in a number of counties, is that in practice there is a down-priority of many of these groups. Only emergency treatment is provided. For example, in the South-Trundellag and in Telemark, only acute dental pain is treated. It has to be corrected. Although it is a county responsibility, the central authorities have a supervisory authority and an obligation to follow up the follow-up of the dental law also by those responsible in the counties. Now there is a lack of dentistry in today's Norway. I guess it's a passing phenomenon. It will be improved by the construction of a new dental college in Tromsø or by major admissions to the existing dental colleges. But will the purchase of dental services or other measures from private dentists be considered during a transitional period so that these unworthy conditions can be corrected, whether in the case of children or other priority groups?
ParlaMint-NO_2000-03-29.ana.ud585e1262	I take with me the views expressed by the representative Hedstrom and will use them in the cooperation we have with the county councils on these issues. When it comes to the purchase of services from outside, I would like to limit myself to saying what I have said earlier about this: this is a public responsibility, and the public responsibility should not be weakened in any way. But if public responsibility can be better exercised by also attracting private resources in this context, then we have to do it.
ParlaMint-NO_2000-03-29.ana.ud585e1272	This question, from the representative of Mr Öyvind Korsberg to the Minister for Social Affairs, will be answered by the Minister for Employment and Administrative Affairs as the appropriate representative.
ParlaMint-NO_2000-03-29.ana.ud585e1275	I will ask the Minister for Labour and Administration the following questions: ‘Reference is made to publication in the newspaper Tromsø on 15 March 2000, where it appears that there is a great deal of discrimination in the social security law between spouses and cohabitants. As can be seen from the statement, a woman on an occupational basis was reinstated as cohabitants with a gross value of 7 000 kroner per month. After marriage, the amount was halved. What will the Council of State do to ensure equal treatment for the law in this area?’
ParlaMint-NO_2000-03-29.ana.ud585e1284	Under the National Social Security Act, Chapter 11, benefits under vocational rehabilitation can be provided. This is a benefit which, like unemployment benefits and sickness benefits, is allowed to compensate for the loss of labour income while it is being redeployed. In addition, recovery aid may be provided. The benefits may be granted in the course of the implementation of the recovery measure itself in order to compensate for the additional costs that the measure may incur for the individual. Within the system of back-up aid, a separate cover may also be provided for the maintenance expenses of the member or family under Section 11-7, first paragraph, point (d), also known as household benefit. On a general basis, I can state that the issue of cohabitation or marriage may have an impact on the calculation of this needs-tested part of the rehabilitation benefit, social benefits for household expenses. Under the provisions on reinsurance benefits § 2-8, third paragraph, the total monthly living costs of a family and other costs of living and total net income will be decisive for the amount of the benefit. Thus, a consequence of such a scheme would be that change in family relationships could affect the amount of social benefits paid. I can tell you that the previous government of Ot. pp. No 48 for 1998-99 proposed that this household allowance be replaced by a child care allowance. This proposal is therefore under discussion in the Grand Duchy, and if it is adopted, it will mean changes in relation to the problem described.
ParlaMint-NO_2000-03-29.ana.ud585e1293	I thank the Council of State for the answer. Rarely has there been an answer that has shown so many laws and paragraphs. I think it might be precisely the problem in this case that there is a very great need to clean up this legislation. It's like having more and more consensual residents, and you should get a law that's easier to understand and also easier to practice. Because it's clear to most people it seems unreasonable that if you marry, you should be penalised financially by the public by halving the social security payment. I would like to ask the Council of State a specific question: why do you distinguish married people from cohabitants, and why do you have this social security rule?
ParlaMint-NO_2000-03-29.ana.ud585e1302	I have to ask for an understanding that I do not want to go into the specific matter, because it is still under consideration. One of the problems here is that the People's Security Act describes some of the cohabitants' status in line with spouses, and that is in cases where cohabitants have common children. However, in those cases where the cohabitants do not have children in common, they may in some cases be able to receive social benefits as a single mother. That's why this difference can arise. But that problem will be solved with the proposal for legislative change that is now under consideration in the Grand Duchy. I also agree with the questioner that there is a need for regulatory clearance and simplification in this area that is in many other areas.
ParlaMint-NO_2000-03-29.ana.ud585e1311	I thank the Council of State for the answer. The Council of State said that this specific matter is still under consideration. It is a little worrying that it takes so long to get cleaned up in such a case. As noted in the specific case in the paper, the employment office had difficulties in obtaining information because the legislation is not good enough. It says, among other things:\t\t You can "We did not have enough information about the financial situation when she married. [[persons]] Therefore, her benefit was automatically reduced.» Then, the Council of State sees the need to clean up this legislation in an easy way. What will the Council of State do to ensure that the labour office is provided with legislation to provide them with the necessary and relevant information at an earlier stage?
ParlaMint-NO_2000-03-29.ana.ud585e1323	When applying for a benefit, a person must obtain the necessary supporting documentation. In this case, there was no evidence relating to the spouse’s income. When that dossier arrives, of course, the application will be finalised. But I stress that, under the rules of the People's Rights Act, there is a difference between couples with common children and couples with no common children and spouses. Therefore, the result of such treatments will be different.
ParlaMint-NO_2000-03-29.ana.ud585e1332	I allow myself to ask the following questions to the Minister for Social Affairs: ‘A deaf woman has applied through the Emergency Centre in Hordaland for telefax as an aid instead of a text phone, which she finds less appropriate. The Rikstrøgdeverket has rejected the application by reference to the legislation. Will the Council of State take the initiative to amend the regulations so that, in such exceptional cases, fax can be classified as an aid under the Law on Social Security?’
ParlaMint-NO_2000-03-29.ana.ud585e1341	It is a prerequisite for the benefit of aids under the Law on People's Rights that the user has gained his or her function in everyday life permanently and significantly reduced due to illness, injury or lye. Social benefits are provided in the context of measures that are necessary and appropriate to improve the functioning of the user in everyday life. When assessing the appropriateness of a measure, attention is paid to the operation of the aid in such a way as to remedy the problem of disability and to enable the user to make use of the aid. Hearing aids may be granted to text telephones upon request if they are not able to hold a conversation with the usual telephone. This applies to cases where there is not enough, for example: hearing aids or other amplifier equipment to meet the needs of the user. According to the auxiliary social welfare regulation, no social benefits are provided for so-called white goods, brown goods and general kitchen equipment. This derogation is justified by the fact that this equipment is considered as a normal consumer product. Fax is considered to be brownware. The group of brown goods includes media electronic goods such as: ordinary videocassette player, regular telephone and TV. Social benefits are only provided for such brown goods from public health if the aid is specially built for disabled persons. Fax is not specifically built and is therefore not regarded as an aid in the sense of the Law on Social Security. The regulation was amended on 1 January 1996. The reason for the change in the rules was that such equipment is also used by a functionally healthy person and therefore it was not unreasonable for disabled persons to cover the cost of brown goods, white goods and general kitchen equipment. After what I can see, it's per. currently no need to make changes to the existing legislation.
ParlaMint-NO_2000-03-29.ana.ud585e1356	I thank you for the answer, but I have to admit that I am disappointed. I fully agree with the general rationale and principle of the regulations, namely that common consumables that are also used by functional freshness should not be classified as an aid in this way. But this is an exceptional case, a case where a woman of the age in question would hardly have gone to the purchase of such a device if it had not been for her disability, which puts her in a special situation. The legislation must be in place for users and not vice versa, and the disabled person himself is best aware of his situation and his ability to make use of various tools. In view of this, will the Council of State go through the regulations?
ParlaMint-NO_2000-03-29.ana.ud585e1361	I notice that the representative Næss agrees with the reason that the usual consumer goods should not be covered by the public interest. Now this is a specific matter, which I find difficult to comment on, and which is described as an exceptional case. It may be a person who would not have wanted to buy a fax if he had not needed it, but I remember that fax is a quite reasonable device, so I don't see the whole reason that this particular example would make me go through the whole code again.
ParlaMint-NO_2000-03-29.ana.ud585e1366	Yes, I fully agree with the general reasons for the legislation here, but here it is about exceptions, and I have noticed that the Swedish National Agency in a letter to the Hordaland Aid Agency, despite their maintaining their position, writes: ‘In some cases, faxing can be a good and cheaper solution for individuals and for social security.’ Will the Council of States not contribute to a closer look at these rules, given that simpler solutions may be preferable to individual users, and at the same time cheaper to society?
ParlaMint-NO_2000-03-29.ana.ud585e1376	Simpler solutions can be cheaper for society, but I just have to repeat my answer from instead: I don't see that this case is of such a dimension that it justifies an entire review of a very complicated code. But I have to say, like the Council of State that stood here before me, that there is a lot of public legislation that should be looked at, precisely because it has become too complicated, and I will be in it.
ParlaMint-NO_2000-03-29.ana.ud585e1384	I allow myself to ask the following questions to the Council of State: ‘Oslo municipality uses approx. 1 billion. in the case of drug users, the amount of euro per year spent on action. Oslo has approx. 12 pst. of the country's population, but approx. 50 pst. of the country’s drug addicts. This is because drug users from all over the country come to Oslo. The home municipalities leave the problems to Oslo and drop the expenses. This is not being compensated by the state today. What will the Council of State do to correct this bias, so that Oslo can obtain acceptable reimbursement for costs and maintain an acceptable offer for drug users?’
ParlaMint-NO_2000-03-29.ana.ud585e1393	Estimates by the State Institute for Alcohol and Drug Research suggest that less than half of injecting heroin users are resident in Oslo, while two-thirds are resident in the central East — including Oslo. It appears, therefore, to be primarily a drug user from the central eastern municipalities who are moving into and living in the abuse settings of the capital. Some must be assumed to be genuinely homeless and can therefore easily remain in these environments. It is according to the Social Services Act § 10-1 of the municipality of residence that is required to provide services under the law to all residents of the municipality. The nature of the assistance provided by the municipality of residence must be assessed in the light of the situation in which the applicant is located. The full obligation under the law will apply to a permanent stay. In the event of a temporary and short-stay period, emergency assistance may be provided. When assessing what measures are necessary, account may be taken of any offers made in other municipalities. There is no reimbursement obligation under the law for expenditure between municipalities, which means consistency between the local authorities' responsibilities for providing services and the financial responsibility for them. There is one exception: if a drug addict has been admitted to an institution, it is the municipality that was a resident municipality before the institution's stay, which will provide any services. It is clear enough that Oslo is considered to be a municipality of residence for many drug addicts who do not initially come from the municipality. Big cities attract not only younger workers who contribute to the creation of value added, but also people fleeing from too difficult situations in life. For addicts, the larger environments may give anonymity and – after all – a form of belonging. It is also one of the reasons why there is a single major urban factor in the income system of the county councils, and that the municipality of Oslo is also receiving significant exceptional state subsidies, among other things. measures for drug users, including methadone-assisted rehabilitation. It is also fully possible for a municipality to contact the municipality of residence of the drug user, where such a municipality actually exists, for the purpose of cooperation on repatriation and establishment at the place of residence. I am aware that the Municipality of Oslo has taken such an initiative in relation to neighbouring municipalities. What we have to avoid is that drug addicts become throwing balls between municipalities. Today's system seems to be the clearest guarantee of responsibility. The Equalizer message is for treatment in Stortinget, and I will not withdraw it. It will provide the Storting with the opportunity to discuss important actions for, among others, drug users who are homeless. In that debate, the specific situation of the metropolitan area will also need to be assessed.
ParlaMint-NO_2000-03-29.ana.ud585e1406	I thank you for the answer, but I'm not so happy with it. It is true that this has been addressed in the position of the Rattsø Committee, but the point is that it has never been followed up with practical measures in the form of grants to Oslo based on the additional problems of Oslo. For example, I can. mention that between one third and one quarter of Oslo overdose deaths have occurred among people living in other municipalities. The second option, in addition to following up what has been set up in the Rattsø Committee, is to amend the Social Services Act so that the municipalities of Oslo and other municipalities facing the same problem can at least send a bill to the municipality of residence for daily subsistence expenses, detoxification, health services, etc. for a period not exceeding two years. Today, it is not the case, but rather that the municipalities from which many of these drug addicts come use this as a sleeping cushion.
ParlaMint-NO_2000-03-29.ana.ud585e1415	I said in my first answer that there are actually extra transfers to Oslo in the framework of the municipalities. In addition to receiving a number of drug users from other municipalities, Oslo also receives a number of well-trained people. But you do not withdraw money or send money back to the municipality of origin for that reason, so I believe that if we are going to think very broadly about this, we have a big and complicated accounting ahead of us.
ParlaMint-NO_2000-03-29.ana.ud585e1420	It's true that Oslo gets some support. According to the Oslo City Council, this is 60 million. So it's just going to be 6 pst. of the more than one billion that the Municipality of Oslo has in real terms expenses in this area. I hope that the Government's attitude towards Oslo and the special metropolitan problems facing Oslo will become clearer, and that you will get a better understanding of this after sitting in the Council of State for a while.
ParlaMint-NO_2000-03-29.ana.ud585e1425	It is the duty of this Council of States to take care of the interests of the weakest groups. Therefore, it is also my duty to ensure that the very worst, such as heroin addicts, do not become a throw-off between municipalities. And that's why you changed this in the Social Services Act. As I said, the municipality of Oslo receives some increased grants as well as a number of state-funded measures that are directly targeting this group.
ParlaMint-NO_2000-03-29.ana.ud585e1435	I allow myself to ask the Minister for Transport the following questions: «In connection with the Phase I Eastfold package, a joint effort of 50 pst has been agreed. State grants. Will the Council of State in the revised national budget ensure that start-up appropriations are incorporated into this important road package, so that work can begin in 2000?’
ParlaMint-NO_2000-03-29.ana.ud585e1444	The treatment of Phase 1 E6 and E18 in Eastfold for the period 2002-2011 by the Storting on the Easternfold package provided that the level of the State investment framework for the deployment of E6 and E18 in Eastfold will be clarified in the context of the treatment of the national transport plan. Once the framework has been clarified, a development and financing plan will be drawn up. The final selection of individual projects and their appropriations will be made in the annual budget proposals. The state road system is based on a work plan aimed at starting toll collection towards the end of 2000 and the expansion of the first E6 and E18 parcels in 2001. From this point of view, I believe it is right that the start of the phase 1 Eastfold package should be dealt with in the 2001 budget.
ParlaMint-NO_2000-03-29.ana.ud585e1458	I thank you for the answer, but it really wasn't that much new. Getting agreement and decision to expand E6 and E18 as well as the railway solution in Moss has been a very heavy and difficult case locally in Østfold. One main assumption was this fissile matter, with 50 pst. by the State. It is clear that there has now been a great impatience, because we see that there is a clear distinction between the road standard between Akershus and Eastfold when we take, for example. E6. This means that we have a great need to get this important work started as soon as possible, and at least it must not be so that we set up toll stations first, before work can begin. I am tempted to challenge the Council of State whether he can give something clearer signal about his personal position on this important issue, so that the people of Eastfold have something to look forward to.
ParlaMint-NO_2000-03-29.ana.ud585e1465	I agree with the representative of Holten that it has been a difficult matter, and I understand the impatience and also the desire to get started soon. However, the progress I have made is in line with the process of collapse of the Phase 1 Eastfold package, and I will deal with it. Otherwise, I will follow up as soon as possible, and in this context I have already addressed the question of tolling on Fv 311 by inviting the relevant municipalities and county councils to a meeting shortly.
ParlaMint-NO_2000-03-29.ana.ud585e1472	I thank you again for the answer. I think it is useful and pleasant that an initiative has been taken, so that one at least gets the concrete piece that goes on the toll solution. But according to the Council of State's own place of residence, I expect that he is very well aware that these are very difficult roads, both in the case of serious accidents and heavy congestion. Then it is important for us that we could now get a recognition that it is not just for these two ways to stay standing in a long, long queue in the coming plans. They must be given a clear priority given to the importance of these two road sections and not least to the tunnel solution in Moss. I expect that the Council of State will take into account when he starts his work in terms of budget and road plan.
ParlaMint-NO_2000-03-29.ana.ud585e1479	It is quite right that these are very heavy road sections, both in terms of traffic density and also in terms of accident frequency. Therefore, we will continue to focus heavily on this. In the case of the Moss railway tunnel, it will be managed in the context of the treatment of the national transport plan.
ParlaMint-NO_2000-03-29.ana.ud585e1489	I will ask the Minister for Transport the following questions: ‘In recent years, the future of the Gjøvik Railway has been under threat from various media in Oppland. There are statements that the Gjøvik-Jaren section can be closed. How does the Council of State view this in relation to strengthening public transport and the environment?’
ParlaMint-NO_2000-03-29.ana.ud585e1498	Train traffic on the Gjøvik Railway is part of the purchase of passenger transport services by the State from the NSB. Agreement has been reached between the State of the Ministry of Transport and the NSB for the purchase of passenger transport services for 2000 and this agreement does not provide for the termination of the Gjøvik - Jaren route. The agreement between the Ministry of Transport and the NSB for 2000 provides for a State purchase amount of 68 million. kr to Gjøvikbanen. The NSB's position is that today's operation on Gjøvikbanen does not provide a good enough offer to the travellers and is too expensive for the state. As I have been informed, the NSB therefore assesses various alternative solutions for the further operation on Gjøvikbanen. The current train service on Gjøvikbanen is part of the framework agreement concluded by the State with the NSB for the purchase of passenger transport services for the period up to and including 2001. I suggest that the NSB's train services on Gjøvikbanen, like other sections of the railway line, are assessed in the context of a new four-year framework agreement between the State and the NSB for the period 2002-2005. However, if the NSB before that, in cooperation with local authorities, agrees on an alternative solution for today's operations that can be covered within today's financial framework, I am willing to look into this.
ParlaMint-NO_2000-03-29.ana.ud585e1507	I thank you for your answer. The council said that if you could reach an agreement within the current framework, he was willing to look into the matter. We from Uppland want an answer now. In 1993, the Gjøvikbanen report said that everything that was supposed to be rusted up, both track and rolling stock. It hasn't happened. It's just been uncertainty. Then I stand with today's Uppland Worksheet: ‘NSB Director: One take-off’ – one take-off per. day from Gjøvik, and bus. We from Uppland want a guarantee that the Gjøvik Railway will pass. It has absolutely its high value in traffic patterns, and it is absolutely necessary to ensure infrastructure in West Oppland, which is very poor. I now expect a clear response from the Council of State whether he wants there to be railway operation on Gjøvikbanen.
