ParlaMint-NO_2000-02-23.ana.ud1940e31	The called alternate of the Telemark County, Gunn Marit Helgesen, has taken the seat.
ParlaMint-NO_2000-02-23.ana.ud1940e894	Yeah, at least it's perfectly obvious that we have to have equality with the law, the rules have to be practiced the same throughout the country. And that's what efforts have been made to achieve, at least now via the Tax Directorate. If further information is needed, we'll have to evaluate it. If it turns out to be such a need, we'll make sure to meet it. Then I see that, as Lyngstad now points out, you can see this case with a slightly different angle of incidence. Therefore, I will not entirely reject the fact that there may be changes, but I think it is appropriate that we wait to consider any changes until we have seen this sample work – that is, the sample that will present its release on 15 April, as in particular. concerns the framework conditions of the press.
ParlaMint-NO_2000-02-23.ana.ud1940e911	This question is deleted.
ParlaMint-NO_2000-02-23.ana.ud1940e925	This question has been raised.
ParlaMint-NO_2000-02-23.ana.ud1940e931	This question, from the representative Jan Johnsen to the Minister of Defence, will be answered by the Minister of Agriculture on behalf of the Minister of Defence.
ParlaMint-NO_2000-02-23.ana.ud1940e934	I have the following questions for the Minister of Defence: ‘In the context of mobilisation, access has been granted to the purchase of private cars for use in the Defence. When the law on this was drafted, there were relatively few cars in Norway. Today there are large stocks of cars with dealers in both a new and used version. In relation to this, the law should be amended. Will the Council of State take an initiative to do so?’
ParlaMint-NO_2000-02-23.ana.ud1940e943	Law of 29 June 1951 No. 19 on military requisitions provides the legal basis for requisitioning civil resources for use in the Defense in the event of war. The Home meal also applies when the Defence or parts of it are put on a stand-by war foot. Revised provisions of the Law were laid down by the King of the Council of State on 17 September 1999 and entered into force on 1 December of that year. The defence needs approximately 27,000 vehicles, mainly four-wheeled, vans, vans, buses, trucks and other special vehicles. In addition, the civil defence has a need for approx. 15000 vehicles, which are to a large extent passenger cars. If the vehicles are to be recovered from dealers, it is necessary to ensure that the required number of vehicles is distributed among the different types. Today's business profitability requirements include, inter alia: wanting to place minimum capital in stocks. Stocks are sought to a minimum, with delivery in accordance with the ‘just in time’ principle. This is also the case in the car industry, and not least in the case of heavier vehicles. These are increasingly produced on orders according to the buyer’s specifications. Recruitment of vehicles by dealers would hardly satisfy the total defence needs of the number of vehicles, either in total or by category. It is therefore considered most appropriate to maintain the current system.
ParlaMint-NO_2000-02-23.ana.ud1940e954	I thank the Council of State for the answer. My point is not that you should go away from being able to claim cars. On the contrary – I think we need it, like what the Council of State said. But my point is that it's being rationalized and streamlined in a different way than what it's doing today, and I'm not so sure that those who print out these petitions all the way, see the rationalization effect that can be in doing these things in a different way. So my question basically went more to it with efficiency and rationalization, not that the defense should not be given the opportunity to claim. Can the Council of State see if there are possibilities to save a few dollars on that particular job?
ParlaMint-NO_2000-02-23.ana.ud1940e961	I agree that one should also have a cost assessment of how this works in relation to any practice that one has had and that continues. So there has been a review of the legislation, and then with a new regulation designed as late as 1999. The background to that review was the need to adapt to the current organisation of defence and total defence, in particular with regard to preparedness planning. I take it for granted that the assessments that the questioner is looking for are also made in connection with that review, as it is so close in time. A notification is sent every year to those who have cars that are requested, and it is clear that there is a working process and a cost of it. On the other hand, if one is also to take into account those affected, it is important that all are aware at all times of the obligations incumbent upon one in relation to such a requisition.
ParlaMint-NO_2000-02-23.ana.ud1940e978	This question has been raised.
ParlaMint-NO_2000-02-23.ana.ud1940e991	This question has been withdrawn.
ParlaMint-NO_2000-02-23.ana.ud1940e997	I allow myself to ask the following questions to the Minister of Justice: ‘For seven years, an Oslo woman has been waiting to receive her application for compensation for victims of violence from the County of Oslo and Akershus, according to the NRK. The reason is that the police have not sent the necessary papers to the county. What will the Council of State do in this specific matter, and what can he do to ensure that such situations do not arise in the future?’
ParlaMint-NO_2000-02-23.ana.ud1940e1006	Unfortunately, it is right as the NRK stated, that an Oslo woman had to wait as long as seven years to deal with her victims' case. This is, of course, an unacceptable length of time. I have been informed that the county manager has now received the paperwork from the police and is about to close the handling of the matter. With regard to the long handling time in the police, this will be taken up and intensified towards the country's police officers. I have also been informed that the County of Oslo and Akershus have improved the procedures to prevent this from happening again in the future. Against this background, I see no need to take further action.
ParlaMint-NO_2000-02-23.ana.ud1940e1025	I have this question to the Minister of Justice: ‘Today, 510 Norwegian women live at a secret address of fear of violent ex-husbands. Many have asked for new numbers in order to ‘disappear’ completely, but today’s legislation does not allow for such changes. The crisis centres made a recommendation to the Ministry of Justice in 1991 asking that women in such situations be allowed to change their personal numbers. The recommendation has not yet been followed. What will the Council of State do to give these women the opportunity to live a new life in full security?’
ParlaMint-NO_2000-02-23.ana.ud1940e1034	Many women who have broken out of violent cohabitation still feel threatened by the attacker and experience that it continues to practice violence and pose threats. The worker often finds himself even after he has moved or taken other precautions to keep himself hidden. The Swedish People's Register Act imposes, in principle, the obligation of professional secrecy on individuals. However, a person’s full name, personal identification number, address, etc. is not considered to be private if such information does not disclose a client relationship or any other relationship that must be considered as personal. Such information may be disclosed to persons and private institutions where such information is necessary for the exercise of legal rights or obligations. It is possible to apply for an address not to be provided to private persons and institutions. The other personal data in the public register are not the basis for taking measures to protect, in addition to what is mentioned. Under the law in force, it is not possible to get a new or fingered personal number on the grounds that violence or threats may be involved. According to today's rules, access to a new person number is only permitted if it is incorrect on the person number or after sex. I agree that the protection of the most vulnerable victims is not good enough. It is necessary to work towards changes in the rules providing better protection for personal data and, where appropriate, access to personal identification numbers on a case-by-case basis. I am now taking the initiative to set up a working group to work to investigate and clarify the question of changed numbers in order to protect women exposed to violence. This work is a follow-up to the Action Plan ‘Violence against Women’, which was transmitted to the Ministry of Justice of the United Kingdom on 24 November 1999. This issue is addressed and it is promoted as a separate measure in the plan that the issue of increased protection of personal data for persons exposed to serious violence and threats should be addressed in greater detail.
ParlaMint-NO_2000-02-23.ana.ud1940e1052	I thank you for your answer and I am pleased that the Minister of Justice is now setting up a working group to provide women and others with the protection they need in the face of serious violence. I urge the Minister of Justice to make this a fast-working group and to return to Stortinget with the necessary changes as soon as possible. I would also like to draw the attention of the Minister of Justice to the arrangements that exist in Sweden, which actually have a set of arrangements, first of all the ‘Law of Secrets’, which allows women to change both their personal numbers, their names, etc. etc., which gives them the opportunity to grasp their lives, and also the so-called ‘quota’, where new residence addresses are not registered in the public register and only the tax services know where the woman lives again. So I want to ask the Minister of Justice, will he take this very, very quickly, and will he consider the arrangements that are in Sweden?
ParlaMint-NO_2000-02-23.ana.ud1940e1059	I'll get hold of this quickly, because it's necessary. I'm familiar with the Swedish arrangements, which give access to a so-called security marking in the People's Register, which is not regulated, but which means that you can then be very careful about providing personal data, to the point that you can use an old address, even if you have moved, and to the point that the representative suggested that you can have a finger on a personal number. It is also true that this relationship that the representative raised was addressed in the letter of consultation sent out last September by the Ministry on the protection of sources and the anonymity of criminal proceedings. So this is a question that has my involvement, and I've had so many contacts that I'm willing to push it forward as quickly as possible.
ParlaMint-NO_2000-02-23.ana.ud1940e1067	I would like to ask the Minister of Justice the following questions: ‘The World Gang on 7 February 2000 stated: ‘Immigrants who are to be expelled under the rules may in the future become, if they are guaranteed by resource-intensive people.’ To this state Secretary, Atle Hamar, confirmed that it is being worked to provide a so-called ‘sponsorship scheme’ this spring, where immigrants may be afraid of the involvement of Norwegian friends. Will the Council of State elaborate on this further, and will such a proposal be made for the Storting?’
ParlaMint-NO_2000-02-23.ana.ud1940e1076	The look-up in the World Gang does not give a correct picture of the issue as it was investigated in the ministry — and as was also presented in the newspaper the next day. What we are considering is the possibility of introducing a temporary authorisation scheme from one to two years to persons who do not fulfil other conditions for authorisation under the Foreign Affairs Act. The scheme is intended to have a humanitarian aspect, in the sense that it should be a positive experience for the person who comes, and for those who are responsible for it – a kind of host scheme. The scheme shall not charge the State budget, but shall be entirely financed by an organisation, assembly or municipality. In this way, we will also be able to meet the commitment we often experience in community. The purpose, boundaries and other details remain to be determined. However, what is clear is that the scheme is not intended to apply to persons in Norway who have been refused authorisation. Nor should it provide a basis for permanent immigration into the country. And it is also such that when this matter is resolved by my side, I will submit a proposal to Stortinget.
ParlaMint-NO_2000-02-23.ana.ud1940e1083	I thank you for your answer. I was a little worried about the answer, because I feel that we are moving away from a very important principle that has gone on this with similarity. One should not be able to buy a place in society. And as one opens up that one can say that one is a hostitant of church sounds and municipalities and that kind of thing: Yes, it is in many ways to break with the principle that we have had in the judicial system – that one should not be able to buy a place in the system. I'm a little concerned that one thinks such thoughts, given that we have a strict asylum and immigration policy, and that one in this way gives room to smear – I would say smear – into the queue of those who may need humanitarian support.
ParlaMint-NO_2000-02-23.ana.ud1940e1090	The representative is wrong. This is not part of asylum or immigration policy. It's not meant to be like this. It's not meant to apply to people who are here and have been rejected. Nor is it meant to be a shortcut to Norway. It is meant to be a time-limited stay in Norway and where it remains to be investigated. But if you want to describe it publicly, we know the scheme at youth level — for example. We know it through the AFS scheme, where young people can travel across the world and be exchanged. We suggest that that possibility can also apply to others, but there must be clear rules for it, and there are rules that are neither about smearing nor about going forward in an unrelenting way, nor about sneaking into the realm. It's about a time-limited stay in order to receive something positive and possibly give something positive, and that's it. It is not intended as any contribution to changing the rules of asylum or labour immigration policy. There's never been a theme on our part when we've been thinking about this scheme. The size will of course get the case, and they will then discuss it and assess it as they think it is necessary, when the matter comes to the knowledge of the Storting.
ParlaMint-NO_2000-02-23.ana.ud1940e1100	I will be allowed to ask a question to the Minister of Justice: ‘Norway has no effective expulsions from 70 Kosovar Albanians who have served long drug sentences in this country. What will the Council of State do to ensure that the expulsions are realised?’
ParlaMint-NO_2000-02-23.ana.ud1940e1109	The question was addressed in the oral question procedure, but the more complete answer comes to the representative Rasmussen. It is true, as pointed out in the question from the representative Rasmussen, that there are about 70 people from Kosovo expelled from Norway. Most people are convicted of drug crimes, but cases also include persons convicted of other circumstances and not all have been punished for long periods of time. The collective protection scheme for persons from Kosovo in April last year did not include persons who had been given a deportation order or committed criminal offences that could provide a basis for expulsion. Norwegian non-resident authorities conduct strict practices in relation to the expulsion of persons who have committed criminal acts in Norway and are concerned that this policy can be implemented by forced deportation of persons who do not leave the rich voluntarily. In the case of persons from Yugoslavia, including Kosovo, it has been a problem in the past that the Yugoslav authorities have not accepted involuntary returns from nationals of the country of origin, regardless of whether they have been from Kosovo or Yugoslavia. It has not been decisive whether or not the persons have had Yugoslav passports. It should be noted that this has been a problem not only for the Norwegian authorities but also for other countries that have tried to transport people to Yugoslavia. The problem has also not only affected persons who have been expelled but have included all those who have not had the right to stay in Norway and who have wanted to return to Yugoslavia. In 1996, an agreement was negotiated with the Yugoslav authorities to allow for compulsory returns. As a result of the subsequent developments in Kosovo, it was not appropriate to sign the return agreement. Following the changes that have taken place in Kosovo in 1999, the work on forced returns of those expelled could be carried out in the current six-month period. I gave a clear signal before New Year last year that we could work together to find practical solutions for transportation. This work raises several complex issues of a political and practical nature, but I can assure you that the work will be given high priority by the Government. While the Norwegian authorities will work nationally on this issue, all international initiatives that come to coordinate their policies will of course also follow up, and we will maintain close contact with the authorities in Sweden and Denmark in the further work.
ParlaMint-NO_2000-02-23.ana.ud1940e1124	I thank you for your answer. I am aware that this is a very difficult question. The Labour Party's position is that crime should be punished regardless of the background of those involved and that expulsion decisions should be enforced. We know that deportation for criminal activity should be a special reaction, leading to a permanent ban on entry to the country from which you are expelled. Then is my point in relation to the Schengen cooperation and the things you want to put in there: in my view – and hopefully also the state’s view – it will help people who have come out of the country to have trouble getting back in if they want to. But I notice that the Council of State said that they would follow up all international initiatives in terms of cooperation in relation to the problem of getting people expelled, to really get out of the country. And then my question is: does a non-Norwegian person take initiative towards other countries, as this is an international issue that many countries are interested in solving?
ParlaMint-NO_2000-02-23.ana.ud1940e1135	Yes, we are taking initiatives from the Norwegian side. We have e.g. ongoing Nordic cooperation on all asylum and refugee issues, which is a very useful cooperation. We are also trying to follow up the initiatives of the UN High Commissioner for Refugees, and it is in this situation that the High Commissioner has asked a return to Kosovo to give priority to those who want to return. It must also be seen in the context of, when coordination is needed, that many European countries have also had criminals whom they wanted to return. Therefore, Norway, like Sweden and Denmark, has not yet carried out compulsory transport operations. However, I expect that in the current year a practical solution will be found to both the practical and political issues associated with forced returns, and I can repeat that the Government prioritises this. This could be done, for example, by: is about a direct transport to Pristina. Then you must have a purpose in relation to UNMIK, and you must also have clarified the relationship between transit through the air territory of other countries. So, of course, we will take the initiative, and I will also ensure that the initiatives are followed up, for the representative Rasmussen and I have the simple opinion that something has been done wrong and abused our trust, too.
ParlaMint-NO_2000-02-23.ana.ud1940e1147	I have the following questions to the State Council Dørum: ‘Thepromilleprogramme instead of the prison sentence has been in place for four years. Eastfold, Buskerud, Rogaland, Süd-Trøndelag and Nordland have this as a testing scheme. The programme is aimed at those who are targeted at driving more than 1,5 per mille or who have been previously convicted of per mille driving. Does the State Council wish the programme to apply to all per miller drivers and that the scheme should apply to the whole country?’
ParlaMint-NO_2000-02-23.ana.ud1940e1156	The testing scheme of pro-mille programmes has been in operation since 28 June 1996. The target group for the pro-mille programme are those who would alternatively be sentenced to unconditional imprisonment for repeated pro-mille driving or driving with more than 1.5 per mill and who also have a recognised alcohol problem. Prison has experience limited preventative effects against this group. The fall back on new pro-mille driving in this target group is experiential and these persons account for a significant part of the total number of road accidents. The aim of the programme is to make the most of this special risk group to refrain from driving with pro-mille in the future, thus creating a safer traffic environment. Experience with the sample scheme with today’s target population is good and there is nothing in the existing evaluation material that suggests that the target population should be substantially changed. The testing scheme with pro-mille programmes in five of the counties of the country expires on 28 June 2000. With regard to the issue of an extension of the scheme to the country as a whole, we have in St.prp. No 1 for 1999-2000 said that by the end of the probationary period we will take a decision on the further development of the pro-mille programme. It is clear that an extension of the scheme will require the allocation of resources to criminal justice in freedom. The first natural opportunity for the Government to come back to this matter will be in the revised national budget for 2000.
ParlaMint-NO_2000-02-23.ana.ud1940e1165	I thank the Council of State for the answer. I understood that the matter was then settled and made up for it. But I would like to focus a little on the guidelines for the pro-mille programme, which today is that people who come under this scheme must have a so-called recognised alcohol problem and a stable life situation in order to implement such a punishment. In my view, it should be such that not only those with an alcohol problem should have this possibility, then it can easily be discriminatory. In my view, the system should be extended to cover several convictions per million. Of course, people who need such a compensation must be motivated to participate in the programme. That has to be a clear assumption. The exception for such punishment is when pro-mille driving has led to additional crime, or when you hurt another person, and it should also be in the future. The purpose of the programme is not abstinence, but to discourage pro-mille driving in the hope of creating safer traffic. Does not the Council of State see that this may be equally necessary for all per mille drivers, without the need to be confirmed as an alcohol abuser in order to receive such information and weaning?
ParlaMint-NO_2000-02-23.ana.ud1940e1172	There are many good intentions and objectives that can be implemented over public budgets. In my further work on the matter, I want to focus on what we've learned now, namely that with the target group you've had now, you've had good experience. This applies, inter alia, to: the work carried out in the representative's home country, Eastfold, where the work is very active, and I myself have gained that experience. But I now base my further work on what has until now been the framework of the programme, and will not say anything more than what I said in my first answer, that the first natural opportunity to look at the question is the revised national budget for 2000.
ParlaMint-NO_2000-02-23.ana.ud1940e1180	I would also like to ask the Minister of Justice a question that goes on the following: ‘The Minister of Justice and the Secretary of State have been abroad to gather as much information as possible from colleagues in order to assess changes in the weapons instructions of the Norwegian police. Visits have concentrated on Denmark and the United Kingdom. What experience has the Council of State gained from these inspections and has any information been provided that has led the Council of State to change its view on the armaments of the Norwegian police?’
ParlaMint-NO_2000-02-23.ana.ud1940e1189	I have recently gained insight into how the Norwegian police are given operational training during basic education at the Police College and in the annual training in the police districts. With regard to visits to Denmark and the United Kingdom, it has been valuable to gain insight into the two different schemes. In Denmark, there have been no special debates in recent years on police armaments, whether in public or in the police. As you know, the Danish police are armed with handguns. The British police are known to be unarmed, but have separate armed units that are called upon when necessary. There is no discussion there today about changing the general armaments regime. This was confirmed by me at the latest both yesterday and yesterday in contact with both the political authorities and the police authorities. In Norway, we have a long tradition for the police to be civil and unarmed. At my discretion, it is important to continue today's arrangement. In order to achieve this, it is necessary for a police officer who has the necessary skills and equipment. Tactical and operational skills are fundamental. We must have crews who are able to handle such situations. Police emergency units, UEH, have good skills in this area. The specialists are the response team in Oslo, which also has a national responsibility for assistance. My impression is that today we are well covered in this area. When situations arise that put police skills to the test, it is important that all levels of the police contribute to evaluation and any improvement measures. Police high school is now undertaking a survey project aimed at systematising and processing information from the reports received by the Department as a result of police armed missions. The purpose of this is to continuously focus on procedures and any changes in training. I know, of course, that the Police College has improved its education from such insights over recent years, I have experienced that when I visited the Police College. But I have to conclude, in answer to the question, that the visits to Denmark and England for my part have not led to any change in view of today's practice.
ParlaMint-NO_2000-02-23.ana.ud1940e1200	I thank you for your answer. That was a clear speech from the Council of State. I find it regrettable that the visits have not led to another position. Based on the tougher everyday lives facing several police districts, it is important to draw the right conclusions so that police officers have the necessary security of life and health. That must be the important thing in this case. Already in 1965, the Danish police were armed after four unarmed policemen were killed there. It is hoped that we will release such episodes in Norway before the responsible authorities respond adequately. It's about being at the forefront of development, not in retrospect. According to State Secretary Solbakken, last year there were 200 cases where weapons were used in Denmark. In single situations in Norway, the need is no less than that of our Danish brothers. What will happen before the Council of State may change its position regarding the possibility for the police to use weapons?
ParlaMint-NO_2000-02-23.ana.ud1940e1211	While the United Kingdom, like Norway, has in most cases an unarmed police force, they also have, like us, the police that can be used armed. The difference is that the British have units that have been trained exclusively for this purpose, while we have policemen in ordinary service who have been trained to move out. I have personally taken part in the training courses available. I believe that the training courses are good, and that the police are fit to solve the problem. There is a common feature between Norway and the United Kingdom that, in the vast majority of cases, weapons do not have to be used, and in the rarest cases, shots are exchanged. I believe that the most important thing – and most realistically – in Norway is to hold a police force unarmed in the usual police work, as we know it from a large neighbouring country like the United Kingdom, but which, at the same time, must be well-trained and well-organised to know how to deal with a situation if necessary. I have said that we are considering this on an ongoing basis. I know that those who are involved in education do that, and I'm also personally prepared to do that, because it's vital to be able to keep the limit we have in Norway today.
ParlaMint-NO_2000-02-23.ana.ud1940e1225	I would like to ask the Minister of Justice a question: ‘The Organization against Public Discrimination, OMOD, has put forward to the Ministry of Justice a proposal for a ‘receipt mechanism’ whereby persons with a minority background can quickly provide proof of their identity through police control. Could the Council of State consider voting in favour of this proposal?’
ParlaMint-NO_2000-02-23.ana.ud1940e1234	First, I would like to stress that the purpose of foreign controls is to limit the number of people who are illegal here, with the negative consequences that this entails for society. Illegal immigration and trafficking in human beings represent an increasing problem both in Norway and in other European countries. I therefore want the police to maintain a reasonable level of control, so that illegal residence can be minimised. However, I have a great deal of understanding that controls can be felt as an unpleasant intervention in the individual's freedom, especially if persons with a minority background are subjected to repeated checks without having acted in a manner that gives rise to suspicions that they are staying here illegally. On this basis, in October 1999, the Ministry of Justice issued new guidelines for the control of foreigners after entry. The guidelines state that post-entry checks are not to be carried out solely on the basis of appearance, language, name or because a person is a non-resident or has foreign origin. The Organisation Against Public Discrimination (OMOD) launched several years ago a proposal to establish a ‘receipt mechanism’ to allow persons with a minority background under control to submit a certificate showing that they had previously been checked. The Ministry did not find any reason to support the proposal, including: because such a system of acknowledgement would not prevent persons who are present in places where the police suspect that there are illegal residents from being checked. Nor can a receipt be provided as proof that the police have carried out the check in a reprehensible manner. As I said, I have a great understanding that the person who experiences control of his person sees this as a negative experience. This imposes great demands on the understanding of the persons checked for the purpose of the checks. In addition, the checks must be carried out in a smooth and polite manner. In the light of the new guidelines as well as the considerations relating to a receipt scheme that I have referred to, I still see no reason to introduce such a receipt scheme as the representative Jan Petter Rasmussen refers to in his question. However, I am very concerned that the police should not discriminate, and therefore invited me to do so. to an open discussion on this at the police chief’s meeting last autumn, where the secretary-general of the Centres for Ethnic Discrimination briefed and started a discussion on these issues. Based on the conversation that took place – which was very direct, very concrete, and which was marked by the willingness to combat discrimination by the police leaders – I will follow up on this. I would like, among other things: actively build on the experience gained by Centres against ethnic discrimination. This center has been established, among other things. in order to preserve the experience of discrimination, and OMOD has been one of the birth helpers here. So they're going to have a lot of praise because they've been active and because they're on. But the practical proposal as it is formulated, I don't now see it as the most appropriate way to put the discrimination to life.
ParlaMint-NO_2000-02-23.ana.ud1940e1251	I thank you for your answer. It would be clear from the debate earlier today in the oral question procedure that the Labour Party and I also agree that we should have a reasonable control, and a pressure on controls, in relation to what is going on in this country for illegal residence. We fully agree on that. But the point in this case is that the persons who have a valid stay and have a clean meal in the bag are constantly exposed to controls. In fact, the Oslo police have also admitted that there may be a tendency for this to happen. As for the Centers against ethnic discrimination, I guess both the Council of State and I were on each side of the table in their own time in relation to the establishment, so I think we have the same objective in that regard. State Council Odd Roger Enoksen has said that one should take, among other things, organisations working against discrimination in society, seriously, while taking UDI reports and other issues seriously in this regard. So here I think there's real opportunities to take OMOD seriously, and you don't. The system I'm referring to is established in England and works well, so I'm going to ask the Council to reconsider this.
ParlaMint-NO_2000-02-23.ana.ud1940e1262	I said I would not review it again now. But at the same time I have said that I am open to all practical suggestions, and the reason for this is the following: These include: in the Oslo police force, but also in other police districts, created strategic plans to combat discrimination based on a simple philosophy, the same as the Rasmussen representative, that a citizen is a citizen. And there's no point for the police to have the least possible friends. You need as many friends as possible, and you need friends to fight those who are enemies, namely criminals. I myself have been present at a number of meetings where what really makes sense is when people personally tell about discrimination. This is where representatives of the police department are present and listening. I find that it makes an impression. I believe in such measures. I also believe in the dialogue that was created when Senter against ethnic discrimination took part in the police chief's meeting. Because I want to have the press on the case, I want to follow it up, and I want to pay particular attention to the experience the Centre is gaining, for all such experiences, which are testimonial experiences, force them to constantly look at practice. Of course, I also support the police in recruiting from ethnic minorities, so my question is not about will or attitude, but about finding the practical measures that last. And on that basis, I'm going to evaluate openly at all times what's the most effective. But I'm waiting for further input from those who have the practice, both at the police and among others. Centres for ethnic discrimination, to which I attach great importance to listening.
ParlaMint-NO_2000-02-23.ana.ud1940e1279	This question, from the representative of Unn Aarrestad to the Minister for Church, Education and Research, will be answered by the Minister for Transport on behalf of the Minister for Church, Education and Research.
ParlaMint-NO_2000-02-23.ana.ud1940e1282	I allow myself to ask the following questions to the Council of State: ‘The demand for part-time seats in student kindergartens has been increasing following the introduction of cash support. Since the Ministry of the Church, Education and Research only supports places where children have an agreed residence period of 31 hours a week or more, these kindergartens no longer receive support from the Ministry. As a result, many of these kindergartens suffer loss. When will the Council of State fix this?’
ParlaMint-NO_2000-02-23.ana.ud1940e1291	Children's playgrounds earmarked for students' children, driven by student relations alone or in cooperation with others, are eligible for support from the Ministry of Church, Education and Research and the Ministry of Children's and Family Affairs. Direct State grants from the KUF for the operation of student kindergartens were introduced from the 1990 budget year. The objective of the grant scheme is to contribute to the quality of studies and to provide equal opportunities for normal study progress for women and men. Provision shall be made for the combination of education and training with dependant responsibility. Student kindergartens are an educational policy instrument, while student kindergartens should be a complement to the nursery provision in the public and private sectors. Guidelines for support from the KUF to student children's playgrounds are established through St.meld. No 14 for 1993-94, cf. Inner. S. No 101 for 1993-94 and circular F-13/93. The aid scheme is a framework-driven scheme, i.e.: the funding of a certain number of sites. The scheme is therefore not a right regime. According to the rules, we give full grants to places where children have an agreed period of residence of 31 hours a week or more. Furthermore, no grants are granted for locations with a residence time of less than 31 hours per year. week. The moments that were taken into account in determining the 31-hour limit per week were, among other things, Student kindergartens as a training policy tool to stimulate increased flow, and that the need for full-time places was high. However, I agree that the introduction of the cash support may have changed the demand for full-time facilities compared to part-time locations. The Ministry is therefore in contact with the Ministry of Children and Family Affairs to see whether the grant scheme of the Ministry of Church, Education and Research can be made more flexible. A change in the grant scheme will perhaps come back to me in the 2001 state budget.
ParlaMint-NO_2000-02-23.ana.ud1940e1302	I thank you for your answer. The background to the question is that during the introduction of the cash support, it was possible to combine kindergarten with cash support. This could be done by using a part-time kindergarten with different steps, depending on how many hours you need the nursery in the week. At the same time, a circular has been issued to the student relations, including this year, that there is no state aid granted except for up to 31 hours per week in kindergarten. This is not in line with the principle of being valid for anyone other than the student children's households, and the intentions of introducing cash support are poor when there is also a high demand for part-time seats in the student children's households after the introduction of the cash support. Does the Government not consider that the scheme should be amended as soon as possible and before the next study year? And will the Council of State be able to contribute to this being incorporated into the revised national budget?
ParlaMint-NO_2000-02-23.ana.ud1940e1313	I see to the greatest extent the argument of the representative of Aarrestad. I remind you that student kindergartens are an educational policy instrument, while being a complement to the kindergarten provision in the public and private sectors. I agree that if student kindergartens cannot provide part-time places for financial reasons, this will mean that student families will have less freedom of choice than other families with young children. With regard to the question of whether this can be accommodated and presented in the revised national budget, it is natural that this should be taken back to the Ministry, and that the answer to the question of whether it is possible or not comes just in the revised national budget. At least it will be brought on to the person, and then we'll have to wait and see if it's possible to fulfill the wish. If not, it is natural to consider it in the context of the 2001 budget.
ParlaMint-NO_2000-02-23.ana.ud1940e1325	I will be allowed to address the following questions to the Minister for Transport: ‘During 1999, all road projects in Oslo are exposed to competition and expect an annual cost reduction of 5-20 pst. How far has road sector outsourcing come on a national basis and how much savings would the Ministry of Transport have had if all counties introduced competitive outsourcing such as Oslo?’
ParlaMint-NO_2000-02-23.ana.ud1940e1334	It is necessary to clarify that the representative Nistad refers to the Oslo municipal road network and that its experience is difficult to transfer to the country as a whole. Moreover, since its inception in 1991, the Oslo Road Authority has been putting all its investment projects on a competitive footing. On a country-by-country basis, about 70 pst. of the total investment budget of the State Road Administration — in the case of national and county roads — used after a competitive outsourcing. The remaining 30 pst. carried out by the State Road Administration’s own production departments. When assessing the competitive situation of the State Road Administration, we need to be aware that there is production activity across the country and that there are major regional differences in the functioning of the market. In the Eastern region, to which the representative Nistad refers, we have a well-functioning market on the tasks being put out to competition. However, this is not the case in all parts of the country. As a result, it is difficult to estimate the potential savings for the State Road Service on a further competitive outsourcing, but Sweden’s experience suggests that there will be even more resources to save on all development and operation and maintenance being put out of competition. In the state road transport sector, an efficiency project is now working very intensively in both the authority and production activities. I refer here to the statement of this in the state budget for 2000, on pages 88-90. In addition, I intend to start an investigation in the near future, in which the full outsourcing of the production activities in the state road system will also be assessed. The investigation will assess models ranging from a divisional model to separation in a state-owned limited liability company. However, it is important for me to stress that we do not add up to any privatisation of production activities in the State Road Service, but we will look at solutions that make all production activities – both State and private – subject to a level playing field as far as possible. In addition, the Ministry will detail this in the national transport plan.
ParlaMint-NO_2000-02-23.ana.ud1940e1349	I am very pleased with the measures that the Council of State has taken, and with the improvement in efficiency and the outsourcing of competition that has been made. I am aware – even after what the Council of State says – that it varies a little from state to state, as it has come a long way in the East, while there are some remaining states. 70 pst. Now it's done, and then it's still going to be 30 pst. which are not put up for tender or put up for competition. Since there is a gap between the different counties: is there a need to protect their own employees in some counties, or is the strategic considerations underlying the decision of the State Road Service on whether the road projects are to be carried out under their own control or whether they are to be put on the market?
ParlaMint-NO_2000-02-23.ana.ud1940e1356	I think that the gap between the different states must be seen in the context, among other things. with the budgetary situation and the allocation of funds. It must also be seen in relation to the available offers and opportunities for real competition. I do not see it right to say that there is a need to protect themselves and theirs that is the starting point for these assessments, on the contrary, the State Road Service has carefully reviewed its own resources, its own personnel, and has set out a plan for efficiency improvement that will be expected to be approximately. 20 pst. efficiency improvement over a given period. In other words, there are big things happening within the state road system itself, and I will be able to get back to this in more detail in connection with the national transport plan.
ParlaMint-NO_2000-02-23.ana.ud1940e1364	I will be allowed to ask my next question also to the Minister for Transport: ‘In road projects, the costs currently incurred in starting and downgrading around 10-15 pst. of the construction costs. Societal costs are high in the way the authorities are based on the fact that construction projects are constantly being interrupted or only short sections of the building are being built. Has the Ministry tried to get an overview of the potential for saving through a comprehensive planning and development of road projects?’
