ParlaMint-NO_2010-05-11.ana.ud2574e104	The representative, Frank Bakke Jensen, will put forward two proposals for representatives.
ParlaMint-NO_2010-05-11.ana.ud2574e1787	Actually, I'm quite satisfied, I. We can always discuss disagreements about the choice of the instrument. That's not what I tried to travel in this debate – it was the long-term direction, which I feel very much confirms that what the Progress Party wants is what the government wants. It's really very uplifting, because it's not the impression that's been created – especially the first years of this government's life, and before today's Council of State took the role that he has. And it is not the impression made by the Swedish government colleague SV in the media debates in the previous few months. I note that the Council of State says that the oil and gas industry should be our largest and most important industry also decades ahead – that there is no contrast between petroleum and renewable energy. I entirely agree with that. The council says that this will require a lot of us, and we agree with that. That is why there will probably be many political blows in this Chamber about which instruments we best achieve the objectives. But as long as we're in agreement that we're going in a similar direction, that's how much fun we can bring. Because I think the nation of Norway can enjoy that we're both challenging each other and testing logic and durability in the reasoning we have. I feel that I have had my point confirmed. And when we see the energy debate going on in the government, I'm glad that SV is mostly sitting on the stands and yelling, while the Workers' Party and the Center Party are playing on the government's internal football field. It's a fight I'm sure the Workers' Party will finally win, since they have the judge anyway. I don't see any point in going more into this interpellation from my side, as long as that point is confirmed. And I'm really just looking forward to the debates on both the Lofoten and the Western Sea, and the Barents Sea.
ParlaMint-NO_2010-05-11.ana.ud2574e1798	I think there is a lot in the representative of Solvik-Olsen now said about the follow-up of the more concrete – what will require a lot of us in the future. One cannot fail to meet the energy challenges facing the world and, at the same time, to meet the climate challenges, a number of bold choices must help to avoid one shadow for the other. It's going to be balances, it's going to be budget appropriations, it's going to be concrete priorities. So I also see very clearly that it is going to be under an ambition, a wish, an agreement on a long-term nature of petroleum policy. Many major decisions are to be made, and I look forward to spending time discussing this in the future – not least in this Chamber.
ParlaMint-NO_2010-05-11.ana.ud2574e1803	Petroleum is a central energy carrier in our world, and it will be there for a very long time to come. Therefore, it is commendable that the interpellant Ketil Solvik-Olsen travels this theme in its interpellation. First of all, I want to say that I am pleased that the Council of State approach to the question of the Gulf of Mexico is as it is. There he is. Not only he, but also the interpellant, reminds us of what has actually happened down there. The Council of State is so clear on the reality down there, at what happens, that the importance of security and preparedness comes high on the agenda even when we are going to have the processes we are going to have, and that the experience we can draw from there when the answers are on the table will be important. I'm glad the Council of State said so clearly about it. Today, the world faces two major challenges. It is the man-made climate change, and it is poverty reduction. Then it is that our two main challenges are closely related to today’s theme, energy – and therefore also petroleum. When millions of people, and countries by country, are going to leap out of poverty and move on to a better life, the goods are primarily demand, energy. Historically, there has been a clear link between global energy use and greenhouse gas emissions. The big question will therefore be how to meet an ever-increasing demand for energy with the demand for greenhouse gas reductions in the future. Of course, we and the rest of the world are going to invest in renewable energy sources. In this context, it is worth mentioning, as I have done in the past today, that we have had a great deal of investment in renewable energy sources under the red-green government. But this isn't enough, either here with us or globally, to meet the huge increase in demand for energy. Petroleum and petroleum-related products will be very crucial for decades to come. There's something the International Energy Agency says very clearly, and as the representative Solvik-Olsen repeats here today. I believe that we are pursuing a policy in line with that. Historically, Norway has managed its petroleum resources in a responsible and good manner. We've moved north as experience increases and the development of new and better technologies. This is the step-by-step and knowledge-based development of our petroleum resources. I'm proud of this way of managing as valuable resources as our oil and gas resources. We have managed to reconcile initially cross-cutting considerations, such as environmental and fisheries considerations, with the exploitation and harvesting of our petroleum resources. In addition, we have ensured that a significant proportion of the values have fallen to us all through a combination of taxes and taxes — but not least with direct state ownership of resources. This has again made us one of the richest countries in the world, and perhaps one of the world's best countries to live in. We can provide our citizens with a school and health service, and we can give our citizens a security in everyday life, which many other countries can only dream of. Our natural resources and their management have given us the food on the table and have also given us the welfare state of Norway, as it looks today. Then I can't push myself to remind the interpellant Solvik-Olsen of his own party in terms of this matter. Then I think of Carl I. Hagen's proposal to sell Statfjord in the 1970s, or the Progress Party's kneel for the oil lobby in the tax question in the early 2000s. The Norwegian people and the Norwegian community would have been hundreds of billions of dollars poorer if what the Progress Party wanted at that time had become a fact. We will continue the knowledge-based and step-by-step development of the industry. It is a policy that ensures new search areas and new areas for industry at a steady and responsible pace. It is a policy that ensures and ensures the further development of Norwegian jobs, a policy that manages to combine the world's demand for energy with a responsible and ambitious climate policy, a policy for the capture and storage of CO2, a policy that guarantees the CCS project at Mongstad – which I think the government has had a good account of today in the revised national budget – and a policy in which petroleum resources will benefit us all in the future. So the petroleum industry is not in any sunset mode, nor are we going to phase out the oil industry. And now we also have a lot of possibilities with the divider line. When we are surveyed both the resource base and the natural values, there can also be great opportunities for the future in the Barents Sea.
ParlaMint-NO_2010-05-11.ana.ud2574e1834	I note that the inter-pellant is satisfied with the approach of the Council of State to the fact that the oil and gas industry will be the country's main industry for decades to come, and that there is also no contradiction between a renewable energy investment and a further commitment to petroleum-oriented activity. That that is the starting point, the Right is also very comfortable with and sincerely hopes that it is also the starting point for the kerosene message that the government will deliver to it. For it is true, as has been said, how the world's energy needs must be covered in the future, that fossil sources will have a significant share in the next decades as well. When we keep this energy demand up against the greatest threat of our time, namely climate change, we know that Norwegian oil and gas production is perhaps the most environmentally friendly in the world, with emissions of 60 pst. below the global average. This means that it will never be a solution that Norway reduces its oil and gas activity on the base, because if we reduce our production, it would be replaced by other countries’ production, which will be much more polluting. Therefore, a commitment and further development of Norwegian oil and gas production are also positive in view of the environment. I would like to thank the representative, Solvik-Olsen, for addressing this issue and looking at the petroleum industry in the future in a slightly more comprehensive perspective. Clearly, we are talking about the country's second-largest industry. We are talking about an industry that – as we were confirmed at the latest today in the context of the revision – is expected to account for about a quarter of the country’s income this year through taxes, taxes, dividends and the country’s own holdings. This sector represents 50 pst. of export income to Norway, accounting for about one quarter of all investments. More than 200,000 people work either directly or indirectly in this industry, and these people live almost in all the municipalities of the country. It says a little bit about the significance of the industry for the nation. In addition, Norway is an important energy supplier to the European market, and that means that we also have a great responsibility for how we manage our energy resources in the future, also in view of the responsibility for energy supply to our neighbouring countries. It is of vital national interest how this industry develops further, and that our authorities actually have ambitions and a direction for this industry. So far from the Right we can only note that the Red-Green Government, with the Working Party at its head, has not been able to present its own kerosene message. The right is concerned that this creates considerable uncertainty about the future of Norwegian oil and gas industries, taking into account the challenges we face, including: on the climate issue. Delaying the notification of petroleum is also a contribution to increasing the uncertainty as to which environmental strategy Norway will choose in the future. Now a kerosene message has been notified, and the government's signals say we have reason to expect that this could be debated in Stortinget in a year's time. But this inaction, or to say the administration of the country's main industry, is allowed to continue while we still have major challenges. One of these we just discussed in the previous interpellation debate on how to increase the extraction rate on the Norwegian base. Another fact is that the production of oil on a Norwegian base is on its way down. In ten years' time, the amount of Norwegian gas resources will fall significantly, while we know that global energy demand will increase. The right considers that Norway needs to further develop its role as an energy nation. Another important discussion is how to ensure that industry has access to new and promising exploration areas. The right is clear in its policies in this area. We have ambitions on behalf of the petroleum industry with a desire to facilitate the national extraction of the potential of our resources in oil and gas reserves, but also build on the competences of both oil companies and the supplier industry. We want a development, and in particular we focus on the opening of exploration areas in our northernmost part of the country, both outside the Lofoten, the Western Sea and in the new sea areas that open after the borderline issue with Russia has been resolved. The right considers that there is an urgent need to get on the road, explore the resource base, further develop cooperation with Russian actors and set high standards of activity in these areas.
ParlaMint-NO_2010-05-11.ana.ud2574e1853	I feel a certain co-responsibility for Solvik-Olsen’s interpellation – and he nods affirmatively. However, the fact that SV has called for an early termination of our oil production is new to me. It is rather the Progress Party that has begun to believe in its own scare images. What I and many others have raised is a debate on the question: What are we going to live on after the oil? How are we to ensure a good transition to the renewable society? In this context, I have said that it may be time to lay down a plan for when and how this should happen, and how the business should be stepped down. Moreover, lower extraction rates are not a new debate. The central government of 1997 had this in its government statement. Even then, the Central Party had the Minister of Oil and Energy. As I have seen in previous debates today, the world must leave large parts of the world's fossil energy sources in the range of two degrees. So large reserves of coal, oil and gas have already been discovered that the two-degree target is detonated if everything is to be extracted. In fact, less than one quarter of the occurrences already detected may be burned if the two-degree target is likely to be reached. There is often an argument in this debate that Norwegian oil and gas should be cleaner than other fossil energy, as the representative Meling repeated in his post now. However, estimates show that although all emissions from coal, non-conventional oil and deforestation are stopped immediately, there will still be no room to consume all other oil and gas reserves found. Therefore, claiming that new oil or gas findings will shift more polluting energy sources, as if world energy consumption were flat and static, is not a sustainable argument. In the past, in its campaign against the Intergovernmental Panel on Climate Change, the representative Ketil Solvik-Olsen attacked the use of so-called grey-sonic literature. It is therefore small ironic that the representative himself constantly refers to World Energy Outlook, as if it were a fasit. The representative Solvik-Olsen uses the so-called World Energy Outlook climate scenario as a recipe for the energy balance in the world in the years to come, despite the fact that the World Energy Agency itself informs that their so-called climate scenario involves approx. 50 pst. the probability of exceeding 2 degree temperature increase. It is possible that the Group of the Advance Party seems durable to throw heads and coins about the world's climate future. Even more representatives of the Progress Party believe that climate change is not a problem. But for us who live in reality, and as the Solvik-Olsen rightly points out is a government party, are not such odds good enough. All reasonableness suggests that we need to cut emissions more than the IEA climate scenario has foreseen. Therefore, the pressure of the representative Solvik-Olsen for ever more oil extraction rests on a failing basis, a failing basis based on grey-sonic literature; an academic genre he himself has been very critical of in this room earlier. But when we first discuss World Energy Outlook, there's reason to correct the Solvik-Olsen a little bit too. In the so-called climate scenario, gas consumption in the EU, Norway’s leading gas market, is reduced by 2030. All the richest parts of the world, Norway's main oil and gas markets, need to reduce the consumption of coal, oil and gas in order to achieve climate change targets. So in a world where the consumption of oil, coal and gas has to go down, it's worth asking the question, who's going to cut, and who's going to get extracted? In 2050, 20 years after the perspective of the Advance Party, we're going to release 85 pst. less greenhouse gases than we do today, according to climate research. Only in the world of the Progress Party is it so that this does not have consequences. Is it given that Norway, the country that is rich, the country that has all the conditions to convert to new energy and industrial ventures, will have the right to exploit more, while poor countries with oil will be held back? Why is this a debate the Progress Party is afraid of? We can't pretend the oil lasts forever. How this transition is going to happen is something the Progress Party should embrace and not run away from. It is often used as an argument from the Progress Party and the oil lobby that every six kroner we spend on the state budget is an oil crown, and it has been used as an argument against my plays in this public debate earlier. But that just confirms my point. In 50, 60, 70 years we don't have the sixth crown of oil. We're going to find it in other ways, and we're not going to focus all of our efforts on fossil energy now. In the end, of course, the Progress Party is trying to create the impression that there is a division between the red-green parts, that we are three different parties with three different opinions. It's natural. It's very comfortable, too, as long as we run the country, which the Progress Party has little experience with. The little experience they have with it has led to national meetings of the type a couple of weeks ago, where, in reality, FrPs are threatened with exclusion. [[President clubs]] [[The President Clubs Again]]
ParlaMint-NO_2010-05-11.ana.ud2574e1872	Few doubt that oil and gas will be an important part of our energy production even in 2030, not only in terms of the number of barrels of oil or cubes of gas we produce, but also in terms of the export of Norwegian technology. I don't think this debate has been hurting by a slightly wider approach. One of the most important things from Norwegian petroleum history is how Norwegian technology development was ensured in the 1960s and 1970s. Then I also believe that it is an undeniable fact that the strict environmental requirements that have been imposed on Norwegian soil and the introduction of the CO2 tax have prompted the development of technology that is becoming increasingly sought after as the environment and climate rise on the international agenda. The IEA scenario, on which the interpellant is concerned, says something about a high demand for oil and gas for decades to come. That in such a picture it is foolish to close Norwegian cranes, of course. We all have these reasonings, such as: is that in West Africa, emissions per unit of production are five times higher than those on the Norwegian base. Nevertheless, it is a little difficult to follow a comment that more production on Norwegian soil makes you think about it again in West Africa and say that no, now they are increasing in Norway, then we are not opening here. The world's energy needs are so great, the search for resources is so intense that it's more correct to say that what can be extracted is extracted. The debate on oil hunting in increasingly vulnerable areas, the extraction of unconventional oil, is not strange. But Norway operates in this picture. We manage an extremely valuable technological competence. I share the wish of the full interpellant that these are technological environments that will have things to do with also in 2030, which will generate great values in 2030 as well. In fact, I believe that one of the most burdensome tasks we politicians have today is to ensure that all the technological skills we have are used in the best possible way. However, it cannot be an end in itself that the greatest possible amount of this technological competence is to be used for petroleum-related activity. A lot of it will be, and it's both a wanted and wanted policy. The councils have thoroughly explained how we work for it. But I'm one of those people who think it's good when, for example. Aker Verdal uses his chassis technology to develop chassis for sea wind turbines. The amazing thing here is that petroleum technology has so enormous transfer value for new forms of energy. What the Progress Party never talks about is that the IEA also announces a paradigm shift in the world’s energy supply over 40–50 years. It is going to happen regardless of how Norway positions itself. But we have enormous opportunities precisely because technology development is becoming more important and important for countries that want to position themselves as an energy nation. The renewable energy market is different from what we've been used to until now. Today we actually export energy in the form of casks and cubics. But when a renewable installation is up and running, energy production is almost free of charge. It's those who have technological solutions to sell, who are going to be winners. That we have heavy environments on relevant technology, I believe is much more important than that we have a lot of wind. So many today have spoken about the fact that the extraction rate on Norwegian pedestal is high – very high, also in international context. If we increase or decrease it, in the name of honesty, we have little to say for the world's climate accounts. I think that is something that both those who claim that you should shut down the cranes tomorrow, and those who believe we should pump up as much as possible for the sake of the climate, should take over. It has something to say for our business structure. It has been discussed today whether it is either – or in relation to oil or renewable energy. Of course it isn't, but the warnings we're now seeing about a variant of Dutch disease, where other industries are being priced out, are something we should take seriously. So I would like to say in the end that if the Advance Party had guided Norwegian petroleum policy, – as the representative Sund had in mind – would have been sold Ecofiically. I am quite convinced that the ten oil bids would have looked different, and I think we would never have seen the degree of national control and technology development that we see today. I also allow myself to claim that we would have seen little to environmental requirements and no CO2 tax. I have no problem understanding the petroleum industry's desire for access to virgin areas. It's natural. But it is my belief that both the petroleum industry and other industries serve the cautious approach we have had throughout the Norwegian petroleum history.
ParlaMint-NO_2010-05-11.ana.ud2574e1897	The last two speeches in this debate have well confirmed why I needed to raise the debate. But I'm concluding, after all, that the inserts represent only a noisy minority and are not government policy. So I'm not going to go into it any more. So to claims that have come forth, of Statfjord. Have we given away all Norwegian resources by allowing Eni to extract from Goliath? That's not what this is all about. Norwegian wealth from the oil and gas industries is about taxing this industry, that we still have control of the resources, even though we have caused others to extract them. That was Carl I. Hagen's point in the 1970s, when he suggested that Norway, which then lacked capital, should not take the risk of having a company that invested in extraction itself, but that others would have to take it. That doesn't mean you say no to tax this project in line with everyone else. That is why today I want to write a letter to the Council of State confirming how much of the value creation from Statfjord is really about production, and how much is about dividends. Because that's what you have to compare with – dividends in relation to invested capital. So here both the representatives Marthinsen and Sund have bad arguments. In the case of tax issues at the beginning of the 2000s, that is the same argument there. This is not about reducing the tax burden on ongoing projects, but it is about reducing the tax rate in order to make unprofitable projects profitable, and thus getting them realised. There is something quite different than losing money on it. With regard to the argument of the representative Serigstad Valen, I record that Marit Arnstad – on Twitter – has not accepted to be used as a truth witness to the claims of the representative Serigstad Valen. Then it's a little strange that he's trying to drag it up here. As far as world energy consumption is concerned, it will increase regardless of the scenario. So both the representative Marthinsen and the representative Serigstad Valen: One will have to look at – if this increase comes anyway – how to cover this? Will it be coal or gas, or will it become renewable energy? If you take gas away from this equation, it's more likely that coal will have to replace it. So emissions will increase no matter what you claim. So for grey-sonic literature. That is an argument – which Snorre Serigstad Valen should soon bring with him – that I am using in relation to the Intergovernmental Panel on Climate Change. For the climate panel itself claims that there are only peer-reviewed reports on which they are based. So it's based on their own claim that I'm saying what I'm saying. EU gas consumption should be reduced, says the representative Serigstad Valen, and therefore argues that Norway can reduce its gas production. What he has not achieved — and that is what the IEA says very clearly — is that the IEA expects the EU's own gas production to be significantly more reduced than the EU's gas consumption. Ergo: EU import needs are increasing. That is why I said why Norway should sell more gas to the EU. Should not this be the case, I am sure that Norwegian gas can be transported anywhere in the world and sold to customers there. So I see that Snorre Serigstad Valen unfortunately did not have the facts with him in his line of reasoning.
ParlaMint-NO_2010-05-11.ana.ud2574e1914	The debate on substance is closed. 6 is over.
ParlaMint-NO_2010-05-11.ana.ud2574e1930	There have been high expectations from the shipbuilding industry and a pressured coastal supply industry to the draft revised budget for 2010 presented by the government today. Many are probably disappointed today, as there is nothing here that the government has not already launched through the media. What I have now promoted will only meet to a small extent the major challenges facing this industry. I have followed the two interpellation debates that have been ahead of me. It is instructive to be able to follow the debates that take place in other fields and in an area that is so important for the industry along the coast. These two previous inter-pelling debates have in many ways formed the recording of my own interpellation, which is precisely based on the consequences of the policy being pursued. What's important when you conduct an interpellation debate, when you put an interpellation on the table, is that you're also open and searching to see how we can move on. That's why I haven't concluded in my interpellation what to actually do, but I'm playing the ball over to the council to get some answers. I'm not going to hide that I've tried to get the Minister of Industry on the job in some of these cases over and over again, both through questioning and other things. Of course, it is quite right that this field is the Minister of Oil and Energy who rules, but these things go very much on the other side. That's why, unlike the previous one, I'm going to try to draw us down a little bit to the concrete level, that is. not look at the oil and gas sector from a bird’s perspective and from a global perspective, as we have done so far, but rather look down towards the shipyards, down against those shipping companies – the offshore facilities, the shipping environment, etc. – which is now facing the really big challenges. For approx. 80 pst. of what has been the supply of orders and the activities of coastal shipyards, has been linked to the oil and gas sector in Norway. So the oil and gas sector is the very bearer of what is happening in the yard industry along the coast. In fact, the number of offshore vessels in the North Sea/Norwegian Sea has been relatively constant in recent years. Much of the increase we have seen in the fact that we have taken new boats from the shipyards, especially in the area of anchor handling, in the area of city-ships and other offshore vessels, has happened abroad and not in Norway. In other words, this is precisely what shows that if we are to also increase the growth and use of these vessels in Norway and in Norwegian waters, we need to look at new areas, new search areas and other ways of doing these things. We have also seen in the last few days, one of the last days, that even in the courts that are working on rigging, the order books are about to be emptied. In this respect, I would like to refer to Technical Weekly for a while back, where, among other things, was an interview with Statoil’s group director for Norwegian pedestal, Øystein Michelsen. He stressed that the Norwegian supplier industry had to change. It's over in the queue of major expansion projects, he says." Yeah, I totally agree with that. This is a major reason why the yard industry too has to change, because everyday life is going to change. I hope that a good system and good industrial workplaces will be put in place in Norway related to renewable energy. That's going to be a great opportunity, but then we also have to make sure to put the framework conditions in place to get it done. But as we have also heard in the debate that we now have behind us, in the two previous interpellations, there is every reason to ask ourselves the question: Don't we have more to pick up on a Norwegian base? Is it not possible to open more fields, in areas that are not open today? It is a little strange — after hearing this debate — that at least from the industry itself some areas have been identified that they believe can be the most profitable in the future, or at least where you want to look. Then, of course, we see the Lofoten and Vesterålen, more in the Barents Sea, more outside Middle Norway etc. Then it's time to make sure that you get ahead of work to get a search activity in place, get in place the investigations you need, and not least be able to solve the internal disputes in the government. It is strange to hear the debates before this – in particular the representative Snorre Serigstad Valen, who is trying to talk about the reality of other parties. Sometimes I think it might be nice to look a little bit inward, and not just beyond, when you're going to explain the situation. It's obvious that we're going to meet more of this in the future. I want the Council of State to answer a few questions. As I said at the outset, I actually want an open debate. My first starting point or question to the Council of State is this: Is there any possibility, in particular, of looking at what is involved in tail production, to see if there are other ways of using the tax system? We see that more and more fields are now falling into production, there will be more marginal production. Then it's important to use the tools that we have, related to doing more with production. Then there might be a reason to look at our tax system – whether it's optimal, to make sure that we have as long production as possible in the fields we're already in. Although it is often that when we have a high oil price, it is itself an incentive to extract as much as possible. But there may also be reason to look at the tax system. Furthermore, I ask the question: does the system we have today work, optimally, related to the withdrawal of licences if they are not used, or can we have something to pick up there, so that companies do not get on licences without using them, if others are interested in starting business? Furthermore, I ask another question, and it's about skills building. One of the things that comes out in the same article in Technical Weekly is that in the transition phase we're in, we need to build up our skills. Then we have to have time, resources and opportunities to put in place that skills building in order to move on. My question to the Council of State is, of course, to what extent do you now agree to play on teams, i.e. cross-ministerial, to look at the kind of competence that we need in the future? I expect that both the Ministry of Oil and Energy, the Ministry of Industry and the Ministry of Knowledge here need to get together to see what we need for the future. It may be within the renewable field. It may be within the oil-gas sector. But not least, what challenges are we going to face in time? Then there's another theme that I also want the Council of State to come up with. It's obviously the use of domestic gas, because we have to look at our own domestic market if we're going to get more activity. It is strange, then, that the revised national budget presented today has put in 10 million. NOK to the Swedish Road Administration and said that these 10 million. where appropriate, the crowns may be used for four gas ferries in the West fjord of Northern Ireland. They shall not be ringed. The question is whether, through environmental requirements and other incentives, we can also provide for technology, technological development and, in particular, the use of gas.
ParlaMint-NO_2010-05-11.ana.ud2574e1962	For the implementation of the debate: if no more than those who have already signed up to the President's list join in, the President will propose that the debate be held before we pause.
ParlaMint-NO_2010-05-11.ana.ud2574e1965	A brilliant suggestion – I'll try to talk fast, and then do mine. The interpellant raises a question that, in my opinion, is important. I am concerned that people should have safe jobs and good wealth, no matter where in the country they live. The oil and gas business we see is a formidable driver compared to just that. The financial crisis and the subsequent decline in order to access orders have caused many enterprises to have low levels of coverage. Therefore, there is an understanding that the Norwegian supplier industry is concerned about this situation. I heard the representative, Nesvik, use the word "tub" in a way that meant a great deal of experience. I must say that many should be satisfied today. Through our RNB, we have specified our yard package, which was very well received. We have today, together with the revised, presented the proposition on the Gudrun project, which is, of course, a policy in practice in relation to what we are talking about. I'll come back to that a little bit. But no matter how much we get in relation to different extraordinary measures, it's the same thing here – making sure we have activity. The fact that, after 20–25 years, we have got the Gudrun field up today in the Council of State is, to me, a major and important event, and something that I also believe the yard industry in Norway should and – I think also – know to rejoice over. Investments in the last few years in the petroleum industry have increased sharply and are now at a very high level. In 2010, we expect investments for more than 136 billion. kr, of which about 26 of these billion are expected to come from exploration. We still expect large investments on the base in the years to come. Acquisitions for the operation and maintenance of the fields are expected to remain at a high level in the years to come. This means that the total demand facing the supplier industry by operators on the continental shelf is likely to remain high in the future. We also see projects that were previously pending due to the financial crisis coming further and approaching the implementation phase, with subsequent contract awards. It is also positive that the international deliveries from the Norwegian supplier industry have shown significant growth in recent years. The international market outlook is good for many of the segments in which the Norwegian supplier industry has shown itself to be competitive. With this in mind, future benefits for the supplier industry as a whole are positive. There is an important innovation in this, because there is no doubt that individual companies in the supplier industry – and that is what I perceive the concern of the representative Nesvik is, rightly, about – still facing a very demanding order situation. I fully agree with the description that the representative Nesvik has there, both of what is actually happening, and the consequences of it. Many companies are struggling because of the segment in which they are inside, for time too little access to new work and with the associated need for conversion. There is also a situation in which this is something that I, even if what I said now, should be taken with the greatest seriousness. I want to contribute to a high level of activity, I want to contribute to facilitating innovation and conversion. The total extractable petroleum resources on the Norwegian base are calculated at 13 billion standard cubic metres of oil equivalent. Of this, approx. 40 pst. produced. About one quarter of the resources have not yet been discovered and constitute a major potential for exploration and development. Just as I started by saying that it is the same thing that over time contributes here, and that there is access to work more than individual measures that contribute to the activity of the yard industry, I believe that good and regular access to the search area is necessary to ensure further activity on the Norwegian base. As the responsible State Council for the petroleum industry, I – and I believe that it is actually also appropriate – want a high search activity on Norwegian soil through two equalised concession rounds. The numbered rounds are normally held every two years. We are currently in the process of implementing the 21st concession round on a Norwegian base. The proposal for blocks is currently being consulted, and there has been a great deal of interest from oil companies in this way. The entire 307 blocks are nominee, and I think it's a pleasure that companies look at Norwegian pedestal as interesting. The allocation of new blocks for this round is planned in spring 2011. The 20th concession round ended in spring 2009. In the round, 21 extraction permits were granted. It's a high number compared to the previous number of rounds. In January, we granted 38 extraction permits in the 2009 TFO. A total of 275 authorisations have been granted through the TFO scheme since its launch in 2003. Through the TFO system, we have annual allocations that contribute to smooth exploration and predictability of the industry. In the hearing opinions of the companies on the TFO scheme, predictability was just mentioned. In February of this year, the largest extension of the TFO area was measured in blocks since its inception in 2003. In total, 63 blocks or parts of blocks divided by the Norwegian Sea and the Barents Sea existed. The blocks are available in 2009. This is done in order to respond to the inter-pellant’s questions, in order to ensure an attractive search area for industry and to facilitate new findings, new developments and new activities. The assumption of activity is that it is found. The trend in number of exploration wells has been increasing in recent years. In 2005, the launch of 12 started in 2008 and started at 56. This was a new record when it happened. Never been drilled more exploration wells than last year, which became a new record year. Then 65 search wells were started, and 72 ended in the course of the year. The scan has produced results. During 2009, 28 findings were made. It is also a record number and was an increase from 2008, where 25 findings were made. Commercial findings will contribute to investments and expansions on the base in the long term. In order to ensure future activity and production, the government also contributes to the resupply of petroleum activities. When presenting the management plan for the Norwegian Sea, the government announced that we would start an opening process in the sea areas around Jan Mayen. However, it takes time to carry out such an opening process, since a comprehensive survey of environmental and resource conditions is to be carried out before any proposals for opening are promoted for the Storting. We are currently working on this opening process. The overall management plans for the marine areas lay down environmental and fisheries conditions for the petroleum industry. We are currently working on the update of the management plan for the Barents Sea and the sea areas outside the Lofoten/Westerålen. After 40 years of disagreement on our maritime frontier with Russia, political agreement has been reached on the boundaries between the Norwegian Government and the Russian President. As Minister of Oil and Energy, I am very pleased that we have also found a solution in the East and through the divider line issue in the Barents Sea and the Pole Sea. On Tuesday 27 April, Norway and Russia signed a declaration on the border areas between our two countries. In the past, we called this a controversial area, or we called it essentially the disputed area. The signed declaration expresses a political agreement between Norway and Russia on the demarcation. A treaty on the demarcation shall be signed at a later date. The size and the Duma get this into ratification. Before we do anything active in this area, the demarcation agreement must be signed and ratified by both countries. Then it would be logical to map this area. Each country determines when and where and how to map possible petroleum resources. The process will follow common procedures, as is done on other parts of the Norwegian continental shelf. I have also stated that the government will present a new big message on the whole of what I have now talked about, i.e. the petroleum business. The message will take into account exactly what is the theme of this interpellation, and which I have now affected, i.e. the access to a new area and the possibility of getting concessions, blocks, etc. But I also want to come back to the Storting on exploration and concession policy concretely through this big message. In any case, we provide for high search activity on Norwegian pedestals through the concession rounds. We're doing a search activity that has resulted in that we've never had a higher level than now. The investments are high in industry, and together, in my opinion, this gives a positive picture in the future. While the activity and investment are high, we maintain and balance environmental, HMS and co-existence with other industries. What we are left with in conclusion is that as an engine for the industry in Norway, the oil and gas business is doing a formidable job. Also in these times of crisis, we see, as the interpellant notes, that we still have some holes, some areas where the order access is not good enough, seams with an oil and gas business at a high level. This is precisely why some action packages, some individual measures, are needed to reach them.
ParlaMint-NO_2010-05-11.ana.ud2574e2007	First of all, I would like to thank the Council of State for the answer. It is clear that it is not possible for the Council of State to capture all the questions that I had in the interpellation, which he may have written down on a note. But I'm trying to make a couple of small recordings. One of the most important things you're facing is competence. Competence from the maritime industry is something you are very afraid of right now, because signals are coming back and forth – especially from the shipyards – about a future word-drier that can come. The current year is not a problem, because many of these offices have full order books at least out of the year and maybe out a little in the next year. The problem is that there are no new contractions, and that makes you afraid of what's going on. It is clear that the closer you get to the date when your yard, or your workplace, may start to be threatened, the more you start to seek out other areas, and then, in fact, valuable competences may be lost. That's why I asked the question whether you don't want to sit down at least a little bit together and look at what's going on about nutrition, education, energy and the environment, to look at what we can do and contribute to. Because on the competence side, only 8 million have been added. kr to the internal part of the audited business. And I think we should look at other things too. The councils themselves were involved in what was involved with the dividing line. Yes, many of us were very happy when we heard the result – that we might reach agreement. Now I might use the word because it's going both through this house -- I think it's going relatively well -- and through another body, the Russian duma. I think we should have it in place before we finally release the cheer. Otherwise, there's a lot of positive in the state council. Yes, we know that there's a lot of search activity, but part of what I talked about in my post is related to new areas, in order to get the yard bit, i.e. boats and offshore vessels. Because what's happening today is that you use the structure that you already have, in the areas in question, so that there are little new boats, including, that come out. It is also obvious that some of the vessels in the North Sea are beginning to be relatively springtime – although there is a lot of modern in that area as well – so that you can see whether a part can be renewed in that area as well. There is one area that I also look forward to, and that is the communication related to framework conditions. I think that's going to be an important matter for this big business, so I hope it doesn't take too long before you can put it in place. Then you don't get away from my question related to the use of gas, e.g., related to ferries, related to short sea shipping. There, I think, a more offensive position needs to be adopted, because it is also an environmental project.
