ParlaMint-NO_2010-06-03.ana.ud2616e53	Mr Solvik-Olsen will make a proposal for a representative.
ParlaMint-NO_2010-06-03.ana.ud2616e817	Of course, it is okay that the representative wants to change the word transform to change, but the term transformer is still likely to be used in this area.
ParlaMint-NO_2010-06-03.ana.ud2616e820	I agree with the president. I recommend the representative, Valen, to leave the debate in this very debate. The development of power lines touches on at least four key issues for the Centre Party: security of supply, environment, nature management and community. In the Center Party, we are busy having a secure power supply throughout the country. We are concerned that citizens and industry should have sufficient power. And we're busy increasing the production of renewable energy. To realise the potential for renewable energy, the power exchange between different parts of the country must be strengthened. The government of which the Central Party is part is actively working to strengthen the commitment to renewable energy. The investment in energy conversion and renewable energy through Enova is more than triple in the period when the government has its seat at the rudder. The basic fund has been strengthened. The focus on renewable energy sources, their research and development has been strengthened. The work on strengthened line networks is in progress, and we have put in place an agreement of intent with Sweden on a green certificate. A well-developed network of lines is necessary for the realisation of several renewable energy production projects. It is important and necessary to have adequate flexibility and security of supply throughout the country. At the same time, the development of power lines often involves conflicts in the form of nature protection issues and construction. Major interventions in nature are not only a challenge for travel life, as previously mentioned here, but also for the communities that get these interventions closely involved. Both subterranean cables, seabed cables and high-spent mast power lines lead to natural interference. That's why we have to work to ensure that the lines are carefully constructed, and that we take into account the degree of natural intervention, construction and aesthetics. The guidelines state that cables should be evaluated in individual cases and that they should be used increasingly at a lower voltage level. It is worth reminding the keenst cabling enthusiasts that the option of land cabling, and especially at high voltage levels, is often one of the biggest lasting natural interventions. Some regions and communities are becoming more and more disadvantaged than others in order for the rest of the country to benefit from a well-developed transmission system. For good reason, these cases have created considerable local involvement, and therefore arrangements to mitigate these disadvantages are important. We're talking about wire. The removal of existing unnecessary grids and remedial action in the lines must be central when this development takes place. When Bjørn Lødemel from the Right calls for cabling to be assessed as part of a new strategy, at least it is in place in the strategy developed by the government. There must be other things that the representative, Mr Lødemel, is thinking about that which must emerge in a possible new strategy. The centre party joins the plural setting. This matter has been discussed in this Chamber before, and the government has put forward a strategy that contains the elements described here. I'm a little surprised that the Progress Party wants a more rigid system, with central governance over local discretion and consideration of regional differences. But the champion in riding two horses in this hall when it comes to grid development is the right party and the representative Lødemel, who went to the elections in Sogn and Fjordane not to build the line Ørskog-Fardal in air voltage. He has no suggestion in this room to put her in cable. Many in Sogn and Fjordane are still waiting for him to propose. That line will be entirely decisive to realise the potential we have for renewable energy. Later today, we are going to discuss the potential for small-scale power stations in this Chamber. Then it is worth reminding the representative Lødemel of the debate that in Sogn and Fjordane states, which we both represent, a new small power plant will not be built until that line capacity is in place. So it would have been good to get a clarification of the Right's view on the Ørskog-Fardal line, whether it should be built, with the progress planned, or whether one should stop the work and put it in the cable, as the representative Lødemel called for in the election campaign.
ParlaMint-NO_2010-06-03.ana.ud2616e841	Maybe web development isn't a win cause for us politicians. The more important is the actual development of the web and the development of our network, because in the society we've created, we're totally dependent on having a network that works. It is important that we have a robust network. It is important that we have a secure transmission system and that the whole country gets power at all times. It is important that we have capacity on the web to capture new, clean energy. For me, it is linked to two main points: this big business has said that we have the goal of becoming a low-carbon society. If we are to become a low-carbon society, we need to take some action against some of our sectors that emit too much CO2. One of those sectors is the transport sector. We have to get more of our cars onto a fuel other than fossil, and then electricity will be an important contribution in this sector. But it's also important that we have a network to get more power into. And we have to look beyond the borders of our country and be part of the climate virtue of clearing Europe for the coal-fired power plant energy used there. So I'm sure this whole room agrees with the Valen's point in terms of energy savings. It is important that we always take with us, including in this debate. I am also almost convinced that most of the parties here in the Chamber can sign the four main points of the Central Party and the representative Sande, which he takes into account in this debate: power supply, housing, environmental management and natural management. Then there are probably different weightings, but for the Christian People's Party, we don't have that much difference in weight compared to what the representative Sande spent his speaking time on. But then I'm over to my second main point, which is to find the balance point between different things that go in different directions. For the Christian People's Party, it is important that we have a precise and predictable law in place, which ensures the power supply, and at the same time takes care of valuable nature. Therefore, it is important for us to have increased attention to the technological development of cable cables. It's good that there's something going on, and evolution does it, among other things. on earth and sea cables. But I'm also going to be one of the first to say that there are challenges in terms of wiring. In the event of a breach, we know that there may be major natural interventions that need to be done. That gives us a challenge. So there's no simple answer to this. Now the Left hasn't promoted its proposal yet, but in order not to have to spend more speaking time, I'm giving our support to the Left's proposal when it's being promoted, to put it this way.
ParlaMint-NO_2010-06-03.ana.ud2616e857	It may happen relatively quickly, for the next speaker is the representative Borghild Tende.
ParlaMint-NO_2010-06-03.ana.ud2616e861	The left is concerned that we have a good infrastructure for the transport of electricity. It is necessary both for new renewable energy producers and for the proper functioning of the power market. That being said, important environmental considerations must always be given priority when new lines are to be expanded. I would also like to take the opportunity to draw up two specific air lines, which have been covered by many of them here today, which the Ministry has to deal with, namely the Sima-Samnanger line, which is planned on the north side of Hardangerfjorden, and Fardal-Örskog through the Sunnmørsalpene. The conflicts related to aesthetic considerations and environmental values are so strongly linked to these lines that alternative cables for air voltages, such as sea cable or earth cable, should be used on several routes. The transmission of high voltage lines uses almost exclusively air voltage, having regard to the guidelines given by the Stortinget. In the past, the government has promised new guidelines that will open up more opportunities for the transport of cables in sea and soil where air voltage will be devastating in important natural areas. Among other things, Åslaug Haga, former oil and energy minister, has repeatedly said in Stortinget that there was a need for such guidelines, and that they would come. No such guidance has been provided. This is why the Left today proposes that such guidelines be developed and it is essential that these guidelines be submitted before a decision is taken on the two lines under review. The left will also support the proposal of the Progress Party, the Right and the Christian People's Party in the vote, and we assume that the discussions and evaluations requested in the proposals are part of a government proposal on new guidelines, as left-wing demand. I am thus addressing the long-awaited proposal.
ParlaMint-NO_2010-06-03.ana.ud2616e874	The representative Borghild Tende has taken up the proposal she referred to.
ParlaMint-NO_2010-06-03.ana.ud2616e877	For the government, it is central to facilitating a significant increase in our renewable energy production. Sustainable use of hydropower resources is an important element of this effort. In the light of the climate challenges, the expansion and upgrading of existing hydroelectric power plants combined with the prudent development of watercourses will be valuable contributions. Then I have to admit that I have brought the script with me to a later matter. So if the president allows me to find a script that matches something better with the case...
ParlaMint-NO_2010-06-03.ana.ud2616e884	The President does not overlook the fact that the matter can be served by it! [[Laughter]]
ParlaMint-NO_2010-06-03.ana.ud2616e887	I think we'll bet on it.
ParlaMint-NO_2010-06-03.ana.ud2616e892	With the permission of the Chamber, the President will have the clock rebooted. Riis-Johansen County Council has a speaking time of up to 5 minutes, with corresponding scripts.
ParlaMint-NO_2010-06-03.ana.ud2616e895	I thank you for your love, and may start with the second section of case no. 5th@item: inlistbox In this case, I begin with the following: the development of networks is important for security of supply and to facilitate increased production of renewable energy. We are now facing a period of need for substantial investment in the central network. That is why I am pleased to note that everyone agrees with the need for network investment in the future. It promises well that we will have broad support for the decisions that need to be made in this important area of society. At the same time, it is a fact that power transmission installations involve large installations and interference with the terrain. We must expect that the opinions on, among other things, trasé selection is split. No matter how laws and strategies for the deployment of power lines are designed, we do not overlook the fact that cross-cutting considerations will prevail. Overall, the best solution for the security of power supply, the need for more renewable energy deployment and the environment and landscape vary on a case-by-case basis. However, it is our responsibility as politicians to provide as predictable a guidance and a framework as possible for different considerations in planning and concessional treatment. It is also very important that the development of power lines is done as carefully as possible. That is why, as I know it last April, I put forward a strategy on how to take even stronger account of the environment, aesthetics and local communities when strengthening the power grid is planned. The strategy was adopted here in Stortinget in the spring session last year. Revising this strategy only one year after its adoption would be difficult to describe as providing a predictable framework. The electricity supply strategy provides a comprehensive explanation of the range of remedial measures across voltage levels. The advantages, disadvantages and challenges of cable selection were examined. The issue of cabling was considered in an overall perspective and challenges and opportunities of other forms of project adaptation were highlighted. A debate limited to cabling at higher voltage levels would dissociate the assessment basis from this whole. Based on a discussion of natural interventions, security of supply, technological challenges, costs and opportunities for access points and systemic measures, the strategy concludes that cableing is more often a socially rational measure at a lower level than at a higher level of voltage. It is established that cable should be the general rule of the distribution network, while its use should be progressively more restrictive with increasing voltage levels. This is a clear priority and direction that the Stortinge agreed to through the treatment of the strategy. As I said, the electricity supply strategy was adopted by an overall increase just one year ago. The strategy is well thought out and provides us with a sound framework for the decisions that now have to be made in the future, in order to have a network that keeps track of goals in the coming years. I am sure that the deliberation of the strategy, which we had last year, has properly addressed the concerns of the proposers.
ParlaMint-NO_2010-06-03.ana.ud2616e912	It's going to be line change.
ParlaMint-NO_2010-06-03.ana.ud2616e915	As several articles in this Chamber have shown today, this is a debate that has been reopened over and over again. Several Documents Nos have also been published. Eight proposals on the same thing, one asking for clarification. The representative Serigstad Valen also refers to repeated debates on this topic in the Chamber. Not the Council of State sees that a more conservative framework around just this type of expansion would have given more care, would have been likely, and given a faster clarification in precisely this type of development, which takes too much time, which we see, among other things. where it relates to the development of Fardal-Örskog, as an example?
ParlaMint-NO_2010-06-03.ana.ud2616e920	It's not like that, for example. Ørskog-Fardal is about a treatment process that takes time due to a lack of overall clearance. It's a process that takes time because of the many small, needed clarifications to find a trachea that's good enough. It's about going on one side or the other of a fjord, whether it's going to go through a municipality centre or whether it's going to go outside. There are no guides that can be passed through central, horizontal lines. I just think we have to admit that building large power lines from one place to another requires a lot of work to be able to get a solution that is good enough to take care of local people's interests, good enough for environmental reasons and good enough to have a good enough quality on the line itself. So to use Ørskog-Fardal as an example of a case that would have had a faster clarification if you had a tighter frame around the power development, or the web expansion, I think is wrong given what the case is actually about. At the same time, I believe that when it comes to having an adequate overall framework, the Storting has taken care of it earlier.
ParlaMint-NO_2010-06-03.ana.ud2616e927	I agree with the Council of State that Ørskog-Fardal is complicated. Through Sogn and Fjordane it is too weak and bad a net. This is a case where you need time to find the right solution. When it comes to the Hardanger case, there is still new information in the newspapers about things that should have been dealt with more carefully, and it is a considerable mistrust of the process that is going on, among other things. in questions raised by the people's reaction in Hardanger and in newspapers. I think it would be a great idea if you could have an independent body that could go in when such large expansions should be handled. It will give you confidence in the result, and it will also give you confidence in the process. My question is, how does the Council of State view the integration of independent bodies to assess the information currently contained on the development of Sima-Samnanger?
ParlaMint-NO_2010-06-03.ana.ud2616e937	I am a little surprised at the entrance to the question from the representative Solute flour. It can be seen that the representative is not confident that the State body, NVE, is an independent body. I totally disagree with that.
ParlaMint-NO_2010-06-03.ana.ud2616e942	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-06-03.ana.ud2616e947	As many have said before, there is a high level of conflict around natural interventions such as power lines, road development and other major construction projects. The proposers say they have an ambition to lower the level of conflict by introducing more – let's say – rigid rules. I have no faith in that legislation. What is important, as the representative Serigstad Valen pointed out, is that there must be opportunities to make judgements and judgements in individual cases, including the development of power lines. I wonder very much about the use of the term ‘infinite debates around trasé elections’, as about the debate in the local population and in society elsewhere around these natural interventions and around these structures and choices to be made is somewhat negative, which we will have less of. I think you should notice that both in the West and elsewhere, where you have a good commitment to your communities. I myself participate in the debate on the Sima-Samnanger power line in Hordaland. I do not think that the debate is either endless or desertless. That debate is a very good debate and has been a very learning debate for most people who have participated in it. Both I and my party participate in the debate. I haven't heard a bastant demand from people in Hordaland for a quick decision. It is not the time for the proceedings that is the problem. It is the proposed pathways that are the problem. You'd like to discuss that, and you'll have to discuss that. I have, as I said, participated in those debates. And to the somewhat strange comment in the position that it has been noticed that big business representatives have participated in the debates ‘without any initiative on the Stortinget’, it is to say that this matter is at the discretion of the Council of State, not of the Stortinget. I have a very good dialogue with the Council of State on this and other matters. The problem we are facing here, which we cannot adopt away from legislation, is that we cannot set a price on the environment and environmental values that are final, definitive and absolute. I would also like to say that we probably have a potential for improvement in the way we communicate and are open around the procedure. This applies to all the agencies involved – in this case Statnett, but there may also be other network companies that have an improvement potential in being clear and clear about what you want, and why you want this, etc. I believe that much of the debate – the part of the debate that is about suspicion and fear – can be removed in that way. Then we get a more real debate about what this is all about.
ParlaMint-NO_2010-06-03.ana.ud2616e960	This has been a bit of a strange debate, because the position does not debate what the opposition is proposing. Then I read the proposal: ‘The Government asks the Government to submit proposals to the Grand Duchy for an evaluation of the rules and practices for the construction of power lines, including a discussion around the borderline for the choice of air voltage versus ground or sea cable.’ So we're not going to say it's going to be like this. We're not saying whether it should be tightened up or liberalized, we're not saying where the border line is going, we're just asking the Stortinge to have a proper debate on this. The reason why we do not go into the proposal and say how we personally want it is that we do not want to lock the debate already in our request for a matter from the government. This is a very complicated topic, there is no doubt about it, and it also bears witness to the debate. That's why it's important for the Storting to get a thorough presentation of a case on this, so we can make a good decision. When we have chosen to make such a proposal, it is precisely from the experience of the representative Henriksen. There's a lot of debates around the country where there's a sense from some big-time representatives that they're going to sort this out. But the point is that one has just shown that the Stortinge gave alleged guidelines last year when we dealt with the network policy and the web proposal to the government. So obviously everyone agrees that there should be guidelines, but our question is, are they in the right place? For there was no specific debate on the guidelines in the last year’s network proposal. At that time, there was a debate that cabling should take place at the level of distribution, i.e. locally, but in the case of central and regional networks, it was not a topic. And asking a question to those who run those levels, they say that the Storting hasn't given any new signals in this area. When someone in this hall claims that the Storting gave a clear signal last year, it is certainly not that anything has been changed. And when one sees that one has these debates, where one in Hordaland claims that now should be a fighter for yours and your daughter, while one does nothing to change the boundaries – the guidelines that Stortinget has given – then there is a struggle in the opinion, without a commitment to grips with this on the Stortinget. For the guidelines that the NVE and Statnet have to deal with, once again, have been given from here, through the government. If you want to do things in a different way, you need new guidelines. Then Stortinget has to get a case, so we can discuss this – and not give the impression that the opposition here comes with a done thing, that this is how it should be done – ‘rigid rules’. There's nothing here at all that's rigid. On the contrary, we have made it as open as possible. I think it is bleak of subversive arguments to vote against this, and not least of bad conscience from some red-green politicians because they do not want this debate in the Stortinget, but want to keep it hidden in the government apparatus.
ParlaMint-NO_2010-06-03.ana.ud2616e974	To what the representative Ketil Solvik-Olsen said: the actual situation is that in connection with Ot.prp. No 62 for 2008-2009, there was just a debate on the issues currently raised by the Progress Party. And that's the main reason why a doesn't think there's any reason to go back in and start evaluating or concluding with some new guidelines at this point in time, because the situation hasn't changed that much. But besides, I totally agree with the proposal provider that one has to focus on this with web expansion and what type of network one should have. I also agree with Snorre Serigstad Valen, who says that power saving is something we always have to bring with us. That should actually be a priority. But even if it's a success, we know that we're quite content to have new production of new and renewable energy, whether it's water power or wind power or solar energy. All this will result in an increased need for networks, both the regional network and the national network. I also want to say that we need to have a very focus on expanding the network between Norway and other countries. If we are to be able to help with these climate crisis measures, we will have to contribute our pure, renewable power. We have the water power, and this is a great value because it can be regulated, and that one can get an exchange in relation to wind power and solar energy, which some other European countries are investing in. So the question is, what kind of network are we going to have? My clear starting point is that where it is possible to build earth cables, we should have it as a kind of first priority. But I see that in many places this with earth cable for the first time will lead to great digging – great interference in nature. Second, it's expensive, and it's a maybe a little bit more untapped technology. And thirdly, one sees that it can be very vulnerable, and that one has to go on with new digging, etc. as soon as someone has happened, it's easier to do something and quickly get a new voltage. So in all of these situations, there will be concrete considerations: what is the best solution? When I say that one should have earth cables as the first priority, it is because one through it helps to stimulate perhaps more efficient earth cables, a more efficient technology and a more cost-effective deployment of earth cables. Because I think that's a little neglected. Here's a technological potential that's not good enough, so we should always focus on improving it with earth cable versus air voltage.
ParlaMint-NO_2010-06-03.ana.ud2616e987	The representative Sande has repeatedly called for my hold in relation to Ørskog-Fardal. I have a reason for this in several ways. When we see the big negative consequences of the proximity of the 420 kV line both in Naustdal, in Nordfjordeid, in Sykylven and some other places, it requires that we make other assessments. We also see that the assessments underlying negative impacts on nature, the environment, protected watercourses and, not least, on proximity to the bush are too weakly weighted. Therefore, it is important that we get new policy guidelines for the use of sea cable as a deterrent. The right has also suggested that a super-network should be provided to Europe, and that there should be a distinction further northwards, with a view to providing a secure supply, as well as for the export of electricity. I also recorded that red-green politicians traveled around the Sogn and the Fjords in the election campaign and said they wanted the airline, but they wanted that airline to get away from people. We have several areas where this cannot be combined with the line that we have today for treatment. Then it is important to follow up on what red-green politicians do when this matter is being dealt with, and it is the government that is responsible for handling it. So it went a little fast when it came to these suggestions. Right supports proposal No. Two, from the left. But we also want to add that one has to carry out economic assessments when drawing up these guidelines.
ParlaMint-NO_2010-06-03.ana.ud2616e996	No more people have asked for the floor on case No. 3rd@item: inlistbox [[Fotation, see page 3647]]
ParlaMint-NO_2010-06-03.ana.ud2616e1012	At the request of the Committee on Energy and the Environment, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines after the intervention by the Council of State within the allocated speaking time. Furthermore, it is proposed that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-06-03.ana.ud2616e1021	The Workers' Party, SV and the Centre Party have ambitions in energy policy. We want Norway to be a strong contributor to the supply of renewable energy. Climate change confronts us with fundamental challenges in energy policy. We must phase out fossil energy and replace it with renewable energy, without greenhouse gas emissions. This must be done by reducing energy consumption, converting energy consumption and thus increasing renewable energy production. Never has so much been spent on the development of new renewable energy as under our current government. Substantial support has been given to new projects and agreement has been reached with Enova to deliver 18 TWh renewable energy and energy efficiency improvements by 2011 and 40 TWh by 2011. Small-scale power plants, including mini- and micro-power plants, are a good contribution to increasing the production of hydropower. In the 2005 Soria Moria agreement, we say that the government will: ‘to a greater extent exploit the potential of upgrading existing hydroelectric power plants and in the construction of small, mini- and micro-power plants’. In the period 2006-2009, a final concession for an annual production of 3,4 TWh has also been granted. In Soria Moria, we also say that the government will ‘establish a mandatory green certificate market for new renewable energy and mini- and micro-power plants. Where a green certification market is not feasible as intended, other instruments shall be considered’. So this is from Soria Moria from 2005. The common market in certificates with Sweden could not be implemented as intended. After some time, discussions were resumed, a common understanding was developed in June 2008, and an agreement on the principles of further work was signed on 7 September 2009. The transitional arrangements to be applied until the licence market is in place were submitted on 26 November 2009. Those transitional arrangements entitle all power plants starting from 7 September 2009 to participate in the certificate market. Mini and micro-power plants starting from 1 January 2004 are also entitled to such participation. I remind you of the text in Soria Moria that the government will ‘establish a mandatory green certificate market for new renewable energy and mini- and micro-power plants. Where a green certification market is not feasible as intended, other instruments shall be considered’. The structure and level of support and incentive schemes will always be the result of overall assessments. The non-profit schemes stimulate the realisation of marginal projects, where the risk limits the willingness to invest. We don't want to spend money on bad projects that will never have the hope of being either economical or socio-economical. Nor do we want to spend money on increasing profits that are already satisfactory. This will never be an exact science. In the transitional arrangements, mini- and micro-power plants are now built after 1 January 2004 included in the certificate market, while participation for other power plants is limited to those started after 7 September 2009. I note that this decision has disappointed those who are not allowed to participate in the certificate market, but who had hoped for it, and I understand that. Nevertheless, the Labour Party supports the assessments that have been made and we therefore recommend that this proposal be rejected.
ParlaMint-NO_2010-06-03.ana.ud2616e1045	Today's debate is a manifestation of a betrayal by three parties in the Great Britain. It's a debate that reflects a desire to manipulate history. We already got an example. The pledge given to the small-scale power industry in 2004 was backed by a unanimous committee. The Committee which made comments in 2003-2004 indicated that Minister for Oil and Energy Steensnæs had stated: ‘I would like to stress that those building up power generation are not now going to lose on it by introducing a green certificate market.’ There was no attempt from the red-green batches to define this to only micro- and mini-power plants. What was given was a basic promise that the technology will end up in the final green licence market. Now we see that small-scale power plants came into the final green certification market. Then the representative Henriksen is standing on the floor here and says that the transitional arrangement, no, must be in relation to the Soria Moria I declaration. It's a discrimination. One arrangement has a form of principle, the transitional arrangement relates to a political declaration that came after that promise was made but is not included in the final arrangement. It shows that it was just a substitute argument, because the government has found out for some reason that those who have actually taken a risk and have been pioneers should be punished. I think it is rather embarrassing as a representative of big business to experience that some big business representatives from the red-green parties in the newspapers go out and say, "I have not personally given this promise." Although you were sitting on the Stortinget, and although you did not in any way distance from the overall committee position in the 2004 debate, you now stand here and say, "I have not personally given this promise. You have to be able to trust that when a party says something, and there is nothing else from individuals in the debate, you are behind what the parties promised in 2004. I would also like to show that the then State Secretary in the Guri Størvold Ministry of Energy and Oil 3 March 2008 wrote an e-mail to a central party member who was to build small power plants, such as this. stand: ‘You can take it easy. What has been said by previous government councils and in biggest notification No 11 that installations put into operation after 1.1.2004 should be able to enter the green certificate scheme if they otherwise comply with the requirements are established.» So it is a promise from the members of this government that the promises made by Steensnæs stand firm. Then it says at the end of the e-mail: ‘I hope this was elucidating. And that you can now feel confident that your party is still to be trusted." Is it a parliamentary expression to laugh after such a quote? I just wanted to ask before the president clubs, the president has done it with me before.
ParlaMint-NO_2010-06-03.ana.ud2616e1071	If you could find another one, it would be an advantage.
ParlaMint-NO_2010-06-03.ana.ud2616e1074	Then I'll leave it this time. It's obviously a lie – it's probably not allowed to say either – or a trick by party members to pretend that a promise is being kept when you obviously break it today. The members of the government and the red-green party members are now standing here defending this breach of promise as if history has not been different. So it was a unanimous increase that in 2004 everyone who builds small power plants, anyone who builds green technology anyway, and who joins in a final certification scheme, will be in the transition market. The point is also that the red-green parties strengthen this consensus and actually promote proposals on this. In 2003–04, the proposals to be included in the transitional regime were put forward by the end of the final certification market. Then red-green representatives in this debate will try to claim that the certification system we are ending up with today is significantly different from what was discussed in 2004. Yes, we have asked the Council of State where the difference is, but the Council of State cannot give any explanation as to what the difference is. The fact that the promise was in principle is far enough, but when you try to go into the facts here, you also see that there are no differences in what you then discussed and what the government introduced. The fact that the government in the Soria Moria I statement had another solution that was worse than the one they had promised before the election is another bowl. The point is that it is not the policy that the government finally implements. That's why I think it's unreasonable that a precisely for small power plants that have been built has a policy that they no longer stand for, but maintains it for this particular group. That is why I ask the red-green representatives who have a conscience in relation to the promise that was made to support the opposition's proposal. It's giving a recognition to those who have actually taken risks, and it's about making sure that when politicians talk about the need for investment in green technology, people will trust us in the future, and not when it comes to the small power industry, they don't dare to take that risk anyway. I'm dealing with the proposal that the opposition is behind.
ParlaMint-NO_2010-06-03.ana.ud2616e1089	The representative Ketil Solvik-Olsen has taken up the proposal he referred to.
ParlaMint-NO_2010-06-03.ana.ud2616e1092	Very many landowners have made large investments and have taken a significant financial risk of building up small power in all parts of the country. They've done what they've asked for a huge amount of money, to bet on the development of renewable energy. The government's transitional regime punishes those who are proud of red-green politicians and who have the courage to invest in an important district industry. Clear promises both from a mass collapse and from red-green politicians have become a solid promise break. Many small power builders are now at risk of the worst-case bankruptcy and of having to leave the yard and land. Green certificates have been an important issue in the election campaign both in 2005 and 2009. The Bondevik government had already concluded an agreement with the Swedes in 2005, and it is pure training that the red-green governments from 2005 have not completed this scheme and that it will apply to all small power plants. The e-mail, dated March 3, 2008, from former Secretary of State Guri Størvold in the Oil and Energy Department of the Central Party member Egil Berge on small force and green certificates is a good proof that red-green politicians have actively used this case in the election campaign as well, and it may have contributed to securing a button waltzers to the red-green parties. The signing of the Memorandum of Understanding with Sweden on 7 September – a week before the elections – was without a doubt a stunt in order to take advantage of this matter in the election campaign. Now you'll see if this will be a new lifting break. Of the 185 small-scale power plants built after 1 January 2004, only 35 are allowed to enter a green certificate market with the government. The Small Forces Association has provided evidence that the total loss is 1.2 billion. kr during the licence period. Many small power plants built between 1 January 2004 and September 2009 lose several hundred thousand kroner a year, some of them several million. It's very dramatic for those who owe it. Vesleåni power plants, which the State Council itself opened on 11 August 2009, lose 750,000 kroner every year on the government’s promise break. Eidsdal Kraft loses 2 million. kr and Fossveir Kraft the same. According to the Nations 21st May 2010 my biggest representative Torstein Rudihagen from the Workers' Party that it would be too expensive if all the small power plants were included in the transitional Green Certificate. There's a very bad reason for such a breakup. In addition, there is a claim that doesn't contain a destination. A certificate scheme that gives the builders a ‘soccurre’ of 15 to 20 øre per. kWh, will give an estimate of the price to consumers of a few cents per cent. kWh. In the worst case, a consumer will have to pay an extra hundred dollars at an extra power price. When we know that increasing production leads to a lower price, it is my claim that the consumer will not notice that this scheme is being applied to all those who were promised to be involved. The claim from Rudihagen lacks root in reality, and he must be documented. On the home page of the Small Forces Association, the committee’s representative and leader, Erling Sande, claims that the Central Party has lost this matter to the government, and thus owes it to the other government parties for this lifting break. This is mostly about the mess on the red-green side, but it's also a serious disclaimer from the representative Sande's side. The Central Party has held the Minister of Oil and Energy from 2005 until today and has been in charge of the steering wheel for so long that they are fully responsible for the failure to comply with these promises. The e-mail from the former Secretary of State Størvold is also a good example of that. Right wants to keep promises that small power plants between 1 and 10 MW built after 1 January 2004 will be included in the transitional green certificate scheme. It is about trust in a political party, popularism and morality. The Green Certificate system is an important measure to strengthen small-scale power generation as an important industry in the districts. It also provides clean renewable energy, which is an end in itself. Therefore, in addition, in the revised national budget, the Right will propose the removal of the land-interest tax for small power plants up to 10 MW. In the right, this is seen as an important step towards exploiting the expansions that have already been made, and the Right will facilitate the further development of small-scale power plants in the future. Right wants to create values and business development in the districts, and green certificates and the removal of the rent tax on small power plants are good examples of that.
ParlaMint-NO_2010-06-03.ana.ud2616e1118	The introduction of a single electricity certificate market for the development of renewable energy with Sweden is a very important step in the development of new renewable energy in Norway and will provide us with a tool well suited to steering and dimensioning such a development in the coming years. Although the representative Lødemel made some attempts in previous posts, I don't think anyone can conclusively determine just how this market will turn out when it comes into force. However, we can be sure of one thing, and that is that it will trigger a number of projects that would not otherwise have been realised, which is also the objective: to set up a mechanism that triggers projects that might not otherwise have been profitable enough, but which, after an overall assessment by society, are necessary to increase our share of renewable energy. In order not to cause a halt to the development of power projects during the period until the entry into force of the green licence market, it has been important to put in place a transitional regime. We all agree on that. Of projects starting after 1 January 2004, micro and mini-power plants are subject to the transitional arrangements. The opposition's proposal concerns, as we all know, small power plants with start-ups before 7 September 2009. I understand that it can be considered unfair that not all types of construction start power plants after 1 January 2004 are included in the scheme. However, such demarcations must be made, and it is important that not too much of the licence market to enter into force is bound up with already launched projects or projects which would in any case be profitable. In the wording of the proposal, the opposition notes that a unanimous Energy and Environment Committee in 2004 would provide transitional arrangements for all power plants. It was also signaled by the then oil and energy minister Einar Steensnæs. At that time, however, it could not be known that the final agreement with Sweden would be entirely technology-neutral, completely without restrictions on hydropower, which is historically profitable in Norway. Now we know that, and then it's natural, as the Council of State writes in its response to the committee, that there is an overall assessment and some demarcations to implement such a transitional arrangement. According to the Small Powers Association itself, any aid to the 130 power plants in question constitutes this case, approximately EUR 1,2 billion. kr. And even though it may seem unfair to some people, it's important to remember that this would mean 1.2 billion. smaller for wind and bio projects and other projects with an even greater need for support. Finally, I would like to reiterate the perspective I had in the discussion in the previous case: that we should always seek the best possible energy saving policy. Therefore, many actors believe that a good addition to the forthcoming Green Certificate Scheme, which we are discussing a lot at Stortinget, are so-called white certificates, which are a corresponding incentive scheme for energy saving. This is something I hope both the government, the Council of State and the Stortinget will follow in the future towards the introduction of the green certificate market. I draw this up because it is important to warn against the view that any expansion of power in the name of climate policy is desirable and of the good. Many other environmental considerations are also involved. We must never forget that when we discuss what is, of course, significant natural intervention, and which has, of course, a cost.
