ParlaMint-NO_2010-05-12.ana.ud47e26	The representative, Per-Willy Amundsen, will put forward a proposal for a representative.
ParlaMint-NO_2010-05-12.ana.ud47e900	National transport plan 2010–2019 represents a historical commitment to transport. Nevertheless, the local desire and willingness to use tolls to advance the realization of a road project further or to get a road project realized at all. I am in favour of this, but it is clear that there is a local political connection to the toll projects that are being launched for Stortinget. On several occasions, the Progress Party has been called upon to launch a public poll on toll financing. In my view, it may be difficult to ensure that all parties are heard in a defensive way through a referendum, where questions need to be considerably simplified. I believe, therefore, that the state should focus on formal decisions taken by the municipalities and county councils as a matter of law. As mentioned in St.meld. No 16 for 2008-2009, the total number of toll projects is not covered. The government believes that there should be a concrete assessment for each project, including: to ensure that the toll load does not become too high in the individual area. In addition, I see it as important that the projects be assessed in relation to the guidelines drawn up for toll financing, for example. the relationship between the benefit and the payment and the length of the recovery period. The administrative reform has significantly increased the responsibility of the county for the development of the public road network by reclassification of large parts of the former other national road network into county roads. This may affect the use of tolls on this road network. It has been suggested that toll projects on the county road network should also be assessed by the government and the Stortinget, in line with projects on the state road network, in order to ensure an overall assessment of the level of activity and toll burden. Tolls for road safety measures, pedestrian and cycle roads and environmental measures are within the scope of the Road Act § 27 if local policy is in favour. This has been most common within city packages and is nothing new. For example, the Trondheim package, which was adopted in 1990, includes funds for so-called KSM measures, i.e. public transport, environmental and road safety measures. The fact that the urban packages cover such measures to a greater extent, I regard them as positive. Urban areas face major environmental challenges, and there is therefore a need for action, both to reduce car traffic and to facilitate increased public and bicycle traffic. The use of tolls for such measures can contribute to the development of better and more environmentally friendly urban transport systems. The allocation of funds made available by toll companies to the state road service over the years is clarified by the annual budgets.
ParlaMint-NO_2010-05-12.ana.ud47e913	At the end, the Council of State approached an answer to that question. It is not about the extent of toll and political extortion run by the government, and it is not about proposals from the Progress Party to use referendum, which is a good measure, and let people decide for themselves. But this is precisely about Section 27 of the Road Act, where Stortinget and the Ministry set conditions for the specific use of the charging funds. It's this use of the means of charging, the use of the tolls, I'm looking for the question, because we see that tolls are used for a number of purposes other than what I think the drivers experience as their primary purpose. We experience that they, among other things, used for purely urban development measures in bombing operations, to which the Council of State was concerned. This appears to be more of a general extra tax than an additional transport tax. Will not the Council of State impose any restrictions on this development?
ParlaMint-NO_2010-05-12.ana.ud47e920	The President responds to the term ‘political extortion’ and hopes that it will not occur later.
ParlaMint-NO_2010-05-12.ana.ud47e923	As I said in my first answer: Using tolls for measures to reduce car traffic, which at the same time facilitate increased public and bicycle traffic, I thought I was positive. The premise of the projects submitted to the Stortinget is that these proposals should also be locally initiated, based on local decisions. I see it as my task to follow them up, where we contribute both to a better environment and to better urban development, while following up what is the local will in these questions.
ParlaMint-NO_2010-05-12.ana.ud47e930	Let me say that this representative has used the term 'political extortion' many times from this pulpit, with other presidents, and then it tends to go quite well. Again — conditions for the use of fiscal and fresh examples: we can take two fresh examples, because we now have two issues for treatment. One is the extension of the Bergen programme. It's almost 2.5 billion. for programme actions. 36 pst. So the whole package is used for things other than road construction. We have just received information in the joint proposal on the extension of the environmental package in Trondheim, where tolls will be increased by 90 million in 2010. kr more for toll measures, to be used for environmental measures. So two thirds of the tolls entering 2010 are going to be used for anything other than the road. Does the Council of State consider this to be a condition for the use of the fiscal means?
ParlaMint-NO_2010-05-12.ana.ud47e939	The representative, Mr Sortevik, has then recorded that this president believes that ‘political extortion’ is a less good parliamentary concept.
ParlaMint-NO_2010-05-12.ana.ud47e942	I mean the two examples mentioned here by the representative Sortevik are a very good example of the local willingness to take measures that help to make a bigger appearance, and at the same time to a better environment, to reduce car traffic and to better identify both for walking and sick people, as well as for those who need a car. Both of these two copies are locally initiated and locally agreed, and I see it as my clear task – according to the government I represent – to follow up on these kinds of proposals. My well-meaning advice for the Progress Party will be not to be so one-sidedly focused on what is demanded, but to actually focus on what is actually left of a better environment and health for small funds.
ParlaMint-NO_2010-05-12.ana.ud47e952	I have the following questions: ‘The Government states in its National Transport Plan: ‘It is a priority objective to create a significantly better operating and maintenance standard on the national roads’. The maintenance maintenance run has been estimated at over 20 billion. kr and is increasing. Does the Council of State consider that the plans currently in place are sufficient to prevent further deterioration of road standards?’
ParlaMint-NO_2010-05-12.ana.ud47e961	For the period 2006-2009, the government has more than met the plan frame for the first four years of the national transport plan 2006–2015. The government has been particularly busy strengthening efforts to maintain transport infrastructure, which has been neglected over several years. The budget for the operation and maintenance of the road network was therefore markedly increased over the period 2006-2009, compared with the framework of the national transport plan 2006-2009. The National Transport Plan 2010–2019 provides for additional increases in operating and maintenance permits. The aim of the increased effort is to halt the growth in the decline of transport infrastructure. In the 2010 budget, the government is continuing a high level of activity on the operation and maintenance of the national road network. However, there has been a huge increase in the cost of operational and maintenance work in recent years, which makes it difficult to keep up a level of maintenance that stops the growth in maturity. It is therefore important to work to reduce costs while at the same time ensuring that the quality of the work is correct. The state road authority is now working to identify the reasons for the large cost increase. In addition, the EEA is working to test new forms of contract and strategies for cost-reducing measures. Let me also say that today's method of assessing the size of the maintenance seat is sealed with uncertainty. The Ministry of Transport has taken a new initiative in order to improve the methodology for assessing the maintenance of the national and county road network. The state Road Service has started this work, and it is supposed to be done in 2011. I follow developments in road operations and maintenance closely. It's my ambition to work to strengthen the maintenance, and then we first have to stop the growth of the decay on the roads.
ParlaMint-NO_2010-05-12.ana.ud47e972	I thank you for your answer. We have just revised the national budget, where 70 million have been added. kr only to repair frost damage and damage after a strict winter. What the Council of State says is that she sticks to her goal and believes that she is on a good path towards that goal. But this is not in line with what is in her own subject matter documents. In the Swedish Road Service’s action programme, the road category is very poor — which is used as a concept. It'll increase from 8 pst. until 20 pst. during the next three years. How can this be related?
ParlaMint-NO_2010-05-12.ana.ud47e981	This question gives me the possibility to fix an error from the Swedish Road Administration. I was told yesterday that they had just delivered an action programme that told me an increase from 8 to 20 pst. The correct number from the State Road Service page shall be 10 pst. They have also posted a correction on their web pages. Then the representative can say, "Okay, here's a raise." I can say, luckily only on 2 pst. instead of 12 pst. I shall have full use both of better methods to estimate maintenance and not least to get a review of the contract forms, which the State Road Service is now required to carry out. It's not just about allowing money, but it's actually also about making sure that the money is properly maintained.
ParlaMint-NO_2010-05-12.ana.ud47e990	It's obvious that there's something about the system here to verify this, which is not in place. The Committee has today had consultations with the road safety organisations. They wish to have defined binding measures for what is approved or good road, i.e. in line with requirements for vehicles, in line with requirements for drivers, etc. In addition, they will have oversight and they will have sanctioning powers. Will the Council of State listen to these organisations working for safer roads, fewer deaths on our roads, and meet them in this desire?
ParlaMint-NO_2010-05-12.ana.ud47e999	Let me first say yes to listen. There's nothing new. I've spent quite a lot of time these months being Minister of Transport, just listening to different actors before this sector to see how I can follow up in the best possible way. For this I am also very happy that in the 2010 budget there is room for 800 new kilometers of asphalt. It means a lot to those who are busy for maintenance. So now it's going to come in the revised 70 million. kr. It's not all the world, but it actually means 100 new kilometers of asphalt. And the prices are favorable right now. So the sum there could be at least 900 kilometers of asphalt, which is important for the maintenance work. In addition to that, yes, we still need to improve the maintenance.
ParlaMint-NO_2010-05-12.ana.ud47e1009	I allow myself to ask the Minister for Health the following questions: ‘In 2006, the Ministry of Health and Welfare decided to investigate and test a new speciality in clinical odontology, and the assignment was given to the University of Tromsø in 2007. In the winter of 2009, the study plan was submitted to the Health Directorate and approved the same spring. The new specialist training for dental practitioners shall be financed by the Ministry of Health and Care. The rector has been appointed in half, and four qualified candidates are ready to begin specialisation. Then it turns out that funding is missing. What will the Council of State do with that?’
ParlaMint-NO_2010-05-12.ana.ud47e1018	I consider the testing of a new specialty in clinical odontology at the University of Tromsø as an important measure in the general dental policy of the government. The government prioritises following up the proposals in St.meld. No 35 for 2006–2007, Accessibility, Competence and Social Cohesion, Future dental services. Ensuring equivalent availability of dental services, including specialist services, is important in this context. The university has done a thorough and systematic work on developing a syllabus and on preparing all the pieces that will be put in place to start up a new speciality. In the context of the 2006 mission of the Ministry of Health and Welfare, provision was made for budgetary implications to be clarified with the Ministry. A crucial element in this context was whether the testing of new speciality could be financed by redisposals within the existing framework of State funding in the dental field, or whether the costs of testing require additional appropriations. Draft overall budget for possible start-up in the autumn of 2010 was available for the Directorate-General for Health only in January 2010. In cooperation with the Ministry, the Health Directorate considered it unrealistic to finance the start-up of the specialist training in question through redispatching in the current year. In the meeting between the University of Tromsø, the County Municipality of Tromsø, the Health Directorate and the Ministry of Health and Welfare on 7 May this year, it was concluded that the responsible actors in Tromsø are continuing to plan for start-up in 2011. The Directorate for Health, in cooperation with the Ministry, will assess possible redeployments for 2011 in order to ensure funding in accordance with a budget approved by the Directorate. The Health Directorate maintains formal communication with the University of Tromsø and with the Municipality of Troms. The Tromsø communities will receive feedback that will provide a realistic planning process until the start of testing the new speciality. I look forward to the new speciality being tested, and I understand that many county municipalities are interested in the results of this test.
ParlaMint-NO_2010-05-12.ana.ud47e1031	This is indeed a strange matter, because it has been working on the matter for years. The answer now given by the Council of State suggests that there is a great lack of communication between the Directorate of Health and the Department. According to those who work with this in Tromsø, there has never been any doubt that the funds would be put in place. You had to start this harvest in two or three months. The candidates are listed, they are ready, and they are suggested to start their education. The professional responsible is added. And then you kind of get waved off at the last turn -- when you see the finish line there. Now it is said that it is totally unrealistic to start for the harvest. But according to a crisis meeting in the Health Directorate last Friday, the directorate, if you get a clarification from the Council of State on 1 June, will be able to submit that education starts on 1 January 2011. Will the government give it the clear signal to the directorate?
ParlaMint-NO_2010-05-12.ana.ud47e1038	I mean, that's what I actually said now, that it was in the momentum. Then I want to say that it was the University itself that approved the launch of specialist training in the autumn of 2010, provided that the project was fully funded in three years. So it turns out that the frame you'd taken into account didn't hold. It became more expensive than what was assumed, and it may be some reason why it is now exposed. This is also the case with the Health Directorate getting the plans only in January. This is a positive project, and it's important that it comes into place. So now we're working to make it work from 2011.
ParlaMint-NO_2010-05-12.ana.ud47e1045	I thank the Council of State for the answer. She shows herself both to St.meld. No 35 for 2006–2007 and the importance of also focusing on upgrading dental competence. Dental training in Tromsø is the country's newest, and it is perhaps also the country's most modern. It is clear that they are both interested in contributing and in meeting the objectives set out in the dental communication. Then I interpret the council so that the directorate could give the answer to Tromsø that you most want – that you can now plan and suggest to the candidates that they are students from 1 January 2011.
ParlaMint-NO_2010-05-12.ana.ud47e1052	That's the goal. I just want to stress that in the autumn of 2009, the Health Directorate was suggested a cost of 1.5 million. kr, but in January of this year, the directorate received a revised budget, with a cost of 5 million. kr for 2010. This increase of 3.5 million. I did not find any room for the current year. That's why it wasn't started from the harvest. What's now the goal, and as I've said here several times now, is that we're going to get started from 2011.
ParlaMint-NO_2010-05-12.ana.ud47e1068	The question has been postponed until the next question time.
ParlaMint-NO_2010-05-12.ana.ud47e1074	‘In many countries, the development of unconventional oil and gas resources is actively pursued. This development makes it possible, for example: The US expects to be independent of imported gas. Oil sand and shale gas are today's leading non-conventional sources of petroleum, but shale oil, gas in coal reserves and gas hydrates are considered promising. If evolution goes so far as many believe, these resources will change the global energy picture. What is Norway doing to investigate non-conventional petroleum resources in the Norwegian territory?’
ParlaMint-NO_2010-05-12.ana.ud47e1081	Of non-conventional petroleum resources in Norway, shale gas and gas hydrates are most likely to be addressed here. Of these, gas hydrates are the most common in Norway. Some monitoring of the gaseous hydrates has been carried out on the Norwegian base. The main occurrences appear to be around Svalbard, and in the northern Barents Sea as well as on the central Norwegian pedestal. There is considerable uncertainty and high costs related to the extraction of gas hydrates, and significant technological developments are needed if they are to be commercially produced in Norway. So far, only two gas hydrate projects are realized around the world, one in Alaska and one in Japan. Both have relatively small production. The PETROMAKS programme in the Norwegian Research Council supports two projects studying gas hydrates. One maps gas hydrates in the areas around the Barents Sea and Svalbard, and the other looks at the possibilities of using CO2 to produce gaseous hydrates. Oil and gas in the 21st century, OG21, is a strategic body for oil and gas research, designated by the OED, consisting of representatives of industry and academia. OG21 has not identified unconventional resources that an area in Norway should give priority to research and technology development. In the case of shale gas, there has been no systematic review of the potential for this on Norwegian base, but we are closely following developments internationally. The oil directorate is, among other things, in an international project, ‘Gas Shales in Europe’, which aims to identify the shale gas potential in Europe. In the case of shale gas, the environmental aspects are so extensive and challenging that offshore operations will be very costly. In addition, very small production volumes require many wells. If the shale gas is to be profitable to extract, infrastructure and drilling equipment must already be installed. Therefore, shale gas production on Norwegian base is currently most relevant as an additional resource related to gas blasting from older oil fields. The geological assumptions for shale gas on land do not appear to be present in Norway and are therefore not relevant in this context. The reason why unconventional gas resources have not been reviewed to a greater extent in Norway is that we currently have large conventional resources that will last for decades to come, and that we still have a strong focus on finding more of these resources, as the Storting debated quite a lot yesterday. In addition, the technology challenges, costs and environmental aspects of the extraction of unconventional petroleum resources remain so significant that it would not be appropriate to extract them on a Norwegian base within a reasonable planning horizon now.
ParlaMint-NO_2010-05-12.ana.ud47e1099	I am pleased with the signals that the Council of State gave yesterday, which he confirms today, that we aim to extract a lot of oil and gas in the future. It's important to establish. At the same time, we know that there are challenges on Norwegian soil. Even the oil director's projections show that we're likely to have a decline in output compared to today's level. Now today's level is joyously high, so it might not be unexpected like that. But Norwegian socket has been known as a laboratory for the oil industry. In view of having long-term prospects, we know that the EU regards gas as part of its climate change solution. We know that shale gas is being used in the United States and the EU, and some of the things you quickly found out when you worked on a Norwegian base in the 1960s and 1970s were that there was a large amount of coal under the seabed. Many expect not only shale gas and gas hydrates but also coal gas to have a high potential in the future. This is about both technology and technology development. What's the Council's comment on that?
ParlaMint-NO_2010-05-12.ana.ud47e1104	It is true, as the representative says, that there are significant coal deposits on a Norwegian base which are at least theoretically feasible to apply through different technological solutions. But what we're currently seeing is that these are demanding processes to get started, and that today's technology also has major environmental challenges. But we see in the rest of the world that the use of the coal-gas combination is unfortunately some of the accidents associated with it. It's known. So that's right, as the representative says, there's been evidence of such resources here on the Norwegian base, but so far we haven't considered it relevant to do more about it.
ParlaMint-NO_2010-05-12.ana.ud47e1111	Can the Council of State nevertheless give a signal as to what kind of attitude the government has if a foreign company, or a Norwegian company, comes and believes that they have found technology that makes it possible to extract shale gas at sea, or drilling for gas deposits in coal? Gas hydrates I think are so demanding that we shouldn't think something is happening there in the first few years. Will the Council of State be positive that someone at his own expense and at his own risk can do so on a Norwegian base, or is he skeptical?
ParlaMint-NO_2010-05-12.ana.ud47e1118	If energy production can take place within a good and secure environmental framework, and take into account the climate challenges surrounding it, I am in favour of initiatives to exploit resources on a Norwegian base. I believe that the reality today is that the type of project is a bit away, but I perceive the representative's questions as more a theoretical question in relation to a given situation, and then it is important for me to get into the environmental and climate aspects of such a possible project.
ParlaMint-NO_2010-05-12.ana.ud47e1128	«A future new hospital building for Norway's veterinary high school is planned to be established at Ås in line with Innst. S. No 176 for 2007-2008, in an area of small and declining livestock production. The students’ access to active livestock and aquaculture is to be considered as a determining factor in adequate clinical education. State councils will initiate an alternative location of the clinic building to areas of the country where it is actually an active animal husbandry, such as: Sandnes in Rogaland?»
ParlaMint-NO_2010-05-12.ana.ud47e1135	In line with the government's recommendation in St.prp. No 30 for 2007-2008 and the accession of Stortinget to this 7 April 2008 the Norwegian veterinary college shall be located at Ås and organised together with the University of Environment and Life Sciences. An interim board has issued its report called the new University of Campus Ås, and a joint board has now been appointed by the Ministry of Knowledge with Finn Bergesen Jr. as Chairman of the Board. It is underlined by the Stortinget, the Government, the Interim Board and the Joint Board that the Department of the Veterinary College of Sandnes, owned by the Information Society Fund, currently operated by the Norwegian veterinary college, will be further developed and strengthened in connection with the establishment of the new university. Norway’s veterinary college sees the department of Sandnes as a central offer to differentiation students in food safety and veterinary medicine, two different types of study that will be merged to strengthen education. The work on this is already well under way. In the differentiation section of the study, the scientific community at Sandnes will represent a particularly valuable resource. The offer of training for Sandnes is now expanded to include two new posts, from small ruminants to field-oriented activities in the field of preventive veterinary medicine and herd hygiene. Norway’s veterinary high school estimates that there are currently sufficient numbers of farmed animals in the Eastern region to make a good educational offer at the level to be filled by the manufacturing animal clinic at Ås. In addition, teaching in clinics is a central and integrated part of the teaching which would be very inappropriate to share in several places of study. Synergies between the veterinary medical disciplines at the Norwegian veterinary college and the animal sciences at the University of Environment and Life Sciences were also an important argument for moving Norway's veterinary college to Ås, and a division of these professional environments has not been considered appropriate by the professional community, either at a location on Sandnes or in any other part of the country. Today, there are not purely clinical facilities at Sandnes, but an offer for the autopsy of dead animals in cooperation with the Veterinary Institute. It has not been assessed to add clinic facilities beyond this to Sandnes. On the other hand, strengthening the existing professional environments at Sandnes will be important for the development of the new University of Ås.
ParlaMint-NO_2010-05-12.ana.ud47e1152	I thank the Council of State for the answer. I would like to stress that the Right is concerned that our veterinary students should have a high level of competence and good knowledge. And, as I said, the clinic section is considered to be quite crucial in this study. We believe that this is through good contact with practical livestock farming students can get enough teaching material, whether it concerns disease, breeding, ethics, animal protection issues or knowledge of the entire food production chain. Does the Council of State think that these elements are adequately emphasised in the decision to establish the national hospital of the animals, such as this clinic must be said to be, in an area of the land with low, and declining livestock husbandry? And: does the Council of State consider it satisfactory that patients, i.e. the sick animals, must be transported to some large distances with a derogation from the Food Authority?
ParlaMint-NO_2010-05-12.ana.ud47e1161	I would like to stress that the new university that is developing at Ås is a very demanding, but also very important project, both for the existing university and for the Veterinary College that is going there. We have now had an impact assessment – KS1, as it is called – that underlies the discussions in connection with the new university. There has never been an alternative that there should be clinic building on Sandnes. But Sandnes has a big role to play. It was one of the prerequisites for the whole establishment that Sandnes was to be involved as an important part of the student education offer, precisely because, as the representative says, there are more livestock in that area than there is in the east. At the same time, as I said in the answer, it has been assessed by the professional community that there is enough livestock in the eastern part of the country for such a clinic to function there. But I would like to stress that it is absolutely essential to have good contact with Sandnes in terms of animals, and with other environments in terms of fish, in relation to the new university.
ParlaMint-NO_2010-05-12.ana.ud47e1170	Once again, I thank the Council of State for the answer. I think it is positive that the Council of State underlines what was in the proposal from the government on the further development of the Sandnes environment, and I notice that the Council of State also says that it is not only a further development but also a strengthening of the Sandnes environment. Now it is likely that it will take some years before the move of Norway’s veterinary high school is completed, and the need for a new clinic building is quite urgent. Are these arguments that might make the Council of State think new thoughts about the location of the clinic building?
ParlaMint-NO_2010-05-12.ana.ud47e1179	I expect the representative to know these impact assessment processes so well that she knows that changing the assumptions for that process now would be going back in time for the progress we have. That there is a need for a clinic building is absolutely right. That it is planned at Ås is also quite correct, and that it is professionally sound, I believe that I have absolutely justified in this answer. But that does not mean that the Sandnes environment is not important for the training of future veterinarians, and that the environment on Sandnes, especially with small ruminants, sheep and goats, is an important part of that educational system. So it'll be taken care of. It will be strengthened and developed, and it will be a very central part of the curriculum for future students.
ParlaMint-NO_2010-05-12.ana.ud47e1186	Question 10 has been answered earlier.
ParlaMint-NO_2010-05-12.ana.ud47e1192	‘Nord-Norsk Finishedplen AS has applied to the Food Authority for a derogation to import 500 kg of grass seed. The seed applied for is produced in Alaska. The company that supplies pre-grass in North Norway needs a grass seed that is more wintery and hardy, and therefore better suited for grass production north of the Arctic Circle. Will the Council of State help Nord-Norwegian Finish to import the grass seeds they need, so that they are able to deliver the finished plaza also north of the Arctic Circle?’
ParlaMint-NO_2010-05-12.ana.ud47e1199	The representative, Mr Tåldal's question, highlights an important theme, namely the development of plant varieties adapted to the highly varied conditions we have in our long-term country. Grass-based production is a supporter of Norwegian agriculture and a prerequisite for developing sustainable agriculture throughout the country. The work of finding new and better varieties adapted to our growing conditions is a priority task. Substantial efforts are being made in the development of varieties in order to obtain appropriate engross crops adapted to northern conditions. The objective is clear: sustainable plant production throughout the country. In the case of lawn seed, we already have seed varieties that are suitable for fine lawns also north of the Arctic Circle. However, seeds for use in lawns are covered by the same seed legislation as seeds for agricultural use. The legislation shall ensure that seeds imported and placed on the market are of satisfactory quality and comply with plant health requirements. Therefore, it is important to carefully evaluate each individual import application, as one has in this case. In the case in question, the Regional Office of the Danish Food Safety Authority has rejected the application for import. The decision was appealed on 26 April of this year, and the complaint is now under consideration in the Food Safety Authority. I rely on the Food Safety Authority to make a robust review in connection with the review process. I leave the professional assessments to the Food Safety Authority and have no plans to directly involve me in the further handling of the matter by the Food Safety Authority.
ParlaMint-NO_2010-05-12.ana.ud47e1208	It's called Nugget and it's from Alaska. It's a grass seed that can withstand arctic strokes. It is also a grass seed that has been used in the past by the same company. The Food Authority says no because this is not on the EU list. My question to the Minister is: is it necessary to follow the EU list? Can the Food Safety Authority disregard the EU and open for imports of 500 kg of grass seed from Alaska?
ParlaMint-NO_2010-05-12.ana.ud47e1215	As underlined in my previous article, we are today providing support for plant processing. We are working on the development of species of eggplants in order to obtain good crops adapted to farming north of the country. It's an important piece of Graminor's work on plant processing. In this case, the matter is now for review by the Food Safety Authority. According to standard practice, it is necessary for the Food Safety Authority to deal with this matter without any kind of political influence. It is important that we put professional views at the bottom of such assessments, and I am sure that the Food Safety Authority will do so. In general terms, I can stress that lawn seed marketed in Norway has been imported to a large extent. Of course, the Food Safety Authority will assess this matter in an appropriate way.
ParlaMint-NO_2010-05-12.ana.ud47e1224	If one ignores this particular matter of appeals, does the Council of States believe that it is right to follow what is on the EU list? Should not Norway, as a nation, be able to decide for itself whether to import something, not use the EU, but use its own beliefs and competences? When this seed has previously been imported and used for a longer period of time, why should you say no now?
ParlaMint-NO_2010-05-12.ana.ud47e1229	As I said, the case is for the handling of complaints, and I believe that this should be done in accordance with normal procedures. With regard to the issue raised here by Tåldal, whether we should follow an international regulatory framework at the bottom of the EU, this is done in Norway in a number of areas – agriculture, animal welfare and in this case as well. I would just like to stress that the Food Authority must deal with these rules in accordance with the legislation, the law that we have in Norway. I assume, of course, that it will be done. In this case, the question is whether alternatives can be found if they are not allowed to be imported. There are good alternatives. But as I said, the matter is not yet settled. Food surveillance needs to be given the opportunity to carry out a reasonable treatment of it.
ParlaMint-NO_2010-05-12.ana.ud47e1241	«Research is important and, unfortunately, research funds are too small. It is an objective that we should spend more money on research both in the private and public sectors. I read at research.no that we have used public research funds to find out that the cows can be bad with each other. The research report concludes that the cows are being bullied at their place of work to reduce milk production. Does the Council of State consider this to be the proper use of public research resources?’
ParlaMint-NO_2010-05-12.ana.ud47e1250	The project on which the article is referred is based is a large, multi-annual cooperation project between the University of Environment and Life Sciences, the Norwegian veterinary college, the Nord-Trøndelag University and TINE, and it has the title ‘Solution for milk production in cows’. It has continued since the autumn of 2005 and ends in the autumn of 2010. The main purpose of this project is to find solutions for new operational buildings which are both economically sound, ensure good production conditions for each milk producer and which are also animal friendly. Both the industry and the research community are behind the project, which is important to provide useful and applied knowledge of economic and animal welfare. In other words, the project has a high relevance to industry and not least to animal production challenges in Norway in the future. All in all, it's set at 16 million. kr for the project, where the Research Council's Food Programme stands for 15 pst. of the financing. The remainder is financed by the industry's own resources through the Agricultural Agreement Research Fee Fund for Agricultural Products and Research Funds. In other words, the industry stands for 85 pst. of the financing. The decision of the size in the context of the Animal Welfare Act and the regulations on the requirements for unbundling in milk production is at the bottom of this major effort. The new Animal Welfare Act entered into force on 1 January 2010. Basic principles are animal self-value and legislation must be based on new knowledge. In St.meld. No 12 for 2002–2003 On animal husbandry and animal welfare, it is concluded that good production alone is not an indicator that all animal needs have been met. Loose farming requirements have been introduced to improve animal welfare in milk production. However, the design of unoccupied poultry will have an impact on animal welfare. As a flock animal, cows have a distinct ranking, which can lead to stress and influence animal welfare. However, proper design of the feathers may help to reduce this. We therefore need new knowledge both to find simple measures where there is no idle operation and to design new operating systems based on idle operation. Research has shown that the type of poultry has an impact on the production and health of cows, but the results are not clear. Large differences have been found in milk production depending on the behaviour of the cows in the poultry and, according to the research, loosing poultry can be linked to better fertility, fewer spinal cord injury, less ketosis, no clear differences in animal health and the higher incidence of claw and bone disorders versus pelvic pelvis. Studies in the EU have shown that the investment in bed mats in laying hens actually pays back in one year, both because it can lead to increased milk production and because it reduces the damage to the cows' legs and death. These include: such conditions taken into account by that Article. For example, the article shows that dairy cows where there is only one so-called dead end, or where there are roundabouts for cows, milk well over 1 litre more in the day than cows from poultry with several blind spots. This is, of course, relevant research which can have a direct impact on each producer. Investment in operational buildings is the largest investment made on a farm, and it binds resources for 20 years to come. It is therefore of great importance to finance research that can provide some answers to the complex contexts to be satisfied when dairy cows are to have both high performance and a good environment, while keeping costs as low as possible and ensuring a good and not least less dangerous working environment for the farmer. Research on animal welfare is central to building skills so that the real links between welfare and production can be seen. This is necessary in order to implement practical measures that have an impact. In the EU, centres of excellence are established to pool their competences in this area. And it has been suggested that this development should take place on the basis of knowledge, on the basis of research. Nor should we forget the end-user of agricultural products, the consumer – you and me – who has a strong desire that the production of food is ethically sound and based on high animal welfare. Norway has a competitive advantage here. The title of the article on research.no, to which the representative of Tjäldal refers, is top-notch in journalism – that's right. However, the point is clearly of animal welfare interest. Milk production, which is a carrier in Norwegian agriculture, cannot be known to have a production system that does not take animal welfare into account. This research, therefore, tries to see the economy and welfare of animals in the context and contributes to responding to important challenges facing industry. I hope that the representative Treldal on his question does not ridicule measures to improve animal welfare. I don't see it that way either, but there is a danger that it might be perceived this way. Good animal welfare is important, not only to improve the quality of life of animals, but also because it can lead to increased positive economic exclusion for the producer.
ParlaMint-NO_2010-05-12.ana.ud47e1269	I can tell the council that it's not to make fun of, but it's to look at what you have about framework conditions, and what's happening in agriculture. What I could imagine asking the Council of State after hearing the answer is, when you spend 16 million. If you want to do research on this, you can expect that you will prepare a regulation, that it lies in the system of how the feathers are supposed to look, that there are escape routes for bullying cows, so that they can get out, so as to require escape routes in the event of fire, etc.? Is it clear that the State intends to grant investment grants to follow these guidelines, and is it going to set out framework conditions to help the farmer possibly improve the poultry?
ParlaMint-NO_2010-05-12.ana.ud47e1274	I am pleased that the representative, Mr. Träldal, stresses that this is not to make fun of, because it is a big project. It is also right to question the usefulness of research – I agree with that, it is generally important to have a debate on these types of projects. In this case, it is an important project. It has already been shown that, through different adaptations to the production environment for domestic cows, by adaptations to the structure of the poultry and the equipment in the poultry, a better result can be achieved. In this sense, it is important for the manufacturer and it is important for animal welfare. Whether or not this will result in amended regulations, whether or not it will result in a change in the view of investment grants granted to poultry-building to a certain extent, it is too early to respond to now.
ParlaMint-NO_2010-05-12.ana.ud47e1282	I would like to ask the Minister for Agriculture and Food the following questions: ‘With the long and cold winter 2009–2010 fresh in memory, many can thank the manufacturers for a good indoor temperature. However, many forest producers are economically struggling and believe that their industry has a lower framework than other heat producers, such as the Netherlands. electricity, heat pumps and pellet furnaces. Does the Council of State see this difference?’
