ParlaMint-NO_2010-04-20.ana.ud1350e36	The representative, Peter N. Myhre, will put forward two proposals for representatives.
ParlaMint-NO_2010-04-20.ana.ud1350e751	The representative of Gorm Kjernli has taken up the proposal he referred to.
ParlaMint-NO_2010-04-20.ana.ud1350e754	This is a major distinction in Norwegian policy. On the one hand, we have politicians talking about lightning trains, but they are not, or have not been, willing to use what is needed to rust up today's railway. On the other hand, we have politicians who have realised that Norway is not suitable for lightning trains, but who want to further develop and upgrade today's railway network. The struggle is about between the commitment of the Progress Party to safe trains and new double tracks and the high-twisted, unrealistic love of the other parties to lynch trains. I can't see that there will be neither money nor resources for both, as the situation is today. In the 2010 Alternative State Budget of the Progress Party, we promoted an investment framework of SEK 6.85 billion more than the Government's proposal, but were defeated by the lynching parties. We see that this money has actually been a screaming need. The winter you can call 'it always stands a train' shows that. The price tag on the lightning net in Norway, after what I have heard, is approximately NOK 350 billion. The interest charges alone for such a high-speed train network can quickly end at 18 billion kroner a year. This is an interesting figure, because in 2009 there were 18 million passengers inside the Gardermoen. So only the interest charges for the light train network are equal to NOK 1000 in charge for every passenger who was in the Gardermo. The flight train has a completely different punctuality from that of the NSB. If the flight train had had as many delays as the NSB had recently had, there would have been many angry passengers who had not pulled their planes. The times when the air train has been stationary, it is usually due to signalling errors and other problems, which are the responsibility of the Railway Agency. The success of the flight shows that competitive outsourcing is beneficial, and we might want to see if the Airtrain can expand its boundaries or take-offs. Oslo-Halden is probably an example of the lines of the train case and one of the most important routes in Norway. Of course, it is positive that all parties on the Stortinget agree with the expansion of the Oslo-Ski route, but it is very disappointing that it is only the Progress Party that wants to continue this project all the way to Halden. Therefore, in the proposal for a national transport plan by the Progress Party, we set at NOK 15 billion more than the other parties to the Haug-Halden route. Imagine if the other parties could have supported the proposals of the Progress Party instead of spending a lot of time and effort on lightning trains. So far, the inconsistency of the lightning train is also the biggest obstacle to upgrading the railway where it really needs to be. I can't see that neither the Right Party nor the Christian People's Party has put any money into their budgets for the money they want to spend on trains today, but let's stand together and bet on safe trains and safe tracks where the need is greatest. Let's stand together, so that upgrading the railway becomes a reality and not just talk – so that the unworthy conditions for commuters and other train users become history.
ParlaMint-NO_2010-04-20.ana.ud1350e769	There are not too many areas of society in which we have to fight a hard fight with Albania. But in the case of the train situation, we have a trick saying in front of them per. today. In 2009, trains had 1 250 delay hours just around Oslo, and 300 of these were due to error messages. In total, Norway there were 1,920 delay hours only in December. The Bondevik II government went off in 2005 and left a railway on its way. Punctuality had increased in the period and was well over 90 pst. The appropriations had also increased during the period, and the switchover of the Railway Station was underway. The industry prepared itself for a competitive outsourcing of the maintenance tasks, which would improve the railway system’s ordering role and ensure a better customer focus. The Stoltenberg government spent exactly two weeks stabbing the wheels of this conversion. Within 14 days, the Minister of Transport was able to stop the transition, in the middle of the process. As a result, there were no gains at the conversion. The appropriations for conversion were cut, and the railway works' ability to continue as before was severely weakened due to the loss of important competence. The change in course was carried out in a hui and haste without investigation, without analysis and was, according to the Right's view, completely irresponsible. The Minister of Transport should actually apologize to the train passengers that the Government did not take the time to check the consequences of implementing the Soria Moria declaration and stop the ongoing conversion. No technical justification is given in the budget proposal for the Stortinget. It just says, ‘The Government considers that tasks essential for the stability and safety of the network must be operated under the direction of the Railway Agency.’ This can be said to be thoroughly refuted after the train chaos of the last few months. Train chaos are headlines that sell well in the East. In Akersgata, the situation we have today has come with us. Thousands of commuters experience an offer that does not work as it should. The trains are overcrowded, they don't walk in the lane, and sometimes the train doesn't show up at all. But it's not just in the east that the chaos here is. The Mountain Railway, now over 100 years old, has celebrated some dubious highlights during the last period of its long and proud tradition. The recent figures show that Bergen is also in contexts other than football under the red line. The overview of punctuality on the track shows that we are in times of misery in the country. But, to make it clear, this is not a position – neither on the football field nor on the railway – we want to keep it. For this reason, the Right is optimistic about the future of the railway, but clear action is required from today's sitting government. Any government, regardless of batch color, has been able to boast in recent years that they have given more money than ever for all kinds of purposes. On the other hand, when you look at what you've got out of these funds, there's reason to ask yourself questions. Modernisation and innovation may not be what many associate with today's red-green government, but that's what today's train passengers actually need. In 1952, the then Minister of Transport, Jakob Pettersen, as was the representative of Godskesen, the plans, the idea and the idea of high-speed trains in Norway. Now, 58 years later, high speed investigations were carried out on several sections. We in the Right want to welcome the investigations and look forward to a discussion about high-speed which is really anchored. The Bergensbanen cost, as mentioned earlier, a full state budget and provided the basis for a new and better form of communication between east and west. Although today we have a challenging situation on today's existing offer and structure, this must not set skylights for good and visionary thoughts. To sum up, if we're going into the elite series in the train sector, we need action and vision. We need more maintenance, we need more modernisation, we need more competition, and we need to dry out visions for a rail offer even 100 years in advance. [[President clubs]] [[The President Clubs Again]]
ParlaMint-NO_2010-04-20.ana.ud1350e796	The President does not add extra time to this debate.
ParlaMint-NO_2010-04-20.ana.ud1350e799	Over 100 years ago, courageous and foresight politicians made the decision to build Bergensbanen. They realized that if we were to build Norway and bind the country together, we needed the railway. 100 years later I took the train on the same route, after the Transport Committee had been traveling in Hordaland. The night train that I was going to travel with was set, and instead of the sleeping car there was a trip on a cold locomotive over the mountains from the west to the east. Too many passengers have had such disappointments in the last year. The railway has a special place in society because it is environmentally friendly, because it transports goods and people efficiently, because it binds the country together, and when air traffic is paralyzed by ash, you can rely on the train. In particular, there has been a positive development in the train in recent years. The number of passengers has increased, the same is the amount of goods. This has, paradoxically, probably contributed to triggering the train crisis we have seen this winter. Lack of maintenance over ten years combined with bursting capacity to the limit is the cause. When the red-green majority took over in 2005, we understood that the lack of investment on the railway could not continue. We couldn't defend that one of society's most important infrastructure pillars would crumble away. That's why there are no lots in this room that have done a bigger lift for the railway than the red-green government. The opposition has also today been hard hit against the Government for the train crisis. I wish the opposition could be as honest as former Minister of Transport Dag Jostein Færvoll of the Christian People's Party, when he explained the lack of appropriations for maintenance in today's Business and Business saying: ‘I have been the rapporteur. You are not selected in water and sewerage.» The fact is that the opposition has not delivered – not when they were in a position to do so, most recently under Bondevik II, nor when the National Transport Plan was adopted by the Stortinget, or in the annual budgets. Worst is the Progress Party. The budgets of the Progress Party from 2004 to 2008 would have given DKK 10 billion less to rail – a complete fury. Now the Progress Party travels around and proposes bets on the railway everywhere, from the Drangsdalen in the south to the Kirkenes in the north. But the billions they raise to the media for new investments and maintenance do not have coverage in their own budgets. The Head of Committee Hareide was quick out and criticised the Government for the train problems and lack of maintenance. At the same time, he knows that the Christian People's Party did not propose an extra crown for the maintenance of the railway in 2010 – otherwise the exact same frailty that Hareide took when it came to racial protection, when it crashed in many lires in the West. But the coolest part is the right. Neither in 2009 nor in 2010 the party proposed a krone more than the Railway Government. On the contrary, the Right proposed several million dollars more than we did in dividends from the NSB. Nevertheless, the railway-political spokesmen of the party, Ingerd Schou, go out in today's business on April 12th, in connection with a statement on the NSB's profits, and say: "When we were little, we learned that it was cowardly to give away with one hand and bring the other." I think it's even cowardly not to dry up for his own policy, as Ingerd Schou does. The red-green majority shall double railway investment between 2010 and 2019, compared to the previous NTP. It will, among other things, give us a doubling of the capacity for freight transport. The maintenance effort has increased by nearly 60 pst, as requested by the Railway Station. We're going to have a thorough review to see if it's possible to spend even more money on maintenance in the next few years. The train trip over Hardangervidda is beautiful, but also important. It binds Norway together. That's why we're about to go back to the railway. That's why it's one of our most important red-green projects.
ParlaMint-NO_2010-04-20.ana.ud1350e831	The President would point out that referring to parties as ‘frequent’ is not a parliamentary expression in this Chamber. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-04-20.ana.ud1350e837	The representative is forgiven, because she didn't bring the whole quote. Yes, Bondevik II also took dividends, and so does today's government. But what I said was that the question is whether it's wise now, because we're in a completely different situation, whether that's right, because the railway -- the NSB, the railway system, the infrastructure -- needs all the money they can get. I would also like to point out that the regularity was best under Bondevik II – 90 pst! It's today's government that has such bad regularity, at 70 pst. It's explained that we've got more trains, but they're not coming, they're colder, and they're shorter where I'm driving. I hear representatives from the government parties say that today's government is high at national transport level. 30 years until I get double tracks to Halden – it's too bad. Today’s government – with a central party council in the chair – then fails district policy and business policy. It's not a big bet. The right has proposed new forms of financing with OPS. Governments have said no. We have our own alternative transport plan, with DKK 50 billion set aside for maintenance funds. That would give you approx. $2.5 billion more for maintenance every year, where more than half a billion would go to the railway, i.e. a double, just to get back on track. The government says no, and I look forward to the government seeing that there is more than money needed to get infrastructure and railway up to a decent and competitive level. It's also about the modernisation and reorganisation of today's organizations, in line with what we've seen from the time we had the Telegraph, and now Telenor, Mesta, and I can mention more. At the beginning of the 20th century, in 1914, Ashim – when the industrial community of Ashim – created three urban railways for the power plants of Cyckelsrud, Vamma and Solbergfoss respectively. It was a time of greatness. I think we should all still have the goal of getting a train revolution – I have heard some of the representatives talk about – that is comparable to the effort that was when we once built the Bergensbanen and the city railways in Ashim. So we have proposed 50 billion kroner for the maintenance fund. We also have a desire to have a continuous transparency, customer focus, comprehensive planning, a deviation documentation, good contingency plans, a unified real-time information and a common ticketing system. We must have ambitions on behalf of Norwegian railways and infrastructure – far beyond what we have today. The answer is not just money.
ParlaMint-NO_2010-04-20.ana.ud1350e852	The Council of State today says that we should return to the confidence of the railway. That's a great ambition. She also says that the railway is the future. Yeah, I think we all agree on that. Railway is the future. Railways are environmentally friendly communications, rail is a comfortable mode of transport, it is comfortable – at least in some cases. I'm not referring to this week's transport, I'm coming back to it. The railway is important for the settlement, because we see a tendency that very many people will live in the big centers, and it's impossible to live there for everyone. It is necessary to have an effective means of transport to get in. The state of airspace in the last week has shown that we are dependent on the railway. It is unmistakable that we should have all the personnel and all the cargo on the roads – it is completely impracticable. That's why the railway is so important. I traveled a lot by rail in the 1970s, and it was pleasant. I also traveled a lot by rail in Central Europe. It wasn't comfortable. I was proud of the Norwegian railway at that time. But after that time there has been a gradual development, and it is not good. In this Chamber there have been some criticisms today, specifically to the Bondevik II government. I very much appreciate Gorm Kjernli, who says that the Workers' Party must also take part in that criticism. I think we're all going to take our share of that criticism. If we go to the statistics, we see what has happened in infrastructure investments in Norway since the early 1980s, when oil revenues started coming: we increased the revenues, for which we found a place abroad, and then we reduced the infrastructure. It concerns road and rail, and it also applies to electricity line investments. Now I'm talking relative and not in dollars and cents. That's why I think we should take it. What we've spent the money on in the meantime is to give us a lot of good things, and that's fine. That's why we've been given the status of the world's best country to live in. The question is whether we continue to be the world's best country to live in if we don't manage our transport. I don't think so. I had the pleasure of traveling by railway last week. It was okay a bit, but I did not do another bit, because I was tricked – I bought a ticket from something that I did not get. That's not good. That's why I think it's nice that Kolberg was into the fact that there's a lot to do without someone spending a lot of money. It has something to do with administration and information, it has something to do with care about. I almost feel sorry for some of the conductors and staff who were not informed about what was going to happen. So here I feel that there's a lot to pick up. I'm asking the Council of State to think about this.
ParlaMint-NO_2010-04-20.ana.ud1350e865	The representative of the Bjørnflaten referred to the excellent historical review of the economic life of today last Saturday of the development of the railway from the 1970s and towards the government shift in 2005. This is, to the extent that it is a correct and quite important separation of time. The report ends with the former Minister for Transport Torild Skogsholm, who explains that she did not find good enough arguments for the train in contact with the Ministry of Finance, and therefore had to be very careful. May I then be allowed to add quite generally that state councils who seem so poor about their own budgets that they do not see themselves able to bear responsibility, will always have the opportunity to ask for exemption. This also applies to former railway directors, such as Osmund Ueland, who in the same report complain about irresponsible politicians. Otherwise I remember Ueland, whose first task was just to stand for open television cameras on Oslo S and take responsibility, until he did it once too much. In the final issue of the Railway Station, both the NSB and the Railway Station enter this winter's unfortunate events. Managing Director of NSB Passenger Train, Tom Ingulstad, says: "We take it for granted that the next winter will be at least as hard. And we're going to add the list so that we can withstand the unexpected better." Railway Station Director John Ole Grinde says: «We order the required cleaning equipment and this shall be clear in front of the next winter.» Understood: So readiness has not been good enough. So you haven't had the equipment you need to deal with a normally hard winter. That's what's now going to be the problem in the future. I'm also in order for the railway to get more money, as many others are. But it doesn't happen by almost saying adhoc messages in the NRK. It shall occur as part of a long-term plan.
ParlaMint-NO_2010-04-20.ana.ud1350e882	The representative Bjørnflaten says that when they took over red-green in 2005, they saw the need to do something about the railway. Then I thought it was very strange that the budget was so small in 2006, that the budget was so low in 2007, that the budget was so low in 2008, that the budget was so low in 2009. Yes, it was actually the financial crisis that came in 2009, which led to great extra promises, and which fortunately was passed on in the budget for 2010. Some people here have said that I have boldness, but I have to say that I am a little impressed by the freedom of the government party that after five years of driving comes to Stortinget and says that it will get worse before it gets better with Norwegian railway. But I still want to join in what Gorm Kjernli says – we share a shared responsibility. I have stressed this in the debates I have had, that we must all take responsibility. But it is true that once the Railway Federation has criticized me, it has not been for the promises, but it has been for the news I want in the railway. I want the Railway Agency to have opportunities – like Avinor, as Statkraft, as Statnett – to raise loans, to guarantee that when they start investing heavily, they will be properly completed, that it will be an efficient and good way to do so. I think that's more important than ever. It's true, as Gorm Kjernli says, that I have given honor to Minister of Transport Meltveit Kleppa for the management of the short-term challenges on the railway in winter. I don't think any minister could have arranged it in a better way than Kleppa has done these months. But what I think is a challenge is actually the long-term features of Norwegian railway. However, for this national transport plan – which is yes, is better than most national transport plans; it is the best time for the railways – it is not good enough. So we will have to deal with the problems – only in the east – for decades to come, even with the investments and the maintenance investments in the national transport plan. Then we can share blame, which I think we have too good for in this debate here. But the challenge is that the plan, the underlying plan, is not good enough, and it's a common responsibility for all the parties in this room.
ParlaMint-NO_2010-04-20.ana.ud1350e893	I've been commuting from Fredrikstad almost continuously since June 1983. At that time the overhead contact line fell down at least once a month, and the train was so never on the way. It's a quantum leap up to what we're experiencing today, both in terms of capacity, quality, number of train departures and regularity on the Eastfold Railway, because they don't go through the Oslo Tunnel. The pipeline is hanging up, and in the 1990s a new double track was built for high speeds between Ski and the Bay of Sand in Moss. Now we have to get through this city. So this is not good enough. There is agreement here that it is a responsibility we must take quite collegially in this Chamber. I think it was in 1987 or 1988 that Minister of Transport Kjell Borgen presented a big message that started the change – when new overhead lines were hung up, and new material was made available. The aim of that message was that the double track to Halden should be finished by the turn of the century – what we have behind us, not what we have in front of us. But it has not yet entered the Moss station. So it wasn't followed up enough by the governments we've been since. There is agreement here, but I still have to smile when I see that the Right and Christian People's Party in the election indicates that the Bondevik II government prioritised a higher percentage of GDP for railway purposes than the Stoltenberg government did in 2005-2008. There's a new measurement method The right has begun to use in all contexts, measuring the priorities as a percentage of GDP. Last year GDP went down, and that means keeping the allocation constant, prioritizing the field. But it didn't become one more penny of that way of thinking about it. Railways are built for money – for dollars – and not for percentages. Knut Arild Hareide says we have to think again, and we might have to give greater freedom to the Railway Agency and the NSB. I think we'll think about that. But when he compares with Statnett and Statkraft, it is the significant difference that Statnett and Statkraft make their own money, also for investment. NSB will never be able to do that, because then the train ticket will be too expensive. It turned out with the Fly train; it was the idea of the Fly train. So what did we have to do? Well, we had to go in and give up the investment afterwards because it was simply not possible to earn it over the operation. So it says that it's never so bad that it's not good for anything, and the good thing about what we've experienced with the railway is that now the Progress Party has discovered that the railway has some friends out there who are also voters, and that's positive.
ParlaMint-NO_2010-04-20.ana.ud1350e904	This winter and spring have shown us to a great extent how vulnerable we are if we put everything in one piece, if there is transport on the road, in the air or on the rails. A balanced and flexible transport system is therefore important. I would like to refer, as some representatives earlier here, to the article that was in Today's Business on Saturday. It was a good article that gave a little insight into the country's railway history. Missing maintenance priorities and appropriations for the last 40 years were raised. Yes, sail left's former transport minister Skogsholm admitted happily that she did not have enough impact in her own government to get money for maintenance. What she got through to, however, was to help ensure that a major break with employees at the Railway Agency accepted the final package and disappeared from the company with its competence, competence that takes time to rebuild, and that is absolutely crucial in the future. Then we stand here and throw ball and admit less responsibility, debate as if the new NTP is out of date before it has begun to work, and make new bids. Yes, the offer is probably good, but I think it actually got a little awkward. It was also a little too awkward to try to draw a picture that today's government has not prioritised transportation and must stop blaming previous governments. If one is careful to read the article in Today's Business, one should have a good imagination to characterize it as history falsification and fiction. Today's situation requires keeping your head clear and being a constructive contributor to correcting old sins. Easy populism doesn't build a single rail. The situation in winter has been extreme, and the challenge is that this situation will be more extreme for every year that goes, if we are unable to implement what is now planned. If we're going to improve the railways both for people and goods, and regardless of what kind of project to prioritize up or down, there are three things that must be at the root of: priority, money and people. Each batch has slightly different priorities when it's snowing to. The Minister for Transport has explained well to the Storting about the measures that are now in progress in order to deal with errors and shortcomings. Everyone who has restored a house knows it takes time. When you tear a wall, it can be a city of surprises you don't like as much. If you've cleaned up one room, you'd like to see that it's worn out elsewhere. I'm optimistic on behalf of the railway, and with the commitment of the railways both from the grassroots and through the political parties here now, I guess the railway will be prioritised in the years to come. Ashskys have shown us that this is not all we are master of yet, and that means that we must have a balanced and flexible transport policy where the railway plays a central role, and not just in terms of climate. As commuter on a low priority route, I am delighted to the day I can walk off the train without feeling that I have been in a shaker. Driving the Gjøvik track is not exactly a rest home.
ParlaMint-NO_2010-04-20.ana.ud1350e923	Many of us have received an e-mail in the last one that says Iceland is going to close the volcano if they get 30 billion euros. He's funny, but at the same time, the situation is likely to get so that the loss of the volcano is greater than this amount, when you look at how the air traffic is now stopping and the permitting response is coming. SV has today presented a plan that we are working on for maintenance. Of course, we have the negotiated result with the other parties at NTP, but we now believe that we actually have to go through the maintenance and crossing tracks and various other things again to reduce the amount in this area, not least with the experience from this winter. Then we talk about a number of approx. SEK 1.3 billion per year for additional maintenance and for crossing tracks. But back to that, we've been flying on the ground many places. Many of us here are also airline customers, and many were the last weekend that evaluated how to get us home. Should we try to get on the train, should we try to rent a car, or how should we do this? I'm still staying in Oslo. There are quite a few hours to leave when you are going to run or take a train. We're actually talking about 14 hours of trip-return Stavanger if you're going to commute home, like me. But if we're making a train revolution, as the government is now doing -- it's been a high-speed arrangement, which is behind a bunch of piles, minus the Progress Party, which is going on – a few days can go down to the trip-return Stavanger in four hours. Then you start talking about something. Then we talk about the flight being able to stand on the ground, as they do today many places, because people want to choose trains. I come straight from a meeting in the NHO in Eastfold, where one of course is busy doing something with the material one has today, but where one is obviously busy with the large freight traffic one has across the borders through Eastfold, and where one of course is busy getting fast train connections with Gothenburg, against Germany, towards Europe. There are also solutions for those in Eastfold to move transport from road to road, for example. I think that the next time Jens gets into an accident because of his wish and has to drive a car from Madrid – in 2020, when Jens is still prime minister – he's going to drive all the way to Oslo, and would like to be with me to Stavanger if he wants to.
ParlaMint-NO_2010-04-20.ana.ud1350e938	I do not know who to call worst or fear from this pulpit, but when it is said that the Progress Party is going to build a railway for the Churches, it is a serious exaggeration. On the other hand, we have put forward proposals to establish a possible rail link from the Kirkenes to the Russian railway network. Then you can choose to present what you want. The problem with the railway ends at the end of a big question: Do we trust the train – can the NSB and the Railway Agency deliver their goods through regularity and punctuality? Quite independently of the ash clouds from Eyjafjallajökul, the situation we are experiencing in Norway, the crisis meeting after the crisis meeting, it's stopped, there are delays, and there are very serious accidents. And even though the Progress Party, in line with most other parties, believes that in a dynamic society it's clear that we have to have both the path, the road, the plane and the ferry to function as a community, it's so neither the plane, the road or the ferry have had the same problem as the NSB has had. Then it's kind of nice to listen to Svein Roald Hansen, who says that this situation has been the same all the way back to 1983. From my point of view and from the point of view of the Progress Party, the solution to the major lack of rail is to put in place modern financial instruments and adequate appropriations. But we experience through every treatment that the government is going against putting in place modern financing solutions. We want to set aside funds to step up rail development in Norway. We are promoting proposals for OPS funding and for project financing, and we are proposing funding that is not tied up to the annual budgets. Only on the Ashker-Oslo route could you avoid an additional consumption of NOK 2 billion. But instead of discussing what's going on for the NSB, you end up standing on this platform and accusing each other of what's happened over the last 20 years, and that's a shame for the debate.
ParlaMint-NO_2010-04-20.ana.ud1350e949	It is a shame that the representative Bjørnflaten is not present in the hall, when she was not truthful in her post – at least in the history description – to say it carefully. The Progress Party, in its alternative draft budget and in its alternative draft budget for 2010, has followed up the Progress Party's proposal for a national transport plan of SEK 6.8 billion more to rail. What the Progress Party has done in addition is that we have said that we want to look at new opportunities and new solutions to the challenges we have on our railway network. I think, unfortunately, that is the way, at least with the political leadership we now have, that the will is not there to ensure that the necessary funds are allocated to the state budget. Then you have to use other possibilities. We have proposed an infrastructure fund of DKK 300 billion for both road and rail. We have proposed to ensure that the Railway Agency is separated as a company that can be allowed to borrow so that they can invest in infrastructure and provide for development on the railway network, and for the State Road Service on the road network. When I hear the representatives of the red-green parties in the pulpit here, it sounds like it's everybody else's fault. You're very busy blaming things backwards in time. Then it is at least possible to look at the history and what happened from 1945 until today. Then there have been 22 governments, and 14 of them have been led by the Workers' Party. Eight have been led by the Right/Centre, one of the eight perhaps was more of a pure Right-Registration. Then I think with respect to notifying that the parties that are now responsible for everyone else before and that are now soon in government for five years should begin to take responsibility for the challenge we have with regard to the railway network. I think the important fact is, what do you do in the future? The debate has little to do with what we are going to do in the future. I want to challenge that, because I think that's what this is about: what does the Railway Agency do, and what does the NSB do with the challenges we're facing? Enger said earlier in the process that it was not possible to spend more money – she has changed it a little lately – while the NSB has said that it is completely possible to spend more money. I wonder if it has become such that the railway works are a bit sideways and have their own ways of doing things. It's at least the feedback I get from people who work in this area, but don't dare stand up, because they're afraid to lose their job if they say anything about the railway works that the railway works wouldn't like. Maybe the Railway Agency must start taking on other glasses, seeing some new opportunities, thinking about new things both in Norway and when it comes to picking up people from other countries who have good skills in building rail and operating rail, because we see that they are able to do it in Europe, we see that they are able to do it in the countries around us. So maybe there's something the Railway Agency needs to get better at, that's to use resources and see other opportunities.
ParlaMint-NO_2010-04-20.ana.ud1350e962	Ingerd Schou has had the word twice and gets the word to a short comment, limited to 1 minute.
ParlaMint-NO_2010-04-20.ana.ud1350e965	If we wanted something offensive for new and more and double tracks and a good infrastructure, we must be willing to spend more money, but also modernise the organisation. It's about maintenance funds, it's about public-private financing, and it's about modern organisations. And not least, it's about real-time information on the information system and a common train ticket. There's a lot of things. I thought I'd make a love statement – for the train. Despite the fact that the train does not take signals, does not keep agreements and stops in the forest of completely others, which it should not stop at, I have an incredible love for the train. That is what this debate also shows. We want a lot with the train. And even though the train is as unfaithful as it sometimes is, I have challenged two commuters, one who is plus 60, and one who is now over 80 years, and who has written a tribute song to the NSB, from 1989 – which I thought the president would have to attach to the protocol – which is called “Sheet from a commuter’s diary – or daily life on the Eastern Line”, with the melody “A Little Neighbor From Above”.
ParlaMint-NO_2010-04-20.ana.ud1350e973	The President accepts all the expressions of love that may come!
ParlaMint-NO_2010-04-20.ana.ud1350e976	I have noted with interest some quotations from the debate today. The Bondevik II parties left themselves a railway on the road to improvement, it was said, and the Minister for Transport has to apologize for stopping the process of conversion. I think it's kind of cute with a story description like that. 250 professionals took the final package before the red-greens took over, 250 professionals we now needed hurt. And then at least it should be the Minister for Transport at that time who is going to apologize, and not the one who is sitting. A railway and a transport sector on sparebluss were the heirs of Skogsholm & Co. Then the representative comes to Hareide and says that little happened in the budgets for 2006, 2007, 2008, etc. But this government overfilled the NTP that had been adopted, an NTP that the Bondevik II parties presented, and which, during the treatment in the Storting, was ploughed up some twenty billion of the red-greens along with the Advance Party. It was then called ‘air billions’. ‘Air billions’ was the expression used for the extra addition. Times clearly change. The last few days' ash clouds have set a different agenda. Maybe we'll get very good at it. Very well of that I would say that most of us have. And I'm just impressed by how the railway sector has dealt with the increased traffic that has been. But although I think they've handled it well, we need to do more, because some of us have a fairly long way and have little opportunity to travel by train, as the situation is. That is why we need a good NTP, which we have presented, which we have adopted, and which ensures that we will have a well-functioning rail and road sector in the future as well. We're going to spend NOK 322 billion until 2019. It's important. We're going to do that. And then we want a different situation than what we had when we took over in 2005.
ParlaMint-NO_2010-04-20.ana.ud1350e987	The volcanic emissions from Iceland remind us that it's nature that controls, it's not us. That's why it's very important to take the climate issue seriously, and that's why it's very good that there's almost a gathering of big business behind a climate deal. Then we get to work on getting important steps to implement it. At least I'm sure the important thing here is that we make sure to bet on the train, because in Spain they say that the train will stand for 20 pst. the reduction in relation to their climate target. In Sweden, the 2 million tonnes are the target for reduction by rail. So here it's a great potential. We don't have any good numbers in Norway on this, but we have to keep working on that. I can't give up on the Progress Party: the 2004 budget minus 2 billion, the 2005 budget minus 1.9 billion, the 2006 budget minus 2.1 billion, the 2007 budget minus 1.9 billion and the 2008 budget minus 2 billion. There are 10 billion dollars in cuts, about the last few years. And now it's like trains have become important. At the time I was now referring to the budget, the train was a socialist project that was a danger to private cars. Now it's obvious that it's not like that anymore, because now a cut has less on trains than ever, and in 2010 cut one not at all. So now it's certainly not such a dangerous socialist project anymore, although it's very good for the community. Let me also tempt former state councillor Schou, who has now come to love the train. I had hoped that one had love for the train when one put in government, not only when one was out of government. I hope she never comes to government again, but it's at least important to have love when one is there. I have understood at the Railway Agency and at the Railway Director that there is now a new deal. One feels like one has a government that supports the Railway Agency. A bright setting – I think there were four–five job advertisements from the Railway Agency I saw in the Evening Post this weekend. A project leader for the high-speed train should be added. What happened under Schou was that a cut 250 settings, while this government is adding with settings. That's to show love to the railway when an actual plus with settings is on. I am also very pleased with the signals I get from the Railway Agency that they are now going to use more international competence. I have understood it so that one should have closer cooperation with the Railway Union and connect people from the Railway Union in the work on trains in Norway. I think it's moving towards a train revolution. It probably takes a little longer than I thought.
ParlaMint-NO_2010-04-20.ana.ud1350e1006	The events of the last few days show how vulnerable we are as a nation, and that it is incredibly important that trains are a good alternative that it is important for us to have. Now I'm not going to put myself in the Committee's expressions of love and who's going to have love for who here. But I think I have to say that from the South it is at least at one point a very rusty love for this government. Then I intend to draw up the name of former representative of Great Britain Rolf Terje Klungland in connection with the night and offer to Kristiansand. The night train offer from Kristiansand to Oslo has not arrived. There have been many discussions about this matter here in Stortinget. I mean, budget-inner. S. In 2007–08, it was decided that a night wagon service would be provided. We haven't seen that spin off. We have not seen a night and night offer for Southerners that can be used. Delicious Kristiansand is located between Stavanger and Oslo. If you're going to use the night offer today, you're going to have to set up on the platform at 0 p.m. 01.30. You lose so much of the night that you can't use it as a real alternative to being in here at work and being operational. That means we have to get back the offer with a wagon that can stand at the station, so that the southerners can lie down, the train comes, connects, and continues. It was an ingenious scheme, which allowed more people to use the night and night services as a real alternative. In a reply to Rolf Terje Klungland, the former Council of State, Navarsete, said that only the Stortinge could cancel a decision. And the decision is firm, it was granted money for it, but on Twitter today it has been requested quite duly where it was made by the coach service that we were going to get in South Africa. I hope that the Council of State will now address this matter again, get the wagons that are needed to get this in place, so that it becomes a real offer. Otherwise, you have to come to the Stortinge to cancel the decision that the Stortinge has actually taken. We're waiting with excitement to get this night and offer in place, which means that the southern countries can also use this train offer and be operational with all the knowledge they have, when they come in here to Oslo to influence and lobby to get more cases in place.
