ParlaMint-NO_2010-06-08.ana.ud2232e113	The representative Wenche Olsen, who has been licensed, has again taken the seat.
ParlaMint-NO_2010-06-08.ana.ud2232e1535	People have always been on the move. It's nothing new. Exploitation, conquest, flight from famine, poverty, war and oppression are part of the history of humanity, including our own, close Norwegian history. We're not going to go further than approx. a hundred years back in time. Norway was one of the poorest countries in Europe. The Central Statistical Office describes Norwegian immigrants’ justification for leaving their country of origin: the economic opportunities in America, difficult soil conditions and high unemployment at home, poor crops, unfortunate fishing and, last but not least, encouraging letters from former Americans. People traveled for a better future for themselves and theirs. There might as well have been a description of the background for parts of today's migration image. We can make a stop 30-40 years later, in our dark chapter, from 1940 to 1945. Some of the North escaped for their lives. The lucky ones did it and got safe in other countries. Others didn't make it, and we know how it went with them. This is also true of many people today. Every human being is one destiny, one life. Like other protected Northmen on the run, we have a duty to protect those who come here. We humans are pretty similar, we are driven by the same fear and the same lengths. For our own part, until the end of the 1960s and early 1970s, we are going to go all the way to our own time, before the migration figures to Norway start to systematically exceed the emigration figures. Norway had become a welfare society, and we had the necessary labour force now. The largest immigration into Norway remains a labour force. As a good number two, family immigration comes, then people who are on the run -- about as many who come here to take education. The difference between the latter two groups is that the number coming here to take education is relatively stable, while the number coming here because they're fleeing is going on waves. And there are waves for many reasons. The most important is wars and conflicts in other countries and in other parts of the world. This will increase the number of asylum seekers to Europe and Norway. Then there is someone who is trying to get out of poverty and misery, in the same way that the nordics previously did. Climate refugees have become a new concept in our days. Others come with dishonest purposes and try to camouflage international crime under the cover of being asylum seekers. Some go illegally into the country and are not registered anywhere. Others disappear from reception without knowing where they are. Some are minor asylum seekers and come here alone. Some are victims of cynical traffickers and gross exploitation, both economically and in other ways. We can't help everyone, even if we wanted to. Our refugee and migration policy is determined by the Norwegian authorities, based on our international obligations to care for people in need. The last thing is it's important to hold on to. In the communication we are discussing today, it is clear that the overall objective of the government is a socially decent and managed immigration and a humane, solidarity and legal certainty of asylum and refugee policy. There's been an overall committee behind it. It is important to preserve the legitimacy of the asylum institution that those who become really need protection. It is equally important that those who do not need such protection be returned as soon as possible. Firstly, it helps to reduce the arrival of so-called groundless asylum seekers, but secondly – and most importantly – it helps us to use more resources and give better reception to those who really need it, to deal with matters more quickly, to improve the integration of new citizens. And last but not least, it helps us to be able to increase the number of quota refugees to Norway – those who do not want them, and who spend year after year in refugee camps in far poorer countries than the Europeans. Of all the world’s more than 40 million refugees, most are in neighbouring countries or internally displaced persons in their own countries. Sometimes in the Norwegian debate one may get the impression that most people come to Europe and Norway, but that is not the case. The message we are handling today addresses a relatively small proportion of the world's refugee problem, and it is important to stick to those proportions. That being said, the number of asylum seekers in Europe is raging. Which European countries receive the most applicants are also in waves. Compared to our population, there is a relatively large proportion of asylum seekers in Europe who for periods apply to Norway and stay here. The government has already put in place a number of measures to limit access by applicants without protection requirements. They're now starting to work. At the same time, we see countries within the EU's external borders, such as the United States and Japan. Greece, is facing even greater challenges than we do. The financial crisis has helped to make the situation worse. Dublin cooperation states that the first country to which an asylum seeker comes is responsible for examining, refusing or granting asylum applications. However, for a period earlier, the foreign student has stopped returning to Greece. The EU has opened a formal case to investigate whether Greece is violating its international obligations towards people who need and have the right to protection. So it is obvious that there is a need for closer cooperation in Europe to meet the challenges we face in the field of refugee and migration. Once again, it is important to bear in mind that those who benefit most from European harmonisation and coordination are the people who need our protection. European minimum standards shall follow international conventions. It will increase legal certainty for those who need it, and a minimum standard is precisely what it sounds like – a minimum standard, which does not limit our freedom to adopt their own higher national standards. Those who are going to have the biggest disadvantages of harmonisation in Europe after their intentions are the traffickers, the criminals and the people who live here. The government's asylum policy is sometimes under fire from all sides. Some believe that the government is leading a liberal policy. They are heard first and foremost when asylum figures rise, no matter what the cause of the increase. Then it is those who think the policy is too strict. They are heard in particular when the applicant figures go down and returns increase, as we have seen since the middle of last year, after actions started to work. In that picture, perhaps the most eye-catching aspect of this communication is the cross-political consensus on the main actions. A total of 22 proposals for priority actions were launched. There will be a completely new implementation plan in the foreign field, more effective identification, harmonisation of rules and practices in the EU/EEA, better sharing of responsibilities between Dublin countries – which means that we are also willing to take greater responsibility – linking to the new European Support Office, networking, cooperation on quota refugees, measures in countries of origin, regional protection programmes, funds for readmission agreements, returns, cooperation on the financing of the monitoring of the Schengen external borders, visa cooperation, common entry and exit systems and IT solutions, information exchange – and last but not least, a new action plan against trafficking in human beings is announced in 2010. Others will address some of the measures a little later in the debate. The Committee, for its part, has prepared the matter thoroughly, both by travelling to Brussels for up-to-date information and by consulting the European Parliament. All the hearing bodies support the harmonisation and coordination of European refugee and asylum policy, although they differ in their views on how liberal minimum standards in the EU should be and to what extent Norway should have national standards in addition. There have also been concrete proposals on individual themes that Stortinget will have the opportunity to discuss on later occasions. As mentioned above, the consensus in this case is great. It was originally promoted only four different proposals, plus one that has come now, completely at ease. Otherwise, it's a cross-political consensus. I assume that the respective proposers themselves actively promote the proposals in the matter, and should therefore only make a small comment to one of them. It concerns proposal No. 2, from the Right and Christian People's Party, which addresses the issue of a more uniform visa practice at Norwegian foreign stations. The majority ask the proposers to consider converting this into a transmission proposal. In the end, I would just like to repeat briefly that this communication refers to cooperation in Europe on common minimum standards. It will be primarily an advantage for those who have a right to our protection.
ParlaMint-NO_2010-06-08.ana.ud2232e1569	Report. St. 9 is a growth message that in many ways represents the manifestation of what has been a costly adult education for taxpayers when it comes to the party SV. Throughout the previous ageing period, there was an approach to asylum policy such as Norway could pursue its own policies in this area without taking into account the countries around us, without taking into account the constraints that occurred in other countries in Europe, while Norway made a change in policy that went in the liberalising direction. I would like to mention three areas that are very important in this context. Firstly, stop in return, after Dublin cooperation, to Greece. Secondly, making it easier for single, minor asylum seekers to stay in Norway. Thirdly, exasperation, as I think I would call it, by setting up return agreements, especially in relation to Iraq. We see a very clear context – when Sweden has a decline in their asylum figures due to their having established a return agreement with Iraq, it falls very well with the dramatic upsurge we experienced in Norway. All of this, while there were unclear signals, especially from the government party SV, contributed to Norway’s having the highest rate of asylum growth in the world at some point. Norway was among the countries in Europe which received most asylum seekers, calculated per capita. Together with Malta, Norway was in a special position — this is because it was not taken into account that asylum seekers are actually seeking the least resistance, i.e. trying to apply for asylum in those countries where it is assumed that there is the best opportunity to stay, but also where compilations of the rest of the legislation – especially in the area of family immigration and welfare benefits – help to make an active choice. Norway was by then clearly the most attractive country in Europe. That confirms the numbers. Report. St. 9 is about the fact that you have understood it. Even SV, who is reluctant to join the other committee in this big message, is aware that we in Norway cannot pursue an asylum policy independently of the other country around us. It's just so sad that you had to go through the huge growth, with all that it has caused to the costs of Norwegian taxpayers, and not least the creation of reception that is now shut down again, and all the noise that has been in the field of asylum. People who are actually entitled to stay in Norway have also been hit, and have been given much longer waiting time while the application has been treated. But of course, it's never too late to turn around. In this context, the Progress Party will praise the State Council of Storberget because he is now trying to clear up some of the misdemeanors committed by his predecessors, especially Bjarne Håkon Hanssen and Dag Terje Andersen, who in this field did not do enough to make Norway appear tougher in relation to countries around us in Europe. We note that asylum figures have fallen by 44 pst. as far as this year compared to last year, which was then a top level. Although we can see that, I don't think you should allow yourself to boast about it. To put it a little funny: it'll be a little bit like British Petroleum would expect to boast if they can clean up the oil spills in the Gulf of Mexico, if this government were to expect to boast of the decline we've seen in the asylum figures lately. For this problem is just created by the sitting government. It was just to be lacking that this government is not trying to clean up after itself. It is also a manifestation of this big message – that you are trying to clean up. Although I understand that the Council of State and the government have understood this, the comments from the red-green parties crack very much in this area. It almost seems a bit schizophrenic, because on the one hand it is said that there is a connection between the policy being pursued and the influx of asylum we experience, but in other areas of the setting, the very opposite is said. I have to say, on behalf of the Progress Party, that we are at least happy to want – and there are three key points – to harmonise the legislation in Europe, to seek cooperation and to coordinate it politically in a European perspective. This is absolutely necessary if we are not to again experience a dramatic rise in the influx of asylum to Norway. That is why the Progress Party is also behind the headline in the big message, because we believe it is absolutely necessary to see this in a European perspective. Then there is someone who says — and especially SV clings to this straw straw — that Norway should influence the other countries in Europe to become a little more liberal, and that they should not be so strict. I ask the question: if Norway is to harmonise its rules with the EU and EU countries in this area, it is unlikely that the EU will approach Norway. Norway is clearly going to approach the EU and also pursue a more stringent asylum policy. It's very good, but I see that you try to sell this into – and especially EN – as if you're going to be able to make the EU change its course in asylum policy. There is evidence of a naivety that is almost limitless, while obviously the political climate has not been addressed in these very issues in the rest of Europe. I also believe that a context needs to be seen here, not only in relation to asylum policy and the rules underpinning it, but also in relation to other policy areas which are taking action, and especially in relation to family immigration policy, which Denmark has clearly demonstrated. By tightening up family immigration policies, asylum figures have fallen. Norwegian public services and whether the Norwegian welfare state is seen as a source of asylum seekers and immigrants coming to Norway is also a very important element for people who choose to apply for it. And you also have to take that into account. In reality, we're facing a choice in terms of the long lines. Either we need to tighten up much more on immigration policy, asylum policy and family immigration policy, or we need to make profound changes in the Norwegian welfare state. For the combination of high levels of immigration and noise-related economic systems, total sustainability is lacking in the long term. This is the reality we are facing. There are a lot of economists, in fact, even the NHO in their hearing opinion, although they express themselves a little bit more cautiously, pointing at this moment. It is difficult to combine high levels of immigration with harsh welfare systems. Then there is a question of seeing this in context and soon waking up and thinking about the long term in relation to the policy pursued in this area. For as the situation is today, there is a total lack of sustainability. Although European cooperation is now being developed and tightened up a little more in the field of asylum, perhaps also in the area of family reunification – what I know – it is still not enough to meet the long-term challenges facing Norway as a nation. Even if asylum figures go down, there are things here that are a little alarming. If you've now gotten the numbers down to 44 pst. reduction in relation to last year, the government is doing other steps again that I fear in the long term will lead to an increase in the influx of asylum. One thing is stopped in return to Mogadishu, another is all the noise around whether to stop the return from Dublin cooperation to Greece, and in particular to have the UDI take over part of the tasks to PU. There are many challenges ahead, and the government is obviously missing the long lines. I would like to mention our proposal, which has been distributed in the seats of the representatives.
ParlaMint-NO_2010-06-08.ana.ud2232e1595	The representative Per-Willy Amundsen has taken up the proposal he referred to.
ParlaMint-NO_2010-06-08.ana.ud2232e1598	It must be a great day for the Council of State Storberget to get praise from the Advancement Party, and now he will get praise from the Right too. After all, it must warm the Minister of Justice that there is such a cross-political uprising about this policy that we are now putting forward in order to approximate European refugee and migration policies. The right has asked for this big message for a long time. A few years ago, it was a co-agreement that agreed that it was time to get a message about the long lines of Norwegian migration and refugee policy in relation to what is happening in Europe. Norway must coordinate its policy in this area with the rest of Europe. The enlargement of the EU to 27 Member States has resulted in more countries now bound by EU legislation, areas where Norway does not participate in cooperation, such as the Common European Asylum Policy. Furthermore, EU enlargement has led to the expansion of the Schengen area, thus cooperating with several countries on the control of external borders. This has made it even more important for the Norwegian authorities to have harmonised practices with the other European countries in the field of refugee and migration. Very many of the world’s migrants – 10 to 15 p.m. – do not have legal residence in the country in which they are located. Like the objective of limiting the number of asylum seekers without protection requirements, it is an objective to limit cases of illegal immigration. Perhaps more difficult access to work and more stringent border controls in the EU and Schengen have so far led to a marked decrease in registered cases. In addition to the desire for closer cooperation in Europe, which is the aim of this Communication, Norway must also cooperate on refugee and migration issues at global level. The aim is to have a coordinated policy in Europe that does not contribute to false hopes of staying in Norway if rejected in other countries. A predictable system in which a fair, humane and predictable policy can be expected will be in everyone's interest. Real asylum seekers will be treated more quickly, they will be offered follow-up more quickly and will be able to start a new life more quickly in a new country. There is a great potential for development in migration. Europe needs a labour force reserve – Norway needs it at least in the coming period. But then it must be people who come to Norway either as real asylum seekers or as migrant workers. I hope that once we have dealt with this big message, and the government is starting to follow up on the measures, there may also be more focus on other aspects of migration policy than on asylum, namely labour immigration, Norwegian visa policy and some other things that get completely out of hand in that debate. Very many come to Norway – not as asylum seekers, but, as Lise Christoffersen also said in his post, either as students or as work immigrants, etc. This is also an important part of the policy that needs to be taken into account. The migration is positive from the right-hand side. We think it creates a lot of positive. Migration policy, trade policy, development policy and aid policy can be seen in a positive context. Voluntary migration and development are interrelated. Both the country of origin and the country of destination will in most cases be economically viable with controlled migration. Much of the migration in the world is out of control, and also for Europe, migratory flows have become a major challenge. Very many people from Africa and other parts of the world want to create a new life in Europe. The integration pressure is strong. Although Europe wants to control immigration flows, many people are able to avoid the control of entry. Criminals organise illegal transport, and many people are willing to sacrifice everything they have to cross borders. Many have lost their lives on their way across the Mediterranean or on their way to the Canary Islands and towards Europe. Negative aspects that accompany this illegal migration include: slave-like pay and employment relationships, sex trafficking, trafficking in human beings and organised crime. Many illegal immigrants are exploited, subjected to abuse and human rights violations by greedy employers. In the fight against trafficking in human beings, it is important that victims be identified. Ideal and non-governmental organisations play an important role here. In Oslo today, the Church's City Mission and the PRO-Center primarily identify the victims. This is because they go out in the streets and build trust over time. It is important to focus on increasing the identification of victims in Norway. The best way to do that is to maintain and strengthen the relief measures that exist today, and I show in this regard the proposal that the Christian People's Party and the Right are promoting today. Migrating flows go on waves and are naturally characterized by war, starvation disasters, unrest and distress. However, as long as Norway has pursued its own asylum policy without anchor in European cooperation, we have experienced enormous fluctuations in the influx of asylum to Norway. The signals sent by the authorities, especially the government's signals, have a major impact on the influx of asylum. During the first years of the government of Stoltenberg II, the conflicting opinions of the government parties came. This culminated in the government having to tighten its own policies. So in that context, the government party went out and took this one in the government. This continued to signal a lack of firmness, which was quickly perceived by potential asylum seekers. In 2009 — after the SV had taken their pick-up — Norway experienced a sharp increase in the number of asylum applications. The government and the Minister of Justice have now tightened their grip, for example: by repatriation of asylum-seekers without legal residence and others who have received final rejection of their asylum-seekers. This helps to discourage groundless asylum seekers from coming and seeking residence in Norway. Such a policy – such a clear policy – clearly supports the Right. Although Norway does not differ significantly from other Nordic countries, and also, for example, from other Nordic countries. The Netherlands and the United Kingdom in their refugee and asylum policies do not in any way confirm the thesis that these differences can be rejected as an important explanation for the large asylum arrivals in Norway in 2008 and 2009. On the contrary, I think it shows that government signals – small statements, confusion – help to open the locks to Norway with which no one has served. There are many things happening in the EU in this area. It is very positive to be able to follow up on the Stockholm programme adopted by the EU. It is a fundamental and, of course, a prerequisite for the Right that all asylum seekers are entitled to individual treatment of their asylum applications. However, some of the point of European cooperation in this area is also to share the burden and help countries that are struggling to meet their obligations. The new EU Stockholm Programme – the five-year programme for the field of justice and home affairs – emphasises the need to continue working on developing responsibilities sharing mechanisms. The solution currently being adopted by the EU is the creation of four funds in different areas, including: The External Borders Fund defined as Schengen-relevant. An association agreement on Norwegian participation in the fund has been negotiated. It is important that Norway actively intervenes, contributes positively and also contributes to helping, for example: Greece, which is currently struggling with a poor economy, a great influx of asylum seekers and subsequently poor conditions for asylum seekers. Instead of abandoning Dublin cooperation or suspending Greece, some of which are mentioned, Norway and other European countries should contribute to enabling Greece to meet its commitments. Now that the number of asylum seekers seems to be falling sharply, I think the government should consider increasing the number of quota refugees from 1200 to 1500. This is something there is a broad consensus about on Stortinget. I think it is necessary now to give a handshake to the most difficult refugees, namely the quota refugees. In the future, Norway will have to make active use of its ability to influence where possible in the EU system. We must also make use of the opportunity to learn from the good experience of other EU countries in various areas of asylum policy, and demonstrate that we are actually part of the Common European by being loyal to the decisions taken by the EU in areas that may be controversial in Norway. That's part of the price of cooperating, but I think that's necessary. Finally, I would like to say a little about something that is not so relevant to the exact asylum policy, namely the visa policy. I heard that the case rapporteur from the Workers' Party wanted to have the proposal that the Right and Christian People's Party is promoting on visa policy. If that means that the government and government parties actually want to go into this in a non-prejudiced and positive way – I see that the committee leader is nodding – we will, of course, comply with that recommendation. This was a matter we raised two years ago in Stortinget. This has not happened very much, but that relatives of people living in Norway have problems getting visas to this country because they come from countries where there is a great danger that they will seek asylum, I think is too poor and a little individual treatment of visa applications. I hope we can sort this out, so that Norway becomes an inclusive country, but also a country that accepts tourists in the same way that we want to be received in other countries. I will address the proposals on which the Right is a co-rapporteur, and at the same time I will inform you that the Right will support the proposal of the Progress Party, which is on the table today, to clarify the role of the UDI with the police.
ParlaMint-NO_2010-06-08.ana.ud2232e1642	The representative of Trond Helleland then addressed the proposals he referred to.
ParlaMint-NO_2010-06-08.ana.ud2232e1645	We're moving a lot more than before. There's something all of us in this room take for granted. Even I have a little sister who married a textist, another who has emigrated to Denmark – not yet married properly – and got a house with a Danish. Our international leader in SV was an Iranian who came here in the 1980s and was given residence as a political refugee, and a very good friend of mine, who was in the district government of Oslo SV, were Somalis who came together with their parents as refugees. We are migrants each in our own way, and each in our own way we are all influenced by the legislation we create for what kind of opportunities people have to move. There are different motives, and a lot of those motives are legitimate, but it's not like all motives are equally accepted. That's the way it is. It's politics. I think it is important when we discuss the message that has been made, and that we are discussing today, to see things in a bigger perspective than what is often done, and that, in my view, is done to a small extent by the representatives of the right-hand side. We're discussing refugees. Those present at the UDI Spring Conference yesterday – at the entire conference – know that the total number of refugees in the world is between 41 million and 42 million if you bring with you the internally displaced. At that time, about 280,000 people who come to Europe each year become small-minded in the broad sense. When we also know at the same time that there are about 400,000 border guards at the borders of Europe, we see that there are two and a half border guards per asylum seeker coming to Europe. When we talk about the large division of responsibilities in the world, the number of 280,000 – and some of them stay in Europe – pales compared to the number of refugees. If we think of one of the world's largest refugee camps in Kenya, it's the poorest countries in the world that take the greatest part of the responsibility for fulfilling human rights and the right to life and the right to a secure opportunity that is actually fundamental to the Refugee Convention. We're doing far too little of that right a job to fulfill. The majority want it to be an important job for us, but I do hear the language of Per-Willy Amundsen, who talks about all the misappropriations that previous governments have done, and of Greece, who is talking about ‘opening the locks’ to Norway. So when we're talking about a disappearing small proportion of the world's refugees, I really think we should take this in a completely different way from what we're doing today. The message points very clearly in a direction ahead, where we will be more committed to European cooperation. The reason why this is important is that we see that Norwegian asylum and refugee policy and Norwegian asylum and refugee debate are very much influenced by what is happening in the countries around us. For the red-green government, it is clear that the objective of that commitment is to participate and contribute to raising standards in Europe. We have the choice of putting ourselves at the level we can imagine that it is in Norway and Sweden today when it comes to caring for refugees, or at the level it is at in Greece today. So we can ask: does the Advancement Party want us to approach the level of Greece, or does the Advancement Party want Greece to approach our level? For the Red-Green Government, the answer is clear: we want to ensure that all those countries that are not at present at a decent level and do not fulfil the EU's obligations under directives and the Refugee Convention will reach a level that is decent and in line with the Refugee Convention. In this context, all countries have an independent responsibility as parties to the Convention. When I hear Per-Willy Amundsen talking, I would sometimes wish – and it is not so rare – that Per-Willy Amundsen was not born a Norwegian, but born Somali and grew up in Somalia. Then he could have experienced what it would be like to come as a refugee to Norway, and see what it is like to be exposed to the suspicion in the rest of Europe when you apply. Then he would realize that what we're really talking about -- when we're talking about having a real, decent and good refugee policy, which we want to have for the whole of Europe -- is to maintain the basic values that we think we stand for here in Norway, the value of human dignity and human rights. I would like to see Per-Willy Amundsen get that experience.
ParlaMint-NO_2010-06-08.ana.ud2232e1667	We also consider it important to work towards harmonisation with Europe on refugee and migration policy. At the same time, Norwegian refugee and migration policies shall be determined by the Norwegian authorities, based on national premises and be consistent with Norway’s international obligations and agreements. It's important to clarify. This means, among other things: harmonisation with Europe must not restrict our freedom to adopt national standards beyond the minimum standards in force at all times in Europe. In order to avoid experiencing a downward spiral across Europe with regard to asylum seekers and refugees' rights, we in the Norwegian authorities should contribute to a high level of responsibility and standards on the agenda, so that harmonisation leads to a humane, solidarity and legal certainty of asylum and refugee policies across Europe. The message has a strong focus on contractions and returns. If you were to go so far as to call the message visionary, it should take the world's refugee situation more seriously. It is, as the representative Heikki Holmås said, over 40 million people wandering around the world. 60 pst. of which they are fleeing from their own country. Norway should then be at the forefront of finding global solutions to this huge challenge. In this regard, the Christian People's Party raised the question of climate refugees who do not meet today's criteria for being considered refugees. Although this is not discussed in detail in the Communication, I am pleased that the majority of the Committee agrees with the importance of Norwegian participation and participation in the international forums where this is discussed. We therefore welcome the appropriate presentation by the government of Norway’s work and role in this field. It is important to focus on effective return, both forced and voluntary, as well as an effective treatment system. In recent times, however, we have witnessed a worrying development in which returns are made in violation of UN recommendations. Forced return of Iraqis to Baghdad and other provinces of Central Iraq in December 2010 and forced return to Greece and Somalia are examples of this. We support Norway as part of Dublin II cooperation. However, I am nevertheless critical of aspects of Norway's practice of legislation when, for example. refer to return to Greece. I do not understand the government's assessment that in Greece there will be a fair and fair treatment of their asylum application. Greece does not have a functioning treatment system which respects the rights of asylum seekers. When we discuss refugee and migration policies in a European perspective, the focus on trafficking in human beings and trafficking is very important. The motivation behind the work against human smuggling must primarily be to help people in deep distress and to get punishable cynical backers. The criminalisation of human smuggling must not be used as an excuse or a measure to ensure a most restrictive refugee policy. This could lead to unfortunate developments if the fight against crime starts to look at this group of people who were formerly ‘refugees’, such as ‘undocumented, illegal and criminal’. In the case of trafficking in human beings, the government is lagging behind in setting up a new action plan. The number of victims of trafficking in human beings is increasing in Norway. Recent cases of trafficking in human beings have also been identified in relation to au pair activities, beggaring, etc. The rise in the problem may indicate that it is lucrative for the backers to come to Norway and carry on this activity. It is very important that the victims be adequately protected if they choose to report their backers. Today many are sent out of the country afterwards. Then they are in real danger of being represals from the rear and of being ‘re-traffic’. I also believe that the reflection period must give more content, such as: psychological assistance as needed and Norwegian courses for all, and it should be easier to have permanent stays in Norway for victims of trafficking in human beings. The Christian People's Party also calls for an action plan specifically aimed at children who are victims of trafficking in human beings. In particular, minor asylum seekers are vulnerable to these people. There is reason to believe that several of the hundreds of children who have disappeared from the reception of asylum have been victims of trafficking in human beings, without adequate follow-up from the police. That's why we don't know where they're going. Few children are identified as victims of trafficking in human beings in Norway. It's probably not because they don't exist, but because it's hard to detect. I am referring here to the proposals we have made on this matter. I would also like to inform you that we support the proposal of the Progress Party, which has been distributed in the Chamber.
ParlaMint-NO_2010-06-08.ana.ud2232e1688	The representative Geir Jørgen Bekkewold has addressed the proposals he referred to.
ParlaMint-NO_2010-06-08.ana.ud2232e1691	What lies at the bottom of everything we do is that the policy pursued in this field should be marked by humanism, solidarity and legal certainty. It is my opinion that the 22 measures outlined in this big message help to raise the level of these three sizes. It's people we're discussing, not oil spills. So it is the government's view that this message shows just how vital it is to get good hands on this political area, but also to bring in more humanism, legal certainty and solidarity, to be able to act together, especially with countries in Europe. Norway and Europe face common challenges, including: in the context of extensive illegal immigration and many asylum seekers. The government believes that there is a need for clearer and more committed European cooperation to meet these challenges. Therefore, in the months I have been responsible for this field, I have strongly stressed that this work and this message should be sent quickly to Stortinget. In this way I also thank my glittering office for the job. A further development of the Common European Asylum System is required in order to achieve balance and greater predictability in the area of migration in Europe. The EU will become an increasingly important partner for Norway in the field of refugee and migration. Norway and the Norwegian authorities are therefore also prioritising and actively participating in the further development of, among others, Norway and Norway. The Schengen and Dublin acquis An example of our desire to continue is that we are now actively working – and as presented in the message – to establish a link with the European Asylum Support Office in the field of asylum, the European Asylum Support Office, EASO. As the Committee refers to in the setting of the message, participating in European cooperation in the field will not limit the possibility of having national standards higher than the minimum standards. I would also like to point out a particularly important area, which has been affected by many: the resettlement of refugees. In cooperation with the UN High Commissioner for Refugees, this is a priority part of the Norwegian refugee and migration policy. I mean very much that it's about bringing more humanism into the way we use the total resources in this area. The government therefore wants to support the efforts of several European countries to offer resettlement and is in favour of initiatives to develop a common EU resettlement policy. Norway can, with its many years of experience as a resettlement country, among other things. contribute to the transfer of competence. Those applying for protection in Norway and in need of it will receive it. Those who do not have the grounds for staying in Norway shall not be granted a residence permit. Therefore, effective and rapid treatment is the most humane, both for those who are allowed to stay and for those who have to leave the country. The government wants to limit the number of people applying for protection without having to do so, and so far we see a dramatic decrease in the number of asylum seekers coming to Norway. However, it is important, as the representative of Greece also pointed out, that we are now perhaps beginning to discuss other sizes in this political field than just the speech of the figures. It is largely about how we can take care of those who are going to stay in Norway. It is about further developing the return arrangements we have in cooperation with other countries, in cooperation with Frontex. It's also very much about how we can deal with things like this. the activity of illegal asylum seekers or groundless asylum seekers in Norway when they go waiting for a decision and when a few of them commit criminal acts. I would like to point out that it is also important that we now get the focus on the clear call for voluntary return – preferably in cooperation with the IOM – and that the figures now put on the table show that increased pressure on the return work not only contributes to more work for the police and forced returns, but also to more use of good voluntary return arrangements.
ParlaMint-NO_2010-06-08.ana.ud2232e1711	It's going to be line change.
ParlaMint-NO_2010-06-08.ana.ud2232e1714	The decline in asylum figures that we have observed in recent months is due to many factors. Forced and increased use of return is obviously one of them, but I want to say that the signals you gave in Soria Moria II, which I stand with a chapter of here, were also important. Signal policy – what is sent out of signals to the world around it – is of great importance for the influx of asylum seekers and for the policy that is expected. There's one point in Soria Moria II that I want to quote, and that's the following: ‘introduce a general requirement for four years’ work — and or training as a condition for family establishment’ This is a very important point in dealing with family immigration policy, which will also limit the arrival of asylum seekers. Now there is so much doubt about this policy – there have been several presentations in the media – given that this has been cancelled, thanks to SV. Can the Council of State confirm or confirm whether the four-year rule will be submitted to the Stortinget?
ParlaMint-NO_2010-06-08.ana.ud2232e1725	When I said yes to take on the task of handling this field, I also did so in confidence that the points outlined in the Soria Moria statement – and the platform to which it is now referred – will be implemented. So I would also add that it is difficult to say something about what are real reasons why the numbers are going down, and that we all have to exercise some caution in drawing quick conclusions to what is the reason why the numbers are going down, and not least be prepared for whatever kind of regime we have in this political area, the numbers may fluctuate. Because there are external circumstances at the bottom of why people travel in flight, and that's what history has taught us. Changing governments with changing practices have experienced shifts in numbers. So I have to say it's good to see that you get a good hand on this field, and that we have the numbers we now have. At the same time, we should be prepared that these are not sizes that are given once and for all. It is characterised by many causes, and it can fluctuate up and down.
ParlaMint-NO_2010-06-08.ana.ud2232e1732	The last is very correct, because you still have a little to go on if you go down to the normal level – if we can call it that – that existed on the day this government joined in 2005. At that time, we had much lower asylum rates, and we need to experience a much greater decline in the asylum flow to Norway before we are at the level we observed in 2005 and 2006. I want to go back to what I said in my speech, that the message gives the impression – and so does the Council of State on different occasions, and especially SV – that this is so much about Norway changing EU policies as about the EU changing Norway’s policy in this area. What is the Council of State's assessment of this? Does the Council of State really think that Norway is going to relocate the EU's asylum policy? Or is it Norway that, if we are to harmonise with the European Union, we must go in a sharper direction in the field of asylum policy? What is the Council of State's assessment of this?
ParlaMint-NO_2010-06-08.ana.ud2232e1739	I see that this picture is not as clear as the Per-Willy Amundsen representative is trying to draw, that as soon as we talk about EU policy, it is just tightening up. I feel that there are many Member States in Europe that we also meet – we have good dialogue, among other things. with the Nordic Member States – which are concerned with several shades in this picture. In fact, I believe that Norway can play an important role by being involved, but at the same time take initiatives in important areas. I mentioned resettlement in my post, which is important for Norway, and where I think we actually have something to contribute, but which cannot be seen as a narrowing-down measure. With regard to a new generation Dublin agreement, the use of the EEA funding mechanism into this, I am convinced that Norway can really prove to be an important role. And it is clear that this is true in other areas, which have also been discussed by several representatives. When you are part of a community, you also need to take other types of measures that you would not necessarily have preferred. But I have helped bring forward this big message because I think it is important that Norway also has ambitions in the European area.
