ParlaMint-NO_2010-02-11.ana.ud2474e61	The representative, Solvency Horne, will present a proposal for a representative.
ParlaMint-NO_2010-02-11.ana.ud2474e1776	The representative of Solvik-Olsen is fresh in his day-to-day formulations. He refers to the State Council of Solheim as a ‘pull eel’ in the debate on climate and was signed as a molbo policy. The great thing about the show and performance of the Progress Party is that they don't need the help of others to awaken the associations of that kind of Progress Party. I am so far the only one in the debate here today who pays my electricity bills in Central Norway. There is no doubt that the supply situation in Central Norway is demanding now. This is due to long-term neglect of networks in Norway, and other decisions that should perhaps not have been made at the time they were made, which the representative Marianne Marthinsen was also involved in. From the point of view of all the civil parties in general, and in particular of the Progress Party, it would be thought that the mobile gas power stations could be set in motion as soon as the politicians snap their fingers. They obviously don't know that. It's not the electricity price that's crucial here, but the risk of rationalization. The concession of the mobile gas power plants clearly states that the start-up can only be carried out under the specific permission of the NVE. I am amazed that the environmental parties Left and Christian People's Party in the Nord-Trøndelag ignore this, and without further ado require the launch of the highly polluting mobile gas power plants. One can also get the impression, when one listens to the citizens, that the government has done nothing to improve the power situation in my home region. That's not the case either. Then I just need to point out what the Council of State was making clear in its article. The question is also what we can do immediately. In this context, the County rapporteur of the South Trøndelag, Tore Sandvik, asked Enova to investigate what additional measures could be financed by the sale of mobile gas power plants. Interestingly, the Progress Party suddenly takes this play as an example of frustration in the region against its own government. The Progress Party has gone the long way in making fun of this proposal, which both I and the County rapporteur in the South-Tronde Team have put us behind. Being lectured by the Progress Party in how unrealistic and tenacious a proposal is is strange, all the time the Progress Party is the party that has proposed, without asking the people of Orkdal what they think, that a nuclear power plant should be built to improve the power situation in Middle Norway. I'm not sure what the inhabitants of my home country would think about getting a nuclear power plant in their garden. As the Council of State has pointed out, there has already been a major activity on Enova's part in Central Norway, which so far will provide new energy and energy saving equivalent to 295 GWh. It is an extension of such instruments, not nuclear power plants in Orkdal, which is the wisest strategy for the rapid improvement of the power situation in Central Norway. These are actions that will, in any case, have to take place to enable Norway to fulfil its vision of energy reduction and a better climate policy. Further strengthening of theincrease rate will have a very positive side effect, namely improving the power situation in central Norway. I'm going to give an example, which is meant as an illustration: a heat pump in each home in More and Romesdal would reduce the consumption of electricity from the households in the district by one fourth. It is particularly surprising to me how high the bourgeois parties are now shouting out about the alleged invulnerability of the red-green government – especially the Right, Left and Christian People's Party. Let me remind you that SV was the only party that warned against this particular situation when the expansion of the Worm Lange was dealt with in the Stortinget in April 2004. The bourgeois parties that are now calling out bear a heavy responsibility here. I would quote former oil and energy minister Einar Steensnæs, who to day and time has stated the following: «It was such a thrill over the Worm Lange. Everyone was enthusiastic about such an important project, and it was a unanimous call to get the gas to More. No one ventured to propose postponing the Worm Lange project because of the power situation in More and Romesdal, although everyone knew there was a disturbing situation. First we had to secure this important project, and then we could solve the power situation." SV's warnings against the power crisis in Middle Norway were thus spoken for deaf ears. For this reason, today’s presentation of the case – where some politicians claim to the media that it is only by political decision that mobile gas power stations should be set in motion, contrary to current legislation – becomes a populist attempt to smooth out prejudice’s omissions from its own side. It is easy to be a follow-up clock, but even easier, as the Progress Party does, it is to play on people's fear of unmanageable power prices and to set up an artificial choice between 10 kilowatt-hour bills in the mailbox of the crowds on the one hand and unconstitutional start-up of 300 MW from mobile gas power stations as a salvatory solution on the other, as several bourgeois politicians have done lately. The power situation in mid-Norway and the sometimes very large hours of power prices, I think, are serious enough without having to resort to such populist rhetoric.
ParlaMint-NO_2010-02-11.ana.ud2474e1798	The power situation in Central Norway has been discussed many times earlier in this house, and is now on the agenda due to the situation we have had in winter with the severe cold and nuclear situation in Sweden, which has given particularly high power prices some hours not only in Middle Norway, but in the whole Nordic region with some exceptions. Governments have done well for the measures taken to improve this situation in the short and long term. It is clear that the commitment to renewable energy production through Enova is an example of such an action — an action that works. We also know, as you know, that the Middle Norway region has a particular focus on this work because the region is a vulnerable region with regard to power supply. Not least, new network connections are important in order to secure streaming into this region. The interpellant chose not to emphasize this very much in his article. It was somewhat surprising, but it's clear that being able to feed power from areas that have excess power, into areas that have little access, is crucial. We see this in Central Norway today, thanks to the fact that one of them has received a much-needed strengthening of the network situation between Central Norway and Sweden. In view of this, it is striking to see how one of the opposition party's major representatives can run election campaigns against Kraftlins in this area, and then representatives from the same party stand here in Stortinget and say that one looks forward to this capacity being put in place, and that it is important, as the representative of Hofstad Hellen said in his statement earlier. It's not in the pile. Kraftliner must be suspended, but the argument that the lot is leading in this hall must also apply when it relates to the situation that has arisen. I think it's very special to experience that one here chooses some states, as the Right has done in this case, where one is opposite this line, this supply, while one in the other states says that this we've been working for a long time, and that's important. It's very special. Then it is that the Progress Party points out that, with the exception of the mobile gas power plants, the Government has not taken action that had not been seen in the works anyway. I don't believe the Progress Party itself believes that once! The increased investment in renewable energy that has taken place under this government is lacking in Norwegian history. It has focused on renewable energy, on various forms of renewable energy. There is an increased focus on network input to ensure power across the country, and one has an increased focus on energy efficiency improvement and energy conversion. If you're in doubt, you have to compare it with the governments we've had before, and then you have to compare the political priorities and the political results between governments. The situation in Central Norway is challenging. The government is working with short and long-term measures to remedy this situation, and the Council of State has done its job. I have a expectation that in the future, the opposition party standing here in the Chamber and asking for action without itself, in the case of Hofstad Greece, to make concrete proposals, will support the measures being taken, and not pursue electoral or political polemics against the same measures other places in the country.
ParlaMint-NO_2010-02-11.ana.ud2474e1816	The power situation in Central Norway is serious – it gets a lot of focus, it gets a lot of commitment to the debate, people are naturally concerned, and business is worried. The more important it is to base the discussion on correct information. Firstly, it is not that Mid Norway has a serious power situation, or a lack of power, from day to day of the year through, but the main problem is that we do not have enough safety margin to withstand a dry year. It applies until the Ørskog-Fardal power line is completed, at the earliest in 2013. It is also unacceptable to rely on highly polluting mobile back-up power plants for a possible dry year. Secondly, there is a widespread perception that central Norwegian electricity prices are far above what you pay elsewhere. Variations in area prices in the Nordic market sometimes result in higher prices in central Norway, sometimes also lower prices – but customers in central Norway have paid a little more over time. The situation in South Norway, with its tight force, has affected others, so I'm not going to get into it. Thirdly, it's a common myth that winter's extreme price peaks, up to $8 per. kilowatt-hour, it's a median phenomenon. So it is not, and the Council of State has so far explained it. I have no ambition to give a full picture of the situation here, but it is important to have a good analysis and understanding of the situation in order to provide the basis for effective action. And there are several important measures that should be implemented to ensure the power situation in Central Norway. Firstly, we must complete the Ørskog-Fardal power line as quickly as possible. Statnett now says it can be ready in 2013–2014, but there is some uncertainty here. When it is finished, Mid-Norway has a secure energy supply. It is, as it now appears, too late to develop new productions to solve the situation, as it is constantly being called for. The government could have contributed to it years ago, but it hasn't. Concessions granted in 2009, to which the Council of State refers, will not be in production until the Ørskog-Fardal power line is completed. In any case, new power generation is important in the longer term for Middle Norway and should be stimulated. Secondly, the Minister for Oil and Energy has to state that the area prices for Middle Norway will be eliminated if a dry year results in a shortage of power and a sharp jump in prices in the region. It would be totally unreasonable if we had a dry-year situation and a longer period of sky-high prices in central Norway alone, that Middle Norwegian customers would have to pay for the failure of energy policy. That would be unreasonable, and neither would people in central Norway, or elsewhere in the country, accept it. Thirdly, we need a new energy policy that takes over the lessons from Middle Norway. It should and should not be possible to re-occur that more consumption is planned for a region than the supply capacity suggests, without the introduction of measures to ensure supply as consumption grows. In the otherwise successful deregulation of the power sector 20 years ago, the authorities entrusted too much responsibility to the market, and the administration took a role in confidence that market mechanisms would ensure supply. We who ruled when the Worm Lange was adopted must take our share of responsibility for this. I recommend that humility. And – as you say in the TV action: I encourage everyone else to do the same. I think that all those who have run the country over several major periods and who have been responsible for energy policy should show a little more of the same humility. We've seen a little bit of that here today. The President did not want Marianne Marthinsen to be too much challenged, since she did not get the floor again in this debate. But let me say it this way, haughtiness stands for fall. If she takes a trip across, north of Dovre, she will quickly discover it – with the message she has. However, the Christian People's Party has proposed changes to the Energy Act to strengthen political governance and strengthen the oil and energy minister's responsibility for supply. I refer you to Document No. 8:21 for 2006-2007. The red-green government has not wanted to follow this up and obviously has greater confidence in the market. It is also important to say that several of the measures now promised by the Government were actually under way under the Bondevik II government. It concerns the mobile gas power plants, and it concerns Ørskog-Fardal. It could also be tempting to refer to the current government’s merger with the certificate market and with the power plant tax, which has stopped power plants that would have an impact on the situation in Central Norway. I recommend that we all stick our finger in the ground and see what we can do until 2013 to ensure the supply and avoid such situations happening again.
ParlaMint-NO_2010-02-11.ana.ud2474e1842	The left is also concerned about the power situation in central Norway, and we believe that the situation requires more and more vigorous action. Greater emphasis needs to be placed on increased renewable energy production and energy saving in the area. These are measures that need to be prioritised before the use of gas power plants. However, I have registered strong local wishes to invest in gas power plants with CO2 cleaning in this region, which the representative Serigstad Valen was in. So, in the case of the representative Marianne Marthinsen: it must be allowed to answer even if you don't get the word again. When the Left put in government, we decided to introduce a green certificate market for renewable energy production in cooperation with Sweden. This speeded up regional and municipal energy plants to develop projects, and considerable resources were invested in developing renewable projects across the country, including in central Norway. After the red-green government came to power, the scheme was wrecked. This led to nine out of ten wind power projects being put on ice, including projects in Middle Norway. In the climate agreement, government parties turned around and the work on green certificates was resumed. But the most important clarifications are postponed until 2012. There are several wind power projects in this area that have all the rights in place but need the necessary funding to start construction. In the climate agreement, government parties agreed to strengthen investment aid for renewable energy by opening up higher levels of support to a green certificate market. More investment aid has been announced, and some major projects in central Norway are part of the current round. It is joyful and can be an important contribution to remedying the power situation. But renewable energy work is still slowing down. It is still the case that too little money is allocated to Enova through the Energy Fund, and it is still the case that the size and the parties to the climate settlement have not seen anything about the conversion of the renewable electricity regime pending a green certificate market. I'm sorry. Another element in this matter is the work on energy saving. I have registered that Enova has taken the initiative for various seminars etc. on energy saving in Central Norway. It's positive. But I and the Left are still asking for a real boost in this effort, both in relation to households, businesses and municipalities. The left is of the opinion that we can use the situation in Central Norway for something positive, but then in the sense that we should make the region a test area or a geographical area for the development of sustainable energy solutions based on the resources available in the area – there are natural resources or potential for efficiency and energy conversion. Measures that may be included in such an experimental scheme may be: own regional support schemes for renewable projects which do not fall under other support schemes or which are not triggered by State aid schemes own regional support schemes for clean-burning wood stoves, air-to-air heat pumps, after-sole, power management systems and other effective measures to reduce household energy use measures to stimulate increased use of bioenergy for heating in larger buildings The left has expectations that the Government will follow this up and present this to the Storting through its own action plan. Finally, let me also take the opportunity to point out that the concession request for a new transfer link between Sogn and Møre, the so-called Ørskog-Fardal link, is for appeal in the ministry. This line has an impact on the force situation in central Norway in the long term. The line is controversial and the left has expectations and hopes that environmental considerations will be given great weight when selecting cable options. Where conflicts related to environmental values and aesthetic considerations become major, soil or sea cable should be selected.
ParlaMint-NO_2010-02-11.ana.ud2474e1872	A nuclear power plant in Sweden was shut down last December, and electricity prices went to heaven in Central Norway. In January we still had high prices – sometimes 50 pst. higher than e.g. in Bergen. At the same time, we have had a bitter cold period in January and February with record power requirements. So once again, the industry and the people in Central Norway have become dizzy because of their energy supply and their own price range. At the same time, the unstable power situation is a major disadvantage in relation to the establishment of businesses in Møre and Romesdal. The hopeless and hopeless thing is that this is a wild policy from the Government, a problem we've been living with for several years without the Government having taken greater, necessary steps, except to install two mobile gas power plants – environmental bombs of NOK 3 billion for no use, as they cannot be used. On the right, several proposals have been made in the UK to draw up an action plan to prevent a power crisis in Central Norway. The Swedish Government Party has phased out the power crisis – we experienced it very often with the former Bjørn Jacobsen on the move – and former Environment Minister Helen Bjørnøy recommended people in Central Norway to use savings. I am now recording that the Council of State is also minimizing the situation. The same was also done by the representative Marthinen from the Workers' Party. Talk about a depreciation of reality! When Odd Roger Enoxsen was Minister of Energy, the response was that an action plan was being implemented, with a view to presenting it early in the autumn of 2006. Nothing has happened, and several similar questions have been rejected by the Government of Stortinget. I can promise that if the Government refuses to take greater, necessary steps to resolve the problems, the Right will continue to propose measures that can contribute in the short term – and in the longer term. One must be able to call the government's emergency action paralysis, because when Statoil was granted a concession from Norway's Vastraks- und Energiedirektorate to build gas power plants on the Tjeldbergodden, the project was scrapped because the government demanded capture of CO2 from day one. That it was scolded is understandable, as such capture is very costly. When Industrialkraft Møre finally received a concession for the construction of a gas power plant at Hustad Marble in Elnesvågen, the government made the same demands for full CO2 cleaning from day one, despite the fact that there is a modern gas power plant with efficiency up to 60 pst. While the Government demands full clean-up of CO2 from day one in Norway, Statkraft builds gas power plants without CO2 cleaning in Germany! The installations marked with an eco-label! Specific requirements for the capture and storage of CO2 are meaningless from my point of view, as gas power plants in both Norway and Germany will be part of the EU greenhouse gas allowance market. It is the total allocated emission allowances that determine greenhouse gas emissions, not whether they come in Norway or Germany. The government's no to gas power plants only contributes to higher electricity prices in central Norway, not to reduced greenhouse gas emissions. The right says yes to the construction of gas power plants in More and Romesdal, without any peculiar requirements for the capture and storage of CO2. Today's government has failed in relation to the energy crisis in Central Norway. They broke negotiations with Sweden on green certificates and thus contributed to the end of almost all small-scale hydropower expansion, due to poor framework conditions. Right will improve state support schemes for the development and development of alternative green energy sources by introducing a scheme of green certificates. We want to strengthen the electricity transmission lines to other parts of the country – but we want to do it in a gentle way, which the Government does not do anything about. I refer you to the representative Erling Sande in the Central Party. They double communicate a lot, so he's probably not really the right person to comment on the communication within the Right Group. We will also facilitate the increased deployment of small-scale power plants, the modernisation of older power plants in already regulated watercourses and the careful development of protected areas. The right has also proposed the removal of taxes on waste incineration, which can also contribute to more power. A power crisis may lead to the cessation of production of Hydro’s aluminiumworks on Sunndalsøra, Hustadmarmor, even at the Worm Lange plant. A stop at the Worm Lange plant will not only rock Norway’s confidence as a gas supplier to the rest of Europe. It will also reduce the revenue of the State and the Community. It can be expensive. There is therefore an urgent need for concrete action, and I expect rapid action from the Council of State and Government – that immediate action will be taken to remedy the situation in the short term as soon as possible, and that a long-term action plan will be drawn up, as requested several times by the Right.
ParlaMint-NO_2010-02-11.ana.ud2474e1918	The regulatory time for tomorrow's meeting is up. The President will propose that this meeting continue to take place on case No. 5 has been completed. So we're not going to go all the way to the meeting, because it's comitology at 4 p.m. 16,15. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-02-11.ana.ud2474e1923	I am a little surprised that the Council of State is standing on this pulpit and says that there is no power problem in Central Norway. We have so many evidences that at least the vast majority of those living in the region perceive it as a power crisis, and a unanimous council recently sent a letter to the Council of State on 19 January concluding that the power situation in Central Norway is unsustainable. We're going to be glad that some of the powerful industries have been shut down in the last few years. Otherwise the situation would have been far, far worse than it is today. Some claim that saving can correct this. The right fully agrees that saving energy is an important part of the future, but we have no faith that saving energy can remedy the power situation in Middle Norway, especially in the coming years. I don't think it's meant to talk about the snow that fell last year – we probably all have a certain responsibility for what happened earlier. But at least for the last five years, we've had a constant dialogue where we've hoped to find a solution to this. Two years ago, the then state councillor Haga said that this is what we're going to deal with, and we're going to do something about this. She reduced a sample. We had a meeting last Monday with some of the people in the sample, and they confirmed that the mandate had been completed, but nothing else happened. That is very regrettable. What's happening now has a big impact on the activity in Central Norway. Not enough to hit the current industry, and that it affects individuals: Norwegian Forest lost between 600,000 and 700,000 kroner last Monday, because due to untenable power and if the electricity price passed 70 cents, they had to shut down. It cost them between 600,000 and 700000 kroner. Personally, I have a farm use, and the last electricity bill was NOK 18 000. It's almost twice the normal, and I would think that a councillor with the experience he has from a previous office knows that agriculture doesn't have all the world's income to cover so much costs. What I'm most afraid of is the long-term effect. As I say, it affects those who operate today – some who lose the financial capacity to continue. But what's even more important is that many people who now think about establishing in central Norway, give up, because they see that it's way ahead of time before there's any similarity between the power price there and the power price elsewhere. In the place where I live, there's a lot of green nutrition, and it had an extra 5 million. kr in relation to production in the East. It is clear that if it had been equal to the electricity price in all of Norway, the competition would have been the same. But when there is one area that is heavily burdened in relation to other areas, it becomes totally unsustainable. We are very concerned about the impact on business throughout Middle Norway if nothing is done. We hope that the power line Fardal – Örskog will be laid as soon as possible. Now I heard – if I heard correctly – the Council of State say ‘if it is built’. I sincerely hope that it will be built, because there does not seem to be any particular other solution in the short term. In the meantime, I sincerely hope that when the impact is as great as it is, it must be seen as a crisis, and then it must be possible to use other energy sources for a shorter period, although that energy is not all the world's green. A lot of energy is produced in that way in the rest of Europe — and there is actually much more polluting industry there. We really hope that the Council of State takes the matter seriously and again tries to find a short-term solution, because there is a short-term solution we are talking about here – if not the impact is great for Middle Norway.
ParlaMint-NO_2010-02-11.ana.ud2474e1944	I must admit that I am disappointed with the missing signals of the region that have the great challenges that have been discussed now and that many have repeated. We see that the regional powers in More and Romesdal and Trøndelag take this seriously. They've been working actively and they've started programs to help solve the power crisis that we're seeing, but we can't see that the same commitment is in place with central government powers, which could have helped to realize these projects. It's very disappointing to my mind. What we see is that when it comes to the energy needs that we have today, we can get a sub-coverage, and the probability of rationalization increases. We also know that the Worm Lange project is going to enter Phase 2, where one is going to run a compression program to increase the pressure in the wells to absorb more gas. This will require large energy resources. So we see in a way that there are larger and larger demands for delivery, while production can't in any way follow. It's disappointing that we can't make any more concrete and more visible solutions. I note that the Council of State has a list of electricity prices that show that there are minimal variations in price. It's okay, but it doesn't help when prices in periods are up to a level that causes you to shut down, as shown by other speakers. When the representative, Marthinsen, says that we have not left the market to sort out the energy situation in Middle Norway, it is a direct mistake. That's exactly what happens when a let market lifted the price up to NOK 8-10. Then automatically shutdowns the activity, removes the workspaces, and fears that these workspaces will be permanently lost. I hear the representative Snorre Serigstad Valen standing out as little worried about Middle Norway, and he points out that SV warns against power shortage when a determined to realize the Worm Lange project. That's right. But something about energy scarcity, which he, as a representative of Middle Norway, should be watching, I definitely miss in his post. But he may not want to represent Middle Norway. That's probably his other starting point. The conclusion is that I'm disappointed that we haven't got a clearer signal that we can bring forward and give to the region we represent. It doesn't look very promising.
ParlaMint-NO_2010-02-11.ana.ud2474e1959	All first two explanations: In the case of letters sent from the interpellant, of course I will take it seriously as this case deserves. How the power exchange works is a big and important thing, so I'll follow it up. So the representative of Hofstad Helleland gave me an opportunity to clarify something I'm a little uncertain about how could have been like that, but I find that it has been manufactured as if I have expressed that the Middle Norway situation is not special compared to the situation in Norway. Of course, it is the North that I have been concerned about today. If there's something else in Stortinget's minutes, something strange has happened either on the way out of me or through the record. It's okay to get the opportunity to clarify this, because it's in relation to the North I've talked about the Middle Norway situation. This has probably also been heard clearly today. Then I just have to say that the representatives from the Right in general focus on nothing has been done. I must say that I am amazed that it is possible to make such a claim. I totally disagree with that statement, and I'm going to come back to it a little bit. This debate has released the cat from the bag as regards the environmental party Right. The post that the representative Røbekk Nørve made today is probably some of the most extreme that has been held in this room in recent times on environmental policy. When representatives from the Right in other contexts are concerned with following up climate settlements, concerned with what the Government is not doing, I just think we're going to cut out what has been said from the Parliament's pulpit today, because there was a relatively strong diet. I think it could almost call for a line from the Progress Party in terms of content. My good friend and predecessor Odd Roger Enoksen has been drawn up by more in the debate. It is pleasant, good and fair because he started a lot of work around this, work that has been followed up. Something has also puzzled me in the debate today. I have referred to Statnett's development plans, which are a concrete implementation, concrete action in relation to the work that was started earlier. But what I also think is that the special representative Tenden should perhaps sit down with the said Odd Roger Enoxen and once and for all go through what was not a very big matter in the Oil and Energy Department when the red-green parties took over. When I hear, and I have also over the last period heard the representative from the Left mention how wonderfully far the previous government had come to work on green certificates, I recommend a little conversation with former oil and energy minister Odd Roger Enoxen, and then you might agree on how far that work had actually come. It is possible that even the representative Tenden will get a little surprise. Then I will brag by the representative of Håbrek. I think it was today's best article. I believe that the debate here and the further debate are served by the entrance that the representative, Håbreek, had, to bring forward precisely the nuance that makes the debate well.
ParlaMint-NO_2010-02-11.ana.ud2474e1976	Then there's case no. 5 completed. The cancelation of the cancellation is now scheduled for the negotiations, and a new meeting will be held at 5 p.m. 6:00 p.m.
ParlaMint-NO_2010-02-11.ana.ud2474e2008	At the request of the Church, Education and Research Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. In addition, the President will propose the possibility of a replacement of lines of up to five lines after the intervention by the Council of State within the allocated speaking time. It is also proposed that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-02-11.ana.ud2474e2017	First of all, I would like to thank the Committee for its good cooperation. The background to the case is a proposal from the representatives of the government of Anders Anundsen and Bente Thorsen, where they asked the government not to appeal, possibly to appeal between the state and KA. The Constitutional Issue was specifically assessed by Stortinget in connection with the handling of Ot.prp. No 60 for 2007-2008 on the Law amending the Law on the Information Society Fund, cf. Inner. O. No 79 for 2007-2008. When the State has appealed the verdict in Oslo District Court, this must be seen in the context of the fact that the majority of the Stortinget has joined the assessments of the constitutional question that had been included in the proposition. That's why it's not appropriate to draw things. In a letter dated 29 January 2015. state councillor Aasrud of the Ministry of Renewal, Administration and Church wrote that the Supreme Court’s appeal selection was made on 19 January. has decreed that the State may bring its appeal directly to the Court of Justice. The case preparation for the Supreme Court is now in progress. The case is the framework for the treatment of the Supreme Court in plenary on Monday 12 April 2010. There are seen of four days for the treatment of the case. Of course, the question of compensation cannot be settled until the case is dealt with in the Supreme Court. I have no other comments and I want the Size slider to go in for the setting.
ParlaMint-NO_2010-02-11.ana.ud2474e2032	The information service's fund is made up of large values. Much of the values originate before the Reformation and are thus well documented as values given to the Church, especially through gifts and inheritance. The fund and the use of its resources are protected by the Constitution § 106. The fund is an independent legal entity and the ownership of the fund is unclear. I was in the lucky situation that I was the case rapporteur in the law case which was dealt with here in 2008, and which ended up with a narrow majority agreeing to amend Section 5 of the Information Society Fund Act, so that the Santa Claus directive could be applied to the OVF. There was a strong dispute in Odelstinget about the amendment of the law and the instructions were contrary to the Constitution § 106 or not. A narrow majority, consisting of the government parties, based their conclusion on two of the political promises of the government parties in the election campaign, without particular regard to the limitations of the Constitution. There are also questions about whether it was actually a majority in Odelstingen for the amendment of the law. If the government parties had not been bound by orders from the Government, the outcome in the Chamber might have been different, and it is worth noting in a matter where the Constitution is the subject. During the debate on Innst. S. No 254 for 2007-2008 to obtain the opinion of the Supreme Court in relation to the constitutionality of the amendment of the law, the representative of the government parties, Øystein Djupedal, among others.\t\t You can change the settings of the grid. \t\t \t ‘If it was later to prove that this was not correct, it would be the Supreme Court which in that case would say that the Stortinget was not on a secure legal basis. I would be sorry for that, but that will be the future – and not now.” This indicates that government parties considered it to be up to the Supreme Court to resolve the constitutional issue in retrospect. During the examination of the law itself, the Church, Education and Research Committee conducted open consultations. Of the legal expertise that was heard, only the government's own lawyers believed that the law amendment was in accordance with the Constitution. Oslo District Court has ruled in the matter. The church employers' and interest groups raised a case against the state, and the judgment was given. The State completely lost the case and was ordered to pay the counterparty's costs. The Party considers that there will be an advantage for the State and, not least, for the Information Society Fund if there is a lack of additional cost-intensive legal rounds to this effect. One has seen an increasing tendency for some legal environments to choose to interpret the provisions of the Constitution in accordance with the majority understanding of the Storting at all times. Supreme Court has contributed to this development, and there is a remarkable and very unfortunate tradition that is hardly a formal basis for sticking to it. Changes to the Constitution require a two-thirds majority in the Stortinget. Using an interpretation of the Basic Law on the basis of a view shared by a simple majority in the Stortinget would be contrary to the spirit of the Basic Law and would largely disregard the purpose of the Basic Law § 112 on important issues. Professor Eivind Smith writes in his new book, “Constitutional Democracy”, on page 368: ‘Constitutional democracy must maintain that legal rules are in force until they are formally amended. [[and a country of law]] In the constitutional field, the basic law must be based on the principle that the basic law is amended by a decision taken pursuant to § 112, not by opinions in the preparatory work of ordinary laws.» It is, of course, necessary to note that there would not have been anything in the way of applying the Santa Claus directive to the OVF, but in order to do so, a person would have to go the way of changing the constitution. There will be no shortcut to change the Constitution. It should be a goal for this house – and to the extent also for the Supreme Court – that the position of the Constitution is not impaired. If the Constitution is to maintain a strong position in Norwegian policy and justice, respect for clear constitutional provisions must be maintained. Unfortunately, the majority of the population did not have the basic law's interest in the back of their mind when the law was passed in 2008. I feel confident that the Norwegian Supreme Court is conscious of its responsibility and will assess the matter when it ends there – if our proposal is not adopted – on a free legal basis, in the same way that Oslo District Court did. The information service fund has already incurred significant losses. The government parties argued in their argument during the law debate that the OVF would not suffer financial loss as a result of the law decision. History shows that this has not been followed up, and that the losses to OVF are very large, and are growing. No thoughts have been put forward about how to compensate OVF, and the only compensation that will be significant is that the loss is replaced crown by crown. It is therefore strange that the parties do not support proposal No. 1 in the position, because it is in reality in line with the then minister of the church said both to the OVF and to the Stortinget. I record that promises go quickly to date, and it is also worth noting for the Supreme Court. I would like to address the suggestions contained in the vote, on which the Progress Party stands alone or with others.
ParlaMint-NO_2010-02-11.ana.ud2474e2068	The representative Anders Anundsen has taken up the suggestions he referred to.
ParlaMint-NO_2010-02-11.ana.ud2474e2071	Now there have been two good posts, one from the case rapporteur and not least one from the previous speaker who explained well and thoroughly the content and background of this case. That is why this is a matter that today does not require the big debate. Here, there are clear distinctions between the political blocks. The opposition parties have been united in their reference to the illegality of intervention in the values of the fund, as adopted by the majority in the Santa Claus directive, and this has been followed up by a requirement to leave this case in place. The government clearly lost the first round of the legal system, which showed that the minority on the Stortinget – the opposition parties – was right. When the government announced that they would appeal the case, it was a natural reaction to follow up this through the proposal that was promoted in this case. As I said, the opposition has been united in the whole process, but at the time of delivery, one will still see from the papers that there was not an overall opposition that would maintain the requirement to pull the anchor. When the date for treatment in the Supreme Court was set, one could say that it is just as good to get the whole thing settled – then we will finish that case. However, the right-wing party will vote in favour of the proposal to draw the anchor when voting here today in the Chamber. We do that in order to be consistent and highlight our primary position that this matter should never have been in the legal system. It is well connected with the proposal that is common to the Progress Party, the Christian People's Party, the Left and the Right, in which we ask the Government to make proposals on how to compensate the Information Society's fund for already a little loss as a result of the Santa Claus directive.
ParlaMint-NO_2010-02-11.ana.ud2474e2084	The issue of the Santa Claus directive has been a very special matter. Those who have attached land belonging to the fund, as opposed to many other landowners in the country, were granted a significant discount by the Government, a discount from which they can again reap a significant gain if it is realised by a subsequent sale of the property. In this way, the Government took values from the community and gave them to individuals. It's allowed to be raw, but then you should be it with your own money. Taking away from local child and youth work, taking from the refurbishment of chaplains, taking from those who perform a service in the Norwegian Church – that is, from the community – and giving to private people, is not generosity. The state then also completely lost the case in the main proceedings and was sentenced to 1.45 million. kr in the costs of the case. The Oslo District Court gave this support to the minority in Stortinget, who believed that the instructions given in the amendment were contrary to the Basic Law § 106. It is not surprising that the state was in a clear defeat, with the hearing that the committee had when the case was in the Storting, with the unusually clear opinions of very prominent lawyers and with the reservations that the Ministry of Justice itself took. An implementation of the Santa Claus Guide means that the Fund’s values will be reduced by an estimated DKK 1.1 billion. In addition, annual fastening charges and fixed income will be reduced by 20 to 25 million. kr. It's not small money. We are therefore in favour of the proposal to ask the Government to make proposals on how to compensate the Information Society Fund for already a little loss as a result of the Santa Claus directive. I have seen in the media that the Progress Party is trying to retort the lack of support for the proposal to ask the Government to pull the anchor. No one doubts the position of the Christian People's Party in this matter. We strongly opposed the adoption of the empty directive. We asked the government not to allow the case to be brought to a successful conclusion by appeal at the time when the verdict from the District Court was available. We note that the case is now under consideration at the Supreme Court in April. I still think that the government should have better taken notice of the loss of the property rather than go on a click in the Supreme Court. As I said, I see that the Progress Party is trying to score a little cheap points in a case where there has been full agreement between the opposition parties. We are therefore going to – and we are doing that so that there is not the slightest doubt about what the Christian People's Party believes – to support the proposals of the Progress Party that have been addressed in this matter today.
