ParlaMint-NO_2010-03-03.ana.ud1924e26	The representative, Per-Willy Amundsen, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-03.ana.ud1924e1032	Thanks for the answer, which contained a lesson you've heard before. Let me repeat and simplify and clarify the problem. When the Government, on the one hand, does its best to mitigate road traffic and, at the same time, to finance more of the roads and public transport with revenues from the cars using the roads: how will the funding go up? I'm glad the council used an example from Bergen. I can use another one. Fewer cars pass the toll stations. In January 2010, traffic is 12.5 pst. lower than January 2008 – in two years, monthly traffic is 12.5 pst. lower. In pure crowns, the January figure represents an income reduction of more than 2.5 million. kr. We also know from other schemes of toll financing that the revenue is failing. What is the government's financial regulation when less traffic generates less revenue?
ParlaMint-NO_2010-03-03.ana.ud1924e1041	For example, Bergen: The representative Sortevik will have the opportunity to get involved in it further when we present our proposal for a proposal on the continuation of the Bergen programme. Or I have to say that I'm registering a slightly special use of words here. It is said that the government is chasing the drivers. It is said that my answer is a lesson that the representative Sortevik has ‘heard before’. I think that I have done well for what was the question: ‘How will the government ensure the financing of the necessary transport system in the big cities?’ So there might be a change in statements here. That means we'll take that up in case, but we can't base our calculations on one month.
ParlaMint-NO_2010-03-03.ana.ud1924e1050	Thanks for the answer. With all due respect for the Council of State, I still feel that we're a bit away from what's at the heart of the issue, namely that there's increasing toll funding while the Government is doing its best to reduce traffic. Toll financing revenue is necessarily linked to the traffic base that has passed the various bombs and through the various rings. That's what I'm trying to focus on. When you find that traffic-repudiation measures, which the Government is very busy with, have a certain effect, the result is that there will be less revenue. So you can either postpone projects, you can increase the toll cost per. the passage, the extension of the tolling period, or the introduction of increased State resources. There is at least one door for a possible answer.
ParlaMint-NO_2010-03-03.ana.ud1924e1057	The representative, Mr Sortevik, asks a good question when asking for a closer look at the balances to be made. On the one hand, in urban areas there is a need for health, environment and emergence to reduce traffic. It is then right that toll financing can also be reduced. Toll financing: The times the government follows it, it is by local initiative. The answer must be that there is still a split layer, also with changed presets.
ParlaMint-NO_2010-03-03.ana.ud1924e1067	The question is: ‘The population growth in Akershus is strongly increasing. This leads to large commuter traffic towards Oslo, a day commuter that we want to transfer to public transport for reasons of the environment and accessibility. In the western region there will be frequent train departures when the new double track opens. In order for people to choose to travel by train, easy access parking must be built. How many new entry parking spaces in Asker and Bærum will be completed when the new double track opens in a short time?’
ParlaMint-NO_2010-03-03.ana.ud1924e1076	I share the view that the representative Tende here targets. The population of Akershus is growing, and we must have a collective system that can take care of this growth. In addition, a greater proportion of traffic has to be provided with collective means of transport for environmental and road safety purposes. The development of new double tracks in the Western region is a particularly important measure to get more people to take the train. For many of the travelers, putting the car away at the station will be a great advantage. In Asker and Bærum municipalities, the Railway Agency now has a total of 998 parking spaces. There are also municipal and private places. In the case of Lysaker station, 50 seats shall be worked in the autumn. In addition, the Railway Agency and the Bærum Municipality work with a regulatory plan for an additional 70 sites on the site next to which the Railway Agency also owns. One aims at financing through Oslopackak 2. An installation shall be built for the simultaneous reversion of three trains at Hövik station. The station must be completely rebuilt, and there are plans to refurbish about 100 entrance parking spaces at the station. In addition to this, the Railway Agency is seeking to convert 80 places such as Rome Property under the bus terminal in Sandvika to an entrance parking lot. All in all, this would give 300 new places to commuters.
ParlaMint-NO_2010-03-03.ana.ud1924e1093	I thank the Council of State for the answer. Former Minister of Transport Liv Signe Navarsete often used the Stockholm region as an example of a success area, because they had imposed a cash-time charge of DKK 20 – as opposed to the bombing in the western region, where they pay DKK 40 per year. Pass-by. But we're going to leave it at this point. I was in Stockholm and visited the elected representatives there, and they said that the success in the Stockholm region was due to the fact that all the entrance parking spaces were right before the rush time charge was introduced. My question to the Council of State is, Is this something the Council of State is familiar with?
ParlaMint-NO_2010-03-03.ana.ud1924e1102	This is information that I have not had the opportunity to go into at this point in time, but that will be important in the evaluations that are being done locally in the urban areas where they are now discussing restrictions on car traffic. What we already know is that a commitment to the delimitation of car traffic is a good collective offer. Then I've been so busy equipping the cities with different tools that they can choose from locally. I see that there is a good tip about parking spaces, and I want to stress that the railway works have an involvement in this field, as I pointed out in my first answer.
ParlaMint-NO_2010-03-03.ana.ud1924e1107	The background to this question is an overview in the evening that shows that at several of the train stations it is simply not intended for new access parking spaces. Now I hear the Council of State say that 300 new sites are to be built. So there's been a local media survey that in 20 years' time there'll be 200,000 inhabitants in the western region, and then my question is: is the Council satisfied with the 300 places that are now being built? Or will she be a driver for the Railway Station to come up with more money and get more speed in the development of entrance parking spaces?
ParlaMint-NO_2010-03-03.ana.ud1924e1112	I want to be in agreement with the representative's tendency that 300 new places will run out little in 20 years, giving it growth that is now expected. Today, the Railway Agency runs over 998 and then there are municipal and private places. The railway station is responsible for the existence of a large number of parking spaces at the stations. They have surveyed all the stations in Asker and Bærum, and they have identified the need for increased parking capacity. The railway works may own the premises themselves or rent them from others, usually NSB’s subsidiary Rome Property AS. The construction of the sites is usually a spice layer with municipality, county municipality and Vegvesenet. I see that there is reason to have added attention to this field in the future.
ParlaMint-NO_2010-03-03.ana.ud1924e1120	«Health Nord enters its structural plan to tear down the hospital in Hammerfest and Kirkenes and then build new hospitals. Over many years, there has been a major change in the housing pattern in Finnmark. In such a hospital structure process, where an estimated SEK 2.5 billion is to be invested, it should be natural for Health Nord to carry out an investigation and structural assessment to ensure that the Finnmark population is provided with the best possible health care and that Health Nord is able to operate financially. What will the Council of State do to ensure this?’
ParlaMint-NO_2010-03-03.ana.ud1924e1127	In the Soria Moria Declaration, the Government considers that today’s decentralised hospital services should be maintained. At the same time, it opens up the possibility for some hospitals to do work tasks other than today, including: as a result of the cooperation reform. I have notified the Stortinget that the national health and care plan will be submitted in 2011. The plan shall be an important instrument for the realisation and further development of national health and care policies and for the concrete implementation of the cooperation reform. The future role of local hospitals will have a natural place in the plan. Furthermore, in the 2010 mission papers of regional health companies, I have pointed out that there is a need to continue the development and conversion of the provision of specialist health services. I am aware that several regional health companies have started such processes in order to develop and convert specialist healthcare. This also applies to Health Nord, which now has proposals for a strategy to further develop local hospital facilities for consultation. Health Nord will then present a case for its board of directors proposing a strategy for future local hospital functions – and the location of decentralised specialist health services. In this context, it is important to stress that specialist health services do not necessarily need to be located in traditional hospital buildings. Alta Municipality has been a good example for many years – through the so-called Alta Model – of how it is possible to provide good specialist health services without doing so in ordinary hospital buildings. Localisation of future services will not only be based on changes in the pattern of residence – which Fredriksen’s representative is concerned about. Ageing composition in the population, technological development, communication and transport will be central. Communication and transport are not least important in a vast state such as Finnmark. Some areas in Finnmark face challenging communication challenges, and alternative transport options are very poor to travel to another health service outside the county — if the situation so requires. This will be the theme of the future strategy for local hospital functions in Finnmark. I have great confidence that the strategic work now being done in Health Nord will be carried out in a way that will ensure the citizens of Finnmark a good health offer in the future.
ParlaMint-NO_2010-03-03.ana.ud1924e1140	I thank you for the answer that I received. It is true that the demography of Finnmark has changed significantly over the past 30 years. We experience deportation on the coast, and we also experience that there are some growing cities. Alta is the city that has been deciduous most in growth, and also has the youngest population composition. It's likely that what's happening today will continue into the future. At the same time, more and more operations are being carried out outside the county, as healthcare is becoming more and more specialised. This suggests that we in Finnmark must put in place emergency preparedness, maternity care and rehabilitation that will provide the largest possible proportion of the population. My question to the Council of State was, what will she do to take care of this?
ParlaMint-NO_2010-03-03.ana.ud1924e1149	It is the regional health business that has responsibility in its region to provide the population with adequate, sound and good health services. I am very concerned that you should also have it in Finnmark. Finnmark was one of the first places I went to as a state council, and I was very impressed by how, despite long distances and a demanding housing structure, one has managed to have a good health offer for the population. So I am absolutely convinced that Health Nord will take into account the changes that have occurred in the Alta region and assess whether there is a need for reinforcements. But I would also like to stress that when we talk about emergency services, it's everything from ambulances or helicopters to the most specialised hospital.
ParlaMint-NO_2010-03-03.ana.ud1924e1154	In fact, related to both Hammerfest, Alta and Kirkenes, it is clear to my eyes that there is a great need to put in place an emergency hospital with an emergency facility, a maternity ward and not least rehabilitation. The state council here says that the Health Nord government is going to make this assessment, stands in stark contrast to what her own State Secretary says when he says that the hospital structure in Finnmark is locked. What you're looking for in an investigation is to put in place both knowledge and understanding of the situation. I would like to remind you that the Prime Minister here 14 days ago just underlined the need to put in place knowledge and competence to do the most important societal action. Is it the case that we should deal with the Prime Minister's wish, or should we deal with the Secretary of State's wish that the hospital structure be locked?
ParlaMint-NO_2010-03-03.ana.ud1924e1161	When we say that the hospital structure in Finnmark is fixed, it is also assumed that there have been speculations about whether we should make changes in Finnmark. I don't think that's the basis. There's a long distance between Hammerfest and Kirkenes, as the representative very well knows. Therefore, there is a need to maintain two local hospitals in Finnmark, although the population is not as large as elsewhere. So it's important that we look at the geography in that context. I'm very busy learning and acquiring knowledge by traveling around. I've done the same in Finnmark. And like I said, Finnmark was the first place I went. But I also trust that Health Nord has a good dialogue with the people of Finnmark and Health Finnmark to see which structure is the best. If it's important to build up functions in Alta, it will be assessed. The situation in Alta will certainly be part of the overall assessment.
ParlaMint-NO_2010-03-03.ana.ud1924e1171	I have the pleasure to ask the following questions: ‘Since New Year, many patients have experienced the new travel reimbursement scheme as inaccessible and difficult. Despite the improvement measures announced, this remains a major problem for many. Will the Council of State take immediate action to reduce the waiting time for reimbursement of travel expenses and make the service more accessible?’
ParlaMint-NO_2010-03-03.ana.ud1924e1180	This is a valid question. However, it is the regional health companies that are responsible for travel to and from research and treatment in the municipal and specialist health services. The last part of the administrative task of dealing with reimbursement of travel expenses was transferred from Nav to the regional health establishments from 1 January this year. The basis is now for a comprehensive, equivalent and good management of the provision of specialist healthcare to the population. The transfer of administrative responsibility was planned and prepared in good time before 1 January of this year. Good cooperation was established with Nav, and both user committees and user organisations were involved. The new management system has established new organisational units and developed IT systems and solutions for public information and guidance. This has been done in order to establish effective solutions to ensure rapid processing, easy access to services and to provide good service to the public. Information material has been sent out, and a telephone number of your own has been created and an Internet page of your own. The application form for reimbursement is based on the form previously used by Nav. The patient should submit the form himself, and for most people it will be easier to send it in than to have to meet up with the Nav office. Unfortunately, in the initial phase, the application procedure was marked by far more applications than planned. On average, 54 pst came in. more applications in the period from the start of 1 September 2009 and the end of the year than it did in the same period of the previous year, and in December 2009 the application base was almost twice as large as in December 2008. Regional health enterprises have taken this situation very seriously: staffing has been strengthened, employees are working shifts, changes have been made to the treatment system, procedures have been simplified, telephone services and other communication measures have been strengthened. However, I understand that it may take some time to get the full effect of the measures, so that this delay is collected. The aim is that the procedure should be extended for two to three weeks, that the application form become more user-friendly, and that patients should receive a more adapted and individualised treatment.
ParlaMint-NO_2010-03-03.ana.ud1924e1193	I would like to thank the Council of State for the answer and, to the extent that a careful admission is made, that the scheme may not have worked well enough from the start, because, as the Council of State points out, it was a transitional phase from September to January. But many have turned to me and informed that the waiting time is up to eight weeks, on average six to seven weeks, especially in Health SouthEast. What might be particularly challenging is that for those people who have a difficult economy, large travel expenses that they don't get reimbursed in a couple of months, in the worst case, can mean that they can't buy the food they want, or pay the rent they had to pay. So actually, I would like the Council of State to bring down the waiting time immediately to consider seeing if one could use the Nav, taking Nav for help, in the phase that is a bit critical right now. Is there anything the Council of State could consider?
ParlaMint-NO_2010-03-03.ana.ud1924e1198	I can't see that it's going to be relevant to use Nav now, but I'm very busy with these other tools, that we've put on full-day staffing – that shifts are being done, and that one has intensified the information and service to the population and to the public. But I have a great understanding that it is felt that it is very difficult to wait as many weeks to get a refund as you have spent. The Ministry has closely followed up with the project office that is working on this. It was thought that this would be predictable, because you had experience in reimbursement for patient travel from the past, but the big challenge here was that the application bench turned out to be so much larger, it increased by 54 pst. There's one of the things that makes us have a situation with some queue.
ParlaMint-NO_2010-03-03.ana.ud1924e1203	I am so glad that the Council of State has that focus. The Internet and telephone are one thing, and it will be easy for both the Council of State and I to handle, but many of the feedback I have received just seems to be hard to find. We were followers of users meeting one door, or one person to turn to, but to get reimbursement for patient treatment, one should turn to Nav, and then there is reimbursement of patient travel that can be challenging in itself. Doesn't the Council see that it can be difficult for some people to rely so much on the Internet and telephone, because one then doesn't have the water, to be able to turn to a living person when one needs help?
ParlaMint-NO_2010-03-03.ana.ud1924e1210	I have a lot of understanding that when we talk about the Internet, it can be demanding for a lot of people. But when we're talking about the phone, there's something most people can deal with, and we've tried to simplify this by creating their own phone number, so those who need it can get help and guidance. There is one form to be used, we have tried to simplify it, it has to be sent in, and then you have to get your money back. But what I have a lot of understanding for, and that's really what I understand is the basis for the whole question, is just the problem that people have to wait a long time for money that they should have had back. We're serious about this, and we're doing what we can to improve the situation, so that people get the offer that they're entitled to.
ParlaMint-NO_2010-03-03.ana.ud1924e1225	This question has been postponed to the next Question Time.
ParlaMint-NO_2010-03-03.ana.ud1924e1231	I have the following questions for the Minister of Justice: ‘The Minister of Justice has for a long time boasted of the government’s commitment to the police. In the Telemark police district, full employment stops have been introduced, while only in the Telemark police district, the number of police officers has been reduced by 20 in a short time, which is in stark contrast to the promise of more and more visible police. The job stop means that young policemen don't get a job. Is the Council of State satisfied with this development and, where appropriate, what will the Council of State do to strengthen the police here?’
ParlaMint-NO_2010-03-03.ana.ud1924e1240	There is reason to be very satisfied with the government's commitment to the police. In both this and the previous period, the government has significantly increased police budgets. We are working all the time to provide the police with resources and framework conditions that enable them to carry out their tasks in a good way. Since the change of government, the police budget has increased from DKK 8.7 billion in 2006 – we took over after the bourgeois budgets together with the Advance Party – to DKK 11.6 billion in 2010. This is a growth of SEK 2.9 billion – 32.8 pst. In 2010, that is, the current year, the budget was increased by a total of NOK 1.3 billion. If you subtract from price and salary adjustments, the growth is close to NOK 1.2 billion. I've checked historically – this is the biggest bet of the time on the Norwegian police. In the action package last year, 460 civil acts were set up in the police and relief service. There are about 280 police officers who are released for operational work and who are distributed across districts. In addition, as part of the new special agreement on police working time, which entered into force on 1 October 2009, an agreement was made to increase the working time of many police officers by one hour. This results in an estimated resource increase of 230 years. Overall, this gives — only these two measures — a significant rise for the police, compared with 700 years of work. The police budget is allocated according to a distribution model using a number of criteria to maximise the correct distribution between police districts. When the police district receives its annual framework allocation, the management of the district is responsible for allocating resources so that the population is provided with the best possible police service. Telemark police districts use approx. 84 pst. of the allocated budget for remuneration. Calculations for police reform 2000, which began on 1 January 2002, showed that the police district had about a quarter of its population. 23 annual works more than the resource allocation model were added. Telemark police districts also face a challenge in that the district has prioritised the acquisition of new premises and continues to pay rent for its former premises. I am aware that the district is currently looking at the possibilities of re-priorities that provide a better balance between wage and other operating costs. Telemark police district has received its proportional share of the total budget, and the district budget has increased by 21.6 p.m., 48 million. kr, from 2006 to 2010. From 2009 to 2010, the budget has increased from 253.3 million. NOK 272.4 million. kr, an increase of 7.9 pst. This is one of the largest growth in the number of millions ever, also for Telemark. Telemark police district received 7.3 million. kr, corresponding to 14 annual works, in the context of the action package presented in 2009. This has continued in 2010 with full-year effects. In addition, compensation granted by the police district in connection with the special agreement on working time arrangements amounts to 11 million. kr, around seven annual works, for 2010.
ParlaMint-NO_2010-03-03.ana.ud1924e1257	I record that the Council of State says that there is reason to be ‘very satisfied’. Yes, then I record that the Council of State is “very satisfied” with having 320 fewer policemen around the country, because these are the actual facts, these are the feedback you get around in the police districts, these are the feedback you get from the police officers. So that's the very opposite of what the Council of States is telling us today, and that's what the Council of States said in the presentation of the 2010 State Budget, when he stood up and promised 1,000 new annual works to the Police and National Assembly. I don't think this is anything to be proud of. You have to talk about heads and ears, but you know that there are paychecks and other things that make things happen. I want to challenge the Council of State, because the consequence in Telemark is that young policemen who have graduated are sent to Nav and unemployment instead of actually doing crime-fighting work. I want to challenge the Council of State whether it is not better to use the resources to do crime prevention work than to send new trainees on unemployment benefits.
ParlaMint-NO_2010-03-03.ana.ud1924e1264	The answer is yes. We train an incredible number of policemen. We have tripled the recording in relation to what was the case when the Progress Party created its budgets together with the Bondevik government, from 240 a.m. to now over 700. It is clearly our ambition that these policemen should get to work. Anything else would be completely meaningless. We will therefore now follow the situation in the police districts very closely, so that they get a job. That's point one. The second thing – and I think it is worth stressing – is that the figures that have now appeared in the press, I think the Stortinget should also use with some caution. We are now following a lot of these figures, and it may seem that the estimates coming from the police districts are considerably too high. I have said today, among other things: in debate in the media, that when these figures are clear, of course, the Storting should also get them from us.
ParlaMint-NO_2010-03-03.ana.ud1924e1271	I think it is good that the Council of State answers in cash yes to my question. But he follows up on saying that you have ambitions. It doesn't help with ambitions for the police who are actually ready to do a job for society by doing crime prevention work, running crime control. They need a job. They need to be allowed to be policemen, to whom they are trained. It doesn't help to use a lot of resources to educate people if we don't have a job to give them when they're trained, and at least not within an area like this. We know that in Telemark, among others in the summer, and so far in the winter, there is a much higher proportion in the area than is assumed when the Council of State says there are 23 police officers too much. You need these policemen. They are not least needed to maintain order and order. We have major challenges, including: during the summer and during the winter season in winter places. That's why I really hope that the Council of State will stop talking just about ambitions, but actually move on to action, and make sure that the police now sent out to unemployment come back to work, and that we use those resources in a good and sensible way for society, for fighting crime.
ParlaMint-NO_2010-03-03.ana.ud1924e1278	I think it's useful to have ambitions in this field. But at the same time, the red-green government is the government that has tripled the police high school admission, unlike when the Progress Party made budgets with the Bondevik government. The red-green government is also the one who has ever provided the largest police budgets. Money is put on the table, both in terms of obtaining more annual work through the working time contract and being able to get more civilians into service, for example. Recruiters over 45 police officers to work with organised crime — they have the crime of profit, the crime of war, the police of the armed forces, and so on. It's obvious that we need a lot of police force in the future. Then I'll probably wait for something and see how it goes with the coals that are now coming out of the Police College. I am quite convinced that it will be work for them. But you have to assume that you can't necessarily get a job in the first and primary place you want. Policemen need us all over the country.
ParlaMint-NO_2010-03-03.ana.ud1924e1288	Yes, now there are prices and debates about political schools – almost a little too many successors here too, as was the case with too many political films. But that's not what the question is about here: ‘The acquisition of new life-saving helicopters is steadily extending in time. The government has recently decided to extend the lifetime of today's Sea King helicopters until 2020, and the helicopter fleet will be about 50 years old. The decision has prompted the main rescue agencies to send out a joint statement of concern. What is the background for further delay in the procurement process, how does the Council of State assess the notification from the rescue centres, and how will the Council of State ensure an adequate rescue service with today’s helicopter fleet?’»
ParlaMint-NO_2010-03-03.ana.ud1924e1297	After all, the acquisition to which the representative Octay Dahl refers is a comprehensive process that will have an impact over the next 30 to 40 years. New rescue helicopters will lead to a significant upgrade of the Norwegian rescue helicopter service and have ring-effects against many different actors and stakeholders throughout the overall rescue service. Life-saving helicopters are highly advanced and expensive non- shelf tools and therefore require a comprehensive pre-acquisition assessment. There's something of the background that this takes time, it's raised above any doubt. And I'm going to think that the Right-Representative André Oktay Dahl knows that, because this was also dealt with under the previous government, where, among other things. the discussion on the use of the option was ongoing. With regard to the statement that the acquisition process is further delayed, it is important to bear in mind that this is a significant acquisition, even in an economic sense – with costs of a total of several billion DKK. As the responsible State Council, I am therefore concerned that we are acquiring the right helicopters and that the process is being carried out in a proper manner. The process towards such choices must be orderly and provide confidence to all parties involved. I therefore set the quality high – not only for the result, but also for the process. Reducing the quality requirement can have serious consequences, as we saw in the corresponding acquisition in Denmark, where the Danish national audit has been very critical of the process and thought it was going too fast. I will also have an external quality assurance of the choices made before the decision is taken. In the case of concerns from the main rescue centres about a possible need to upgrade today’s Sea King rescue helicopters, this is a situation with which the Ministry of Justice follows very closely and is well known. The Ministry of Justice is therefore in dialogue with the Defence and the Sea King supplier on the possible consequences of a lifetime extension until new rescue helicopters are in place. There will always be difficult balances between the time when reinvestments in old materials are stepped down compared to the time when new materials are coming in, but different measures related to maintaining high preparedness will be assessed. However, it is premature to conclude on what measures this will be. A measure that the Ministry of Justice has already taken is to replace today's heat-seeking camera with a new, modern camera. Recently, nightglasses have also been introduced in all helicopters. These are both significant investments, which help to improve the ability of rescue helicopters to search for missing people. In this context, it is important to bear in mind that from 2005 to 2009, a 24-hour bystander has been established, with doctors at all bases, and that a new base has been opened up in Florø, which is also an important argument for the smooth progress of the procurement process. In other words, the rescue helicopter service has been significantly improved in recent years. Together with a very thorough maintenance programme, this has been combined to ensure an adequate rescue service with today’s helicopter fleet until new rescue helicopters are in place.
ParlaMint-NO_2010-03-03.ana.ud1924e1314	I thank you for your answer. With regard to the concerns of rescue agencies, does the Council of State consider what he says as a guarantee that upgrades will be possible to ensure that the existing helicopters will be fully sound in order to ensure the preparedness we all require until 2020?
ParlaMint-NO_2010-03-03.ana.ud1924e1321	I have a principle approach to political guarantees – often they are of little value when you get far into the future. But you have to guarantee that you do what you can, and just make sure that the fleet that we now have works well in the future. The representative knows, among others: through the last year’s budgetary procedures and proposals — which have been supported by the Right — that significant amounts are being spent on maintenance at Sea King. Many of us are very happy with the Sea King machine, and believe that it is one of the finest things we have in the rescue service. I'm still at it, but I see clearly the need to be able to renew the fleet. At the same time, as I said in my post, finding the intersection – when are we going to start downgrading the maintenance with a view to resetting it? We have great ambitions and hopes to find that particular point.
ParlaMint-NO_2010-03-03.ana.ud1924e1326	I also thank you for that answer. There aren't so many surprising answers coming, because this is a complicated process. The fact that things have gone fast is well to get involved, since one started in a way already with the Fostervoll Committee in 1995. But I'll leave it. I have received some reports that cooperation between the different departments is perceived as not being coordinated with the acquisition of helicopters. It is almost impossible for outsiders to get an overview of the process and the cost picture, and it seems that cooperation between the Ministry of Justice and the Ministry of Defence is not well coordinated. Can the Council of States say something about how he sees the closer cooperation between defence and justice in the financing of both the presence and development of rescue helicopters, because there is a rather central point to get this process on the rails as best as possible – and get a decision as quickly as possible?
ParlaMint-NO_2010-03-03.ana.ud1924e1335	This is an important question, because one of the prerequisites for achieving this is that several actors are able to interact, both in terms of the requirement specification given, the economic situation, etc. – and practical implementation. But I would like to stress that our view in the Ministry of Justice is that the cooperation with the Ministry of Defence in this field has been very good over the last four years, especially as far as the extension we have had of base structure, a new base in Florø – where the defense is doing well – the development of new sites for the rescue services, and now last but not least we saw it also as regards the acquisition of heat-seeking cameras. We also have good and close cooperation at all levels – from the level of office to the level of the State Council – with the Ministry of Defence in particular, but there are also other actors within this, the Ministry of Health and others, so I have to say that I am particularly pleased with that.
ParlaMint-NO_2010-03-03.ana.ud1924e1346	I am delighted to ask the Minister of Justice the following questions: ‘Organised crime is increasingly organised, it is increasing in scope and it is becoming more cross-border. In order to meet these negative developments, broad and well-functioning cooperation by the authorities is essential. In what ways does the Council of State consider that we can best ensure effective cooperation between police, other state agencies and municipalities, so that information, action and follow-up are systematically carried out between them in the fight against organised crime and other socially threatening activities?’
ParlaMint-NO_2010-03-03.ana.ud1924e1355	First of all, I must be allowed to state that I am very pleased that the representative Anders Werp is asking this question, because I know that, as rapporteur in Obere Eiker, the representative just did what we want to motivate other municipalities and rapporteurs to do to combat organised crime – in particular what is related to MC crime. That's why we know that here I'm asked by someone who's an expert in the field. Much of the answer to combating this type of crime lies in the work being done, among other things. did in Upper Eiker. We cannot be blinded by the fact that, when it comes to combating organised crime, the number of police heads is counted and the debate on criminal policy is only a debate on it. It is absolutely essential that we, among other things, The police councils that are now in place, so that more municipalities than the Upper Eiker actually get a look at the local policy instruments that can be used here, whether it be the planning and building law, alcohol law issues, etc., that can be used and must be used to prevent crime. So it's absolutely crucial, especially against the organized crime we see, and that has been most visible in the form of mobile profit crime in recent months, that the police are also equipped to take this. This is why more action has been taken here. I launched a ten-point list of measures in August 2009 to strengthen the fight against such crime and to strengthen coordination within the police. That is why we are strengthening the U.S. police force, Kripos and some selected police districts with as much as 45 posts, which will be in place during this year, preferably in the summer. I also believe it is absolutely essential that we put in place the 'border package' adopted in the State budget, thus strengthening border police control. The DNA reform, which we've been using over 100 million in recent years. kr every year, is also absolutely crucial for catching up this type of crime, in conjunction with the agreement we have now concluded with the European Union on Norwegian participation in the Prüm Agreement, which gives us the opportunity to search for DNA in other countries' databases, which is absolutely vital to meeting organized international crime when we have tracks. And fortunately, we have that in many of the cases. Then I would also like to point out that it is absolutely essential that we establish more bilateral agreements with the country in question. That's where we work with Romania. I met with the Serbian Minister of Justice yesterday and discussed, among other things. the question of compensation transfer, so that the foreign nationals taken here can zone in their home country. It's very difficult, it takes time, but it's a very important part of this. But I will conclude by saying that the criminal policy debate is often concentrated around the police and prisons, and we need to put the search light on getting life into the police councils, so that we get tools locally.
ParlaMint-NO_2010-03-03.ana.ud1924e1368	I thank you for your answer. Governments point to many important things – no doubt about it. The local focus is important, of course, but when we talk about organized crime and how it evolves now, it grows without frontiers. It's increasing. It's getting more advanced. So here it's not least that we also think carefully through the organization from above in society – the overall organisation – to meet this challenge. These environments are increasingly using threats and fears as a means of getting what they want. There are large sums of money inside the picture. The borderline against ordinary business is increasing. So my follow-up question is, what does the Council of State want to do to involve more state agencies outside the police? Because the police can't solve this on their own, we totally agree on that. But what will the Council of State do to involve several state agencies in a systematic, targeted work against organised crime?
ParlaMint-NO_2010-03-03.ana.ud1924e1375	In addition to having a job to do locally, I fully agree that more central government actors must also be involved. We have forums to do that, and I'll mention two things in particular. The first is that cooperation with the customs office is crucial if we are to be able to do something in terms of borderline crime and to intervene with organised crime, especially in relation to drug transport. There, I would not recommend the Stortinget to go in the direction that the Progress Party has taken, by proposing significant cuts in this regard. The second is that we have to go after the money, so the effort that is now being made between the money laundering team in Økokrim and the tax department is absolutely crucial. Getting a better flow of information between these agencies is working on it. It's done a lot, and we see that the number of withdrawals is now increasing to hit the money in the system.
ParlaMint-NO_2010-03-03.ana.ud1924e1384	I also thank you for this answer. Unfortunately, we are very well aware of developments in organised crime. Crime is increasing, as mentioned. This needs to be met widely, and we need to take rapid action – not ad hoc, not project-oriented – to meet what we will call this socially threatening business. However, in a situation where this is known, it is important to ask a critical question to the Minister of Justice: What is it that has limited, or limits the Council of State to taking a broad initiative towards other state agencies – customs is important, tax authorities, Nav – and also municipalities, in order to meet this systematically? Time goes by, and this evolves quickly negatively. Here we have to get on the road with coordinated state action. What limits the Council of State to doing so?
ParlaMint-NO_2010-03-03.ana.ud1924e1393	I don't think there are any particular limitations to taking initiatives towards other state agencies. The initiatives have been taken and must also be taken in the future, in particular in the context of the main projects we have now launched against organised and, in particular, mobile profit-criminalism – the effort force that is about to be established. It is quite clear that the forums in which there is cooperation between tax rates, customs duties and other public bodies are absolutely crucial. Just going into the situation around taxi crime in Oslo shows the need for these agencies to cooperate. So the initiatives taken – there are more coordination groups – and the efforts of the whitewashing team, etc., mentioned in my previous article, are crucial. The government is aiming to present an overall plan on this, which I have notified to the representative Werp in the past, and it is quite clear that several other state actors must be involved here. If not, an effort force based only on police instruments will be ineffective.
ParlaMint-NO_2010-03-03.ana.ud1924e1400	We're now dealing with question 8.
ParlaMint-NO_2010-03-03.ana.ud1924e1406	This question, from the representative Harald T. Nesvik to the Minister for Food and Trade, has been transferred to the Minister for Oil and Energy, who is directing him.
ParlaMint-NO_2010-03-03.ana.ud1924e1409	It would have been desirable if the Minister of Industry had answered that, but I have been told that it is the oil and energy minister who will answer instead. I ask the Minister for Oil and Energy the following questions: ‘The high current prices we see now mean that several companies have either shut down production or are planning to do so in the near future. This makes more export-oriented enterprises that are already struggling economically now seem to be facing an additional economic challenge. Two of the main reasons why we are now in this situation are lack of transmission capacity and too little power generation. What action will the Council of State propose to ensure that no more firms are forced to shut down and lay off their employees?’
