ParlaMint-NO_2010-02-10.ana.ud2182e26	The representative, Mr Sortevik, will make a proposal for a representative.
ParlaMint-NO_2010-02-10.ana.ud2182e866	The question arises of a special situation related to a special winter, and especially of bus-based collective services in Bergen. The deadline for applying for State resources for public transport expires on 15 February, i.e. this month. So far, the government's signals have been very clear that measures the government likes are to be rewarded, and measures the government does not like are to be punished in the form that applications are not met. The purpose of the reward scheme is to stimulate better accessibility, environment and health in major cities by reducing the growth in the need for motorised transport and increasing the number of public travel at the expense of private car travel. But increasing the number of collective trips can be done with positive measures, rewarding measures that clearly reward the user, more frequent departures, direct transport and an extra low price. Will the government contribute to such a scheme, in view of the special situation that not only Bergen, but also other major cities have this winter?
ParlaMint-NO_2010-02-10.ana.ud2182e873	We take the situation in Bergen very seriously. We, several state councils, have also had good contact with the City Council in Bergen about that. Then to the bulwark arrangement. That's where Bergen's been given funds before. Through the climate agreement and also through the 2010 budgetary procedure, the Stortingen have looked at the need to strengthen collective provision on the one hand, but on the other hand they pay the municipalities, the areas, which are applying restrictive measures against car traffic, i.e. a combination of these two measures. It has been said here that municipalities, as seen in the action of restrictive measures, should be given priority.
ParlaMint-NO_2010-02-10.ana.ud2182e880	I thank you again for the answer. Then we are, predictably, back to the whip, with little focus on the carrot. Internationally, buses are recognised as efficient public transport. So-called 'bus rapid transit', fast bus, is in use in many large cities around the world. An arrangement with frequent, direct bus departures in the rush time between the city centre and the Bergen centre has been tested during the period of poor air, and is now being continued. Rushtime busses are better than rushtime charges. So to the city and back, $10 each way, it's going to cost $25 million. kr on an annual basis. Here it is about a spice layer between the municipality of Bergen, which has problems in its municipality and in its centre area, and the county municipality, but it is also necessary to have the state in such a spice layer. Will the Council of State contribute to the financing of rush-time busses in Bergen?
ParlaMint-NO_2010-02-10.ana.ud2182e887	As the representative Sortevik himself said, the deadline for applying for the emoluments is 15 February. Today is the 10th of February. That means there's a dialogue right now between the county council, the municipality of Bergen and the department about this. Then I have to stress one more time: it's the municipalities that are the authority of pollution and that make the local decisions. At the same time, it is important for the Government to contribute to the ability of the municipalities that want to do so to provide better air quality in cities. I am now following with interest the discussions that are taking place in Bergen and in the Hordaland County Municipality on that very point, i.e. both strengthening collective supply and discussing restrictive measures that are in line with the scheme.
ParlaMint-NO_2010-02-10.ana.ud2182e897	‘A new report commissioned by NHO Oslo and Akershus shows that the important route between Oslo and Ski can be completed in 2015. Can the Council of States promise to be a driver for this to happen?’
ParlaMint-NO_2010-02-10.ana.ud2182e904	I'm busy realizing new double track Oslo-Ski as soon as possible. The new double track is one of the largest railway projects in recent times, and many questions have to be addressed before the project is ready to be built. The project will have a major impact on train traffic both locally, regionally and abroad. The new double track will have great positive effects, but during the construction period such a large facility could also potentially have negative consequences for humans, nature and the environment. The Ministry of Transport is concerned that the Railway Agency should ensure a careful construction period with control of costs, progress and consequences for the environment. The new double track Oslo–Ski project is planned to be completed in the National Transport Plan 2010–2019 with start-up in 2013–2014 and completion in 2018–2019. The project will be funded by a separate item separated from the other railway projects on the State budget, cap. 1350, item 30, Investments in the line. A five-six-year construction period has been foreseen, which is technically rational for a project of this size. In order to ensure a defensive and democratic planning process, additional three to four years of planning are needed before the works can start. E.g.: it is very important to carry out thorough basic investigations, so that unnecessary surprises are not encountered in the course of the process. The new train section has a high tunnel share, and it is important that you choose the right driving method, profile and tracing. Good planning is very central to closing. There are enough examples of tunnel projects that have been launched too early. In addition, the introduction to Oslo S will be challenging both in terms of planning and implementation, including: in relation to cultural and ancient memory. New Double Track Oslo-Ski is a very high priority project. Based on the information available to the Ministry of Transport today, I cannot see that it is justified or that there is a basis for overseeing the project in addition to that provided by the National Transport Plan 2010–2019. I have now registered the report provided by the NHO. I'm going to look very carefully at him and have a private meeting on the basis for him, because I want the double track Oslo-Ski to have as fast progress as possible.
ParlaMint-NO_2010-02-10.ana.ud2182e921	I thank the Council of State for the answer, and that she will contact the NHO Oslo and Akershus and study the report carefully. In fact, Ski Station, which is part of the double track, has been repeatedly exposed. The 2007 budget, 2008 and 2009 put the project at risk for different reasons each time. In the election campaign, representatives from the Government and government parties thought it was possible to double-track. It should be that what you say in a choice, and what you do when you get back into government, is related. Again, I thank you for the fact that the Council of State will engage in dialogue with NHO Oslo and Akershus. But what is the reason why she cannot be as offensive as her government partners were in the election campaign?
ParlaMint-NO_2010-02-10.ana.ud2182e930	I don't have an overview of all the details in relation to what was said in the election campaign, but I guess representatives of the red-greens who stuck to the national transport plan, which is a very ambitious national transport plan, where it is planned for the next ten years to spend 322 billion kroner on transportation. So it's the particular planning phase that it's now important in this round to do carefully. This is partly due to difficult basic conditions, and it is a large proportion of tunnels. I know a great responsibility from now on and forward. I know what this double track means. At the same time, I also have to make sure that the most necessary planning is done.
ParlaMint-NO_2010-02-10.ana.ud2182e939	I thank you again for the answer. I record that the Council of State highlights planning processes and good planning in both of its responses. And it's just these considerations that have been left hand in this matter. It is also that there is a lack of planning money in the municipalities. It has helped to shift this double track or have made the municipalities unable to work as quickly as they want. The left in its alternative state budget has set at 50 million. to strengthen the planning work of the municipalities concerned, both in terms of propulsion and quality. Is this something the Council of State might think of supporting or coming back to in the revised?
ParlaMint-NO_2010-02-10.ana.ud2182e948	The Railway Agency has now submitted its proposal for the planned work for this section, and I assume that this will be done as thoroughly and as quickly as planned. And then I'm going to be able to say that after the planning period, there's also a construction period, and if there's any evidence that there's any possibility of additional damage in relation to what's in the national transport plan, then I think it should be taken up in connection with the rolling in four years' time. It is therefore the largest project in the national transport plan, and it is also very important, both for many individuals and for the business community in this area.
ParlaMint-NO_2010-02-10.ana.ud2182e958	I have the following questions for the Minister for Transport: ‘The new route of E18 between Grimstad and Kristiansand has resulted in a significant amount of traffic, especially heavy traffic to and from industry, now using Rv. 402 from Birkeland to new E18 at Storemyr and not Rv. 41 as before. The significant increase in traffic means that children and young people can no longer walk or cycle along the highway from Eigeland to Storemyr in Lillesand. Will the Council of State now take responsibility for the impact of new infrastructure and ensure that European road transport funds are deployed to re-establish the route?’
ParlaMint-NO_2010-02-10.ana.ud2182e967	It is true that there has been a certain increase in traffic on the former rv. 402 between Eigeland and Storemyr. According to a recent traffic census from the State Road Service, the increase is about 500 running gear per day. From the turn of the year, the county has assumed responsibility for this road. Lillesand and Birkenes are part of the Kristiansand region, where the development projects for the next few years will be financed, among others. through the Transport Package for the Kristiansand region. The area and transport selection, the so-called ATP selection, has coordinated local political work, and a number of projects have been undertaken, including: two-way and cycle road projects along fv. 402 between Lillesand and Storemyr. However, the stretch between Eigeland and Storemyr is not a priority. I would like to show that the responsibility for the priorities of the county road network lies with the county council. In this region, good cooperation has been established between municipalities and through the ATP selection and the work on the Transport Package. It is therefore up to the local authorities to give priority to measures along this route.
ParlaMint-NO_2010-02-10.ana.ud2182e976	I thank you for the answer, which confirms that there is a significant increase. It is also important to understand that the type of vehicle that is responsible for this increase makes the traffic situation a number of worse for those travelling along the road route. It is right that the ATP Committee should work on road safety and pedestrian and cycle routes in this region, pointing out that they have not prioritised this route. No, there has been a long and thorough political process in the region to give priority to roads, but then this was not a problem issue. As of 1 January this year, the counties have assumed responsibility for roads, and the state is then left with the main roads. Does not the Council of State not see that it is entirely unreasonable to transfer responsibility for the consequences of the tribal roads to the county and to point back to the lack of priority in a plan created before this occurred?
ParlaMint-NO_2010-02-10.ana.ud2182e985	First, a closer analysis of traffic. It is said that when traffic has increased, there are several road users from Birkenes running E18 and not Rv. 41 to and from Kristiansand. It's the State Road Service that has said this. But heavy traffic is like 10 pst. and has no increase. To the question of transferring responsibility for road: How far do I believe this transfer to a much larger county road network has led to a greater focus both on road maintenance and otherwise on the road network. It also shows our numbers: the county councils got funds over, so they themselves have prioritised transportation beyond what was expected from both the ordinary and the extraordinary resources that were spent.
ParlaMint-NO_2010-02-10.ana.ud2182e992	It's possible I'm too quick in my head bill, but when the traffic has increased by 50 and the heavy traffic is still 10 pst, that means it's increased by 50 in the case of heavy traffic. There is, of course, a significant increase for those who are going along this road. So heavy traffic has increased, and it has made the situation worse. I record that the Council of State still believes that this is a local issue. The rapporteur in Lillesand invited him to a meeting with the Council of State in the autumn – that is, the previous Council of State – and it was then rejected with the background of the current issue and that this is not in the plans of the ATP Committee. Is the Council of State now willing to engage in a dialogue with the rapporteur in Lillesand to see if a solution can be found to this route?
ParlaMint-NO_2010-02-10.ana.ud2182e997	I am busy that it should be a good name throughout the country, and that it should apply to what is now called national roads, county roads and municipal roads. But when it comes to the county road network, the way is to get the best possible cooperation in the region between the municipality and the county municipality. So there's an established cooperation here through what's called the ATP selection. I have many questions about contributing to solutions when there are many road sections in this country. I'm going to be very happy on the day I manage to set up all the national roads, and I also think it's important for me to prioritize my time on the road right there – and then participate in order for the county councils to have funds according to the tasks they have.
ParlaMint-NO_2010-02-10.ana.ud2182e1008	I allow myself to ask the Minister for Transport the following questions: ‘Daily it is approx. five wild game carriages on the roads of Hedmark. This leads to a lot of suffering and often serious damage. What will the Council of State contribute in the short term to reduce the number and extent of damage?’
ParlaMint-NO_2010-02-10.ana.ud2182e1017	About 1 300–1400 moose are killed in traffic every year. Incidents lead to great suffering in the form of injuries and death for animals and humans, as well as material damage. The state road system is, therefore, working systematically to reduce the impact of game. An increasing population of elk and increasing traffic makes this work particularly necessary. A large part of the road network travels through areas with lots of wild animals, and it is not possible to avoid all of these. On the most postponed routes, special measures are being taken in addition to the usual signs. Actions taken include: construction of guideways to make the elk cross the road in selected places, removal of vegetation along the road, etc. to remove the nutrient source of elk winter time and to improve the visibility of drivers. Other measures include feeding and setting up technical solutions to alert road users about game near the road. Viltspruits will also be part of the National Road Safety Action Plan, which will be launched during the spring. In addition to short-term measures, management needs to have knowledge as a basis for the longer-term measures and the impact that everyone wants. A two-year programme to evaluate the impact of measures implemented to avoid the introduction of wild game has been launched by the State Road Service. The evaluation will be completed in the spring of 2010 and will include: provide a basis for recommendations on targeted, urbanised and cost-effective measures.
ParlaMint-NO_2010-02-10.ana.ud2182e1026	I thank the Council of State for the answer. Hedmark is the country with most elk driving. Last year there were 556, and so far this year there are also many. In the question I said that it is approx. five, but a new count actually shows that there are seven game crashes every day in Hedmark, so this is a big problem. But there's no new problem, so it's been for many years, and not just under this government. It almost looks like the number of animals hit is increasing. Of course, there may be a lot of different reasons for that. The game strain may be relatively large right now, but there are also many other reasons for these rides. The council mentioned some things that can be involved and contribute here, but this has been tried for many years, so it has to do something more. I saw in Hamar Arbeiderblad on Tuesday 9 February that there was a researcher who said that one could give NOK 100 000 in fee to the road owners per day. damaged animals. He says that it has happened so little, and that no one takes responsibility. Now someone has to take responsibility, and maybe it can be the weigher.
ParlaMint-NO_2010-02-10.ana.ud2182e1033	In fact, I think that the board of directors are making a significant effort to reduce the number of game buffs, both through concrete measures that I have already mentioned, and by increasing knowledge. More can be done and will be done, but for the work to be completed, we depend on the individual road user to contribute, among other things. by slowing down and being careful in particular postponed areas. So I'd like to ask the State Road Service to take a closer look at the possibilities to better inform the drivers in the particularly exposed areas, such as Hedmark. I think it's a better way to go than to pay a special fee to the owner. But it's quite clear, as the representative here says: Hedmark has a disturbingly large proportion of these on-road runs.
ParlaMint-NO_2010-02-10.ana.ud2182e1040	Once again, I thank the Council of State. I also agree that informing the drivers is one of many possibilities. I see, when I'm driving along the road, that there's a big sign that says that maybe you should stop and sleep for 15 minutes, you should remember to wear your seat belt -- and somewhere there's also a triangle that alerts that it's a moose hazard. But maybe that sign should have been bigger, because it's not just the drivers that belong to the district, that run here, that run on the elk, but there's also a lot of aliens from abroad. For example, many Danes drive on the way to Trysil, and it is clear that some of them are not used to elk at all. We have to do something, and I also agree that maybe that with fines to the weigher is not the right way to do it either. But someone has to take responsibility. It's on the roads it's happening, and then the State Road Service has to get stronger on the track. This isn't a new phenomenon, this has been for many years, and then it doesn't help with one investigation after another. There is a need for proper action and immediate action. That's why I asked what the Council of State will do in the short term.
ParlaMint-NO_2010-02-10.ana.ud2182e1049	I mean that the so-called tenants, the removal of vegetation both to make the elk go another way and to better aim for the drivers, feeding and setting up technical solutions tell them that something is being done. Similarly, one of these two-year programmes has the effect of the measures taken. So I'm going to bring myself back to the state roadway proposal for a bigger sign, maybe even more signs. So I'm going to take this question seriously and ask the State Road Administration to evaluate special measures in Hedmark.
ParlaMint-NO_2010-02-10.ana.ud2182e1059	This is a question that I hope will also be taken seriously: ‘In the National Transport Plan 2010–2019, the development of the national transport hub is an important strategic measure to make national transport work more efficient. The mountains have the potential to develop such a hub on Flesland. There may be a connection between road, rail, Norway’s second largest airport and new port. Connecting rail to aerodromes requires a common understanding of the objectives, strategy and efforts of the Railway Agency and the NSB, respectively. This coordination is lacking. What will the Council of State do to ensure proper coordination between the departments concerned?’
ParlaMint-NO_2010-02-10.ana.ud2182e1068	Let me say first that I thank you for the reminder. I will answer eight questions today, and I believe the answer will show that I take all the questions seriously. So to the answer. In the past, the NSB has announced the launch of a new passenger train between Bergen centrum and Bergen Airport, Flesland. No such plans have been developed or processed in the Railway Station. The Railway Agency is the State Department for the Planning and Construction of Railway Infrastructure. Work is under way on the concept of value added, KVU, for the Bergen region package. The work is rented by the State Road Administration, but with the participation of, among others, The Railway Agency, the Coastal Works Agency, the Municipality of Hordaland and the Municipality of Bergen. The concept evaluation takes into account the transport system throughout the Bergens region, and will also include the collective system. The outcome of the distribution — and its further treatment — will be an important basis for deciding on the further development of the railway system in the Bergen region. The municipality of Bergen has plans for a hamstrung collective track to Flesland. If this is realised, the Railway Works does not see a railway track for passenger traffic only as applicable. The railway works believe that any future passenger train towards Flesland must be seen in conjunction with the ongoing provision of a new port in Bergen. If it is located in Flesland, and it appears that the rail freight handling, which is currently on the Nygårdstangen, should be located together with the future port terminal, passenger traffic on the route will be natural to consider as an additional effect of a new freight track. Work on the distribution of new port location is carried out under the authority of the County Municipality of Hordaland, but is per year. today not completed. The railway works participate in the process, including: in view of a possible railway link. As of today, there are no concrete plans for rail tracks to Flesland. My predecessors, Liv Signe Navarsette, have repeatedly answered questions about this issue. In 2009, I see that the representative Sortevik has received answers to three questions on this topic. I believe that it is now natural to wait for the result of the current KVU for the Bergen region package and to arrange for the location of a new port before deciding whether such work should be started.
ParlaMint-NO_2010-02-10.ana.ud2182e1083	Thanks for the answer. There is a light on exactly what is the challenge in this matter: to go from passive observation of an opportunity for active political action to plan, implement and realise a very good project. All parties are concerned about developing node development. A study by the Transport Economic Institute shows that only a few countries have developed a national policy on urban freight transport. The problems are usually dealt with locally and regionally. There is often a lack of coherence between national, regional and local targets. The NSB, as the Council of State was well aware, has a strategy to develop train-based passenger transport in the major cities. You can get both parts to Flesland on the same track – you can get passenger transport, and you can get freight. Does the Council of State not see that rail to Flesland is an important national project requiring national political governance?
ParlaMint-NO_2010-02-10.ana.ud2182e1090	The progress of the work on KVU, the draft selection inquiry, and KS1, external quality assurance at the early stage of large state investment projects, has been set up in such a way that it will be possible to present the case in the context of the national transport plan notification from 2014 to 2023. But I think it is important that we also listen to the regional debate on this. Then I can say that we are active listeners in the sense of being late yesterday, in a transport and logistics forum that is established as a national liaison body with the Ministry of Transport, this was also a theme with port on Flesland.
ParlaMint-NO_2010-02-10.ana.ud2182e1097	It is important not only to be an active listener, but also a clear pointer and a clear direction driver. Let me rely on that in this project by rail to Flesland there is also a local train from Åsane to Flesland inside. So, given questions earlier here in the hall, it can reduce traffic in Bergen by 20 pst. It is an offer that is a good alternative to car, because there are few stops along the line. For many years, the NSB has been working on train plans both for Åsane and for Flesland, but they are striving to get the Railway Agency as interested as the NSB itself is. Clear leads and clear signals are needed. I don't get any signals about how much time I have left, President – but my question is: Will the Council give green light to project work by rail both to the NSB and to the Railway Agency and not least signal that they have to work together on this which should and should be a joint project?
ParlaMint-NO_2010-02-10.ana.ud2182e1106	I have taken note of the work that is now being done in the municipality of Bergen with a passenger train to Bergen, which one can call a walking collective train, that is, the city track. There is now in the spring session working on a case on the continuation of the Bergen programme. I thought we should also see it in conjunction with a possible future railway to Flesland. Then I have recorded that in several metropolitan areas there is increased focus on combining path and road with port outside the city core itself. That is why we are now following closely the debate that is taking place in Bergen and Hordaland.
ParlaMint-NO_2010-02-10.ana.ud2182e1116	Now I'm sure both the Minister of Transport and I can agree that the most important thing is to get the train on rails and that it will come. But it doesn't always. My question is therefore: ‘NSB has promised compensation to train passengers in the event of delays. The compensation scheme has an estimated cost of between 10 and 20 million. kr. Delays and settings over 30 to 60 minutes are mostly due to conditions beyond the control of the NSB. Does this mean that costs will be passed on to other railway projects?’
ParlaMint-NO_2010-02-10.ana.ud2182e1125	I agree with the heart that at this time there must be one superior goal, and it is that several trains are on the way. I am pleased that the NSB has now established a robust compensation scheme which also includes the train commuters. The new scheme is in line with what was announced after the meeting on 7 January of this year between me and the lease at the NSB and the railway station. A scheme from the EU was mentioned here. I saw no reason to wait for the EU regulation on new passenger rights for passengers by rail to be implemented in Norwegian law. In consultation with the NSB, it was decided that from 1 February 2010, the NSB would introduce a scheme in which travellers will receive 50 pst. price reductions on the ticket price if the train is more than 60 minutes late between Oslo and Bergen, Oslo and Trondheim, Oslo and Kristiansand, Oslo and Stavanger and between Trondheim and Bodø, and more than 30 minutes late for all other passenger trains. In addition, it was decided that the corresponding arrangements should apply to travellers with time tickets, so that the many commuters who travel on a daily basis with the railway would also be compensated for delays in train traffic. I am aware that the NSB may claim compensation for the additional costs that the scheme will incur for the company and that are within the agreement of the State of the Ministry of Transport with the NSB on state purchases. Currently, the NSB has estimated that the scheme will cost 10 million. SEK-20 million. kr on an annual basis based on the train delays up to now. However, the number is highly uncertain, and developments in the operating situation will determine how much such a scheme will cost over time. How to cover additional costs in 2010 can I first decide when the NSB has submitted a fully documented requirement for this year. If it is decided to introduce the scheme on a permanent basis from 2011, I suggest that an estimate of any additional costs will be covered by the leases set for cap. 1351, entry 70 Purchase of passenger transport services by train, in connection with the government’s treatment of the State budget for 2011. In any case, I would not suggest that specific railway projects that are in progress or are scheduled to start up in the current planning period, 2010–2013, will be stopped due to the new compensation scheme that has now been introduced.
ParlaMint-NO_2010-02-10.ana.ud2182e1138	It is very nice that the Council of States is ahead of the EU in some areas. I also hear that for 2010 the department will take the bill. But the NSB will probably make demands for some deposits, and then it's the department that gets the bill. But the responsibility for the cause of these delays lies with the Railway Agency. According to the reports of all the trains that do not arrive and that make people not come to work or not reach kindergarten, it is the railway station that is responsible for these delays. I hear that in any case, the cost will be in the millionth size. So my follow-up question to a Minister for Transport who is already two to three billion in line with the objectives of the national transport plan will continue to be whether it will shift further important measures. Will it be taken from operating funds, or will it be from investments in other sectors, when the Council of State will cover that compensation scheme bill?
ParlaMint-NO_2010-02-10.ana.ud2182e1143	It is true that this has been the cause for decades of neglect in the bulwark. It's also old train equipment. One has made an intensive effort to improve the bulwark of the Railway Agency. There are also given permissions for ordering new train equipment. So my answer is that the costs of this reimbursement scheme should not go beyond other railway projects.
ParlaMint-NO_2010-02-10.ana.ud2182e1150	That's right, and I agree with the Council of State that we need good, long-term solutions – and a government council that dares and wants to show leadership. The purpose of such a compensation scheme should be to provide the NSB and the Railway Agency with an incentive to think user-oriented, to be concerned with the user and that the results have financial consequences. I'm not sure we can achieve it by such a blank mandate from the department. So the question to the Council of State will then be whether this is an attempt to buy free from the responsibility of a railway in crisis and without trust.
ParlaMint-NO_2010-02-10.ana.ud2182e1155	It is not. It's not an attempt to buy free. But it is a contribution to commuters who today feel that they are not getting a product for which they have paid. We can't cover all the costs. It's already an arrangement with taxi costs and other actual expenses, that goes its way. But let me stress when it comes to motivation in the NSB and the Railway Agency: I have met both in the NSB and in the Railway Agency – literally out on trains and tracks – many highly motivated professionals who do as well as they can at a demanding time, at a time when the cold has intensified the problem.
ParlaMint-NO_2010-02-10.ana.ud2182e1165	My question is: ‘On the basis of a proposal from the Right and the Left, a sample was set up to look at the establishment of independent roadside supervision. The majority of the committee considered that independent roadside supervision could provide important help in the field of road safety, as the sample leader Jorunn Ringstad expressed it in the presentation of the report. One year has passed since the sample submitted its report. What is the momentum of this proposal?’
ParlaMint-NO_2010-02-10.ana.ud2182e1174	In St. prp. No 68 for 2006-2007 the Government announced that it would set up a public selection to look at the organisation of supervisory tasks related to the infrastructure in the road sector. Such a selection was dropped in November 2007. The selection presented its report in February 2009, NOU 2009:3 On the safe path. In the conclusion, the selection was divided. A number in the selection tended to establish a state supervisory body independent of the state's road system. A minority in the selection did not enter to create such a supervision. The fact that it is not possible to argue unequivocally that such supervision will increase road safety and therefore is a reasonable use of society's resources, I believe was one of the most important reasons why my predecessor reduced the selection. The report from the selection, with the split setting, was sent on 24 April 2009 for wide audience, with a time limit for comments and recordings on 14 August 2009. The answers from the hearing are not clear given whether it is advisable to establish a supervision of the road infrastructure. The government will, when we have completed our assessments, present the matter to the Stortinget. On the question of progress, my answer would be that I am forced to give our assessments the necessary time, but I have the aim of giving this matter a quick treatment, without being able to set any date.
ParlaMint-NO_2010-02-10.ana.ud2182e1189	I thank the Council of State for the answer. It was rather disappointing that she could not be a little more concrete, because the left believes that it is urgent. The left has justified the need for independent roadside supervision to provide clear roles and responsibilities in order to ensure the safety of road users. I want to draw an example. The State’s Committee on Transport has seen a meeting accident between two vehicle combinations on the E39 for some time. The accident commission points out that tracks in the roadway, steep heels, sharp turns, narrow road and low friction help to explain the course of events and the accident. Do the Council of State agree that better supervision of our roads will enhance road safety for road users? Is the Council satisfied with the stand, as it is today?
ParlaMint-NO_2010-02-10.ana.ud2182e1198	My contact with the State Road Administration has shown that there is a great deal of focus here on the quality of the infrastructure. They know this responsibility. They have recently submitted a comprehensive report that has just seen the search light on road safety. They've been going through all the clocks where there's been death or serious personal injury -- all of them closing out for the last four years -- just to see if there's any special areas, special factors you recognize, that go back in the wake after the accident, and what can be done with it.
ParlaMint-NO_2010-02-10.ana.ud2182e1203	I thank you for your answer. I want to go back a little bit to the first answer, where the Council of State says that the proposal for independent roadside supervision is out for consultation. Now there were a lot of organizations that supported the proposals of the Right and the Left. I can name Trygg Traffic, Road Traffic Information Council, NAF, Transport Companies National Association, Authorised Transport Schools Association, Norway's Lastebileier-Federal Association, No to Front Collisions – and I could continue to ram up. So who the council hears now, I don't know. But when all these organizations, which are genuinely concerned with the safety of our roads, think that is a good proposal, is it not enough for the Council of State to cut through and demonstrate the power of action by setting up independent roadside supervision?
ParlaMint-NO_2010-02-10.ana.ud2182e1210	The deadline for the hearing was 14 August last year. I don't, like Borghild Tenden, have at this point been able to go through all the hearing statements. That's what I'm going to do, and I'm going to highlight the points of view that come here. I understand, with the cut that I've been able to look at so far, that there are different views among the hearing aids. Then I must also be allowed to say that in the state road system, a new action plan for road safety is working – just to stress that improving road safety is taking the most seriously both in the state road system and in the organisations that it is natural for them to cooperate with, and in the ministry. Then we're going to figure out whether own supervision is the road to go, or whether we're going to use those funds directly on road safety measures.
ParlaMint-NO_2010-02-10.ana.ud2182e1220	‘The development of new E39 between Os and the Rådalen in Hordaland is a high priority project in Hordaland, as well as in the national transport plan. The technical solutions and plan clarifications for the project are too far in place. Toll applications have also been processed locally and submitted to the Ministry a long time ago. What is the reason why the work on the landfill project on this very important project seems to have stopped, and what will the Council of State be doing to bring the matter up for major treatment in the spring of 2010?’
ParlaMint-NO_2010-02-10.ana.ud2182e1227	There are several reasons why the project E39 Svegatjørn–Rådal, i.e. between Os and Bergen, is not ready for landfill treatment in spring 2010. The Road Administration is working on quality assurance of the estimate of costs as a basis for external quality assurance, known as KS2. The project comprises tunnels to a large extent, and there is therefore a large surplus of masses. The state Road Service is working on finding a solution for the mass surplus on Bergenssida, where this is not solved. Since the spring/summer 2008 local policy treatment, there has been a cost increase in the project. It is therefore assessed on an ongoing basis whether the local decisions are sufficient to achieve full funding. It is suggested that any additional decisions may be taken in parallel with the external quality assurance. The road system of the State will adapt the preparation of the draft landfill proposal to the progress of the external quality assurance. The Ministry of Transport will submit toll proposals for E39 Svegatjørn–Rådal as soon as there is sufficient clarification. I am aware that this is a project that has been extended. I mean, the process put here doesn't mean that the project stopped.
ParlaMint-NO_2010-02-10.ana.ud2182e1240	I thank you for your answer. In this type of project – and their propositions – there is a so-called administrative interest rate of 6,5 pst. E39 south of Bergen is a big project. We're probably talking about a loan of over $2 billion, and the interest rate means a lot. In today's market, one could bind 15-year-old loans to plus 5 pst. and 10 years on something less than 5 pst. It has been done in many such projects in the past to secure the economy and to provide a better payoff time. Will the Council of State be in favour of this being done in this project as well?
ParlaMint-NO_2010-02-10.ana.ud2182e1247	It's a question that I have to be allowed to come back to. I can't answer yes here and now to change the interest rate in a project that is currently being worked on. But it's right that Halleraker here says that the statements may have changed over time. This is a project that has been scheduled for a longer time.
ParlaMint-NO_2010-02-10.ana.ud2182e1252	I thank you for your answer. It is true that twice this company has submitted toll applications, where the funding is clarified — the last time adjusted in line with the department’s wishes, seven to eight months ago. Now the whole harvest has gone and the winter has gone a long way, without the project being promoted for Stortinget. Nor is it on the list of matters that the Committee should receive in ours. It doesn't say so many other things either, so we have good capacity. The whole of the West is waiting for this project. For 35 years, you've been working on it. This is probably the most important distance between Stavanger and Bergen, which has an old-fashioned standard, with a lot of exits and a lot of traffic. I would like to address a personal question to the Council of State: Will she now personally commit herself to getting the project out and out of the mess in which it has obviously come?
ParlaMint-NO_2010-02-10.ana.ud2182e1261	State councillor Meltveit Kleppa gets to answer as personally as she finds reason.
ParlaMint-NO_2010-02-10.ana.ud2182e1264	My answer is that I have a personal commitment to follow up the progress plan laid down in the National Transport Plan, what is to be clarified in the 2010 budget, what is to be laid down in the 2011 budget and the following years, this four-year period, and also to facilitate the roll-out of the plan. I share Halleraker's description that this is a strong desire for those who are occupied with a better E39. The state's road system says, so far, that it should be much longer when it's in the autumn of 2010. I will do what I can to get ahead of this work.
ParlaMint-NO_2010-02-10.ana.ud2182e1271	Then the Minister of Transport's marathon round is over, and we move on to question 12.
ParlaMint-NO_2010-02-10.ana.ud2182e1277	I allow myself to ask the Minister for Health the following questions: ‘Molde and Kristiansund agreed to retain two hospitals with today’s functional distribution in the future. Molde's new hospitals were planned to be built on this basis, which was also endorsed by Prime Minister Stoltenberg and former Councillor Bjarne Håkon Hanssen. Today there is an unworthy hospital war between the two municipalities, because health center with good help from the department has raised doubts about the distribution of future emergency functions. Will the Council of State confirm the maintenance of promises made by the top government team?’»
