ParlaMint-NO_2010-03-05.ana.ud1660e67	The representative, Jan Tore Sanner, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-05.ana.ud1660e738	I find it difficult to leave the post of the representative of the Progress Party to the last article in the discussion when he says that this government has a negative attitude towards business. What does that show in the Norwegian business community? What shows the functioning of the Norwegian industry in relation to how business can function in our neighbouring countries? Is it not precisely the way in which business operates that shows a significantly better development and situation than what we can reasonably compare ourselves to? It's a fundamental misappropriation. In many contexts, the Progress Party is careful to point out that a person must perceive what is going on – in order to use a common red-green language. What's going on out there? That's not consistent with that. I would have been very happy if you had more of a discussion here in Stortinget about what we want with business in the future. Where are we going to bet, what are we going to do with the different central industries that are going to be key industries in the business world that are needed to secure incomes and welfare values in the future, what are we going to do with the woodworking industry, what are we going to do with the fisheries sector, what are we going to do with our electro-metallurgical industry – the same way that someone in the 1990s discussed what we wanted with our shipping, that is, put the big framework conditions for business, so that one can have predictable framework conditions and see where this ends, given to the political parties that have decisive authority to present the framework conditions. We're going to take the discussion about business, but to say that the government has a negative attitude to business is, of course, fundamentally wrong. It's just to look around how it works with us versus in other countries.
ParlaMint-NO_2010-03-05.ana.ud1660e745	Several have not asked for the floor on case No. 5th@item: inlistbox
ParlaMint-NO_2010-03-05.ana.ud1660e761	At the request of the Financial Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each Party and up to 5 minutes to the Council of State. In addition, the President will propose that there be no change of line, and that those who have to sign on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-03-05.ana.ud1660e768	Tax lists create debate. That's how long it's been. There are many important aspects of conflicting interests, including privacy, privacy and the need for social transparency and control, which need to be taken into account. I would therefore like to begin by thanking the Committee for its factual and good consideration. Those who read the setting will see that there is a cross-political concern about, among other things, Commercialisation and the development of crime around the tax lists, but it is fraught with what kind of solutions and how quickly action needs to be taken. There are long traditions of transparency about tax lists in Norway. Originally, this had a rational and cost-effective justification. There was also a check that the tax lists were ‘outsourced’ to the tax haven’s office. However, new media and, in particular, the Internet have revolutionised the availability of tax lists. From being a local openness, one has ended up in a situation where the Internet makes Norwegian tax and income ratios open, regardless of where one is in the world. It's about extreme transparency that's very problematic about privacy, and that's naively open to those who might be interested in using it for criminal activity. The information can be linked to other databases so that most of the screening and sorting of victims can be made invisible online. I will largely let the other parties explain their views and focus on the Right's vision and solutions below. We don't quite understand why the government parties can't be more concrete once they've moved to a point where they have the same concerns as us in many ways. They should be able to say b once they figure out that they can say a. The right is concerned with openness. We believe it is important that the public should be able to check the functioning of the tax system according to their intention. But this debate can be both better and more informative through anonymous figures that are searchable on a wide range of criteria. Controlling distribution effects and other aspects of the tax system is improved by not being personified. However, the right-hand view of the trends in criminal settings and the fact that reports are obtained from the schoolyard where students rank parental income is very worrying. We believe that a lot of the challenges around tax lists, crime and bullying in school will be solved by introducing similar rules for credit information. The applicant will then be notified of the search and be able to identify the applicant. For the media and others who search with a concrete and legitimate intention, this will hardly be an obstacle, but it will dampen curiosity, neighboring search and crime. I note that the government parties want the same thing, but they are unable to specify what they want, and they are unable to say that it is urgent either. It must be allowed to say that I believe the Minister of Finance, when he comes back to the Storting on this matter, will land on one of the same things that the Right has proposed. He probably doesn't do that until the 2009 equations are published publicly and spread freely around the world. They will create room for many discussions, much bullying and be an eldorado for criminals. It's a shame we have to experience something before something is done. But I hope that the government also believes what they read. They're going to see and read that many of the people who build the country and who provide jobs and lives in Norwegian towns pay more taxes than they earn. The results of Halvorsen’s cutting edge operation against Norwegian ownership will be blurred. The removal of the 80 p.m. rule and the stock discounts will give figures to show that there is a policy for Norwegian future value creation that is unsustainable. If the government parties just think what they're reading, the thinking time they've given themselves by not being specific about what they want in this setting can be of the good. Had it been up to the Right, we would have kept a reasonable, but more limited, transparency about the tax lists. We would have developed a system where anonymous figures are the basis for the tax debate instead of the person-fixed debate we have today. Then we could both raise the level of debate and limit the negative aspects of today's system. I hope the Minister of Finance will deal with this quickly.
ParlaMint-NO_2010-03-05.ana.ud1660e783	Would the representative also include proposals?
ParlaMint-NO_2010-03-05.ana.ud1660e786	Yes, I'm taking up the Right suggestion.
ParlaMint-NO_2010-03-05.ana.ud1660e791	The representative of Gunnar Gundersen has then taken up the proposal he referred to.
ParlaMint-NO_2010-03-05.ana.ud1660e794	Then maybe I can start by saying that it's nice if the previous speaker listens carefully, so he knows the difference in the view of the government parties and what the Right has suggested. The tax system shall ensure income for the community and contribute to fair distribution. Tax is the main fund for financing the welfare state, and the automatic stabilisation of the tax system is strongest if the tax bases correspond well to real values and thus capture changes in consumption, income and profits. Fair distribution considerations are achieved by taxing income and wealth to persons in a progressive way, so that those with the most contribute the most. If we're to make sure that we achieve these goals, we need transparency about how the tax system works out for each of us. It is part of the open democratic society that we have a clear understanding of how resources are distributed in society, and the burden on the individual. A break-up of the tax system requires that the population can be confident that there is an actual burden-sharing, as provided for by the authorities. The easiest way to ensure this is to publish the tax lists. This allows individuals to go in and see that it's true, but not least it also makes it possible for a critical press to conduct an investigation, thus creating a good debate that actually allows people to pay most of their share of the community, even though perhaps not everyone does it with pleasure. Secrets of the result of the equation may provide the basis for speculations about the work of equations in general and on the determination of the equation of individuals or groups of taxpayers. This would be unfortunate in relation to a general understanding of the burden-sharing through the tax system, thus reducing its digestion. Occasionally, there are also questions about the publication of the tax lists in contravention of our obligations under international law. The existence of such a dispute has not been established. These are the good arguments, which mean that the government parties will continue to publish the tax lists in the future. When this is said, there is still reason to dwell on some issues related to this matter. New technologies are often followed up with new ideas on how to use them. We've seen in recent years a development in the use of the tax lists. It has, for example, made offers of different nature where you can purchase specific information from the tax lists, you can get information on tax matters about all the ones you have stored the number on your own mobile phone via SMS services on your phone. This is to the extent that you can collect information yourself through the tax lists, but it will require considerable time and effort for most of us. Another option is to order an application on Facebook, which allows you to automatically get tax information about all your Facebook friends. A third variant is that you can apply to individuals via SMS services, and then information ticks on your phone. Common to this type of offer is that there are commercial operators who make money to sell information from the public tax lists. This, of course, is not an intended effect of the publication. Another development we have seen is the compilation of information from the tax lists together with other available information. Here you can mention the number of newspapers plotting information in different variants, for example. where the richest of a region live, together with digital maps. This is based on postal codes, or more specific roads and addresses. This can create a challenge in relation to some more targeted crime – not to have more burglaries, but to have a tool that criminals can use. The sum of technological developments and their re-use can thus exert an unintended pressure on privacy. This is the background to the majority’s view that the Ministry of Finance should consider the possibility of limiting the unintended effects of the publication of the tax lists, both in relation to commercialisation and the potential effects of crime. Finally, I would like to make a mistake in the majority comment. It is clear that the undersigned was a bit quick with the proofreading. This refers to the sentence which reads as follows: ‘The majority therefore consider that this suggests that restrictions should be considered on how the press can access the information contained in the tax lists.’ The sentence shall be replaced by the following: ‘In view of this, the majority considers that restrictions should be considered on the way in which the information contained in the tax lists is disclosed.’;» Finally, on behalf of the majority, I would like to recommend that the proposal be annexed to the Minutes.
ParlaMint-NO_2010-03-05.ana.ud1660e837	The publication of the tax lists has gradually evolved into public incitement to social pornography — a practice that appeals to what most of us are least proud of, namely binoculars. The tax lists are really like the magazine See and Listen, which almost no one will admit that they are buying, but which nevertheless have high circulation rates. Today’s online media world offers absolutely all conceivable and unimaginable variants and angles of people’s taxable income and wealth. I was a little surprised this morning when I turned on the news and heard my financial committee colleague Breen, who was very surprised at what he found when he applied for the tax lists. To that it is worth noting that we have had this matter for consideration in the committee for five months – five months – and we have had a hearing on it, and if there was something he did not know, as the tax lists carried, it was good that he found it out this morning, at least. But I think it was legally late to find out. Anyway, we can find the top ten or the bottom ten of all variants and categories. The only category I haven't been able to find is the ten best paid journalists. I have searched and searched and cannot find it anywhere. It's probably just a fancy coincidence, if it's not a coincidence! The government parties, as well as the Christian People's Party, argue in this case that «the publication of the tax lists is important to strengthen the critical debate on fiscal matters». It sounds great and nice! Then, of course, the question arises as to what debate they are looking for and where this debate is conducted. Is this debate going on in the media? Is it in the Storting? I've been in the Financial Committee for five years – I can't remember a single debate related to the tax lists and the tax system, based on the tax lists. Is it in the Equation Offices this debate is going on? Is it around the kitchen tables? And how many requests for errors in the tax system is there actually the tax rate received – and how much more tax is there that these errors generate? Why is it that Norway is the only country in the world that needs to have tax lists published in order to have such a critical debate and open the door to everyone? Or are there perhaps not critical tax debates in other countries? But I record that the same four parties are very cautious in their comments, because it says it can ‘contribute positively to social control’. But they don't know. Lack of publication ‘can provide a basis for speculation’. But they don't know. The press ‘may contribute to critical debate’. But they can't prove it. The publication of tax lists is, in principle, crazy, because it violates the fundamental privacy of individuals. And at the same time, it's crazy because it has several negative practical consequences. It is the principle which is the serious thing and which should be discussed more. But the practical consequences are, of course, also negative. It is unethical that the State may use forced information provided by its inhabitants for publication without the same consent of its inhabitants. It is therefore punishable not to report salary and wealth-related matters, but because of the wording of Equation § 8-8, the State reserves the right to redistribute this sensitive personal information to general pleasure. One of the arguments is that publication can reveal tax fraud, and during the hearing reference was made to the hydroelectric scandal in Rome. So the argument was that publishing the tax lists gives the inhabitants and the media the opportunity to reveal tax fraud through printers – an indication. There is nothing fundamentally different if the government publishes an overview of how much each citizen receives from public benefits. Both parts are equally unethical and unacceptable, but it is only in the latter case that one refers to privacy, and this despite the fact that the exact same arguments could be used, as: The ten largest social security recipients. In this way, most live without fixed income. These lose the state most of the money. – If such information became widely known, neighbours and media could report it to the authorities if a person was listed as a social security recipient, but was taken on a fresh basis when he stepped out and went to work. We don't want it like that! Then we have the practical objections: the tax lists contain a number of errors. They are not final and taxpayers have not been able to provide any corrective information. Children are the most active users of the Internet, and the publication of tax lists makes some children bullying victims in school and leisure. The government parties believe that the curiosity of people must go ahead of consideration for the bullying of some children – only a few people are being bullied! Furthermore, the police have confirmed that the publication of the tax lists has acted as a look-up for criminals, with extortion and burglary – at the latest last year when a number of people received blackmail claims, which resulted in the protection of children whose parents were threatened at school. So it's that more and more people are exposed to ID thefts. Today, there are 40,000 Norwegians who have taken insurance against this, so the tax lists are in a way a further reason to insure themselves against ID thefts.
ParlaMint-NO_2010-03-05.ana.ud1660e867	The President shall assume that the representative shall make a proposal.
ParlaMint-NO_2010-03-05.ana.ud1660e870	I am in favour of this proposal from the Committee on the Rules of Procedure. I would like to state that we subsidly support the Right's proposal.
ParlaMint-NO_2010-03-05.ana.ud1660e878	The representative Christian Tybring-Gjedde has taken up the suggestion he made.
ParlaMint-NO_2010-03-05.ana.ud1660e881	There is tradition back to the 1800s for the publication of tax lists in Norway. The reason, of course, is that there is a close link between money and power, and such a connection should be public. Originally it was that society's supporters wanted publicity about having money, and proudly contributed taxes to the state. So now it's rather the opposite – you don't want to see that you have a lot of money, and maybe how much tax you contribute. The representative Tybring-Gjedde called for a debate based on the tax lists. In the election campaign this year, the Right Party and the Advance Party proposed to remove the property tax. The Socialist Left then showed that it would mean that 27 of the country's 34 billionaires would be zero taxpayers. It was material they could provide, precisely because the tax lists were public. Such a discussion could not have been possible if we had not had access to the tax lists. It was, in my opinion, an important debate on the relationship of power in Norway. For the Socialist Left Party, it is important that the tax lists are public, and that they are public all year long – not just a short period, as the Government of Bondevik introduced – and that it is possible to apply to both named individuals and groups, such as, for example: The 100 richest. We don't need to combine it with a professional title, which means that Tybring-Gjedde doesn't know how much the 100 best paid journalists have. A term such as ‘zero-taxor’ would probably not have existed if we had not had public tax lists and the debate as a result. Publicity is important to give legitimacy to the tax system. If I think I pay too much tax, I have to be able to check what others pay, and possibly get upset if I think that others who earn more than me pay too little – or, like Gundersen, get upset because the rich pay too much tax. Therefore, it is important that the tax lists continue to be published — for critical journalists and for an informed public. The objection is that publication contributes to bullying. It's hard for me to take it seriously. First of all, there is little evidence of this. But anyway, I don't think the solution is in the tax lists. We had a campaign like this about "sparking a red hair", which there was a lot of bullying associated with in some schools. It was Facebook group about kicking a red hair. The solution was not that redheads should dye their hair, but the solution was to take a bullying culture seriously. And so it has to be if it's like this that bullying is going on based on the tax lists. We also have relatively little evidence that the tax lists are used for crime. I think that an equally effective method then is to take a trip to the west edge's stray. But I do not reject it and therefore believe it is important that the Ministry of Finance looks into this. Changes have been made so that the date and address of birth are no longer given in the tax lists. However, the representative Thomas Breen also explained the connection to the Cartwork, etc., which I see can well be limited. One aspect of publication is, of course, that it also stimulates binocular mentality. Nevertheless, it is important for me to defend the free access of the public, but in my opinion we do not need any commercial products related to the tax lists. That is why the majority also asks the Ministry of Finance to take a closer look at this. Privacy is important for SV, but it must therefore be balanced against the opportunities for transparency in an important area, namely the area of power and justice in society.
ParlaMint-NO_2010-03-05.ana.ud1660e902	The President finds reason to state that she has not intended to change hair color for so long.
ParlaMint-NO_2010-03-05.ana.ud1660e905	Yes, you can say that when you have good hair! The discussion of prohibiting the publication of tax lists is a repetition, and from the point of view of the Progress Party, it is said to be so strongly that it violates the privacy of individuals. Yes, it does show the attitude of the watch-frp, but at least it does not show the Urnork attitude. For the Urnorn attitude is that one should have a jealous relationship, and it is as it says in the poem «Millom Bakkar and Berg out with the Sea»: «Between jammings preferably I am satisfied.» So publishing tax lists is a Norwegian tradition, and it's an old Norwegian tradition that goes back further than 1800. It goes back to the Norwegian law of Christian IV of 1604, where it says that on the thing it is to be given «real and detailed mandate who has the treasure and how much each garden has published». What the government parties, with the Central Party, are doing here, is in the best of Norwegian tradition, to ensure a change of words about the tax system we have, and to ensure the critical debate, and it is a pleasure that the Central Party Christian People's Party is involved and associated with the government parties in the vote today. It helps to ensure the open debate on how to move forward in developing our tradition and fulfilling its role, in order to finance public activities in a good way, how much consideration is given to. With regard to the Internet publication of the tax lists, as many have said, it is not desirable for actors to be able to sell information from the tax lists in order to make money on it. It is then a challenge that one has to look at, and therefore we are pleased that there is now a consensus that one should consider limitations on how information contained in the tax lists can be disseminated. It's taking away the negatives that might arise from, for example, the negatives. new technologies, while maintaining the primacy of tax disclosure. It's a great continuation of a tradition, which has its anchoring all the way back to 1604.
ParlaMint-NO_2010-03-05.ana.ud1660e918	I would also think it was a pity if the president were to change one of his trademarks. It had become a big surprise. The debate really points to the different considerations behind point 1 of publication, and point 2 of privacy. It's almost like you're tempted to say that you agree with it at any time the latter talk, because it's about which bowl you put the arguments in, and which bowl should weigh the heavier at last. I don't think there's any doubt that many of us also in the Christian People's Party are looking at developments in terms of publication, with concern. When dealing with this matter, you go in and see how especially the online newspapers use these information. I have to say that here there are many more reasons behind the use of this by the online newspapers than to encourage a critical debate on the tax system. It's quite clear, and that's where I'll give the representative Tybring-Gjedde justice. That's why we've also asked from the Christian People's Party for an overall review of this, because I think it actually deserves a case up to the Stortinget, where this is assessed collectively, and where you weigh the different arguments and hopefully come up with a balanced solution. But from the Christian People's Party I would say that when the matter comes from the Government, we expect it to lead to tightening up today's practice. If the government doesn't come along with that, we from the Christian People's Party are prepared to go on proposals that will lead to a tightening up, because I think it's gone way too far as it's now developing not only on the net newspapers, but also on their services that they offer in addition to it, where they also make a lot of money for people to know about this via mobile phone, etc. It is well and good to have the Urnoric attitudes in the back of the mind, but sometimes they also have to be tested against recent phenomena. That's basically what I hope the Ministry of Finance will do now. In the hearing, there was some uncertainty about this, but if you can now find out that this is being used actively in criminal activities, it strongly argues that there is a need for intrusion. We have then promoted our own proposal, which I mention with this. We also notify subsidiary support for the proposal that I expect the representative Tenden to raise on behalf of the Left.
ParlaMint-NO_2010-03-05.ana.ud1660e931	The representative Hans Olav Syversen has taken up the proposal to which he referred.
ParlaMint-NO_2010-03-05.ana.ud1660e934	The publication of tax lists is a difficult matter because two important principles are viewed and opposed to each other: transparency and transparency with regard to privacy and privacy. Both parts are very important for the Left. Nevertheless, the left has traditionally chosen to support transparency in the publication of the tax lists. The importance of transparency, control, transparency and, in particular, the legitimacy of the entire tax system has outweighed the importance of privacy and privacy, as there has been an acceptable framework for transparency and transparency. However, following the changes made by the majority of the population, including the Left, in 2007, in the view of the Left, developments have gone in the wrong direction. The transparency of tax lists has become more and more a purely commercial entertainment industry, and new technologies, new technological solutions and new social media have led to a seemingly well-founded desire for increased transparency and transparency that, at least, the Left has not been able to see in 2007. The left has been at the forefront in the fight for privacy. It is time to follow this up by reviewing the law, to provide Norway’s citizens with the best possible control of their personal data and access to who uses the information. It's time to use the technology we have, for something positive, instead of making it easier to disseminate personal data and simplify monitoring. Therefore, the left considers that current practices with full transparency and free movement of tax lists need to be restricted. It must continue to be possible for anyone who wishes to have access to the information, but it may not be possible to commercialise the tax lists and develop business models based on personal data, inter alia. through mobile phone services and other related information from the tax lists, which have been visited by several people here today. I think that the majority in the setting becomes very passive when they write: ‘It is not desirable in itself for actors to be able to sell the information from the tax lists in order to make money on it.’ For the left, this is not desirable at all. It shall not be possible to make money on advertising or sales in connection with the tax lists. I would like to refer to the conclusion of the Council of Technology on the Stortinget in publication No. 24 from February of this year, where they write: ‘Internet publication of tax lists has led to their being used beyond the original intention of publication, for example in search and compilation of data. In addition, tax information appears in more and more channels, such as social media and mobile platforms. In total, this results in a change in the proportionality of where privacy is impaired. There is every reason to believe that this is a development that will only continue in the disfavor of privacy. It is therefore our view that it is time to assess whether the scheme should be in place and, where appropriate, in what form.» This is a description and concern left-hand parts. Therefore, the Left proposes that the tax lists become available only from public databases and/or websites as of the 2009 income year. In practice, this means that the only websites from which it is to be possible to find the information requested are on the Skatetaten pages. Such a restriction will not only meet the need for continued transparency and transparency, but will have a completely different focus on the privacy challenges that transparency and transparency bring, and which are described very well by the Technology Council. Finally, I refer to the Left's proposal in the setting.
ParlaMint-NO_2010-03-05.ana.ud1660e964	The representative Borghild Tende has taken up the proposal she referred to.
ParlaMint-NO_2010-03-05.ana.ud1660e967	Some considerations are given at the end of this debate. There is, to a large extent, a connection between the debate we had on simplification and what we are now discussing. Much in the first debate was about using the electronic tool that is located there, and it is to some extent that has enabled this large distribution of tax lists through the network. Just to put it in a slightly larger context, last year the tax base received at the base of 5 million electronic forms. 85 pst. by operators using electronic self-declaration and 83 pst. also used electronic VAT returns. So there were 400,000 companies that had replaced paper with electronics on the reporting page. So there's a development going on, and that's some of what we're discussing in this context. It's a long way from looking at the tax lists in the back room at the colonial store on Stavsjö to going online and seeing them. However, as others have pointed out, there is a long tradition of publishing tax lists in Norway. It is part of the openness that is important in society, and discussion of income and taxation is an important part of the societal debate. Yet it is, and it has also emerged in the debate here, that one on the one hand has full publicity, and on the other hand there may be other social concerns and interests, as it is. is referred to in the letter to the Ministry of Justice of the Directorate of Police. So one has to sort of balance the need for transparency against protection against, for example. crime and the safety of individuals. What is happening now is going through this in the Ministry of Finance. We need a thorough review. To propose a ban on the publication of tax lists is at least, from my point of view, totally out of the question. But if we were to find out that there is a need for change, we would, of course, present it, so that it can work from the tax lists that are submitted to the harvest. But before we get there, we have a little way to go to the Ministry of Finance and make a political assessment of this issue.
ParlaMint-NO_2010-03-05.ana.ud1660e980	Several have not asked for the floor on case No. 6th@item: inlistbox
ParlaMint-NO_2010-03-05.ana.ud1660e996	At the request of the Financial Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each Party and up to 5 minutes to the Council of State. In addition, the President will propose that there be no change of line, and that those who have to sign on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-03-05.ana.ud1660e1003	I, as the rapporteur-in-Office, want to take into account what the matter is about and focus on the majority's view. The case concerns proposals to strengthen the use of resources for the ethics work of the State pension fund – abroad, also known as SPU. The proposers point out in their reasoning that the Government and the Storting have high ambitions for the quality of financial management and the follow-up to the Ethical Guidelines of the Fund, that the Fund has increased significantly over time, both in size and in the number of markets and companies included in the Investment Universe, and that new investment opportunities will be introduced. Reference is made to ‘partly a critical searchlight on the ethical profile of the Fund’ in several recent cases and it is important that such cases receive a thorough and serious assessment based on the objectives and ambition of the Fund. The majority of the Committee perceives that the proposers consider that the Ethics Council is understaffed and that they doubt whether the Ethics Council has sufficient resources to carry out the task of the Council. At the outset, it is important to point out and highlight the broad political consensus on the management of the SPU, as the proposers do. In the treatment of St.meld. No 20 for 2008-2009 last year, there was a broad consensus on the Government's objective of SPU being the world's best managed fund, and that the management should achieve the highest possible financial return within moderate risk, so that future generations can also benefit from our savings capital, which requires management to aim for best practice internationally. The investments made by the fund are long-term in many of the world's companies, and the Government therefore places emphasis on contributing to good corporate governance and the safeguarding of the environment and social interests of these companies. In 2008, a comprehensive evaluation of the Ethical Guidelines for the SPU was carried out. The results of the evaluation were presented to Stortinget in St.meld. No 20. The main conclusion of this Communication was that the ethical guidelines are based on a solid foundation and have proved to be robust over time and that the main features of ownership exercise continue. Some amendments and adjustments were proposed and, as the Minister of Finance points out in his opinion on the proposal, several of them have already been or will be launched in a short time. This applies, inter alia, to:\t\t You can change the investment programme for environment research project on climate and financial markets Norway's Bank's new forecast documents The Ministry of Finance has become a member of the United Nations Principles for Responsible Investment The Ministry of Finance participates in the United Nations Global Compact Group of Experts on the conduct of companies in war and conflict areas, with the aim of providing guidance on good corporate practice and extending good investor practice in these situations. The majority of the Committee emphasises the Minister of Finance's opinion on the proposal, where, in addition to pointing out the follow-up to the new measures, he says that the resources of the Ministry of Finance, the Bank of Norway and the Ethics Council have been regularly strengthened since the ethical guidelines were introduced. As the fund increased investment, staffing has increased in the Secretariat and the Ethics Council has also increased the use of external consultants. It is also pointed out that the Ethics Council has so far been given increased appropriations and more places of employment in line with the Council's own wishes and that the Ministry of Finance will continue to provide the Ethics Council with the resources deemed necessary for the Council to carry out its work satisfactorily. I believe that this has given us a good overview and insight into the resource situation for the ethics work in the SPU and the manning policy and use of resources that the Ministry of Finance has invested in. The majority are satisfied that the Ministry of Finance will continue to monitor the staffing situation in the Ethics Council in the future to ensure that the Council has sufficient resources to continue to do a satisfactory job. The Committee has also noted that the Ministry of Finance has increased its participation in international initiatives for building best practices for responsible investment and supports the view that such cooperation initiatives may have greater potential for influencing individual companies, sectors and markets than a single investor alone and obvious economies of scale in this work. The Committee shares the view of the Minister of Finance that there will continue to be a need to develop both strategies and instruments in this area in the future, and looks forward to a thorough presentation of the efforts to promote responsible investments in the annual communication on the management of the SPU to spring. On this basis, the majority of the Committee does not have the basis for supporting the proposal and recommend that it be annexed to the minutes.
ParlaMint-NO_2010-03-05.ana.ud1660e1040	As we in the Progress Party have pointed out in our comments at committee reading, we believe that the practice of the ethical guidelines already exceeds the meaning of the original guidelines. In recent years, we have seen a gradual expansion of the concept, that new moral principles about what's wrong and what's unethical about owning shares are constantly being invented. No later than this winter, it was found that tobacco companies can no longer own shares, even if they sell fully legitimate products. So we in Norway now have a world's'moral police', where we know what's best – what's good morals, and what's bad morals. I have to remind you that the money we manage, i.e. the State pension fund – abroad, popularly called the oil fund, actually comes from one of the world's most polluting industries. Think of it that many years ago in Norway, when Norway was a poor country, we didn't get risk capital or any investors from abroad to extract oil and gas because they thought it was immoral and unethical, because it wasn't good for the environment. Or should we go even further back in time, the time when child labour was quite common and necessary in Norway: think about it when there were rich states or rich companies that would not invest in Norwegian companies because it was unethical. And they would only become investors when the children were fired, with the consequences that they had to have. Norway would never have accepted that other countries should define the ethics of our businesses on the basis of their understanding — at least not if the other countries had come any further in their prosperity and development. Being such a ‘moral policy’ is detrimental to the economic development of countries, while at the same time reducing the yield of the oil fund. If Norway wants to influence the world’s morals and ethics, this should be done by recognising international institutions — through the argumentation and building of consensus. I have registered that two or three days ago a press release was sent out from the Ministry of Finance saying that there were now two new guidelines for so-called responsible investment practices for the State pension fund – abroad. One was to use even more resources to put companies to observation before making final decisions on extractions or not. The other was a general exclusion of tobacco producers, which was announced a month ago. In other words, this is yet another strengthening of the work of ethics that the Christian People's Party is asking for in its proposal, which speaks for the fact that the proposal, which goes even further than current practice, does not need to be endorsed. When it comes to the decision that it is grossly unethical to have shares in tobacco companies, I react to it. It is a fully legal product, but this cannot make money from the State pension fund – abroad, i.e. the Norwegian people. But taking in billions of dollars from tobacco smoking in the form of taxes is obviously quite fine. So what's next? Norway should stay away from all companies such as: produce weapons? Will this apply only to foreign arms producers, or will reach the Minister of Finance and the other parties take the initiative that the State will no longer be a partner in, for example. Kongsberg Gruppe or Nammo? Is it more moral to make money on weapons than to make money on a beverage like tobacco? I have a list here on 43 pages of all the companies in the world in which we are partners. We are among others the joint owner of a company which is the largest producer of spirit, wine and beer in the world. I think there's someone in this room who thinks that alcohol is not good, and therefore unethical. Historically, someone in this room would have preferred that there should be even more regulation on this, and it has historically also been banned in Norway with alcohol, so maybe this will be next from the Ethics Council's moral police. Will it be immoral to invest in companies that are producers of unhealthy and sugary food and drink? What about manufacturers of polluting cars? Or what about listed brothels? It also exists, of course. Is that ethical? I cannot see that the Ethics Council has proposed a ban on this. Or what about investing in producers or distributors of sex films or erotic magazines or listed strip club chains? What about casinos, gambling companies or the entertainment industry in general? Or what about businesses that research animals? Is it morally right, more right than making money on drugs that snuff, cigarettes, and cigars? We in the Progress Party do not think Norway should condemn enterprises in other countries, especially countries that are trying to bring people out of poverty. In conclusion, I would like to raise the proposal of the Advance Party.
ParlaMint-NO_2010-03-05.ana.ud1660e1062	The representative Jørund Rytman has taken up the proposal he referred to.
ParlaMint-NO_2010-03-05.ana.ud1660e1065	First of all, I would like to pay tribute to the Christian People's Party, which has a real commitment to have an ethical code around this, which is what you have. I feel that the Storting is quite unanimous here, that when you have to invest, you have to have a frame. The right probably has a slightly more nuanced view of the purchase of different companies than the Christian People's Party has, in terms of what is meant by 'ethical' or 'euthical'. I don't want any polemics about it. The right has said that we want to be in the majority opinion on this matter. For the Right, it is more interesting to discuss the State pension fund – Foreign in the light of what is to come, in relation to the active administration or the passive administration. What Mr Rytman is referring to is probably a little out of line with what the Progress Party really thinks, because you should not buy shares in individual companies, where you would rather be betting on other markets. The right is very pleased that we have a fairly large and broad consensus on the State pension fund – abroad. The fact that we are going to decide to expand the number of employees working with the ethics of the Pension Fund seems to us to be a little simple, and therefore we are going for the position that exists and have no comments beyond that.
