ParlaMint-NO_2010-02-03.ana.ud2135e26	The representative of Mr Harald T. Nesvik will present a proposal for a representative.
ParlaMint-NO_2010-02-03.ana.ud2135e765	There shall be a distinction between the service and the dwelling, and it shall not be such that any person may be forced to move to a particular dwelling in order to obtain the services to which he is entitled. Services shall be assessed independently and individually. With my knowledge of the municipalities, that's how we've experienced it. Then it's enough that in some contexts you build housing where there are some users living together. It's not just negative, because this is a group of people who may have difficulty making social contact in a community, and it can therefore have many good social side effects. But it is quite clear that they should have their own home, it should be voluntary to live there, and it should not be that you live in a special dwelling that should be the basis for which services you get. This is important to clarify, and once again: this situation is also something I want to talk to the Minister of Local and Regional Affairs about, because it is an important clarification, and it is important that we clarify it now.
ParlaMint-NO_2010-02-03.ana.ud2135e784	This question has been withdrawn.
ParlaMint-NO_2010-02-03.ana.ud2135e817	These questions are postponed to the next Question Time.
ParlaMint-NO_2010-02-03.ana.ud2135e823	‘The Court of Auditors and the Health Directorate have identified systematic violations of patient rights. For example, the Riksrevision has shown that the deadline for mental health treatment is set according to the hospital’s capacity, and not according to the patients’ need for help. The report on waiting times shows wide variations in the allocation of rights to treatment and the scope of time-limits. What has the Government done to correct these errors?’
ParlaMint-NO_2010-02-03.ana.ud2135e830	The specialist health service receives more than one million referrals per year. It is essential for health care that referrals are quickly evaluated. Act on patient rights and regulations on the prioritisation of healthcare, etc. shall contribute to the fastest provision of healthcare to patients who need it. Nevertheless, as Mr Höie points out, it has been different in the practice of the priority regulation and in the granting of treatment rights. This is not acceptable, and we have launched several measures to address this. References shall be assessed in the light of the main conditions of the Regulation: severity, expected benefits and cost-effectiveness. Patients who are assessed as eligible for the necessary health care shall be given a medically sound period within which healthcare should be started at the latest. Patients who are not considered eligible for the right may be placed on a waiting list and be offered free of charge. The national audit report on the study of the provision of specialist healthcare to adults with mental health problems showed different practices at outpatient clinics in 2007–08, for which patients are denied the right to the necessary health care. Prioritisation guides in the field of mental health protection for adults and for children and young people provide the basis for proper prioritisation. Guides shall be decision-making aid in the assessment of referrals. It is clear that it is the patient’s condition to determine whether the patient is entitled to the necessary health care, and for when time is set for investigation, treatment or other measures – that is, it should not be the hospital’s capacity. These counsellors are made after the National Audit Office's report. I want to mention the work done on the further conversion of mental health protection and on strengthening municipal provision. The handles announced in the 2010 state budget are concentrated on the whole and interaction. Among other things, 30 million has been allocated. kr to psychologists in the municipalities. This should benefit people with mild and moderate mental disorders. 50 million. kr is granted to obliging interaction models between the municipal health service and the specialist health service in the mental health field and to further bet on outpatient multidisciplinary teams in the municipalities. District Psychiatric Centres should be the foundation of future specialised mental health services. The DPS, in cooperation with the municipal service, shall ensure the establishment of a comprehensive local-based mental health service for the population. There is still a need to strengthen and further develop the DPSs. In the mission paper, I have asked regional health companies to continue their conversion work so that the hospital functions are fed more and the district psychiatric centres are able to carry out their tasks. The proportion of patients entitled to the necessary health care and the proportion of time-limits is important management parameters in the mission document. The Ministry follows up the results on a regional basis with the regional health enterprises.
ParlaMint-NO_2010-02-03.ana.ud2135e845	Both the National Audit Office's report and the Health Directorate's report state that there is a difference in the practice of patient rights rules. The Council of State has now presented in a way the rules and laws that exist. There is no lack of laws and regulations in the healthcare system, but there is a lack of order related to the follow-up of these rights. So I almost have to repeat the question: What concrete action has the Government taken since the Riksaudition report was presented in November 2008 – and the Health Directorate report was presented in the second quarter of 2009 – to ensure that the patient rights that apply are followed up in all businesses? We have now, in the last analysis, clear examples of how patients' rights have been manipulated. These two reports confirmed that this was true of several health businesses over a year ago. What concrete measures has the Government taken to correct this situation after the reports were submitted?
ParlaMint-NO_2010-02-03.ana.ud2135e852	Following the presentation of the National Audit Office’s report, these priority guides in the field of mental health protection for adults and children were designed to provide the basis for proper prioritisation. It is the patient’s condition – not whether there is capacity in the clinic or hospital – that should be the basis. It is to follow the patient rights under the Patient Rights Act. In any case, my impression is that this is something on which regional health companies have a high focus, precisely to be able to fulfil patients’ rights. Because we want to give patients a better offer and an equivalent offer – not a different offer.
ParlaMint-NO_2010-02-03.ana.ud2135e859	The priority regulation is given to those who have given the right to the necessary health care. Within psychiatry, priority regulations have been created. The Health Directorate's report concerned the somatic disciplines with large regional variations in the right allocation. In the VG on 31 January of this year, the Minister of Health said in connection with the performance of Erna Solberg from Right, that Erna Solberg could not have read the Riksrevisionen report, and that these conditions cannot be compared to those of the Hospital Asker and Bærum. The report of the National Audit Office states: ‘One clinic would leave patients with the information they require, but this is also done in other clinics. [[...]] Is this completely different from what happened in Asker and Bærum? And what has the government actually done to follow this up with all the health businesses, including in the somatic sector?
ParlaMint-NO_2010-02-03.ana.ud2135e873	Now I answered this that was about mental health protection, because I also perceived the question as being about it. With regard to the prioritisation counsellors, my clarification is that they were made after the Riksaudition report. As far as the situation in Asker and Bærum is concerned, I think it is appropriate for a separate forum, when both the Health Inspectorate's report and the police's investigation have been clarified. I think it's going to be wrong to bring it into this discussion. We are committed to clarifying to the regional health companies the rights that patients have. It is a responsibility that I experience that they take and that they work with every day. That's why we're constantly developing better and better tools, just to be able to follow up patients and patients' rights.
ParlaMint-NO_2010-02-03.ana.ud2135e883	Then we go to question 9 -- and this is where it starts to get complicated. The question, from the representative Ivar Kristiansen to the Minister for the Environment and Development, has been transferred to the Minister for Transport who is directing him, but will be answered by the Minister for Oil and Energy on behalf of the Minister for Transport, who has left.
ParlaMint-NO_2010-02-03.ana.ud2135e889	This has been a complicated matter for a long time, so why should it be solved so quickly today – but I appreciate that the former Minister of Agriculture is at least willing to answer my question, which says as follows: ‘A terrible animal tragedy has been allowed to develop over several years on the Northern Railway, where thousands of reindeer and elk have been killed on the Salt Mountain. More and more people feel discouraged that no one seems to take responsibility for animal trading services that affect not least the reindeer industry. It may now appear that further time will be needed to put protective measures in place, as a new regulatory plan is said to have to be in place. Will the Council of State immediately take action to halt the animal massage?’
ParlaMint-NO_2010-02-03.ana.ud2135e898	I should first of all like to draw attention to the fact that I am answering the question in agreement with the Minister for the Environment and Development, and otherwise there are still some trains going on diesel. Regarding the question that was asked, I would say that the number of animal driving varies from year to year and throughout the year, among other things. as a result of the amount of snow, the activities of the animals and the availability of feed. In recent years, a lot of good work has been done in the railway works, not least in view of preventive measures, but also in relation to measures to minimise animal pests in connection with driving. Fencing is the most effective measure to prevent game and tamrein from entering the train line, but it will be very expensive to have to enter the entire network. The sewerage industry in the Nord-Trøndelag has assumed responsibility for coordinating and prioritising actions throughout the Nordlandsbahn, and overall, the reindeer industry has made proposals to the Railway Agency for three routes – a total of 15 kilometres. As far as other measures are concerned, the Railway Agency has cleared the forest and carried out spraying on the most stressed routes. In addition, emergency measures have been taken, such as the construction of track-side trackways in connection with major snowfalls and repairs of damaged fences in the Dunderlands Valley. Another immediate action The Railway Agency has contributed funds to, is the use of helicopters for the collection and movement of tamrein out into the coast. As the Ministry of Transport has been informed, the Railway Agency and the municipalities with the most traffic on the Nordlandsbanen have good cooperation on the challenges this represents. In 2009 it was granted 5 million. kr over the state budget for fences on the Nordlandsbanen. Two million. kr was to be used for fences on the Salt Mountain, between Semska and Sørelva, but this money was not used in 2009. This measure provided for a derogation from the rules on protection, but the decision of the county council on the exemption from these rules was appealed against by several parties, and the railway works had to postpone the construction of the fence. The funds have therefore been transferred to the year’s budget. As far as I am aware, the exemption decision has now been repealed by the Directorate for Nature Management, and the case has been returned to the county for review. Based on its coordination instructions, the county council has called the parties concerned to a meeting on 4 February in order to coordinate efforts to reduce the number of road accidents. It's tomorrow. The Railway Agency is further working on an impact assessment on the installation of a fence on the Salt Mountain, with a view to implementing this in 2010. Stopping train traffic on the Nordlandsbahn, or requiring trains to run slower, will result in more of the train traffic being transferred to truck and car traffic on the roads. That is why I believe that this is not a good solution.
ParlaMint-NO_2010-02-03.ana.ud2135e915	We are exposed to a serious paralysis of action in this matter. I addressed the matter for the first time in May 2007, and was optimistic after I received a reply from the Minister for Transport at the time. After that, probably between 1,000 and 2,000 animals have been killed, massacred. This case suffers from the sacrifice of animal protection by all parties, including government agencies and nature protection organisations which take care of their particular interests. So with open eyes, you pay with that now at this time you massacre animals almost daily. I assume the Council of State agrees that this cannot continue. Someone has to take responsibility for cutting through. Will the Council of State now take responsibility for cutting through, or will it continue to bear witness that perhaps 500 to 1000 new animals will be sacrificed before action is taken?
ParlaMint-NO_2010-02-03.ana.ud2135e920	From the process that has gone on so far, it is obvious that there is a consensus that there are some parts of the line that are more exposed than others. At the same time, there is money to do something in the most stressed areas. It is, as I pointed out in my main post, a reality that the process has taken some time, because there has been some disagreement with regard to protection interests and whether setting up fences in the area is sound. Now there is reason to believe that this process is on track – at least on the side of the track, in the sense that the work can get started again. This should mean that when more fences come in place, you get the loss figures down. Otherwise, I am not in doubt that the other measures are also being worked on, which are individually important measures, but fences are referred to as the most important individual measure. There I have expectations that 2010 will be a year when one gets more fence in place.
ParlaMint-NO_2010-02-03.ana.ud2135e925	My question will be whether the Council of State – as a former Minister of Agriculture and as a professional in the field – is now taking personal responsibility for checking the conclusions of tomorrow's meeting to which the county council of Nordland has called. I want a confirmation of this, because if not, the government team will take responsibility for thousands of animals being sucked down on the Northern runway, which has evolved into Europe's most closely organized animal tragedy. I would like to remind the Council of State that the reindeer industry was in place on the Salt Mountain long before plans for a national park were planned, and long before the railway was put in place. This is about people having to take responsibility, that special interests are not allowed to get at the expense of an industry that is now suffering. Those who do reindeer business suffer loss, not only in the form of animals, but economic losses and other losses that now require political action and not the use of a waiter's language: this is not my table, it's another's table.
ParlaMint-NO_2010-02-03.ana.ud2135e930	I'm taking the whole challenge out of my former commitment, also for the sewerage industry in Norway. As Minister of Agriculture, a reindeer is also a minister of reindeer. The fact that the reindeer industries in Norway face major challenges, partly as a result of profitability, partly as a result of predators, but also as a result of, we say, the technologically opposite of the large community around them, is completely, clearly clear. I am also sure that there are assessments that the Minister for Transport shares. I will take with me the clear recommendation that comes from the representative of Kristiansen to also follow up the meeting that will be tomorrow, political, to the Minister of Transport, and I am absolutely sure that will be done.
ParlaMint-NO_2010-02-03.ana.ud2135e939	I would like to ask the Minister of Justice the following questions: ‘In Hedmark, 16 crimes are committed daily and are not resolved. Although there is a slight improvement in relation to the past, this creates frustration and uncertainty among the majority of people. What will the Council of State contribute in the short term in order for people to regain faith in security in their everyday lives?’
ParlaMint-NO_2010-02-03.ana.ud2135e948	First of all, I just have to say that people obviously believe in security in their everyday lives in view of the investigations that have now been made about trust in the police. The police are cutting very high, and Hedmark is no exception. We'll be happy for that. We shouldn't spread more fear than we actually have to do. The representative's question has been submitted to the Police Directorate and to the police chief in Hedmark, who stated that the percentage of the police criminal record has been below the 38 p.m. target. in recent years. However, there has been a positive trend in the percentage of clearance from 2007-2009, with 37,0 pst. in 2007, 37,6 p.m. in 2008 and 38,7 pst. in 2009 – the difficult year 2009. So there's every reason to give honor to the Hedmark police district so that you don't actually go down, but that you actually manage to go up. Most unsolved cases relate to profit-criminality. This takes one seriously, and the police district is constantly working to improve the outcome, to create more security and less crime. As far as confidence and security are concerned, Hedmark is doing very well in the Integrating Survey for 2009. Studies also show that the number of persons exposed to crime in 2009 is consistently lower than in the previous year. We have to be happy about this. This must therefore be described as a positive development. The situation in the police has been a challenge for several years, mainly because it was trained for a few policemen when the previous government crashed, with the support of the Progress Party. This is why the government has increased the admission of 552 students to the Police College in 2009, and now to record 720 students in 2010, among others. with the good help of the police college that we have established at Kongsvinger. I think it will facilitate recruitment in Hedmark as such to train 150 high school police students from the region. This is what we are doing to respond to the needs identified in the Police Directorate’s crew report ‘Police against 2020’. In addition, the package of measures, which was also presented in January last year, established 460 new civil posts at the police and officers' seats. I don't think there's ever been a greater boost in civil positions. I know you've really appreciated it in Hedmark. Hedmark Police District got 17 of these civil works and they are now continuing in 2010. Hedmark came out well in the distribution of the civil year works. In order to further increase police force with rapid impact, as part of the new special agreement on police working time, which entered into force on 1 October 2009, an agreement was made to increase the working time of many police officers by one hour. This represents a resource increase of about 230 years. For Hedmark Police District, we're talking about six years' work. For 2009/2010, this is a big deal for the police, which in total represents a bet of more than DKK 1.3 billion. I also want to point out that one of the most important things we can do to get the percentage of information up is to continue the DNA reform. After the DNA reform was introduced, the number of searchable persons in the DNA registry has increased by 40 pst, and now accounts for a total of 16 600 people. Nearly 3,000 policemen are trained in the DNA reform to secure biological traces at the scene, and twice as many tracks are secured at the scene. Around half of the tracks entered in the register meet registered persons. This year we're going to use approx. $120 million on this DNA reform. For Hedmark Police District, as the representative asks, the budget has increased by 18 million. kr from 2008-2009, there is an increase of 8.3 pst. The 2010 budget has not yet been allocated to the districts. In conclusion, I would like to point out that the government has provided a large increase in the budget for the police in the period 2005-2009 of more than DKK 2.3 billion. If compensation for salary and price increases is deducted, the increase is more than NOK 1 billion. So in 2010, we're increasing by 1.3 billion kroner, after a price increase of 1.2 billion kroner. We will follow up this investment in police force, so that it is translated into better prevention, increased clarification and a more visible and accessible police force.
ParlaMint-NO_2010-02-03.ana.ud2135e965	I would like to thank the Council of State for a comprehensive and good answer. We all have a common goal – both the Minister of Justice, signed, the rest of those sitting in this Chamber, and otherwise – that we should bring down crime. That's good. But what's not quite that good is that although there is an increase in financial resources and personnel, crime is also increasing. Unfortunately, many commit criminal acts. If you look at the Glåmdalen newspaper on 19 January, it says a name that is one of 5,779 unresolved issues. If you blush on in the paper, it says that six out of ten crimes are unsolved. It is clear that when you are one of the 5,779 issues, or one of the six of the ten issues that are not resolved, you feel a certain frustration, and you feel a certain uncertainty. It's the uncertainty that may spread a little, unfortunately. I give great honor and have great confidence in everyone who works with these things, they do as best they can, but crime is unfortunately a little big.
ParlaMint-NO_2010-02-03.ana.ud2135e974	I share the questioner's concern about crime. But we'll be careful to say that it explodes, and especially in Hedmark. Indeed, the surveys show that there are fewer victims of crime. If we look at the number of killings, which is the most serious crime, they've halved in the last 20 years. If we look at the transport of goods, mail and banking, we've almost zeroed them out. In many areas very good results have been achieved. Then we have areas where we have opportunities to better prevent and prevent crime from occurring, and there I'm going to invite the Progress Party to be more involved. The cities that have now tightened up at their turnout times have had a decrease of 30 pst. in the crime of violence. For me, it is a mystery that the questioner and the Progress Party could not more fully support this kind of action, rather than going in the opposite direction, where it is said that you should open all the cranes, which would give more crime, also in Hedmark. Where the Progress Party has the opportunity to prevent crime from occurring, the Progress Party is on a completely different track. This is a broken picture. We can't just count the number of police officers.
ParlaMint-NO_2010-02-03.ana.ud2135e983	One thing has at least two sides. In the HA on Saturday 12 December, we see that we react to the presence of closed doors, and this applies at the Hamar Police House. It says: ‘On weekdays, the police station is closed after 3 p.m., with the exception of Thursdays. Then it is open to the public until 6 p.m.’ Obviously, when you meet closed doors in a city like Hamar when you need help, it creates some frustration. I fully agree that the police should as far as possible be out working, but it might have been a bit safe and well that there were some open doors. In addition, it is said that more money is given, and that is well and good. But there are a number of expensive investigations, such as: can read about in Glamdalen on 18 January. It says: «The investigation of the Langeland Drapet has charged the police in Kongsvinger with an extra SEK 1.5 million in expenses. And they shall not cover five ears. Obviously, if a county office or police district gets a lot of these expensive things, it will go beyond investigation and work in other matters – that you don't have money.
ParlaMint-NO_2010-02-03.ana.ud2135e1002	The costs incurred by Hedmark police districts in the killings case in Kongsvinger, the church fire in Våler, which the questioner has been concerned about, and any other type of crime – when it comes to over 1 million. kr to find the killer in Kongsvinger, where Kongswinger did a great job – is covered for the crowns of the public. There are no other budgets to take from, or from, private or own pockets. These are crowns that Hedmark police district covers and that come through the police budget. You can't expect, when there's serious events, that you have to co-finance them. All the crowns and expenses pointed to by the representative Bredvold are covered by the public. Our point is that it is important for police districts to be able to deal with serious crime, and that is why we are making the grips we are doing now to increase staffing so clearly. We would have a huge challenge in the Norwegian police force, including in Hedmark, if we were to introduce forward-looking party policy, for example. in relation to donation, traffic and other types of prevention areas, which would generate a high rate of crime growth that no budget could cope with.
ParlaMint-NO_2010-02-03.ana.ud2135e1010	‘Sunny District Court has conducted 41 child interrogations in 2009. None of these have been carried out in children's homes, because the nearest children's home is in Trondheim. The resource situation makes it impossible to resolve a hearing with such a long travel period and, in many cases, the need for accommodation. It is important that all children in question are given the same opportunity to make use of the good offer made by children’s homes. In the election campaign, Minister of Justice Storberget promised Ålesund that he was lucky to have children's homes. When are children's homes established in Ålesund?»
ParlaMint-NO_2010-02-03.ana.ud2135e1017	I just want to say that I'm very happy to get the question. I stand by all my promises, and especially when it comes to babysitting. It's something of the most important government has done in this area, in my opinion. In the Soria Moria statement, the government said we want to ‘ensure a better holistic and coordinated offer to children who have been subjected to abuse by, inter alia, assessing the establishment of a ‘child’s house’. I must admit that we have not kept what is stated in the Soria Moria Declaration. Not only has the Government assessed the establishment of a children’s home – it has assessed it, decided to establish a children’s home, and made sure that it is established children’s home. We have not only established one children's home, as the Soria Moria Declaration states, but created six children's houses – in Bergen, Hamar, Kristiansand, Trondheim, Tromsø, and now last in Oslo in September 2009. I am proud to say that we now have a nationwide offer with children's houses, and that we have overfilled the Soria Moria declaration in this area. In the election campaign, I said to the evening post on Thursday 13 August 2009, to which the representative quite rightly refers – and it must be allowed to say in politics that we took a short cut to point out the two places that are now in the offing, and it can invite a lot of debate when we are going to start finding places – that if we won the election, as we did, we would continue to bet on community solutions like children's homes, rather than unsocial tax relief. And I've said that we're going to set up children's homes in Stavanger and Ålesund during the ageing period. I'm standing by. Children’s homes have a lot of work to do with children and relatives who need help and care. However, I see that the travel distance can be a burden for both the child and its relatives. This applies to several places in the country. The dilemma is that we cannot have children's homes in each municipality. The system of children’s housing is set up to ‘ensure a better overall and coordinated provision for children who have been subjected to abuse’ — it may be for hearings, for health professionals and child protection, and for better evidence protection. I assume that the police and the courts have this in mind when considering whether to use children's homes for court hearings and medical investigations, or competences related to these kinds of cases in the police districts, and in particular where there are their own teams. I am pleased that both the majority and the minority in the Judicial Committee – during the budgetary procedure in Stortinget were also the Christian People's Party gradually included in the budget set up – clearly underlines the need for children's housing, and that further development is positive. We have in Prop. 1 S for 2009–2010, i.e. in the budget we are now in the process of implementing, proposed that the Government facilitate the establishment of a new children's home in Stavanger to meet the needs expressed by the Rogaland District District Courts. This will happen in the current year. In the same proposition, the government has signaled that there will also be a children's home in Ålesund. I have noted the support for this from the majority of the Judicial Committee. It is the Police Directorate who will be responsible for implementing the establishment, and the Directorate is made aware of this priority in the current year's letter of assignment. Future budgets during the ageing period will show when the children's home in Ålesund will come into place, but that's what's next.
ParlaMint-NO_2010-02-03.ana.ud2135e1039	I thank you for the answer from the Council of State. This has been an important matter for the Christian People's Party every year, one that we've worked a lot on. When the More bench visited Ålesund thing right last week and we saw the interrogation room for children and mentally retarded people, I reacted strongly. Despite a small amount of money, employees have made a room, an interrogation room in a basement, but a hearing situation far from what is needed to create security in a vulnerable situation. Children need, as the council said, both follow-up and treatment. 41 children at Sunnmøre stood without this offer, and I look forward to finding a solution. As I understand the Council of State's answer, it will come during the pouring period.
ParlaMint-NO_2010-02-03.ana.ud2135e1046	That's our ambition. We clearly said in the election campaign that there are two places in Norway – Stavanger and Ålesund – that are ahead of us during this big time period. We're a little careful to "roll out" this system, because it's a newly established system. I'm glad this has been an important matter for the Christian People's Party all these years, but the issue in the last period, when the Christian People's Party was in the government offices, was that nothing was established. That's now that we've got speed in this, by actually building children's houses. It's very important. I hope that the Christian People's Party will be an important alliance partner also in the future when we are to secure and allocate the budgets. I am convinced that the questioner will certainly take care of Ålesund’s interests.
ParlaMint-NO_2010-02-03.ana.ud2135e1060	‘In a look-up in Stavanger Aftenblad on 20 January 2010, Petoro and Statoil open up for electrification of oil installations in the Norwegian Sea. The profitability of offshore electrification will depend on the number of installations connecting to the same land cable. There is a general consensus about generating electricity on the socket, but this will create additional challenges for the power situation in central Norway. What new power project must be in place to ensure stable power supply in the region if the project is to be implemented?’»
ParlaMint-NO_2010-02-03.ana.ud2135e1067	The government has implemented comprehensive measures to improve the power situation in Central Norway. One of the main elements of the strategy for achieving this is measures under the direction of Statnett. Statnett has invested in Central Norway since 2001 for less than DKK 5 billion and plans to invest for approx. DKK 2.5 billion. Statnet has also implemented a number of networks for, among others. maintaining the import capacity in the area. The Nea–Järpström power line was started in the autumn of 2009 and increases the transmission capacity between Central Norway and Sweden. The second main element of Government policy to improve the power situation in the region is the commitment to renewable energy and energy conversion. As part of this, the NVE has strengthened its capacity for concessional treatment, which has doubled compared to 2005. The NVE prioritises issues in regions with a high power deficit, including: Middle Norway. In 2009, from January to August, Enova allocated more than 162 million. kr for projects in central Norway. These projects will generate new energy production or save energy consumption equivalent to about 300 GWh. In 2010, Enova will have a total of SEK 1.8 billion transferred to work. It provides the basis for continuing the Government’s high commitment to renewable energy and energy efficiency improvement this year, which is also important in the context of the situation in Central Norway. Overall, the measures taken by the Government have provided the basis for a significant improvement in the power situation in central Norway. In addition, the government is working on additional measures to improve the power situation in the area in the future. In particular, a transmission link between Sogn and Møre, the so-called Ørskog-Fardal link is important. This connection has been approved by NVE. The case has been filed and is being dealt with in the Oil and Energy Department. Government policy to improve the power situation in Central Norway is also important in terms of the possibilities for further use of power from countries in the offshore petroleum activities in the area. The assessment of shore-side power is required for all new expansions and major conversions in the petroleum activity on Norwegian base. The operator shall, inter alia: assess different energy solutions and provide an overview of the amount of energy and the costs of supplying the installation with power from land. In accordance with this, the government will assess the appropriateness of a force from land-based solution when a given extension application, i.e. a plan of development and operation, is to be approved. In this context, consideration of the power situation in the region will be central. The introduction of the obligation of connectivity will help to facilitate good coordination of the development of consumption, production and transmission of electricity, as well as the timely coordination of processes. It will be a condition for electrification of new installations in the Norwegian Sea that the power situation in the region is considered satisfactory.
ParlaMint-NO_2010-02-03.ana.ud2135e1084	I do not feel sure that this will be resolved in time. We see that Petoro and Statoil open for electrification of Åsgard, Heidrun and Kristin. In addition, Worm Long Phase 2, which also opens up to an additional need in a region with a sub-coverage of 5 billion to 6 billion kWh. So the challenges are big. A modern gas power plant, even without CO2 handling, will almost halve the CO2 emitted compared to today's produced offshore space. Does the Council of State see this as a solution that is good for the environment, climate and for the region?
ParlaMint-NO_2010-02-03.ana.ud2135e1095	I find various projects related to the production of power in gas power plants interesting. That's also one of the reasons why we've given concession to a project in the area. However, a prerequisite for this is that good clean-up solutions are put in place and emissions are managed. This is forward-looking and good energy and environmental policies, and I am absolutely sure that we will see a lot of good technology development in the future in terms of cleaning up gas power plants. The speed with which the technology of these projects could be used in relation to the other measures, see network improvements in the area, it is not possible to say anything about today, but the fact that we have different processes running to help improve power availability, and the fact that the projects – as I just said – will not be implemented if the power supply is not good enough is a reality.
ParlaMint-NO_2010-02-03.ana.ud2135e1105	‘State forest is in conflict with more than 10 000 owner-occupiers across the country about the amount of the fixation fee. The fixed contracts between the State and the cabin owners have been concluded for many decades and can be found in up to five variants. For cabin neighbours that are only a few meters away from each other, the price may vary from 1,300 to over 10000 kroner. This discrimination leads to great frustration among cabin owners throughout the country. Does the Council of State agree that all equal tenants should be treated in the same way, and will the Council of State consider the matter?’
ParlaMint-NO_2010-02-03.ana.ud2135e1112	State forest SF has about 11,000 fixed-dwelling contracts for residential and leisure purposes, most of which relate to cabins. More than half of the fixtures are in general government, where all revenue is shared between the local mountain governments and the Landowners' Fund, which is to be used for local action. These are important revenues for local communities. In the context of Stateskog’s up-dating of the fast fees, there are about 350 cases where parties have not accepted a new fee and the cases have been dealt with in the legal system. That many of these parties would have liked to have seen a lower fixation fee, is understandable, in the interest of the individual party, but in my view the claim that Statskog SF is in conflict with more than 10,000 tenants is to take it seriously. The Law on Landings sets clear limits on the possibility for landowners to regulate the fixed fee. The law distinguishes between different types of party contracts. For contracts that were most common in the past, only up-dated corresponding to the consumer price index will be allowed. For more recent contracts, up-regulation by market value will often be applicable, but only once. As a result, the timing of adjustment could also result in market value differences. Based on current legislation and what has been agreed with the individual land fasteners, there will still be differences in the fixation fee for land similar to each other or which may be close to each other. That because of favourable contractual relationships, some keep very low fast fees, is a consequence of this, but, in my view, is not necessarily a good enough reason to deviate from market regulation there and when this is agreed. However, I do not want to hide the fact that fixing a fast fee for Statskog, as for other landowners, has been a difficult and controversial process. Statskog has lost some of the cases concerning an increase in the fast fee, and the appeal committee of the Supreme Court has recently refused to deal with Statskog's appeal in one of these cases. As a result, Statskog is now making a thorough assessment of what this would mean for the other fixed contracts it manages. I trust that this is done in a tidy way, where both the rights of Santas and the interests of the community are respected, and therefore I do not see the need to go further into the matter now, as long as Statskog is in the middle of this process.
ParlaMint-NO_2010-02-03.ana.ud2135e1123	I'm very disappointed in the answer, because it doesn't seem like you've thought about resolving the discrimination that's going on. As I have said, there are up to five different contracts, and cabins that are 10-20 meters apart may have a price difference with respect to the fixation fee – it may vary from NOK 1 300 to NOK 10 000. You say you're exaggerating. The Frustrated Feasts Association alone has over 10 000 members. Who's exaggerating, we shouldn't go here, but you might want to take over the frustration that's in the country. I want to follow up with a new question. In the past, the government has stated that the prevailing market price thinking is very confusing, and that a fast-moving is not an uninhabited filth. The Government further states that access to land leases should therefore only be allowed after the index of consumer prices, and no up-regulation should be allowed after market prices. So this is what the government has said, and then my question becomes to the minister: Does he agree with what the government has previously said?
ParlaMint-NO_2010-02-03.ana.ud2135e1132	I understand that the representative Treldal expresses disappointment. But when he says that we have not intended to resolve the matter – as he puts it in the comment – it obviously has the background that I believe it is not right to override a company's board, which is responsible for addressing this issue. In this context, I would like to emphasise that the principles of good ownership – which have also been endorsed by the Advance Party – mean that we should have the Board complete its proceedings before any further proceedings are taken. What is important here is that State Forest is required by the Storting to conduct commercial and market interests and to safeguard the interests of the Community by using the possibilities of income inherent in the fastening system, as are other opportunities for income that they have.
ParlaMint-NO_2010-02-03.ana.ud2135e1141	I find it strange that the Council of State does not take into account what happened in the Court of Justice a short time ago. The Chairman of the Board of Statskog, Marit Arnstad – the party colleague of the Council of State – stated in connection with his accession that State Forest had to bring the matter into the legal system for a final decision. The Supreme Court has held — on 12 January this year — that Stateskog’s argument against market regulation being ‘manifested’ is not sustainable. Despite a shattering decision in Höjsterrett, the Chief Executive Officer of Statskog said to the Address Paper on 25 January: ‘We want clear clarifications on an unclear regulatory framework.’ In my opinion, a unanimous decision in the Supreme Court must be sufficiently clarifying, and Statskog should take the signals given by the Supreme Court as soon as possible. When you're into this with ownership, it's now the state council that has ownership through its government, and then I think the state council has to make sure that state forest cleans up, once and for all, so that equal treatment among the parties in Norway becomes a reality.
ParlaMint-NO_2010-02-03.ana.ud2135e1153	In line with what has been decided by the Storting, the Council of State will await the consideration of this matter by the Board of Governors, even after the Supreme Court has taken its decision in its judgment. I want to make it clear that I understand that Statskog appealed the case to the Supreme Court, because they have some issues that they have won over the parties, and some things that they have lost, so that it was necessary to get a fundamental clarification. Now the board is in the middle of that work and will make this clarification. I have of course trusted that they will follow it up in a tidy way. I would like to stress again that the Progress Party has also been involved in deciding that we will operate State Forest in a commercial way. This means that they must use the resources they receive. This means creating income for the communities, and this means creating incomes that can lead to the development of business and open-air living in the communities. There is also a responsibility for the Governing Board to follow up, so here are important and decisive balances that need to be made. I have confidence that the board will do the job they are going to do, and then you will have to assess the matter after they have taken their decisions in line with the principles of good ownership.
ParlaMint-NO_2010-02-03.ana.ud2135e1162	Question 14 has been answered earlier in the Questionnaire.
ParlaMint-NO_2010-02-03.ana.ud2135e1168	‘On January 19, 2010, a reading in the Evening Post about a father who thought he was the father of a daughter for 32 years. A DNA test showed it wasn't him. Now misjudged fathers will have upliftment and compensation. Many people are experiencing severe difficulties and mental disorders as a result of such issues. Does the Council of State agree that women should or should be penalised for disclosing the wrong father?’
