ParlaMint-NO_2010-05-04.ana.ud1413e57	The representative of Trond Helleland will put forward a proposal for a representative.
ParlaMint-NO_2010-05-04.ana.ud1413e1169	Aker Hospital has provided good hospital services to people in Oslo for over 100 years. Aker is a good hospital with strong trade unions. We understand all those who have expressed their concern that they should move local hospital affiliation to other hospitals in the new Oslo University Hospital health care company. We want to assure everyone that no one will be receiving health care worse than they are today, regardless of reorganization or relocation. Safe and good health services are the most important focus for us red-green, and it is totally inappropriate to compromise on quality when it comes to people's health. Therefore, I would like to stress that it has been established that an evaluation of the patient offer to the inhabitants of the districts of Grorud and Stovner is to be carried out before the notified transfer to Aarhus for patients in these districts is realised, as planned, in 2011. This is also in accordance with the requirements of Oslo City Council. We support the conversion of both large and small hospitals to ensure better quality of services. Sometimes it involves unpopular decisions there and there, but it may still be necessary to ensure that the health services of the future are as good as the people in this country deserve. We have launched the Interaction Reform, which will strengthen healthcare in a more appropriate and sustainable way for the future. We need to collect highly specialised medicine in fewer hospitals, where we deal with the most demanding and complex treatments. Then we need to get better at treating the large groups who live with disease much of their lives. More of this can happen closer to where people live. We must better organise for the elderly with complex disorders, all with lifestyle diseases, chronic plagues and those who suffer from drug dependence and mental challenges. These will receive better treatment with closeness to the community health service, which will cooperate with the specialist health service to provide high quality services for all parts of the service. That is why I think it is very positive that Minister of Health Anne-Grete Ström-Erichsen has warned that Aker Hospital can become a pilot project for a lifestyle and interaction hospital. It assumes that Oslo University Hospital and Oslo Municipality are beginning to deal quickly with the interaction on how Aker Hospital can develop within such a concept. Municipalities and hospitals must play a team, we must succeed in the reform. We imagine that, for example. The caretaker and rusakutt may be important parts of such a concept on Aker, sail if it is not correct for the Stortinget to advance the content of such an interaction arena. Acer is already highly skilled and experienced in chroniclers, minority health, drug treatment, psychiatry and lifestyle-related diseases, to name a few. The fact that such a heavy professional environment is responsible for such important services can contribute a lot to very good health. Not least, it provides exciting knowledge of how to combat and treat people’s diseases as best we can. We believe it is necessary for Oslo University Hospital to clarify as soon as possible which parts of Aker's activities will be in the Aker area in the coming years and, if necessary, in the long term, in order to prevent the break-up of professional environments and to avoid the disappearance of the necessary personnel and competences. The Urological Department at Aker may be the best in the country. It would probably be very unfortunate for patients if you can't keep an environment like this. I also understand very well the criticism that it is proposed to sell the building stock on Aker. Under no circumstances should we be in a situation where the community first sells, and then we have to rent the properties back. We must work for the best possible solution for patients in Oslo and the Groruddalen. We will guarantee to the public that we will follow this process very closely. People should be sure that they have access to the best possible and well-coordinated healthcare.
ParlaMint-NO_2010-05-04.ana.ud1413e1190	In today's case, we are clearly shown that the government's promises from Soria Moria not to shut down local hospitals have zero value. This was to the extent that we knew well from before, all the time six local hospitals have already settled during the red-green reigning epoch. This I will come back to later. In the case of Aker hospitals, it is absolutely necessary to look at the circumstances of the future. The population of Oslo is going to grow radically in the years that are coming, no matter what the Center Party may wish and hope. This, of course, requires greater capacity — if you want to maintain and further develop the offer, if you really want to reduce waiting times and waiting lists, and if you want to get people healthy, rather than having 260,000 people on waiting lists. If you actually mean something with the fine party speeches and promises in the election campaign, you have to increase the capacity of the health service, not build it down, as a defeat of Aker is in reality. Aker Hospital is far more than a building and, as the representative Hagebakken referred to, has over 100 years of proud history. Aker Hospital is also a competence environment, and it is the content that is important. For example, Aker treats a large proportion of patients with prostate power in Norway, and this with great luck. I have had many debates with the Cancer Association and the Prostate Cancer Association where Aker Hospital’s competence in this area is being highlighted – and there is a great deal of concern. What the government is really doing is breaking up important disciplines without ensuring that they are taken care of elsewhere. This can only be described as a risk sport with patients as an effort. We also know that the wave of old age is going to strike Oslo and the rest of the country. This is a population that requires more specialist health services compared to 30- and 40-year-olds. This again means that we are completely dependent on a capacity increase. In this context, it appears as a great paradox that the red-green government parties today vote against the continuation of the Aker hospital. I have recorded that a number of Oslo politicians from the red-green parties have raised the tab very high in this matter. I suppose it must be a sad day for Jan Bøhler and other working party politicians who today must vote for the closure of Aker Hospital. It's also a paradox that on Aker, barely three years ago, 40 million were spent. NOK in a new department, which you have to close today. Get it, whoever wants it. I have registered that the government party of the Senterpartiet has gone sky high on the track in the case of local hospitals – no one should be laid down, you can hear from that edge. There will be more money if someone is in danger of being laid down, the party leader has stated. Lærdal, Nordfjordeid, Volda and Kristiansund are mentioned – rightly – repeatedly. I totally agree. It's not useful to lay down a local hospital. But in the case of Aker Hospital, the Center Party has been silent. What is it that makes Aker local hospital not important for the Center Party? I'm just asking. What is obvious is that for the representative Kjersti Toppe, a local hospital for the inhabitants of Oslo is far less important than a local hospital in the home state of Navarsets. The term ‘city and country hand-in-hand’ is obviously not relevant to the centre party anymore. Now, it's obviously the following expressions the Center Party rules on: City gets to be a city, only country gets the Center Party's hand. That being said, there is nothing to suggest that the Center Party's hand is a great help to health care in the districts either. Today, the government will appear as a visible evidence that it deliberately chooses to lay down local hospitals in Norway — at a time of growing health cows and waiting times, at a time when the elderly and population growth are in progress, and at a time when the country’s economy can best be compared with Uncle Screws’ money. So in this time, the government is going to go to a massive closure of local hospitals. It is simply incomprehensible that, at this time, there should be uncertainty about the provision of health services to people by removing emergency services and food supplies in the districts and destroying important professional environments, such as: by Aker. The closure of Aker is economically, professionally and morally irresponsible. With these words, I will also address the proposal that the Advance Party and the Christian People's Party are behind in the vote.
ParlaMint-NO_2010-05-04.ana.ud1413e1211	The representative Per Arne Olsen has taken up the proposal he referred to.
ParlaMint-NO_2010-05-04.ana.ud1413e1214	I would like to refer you initially to the statements made by the President-in-Office of the Council. The right-hand side of this case is in conjunction with the government parties and assumes that the process related to hospital services in the capital area is anchored by two key decisions in the Stortinget. The first is the investment decision relating to the construction of a new hospital, Ahus. The second is Storting's strong commitment to bringing Health South and Health East together to get a more appropriate hospital structure in the capital area. One consequence of this is the closure or alteration of Aker Hospital as we know it today. There's several reasons for that. One is actually doing what the Stortinget has asked for, that is to take advantage of the capacity underlying the construction of Ahus. Listening to this debate may give the impression that maintaining Aker hospitals will not have consequences for parts of the country other than the Groruddalen. That's wrong. One sees that the minority representatives are neither from Uppland nor Eastfold in the hall. They should have been the most. If you choose to maintain Aker hospitals, you have to fill out the vacant capacity of Ahus from the Uppland and Eastfold counties. This means that both a new hospital in Eastfold and possibly a new inland hospital will look completely different than what these states' representatives are talking about today. The second relates to the structure of the capital area. The size so clearly that the structure established in the capital area – as a result of the sharing of responsibilities that were both the responsibility of the county council and the municipality was responsible for hospitals, which was continued in the division between Health South and Health East – was not appropriate, either economically or professionally. A division of professional environments into a large housing and work area was created, where we have the opportunity to build up the most solid and broad professional environments in the country – the foremost in the nation, which was hindered by inappropriate organisation. The second is also quite obvious, that one had a completely inappropriate structure of building mass, which can now be realized, so that one spends the money for what is meant by health money, namely, treating patients at a high and professionally good quality level, and not maintaining an inappropriate building mass. If one does not choose to do so, it means that a user will use a relatively higher proportion of the national health crowns to maintain an inappropriate structure in the capital area. It will, of course, be at the expense of the health service in the rest of the country. Now there are three clear leads, repeated from Stortinget and in the majority position in this case, which it is important that the ministry and the Minister of Health follow up. One is that it is clearly said that an evaluation of the patient offer to the inhabitants of the districts of Grorud and Stovner will be carried out before the notification of the transfer in 2011. That's good, and that's in line with the wishes of Oslo City Council. The second is that one assumes that the Storting ensures that the assumptions that the Storting assumed for change will be met, and that all along it is sure that the transfer will take place in a safe and good way for patients, and that one takes into account the need for capacity. The third is that there is a positive attitude towards a good and close cooperation with the Municipality of Oslo to maintain and establish new activities in parts of this area linked to local medical services for the inhabitants of this area. There I perceive that there is a positive attitude both from the Minister of Health and from the Municipality of Oslo, and I hope that it can be realized and resolved quickly, so that a person can relax around this, and that this will be a good offer to the inhabitants of this area. So with that, the Right joins in the proposal and the position of the majority in the case.
ParlaMint-NO_2010-05-04.ana.ud1413e1237	After hearing the previous posts, I could actually have declined, because I agreed with every word that was said by the representative, Höie. But I can repeat something. The starting point is, as was said, two important decisions in Stortinget. One is the background to the case of Aker Hospital, which is now being debated. It is the merger of Health South and Health East, which was a unanimous decision, if I am not completely wrong. The background to that decision – the assumption, the mission, if you like, for the new Health South-East at the time – was to make better use of hospital resources in the capital, both human and economic, and to benefit the population – not only in the capital, in the Health South-East region, which is half the country, but also the population of the rest of the country. This is an important premise that is also important to follow up. The second decision is the construction of New Aarhus – an investment of approx. $8 billion in 2010 – one of the most modern hospitals in the Nordic region. The foundation of the construction project, that is, the foundation – that it should also be a local hospital for a population of 350,000 inhabitants – was that the districts of Stovner, Grorud and Alna were moved to New Aarhus. This process of conversion, which has underpinned these two key decisions, is now under way and in the process of implementation. This is a complex process that cannot be underestimated. The safety of the population of these districts, which are now to be transferred to Ahus, must be adequately safeguarded and their implementation must take place at a pace that ensures safety. I feel absolutely confident that the Minister of Health will take care of it. That is why the debate on Aker Hospital is not just a debate for parts of the local population in Oslo, which Bent Höie was also involved. It's a debate, a discussion, that has national dimensions. This is one thing that concerns the whole country. I also refer to the initiative taken by the Minister of Health to the Municipality of Oslo to establish a continuing health service at Aker Hospital. An interaction arena for lifestyle diseases has been mentioned, psychiatry, intoxication, rehabilitation — an exciting and important pilot project for the capital. These are offers that are also available in other major cities in Europe, and which it may be worth studying more closely. But it is clear that we should get this in place – and I sincerely hope that we will – it is important that the Municipality of Oslo is also involved as an active partner. I have every reason to believe that they will be. So here the State and the Municipality of Oslo have a common responsibility.
ParlaMint-NO_2010-05-04.ana.ud1413e1250	There are now major changes in hospital services around the country, and this creates a great debate. Risk analysis has been carried out for the transfer of patients from Aker University Hospital to Akershu University Hospital, Aarhus, which shows that waiting times will increase and that treatment capacity will be reduced. The Christian People's Party is concerned that changes to existing treatment services should first take place, and may take place when a new and better offer is established. In the case, what happened in 2003, when it was decided to start the construction of new Akershu University Hospital, Aarhus. The original central hospital in Akershus, SiA, was in a very bad condition at the end of the 1990s. There was also no room for the expected population growth. There was an obvious need for a new hospital. The new hospital was dimensioned to cover local and central hospital functions for 340,000 people. As a dimensional basis, the population of Rome and three parts of Oslo were taken into account. At the same time, it investigated what was then Health East, what tasks and functions the hospitals in the region should have. In April 2004, hospital liability for the districts of Grorud and Stovner in Oslo was transferred to Aarhus, as several have said. Aker University Hospital was assigned local hospital responsibility for Follo. However, these changes in impact fields have never taken a stand as such. The representative Geir-Ketil Hansen says that this debate has national dimensions. I agree. I'm on the verge of calling the situation we now have in the hospitals, of a system crisis. Patient rights in hospitals are broken. There is concern about whether this is done to decorate statistics and to save money. Local hospitals in a number of places in the country are threatened with closure, some are laid down. This causes great concern in the population. I want to quote a midwife at Nordfjord Hospital in Sogn and Fjordane, who says the following: Jens Stoltenberg says that food and emergency functions need to be centralised. Does he really want women in the districts to have several hours of driving in the ambulance, and does he want more ambulance births? This is just a picture that the population is very worried. However, local hospitals with good results – both professional and economic – with reasonable watch arrangements are getting older, possibly to finance new expensive and specialised hospitals or departments, which we find in both Aarhus and St. Olav's hospital. Major reorganizations, such as the capital process in Health South-East, express the county doctor in Oslo and Akershu's concern. He fears that it will affect the patients. It's serious when a county doctor says this. Employees too are frustrated and experience the situation unsustainable. Feedback from hospital staff expresses frustration over an ever-growing bureaucracy. They feel that directors are coming and going and that ever new reporting systems are being introduced. Doctors and nurses feel that they need to report in a number of areas rather than in patient treatment. We see that money from the Mental Health Excursion Plan covers deficits for other hospital treatment in some places in the country. Several refer to the Cooperation Reform. We have not, of course, received a number of investigations. Nevertheless, we see degradations today in hospitals, without the necessary and parallel construction of the municipal health service. This is worrying. So that's right, it has national dimensions when we're inside hospitals, local hospitals, changes in local hospitals. We want to have back a stronger political management of the hospitals. Of course, we also want to have hospitals in the districts, which means ensuring food supplies and emergency preparedness, so that people become calm and safe. The ash clouds showed us how vulnerable a system based on air ambulances can be. We need the local hospitals, which have good general competence to ensure and stabilise patients who need more specialised treatment. But my main point today is not that we should sometimes agree with changes. The point is that we must not lay down until a new and better health service is in place, and in particular before the population understands that it is actually in place. We're not there today, neither in the case of Aarhus and Aker University Hospital.
ParlaMint-NO_2010-05-04.ana.ud1413e1267	Like the proposers, I am concerned that patients in the capital area should be guaranteed good specialist health services, both today and in the future. As the Committee refers to, it was a broad majority in the Grand Duchy that agreed to join the Health South and Health East. Before the merger in 2007, the metropolitan area was characterised by the fact that hospitals in Oslo were located in two different health regions and that environments within the same subject area were located in several places. As an example, I can mention that there were six emergency receptions in the capital area. This led to a large proportion of human resources being used to maintain watchkeeping rather than to treat patients. There was thus clear scope for improvement in order to coordinate the environment and to obtain a more transparent offer. The aim was to ensure better use of resources, health professionals, hospital areas, medical equipment, technology and support functions. The conversions in the metropolitan area are part of a major conversion work in Health South-East, following the merger in 2007. The new region was given a clear mandate to improve coordination and resource use – for the benefit of patients. It is also true that the Committee points out that a prerequisite for the construction of Aarhus, which has also been mentioned here, was that the population of the three northernmost districts of Oslo would receive future services at the new hospital. Aarhus was therefore dimensioned to include Grorud, Stovner and Alna. These are key premises for the transitions currently taking place in the capital area. So a long-standing political process, involving several actors and the Storting, is behind it. The population of the districts of Grorud and Stovner was transferred from Aker Hospital to Aarhus as early as 2004, while the population of Alna – and Follo – is planned to be transferred from 2011. We are facing major challenges in health care – this as a consequence of an increasing proportion of the elderly and a change in the state of disease, with several chroniclers and people with complex disorders, as well as a raging technological and medical development. In this context, it is necessary to convert to. A key measure is to improve the interaction between local health services and specialist health services. This has been widely debated by Stortinget. The capital needs an interaction arena, and I have arranged for a future service offer at Aker Hospital to be developed in close cooperation between the specialist health service and the municipality of Oslo. I expect Health South-East and Oslo Municipality to continue a good and constructive dialogue to find good solutions here. Aker hospitals are to be converted in a way that benefits the inhabitants of the capital, and so that there can be a pre-existing hospital in the field of interaction. Having said that, I share the opinion of the proposers that the changes cannot be implemented until we are sure that the population transferred from Aker is guaranteed an equally good or better offer at Ahus. The proposers are concerned about the capacity of Ahus and show that there have been problems with waiting times and corridor Asians. I would like to point out that Aarhus is not yet complete. Capacity will be significantly expanded from 2011 when the last bed effusion and a new patient hotel have been completed. Health South-East has informed me that Aarhus is cooperating with the hospitals that are currently serving the people of Alna and Follo, to ensure good solutions when patients are going to be transferred. I have assured myself that Health South-East is continuously making risk assessments and correcting the plans if it turns out that the transfer can pose capacity or safety challenges. A recognition I have made since I became Minister of Health and Care is that the hospital structure and task allocation between hospitals are not optimal to meet the demands and challenges we face. The government's political platform is quite clear that no local hospital will be shut down. At the same time, work on improving the division of tasks between hospitals is to be continued. It's within this space of action that we find good solutions. This means that some hospitals can have other tasks than today, as is the case with Aker hospitals. The changes at Aker Hospital are also the result of a long-standing political process. Sustainable health care in the years to come requires adjustments to facilitate good and sound specialist health services and better resource use. It is therefore an important work going on in the health south-east and in the capital area.
ParlaMint-NO_2010-05-04.ana.ud1413e1282	It's going to be line change.
ParlaMint-NO_2010-05-04.ana.ud1413e1286	It is relatively well done rhetorically in the same sentence both to point out that you are not going to lay down any local hospitals, and to justify why you are shutting down Aker Hospital. I don't think it's entirely for believers. I want to ask the Council of State a question, because she keeps saying that she is assured and expects and has confidence, but it is important for the people of Oslo to get a guarantee that the offer will be just as good at what becomes the option. In addition, I would like to ask: since the Council of State insists on this decision, despite the fact that the Oslo Workers' Party at both Bohemia and Nybakk has almost guaranteed that no closure will take place, I wonder what the Council of State has emphasized that she is fundamentally in disagreement with the Oslo Workers' Party.
ParlaMint-NO_2010-05-04.ana.ud1413e1295	I think I explained quite thoroughly that the process that Aker is in now is the result of a long-standing political process. It's not just a year's immediate decision, it's a long political process. That being said, I'm concerned that when you're going to transfer patients from one hospital to another, it's going to be a better offer. I think everyone who has visited the new hospital Ahus can quickly be convinced that this is very well arranged to meet the patients of the future. It is quite clear that no one should get a worse offer than today. They will get an equal or better offer in the future, and nothing will be transferred until there is capacity.
ParlaMint-NO_2010-05-04.ana.ud1413e1302	I agree with the Council of State that one has a great potential to exploit part of the area of Aker Hospital to build a good cooperation venue for lifestyle diseases, chronic illness, rehabilitation and other health services in cooperation with the Municipality of Oslo. Health Nord has a lot of good examples of creating collaboration venues, where both specialist health services and community health services are hostile to each other, including financially, in order to make this work. Health South-East does not have the corresponding experience, and I am somewhat concerned if the Minister of Health intends to leave this alone to Health South-East. How will the Minister of Health ensure that Health South-East meets the Municipality of Oslo in a frank and transparent way, including in terms of economic conditions, in order to actually succeed in establishing such a cooperative area?
ParlaMint-NO_2010-05-04.ana.ud1413e1309	I'm busy getting a good cooperation at Aker Hospital in the future. At the same time, I must say that I record small municipalities around building interaction arenas. Among other things, they've recently done it at Otta and spent tens of millions to get this done. There must be a somewhat similar practice around the country. With regard to the negotiations between Health South-East and the Oslo Municipality on the economic details in the future, I cannot go into it, at least not here and now. What I'm assuming is that good solutions are found here for the benefit of patients, because I think you have a unique opportunity to create a forward-looking interaction offer on Aker. I assume that both parties want to get it done and find good economic models to cooperate well.
ParlaMint-NO_2010-05-04.ana.ud1413e1316	During the round of Aker hospital closures, it has increasingly been highlighted that this has been in the 2004 and future maps. I think it's a false historical prediction from special representatives of the government parties. If Aker was about to be laid down, why has it been ensured in Health South-East that an infection department has a net sum of over 100 million. kr was opened in January 2010 – if it was such that Aker was destined to be closed?
ParlaMint-NO_2010-05-04.ana.ud1413e1321	With regard to that department, I have understood that if you were to operate at all in that period and in the years that were left to run Aker, it was necessary to do a comprehensive rehabilitation. I would also like to say that if you take the patient base from a hospital, you have to ask questions about the need for the hospital there. At least it is my clear belief that from 2003–2004, when choosing to use these three districts in Oslo and Follo as a patient base for the new Aarhus, it was a prerequisite that it would affect the patient base of Aker and that it was seen in a longer process. Then came the capital process, the merger of Health South and Health East, where there was a clear premise that functions had to be coordinated – both medical and other resources.
ParlaMint-NO_2010-05-04.ana.ud1413e1328	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-05-04.ana.ud1413e1333	This is an important matter for us from Oslo. Our commitment to this matter is a concern for the signals that have come from the two districts of Stovner and Grorud, which have already been transferred, and the alarming messages we have received about Corridor Asia and long waiting times at Ahus – for example. one and a half years for cardiac examination. In the public debate on Ahus and Aker, there are many people who have talked about distance, many who have said that people in the Grorud Valley have to endure driving to Lørenskog. But I think it's important to say that this is not a matter of distance; it's a question of capacity. With the transfer of Alna and Follo, Aarhus will be responsible for 160 000 new inhabitants. In addition, the population growth in Akershus is to be managed, which is expected to reach around 90,000 people by 2020. For us, it is vital that Aarhus get control of today's situation with waiting times, corridor Asians and increasing population growth before new patients can be transferred. People need that kind of security. This is important, not only for the patients to be transferred, but also for those who are patients at Aarhus today. That's why I'm very happy that the majority write in the setting that it's not relevant to transfer these patients until the experience from Grorud and Stovner is evaluated. We are also very pleased with the statements made by the Minister of Health about the future of Aker as a pilot project for a lifestyle and interaction hospital, and that it has been established that the sale of Aker is not on the agenda. It is important that it is established in a situation where the Managing Director of Oslo University Hospital has on two occasions proposed sales and the board has had to intervene against this. Fighting social health inequalities is a major concern for us, and Aker already has solid skills in chroniclers, minority health, obesity, coal, diabetes, psychiatry – all these typical issues for the east of Oslo. The Oslo Workers' Party supports Oslo University Hospital's plans to gather specialised medicine at Aker, Ullevål and the Rikshospital within one clinic structure, but that does not mean that the entire metropolitan hospital must be physically built together in Ullevål's area. Urology is one of several good examples of a competence that is mainly concentrated in Aker. As the representative of the Hagebakken underlined, it is important that there are now rapid signals about which departments and environments of competence will remain grouped in Aker in the foreseeable future, in order to prevent them from going into disintegration, and that people escape from their jobs. It is the safety of citizens for a good health service that must be the most important thing in this case.
ParlaMint-NO_2010-05-04.ana.ud1413e1353	I listened with interest to the intervention of the representative of the Tore Hagebakken in this matter. He stressed that Aker Hospital is a good hospital with strong professional environments. He stressed the importance of providing better health services to all. He was unsure whether it was possible to maintain the urological ward at Aker Hospital. He was in doubt if it was possible to establish a metropolitan guard and an interaction arena at the current Aker hospital. Then I just sat waiting for the conclusion, namely, for Tore Hagebakken to vote in favour of the proposal of the Progress Party not to shut down Aker Hospital. There are so many uncertainties about the situation that will arise in connection with closure that it will be irresponsible. I want to make a quote too. I quote: ‘No local hospital shall be closed.’ It's taken from the Soria Moria statement on page 39. I'll make another quote. ‘No local hospital shall be closed.’ It's from Soria Moria II, page 45. And that's probably the worst thing about this case, that the government parties say one thing and make it the opposite. They promise not to lay down a single local hospital throughout Norway, and the first thing they do when they enter into everyday life – in government, during the election period – is to set in motion and do the very opposite of what they have promised in these two declarations, which are the main political documents that underpin the work of the Government. This contributes to political disdain. This is a lifting breach that is so blatant and so brutal that people react with disbelief that a government can do something like this after promising not to shut down a single local hospital. Geir-Ketil Hansen indicated that this is not just a hospital debate. No, I totally agree with that. This is a question of political morality. That is what this debate is primarily about. That it's too bad to put Aker Hospital down, says itself in a city that has had a population growth of 150,000 people in 25 years. Population growth only in Oslo itself has been of the size of a smaller Norwegian state. It is not the time to reduce treatment capacity but to increase it.
ParlaMint-NO_2010-05-04.ana.ud1413e1376	The representative Per Arne Olsen made a point that the Center Party is only for land and not for city. Then I would like to mention that Norway's largest central party municipality, measured in the number of heads, is called Bergen City, with over 4,000 central parties. It was claimed that the Center Party does not regard Aker Hospital as a local hospital, all the time when the hospital is in a central stroke. In the newspaper on December 4th, I state that ‘Aker is a kind of local hospital’ and that I ‘have great respect for all structural changes in the health care system’. In the case of Soria Moria declaration II and the wording ‘No local hospital to be closed’, it is quite special here that there is a case with a long history. It has made clear political decisions, including the Progress Party and the Christian People's Party, where we have given Health Southeast the clear mission that they must reorganize the hospital operations and make them more efficient. In addition, political decisions have been taken to build a new hospital. This is not the case many other places. And when a person talks about morals and political arrogance: if one cannot stand for previous political decisions, it can also contribute most to political arrogance. The point is that, after all, it has a large geographical disparity in the hospital budget. In the capital area it has been a clear over-consumption. It has been a major political issue in many electoral campaigns around the country, which also the Progress Party and the Christian People's Party in the country have been very concerned about. We say in this case that the offer is now to be evaluated in order to ensure that one receives good specialist health services also in the capital city area, and that Aker hospitals have a great potential to be transformed into a cooperative venue for lifestyle diseases, chronically ill, rehabilitation and other health services where large growth is expected. The Progress Party is centrally located in the Municipality of Oslo and can be a driver for this cooperation to be realised.
ParlaMint-NO_2010-05-04.ana.ud1413e1390	You can try to transfer responsibility to the municipality of Oslo, but that is not why we are debating this matter today. The responsibility lies with the Government and the red-green – and a few other parties, who have joined the government parties and voted against the proposal. And the proposal reads as follows: ‘The government is asking for the continued operation of Aker Hospital so that the patient offer is not impaired and the existing capacity is used until the necessary capacity is fully developed.’ This is only in favour of the Christian People's Party and the Advancement Party, despite the fact that the Council of State from this pulpit stated that patients should not be moved until it is as good, no better – she added – offer to patients, and nothing should be transferred until this is the case. Well, then you should actually pay tribute to this proposal and say, this is in line with what I am saying from the pulpit. But in the next breath you say: it wasn't appropriate building mass, it was overcapacity, not appropriate structure, we need to have better use of resources, etc. It came later. You're stuck on the first one, but it's the opposite of what you say later. It's a contradiction. So it's to remind you that there are already Corridor Asians on Ahus. The closure of Aker Hospital is a failure statement, because it is clear that the capacity of Aarhus and the hospital structure in Health South-East is undersized. The policy pursued by the Government expects growth in the population of Oslo of 200,000 people over a 10- to 15-year period, as well as the population growth referenced by the representative Marthinsen – well, at 90 000 in Akershus. It's undersized. Statistical central agency has said that so and so much growth will be. Every year more people come and live in Oslo than the statistics show. This should also be taken into account when looking at hospital capacity. There is nothing to suggest that there will be fewer. And the people who come to Norway often need more hospital services than the general population, because they often come from poor areas, and they need more. The experience has also shown that. Furthermore, we are facing an older wave – it is a negatively charged word, but at least many more older people, who will need more hospital services and not fewer hospital services. However, you choose to lay down Aker Hospital at this point in time. It doesn't make any sense. So little to the representatives of the Oslo Workers' Party. I've been leading the osloben for a few more years. So we have had a unanimous oslobe that has always walked around and said: we do not accept this, we do not find ourselves in it – not least the representative Nybakk and the representative of Bohemia, who have been very active in the closure of the Aker hospital, and are not even present in the Chamber today and simply do not care about the debate after all. So here we have two representatives who are protesting for the world, but are in the process.
ParlaMint-NO_2010-05-04.ana.ud1413e1404	From the answer to the reply I had to the Council of State, I got the impression that in the moment that Ahus was built, one had to realize that it would lead to the closure of Aker hospitals, because, as the Council of State said, the patient basis was removed. But this isn't right. When Aarhus was built, the assumption was that Follo was going to Aker Hospital. As such, the hospital would be preserved and a local hospital that could also provide services to the population of the Groruddalen in the specific areas for which we know there is a need in this area. This is probably an example of how to sign history in order to adapt it to the conclusion you want today. And that's not enough. This whole process has been selfish. When the bodies of Health South-East and Oslo University Hospital decided this, the Council of State stressed that she was very concerned about the Interaction Reform, and that Aker Hospital was going to play a role in that context. What does the board of Oslo University Hospital do next? Well, the administration there suggests to the board that now you should sell the whole Aker and preferably on the open market, a hospital area with buildings that were handed over free of charge to the state of Oslo Municipality in its time. That's the way the governing bodies and the administration have treated Aker Hospital. It says everything about what position Aker has had in this system -- that position has been equal to zero. My claim is that the Health South East administration has had this as a long-term goal all the way, and now they're getting what they want. But I have to say that during this process, you put the Council of State in embarrassment, for example. on the issue of interaction. After the show that you want to interact with the municipality of Oslo, it's going for a few days, and then the administration comes and blows it and says they want to sell the whole thing. Otherwise, they care about the fact that the Municipality of Oslo gave this to the state free of charge, and that one would have a settlement, even though it is actually in the Stortingen's position that a reasonable settlement should be made in case of change. This has been managed by the health company from the very beginning with the aim of shutting down Aker, and it is with the red-green blessing.
ParlaMint-NO_2010-05-04.ana.ud1413e1417	The President is uncertain whether the «feeling about» is a parliamentary expression.
ParlaMint-NO_2010-05-04.ana.ud1413e1420	This is more than one explanation of vote. The left wants to vote in favour of the Christian People's Party and the proposals of the Progress Party, but I do not entirely agree with the argument at all levels of the case. That's why we need sail to argue why we vote as we vote. For the Left, the closure of Aker is not about construction and location. It is primarily about the security of the citizens who are being given their offer there today. All the treatment that has been done recently has not increased our security or our security that they get an equally good offer in what is planned. That is the main reason why we are voting in favour of the proposal. The national population currently cared for by Aker has a special composition. It has special challenges both within and within psychiatry. I think I'm the first left-leader in history who's gone on the 1st May train, but I did that on May 1. It was in the fight for the social rights of seafaring entrepreneurs. But there were several banners I could have gone under. I could also have gone under ‘Keep Aker’. It was touching to see all the drug addicts who went under that tab. I think that should be a warning – a warning that some people feel that much of the professional safety and many of the professional environments that keep them alive should actually be removed. Had it been another disease, I think there would have been even greater riots in the streets if you were to rage a professional environment in the same way as what you're doing here. That is the great concern of the Left. There's a concern especially about drugs and psychiatry, and there's a concern about whether there's enough room for a large part of the population, namely our most populous valley, the Groruddalen. I have to say that the dialogue with the Municipality of Oslo needs to improve when the City Council is as unanimous as it is. That's not always Oslo City Council, that's what I have to say. Then it should call some bells. I have a little comment on the last thing Syversen took up, namely locations. I was a city councillor in Oslo when the hospitals were transferred from the municipality. I was a cultural agency. That means I had nothing to do with so much other than the art collections that were in these hospitals. The government then believed that all the art that the municipality of Oslo had purchased and received in gifts would only be transferred directly to the state without a penny. That was the state's position on this. If the state's attitude to this was to be fully implemented, we would today buy back the paintings that Munch has given to the Municipality of Oslo – if this logic is to be followed. It can't be followed. Here the state has to be able to have the same idea in its head for a few years, and one has to be able to treat local democracy properly, sail if it is the municipality that the government fought against, namely Oslo.
