ParlaMint-NO_2010-03-10.ana.ud2469e26	The representative, Mr Halleraker, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-10.ana.ud2469e912	That was very nice to hear. Then I can give feedback to those who are waiting, because there are actually a lot of people responsible out there, including. HMS workers, waiting for this case to be ready for consultation, and for a better opportunity to detect abuse among health professionals. Today, someone is losing the authorization because of this. But what's being taken up is probably the top of an iceberg. There is an absolute need to find arrangements so that this can be done in a proper way both to those who are going to give these tests and who are going through a scheme to get out of their abuse, and of course very much also to patients and all those who are dependent on highly qualified health professionals who are at all times sober and who know what they are doing. There's a lot of mistakes out there, and it'll be even more wrong if not everyone's as sharp as they can be.
ParlaMint-NO_2010-03-10.ana.ud2469e917	I share the opinion of the representative Giltun of the importance of following up this work. That is why I am also concerned that this work is now being consulted before the summer, and that we are getting all the necessary regulations and regulations in place.
ParlaMint-NO_2010-03-10.ana.ud2469e925	My question goes to the Minister of Health: ‘The hospital Inland HF has proposed to shut down the Hagen treatment centre in Veldre, Hedmark. This is a good offer in the field of mental health protection for children and young people aged 6 to 12 years. Daily and daily services are provided in the field of environmental therapy, psychological and family therapy. The average waiting time for treatment for children and adolescents is in Health South-East 59 days, and 15 pst. feels that they are not being dealt with within the prescribed time limit. Does the Council of State consider the closure of offers to mentally ill children to be appropriate?’
ParlaMint-NO_2010-03-10.ana.ud2469e934	Treatment provision for children and young people in mental health protection is an important area for which the Government wants to strengthen, and for this reason in the 2010 mission paper I have asked regional health companies to give priority to the provision of services for children and young people. I have also requested that the number of consultations within the ambulance business be increased by 10 pst. This applies to both children and young people. In this case I have asked for a statement from Health South-East. The report states that in Health Inland HF there has been a significant expansion of outpatient and outpatient capacity in recent years. The number of children and young people receiving help in mental health protection has increased from 299 in 2003 to 5100 in 2009. This corresponds to a coverage of about 6 pst. of the children’s population in the Inland Hospital. The national target for coverage of 5 pst. is thus more than achieved in this area. Health Inland HF is investigating the future 24-hour offer for children and young people. The study is carried out as part of the overall development plan for children and young people and includes, inter alia: an assessment of the offer of Hagen treatment unit. In this context, it is recommended that Hagen treatment unit be discontinued in its current form and that the offer be integrated into the established offers for children and young people in the Inland HF Hospital. The statement shows that this proposal has not been fully evaluated. Health South-East states that no decision has been taken to shut down the Hagen treatment unit. In the future, the Management Board of the Hospital Inland will follow the development of the healthcare provision in the field of mental health protection through the reporting of activities. In recent years, the situation around the daily capacity of mental health protection for children and young people has been particularly addressed in the State budget. It has been explained that the planned escalation of daily capacity is largely absent and that this is related to the strengthening of outpatient clinics and the development of outpatient forms of work. The field has been and is being developed, and it has been difficult to assess what professionally will be the right volume of daily supply in the future. I will consider the need to review the future structure of the service of children and young people and come back to the Storting in an appropriate way.
ParlaMint-NO_2010-03-10.ana.ud2469e947	I thank you for the answer, which I perceive to be thorough. It contains what in itself creates a lot of frustration out there: one uses alternately a professional and economic reason why Hagen's treatment centre should be shut down, and it's very difficult to deal with both. Professionally, it is difficult to enter into a debate about this. But I've looked at both the results and the development of Hagen, and I'm quite impressed by what they've managed to achieve, both in the form of increased treatment for young people and in the form of new treatments. But I am very pleased that the Council of State has obviously intended to follow this closely. As she says, there's a fairly broad consensus that you need to strengthen this area. We're in bad shape. We are very poor in Europe when it comes to the supply of mentally ill children, and that is not acceptable. I want to see what the real reason is, and see how it evolves.
ParlaMint-NO_2010-03-10.ana.ud2469e954	I would like to stress that there are many places where children are well treated, including in the field of mental health protection. Fortunately, we also have good offers, and the waiting time for this type of offer goes down. As I said, there is no final position to shut down the Hagen treatment unit. However, it is moving towards a much more outpatient and outpatient treatment of those with mental health challenges. I think that's a good and proper development. It is important that both children, young people and adults receive treatment where they are — in their local environment, at home, at work, etc. But as I said, some daily places are also necessary. And in the case of Hagen treatment unit, there's no final position on that.
ParlaMint-NO_2010-03-10.ana.ud2469e961	I think it is very good to hear that a final decision has not been made. Because that's exactly where I get the input: what's the option for Hagen? They have evolved precisely in the direction that the Council of State was in, treating the children where they are. That's how you've increased your capacity. This matter has created a great commitment both to those who know the center and to those who are affected. Young people who have been treated have also stood out and said that these are very competent settings. They say there are no alternatives to the treatment they get there. I really just have to take note of that. As I said, going professionally into a debate about this is a challenge. But I feel quite reassured that the Council of States has such a focus on it, and that she also takes into account that there may not be so many alternatives to exactly what you have here.
ParlaMint-NO_2010-03-10.ana.ud2469e968	As I explained in my answer, there is a relatively good coverage in the Hospital Inland regarding this type of offer. I very much agree that this is an important offer for children and young people – that we take care of mental health and those who need treatment. That's why this is something that I'm very focused on. At the same time, I am also a politician and am responsible for organising the offers. I also follow technical advice on the types of treatment that are right. But as I said, no position has been taken here. It is important that this offer is, that it is a good offer for children and young people, and that they receive help as soon as possible.
ParlaMint-NO_2010-03-10.ana.ud2469e978	I allow myself to ask the Minister for Health the following questions: ‘In the election campaign, Minister of Finance Kristin Halvorsen and Minister of Health and Care Bjarne Håkon Hanssen stated that money would be put into the purchase of land for a new hospital at Gullaug, which was followed up in the state budget. In recent times, however, various representatives of government parties have expressed doubts about the construction of a new hospital at Gullaug. Is the Council of State determined by the purchase of land and the construction of a new hospital at Gullaug in Lier?"
ParlaMint-NO_2010-03-10.ana.ud2469e987	In the 2010 state budget, the capital has granted funds for a loan to Health South-East RHF for the purchase of land on Gullaug in the municipality of Lier. The funds are put at the disposal of Health South-East RHF through the corporate meeting and enable Health South-East to purchase the land in Lier. Before the loan can be disbursed, a government-approved purchase agreement shall be submitted to the Ministry of Health and Welfare. Health South-East concluded an intention agreement with Dyno Nobel AS on 6 November 2009 to conduct negotiations on the purchase of parts of the Dynos site on Gullaug in the municipality of Lier to establish hospital activities. Health Southeast has started work on contamination and other soil conditions on the site. The entered into Memorandum of Understanding with Dyno implies that any final negotiations shall take place within one year of the conclusion of the Memorandum of Understanding. After that, an agreement on any purchase of land must be submitted to the Ministry. Sustainable health care in the years to come places high demands on priorities, resource use and investment decisions in the sector. Regional health enterprises have a comprehensive responsibility, through the health enterprise model, for the investment and operation of hospitals. This overall responsibility is supported by the funding system, where funds are transferred as a framework rather than as earmarked grants. It is the administrations of regional health enterprises that adopt the cost framework and start-up of new projects. Projects over DKK 1 billion shall be submitted to the Ministry after the completed design phase. Major projects requiring loans must be dealt with by government and by government and be granted over the State budget. Through the allocation of loans to land on Gullaug, the capital has arranged for Health South-East to acquire this land. In the context of the 2010 state budget, the majority has unanimously stated that the project at Gullaug is a political priority. The final decision on a new hospital in the Vestre Viken must be formally taken by Health South-East before the presentation of government and enlargement and the allocation of the State budget in line with the legislation on major projects. It has been decided that the first major construction project in Health South-East is the project in Eastfold. After starting construction in Østfold, the construction project in Buskerud may start up, provided that all formalities are in place and the funds are allocated to the State budget.
ParlaMint-NO_2010-03-10.ana.ud2469e1006	I thank you for your answer. It was in so far as a proper review of the facts of the case in terms of the case and the procedures. But what remains, which is difficult to grasp for one in the opposition, is that there are ever different signals from government teams about the validity of the decision taken. It is of course valid, but it is undermined by representatives of the government parties. Just before Christmas, State Secretary Heidi Sørensen went out and said that the location of the hospital was wrong, it should be in the middle of town, and she referred to Trondheim. Buskerud's own Per Olaf Lundtigen does what he can to then doubt the project, and the Center Party's annual meeting in Buskerud took a long time to shut down a new hospital at Gullaug. Is the Council of State personally concerned — and does the Council of State — that a new hospital should be built at Gullaug?
ParlaMint-NO_2010-03-10.ana.ud2469e1017	I am dealing with what the Stortinget has unanimously said in the context of the 2010 state budget, where they have stated that the project at Gullaug is a political priority. It would not be put at the disposal of money for the purchase of a land to build a hospital at Gullaug if you did not mean it seriously. I can only repeat what I have said in this case, that this hospital in Buskerud is second place in the priority of Health South-East. First it's Eastfold, then it's Buskerud.
ParlaMint-NO_2010-03-10.ana.ud2469e1024	Can the Council of State give any indication of when the negotiations on the purchase of land will be in place? Bjarne Håkon Hanssen stated a few days before the election when he and Kristin Halvorsen were visiting the Dyno-tom at Gullhaug, that now it was just a matter of weeks before one could agree on an agreement, and then the money would be put at the disposal of the 2010 budget. Has the Council of State been informed – and is it aware of – how the negotiations are going? Are they starting to approach the final phase? Now we're almost a quarter out of the year, and at least locally in Buskerud we haven't heard anything about the status of the negotiations, and after what I understand, it hasn't happened very much since the grant was made in the state budget. Can the Council of State give a time when negotiations should be in place and the land should be purchased?
ParlaMint-NO_2010-03-10.ana.ud2469e1029	I guess it's not very strange that it's not constantly being informed about a media negotiation process. As far as I am aware, the negotiations are under way. I also believe that this is an agreement of intent. But I'll be careful to say something more about this. There should at least be no doubt that money has been put at the disposal of this land for the purchase for hospital purposes.
ParlaMint-NO_2010-03-10.ana.ud2469e1037	My question is: ‘During the presentation of Climate Action 2020 on Wednesday 17 February 2010, the Director of the Directorate for Climate Change and Pollution, Ellen Hambro, stressed that the projections in the Norwegian reference path include emission reduction effects from measures and instruments already adopted and that emissions could increase beyond the projections if not triggered as foreseen. Among the measures included are carbon capture at Kårstø and Mongstad and 1 pst. efficiencies in transport, industry and oil per years. How are we today in relation to the reference track?’
ParlaMint-NO_2010-03-10.ana.ud2469e1046	According to the climate agreement, it is realistic to have a target of reducing domestic emissions by 15 to 17 million tonnes by 2020 in relation to the reference path as presented in the 2007 national budget, when forests are included. The so-called reference path used in Climate Change 2020 shows emissions in 2020 of more than 58 million tonnes of CO2 equivalent. According to figures from the Central Statistical Office and the Climate and Pollution Directorate, emissions in Norway were 54 million tonnes of CO2 equivalent in 2008. Emissions from the transport sector were reduced by almost 2 pst. from 2007 to 2008. The decline may be partly explained by lower activity towards the end of the year as a result of the financial market turmoil, but statistical central agency also points out that the decrease can be due to more energy-efficient vehicles, the switch from petrol to diesel and increased blending of biofuels. For example, CO2 emissions from first registered passenger cars have fallen marked after the government imposed the one-off taxes on cars from 2007. The reference path is based on the long-term projections presented in the 2009 Perspective Communication, but with certain updates. The updates have helped to make the reference path slightly lower in the coming years than in the Perspective Communication, but from 2012 to 2030 emissions are estimated to be higher in Climate Change. The changes in the reference path are mainly due to changes in the estimation of the petroleum activity. The reference path has been developed in line with international guidelines for reporting emission projections. In line with this, the effects assumed by the measures adopted have been incorporated, to which the representative Hemdal refers. The reference path is therefore not a description of the Government’s objectives, but an estimate of the evolution of emissions given the continuation of current policies and instruments. There are significant uncertainties related to predictions of environmentally harmful emissions to air. The reference track builds, inter alia: that no concession is granted to new gas power plants without capture and storage of CO2. Furthermore, since the 2008 climate agreement, several instruments and measures have been put in place to reduce environmentally harmful emissions into air. Among other things, new building regulations with more stringent energy efficiency requirements have been developed, while the quota system has been extended and car charges have been shifted in an environmentally friendly direction.
ParlaMint-NO_2010-03-10.ana.ud2469e1071	I thank you for your answer. The reference path is an estimate of the policy pursued, but it is true that in the reference path presented in the 2009 Perspective Communication, the impact of capture and storage, as the Council of State says, of CO2 from gas power plants has been introduced. We know that the status of Kårstø has not been clarified by the Government. It's a message we're now waiting for. Failure to deliver in this area will have consequences for the reference track and what is desirable. Therefore, it is important to be up-to-date on the changes made by the Government in relation to what was presented in the 2009 Perspective Communication. My question is: how – especially in relation to oil and gas, on which the Council of State itself was involved – are we more specific?
ParlaMint-NO_2010-03-10.ana.ud2469e1085	The questioner has a precise understanding of what the reference path is. The reference path is not an objective, it is what we believe will happen if today's policies and instruments adopted today are implemented. If individual elements of what has been adopted were not to be implemented, it is clear that it will be more difficult to achieve the objectives. Further action is needed to get into the reference path before further action is needed to reduce the size of the population, namely to reduce 20 pst. domestic. So the reference path is simply something to be able to relate to in terms of our goals. For example, it lies. in the context of an expected energy efficiency improvement, an expected technology improvement based on how technology has been improved in the past. If any of these were not to occur, it would be more difficult to achieve the objective, and further and greater measures would have to be taken outside the reference path.
ParlaMint-NO_2010-03-10.ana.ud2469e1090	I thank you for the answer and for the opportunity to also go a round further on just this. The projections presented by the Government in the Perspective Communication show some direction for Norwegian policy. But it is said in the Klimakur: ‘Effects of the capture and storage of CO2 from the CHP plant on Mongstad and of reduced emissions from Kårstø have been introduced.’; So we know that there is uncertainty about both of these projects. We also know that there have been changes in the national budget from 2007, which was the first reference point, to 2009. We also see in the Climate Action that new estimates have been made on this precisely after the revised national budget for 2009. So my question is, what will the government do if we don't reach these targets that the reference path adds up to Mongstad and Kårstø?
ParlaMint-NO_2010-03-10.ana.ud2469e1107	As I have repeatedly said in Stortinget, it is not possible for any government or politician anywhere in the world to say exactly when new technology will be implemented. One can set goals and work hard for it, but technological breakthroughs cannot be fixed with an exact date. The absolute clear objective of the Government is that carbon capture and storage should be carried out in such a way that it goes into our 2020 target, of course. If this fails, it simply means that, on the basis of the Storting’s clear decision on the climate agreement, major, tougher and more drastic measures need to be taken in other areas to achieve the climate objective.
ParlaMint-NO_2010-03-10.ana.ud2469e1116	«Today, forest controls around 47 pst. areas of the municipality of Ballangen. They now want to protect 10 pst. of the areas, which will stop, for example: the development of environmentally friendly power plants, and will also stop cabin construction and logging, etc. The Ballangen municipality has made two unanimous decisions in the local council that this is not desirable for the municipality. The municipality has also proposed that if they had to protect absolutely, they could do so on another area in the municipality. Does the Council of State consider that it is necessary in total to overcome a legally elected local democracy?’
ParlaMint-NO_2010-03-10.ana.ud2469e1123	I thank you for the question. The efforts to stop the loss of natural diversity are one of the most important challenges of environmental policy. In Norway, nearly half of all endangered species live in forests. Norway has also, from an international perspective, an unusually large variety of forest types. Increased protection of forests is therefore a necessary measure to ensure natural diversity in Norway. There is broad political support in the Storting for increased forest protection and for active use of publicly owned forest land in this work. State forest has been in favour of contributing to the work and has concluded a cooperation agreement with the Directorate for Nature Management on the implementation of the practical work. In recent years, a number of countries, including Northern Ireland, have been surveyed for the protection of forests on state soil. In June 2009, the Directorate for Nature Management sent its recommendation on the protection of 33 publicly owned forest areas in the Nordic Region to the Ministry of the Environment. Two of these 33 areas are located in the municipality of Ballangen. In the case of the protection case, extensive processes, including consultations and inspections, have been carried out to ensure that all parties are consulted and that all matters relevant to the case are assessed. All hearings and assessments made earlier in the case are part of the Ministry of the Environment and are part of the final consideration of the case. At least I can assure the asker that all the important aspects of the case were carefully assessed during the final consideration of the case, also in the specific areas of the municipality of Ballangen. I would like to stress that the Government attaches great importance to the fact that existing uses should be able to continue as far as possible within new protection areas, as long as this does not conflict with the protection purpose and the protection values. This includes, inter alia: that people can move in the area, fish and hunt, sank mushrooms and berries.
ParlaMint-NO_2010-03-10.ana.ud2469e1141	I record that the minister did not at all answer the question I asked him. I asked him how he looked at local democracy. We also know that Nordland is a state that is protected in the heel, which goes beyond the usual operation of the municipalities today. It is difficult to start operating new start-ups, both industry and other, when protecting everything. In the municipality of Saltdal you have managed to protect over 70 pst. But I have another question, when the Council of State did not answer the question I asked about local democracy. Two or three weeks ago in the evening post, the parliamentary leaders of the Central Party and the SV and the Prime Minister stood forward and said to travel around the country to hear what businesses, kindergartens and schools said, because it was important for them to have firmly anchored what they were going to talk about. Why does it not apply to the legally elected local democracy, such as the municipality of Ballangen? What's the difference between it and a kindergarten or a business?
ParlaMint-NO_2010-03-10.ana.ud2469e1148	The questioner is based on the pointless claim that we do not emphasize what local interests in the municipality of Ballangen say. Of course, there is a lot of weight. There was a separate public meeting in Ballangen on the occasion of the case. We have gathered a number of views from the Ballangen Municipality, from the Ballangen Energy, from a number of local stakeholders. All this will be part of the treatment. I think the questioner also understands that in the middle of the treatment of such a case I cannot stand in Stortingen and decide on the outcome of it until we have completed the treatment. Then I notice a very important thing, and it is that the Progress Party at all does not seem to be interested in the very basics of the matter, namely taking care of the natural diversity. The natural diversity in the world is one of the great threats to humanity – the fact that it is decaying – we lose a large number of species globally every year. Norway has to take part in the work of caring for it, and then forest protection in Norway is essential. I want to challenge the Progress Party for once to come up with some positive ideas about nature protection, about species diversity and about the basics of taking care of the amazing world with which we are equipped.
ParlaMint-NO_2010-03-10.ana.ud2469e1155	It'll be a little sweet to listen to the minister who's standing here and telling you that you're focusing on what local democracy and society around you are saying. That is correct, what has been said; they have been heard, and everyone has said no, they will not, and if something has to be protected, you can protect other areas. But here you choose not to hear so much about it. A municipality like the Ballangen has a lot of relocation because they don't get to develop the tourist industry and other industries, because you protect everything. You can't build up the local power plants that can give them the tax dollars, because they also have that in their protective plan. I see that none of what's going on in local democracy is being taken over. There's nothing special new about the party from which the Council of State comes. But look at the Charter of the Council of Europe of 15 October 1985. Point 4 3 says the following: «Public authority shall preferably be exercised by the authority closest to the individual citizen.» One might wonder if the government of Norway here is in violation of human rights.
ParlaMint-NO_2010-03-10.ana.ud2469e1169	So now the questioner first relies on the view that the conclusion in this case is given initially. Let me then say that it is now for thorough treatment, and then we listen to all the views, both those who are in favour and those who are against, and then we draw the conclusion on the basis of it, which is of course an opportunity for the Storting to come back to if you want it. But I also record that it is impossible to trace any enthusiasm for the protection tank at the Progress Party. I don't know how many places I've been, where there's been a huge amount of protests before a protection has arrived. But when the protection has come, people have afterwards seen great opportunities. You turn around, you see tourist potential, and you get local pride. This was also the case in the Nordic countries, where we have opened several national parks lately, where there was great criticism in advance, but how much of it has turned to positiveness when people have seen the possibilities – instead of just complaining and sewing continuously, as the Progress Party does.
ParlaMint-NO_2010-03-10.ana.ud2469e1174	Question 11 has already been answered.
ParlaMint-NO_2010-03-10.ana.ud2469e1180	I will ask the Minister for Agriculture and Food the following questions: ‘Suggests that Tine exports Jarlsbergost supported by the milk price equalisation scheme. Tine has exported Jarlsbergost corresponding to one year’s Norwegian milk production for the last ten years and has received aid throughout this period. The aid is financed by the sale of human milk in Norway and is 39 øre per. liters. I believe it is unreasonable that Norwegian consumers should subsidise the production of cheese to be sold abroad. Will the Council of State take an initiative to wind up this export aid?’
ParlaMint-NO_2010-03-10.ana.ud2469e1189	Norway follows international trade agreements and regulations as designed by the World Trade Organisation, the WTO. Under the current legislation, we have the right to export 16 207.5 tonnes of cheese to a maximum subsidy of 245.8 million. kr. This is an opportunity that, in sum, applies to all cheese producers in Norway, and there is a possibility that is not limited to one single operator. However, in recent years Norway has not made full use of this quota. I am pleased and proud that we in Norway are able to produce good products that the international market wants. This is good for Norwegian agriculture and helps to ensure the level of milk production in Norway. The additional output resulting from these exports is an important contribution to meeting the agricultural policy objectives and ensuring agriculture throughout the country. However, negotiations are taking place in the WTO on the revision of the acquis. As the negotiating text now stands, all forms of export subsidies are likely to be phased out when a new agreement may be implemented. We will, of course, comply with this legislation if it is the final result. At present, it is not possible to say when the WTO negotiations will be concluded and when any agreement will enter into force. I see today's exports as an opportunity to build brand names for Norwegian products, so that we can also export Norwegian products on the day export subsidies disappear. Export subsidies on cheese are currently financed by the milk price equalisation scheme. Any cheese producer may receive such a subsidy if they produce export marks. The milk price equalisation scheme aims at regulating the price differentiation of milk as a raw material for different applications while at the same time allowing milk producers to realise the target prices of milk in the agricultural agreement, irrespective of the use of milk and the location of production. The pricing mechanism is a zero-sum game, where subsidies on some products and taxes on other products go up. The milk price equalisation scheme finances a number of mechanisms to ensure competition and freight costs in the sector. I'll show you here, among other things. to the changes made in 2007 to increase competition in this sector, as dealt with by the Storting through St.prp. No 77 for 2006-2007, on agricultural production in 2007. The actors in the sector have been pleased with the changes that have been made, and I am pleased with the calm that has been created in the sector, with the changes that the current government has introduced. I've got per. no plans at present to wind up this form of export aid addressed by the representative of Nesvik. However, I will follow up the international agreements that apply at all times. The milk price balancing mechanism is an important instrument of agricultural policy and competition policy, and it is important to see this system as a whole.
ParlaMint-NO_2010-03-10.ana.ud2469e1204	Thank you for that. I must admit, of course, that answer does not surprise me so much. Of course, the Council of State defends the export aid scheme that is being granted and does not take into account the fact that the person who pays the bill for it is the consumer. The consumer who is to buy human consumption milk is the one who pays the price also for this export aid. The background to my question is that I have gone through the latest period, 2000-2009, and the calculated quantity – i.e. raw material in the price balancing system – and that gives cause for concern. There are very many hundreds of millions of dollars being given to this export support scheme, so that Americans and others can enjoy the Norwegian cheese at a lower price, at the expense of Norwegian consumers. Does not the Council of States consider it problematic at all that Norwegian consumers of human milk actually have to pay the bill in order for Americans to get cheaper Jarlsbergost?
ParlaMint-NO_2010-03-10.ana.ud2469e1215	I stress again that Norway follows international trade agreements and legislation as designed by the World Trade Organisation when we subsidise the export of cheese. We will follow it at all times in the future as well, to underline it. I am, as I said, happy and proud that we produce good products in Norway that the international market wants. Cost levels and nature in this country make food production expensive in Norway. The Norwegian people believe that it is important that we ensure agriculture throughout the country, and are willing to pay for this. Through the milk price equalisation scheme, both milk producers, the processing industry and consumers contribute to the maintenance of viable milk production throughout the country. The scheme contributes to the smoothing of milk producers’ payment prices, irrespective of the use and location of milk in the farm. Price balancing is also part of a market regulation system that ensures Norwegian consumers stable and low food prices. The recent fluctuations in the price level of the world market show that it is not a matter of course for consumers in other countries. The milk price equalization scheme is part of a whole, and I think it gives a distorted picture of the scheme when the representative Nesvik presents the calculation he is doing. For example, within the scheme: a number of other subsidies to ensure competition in this market and cover freight costs in the sector.
ParlaMint-NO_2010-03-10.ana.ud2469e1224	This is not correct. The calculations I'm presenting are directly linked to Jarlsbergost and support for Jarlsbergost. I haven't used any other operations. I'm actually using numbers from the Norwegian Institute of Agricultural Research, so I'm not using crazy numbers. I'm not adding other things to the numbers. But the Council of State does not answer my question. The starting point for addressing this issue here today is the paradox that Norwegian consumers have to pay a higher consumer milk price because Americans have to be able to buy cheaper Jarlsbergost – and people in some other countries. My question was, doesn't the Council of State see the paradox in it? I have not accused Norway of breaking international law. I have not said that it is not allowed to do this now, but I have noticed that Norway in the WTO is joining forces with the bulwarks of the class in terms of the use of subsidies, and seems to want to counter the free market. My question is left to the Council of State: does the Council of State not see the paradox that Norwegian consumers are going to pay for cheaper cheese abroad?
ParlaMint-NO_2010-03-10.ana.ud2469e1231	Through the price-balancing mechanism, where milk cohesion is an integral part of the process, we are helping to ensure the reduction of milk throughout the country, we are ensuring freight arrangements, and we are ensuring subsidies that guarantee competition in the market. It is an important feature of the price balancing system. Another purpose of this scheme is also to ensure the reduction of milk in Norway, production from Norwegian farmers throughout the country. Clearly, the volume exported is important for Norwegian farmers, and it is important to ensure agriculture throughout the country. That Norwegian consumers pay the consumption abroad, I disagree. We have legislation that we follow up, and we have milk prices and food prices in Norway that are relatively low in Europe.
ParlaMint-NO_2010-03-10.ana.ud2469e1241	I would like to ask the Minister for Agriculture and Food the following questions: ‘In 2009, there were 445 agricultural fires, 223 of which were operational buildings. This also resulted in some animal tragedy. What will the Council of State contribute to reducing the number of fires?’
ParlaMint-NO_2010-03-10.ana.ud2469e1250	I thank the representative, Mr Bredvold, for an important question. It has, as the representative stresses, been an unfortunate development in the case of fires in operational buildings in recent years. There were 223 fires registered in operational buildings in Norway in 2009, which is the highest number of 10 years. In this context, I would like to point out that the legislation on the keeping of animals laid down under the Animal Protection Act lays down a number of building requirements to help prevent fire, prevent the spread of fire to animal spaces and to ensure the possibility of the evacuation of animals. This is a requirement for fire detection when the stock of animals exceeds a certain size. There shall also be the necessary escape routes and fire-fighting equipment in buildings with domestic animals. According to the Agricultural Fire Protection Committee, the incorrect use of electrical equipment and faults or defects in the electrical system is due in 70-80 pst. of the known causes of fire in agriculture. A number of important advice has therefore been developed to ensure the safety of service buildings against fire. The warning system shall be tested and checked at regular intervals. The electrical system is required to be checked at least every three years by professionals. I would point out that it may be difficult to evacuate animals that have panic during a fire. Therefore, both in the control of the electrical system and in the development of good structural solutions are extremely important. The Fire Protection Committee of agriculture, with members from industry, the insurance industry and relevant public departments and authorities, works closely together to prevent and limit damage to agricultural fires. The routine monitoring of operational buildings by the Food Authority with regard to animal husbandry and welfare will focus on preventive measures. In some areas, the district offices of the Food Authority have formally and informally cooperated with the fire service and the electrical supervision of coordinated supervision. I believe this is a good and important measure that I would like to encourage the Food Safety Authority to develop further. Finally, it is important to stress that it is the animal owner who is ultimately responsible for fire safety and prevention in his activities. It is animal ownership that must ensure that buildings comply with the fire safety requirements laid down in the Fire and Underlying Code Act.
ParlaMint-NO_2010-03-10.ana.ud2469e1265	I thank the Council of State for a good answer. That the council understands the seriousness of the question, I understand that too, so we have enough common interest in bringing down the number of injuries as soon as possible. This has been a very negative trend. In 2006, 122 operational buildings were in operation, and in 2009 223, so it is a double of just four years. When you look at the amounts paid out in fire compensation, it was 98 million in 2006. NOK and in 2009, four years later, a total of 289 million. kr. So there's been a negative development both in terms of the number of operational buildings that have burned down, and the amount of compensation. This is a matter that I also raised quite a long time ago. On October 21, 1998, I had a similar question to the then State Council. It was also promised that things would happen. Something may have happened, but the number of accidents is still there, and the number of animals are still there. So we have to do something.
ParlaMint-NO_2010-03-10.ana.ud2469e1272	I agree with the description given by the representative Bredvold of the challenge. I'm not satisfied with the situation and the negative development we've seen, and as Bredvold then correctly mentions in his post. I would like to stress that I believe that fire safety and prevention are all, most important in preventing fire in operating buildings. There is a need to work with attitudes, and there is a need to work with knowledge both in supervision and not least in the animal owners responsible for following up there. Electrical installations and equipment are, as I said, the main cause of fire, and these must be regularly examined and maintained. In operating buildings of slightly different quality there may also be different quality of the electrical installations, which is a challenge in itself.
ParlaMint-NO_2010-03-10.ana.ud2469e1281	I thank the Council of State once again, and I still understand that we are going in the same direction and have the same goal. It's okay that the animal owner is responsible, and of course that's right. But maybe it should have been that if you have animals, regardless of the number of animals – now you have to have a warning system if you have a certain number of animals – you would generally have a fire warning system, because animals are special. With fewer and fewer operational buildings, the operational buildings used will have more and more animals, so that when an accident occurs, there are many animals that go with it. In the case of electric control every three years, it's probably all right. Maybe it should be even more often – I might say, because with an agricultural economy that is also getting worse, this may be something to save on.
ParlaMint-NO_2010-03-10.ana.ud2469e1290	I share, as I said, the concerns expressed by Bredvold. I think the points he raises are very important to continue working on continuously. From the department we refer to recommendations from the Agricultural Fire Protection Committee. There are thorough reviews from this Committee with recommendations to the different animal owners on measures to be implemented, both in terms of safety and prevention. There may be compartmentalisation of buildings and there may be compartmentalisation between livestock rooms and other parts of the operational buildings being carried out. It is also the case that individual farmers may also need to draw up contingency plans and carry out exercises. It's an area we have to look at. But, as I said, it's demanding to rescue animals when it burns first. So prevention is it all, most important.
ParlaMint-NO_2010-03-10.ana.ud2469e1300	‘Social entrepreneurship operates at the intersection of volunteering and the market. Social entrepreneurs operate with a double bottom line. The aim of businesses is both to make important contributions in areas such as poverty reduction, health, education and the fight against exclusion, and to create jobs and viable businesses. How can the Council of State contribute to better conditions for social entrepreneurship in Norway?’
ParlaMint-NO_2010-03-10.ana.ud2469e1307	Social entrepreneurship is about developing new forms of cooperation between countries, volunteers and the market, without compromising the fundamental division of responsibilities between public and private actors. Social entrepreneurship is currently being put on the agenda in a number of environments. I would like to take this opportunity to mention the contact committee between social and economic organisations and the Government. KREM, one of the members of this selection, contributes as social entrepreneurs in the work of local Nav offices on the qualification programme for vulnerable groups. Several research and higher education environments also address issues related to social entrepreneurship from different perspectives. I'm looking at the increased commitment to social entrepreneurship with great interest. New forms of cooperation can help to reach new groups and trigger different types of activities than traditional forms of cooperation between the public and private sectors. Social entrepreneurship can have a comparative advantage over traditional public solutions through experience-based knowledge, practical experience and networks. I would therefore like to look at how different levels of administration, including the local Nav agencies, can contribute to the development and development of such initiatives. In this context, I would like to be particularly concerned with initiatives that can help many of those who are far from the labour market to get into work and activity, as KREM, for example, contributes to the implementation of the qualification programme. In my assessment of public policy instruments, I would like to be concerned with identifying forms of cooperation that allow the creativity of this type of initiative to take precedence, while at the same time making it clear to the public what contributions are being sought and what requirements are being made.
