ParlaMint-NO_2010-05-26.ana.ud2104e26	The representative of Morten Stordalen will present a proposal for a representative.
ParlaMint-NO_2010-05-26.ana.ud2104e860	It is a fact that one will have to struggle with competence in different fields within the railway industry in the future, not least because much more work is to be done, year by year. But then I would say that the Railway Agency itself has offensively taken hold of this. It is they, in cooperation with the higher education community, who need to take a closer look at what kind of education is needed. And then I get to make sure that funds are put at the disposal of the work to be done all the time. I believe that the representative must be very satisfied with the approach that the Railway Agency now has, and I will take with me what she has put forward here – on the importance of competence – back to the Railway Agency.
ParlaMint-NO_2010-05-26.ana.ud2104e868	‘The government has initiated NOU 2009:3, which assesses the establishment of its own roadside supervision, and a majority of the sample that has carried out the investigation recommends the establishment of such supervision. The government has this in mind. How much will the establishment and operation of any roadside supervision cost?’
ParlaMint-NO_2010-05-26.ana.ud2104e875	As the representative de Ruiter points out, a public selection has been set up to address the issue of own supervision. The selection, which was made in 2007, was responsible for assessing the creation of a possible independent road infrastructure oversight body. Such supervision should not, in relation to the mandate, be responsible for supervision directed at road users or vehicles. The selection presented a split position in February 2009, cf. NOU 2009:3. Safe path. A multiple of the selections went in to establish such a self-supervisory role in road infrastructure. A minority considered it unlikely to establish such a body. Since then, the selection report has been wide-ranging, and the Ministry of Transport actually received 59 hearing replies. In my opinion, in order to establish a new independent roadside supervision, it is necessary to provide evidence that this body provides increased road safety. The need for supervision must therefore be assessed against the impact this would have on road safety. In this, I implicitly demand that resources relate to the establishment and operation of supervision cannot be used more effectively on other measures to achieve such a goal. We need to be careful to suggest changes of this type without at the same time being able to support the fact that such changes provide more certainty. The selection assumes that an independent infrastructure supervisory body will have to have a crew in the range of 50 to 100 years. The experience of the other agencies under the Ministry of Transport shows that these agencies have an annual cost of something in excess of 1 million. kr. If we base these numbers, it means that the annual cost of such supervision could be between 50 and 100 million. kr. The costs associated with the establishment itself are not included in this estimate. One aspect that is also important is access to competence. The creation of a new independent body will further reinforce the major recruitment challenges that we already have and that we want in the years to come. There will be a great deal of the same competence as road sector supervision, as the road owner and road authority demand. A supervisory resource will always have an alternative use. Of course, the government's assessment is about how we can get the most security out of resources. As I have previously reported to Stortinget, I propose to provide an information on the government's assessment of this matter in the context of the 2011 government budget.
ParlaMint-NO_2010-05-26.ana.ud2104e888	I would like to thank the Council of State for a very good answer. I want to go back a little bit to what the Council of State concluded with, the effect and what one can get out of 50-100 million. kr to road safety measures in the year. I would therefore like to ask the Council of State the following questions: What can we get from road safety measures for 50 to 100 million. kr every year?
ParlaMint-NO_2010-05-26.ana.ud2104e895	The selection presents figures that show that under certain circumstances, alternative use of resources that self-monitoring will require — perhaps about 100 million. kr – over a 10-year period can reduce the number of people killed and seriously injured by about 300. It is subject to certain conditions and more than ten years. That's one number. Something else is a middle divider. That's the average cost of 17.5 million. kr per km, so it can mean 6 km with middle parts. For rumblefields, the price is more reasonable. One can get 29 km of space for 100 million. kr.
ParlaMint-NO_2010-05-26.ana.ud2104e902	These were quite interesting clarifications about what you can get from alternative use of the money. I have probably a question to the Council of State on the back of my mind: has a reflected on what are possible alternatives to roadside supervision?
ParlaMint-NO_2010-05-26.ana.ud2104e909	One option might be to continue the responsibilities and the division of tasks that are currently involved. There's supervision of our roads today, too. Sometimes it is produced in Stortinget e.g. as if there is no supervision. The state road service is on the plate evenly both on the road and not least in connection with accidents. There are other supervisory tasks. So one option is to leave it as today. Another option may be to create a separate device within the Road Directorate. There may also be other options. These are assessments that I want to come back to in connection with the state budget.
ParlaMint-NO_2010-05-26.ana.ud2104e917	I allow myself to ask the Minister for the Environment and Development the following questions: ‘Haugesunds Avis on 6 May 2010 states that the Ministry of the Environment will participate with 17 members of staff from the Cultural Memory Department in connection with a well-founded visit to Odda and Rosendal. Other municipalities and action holders experience a very large number of state employees attending meetings where objections and mediation are on the agenda. At the same time, many lengthy procedural hours are experienced, and many state objections are also maintained after mediation. Does the Council of State consider such cases to be reasonable, or could it be less involved?’
ParlaMint-NO_2010-05-26.ana.ud2104e926	I am, like the representative Kambe, very concerned that public administration should be effective, that there should be as short a period of time as possible, and that officials and for the part of politicians should work hard and ‘get up early in the morning’ in order to get matters out of hand. Having said that, I would like to say that this was a very well-founded trip. The criticism we usually get in the Storting is that there's too much caffè latte culture, as representatives of the Right and the Advance Party sometimes say, in the central government, that there's too much Oslo, and that people are too little out there. That case handlers working with cultural memories travel to such a central place for Norwegian cultural memories as Odda, I believe is very well justified. I want to go so far as to say that that's the opposite of the problem, that politicians and case handlers are too little outside. The problem is not that they're out too much. If you're going to be able to do a good job with something as central as cultural memories, you have to know the field. You have to be able to see it separately. You can't work on it just theoretically on paper, you have to be out there where it happens. Having seen cultural memories with your own eyes makes you work a lot better at it. I also notice that the questioner in his formulation of the question says that this was ‘a well-founded visit’. It was a very well-founded visit, and it woke, as I perceived it, very positive reactions in Odda that so many came. Let me just say in the end that cultural memories in Odda are very high on our priority list. We have a long tradition in Norway to take care of old buildings from farm culture, stave churches and many other cultural memories, but one of the main themes now is industrial memories. For a government that jumps out of the labour movement, it is clear that it is a very special obligation.
ParlaMint-NO_2010-05-26.ana.ud2104e937	Thank you for a good answer. It's always fun with a government council that comes to the quiz without a script from the office. Some of the points were, as I wrote, that it was ‘a well-founded visit’. My point wasn't that. The hearing had quite a debate in connection with our opinion that, among other things, The Ministry of the Environment, with the officials of the Minister for the Environment, is over-managed and has too many employees. They have too many objections and obviously have so much time to deal with objections and abuses of local municipal decisions that they actually do. My follow-up question is therefore: does the Minister for the Environment have figures of how many objections he himself contributes to each year? Does he also have similar figures on how many issues are solved by mediation with the Minister for the Environment?
ParlaMint-NO_2010-05-26.ana.ud2104e946	I hate to give imprecise numbers to the Storting, as it must be when I'm going to take it for my own memory. So I have to give this with the condition that I'll come back with more precise numbers, so that I don't bring the Size behind the light. There are, of course, a small number of issues raised in the Ministry of Environmental Protection. In planning things, I think it's about 50 – but once again, with the condition that now it's in my memory. Sometimes it's an advantage that government councils come up with answers from the government, because that's when you're right on these points. But it's not the Ministry of the Environment that brings things in. It is the county that is responsible for ensuring that state laws and regulations are complied with – in essence, make sure that the Grand Council, often with the help of the Right, has been adopted, is put to work. But it happens on the basis of opposition from the state. I think we deal with 50 things a year, and we sometimes give the county straight and sometimes the municipalities right.
ParlaMint-NO_2010-05-26.ana.ud2104e953	It's quite obvious that the state has far too many objections. Even when local and regional objections are raised by the county, there is mediation with the municipalities and, in the ultimate sense, the Ministry of the Environment. We believe that the county should have a significantly less opportunity to object to local plans with a wide local anchorage. What I could imagine asking about – just as part of my question – is that many people experience a long process for many of the issues in the Ministry of Environmental Protection. One of the issues that very many municipalities are waiting for is the state guidelines for, among other things. The 100-meter belt in the beach zone. The hearing period expired almost one year ago. When are they coming? There are a lot of municipalities that have called for it. The council and I have had an interpellation debate where we came up with requests for differentiation of the beach zone management, and that is what the department is working on. Is it true that there are too many people working with other things, that you're dealing with the local authorities' own affairs, rather than dealing with a differentiated beach area management?
ParlaMint-NO_2010-05-26.ana.ud2104e962	As far as the beach zone is concerned, we have introduced a third of this, which was not when the Right was in government – just to start with it. In that third, there is still some work with the municipalities that are in the middle category. In general, there are municipalities in Hordaland and Rogaland, and therefore, of course, of special interest to the questioner. We will come back with an initiative in this area in the near future. That being said, this is a fundamental disagreement between the Right and the Red-Green Government. I have to say, as I also had in a previous debate, I cannot clarify it in the Question Time now, that the Right as an Environmental Party was a fundamental setback, contrary to what we now see in the United Kingdom, where the Conservative Government is trying to take environmental considerations into account. It's a little unclear what Right thinks, but if you're going to take this seriously, it's going to be a fundamental retreat for the Right as an environmental party, and go against – as it's also documented in the Stortinget – what Right stood for when Børge Brende was Minister of Environmental Protection, and you were part of the Bondevik government. But the influence of the Christian People's Party on the Right and Børge Burnde's influence on the Right may well have gone out, so you can allow yourself to go very far back in environmental policy.
ParlaMint-NO_2010-05-26.ana.ud2104e969	The story goes back to question 1, from the representative Hans Olav Syversen to the Prime Minister. The question will be answered by the Minister of Justice, who will address it.
ParlaMint-NO_2010-05-26.ana.ud2104e975	‘What are the assessments made by the Prime Minister’ — or the Minister of Justice — ‘on the grounds that the proposals and the majority decisions of the Grand Duchy have been contrary to the Constitution for a second time?’
ParlaMint-NO_2010-05-26.ana.ud2104e980	First of all, I want to express my enthusiasm to be allowed to discuss this kind of question also in Stortinget, because these are important questions. It's about balance of power, it's about control, and it's about democracy. The Court of First Instance ruled on 12 May 2010 in favour of the Santa Claus directive, which provides for more favourable conditions for landowners on state grounds than otherwise provided by the Law on Landfills — a clearly important social system for many. The majority of the Supreme Court – nine judges – found that the instructions were contrary to the Constitution § 106, which, to the extent that properties owned by the Information Society’s fund – and I have to add – was a provision that was not so often tried in Norwegian courts. The Court of First Instance ruled on 12 February 2010 in favour of a recasting of the shipping tax system. A majority of six judges considered the conversion to be retroactive in contravention of the Basic Law § 97 – a provision that may otherwise have been applied more frequently. In both cases, the constitutional question was thoroughly investigated by the government. Oral hearings were held with several constitutional experts during committee proceedings in Stortinget, and the constitutional issue was fully commented on in the Odelstingen settings. Both judgments of the Supreme Court have been passed under this one, so that a minority essentially had the same view of the constitutional issue as the government and the majority of the population. This shows that such constitutional questions, which were raised in the two cases, are difficult, and that there may be different perceptions also among the top experts in this area. I have to add: had we had a template that could say something about legal standards, and how they were to understand – even when the Supreme Court is going to evaluate them, and also when it's against the Constitution – it could have been easy. But, fortunately, it's not like that. In both cases, the relevant legislative changes should take account of important societal considerations. In socially important matters, the government must be able to use the space for action which, after a thorough assessment, is considered to be within the boundaries of the Constitution. The government and the majority of the population believe that these two cases did not exceed these limits. Then it turns out afterwards that the Supreme Court has a different assessment. It must be expected that the Supreme Court may sometimes have a different view as to whether a law is in conformity with the Constitution than the Government and the Grand Duchy have. Testing for compliance with the Constitution is part of our constitutional system. The Constitutional Act § 106, as I said earlier, has not been tried for the Supreme Court for nearly 100 years. So far, we have been given clarifications about how this provision is to be understood, also in the light of the social developments that have taken place. The judgment on the shipowner's assessment gave important signals on the interpretation of the Basic Law § 97. The government takes this into account in its further work.
ParlaMint-NO_2010-05-26.ana.ud2104e999	I am especially pleased that you take note of this, otherwise we would have a new state custom here in the country – and I hope we have not thought of that with the first, I hope. First, the fact that the Prime Minister does not choose to answer himself. He himself was there and presented the Santa Claus directive. It was then clear that it was appropriate for the Prime Minister to meet the public on the issue of the Information Society Fund. Responding to the violation of the boundaries of what the Constitution permits, he leaves to his government colleagues. I take note of that. But Storberget said when this was presented, that the state must go ahead with a good example. ‘With this decision, the State takes responsibility’ said Minister of Justice Knut Storberget. My question is, why didn't a safety margin be granted in spite of warnings, so that you didn't cross the provisions of the Basic Law?
ParlaMint-NO_2010-05-26.ana.ud2104e1008	Let me just first establish that democracy has to endure the division of power and that power is controlled. Then, democracy and the institutions involved in the distribution of power must bear in mind that politicians – including myself – express disagreement with what became the conclusion and agree on the conclusion of the minority. That's the way it is. With regard to this specific matter, it is interesting that it is not the first time that the law on land ownership has been in the Supreme Court. So when the previous government contributed to a compromise on the redemption rules, it was also endorsed by the Supreme Court. So this shows that it's a kind of legislation and an area where politicians are impatient to get good solutions. I believe that both solutions made it possible to take care of both parties in the case. But then it's like, in these legal issues, there's a different view. We have to take note of that.
ParlaMint-NO_2010-05-26.ana.ud2104e1015	What stands out anyway, is that the government has gone on two very serious defeats, despite numerous warnings in both cases that here one was crossing a line where one could risk a defeat if the cases were to come before the Supreme Court. Anyway, you went forward, and this isn't random. I quote here now the professional director of SV: ‘We are indicated. What was a political victory has now been nullified. It is problematic that the Government will find a political solution set aside by the Supreme Court in the next moment.’ This shows that there is something about the understanding of government parties that is failing. So to the future, with the loss you have now suffered with regard to the Information Society's fund, how does the government intend to prove the situation that has arisen? Do we get a case for the Storting with it all, first of all?
ParlaMint-NO_2010-05-26.ana.ud2104e1027	I believe that this final judgment on the Santa Claus directive needs to be reviewed by the government. It's not in my department, but it's for the Minister of Renewal to handle that matter. I suppose she will come and inform the Storting about progress in an appropriate way, and I have to refer to her department in terms of further follow-up on how the sentence will be handled in the future.
ParlaMint-NO_2010-05-26.ana.ud2104e1032	The size then goes to question 8.
ParlaMint-NO_2010-05-26.ana.ud2104e1038	I allow myself to ask the following questions to our competent Minister of Justice: ‘In cases where people who have converted and are seeking asylum in Norway, it must be of interest to all parties that as much information as possible to elucidate the matter is provided at the earliest opportunity. Among other things, it is essential to find out if the conversion is real. The environment around the converted and members of the church community in question is never contacted by UDI/UNE in the process of verifying applicants’ claims for conversion. Will the Council of State ensure that this is introduced as a standard procedure for dealing with such cases?’
ParlaMint-NO_2010-05-26.ana.ud2104e1047	Initially, I would like to stress that Norway is granting asylum to people who are being persecuted for their faith, including converts. Norway is bound by the Refugee Convention, and as a result, persecution on the basis of religion forms the basis for refugee status. The new Foreign Affairs Act, which entered into force on 1 January of this year, also makes it clear that freedom to change religion or other views of life is to be covered by the persecution of ‘religion’ in the Refugee Convention. As you know, the Directorate for Foreign Affairs and the Department of Foreign Affairs are dealing with individual matters under foreign law. They shall assess on a case-by-case basis whether each asylum seeker is entitled to protection, based on the applicant’s own explanation and, inter alia, on: information on the human rights situation and the risk of persecution more generally in the area from which the applicant comes. A complete and free assessment of evidence is carried out. If there is doubt about the assessment, the doubt as a starting point will benefit the applicant as long as the consequences of an incorrect decision on the return may result in the applicant being subjected to persecution. It's important. Norwegian authorities have the burden of proving that it is safe to return. As far as possible, the applicant shall be responsible for the likelihood of such statements being made. At the same time, it follows from the Administrative Act that the administration is obliged to ensure that the case is as well informed as possible before any decision is taken. In this way, I am very much in agreement with the questioner in the responsibility he has to provide the information from the public. Since the burden of proof for safe return has been borne by the authorities, any refusal shall be subject to a thorough examination by the authorities and, where necessary, to the provision of information necessary for the proper conduct of an assessment. The adequacy of the facts in the case or the need to obtain further information will therefore depend on a concrete overall assessment of the individual case. I trust that the Directorate of Foreign Affairs and Foreign Affairs will obtain information where necessary, and make their assessments in the light of the correct facts. In this context, I do not see it as appropriate to provide guidelines on information retrieval in Convertibles and to address the issue of more firm rules of evidence. I think it'll actually be able to paralyze the system to a greater extent and contribute to the lack of sufficient evidence. But then I would like to stress that the questioner's relationship is so important that I want to include it in my dialogue with UDI and also UNE and refer to the question question and to the extent that my reply in Stortinget today is also important.
ParlaMint-NO_2010-05-26.ana.ud2104e1058	I would like to thank the Minister of Justice for the answer. I am pleased that he will bring this question to the foreign administration to see if this can also be if not a fixed procedure, so at least an element that can be involved and complete the practice we have today. The system and the treatment we have today, where converters, among other things, must answer what I will call knowledge tests, meet not always flash, to say it mildly. I know, among other things. to a case where a Baptist, one who was converted to a Baptist congregation, was asked about infant baptism. Clearly, when you convert to a congregation that does not do infant baptism, such questions are quite sought after. As I said, I am pleased that this issue will be brought before the foreign administration, and I hope that the treatment can be better than it is today when it comes to ensuring legal certainty.
ParlaMint-NO_2010-05-26.ana.ud2104e1065	We have general conversations with the UDI and, to some extent, with UNE on how the operation is. I think this is a natural question to raise in the general debate. The questioner knows that we do not go into individual matters, but we have the opportunity to have dialogue around just as important questions as this. I want to stress the importance of not just having dialogue with the applicants. At a time when we see that the number of asylum arrivals is falling so significantly – we say that asylum treatment should also go down, from 240 days and preferably down to 60 days, and aim to apply much of the system, while at the same time implementing settlement and deployment – it is all the more important that the decisions made are correct and good, because we know that there are important values at stake. So I'll take this with me.
ParlaMint-NO_2010-05-26.ana.ud2104e1072	I fully agree with the Minister of Justice. We must have a secure system that ensures the security of asylum seekers. In the evening post today, there are questions about legal certainty, including: in UNE, and reference is made to several UNE rejections which have been converted after a new round of legal proceedings. Also in matters that concern the question I am travelling today, I know that, among other things. converted families have experienced the same thing, that a refusal in UNE was converted into residence. It is interesting to see whether these judgments can lead to a change in UN practice also in the case of converters. I don't know if the Minister of Justice has thought about it.
ParlaMint-NO_2010-05-26.ana.ud2104e1079	We are well aware of the efforts made, in particular by the Association of Lawyers, almost pro bono, free of charge, for more. I have that attitude to it, first of all, that I think it's very good that it does. And then I believe that, in line with other authorities who have the ability to exercise coercive and take decisions that affect people's life situation most seriously, one must bear to be seen in the cards. I would also like to say that in the case of UDIs and UNE's decisions, I believe that a very good job is done, conscientiously, and you have the tab that you should not return when you risk being persecuted. Nevertheless, we have to bear in some of the cases that one is being tried by the courts. I believe that the judgments that have now come give us very important signals, and provide us with a good basis for work to look at, among other things. the appeals procedure we are now going to have, or review the UN appeals procedure, and that there is useful experience to bring with it. But that we get there that it will always be so that the courts will base UDI's and UNE's decisions, I don't think we will. For there are legal standards and assessments to be followed.
ParlaMint-NO_2010-05-26.ana.ud2104e1088	‘According to the media, the government is planning to move today’s reception for asylum seekers at Tanum in Bærum to the existing Løren transit reception at Sinsen in Oslo. This has caused considerable concern in the local environment. Refstad/Sinsen is an area that already has significant social challenges. Does the Council of State agree that the State should not impose even more challenges on Oslo, and will the Council of State therefore take initiatives against the UDI so that those arrivals are not placed in Oslo?’
ParlaMint-NO_2010-05-26.ana.ud2104e1095	The Ministry of Justice has the overall responsibility for asylum and refugee policy in Norway and, as I said in response to my previous question, we now have a development that is very good in the sense that the number of asylum arrivals is falling. The number of unwarranted asylum seekers also appears to be falling significantly. It requires that we have an effective operation, both in terms of processing and reception. Responsibility for the establishment and operation of asylum recipients has been delegated to the Directorate for Foreign Affairs, and the UDI is responsible for ensuring that we have sufficient reception facilities at all times. In order to quickly process asylum applications, we depend on having a robust and flexible reception system that builds up under them. This is socio-economically very important. The party of progress is concerned about it at any turn. Asylum recipients are spread throughout Norway. However, in order to ensure the most appropriate organisation and effective asylum processing, it is important that the centre of arrival is located close to the place where asylum seekers register the application for asylum and where the initial procedure takes place. It will then bring together and coordinate the arrival functions in the best possible way; registration, information, asylum interviews, etc. This will help to ensure that several cases can be completed at an earlier date and to reduce the duration of residence in transit receptions. UDI has assessed several possible new arrival transit receptions as replacement for Tanum reception in Bærum municipality from the turn of the year 2011 – all honors to Bærum municipality and Tanum, who have done a great job. The Directorate has fallen into a temporary solution using the reception of Løren at Refstad in Oslo as a destination. This is considered a good solution, as reception is located near both the Foreign Affairs Unit and the UDI of the police. The transit reception has been in operation for 11 years. I can't see that the change of an existing transit reception to an arrival transit reception will put a heavy strain on the nearby environment at Refstad. The capacity at reception will be slightly lower than today, and the length of residence of residents at reception will also be reduced. As the top responsible for asylum and refugee policy, it is very important for me that we find solutions that enable us to carry out the whole of the tasks in the field as well and as efficiently as possible. It is therefore not relevant for me or the government to ask the UDI to find other temporary solutions for the arrival of asylum seekers. This is also announced to the Municipality of Oslo. At the same time, the UDI will continue its efforts to find a more permanent solution for the new arrival centre and will focus on continued good cooperation with the Municipality of Oslo.
ParlaMint-NO_2010-05-26.ana.ud2104e1110	There was nothing surprising in the answer given by the Minister of Justice. I record that Oslo is being re-examined by this government, and this time it is actually going back over the mountain district, which first loses its local hospital, which is being replaced by a reception centre for asylum seekers. I am not sure if the jubilee is on the roof of the Workers' Party's representatives in the town of Bjerke, or I know it does not. It is a little surprising that they are not included on advice either. Last week I was in a meeting with the Oslo Police Association, and they have a completely different opinion from what the Council of State says now. They say it will require considerable resources – additional resources – for the Oslo Police if there is an arrival receipt in addition to what is now. At that time, resources have to be taken from elsewhere, and that means less legal certainty for the inhabitants of Oslo. So will the Council consider additional appropriations for the temporary period of time during which this arrival should be on the Laure?
ParlaMint-NO_2010-05-26.ana.ud2104e1117	First, I would like to stress that we have no experience that this type of reception – when you change the status, as you actually do here, and that people should be there shorter, and there should be fewer people there – would mean that there would be more crime. Where's that coming from? There is no experience from Bærum or Tanum that there has been a burden of some size for neither the police nor others. So when it's produced in the media as if this is going to be a crimp factory, I have to take a strong distance from it. It's an assessment of people on flight that I don't think is right. And then someone has to say from. So this is also going to be a temporary arrangement. I believe that a place that has been operating reception for 11 years, and that does re-establish the status in this way, will not be subject to a significant burden on it. But the paradox for me is that when we now put down many receptions around the country, the same cancers that were against the reception, are now on the track to keep the reception, precisely because there have been important subsidies to the community.
ParlaMint-NO_2010-05-26.ana.ud2104e1124	There were many inaccuracies here. That there's not much crime up on the West Market Center, at Tanum, may not be so surprising. There's not so many places to commit crime there, if you're not going to shoot a moose or something like that. But now Sinsen-Refstad is already a very heavily burdened residential area. There are many social clients and a lot of crime in the area there already. There is a lot of poverty relative in that area of Oslo. I assume that the Council of State does not believe that asylum seekers are a resource in the sense that they come with financial resources that can help to clean up the area up there, but thus contribute negatively. And this is what you do consciously. The Veterinary Institute – an attractive institution – has also been moved out of Oslo. You have a leader in the Center Party who runs a bullying campaign against Oslo, who called in for a press conference to bully Oslo, and then you take 3 billion. kr of the tax money of the citizens of Oslo and gives to the districts. This is a government characterized by district policy, and really is my question to the Council of State: Is the Council of State satisfied with the policy pursued against Oslo, and especially Groruddalen?
ParlaMint-NO_2010-05-26.ana.ud2104e1135	I am pleased with the government's policy regarding Oslo. I see what we have now heard about the new municipal economy and the proposition that came in this connection, also shows that the government is taking hold around Oslo. In fact, when it comes to combating crime, the district that has had the most growth and money in recent years is precisely Oslo Police District. Only this year you have a growth of 12 pst., almost 190 million. kr, which is very well used, and which has contributed to the decline of gross house invasions in Oslo in the first three months of this year by nearly 50 pst. I would recommend the Progress Party to start looking a little bit more forward, and look a little more constructively at a part of what's happening out there in society. I think part of the reason voters turn their backs on some parties is that it gets too much acid and too much black.
ParlaMint-NO_2010-05-26.ana.ud2104e1154	This question has been withdrawn.
ParlaMint-NO_2010-05-26.ana.ud2104e1160	This question, from the representative of Torgeir Tåldal to the Minister for Agriculture and Food, will be answered by the Minister for the Environment and Development who directs him.
ParlaMint-NO_2010-05-26.ana.ud2104e1163	‘Norwegian farmers are struggling to run economically. The Food Safety Authority states that where the loss figures exceed 10 pst., the site should be assessed as inappropriate. The new Animal Welfare Act allows the Food Authority to take the necessary measures to ensure acceptable animal welfare. Will the Council of State take action against predators so that Norwegian farmers can choose whether to have cultural landscapes or derelict areas where predators move freely?’
ParlaMint-NO_2010-05-26.ana.ud2104e1170	As the President noted, the question was addressed to the Minister of Agriculture and Food. Since it's my formal responsibility, I'm the one who answers. But here we are in the luxury situation that the Minister of Agriculture can also make sure that the answer is good and correct. I'm sure he could answer it even better, but I'm answering on behalf of the government. The basic thing in this area is the predatory agreement concluded by the Stortinget in spring 2004. It was a broad agreement and the set stock targets for the large predators in Norway. For gloat and yerv, these targets are fixed. They've been reached. It also means that we've opened up too wide a hunt for both y'all and y'all, precisely because you've reached the stock targets. For wolves and bears, the stock targets have not been achieved, but also for those predators, there has been an increase, and that is of course why there are also a good number of conflicts associated with this. Now the government has invited Stortinget to a new and broad settlement on stock targets for these two species, and we will come back in 2010. I hope we can get a wide deal, and that we can also see it in the context of what the Swedes are doing, as both the wolf and the bear are moving across Norway and Sweden. When it comes to the direct question, we have a two-part objective in Norwegian anti-terrorism policy. It's combining grazing in District Norway and predators. I've talked about this a lot in Stortinget. It is a very difficult combination – a combination that very few countries have. Most countries that have predatory game and grazing do guesses. We do that to a small extent in Norway. For example, Sweden has not the same double objective in the districts. In order to improve this, we also have land-differed management with priority pastures, where there must be a low threshold for the felling of predators, and priority predatory areas, where grazing industries must do much to adapt to the need to be predatory in these areas. The aim of this geographically differentiated management is to contribute to a long-term and targeted strategy to both reduce the loss of livestock as low as possible – no farmer, no environmental protection minister and no others want to see losses of livestock – and at the same time to achieve the Storting goal of having viable populations of the four major predators. Then I have to say that in a very good cooperation between the Minister of Agriculture and myself – and many others as well – this government has introduced a series of measures to try to mitigate the conflicts that result in us having predators in Norway. The size was treated at the latest just a few weeks ago – I guess it was – new rules for emergency workers. We have set up fences – a controversial measure, but one that works. We have taken action to speed up the withdrawal of predators when a decision is made. And we announced last a couple of weeks ago in Hedmark that we will now pay hunting teams in Hedmark from the first day to take out predatory game when the withdrawal decision has been taken. So there is a lot to do to reduce conflicts, but unfortunately conflicts are inevitably given the double objective set by the Storting and for which there is broad, broad support in the Norwegian population.
ParlaMint-NO_2010-05-26.ana.ud2104e1185	I would first like to thank the Council of State for the answer. But when he talks about trying to mitigate the conflicts, at least it's not something we talk to people around who see what's going on, see, because the conflicts just get worse and worse. I can quote from the Nations on 10 May, where three working party rapporteurs in Inner Helgeland fear abandoned sheep farming if the authorities do not allow the killing of the injured bear. The rapporteur, Mr Grane, said the following: ‘If the grazing industry continues to experience massacres in the field every summer, it is not long before the internal Helgeland is without sheep’s bones.’ This is quite serious for the industry. The industry is almost in a free fall because of predatory policies. So my question to the Council of State is, what's most important to the Council of State? Is it to protect all the predators, or is it to take care of a diet that we also need to provide food in the country and in the world?
ParlaMint-NO_2010-05-26.ana.ud2104e1197	With all due respect for the respondent, this is the type of issue that does not reduce conflicts in Norway, and it does not contribute to an informed debate. I do not know anyone, at all – not in Stortinget, not even in the toughest environmental organisations – who believes that all predators in Norway should be protected, which was the question. The broad majority of the Grand Duchy, as all polls show, agrees that a dwindling majority of the population is that we need to feed in District Norway. It's a healthy, important industry. It is also an environmental industry that makes reasonable use of land resources. But we also need to have viable populations of the four large predators. This is a conflict, and that is precisely why the government has implemented a series of measures to reduce conflicts. The reason why there are still considerable conflicts about this is that the policy is working. We've now had viable populations of several of the predators. This has led us to normalize the situation with ordinary hunting. The long-term goal is to be able to operate all predatory stocks with normal hunting in the harvest.
ParlaMint-NO_2010-05-26.ana.ud2104e1202	It's a little sweet to hear from the Council of State, which declares that by asking questions you don't reduce the conflict. So then it's going to be asking questions in this room about a conflict a democratic problem. I find that strange in response. The industry reports more abandoned uses than ever before. It wants cultural landscapes to be preserved. State Council Breck has often said and told how important it is to keep the cultural landscape in order, which I agree with the Council of State Breck in. But it's clear that you have to choose if you're able to carry on a business. I understand that the council will protect the predators, because SV is not exactly a party that is nutritious. So my question to the best friend of the predators, Solheim, is, when are you going to take the industry seriously?
ParlaMint-NO_2010-05-26.ana.ud2104e1209	The President will remind you that all speeches must be addressed to the President.
ParlaMint-NO_2010-05-26.ana.ud2104e1212	Of course, there is no problem that questions are asked in Stortinget. It's not just the right of the guttering representatives, it's the duty, that is. that no significant number of critical questions to the government when they come from the opposition would not do their job. What is a problem, on the other hand, is when parties like the Progress Party are hammering away at views that no one has. Because there might be someone out there who had faith in the Advancement Party, and since the Advancement Party hit those positions, thought there was someone who meant it. There is no one — I repeat no one — who believes that all predators in Norway should be protected, that predators should not be taken out. The question is how to find the reasonable balance and the difficult balance between the use of outland-based sheep farming, and for that part also other outland-based industries, and predators. It's hard, but that's what the Big One has decided by a large majority. That's something it's a broad majority of the population, and something we're going to continue with.
ParlaMint-NO_2010-05-26.ana.ud2104e1220	I would like to ask the Minister for Agriculture and Food the following questions: « the Member States of the Ministry of Agriculture and Food have sold Møystad farm in Hedmark for SEK 7000000. The price indication was $4,200,000. On a general basis, this is not relative to what local politicians and administration have to do with having a buyer and seller who has agreed on a price above price/price indication. The selling price must then be reduced in order to be acceptable to the authorities under the legislation. Does the State have another rule for its sale?’
ParlaMint-NO_2010-05-26.ana.ud2104e1229	Of course, this does not apply to other pricing rules when the country is the seller of agricultural property, other than when others stand as sellers. The rate at Møystad farm is 4.2 million. kr, which was drawn up last summer, was made without a dwelling value supplement. Since the property is in relative proximity to the city of Hamar and has two residential buildings with a total gross area of more than 700 m2, the value of the dwelling is likely to be at its maximum value, i.e. One and a half million. kr according to the February round. After the first viewing, the broker reported an unusual interest, and even before the second viewing, there had been bids of 6.5 million. kr. The Ministry therefore asked the broker to set a ceiling for bids of 7 million. kr and to ask bidders to write about their own qualifications and plans for the property, in order to ensure optimal further operation of the farm. After this was announced to the stakeholders, there were three bids at this level. I want to make it clear that the department here acts as a seller in the same way as other sellers, and that there are local agricultural authorities, i.e. the municipality, which, in accordance with the applicable guidelines, decides within which price level a concession may be granted. The Ministry will, of course, comply with what the municipality considers to be acceptable.
