ParlaMint-NO_2010-01-13.ana.ud1798e26	The called alternate of the Rogaland County, Arne Bergsvåg, has taken the seat.
ParlaMint-NO_2010-01-13.ana.ud1798e871	Thank you again for your answer. Is it still the case, at least for the Council of State, that the objective is that the ferries are part of the road network and should be free of charge? Or is this trial exercise with two extremely small connections just a political exercise to have a minimum of back coverage compared to what has now been the election campaign of the Council of State party in two election campaigns? Why not perform a high-traffic ferries test first? It is natural for me, who comes from Hordaland, to point out that one of the really big ones we have on the coastal line, E39, Halhjem–Sandvikvåg. It will be an important contribution to cost-free for all those who use the important link and who otherwise have to pay for additions in a number of contexts of existing toll projects. Why not choose a larger connection?
ParlaMint-NO_2010-01-13.ana.ud1798e878	I initiated my main response by saying that the Center Party has had a positive impact on many important issues in Soria Moria I. In Soria Moria II, too, many important matters have been passed on, but free ferries are not one of them. We don't sit – I want to say fortunately – in government with the Progress Party, because I think we would get more things we disagreed about than we were a few about, although we are a few about free ferries. But I can assure the representative of Sortevik that the Central Party will continue to work both in the opinion and in the political environment to win multiple numbers so that the ferries will be part of the national road network. Until then, we have to work with capacity and frequency, so that both business and others who travel along our coast have to have a good supply and an adequate supply, which is there when you need it. We have done a lot in the year that is behind us – we have increased the holiday budget by over NOK 1 billion. We will continue the important work and have a long-term goal of a free ferry.
ParlaMint-NO_2010-01-13.ana.ud1798e893	This question has been withdrawn.
ParlaMint-NO_2010-01-13.ana.ud1798e899	‘Foreign trailers are involved every single winter in accidents on Norwegian roads both because the trails are not equipped for winter driving and because many drivers have little experience in winter driving. For the Norwegian economy, it is good for foreign operators to deliver goods in Norway without costly reloading, but something has to be done with security. Will the Council of State take initiative with the industry in order to establish an arrangement where foreign drivers need to document knowledge of winter driving, chains and mountain crossings?’
ParlaMint-NO_2010-01-13.ana.ud1798e906	The Ministry of Transport has asked the Vegvesen to make the best possible use of existing road traffic permits to impose a temporary ban on the use of vehicles which are not sufficiently equipped for the current circumstances. It is not such that a vehicle must be stuck before the police or the Road Service can hold it back. If, following the assessment of the service providers, the running gear is not sufficiently gripped, e.g.: as a result of the failure of the front end or the poor quality of the chain, the vehicle can be held back. In the winter of 2007, the Ministry of Transport asked the State Road Administration to conduct a comprehensive review of existing and possible new measures to improve the emergence and traffic safety of Norwegian winter roads. The background for this was, among other things, numbers from Vegvessenet, which showed that there was a monthly problem on the winter roads, and that foreign vehicles are overrepresented among the vehicles that get into trouble. In the light of a call from Safety Traffic to set requirements for the smooth running training course for foreign drivers of heavy goods vehicles, it was assessed whether a requirement was to be made for foreign drivers to demonstrate competence in winter driving. Such measures may be difficult to implement without compromising our obligations under the EEA Agreement. The rules of the EEA Agreement on driving licences and vocational training require Norway to recognise each driver with driving licences and professional driving licences issued in the EEA territory on a reciprocal basis. Current EEA rules are not initially opened to impose such additional requirements and to discriminate between Norwegian and foreign drivers. The implementation of schemes with additional requirements for foreign drivers would, in all circumstances, also pose major practical challenges. Although foreign drivers often suffer from lack of training and equipment for Norwegian wintering, there is still reason to hope for a certain amount of improvement in the future. A system of pan-European requirements for initial and continuing training for professional drivers has been in place for the last two years in the EU/EEA area.
ParlaMint-NO_2010-01-13.ana.ud1798e917	I would like to thank the Council of State for the answer. There are quite a number of scary stories from people running over Norwegian mountain crossings and meeting foreign drivers with poorly equipped vehicles. The Council of State says that there is a possibility of a temporary ban on driving. If the Council of State sees that, perhaps for longer periods, especially in mountain crossings, wintertime, there should be a ban, i.e. refuse, for example: two-axle cars to cross mountain passes. Because it is perhaps one of the biggest problems, at least based on the feedback I get from many professional drivers who see the problems of foreign colleagues when they are going to run over the mountain crossings. I want to challenge the Council of State on what to do with this, because we've seen it in South Africa, we've seen it when foreign trailers come to Norway – wintering with poor equipment. They should never have driven on the road, as it could endanger all the other road users who are on the same road.
ParlaMint-NO_2010-01-13.ana.ud1798e926	I've heard some of these stories myself. This is also the background for the accentuation of driving behaviour. Then I have the hope of this common training that can in the long run contribute to an improvement. But let me also say that good and available information for the drivers is important. The Road Service has therefore updated and improved the information booklet ‘Donna Diesel — Trucker’s Guide’, which provides factual information on running on Norwegian winter roads. The booklet is available in several languages and is available on the Statens vägvesen’s Internet pages. As a part of the update, it is part of it. – as part of the information on driving types with poor winter characteristics – developed a regional overview of road sections as one, under difficult weather and conditions, is not recommended to be used by driving types with poor winter characteristics.
ParlaMint-NO_2010-01-13.ana.ud1798e933	I think it's good. Governments provide good information about doing a bit on the information page. But I still want to challenge the Council of State on what was the essence of my question, namely whether she wants to take some initiative towards Norwegian truck organisations that are actively working on this, and not least towards professional drivers' organisations, precisely because it is about foreign colleagues who are not prepared for the challenges you face with Norwegian winter weather over the mountain crossings. I would therefore like to challenge the Council of State whether she will not also take an initiative against them, so that something can be done about this. This can happen on a voluntary basis. So I hope that the Council of State will consider whether to close the mountain crossings for longer periods of time for certain types of trucks that are not suitable for driving there, i.e. not only when it snows, but perhaps also for longer periods, so that you are sure that dangerous vehicles do not cross mountain crossings that they should never have driven on.
ParlaMint-NO_2010-01-13.ana.ud1798e940	I'm busy having good dialogue in a lot of fields, about what's going on with my territory in the broadest sense. It is quite obvious that it is important to have good dialogue with the truck industry and with those who have experience in the field of this. I think the measures that have been taken so far have just come out of this conversation. I will meet these organisations in a short time, and then I will address this question. It is quite clear that it is important all the time to improve the preparedness and follow-up to the heavy vehicles.
ParlaMint-NO_2010-01-13.ana.ud1798e948	I allow myself to ask the Minister for Transport the following questions: ‘Work conditions have been reported for employees of companies that have provided services to the OPS project E18 Grimstad-Kristiansand, which we cannot be familiar with in Norway. Will the Council of State take action in this specific matter, and can the Council of State provide information on how the State Road Service generally works to prevent such employment?’
ParlaMint-NO_2010-01-13.ana.ud1798e957	In the contract for E18 Grimstad-Kristiansand, concluded in June 2006, the Road Administration of the State obliges the OPS company to use Norwegian salary and employment conditions for all contractors and suppliers involved in the works. The OPS carrier has documented the follow-up of the total contractor. The documentation shows that the total contractor has apparently had good routines in this area. The Road Service has not found, through its follow-up to the OPS Company, proof that this has not been satisfactorily addressed. The Road Service of the State has a cork in the role of contracting party to OPS contracts or in the role of building contractor in the contract of employment, wage or hourly lists of the individual employee. Right of access is the trust of the main supplier who has, in addition to the Labour Inspectorate. For the specific company, the State Road Administration carried out a check on the company together with the Labour Inspectorate in June 2009 to verify that the operating and sleeping conditions and working hours were kept. There was then a lack of time recording and evidence that the instructions on running and sleeping time were kept. The state road traffic services report this to the police. In connection with the Government's tightening up of the rules on the generalisation of collective bargaining agreements and minimum wage requirements in the last few years, the State Road Administration has repeatedly amended the requirements to be met in contracts where the State Road Administration is a builder. The State Road Administration has the following information in the contract: ‘Add with contractors and any subcontractors and subcontractors directly involved in the performance of the contract, pay and employment relationships shall be no worse than those resulting from the national collective agreement in force or otherwise normal for the place and profession concerned.’; The country’s road safety system’s obligation to supervise pay and employment conditions is governed by the 2008 Regulation on information and passport obligations and transparency. In connection with this employee, the trustee of the main contractor has the right of access to remuneration and employment for all employees on the contract. The road authority performs its duty to verify by requiring the principal contractor to demonstrate that all employees in the site have pay and employment relationships in line with Norwegian regulations. This will be followed up in the construction meeting. Let me add that it is important that all actors do their part of the work to secure Norwegian pay and employment relations. It is also good that deviations become known, so that a continuous focus is on ensuring neat relationships. I can also inform you that the new and revised property, with requirements for prevention measures within the specified area, was now in operation from 1 January 2010.
ParlaMint-NO_2010-01-13.ana.ud1798e973	The post from 12 and 13 November actually documents working conditions in a very good way. I've even met the German workers. This is what this is about. Time doesn't allow to get into all the points, but it's a pretty long and scary list of breaches of what we're used to when it comes to good working conditions. I miss the commitment of the public authorities in this matter. If the commitment of the public authorities had been the same as having good work on the site as it was about to be completed quickly, I am sure that the conditions would have been considerably better. I think, unfortunately, that this is just the top of the iceberg. I have for some time met Hungarian workers in the same plant, but unfortunately they did not have the same documentation on the breach. My question to the Council of State is: will the Council of State follow this case?
ParlaMint-NO_2010-01-13.ana.ud1798e982	The answer is yes, I will. I'm going to follow closely the situation. I must stress the responsibility of the State Road Administration as a state authority in this case to follow up, but also to limit their transparency. I'm not happy that there's such a relationship, but I'm glad they're being discovered, because we need to keep focusing on there being a clean relationship, and that the evidence should be followed.
ParlaMint-NO_2010-01-13.ana.ud1798e989	I thank the Council of State for the answer, and I am very pleased that the Council of State will follow this matter further. I think it's absolutely crucial, not just in this matter, but it's of social importance that we have a good and serious working life. It's one of the carriers in our welfare community. Of course, such relationships are bad for the individual, but I'm probably afraid that if there's too many such cases, it might threaten our entire welfare model. My last question to the Council of State is simply what kind of reflections she has in that way.
ParlaMint-NO_2010-01-13.ana.ud1798e996	I share the views of Freddy de Ruiter when it comes to the need for orderly conditions in the workplace, the need for clear rules and the need for action to ensure that the rules are followed. Let me then say that when it comes to the intensification of the building owners, as I mentioned in my first answer, the builder should make concrete demands for preventive measures within 10 specified areas, including pay and working conditions. There is now a dialogue between the State Road Agency and the Labour Inspectorate on how to interpret these, on how to follow them correctly. The state's road authority will be guided by the recommendations of the Labour Inspectorate.
ParlaMint-NO_2010-01-13.ana.ud1798e1006	I allow myself to ask the Minister for Transport the following questions: ‘In Nord-Trøndelag, the rapporteurs along the Stjørdal–Steinkjer road and rail routes, in cooperation with the County Municipality, have developed a pilot project for a coordinated development of E6 and railway from Steinkjer to Stjørdal/Trondheim. NTP reports this project. For further progress, it is necessary to draw up a draft selection examination and an external quality assurance. This must be done by the State Road Service and the Railway Agency jointly with the proposers. As far as I have gained experience, both the State Road Administration and the Railway Agency are ready to start such work. However, it is necessary for the Ministry of Transport to give such a mandate. Will the Council of State take the initiative to get this work going?’
ParlaMint-NO_2010-01-13.ana.ud1798e1015	The Ministry of Transport is now carrying out an overall assessment of which drafts, or KVUs, are to be developed as the basis for the next roll-out of the national transport plan. A concept selection operation shall take place at an early stage of the project. It's the etathans. State Road Service and the Railway Agency, which prepares the drafts. The distributions shall then be quality guaranteed by external consultants through what is called KS1. One of the projects being assessed is the extension of the route between Steinkjer and Stjørdal/Trondheim. It will be worked for the purpose of clarifying which drafts are to be carried out as soon as possible. I have an earlier notice at the end of the year. That means I'm a little behind the grid, but not much. Then there will be a letter of assignment for the Directorate of Roads and the Railway Agency. Even if we haven't finally concluded, the assessment is so far that we should have concept evaluation for the distance drawn in the question. In this case, there will be a common clearing of roads and railways.
ParlaMint-NO_2010-01-13.ana.ud1798e1022	I thank you for the answer, which was perhaps something more positive than I had expected, and it was joyous. I would therefore like to point out that it is important to get this started, because work is being done on the route today, and then you can risk that the work does not fit into the work to be done at a later stage. There is hardly any room for coordination at an early stage in transport projects. The question is, when the Council of State says if not for that long, can she suggest anything about the phase of time?
ParlaMint-NO_2010-01-13.ana.ud1798e1027	Let me tell everyone first that I am familiar with the very good preliminary work that has already been done locally. I am also aware that the State Road Administration and the Railway Agency are ready to take such a mission, if they do. Then to the time aspect. I think I've been pretty clear when I said that I actually wanted to get these KVUs around the turn of the year, but that I'm a little behind the route. This means that if the representative Myraune is able to lubricate himself with a little bit of patience, he will be pleasantly surprised once again, because it will soon be clear which arrangements are to be made.
ParlaMint-NO_2010-01-13.ana.ud1798e1034	Lars Myraune – for additional questions. No, he doesn't want to. Then he has a happy message with him from the pulpit.
ParlaMint-NO_2010-01-13.ana.ud1798e1041	The question is as follows: ‘The train chaos continues. Almost daily the train passengers experience delays or cancelled departures. This leads to a weakening of the confidence in the railway, and others choose to take the car at work. In the daily newspaper on 8 December 2009, railway director Elisabeth Enger notes that it is even worse before things get better. What advice will the Council of State give to the train passengers?’
ParlaMint-NO_2010-01-13.ana.ud1798e1050	I am the first to regret all the delays and the settings of trains that we have had in December and until now. I'm saying that the scope of train delays and cancellations of trains is far too large in relation to the targets set for railway operations. Especially bad has it been in the strong cold period that we are now experiencing. Clearly, strong cold and railway operations do not always go together as well. The technical components both on the network and on the train equipment are particularly vulnerable to severe cold. This easily stops the train running. The extent of the consequences is greatest in train traffic around Oslo, which has the largest train traffic. In addition, errors on the rail network itself often create the biggest problems, as this means that many trains have to be set up at the same time. This is particularly true in the traffic around Oslo when there is a lack of track capacity to manage such anomalies in a flexible way. In order to reduce vulnerability, substantial efforts are needed to maintain and renew the technical facilities on the network. The government has, as you know, seen this work going on through the so-called Oslo project. The project was launched in 2009 following the initiative of Liv Signe Navarsete. In 2009, 220 million were allowed. kr for upgrading the Oslo Tunnel itself. In 2010, an additional 470 million is allowed. kr for the continuation of this work and for the launch of new renewal projects on the sections towards Oslo S. This is a comprehensive project. It's costing over $2 billion. It is a priority in NTP 2010–2019 and is planned to be completed in 2012. When such extensive track work is to be carried out at the same time as normal train running, problems with train delays and train settings can easily arise to cause great irritation to train users. That is what is behind the appointment of the railway director that ‘it gets worse before it gets better’. In my opinion it will not be practicable to stop all train traffic in order to complete the renewal work. Train traffic had to be unloaded by bus in the event of an unladen load. In the case of rush traffic, there would be a need for up to 300 extra buses, with the traffic congestion that it could lead to. In this situation, it is important that work is well planned and not least that good information is provided. What advice can I give? I cannot give advice other than that one must continue to take the train as normal, but one must also follow closely the information given about any deviations in train traffic. The railway station, in cooperation with the NSB, is now working on a project to improve traffic information to travellers. In the 2010 budget, 80 million have been pledged. kr for the continuation of this project. In the meeting that I had with the Railway Agency and the NSB about the operating situation on the railway last week, I asked the NSB to come up with further suggestions on how passengers can better cope with major operating disruptions in the winter cold, e.g. in cooperation with local authorities. It's now following up on the NSB.
ParlaMint-NO_2010-01-13.ana.ud1798e1063	I thank the Council of State for the answer. Cold should not be a big surprise in a country like Norway, and the tram and the T-Bahn in Oslo go in spite of the cold. So my next question: the Minister for Transport has promised commuters a better offer by 2012, when the work in the Oslo tunnel is finished. In the VG today, the Director of NSB Persontog announces that the train chaos will continue for 30 years if the rate of approval for the development of the railway is not significantly escalated, in addition to that in the national transport plan. If the Minister of Transport agrees with this assessment, she will step up the rate of rail development in the East in line with, for example, the Left proposed in the NTP?
ParlaMint-NO_2010-01-13.ana.ud1798e1070	I believe the representative Tenden and I will have a deal on a matter: it takes time to correct many years of neglect. That must be right. There's a lot of bad ham material here, and there's also bad material on the rails. So this government has begun to escalate. We have almost triple investment budget. We're going to increase further towards 2013. So I'm completely in agreement that there will be a need for further escalation after this. For example, we should look at completely new solutions in the Oslo area which will then include alternatives to the Oslo tunnel we know today. Let me go to what Stein Nilsen says, stress that there won't be any related chaos for 30 years. It will gradually improve.
ParlaMint-NO_2010-01-13.ana.ud1798e1077	I thank you for your answer. It is clear that train commuters become quite alarming when they receive such signals. What the Council of State has promised is that things will get better by 2012. But the problem is huge daily for many commuters, and it is said to be worse. Then I have to ask the Council of State again: is it not possible to do something in the meantime, such as set up permanent buses during rush time so that people have an alternative? As it is now, it is hopeless to trust the train, and we see that more and more – I see it daily – now go over to use a car or crowded buses, which also weakens the confidence in public transport. Can't you set up permanent buses on train sections during rush time?
ParlaMint-NO_2010-01-13.ana.ud1798e1084	I have the greatest awareness both of people standing outside freezing, of people who can't expect the train to go, and of the many people who are on the train today and in the railway station, doing what they can to make things work, because there are also many of them. There's something about buses that can be appreciated. Today, there are almost 40 buses on standby on some routes to solve the worst problems. Why is it getting worse first? This is because work is to be done while the train is running. It wasn't the cold Elisabeth Enger thought of. But I'm going to assure the representative that this is a matter that I have a lot of pressure on.
ParlaMint-NO_2010-01-13.ana.ud1798e1093	Question 9 has been answered earlier.
ParlaMint-NO_2010-01-13.ana.ud1798e1099	‘The Railways Agency has decided to scrape the Mercury scandal project that has so far cost taxpayers nearly 600 million. kr. The railway system is now proposing to replace the whole of today's signalling system with a new system based on European standard. This is cost-implemented at NOK 15–20 billion. This involves either re-priorities or the need for additional appropriations. How quickly does the Council of State see that the new plant can be built, and will the Council of State re-prioritize or grant additional funds for this?’
ParlaMint-NO_2010-01-13.ana.ud1798e1106	Regardless of what happens to the Merkur signalling system, which the railway works were planned to use on the new double track between Sandnes and Stavanger, on the new freight terminal on Ganddal and on the new remote control system between the Mosjö and Bodø, the current signalling system must be replaced by the entire Norwegian network due to its age. The main weight of the signalling and fuselage was built in the 1960s and 1970s and is ripe for replacement. The railway system has developed a strategy to renew the signalling systems based on a common standard as for the rest of Europe. The so-called ERTMS standard is a European standardised solution for signalling and traffic management. By means of the EEA Agreement, Norway has agreed to introduce this standard when older installations need to be replaced or when building new lines requiring signalling and securing systems. The aim of a common standard is to improve the efficiency and competitiveness of rail transport in Europe. The planned expansion is, among other things, mentioned in St.meld. No 16 for 2008-2009, National Transport Plan, and the latest in the Ministry of Transport budget for 2010. It is correct that the deployment of ERTMS throughout the Norwegian network is currently costing between NOK 15 and 20 billion. The first phase was to establish an experience section on Eastfold Railway, east line, which was to be ready for use in 2014. The railway system is now re-assessing this plan to see if it is possible and wise to use the ERTMS system earlier than originally intended. In addition, a draft currency is being prepared to be subject to external quality assurance regarding the choice of ERTMS deployment strategy on the Norwegian network. Before all distributions are done, it is not possible for me to answer as soon as this system can be used. Of course, the budgetary implications of the possible deployment of ERTMS need to be assessed in the context of the annual budgetary proposals and, in addition, taken into account and, where appropriate, prioritised in the context of the roll-out of the national transport plan for 2014-2023.
ParlaMint-NO_2010-01-13.ana.ud1798e1115	I record that the Council of State will not answer my specific questions. She explains it because she can't because you have to look at investigations and some other things. I also record that the Council of State is very concerned – and it was to a large extent the previous Minister of Transport – to boast of how much extra money has been allocated and tripled the investment appropriations, but it is very little if you throw away hundreds of millions of dollars in projects that you should never have started, such as: Wood. But I am glad that the Council of State says that you should now work to do something about the signalling system, because this is one of the major problems and is responsible for many of the train delays that train passengers face every day. It is good that the Council of State feels compassion, but I am not sure if compassion helps so much when you stand and cough and freeze in many degrees of cold at a station because the train does not go, and because you do not prioritize building this. I want to challenge the Council of State on how to find 15-20 billion kroner, when we already have 850 million. kr behind what is in the national transport plan.
ParlaMint-NO_2010-01-13.ana.ud1798e1122	First of all, to lie behind the loops in the national transport plan: national transport plans indicate that there will be an escalation during the period. Let me also say to the content of Hoksrud's question when he says that this project has cost taxpayers nearly 600 million. NOK: If he can have any fun, the amount of the contract between ABB and the Railway Station is EUR 265 million. kr. And then there's another 55 million. kr to a temporary installation, NSI 63, on the double-track Sandnes-Stavanger, so that it could be put into service as planned. I'm not saying this to talk away from 15-20 billion kroner. I think that the number emphasizes that there are major challenges here, and it is also very important to get better signalling systems in place as many places as possible.
ParlaMint-NO_2010-01-13.ana.ud1798e1127	I'm glad it turns out that these 600 million. kr may have become a few million, but there are still several hundred million dollars spent on this project – which is not well used. Then I register that the Council of State says you should follow up on NTP, and you should phase in as the economy allows. I have recorded that in various interviews in various media in Rome, the Minister of Finance has stated very clearly that it is necessary to slow down the phase-in into the Norwegian economy and slow down public consumption. My fear is that this will affect railway projects or road projects that are important. We also know that this is the case if you want to have double tracks, for example. on the Hardanger-parcel, another half a billion dollars there, in addition to a total of 850 million in 2010. kr behind what is in the NTP, had the funds been distributed year by year. So I want to challenge the Council of State on how to find 15-20 billion kroner. I assume that the Council of State agrees that this must be put in place quickly, because it is about credibility and the trust of users in the railway network.
ParlaMint-NO_2010-01-13.ana.ud1798e1134	Let me first say something Hoksrud doesn't like to be remembered, but that's a fact, and that's that it takes time to correct ten years of neglect. That's the way it is. And we're in the process of stepping up. And then it's also so that aftertime is the best form of wisdom, maybe. When it turned out that this ABB contract did not keep track of it, in order to keep me to it, the Railway Works are cancelling it when it concerns the supply of Mercury for use on the double-track Sandnes–Stavanger, because here one has to make so much changes to the system that it is a new system. And then they're looking at how they're going to go through the contracts with ABB to recover the investments that were made. In this case it must be approved by the State Railway Authority. And then we get back to signalling systems on several sections of the annual budgetary procedures.
ParlaMint-NO_2010-01-13.ana.ud1798e1144	I would like to ask the Minister for Oil and Energy the following questions: ‘Sheeted Energy Technology could recently report that the deployment of two-way communications for power reading has been suspended until not earlier than 2016. In 2007, the Ministry of Oil and Energy said that all electricity customers in the country should be equipped with meter for automatic remote sensing of the power consumption with a view to its expansion by 2012. What is the reason why the implementation of this important energy efficiency measure and the improvement of energy efficiency has been so much delayed?’
ParlaMint-NO_2010-01-13.ana.ud1798e1153	Draft regulation on AMS was first sent to the consultation of the NVE in October 2008. In the light of the consultation opinions and information received, as well as the fact that the European Commission is working to establish standards for metering technology, the NVE chose to send a revised proposal at the summer 2009 consultation. The majority of the hearing opinions were in favour of the entry into force of and adaptation to the standardisation work carried out by the EU. In addition, several of them argued that the regulation itself should be postponed until these standards are available. The government is concerned that the choice of two-way communication technologies for power reading is in line with the standard chosen in the rest of Europe, so that we do not risk having to install expensive equipment several times. In view of this, the new regulation decision is deferred until the first part of standardisation work is available, as planned in the spring of 2010. Networks then need about five years for the planning, acquisition and installation of the AMS. In total, the Regulation on AMS will enter into force at the earliest on 1 January 2016, if it is adopted during 2010.
ParlaMint-NO_2010-01-13.ana.ud1798e1162	I thank you for your answer. Using technology to make us smarter in terms of energy use is one thing right is very concerned about. I record that different professional environments have a slightly different perception of whether it is good or not that we now get this postponement. I also record that other Nordic countries – Denmark, Sweden and Finland – choose to expand their systems and do not wait for what is happening in the EU. So maybe it's also that we don't get to experience that the European Union comes with one standard. There is a development in the United States, there is a development in the East, large online companies in Europe are cooperating with their suppliers, and that means that we may be waiting in vain for one standard from the EU. Then valuable time is lost. How does the Council of State view the probability that we might wait in vain?
ParlaMint-NO_2010-01-13.ana.ud1798e1169	I'm absolutely sure we're not waiting in vain. So I believe that in the question from the representative Meling there are two slightly conflicting points. One is the introduction where the representative points out that the right is concerned about getting the smart technology available and in place, and the other is wanting to go faster than what I am now sketching. The point is that these two things are closely related. There is a formidable development in this area now, and for my part I am not in doubt that, year by year, we are going to gain new experience in terms of applicability, in relation to the extent of what we use the AMS for. And to go a little further and a little further: to give energy companies the opportunity to be inside and control parts of the energy use – for example. when charging an electric car and reaching it on the day it should be done for the purpose of energy availability, and when, for example: Wind power plants in Europe are blowing without a location to make up the flow – will be a sensible policy. So making sure that we take sufficient time in this area, I'm absolutely sure is important, just to reach what was the entrance to the representative Meling's question.
ParlaMint-NO_2010-01-13.ana.ud1798e1176	In these times we see that some customers, consumers, have to pay a very high price for the power. Not least within the Mid-Norway price range. Putting this kind of technology in place would allow the individual consumer, the individual business, to use the energy smarter and bring down the bill. The fact that we now have our own price ranges, the fact that some people are experiencing very high electricity bills as a result of the fact that we have not built up the capacity well enough in our network, suggests that we should be in a hurry – perhaps more haste than the Council of State seems to have – when it comes to putting in place a technology that enables us to use our energy resources in a better way.
ParlaMint-NO_2010-01-13.ana.ud1798e1181	The debate on the Internet is a big debate, which I would like to take. I'm very busy getting in place more nets, to make sure that we, among other things. reduces price differences in electricity in Norway. As for what was the question here about the AMS, I do not agree that it is being reduced, and that we do not have good progress on it. So, as I said in my first answer, we're talking about having a better knowledge of this in the spring of 2010, but then we need a few years for the online companies to be able to implement it. So we're not talking about dangling, we're not talking about pushing this in front of us. We're talking about doing enough work, so that when such a large and relatively expensive project, which will also affect the power consumers, is in place, it's such a good system that we all agree that it works according to purpose.
ParlaMint-NO_2010-01-13.ana.ud1798e1191	‘Statnett recently reported that the blast has resulted in a new record of power consumption in Norway. This happens even after industrial cuts have released at least 5 TWh. The financial crisis has thus saved the government from great turbulence in the power market so far, but more and more fears are now tightening power balance and significantly higher power prices if the cold period persists. What does the Government do to avoid high electricity prices leading to a danger to life and health in the population?’
ParlaMint-NO_2010-01-13.ana.ud1798e1198	The new year has started with a blast throughout Europe, and significant parts of Swedish nuclear power production are out of operation. In Norway, many electricity is used for heating, and this increases consumption at low temperatures. Modern societies are increasingly dependent on secure power supply, and this is a very important responsibility for me. Suffering if the power price in some periods has been very high, we have had enough power and good reserves. The NVE has established a dialogue with the power supply district managers. The power industry is aware that the cold creates challenges for many, and several companies report increased staffing to cover important functions and to repair faults as quickly as possible. Several initiatives have been launched for increased preparedness, including testing aggregates, transport systems and mission safety. Establishments that are critically dependent on electricity should consider securing themselves with an alternative energy source. In addition, for example: hospital required to maintain an alternative power source. The situation is a reminder of the importance of continuing to stimulate the creation of new power generation, increasing the direct use of heat and providing an improved transmission system between regions and links with other countries. To date, Norway has been a net importer in total. In recent years, we have increased the expansion of electricity based on renewable energy, both water and wind power. At the same time, we have established major new transmission connections such as Nea–Järpströmmen, Skåreheia–Holen and the NorNed cable. Statnett recently acquired a new cable for Jutland. A new connection is also negotiated between Oslofjorden and Sweden. The envisaged link Ørskog-Sogndal will in the long term remedy the severe situation in Middle Norway. Security of supply is such a theme, while, in concrete terms, security of supply in Hordaland is weak. There, any new transmission link between Sima and Samnanger could significantly improve that situation. As for what individuals can do, I would encourage those who have the opportunity to do so to use alternative sources of heating, such as: wood and pellet kilns. To date, over 10000 households have received support for alternative heating. Many more have made good investments without support. We now have a large-scale bet on district heating, and 19 of the 20 largest cities are connected to district heating systems. Last, but not least, I would like to encourage you to check out Enova's support schemes and the opportunities that lie there to invest in energy efficiency improvement. These are support schemes that we have significantly strengthened, which help to reduce both the energy consumption and the cost to the individual electricity consumer.
ParlaMint-NO_2010-01-13.ana.ud1798e1209	In the long term, there's a lot of work that you can do, so there's a lot of flexibility in the energy system. In the short term, there are very few things you can do directly. Those people who can say there is a danger to life and health, because there are high power prices, are the people who fear the power bill and therefore turn off the heat. It's the same people who don't have the money to do expensive action, barely enough of the cheap measures in the short term. Therefore, there is no solution to all possible aid schemes. Let me take the situation in Middle Norway as an example, where the power prices have been up to over 8 per cent. kWh — not only once but several times — while the Government controls new production capacity that is not being put into service. In the short term, for example, two mobile gas power plants in central Norway contribute to reducing electricity prices, thus preventing people from getting the alarm at high power prices and turning the heat off. Then one has to ask: how high does the electricity price have to be in central Norway before the government takes up its short-term measures, so that we can achieve a better balance in the power market?
ParlaMint-NO_2010-01-13.ana.ud1798e1216	I am reasonably sure that the representative of Solvik-Olsen is aware of the instructions underlying the reserve power plants in Central Norway. They are there to avoid the real, serious challenge — the lack of energy. We should have that reserve available if this occurs. Otherwise, the situation is not that Mid-Norway is in a special situation with Norway, otherwise, Mid-Norway is initially part of the large Nordic power market, where the price is relatively similar. What has been particularly long this year is that the price in South Norway has been lower than in the Nordic countries – due to the fact that the transmission links have been less than the representative and the undersigned agree that they should be.
ParlaMint-NO_2010-01-13.ana.ud1798e1223	I'm becoming deeply concerned. If you use the price mechanism – which is normally in a balanced market, and the Progress Party supports it – in a market in imbalance, and the Government says that the price mechanism should solve this without a ceiling on how much you allow the electricity price to go, the price will always have a market in balance. If you set the power price to something extreme – e.g. NOK 100. per 1 % kWh – I'm going to guarantee you a balance even if there's no water in a single warehouse up there, because people can't afford to use the power. Then the question is, how much is the government willing to accept that the electricity price is going up, before it starts using power production of which the state is a hundred percent owner? One indicates that the concession does not allow it, but the concession is a hundred percent politically governed. We know that because a mobile gas power plant emits CO2, some of the colleagues of the State Council do not tackle mobile gas power plants. The question, however, is this: should the Government at the Council of State cut through and use these billions of investments at an earlier stage to prevent fear in the population of high electricity prices?
ParlaMint-NO_2010-01-13.ana.ud1798e1233	If one over time had seen electricity prices at the level we've seen in shorter periods, it would have been the result of a power market in imbalance. Then we had a situation in line with the representative of Solvik-Olsen here. But I think that's reason to remind the representative of one thing, and that's that we're not talking about a mid-Norwegian market in this situation, we're talking about a Nordic market, where the reserve power plants in the area also have a limited impact on the price level. It is a market where the electricity price in Central Norway is in practice the same as in Copenhagen and Stockholm – large population-wide areas where we also have large productions to provide energy supply. To present it as that the electricity price in this area will depend on whether or not backup power plants are running, I do not agree with that, because we are talking about a market that is so large.
