ParlaMint-NO_2010-03-22.ana.ud1354e66	The representative of Morten Höglund, who has been licensed, has once again taken his seat.
ParlaMint-NO_2010-03-22.ana.ud1354e1044	The representative Gåsvatn asks who we are for – whether it's for patients, or whether it's for the economy. I would like to stress that I have commented on a proposal from the Progress Party that aims to obtain cost control. That is what the whole debate is about, and that is what underlies the various proposals promoted by the Progress Party. In this respect, it has been shown that increased basic appropriations are the most effective means of cost control, while the proposal put forward by the Progress Party and the Right to increase the ISF share has historically proved to be what creates the greatest problems for cost control. When we had that, we also had the biggest deficits in the hospitals. Fortunately, we have managed to have high basic funding and, at the same time, also clear reductions in health cows. And then it turns out that both of them are going. It is also the experience they have had in Scotland.
ParlaMint-NO_2010-03-22.ana.ud1354e1050	Several have not asked for the floor on case No. 3rd@item: inlistbox [[Fotation, see page 2510]]
ParlaMint-NO_2010-03-22.ana.ud1354e1066	At the request of the Health and Welfare Committee, the President will propose that speaking time be limited to 45 minutes and allocated up to 10 minutes to the rapporteur, up to 5 minutes to each of the main speakers of the other parties, and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after the post of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-03-22.ana.ud1354e1075	It's a happy day today – not least for the United States, which got its health reform last night. But also here in Stortinget, this is the day of an important matter. Since the 1950s, the idea of establishing a register of cardiovascular diseases has been discussed in the healthcare community and in the public at large. Not without reason: As most people want to know, such disorders are among our major public diseases and cause about. 40 pst. of all deaths. Today, a wish over 50 years of age can be fulfilled. The proposal proposes the establishment of a national register of cardiac arrests, which shall be person-identifiable and exempt from consent requirements. It shall consist of a basic register and associated quality records with the National Public Health Institute as the controller. We have per cent. currently nine central non-consent-based, person-identifiable registers, regulated by the Health Register Act § 8, and new such registers may only be created by decision of the Stortinget. Today we can have the tenth. There is no doubt that a cardiovascular registry will contribute to improving the quality of prevention, diagnosis and treatment, to research on causes of disease, the incidence of the population, and to improving the management of healthcare with a view to achieving good knowledge-based priorities. It is in the interests of the patient and the general public that we now have a national register of cardiovascular diseases. At the same time, it is a challenge that such a register will contain personal information on health matters which are subject to professional secrecy. Therefore, I am pleased that the Government attaches great importance to the inclusion of personal data in the register under strict rules and to the establishment of good legal, technical and physical solutions to ensure that the information does not deviate. In this way, it will be possible to combine the purpose of the register with a good level of privacy. The Government calls for the issue of a general right of reservation for health records to be assessed and investigated under the auspices of the National Health Registry Project and is followed up in the work on a regulation for national heart and health records. This is a practice for the quality registers in Sweden, which are used by only 0.5 pst., e.g. in the nationwide Swedish brain impact register. Experience in Sweden shows, in other words, that such a right of reservation does not impair the quality of the register – and the government parties support the proposal in the proposal. It is strange, therefore, that the opposition could not join the majority comment at this point, all the time they strongly emphasize the importance of a right of reservation. But that's what I expect to be illuminated in the opposition's own posts. The vast majority of the hearing bodies, including important patient organisations such as the National Association for Cardiopathic and Pulmonary Disease and the Diabetes Association, support the Government's proposal for a person-identifiable register without requiring consent. Most are in favour of the proposal for internal encryption of the register, which involves the possibility of personal identification, but where identifying data such as birth and personal numbers are kept inaccessible and separated from other general variables. Decryption, i.e. access to person-identifying information from the registry shall only be provided by authorised personnel who have a legitimate need for it. A small minority of hearing bodies are in charge of a pseudonymised register, where the name and person number have been replaced by a pseudonym, and where feedback and personal identification are not supposed to happen. The opposition's view is that a pseudonymous health register can serve the purpose of the register and believes that the pseudonymous method, if desired, can also allow for personal identification, despite the fact that the justification of such a register is precisely anonymity. We would point out that the practice of internal encryption proposed in the proposition is common in our Nordic neighbouring countries, where otherwise it has never been discussed to use pseudonymous registers. And there is nothing to suggest that in these countries there has been a lower level of privacy because of the fact that internal encrypted records have been kept; on the contrary, the experience in this field is very good. In internally encrypted registers, it is possible to invite individual participants to research projects, to inform about mistreatment where appropriate, to offer new treatment methods or to provide patients with follow-up over time. Our Nordic neighbouring countries Sweden, Denmark and Finland have for several decades had national registers for many different diseases – records maintained by similar institutions as the Swedish Institute of Public Health. If the Storting decides today to set up a central cardiac registry, we are an important step on the way to where our neighbouring countries are today. I want to tell you that I only take 5 minutes, because our fractional leader is also going to have an article.
ParlaMint-NO_2010-03-22.ana.ud1354e1098	The President has no knowledge of that. I give the floor to those who have asked for the floor. Tove Karoline Knutsen was now finished. She had an available speaking time of up to 10 minutes. The summit was referred to by the President and approved by the Stortinget on a proposal from the Committee. The next speaker is Jon Hunter Gåsvatn, and for the record: The representative Gåsvatn has a speaking time of up to 5 minutes.
ParlaMint-NO_2010-03-22.ana.ud1354e1105	Medical research continues to make progress. This ensures that more people are safe and well treated in health care, and it helps to save lives, and that's good. Research on treatment is one thing, but even more important is the research that is taking place, which means that we can prevent diseases to a greater extent than in the past. It is important that the Storting stimulates research environments for further research in important areas of health. The Ministry of Health and Health proposes, as a continuation of this, the establishment of a separate cardiovascular registry. This will undoubtedly contribute to improving the quality of diagnostics and the treatment of these diseases, but it is equally important that such a register could strengthen the knowledge base for prevention work. This will be socially profitable, but much more important: it will help save lives. The Progress Party will support the proposal to establish a separate register for cardiovascular diseases. Such a register may, in the long term, both prevent and contribute to the better treatment of those diseases. However, the challenge with a register is to ensure privacy. The interest in privacy is indispensable for the Progress Party, and it is at this point that we believe that the Government does not comply. Data protection is crystal clear in its conclusion that the Government’s proposal for a system of processing personal data is in no way good enough. For example, government lots would not allow for possible reservation rights in order to have their information entered in such a register. This in itself weakens the individual’s ability to secure his/her own personal data. The fact that the Government will have a person-identifiable register without consent is a serious interference in privacy – an intervention against which the Progress Party will warn. It is appropriate to remind the Storting that the Medical Association believes that the Department's proposal will seriously undermine the obligation of professional secrecy and the patient's claim to confidentiality. The Progress Party emphasises that a pseudonym based register based on consent will be the best option. Similarly, a pseudonym based register will provide good opportunities for research and maintain the registry’s intention without compromising privacy considerations. The views of the Progress Party have been confirmed by the consultation round from, inter alia, Health sector IT Competence Centre – KITH. It is also an important point that the National Association for Cardiopathic and Pulmonary Disease was primarily in favour of external encryption in its consultation opinion on the proposal for a cardiovascular code. This shows that the Government goes beyond many of the hearing bodies, for example what the Data Protection Authority and the LHL sees the need for. The Progress Party will pay particular attention to the fact that an ongoing extension of the possibility of the distribution of sensitive personal data by itself involves an infringement of the right to privacy if the registry is not based on consent. This must always be weighed against the desire for more research specifically related to disease prevention. The fact that the Data Protection Authority, the Medical Association and other Hearing Officers consider that this proposal involves a breach of professional secrecy and a serious deterioration of privacy cannot be overlooked by the Stortinget. Medical research is important, but by introducing a pseudonymous register, we can achieve good research results related to both treatment and prevention. In this way, we don't have to go along with privacy. The Stortinget must then show that privacy is still very important to the legislative assembly. Such extensive access to the dissemination of private and personal health information provided by this Government scares me. In our view, the Ministry's wide-ranging powers to regulate issues of fundamental importance to privacy are a democratic problem. I get a feeling that Orwell's horror scenario isn't that far away. I will therefore be allowed to address the proposal where the Progress Party is a co-rapporteur.
ParlaMint-NO_2010-03-22.ana.ud1354e1139	The representative Jon Hunter Gåsvatn has taken up the proposal he referred to.
ParlaMint-NO_2010-03-22.ana.ud1354e1142	Initially, I would like to say that it is a pleasure for one to establish more health records in Norway. The right has been a driver to establish quality records in Health-Norway. I believe that it is absolutely essential to improve the quality of our services, develop and improve treatment, and not least lay the basis for new medical research to provide greater survival for our patients. Therefore, in its alternative state budget, the Right has provided significantly more money related to the creation of more health registers. However, this issue also concerns the development of health registers, in particular against privacy. We believe that it is a prerequisite for the quality of the registers, that it is a prerequisite for the confidence of the population in the registers, and therefore also a prerequisite for the possibility of future research and development linked to this information that data protection is adequately and properly protected. We believe that the proposal put forward by the Government here does not correspond to this. This debate goes back to the debate on the Health Register Act, Ot.prp. No 49 for 2005–2005, where the National Association of Cardiovascular Diseases, Competence Centre for Health and Social Technology, Data Protection Agency, Norwegian Medical Association, National Centre for Telemedicine, Social and Health Directorate, Statistical Central Bureau, SINTEF, Cancer Association and the Joint Organisation of Disabled Persons, all in their hearing opinions were opposed to the privacy system set up by the Government in this matter, namely that an individual should not have external encryption but internal encryption of personal-identifiable information, which clearly poses a privacy challenge. Today, the consultation period for «Good health records – better health» expires. In this context, in view of the way in which one handles this first real test piece, which this register implies, the Data Protection Authority has clearly stated in its consultation opinion that one of these places privacy aside. The Data Protection Authority has also said that the system that you put up here could be a violation of human rights. It is quite serious when the government in this trial, which this case represents, chooses to present a proposal where such central and important hearing bodies warn against this and say that this is a weakening of privacy. At the same time, we feel that this does not make any impression at all on the Council of State or on the Government. In its talks of 27 January at the Health in Development 10 conference of the Health Directorate, the Council of State said the following about the health records: ‘If we are to achieve quality improvement, we need to have registers that allow us to link information and research knowledge that can bring healthcare forward. I would never forgive anyone if privacy were to prevent the possibility of getting the right treatment of the best quality." This is alarming, it's historyless, and it's a little bit of a reflection. It expresses an opinion that the goal is devoted to all means. History has many examples of how grotesque medical research has violated fundamental human rights. This research may have led to better treatment, but individuals have paid an unacceptable price. Therefore, it can never be that the aim of health research is to allocate all funds. Therefore, it must always be such that the protection of the rights and privacy of individuals must be more important than the result of health research. And for the record, it's actually not the country's legislative and elected assembly that's going to ask the Council of State for forgiveness to put privacy first. On the other hand, there is a great danger that this Council of State will have to ask quite a number of patients in Norway for forgiveness because one has not taken privacy seriously. Nor is it correct, as the rapporteur said, that we are going here to our neighbouring country. Neither Denmark nor Sweden has these types of registers as independent legal entities. They record this type of information from other existing registers.
ParlaMint-NO_2010-03-22.ana.ud1354e1162	There is a broad consensus on the need to establish a cardiovascular registry. It is important to gain more and better knowledge about the cause, occurrence and treatment of cardiovascular diseases, which is the largest population of diseases in this country. Despite a reduction in the risk of such diseases and an increase in the survival rate over the past 30 years, there is about an increase in the risk of such diseases. 40 pst. of all deaths caused by cardiovascular diseases. A national register will have a major impact on research, improved patient treatment and quality assurance in the service. There is disagreement as to whether this register should be identity-identifiable or pseudonymous, where the identity of the patient is encrypted. Will a person-identifiable register infringe personal data protection disproportionately? The dimension of privacy is very important in the establishment of health records and in the context of electronic patient records previously adopted by the Storting and it will be of great importance when ICT is to be introduced in the health sector, as it has been foreseen in the context of the Interaction Reform. That is why the majority of the Committee has paid great attention to this dimension in its position. The majority require internal encryption of the registry, which implies the possibility of personal identification, but where identified data such as birth and person numbers are kept inaccessible and separated from other non-identifiable variables. Access to person-identifiable data from the registry shall only be carried out by personnel who have a legitimate need for it. The majority also emphasise that work on privacy in health records must be a continuous process. It is shown, among others: for the NOU 2009:1 Privacy Commission to give broad publicity to privacy in the health sector. In this context, the majority of the Committee stressed that the work on privacy needs to be paralleled with the creation of new registers. So this is a work that needs to be given great attention, and that is, among other things. must be given priority when a case concerning the coordination of health records comes up. Finally, the majority of the Committee has also indicated that one should assess the possibility of a right of reservation against being registered in the Cardiff and Cardiff Register. They have such a right of reservation, among other things: in Sweden. It has been concluded that the right of reservation has not impaired the quality of the register. In the SV we agree that such a right of reservation should be provided. It helps to strengthen privacy. My conclusion is that the necessary balances that must be made in the relationship between the establishment of a heart and heart registry as presented by the Government, acquire us more knowledge of the public disease that takes most lives, while at the same time ensuring the protection of privacy, have been satisfactorily safeguarded in this matter.
ParlaMint-NO_2010-03-22.ana.ud1354e1179	First, I want to agree with the representative Tove Karoline Knutsen that this is a ‘day of joy’. A national register of cardiovascular diseases is now to be finally adopted by the Stortinget. The center party thinks it's high time. The idea of establishing a national register has been discussed in Norway since 1955. A national register for this disease group will have a major impact on research, better patient treatment and quality assurance in the healthcare system. Cardiovascular diseases are today the largest group of people's diseases in Norway. Therefore, we need more knowledge about the causes, occurrence and treatment of cardiac and mania. In the creation of the heart and career register, it is a challenge that this will contain sensitive information on health conditions that are subject to mandatory care. Therefore, the proposal emphasises that the information contained in the register should be subject to strict rules and that good legal, technical and physical solutions should be established to ensure that the information is not compromised. After the department's assessment, a person-identifying register will provide the best possible quality assurance of data without consent and will therefore be more suitable than other types of register to provide a basis for better treatment and prevention of heart and masculinity. The centre party supports this. Requirements for strict procedures and systems in the register itself, including: in the form of encryption of direct person-identifying information, logs and limitations in view of who and how many persons have access to personal data, the protection of privacy will be ensured. The centre lot will also indicate that reservation rights should be assessed more generally for health records. We support that department write that this issue can be assessed under the National Health Register Project and be followed up in the work on a regulation for the Heart and Card Register. The contents of the register shall also be specified in this Regulation. The centre party will also demonstrate that the proposed heart and registry will only contain information from diagnostic genetic examinations, i.e. examinations taken to make a diagnosis. In the proposal, the department also proposes a new destination in health professionals. A quality assurance, administration, planning and management dispensation facility shall be established. The majority of hearing aids have been positive to the proposal. The central party agrees that the current legislation has prevented the desire for necessary cooperation across entities and the possibility of comparison between hospitals. The centre party argued that the level of person-identifying information in such exceptions should be as low as possible and that clear information security, limitations in use and erasure requirements are set after a period of time. We assume that the legislation relating to the regulations preserves privacy by providing data that is not directly personally identifiable by health regulators, using methods that prevent, as far as possible, re-identification or ‘return information’. In the view of the Centre Party, proposed changes to health records and healthcare professionals will be of good interest to privacy. The establishment of a national register of cardiovascular diseases will be at the best of the patient, and it is a long-term establishment. That's why this is a happy day. The fact that the Government proposes that the register of hearts and careers with 10 workplaces of competence be added to the Department of the Institute of Public Health in Bergen does not make any less happy.
ParlaMint-NO_2010-03-22.ana.ud1354e1192	The Christian People's Party supports the establishment of a cardiovascular system. I almost want to read it one more time, because according to some posts it sounds like you've perceived it so that the opposition parties don't want it. So, we support the establishment of a cardiovascular registry. This will help improve the quality of diagnostics and treatment. However, since a national register will contain sensitive information subject to professional secrecy, the Christian People's Party wants stricter rules to ensure privacy better than the Government has provided. Weaving information must not reveal who it is. That's why we want a pseudonymous register where patients' identity is encrypted by an independent body, and we also want the register to be based on consent or reservation rights. In the case of changes to the Health Care Act which allow or are to be used for quality assurance, administration, planning or health care management, the Christian People's Party shall vote against. This is a clear hollowing out of the obligation of professional secrecy, as we see it. It is a prerequisite for the establishment of health records that the useful value of the register exceeds the data protection disadvantages of the individual data subject. That's a good starting point. However, this assumption in this case does not take into account e.g.: the number of health records needed. It also does not assess the overall impact of the sum of registers containing sensitive health information. We have a National Institute for Public Health, which naturally has a special focus on utility and easy access to health records. The better the data they have to research, the more knowledge can be generated. Consent and reservation rights prevent the data sets from becoming complete, we hear from there. It's also engrossing and takes more time. Personal identification makes it easier to follow the patient's movements in and out of hospitals, they say, and between departments. These are arguments used by the Institute that are both responsible for the registers and use the registers for research purposes. However, from the government side, I had expected a broader perspective, a more holistic thinking. I feel that there is a lack in the proposition about these changes in the law. In particular, it is important to note that the Joint Organisation of Disabilities, the Data Protection Commission, the Data Protection Authority and the Medical Association all of whom have been involved have expressed concerns that privacy is actually being compromised in healthcare. The fundamental right to privacy is enshrined in international human rights conventions. We have large and good health records in Norway, and this is noted abroad. This provides a unique starting point for research. Many think we could have been much further ahead if we had used this material better, without being hindered by too many laws and regulations. However, we must not be blinded by the possibilities. Some are also concerned that individualism is given too much space in society, while the duty of citizens to contribute to the community is reduced. If ever fewer people are willing to share their health information, this affects research, it is said. Trust in health authorities and researchers is a prerequisite for people to contribute their health information to research. But then they have to know that sensitive health information does not get the wrong way, and that privacy has been protected in the best possible way. In addition, it must be easy for everyone to understand. It's also important for trust. We need to know what we consent to, or what we can reserve against. I would say that the debate on this matter does not help to increase confidence in health records, in researchers or in politicians, for that matter. Words are against words, and it's hard to know who has the truth on its side. I also think that the hearings we have had in the committee give a picture of that. It must be possible to create health records that both ensure the ability to produce good research data and the right of patients to decide on their own sensitive information. That should be a goal for all of us in the future.
ParlaMint-NO_2010-03-22.ana.ud1354e1215	When this government goes from time to time – it doesn't have to be long – a lot in the country is going to be better, something is going to be worse, but in one field, this government is going to be a tragedy, and it's privacy. It's really a field that's completely neglected, it's really a field that you don't have any commitment to. You don't even have the perspective when you're working with the different disciplines. In particular, it concerns attitudes to health information, the most private thing about us. When the world goes against us, we're kind of forced into a system to get help, and there's a very sluggish attitude to what's good privacy. You have a low level of commitment on it. This I think is pretty scary. We see that Nav is still losing his records, we're still looking at hospital scandals where you lose records. You have a very delicate view of the legal field here, but what goes on health information, I actually think is the most serious thing. One thing is that you are not on a team with the Data Protection Agency, which is just supposed to take care of the person part – the left also chooses to be on a team with the Data Protection Authority – but when you are not even on a team with the Medical Association in terms of privacy, which is also supposed to take care of medical matters, you should call a bell or two. Then you should be seriously worried. The left is very much to register and research on diseases. The left is very much to use new technologies to generate new research, and the great thing about the new technology is that it can give us all the opportunities to gather information efficiently and well – and anonymously. While in the old days you didn't have that opportunity, technology gives us a great opportunity to research information anonymously. It gives us a great opportunity to simply ask for an agreement, and that consent will be so far or so small. I mean, for example. that the vast majority of those with a serious disease would like to contribute to research in this area. I think most people would say yes to input information. But here you undermine the very trust in the system because you can't take care of privacy properly. I also believe the right not to be called up by a scientist who says he's found out that you might get sick in eight years, is a freedom people must have. Now you're doing research projects that assume that everyone wants to get that phone. But what if you don't want to get it? What if you don't want to deliver your tests, deliver your information and get that research because you don't want to get that phone that you might have to worry about? I believe you have the same right to reserve yourself against situations that you have the right to know that there may be something wrong with the information you have given to the health care system, which makes you think you should be particularly careful about something. That's why technology gives us a lot of opportunities, but if we don't set limits on it, it's going to undermine the very trust between patient and doctor, the trust of researchers and the trust in our health care system. I imagine that it can have many consequences when trust is undermined in the way it is now done by creating such systems. I think, therefore, you should stress not only the right not to be researched – I don't think there are many who don't want it to be researched on the information they provide – but just as much of the right to not be called, the right to not relate later to the information you have given up. I believe that all citizens must have the full right to give notice. So I'm a little startled that the government didn't learn from the previous round we had about health records, that you just walk forward here, and that you don't have any basic reflections about trust in our whole health system, trust patient-medical, trust that researchers are actually just working for the best, and the confidence that we're going to be able to provide as much information as possible to get on. It's the trust this government is playing with.
ParlaMint-NO_2010-03-22.ana.ud1354e1233	The President would point out that the use of terms such as ‘sleep attitude’ and ‘tragedie’ to describe the policies of others is unparliamentary in this Chamber.
ParlaMint-NO_2010-03-22.ana.ud1354e1236	Cardiovascular diseases are our largest group of public diseases, and such diseases cause most deaths and serious disabilities. Each year, 12,000 to 15,000 people are affected by acute myocardial infarction and an equal number of acute strokes. We don't have enough knowledge of this kind of disease. For this reason, the Government proposes to establish a national register of cardiovascular diseases. I am pleased that a majority of the Health and Welfare Committee is in favour of establishing such a register. An overall task of the Government is to ensure that the health of the population is best cared for. A national register of cardiovascular diseases will provide increased knowledge on cardiovascular diseases and on how to prevent such diseases. Furthermore, it will contribute to quality in diagnosis and treatment, as the Cancer Register has contributed to cancer. The government's proposal implies the establishment of a mandatory personally identifiable register consisting of a basic register and associated quality records. A minority of the Health and Care Committee believes that a national register of cardiovascular diseases should be based on consent or right of reservation and established as a pseudonymous register. Patients with cardiovascular diseases are often so ill that they cannot give consent, and many die abruptly – before they reach treatment. Therefore, a consent-based cardiovascular registry will become incomplete and provide a poorer basis for assessing the occurrence and quality of treatment in healthcare. It is of major social importance that the information contained in the health records is consistent with the facts. The good quality of the register information is important for the purposes of the register and it is essential for the quality of the register that all patients with cardiovascular disease are included. Data gaps in registers could lead to a reduction in the useful value of the register. Such bias may, for example: lead to false conclusions and thus to a deterioration in patient safety. Incomplete registry information may also have implications for health care priorities if used as a basis for health care management and administration. A reservation system has not been established. No assessment has been made as to what the individual may be able to reserve for, or whether it should be possible to make a full or partial reservation. It would be unfortunate to introduce reservation rights without assessing the impact this would have on each registry. I believe that there is reason to consider the right of reservation in more detail. We will do this as part of the National Health Register Project and, if appropriate, follow up on the work of a regulation for the national register of cardiovascular diseases. In the case of pseudonymisation, the main issue is whether the birth number of the data subjects should be pseudonymised by a trusted third party or whether it is sufficient that the person responsible for the register itself encrypts that information. Following the government’s assessment, the encryption of the birth number should be carried out by the person responsible for the register – this being because it will facilitate the quality assurance of the data in the register and allow the return of the data to the person who has reported it if necessary. It is not right that the Government does not have an opinion on privacy. But we believe that the proposal for encryption is well taken care of. I therefore believe that the Government's proposal well meets the needs of society both for a national register and for the privacy of data subjects. I would like to stress that the register is to be subject to strict rules and that good technical and physical solutions are to be established to ensure that information is not compromised. The second provision of the Stortinget deals with today is a new provision of the Health Personnel Act. This provision allows the Ministry to decide that health information — i.e. information collected by health professionals in the provision of health care – may be used for quality assurance, administration, planning or management of the service. It shall apply without prejudice to professional secrecy and without the consent of the individual. It is my opinion that the new provision of the Health Care Professional Act well balances the consideration of the patient’s right to data protection and the need for healthcare to use such information for quality assurance purposes, administration, management or planning of healthcare. The information will only be available to a small number of people, and they will be bound by professional secrecy.
ParlaMint-NO_2010-03-22.ana.ud1354e1264	It's going to be line change.
ParlaMint-NO_2010-03-22.ana.ud1354e1267	Both the Council of State and the undersigned have education and experience in the field of EDB. We know that in the Norwegian health care system we have a number of proprietary solutions, with a lot of different interfaces and an innumerable amount of what we can call home sensitive communication solutions. How does the Council of State feel that the man in the street can be sure to control his personal health information so that his integrity and self-determination are maintained – based on this backcloth and on the present proposal for a structure around a new heart and registry?
ParlaMint-NO_2010-03-22.ana.ud1354e1274	The fact that this matter is being debated in Stortinget shows in itself that it is a democratic process – a democratic handling of the matter. I think it is important that, when adopting such an important matter, we look closely at what is the purpose of the register and what is the framework here. It lies in the proposition that has now been promoted. Then it is the process of the Storting and the final decision of the Storting that determines whether this register is established after the leadership of the Proposition.
ParlaMint-NO_2010-03-22.ana.ud1354e1281	According to the logic that the Council of State has now put forward, the Stortinge may decide anything. As long as it's adopted in the Storting, privacy is protected! It should not reassure patients who are now dependent on the extent to which this Council of State is concerned with privacy. I would also like to clarify a manifest misunderstanding: the Council of State says that there is a majority in the Committee that is in favour of establishing this register. It's not. There is a unanimous committee in favour of the establishment of the register. Disagreements concern privacy considerations. The right of reservation is proposed. Despite this, the file rapporteur, Tove Karoline Knutsen, writes in the VG: ‘In other words, those who do not see fit to enter such a register will be able to release it.’ This contrasts with what the Council of State said, and what is also on the Ministry's websites, where she directly argues against a right of reservation. The question of reservation rights is absolutely crucial. Will the Council of State ensure that that question comes back to Stortinget when the matter is settled?
ParlaMint-NO_2010-03-22.ana.ud1354e1297	We've been very clear on that point of reservation; it's something you'll get back to. But we want an investigation on that, both to look at how the right of reservation is to be respected and what is to be reserved for. So I'll refer to the proposition, which also refers to e.g. Reservation rights in Sweden, where it appears that there is a very small proportion of people who consent to reservation rights. But that's not in itself a reason not to have it. When we say this is to be investigated, we're just going to do it to go into it more thoroughly.
ParlaMint-NO_2010-03-22.ana.ud1354e1304	I am also pleased that the entire committee is behind the establishment of a cardiovascular registry. My question is whether the Government agrees that the opposition parties' proposals for privacy measures actually provide better privacy than the Government's proposals, which the Government itself says means a good level of privacy.
ParlaMint-NO_2010-03-22.ana.ud1354e1309	There are two different types of registers on which the opposition and the majority of the committee are based. When we believe it is right in this case to have a person-identifiable register, it is for the sake of the register, for quality reasons and for how this could be used in the future – which we believe is important. At the same time, we believe that privacy concerns can be addressed in the same way as if this had been a pseudonymized register. It requires a very strong focus on how to organise the register, how to set up encryption, and how to set up security measures in relation to the register, which is given great attention also in the proposal, and which of course we should follow up. It is not that privacy is something that is of particular interest to anyone. It's actually also important for the Government.
ParlaMint-NO_2010-03-22.ana.ud1354e1316	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-03-22.ana.ud1354e1321	The establishment of a central heart and heart registry is an important contribution to a major ICT strategy that has now been initiated by the Government. We have more health records in Norway today that serve as a basis for health monitoring, quality improvement and research. Over a decade, national ICT interventions have been carried out in the health sector. We have achieved results, but many point out that the registers are incomplete, fragmented and not up-to-date. Interaction between institutions and businesses is too poor. This could result in mistreatment, improper use of resources and important health policy decisions being taken without sufficient knowledge. Patient journal systems are not adapted to the need for data reporting, and much of the reporting continues on paper. The Ministry of Health and Health sent out proposals for strategy and action plan for the modernisation of national health registers before Christmas. The strategy is based on existing national health registers and the work already started on developing common technological solutions and establishing several national registers. Effective use of the same data for several purposes and clearer national management shall be guiding principles throughout the strategy period. Privacy shall be focused and safeguarded in the modernisation of the health records. The ICT Strategy proposal proposes two main actions: common registers as an organisational model, national model of the best technological solutions The technology that gives us the best opportunities for national health interaction is also a suitable tool to provide greater protection for personal data – and far better than what has been common so far, with paper-based health information standing in more or less secure archives. I would also like to point out what the Council of State clearly says, that the right to reserve is to be investigated, and that we will thus have the necessary basis for making decisions later. There must be a target for the existence of common registers covering all disease groups and treatment modalities. In the longer term, it is necessary to focus on electronic reporting to all health records. We need a common framework for the organisation, lawmaking, technology and funding of national health registers. The government has in St.meld. No 47 for 2008–2009 Interaction reform: a broad analysis of the challenges facing the health sector in the future related to the good use of ICT, including: proposals for drawing up and implementing national nuclear records become important. Finally, I would like to join the rapporteur's emphasis on the importance this register will have for both a large group of patients and for the general work to achieve better and more modern ICT solutions in healthcare.
ParlaMint-NO_2010-03-22.ana.ud1354e1350	The representative Skei Grande said something that was very important, namely that the computer technology we have available today can give us unprecedented opportunities to collect data and thus improve the health sector, but at the same time it can also provide us with a great opportunity to protect the data and maintain privacy much better than what we have done in the past, when everything happened via paper records or paper registers. That's exactly what the government is doing right now, and that's in the proposal to use encryption. Encryption means that the personal identification data is unreadable. These shall be completely separate from the general data and a specific authorisation, authorisation, shall be required to enter these data. And that should be strictly grounds for duty. If someone is illegally trying to access this data, you have the opportunity to trace and reveal whether someone has tried it. So we have a lot better chance today than we've ever had of protecting person-identifying and sensitive data, and that's what it's adding up here. I'm not quite sure if I understand the opposition's proposal on the pseudonym register. The original reason for a pseudonym register was that you couldn't trace identity. You were anonymous. Now it is proposed a change in the law that allows you to access personal data via bypasses, via third parties, but in other ways and, as I see it, much more bureaucratic and resource-intensive way. I am also not sure that it displays or ensures the personal data in a better way. On the contrary, much more is involved in handling this information than is the case in the Government’s proposal. We have internal encryption technology and legal tools that can secure this information. In Sweden, this system has been in place, in Denmark and Finland likeness, for many years, some since the 1970s and 1980s. The point is not whether they are a legal entity or not, but that there are consent-based personal identifiers where one has internal encryption done by the institution similar to our Public Health Institute. There have been no problems with personal data leaking.
