ParlaMint-NO_2010-01-07.ana.ud2258e44	The representative, Per Arne Olsen, will put forward a proposal for a representative.
ParlaMint-NO_2010-01-07.ana.ud2258e568	The food industry is largely based on Norwegian agricultural and fisheries raw materials. While the agricultural-based part of the food industry primarily delivers to the Norwegian market, the fisheries-based part of the industry is export-oriented. Large cooperatives such as Tine and Nortura have a strong position within the agricultural sector. The food industry is the second largest industry in Norway as measured by the number of persons employed. In 2007, 46 300 people were employed in the industry. The industry's share of the value added was 1,5 pst. The food industry is located in all parts of the country. The industry is of great importance to all counties throughout the country. The food industry is Norway's second largest industry measured in employment. The meat industry accounts for about one quarter of the workforce in the industry and the fishing industry for about one fifth. Different industries differ in product, competitive and regulatory aspects. The food industry is largely based on Norwegian raw materials, which come either from agriculture or from fisheries. Companies with more than 100 employees are responsible for about 45 pst. of employment and barely half of the value of production in industry. The agricultural food industry delivers mainly to the Norwegian market. This means that it is difficult to exploit economies of scale to the same extent as for many foreign competitors. Competitions with the Norwegian food industry are often large multinational companies that can use considerable resources to establish and maintain market positions. In the agricultural part of the food industry, cooperatives such as Nortura and Tine have a strong position. The fishing industry exports most of its production and must have good competitiveness in order to have its products traded internationally. The fishing industry depends on good market access. The agricultural part of the Norwegian food industry has traditionally been considered to be home competing and with limited import competition. However, the industry has become more exposed to international competition over time. In the period 1995 to 2006, there has been more than a doubling of imports of food and drink products, while the growth of exports has been significantly lower than that of fish products. However, the industry has continued to have a domestic share of 85,6 p.m. in 2006. In particular, the industry producing and processing agricultural products, which is subject to the commodity compensation scheme, is in competition. Trade in such agricultural products is regulated in the EEA Agreement and implies that enterprises producing and processing agricultural products are more exposed to import competition than enterprises producing traditional agricultural products. This part of the food industry produces finished products such as ice cream, pizza, bakery products, chocolate, sauces and sugar confectionery. Imports of ROK products have increased steadily in recent years, from DKK 2.6 billion in 1995 to DKK 6 billion in 2007. Norwegian exports of RAK products have been stable at NOK 0.9 billion over the period. Differences in the overall level of costs, commodity prices and excise duties between countries can contribute to significant price differences in some foods and beverages. Such price differences also provide a basis for cross-border trade. For some food industries such as chocolate producers, beer and mineral water producers and the meat industry, such border trade represents a major challenge. The protectionist Norwegian agricultural policy has resulted in a costly Norwegian agriculture that has lost competitiveness for countries with less regulatory support. This has again been reflected in a wish to export from these countries, and agriculture was included for the first time in the WTO negotiations in the Uruguay Round, which started in 1986 and entered into force in 1995. The enlargement of the EU led to increased liberalisation pressures, for example by the loss of New Zealand’s market in the United Kingdom when it became an EU member. This led to full liberalisation of agriculture in New Zealand, which has created a strong competitiveness for New Zealand agriculture and a desire for market access for meat as a counterpart to market access in other areas negotiated in the WTO, such as industrial products. This type of agricultural policy has been one of the biggest nightmares in the EU — they want to spend less of their total budget on agriculture. Sweden adopted deregulation of agriculture in 1989, i.e. before becoming a member of the EU. In Finland, there was a hard debate on agricultural policy at the beginning of the 1990s. What Finland did was to strengthen the industry by softening rigid production and market regulation that restricted competition and prevented the industry from developing. The time of the conclusion of the main agricultural agreement was when Norway was still in a situation where it was about producing enough food – volume orientation. The industrial processing rate of the raw materials was small and the food industry was small and little advanced. The political understanding and thinking of the food industry and consumer needs beyond saturation were low. This meant that the industry was seen as a tailhang of primary production and focused on farmers’ incomes rather than competitiveness in relation to neighbouring countries. The focus was lost on competitiveness in relation to competing product groups, which is one of the problems today. The sum of this is that we get higher consumer prices and production costs than necessary. We are not critical enough about which schemes are put in place and how they are financed. We remain production-volume-focused rather than consumer needs-focused. Our aim must be to ensure that, over time, regardless of political fluctuations and international agreements Norway chooses to conclude, we have a food industry that has predictable framework conditions. It cannot be like today that we have Europe's highest fees and inspection fees for the food industry. We know that foreign competitors have, and will take, increasing competitive shares of the Norwegian market in the future. The Norwegian industry must then be able to compensate for this market loss through exports. We need to ensure that the framework conditions in Norway are not more cost-effective than for comparable countries, as well as to facilitate the movement of commodity prices towards neighbouring countries. Meat and fish must be treated in the same way as regards rates of charge. Different charging is completely unreasonable. Both parts are food and are value chains from raw material to processed product. Also for fish, it is the responsibility of the authorities to follow up breeding, juvenile and cephalopod production, animal welfare, etc. We have to assume that the seafood rate is low because the product has to cope with competition in an international market. In the case of imported raw materials, significant costs of customs clearance are incurred, including to the Food Authority. Food surveillance requires a fee for ‘specific benefits for specific users’ and for ‘supervisory and control tasks where these are distinctly targeted at specific users’. [[...]] The total in 2010 shall be 137 million. SEK, of which 94 million. kr is linked to meat inspection in slaughterhouses. $14 million. kr comes from specific services to specific users. The meat inspection fee is approx. 32 o'clock the kilo of all slaughter from four-legged animals and poultry. In the EU, individual countries set the rates under Directive 85/73/CEE. The method of calculation also varies between countries, but the normal range ranges from 6 to 20 øre per øre. kg in fee. The fees must not exceed those in our neighbouring country, i.e. half the level of the day. In 2009, EUR 134 million is expected. kr as a research fee. The rate is 13 cents per cent. kg for all meat and 6 ears per. kg for eggs. The levy collected is used as the industry’s own share in research projects. The Board of Directors of the Fund shall manage and allocate the funds on behalf of the stages of the value chain involved. Such a collective solution is not common in other countries. Interested parties must act on their own merits. The high costs in Norway are also linked to the objectives of the agricultural policy on scattered production and small units. Authorities should see that this is not a commercial responsibility. Politicians must take responsibility for the systems they set up. The Ministry of Agriculture and Food has just instructed the Council of Turnover to introduce a ‘voluntary levy’ on meat to be sub-financed by the Information Office for Meat and Eggs. It has to be applied at the industrial level and must be voluntary because there is no basis for such a charge today. It's suggested a place between 1 and 5 cents per. kilograms, kg, kg, kg, kg, kg, kg, kg, kg, kg, kg, kg, kg, kg, kg, kg, kg, kg, kg, kg, kg, kg, Today, the information office is financed by the farmer because it is part of market regulation. In those EU countries that carry out such an information activity, there is no clear model. In the United Kingdom, this was previously financed by the farmer, but was changed to include industry and trade. Participation in trade has now been phased out. The Information Office is also part of the instruments of the market organisations and is subject to market regulation Nortura. The aim of market regulation is to contribute to keeping the market price up, so as to ensure the income of the farmer. It is clearly stated that it does not exist for the sake of industry or has to be started to solve their market problems. As long as the information office is part of the market regulation managed by Nortura and the employees of the information office are employed in Nortura, it is unheard that the industry should participate in and finance this. In my next post, I want to take care of the problem in the border trade.
ParlaMint-NO_2010-01-07.ana.ud2258e633	First of all, I would like to thank the representative for the interpellation. As Minister of Food, I am very concerned about the framework conditions and development of the food industry. The Norwegian food industry is Norway’s second largest industrial industry after the workshop industry, and in 2008 it had a production value of about EUR 15 million. 120 billion kroner and approx. 40000 persons employed, broken down by 1 000 larger and smaller enterprises. Then we didn't count on the fishing industry. This is all from large listed enterprises and interacts with many thousands of employees to individual enterprises with domestic production or production only for a local market. The food industry is an essential part of a complete value chain for the production of food in Norway. Enterprises are scattered throughout the country and are part of a value chain that has a broad social responsibility. The answer to the interpellant Tjældal's question is therefore yes. I am very concerned about securing this industry's framework conditions that make it competitive in relation to foreign actors. We know that there will be a need to increase Norwegian food production in the future, both due to international food security and increased domestic population growth. We're going to produce in Norway the food we have on the basis of. Consumer requirements for quality and diversity are increasing and competition is increasing. If we are to succeed in meeting this situation, an up-to-date and innovative food industry is necessary. In this respect, the framework conditions must also be competitive overall in relation to foreign actors. But we have a different starting point for food production than competing countries have. We have higher commodity prices in Norway than in other countries, because we rely on profitability also in agriculture to produce the raw materials here north. However, the international food crisis has shown that Norwegian commodity prices are also more stable. Norway is also a high-cost country. Norwegian hourly labour costs for all employees on average in industry were 28 pst. higher than a trade-weighted average for our trading partners in 2008. Differences have increased in recent years. In particular, these two conditions underline the importance of effective import protection as a crucially publicised framework condition, both for primary production and the food industry. This also makes it possible to have a price level of the raw materials adapted to the Norwegian level of costs, climate and topography, and thus underpinning the use of our limited land resources for raw materials production. Import protection protects primary production as well as the food industry, which is in a community of fate. Nevertheless, Norwegian consumers are among consumers in the world who use the lowest proportion of their income on food because of their high purchasing power. Despite the import protection, the Norwegian food sector is exposed to competition. Imports have been increasing over several years. From 1995 to 2008, the domestic market share has decreased from 90 pst. For approx. 84 pst. Highly fluctuating international prices also vary the level of import protection for some basic raw materials where we have Norwegian production. It has once again become clearer after the severe price drop internationally. From the peak in 2008 to 1 January 2009, the FAO price index fell by more than 30 pst, and then slightly increased through 2009. In the agricultural business, both I and the contracting parties have been concerned that the competitive conditions of the industry will be maintained as a result of the agreements. Of course, I would also like to draw attention to this in the forthcoming settlements. In particular, the processed industry, the so-called RAC industry, which has lower duty rates and is subject to the commodity price compensation system, is subject to competition on the basis of Protocol 3 to the EEA Agreement. Significant parts of Norwegian agricultural production are processed in this industry. With the very strong price fluctuations we have seen internationally, the appropriations for the price depreciation of the commodities for the food industry have also varied a great deal in recent years. However, the result of this item, financed by the agricultural agreement, has been that this industry has had predictable and significantly more stable raw material costs than competing industry and reasonably level playing field with foreign industry in recent years. The allocation to the commodity price scheme is 250 million. kr in 2010 and among others The pizza factory at Stranda is entirely dependent on this scheme, which is part of the agricultural agreement. The food industry is also cyclical, but to a lesser extent than other industries, because demand is more stable. However, an economic policy that contributes to a reasonable level of interest rates and a stable exchange rate is also important for the food industry. An economic policy that contributes to predictability is the single factor the industry most often points to when it comes to framework conditions provided by the public. Norway has so far proven itself well through the financial and economic crisis, and Norwegian food businesses have been less affected by the strong international fluctuations in the prices of raw materials for food than most other countries. There are currently negotiations relating to trade in agricultural products in various international forums. The WTO negotiations have been ongoing since 2001, we are negotiating with the EU through Article 19 of the EEA Agreement, and we have other trade negotiations with major countries such as Ukraine, India and China. It is important that these negotiations be conducted in such a way that we can also have a strong import protection in the future in order to maintain agricultural production and an innovative and offensive Norwegian food industry. In any WTO agreement, the Government shall make use of all the means of securing Norwegian agricultural production and the Norwegian food industry. An agreement also requires compensation to the producers of raw materials for loss of income so that we can ensure competitive deliveries of Norwegian raw materials to the food industry. The food industry is also increasingly facing competition vertically in the value chain from four strong food chains, because the industry is selling its products to consumers via the retail sector, and there are more developments in recent years that I want to get more detailed information on. Therefore, in the near future, I will set up a sample to review the strengths of the value chain. The main objective is to describe the consequences of developments in the food chain and to be able to bring about the future. The Committee shall propose measures to safeguard the interests of consumers in terms of price, quality, range of products and availability, but also the transparency and transparency of the whole food chain ensuring adequate and adequate social control and efficient use of societal resources. It's a basic assumption that the food we eat is safe. This applies regardless of the competitive situation with the outside world. The food industry produces goods mainly on the Norwegian consumer market. In a situation of increasing international competition, the production of high-quality safe food is an important competitive factor. People should have confidence in Norwegian-produced food. A number of framework conditions affect the competitive conditions of the meat industry, as specifically mentioned by the representative Treldal. Fees and charges are one of several conditions. Fees shall not exceed the real costs of control and shall thus be kept to a minimum. Food surveillance indicates that the use of resources for meat inspection is greater than the income from the meat inspection fee. Furthermore, the funding of fees is based on common legislation and harmonised principles across borders in Europe. However, Norway has some special taxes, such as the food production fee. These fees and charges in the food management represent a substantial part of the financing of the oversight and control activities of the Food Safety Authority. When examining the food law, a majority of the Grand Duchy stressed that the revenue from fees and charges should not exceed 80 pst. of the total operational expenditure of the Food Safety Authority. Today, user funding is about 64 pst. Fees and fees in the food management, irrespective of this interpellation, shall now be reviewed in the light of the experience of the Food Authority over five years with the current system. The government is concerned about the competitive conditions and developments throughout the Norwegian food sector. This will be one of the themes of the upcoming big message. Good framework conditions are important to ensure progress in line with the objectives of food production in Norway, food safety, quality, diversity and consumer safety. The development of international commodity prices, with great variation, makes us closely follow it in the assessment of customs protection, and especially in relation to the RAC industry. However, it is not only the framework conditions that public authorities provide — or significantly affect — that determine the competitiveness of industry. Of course, it also has a great responsibility itself to ensure its own competitiveness, through innovation, through conversion and not least through sound cost developments.
ParlaMint-NO_2010-01-07.ana.ud2258e676	I would first like to thank the Minister for the answer. Of course, I did not entirely agree with everything he came along with, but that is nothing new. Border trade is far from a new phenomenon, but has increased due to a socialist agricultural policy and lower Swedish excise duties. Norwegian agriculture is regulated to the minimum detail. We also have a dramatic increase in border trade that could cost us 10,000 jobs. There have never been more abandoned farms in this country than now. At the border with Sweden at Narvik in the north, there is a lot of construction activity. Shops have been built there, but you haven't finished opening the store until you start expanding it to twice – because it's a boom of border trade in meat. There are also people from all over Lofoten who drive 20 miles to trade in Sweden. The Progress Party will have a new agricultural policy with fewer regulations, in which the food producers as self-employed will have the opportunity to manage their own production. This means that the current system of market regulation and concession limits must be phased out. We believe that the special agricultural agreement should be replaced by full ownership and freedom of production for food producers. We also believe that modernised agricultural framework conditions will strengthen competition in the Norwegian food market and contribute to better product choice and lower prices than current regulated framework conditions provide. We see that the grocery trade in Sweden is cheering over the state budget from the government of Stoltenberg. It has been estimated that border trade will reach over 10 billion in 2009. In the case of different meat types, it's all 50 pst. cheaper to trade in Sweden. According to industry, this can give up on 10,000 jobs. I quote from the daily food trade newspaper, where an interview has been conducted with Rema’s regional director in the north, Pál Hultgreen, which indicates that: ‘for a long time there has been a large border trade north and mentions Umbukta at Mo i Rana, Graddis at Fauske, the Riksgren at Narvik and Kilpisjervi at Skibotn against Sweden as vulnerable areas. [[...]] Relatively, border trade in the north is probably as large as in South Norway. 15-20 miles by car is no distance to talk about here north, says Hultgreen, and adds: I am myself from Mo in Rana, and it is within ten miles to Tärnaby. [[...]] We took a look at that distance and we often did it. He also points out that Finland and Sweden are significantly cheaper, and refers to price differences due to taxes and political decisions as a cause, as well as that the weak Swedish krona stimulates increased border trade. I just want to recommend to the Minister that we have more focus on doing something about the systems, so that we don't lose a lot of jobs in this country because we're not competitive with our neighboring countries.
ParlaMint-NO_2010-01-07.ana.ud2258e700	Since the representative Treldal addresses the border trade in particular in his second post, I will also comment on this topic in my second post. According to the Central Statistical Office, we traded the first three quarters last year for approx. 7,6 billion kroner, and this is a significant increase of more than 15 p.m., compared to the same period of the year before. Now we haven't gotten the last numbers per. The year-end, but probably the level is about 10 billion kroner, as it was also said. The Norwegian krona is currently strong, and it also makes it more profitable to trade in Sweden. According to Eurostat, the price level of GDP is adjusted per capita. The total population in Norway is 90 pst. above the average in the 27 EU countries, and the price level at the total level was 39 p.p. above average. It is an important fact that also affects border trade. We have Europe's highest price levels of food and non-alcoholic beverages, alcoholic beverages, tobacco, clothing, shoes and transport services, as well as hotel and restaurant services. Alcohol, tobacco and some foodstuffs are often important, but all kinds of consumer goods are traded: cars, repair of consumer electronics, interiors, groceries. We have seen – and this is underlined by SIFO – that prices in Sweden are lower at the border of typical border trade goods than elsewhere in Sweden, and that means that border trade is also governed by baits. By 9 December, Consumer Inspectors at the NRC showed that a comprehensive shopping cart with typical Christmas goods was cheaper at Rema in Norway than in Sweden. Border trade is a phenomenon that exists at all borders between countries where differences in wage and price levels make it profitable to trade cheaper goods on the other side of the border. Nordmänn frontierhandler in Sweden, Swedes in Denmark, Danes in Germany, Germans in Poland, can be found in Estonia, etc. We can't have a Norwegian salary level and a Bulgarian price level. Eurostat documents that we have significantly higher price levels for most goods and services in Norway than in the EU. Of course, it is linked to the Norwegian wage and cost level. The Technical Calculation Committee has said that the salary level in Norway is above 30 pst. higher than in Sweden, if we're going to take that point. For the most typical border trade products, border trade is partly due to political decisions, levies and agricultural policy decisions. And policy must constantly balance the cross-cutting considerations. Then one might ask, are we busy preventing commercial leakage? Of course. But the most important thing here is to pursue an economic policy that does not weaken competitiveness over time. There is reason to argue that countries with high wage levels and specific policy objectives may have special price differences on some product types based on a charging scheme. We have to live with a certain border trade.
ParlaMint-NO_2010-01-07.ana.ud2258e713	There is no doubt that the interpellant addresses important issues and issues in its interpellation, to which I believe the Council of State has given good answers. Just a few comments and clarifications from my side. The government will pursue a business policy that facilitates an innovative, knowledge-based and environmentally friendly business. Good, long-term and stable framework conditions are needed. The context of the food industry is a particular concern of this government. It's an important industry, in fact the second largest industry, in excess of 1,000 companies that are responsible for value creation and jobs across the country. It is important that this industry evolves, and it is particularly important that we develop an industry that can handle more raw materials than what one does today, especially in the fisheries area. The relationship between agriculture and the food industry is in a way expressed by the Council of State, a relationship of interdependence, or a community of fate. Farmers depend on the delivery of their raw materials, and the industry must obtain them at a reasonable price. In order to safeguard these interests, a new foreign processing legislation was put in place in 2007. The regulation required the volume of foreign processing of meat and dairy products to be regulated by quotas. Active agriculture throughout the country requires that we have a food industry that can reduce and further process the raw materials, just as industry depends on agriculture as a commodity supplier. We must say that we have established a relatively complex structure in Norway to meet the need to have agriculture and the processing industry properly distributed throughout the country. But I'm not in on the black paint that the representative of Treldal is doing. Industry as a market regulator and the relationship with other industries can often be perceived as complex and inconclusive. But at least in this country, we have managed to maintain a country-wide agriculture and a food industry that is our second-largest industrial industry. I think that this is a pretty useful result so far. This issue is one of several reasons why we in the Workers' Party have been concerned about the preparation of a large-scale report on agriculture and food production covering the whole value chain from land to table. Then we get a solid factual basis to discuss these issues. It is vital that we succeed in this. We need to ensure the industry's framework conditions that make it competitive vis-à-vis foreign actors, and we need to ensure that food production opportunities in Norway are of safe and good quality. I can see that it is one of the most important challenges we face in the work on the new big message, which we have to succeed in.
ParlaMint-NO_2010-01-07.ana.ud2258e726	Norwegian agriculture is struggling. Unfortunately, it has been for many years. The number of farms has never been smaller, the number of farmers has never been smaller, and the number of deer cultivated area has a downward trend. New cultivation is almost non-existent. Also, the income of the farmers gets smaller, even though I have recorded that this figure is not correct for some people. We'll see. Very many farmers have farming as a beekeeper and are either self-employed outside the farm or employed in the public or private sector. Norwegian agriculture is heavily regulated by laws and regulations. Annual agricultural negotiations are conducted in which the country and trade associations negotiate prices and other measures. This has been the case for many years, and transfers over the state budget have probably never been bigger than they are now. In spite of this, the number of farmers, farms, cultivated land, etc. is reduced, regardless of government – socialist or bourgeois, majority or minority. Then you would think you would try something new to change the existing one. Because it cannot continue that those children who grow up on a farm, more or less all want to do anything other than to become a farmer. Recruitment's better a freak. If this continues, the production of food will be less than the consumption we have, and we have to buy more from our neighboring country. That is why the Progress Party believes that we need to reduce taxes, taxes and regulations, so that the food industry can get better framework conditions. This must be a regulation that is flexible enough to allow industry to survive, but also so flexible that it can develop and become even better and thus more competitive and get income. Now that it only costs 80 cents for a Swedish krona, it is cheap to shop groceries in Sweden. When prices are also considerably lower than Norwegian prices, although beef in Norway would be 2 kroner cheaper per year. kg, it is not nice that the border trade explodes. It's so simple that where people find the cheapest products of good quality, they trade. And if you buy the cheap goods first, you also follow the others. It's done approx. five million day trips abroad, mainly to Sweden, in 2009. On these day trips it is left approx. 10 billion Norwegian kroner. While we've traveled 12 pst. more than last year, consumption has increased by a total of 21 pst. – So we act more per cent. It's time to go. These approx. DKK 10 billion represents more than 9 000 jobs, perhaps 10,000, substantial in service industries, but also in agriculture and the food industry. This helps to weaken these industries. It is therefore necessary to test the agricultural policy of the Progress Party in order to save agriculture and the food industry. There will be fewer transfers, but lower taxes and taxes, fewer laws and regulations, yes to, for example. more cooperatives and ASs, fewer predators, etc. and SEK 1.5 billion in conversion products, which will save the food industry and e.g. Norwegian agriculture. As it is today, it is only a staple of the industry, and only the greatest and most powerful will survive—in any case. It will affect agriculture and the food industry. We will have depopulation in the districts, the cultural landscapes will grow again, etc. That's why we have to do something – not like today, where everything is run by the public and there's little room for innovation.
ParlaMint-NO_2010-01-07.ana.ud2258e745	It is always interesting and good when the Storting focuses on competition for business, and especially in the food industry, how much is pervasive and the elements of competition can sometimes be a little hidden. There are other competitive opportunities here. These are commodity prices, production costs, fees, taxes, exchange rates, costs of capital use and, in the case of exports and imports, customs duties and access to markets. The structure of the income flow in Norwegian agriculture and thus in the food industry and the rest of the chain is in many ways excluded from the impact of Storting through the agricultural agreement. It has created a precious Norwegian agriculture. It has probably also caused us to lose competitiveness. I believe in many ways that the agricultural agreement, in its existing form, belongs to a lost time. We have lost focus on competitiveness in relation to neighbouring countries. We need a stronger focus on consumer and industrial raw material production in terms of quality and products, and a generally improved structural development at all stages of the value chain. That is why we have received high consumer prices, production costs and commodity costs, and we have had too little profitability and development in the food industry. The agricultural agreement, which is part of this, came before the modern consumer and the modern consumer community were invented, to say that, and we need to change. The Prime Minister also said something about this at the NHO conference today, where I come from. He was talking about conversion. He also said another interesting thing, namely that state intervention is sometimes important – but not always. I think we're in here in an area where we might be able to think about whether the state interference always brings the best with it, and whether there might be other ways to solve it. That's why I'm a little surprised when the Minister of Agriculture in his first post ends up talking about the power message in food sales, i.e. in food chains, because this has been investigated very many times by the competition authorities and is relatively well-lit. I don't think the big problem for the food industry is there, nor in terms of the prices to the consumer. But let's get this power message review -- it's excellent, if it also takes along the whole chain. But what's more important, I think, is that the announced agricultural message brings with it the whole value chain. I allowed myself to ask the Minister of Agriculture in October on a written question, whether he would look at it. I perceived the answer that time as very halfway. The issue of competition was not affected in the response of the Council of State. It was affected in my question. I believe that the food industry, not only its role in relation to what it can do for production and agriculture, but what such a message can say about the possibilities, framework conditions and roles of the food industry itself, becomes very important. Therefore it is interesting to hear the representative Haugen's comments today, where, in my opinion, he goes further than the Council of State Breck. The Workers' Party's attitude, says Haugen, according to my poor notes here, is that they will use this message to review and lay the foundation for a competitive food industry. That's good. Then they're on the right hand side. And it'll be happy if the Council of State also today, or at an appropriate time, says the same thing, so that the Government, as it always tries, tries to say the same thing.
ParlaMint-NO_2010-01-07.ana.ud2258e760	The food industry is, as many people have pointed out here today, a very important part of Norwegian industry, which may often be overlooked in industrial debates, because there is a tendency that the bigger the businesses, and the more heavy metal they produce, the more remarkable they get. So it's very positive that the interpellant has taken up the question of the food industry. Now, the Minister of Agriculture has given a very good account of what the Government is thinking about the food industry, how important it is, and how it is going to get sensible framework conditions. What I want to add is that in Norway we have a model when it relates to agricultural products, which are based on agricultural negotiations, and which are based on price regulation. It's a model that's worked. It is a goal of the policy we are pursuing in Norway today, to look at the health of agricultural production and food production that follows. The whole-hearted policy has been aimed at having agriculture throughout Norway, and at having viable rural areas. It is part of the relatively well-recognized objective of what we pursue in agriculture and the food industry. It's e.g. only to look at our neighbouring country Sweden to what extent they have had less happiness in a goal of having agriculture throughout the country than we have done in Norway with the model we have developed, with negotiations and with price adjustments. What's a point when we look at the employment situation is that we don't just take one element of the total image. What the interpellant is doing is very much taking out the food industry from the total image. If you live as a spokesperson or as a politically engaged person in a district municipality in Norway, you will see that the workplaces are much more holistic. It's the part-time farmer, it's the food industry, and it's not least the tourism industry, which has gradually begun to have a major impact on precisely the goal of having living communities and having a holistic perspective on it, so that one has a regulated system that keeps us alive in rural agriculture and thus creates a basis in the districts for jobs other than agriculture. It is an important part of agricultural policy that often forgets when only a grip takes place at the end, namely the competitive situation of the food industry. There is also another element that we need to take more and more seriously today, and that is taking care of productive soil. In the climate situation we have, and in the food situation, it's a point to deal with, not to make the competitive situation so that one creates a drive towards such large units that one gets the depopulation of the countryside and thus also reduces the agricultural production and active operation of arable land. So there's a lot of elements in this that make questions about the food industry have a bigger health than what comes up in the interpellant's questions. So it's like, as many people have just said, that we've now been notified of an agricultural message where we're going to see it in wholeness and not extract one element alone.
ParlaMint-NO_2010-01-07.ana.ud2258e773	The food industry is an important key in the overall value chain that we have for food production in Norway. I think it is important that we see the policy of the food industry as a whole. For the Centre Party, the aim is to have an agricultural sector and a related food industry throughout the country. I see this as a clear contrast to the policy of the Progress Party in this area, where they want free competition and freedom of establishment at all stages of production. At least that was what the representative, Mr. Träldal, presented in the budget debate before Christmas. I believe that the representative, Mr Träldal, should draw up the Norway Map and explain how, with the solutions of the Progress Party, he will be able to maintain the production and processing of food throughout the country in order to have the same conditions for those in the Central East region as those in the Far North of the country, or to have the same framework conditions as those in South Sweden and Denmark. It is worrying that the Progress Party does not see that the climate and topography in Norway are different from what one has in other parts of the world. I have trouble seeing what is the Progress Party's vision for Norwegian agriculture. I have been told that a person wants a strong cut in the transfers. I have been told that a person wants compensation or a means of conversion, and I have been told that a person wants to release the farmer. The policy that I see is a policy to release more and more farmers from the peasantry. It doesn't want the Center Party. What is gratifying about the interpellation of the representative, Mr Träldal, is that he is going from proposing to weaken the framework conditions for industry by stepping down on subsidies to industry, as argued in the debate on the 2010 state budget, to now wanting to strengthen the framework conditions. Agriculture and the associated value chain play an important role in housing and employment in large parts of the country. The main role of Norwegian agriculture is to produce safe and clean food for its own population. We also need to see Norwegian food production in an international perspective. A billion of the world's population is starving today, and we are facing a future food crisis. We know that the population in both Norway and the rest of the world will increase in the next few years. It makes Norwegian agriculture and total food production important. This means that food production needs to be increased in the future. In fact, for the Centre Party, increasing Norwegian food production is an objective. I didn't campaign to promise people cheaper food. No, I've been campaigning in Rogaland to promise people more expensive food if it's necessary to maintain a Norwegian agriculture. I am concerned that one looks at agriculture as a long-term industry that is totally dependent on stable framework conditions. We cannot separate the food industry from food production. We have to look at this as a whole. The protection that benefits agriculture also benefits the food industry. If a person is to have a living agriculture throughout the country, he must have good framework conditions. I am pleased that it is now announced that the Government is making a big message about agriculture. I look forward to that discussion, not on how to preserve Norwegian agriculture, but on how to manage to have a living agriculture throughout the country in the future. Because the outfits are there, there's no doubt about it. I believe that both Norwegian farmers and the Norwegian food industry are best served by the fact that it is an agricultural and food minister from the Central Party who is in charge of that work, and that it is a red-green government that is to present that notification.
ParlaMint-NO_2010-01-07.ana.ud2258e791	I am very pleased with the interpellation, and several interpellations are needed to discuss Norwegian policy during a break-up time when a new course is being launched internationally, away from a freedest free trade in food to a world trade that meets the major challenges of climate and food security. The food industry concerns our food related to cereals, milk, meat and vegetables, that is, our daily bread. There are questions about enough food, safe food and healthy food. Quality is important in Norway, in a country with a very high level of income. It's important that we get healthy food, because the negative consequences of unhealthy food and additives we only see after many years. There are very many who work in this industry, who are skilled business managers, skilled trade union workers. It's an industry that, because of its number of employees, is much, much more important than most people are aware of. As a business industry, the food industry is asking for predictable and robust framework conditions, such as the Right way of saying. In other words, the authorities must provide business – this business is made up of owners, employees and suppliers of raw materials – with an agreement that can be met without being made through a lower profitability for the owners, a lower wage than elsewhere in the Norwegian society, and raw material prices that are at the level of our extremely high international wage levels. With today's public order and cost level, this chord is already too tight. It's too much pressure. It looks like you're looking at who's holding on to their ownership in the food industry. It is agreed in the food industry, which processes cereals, milk, meat and vegetables, that it is necessary to have a high level of import protection that is close and not undermined, in order to ensure a national market and the corresponding level of food prices. The parallelness of this import protection system is in the government's work what happens to the business world, where one wants to ensure Norwegian pay and working conditions for employees in general in Norway. The Progress Party here, through its representatives Bredvold and Tåldal, says that there is a bad development and that one needs to change. It should be a cross-thinking that those who work in the industry, those who own that industry, do not choose the Progress Party. The party of progress is otherwise busy having contact with real life. _Other Organiser It looks one at the upswing in the industry we're talking about here. One rejects the proposals, seafaringly because the policy is even more unfavorable for the food industry. The Food Industry NHO Association clearly states that it is an illusion to believe that the food industry can compete on the world market. I would like to hear if there are anyone here who dares to respond to the position and the claim from my side that is anchored in the NHO's own associations. For these owners, who are in the food industry, as the Progress Party, and also the Right and Left, say they are listening to, the worst thing that can happen is that political unforeseeableness is created, among other things. import allowances and import holes, as this opens up the trade stage, the monopolist food chains, import directly from abroad – read: mainly from EU countries – and thus the food industry is even more frugal. That is why the policies of the Progress Party, the Right and the Left are the greatest threat to the Norwegian food industry. In addition to the need for stronger import protection, it is important that the Government now looks at the power relationships between the food industry and trade. There is a great deal of excitement in the manufacturing industry, and the centre party is very happy that the government has reduced it. And we record with interest that the Right Seafarer is not happy with this. The centre party wishes to improve the profitability of production life. In the last 20 years, there has been a dramatic change in the disfavor of production. No country has such monopolistic developments at an irregular level of food trade such as Norway. It is so widespread with secret agreements that the producer – whether it is soap or meat – does not see the unfair competition and dares to face it publicly. Therefore, the review by the Government of power relations between industry and trade is very important, but it is hardly possible to do anything about it without changing the ownership of the trade, in line with, for example, American trust control, where one would not allow such monopolies.
