ParlaMint-NO_2010-05-05.ana.ud2638e26	The representative of Per-Kristian Foss will present a proposal for a representative.
ParlaMint-NO_2010-05-05.ana.ud2638e954	I thank you for your answer. But at the same time, we can well conclude that the current situation and the situation we've been in for a few years doesn't seem to change. There is no concrete signal here from the Council of State to address or solve the problems that are now being described across the country in the media. This is primarily about protecting children from a long life of crime and a life of intoxication. Child protection and police are aware of this case with a 14-year-old boy who has stolen 25 cars etc. This is an urgent need. Can the Council of State live with and sleep well with an auxiliaries who in this area obviously play down? Will the Council of State take care to start work – either with legislative changes, regulatory changes or a greater focus on this – in order to safeguard children and the environment in these cases?
ParlaMint-NO_2010-05-05.ana.ud2638e961	I can't really understand how the answer can be seen as if the government isn't addressing these issues. The whole answer is to describe the different actions undertaken only recently, focusing on this common strategy from the summer of 2009, plus the Crime Prevention Action Plan Good Forces, which contains 35 actions. All of this is geared towards cooperation between departments, between professional groups, in order to be able to make a strong contribution around children and young people who need it.
ParlaMint-NO_2010-05-05.ana.ud2638e966	Thank you again for your answer. But the reason why I'm saying what I'm saying is that the measures described do not solve the acute needs of child protection institutions, for example. to hold a young person back when he says he will be out in the middle of the night. They don't have the opportunity to hold him back, even though they know it means criminal acts. They are not allowed to examine the rooms of these young people, for example: In the United Kingdom, the United Kingdom, Ireland, Ireland, Ireland and the United Kingdom, the United Kingdom and the United Kingdom, the United Kingdom and the United Kingdom, the United Here there are a number of completely concrete physical conditions that need to be settled. We must ensure that clear demands are made on individuals when the criminal response is to be implemented. It is also the case that the aid we have, which is initially well-suited, needs to be more clearly suspected. The auxiliary equipment does not have the power to keep the children in place to accept the auxiliary equipment available. It has to be changed. Can the State Council continue with the status quo?
ParlaMint-NO_2010-05-05.ana.ud2638e973	I would like to mention the trial project that is now under way in Bergen. For children who commit serious criminal acts, a separate unit in Bergen, such as a probation system, is established within the criminal justice system. We also work with a view to establishing equivalent in Oslo. As this is a case of children under criminal law, the police have not the same coercive means of stopping them in the same way as in the case of persons over 15 years of age. This is due, inter alia, to: together with the fact that it has been considered by the legislator to be unfortunate to apprehend and imprison children. In the framework of existing legislation, a number of practical measures are now being taken to meet the needs of this group of children.
ParlaMint-NO_2010-05-05.ana.ud2638e978	Then we go back to question 3.
ParlaMint-NO_2010-05-05.ana.ud2638e984	‘Uhlens Biodiesel has applied for exemptions from 2nd generation biodiesel produced by animal fat. They request that this type of biodiesel be compared to biogas and have the same tax as this. They've been denied. Several transport companies have invested in vehicle combinations that can benefit from biodiesel because they want to take environmental considerations and reduce costs. This does not apply at least to other foreign actors. One of these is Byrknes Auto from Sogn and Fjordane. Why won't the State Council make an exception for this type of biodiesel tax?'
ParlaMint-NO_2010-05-05.ana.ud2638e991	The government facilitates the use of more environmentally friendly fuels through research and development, and through the design of charges for the use and purchase of cars. Climate-neutral fuels have a full exemption from the CO2 tax. This also applies to all biodiesel, although there are uncertainties and wide variations in the climate impact of biofuels. The car diesel tax, on the other hand, is an user charge. On a principle basis, all road users should pay user charges equivalent to the costs they incur to society in the form of accidents, queues, noise, wear and tear, etc. Excise duties will reduce the extent of such undesirable effects. The costs associated with this are independent of the type of fuel used. As from 1 January 2010, therefore, half of the biodiesel car-diesel charge was imposed and the fee is to be escalated to a full fee in 2011. The user charges on fuels are based on the polluter-pays principle, and such green taxes are an important source of income for the country. In 2010, the fuel and automotive diesel taxes amount to approximately NOK 16 billion in tax revenue. If these revenues were to be eliminated over time by replacing traditional fuels with alternative fuels free of charge, any loss of income would have to be covered by increased taxes and charges, or reduced appropriations for many good purposes. The prevalence of alternative fuels only based on exemptions from user charges will not be a sustainable solution over time. This suggests that alternative fuels need to be imposed user charges in line with the car diesel and petrol taxes over time. However, I have notified that it will not be appropriate to introduce a specific user charge for electric cars or user charges for biogas during this large-scale period. The government is facilitating the development of 2nd generation fuels through a scheme to support the development of environmental technologies under Innovation Norway. For 2010, it's earmarked for 100 million. kr for the development of 2nd generation fuel. In addition, the national biofuel placing on the market is increased from 2,5 to 3,5 pst. with effect from 1 April of this year. It has been notified that it is aimed at introducing sustainability criteria which require, inter alia: the climate impact of biofuels in 2011. This may help to promote the use of biofuels with higher climate performance. In view of the uncertainty surrounding the taxation of alternative fuels following the introduction of the biodiesel autodiesel tax, the Government has announced that a review of the principles applicable to fuel taxes will be carried out in the context of the 2011 State budget.
ParlaMint-NO_2010-05-05.ana.ud2638e1005	I thank you for your answer. The refusal to apply for an exemption from a motor vehicle tax refers to the fact that biodiesel should have the same charge as car diesel because of its costs in terms of accidents, queues, noise and road wear as well as emissions to air. This is, in my view, a bad foundation. Biodiesel produced by animal fat must be compared to biogas and must have the same tax as this. It is clear that it would be a fair system that can be defended from an environmental point of view. If I don't think wrong, remove Sigbjørn Johnsen's biodiesel fee the last time he was Minister of Finance. Now he is back as Minister of Finance and reintroduces this fee. What has changed since he was Minister, when it concerns taxes on biodiesel?
ParlaMint-NO_2010-05-05.ana.ud2638e1014	I would like to refer to the quite extensive discussion which took place last autumn on the introduction of user charges for biodiesel. And as I said in my post, half a fee was agreed for this year, and then one in the 2011 budget will propose escalating to the full fee. It is true that I contributed to the introduction of a tax exemption test scheme to obtain biofuels, but that is a slightly different story.
ParlaMint-NO_2010-05-05.ana.ud2638e1019	I thank you for your answer. Many carriers want to take environmental considerations, and emissions from transport are significant. Biofuels — biodiesel — are an important means of reducing this. Converting to biogas costs NOK 300000. I know that the state is engaging in large subsidies in public transport, and that means that many public dollars used for costly environmental measures could be used much more socially useful, e.g. to a biodiesel conversion, if biodiesel had the same charge. Byrknes Auto in Sogn and Fjordane, which is one of the largest transport companies in Norway in the case of thermo-transport, has reconstructed several road trains in order to benefit from biodiesel, both in order to take environmental considerations and to reduce fuel costs. All of this is possible if you can get a fair tax on biodiesel, which is the same as biogas. Does the Council not see that these are good arguments for removing the biodiesel levy?
ParlaMint-NO_2010-05-05.ana.ud2638e1028	As I said in my answer, biodiesel is exempt from CO2 tax, which is the environmental tax. However, as I also said, it is necessary that regardless of fuel in principle, user charges should be paid, as many drivers – a little depending on what you are driving on today – are charged. As I announced, we will go through the whole of this in connection with the 2011 state budget. In addition, the blending obligation for biodiesel, which is now increasing, could also increase the use of biodiesel, while introducing sustainability criteria, would further stimulate the use of climate-friendly fuels. However, the user charge is in a slightly different class, it is the CO2 tax that is the important environmental tax in this context.
ParlaMint-NO_2010-05-05.ana.ud2638e1042	I will ask the Minister for Economic Affairs and Trade the following questions: ‘It has become known both through meetings and through the media that Statkraft is facing a very large investment programme in the coming years. This is also something that has been known over time. These are investments that will go largely to investments in renewable energy. State power is a state company in which the Government has for many years pursued a policy that has resulted in significant withdrawals of dividends. Does State power have enough available capital to make future and planned investments in domestic and foreign countries?’.»
ParlaMint-NO_2010-05-05.ana.ud2638e1051	State power is one of our largest and most important companies. They manage significant Community resources which are desirable for the benefit of the entire Norwegian community, and the return on activity must be seen in relation to other Community tasks to be solved. This has been the main rationale for the dividend policy pursued by the State towards the company. In its ownership report, the government has said that the main task of Statekraft is to be an effective producer of power in Norway. Furthermore, it is foreseen that State power will lead Europe in the field of environmentally friendly energy. The company should therefore be able to participate in industrial development in Norway and Europe. The government expects the company to be at the forefront of developing and upgrading environmentally friendly power generation in Norway, and to be among the first to use new environmentally friendly energy sources. This has been followed up in the Soria Moria II Declaration, where the Government says it will facilitate the further development of State power as an engine in renewable energy. These objectives shall be achieved on a commercial basis. I note that the exchange policy towards Statkraft has so far not prevented the company from developing in line with these frameworks, and the company has also invested significantly in recent years. As in any company to be operated on a commercial basis, it is up to the board of directors to further develop the values of the company within the strategic framework set by the owner for the company’s operations. On the basis of this, the Government of Statkraft last year presented its strategy towards 2015 to the Ministry of Economic Affairs and Trade. The strategy was threefold. On the one hand, Statkraft would continue to be an industrial developer in Norway with a focus on renewable production and, on the other, develop its role as a ‘turning producer’ in the European energy market and, on the other hand, as a ‘global green developer’ through SN Power. At the same time, the board asked for an equity deposit of DKK 8 billion and a downward adjustment of the dividend policy towards the company from today's 75-100 p.m. up to 50-75 pst. of the surplus. This will support the continued expansion of the company, both in Norway and internationally. I believe that there is good reason to take the time to carefully evaluate these proposals. Power generation, especially in the renewable sector, is a very long-term business. As I see it, the government is now spending time on these issues, not significantly inhibiting the long-term development of State power.
ParlaMint-NO_2010-05-05.ana.ud2638e1064	I thank the Council of State for the answer. What is problematic is that it takes so long to provide answers to the recordings that have been made. I just want to be allowed to quote the director Arvid Basic gender in an interview with Finansavisen on 16 June 2009: «Statisfying power may result in more profitable projects if the State does not change the company's dividend policy.» Furthermore, I would like to point out what Odd Vanvik stated to the Business of the Day April 26, 2010: ‘It is extremely disappointing to have a state owner who does not provide capital when we need it and who conducts a dividend policy that drains the profits every year. It is clear that the company is characterised.» I would like to ask the Council of State to supplement it further when it can be expected to receive answers to the input from the State Power to the State regarding the dividend policy and the injection of equity.
ParlaMint-NO_2010-05-05.ana.ud2638e1081	First of all, I don't think we're going to be ashamed that we're taking good returns from Statkraft. This is the property of the community. Now I know that the questioner and the undersigned disagree on how much the community should own the company Statkraft, but as long as we own it, it is the community to which these profits should go. So it may well be that it is a proper allocation of the community's wealth to leave some more of the capital in the company or to add new capital, but it is not given without saying. Although Statkraft should have profitable projects and profitable investment strategies, the country’s money may be placed even more profitable elsewhere. I am a little surprised that the questioner's party is asking that the department be generous with capital when a state company asks for it.
ParlaMint-NO_2010-05-05.ana.ud2638e1090	It doesn't take the Council of State to be amazed, because it has to do with using the community's resources in a sensible way. It also applies in business and investment. Several of us have come to realize that there are some very good projects that Statkraft wants to enter, and that they are about to enter. But as a result of the state's dividend policy in recent years – it's through several governments, it's not just this government that has led what I would call a relatively brutal dividend policy – the company has trouble self-financing the projects they want to go into. My question to the Council of State is: When can the company expect an answer? The state that owns the task of being at least a clean owner, and it has repeatedly said that he wants to be. Then it is also important when it comes to such requests, when it comes to such strategy papers, from such an important company as Statkraft, that it is answered to it. Now we see that it is over a year since this was presented. When will the Council of State give an answer?
ParlaMint-NO_2010-05-05.ana.ud2638e1099	Let me first, if the President allows it, defend both current and former finance ministers who have taken advantage of Statkraft. I believe that these are the resources of the community. This is an eternal resource, the power plants are built and paid down. The water runs as long as there is precipitation, and this gives great values which of course should benefit the community. So there's another question: are you going to use some of this surplus, or in so far as another surplus – we might as well have spent money from the oil fund surplus – and put into Statkraft to increase their muscles to implement large investment plans? Well, this raises major issues related to the role of State power both in Norway and abroad. There are questions about how to exploit the company’s competence, the possibilities for conversion into its extensive activities, and, of course, the risk assessment of the investment projects to be carried out by the board. We'll spend the time we need to make decisions about this, and the answer will come when we're done with that work.
ParlaMint-NO_2010-05-05.ana.ud2638e1108	The President shall not interfere in the dialogue, but only with the fact that dividends are also determined by decision of the Storting, in which many lots have participated. Let's move on to question 5.
ParlaMint-NO_2010-05-05.ana.ud2638e1116	I would like to ask the Minister for Economic Affairs and Trade the following questions: ‘The situation in the tourism industry, and perhaps especially in the hotel industry, is serious. Leaves and notices about this have been sent from many companies. The Council of State will contribute, for example: proposals for lower taxes and taxes and a more flexible regulatory policy to improve the competitive position of industry?’.»
ParlaMint-NO_2010-05-05.ana.ud2638e1125	I answer this question as the responsible state council for the overall travel policy, as I assume that the question comes up as a result of the difficult situation several travel businesses have come into due to the ash cloud from the volcanic eruption in Iceland. I have been engaged in having updated information on the consequences of the volcanic eruption and have therefore been in constant contact with relevant business organisations since the situation arose. Fortunately, Norwegian business has shown good adaptability and willingness to cooperate on the challenges posed by the volcanic eruption. The tourism industry is significantly affected by the situation in air traffic, and although conditions now appear to be normalising, it does not necessarily mean that everything is as before in the whole travel industry. I will ensure that I have good information on the impact on the tourism industry also in the long term and will keep assessing whether it is appropriate to introduce specific measures. So far, the Ministry of Economic Affairs and Trade, in dialogue with Innovation Norway, has assessed the use of the funds allocated to the marketing of Norway as a travel destination. Innovation Norway has redeployed its available funds to strengthen its marketing efforts ahead of the summer season in the Norwegian, Swedish, German and Dutch markets. These markets are chosen because they represent large customer groups that do not depend on aircraft to come to Norway. Last year, in the light of the turmoil in financial markets, we managed to increase marketing efforts in the near markets. We learned that this had a beneficial effect on the tourism industry in 2009 and hope to achieve the same effect for the summer season 2010.
ParlaMint-NO_2010-05-05.ana.ud2638e1136	I thank the Council of State for the answer. Now it wasn't just what we've been experiencing lately, which made me write the question, because it's been a negative trend in the last few years when it comes to the number of nights spent. After I wrote the question and delivered it, there was a nice article in the evening post on Monday that tells a little about this. There has been a downward trend from 2007, and the number of overnight stays has not been as low in many years as it was in 2009. And when the number of days spent in Norway decreases, it increases, for example. in our neighbouring country Sweden. Travel life is an important industry. That's the fourth largest industry, as far as I remember. The travel industry employs many people and is important to the territories. It means women's jobs, summer jobs and part-time youth jobs. It's generally a good district policy to be good at this, and that's what I'm asking for. And then my question is about e.g. part of the things I mention in the main question, can make it easier. The next question concerns Innovation Norway, whether our money is being used properly in the marketing of Norway.
ParlaMint-NO_2010-05-05.ana.ud2638e1149	I believe that we have a great unsolved potential for developing Norway as a destination for travel life. And this is about a lot of things. The business structure — the business structure of the tourism industry — is, of course, about the marketing of Norway as a destination, and it is about developing the experiences that tourists demand. So we have to use a lot of tools to get it done. We now have a full evaluation of Innovation Norway. Inside it, of course, travel life will also be, so that we can hopefully learn from it how we can get even better. We see that we are about in the middle of the team in the Nordic region – Sweden is increasing, Denmark is decreasing, and we are lying about stable. However, there may still be a great job to do to make Norway visible and make foreign customers aware of Norway as a possible destination for travel life.
ParlaMint-NO_2010-05-05.ana.ud2638e1156	Stable and stable – I don't know. In 2007, we had 8.2 million overnight stays, and in 2009, i.e. two years later, we had almost 1 million fewer overnight stays. So that's pretty big numbers we're talking about. And when we know at the same time that we spent $245 million. kr on marketing last year and Sweden approx. One hundred million. Swedish kroner, maybe we should use the money a little bit differently, for example. align them with other groups. I'm reading what Innovation Norway says, that you've done the right thing, but I'm looking at Sweden, they've done things differently. They've looked at what they've done in the past, and then looked at what you can do in the future, and change. And they're increasing. In addition, there are some things we can do to make it simple, for example. harmonise alcohol taxes, reduce travel tax from 8 percentage points to 6, eliminate the differentiation of the VAT rate on food – many such things.
ParlaMint-NO_2010-05-05.ana.ud2638e1165	I think the general framework conditions for business are important for the travel industry, as for everyone else, but I think there are also some fundamental tasks in restructuring the industry, getting larger units, getting more impact and bigger muscles. We're a high-cost country, and we're going to stay -- it's our standard of living, which is about having high wages. Then we must be more productive, more efficient and have more unique products than those that can offer cheaper destinations. We see that the 2009 crisis year has turned out to be too many countries. So I think it's a little difficult to use 2009 as a fascination if we've succeeded in our travel strategy. I have great ambitions for the travel life policy that the Government has led, and my predecessors have also significantly increased the commitment to this. In cooperation with the travel industry itself, I am absolutely sure that we will be able to unlock much of the potential we have in Norway.
ParlaMint-NO_2010-05-05.ana.ud2638e1177	This is a question to the Minister for Transport: ‘Norwegian road network and Norwegian rail network are due. This has been happening for many years and under many governments. But it is in the years from 2005 with this government that the maturity has increased and that the situation has deteriorated significantly. How the government manages maintenance, measurement and reporting targets and the need for action seems unclear. What are the arrangements made by the Council of State to improve the overview of road and rail maintenance and to implement measures to stop the deterioration/removement?’
ParlaMint-NO_2010-05-05.ana.ud2638e1186	The Ministry of Transport has asked the State Road Administration to make an assessment and, if necessary, to propose a better way of quantifying the loss on the road. In this context, it will also be considered whether an overarching maintenance status indicator can be developed. The Ministry of Transport has approved the mandate, schedule and organisation of a project to be completed during 2011. During 2010, the State Road Service will make a detailed recording of the technical maturity of tunnels and bridges on the national road network as a basis for the plan proposal from the transport modes. The records will also cover the state of tunnels and bridges on the county road network. This will form the basis for work on the roll-out of the National Transport Plan 2014-2023 and the Government’s assessment of the ambition level for reducing the maturity of the national road network. When it applies to the state of the network, I refer to the information I gave in Stortinget on 9 March this year and the subsequent debate in Stortinget on 20 April this year. As I explained in that context, the biggest problem for Norwegian railway is that the standard on the railway network is too bad in many places. This applies in particular to the most central routes, the most trafficable. This has resulted in a lack of maintenance and renewal over many years. In 2006, the Railway Agency engaged the German Railway Expert to identify the need for maintenance on the Norwegian network. The result of this study was later used in connection with the budget proposals. In retrospect, the consequences of the wear down of the most central routes have been worse than previously anticipated by the railway system. It is more difficult to see the consequences of wear and tear on the technical installations, as several of the installations are nearing the end of their technical life. The railway system has now started work on a new review of the need for maintenance of the network, as a basis for the roll-out of the NTP in 2013. In the meantime, whether or not there is a need to increase the appropriations for maintenance beyond the NTP schedules will be assessed in the context of the annual budgetary proposals. The Ministry of Transport has now had a thorough discussion with the Railway Agency in order, if possible, to carry out more maintenance in 2010 than the 2010 budget provides room for. I am pleased to announce that there will be an additional commitment to the Railway Agency in the revised national budget.
ParlaMint-NO_2010-05-05.ana.ud2638e1201	Thanks for the answer. It is excellent that some grips are being taken on the roadside to get a better overview. I think it might also be necessary on the railway side. Clearer measures are needed for what is well maintained and what is well maintained track. There is also a need for clarification as to how the targets are set, and not least as to who sets the targets, and how they are to be measured, to verify what is actually the situation in relation to the targets set. Should not other than the stations responsible for running operations be responsible for the measurement? Should we not soon put in place a comprehensive transport supervision that also covers the road side, where perhaps the deficiencies are greatest, in order to obtain a more independent, stand-alone measurement of whether the roads actually meet targets and whether the railway network actually meets targets?
ParlaMint-NO_2010-05-05.ana.ud2638e1208	There is good competence on the road in the State Road Service. I believe that this project to be completed in 2011 will meet at least some of what the representative Sortevik here asks for on the road. On the railway, it has been a review of its own in 2006 when it concerns the need for maintenance, which was made by German expertise. Despite this review, which was also followed up in the national transport plan, it appears that a more thorough round is now needed. It has not been shown at least the winter and the cold.
ParlaMint-NO_2010-05-05.ana.ud2638e1215	There are many studies showing that there is a need for far more comprehensive measures than the one contained in the recently adopted national transport plan. I now stand here with the state report from the consultant engineers, who have produced a state report on Norwegian infrastructure, also for road and rail, and on a scale from 5, which is good, to 1, which is bad, the roads get 2,5 in character and the railway 2. This is worrying. That's why the second part, of a two-part question, is how the time horizon and the plans are to stop the decay and remove the lag. What is the plan for getting road and rail up to a satisfactory level within a reasonable time? How long will the Government spend to cover today's aftermath on road and rail maintenance?
ParlaMint-NO_2010-05-05.ana.ud2638e1220	Now let me do the railroad first. So there was the original plan $14 billion for maintenance over a ten-year period. That's what the Railway Agency asked for. They have now said that they can carry out this maintenance in a shorter time – eight years it is suggested. We have the ambition to follow up in this way that we already in this year's revised budget will have a further promise based on what can be done now. But then there's a new process going on because it turns out there's a need for additional maintenance. When it comes to roads, the aim is to increase the maintenance year by year, and then, when this project is completed, comes the big round of attention to the need for maintenance in connection with the rolling of the national transport plan.
ParlaMint-NO_2010-05-05.ana.ud2638e1227	Questions 7, 8 and 9 have already been answered.
ParlaMint-NO_2010-05-05.ana.ud2638e1233	I have the following questions for the Minister of Oil and Energy: ‘The clarification of the part-line issue in the Barents Sea offers great opportunities for the Norwegian oil and gas industry. It is important that Norwegian authorities show an active role in relation to the future exploitation of these marine areas. In the light of this clarification, will the Council of State expedite the notified notification of petroleum, and when will we be able to expect it to be submitted to the Stortinget?’»
ParlaMint-NO_2010-05-05.ana.ud2638e1242	I think it's nice to have a question about this, because I have to say that what happened last week, and what some of us have been doing for some time, is great, and that's important for Norway. Now being able to also talk about it and discuss it, does good. I perceive that there is a positive framework around this, and that is also in the question from the representative Meling. It is very positive that after 40 years the Norwegian and Russian negotiating delegations have reached agreement on the Barents Sea and the Polhave. However, before the agreement is concluded, it shall be signed and ratified in both countries. Ratification takes place through the approval of the agreement in the parliaments of the two countries – the Grand Duchy of Norway and the Duma of Russia. The consensus with Russia opens up completely new perspectives for North cooperation and development, resources, business, jobs, knowledge and well-being. It provides the basis for increased activity and cooperation between Norway and Russia also in the petroleum sector. An important element of good, long-term management of our petroleum resources is a gradual approach to new areas. We are now in the start-up phase of the work on an impact assessment for the sea area at Jan Mayen. We follow the progress plan related to the issue of the petroleum activity outside the Lofoten and the Western Sea. Resource mapping in the Barents Sea is an important element of the Government's strategy, both up to the North and in petroleum terms. Therefore, when the agreement is final, it would be logical to also identify this area. The process for this, including any impact assessment, will follow the usual procedure, as has been done for other parts of the Norwegian continental shelf. In the big message the representative refers to, and I am now working on, about the petroleum activity, I will place the agreement with Russia on the dividing line into a Norwegian petroleum perspective. It is my assessment today that the time period I have outlined for the notification of petroleum is well adapted to a realistic timetable for the final clearance of the dividing line against Russia. I am therefore still aiming to submit the notification of petroleum activities to the Stortinget at the beginning of next year.
ParlaMint-NO_2010-05-05.ana.ud2638e1257	I thank the Council of State for the answer, and I record in relation to the previous response regarding the progress of the kerosene message that it does not come at the end of this year, but early next year. What matters to the Right is that the Government is showing impatience and ambition in these new seas. It's important to us that we have the resource base mapped. It is important to us that we get to be early on the road in cooperation with the Russians to set environmental standards, to use optimal technology on the activity in these areas. The Right believes that it is important that Norway and our authorities are on the road early. What we fear most of all is that we should see the same thing in the future as we have seen since 2005, that the Government does not make visions, strategies and goals regarding the development of the petroleum industry visible in these new areas as well. So I'm satisfied with the answer. But can the Council of State guarantee that the notification of petroleum will come early next year?
ParlaMint-NO_2010-05-05.ana.ud2638e1264	Now, dates are becoming an essential part of Norwegian political debate. We've seen that in the last few years, and not least in the last few days, maybe. In what I said now, there was obviously no drama about the date. But I have for myself thought a little bit in the opposite direction to what was in the question from the representative Meling, that if, for example. A ratification in the Duma in Russia is kind of slipping out, I think it might be a little silly to finish the reporting before one had the frames in place and knew that the formal was also put on the question we are now discussing. So what I have in answer to that is a pragmatic thinking about how we best deal with these questions. I believe, as the representative Meling, that what is now happening is very exciting, and it is important that we in the Grand Duchy discuss this through and think through what attitude we should take towards these new areas. I also want to do that through the big message.
ParlaMint-NO_2010-05-05.ana.ud2638e1271	I thank you again for the answer. I understand from the negotiations that have been with the Russians that there will also be some underlying agreements on how we imagine the management of resources, including petroleum resources, in cooperation with the Russians. I don't know how much the Council of States can say about this, but I wonder if the Council of States, if he has the opportunity to do so, might say a little about the principles underlying this administration together with Russia, and perhaps when we can expect such a kind of agreement to be published.
ParlaMint-NO_2010-05-05.ana.ud2638e1280	In that area, we've already come very far, I'll say. On the most important question, we're done. What we could imagine was that in Norway we dealt with these questions about cross-border findings in the same way that they do some other places in the world: that a close-up taps from each side and has no common resource management. We have good historical experience in Norway, in particular with the United Kingdom, in making agreements about it. It is also part of the agreement now. This means that if one side of the border is made, the other country has to map and make up its mind about what the other country thinks is on its part in terms of volume. Then we have procedures to move on from it, where the interests of both countries will continue to work together to create a plan for the development of the area. I believe it is a very good, real framework in that area of this agreement.
ParlaMint-NO_2010-05-05.ana.ud2638e1291	‘According to an article in the Official Journal of Bergen on 27 April, there will be unpublished reports from Statnet dealing with two more environmentally friendly alternatives to the planned air voltage between Sima and Samnanger. Part of the contents of the reports are set out in the 2006 concession application and the 2007 supplementary investigation. Is the Council of State aware of the content of these reports and will he help them to become available to the public before the government concludes in the complaint case on the line?’»
ParlaMint-NO_2010-05-05.ana.ud2638e1298	It appears from the documentation provided by the Ministry that, during the review of the new 420 kV power line from Sima power plant to Samnanger transformer station, Statnet has assessed three other possible main routes with which the company has not found the basis to proceed. As the transmission system operator of the national transmission system and responsible for applying for the deployment of transmission lines, it is up to the country to identify alternatives in close contact with local and regional transmission system operators in order to ensure the coherence of network planning at local and national level. The material used by the Ministry as the basis for its review has been the main solutions under consideration and a justification has been provided for the use of the concession option, while other alternatives are not pursued further. The NVE has assessed this, and I support the NVE's assessment that it has been done in a good enough way in this power line case. The security of power supply is the most important thing for me when we are about to secure the power supply to Hordaland. It is not likely that the three other possible main routes are not good enough from the point of view of security of supply and from the situation of the total Norwegian power system. As far as I am concerned, Statenett's investigations have been published as far as possible without conflicting with the legislation applicable to the protection of information in the interests of the security of power supply. We are all well aware that detailed overviews of the central and regional network with transformer performance, voltage level and transmission capacity are not disclosed to the extent that this is required by the emergency regulation in the power supply. With regard to the publication of documents in general, Statnett is subject to the disclosure law, and I therefore assume that the company follows the rules of the law in these matters.
ParlaMint-NO_2010-05-05.ana.ud2638e1311	Then I draw the conclusion that the Council of State knows the reports. This is a huge natural intervention. It's a difficult decision to make. The alternative, called fjord cable, is a very expensive alternative. The option here can be in the order of $30 million. kr more expensive and upward. What's a bigger problem, I think, to create confidence in the processes, is that so much of this is kept secret. I understand that it is important to have basic security systems related to our electricity supply, but very many of the questions that have been raised and that have been asked by Bergen's Official Journal do not want Statnet to answer. They say first they have to answer, and then they don't. My question is whether the Council of State will help to ensure that all information that the public needs on the choice of lines – not on the general power supply – will be provided in the process.
ParlaMint-NO_2010-05-05.ana.ud2638e1322	I have no intention or ambition that there should be any unnecessary secrecy around these questions. I think the discussion that goes around the line is interesting; it's a kind of debate that's needed in a society before decisions are taken. So yes, the information that is naturally made known on that question should be made known. So I'm just referring to the constraints that we have to admit are there in relation to preparedness questions. In terms of the three options, i.e. Sima–Evanger, Odda–Samnanger and Sauda–Samnanger, I don't think we're going to dramatize or make the evaluations around those lines into something very exclusive or almost secret. There are assessments that have been debated. I've been confronted with them in different contexts, and I can come back to it.
ParlaMint-NO_2010-05-05.ana.ud2638e1329	There is a lot of evidence to support the retention of information by Statnett. There are many questions that are not on the stand, but that go on the trajectory and information at the various trajectory choices that are being held back. This is a major and important issue for important natural areas in Norway, which is in a way our national heritage. So my question is again whether the Council of State will help Statnett to answer the questions that they cannot with the law say that we should not answer this.
ParlaMint-NO_2010-05-05.ana.ud2638e1334	I can repeat what I think I've said twice now. I believe that Statnett should comply with the Public Relations Act, to help answer questions that are asked. Then there are some questions about these issues that are important for the power supply, and that makes there some information that it is not natural to publish. But in addition to the disclosure law, and that should and should be the case with Statnett.
ParlaMint-NO_2010-05-05.ana.ud2638e1344	‘On 26 April 2010, at a meeting between Rogaland and Haugaland operators, Gassco stated that today’s Norwegian base forecasts show reduced resource access to the Kårstø gas plant in 10 to 15 years’ time. As a consequence, there will be fewer investments in the Kårstø plant. However, this is not a phase, but a prognosis, and Gassco hopes for a more proactive approach from political authorities to prevent the decline. What are the prospects and visions of the State Councils for the petroleum industry’s land-based process facilities?’»
ParlaMint-NO_2010-05-05.ana.ud2638e1351	The land-based process facility of the petroleum industry is part of a large value chain. This must therefore be seen in the context of the development of the whole petroleum sector. Continued access to processing plants requires continued production. The government's objective of maintaining oil and gas exploration activities, providing the oil industry with access to interesting exploration sites and facilitating new field development and increased extraction rates in existing fields is therefore important in order to maintain food access to land-based processing facilities. Good and regular access to the search area is necessary to ensure further activity on the Norwegian base. In order to extract the petroleum resources available on the Norwegian continental shelf, it is first necessary to search for and detect undiscovered resources. Therefore, exploration activity is an important indicator of future output. Authorities wish to facilitate a proper level of activity on the continental shelf through the concession system. Given the large investments required to build new gas infrastructure and the relatively low transport costs of existing systems, oil and gas companies will have incentives to use existing gas infrastructure when assessing different evacuation options for new gas. There are two characteristics of the Norwegian socket that will affect the development of the gas infrastructure in the future. The development of new areas north of existing pipelines will require new gas infrastructure, while falling production from existing gas fields. The period 2013-2020 appears to be characterised by a high level of utilisation of transport capacity. From the time it is found on a Norwegian base and until the gas is ready to reach the market, it takes at least 10 years of experience. The capacity situation in Norwegian gas infrastructure after 2020 is therefore dependent on decisions taken by authorities and rightholders now. Such capacity situation now appears to open up vacant capacity in the existing transport system from 2020 onwards, as a result of the drop in fields from plateaus, and the production of some areas leaving plateaus is falling rapidly. That is why I am committed to having an active search policy and to facilitating the maintenance of production, so that we still have access to the processing facilities and receive important revenues for Norway for many years to come.
