ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u1	We'll start work again.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u71	Mr President, I hope that Mr De Caluwé will excuse me for replying in French, because Mrs Zanchetta had put the question in French. Aducanumab is a monoclonal antibody that specifically targets the beta-amyloid protein involved in the physiopathology of Alzheimer's disease. By eliminating this protein that accumulates in patients' brains, Biogen develops this drug to slow the cognitive decline associated with Alzheimer's disease. Phase 3 clinical trials targeted patients with mild cognitive impairment (early form of Alzheimer's disease associated with the existence of an amyloid load in brain imaging). This treatment is the first therapy authorized to target and affect the underlying pathological process of Alzheimer's disease. Aducanumab was approved under the commercial name Aduhelm in June 2021 by the FDA under a special procedure, accelerated approximation pathway. This procedure allows the FDA to provide accelerated authorization for drugs for serious conditions that meet an unmet medical need on the basis of the effect of this medicine on an intermediate endpoint or on an overrogate endpoint, an alternative clinical endpoint that is reasonably likely to predict a clinical benefit to patients. This procedure requires the firm to conduct a post-approval clinical trial to verify that the drug provides the expected clinical benefits. Experts' opinions are divided on this FDA marketing authorisation, particularly regarding the clinical efficacy of this drug and its ability to slow down cognitive decline associated with Alzheimer's disease. Indeed, one of the two Phase 3 clinical studies demonstrated marginal improvements in clinical outcomes while the other study demonstrated a lack of efficacy on the primary evaluation criterion of the study. This FDA authorization is also based on a surrogate marker and not on a clinical outcome, i.e., the decrease in amyloid load at the level of brain imaging and the clinical correlation of this marker is questionable. A procedure for the evaluation of this medicinal product is under way at the level of the European Medicines Agency (EMA). If the drug is approved by EMA, the company can submit an application to CRM, as is the case for all drugs. The BeNeLuxA group closely follows the Alzheimer's disease therapies that are entering the market. BeNeLuxA wishes to point out that clinical criteria, such as changes in cognitive scores or dementia scales, are considered to be relevant criteria for health technology assessment agencies (HTAs) in Alzheimer's clinical trials. Biomarker data are not considered sufficient to demonstrate a benefit to ETS agencies. Currently authorised treatments for patients with mild to moderately severe Alzheimer's disease are cholinesterase inhibitors and for patients with moderate to severe Alzheimer's disease, the N-methyl-D-aspartate antagonist, memantine. Current drugs against Alzheimer's disease only treat the symptoms of the disease, for example by delaying memory loss by a few months, and have a limited duration of effect due to the continuous progression of the pathological process. Unfortunately, there are still no approved medicines available for patients with early stages of the disease.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u72	Thank you, Minister, for your comprehensive and comprehensive reply. I look forward to the follow-up and hope for a positive outcome.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u73	Minister, I refer to my written question.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u74	Mrs Depoorter, as regards your first question, Belgium is internationally recognised for its expertise and investments in the field of clinical trials. By concluding the Summer Agreement, the government has also ensured that applications for approval for clinical trials on medicinal products are exempted from fees. The work done by my staff at the FAGG and the College is also appreciated by the European authorities, but I also see that other Member States, such as Germany, Spain and Denmark, are making every effort to take top positions in Europe. As for your second question, my cabinet is in close contact with the administration to ensure that the teams involved succeed in further optimising the work processes necessary for the implementation of the new regulation. This includes, inter alia, the treatment of mononational phase 1 trials within a shorter period of time, shorter than the maximum timelines laid down in the Regulation, the further preparation of the CTR pilots, including the inclusion of the role as a reference Member State, the learning of the functioning with the new IT system Clinical Trials Information System of CTIS, the preparation of the implementation act for monitoring the safety of ongoing clinical trials, as well as the proactive preparation of key new domains, such as the innovative designs for clinical trials, studies and applications on ATMPs (Advanced Therapy Medicinal Products) containing a GMO component (genetic modified organism), as well as the interaction with other legislation, such as the Regulation on medical devices and in vitro diagnostics. This should lead to a positive audit, which will be carried out by the European Commission. You also asked me if I had any discussions with the pharmaceutical sector. My administration has regular consultations with all the sectors concerned, including the pharmaceutical industry. For example, information sessions are organised for sponsors to agree and allow them to be prepared as well as possible before the regulation enters into force, i.e. before 31 January. The system of time locks was introduced on 15 February 2021 only for initial applications through the CTR pilot project. These are the applications described in the Law of 7 May 2017. For the initial applications outside the CTR pilot project under the current law of 7 May 2004, no time lock was indicated. In addition, no time limits were introduced for the substantial amendments and covid-related initial applications. The average number of initial applications based on the Law of 7 May 2004 and the CTR pilot project remained stable during the first five months of 2021 compared to the last six months of 2020 on average 51 applications per month, which means that by introducing the time locks more initial applications were made through the Law of 7 May 2004 compared to the period before. What is also striking is that, despite the introduction of two time locks per week, which gives an average of nine available time locks per month, an average of 15 initial applications were received in March, April and May. This difference, on average six initial applications per month, is explained by the covid-related initial applications for which no time slot should be reserved and by the dramatic increase in the number of amendments through the CTR pilot projects. There is an increase of 11% when comparing May and December. A possible explanation for this is also covidged. We see that the covid-related requests need to be changed more quickly and often, inter alia because the file submitted earlier is less mature and the file needs to be adjusted by the rapid evolutions in the domain.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u75	Thank you, Minister, for the answer. The fee is one thing and the elaboration and optimisation of the work processes is another matter. Of course, all this has to be done. It is also good that there is a certain stability of clinical trials in our country, but I think there is a great challenge, in particular the accessibility of patients and target groups. In other countries there is a different policy in this area. Is the federal government prepared to reflect on this, to ensure that more direct contact can be made with patient platforms and to carry out certain studies? This could shake our position. A second important fact in the design of clinical trials is the data ecosystem, which is not optimal in our country. People often say that. We are certainly not leaders in measuring and knowing. We are not leaders in transparently displaying the data we have at our disposal. We often cannot enter them into the network ourselves. If we want to maintain this leading position as a research region, as a pharma valley, then we need a better data ecosystem and better access to target groups.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u76	Mr Minister, the 1964 pharmaceutical law lays down the conditions for the production and delivery of official preparations. The administrative provisions are also regulated by this law. For a few years now, there have been firms offering the service to the official pharmacists to make official preparations in their pharmacy and also to register in the file. A complaint concerning non-compliant practices in this context was lodged with the FAGG some time ago. Certain groups of pharmacists use the services of that firm to have official preparations made in one official. These majestic preparations are then distributed among different officials belonging to the same group or cooperative. This means that these official preparations are not made in the official language in which they are sold or in which they were registered. This complaint dates from January 2020. An inspection would have been carried out in the autumn. The practices are still taking place today, it is widely known in the world of pharmacy. Are you aware of the complaint and the inspection? Did you have access to the file? What is the status of the file?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u77	A judgment was delivered on this case in the company court in Antwerp. That turned into a lawsuit, too. The judge in the judgment refers to the FAGG to judge the legality of this practice. The FAGG is also the body that carried out the inspection. The FAGG did not communicate to the complainant. What is the FAGG's view on this dossier at the moment? What is in the report of the FAGG inspection carried out as a result of this complaint? Will steps be taken by the FAGG? If it is true that these official preparations are not produced in the official in which they are sold, the pharmaceutical law is broken. Similarly, the registration of raw materials in the raw materials register in the pharmacies selling these official preparations cannot be accurate. Then there's a false registration. That too is a violation of the law. What will you do about this? What steps will you take to avoid this in the future?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u78	The FAGG is aware of the complaint and has also initiated an investigation, but I was informed that the investigation has not yet been concluded. The reason is related to the pandemic, which had a very strong impact on the daily work of the FAGG inspectors. A number of studies started last year have therefore been delayed. As long as the investigation isn't complete, there's no way I can draw any conclusions. To date, the FAGG has no knowledge of all the elements. I have called on the FAGG to continue and complete this investigation, after which all the necessary conclusions must be drawn.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u79	Minister, I expected this answer. We've talked about the FAGG and the phone before: apparently they haven't invented it there yet. When will you carry out an audit of the operation of this very important federal institution? There has been a pandemic, which has caused a great deal of work, but this is a violation of the law on the production and sale of medicines. That's serious, isn't it? How is it that a complaint lodged on 20 January 2020 has not been dealt with today? This is unbelievable. I find it equally incredible that I get the same answer over and over again: you urge, you will investigate, you will check, but you will not make an evaluation of the operation, because you do not think that is necessary. This is serious, this is a very important federal institution that today doesn't work as it should. At least we should have access to the inspection file. An inspection report shall be accessible to a Member of Parliament within the framework of public administration. I will therefore request this again.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u80	Mr Minister, I would like to ask you a follow-up question. Some time ago, I asked you about the use of the iClean swabs, which leave small particles in the nose and which, in the case of frequent use, could pose a danger to the health of the patient. They would therefore no longer be sold. You indicated that the FAGG had taken steps to this end. However, the iClean swabs are still sold and used. This could have an impact on public health. Have you consulted the FAGG on this again?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u81	In collaboration with Sciensano, the FAGG carries out an analysis of the components that may be released when using these swabs. Firstly, an extraction study was carried out on several samples. This study made it possible to identify as many chemical components as possible that could be released from a contact with swabs. The samples were extracted with two different solvents: physiological water and a solution of 96% ethanol, this for 24 hours at 37° Celsius, and then analysed with two complementary chromatographic techniques. The identified substances are currently being analysed for toxicity. In the next phase, a cytotoxic study and a determination of selected components after extraction may be performed under more relevant physiological conditions. This allows us to estimate the actual exposure to potentially worrying components. Because of the short exposure time, the low frequency of use and the small amount of material that may be left in the nose, the risk to public health is estimated as small. Moreover, the nature of the plastic used, namely nylon, is not a cause for concern. Nylon is a common component of medical devices and is also used in sutures, for example. Nevertheless, we continue to follow this up with the above analysis. Finally, there is currently no standardized test to objectively quantify the number of loosened dust particles in the nose. However, before placing medical devices on the market in Europe, the choice of materials used must be checked against, inter alia, toxicity and biocompatibility.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u82	Mr President, Minister, I do not understand why an invasive medical device, such as a shadow, is sold and used in our country when a toxicity study is being conducted at that time. At least the quarantine could have been maintained until it is clear that there is no risk to public health. You indicate that it is not used frequently and that the risks are small. However, for people who have chosen not to be vaccinated, they may have to undergo a weekly test and feel or receive such a swap deep in their noses. You take a risk to public health in this respect and do not carry out any thorough work. A quarantine until you are sure that there is no danger to public health would have been at least an application of the principle of caution.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u83	Debates of the European Parliament Mrs Samyn's 55019275C has been converted into a written question.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u84	I'll be brief. It is a question that I had already put to you in June, because then the press said that in the week of 20 June, on a study day by Zorgnet-Icuro, you explained your plan on the reform of hospital funding. Then you announced that you would like to work on another hospital funding. You're saying you want to eliminate the gap between doctors' incomes. How will you do this in concrete terms? What measure will you use to determine doctors' incomes? Will you raise the lowest wages among the doctors? Or will you reduce the huge wages of some doctors-specialists and do you think that you will be able to free up a budget? How will the problem of doctors' contributions be dealt with? After all, many hospitals need them to keep their heads above water. Have you studied the idea of financing hospitals bundled? How do you see the phasing out of the performance-related funding system? What about the framework standards? The last aspect of hospital funding is that of the revenues that hospitals obtain through their contracts with the pharmaceutical industry and in relation to other medical products, about 18% of their total income. How will you deal with this problem?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u85	Thank you, Mr President, and also Mr Merckx for her question. I had tabled this question hoping that we could debate it in the week of 22 June. Of course, this is not so obvious in the Committee on Health. I think it's kind of a weird moment right now. I also have the impression, Minister, that you will be returning to it very extensively in the next few weeks in the context of your policy paper and your budget. That's why I'll be brief now. However, I have to say that a number of very interesting slopes were presented at the Zorgnet conference or meeting, both by Mrs Cloet and by you, on the themes to which Mrs Merckx referred earlier. In view of the hour and the place, I do not want to do this very extensively, but it would be good to hear a first approach from you. I suspect that we will be able to come back to it in detail in the autumn in committee. I think the questions that Mrs Merckx is asking are the right ones.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u86	Mr President, I am essentially sticking to what I said on the day of study. Mrs Merckx, if you wish, I would like to repeat that. For the rest, I do not want to improvise in this, partly because the people I consult about it and myself are still working on the preparatory work. On that day of study, I said that I distinguished four major yards. Firstly, the current dual and intertwined funding of doctors and hospitals needs to be thoroughly reviewed. Work in progress in the context of the re-examination of the nomenclature will guide this process. They must lead to a modernised and objectiveized nomenclature, which corrects unreasonable income differences between doctors and enables the professional part and operating costs to be separated in an objective manner. That's what it says in the last medicomut chord. Secondly, in parallel with this, we need to implement reforms at the level of the budget 'financial resources'. In my previous term as Minister for Social Affairs and Health, I thoroughly revised the financing model by introducing the'responsible days'. This was an important step towards a need rather than supply-driven funding, but that work is not yet complete. We must therefore strive for a thorough reform. The aim must be to ensure that funding follows pathology, rather than the current parallel funding systems, where for one hospitalisation there is a bunch of topics on the invoice in which a cat does not find her boy. Thirdly, cooperation between hospitals should be stepped up, but also between hospitals and the first line. Fourthly, you will not be surprised that access to care is a priority for me. In doing so, we need to consider whether the funding flows sufficiently to the relevant framework. Zorgnet-Icuro says that it is not so much a budget that is needed, but a better, more direct distribution and a rationalization of supply. I think there is much to say for that position, and the networks have an important role to play in this. Mrs Merckx, you have also pointed out the important aspect of the way in which medicines play a role in the financing of hospitals today. In this respect, I believe that, among other things, a very thorough reform is needed. With this I explained very briefly what I explained in greater detail at the time.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u87	Minister, I understand that if you really come forward with your plans, we will have a fundamental discussion. Nevertheless, I think I can take advantage of this opportunity to give you a number of things. Just now, in a very different discussion, you spoke about the fact that hospitals would publish the vaccination rate of their staff. I think there is another taboo in our country, namely doctors' wages. In order to be able to conduct the discussion properly, I think that change is needed through transparency about doctors' wages. The latest officially published figures date from 2012. If we really want to get a grip on doctors' wages, for example on payments and so on, then we must be well informed. That taboo must therefore be broken. We must also be absolutely free from the competition between hospitals, i.e. from performance. In this sense, I am critical of the idea of changing and reviewing the nomenclature. People have been working on it for many years, it seems like the procession of Echternach. In my opinion, it is impossible to determine how much a doctor can earn for any treatment, deed, prescription or surgery. We need to focus on quality, and so it needs to be changed. The path of performance-related payments must be abandoned. The fact that doctors are paid per achievement, we have to get rid of that. Funding needs to be more bundled, in terms of population. I encourage you to do so in your reform. I would advise you to break some taboos and pursue a real reform. Reform can also relieve the workload for nursing staff, although I do not know whether or not this is one of your goals, but I think it is also very important.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u88	Thank you, Minister, for your first approach, if I may call it that. I will briefly mention a number of elements, because a discussion would lead us very far. We will certainly be able to discuss this further later, perhaps on the basis of your plan. I believe that what Zorgnet said happened with a view to a better distribution of resources. I will mention one example from my own province, where I am active. There are often noticeable differences in the number of beds per 100,000 inhabitants: from a good 300 beds to more than 500 beds. There is therefore an imbalance in this area. A much better, more rational, use of resources is therefore needed. This is not a story of Flanders versus French-speaking Belgium or Brussels. This is really a story in which there are provinces in Flanders and Wallonia that are doing well or that are doing less well in that area. I believe that this is an important point with regard to the rationalisation of supply. Things are already happening. There are a lot of conversion files today. Today, for example, a lot of Sp services are being created. That is a very good thing. But I believe there are still a lot of efficiency gains to be achieved. A second element that I would like to add is what Mrs Merckx says, although of course I am not in favour of far-reaching forfaitisation. I'm a lot more nuanced about that. However, I am not opposed to bundled funding. I do feel that what we have done on low variable care in the sector is actually going pretty well. We had a three-step plan. I think it is right to make the assessment of the low variable care now and to see what further we can do in the context of the bundled funding. A third and final element I would like to mention, Minister, concerns the networks. I keep repeating it: I feel that people are dormant in the networks. Although a strategic plan for care must be drawn up and a strategic regional plan for care, the first-line zones have been activated in view of the covid crisis, but they are very committed to other issues. We still have to go to hospitals with that plan and see how they can be an important partner in the regional care strategy plan. That's still growing. However, I do not know what tasks one will have as a basic hospital and which in the context of supra-regional care. This is about planning and programming, so I think it is important to clarify this. This is also linked to the funding of the network. So there are a lot of challenges, and I look forward to seeing your plans and debating them with you.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u89	Minister, with this question, I am echoing all these young women who suffer from endometriosis, a disease you probably know and which is a chronic gynaecological disease that now affects one to two women in ten. So that's an important number. It is a complex disease with various symptoms, often disabling, and especially very difficult to diagnose. For example, a young girl I met had to go through twelve different gynaecologists before she could put a name on the pains she had to face. Some countries are beginning – even 160 years after the discovery of the disease – to propose actions to improve awareness of the disease or research. France has thus begun to develop a national strategy to help better understand endometriosis. Australia, Switzerland or Canada are also more advanced in the recognition of the disease. Minister, my questions are quite simple. How is this happening in Belgium? In your policy note, you confirmed the development of a federal chronic disease plan to improve patient care experience. Are you considering recognizing endometriosis over time as a chronic disease? What contacts do you and your firm have with specialists, gynaecologists, specialists in this disease or with CBHAs active in this area, particularly in terms of prevention and awareness? As I said, one to two in ten women in Belgium suffer from this disease, but many more are not diagnosed. It's extremely difficult. Awareness-raising campaigns exist, but they are not sufficient. They are obviously necessary. On the FPS Public Health site, for example, there is no information page. I know that prevention is the responsibility of the regions. Could an interdepartmental conference further advance the issue? Is an awareness-raising campaign possible at the national level from your firm to the various target groups? At European level, action is being taken with the Female Project in particular. The European Union has also allocated €6 million to collaborate on endometriosis research. Does Belgium cooperate at the federal and regional level even if it falls under the other level of power? Is there any cooperation between our country and Europe in this programme? Finally, more generally, what really exists to raise awareness and help these many women who suffer from this chronic disease?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u90	Mrs Reuter, endometriosis is a disease in which the tissues that normally develop inside the uterus develop outside the uterus, usually in the peritoneal cavity, and on the peritoneal and pelvis organs. The main symptoms are pelvic pain and infertility. Almost half of people with chronic pelvic pain suffer, while 70% experience pain during menstruation. Infertility occurs in almost half of the women involved. Less common symptoms are urinary or intestinal symptoms. About 25% of women have no symptoms. Endometriosis can have both social and psychological effects. The disease is included in the WHO's international statistical classification of diseases and related health problems, and its diagnosis is therefore recognized in the medical world. At national level, no legislation provides for the recognition of specific diseases. The criteria for various interventions or possible benefits, such as increased intervention under health insurance or the recognition of a disability for income replacement or integration allowance, are not based on a list of eligible diseases but on an individual assessment of the extent to which the patient is experiencing difficulties of autonomy in his or her daily life. The right to flat-rate intervention for chronic patients and the status of persons with chronic conditions, two measures of INAMI which improve access to care for chronic patients, are granted on the basis of the cost of health benefits for the person in the previous year, and on his or her dependency situation, but not on a specific pathology. There is therefore no specific framework for official recognition of endometriosis as a chronic condition in Belgium, but this does not preclude persons suffering from this condition from benefiting from the specific interventions of INAMI in favour of chronic patients. As you mentioned, prevention and awareness-raising are the responsibility of the federated entities. Consultations with federated entities are organized within the framework of the Inter-Ministerial Conference. For the topic of prevention, a specific working group will resume this work shortly and decide on the topics to be addressed during this term. The inter-federal plan "chronic diseases", which will be developed in consultation with the federated entities, will be oriented towards the needs in this field in general and will not deal with specific diseases. You also mentioned the multidisciplinary initiatives for endometriosis, which I encourage. This is a relevant approach not only for endometriosis, but for all chronic diseases. The European Female Project is a study coordinated by the University of Aarhus in Denmark. Other European countries as well as the United Kingdom are also involved. To my knowledge, Belgium is not. A multidisciplinary team will bring together various sectors for the development of clinical tools to assist health practitioners in their decision-making. These tools, which will be based on genetic and epidemiological data, will use machine learning and artificial intelligence. Researchers will examine how to improve endometriosis prevention, early diagnosis and self-management assistance. To this end, they will use digital tools to detect different forms of the disease and promote discussions on treatment options between the patient, physicians and the counsellor. It is hoped that the project will make it possible to use precision medicine and share data with patients while serving as a driving force for new discoveries in endometriosis research. The study began in January 2021 and will be completed in December 2024. Therefore, no results are yet available.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u91	Minister, we will have to talk about this again because you have not answered all the questions. I have heard that a working group would be re-established, but it is not known on what theme or when. I understand that to date, while this disease is recognized by the medical world, no federal plan for endometriosis has been established. It seems to me that we need to go back to this problem – which you have described perfectly – which greatly invalidates young women and can impact their social life and psychological health. In terms of awareness and inclusion of the disease among chronic diseases, I note that today, since everything is based on the cost of care and their number, this is not necessarily the case. However, we will have to do more to deal with this issue. As I said and repeated, it affects a lot of young women. Some have no symptoms, which makes the diagnosis even more difficult. I believe that we cannot remain insensitive to this type of disease.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u92	Mr President, Minister, this question is very specific. The toilet pass was created to allow people with Crohn's disease, with ulcerative colitis, with chronic bowel or bladder problems, or with MS on presentation of the pass to use a toilet free of charge in hospitality shops or shops. With this facility document you can quickly and discreetly use the toilets. The pass is shown to the staff so that they are aware of the situation. The pass was established in cooperation with representatives of the catering industry and other self-employed organisations. Its use does not appear to be enforceable. I got a lot of reactions from patients that there are shops and restaurants that don't want to allow free use of the toilet. Especially during the corona crisis, when the hospitality was closed, many problems were encountered to be admitted to a toilet in the shops that were open. Some patients were afraid to leave their homes for fear of an accident and became isolated. That was not only the case in the covid period, but also outside. Can such a pass be made enforceable? What can patients do if they refuse to use the toilet? There was also a toilet app. Do you have any idea how it's going to work?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u93	The toilet pass is a nice initiative of the patient associations for Crohn and ulcerative colitis, in collaboration with representatives of the catering industry and other self-employed organisations. The initiative is also supported by some health insurance funds. Patients may apply through the sickness fund or through the association itself, provided that their diagnosis as a chronic bowel diseaser is confirmed by their treating physician. Of course, these patients should have access to a toilet when necessary. In fact, the legal enforceability should not be necessary for this. Sensitisation should lead to a better understanding of the situation of these people, so that refusal no longer occurs. Actually, the intention of the action was not to make something enforceable, but to sensitize. Making it enforceable requires a different kind of initiative. That is not the issue here. It is a pity, however, to note that this action runs into obstacles here and there. As you say, the patient associations have taken the initiative to develop a toilet app that allows patients to see where the nearest toilet is. There are also several free apps available, both at Google and Apple, which indicate the nearest toilet, such as Flush and HighNood apps. I myself have no idea of the development of this toilet app and therefore cannot answer you.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u94	Thank you, Minister, for your reply. I am glad that you share this concern. Anyone who is refused will find himself in a very uncomfortable situation, causing dramatic conditions and helplessness. I myself experienced it closely in the covid period and that was extremely confronting. A toilet pass plays a very important role in the quality of life of these patients and ensures that they do not become socially isolated if they do not know that there is a toilet available somewhere. A uniform system with all the national languages must be put in place. It was very confrontational to note that, for example, in Wallonia, people did not know what to do with a Dutch pass. I'm sure I'll join you when you say we need to work on extensive sensitisation. I hope that all organisations will be supported by all self-employed organisations to strengthen this awareness.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u95	Mr President, Minister, in the morning we discussed the treatment of COOVID-19, although specifically in hospitals. My question, however, is about the general practitioner's treatment. Now the GP advises a patient who has tested positive and shows mild symptoms to stay at home and go to hospital when his or her condition gets worse. That is exactly what we want to avoid. We want to relieve the burden of care. Nevertheless, the patient concerned must wait until he or she shows enough or too bad symptoms to be sent to hospital. Why aren't symptomatic covid patients treated by general practitioners at a very early stage? Can general practitioners use off-label medicines to treat early COVID-19? What medicines can be used for this purpose? Can the therapeutic freedom of the physician not be invoked in this respect?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u96	Mr President, Mrs Sneppe, I must begin by emphasising once again a few general principles, which are important. In the interests of public health, the general practitioner retains his complete freedom to prescribe medicinal products. Prescription of the off-label, to which you refer, is indeed part of the therapeutic freedom of doctors. However, off-label use should be carefully considered and the patient should be well informed, including the potential risks associated with off-label use. After all, there is no certainty that off-label use is safe and effective. However, the prescription by a general practitioner is not possible if the medicinal product is subject to a limited or special medical prescription, as is the case for medicinal products which may only be used in a hospital environment and for medicinal products where a medical prescription drawn up by a specialist is required or for psychotropic substances and narcotics. Remdesivir and Dexamethasone, the only already registered medicinal products containing COVID-19 in the indications, should only be administered to hospitalised patients. Applications for market authorisation for monoclonal antibodies are currently under review at the EEA. A monoclonal antibody has already been made available to the patient with a very high risk of severe progression by ministerial decision to a limited extent. However, this treatment is also reserved for use in the hospital environment. No specific treatments are currently available for early covid patients. For medicinal products to be placed on the market, the manufacturer must apply for a prior authorisation at the European level or at the Belgian level. Only those medicines are therefore supported by the competent authorities and are eligible, taking into account quality, safety and efficacy. There are a number of general principles.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u97	Minister, that is indeed a very general answer. You refer to the doctor's therapeutic freedom, but you also say that no medicines should be used in the care of the patient, only in the context of hospitalisation. So they're just as far away. That does not answer my question either. GPs cannot or should not treat people at a very early stage, with very mild symptoms. The patient has to wait until it's bad enough to be transferred to the hospital. I really do not understand why these medicines should only be used in a hospital setting and why our general practitioners should not use them. If you put such an emphasis on vaccination to relieve the burden of care, why not intervene if the patient is not yet very ill? If he can be treated, he doesn't get sicker in many cases. Apparently there's no urgency there. The general practitioner is also overlooked with this. I hear from a lot of general practitioners that they have a problem with that. They also took the oath of Hippocrates. If they were to treat them, they would be called to the Order of Healers. I ask myself very big questions about this, especially since we have been hearing for over a year that we need to relieve the burden of care. I have already seen protocols of medicines that can be used and which are secretly used by some general practitioners, but if that is convenient they can be suspended. The therapeutic freedom is not as free as you suggest here. I find it very strange that this is no longer being done. If you take the relief of care seriously, should the patient not be sick? I don't understand your reasoning. I don't understand why this treatment of light-sick covid patients isn't taken with both hands.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u98	Debates of the European Parliament Mrs Sneppe's 55019347C is converted into a written question.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u99	Mrs. Muylle is no longer logged in.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u100	Minister, I am not trying to make it too long, but I think it is important to be able to ask this question today. On 14 June 2021 it became known that in certain devices using patients with sleep apnea there would be carcinogenic agents. When that news came out in June, of course, it caused a lot of panic, both among the patients and with the caregivers. The Association for Slapapnea has written to the Federal Agency for Medicinal Products and Health Products (FAGG), but has not received sufficient answers. The association is therefore very disappointed. For two months now, she has been expecting an answer from you as to what is going to happen and what is going to happen. This concerns the devices Philips DreamStation, which are used today by 70,000 patients. So it could potentially be 70,000 people involved. Is there an investigation into these harmful effects? What's the status? Do you have any idea what damage could have been done? What does the FAGG do with Philips? Has there been any contact between the two? Is there any talk of compensation for patients? Is it about material that is only in Philips devices, or is it possibly in others? Philips says it'll replace the planes. For that replacement, the company would take a year off. This means that patients will either have to inhale the carcinogenic particles for another year or no longer use their sleep apnea device, which is, of course, very dangerous for them. Patients are wondering, among other things, whether they can remove the harmful insulation foam themselves. They expect an answer from you on these questions and a lot of other questions, and I hope you will clarify them today.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u101	Mr President, I have been able to log in again. In terms of collegiality, I refer to my written question.
